t,Ca,S,h,dCa_dt,dCa_dt_noisy
3.200711269170927187e-01,4.832345289945135236e-01,1.608642457281925342e+00,9.676587351821563932e-01,1.487213562928135335e+00,1.561342121079828171e+00
3.334074238719715866e-01,5.027364555957931636e-01,1.588154390111394809e+00,9.632374026289008961e-01,1.436710038260482047e+00,1.345229837088214531e+00
3.467437208268504545e-01,5.215391863708080944e-01,1.568327388173542225e+00,9.586382885509550089e-01,1.382571118051581616e+00,1.382417069818289157e+00
3.600800177817292669e-01,5.396022419538487602e-01,1.549204719562859545e+00,9.538900015644851127e-01,1.325961694799552504e+00,1.281358905383472857e+00
3.734163147366081348e-01,5.568994502272425207e-01,1.530815201455854924e+00,9.490178305070547937e-01,1.267864845667522777e+00,1.306658438040425807e+00
3.867526116914870027e-01,5.734164921835576134e-01,1.513175642897158557e+00,9.440438172470194678e-01,1.209093997813383892e+00,1.103190995704130373e+00
4.000889086463658706e-01,5.891490689521332591e-01,1.496292670636119926e+00,9.389869189584203468e-01,1.150309149540621467e+00,1.133124432035647500e+00
4.134252056012447385e-01,6.041005670676100614e-01,1.480165064520752027e+00,9.338633925294828053e-01,1.092037450688563949e+00,1.102546097055369101e+00
4.267615025561236064e-01,6.182806595014118667e-01,1.464785162312286060e+00,9.286871033939132491e-01,1.034691800253339622e+00,9.604783710535220731e-01
4.400977995110024743e-01,6.317039972389825175e-01,1.450140171725363469e+00,9.234698117929873717e-01,9.785885314672324586e-01,1.027849310610141842e+00
4.534340964658813422e-01,6.443887623719656288e-01,1.436213627965968520e+00,9.182215489248877205e-01,9.239646805226868764e-01,9.329003519786066567e-01
4.667703934207602101e-01,6.563558723094621294e-01,1.422986199365565696e+00,9.129508568478237329e-01,8.709916845817502473e-01,9.213345231171043981e-01
4.801066903756390780e-01,6.676282312076567971e-01,1.410436442651854971e+00,9.076649910672047739e-01,8.197873946007867563e-01,8.677466375345123106e-01
4.934429873305179459e-01,6.782299418989524709e-01,1.398541602935380102e+00,9.023701668434686018e-01,7.704269875875979778e-01,7.214342592688641753e-01
5.067792842853967583e-01,6.881858954916360016e-01,1.387278033212591799e+00,8.970717061891243516e-01,7.229512483687026148e-01,6.830614604742256679e-01
5.201155812402756817e-01,6.975213657141579038e-01,1.376621606567789868e+00,8.917741621144907871e-01,6.773736804276300205e-01,6.672070561390348598e-01
5.334518781951544941e-01,7.062616192532189530e-01,1.366548116138617708e+00,8.864814642466460892e-01,6.336866880588284401e-01,6.710846743569851558e-01
5.467881751500334175e-01,7.144317295142752489e-01,1.357033468421997791e+00,8.811970019835722034e-01,5.918661638681743664e-01,6.344145284169515620e-01
5.601244721049122299e-01,7.220563618891479019e-01,1.348053903653236629e+00,8.759237008793536727e-01,5.518754717699070333e-01,5.163912282344728100e-01
5.734607690597910423e-01,7.291596120412451310e-01,1.339586165694817810e+00,8.706641061759080591e-01,5.136687196925843191e-01,4.833088604298177438e-01
5.867970660146699657e-01,7.357649339569009017e-01,1.331607578979717266e+00,8.654204286828660608e-01,4.771931852395396856e-01,4.373020394812132672e-01
6.001333629695487781e-01,7.418950351946500543e-01,1.324096157873710711e+00,8.601945923537059890e-01,4.423914621010924808e-01,4.131795506432251464e-01
6.134696599244277015e-01,7.475718333026137863e-01,1.317030656538497269e+00,8.549882830849850901e-01,4.092030977566009087e-01,3.973069288783646069e-01
6.268059568793065139e-01,7.528164380108306464e-01,1.310390590208902140e+00,8.498029745029348492e-01,3.775658300631448139e-01,3.709750776786315818e-01
6.401422538341854374e-01,7.576491105427018979e-01,1.304156279455835454e+00,8.446399574020659884e-01,3.474166904350587393e-01,4.503224138599443149e-01
6.534785507890642497e-01,7.620892762423367994e-01,1.298308842350725856e+00,8.395003694124473226e-01,3.186927636736094360e-01,2.933725806842879535e-01
6.668148477439431732e-01,7.661555319923635254e-01,1.292830189512758521e+00,8.343852100949508133e-01,2.913317849320178898e-01,2.768955665805568067e-01
6.801511446988219856e-01,7.698656395701423127e-01,1.287703033388221341e+00,8.292953589560291272e-01,2.652726706936678336e-01,2.882015571483692584e-01
6.934874416537009090e-01,7.732365623340550220e-01,1.282910855229684621e+00,8.242315942857970645e-01,2.404558205020969897e-01,1.928021172236007164e-01
7.068237386085797214e-01,7.762844850226385818e-01,1.278437887160623010e+00,8.191946026158087868e-01,2.168233715552836116e-01,1.983920140991631276e-01
7.201600355634585338e-01,7.790248225142366589e-01,1.274269105250513734e+00,8.141849894735234683e-01,1.943194274373256369e-01,1.949853514953762967e-01
7.334963325183374572e-01,7.814722632206648756e-01,1.270390188893482986e+00,8.092032916952484056e-01,1.728901318690271027e-01,2.115974292198903317e-01
7.468326294732162696e-01,7.836407970404439816e-01,1.266787494450877460e+00,8.042499841741648225e-01,1.524837362426765541e-01,8.668299330533872638e-02
7.601689264280951930e-01,7.855437290453395338e-01,1.263448042742716604e+00,7.993254858753674474e-01,1.330506757215060565e-01,2.016241485858571991e-01
7.735052233829740054e-01,7.871937183754396106e-01,1.260359482133930342e+00,7.944301678330517591e-01,1.145435454864310032e-01,9.692067719135080694e-02
7.868415203378529288e-01,7.886028148520131120e-01,1.257510053501049274e+00,7.895643588304860350e-01,9.691705767243508074e-02,1.053878787276163326e-01
8.001778172927317412e-01,7.897824728439380992e-01,1.254888577078453915e+00,7.847283484817642041e-01,8.012804438983131550e-02,1.224824595865568466e-01
8.135141142476106646e-01,7.907435782592509010e-01,1.252484426689476793e+00,7.799223920316857850e-01,6.413541065874341085e-02,9.717505674509471780e-02
8.268504112024894770e-01,7.914964935867845330e-01,1.250287486340973420e+00,7.751467155340123760e-01,4.890002338138760285e-02,1.018616176901624565e-01
8.401867081573684004e-01,7.920510704710593819e-01,1.248288138114040047e+00,7.704015174603019434e-01,3.438468199961777771e-02,4.304457282121168515e-02
8.535230051122472128e-01,7.924166683035405168e-01,1.246477244295833398e+00,7.656869715047888159e-01,2.055406649788993692e-02,1.957339882916462465e-02
8.668593020671260252e-01,7.926021930710863694e-01,1.244846109799508493e+00,7.610032302862734799e-01,7.374622160275061400e-03,2.319854912425508078e-02
8.801955990220049486e-01,7.926161194843019953e-01,1.243386460744978272e+00,7.563504273932378785e-01,-5.185512704599236355e-03,-5.497128221392848929e-02
8.935318959768837610e-01,7.924665032956184074e-01,1.242090432511181675e+00,7.517286786326238257e-01,-1.715655483679727825e-02,4.355281361241265803e-02
9.068681929317626844e-01,7.921610019061450236e-01,1.240950549753876420e+00,7.471380839544755625e-01,-2.856714938793668279e-02,-6.733646181998809155e-02
9.202044898866414968e-01,7.917069105814265040e-01,1.239959691247714435e+00,7.425787301890336423e-01,-3.944448813366210199e-02,-1.024566821277917150e-01
9.335407868415204202e-01,7.911111706646715147e-01,1.239111081902138478e+00,7.380506916642404214e-01,-4.981435070430312306e-02,5.300608834262329760e-02
9.468770837963992326e-01,7.903803828235604900e-01,1.238398279835867921e+00,7.335540311894147569e-01,-5.970116078200293774e-02,-6.652340775764549463e-02
9.602133807512781560e-01,7.895208297470670544e-01,1.237815154296331599e+00,7.290888016202554667e-01,-6.912806844059900258e-02,-1.280843120570964166e-01
9.735496777061569684e-01,7.885385014867107856e-01,1.237355861006780744e+00,7.246550475208233255e-01,-7.811703918861605256e-02,1.449644681703039784e-02
9.868859746610358918e-01,7.874391005350017680e-01,1.237014837204230444e+00,7.202528054526332602e-01,-8.668888713513220323e-02,-1.031745183563872043e-01
1.000222271615914593e+00,7.862280534515072583e-01,1.236786790238448841e+00,7.158821045785959125e-01,-9.486332638615455060e-02,-4.175953699687647014e-02
1.013558568570793517e+00,7.849105320908245087e-01,1.236666676895496142e+00,7.115429679432194732e-01,-1.026590475248044948e-01,-1.441334836921782936e-01
1.026894865525672440e+00,7.834914719394683313e-01,1.236649685530554432e+00,7.072354135491506488e-01,-1.100937851307615262e-01,-1.225327861934930873e-01
1.040231162480551363e+00,7.819755758750438490e-01,1.236731232381814483e+00,7.029594545186245158e-01,-1.171843452176849765e-01,-2.016108128915028719e-01
1.053567459435430065e+00,7.803673236069575969e-01,1.236906952268896465e+00,6.987150994018473948e-01,-1.239466481669325715e-01,-2.193936161086961767e-01
1.066903756390308988e+00,7.786709887513360018e-01,1.237172681948351283e+00,6.945023531386556037e-01,-1.303957906636576403e-01,-1.792175200667943114e-01
1.080240053345187912e+00,7.768906548950259561e-01,1.237524444444905836e+00,6.903212179315961761e-01,-1.365461037951444523e-01,-1.404480547216992725e-01
1.093576350300066835e+00,7.750302178023351640e-01,1.237958446884772190e+00,6.861716933263730667e-01,-1.424111733718843587e-01,-1.025118878625822100e-01
1.106912647254945536e+00,7.730933932071998305e-01,1.238471072788187355e+00,6.820537763418821342e-01,-1.480038753817576325e-01,-2.669285032071648522e-02
1.120248944209824460e+00,7.710837276057564971e-01,1.239058871530829053e+00,6.779674620240501159e-01,-1.533364179228314250e-01,-2.049295676775619302e-01
1.133585241164703383e+00,7.690046151604423841e-01,1.239718541850601374e+00,6.739127443424998143e-01,-1.584203981895717650e-01,-1.079683832011302247e-01
1.146921538119582085e+00,7.668592990528130260e-01,1.240446930522951297e+00,6.698896162489048622e-01,-1.632668176640452162e-01,-1.934838655883401870e-01
1.160257835074461008e+00,7.646508776807566798e-01,1.241241026228287136e+00,6.658980697530039183e-01,-1.678861102463354849e-01,-1.755125755514780339e-01
1.173594132029339931e+00,7.623823089649403029e-01,1.242097955293847811e+00,6.619380959854734847e-01,-1.722881646724013505e-01,-2.463477455872633559e-01
1.186930428984218855e+00,7.600564274135666043e-01,1.243014965052775755e+00,6.580096861412128018e-01,-1.764823787837829505e-01,-2.504316656273040675e-01
1.200266725939097556e+00,7.576759476601210297e-01,1.243989420384917777e+00,6.541128316470931070e-01,-1.804776779837742318e-01,-2.194007081237996371e-01
1.213603022893976480e+00,7.552434667414618108e-01,1.245018801466202030e+00,6.502475241995968602e-01,-1.842825302434392687e-01,-2.439380613584702928e-01
1.226939319848855403e+00,7.527614684058580030e-01,1.246100699446808679e+00,6.464137556260856066e-01,-1.879049666857653678e-01,-1.880826862195899840e-01
1.240275616803734327e+00,7.502323313980948649e-01,1.247232808381995239e+00,6.426115183863670977e-01,-1.913526107045050439e-01,-2.264783338944310886e-01
1.253611913758613028e+00,7.476583399873170110e-01,1.248412914948385577e+00,6.388408061176649166e-01,-1.946327122631747175e-01,-1.320978585757802692e-01
1.266948210713491951e+00,7.450416842347300506e-01,1.249638898181377744e+00,6.351016136450431393e-01,-1.977521555762863370e-01,-1.901011700122115788e-01
1.280284507668370875e+00,7.423844637841519045e-01,1.250908725709622304e+00,6.313939369777665789e-01,-2.007174759671892239e-01,-1.924555665043283514e-01
1.293620804623249576e+00,7.396886889667451115e-01,1.252220452593864275e+00,6.277177730928901189e-01,-2.035348698286653657e-01,-1.466631098940236744e-01
1.306957101578128499e+00,7.369562918466167067e-01,1.253572210572262646e+00,6.240731206436713752e-01,-2.062102280848066571e-01,-1.803046146329720378e-01
1.320293398533007423e+00,7.341891310020320915e-01,1.254962203383560793e+00,6.204599801963112116e-01,-2.087491537130018171e-01,-2.106158028173052699e-01
1.333629695487886346e+00,7.313889916682507764e-01,1.256388706626141660e+00,6.168783542331909286e-01,-2.111569674025241261e-01,-2.156931354858942773e-01
1.346965992442765048e+00,7.285575891887853262e-01,1.257850064305500393e+00,6.133282470683990573e-01,-2.134387218829662258e-01,-2.194861537430496945e-01
1.360302289397643971e+00,7.256965691358142623e-01,1.259344688659295830e+00,6.098096646511004248e-01,-2.155992076293499760e-01,-1.617631098265875922e-01
1.373638586352522895e+00,7.228075174166752603e-01,1.260871050317071251e+00,6.063226152453973228e-01,-2.176429819425149681e-01,-1.784887011081798536e-01
1.386974883307401818e+00,7.198919631404140373e-01,1.262427675493828616e+00,6.028671095712145878e-01,-2.195743801601003076e-01,-2.012784822647915306e-01
1.400311180262280519e+00,7.169513786835856051e-01,1.264013145925009907e+00,5.994431608055498240e-01,-2.213975198262820021e-01,-1.814560534721682827e-01
1.413647477217159443e+00,7.139871824124202071e-01,1.265626096131784672e+00,5.960507844725824178e-01,-2.231163118034830140e-01,-2.503429767462505562e-01
1.426983774172038366e+00,7.110007381073563115e-01,1.267265213917267319e+00,5.926899981668698469e-01,-2.247344632143437604e-01,-1.991833229809604200e-01
1.440320071126917068e+00,7.079933631422958840e-01,1.268929232414450325e+00,5.893608221698416472e-01,-2.262555002296004758e-01,-2.968721833781173824e-01
1.453656368081795991e+00,7.049663314231272571e-01,1.270616927208665814e+00,5.860632795987980037e-01,-2.276827783148082096e-01,-1.603192507020131941e-01
1.466992665036674914e+00,7.019208733877251305e-01,1.272327116337585773e+00,5.827973964069093071e-01,-2.290194852670081604e-01,-2.245170723237630561e-01
1.480328961991553838e+00,6.988581775356020875e-01,1.274058658752909468e+00,5.795632013095638468e-01,-2.302686481897580906e-01,-2.210989981511862212e-01
1.493665258946432539e+00,6.957793903926010604e-01,1.275810454247358505e+00,5.763607253719958967e-01,-2.314331372644231055e-01,-2.014639449746501443e-01
1.507001555901311463e+00,6.926856209324291358e-01,1.277581439184616530e+00,5.731900024574121399e-01,-2.325156784168349589e-01,-2.330011571348851451e-01
1.520337852856190386e+00,6.895779452084033201e-01,1.279370581967371523e+00,5.700510694796305788e-01,-2.335188666924035428e-01,-2.462242609382016834e-01
1.533674149811069309e+00,6.864574063726172071e-01,1.281176883018395385e+00,5.669439664035017534e-01,-2.344451686226819154e-01,-1.749559375186114374e-01
1.547010446765948011e+00,6.833250150579923687e-01,1.282999374397457926e+00,5.638687362270534686e-01,-2.352969254856251136e-01,-2.295093919501303981e-01
1.560346743720826934e+00,6.801817505596932101e-01,1.284837118529968514e+00,5.608254245720933895e-01,-2.360763593880390587e-01,-2.818699430360740998e-01
1.573683040675705858e+00,6.770285607183772481e-01,1.286689208325160427e+00,5.578140796891878361e-01,-2.367855751165558464e-01,-2.148076293275957560e-01
1.587019337630584559e+00,6.738663680874149575e-01,1.288554761169085960e+00,5.548347528872702439e-01,-2.374265761433886901e-01,-3.226825982527635750e-01
1.600355634585463482e+00,6.706960706125668636e-01,1.290432918255906447e+00,5.518874985539560241e-01,-2.380012680407819770e-01,-1.552241461789988786e-01
1.613691931540342406e+00,6.675185416319837639e-01,1.292322844587892261e+00,5.489723741555423420e-01,-2.385114602542811324e-01,-2.470680158643049906e-01
1.627028228495221329e+00,6.643346307322420818e-01,1.294223728094737513e+00,5.460894400764036982e-01,-2.389588702667299613e-01,-2.366646775944050152e-01
1.640364525450100031e+00,6.611451630576923311e-01,1.296134780192485181e+00,5.432387590591423177e-01,-2.393451249524099766e-01,-1.264566020245679323e-01
1.653700822404978954e+00,6.579509420413864884e-01,1.298055233173529999e+00,5.404203965972207424e-01,-2.396717678292117626e-01,-1.320847138734296267e-01
1.667037119359857877e+00,6.547527529013270620e-01,1.299984336782187500e+00,5.376344210622662212e-01,-2.399402685752446696e-01,-2.341499345768771612e-01
1.680373416314736801e+00,6.515513626652216228e-01,1.301921358190104572e+00,5.348809037034152336e-01,-2.401520244957276728e-01,-2.089087069667829311e-01
1.693709713269615502e+00,6.483475201858843739e-01,1.303865581980742983e+00,5.321599186451753116e-01,-2.403083619558271100e-01,-1.857993686905581032e-01
1.707046010224494426e+00,6.451419569241623186e-01,1.305816309301327083e+00,5.294715424641560642e-01,-2.404105405303010590e-01,-1.563094902067243275e-01
1.720382307179373349e+00,6.419353854357373601e-01,1.307772859269052068e+00,5.268158537748568460e-01,-2.404597517757272873e-01,-2.470143967472091806e-01
1.733718604134252050e+00,6.387285032763803105e-01,1.309734565208727997e+00,5.241929336026061037e-01,-2.404571287704709848e-01,-2.336941180741915480e-01
1.747054901089130974e+00,6.355219946668153597e-01,1.311700773015460841e+00,5.216028653644048108e-01,-2.404037511952130390e-01,-1.791720400811336600e-01
1.760391198044009897e+00,6.323165304927205188e-01,1.313670841154653823e+00,5.190457348689265782e-01,-2.403006464717480084e-01,-2.268231313428969720e-01
1.773727494998888821e+00,6.291127683375619117e-01,1.315644140628304593e+00,5.165216303049788849e-01,-2.401487909922121744e-01,-2.024237981278014242e-01
1.787063791953767522e+00,6.259113528140278770e-01,1.317620054550333819e+00,5.140306415743162161e-01,-2.399491134452459429e-01,-2.094561371476388878e-01
1.800400088908646445e+00,6.227129141405727264e-01,1.319597979485539696e+00,5.115728600042737106e-01,-2.397024933487036658e-01,-2.964480907632778828e-01
1.813736385863525369e+00,6.195180716969758139e-01,1.321577322025637269e+00,5.091483785791659500e-01,-2.394097696558973032e-01,-2.823568202468498267e-01
1.827072682818404292e+00,6.163274350648672018e-01,1.323557497762276158e+00,5.067572918431096918e-01,-2.390717442934567061e-01,-3.711386865016078618e-01
1.840408979773282994e+00,6.131416040277273272e-01,1.325537931287041005e+00,5.043996959000232039e-01,-2.386891831170734057e-01,-2.516952183279113076e-01
1.853745276728161917e+00,6.099611685847453613e-01,1.327518056176906880e+00,5.020756884033379386e-01,-2.382628169118768957e-01,-1.713209454953392441e-01
1.867081573683040840e+00,6.067867089583039997e-01,1.329497314889045656e+00,4.997853677261977490e-01,-2.377933441078237953e-01,-2.932536812917775348e-01
1.880417870637919542e+00,6.036187941767321430e-01,1.331475160081824871e+00,4.975288326183202603e-01,-2.372814293527634733e-01,-1.755912506818380625e-01
1.893754167592798465e+00,6.004579849668252312e-01,1.333451051848735025e+00,4.953061823641085604e-01,-2.367277104505033092e-01,-1.867504018018197320e-01
1.907090464547677389e+00,5.973048346636044004e-01,1.335424456819005012e+00,4.931175165791483184e-01,-2.361328016303458066e-01,-2.388749109623319045e-01
1.920426761502556312e+00,5.941598892103161500e-01,1.337394848157602345e+00,4.909629352102078959e-01,-2.354972943716388545e-01,-2.358778765598660010e-01
1.933763058457435013e+00,5.910236871584773066e-01,1.339361705565184302e+00,4.888425385351738983e-01,-2.348217582193612429e-01,-2.306801011763854048e-01
1.947099355412313937e+00,5.878967595048948391e-01,1.341324515363927716e+00,4.867564263531797275e-01,-2.341067429115043508e-01,-2.771610886004559626e-01
1.960435652367192860e+00,5.847796281784514161e-01,1.343282771871123993e+00,4.847046972524869934e-01,-2.333527774893397744e-01,-2.474692977209133338e-01
1.973771949322071784e+00,5.816728081347655177e-01,1.345235975433110021e+00,4.826874489250799760e-01,-2.325603749221125394e-01,-2.348885902510740586e-01
1.987108246276950485e+00,5.785768083635901560e-01,1.347183631432498530e+00,4.807047777524972032e-01,-2.317300358437427155e-01,-2.011331385617680101e-01
2.000444543231829186e+00,5.754921318888125414e-01,1.349125250288179645e+00,4.787567788058312290e-01,-2.308622492697089135e-01,-1.912716069888243109e-01
2.013780840186708332e+00,5.724192757684540833e-01,1.351060347455319999e+00,4.768435458457286336e-01,-2.299574933004856492e-01,-2.670943958748447367e-01
2.027117137141587033e+00,5.693587309073819824e-01,1.352988443570594779e+00,4.749651707747455376e-01,-2.290162365234767183e-01,-1.877305794693050200e-01
2.040453434096466179e+00,5.663109804417925108e-01,1.354909065886413577e+00,4.731217422194430311e-01,-2.280389382225219419e-01,-2.669324652474656667e-01
2.053789731051344880e+00,5.632765009365759967e-01,1.356821747181874205e+00,4.713133461762762932e-01,-2.270260502591236740e-01,-2.354718769079961471e-01
2.067126028006223581e+00,5.602557635588426566e-01,1.358726024626063289e+00,4.695400653507443289e-01,-2.259780214599300119e-01,-2.075027536764001701e-01
2.080462324961102727e+00,5.572492340888224316e-01,1.360621439766286800e+00,4.678019791292021834e-01,-2.248952983045157394e-01,-2.260279681565194043e-01
2.093798621915981428e+00,5.542573729198647658e-01,1.362507538528068496e+00,4.660991635788610532e-01,-2.237783255144549233e-01,-2.301263670365429337e-01
2.107134918870860130e+00,5.512806349595378297e-01,1.364383871300012929e+00,4.644316912092429361e-01,-2.226275468910072219e-01,-2.091554839968164381e-01
2.120471215825739275e+00,5.483194680241765262e-01,1.366249994364619358e+00,4.627996291360608194e-01,-2.214434062613109822e-01,-2.490833586840434100e-01
2.133807512780617976e+00,5.453743130660277938e-01,1.368105469701793808e+00,4.612030396516323405e-01,-2.202263473950666350e-01,-2.528596546028629155e-01
2.147143809735496678e+00,5.424456054840908203e-01,1.369949863764230225e+00,4.596419796408215408e-01,-2.189768182897403048e-01,-2.291825236793052223e-01
2.160480106690375823e+00,5.395337751613737964e-01,1.371782747438913264e+00,4.581165004243263339e-01,-2.176952720339292990e-01,-1.696317114141260296e-01
2.173816403645254525e+00,5.366392464648938043e-01,1.373603696047116740e+00,4.566266477586789496e-01,-2.163821672632240678e-01,-2.214655712811978705e-01
2.187152700600133670e+00,5.337624382281466184e-01,1.375412289360437690e+00,4.551724617982151888e-01,-2.150379686274692670e-01,-1.198119019834073540e-01
2.200488997555012372e+00,5.309037624601916638e-01,1.377208112774356064e+00,4.537539754760405164e-01,-2.136631477853499494e-01,-2.029504841978188590e-01
2.213825294509891073e+00,5.280636234897762016e-01,1.378990758080425483e+00,4.523712142719433227e-01,-2.122581826142721784e-01,-3.609781135212993264e-01
2.227161591464770218e+00,5.252424193825793175e-01,1.380759822187412222e+00,4.510241962210536637e-01,-2.108235603052871776e-01,-2.328012451431628049e-01
2.240497888419648920e+00,5.224405420126143618e-01,1.382514907059104514e+00,4.497129315333584509e-01,-2.093597785531819688e-01,-1.261080731844602121e-01
2.253834185374527621e+00,5.196583770622283938e-01,1.384255619714313434e+00,4.484374225937010072e-01,-2.078673458539055385e-01,-2.075500541046838565e-01
2.267170482329406767e+00,5.168963040221030703e-01,1.385981572226873126e+00,4.471976639617812888e-01,-2.063467817696569839e-01,-2.282384655881117830e-01
2.280506779284285468e+00,5.141546954770944700e-01,1.387692382391779056e+00,4.459936415352644401e-01,-2.047986173689061717e-01,-2.484816043188141643e-01
2.293843076239164169e+00,5.114339152463788229e-01,1.389387675420739710e+00,4.448253310847922748e-01,-2.032233946971936656e-01,-1.370335032852183499e-01
2.307179373194043315e+00,5.087343197698726005e-01,1.391067082693485002e+00,4.436926990778604640e-01,-2.016216680383862703e-01,-1.514804416890906391e-01
2.320515670148922016e+00,5.060562582681072952e-01,1.392730241646967793e+00,4.425957021724005180e-01,-1.999940052814908609e-01,-1.663922628189823949e-01
2.333851967103801162e+00,5.034000727392788921e-01,1.394376795778245137e+00,4.415342872109933037e-01,-1.983409880456372121e-01,-1.769358910285881159e-01
2.347188264058679863e+00,5.007660979592484241e-01,1.396006394644478066e+00,4.405083912208695440e-01,-1.966632117654602274e-01,-1.246178991147877529e-01
2.360524561013558564e+00,4.981546612150977160e-01,1.397618694118411220e+00,4.395179411551827786e-01,-1.949612857128429633e-01,-1.539012005929477067e-01
2.373860857968437710e+00,4.955660801873910670e-01,1.399213358356944603e+00,4.385628521549018721e-01,-1.932358322942954454e-01,-2.547258524555593984e-01
2.387197154923316411e+00,4.930006636512122009e-01,1.400790059146109767e+00,4.376430281587635474e-01,-1.914874872622454038e-01,-1.530653102663669940e-01
2.400533451878195113e+00,4.904587120243325549e-01,1.402348475476544065e+00,4.367583619298104902e-01,-1.897169005440773049e-01,-1.812355837882248244e-01
2.413869748833074258e+00,4.879405173316188060e-01,1.403888293582257196e+00,4.359087349974338776e-01,-1.879247362162310975e-01,-1.934407259016145131e-01
2.427206045787952959e+00,4.854463632050334820e-01,1.405409206940630984e+00,4.350940176573734330e-01,-1.861116724135405409e-01,-1.479422660007648216e-01
2.440542342742831661e+00,4.829765248319934368e-01,1.406910916323924177e+00,4.343140689396324250e-01,-1.842784011652614240e-01,-1.828590759077739492e-01
2.453878639697710806e+00,4.805312672990702527e-01,1.408393131373991691e+00,4.335687355016469846e-01,-1.824256271764054804e-01,-3.291033698762922954e-01
2.467214936652589508e+00,4.781108451360100986e-01,1.409855570988741036e+00,4.328578512850219662e-01,-1.805540675403368434e-01,-1.026846615409348212e-01
2.480551233607468653e+00,4.757155034154049722e-01,1.411297962406111717e+00,4.321812383910111910e-01,-1.786644517876721239e-01,-1.267784517173896064e-01
2.493887530562347354e+00,4.733454777252673606e-01,1.412720041255342895e+00,4.315387070883462406e-01,-1.767575215644844877e-01,-1.828869826078756700e-01
2.507223827517226056e+00,4.710009941690297963e-01,1.414121551556973388e+00,4.309300558132360126e-01,-1.748340303954510344e-01,-1.934538618469932025e-01
2.520560124472105201e+00,4.686822693653409089e-01,1.415502245723064378e+00,4.303550711694181796e-01,-1.728947434228032820e-01,-1.615623220777211155e-01
