A,B,P,Q,J_net
5.983570298976998103e+00,6.343210651144063128e+00,2.986749609413162698e+00,9.482606830471947745e+00,1.639561190668023805e-01
3.445321132520619223e+00,1.759088789404191555e+00,1.587041115349392850e+00,4.846844190248329021e+00,5.659579012713218671e-02
3.977028105228796129e+00,3.527114936094408293e+00,4.687215654282829824e+00,6.225035423090645281e+00,-6.315996520738866027e-03
8.913716084847443710e+00,9.203913389823819013e-01,3.984236231968604436e+00,6.462658033555663373e+00,-4.581804047342420694e-02
2.348860175980459264e+00,7.593893897264179849e+00,7.620694684358511495e+00,2.503385241335363887e+00,8.096332515037221733e-02
6.269552732391820093e+00,5.776043706095135732e+00,3.899836582996880630e+00,9.077749720617404705e+00,1.218785861007010696e-01
9.317519014656098220e-01,3.865733912461557065e+00,4.771152324647848886e+00,5.503146506119119152e+00,-1.564807144268186567e-01
8.343177061768638936e+00,4.053520580020841813e-01,5.748435814836017954e+00,8.037703394437899496e-01,2.505422587694594930e-02
7.892273244137965271e+00,5.583523565619084472e+00,3.473509587838080837e+00,3.610819890589151981e+00,3.128572095222478811e-01
2.469757485630226235e+00,5.464843507587080929e+00,3.264916477909517667e+00,6.820876656353310530e+00,2.977723303293581744e-02
8.777193885025967646e+00,4.640902434053645109e+00,3.291662117444146496e+00,1.147749926641715046e+00,4.056497650816004996e-01
6.798235445714240210e-01,8.295649310918239649e+00,6.931542088516324363e+00,9.537819085614438919e+00,-1.903315815934978616e-01
3.427558899402037618e+00,2.340771180039696864e-01,4.602539020890066723e+00,9.380215047223712688e+00,-2.547244833286152477e-01
1.587766722258906693e+00,9.231914244507700928e+00,5.767269435071366246e+00,9.496375713063684998e+00,-8.585857166810664798e-02
4.558359729827941464e+00,9.739765537397484962e+00,9.827138942703983915e+00,7.323050726036133717e+00,3.558362512280686951e-02
7.983610275844212900e+00,1.579370375339633537e+00,2.395357113076761912e+00,8.025971254714940883e+00,2.996704693999477712e-02
2.383357869038099874e+00,8.719488042423051866e+00,7.694597945473932166e-01,1.929076508265447742e+00,3.392908896067836633e-01
6.150108805376551802e-01,6.185956270662429368e+00,2.421707501421300091e+00,2.330929096732627492e+00,2.588422966588021720e-02
4.105063214233129365e+00,9.112755333604276586e+00,7.050955901471046339e+00,5.712327597952794989e+00,1.024927926829075631e-01
2.065279140641627986e+00,7.496327800377665440e+00,7.572606892968493320e+00,3.270076264851542458e+00,2.938827482767321364e-02
9.984551516293068696e-01,6.679208439958770782e+00,1.977208815326781277e+00,7.392662223421476719e-01,1.667119256766327051e-01
5.845290621269821685e+00,7.842867323959325176e+00,3.898518562829003997e+00,8.252196730416418546e+00,1.821233466043559457e-01
3.057091714907334001e+00,2.887380094824319787e+00,4.326494534512637991e+00,9.794202646157712522e+00,-1.273991016427396539e-01
6.752749291767957907e+00,5.028832441238508366e+00,4.190884538599439324e+00,5.401652623240333462e+00,1.856866403632690121e-01
2.075202895285311655e+00,4.944095059935678549e+00,7.099308819996187125e+00,6.464510755909488537e+00,-1.177490650371959408e-01
9.426919794014327891e+00,1.673694776304358367e+00,9.722198941636010616e+00,4.348029347150474067e+00,-4.084628942565313170e-02
3.714590665623803023e+00,2.369236445812066716e+00,2.242467767667744472e+00,5.678925630150030157e-01,2.962059256820691600e-01
1.144403267745272457e+00,2.589060585043843066e-01,4.810913466526281823e+00,4.787598044651629081e+00,-2.879270943662583515e-01
6.328170700243121338e+00,8.846345248721856791e+00,4.899846946385375546e+00,4.930917951476992300e+00,2.627490955590829902e-01
9.278830075371887531e+00,5.601823687004567898e-01,1.868592396491615792e+00,9.924260385976237941e+00,-3.696493687948119999e-02
4.459733831686261141e+00,1.024913892340612920e+00,5.211691613780511823e+00,4.212798584579764416e+00,-1.091706818012023461e-01
9.550445887538298706e+00,7.011195801694196206e+00,2.320285742396440920e+00,2.037865986662650286e+00,4.628962553772816291e-01
5.048968555507705958e+00,8.664367176127255377e+00,5.833847516085727491e+00,2.352917906547330240e+00,2.800547626231260634e-01
4.309763386005847963e+00,6.998974404358073720e+00,3.156370374620326658e+00,9.625821914480171770e+00,1.143490460398280811e-01
6.240113174952240271e+00,7.155832766168640724e+00,3.213625259067317774e+00,5.272534713348537849e+00,2.773423176632205389e-01
9.951455401829708336e+00,3.799801388524552959e+00,4.866032571865904544e+00,2.425919778418306194e+00,2.758793205110727231e-01
9.494542381883876558e+00,7.859007803857003260e+00,9.440533132748040401e+00,9.976639800476966968e+00,8.563817751781510612e-02
4.654446879160051509e+00,7.753763520146394583e+00,8.844690567959840877e+00,3.456874969767990691e-01,3.053153757504348254e-01
7.601515568552085433e+00,3.661592476720586298e+00,6.737034434826704832e+00,2.718432679079918035e+00,1.782613305283324567e-01
5.024484685327427869e+00,9.228155277596844286e+00,9.914213650278721701e+00,8.374321905591893156e+00,1.927870233271938502e-02
5.340190385948027085e+00,4.625670448878340224e+00,3.522407359928713344e+00,3.469233871310031248e+00,2.259803580113441401e-01
7.879278437066694174e+00,6.759179673219380291e+00,4.843755900642997547e-01,5.699756966809188974e+00,4.201021089885057513e-01
4.205092908621140602e+00,4.071391476859380631e+00,3.626238145495948473e+00,1.092038021200614883e+00,2.933930954899382493e-01
7.371387360708420822e+00,5.778985300645731016e+00,4.574721628376145155e+00,2.056072295678543771e+00,3.410082484019986149e-01
7.140314492098523758e+00,9.524112856907632763e-01,4.914591674001927757e+00,6.483123274817739201e+00,-9.609242974676424076e-02
9.327390897472444209e+00,4.264523592699796417e+00,8.323377150219220866e+00,2.977113011942702059e+00,1.913597898630491068e-01
1.237833069480961390e+00,7.652184932019778785e+00,3.198538167598008908e+00,2.863092054495974370e+00,8.073504044918600187e-02
7.317249659055462985e+00,8.405017750371072793e+00,5.234218542913140482e+00,4.248348228662210957e+00,2.923809172443603277e-01
9.281496893383144098e+00,3.474876383232567978e+00,8.584895320233263405e+00,2.711047750212238761e+00,1.614084112313113328e-01
9.682469280254000665e+00,6.430624719019562008e-01,1.907213816604894863e+00,1.815790098653211837e+00,8.484959238873233944e-02
2.455924191571559612e-01,1.770840082519297143e+00,9.100624830107472363e+00,6.585594651509436126e+00,-3.334027340762907299e-01
8.650036893431201079e+00,2.901660154469850372e+00,1.456590037751511524e+00,4.273330501410444349e+00,2.531642645869307540e-01
9.813830896656808633e+00,4.998866731794433527e+00,6.952072925068024212e+00,3.340042727069234552e+00,2.394236699625207909e-01
9.576380778148539719e+00,2.705252936792534424e+00,9.512346055358563035e+00,4.086947537342924264e+00,4.494850097223759139e-02
1.572763721101729351e+00,3.766735893283022385e+00,6.110135586880741876e+00,8.202770417544385850e+00,-1.952892186883050663e-01
9.729025256847254610e+00,2.699773348975352816e-01,6.881150058726411167e+00,2.677872864967758559e+00,-8.839894154488596445e-02
8.910362001633155060e+00,4.200108625578564236e+00,7.698398337011442827e+00,8.283954253387230793e+00,2.717704819775527275e-02
8.241500892676397072e+00,6.994568544519291997e+00,2.488790963452831573e+00,2.969453295347156629e+00,4.117105132293348846e-01
4.851880445697538846e+00,4.544151073797565665e+00,1.084820784530718063e+00,4.125440518693293868e+00,3.122624503573488419e-01
2.400491904429108203e+00,2.020796037158975711e+00,4.423921197296523111e+00,9.778105317068726876e+00,-1.953027392877629553e-01
8.038617729311248183e+00,9.310236188995908435e+00,5.840434919221653587e+00,3.542088717241582696e+00,3.308514302468385515e-01
9.242948581856348156e+00,1.923845097675477955e+00,2.771752673487021479e+00,8.717009526156937582e+00,4.511337206758191803e-02
2.734689695693696798e+00,8.696435759205717986e+00,5.336220717859031515e-01,9.118929491524044195e+00,2.599034626604062037e-01
5.435450635459650570e+00,1.987523876953365409e+00,8.393201078744240817e+00,2.925965037205924268e+00,-1.890026361255556925e-02
4.483253006847862210e+00,1.593928817602450865e+00,7.535874046913312085e+00,1.105980800681505949e+00,6.737264165208693700e-02
9.317071428213434814e+00,4.928796965389646623e+00,9.467650922298517457e+00,7.606942273034564828e+00,4.286245139453828679e-02
5.010560407655029191e-01,6.637043088527886603e+00,1.621973637308625094e+00,7.841555779927793957e+00,-6.085588446242914257e-02
7.346861336999952030e+00,4.584473987309626075e+00,4.301275910419781190e-01,6.356578174542525383e-01,5.061699869525486672e-01
6.182295144795067365e+00,5.130708724519021047e+00,7.414699750051352289e+00,5.840539748045833868e+00,6.685329457952718379e-02
3.808171146238584770e-01,6.272310648732865701e+00,8.676758596983999539e+00,3.486698548819423316e+00,-1.443706193672756044e-01
7.220275750984729513e+00,4.884943765844959707e+00,2.299090746850787070e+00,7.824599997525222506e+00,2.092841098514712783e-01
2.583181222833625390e-01,9.572860583177313032e+00,3.835743954768263464e+00,6.473516136617138095e+00,-1.156364573960979442e-01
7.603714923328638520e+00,1.598076134161269035e+00,8.490076621630651132e+00,2.448634903052928635e+00,2.135931962149981156e-02
5.176311360294572950e+00,3.974250549221759243e+00,2.136666415304890876e-01,1.277027390831721565e+00,4.568275561265353613e-01
9.298131785890360490e+00,1.364486478379701495e+00,2.744090929002595214e+00,2.591507505538135914e-01,2.526734386069282023e-01
7.542167175683398561e-01,2.055815966701803443e+00,1.384671654328450074e+00,8.142742159624672738e+00,-1.292691666381912963e-01
8.429041068162593575e+00,6.238385397184937453e+00,9.483703815437195317e+00,8.553112702345554652e+00,4.715620386061541297e-02
7.602310867943039563e-01,8.678851662830208369e+00,5.387282334000700335e-01,4.790899353998798738e+00,1.198429805985039426e-01
3.508668790160839546e+00,3.612250424751347389e+00,5.374137600618977828e+00,8.174001909386328535e+00,-8.650667192526621807e-02
4.359957446283550198e+00,8.562123959420546271e+00,7.049020455770691918e+00,4.567135243639036446e+00,1.381855245228376661e-01
9.664014599762294822e+00,3.863405152815813537e+00,4.804138361691001613e+00,7.914100546627722110e+00,1.066773347766422075e-01
5.666095238061724437e+00,7.122048778325344998e+00,2.701447791339237625e+00,5.704125235550923989e+00,2.713940957207697791e-01
2.662759472392229210e+00,1.198153936964989841e+00,3.375479714507577444e+00,4.077711678365910863e+00,-9.607586093181813558e-02
2.492589569534015226e+00,5.561793463274684157e+00,2.310525592936680361e+00,5.464718939445013524e-01,3.182823364979806557e-01
8.892371374525881222e+00,4.825230007253692999e-01,8.561772483924544375e+00,3.116997506336647294e+00,-1.067322661367751113e-01
2.336107341331511655e+00,1.515030962449901208e+00,1.280579701598155429e-01,8.608607411665277098e+00,9.982761625654705540e-02
1.333091587769306585e+00,3.112706940913750664e+00,1.345925529707151735e+00,5.791000640051239046e+00,7.700994210817756550e-03
2.954474494375018523e+00,5.854707480473118064e-01,8.679777937069085070e+00,6.439797244624395844e+00,-2.876270657276012166e-01
5.902618341646054922e+00,8.736848706808055809e+00,9.812634509631799062e+00,4.284772193860710843e+00,1.519050587762151294e-01
5.585495971515351599e+00,8.230941415497223801e+00,4.483225958968584557e+00,3.498973758574778881e+00,2.878411618480577472e-01
8.116136681536499253e+00,9.325054780969315615e+00,7.757529288521019417e+00,8.968304280345632762e+00,1.442328896610927391e-01
5.648711924861239631e+00,2.324818036136881094e+00,8.862829064247529587e+00,8.008129014117390199e+00,-1.487029889198832611e-01
2.955370022868983870e+00,4.516746209894628272e+00,8.234016028702958678e+00,4.441990380425795415e+00,-4.839429935575753627e-02
4.187673792540837603e+00,8.108909429745324360e+00,4.263031652996095211e+00,4.565284905504212176e+00,2.035057032609283445e-01
8.199397612612013830e+00,2.834274975224853055e+00,8.806650933762478317e+00,8.007265762002433007e+00,-6.569174300624935903e-02
6.302413977955559687e+00,6.508630563056764018e+00,4.641315954354308992e+00,3.153350931211926333e+00,2.838819284005731913e-01
9.594868662704678641e+00,3.518057481967624245e+00,6.959655992931392809e+00,2.786002580032260312e+00,1.948232781176671979e-01
3.757103669807640767e+00,3.831255950868930338e+00,9.852809728772117026e+00,9.845912348096808486e+00,-1.865791643600809568e-01
5.570853954160743804e+00,6.786188028700754771e+00,3.555956666653408593e+00,4.011623041559666092e+00,2.747138078008689588e-01
5.979849595970366138e+00,9.399480424746089469e+00,3.839048819718642758e+00,1.227719884149743201e+00,4.177659350486139789e-01
8.498082961923094203e+00,8.118684168470512219e+00,7.398416469051992017e+00,8.743299291129554618e+00,1.397532239970985246e-01
1.540188028046664437e+00,3.545650763185602905e+00,7.588091136813471138e+00,7.272913741336725302e+00,-2.135601569673078459e-01
4.124452333806454263e+00,7.852389439445115471e-01,9.465785576377030441e-01,4.521256037091041513e+00,3.421302192920245427e-02
9.108593720456740428e+00,9.692991033913214594e+00,2.212362001822973490e+00,5.025130961286173870e-01,5.472659852488258592e-01
5.263621968252213401e-01,3.468216102972583759e+00,4.121331489902405387e+00,3.652199836985935200e+00,-1.417497407266833931e-01
8.244792173796868795e+00,7.221508669330597208e+00,4.188799525963224468e+00,9.212658308313597999e+00,1.961958566375350266e-01
4.212301969975124294e+00,6.680124067514201514e-01,1.373033920281466314e+00,9.936469999845193968e+00,-6.830770965126625738e-02
8.315059454253217908e+00,2.166614192613681156e-01,1.572742695893544873e+00,6.617109533694904400e+00,-4.761387208326159359e-02
1.985501519921903935e-01,6.451768870850427717e+00,2.989005050733974933e+00,4.101249015440035173e+00,-1.039019780493924405e-01
3.713956961806879509e+00,8.655339519808906701e+00,7.653072215752860785e+00,5.733941103532466776e+00,6.211092095039053712e-02
8.784373679398348456e-01,4.382862210474134379e+00,5.069437554103173760e+00,4.834444234601894763e+00,-1.360907184079189480e-01
6.560884305732720634e+00,6.409850195155346597e+00,2.475012323416689419e+00,9.995374361183520406e+00,1.968735046792084720e-01
2.811106076135616139e+00,7.059055521138581035e+00,2.056497525158046180e+00,2.599949203791711572e+00,2.717839622794882559e-01
7.056255499531884468e+00,8.510508737052520090e+00,7.414209215445720647e-01,4.617789974855320168e+00,4.512267111224912419e-01
9.443634126726699662e+00,1.000090666308935061e+00,4.612221704163439462e+00,3.525288133360191978e+00,1.598062426888034737e-02
1.355489312386352951e+00,5.391884786992501510e+00,9.862663915115762236e+00,2.162270458695592534e+00,-4.058685328788747687e-02
8.661305124467663319e+00,4.478708284888046620e+00,2.802138206774837936e+00,4.123845955414171094e+00,2.881719784463306344e-01
6.886951008433508381e-01,3.468550209014209074e+00,6.335218894397150358e+00,5.184125485264786448e+00,-2.088758338721506402e-01
3.869628032277805385e+00,3.769868033395191276e+00,4.685697120590505804e+00,2.423812941101690654e+00,1.459276073586241729e-01
4.354763205667908643e+00,4.212929358710058025e+00,5.531593383712874790e+00,6.674278185640911687e-01,2.832537278954312954e-01
4.939610513651296664e+00,1.803121043654523969e+00,2.322020794765719653e+00,7.252571058613629162e+00,7.090379188855639413e-03
9.766976987166842150e+00,8.650614072989215586e+00,7.749645658165447593e+00,5.671333472742525750e+00,2.436843528681624238e-01
7.779342762208100837e+00,2.958992039070678537e+00,7.453464239299413485e+00,5.790173537511463797e-01,2.809970002578361936e-01
3.157687890920684026e+00,4.057250786221735517e+00,7.638860462344120528e+00,2.891626210578708722e+00,2.237091593364836511e-02
2.771384176457921455e+00,5.889621766326667895e+00,5.770300922211435868e+00,3.935813462326204881e+00,5.560877436808059349e-02
8.644890021474246566e+00,6.893833461749770741e+00,9.524602050342727555e-01,2.931788134465292739e+00,4.723309314432946326e-01
8.824941010103129813e+00,4.956264358826784289e+00,8.216338953675668577e+00,2.698906760052444120e+00,2.261644474935783355e-01
5.155994404882088489e+00,4.482091245109991462e+00,2.407252285935037039e-01,8.633560937001579561e+00,2.872571614625805125e-01
3.508527736527020213e+00,3.729742856905247095e+00,2.494075711806571949e+00,4.003895430595336258e+00,1.478766869840916487e-01
9.949681746793086035e+00,5.090807091254744954e+00,4.144467032567542120e+00,2.542469201724844918e+00,3.435612641163455772e-01
3.227841099140232206e+00,2.409663120387682600e+00,3.131884304141260067e+00,5.880941605646264669e+00,-2.452514685775885814e-02
1.908852551372968387e+00,3.005678233473503269e-01,5.041714012673892853e+00,2.490798250885869258e+00,-2.055534123523092283e-01
8.812971400910290853e+00,9.160058078702652651e+00,3.765276689283045375e+00,2.149584218954436299e+00,4.439035617602055672e-01
8.142120441301415212e+00,1.966434465826916167e+00,3.385416903967737756e+00,3.265722699438272092e-01,3.053319869065336256e-01
6.712105115156377089e+00,4.065196249126724837e+00,2.706995133507065443e+00,8.926575519455232310e+00,1.239750161931832545e-01
9.588294954601725095e+00,5.431734355336444331e+00,8.129766813424322836e-01,6.425316144448104616e+00,3.588298644420510608e-01
9.264574314422745260e+00,3.425258579677162185e+00,4.399502573952326578e+00,5.177524284491894058e+00,1.579398671341173122e-01
7.507660182687365236e+00,4.336426112080454587e+00,4.097483628061591721e-01,3.486201106157826413e+00,3.993558525090745714e-01
8.620943954522010344e+00,3.983038920399819549e+00,9.414615841043786348e-01,6.422092794074667488e+00,2.874325332285323498e-01
2.546752729188864084e+00,4.585512513220102448e+00,1.873400640990607879e+00,8.658841195340247765e+00,5.293865764274858360e-02
1.498340913320213019e+00,7.709266782068797674e+00,3.269964399053033155e+00,7.474895976948332077e+00,-7.660768121769894606e-03
6.733612308217866271e+00,5.284886633618214091e+00,9.773974998384590052e+00,2.214019702900805464e-01,3.383077245653566267e-01
7.174723512882052567e+00,8.708651190781303342e+00,7.972682580938265318e+00,1.610833582742809522e+00,3.341937925160430312e-01
1.753823994944494702e+00,6.774058539733294637e+00,3.077337930049524051e-01,6.321849697121945333e+00,2.352732885544979169e-01
4.016017003738272528e+00,5.208674818721867439e+00,7.363615650635470189e+00,6.144210570669073057e+00,-1.309905756726460584e-02
9.111532085538941672e+00,3.393407350527230637e+00,1.764347467514070678e+00,3.460639254626309835e+00,2.982858187187896193e-01
5.657867598747207794e+00,8.656291581111901223e-01,1.702536821319682314e+00,7.595717443579682815e+00,-2.472685273167455483e-02
5.825525557770099283e+00,3.197523669744686714e+00,7.710492465533047124e+00,1.081789006739635628e+00,2.062468421823593356e-01
2.021884751618856502e+00,6.255994321761150445e+00,2.079152092941427998e+00,3.461972572465499720e+00,1.697461678076768454e-01
5.307620261316964516e+00,4.993451377705323324e+00,4.325670621569644325e+00,7.279974158808266260e+00,8.843980491524282284e-02
5.282003801209707028e+00,1.402199482893520255e+00,5.815771601501534604e+00,2.914909810361780096e+00,-1.828014239805550445e-02
9.804628384380926764e-01,5.751624580457592728e+00,7.416689481841858722e+00,4.425141136463367708e+00,-1.219233036338100984e-01
9.821232661954391929e+00,2.994143073850312753e+00,7.170237583214484012e+00,4.114338441118396972e+00,1.077397386094998688e-01
5.756816444512167230e+00,2.759048886645481424e+00,3.862587504191307364e+00,1.843155009846865200e+00,2.161711216739104768e-01
1.634479383766706539e-01,3.157387053682101374e+00,5.190971012453839073e+00,3.244991394280944963e+00,-1.948466600272784899e-01
7.749227092131347305e+00,6.901404576475196784e+00,3.102580209155328284e+00,9.085168197711798399e+00,2.225873186459604858e-01
9.784830567017442249e+00,6.673636530354221996e+00,6.776290341021642405e+00,6.025490546078115628e+00,2.072857428093752008e-01
5.939713280377409532e+00,9.363274627954978335e-01,4.276554359644866743e+00,1.993010687907915413e-01,1.796135446636261401e-01
3.264848199198383760e+00,2.158192854775077496e+00,8.024428286939453869e+00,3.391896774686902205e+00,-9.461575423117170314e-02
1.956326385705070559e+00,6.027890059729611671e+00,9.997436573013157357e+00,8.178776478629238511e+00,-1.743177704853951793e-01
6.758013675777005957e+00,9.616144633713412659e-01,3.748794282871504180e+00,4.525935765031633196e+00,-2.967944836826341345e-02
2.031563244722369710e+00,7.648100690588540473e+00,4.062091081946224591e+00,1.740643242805785196e+00,1.741566548340121312e-01
5.819110135926806926e+00,7.452215462870714013e+00,8.102732511268495585e+00,2.682029671697858220e+00,2.225561052116304395e-01
6.062167846158295070e+00,1.873931961311616545e+00,3.123467199181638509e+00,1.977793297373109827e+00,1.703710527474133207e-01
9.627988621931372393e+00,9.864848152714669638e+00,3.216568557320874877e+00,8.405523647477044946e+00,3.278565955647887442e-01
8.154261287457801322e-01,8.110513437926806901e+00,5.442731258691106966e+00,3.411923676202530675e+00,-3.309830668147607791e-02
5.049730954220323476e+00,1.255274854908528415e+00,3.766862617895687659e+00,2.449769179355635040e-01,2.178728618834382957e-01
7.466565044898217707e+00,8.921277134108724027e+00,1.200350826874773347e+00,4.630370761240109267e+00,4.399297158197647550e-01
1.854544730699122290e+00,2.967316621232177987e+00,3.020033920602359423e+00,1.378092518935517263e-01,2.411579648193560022e-01
3.941860644666740576e+00,4.789791293294391572e+00,9.978240623815386456e+00,1.054361753254806633e+00,1.624630572090400571e-01
7.226654347042161808e-01,1.477731595815159560e+00,4.479442177675638348e+00,8.398935677979109116e+00,-2.877850556784408154e-01
7.286220551380190535e+00,4.525156743258097691e+00,8.498854452002200688e+00,2.962759691735600498e+00,1.602797404069618292e-01
9.689020789189189964e-01,8.215750038518649490e+00,1.365897220322286998e+00,6.755883009651047821e+00,5.763004962892963323e-02
4.011407912743878867e+00,5.699131492403981980e+00,4.477343896605547435e+00,5.482342167696634405e+00,1.042708545405660742e-01
8.747874048095248156e+00,8.342012232443841713e-01,1.218400993613422578e+00,8.511776818830680824e+00,2.316850811350976841e-02
4.775773333825114264e+00,3.267311853548933165e+00,7.277770015483309152e+00,6.765507951943776632e+00,-7.348990950867571870e-02
9.134957143044767136e+00,5.481645852914931005e+00,3.361310243401617104e+00,6.721745474678593624e+00,2.408827470933586901e-01
7.682579465614836955e+00,4.519813896216200888e+00,9.011161579212304318e+00,8.290369164921157719e+00,-1.263784021047467503e-02
9.161707205106482732e+00,4.881854259941451168e+00,3.621445954349718832e+00,8.697083865146071346e+00,1.667153758161147303e-01
1.361289789584172683e+00,9.935223322415946967e+00,9.963003224022630278e+00,1.204190387057685996e+00,6.302684952728196399e-02
8.282727627732571207e-01,4.993869754783491821e+00,5.143542202507473959e+00,6.746614800171194304e+00,-1.687409075762314470e-01
7.962299103352589169e-01,9.815039743261831262e+00,9.769858344525550464e+00,7.407226903596860090e+00,-1.582552672603471655e-01
8.701657514038460661e+00,6.787830770743541464e-01,4.313185212189106998e+00,2.205838925433616815e+00,1.960929517849201512e-02
6.377292795539688086e+00,8.878498815857076565e+00,3.172428892108072329e+00,8.215756243954396965e+00,2.497805406131606287e-01
5.016059768608645442e+00,4.222466331508506698e+00,7.913916422683678675e+00,4.725928271874448861e+00,2.090612150617287418e-02
1.719079820345154719e+00,8.603996734831888205e+00,3.778889471979832937e+00,1.470566234745581680e+00,1.720033813873879380e-01
6.769961033500009329e+00,9.206472422804354849e+00,3.416656474098996643e+00,5.740186370118046888e+00,3.101359905850051835e-01
3.248372139673400660e+00,5.451484757714998963e+00,8.873245841402125578e+00,7.815727872714220759e+00,-1.071265412720787541e-01
7.137710646332854125e+00,1.117131684009003978e+00,6.322533639142008610e+00,6.907936968252820442e+00,-1.229534350034790086e-01
