t,p,dp_dt,dp_dt_noisy
8.446321404756611528e-01,6.856079890226567108e-02,2.381490186813982335e-02,2.084054140758449108e-02
8.668593020671259142e-01,6.909124286565239415e-02,2.391447890806462639e-02,2.525860549044460501e-02
8.890864636585906755e-01,6.962390226227693768e-02,2.401424738659123370e-02,2.502979340369628977e-02
9.113136252500555479e-01,7.015878133056020760e-02,2.411420547584859631e-02,2.823200367718436618e-02
9.335407868415203092e-01,7.069588427104442352e-02,2.421435132675465313e-02,1.941991147644666488e-02
9.557679484329850705e-01,7.123521524639304936e-02,2.431468306908698973e-02,2.363180873824732159e-02
9.779951100244498319e-01,7.177677837864876453e-02,2.441519881104635067e-02,2.362646679555779894e-02
1.000222271615914593e+00,7.232057771083628961e-02,2.451589663223365662e-02,2.759128565823518522e-02
1.022449433207379244e+00,7.286661726817002249e-02,2.461677459510751287e-02,2.225538497911883767e-02
1.044676594798844116e+00,7.341490104286502172e-02,2.471783074222069429e-02,2.361053881208521193e-02
1.066903756390308988e+00,7.396543297982448306e-02,2.481906309365796565e-02,2.534924959191401164e-02
1.089130917981773639e+00,7.451821697663979505e-02,2.492046964713477350e-02,2.618268237843977483e-02
1.111358079573238511e+00,7.507325688359055282e-02,2.502204837809738139e-02,2.603786349104088640e-02
1.133585241164703161e+00,7.563055650364447491e-02,2.512379723982437543e-02,2.252744986594500468e-02
1.155812402756168034e+00,7.619011959245750032e-02,2.522571416352962365e-02,2.921642523375175132e-02
1.178039564347632684e+00,7.675194985837374695e-02,2.532779705846665771e-02,2.393611700064236444e-02
1.200266725939097556e+00,7.731605096242548381e-02,2.543004381203439745e-02,2.635313154582043585e-02
1.222493887530562207e+00,7.788242651833317265e-02,2.553245228988434631e-02,2.752018722338914897e-02
1.244721049122027079e+00,7.845108009250546799e-02,2.563502033602919547e-02,2.492386669798223042e-02
1.266948210713491729e+00,7.902201520403916157e-02,2.573774577295278795e-02,2.686311131656489090e-02
1.289175372304956602e+00,7.959523532471926566e-02,2.584062640172155034e-02,2.276235481947114919e-02
1.311402533896421252e+00,8.017074387901895749e-02,2.594366000209727061e-02,2.570015631688801067e-02
1.333629695487886124e+00,8.074854424409957931e-02,2.604684433265131924e-02,2.495302801761086278e-02
1.355856857079350775e+00,8.132863974981065225e-02,2.615017713088022694e-02,2.298724778004933994e-02
1.378084018670815647e+00,8.191103367868990404e-02,2.625365611332275070e-02,2.483342083905678774e-02
1.400311180262280297e+00,8.249572926596319966e-02,2.635727897567819236e-02,2.422061871859759394e-02
1.422538341853745170e+00,8.308272969173664813e-02,2.646104339154779772e-02,2.841914309054894422e-02
1.444765503445210042e+00,8.367203804523712374e-02,2.656494700627703640e-02,2.484408449494064988e-02
1.466992665036674692e+00,8.426365739972557778e-02,2.666898745033490295e-02,2.342636892316226141e-02
1.489219826628139565e+00,8.485759077995609634e-02,2.677316233366643441e-02,2.631695818127583603e-02
1.511446988219604215e+00,8.545384115379305034e-02,2.687746924435651524e-02,2.613159456704398573e-02
1.533674149811069087e+00,8.605241143221110944e-02,2.698190574877898373e-02,3.235443432564195226e-02
1.555901311402533738e+00,8.665330446929522812e-02,2.708646939174735174e-02,3.081675919528779894e-02
1.578128472993998610e+00,8.725652306224067345e-02,2.719115769666703361e-02,2.753730443015995136e-02
1.600355634585463260e+00,8.786206995135302511e-02,2.729596816568919879e-02,2.562886222873142841e-02
1.622582796176928133e+00,8.846994782004813374e-02,2.740089827986606774e-02,3.219526442848622688e-02
1.644809957768392783e+00,8.908015929485219031e-02,2.750594549930787669e-02,2.808886459721372450e-02
1.667037119359857655e+00,8.969270694540164290e-02,2.761110726334128906e-02,2.398691066863152879e-02
1.689264280951322306e+00,9.030759328444327994e-02,2.771638099066939254e-02,2.853850357689591624e-02
1.711491442542787178e+00,9.092482076783414691e-02,2.782176407953318442e-02,2.417420553550152229e-02
1.733718604134251828e+00,9.154439179454161579e-02,2.792725390787462875e-02,3.053328743962182776e-02
1.755945765725716701e+00,9.216630870664338504e-02,2.803284783350117743e-02,2.887216654032462651e-02
1.778172927317181351e+00,9.279057378932736855e-02,2.813854319425182840e-02,2.565392636366489038e-02
1.800400088908646223e+00,9.341718927089188995e-02,2.824433730816468605e-02,2.689338990370034044e-02
1.822627250500111096e+00,9.404615732274548834e-02,2.835022747364600998e-02,2.362276561938266017e-02
1.844854412091575746e+00,9.467748005940704314e-02,2.845621096964073837e-02,3.207182698993476383e-02
1.867081573683040618e+00,9.531115953850571865e-02,2.856228505580450314e-02,2.868531694490473669e-02
1.889308735274505269e+00,9.594719773266684182e-02,2.866844696799136089e-02,3.002953800819875563e-02
1.911535896865970141e+00,9.658559654029325037e-02,2.877469392028855072e-02,3.150478586067933379e-02
1.933763058457434791e+00,9.722635783239645668e-02,2.888102311299528199e-02,2.793622977606296034e-02
1.955990220048899664e+00,9.786948341421633502e-02,2.898743172638836713e-02,2.768764976080681159e-02
1.978217381640364314e+00,9.851497502493600233e-02,2.909391692087653566e-02,2.798444497396573513e-02
2.000444543231829186e+00,9.916283433768181832e-02,2.920047583720384796e-02,2.977616806121143045e-02
2.022671704823293837e+00,9.981306295952338536e-02,2.930710559665480885e-02,2.741856859048163314e-02
2.044898866414758487e+00,1.004656624314735347e-01,2.941380330126101492e-02,2.856913948665964001e-02
2.067126028006223581e+00,1.011206342284883819e-01,2.952056603400939408e-02,3.004068671321739534e-02
2.089353189597688232e+00,1.017779797594672020e-01,2.962739085905202741e-02,2.985259781213495806e-02
2.111580351189152882e+00,1.024377003672525960e-01,2.973427482191746268e-02,2.842183089564820353e-02
2.133807512780617976e+00,1.030997973286303798e-01,2.984121494972365868e-02,2.739888329845286893e-02
2.156034674372082627e+00,1.037642718543295844e-01,2.994820825139228940e-02,2.863941008682158521e-02
2.178261835963547277e+00,1.044311250890224974e-01,3.005525171786482819e-02,3.136877586819822317e-02
2.200488997555011927e+00,1.051003581113246765e-01,3.016234232231985307e-02,3.297111589754602584e-02
2.222716159146477022e+00,1.057719719337949088e-01,3.026947702039204866e-02,3.268292983493359394e-02
2.244943320737941672e+00,1.064459675029351682e-01,3.037665275039257151e-02,2.970546013337648644e-02
2.267170482329406322e+00,1.071223456991907408e-01,3.048386643353095254e-02,3.182450074382978805e-02
2.289397643920870973e+00,1.078011073369501416e-01,3.059111497413840100e-02,3.137651695711380501e-02
2.311624805512336067e+00,1.084822531645451005e-01,3.069839525989255871e-02,3.389607798824204044e-02
2.333851967103800717e+00,1.091657838642506040e-01,3.080570416204370457e-02,2.906285406058321807e-02
2.356079128695265368e+00,1.098517000460089432e-01,3.091303853466186372e-02,3.345634147645604184e-02
2.378306290286730018e+00,1.105400022094919499e-01,3.102039520897427113e-02,3.184240419268140332e-02
2.400533451878195113e+00,1.112306908176281667e-01,3.112777100512080855e-02,3.079409730563842720e-02
2.422760613469659763e+00,1.119237662690539814e-01,3.123516272804952379e-02,3.660070351186239801e-02
2.444987775061124413e+00,1.126192288883511861e-01,3.134256716624035655e-02,3.532804201437844682e-02
2.467214936652589063e+00,1.133170789260469213e-01,3.144998109196033703e-02,2.807735923927227178e-02
2.489442098244054158e+00,1.140173165586137322e-01,3.155740126152038055e-02,3.183734907562769251e-02
2.511669259835518808e+00,1.147199418884694289e-01,3.166482441553342825e-02,3.327888622412979169e-02
2.533896421426983459e+00,1.154249549439772815e-01,3.177224727917411090e-02,3.420695403146837427e-02
2.556123583018448553e+00,1.161323556794458811e-01,3.187966656243974156e-02,2.925907932182617022e-02
2.578350744609913203e+00,1.168421439751291535e-01,3.198707896041273063e-02,3.295541281370226172e-02
2.600577906201377854e+00,1.175543196372264565e-01,3.209448115352443731e-02,3.259370551229468643e-02
2.622805067792842504e+00,1.182688823978824411e-01,3.220186980782020064e-02,3.052056928538820005e-02
2.645032229384307598e+00,1.189858319151871902e-01,3.230924157522600121e-02,3.404359772717513444e-02
2.667259390975772249e+00,1.197051677731760522e-01,3.241659309381613591e-02,3.127305938098549204e-02
2.689486552567236899e+00,1.204268894818298491e-01,3.252392098808239845e-02,3.243120445422801451e-02
2.711713714158701549e+00,1.211509964770746822e-01,3.263122186920445339e-02,3.050281673692951251e-02
2.733940875750166644e+00,1.218774881207820571e-01,3.273849233532152847e-02,3.374241328163161274e-02
2.756168037341631294e+00,1.226063637007688278e-01,3.284572897180528667e-02,3.392808651532228104e-02
2.778395198933095944e+00,1.233376224307971974e-01,3.295292835153400962e-02,3.225749648565869043e-02
2.800622360524560595e+00,1.240712634505747591e-01,3.306008703516786357e-02,3.119200648223277583e-02
2.822849522116025689e+00,1.248072858257544687e-01,3.316720157142550446e-02,3.317105434917918400e-02
2.845076683707490339e+00,1.255456885479346030e-01,3.327426849736172393e-02,3.382646143018482737e-02
2.867303845298954990e+00,1.262864705109958963e-01,3.338128433523419869e-02,3.375705731221999989e-02
2.889531006890420084e+00,1.270296305231159439e-01,3.348824559457287686e-02,3.293643026013788611e-02
2.911758168481884734e+00,1.277751673394562915e-01,3.359514877717088843e-02,3.579958116448619249e-02
2.933985330073349385e+00,1.285230796353409310e-01,3.370199037348599325e-02,3.294679013853932248e-02
2.956212491664814035e+00,1.292733660061859968e-01,3.380876686292964145e-02,3.394670559822322159e-02
2.978439653256279129e+00,1.300260249674996815e-01,3.391547471416722637e-02,3.732347384277082125e-02
3.000666814847743780e+00,1.307810549548823476e-01,3.402211038541938515e-02,3.216789221292511852e-02
3.022893976439208430e+00,1.315384543240264159e-01,3.412867032476449292e-02,3.420209584286069276e-02
3.045121138030673080e+00,1.322982213507165050e-01,3.423515097044216998e-02,3.486214126525039037e-02
3.067348299622138175e+00,1.330603542308292919e-01,3.434154875115780214e-02,3.268096953246769909e-02
3.089575461213602825e+00,1.338248510803335678e-01,3.444786008638808100e-02,3.142274212478185502e-02
3.111802622805067475e+00,1.345917099352902657e-01,3.455408138668759205e-02,3.241848603456028849e-02
3.134029784396532126e+00,1.353609287518524051e-01,3.466020905399622848e-02,2.997605730315000203e-02
3.156256945987997220e+00,1.361325054062652029e-01,3.476623948194768055e-02,3.475260795970103872e-02
3.178484107579461870e+00,1.369064376948659068e-01,3.487216905617879226e-02,3.469044826656666330e-02
3.200711269170926521e+00,1.376827233340838785e-01,3.497799415463973688e-02,3.649974641209666193e-02
3.222938430762391615e+00,1.384613599604406775e-01,3.508371114790515000e-02,3.919602013533272228e-02
3.245165592353856265e+00,1.392423451305498938e-01,3.518931639948610912e-02,3.555709410480927674e-02
3.267392753945320916e+00,1.400256763211172595e-01,3.529480626614278638e-02,3.572272728894907573e-02
3.289619915536785566e+00,1.408113509289407039e-01,3.540017709819810038e-02,3.646432387122268415e-02
3.311847077128250660e+00,1.415993662709101597e-01,3.550542523985190241e-02,3.441336063910224036e-02
3.334074238719715311e+00,1.423897195840077012e-01,3.561054702949607159e-02,3.226299555473331054e-02
3.356301400311179961e+00,1.431824080253075726e-01,3.571553880003026926e-02,3.403109106855897042e-02
3.378528561902644611e+00,1.439774286713676188e-01,3.582039687909828463e-02,3.614289968022015714e-02
3.400755723494109706e+00,1.447747785012405974e-01,3.592511758718028303e-02,3.585862233867593424e-02
3.422982885085574356e+00,1.455744544156882536e-01,3.602969724046715949e-02,3.608612344197676541e-02
3.445210046677039006e+00,1.463764532391819972e-01,3.613413215143442686e-02,3.476498106442804659e-02
3.467437208268503657e+00,1.471807717137542937e-01,3.623841862835563976e-02,3.632185209410139504e-02
3.489664369859968751e+00,1.479874064989986637e-01,3.634255297562907772e-02,3.559677078490473129e-02
3.511891531451433401e+00,1.487963541720695726e-01,3.644653149410487930e-02,3.607592083598934463e-02
3.534118693042898052e+00,1.496076112276825687e-01,3.655035048141293264e-02,3.370574305395039605e-02
3.556345854634362702e+00,1.504211740781142836e-01,3.665400623229099486e-02,3.474109607853401865e-02
3.578573016225827796e+00,1.512370390532022657e-01,3.675749503891347081e-02,3.674098147283822585e-02
3.600800177817292447e+00,1.520552024003451186e-01,3.686081319122060107e-02,4.013718552571234055e-02
3.623027339408757097e+00,1.528756602845025570e-01,3.696395697724795537e-02,3.712754009137867600e-02
3.645254501000222191e+00,1.536984087881952121e-01,3.706692268345644636e-02,3.833647111411652569e-02
3.667481662591686842e+00,1.545234439115047986e-01,3.716970659506269037e-02,4.126186136150899325e-02
3.689708824183151492e+00,1.553507615720740587e-01,3.727230499636958322e-02,3.784556318677542719e-02
3.711935985774616142e+00,1.561803576051067344e-01,3.737471417109725774e-02,3.667895088737770093e-02
3.734163147366081237e+00,1.570122277633676511e-01,3.747693040271440901e-02,3.316234612375843632e-02
3.756390308957545887e+00,1.578463677171825785e-01,3.757894997476961957e-02,3.680503180339664282e-02
3.778617470549010537e+00,1.586827730544383697e-01,3.768076917122314962e-02,4.030350067015707471e-02
3.800844632140475188e+00,1.595214392805829329e-01,3.778238427677875488e-02,3.556698539383054691e-02
3.823071793731940282e+00,1.603623618186251210e-01,3.788379157721576129e-02,3.707473213072699086e-02
3.845298955323404932e+00,1.612055360091348699e-01,3.798498735972113266e-02,3.755665340511232797e-02
3.867526116914869583e+00,1.620509571102431157e-01,3.808596791322184372e-02,3.853614932639289059e-02
3.889753278506334233e+00,1.628986202976418496e-01,3.818672952871709353e-02,3.586022855287862576e-02
3.911980440097799328e+00,1.637485206645840907e-01,3.828726849961076178e-02,3.999578104140251444e-02
3.934207601689263978e+00,1.646006532218943774e-01,3.838758112204496142e-02,3.962082915486667134e-02
3.956434763280728628e+00,1.654550129104586376e-01,3.848766369669191084e-02,3.622709847768187941e-02
3.978661924872193723e+00,1.663115945798079309e-01,3.858751252655987646e-02,3.233338141410512651e-02
4.000889086463658373e+00,1.671703929838886105e-01,3.868712391686177088e-02,3.996870201116080323e-02
4.023116248055123023e+00,1.680314027963123735e-01,3.878649417714083447e-02,3.905625856699466991e-02
4.045343409646587673e+00,1.688946186103561786e-01,3.888561962159664542e-02,3.891353313404254111e-02
4.067570571238052324e+00,1.697600349389622454e-01,3.898449656941080366e-02,3.495695847179373233e-02
4.089797732829516974e+00,1.706276462147380546e-01,3.908312134507264252e-02,3.722679925720666361e-02
4.112024894420982513e+00,1.714974467899564314e-01,3.918149027870436452e-02,3.851580421622666922e-02
4.134252056012447163e+00,1.723694309365553512e-01,3.927959970638629505e-02,3.972835399735228507e-02
4.156479217603911813e+00,1.732435928461381613e-01,3.937744597048145612e-02,3.907910732006555921e-02
4.178706379195376464e+00,1.741199266299734427e-01,3.947502541996014691e-02,4.149033054072652493e-02
4.200933540786841114e+00,1.749984263189950651e-01,3.957233441072392777e-02,3.702335249950906154e-02
4.223160702378305764e+00,1.758790858638021870e-01,3.966936930592926402e-02,3.692630699223722890e-02
4.245387863969770414e+00,1.767618991346592006e-01,3.976612647631091318e-02,3.955881287102247512e-02
4.267615025561235953e+00,1.776468599214958699e-01,3.986260230050468062e-02,4.242536519246609822e-02
4.289842187152700603e+00,1.785339619339070538e-01,3.995879316536972425e-02,3.701731134518068678e-02
4.312069348744165254e+00,1.794231988011530110e-01,4.005469546631054700e-02,3.682963231385813496e-02
4.334296510335629904e+00,1.803145640721592891e-01,4.015030560759818429e-02,4.379453663982878220e-02
4.356523671927094554e+00,1.812080512155166689e-01,4.024562000269105155e-02,3.857835264760560434e-02
4.378750833518559205e+00,1.821036536194811928e-01,4.034063507455511177e-02,4.050586084549249316e-02
4.400977995110023855e+00,1.830013645919742193e-01,4.043534725598345314e-02,4.337829754542626981e-02
4.423205156701488505e+00,1.839011773605823408e-01,4.052975298991515901e-02,3.824847810347672961e-02
4.445432318292954044e+00,1.848030850725574936e-01,4.062384872975365047e-02,4.078051075446761237e-02
4.467659479884418694e+00,1.857070807948167090e-01,4.071763093968416847e-02,4.173695920709569185e-02
4.489886641475883344e+00,1.866131575139425292e-01,4.081109609499067314e-02,4.039489817497633750e-02
4.512113803067347995e+00,1.875213081361826184e-01,4.090424068237182020e-02,4.012061022660939891e-02
4.534340964658812645e+00,1.884315254874499301e-01,4.099706120025634754e-02,3.945092304655938714e-02
4.556568126250277295e+00,1.893438023661240255e-01,4.108955416445531084e-02,4.012350736626801168e-02
4.578795287841741946e+00,1.902581314839709992e-01,4.118171610238233193e-02,4.339307982733898311e-02
4.601022449433206596e+00,1.911745054193632887e-01,4.127354354871078101e-02,3.635391899271482596e-02
4.623249611024672134e+00,1.920929166783744702e-01,4.136503305191025631e-02,4.217092561690567037e-02
4.645476772616136785e+00,1.930133576947841156e-01,4.145618117453423596e-02,4.133741831233744835e-02
4.667703934207601435e+00,1.939358208300779596e-01,4.154698449350641143e-02,4.159091617153665849e-02
4.689931095799066085e+00,1.948602983734478711e-01,4.163743960040591080e-02,4.166880351084106121e-02
4.712158257390530736e+00,1.957867825417916874e-01,4.172754310175139786e-02,4.158095266703523002e-02
4.734385418981995386e+00,1.967152654797134359e-01,4.181729161928432470e-02,4.308883435329400463e-02
4.756612580573460036e+00,1.976457392595232232e-01,4.190668179025099083e-02,3.750346876736158214e-02
4.778839742164925575e+00,1.985781958812372350e-01,4.199571026768340876e-02,4.359038764610813355e-02
4.801066903756390225e+00,1.995126272725776806e-01,4.208437372067911492e-02,4.352670456327747961e-02
4.823294065347854875e+00,2.004490252889729318e-01,4.217266883467993277e-02,4.225804396073479935e-02
4.845521226939319526e+00,2.013873817135574396e-01,4.226059231174936898e-02,4.202277001554214492e-02
4.867748388530784176e+00,2.023276882571717616e-01,4.234814087084889933e-02,4.430558909459691996e-02
4.889975550122248826e+00,2.032699365583625073e-01,4.243531124811302652e-02,4.682215942756289689e-02
4.912202711713713477e+00,2.042141181833824204e-01,4.252210019712311662e-02,4.599856420674836716e-02
4.934429873305178127e+00,2.051602246261902684e-01,4.260850448917982702e-02,4.550176791641233343e-02
4.956657034896643665e+00,2.061082473084510092e-01,4.269452091357447271e-02,3.872706096322588165e-02
4.978884196488108316e+00,2.070581775795355406e-01,4.278014627785883123e-02,4.650907188501252065e-02
5.001111358079572966e+00,2.080100067165210065e-01,4.286537740811373343e-02,4.308462589180726832e-02
5.023338519671037616e+00,2.089637259241905742e-01,4.295021114921639821e-02,4.160068260375487936e-02
5.045565681262502267e+00,2.099193263350334626e-01,4.303464436510603952e-02,4.370581104682931539e-02
5.067792842853966917e+00,2.108767990092450806e-01,4.311867393904844636e-02,4.573084474321209569e-02
5.090020004445431567e+00,2.118361349347268330e-01,4.320229677389892525e-02,3.951399995533484005e-02
5.112247166036897106e+00,2.127973250270862871e-01,4.328550979236384794e-02,4.495290677444686855e-02
5.134474327628361756e+00,2.137603601296370059e-01,4.336830993726065175e-02,4.226708148644341828e-02
5.156701489219826406e+00,2.147252310133986875e-01,4.345069417177647303e-02,4.369169194362590436e-02
5.178928650811291057e+00,2.156919283770972195e-01,4.353265947972521921e-02,4.289891145539206918e-02
5.201155812402755707e+00,2.166604428921605208e-01,4.361420286957799763e-02,4.522770382099454423e-02
5.223382973994220357e+00,2.176307652860181296e-01,4.369532138152245476e-02,4.388645781677069646e-02
5.245610135585685008e+00,2.186028860505988825e-01,4.377601206322405403e-02,4.226612613432963877e-02
5.267837297177149658e+00,2.195767956008805588e-01,4.385627198358126033e-02,4.199115346335888926e-02
5.290064458768615197e+00,2.205524842945517927e-01,4.393609823459130453e-02,4.279354521161694846e-02
5.312291620360079847e+00,2.215299424320120725e-01,4.401548793155312528e-02,4.526355033040214276e-02
5.334518781951544497e+00,2.225091602563719351e-01,4.409443821326871488e-02,4.249619352090933805e-02
5.356745943543009147e+00,2.234901279534527163e-01,4.417294624224258476e-02,4.591016230075010973e-02
5.378973105134473798e+00,2.244728356517867451e-01,4.425100920487985007e-02,4.691577783690122072e-02
5.401200266725938448e+00,2.254572734226172326e-01,4.432862431168237832e-02,4.490889329443085998e-02
5.423427428317403098e+00,2.264434312798982996e-01,4.440578879744333518e-02,4.012316441678907830e-02
5.445654589908868637e+00,2.274312991802950878e-01,4.448249992143999548e-02,4.537997818197418709e-02
5.467881751500333287e+00,2.284208670231834548e-01,4.455875496762487509e-02,4.573825130403559591e-02
5.490108913091797938e+00,2.294121246506503065e-01,4.463455124481494757e-02,4.664326727549923668e-02
5.512336074683262588e+00,2.304050618474934864e-01,4.470988608687936905e-02,4.535371151636241605e-02
5.534563236274727238e+00,2.313996683412216926e-01,4.478475685292514913e-02,4.785818003216138483e-02
5.556790397866191888e+00,2.323959338020545606e-01,4.485916092748127443e-02,4.810605372691577342e-02
5.579017559457656539e+00,2.333938478429226637e-01,4.493309572068086150e-02,4.519390746727644514e-02
5.601244721049121189e+00,2.343934000194674294e-01,4.500655866844160274e-02,4.681035801278080749e-02
5.623471882640586728e+00,2.353945798300413339e-01,4.507954723264435276e-02,4.925438105708563469e-02
5.645699044232051378e+00,2.363973767157075967e-01,4.515205890130995908e-02,4.666897017827045802e-02
5.667926205823516028e+00,2.374017800602404582e-01,4.522409118877405987e-02,4.628260815763885622e-02
5.690153367414980679e+00,2.384077791901250687e-01,4.529564163586026482e-02,4.968787746289976548e-02
5.712380529006445329e+00,2.394153633745574883e-01,4.536670781005134462e-02,4.117923856262885318e-02
5.734607690597909979e+00,2.404245218254446592e-01,4.543728730565850527e-02,4.859902594171446738e-02
5.756834852189374629e+00,2.414352436974045168e-01,4.550737774398889296e-02,4.496424963669499314e-02
5.779062013780840168e+00,2.424475180877658786e-01,4.557697677351110754e-02,4.106953621445608160e-02
5.801289175372304818e+00,2.434613340365683887e-01,4.564608207001884244e-02,4.772795168225969775e-02
5.823516336963769469e+00,2.444766805265627396e-01,4.571469133679263025e-02,4.888173403162113934e-02
5.845743498555234119e+00,2.454935464832104508e-01,4.578280230475965940e-02,4.576302363597816586e-02
5.867970660146698769e+00,2.465119207746840624e-01,4.585041273265155759e-02,4.712388100354801546e-02
5.890197821738163420e+00,2.475317922118668856e-01,4.591752040716041289e-02,4.835940754835110073e-02
5.912424983329628070e+00,2.485531495498425891e-01,4.598412314318933020e-02,4.517340185661750801e-02
5.934652144921092720e+00,2.495759817465018071e-01,4.605021880063508294e-02,4.683789363185655863e-02
5.956879306512558259e+00,2.506002776205920601e-01,4.611580526197720659e-02,4.780901951163292474e-02
5.979106468104022909e+00,2.516260257527858646e-01,4.618088042642061464e-02,4.482888493203367186e-02
6.001333629695487559e+00,2.526532146887986996e-01,4.624544222328132864e-02,4.615173293502363577e-02
6.023560791286952210e+00,2.536818329393887850e-01,4.630948861206467260e-02,4.448584245467081255e-02
6.045787952878416860e+00,2.547118689803573033e-01,4.637301758254200323e-02,4.433257295167696010e-02
6.068015114469881510e+00,2.557433112525482333e-01,4.643602715482527538e-02,4.625474428453441728e-02
6.090242276061346161e+00,2.567761481618484054e-01,4.649851537943979624e-02,4.740306155669734428e-02
6.112469437652811699e+00,2.578103680791875574e-01,4.656048033739527969e-02,4.706999065755705647e-02
6.134696599244276349e+00,2.588459593405381676e-01,4.662192014025472175e-02,4.801577741121143550e-02
6.156923760835741000e+00,2.598829102469156771e-01,4.668283293020157598e-02,4.829794083071828337e-02
6.179150922427205650e+00,2.609212090643783233e-01,4.674321688010516646e-02,4.829798971795414009e-02
6.201378084018670300e+00,2.619608440240271952e-01,4.680307019358390108e-02,4.566415787317361363e-02
6.223605245610134951e+00,2.630018033220063445e-01,4.686239110506696531e-02,4.619962284160211707e-02
6.245832407201599601e+00,2.640440751195024527e-01,4.692117787985385091e-02,4.418430066730769795e-02
6.268059568793064251e+00,2.650876475427453305e-01,4.697942881417226102e-02,5.034950467208502978e-02
6.290286730384529790e+00,2.661325086830074738e-01,4.703714223523394050e-02,4.894244204715704483e-02
6.312513891975994440e+00,2.671786465966041746e-01,4.709431650128884095e-02,4.648417788725597161e-02
6.334741053567459090e+00,2.682260493048936878e-01,4.715095000167719014e-02,4.703926320893390967e-02
6.356968215158923741e+00,2.692747047942770644e-01,4.720704115687995167e-02,4.901764892472686153e-02
6.379195376750388391e+00,2.703246010161983737e-01,4.726258841856723070e-02,4.543175958594316416e-02
6.401422538341853041e+00,2.713757258871442590e-01,4.731759026964489634e-02,4.639283628444826335e-02
6.423649699933317692e+00,2.724280672886444932e-01,4.737204522429942083e-02,4.558452482281635798e-02
