L,E,T,T_noisy
2.794230642927281849e+00,8.191857587279240960e-01,1.091339826078488034e-01,1.072331832775129667e-01
2.224075388617702487e+00,6.189232955511166923e-01,7.839483469571645324e-02,7.840786466745594541e-02
1.750891076842177485e+00,3.555982389846500391e-01,4.956461759016635854e-02,4.731688513503508331e-02
6.927095212513468825e-01,8.173853637153889462e-01,7.372452202051003045e-01,7.350594314665098716e-01
1.721123067713809629e+00,3.415507209651673648e-01,4.982682271155366299e-02,5.274074634216417701e-02
1.032077488350835903e+00,3.927096056880199915e-01,2.772057780526669957e-01,2.770994096120563133e-01
8.317407438669681685e-01,8.664720780149912649e-01,6.719157600178019552e-01,6.718079559668578282e-01
1.765162306323432517e+00,6.369028645558398871e-01,1.716234910424975224e-01,1.726465638823327653e-01
2.462713231492397625e+00,7.049984462198345403e-01,7.048985264816383378e-02,6.964813864306608482e-02
1.237516107013798550e+00,7.925956003126940486e-01,4.101058934543014289e-01,4.096488227193451070e-01
2.421929399772916103e+00,6.987342814110719669e-01,7.290056296503660827e-02,7.375086043570042160e-02
1.814073807905635327e+00,5.663827728526391603e-01,1.244278135669087682e-01,1.249926452513975689e-01
8.726200584267813642e-01,6.257996507674852271e-01,6.857686298404466196e-01,6.834500363865817496e-01
2.912419359949339537e+00,5.390902762033615847e-01,1.436701029556447171e-02,1.603369548890379651e-02
1.504090559721293685e+00,6.463142549823535088e-01,2.620078130710986053e-01,2.608269431845205433e-01
1.238085639156739415e+00,3.013242184259832812e-01,1.321047841409304091e-01,1.299926262403020283e-01
2.617495926584323840e+00,6.049596577240453632e-01,3.903449966680799105e-02,3.723354952680988511e-02
8.111508312886995808e-01,3.142930695574452371e-01,3.589075414606681114e-01,3.581264507719574830e-01
2.333976152684258398e+00,3.658031692943853885e-01,1.369149870345558184e-02,1.694609921270171654e-02
9.695618564136707640e-01,8.078209647645797631e-01,5.586349746330684374e-01,5.562839028232269278e-01
1.481229440031456068e+00,6.956316703832683412e-01,2.759852459119693791e-01,2.763053976970380465e-01
1.079749696155346106e+00,4.093007224971810243e-01,2.635661073596207160e-01,2.592904586434395808e-01
2.603069981730967264e+00,7.483215151510977936e-01,7.200217436545156002e-02,7.199904049916117099e-02
1.475186379849654283e+00,5.854699617527057143e-01,2.453599916776198486e-01,2.471591245125718539e-01
2.936732032205723097e+00,3.809077655838773446e-01,3.938312579134506212e-03,3.464985935011595779e-03
2.063153711037767124e+00,8.578114170858193166e-01,2.559879527875735805e-01,2.547292429398069213e-01
2.234057086757287980e+00,3.676830590912409935e-01,1.736826322867519867e-02,1.783128535679227508e-02
1.803812805331043823e+00,3.118457148109751720e-01,3.556728731686040201e-02,3.696759081916170531e-02
1.272420497688977914e+00,4.539610370739570189e-01,2.061302113143321513e-01,2.074575264563669752e-01
1.488891052631071688e+00,3.521159441545401170e-01,8.935802874727376277e-02,9.330297645513334348e-02
2.852335469154754222e+00,3.100328751489414003e-01,2.895510544109301029e-03,3.313845488781854559e-03
1.003008001811661165e+00,6.919451258785327408e-01,5.405366347591928911e-01,5.393518145596870594e-01
2.970547253050530578e+00,3.791772833947750221e-01,3.613314229680625062e-03,3.361355849707339544e-03
2.395764655009545940e+00,6.383279064371927269e-01,6.359670601048066085e-02,6.345170891924103995e-02
1.399467316231525649e+00,4.455538975026520632e-01,1.546118331167797844e-01,1.548293078837360282e-01
2.103783973764008053e+00,8.643900814605061100e-01,2.698662761946218902e-01,2.698062205681630021e-01
1.452453848232718947e+00,4.295135929768835181e-01,1.303284651072413314e-01,1.306763969850337492e-01
1.453732331599800087e+00,6.123928358049430809e-01,2.737223728613049079e-01,2.703806727400746568e-01
1.759507375486323966e+00,7.409923547829939672e-01,1.982386577322385879e-01,1.998979156443186633e-01
5.418070540884427633e-01,4.866779511776853639e-01,8.046296077257522050e-01,8.034801291879101193e-01
1.733928899858490524e+00,7.990436340317970121e-01,2.376154148061652704e-01,2.352690974132712332e-01
2.928996033617219830e+00,4.883873712788454613e-01,8.978312666676304885e-03,1.025381498595917540e-02
1.213663071963946072e+00,5.327160382644615666e-01,3.120514119752453852e-01,3.146860639900175283e-01
2.370544897691530650e+00,5.582329695166430295e-01,4.381529759553817738e-02,4.480135389453706457e-02
1.606972225176237501e+00,5.513364731590830736e-01,1.670503477997212771e-01,1.673726664274123310e-01
1.023202606544463711e+00,6.647661926462486992e-01,5.378450819318085774e-01,5.359806413210647102e-01
2.762506427045323676e+00,4.357473669598984634e-01,8.394262593728371580e-03,1.413739726935536907e-02
5.420682117005324319e-01,4.975284662657779577e-01,8.271936584838484041e-01,8.289541757251713827e-01
1.258772316498776744e+00,4.373832187905088986e-01,2.001131394083570103e-01,1.978345500676710611e-01
2.997564705809844021e+00,4.661671491101350151e-01,6.559908903418449136e-03,5.000633070938960423e-03
1.155366990474973710e+00,7.576693956984033029e-01,4.393377765746155905e-01,4.395117350717593907e-01
2.622611304648180042e+00,6.775600522931211067e-01,5.144731910925665064e-02,4.833785684526467619e-02
2.014207871639260627e+00,8.776735814544207592e-01,3.310543195883565715e-01,3.313915804023775946e-01
2.515089268817809032e+00,8.700780243762291644e-01,2.597651138256710235e-01,2.588469707142455056e-01
2.075794388608695584e+00,4.230512681447035073e-01,3.328365702631944784e-02,3.573619822695188464e-02
1.406742142644620941e+00,4.259676215766873275e-01,1.415725293723850697e-01,1.434968386996415546e-01
2.401971961458706062e+00,8.445887767354836040e-01,1.843419915666318909e-01,1.789194206917623375e-01
5.662113722599309007e-01,3.833758951550855221e-01,6.398440386885746456e-01,6.399274438606292748e-01
1.617032379336129644e+00,7.567110281979982922e-01,2.454418343975565131e-01,2.422068993985091456e-01
1.429636424675265083e+00,4.150558578341690397e-01,1.295270659911774702e-01,1.317463419896745258e-01
1.692685014093373574e+00,3.858219981498059448e-01,6.471884277395659191e-02,6.505505451221224589e-02
8.190517162401740325e-01,5.635463335721621059e-01,6.753531499070879462e-01,6.764499608114619145e-01
1.056267164865681174e+00,7.104358063069429186e-01,4.979973020871338862e-01,4.958670526295272940e-01
1.905128975249273493e+00,8.065012107674276454e-01,2.043134914663159718e-01,2.079703519423069802e-01
1.469422789139884777e+00,4.248906272293961339e-01,1.235369290594842129e-01,1.275770757937851052e-01
2.479140513975851334e+00,3.598223645787924641e-01,9.499451573059968304e-03,7.369909487807543499e-03
2.012841473193786257e+00,7.756277519640635276e-01,1.601361135540428915e-01,1.608817437977755338e-01
2.653166711967485103e+00,5.706103350652126371e-01,2.934298617799672992e-02,2.799638132121635634e-02
2.330902093314011214e+00,6.657418010544560172e-01,7.557156217084519401e-02,7.552442229712373611e-02
2.004558619396412666e+00,6.505209042038283540e-01,1.201576200291099294e-01,1.176263460706608033e-01
1.219039005489989336e+00,7.564904978737374552e-01,4.057515299497695405e-01,4.094858209789307701e-01
2.456901169815421504e+00,8.937353480213743318e-01,4.381604097067381964e-01,4.362220506845728707e-01
1.128168945427704628e+00,6.888548934800711177e-01,4.562680780571688466e-01,4.556759104271738692e-01
6.880277795360110193e-01,5.191269224991654774e-01,7.135420264388974143e-01,7.145449923011184534e-01
2.907161446108069480e+00,4.049338952823821614e-01,4.980627360263645796e-03,3.685506003431388705e-03
1.850028012741173011e+00,3.617272913736590545e-01,4.057707338719673124e-02,4.009844852773212370e-02
2.434735743874528069e+00,7.149324950094662068e-01,7.583882194742423699e-02,7.471154225457030118e-02
1.823057019075900342e+00,4.530621650267822598e-01,6.628828309249064354e-02,6.602136158281805833e-02
2.028949325929553460e+00,4.665606837982947397e-01,4.642350079541879282e-02,4.408241552521818818e-02
5.847306262912655983e-01,5.660081255689913826e-01,9.573507794590822018e-01,9.564748033078775968e-01
9.669841983845213207e-01,6.165591230008151680e-01,5.959333329124947287e-01,5.955195470630701982e-01
2.186723488586943542e+00,5.496888120942784450e-01,5.745729308519872958e-02,5.678984107759046246e-02
1.926411494881245634e+00,8.734226098420081463e-01,3.246229581768828032e-01,3.247363380866704063e-01
8.963875849667817253e-01,4.788546644876471303e-01,4.515433305961800703e-01,4.509571261574666368e-01
2.880073171815461741e+00,6.612111763070691595e-01,3.370912286054737750e-02,3.521554567742613689e-02
8.858840813685107118e-01,3.097472549953169119e-01,3.028404977713620716e-01,3.021941059197904011e-01
1.775758124346713318e+00,3.382631049962628311e-01,4.317090745027954424e-02,4.289760825768777763e-02
8.600071875481442030e-01,4.193681287608401753e-01,4.134871848647636572e-01,4.121576221927719663e-01
2.293429315265586688e+00,4.688057242422480897e-01,2.739474059599030994e-02,2.634171091575983684e-02
1.190782535237881801e+00,5.797939915949971157e-01,3.899431249331384297e-01,3.874141393514989873e-01
8.353349378044581108e-01,6.445244411574837518e-01,7.138604150807881243e-01,7.148979849225440830e-01
6.149679516762891485e-01,3.995526651942561402e-01,6.075535793983263266e-01,6.052685433630213829e-01
9.370888447440590685e-01,6.471898542683911515e-01,6.172758988795274959e-01,6.157841860831508862e-01
9.794967918089160230e-01,3.490938239380456110e-01,2.750556647166237934e-01,2.757741540206462005e-01
1.842430198929481566e+00,5.353648296058641787e-01,9.915219380886775014e-02,9.995734054075681996e-02
1.627597215428477906e+00,7.788582486039999919e-01,2.535765892159417279e-01,2.527763597139315865e-01
2.893235918133843398e+00,5.849952114613083953e-01,2.193652553550289042e-02,1.789799391452528629e-02
2.885378342166605936e+00,6.996410130605577038e-01,3.972424389405600220e-02,4.056527046864714936e-02
2.491365276171075838e+00,4.341425344764755501e-01,1.463158086128510220e-02,1.515070777906922170e-02
2.178969084951758006e+00,7.245148349380750030e-01,1.095378611646727063e-01,1.067130987337291531e-01
2.612557728920866129e+00,8.905826649746180212e-01,4.162455929825152334e-01,4.177862371481042003e-01
2.846879571199711467e+00,6.905694430959032903e-01,3.999164437636072017e-02,3.858944477549387103e-02
5.565443222175068261e-01,8.883115719692711298e-01,8.422867012797570219e-01,8.400343250474504586e-01
7.952630678771467343e-01,8.003247065448897413e-01,6.669649681025668908e-01,6.671564295244953868e-01
1.400659711709107746e+00,7.609282153418932548e-01,3.245432347878863810e-01,3.241862939250879649e-01
7.339671326064993728e-01,5.875165446668378921e-01,8.146590904075055040e-01,8.150643384094877764e-01
1.998811182633192907e+00,6.444457950065849428e-01,1.199383944509996580e-01,1.167268983343507788e-01
1.150910555870271690e+00,4.482852048681395529e-01,2.571363585771351268e-01,2.607608188096798840e-01
1.160849322830813879e+00,8.247362725920897031e-01,4.659295471305757164e-01,4.647242299014882616e-01
1.220819971619663935e+00,3.080528277494422595e-01,1.410138113899846446e-01,1.379344927729918291e-01
7.442891439609751192e-01,7.784403090326652563e-01,7.036781929856272821e-01,7.049158773627616226e-01
2.352361133095397072e+00,8.640238100776878039e-01,2.439208747894991980e-01,2.432112665292968379e-01
2.126681073999125537e+00,4.991041948905302617e-01,4.615402373864648661e-02,4.680374071019229726e-02
2.016270226603156246e+00,7.799702410061835067e-01,1.622481050899323707e-01,1.615688882286822892e-01
5.851139556944385811e-01,5.575666798767283661e-01,9.341442064068765649e-01,9.340247256859167679e-01
1.573660361597193802e+00,8.141673360144439098e-01,2.958114636395902108e-01,2.963030093270674903e-01
2.213008974749606672e+00,6.774124835397786759e-01,9.239816603090351965e-02,9.090486026293771726e-02
8.908666247589659415e-01,3.334597172926924147e-01,3.183417523623154888e-01,3.196992315540346241e-01
1.464144611643876992e+00,5.253984221400702648e-01,1.910555829056611865e-01,1.901157827075020956e-01
5.495853636748422311e-01,3.115457710838983596e-01,5.911533789172027653e-01,5.894140046288618429e-01
7.046449926931050989e-01,7.495911967077355520e-01,7.432945576295365564e-01,7.434486224731815529e-01
1.041133949997634645e+00,8.225067089463344860e-01,5.252271721576409202e-01,5.261172547146230061e-01
1.536625402853121658e+00,8.976650089536943877e-01,4.992809692975482827e-01,4.988228106143109963e-01
1.658100090718449771e+00,6.158074112425047097e-01,1.967530159185274796e-01,1.950279763443683589e-01
2.711303829045282221e+00,5.347755456898901638e-01,1.982651359181595782e-02,2.106608472443322402e-02
1.291646105435033220e+00,6.147363833431667146e-01,3.578054893837120387e-01,3.542848317994664598e-01
5.536596906929784900e-01,5.660979291917878076e-01,9.990223909470832275e-01,9.969606626750121547e-01
2.565558366927912726e+00,4.758838222866575984e-01,1.660038441519195995e-02,1.667943019625873005e-02
6.546173384339319945e-01,8.461550907652339859e-01,7.661489398172803833e-01,7.634268210206702765e-01
7.324799816555709331e-01,5.365101157688809685e-01,7.058362510965217052e-01,7.058922396250200126e-01
2.907954291849337292e+00,8.373973084896735308e-01,1.333001702214500206e-01,1.331904439854131039e-01
2.383413545320895999e+00,6.399003064830640630e-01,6.513079598265940351e-02,6.692827556037574122e-02
1.344635506948137493e+00,8.081492807298900072e-01,3.725417490827723777e-01,3.707121683791457789e-01
8.304471040479892707e-01,6.993649496201728155e-01,6.716368242894336094e-01,6.703850112421503304e-01
1.466826432929653867e+00,5.815457005563164916e-01,2.453630733640770889e-01,2.460294367334791010e-01
1.347987231950433795e+00,7.297871914334728149e-01,3.379681737419093501e-01,3.330530465614977564e-01
2.686103003606183037e+00,7.352789633229892541e-01,6.092311876973315055e-02,6.712320336756232020e-02
1.546882543285100109e+00,8.216250191494915978e-01,3.112553603260388990e-01,3.098580588651153600e-01
7.051125150390551433e-01,5.764820005702355754e-01,8.296498168623787084e-01,8.281901467569275921e-01
2.817013005896465749e+00,6.177731602016854895e-01,3.050704892160378129e-02,3.222930394341120414e-02
2.055783409288150398e+00,7.585427630993684112e-01,1.430416461038790110e-01,1.429619824210076329e-01
7.917746419525055757e-01,6.088595066750739360e-01,7.688940002842414856e-01,7.653351430468342542e-01
7.829354001160557797e-01,6.722166195442129677e-01,7.386366134109225712e-01,7.398904681711078180e-01
1.664833102910660667e+00,4.412737855624236372e-01,8.745418441499942797e-02,8.916494008299784280e-02
7.302224142227904391e-01,8.856593630250211291e-01,7.465818533786590105e-01,7.456819608317071246e-01
2.079380480506896056e+00,6.815831005306220991e-01,1.133180321156680576e-01,1.127548313990840018e-01
2.040959477737275485e+00,6.903284220468985932e-01,1.218503026928137029e-01,1.228222718873324820e-01
5.802033715453842611e-01,7.471135747699464424e-01,8.466455545058541032e-01,8.448279940060251514e-01
2.518556952603236088e+00,7.726308117731957026e-01,9.104425006164684753e-02,9.192102719006066402e-02
2.466986902348746291e+00,3.575399474240685826e-01,9.630839538642826936e-03,1.002943655953182286e-02
2.788270671538271017e+00,5.220354307094052793e-01,1.548664918645206376e-02,1.413678395490022832e-02
2.175766616846192658e+00,6.591841152879118759e-01,9.390974099354398863e-02,9.112553724592030446e-02
2.232155580838058206e+00,8.965159697484210710e-01,4.535023062260513105e-01,4.530510945645291332e-01
9.093541361329198214e-01,6.098838070052731153e-01,6.472521843645543393e-01,6.455013398480340392e-01
