t,V,m,n,dV_dt,dV_dt_noisy
1.420284056811362383e+00,1.988339405419401729e+01,8.460755895504445956e-01,3.767492035910106202e-02,1.393394050920487182e+01,1.387443514033077641e+01
1.440288057611522454e+00,2.016163964330198866e+01,8.426257115966508948e-01,3.859996295561365920e-02,1.388451737344521142e+01,1.372235445679769761e+01
1.460292058411682303e+00,2.043886574670134948e+01,8.391410756013439887e-01,3.953703083638123589e-02,1.383205563047986253e+01,1.398250439591578065e+01
1.480296059211842374e+00,2.071501157989045083e+01,8.356223165668912323e-01,4.048604186249969011e-02,1.377654853357652875e+01,1.382723783681815632e+01
1.500300060012002445e+00,2.099001644740151562e+01,8.320701024351793151e-01,4.144690612222006604e-02,1.371799521142483869e+01,1.389717182558035091e+01
1.520304060812162517e+00,2.126381974280067411e+01,8.284851340876143722e-01,4.241952593094857477e-02,1.365640068744031943e+01,1.358735754543006280e+01
1.540308061612322588e+00,2.153636094868795325e+01,8.248681453451219836e-01,4.340379583124658741e-02,1.359177587719575619e+01,1.329541222245131316e+01
1.560312062412482659e+00,2.180757963669727317e+01,8.212199029681471751e-01,4.439960259283062816e-02,1.352413756438448722e+01,1.350213541144223761e+01
1.580316063212642508e+00,2.207741546749645067e+01,8.175412066566543068e-01,4.540682521257238119e-02,1.345350835586546623e+01,1.336434272526321898e+01
1.600320064012802579e+00,2.234580846282690203e+01,8.138328854030162374e-01,4.642533552918017697e-02,1.337991654666081232e+01,1.353498131107032698e+01
1.620324064812962650e+00,2.261270010047780588e+01,8.100957852088194189e-01,4.745500012801105727e-02,1.330339576329343743e+01,1.334212233296886829e+01
1.640328065613122721e+00,2.287803190764056183e+01,8.063307882301018470e-01,4.849567710523460667e-02,1.322398518876736517e+01,1.289781534228034410e+01
1.660332066413282792e+00,2.314174638947846319e+01,8.025387967372881182e-01,4.954721902754824492e-02,1.314172913209536198e+01,1.290269651607472134e+01
1.680336067213442863e+00,2.340378717908889428e+01,7.987207309014845436e-01,5.060947331960673895e-02,1.305667680326829405e+01,1.323343461058574455e+01
1.700340068013602712e+00,2.366409903750332333e+01,7.948775287944790380e-01,5.168228226402221681e-02,1.296888211402778701e+01,1.310483511751135666e+01
1.720344068813762783e+00,2.392262785368730960e+01,7.910101463887406759e-01,5.276548300136417458e-02,1.287840346629678479e+01,1.275035479311508624e+01
1.740348069613922855e+00,2.417932064454050334e+01,7.871195575574204684e-01,5.385890753015945553e-02,1.278530352989929675e+01,1.278509377058584029e+01
1.760352070414082926e+00,2.443412555489663518e+01,7.832067540743506973e-01,5.496238270689224326e-02,1.268964901120397748e+01,1.277876372195921384e+01
1.780356071214242997e+00,2.468699190097269991e+01,7.792727444606111220e-01,5.607573046554699403e-02,1.259151039167196906e+01,1.268519125884142440e+01
1.800360072014403068e+00,2.493787084293730771e+01,7.753185381773084472e-01,5.719877074761966357e-02,1.249096135277924979e+01,1.266620979200211927e+01
1.820364072814562917e+00,2.518671489615156744e+01,7.713451606184676956e-01,5.833131857648171659e-02,1.238807878589823197e+01,1.243937591134254461e+01
1.840368073614722988e+00,2.543347811556416360e+01,7.673536439493520156e-01,5.947318597166131177e-02,1.228294236997198396e+01,1.226397670217828484e+01
1.860372074414883059e+00,2.567811625815161491e+01,7.633450222374105198e-01,6.062418289749318956e-02,1.217563420158342957e+01,1.212386458862586025e+01
1.880376075215043130e+00,2.592058678291829565e+01,7.593203314522780634e-01,6.178411726311872076e-02,1.206623851734947728e+01,1.227738707745612778e+01
1.900380076015203201e+00,2.616084885089643208e+01,7.552806094657753544e-01,6.295279492248588571e-02,1.195484141923543042e+01,1.150467056421972245e+01
1.920384076815363272e+00,2.639886332514610245e+01,7.512268960519087324e-01,6.413001967434928119e-02,1.184153060407444968e+01,1.181379953905618230e+01
1.940388077615523121e+00,2.663459277075522635e+01,7.471602328868708343e-01,6.531559326227008577e-02,1.172639509846647421e+01,1.173299511926328620e+01
1.960392078415683192e+00,2.686800147955111839e+01,7.430816613183574004e-01,6.650931583081078069e-02,1.160952496267444545e+01,1.132445517050040706e+01
1.980396079215843264e+00,2.709905568533667619e+01,7.389922108548148127e-01,6.771098818795712182e-02,1.149101082366697568e+01,1.155757354629458433e+01
2.000400080016003113e+00,2.732772345702638361e+01,7.348929112336812786e-01,6.892040931271725679e-02,1.137094382004253568e+01,1.124068761755385637e+01
2.020404080816163184e+00,2.755397466109371152e+01,7.307847835516436685e-01,7.013737831406692547e-02,1.124941524371634749e+01,1.142190420297949771e+01
2.040408081616323255e+00,2.777778097152501502e+01,7.266688385350335011e-01,7.136169479441850649e-02,1.112651628320822006e+01,1.110139786640135462e+01
2.060412082416483326e+00,2.799911586981955480e+01,7.225460765398268315e-01,7.259315884962103116e-02,1.100233780448312260e+01,1.113616845264101229e+01
2.080416083216643397e+00,2.821795464498949002e+01,7.184174875516435854e-01,7.383157106896026667e-02,1.087697014284794506e+01,1.112073886388219002e+01
2.100420084016803468e+00,2.843427439355987829e+01,7.142840511857482255e-01,7.507673253515861900e-02,1.075050290618936089e+01,1.082708882273205475e+01
2.120424084816963539e+00,2.864805401956867215e+01,7.101467366870496400e-01,7.632844482437520228e-02,1.062302478974300790e+01,1.044788056105843843e+01
2.140428085617123610e+00,2.885927416054476780e+01,7.060065000943406277e-01,7.758651064697225097e-02,1.049462338178563670e+01,1.019175965544470941e+01
2.160432086417283681e+00,2.906791718321143492e+01,7.018642787360017676e-01,7.885073495343253303e-02,1.036538492473535555e+01,1.071606174823863000e+01
2.180436087217443752e+00,2.927396732116204348e+01,6.977209979177837473e-01,8.012092346196007797e-02,1.023539422360764739e+01,1.021313578497014340e+01
2.200440088017603824e+00,2.947741039708328259e+01,6.935775658682307165e-01,8.139688394614999489e-02,1.010473451277810319e+01,9.967021523251238690e+00
2.220444088817763451e+00,2.967823381239193381e+01,6.894348734632843589e-01,8.267842630037540441e-02,9.973487332625731838e+00,1.000233875023789665e+01
2.240448089617923522e+00,2.987642654723488178e+01,6.852937942262832260e-01,8.396536253978756359e-02,9.841732418115574532e+00,9.803450152019044239e+00
2.260452090418083593e+00,3.007197916048909647e+01,6.811551843279632923e-01,8.525750680031567164e-02,9.709547597840121114e+00,9.879976050682659050e+00
2.280456091218243664e+00,3.026488378976162963e+01,6.770198825864578440e-01,8.655467533866702257e-02,9.577008703193031991e+00,9.583794339680451912e+00
2.300460092018403735e+00,3.045513415138964319e+01,6.728887104672971464e-01,8.785668653232693581e-02,9.444189487317254716e+00,9.446939404040938015e+00
2.320464092818563806e+00,3.064272539335530965e+01,6.687624711047894799e-01,8.916336118249931775e-02,9.311161587175689647e+00,9.168245642969097275e+00
2.340468093618723877e+00,3.082765394555786287e+01,6.646419461783569238e-01,9.047452321063284564e-02,9.177994468632878267e+00,9.271908088382376789e+00
2.360472094418883948e+00,3.100991787650203335e+01,6.605278986715210632e-01,9.178999885452830687e-02,9.044755299098110157e+00,8.837981954627114334e+00
2.380476095219044019e+00,3.118951645712666476e+01,6.564210722100921602e-01,9.310961715865707922e-02,8.911509037630349184e+00,9.044686925583143022e+00
2.400480096019204090e+00,3.136645013971689977e+01,6.523221909770313687e-01,9.443321000754029138e-02,8.778318410018306039e+00,9.083105912616332489e+00
2.420484096819364161e+00,3.154072055790416940e+01,6.482319597124505117e-01,9.576061212574875359e-02,8.645243884883273111e+00,8.340306677263443547e+00
2.440488097619524233e+00,3.171233052666619656e+01,6.441510637136118600e-01,9.709166107790301314e-02,8.512343655919279328e+00,8.019097809649014863e+00
2.460492098419683860e+00,3.188128404232698543e+01,6.400801688349286866e-01,9.842619726867331276e-02,8.379673629860505457e+00,8.503049380891368969e+00
2.480496099219843931e+00,3.204758628255684982e+01,6.360199214879643792e-01,9.976406394277967382e-02,8.247287419772746375e+00,8.756866982869372151e+00
2.500500100020004002e+00,3.221124358473807803e+01,6.319709487132499914e-01,1.011051071866366780e-01,8.115236352197058523e+00,7.915051382422680248e+00
2.520504100820164073e+00,3.237226300167484538e+01,6.279338588270266808e-01,1.024491760994067774e-01,7.983569643420254103e+00,7.733430491659856187e+00
2.540508101620324144e+00,3.253065279316695779e+01,6.239092385807297747e-01,1.037961229566510962e-01,7.852334191124059615e+00,7.970127977880154369e+00
2.560512102420484215e+00,3.268642217049219312e+01,6.198976557501553186e-01,1.051458029419846674e-01,7.721574716644713732e+00,7.553430398633052434e+00
2.580516103220644286e+00,3.283958110182923207e+01,6.158996600731182491e-01,1.064980741135796577e-01,7.591333869277506530e+00,7.490128772490159292e+00
2.600520104020804357e+00,3.299014031225762977e+01,6.119157832494517280e-01,1.078527974041653958e-01,7.461652249405357651e+00,7.392028756068602213e+00
2.620524104820964428e+00,3.313811128375785842e+01,6.079465389410075860e-01,1.092098366210284000e-01,7.332568433825398913e+00,7.438968851083759048e+00
2.640528105621124499e+00,3.328350625521125039e+01,6.039924227716565452e-01,1.105690584460123221e-01,7.204119003012268152e+00,7.123058530733644034e+00
2.660532106421284571e+00,3.342633822240006225e+01,6.000539123272875530e-01,1.119303324355179763e-01,7.076338570071571077e+00,7.131915138087602912e+00
2.680536107221444198e+00,3.356662093800741076e+01,5.961314671558083367e-01,1.132935310205033380e-01,6.949259811151764055e+00,6.913953159373049218e+00
2.700540108021604269e+00,3.370436890118841688e+01,5.922255288614665103e-01,1.146585294958833989e-01,6.822913502580914447e+00,6.653979281850594063e+00
2.720544108821764340e+00,3.383959694166368593e+01,5.883365242487267333e-01,1.160252056924872543e-01,6.697328764906029797e+00,6.633363513357385166e+00
2.740548109621924411e+00,3.397232060923090557e+01,5.844648606807626434e-01,1.173934405455776819e-01,6.572532879363644831e+00,6.382452946330061216e+00
2.760552110422084482e+00,3.410255606538664352e+01,5.806109284997186260e-01,1.187631177654439596e-01,6.448551399718484234e+00,6.449854396892433783e+00
2.780556111222244553e+00,3.423031987136938881e+01,5.767751032380900034e-01,1.201341235769854132e-01,6.325408305654173446e+00,6.100635060141046395e+00
2.800560112022404624e+00,3.435562898815960153e+01,5.729577456187232576e-01,1.215063467197113889e-01,6.203126041124099821e+00,5.984547167265050760e+00
2.820564112822564695e+00,3.447850077647964895e+01,5.691592015548156969e-01,1.228796784477412390e-01,6.081725552528476797e+00,6.373117915589528337e+00
2.840568113622724766e+00,3.459895299679386227e+01,5.653798021499158999e-01,1.242540125298043641e-01,5.961226326621044791e+00,5.950589482559976773e+00
2.860572114422884837e+00,3.471700380930851537e+01,5.616198636979231607e-01,1.256292452492401845e-01,5.841646428058243856e+00,5.830866022963835604e+00
2.880576115223044908e+00,3.483267177397181058e+01,5.578796876830881546e-01,1.270052754039981135e-01,5.723002536512606930e+00,5.825309820496130442e+00
2.900580116023204980e+00,3.494597585047390709e+01,5.541595607800123835e-01,1.283820043066376260e-01,5.605309983280293729e+00,5.521138582770519498e+00
2.920584116823364607e+00,3.505693530326421126e+01,5.504597561224232605e-01,1.297593356102436923e-01,5.488582845323146664e+00,5.442875771827514697e+00
2.940588117623524678e+00,3.516556945048760241e+01,5.467805357312293113e-01,1.311371749845793300e-01,5.372834122633369347e+00,5.457863869699751014e+00
2.960592118423684749e+00,3.527189807554540124e+01,5.431221449781744592e-01,1.325154308786763435e-01,5.258075522409953351e+00,5.314558690858834034e+00
2.980596119223844820e+00,3.537594114258644140e+01,5.394848175652309230e-01,1.338940138276303593e-01,5.144317683300744903e+00,4.912458337914259232e+00
3.000600120024004891e+00,3.547771876549737868e+01,5.358687759895893743e-01,1.352728363883420049e-01,5.031570229796807681e+00,5.198238749130740466e+00
3.020604120824164962e+00,3.557725120790266260e+01,5.322742315436588267e-01,1.366518131395171309e-01,4.919841806082466462e+00,4.801754817424657595e+00
3.040608121624325033e+00,3.567455888316455059e+01,5.287013843150669690e-01,1.380308606816666728e-01,4.809140108905492816e+00,4.597924318842655289e+00
3.060612122424485104e+00,3.576966235438311514e+01,5.251504231866596095e-01,1.394098976371066778e-01,4.699471919463512393e+00,4.519376905463701632e+00
3.080616123224645175e+00,3.586258233439621534e+01,5.216215258365011209e-01,1.407888446499583057e-01,4.590843134306065387e+00,4.512734065435000552e+00
3.100620124024805246e+00,3.595333968577953954e+01,5.181148587378741066e-01,1.421676243861478006e-01,4.483258795254394080e+00,4.808718846179007578e+00
3.120624124824965318e+00,3.604195542084656978e+01,5.146305771592798450e-01,1.435461615334066299e-01,4.376723118343833541e+00,4.141615937359677702e+00
3.140628125625125389e+00,3.612845055515445836e+01,5.111688278530277518e-01,1.449243823997919955e-01,4.271239623736454938e+00,4.303254802243323240e+00
3.160632126425285016e+00,3.621284612619523813e+01,5.077297476659594633e-01,1.463022151184049380e-01,4.166811136422060358e+00,3.739246264803944619e+00
3.180636127225445087e+00,3.629516331166722409e+01,5.043134621241298632e-01,1.476795898644446547e-01,4.063439740351650009e+00,4.063126353722610773e+00
3.200640128025605158e+00,3.637542328764038047e+01,5.009200886990746726e-01,1.490564383705350326e-01,3.961126911431824382e+00,4.141040194927025908e+00
3.220644128825765229e+00,3.645364722845899763e+01,4.975497368098074635e-01,1.504326939264273855e-01,3.859873542321865525e+00,3.812540877909574633e+00
3.240648129625925300e+00,3.652985630674171347e+01,4.942025078228189927e-01,1.518082913790006205e-01,3.759679966183720357e+00,3.633808981407051775e+00
3.260652130426085371e+00,3.660407169338147781e+01,4.908784950520778678e-01,1.531831671322610167e-01,3.660545979479593814e+00,3.706848192291301469e+00
3.280656131226245442e+00,3.667631455754558800e+01,4.875777837590301589e-01,1.545572591473423629e-01,3.562470863841580737e+00,3.702501214071710844e+00
3.300660132026405513e+00,3.674660606667566753e+01,4.843004511525995093e-01,1.559305069425059309e-01,3.465453407038187716e+00,3.598184921241668999e+00
3.320664132826565584e+00,3.681496738648767320e+01,4.810465663891871912e-01,1.573028515931404470e-01,3.369491923062500227e+00,3.763986693848458742e+00
3.340668133626725655e+00,3.688141966775185665e+01,4.778161909409783803e-01,1.586742356742433802e-01,3.274584282410478497e+00,3.316417776877733647e+00
3.360672134426885727e+00,3.694598393025916039e+01,4.746093812538486056e-01,1.600446028409096000e-01,3.180728019870390888e+00,3.062245999919804174e+00
3.380676135227045354e+00,3.700868119032197257e+01,4.714261848052987425e-01,1.614138984430670554e-01,3.087920240612429978e+00,3.062724402615101482e+00
3.400680136027205425e+00,3.706953240471013800e+01,4.682666427089685612e-01,1.627820691288566213e-01,2.996157697761241412e+00,2.981657988637278933e+00
3.420684136827365496e+00,3.712855844633460833e+01,4.651307904964711581e-01,1.641490627234599431e-01,2.905436830322253083e+00,2.927184307017876908e+00
3.440688137627525567e+00,3.718578010424750602e+01,4.620186581173928997e-01,1.655148282290995199e-01,2.815753778669878749e+00,2.809748216023991940e+00
3.460692138427685638e+00,3.724121808364211006e+01,4.589302699392930895e-01,1.668793158250387321e-01,2.727104399311656824e+00,2.761897587090897499e+00
3.480696139227845709e+00,3.729489300585284184e+01,4.558656447477044682e-01,1.682424768675817861e-01,2.639484278954534968e+00,2.305314266831512526e+00
3.500700140028005780e+00,3.734682540835527220e+01,4.528247957461327133e-01,1.696042638900737698e-01,2.552888747898847566e+00,2.718814539106856110e+00
3.520704140828165851e+00,3.739703574476612857e+01,4.498077305560567729e-01,1.709646306029006246e-01,2.467312892784893297e+00,2.352365039000686942e+00
3.540708141628325922e+00,3.744554438484328074e+01,4.468144512169288096e-01,1.723235318934891180e-01,2.382751568716403590e+00,2.148119829426998528e+00
3.560712142428485993e+00,3.749237157868037684e+01,4.438449555744047870e-01,1.736809236004304147e-01,2.299199446342495179e+00,2.426749678270782251e+00
3.580716143228646065e+00,3.753753744411798721e+01,4.408992368162361619e-01,1.750367625812737360e-01,2.216651022640690805e+00,2.480116224117907109e+00
3.600720144028806136e+00,3.758106201016303771e+01,4.379772823973915319e-01,1.763910068953804255e-01,2.135100596322933697e+00,2.233706226222822444e+00
3.620724144828965763e+00,3.762296518296573566e+01,4.350790760245122901e-01,1.777436154876244068e-01,2.054542320379211695e+00,2.086774183148315753e+00
3.640728145629125834e+00,3.766326674566747812e+01,4.322045976630627395e-01,1.790945481872406875e-01,1.974970211631396522e+00,1.788526150557006034e+00
3.660732146429285905e+00,3.770198635840085899e+01,4.293538235373303702e-01,1.804437657078252488e-01,1.896378159626969095e+00,2.470691627189668615e+00
3.680736147229445976e+00,3.773914355828962641e+01,4.265267261304255264e-01,1.817912296473350731e-01,1.818759935060960675e+00,1.994811659193262310e+00
3.700740148029606047e+00,3.777475775944873959e+01,4.237232741842817396e-01,1.831369024880881158e-01,1.742109197745970395e+00,1.514250263677375141e+00
3.720744148829766118e+00,3.780884825298432617e+01,4.209434326996552844e-01,1.844807475967634169e-01,1.666419504149519781e+00,1.510491920901570806e+00
3.740748149629926189e+00,3.784143420699370353e+01,4.181871629361257336e-01,1.858227292244009343e-01,1.591684314517194387e+00,1.609080164231575294e+00
3.760752150430086260e+00,3.787253466325400098e+01,4.154544226714412258e-01,1.871628124628455236e-01,1.517897004700333285e+00,1.206950778301135951e+00
3.780756151230246331e+00,3.790216851045475721e+01,4.127451674508506030e-01,1.885009630298555006e-01,1.445050902316002750e+00,1.478776983718105509e+00
3.800760152030406402e+00,3.793035450566328137e+01,4.100593484960721735e-01,1.898371476197490137e-01,1.373139254122670794e+00,1.281324942980119008e+00
3.820764152830566474e+00,3.795711127153055031e+01,4.073969142930985443e-01,1.911713336466726587e-01,1.302155254403162932e+00,1.547409374466406362e+00
3.840768153630726545e+00,3.798245729352046141e+01,4.047578109192044860e-01,1.925034891904246204e-01,1.232092056023072368e+00,1.424522988748721630e+00
