t,N1,N2,P1,dN1_dt,dN1_dt_noisy
6.481296259251849712e-01,2.234870932550948908e+01,6.437846476273691110e+01,5.098030296466507849e+00,3.500061510319640412e+00,3.544019541234039838e+00
6.601320264052810138e-01,2.239068743326339828e+01,6.445392076569397943e+01,5.100153814770455263e+00,3.494885159604456781e+00,3.441295788760584617e+00
6.721344268853770565e-01,2.243260323769361264e+01,6.452916678769591385e+01,5.102288088607465077e+00,3.489679494551935157e+00,3.535402854708374232e+00
6.841368273654730991e-01,2.247445638785055877e+01,6.460420263720368439e+01,5.104433095126080566e+00,3.484444710709571957e+00,3.483441537978797964e+00
6.961392278455690308e-01,2.251624653506917895e+01,6.467902812943415825e+01,5.106588811561403318e+00,3.479181003798460736e+00,3.416743559281739895e+00
7.081416283256650734e-01,2.255797333296893115e+01,6.475364308636014243e+01,5.108755215235094127e+00,3.473888569698693196e+00,3.458193596100350931e+00
7.201440288057611161e-01,2.259963643745378192e+01,6.482804733671035535e+01,5.110932283555366773e+00,3.468567604434801499e+00,3.471272718373378474e+00
7.321464292858571588e-01,2.264123550671221352e+01,6.490224071596942679e+01,5.113119994016996017e+00,3.463218304161273853e+00,3.476857871119496401e+00
7.441488297659530904e-01,2.268277020121722032e+01,6.497622306637789791e+01,5.115318324201311384e+00,3.457840865148086973e+00,3.408731458901038014e+00
7.561512302460491330e-01,2.272424018372630883e+01,6.504999423693224969e+01,5.117527251776200714e+00,3.452435483766298940e+00,3.397066831408039445e+00
7.681536307261451757e-01,2.276564511978874350e+01,6.512355407857292278e+01,5.119746754459595373e+00,3.447002356868495987e+00,3.456981583510850164e+00
7.801560312062412184e-01,2.280698467980229083e+01,6.519690242764104937e+01,5.121976809913579842e+00,3.441541683133130025e+00,3.418204202289139904e+00
7.921584316863372610e-01,2.284825853467763679e+01,6.527003914826350695e+01,5.124217396074114639e+00,3.436053659572424479e+00,3.447828940158935929e+00
8.041608321664331926e-01,2.288946635731513979e+01,6.534296411411962424e+01,5.126468490984537496e+00,3.430538483011659423e+00,3.468514459135578321e+00
8.161632326465292353e-01,2.293060782297900957e+01,6.541567720460285784e+01,5.128730072764520642e+00,3.424996350390105082e+00,3.342556982072557581e+00
8.281656331266252780e-01,2.297168260929731431e+01,6.548817830482077795e+01,5.131002119610071688e+00,3.419427458747270165e+00,3.432146864573151213e+00
8.401680336067213206e-01,2.301269039626198065e+01,6.556046730559506841e+01,5.133284609793530961e+00,3.413832005209180842e+00,3.475064353585967325e+00
8.521704340868172523e-01,2.305363086622877944e+01,6.563254410346155510e+01,5.135577521663573286e+00,3.408210186974708122e+00,3.393333844756184270e+00
8.641728345669132949e-01,2.309450370391734708e+01,6.570440860067014910e+01,5.137880833645208867e+00,3.402562201301957856e+00,3.362021472140079403e+00
8.761752350470093376e-01,2.313530859641116422e+01,6.577606070518490355e+01,5.140194524239779739e+00,3.396888245494692704e+00,3.434500436853672234e+00
8.881776355271053802e-01,2.317604523315756992e+01,6.584750033068399944e+01,5.142518572024964207e+00,3.391188516888807403e+00,3.403860842699214295e+00
9.001800360072014229e-01,2.321671330596776528e+01,6.591872739655970292e+01,5.144852955654773297e+00,3.385463212838855540e+00,3.430257366377733597e+00
9.121824364872973545e-01,2.325731250901678848e+01,6.598974182791840803e+01,5.147197653859554300e+00,3.379712530704625628e+00,3.362451745202061471e+00
9.241848369673933972e-01,2.329784253884354683e+01,6.606054355558067925e+01,5.149552645445984567e+00,3.373936667837751813e+00,3.299845754151641053e+00
9.361872374474894398e-01,2.333830309435079542e+01,6.613113251608110943e+01,5.151917909297080378e+00,3.368135821568395194e+00,3.362635283332832792e+00
9.481896379275854825e-01,2.337869387680514421e+01,6.620150865166850451e+01,5.154293424372188959e+00,3.362310189191956233e+00,3.340018781541394421e+00
9.601920384076814141e-01,2.341901458983706164e+01,6.627167191030571303e+01,5.156679169706992916e+00,3.356459967955841783e+00,3.395226159058220450e+00
9.721944388877774568e-01,2.345926493944086033e+01,6.634162224566973975e+01,5.159075124413508462e+00,3.350585355046282743e+00,3.360266997465140459e+00
9.841968393678734994e-01,2.349944463397472205e+01,6.641135961715170311e+01,5.161481267680087193e+00,3.344686547575199675e+00,3.263144085953444407e+00
9.961992398479695421e-01,2.353955338416066567e+01,6.648088398985684933e+01,5.163897578771412533e+00,3.338763742567111947e+00,3.279005588561951789e+00
1.008201640328065585e+00,2.357959090308457917e+01,6.655019533460452408e+01,5.166324037028504179e+00,3.332817136946108150e+00,3.377006588775470775e+00
1.020204040808161627e+00,2.361955690619619830e+01,6.661929362792821507e+01,5.168760621868715432e+00,3.326846927522860042e+00,3.360835178393752454e+00
1.032206441288257670e+00,2.365945111130911371e+01,6.668817885207549523e+01,5.171207312785733201e+00,3.320853310981677353e+00,3.288841142686252716e+00
1.044208841768353491e+00,2.369927323860076385e+01,6.675685099500809372e+01,5.173664089349578887e+00,3.314836483867622974e+00,3.314784044039258859e+00
1.056211242248449533e+00,2.373902301061245623e+01,6.682531005040183913e+01,5.176130931206607499e+00,3.308796642573679225e+00,3.331075320262488315e+00
1.068213642728545576e+00,2.377870015224933908e+01,6.689355601764667369e+01,5.178607818079510317e+00,3.302733983327958533e+00,3.326154200120322368e+00
1.080216043208641619e+00,2.381830439078042261e+01,6.696158890184666745e+01,5.181094729767309559e+00,3.296648702180960733e+00,3.340460811986678102e+00
1.092218443688737661e+00,2.385783545583856835e+01,6.702940871382001831e+01,5.183591646145364606e+00,3.290540994992885881e+00,3.303365276353964042e+00
1.104220844168833704e+00,2.389729307942048919e+01,6.709701547009902356e+01,5.186098547165366668e+00,3.284411057421005697e+00,3.279669640472580916e+00
1.116223244648929747e+00,2.393667699588676001e+01,6.716440919293010836e+01,5.188615412855342335e+00,3.278259084907066967e+00,3.265316681667674636e+00
1.128225645129025789e+00,2.397598694196179991e+01,6.723158991027382569e+01,5.191142223319650917e+00,3.272085272664758016e+00,3.324872412691420642e+00
1.140228045609121832e+00,2.401522265673389356e+01,6.729855765580484217e+01,5.193678958738988882e+00,3.265889815667220031e+00,3.153347101913293038e+00
1.152230446089217875e+00,2.405438388165516983e+01,6.736531246891193803e+01,5.196225599370384529e+00,3.259672908634621891e+00,3.252740142380055044e+00
1.164232846569313695e+00,2.409347036054161961e+01,6.743185439469800713e+01,5.198782125547199762e+00,3.253434746021762969e+00,3.255084751220965966e+00
1.176235247049409738e+00,2.413248183957308157e+01,6.749818348398007117e+01,5.201348517679132755e+00,3.247175522005746995e+00,3.175908073962237399e+00
1.188237647529505780e+00,2.417141806729325282e+01,6.756429979328927971e+01,5.203924756252213513e+00,3.240895430473703875e+00,3.257536111130606038e+00
1.200240048009601823e+00,2.421027879460968535e+01,6.763020338487088168e+01,5.206510821828807423e+00,3.234594665010549264e+00,3.202030614388379437e+00
1.212242448489697866e+00,2.424906377479378250e+01,6.769589432668426809e+01,5.209106695047615254e+00,3.228273418886814738e+00,3.271395658702602294e+00
1.224244848969793908e+00,2.428777276348079894e+01,6.776137269240291516e+01,5.211712356623670495e+00,3.221931885046513067e+00,3.215652280844796707e+00
1.236247249449889951e+00,2.432640551866985135e+01,6.782663856141445535e+01,5.214327787348339349e+00,3.215570256095067414e+00,3.249027918134539838e+00
1.248249649929985994e+00,2.436496180072390771e+01,6.789169201882060634e+01,5.216952968089325182e+00,3.209188724287287187e+00,3.270130904545848427e+00
1.260252050410082036e+00,2.440344137236978739e+01,6.795653315543724204e+01,5.219587879790663187e+00,3.202787481515386059e+00,3.221933960651059525e+00
1.272254450890177857e+00,2.444184399672862895e+01,6.802116205057147624e+01,5.222232503338293697e+00,3.196366720743644585e+00,3.152580663572502218e+00
1.284256851370273900e+00,2.448016943910618792e+01,6.808557878648159090e+01,5.224886819712958541e+00,3.189926634775608338e+00,3.114210703190376517e+00
1.296259251850369942e+00,2.451841746927847154e+01,6.814978346896245398e+01,5.227550810132573389e+00,3.183467414516613303e+00,3.271136620392431915e+00
1.308261652330465985e+00,2.455658785922963006e+01,6.821377620823110988e+01,5.230224455881325341e+00,3.176989250571987000e+00,3.171424640912611004e+00
1.320264052810562028e+00,2.459468038315031890e+01,6.827755711891266799e+01,5.232907738309551249e+00,3.170492333237691529e+00,3.136064085855975403e+00
1.332266453290658070e+00,2.463269481743769163e+01,6.834112632004030274e+01,5.235600638833740383e+00,3.163976852489828850e+00,3.171189706892870053e+00
1.344268853770754113e+00,2.467063094069541052e+01,6.840448393505525360e+01,5.238303138936534431e+00,3.157442997974175825e+00,3.147872431450043251e+00
1.356271254250850156e+00,2.470848853373363241e+01,6.846763009180682502e+01,5.241015220166724831e+00,3.150890958995780977e+00,3.193498072206415461e+00
1.368273654730946198e+00,2.474626737956901579e+01,6.853056492255237231e+01,5.243736864139256326e+00,3.144320924508600790e+00,3.146017333630455770e+00
1.380276055211042019e+00,2.478396726342472434e+01,6.859328856395734419e+01,5.246468052535224302e+00,3.137733083105173293e+00,3.138420562286094118e+00
1.392278455691138062e+00,2.482158797273041984e+01,6.865580115709521181e+01,5.249208767101875672e+00,3.131127623006366711e+00,3.095398636954718619e+00
1.404280856171234104e+00,2.485912929712226926e+01,6.871810284744753972e+01,5.251958989652609766e+00,3.124504732051126332e+00,3.147983136988500963e+00
1.416283256651330147e+00,2.489659102844293770e+01,6.878019378490395752e+01,5.254718702066977443e+00,3.117864597686317296e+00,3.066171261568568340e+00
1.428285657131426190e+00,2.493397296074159186e+01,6.884207412376211721e+01,5.257487886290680201e+00,3.111207406956586041e+00,3.144501878944784501e+00
1.440288057611522232e+00,2.497127489027390368e+01,6.890374402272779264e+01,5.260266524335571070e+00,3.104533346494266155e+00,3.180730222143772767e+00
1.452290458091618275e+00,2.500849661550203962e+01,6.896520364491478006e+01,5.263054598279656382e+00,3.097842602509349064e+00,3.021608300604391673e+00
1.464292858571714318e+00,2.504563793709467845e+01,6.902645315784494073e+01,5.265852090267092223e+00,3.091135360779485808e+00,2.967823899211920136e+00
1.476295259051810360e+00,2.508269865792698283e+01,6.908749273344824360e+01,5.268658982508187982e+00,3.084411806640032339e+00,3.115255744397748217e+00
1.488297659531906181e+00,2.511967858308063839e+01,6.914832254806263734e+01,5.271475257279401916e+00,3.077672124974172974e+00,3.205067015748329418e+00
1.500300060012002223e+00,2.515657751984381818e+01,6.920894278243423514e+01,5.274300896923347359e+00,3.070916500203037636e+00,3.020870257759443067e+00
1.512302460492098266e+00,2.519339527771119691e+01,6.926935362171712995e+01,5.277135883848786513e+00,3.064145116275926117e+00,3.001610328335826861e+00
1.524304860972194309e+00,2.523013166838395804e+01,6.932955525547350817e+01,5.279980200530634882e+00,3.057358156660523019e+00,3.086806603349546485e+00
1.536307261452290351e+00,2.526678650576977958e+01,6.938954787767363541e+01,5.282833829509957724e+00,3.050555804333201948e+00,3.008519724830286624e+00
1.548309661932386394e+00,2.530335960598284828e+01,6.944933168669582813e+01,5.285696753393974490e+00,3.043738241769360808e+00,3.018436967572523777e+00
1.560312062412482437e+00,2.533985078734384189e+01,6.950890688532643935e+01,5.288568954856053494e+00,3.036905650933795719e+00,3.019499777599606638e+00
1.572314462892578479e+00,2.537625987037995046e+01,6.956827368075994400e+01,5.291450416635716358e+00,3.030058213271139778e+00,3.056658317585729812e+00
1.584316863372674522e+00,2.541258667782485858e+01,6.962743228459882516e+01,5.294341121538635342e+00,3.023196109696342671e+00,3.002930991626686641e+00
1.596319263852770343e+00,2.544883103461875606e+01,6.968638291285365938e+01,5.297241052436636011e+00,3.016319520585191150e+00,3.030213662589199330e+00
1.608321664332866385e+00,2.548499276790833079e+01,6.974512578594307399e+01,5.300150192267693683e+00,3.009428625764878795e+00,3.000601962820200086e+00
1.620324064812962428e+00,2.552107170704677586e+01,6.980366112869376138e+01,5.303068524035935205e+00,3.002523604504645505e+00,2.960290049322065187e+00
1.632326465293058471e+00,2.555706768359378245e+01,6.986198917034049316e+01,5.305996030811640729e+00,2.995604635506422309e+00,2.979613322619261151e+00
1.644328865773154513e+00,2.559298053131554340e+01,6.992011014452606332e+01,5.308932695731241047e+00,2.988671896895567670e+00,2.941151913637171766e+00
1.656331266253250556e+00,2.562881008618475676e+01,6.997802428930138774e+01,5.311878501997317592e+00,2.981725566211627765e+00,2.982051315505115152e+00
1.668333666733346599e+00,2.566455618638062219e+01,7.003573184712539046e+01,5.314833432878604214e+00,2.974765820399150940e+00,2.918572509020869177e+00
1.680336067213442641e+00,2.570021867228883039e+01,7.009323306486508898e+01,5.317797471709988066e+00,2.967792835798537254e+00,2.913148117333775211e+00
1.692338467693538684e+00,2.573579738650158788e+01,7.015052819379555160e+01,5.320770601892504281e+00,2.960806788136976841e+00,3.033654878902239727e+00
1.704340868173634505e+00,2.577129217381759219e+01,7.020761748959994009e+01,5.323752806893342182e+00,2.953807852519373167e+00,2.951148641504106163e+00
1.716343268653730547e+00,2.580670288124205314e+01,7.026450121236942437e+01,5.326744070245842622e+00,2.946796203419383531e+00,2.944101102145781468e+00
1.728345669133826590e+00,2.584202935798666445e+01,7.032117962660328203e+01,5.329744375549497981e+00,2.939772014670450240e+00,2.965348835666331340e+00
1.740348069613922632e+00,2.587727145546964280e+01,7.037765300120884149e+01,5.332753706469949506e+00,2.932735459456917937e+00,2.911692609329474379e+00
1.752350470094018675e+00,2.591242902731568520e+01,7.043392160950149616e+01,5.335772046738994412e+00,2.925686710305186011e+00,2.914259941931278242e+00
1.764352870574114718e+00,2.594750192868836081e+01,7.048998572608036284e+01,5.338799380136007855e+00,2.918625939363307609e+00,2.939883376129903247e+00
1.776355271054210760e+00,2.598249001175229722e+01,7.054584560542343752e+01,5.341835690381935287e+00,2.911553320364418163e+00,2.925674112476638111e+00
1.788357671534306803e+00,2.601739313488587158e+01,7.060150152486220065e+01,5.344880961411337950e+00,2.904469024649674935e+00,2.846504188303053517e+00
1.800360072014402846e+00,2.605221115968413415e+01,7.065695377083882533e+01,5.347935177254846018e+00,2.897373222436532281e+00,2.939040352270015255e+00
1.812362472494498666e+00,2.608694394966216024e+01,7.071220263286735985e+01,5.350998321999613339e+00,2.890266083369674277e+00,2.860744336205222282e+00
1.824364872974594709e+00,2.612159137025505729e+01,7.076724840353375612e+01,5.354070379789313883e+00,2.883147776513867555e+00,2.830343828998158173e+00
1.836367273454690752e+00,2.615615328881796842e+01,7.082209137849586966e+01,5.357151334824145295e+00,2.876018470346845213e+00,2.830994716846892523e+00
1.848369673934786794e+00,2.619062957462606533e+01,7.087673185648345964e+01,5.360241171360826229e+00,2.868878332752252902e+00,2.849351065534486693e+00
1.860372074414882837e+00,2.622502009887455543e+01,7.093117013929817460e+01,5.363339873712598127e+00,2.861727531012609127e+00,2.943092543743762501e+00
1.872374474894978880e+00,2.625932473467867823e+01,7.098540653181356674e+01,5.366447426249226105e+00,2.854566231802326381e+00,2.795789436556287200e+00
1.884376875375074922e+00,2.629354335707369827e+01,7.103944134197506344e+01,5.369563813396995400e+00,2.847394601180754936e+00,2.855398395807471790e+00
1.896379275855170965e+00,2.632767584301492292e+01,7.109327488080000990e+01,5.372689019638714036e+00,2.840212804585275919e+00,2.733321586680747206e+00
1.908381676335267008e+00,2.636172207137768453e+01,7.114690746237766916e+01,5.375823029513712825e+00,2.833021006824431254e+00,2.832942660167171223e+00
1.920384076815362828e+00,2.639568192295734406e+01,7.120033940386915106e+01,5.378965827617844475e+00,2.825819372071094460e+00,2.870797692944894841e+00
1.932386477295458871e+00,2.642955528046930880e+01,7.125357102550751165e+01,5.382117398603482705e+00,2.818608063855673862e+00,2.806774897752601028e+00
1.944388877775554914e+00,2.646334202854900042e+01,7.130660265059765379e+01,5.385277727179526686e+00,2.811387245059368212e+00,2.779919498865201177e+00
1.956391278255650956e+00,2.649704205375188693e+01,7.135943460551644080e+01,5.388446798111394820e+00,2.804157077907450279e+00,2.815732631110376971e+00
1.968393678735746999e+00,2.653065524455346136e+01,7.141206721971259697e+01,5.391624596221028298e+00,2.796917723962596636e+00,2.831925311520129274e+00
1.980396079215843042e+00,2.656418149134924889e+01,7.146450082570672180e+01,5.394811106386891097e+00,2.789669344118260064e+00,2.822852222669130384e+00
1.992398479695939084e+00,2.659762068645481037e+01,7.151673575909136105e+01,5.398006313543969092e+00,2.782412098592068617e+00,2.881035791288558023e+00
2.004400880176035127e+00,2.663097272410573524e+01,7.156877235853093566e+01,5.401210202683770945e+00,2.775146146919279744e+00,2.785604520536093531e+00
2.016403280656131169e+00,2.666423750045764507e+01,7.162061096576174180e+01,5.404422758854327213e+00,2.767871647946269054e+00,2.738251142958622264e+00
2.028405681136227212e+00,2.669741491358619712e+01,7.167225192559202185e+01,5.407643967160190357e+00,2.760588759824054161e+00,2.754289800324722037e+00
2.040408081616323255e+00,2.673050486348707366e+01,7.172369558590187921e+01,5.410873812762434731e+00,2.753297640001868274e+00,2.749672712720877765e+00
2.052410482096419297e+00,2.676350725207600334e+01,7.177494229764332090e+01,5.414112280878658368e+00,2.745998445220760420e+00,2.751435314394666154e+00
2.064412882576515340e+00,2.679642198318872559e+01,7.182599241484025754e+01,5.417359356782979418e+00,2.738691331507252968e+00,2.737189940845781155e+00
2.076415283056611383e+00,2.682924896258103331e+01,7.187684629458848917e+01,5.420615025806040599e+00,2.731376454167024903e+00,2.740074751111835294e+00
2.088417683536706981e+00,2.686198809792873732e+01,7.192750429705573367e+01,5.423879273335005635e+00,2.724053967778643948e+00,2.640511464747888226e+00
2.100420084016803024e+00,2.689463929882768412e+01,7.197796678548158411e+01,5.427152084813560151e+00,2.716724026187329777e+00,2.758205473989332024e+00
2.112422484496899067e+00,2.692720247679375589e+01,7.202823412617753718e+01,5.430433445741912557e+00,2.709386782498774071e+00,2.680649819052722371e+00
2.124424884976995109e+00,2.695967754526286342e+01,7.207830668852700740e+01,5.433723341676793162e+00,2.702042389072980111e+00,2.643384454250628846e+00
2.136427285457091152e+00,2.699206441959095315e+01,7.212818484498525606e+01,5.437021758231454172e+00,2.694690997518164544e+00,2.726578555500236423e+00
2.148429685937187195e+00,2.702436301705399302e+01,7.217786897107950495e+01,5.440328681075671469e+00,2.687332758684676470e+00,2.753199059053980768e+00
2.160432086417283237e+00,2.705657325684800085e+01,7.222735944540883679e+01,5.443644095935741056e+00,2.679967822658979149e+00,2.704619230133951113e+00
2.172434486897379280e+00,2.708869506008900885e+01,7.227665664964423797e+01,5.446967988594483501e+00,2.672596338757649903e+00,2.680654304449925807e+00
2.184436887377475323e+00,2.712072834981309200e+01,7.232576096852857006e+01,5.450300344891239490e+00,2.665218455521457308e+00,2.618607440252859853e+00
2.196439287857571365e+00,2.715267305097635386e+01,7.237467278987665509e+01,5.453641150721873387e+00,2.657834320709421938e+00,2.801412687600096874e+00
2.208441688337667408e+00,2.718452909045493371e+01,7.242339250457514765e+01,5.456990392038770565e+00,2.650444081292974818e+00,2.694457012326050283e+00
2.220444088817763451e+00,2.721629639704499581e+01,7.247192050658262019e+01,5.460348054850839183e+00,2.643047883450124313e+00,2.586083149932975722e+00
2.232446489297859493e+00,2.724797490016582557e+01,7.252025718834245538e+01,5.463714125195543225e+00,2.635645873033928943e+00,2.596663977221941533e+00
2.244448889777955536e+00,2.727956452614876781e+01,7.256840292751306265e+01,5.467088589082858441e+00,2.628238196931981463e+00,2.632587159360576745e+00
2.256451290258051579e+00,2.731106520795323434e+01,7.261635812128032796e+01,5.470471432712797899e+00,2.620824999512588072e+00,2.543088442912788683e+00
2.268453690738147621e+00,2.734247688087155836e+01,7.266412317135220178e+01,5.473862642351106977e+00,2.613406424181520027e+00,2.621837944532045661e+00
2.280456091218243664e+00,2.737379948178488931e+01,7.271169848133796165e+01,5.477262204311356797e+00,2.605982613649216795e+00,2.583029035863579015e+00
2.292458491698339706e+00,2.740503294916323895e+01,7.275908445674831171e+01,5.480670104954945110e+00,2.598553709926495259e+00,2.659867239942306227e+00
2.304460892178435749e+00,2.743617722306544238e+01,7.280628150499526896e+01,5.484086330691096300e+00,2.591119854320329985e+00,2.639227587501742356e+00
