t,Pr,J,K,N,dPr_dt,dPr_dt_noisy
1.280256051210242052e-01,1.192272968126068845e-02,-1.989431336450307611e-04,8.743662336695934290e-02,9.899380125465601088e-01,1.353645641915437736e-01,1.357617852663603741e-01
1.360272054410882059e-01,1.302649958596449956e-02,-2.219196831098991596e-04,9.281274103331042802e-02,9.893221589711619357e-01,1.405190513805095742e-01,1.375944838708586804e-01
1.440288057611522343e-01,1.417142546717914224e-02,-2.457179080357152555e-04,9.817723542259154668e-02,9.887079592380618731e-01,1.456514715315873343e-01,1.378323869080189112e-01
1.520304060812162350e-01,1.535733018198855507e-02,-2.702539637364498315e-04,1.035298981234531457e-01,9.880954317715169299e-01,1.507616863693557463e-01,1.481897639631670482e-01
1.600320064012802634e-01,1.658403546575152807e-02,-2.954413749852925113e-04,1.088705180451194077e-01,9.874845945774272105e-01,1.558495558266440595e-01,1.559309776318275054e-01
1.680336067213442641e-01,1.785136193210166630e-02,-3.211910360146511901e-04,1.141988814173879874e-01,9.868754652433359142e-01,1.609149380358431414e-01,1.581589089828494277e-01
1.760352070414082926e-01,1.915912907294742284e-02,-3.474112105161528477e-04,1.195147717906302198e-01,9.862680609384290031e-01,1.659576893201489822e-01,1.788983274641310628e-01
1.840368073614722932e-01,2.050715525847207274e-02,-3.740075316406424105e-04,1.248179700357910232e-01,9.856623984135356453e-01,1.709776641847394196e-01,1.810449073377973506e-01
1.920384076815362939e-01,2.189525771237015028e-02,-4.008830930296771594e-04,1.301082541915311308e-01,9.850584939985042032e-01,1.759747151594472370e-01,1.488630903697875651e-01
2.000400080016003224e-01,2.332325237446329982e-02,-4.279388602495642858e-04,1.353853987136446335e-01,9.844563635889692632e-01,1.809486920632309981e-01,1.620585596035542808e-01
2.080416083216643230e-01,2.479095402830392911e-02,-4.550731608337779482e-04,1.406491753098924880e-01,9.838560226602559577e-01,1.858994428080055217e-01,1.841517218874539064e-01
2.160432086417283515e-01,2.629817620195102484e-02,-4.821821866938620291e-04,1.458993521881540301e-01,9.832574862547555083e-01,1.908268126585264957e-01,1.866049085427629595e-01
2.240448089617923522e-01,2.784473114791750567e-02,-5.091600776511045513e-04,1.511356939225971252e-01,9.826607689796541534e-01,1.957306440954611759e-01,1.978670740704472908e-01
2.320464092818563806e-01,2.943042984317026725e-02,-5.358989214365382199e-04,1.563579614536784179e-01,9.820658850069335921e-01,2.006107768085696741e-01,2.027839961187953011e-01
2.400480096019203813e-01,3.105508198913012330e-02,-5.622887536909403679e-04,1.615659120881430821e-01,9.814728480733708738e-01,2.054670476898086406e-01,2.266454352403191319e-01
2.480496099219844097e-01,3.271849601167187149e-02,-5.882175579648329022e-04,1.667592994990251265e-01,9.808816714805381753e-01,2.102992908263602578e-01,1.991790831994374456e-01
2.560512102420484104e-01,3.442047905970173349e-02,-6.135712698169667675e-04,1.719378737196287088e-01,9.802923680947501772e-01,2.151073374878207656e-01,2.113312874165507727e-01
2.640528105621124388e-01,3.616083683344206018e-02,-6.382342185635511570e-04,1.771013804619287479e-01,9.797049503408049587e-01,2.198910154673976991e-01,2.403187315423210013e-01
2.720544108821764118e-01,3.793937364155788861e-02,-6.620888392092232934e-04,1.822495614647907936e-01,9.791194302042436348e-01,2.246501494122234432e-01,2.311171793742419212e-01
2.800560112022404402e-01,3.975589239694554688e-02,-6.850158154482293132e-04,1.873821543681473412e-01,9.785358192306404801e-01,2.293845606941428417e-01,2.360151944179054717e-01
2.880576115223044686e-01,4.161019451981642220e-02,-7.068943926308352997e-04,1.924988922747145614e-01,9.779541285218893432e-01,2.340940669839658983e-01,2.289540032670912828e-01
2.960592118423684971e-01,4.350207993769703019e-02,-7.276023777633286926e-04,1.975995037499923002e-01,9.773743687362040911e-01,2.387784822464661949e-01,2.222977305379096602e-01
3.040608121624324700e-01,4.543134708542899414e-02,-7.470161395080173123e-04,2.026837128222641338e-01,9.767965500881184981e-01,2.434376167352956533e-01,2.451122641775230759e-01
3.120624124824964984e-01,4.739779290516907273e-02,-7.650106081832305522e-04,2.077512389825974526e-01,9.762206823484860241e-01,2.480712769878177792e-01,2.491614178660332413e-01
3.200640128025605269e-01,4.940121284638911148e-02,-7.814592757633177528e-04,2.128017971848433221e-01,9.756467748444803689e-01,2.526792658198627195e-01,2.404057452774169823e-01
3.280656131226244998e-01,5.144140077221705243e-02,-7.962344004543046383e-04,2.178350975719986760e-01,9.750748364592712880e-01,2.572613820628842918e-01,2.504291154450786760e-01
3.360672134426885282e-01,5.351814878370283329e-02,-8.092072754433190249e-04,2.228508450324448997e-01,9.745048756303945625e-01,2.618174201441007543e-01,2.610969833468284595e-01
3.440688137627525567e-01,5.563124742185742572e-02,-8.202478133741350486e-04,2.278487397769483336e-01,9.739369003503778321e-01,2.663471706249151971e-01,2.568996543943073974e-01
3.520704140828165851e-01,5.778048547130699292e-02,-8.292250954784138612e-04,2.328284766935840855e-01,9.733709181669535360e-01,2.708504195875163778e-01,2.698677199089942191e-01
3.600720144028805580e-01,5.996564995001978787e-02,-8.360073967719095379e-04,2.377897453160735530e-01,9.728069361830448125e-01,2.753269486016740597e-01,2.762817788763686222e-01
3.680736147229445865e-01,6.218652610930613944e-02,-8.404621860544678842e-04,2.427322298237846177e-01,9.722449610567657219e-01,2.797765347213168052e-01,2.801323970918716544e-01
3.760752150430086149e-01,6.444289743381843849e-02,-8.424561259100273036e-04,2.476556090417313949e-01,9.716849990014214677e-01,2.841989504810293332e-01,2.791360338978861599e-01
3.840768153630725879e-01,6.673454564155112401e-02,-8.418550727066182555e-04,2.525595564405743176e-01,9.711270557855080643e-01,2.885939638924736594e-01,2.945314446103318717e-01
3.920784156831366163e-01,6.906125065443315114e-02,-8.385241336492044390e-04,2.574437400756703909e-01,9.705711367332405803e-01,2.929613383846569885e-01,3.018730079274802858e-01
4.000800160032006447e-01,7.142279029627278397e-02,-8.323281674291812138e-04,2.623078219812118306e-01,9.700172467283433297e-01,2.973008322438962514e-01,3.005093152895618736e-01
4.080816163232646732e-01,7.381894052902877867e-02,-8.231312546092673212e-04,2.671514586778195310e-01,9.694653902082098762e-01,3.016121990788819263e-01,2.934298968049788292e-01
4.160832166433286461e-01,7.624947529068457075e-02,-8.107971640761522242e-04,2.719743008017064256e-01,9.689155711694794615e-01,3.058951874756367650e-01,3.132117103134911540e-01
4.240848169633926745e-01,7.871416643063093577e-02,-7.951894949460570862e-04,2.767759929669099117e-01,9.683677931694996133e-01,3.101495408686004152e-01,3.051351406839298841e-01
4.320864172834567030e-01,8.121278370966586446e-02,-7.761716765647353128e-04,2.815561737652915175e-01,9.678220593263250349e-01,3.143749975385984330e-01,3.231666037214782627e-01
4.400880176035207314e-01,8.374509479999468764e-02,-7.536069685074720101e-04,2.863144757665370133e-01,9.672783723187188265e-01,3.185712906107437403e-01,3.078534164419692853e-01
4.480896179235847043e-01,8.631086528522996515e-02,-7.273584605790850682e-04,2.910505255181565776e-01,9.667367343861514861e-01,3.227381480522729662e-01,3.318828200835607922e-01
4.560912182436487328e-01,8.890985865981058944e-02,-6.972890738635628607e-04,2.957639435448003451e-01,9.661971473288224477e-01,3.268752926697279237e-01,3.266746581235731028e-01
4.640928185637127612e-01,9.154183606554427977e-02,-6.632619798977745264e-04,3.004543440210710736e-01,9.656596125154013333e-01,3.309824418194021733e-01,3.184949529160580051e-01
4.720944188837767341e-01,9.420655631733404478e-02,-6.251404012216909027e-04,3.051213347566081313e-01,9.651241308772949834e-01,3.350593073873582295e-01,3.319203126676897320e-01
4.800960192038407626e-01,9.690377595714329273e-02,-5.827876632862080512e-04,3.097645173045204814e-01,9.645907029109334063e-01,3.391055958879191090e-01,3.396466186756345595e-01
4.880976195239047910e-01,9.963324908188186946e-02,-5.360675499858978503e-04,3.143834867719890735e-01,9.640593286852590094e-01,3.431210082989465948e-01,3.458489216905911157e-01
4.960992198439688194e-01,1.023947273434061556e-01,-4.848443036590062058e-04,3.189778318202671215e-01,9.635300078417270431e-01,3.471052400607784194e-01,3.372833588113686165e-01
5.041008201640327924e-01,1.051879599485190109e-01,-4.289826250874545694e-04,3.235471346646798807e-01,9.630027395943052682e-01,3.510579810751224272e-01,3.399842506034704837e-01
5.121024204840968208e-01,1.080126936589698577e-01,-3.683476734968373903e-04,3.280909710746247598e-01,9.624775227294741775e-01,3.549789157039154319e-01,3.569747610323862341e-01
5.201040208041608492e-01,1.108686727914545422e-01,-3.028050665564252595e-04,3.326089103735713204e-01,9.619543556062269962e-01,3.588677227681526527e-01,3.542002265993546284e-01
5.281056211242248777e-01,1.137556391009709178e-01,-2.322210580518937074e-04,3.371005154088988487e-01,9.614332361613477929e-01,3.627240755311388343e-01,3.650791316484410798e-01
5.361072214442889061e-01,1.166733314890391893e-01,-1.564628432988273690e-04,3.415653423300193392e-01,9.609141619165115777e-01,3.665476415158729906e-01,3.741428367406567923e-01
5.441088217643528235e-01,1.196214863006599544e-01,-7.539812799088241768e-05,3.460029406861319101e-01,9.603971299653966121e-01,3.703380825644824181e-01,3.538502089009729623e-01
5.521104220844168520e-01,1.225998370826729689e-01,1.110434734253950379e-05,3.504128535276164746e-01,9.598821369912450274e-01,3.740950549650213786e-01,3.766389361301975547e-01
5.601120224044808804e-01,1.256081145661981369e-01,1.031747760787368501e-04,3.547946174062288072e-01,9.593691792678504804e-01,3.778182094530449509e-01,3.900646791284022585e-01
5.681136227245449088e-01,1.286460466666354829e-01,2.009422855017119138e-04,3.591477623751006543e-01,9.588582526595583744e-01,3.815071912109157526e-01,3.785319227672110376e-01
5.761152230446089373e-01,1.317133584836653326e-01,3.045349368021704728e-04,3.634718119887400123e-01,9.583493526212658598e-01,3.851616398671209307e-01,3.770534940347452513e-01
5.841168233646729657e-01,1.348097723012481319e-01,4.140797250775210049e-04,3.677662833030309053e-01,9.578424741984216118e-01,3.887811894956079706e-01,3.963036277674039098e-01
5.921184236847369942e-01,1.379350075615969340e-01,5.297025386301284057e-04,3.720306869073602973e-01,9.573376120287893087e-01,3.923654686491627741e-01,3.948999338112441637e-01
6.001200240048009116e-01,1.410887804951667379e-01,6.515276936870462252e-04,3.762645271447745410e-01,9.568347603608680085e-01,3.959141006133489737e-01,4.048729313211245628e-01
6.081216243248649400e-01,1.442708043395823925e-01,7.796783886319116029e-04,3.804673016048624179e-01,9.563339130321851789e-01,3.994267028906164363e-01,3.959745457901036603e-01
6.161232246449289685e-01,1.474807892372571594e-01,9.142763275813822667e-04,3.846385016979216309e-01,9.558350634885527386e-01,4.029028877668490161e-01,3.880847050296268863e-01
6.241248249649929969e-01,1.507184421593397161e-01,1.055441574550085304e-03,3.887776128047285562e-01,9.553382047907698071e-01,4.063422624637764158e-01,4.052421548166639242e-01
6.321264252850570253e-01,1.539834669057138783e-01,1.203292553450613584e-03,3.928841142765381877e-01,9.548433296146230376e-01,4.097444291379303549e-01,4.052861476078180591e-01
6.401280256051210538e-01,1.572755641049988495e-01,1.357946048093528792e-03,3.969574794350841374e-01,9.543504302508866166e-01,4.131089848796801189e-01,4.208622231001558633e-01
6.481296259251850822e-01,1.605944312145491104e-01,1.519517202187358829e-03,4.009971755725787457e-01,9.538594986053224867e-01,4.164355217123555386e-01,4.183718501961271041e-01
6.561312262452489996e-01,1.639397625204500608e-01,1.688119519330409917e-03,4.050026639517316784e-01,9.533705261986800128e-01,4.197236265914845998e-01,4.034151342671336016e-01
6.641328265653130281e-01,1.673112489123504965e-01,1.863864530265017024e-03,4.089734004581215832e-01,9.528835041858887411e-01,4.229728820561186042e-01,4.110212512550865949e-01
6.721344268853770565e-01,1.707085777772780200e-01,2.046861889029486393e-03,4.129088350297852039e-01,9.523984233456120885e-01,4.261828656901130996e-01,4.350207560559856690e-01
6.801360272054410849e-01,1.741314331572198226e-01,2.237219414802566787e-03,4.168084118582709996e-01,9.519152740809335711e-01,4.293531502975826974e-01,4.361508004717611353e-01
6.881376275255051134e-01,1.775794956185810791e-01,2.435042753797296827e-03,4.206715702689290959e-01,9.514340464414713372e-01,4.324833047619968118e-01,4.260808711029119289e-01
6.961392278455691418e-01,1.810524422521846422e-01,2.640435379261006719e-03,4.244977447209111743e-01,9.509547301233789440e-01,4.355728940438385877e-01,4.355624060781657647e-01
7.041408281656331702e-01,1.845499466732713201e-01,2.853498591475316960e-03,4.282863648071703611e-01,9.504773144693444697e-01,4.386214791784300848e-01,4.430772147161919361e-01
7.121424284856970877e-01,1.880716790214996270e-01,3.074331517756135300e-03,4.320368552544613938e-01,9.500017884685912906e-01,4.416286172739342097e-01,4.463126606324069878e-01
7.201440288057611161e-01,1.916173059609461160e-01,3.303031112453669316e-03,4.357486359233407880e-01,9.495281407568774146e-01,4.445938615095406665e-01,4.533562834706841849e-01
7.281456291258251445e-01,1.951864906468838146e-01,3.539692086389972965e-03,4.394211221023799907e-01,9.490563596223692278e-01,4.475167614189730081e-01,4.500816176911886513e-01
7.361472294458891730e-01,1.987788924141505320e-01,3.784406521719463345e-03,4.430537257905863835e-01,9.485864330333705352e-01,4.503968641484223379e-01,4.494485807587373372e-01
7.441488297659532014e-01,2.023941669190548187e-01,4.037264313226682048e-03,4.466458536842394245e-01,9.481183485989016502e-01,4.532337125117422150e-01,4.506452318638637378e-01
7.521504300860172298e-01,2.060319661581616890e-01,4.298352780257065631e-03,4.501969092864261945e-01,9.476520936072351242e-01,4.560268470049720912e-01,4.665842750103045833e-01
7.601520304060812583e-01,2.096919384474653369e-01,4.567756588860391077e-03,4.537062932705473450e-01,9.471876550328799382e-01,4.587758061518433239e-01,4.362672634010579253e-01
7.681536307261451757e-01,2.133737284223891362e-01,4.845557751790771465e-03,4.571734034803169866e-01,9.467250195365811694e-01,4.614801264992695051e-01,4.600935732483561469e-01
7.761552310462092041e-01,2.170769770377858898e-01,5.131835628506669841e-03,4.605976349297628558e-01,9.462641734653204351e-01,4.641393426131149025e-01,4.644693436529555020e-01
7.841568313662732326e-01,2.208013215679374419e-01,5.426666925170878404e-03,4.639783798032261486e-01,9.458051028523156711e-01,4.667529870742473386e-01,4.524994974655454638e-01
7.921584316863372610e-01,2.245463956065548716e-01,5.730125694650533251e-03,4.673150274553616867e-01,9.453477934170212427e-01,4.693205904748853907e-01,4.726487266062658343e-01
8.001600320064012895e-01,2.283118290183681898e-01,6.042283158971616976e-03,4.706069656594595862e-01,9.448922305856780612e-01,4.718416826092874938e-01,4.653288724848535507e-01
8.081616323264653179e-01,2.320972476785903293e-01,6.363207558398568768e-03,4.738535810471951604e-01,9.444383994997765930e-01,4.743157929135916051e-01,4.829402408767490829e-01
8.161632326465293463e-01,2.359022736329722814e-01,6.692964417543802516e-03,4.770542574556881910e-01,9.439862849878964957e-01,4.767424488699574248e-01,4.754865280296141639e-01
8.241648329665933748e-01,2.397265252038886518e-01,7.031616210015079194e-03,4.802083788297274447e-01,9.435358716121501343e-01,4.791211787541755918e-01,4.858127111620701433e-01
8.321664332866572922e-01,2.435696169904612574e-01,7.379222350061063855e-03,4.833153292871875673e-01,9.430871436692442877e-01,4.814515116899678593e-01,4.936399477416800741e-01
8.401680336067213206e-01,2.474311598685593472e-01,7.735839192571338646e-03,4.863744931190297494e-01,9.426400851904797040e-01,4.837329776413426541e-01,4.875622734684773585e-01
8.481696339267853491e-01,2.513107609907992979e-01,8.101520033076381119e-03,4.893852547893008942e-01,9.421946799417515450e-01,4.859651074053379372e-01,4.772078959711094637e-01
8.561712342468493775e-01,2.552080237865448908e-01,8.476315107747578112e-03,4.923469989351343390e-01,9.417509114235491641e-01,4.881474326051574719e-01,4.730042462881111076e-01
8.641728345669134059e-01,2.591225479624237882e-01,8.860271592584470501e-03,4.952591103772949199e-01,9.413087628711125365e-01,4.902794856936568690e-01,5.078133268688206359e-01
8.721744348869774344e-01,2.630539295475134987e-01,9.253433362391252567e-03,4.981209768976116448e-01,9.408682172954342393e-01,4.923608025763647200e-01,4.912478806444895429e-01
8.801760352070414628e-01,2.670017605662305948e-01,9.655841068691163945e-03,5.009319873026788494e-01,9.404292574538468674e-01,4.943909207973150588e-01,4.875052713209718225e-01
8.881776355271053802e-01,2.709656293123311466e-01,1.006753216169698796e-02,5.036915320278625430e-01,9.399918658590167286e-01,4.963693800770240805e-01,4.978119509576323098e-01
8.961792358471694087e-01,2.749451205369523588e-01,1.048854072362947337e-02,5.063990055601292894e-01,9.395560248149392724e-01,4.982957245806181601e-01,4.963816112757916676e-01
9.041808361672334371e-01,2.789398154486124048e-01,1.091889746871729967e-02,5.090538064380455419e-01,9.391217164169398668e-01,5.001695029058127462e-01,5.086909255479395986e-01
9.121824364872974655e-01,2.829492917132106489e-01,1.135862974319709270e-02,5.116553372517788079e-01,9.386889225516729107e-01,5.019902680713640430e-01,5.023295498957350835e-01
9.201840368073614940e-01,2.869731234540272569e-01,1.180776152531343159e-02,5.142030046430965395e-01,9.382576248971222777e-01,5.037575775059929262e-01,5.038950733421770911e-01
9.281856371274255224e-01,2.910108812517237520e-01,1.226631342531883488e-02,5.166962193053667995e-01,9.378278049226016488e-01,5.054709930377869753e-01,4.983251958274573234e-01
9.361872374474895508e-01,2.950621321722784463e-01,1.273430267230416489e-02,5.191343962847436710e-01,9.373994438931410045e-01,5.071300811658924212e-01,5.118257621533673918e-01
9.441888377675534683e-01,2.991264399682955766e-01,1.321174291345407308e-02,5.215169586957668635e-01,9.369725229221589347e-01,5.087344165390345063e-01,4.983957493154846929e-01
9.521904380876174967e-01,3.032033645575148428e-01,1.369864434740355325e-02,5.238433336894120496e-01,9.365470229108112665e-01,5.102835781827420591e-01,5.169424725803817289e-01
9.601920384076815251e-01,3.072924626000688719e-01,1.419501366023321470e-02,5.261129555797695589e-01,9.361229245959740153e-01,5.117771523851587512e-01,5.270165275150601181e-01
9.681936387277455536e-01,3.113932876581676501e-01,1.470085397764530656e-02,5.283252671605521700e-01,9.357002085697661009e-01,5.132147339089893068e-01,4.979678735279977619e-01
9.761952390478095820e-01,3.155053901960984675e-01,1.521616486496371948e-02,5.304797197050956648e-01,9.352788552795494592e-01,5.145959259751883286e-01,4.899336336616751386e-01
9.841968393678736104e-01,3.196283175802260290e-01,1.574094232713398045e-02,5.325757729663582740e-01,9.348588450279295969e-01,5.159203402471639333e-01,5.220891277987070866e-01
9.921984396879376389e-01,3.237616140789923991e-01,1.627517880872325282e-02,5.346128951769212323e-01,9.344401579727548146e-01,5.171875968154948655e-01,5.426665749703261099e-01
1.000200040008001556e+00,3.279048208629170569e-01,1.681886319392033105e-02,5.365905630489881117e-01,9.340227741271166506e-01,5.183973241831556500e-01,5.083880756944366697e-01
1.008201640328065585e+00,3.320574761875410563e-01,1.737198078324848211e-02,5.385082630712563212e-01,9.336066733793421113e-01,5.195491604544890674e-01,5.070422028664691716e-01
1.016203240648129613e+00,3.362191155189915293e-01,1.793451319106663389e-02,5.403654939769952925e-01,9.331918355267606602e-01,5.206427556278178104e-01,5.265324449656225703e-01
1.024204840968193642e+00,3.403892710644150221e-01,1.850643841405245557e-02,5.421617631646996616e-01,9.327782402204759515e-01,5.216777682531574811e-01,5.132705523525743496e-01
1.032206441288257670e+00,3.445674726024466894e-01,1.908773082583992489e-02,5.438965906951985785e-01,9.323658670316338215e-01,5.226538690988338232e-01,5.175936142594664835e-01
1.040208041608321698e+00,3.487532475301572399e-01,1.967836117428040446e-02,5.455695095641559522e-01,9.319546954557759166e-01,5.235707413828042389e-01,5.200895667159665114e-01
1.048209641928385727e+00,3.529461208630532143e-01,2.027829658144266606e-02,5.471800657020700065e-01,9.315447049128409152e-01,5.244280807523183929e-01,5.297481016152363331e-01
1.056211242248449755e+00,3.571456152350768187e-01,2.088750054361286287e-02,5.487278179742730577e-01,9.311358747471630837e-01,5.252255952640692005e-01,5.211725716501379724e-01
1.064212842568513784e+00,3.613512508986059246e-01,2.150593293129455380e-02,5.502123381809324032e-01,9.307281842274733874e-01,5.259630053648312042e-01,5.287418337656327738e-01
1.072214442888577812e+00,3.655625457372488341e-01,2.213354999013231184e-02,5.516332111092915325e-01,9.303216125478843690e-01,5.266400439204387274e-01,5.248747113315029855e-01
1.080216043208641841e+00,3.697790158947857342e-01,2.277030436234984620e-02,5.529900376100020942e-01,9.299161388824701557e-01,5.272564590252865058e-01,5.188097479887704422e-01
1.088217643528705647e+00,3.740001750534285851e-01,2.341614498500747821e-02,5.542824326406046165e-01,9.295117423411647373e-01,5.278120122075248277e-01,5.246137496300926628e-01
1.096219243848769676e+00,3.782255349844326764e-01,2.407101718524647799e-02,5.555100262468737338e-01,9.291084019960704765e-01,5.283064792805847176e-01,5.188024826289054925e-01
1.104220844168833704e+00,3.824546060372072676e-01,2.473486272830906219e-02,5.566724652805771223e-01,9.287060969156556434e-01,5.287396518874198925e-01,5.288048017461173256e-01
1.112222444488897732e+00,3.866868971393162546e-01,2.540761981753845641e-02,5.577694133994756109e-01,9.283048061647543037e-01,5.291113374764973010e-01,5.178726752008409040e-01
1.120224044808961761e+00,3.909219157964779479e-01,2.608922309437888484e-02,5.588005510673232923e-01,9.279045088045667633e-01,5.294213592781981115e-01,5.184924155852457250e-01
1.128225645129025789e+00,3.951591680925651828e-01,2.677960363837557714e-02,5.597655755538671896e-01,9.275051838926590131e-01,5.296695562816131631e-01,5.442391744346657401e-01
1.136227245449089818e+00,3.993981586896050429e-01,2.747868896717475806e-02,5.606642009348474787e-01,9.271068104829629508e-01,5.298557832117249955e-01,5.293239410086715280e-01
1.144228845769153846e+00,4.036383911473331865e-01,2.818640308753224410e-02,5.614961589291381783e-01,9.267093676472628605e-01,5.299799112628552633e-01,5.294408910081348507e-01
1.152230446089217875e+00,4.078793682789759734e-01,2.890266651377225091e-02,5.622612006280753860e-01,9.263128345081891313e-01,5.300418296598725654e-01,5.351571938590488076e-01
1.160232046409281903e+00,4.121205914260141490e-01,2.962739615459316841e-02,5.629590944444934353e-01,9.259171901877525368e-01,5.300414437760855302e-01,5.258328737505968409e-01
1.168233646729345931e+00,4.163615615917663493e-01,3.036050553450709080e-02,5.635896281792786011e-01,9.255224138726730887e-01,5.299786769469115866e-01,5.276933232721300326e-01
1.176235247049409960e+00,4.206017795009305282e-01,3.110190480450354678e-02,5.641526091521044117e-01,9.251284848180856279e-01,5.298534705609629913e-01,5.341049579142820303e-01
1.184236847369473988e+00,4.248407455995839577e-01,3.185150074204949611e-02,5.646478642014320926e-01,9.247353823475396029e-01,5.296657840340746048e-01,5.324899424565185946e-01
1.192238447689538017e+00,4.290779600551832274e-01,3.260919675108932270e-02,5.650752396845099002e-01,9.243430858529987360e-01,5.294155947835843534e-01,5.178226275142600032e-01
1.200240048009601823e+00,4.333129227565643005e-01,3.337489286204481376e-02,5.654346014773735662e-01,9.239515747948415791e-01,5.291028982028564975e-01,5.374363241695531146e-01
1.208241648329665852e+00,4.375451333825180478e-01,3.414848574880086779e-02,5.657258350381734191e-01,9.235608287057771593e-01,5.287277076898714290e-01,5.228233582569810078e-01
1.216243248649729880e+00,4.417740922964123462e-01,3.492986893073911359e-02,5.659488465888908859e-01,9.231708272460550369e-01,5.282900556547758253e-01,5.177292661516339489e-01
1.224244848969793908e+00,4.459992994985207404e-01,3.571893248703995882e-02,5.661035625727026677e-01,9.227815501478313642e-01,5.277899930651963611e-01,5.187852423652058453e-01
1.232246449289857937e+00,4.502202555721736554e-01,3.651556332615816386e-02,5.661899298297012884e-01,9.223929772602804666e-01,5.272275895131900425e-01,5.233221360696368452e-01
1.240248049609921965e+00,4.544364620653144615e-01,3.731964528552304816e-02,5.662079158502962839e-01,9.220050885701750465e-01,5.266029333961551595e-01,5.428759359423858122e-01
1.248249649929985994e+00,4.586474214904993074e-01,3.813105913153846949e-02,5.661575087752136470e-01,9.216178642018856282e-01,5.259161318902227933e-01,5.141607728410150235e-01
1.256251250250050022e+00,4.628526373248972869e-01,3.894968255958287939e-02,5.660387173954964934e-01,9.212312844173807802e-01,5.251673109237303683e-01,5.267680698490737612e-01
1.264252850570114051e+00,4.670516140102902169e-01,3.977539019400925385e-02,5.658515711525045067e-01,9.208453296162272261e-01,5.243566151507590423e-01,5.029783715698532554e-01
1.272254450890178079e+00,4.712438569530728039e-01,4.060805358814514182e-02,5.655961201379141601e-01,9.204599803355894005e-01,5.234842079247228330e-01,5.234685385932709156e-01
1.280256051210242108e+00,4.754288731077560559e-01,4.144754141066090553e-02,5.652724348487064843e-01,9.200752172813759788e-01,5.225502710058205214e-01,5.315459351805805754e-01
1.288257651530306136e+00,4.796061709575147880e-01,4.229371940090066728e-02,5.648806066934047854e-01,9.196910213333405748e-01,5.215550050055030029e-01,5.191883717848884139e-01
1.296259251850370164e+00,4.837752601689004894e-01,4.314645027451619042e-02,5.644207478895094665e-01,9.193073735223055154e-01,5.204986292869102638e-01,5.142050800480768569e-01
1.304260852170434193e+00,4.879356526115921078e-01,4.400559407576313392e-02,5.638929906732010888e-01,9.189242550795767572e-01,5.193813811378067413e-01,5.216964917783921685e-01
1.312262452490497999e+00,4.920868623660902275e-01,4.487100818007212083e-02,5.632974872945861744e-01,9.185416474373339080e-01,5.182035157402709036e-01,5.252050332517773645e-01
