t,p,D,dp_dt,dp_dt_noisy
1.500300060012002445e+00,1.118468879445029818e-01,1.705577656815809168e-02,4.312162700892385042e-02,4.344247531349041541e-02
1.530306061212242330e+00,1.131416155934175244e-01,1.730947372875642903e-02,4.317604871662460847e-02,4.235781848923430432e-02
1.560312062412482437e+00,1.144379549697580323e-01,1.756045117677207043e-02,4.322905341618388936e-02,4.396070569996932825e-02
1.590318063612722543e+00,1.157358634433143935e-01,1.780874170730610551e-02,4.328063537427488672e-02,4.277919535580783361e-02
1.620324064812962650e+00,1.170352982510497464e-01,1.805437763231702158e-02,4.333078941216131352e-02,4.420995003044930066e-02
1.650330066013202535e+00,1.183362164971004382e-01,1.829739078062070021e-02,4.337951089741324401e-02,4.230772348053579712e-02
1.680336067213442641e+00,1.196385751527760805e-01,1.853781249789041019e-02,4.342679573564194734e-02,4.434126293877072716e-02
1.710342068413682748e+00,1.209423310565595072e-01,1.877567364665681457e-02,4.347264036225502448e-02,4.345257690763954656e-02
1.740348069613922855e+00,1.222474409349378621e-01,1.901100461483041029e-02,4.351704173362991313e-02,4.226829284329549491e-02
1.770354070814162739e+00,1.235538614583264194e-01,1.924383531660348381e-02,4.355999732300738086e-02,4.324609785104053389e-02
1.800360072014402846e+00,1.248615491726584315e-01,1.947419516522106570e-02,4.360150511362695380e-02,4.365560739239849469e-02
1.830366073214642952e+00,1.261704605991400552e-01,1.970211314532021793e-02,4.364156357863551577e-02,4.391435491779997063e-02
1.860372074414883059e+00,1.274805522438562655e-01,1.992761781834557003e-02,4.368017167154640557e-02,4.269798354660542944e-02
1.890378075615122944e+00,1.287917805977707997e-01,2.015073732254931554e-02,4.371732881742376037e-02,4.260995577025857017e-02
1.920384076815363050e+00,1.301041021367261297e-01,2.037149937299122596e-02,4.375303490412387614e-02,4.395261943697095774e-02
1.950390078015603157e+00,1.314174733214435176e-01,2.058993126153864026e-02,4.378729027359483383e-02,4.332054065671503418e-02
1.980396079215843042e+00,1.327318506261835063e-01,2.080605986848940714e-02,4.382009571210952747e-02,4.405560132383975341e-02
2.010402080416083148e+00,1.340471905719134160e-01,2.101991165136453052e-02,4.385145244660731273e-02,4.461097196908569290e-02
2.040408081616323255e+00,1.353634496749357985e-01,2.123151263307493722e-02,4.388136213544468339e-02,4.223257476909373503e-02
2.070414082816563361e+00,1.366805845357152716e-01,2.144088846622662498e-02,4.390982684860764151e-02,4.416421496512525774e-02
2.100420084016803468e+00,1.379985518428333280e-01,2.164806443537941813e-02,4.393684905841196975e-02,4.516149602594770468e-02
2.130426085217043575e+00,1.393173083729883632e-01,2.185306545704697456e-02,4.396243163061350906e-02,4.366490478624303340e-02
2.160432086417283237e+00,1.406368109909955644e-01,2.205591607969676834e-02,4.398657781560647712e-02,4.317576323236890778e-02
2.190438087617523344e+00,1.419570166497870212e-01,2.225664048375011056e-02,4.400929123971026452e-02,4.476153506688985984e-02
2.220444088817763451e+00,1.432778824084633418e-01,2.245526248983006554e-02,4.403057589541387734e-02,4.428402241162202047e-02
2.250450090018003557e+00,1.445993654748330692e-01,2.265180555660126216e-02,4.405043613549591841e-02,4.494631920627347593e-02
2.280456091218243664e+00,1.459214231433894615e-01,2.284629275336863552e-02,4.406887666791550751e-02,4.372366095786422990e-02
2.310462092418483770e+00,1.472440128761921263e-01,2.303874682684821373e-02,4.408590253452136787e-02,4.260408426079915351e-02
2.340468093618723877e+00,1.485670923102485330e-01,2.322919020586341338e-02,4.410151910157331795e-02,4.399150833686206463e-02
2.370474094818963984e+00,1.498906192575138463e-01,2.341764500134503255e-02,4.411573205116568752e-02,4.366990389815445656e-02
2.400480096019203646e+00,1.512145517048909538e-01,2.360413300633125433e-02,4.412854737276102751e-02,4.490387119480860473e-02
2.430486097219443753e+00,1.525388478142306603e-01,2.378867569596764334e-02,4.413997135483418988e-02,4.433360420321134227e-02
2.460492098419683860e+00,1.538634659249926429e-01,2.397129422907278568e-02,4.415001057634942994e-02,4.251916134391432733e-02
2.490498099619923966e+00,1.551883646048670129e-01,2.415200946479915609e-02,4.415867189651622587e-02,4.296350881641302494e-02
2.520504100820164073e+00,1.565135025937900715e-01,2.433084191254965278e-02,4.416596245656797398e-02,4.504975149315523092e-02
2.550510102020404180e+00,1.578388388508788764e-01,2.450781178936326660e-02,4.417188965945929163e-02,4.485165467687713542e-02
2.580516103220644286e+00,1.591643325795613351e-01,2.468293903946853704e-02,4.417646115801047990e-02,4.353621779210199022e-02
2.610522104420883949e+00,1.604899432275762039e-01,2.485624333428359395e-02,4.417968484694585751e-02,4.417863605037857661e-02
2.640528105621124055e+00,1.618156304869731998e-01,2.502774407241612278e-02,4.418156885505543363e-02,4.462714240883162292e-02
2.670534106821364162e+00,1.631413542941128614e-01,2.519746037966338198e-02,4.418212153747920479e-02,4.465052587332648398e-02
2.700540108021604269e+00,1.644670748296665486e-01,2.536541110901219948e-02,4.418135146811396491e-02,4.505759366422831813e-02
2.730546109221844375e+00,1.657927525315997519e-01,2.553161484842123713e-02,4.417926743065470757e-02,4.443575305787626772e-02
2.760552110422084482e+00,1.671183481174302043e-01,2.569608991356181829e-02,4.417587841348541433e-02,4.408105007451691704e-02
2.790558111622324589e+00,1.684438225424841062e-01,2.585885432482652388e-02,4.417119360657769528e-02,4.391234554178984756e-02
2.820564112822564695e+00,1.697691370540114209e-01,2.601992586635398438e-02,4.416522238177426896e-02,4.522096518230751816e-02
2.850570114022804358e+00,1.710942531953072998e-01,2.617932208951632284e-02,4.415797428494270399e-02,4.190712000986416413e-02
2.880576115223044464e+00,1.724191328057121941e-01,2.633706031291918603e-02,4.414945902896792729e-02,4.401080370387659008e-02
2.910582116423284571e+00,1.737437380206116877e-01,2.649315762240172026e-02,4.413968648687158908e-02,4.417268659085565180e-02
2.940588117623524678e+00,1.750680312714366360e-01,2.664763087103658515e-02,4.412866668505756318e-02,4.270331772418737432e-02
2.970594118823764784e+00,1.763919752856631384e-01,2.680049667912994676e-02,4.411640979668240287e-02,4.444922340982045139e-02
3.000600120024004891e+00,1.777155331000872807e-01,2.695177144401897373e-02,4.410292613312084831e-02,4.345164512067745122e-02
3.030606121224244998e+00,1.790386680634299121e-01,2.710147131999245118e-02,4.408822614213648433e-02,4.495067093845223072e-02
3.060612122424484660e+00,1.803613438175597494e-01,2.724961221400263797e-02,4.407232040219927899e-02,4.394672831816495012e-02
3.090618123624724767e+00,1.816835243342108663e-01,2.739620983435563095e-02,4.405521960577093304e-02,4.472437284656038264e-02
3.120624124824964873e+00,1.830051739159467561e-01,2.754127969173711735e-02,4.403693455302798432e-02,4.525577815819920718e-02
3.150630126025204980e+00,1.843262571961605534e-01,2.768483709921237129e-02,4.401747614592750601e-02,4.440040572864097784e-02
3.180636127225445087e+00,1.856467391390749511e-01,2.782689717222626424e-02,4.399685538239601207e-02,4.312113423897316611e-02
3.210642128425685193e+00,1.869665850397421447e-01,2.796747482860325110e-02,4.397508335063932128e-02,4.246076471893468068e-02
3.240648129625925300e+00,1.882857605240439713e-01,2.810658478854738407e-02,4.395217122357317208e-02,4.570555534108954737e-02
3.270654130826165407e+00,1.896042315541049961e-01,2.824424158159659012e-02,4.392813025187296966e-02,4.381683805868544918e-02
3.300660132026405069e+00,1.909219644301276553e-01,2.838045953322664711e-02,4.390297176156531672e-02,4.321440681393099587e-02
3.330666133226645176e+00,1.922389257765982074e-01,2.851525274981888541e-02,4.387670715197167920e-02,4.402096424003250352e-02
3.360672134426885282e+00,1.935550825667835262e-01,2.864863516843539626e-02,4.384934787981245585e-02,4.365793654932980522e-02
3.390678135627125389e+00,1.948704021240049433e-01,2.878062055900300689e-02,4.382090545378573149e-02,4.467304771799841812e-02
3.420684136827365496e+00,1.961848521216384422e-01,2.891122252431326325e-02,4.379139142973331733e-02,4.382531961217041999e-02
3.450690138027605602e+00,1.974984005831144918e-01,2.904045450002243692e-02,4.376081740591977048e-02,4.377456698953818837e-02
3.480696139227845709e+00,1.988110158819181850e-01,2.916832975465153202e-02,4.372919501842255363e-02,4.301461529738959122e-02
3.510702140428085372e+00,2.001226667415890725e-01,2.929486138958626792e-02,4.369653593663197499e-02,4.416610403537946788e-02
3.540708141628325478e+00,2.014333222360231435e-01,2.942006234095236386e-02,4.366285185846382338e-02,4.262898513610884066e-02
3.570714142828565585e+00,2.027429517880157128e-01,2.954394538392224670e-02,4.362815450519249433e-02,4.429404394495645853e-02
3.600720144028805692e+00,2.040515251613449765e-01,2.966652309368318641e-02,4.359245562548880876e-02,4.511639313847894128e-02
3.630726145229045798e+00,2.053590124731815569e-01,2.978780789380457150e-02,4.355576698110535244e-02,4.203108094300619935e-02
3.660732146429285905e+00,2.066653841963438931e-01,2.990781206686205992e-02,4.351810034074688610e-02,4.105187110939556572e-02
3.690738147629526011e+00,2.079706111592981022e-01,3.002654775443757557e-02,4.347946747629311687e-02,4.409634623144743915e-02
3.720744148829766118e+00,2.092746645461581179e-01,3.014402695711931868e-02,4.343988015912020328e-02,4.598777797460332911e-02
3.750750150030005781e+00,2.105775158966855243e-01,3.026026153450174505e-02,4.339935015651989747e-02,4.239842530764800083e-02
3.780756151230245887e+00,2.118791371062897499e-01,3.037526320518559031e-02,4.335788922821428443e-02,4.210719346941229485e-02
3.810762152430485994e+00,2.131795004260279569e-01,3.048904354677784909e-02,4.331550912296492500e-02,4.390447805674539683e-02
3.840768153630726101e+00,2.144785784583095600e-01,3.060161400154856950e-02,4.327222157421217741e-02,4.243149998415386703e-02
3.870774154830966207e+00,2.157763441451382436e-01,3.071298585700892383e-02,4.322803830099088834e-02,4.272201281705415021e-02
3.900780156031206314e+00,2.170727707809125551e-01,3.082317024105149864e-02,4.318297100555258672e-02,4.283485353886880981e-02
3.930786157231446420e+00,2.183678320101779813e-01,3.093217816166561954e-02,4.313703136246497399e-02,4.366903344875677079e-02
3.960792158431686083e+00,2.196615018273553321e-01,3.104002050802274343e-02,4.309023101558440150e-02,4.268492865419128146e-02
3.990798159631926190e+00,2.209537545767408795e-01,3.114670805047645152e-02,4.304258157532604018e-02,4.332046441540619852e-02
4.020804160832166296e+00,2.222445649525062461e-01,3.125225144056246324e-02,4.299409461601574195e-02,4.281756135712216915e-02
4.050810162032406403e+00,2.235339079986985444e-01,3.135666121099862230e-02,4.294478167332211466e-02,4.210011056967050830e-02
4.080816163232646510e+00,2.248217591092402101e-01,3.145994777568490025e-02,4.289465424176731878e-02,4.257482798402410090e-02
4.110822164432886616e+00,2.261080940279291407e-01,3.156212142970339640e-02,4.284372377231505935e-02,4.189332410714714100e-02
4.140828165633126723e+00,2.273928888349975308e-01,3.166319235495469731e-02,4.279200166930372667e-02,4.279851665517347276e-02
4.170834166833366830e+00,2.286761199399494071e-01,3.176317059144741911e-02,4.273949929391067382e-02,4.161563306634503967e-02
4.200840168033606936e+00,2.299577640997193528e-01,3.186206605052420426e-02,4.268622795894714411e-02,4.159333358965189992e-02
4.230846169233847043e+00,2.312377984064641900e-01,3.195988854324626621e-02,4.263219892170952430e-02,4.408916073701477784e-02
4.260852170434087149e+00,2.325162002874861522e-01,3.205664778048382402e-02,4.257742338206124688e-02,4.252423916175590568e-02
4.290858171634327256e+00,2.337929475052329120e-01,3.215235337291609541e-02,4.252191248059584289e-02,4.246801045512380024e-02
4.320864172834566475e+00,2.350680181572974425e-01,3.224701483103131761e-02,4.246567729686474835e-02,4.297721371678236979e-02
4.350870174034806581e+00,2.363413906764183225e-01,3.234064156512674731e-02,4.240872884766788697e-02,4.198787184511901249e-02
4.380876175235046688e+00,2.376130438304793757e-01,3.243324288530861910e-02,4.235107808540637675e-02,4.212254271792821581e-02
4.410882176435286794e+00,2.388829567225098649e-01,3.252482800149221476e-02,4.229273589649532733e-02,4.271788463182723400e-02
4.440888177635526901e+00,2.401511087751087570e-01,3.261540602724074395e-02,4.223371309966743314e-02,4.251612894191183351e-02
4.470894178835767008e+00,2.414174797172442266e-01,3.270498595535514114e-02,4.217402044945049028e-02,4.101472372251806220e-02
4.500900180036007114e+00,2.426820496132558180e-01,3.279357666428519419e-02,4.211366863258885623e-02,4.294701122925851516e-02
4.530906181236247221e+00,2.439447988417792479e-01,3.288118694746433590e-02,4.205266826213206049e-02,4.146223331884301561e-02
4.560912182436487328e+00,2.452057080952814716e-01,3.296782551364672853e-02,4.199102987623164890e-02,4.093495092591746543e-02
4.590918183636727434e+00,2.464647583800606001e-01,3.305350098690724991e-02,4.192876393703378474e-02,4.102828886703473177e-02
4.620924184836967541e+00,2.477219310162459831e-01,3.313822190664152817e-02,4.186588082962021395e-02,4.147533548526489283e-02
4.650930186037207648e+00,2.489772076377981536e-01,3.322199672756590005e-02,4.180239086099659523e-02,4.342969111561965911e-02
4.680936187237447754e+00,2.502305701925088277e-01,3.330483381971744566e-02,4.173830425912691822e-02,4.056276835420613569e-02
4.710942188437687861e+00,2.514820009420009606e-01,3.338674146845397456e-02,4.167363117201296902e-02,4.183370706454730970e-02
4.740948189637927968e+00,2.527314824547454708e-01,3.346772787614216843e-02,4.160838166681500583e-02,3.947055730872443130e-02
4.770954190838167186e+00,2.539789975709128012e-01,3.354780115115934408e-02,4.154256573241738026e-02,4.154099879927218575e-02
4.800960192038407293e+00,2.552245294473697856e-01,3.362696929096298248e-02,4.147619327971082542e-02,4.237575969718683500e-02
4.830966193238647399e+00,2.564680615343815639e-01,3.370524021784118002e-02,4.140927413564542831e-02,4.117261081358397634e-02
4.860972194438887506e+00,2.577095775703445169e-01,3.378262178223051526e-02,4.134181804229764695e-02,4.071246311841430349e-02
4.890978195639127613e+00,2.589490615817860442e-01,3.385912176271599350e-02,4.127383465633489845e-02,4.150534572039343839e-02
4.920984196839367719e+00,2.601864978833650088e-01,3.393474786603109528e-02,4.120533354851416141e-02,4.190548529966481306e-02
4.950990198039607826e+00,2.614218710778711263e-01,3.400950772705774172e-02,4.113632420321430144e-02,4.179998177423170647e-02
4.980996199239847932e+00,2.626551660562255197e-01,3.408340890882631535e-02,4.106681601800070414e-02,4.303928987193049449e-02
5.011002200440088039e+00,2.638863679974803311e-01,3.415645890251564620e-02,4.099681830322178533e-02,4.120598577555806274e-02
5.041008201640328146e+00,2.651154623688190548e-01,3.422866512745302570e-02,4.092634028163601861e-02,4.033393018188308893e-02
5.071014202840568252e+00,2.663424348969774536e-01,3.430003493238540507e-02,4.085539108925122231e-02,4.072941189926457956e-02
5.101020204040808359e+00,2.675672715699508597e-01,3.437057556816212889e-02,4.078397977945269481e-02,4.071148123383288436e-02
5.131026205241048466e+00,2.687899586636837701e-01,3.444029420544571923e-02,4.071211531849733972e-02,4.082085270197546162e-02
5.161032206441288572e+00,2.700104827141275310e-01,3.450919795359062847e-02,4.063980658359594988e-02,4.060977877036651279e-02
5.191038207641528679e+00,2.712288305172040337e-01,3.457729386065544475e-02,4.056706236280717415e-02,4.074102830170337614e-02
5.221044208841767897e+00,2.724449891288053816e-01,3.464458891340286423e-02,4.049389135495436165e-02,3.882304129433925000e-02
5.251050210042008004e+00,2.736589458647942785e-01,3.471109003729972581e-02,4.042030216956430527e-02,4.124993112560434994e-02
5.281056211242248111e+00,2.748706883010036961e-01,3.477680409651697641e-02,4.034630332682707932e-02,3.977156405790605032e-02
5.311062212442488217e+00,2.760802042732369843e-01,3.484173789392969178e-02,4.027190325757668693e-02,3.909874456112966135e-02
5.341068213642728324e+00,2.772874818772679273e-01,3.490589817111706267e-02,4.019711030329130297e-02,4.083486146293274083e-02
5.371074214842968431e+00,2.784925094679975843e-01,3.496929160853173152e-02,4.012193271613267304e-02,4.143925872351875150e-02
5.401080216043208537e+00,2.796952756175626331e-01,3.503192482282956738e-02,4.004637866170444871e-02,4.053940681120388884e-02
5.431086217243448644e+00,2.808957691486437813e-01,3.509380434033981810e-02,3.997045622142175042e-02,4.013161553526727043e-02
5.461092218443688751e+00,2.820939791344564407e-01,3.515493662503993422e-02,3.989417338823070258e-02,3.896195308285874820e-02
5.491098219643928857e+00,2.832898948791611748e-01,3.521532808827527311e-02,3.981753806635625337e-02,4.268910540416975125e-02
5.521104220844168964e+00,2.844835059178638104e-01,3.527498508875911987e-02,3.974055807151775227e-02,4.062081669217926239e-02
5.551110222044409070e+00,2.856748020166153812e-01,3.533391393257268032e-02,3.966324113115730909e-02,3.852394646081433449e-02
5.581116223244649177e+00,2.868637731724121287e-01,3.539212087316509492e-02,3.958559488468023357e-02,3.880595696844049008e-02
5.611122224444889284e+00,2.880504096131954461e-01,3.544961211135341794e-02,3.950762688370741682e-02,3.959460613227932385e-02
5.641128225645129390e+00,2.892347017978521007e-01,3.550639379532261747e-02,3.942934459233866235e-02,3.787461346034267512e-02
5.671134226845368609e+00,2.904166404162138448e-01,3.556247202062559620e-02,3.935075538742692502e-02,3.951938579443743660e-02
5.701140228045608715e+00,2.915962163884673886e-01,3.561785283027961435e-02,3.927186655888440653e-02,3.881279500317164760e-02
5.731146229245848822e+00,2.927734208235439617e-01,3.567254221147729554e-02,3.919268531298322755e-02,4.041895591329944248e-02
5.761152230446088929e+00,2.939482450506143985e-01,3.572654607066923921e-02,3.911321877440881306e-02,4.007537343803706242e-02
5.791158231646329035e+00,2.951206806227704704e-01,3.577987025934520338e-02,3.903347398256331452e-02,3.632218854512854478e-02
5.821164232846569142e+00,2.962907192954102875e-01,3.583252058347496244e-02,3.895345789189173097e-02,3.899516047791904555e-02
5.851170234046809249e+00,2.974583530262381870e-01,3.588450280350829330e-02,3.887317737230434195e-02,3.725570987278065127e-02
5.881176235247049355e+00,2.986235739752646778e-01,3.593582263437499619e-02,3.879263920960444867e-02,3.990227720885296953e-02
5.911182236447289462e+00,2.997863745048066075e-01,3.598648574548486689e-02,3.871185010592102793e-02,3.887995597504885492e-02
5.941188237647529569e+00,3.009467471794868287e-01,3.603649776072773842e-02,3.863081668014617387e-02,3.917922213233317186e-02
5.971194238847769675e+00,3.021046847662346435e-01,3.608586425847343931e-02,3.854954546837680712e-02,3.748442073957351101e-02
6.001200240048009782e+00,3.032601802342855257e-01,3.613459077157182148e-02,3.846804292436038775e-02,4.029647316235588500e-02
6.031206241248249889e+00,3.044132267551810100e-01,3.618268278735274623e-02,3.838631541994443064e-02,4.040638878709487680e-02
6.061212242448489995e+00,3.055638176774544412e-01,3.623014574668204091e-02,3.830436924732368714e-02,3.723959820469747301e-02
6.091218243648730102e+00,3.067119465186845528e-01,3.627698502114232171e-02,3.822221062316220191e-02,3.859502574502851613e-02
6.121224244848969320e+00,3.078576070061703196e-01,3.632320592613391685e-02,3.813984568455493218e-02,3.746654325616474712e-02
6.151230246049209427e+00,3.090007930426228455e-01,3.636881373730690287e-02,3.805728048953284370e-02,3.803371055267211476e-02
6.181236247249449534e+00,3.101414987057243833e-01,3.641381369064763951e-02,3.797452101762169990e-02,3.670888403839713682e-02
6.211242248449689640e+00,3.112797182481286118e-01,3.645821098247876979e-02,3.789157317038369804e-02,3.975871868496431982e-02
6.241248249649929747e+00,3.124154460974603587e-01,3.650201076945923384e-02,3.780844277195911235e-02,3.683926326087644254e-02
6.271254250850169853e+00,3.135486768563157667e-01,3.654521816858424810e-02,3.772513556960770814e-02,3.742905175461021250e-02
6.301260252050409960e+00,3.146794053022622939e-01,3.658783825718531918e-02,3.764165723424944127e-02,3.814314016535996082e-02
6.331266253250650067e+00,3.158076263878386025e-01,3.662987607293025083e-02,3.755801336100463017e-02,3.691045268258850293e-02
6.361272254450890173e+00,3.169333352405547255e-01,3.667133661382313004e-02,3.747420946973317735e-02,3.723489704000087358e-02
6.391278255651130280e+00,3.180565271583794540e-01,3.671222483841376366e-02,3.739025100586318429e-02,3.682661115943621638e-02
6.421284256851370387e+00,3.191771975669149275e-01,3.675254565468095980e-02,3.730614334537492305e-02,3.717268259053863044e-02
6.451290258051610493e+00,3.202953420730547118e-01,3.679230390722282307e-02,3.722189179318977775e-02,3.605134915808947543e-02
6.481296259251850600e+00,3.214109564438080158e-01,3.683150440267066172e-02,3.713750158192564987e-02,3.669951350632334741e-02
6.511302260452090707e+00,3.225240365957437461e-01,3.687015191284338106e-02,3.705297787282609695e-02,3.684608494811385249e-02
6.541308261652330813e+00,3.236345785949903409e-01,3.690825117474744177e-02,3.696832575635401047e-02,3.663459975254987344e-02
6.571314262852570032e+00,3.247425786572358253e-01,3.694580689057688772e-02,3.688355025278129001e-02,3.694024020767508465e-02
6.601320264052810138e+00,3.258480331477279779e-01,3.698282372771333204e-02,3.679865631277520061e-02,3.650555409341847690e-02
6.631326265253050245e+00,3.269509385812739422e-01,3.701930631872595717e-02,3.671364881798101776e-02,3.746686022642040093e-02
6.661332266453290352e+00,3.280512916222406150e-01,3.705525926137152870e-02,3.662853258160046754e-02,3.630533665581463926e-02
6.691338267653530458e+00,3.291490890845544803e-01,3.709068711859437456e-02,3.654331234896694008e-02,3.640666275267105678e-02
6.721344268853770565e+00,3.302443279317014979e-01,3.712559441852640585e-02,3.645799279811608867e-02,3.579321146212023630e-02
6.751350270054010672e+00,3.313370052636623875e-01,3.715998565400813192e-02,3.637257854138425950e-02,3.584606370126901947e-02
6.781356271254250778e+00,3.324271182891967436e-01,3.719386526442480800e-02,3.628707413021364792e-02,3.502258133939393364e-02
6.811362272454490885e+00,3.335146643787908483e-01,3.722723763858494517e-02,3.620148405138826769e-02,3.672026897226623315e-02
6.841368273654730991e+00,3.345996410323222592e-01,3.726010713392681473e-02,3.611581272771286627e-02,3.497329471006037360e-02
6.871374274854971098e+00,3.356820458761065051e-01,3.729247807713017421e-02,3.603006451876045180e-02,3.528420812057212613e-02
6.901380276055211205e+00,3.367618766628969751e-01,3.732435476411629510e-02,3.594424372146837882e-02,3.630348837347958241e-02
6.931386277255451311e+00,3.378391312718850292e-01,3.735574146004792817e-02,3.585835457072854976e-02,3.626092793667308467e-02
