Lt,C,C_noisy
1.165581240275616937e+00,8.583325907497071361e-01,8.378715529255166272e-01
1.176692598355190134e+00,8.646246935001574707e-01,8.932812884116614338e-01
1.187803956434763331e+00,8.708843553102542101e-01,8.728572214992017519e-01
1.198915314514336528e+00,8.771115162408622545e-01,8.862775458913388915e-01
1.210026672593909725e+00,8.833061130280639439e-01,8.986449221186725289e-01
1.221138030673482922e+00,8.894680792340738940e-01,9.230611036970850503e-01
1.232249388753056341e+00,8.955973454023299363e-01,8.934151466499038463e-01
1.243360746832629538e+00,9.016938392167900274e-01,9.158186892988433581e-01
1.254472104912202735e+00,9.077574856654411217e-01,9.133338673746935754e-01
1.265583462991775932e+00,9.137882072080126816e-01,8.845402763693569481e-01
1.276694821071349129e+00,9.197859239478798354e-01,8.977366396384528491e-01
1.287806179150922548e+00,9.257505538081183261e-01,8.987271698762181460e-01
1.298917537230495745e+00,9.316820127116661743e-01,9.305026344958579054e-01
1.310028895310068942e+00,9.375802147655224461e-01,9.441077383690078539e-01
1.321140253389642139e+00,9.434450724489021889e-01,9.555606362757556038e-01
1.332251611469215336e+00,9.492764968052507246e-01,9.712774081367928636e-01
1.343362969548788532e+00,9.550743976379940658e-01,9.623124435551816402e-01
1.354474327628361952e+00,9.608386837098989997e-01,9.370690056898118847e-01
1.365585685707935149e+00,9.665692629458797480e-01,1.004145973680316661e+00
1.376697043787508346e+00,9.722660426390872246e-01,9.774314288968296571e-01
1.387808401867081542e+00,9.779289296600846004e-01,9.673209380853502459e-01
1.398919759946654739e+00,9.835578306688984584e-01,9.525016307176012997e-01
1.410031118026228159e+00,9.891526523297221596e-01,1.002358812741771965e+00
1.421142476105801356e+00,9.947133015280149593e-01,9.651687662677137514e-01
1.432253834185374552e+00,1.000239685589735972e+00,1.025930962630012599e+00
1.443365192264947749e+00,1.005731712502423436e+00,1.011797386766524864e+00
1.454476550344520946e+00,1.011189291137815971e+00,9.762594474552109824e-01
1.465587908424094366e+00,1.016612331475694297e+00,1.008623906056358210e+00
1.476699266503667562e+00,1.022000744828605034e+00,1.060125836525157572e+00
1.487810624583240759e+00,1.027354444067105854e+00,9.893873943477223820e-01
1.498921982662813956e+00,1.032673343845169178e+00,1.022332978151064609e+00
1.510033340742387153e+00,1.037957360825348951e+00,9.949800451422847747e-01
1.521144698821960572e+00,1.043206413903316143e+00,1.045824695756191636e+00
1.532256056901533769e+00,1.048420424431350417e+00,1.085775840205362330e+00
1.543367414981106966e+00,1.053599316440361200e+00,1.052453607405789082e+00
1.554478773060680163e+00,1.058743016860006270e+00,1.055619531476740258e+00
1.565590131140253360e+00,1.063851455736467777e+00,1.056773795719367026e+00
1.576701489219826557e+00,1.068924566447435165e+00,1.062684362149320272e+00
1.587812847299399976e+00,1.073962285913840242e+00,1.066137910517430676e+00
1.598924205378973173e+00,1.078964554807892107e+00,1.092199880400022582e+00
1.610035563458546370e+00,1.083931317756948287e+00,1.104857179612065421e+00
1.621146921538119567e+00,1.088862523542771577e+00,1.039961622562165289e+00
1.632258279617692764e+00,1.093758125295711148e+00,1.039015743408660875e+00
1.643369637697266183e+00,1.098618080683362308e+00,1.118692574383993055e+00
1.654480995776839380e+00,1.103442352093258805e+00,1.123489926583839837e+00
1.665592353856412577e+00,1.108230906809167138e+00,1.077514451238779758e+00
1.676703711935985774e+00,1.112983717180554333e+00,1.105925172204482054e+00
1.687815070015558971e+00,1.117700760784824165e+00,1.123625716127888863e+00
1.698926428095132168e+00,1.122382020581918827e+00,1.135851688255906655e+00
1.710037786174705587e+00,1.127027485060917655e+00,1.128528803430632887e+00
1.721149144254278784e+00,1.131637148378263902e+00,1.136736630388918590e+00
1.732260502333851981e+00,1.136211010487287787e+00,1.130488575519873473e+00
1.743371860413425178e+00,1.140749077258706112e+00,1.155470175646083009e+00
1.754483218492998375e+00,1.145251360591806877e+00,1.143566706134428790e+00
1.765594576572571794e+00,1.149717878516058889e+00,1.143365517941471232e+00
1.776705934652144991e+00,1.154148655282899671e+00,1.145937062277847751e+00
1.787817292731718188e+00,1.158543721447497843e+00,1.142985605228710400e+00
1.798928650811291385e+00,1.162903113940308764e+00,1.175682925467775197e+00
1.810040008890864582e+00,1.167226876128274027e+00,1.172278545259694660e+00
1.821151366970438001e+00,1.171515057865548215e+00,1.175662102237959195e+00
1.832262725050011198e+00,1.175767715533665214e+00,1.168359521170708071e+00
1.843374083129584395e+00,1.179984912071097014e+00,1.193786469534739325e+00
1.854485441209157592e+00,1.184166716992177015e+00,1.188805394372288937e+00
1.865596799288730789e+00,1.188313206395410049e+00,1.163852127179705986e+00
1.876708157368304208e+00,1.192424462961208853e+00,1.140469516531433136e+00
1.887819515447877405e+00,1.196500575939139166e+00,1.185078232846921598e+00
1.898930873527450602e+00,1.200541641124783121e+00,1.197325269735687314e+00
1.910042231607023799e+00,1.204547760826363501e+00,1.245644979322123369e+00
1.921153589686596996e+00,1.208519043821301597e+00,1.235903890931073335e+00
1.932264947766170193e+00,1.212455605302912298e+00,1.227850396015667922e+00
1.943376305845743612e+00,1.216357566817465763e+00,1.264820882794730039e+00
1.954487663925316809e+00,1.220225056191873714e+00,1.208399078601051002e+00
1.965599022004890006e+00,1.224058207452286995e+00,1.227163843538675359e+00
1.976710380084463203e+00,1.227857160733907049e+00,1.243878006933445413e+00
1.987821738164036400e+00,1.231622062182347266e+00,1.230732366319591709e+00
1.998933096243609819e+00,1.235353063846890365e+00,1.231081736998725473e+00
2.010044454323182794e+00,1.239050323566013745e+00,1.247061183169068554e+00
2.021155812402755991e+00,1.242714004845569820e+00,1.238956460345221666e+00
2.032267170482329188e+00,1.246344276730021239e+00,1.269460672751586028e+00
2.043378528561902385e+00,1.249941313667147114e+00,1.209633082826417905e+00
2.054489886641475582e+00,1.253505295366643679e+00,1.262421019213117779e+00
2.065601244721048779e+00,1.257036406653055050e+00,1.291148953849897252e+00
2.076712602800621976e+00,1.260534837313475487e+00,1.247862957514160875e+00
2.087823960880195617e+00,1.264000781940466833e+00,1.246965293346885995e+00
2.098935318959768814e+00,1.267434439770641186e+00,1.273599239968759900e+00
2.110046677039342011e+00,1.270836014519360457e+00,1.270040415915653309e+00
2.121158035118915208e+00,1.274205714212000018e+00,1.283717708087837694e+00
2.132269393198488405e+00,1.277543751012216955e+00,1.267045349489559936e+00
2.143380751278061602e+00,1.280850341047679919e+00,1.285741686216440360e+00
2.154492109357634799e+00,1.284125704233675780e+00,1.298067224862744728e+00
2.165603467437207996e+00,1.287370064095042732e+00,1.240428561914781236e+00
2.176714825516781193e+00,1.290583647586829974e+00,1.289411016457459036e+00
2.187826183596354390e+00,1.293766684914106735e+00,1.303535434625838541e+00
2.198937541675927587e+00,1.296919409351312114e+00,1.272014508409681666e+00
2.210048899755501228e+00,1.300042057061528977e+00,1.273413029809817631e+00
2.221160257835074425e+00,1.303134866916058954e+00,1.320436000798693277e+00
2.232271615914647622e+00,1.306198080314651122e+00,1.291703596785386043e+00
2.243382973994220819e+00,1.309231941006724353e+00,1.314561639769060930e+00
2.254494332073794016e+00,1.312236694913915036e+00,1.327852443398328530e+00
2.265605690153367213e+00,1.315212589954253053e+00,1.331046573909915098e+00
2.276717048232940410e+00,1.318159875868262665e+00,1.285615044935673357e+00
2.287828406312513607e+00,1.321078804047259858e+00,1.324886012613175401e+00
2.298939764392086804e+00,1.323969627364107060e+00,1.310215547726743202e+00
2.310051122471660001e+00,1.326832600006663920e+00,1.283665635780923964e+00
2.321162480551233642e+00,1.329667977314155314e+00,1.335538184655479910e+00
2.332273838630806839e+00,1.332476015616663734e+00,1.348050394978164146e+00
2.343385196710380036e+00,1.335256972077933924e+00,1.326405897932382949e+00
2.354496554789953233e+00,1.338011104541656060e+00,1.349324586986462071e+00
2.365607912869526430e+00,1.340738671381385139e+00,1.347021676288109981e+00
2.376719270949099627e+00,1.343439931354233341e+00,1.347224441799020456e+00
2.387830629028672824e+00,1.346115143458451513e+00,1.308413502023062058e+00
2.398941987108246021e+00,1.348764566795008335e+00,1.360668526841679604e+00
2.410053345187819218e+00,1.351388460433258221e+00,1.323274426563100237e+00
2.421164703267392415e+00,1.353987083280765003e+00,1.322150589860559444e+00
2.432276061346965612e+00,1.356560693957352459e+00,1.341626901410655659e+00
2.443387419426539253e+00,1.359109550673418987e+00,1.383449628410255094e+00
2.454498777506112450e+00,1.361633911112557715e+00,1.373301827475628345e+00
2.465610135585685647e+00,1.364134032318497836e+00,1.392162483995978528e+00
2.476721493665258844e+00,1.366610170586381345e+00,1.359963356062217299e+00
2.487832851744832041e+00,1.369062581358371222e+00,1.379754811755364408e+00
2.498944209824405238e+00,1.371491519123580582e+00,1.362732516102649560e+00
2.510055567903978435e+00,1.373897237322300846e+00,1.362319706058688462e+00
2.521166925983551632e+00,1.376279988254498932e+00,1.385953218273864529e+00
2.532278284063124829e+00,1.378640022992545955e+00,1.377181967143786601e+00
2.543389642142698026e+00,1.380977591298123253e+00,1.343394151404983639e+00
2.554501000222271223e+00,1.383292941543265098e+00,1.394002674425002253e+00
2.565612358301844864e+00,1.385586320635464386e+00,1.373713225100720692e+00
2.576723716381418061e+00,1.387857973946780676e+00,1.425893136842853348e+00
2.587835074460991258e+00,1.390108145246881088e+00,1.389946702892590036e+00
2.598946432540564455e+00,1.392337076639930782e+00,1.397256009116450315e+00
2.610057790620137652e+00,1.394545008505256867e+00,1.364025032726750686e+00
2.621169148699710849e+00,1.396732179441700250e+00,1.418257429497676858e+00
2.632280506779284046e+00,1.398898826215564828e+00,1.411695843998212130e+00
2.643391864858857243e+00,1.401045183712072983e+00,1.381159873964490581e+00
2.654503222938430440e+00,1.403171484890240350e+00,1.395362800464495567e+00
2.665614581018003637e+00,1.405277960741063925e+00,1.378899777570624874e+00
2.676725939097576834e+00,1.407364840248934712e+00,1.445540153496502001e+00
2.687837297177150475e+00,1.409432350356176311e+00,1.383767271620018446e+00
2.698948655256723672e+00,1.411480715930602647e+00,1.433606957071597021e+00
2.710060013336296869e+00,1.413510159736008465e+00,1.392598531533835615e+00
2.721171371415870066e+00,1.415520902405478676e+00,1.463915945549220998e+00
2.732282729495443263e+00,1.417513162417430195e+00,1.450491626643940490e+00
2.743394087575016460e+00,1.419487156074275891e+00,1.438322170153720325e+00
2.754505445654589657e+00,1.421443097483620743e+00,1.418093853461781295e+00
2.765616803734162854e+00,1.423381198541886050e+00,1.412283347085006469e+00
2.776728161813736051e+00,1.425301668920270881e+00,1.437826638067834395e+00
2.787839519893309248e+00,1.427204716052948186e+00,1.434027829097181295e+00
2.798950877972882889e+00,1.429090545127409184e+00,1.407436328118739199e+00
2.810062236052456086e+00,1.430959359076856341e+00,1.453248096357388830e+00
2.821173594132029283e+00,1.432811358574559879e+00,1.441715716000034453e+00
2.832284952211602480e+00,1.434646742030083244e+00,1.426374724739368105e+00
2.843396310291175677e+00,1.436465705587294472e+00,1.434506119302334515e+00
2.854507668370748874e+00,1.438268443124075979e+00,1.448752905221140974e+00
2.865619026450322071e+00,1.440055146253650387e+00,1.452746219062284183e+00
2.876730384529895268e+00,1.441826004327438238e+00,1.443588867646570462e+00
2.887841742609468465e+00,1.443581204439373877e+00,1.447219369176236947e+00
2.898953100689041662e+00,1.445320931431595790e+00,1.410995762580210533e+00
2.910064458768614859e+00,1.447045367901445445e+00,1.484923439961762792e+00
2.921175816848188500e+00,1.448754694209690941e+00,1.447648481531550679e+00
2.932287174927761697e+00,1.450449088489915273e+00,1.429039088393870394e+00
2.943398533007334894e+00,1.452128726658995950e+00,1.466315316680943504e+00
2.954509891086908091e+00,1.453793782428611792e+00,1.423650428609499086e+00
2.965621249166481288e+00,1.455444427317711398e+00,1.452465579496353465e+00
2.976732607246054485e+00,1.457080830665887339e+00,1.401266928674967271e+00
2.987843965325627682e+00,1.458703159647588343e+00,1.452520129542307581e+00
2.998955323405200879e+00,1.460311579287121964e+00,1.441202149646808373e+00
3.010066681484774076e+00,1.461906252474386658e+00,1.460296881927928947e+00
3.021178039564347273e+00,1.463487339981281554e+00,1.486231970222544163e+00
3.032289397643920914e+00,1.465055000478748370e+00,1.490632842125628521e+00
3.043400755723494111e+00,1.466609390554387993e+00,1.457871640441966488e+00
3.054512113803067308e+00,1.468150664730615063e+00,1.497196273559656676e+00
3.065623471882640505e+00,1.469678975483298622e+00,1.505504525113555259e+00
3.076734829962213702e+00,1.471194473260849733e+00,1.493641159069780233e+00
3.087846188041786899e+00,1.472697306503716774e+00,1.450755738144130946e+00
3.098957546121360096e+00,1.474187621664243997e+00,1.463011365670967345e+00
3.110068904200933293e+00,1.475665563226863153e+00,1.496500498952986202e+00
3.121180262280506490e+00,1.477131273728577998e+00,1.445944936649841583e+00
3.132291620360079687e+00,1.478584893779709475e+00,1.498316015714542759e+00
3.143402978439652884e+00,1.480026562084870712e+00,1.480964585928915334e+00
3.154514336519226525e+00,1.481456415464140086e+00,1.528467157364850282e+00
3.165625694598799722e+00,1.482874588874401489e+00,1.483422775141726380e+00
3.176737052678372919e+00,1.484281215430831136e+00,1.499133481814368229e+00
3.187848410757946116e+00,1.485676426428494068e+00,1.477336084518674042e+00
3.198959768837519313e+00,1.487060351364039690e+00,1.461629090980690160e+00
3.210071126917092510e+00,1.488433117957456586e+00,1.490325883475696944e+00
3.221182484996665707e+00,1.489794852173881079e+00,1.474284853383321714e+00
3.232293843076238904e+00,1.491145678245425099e+00,1.508742159946913297e+00
3.243405201155812101e+00,1.492485718693013386e+00,1.510101872919781707e+00
3.254516559235385298e+00,1.493815094348205808e+00,1.500031459870671213e+00
3.265627917314958495e+00,1.495133924374988377e+00,1.491644685312460750e+00
3.276739275394532136e+00,1.496442326291520519e+00,1.498337981238849759e+00
3.287850633474105333e+00,1.497740415991817953e+00,1.486386721370969610e+00
3.298961991553678530e+00,1.499028307767359181e+00,1.496401169754919991e+00
3.310073349633251727e+00,1.500306114328602725e+00,1.504541306158644787e+00
3.321184707712824924e+00,1.501573946826401773e+00,1.510255543774372544e+00
3.332296065792398121e+00,1.502831914873304253e+00,1.496572899783453980e+00
3.343407423871971318e+00,1.504080126564729003e+00,1.507657584329879175e+00
3.354518781951544515e+00,1.505318688500003610e+00,1.483938596583572522e+00
3.365630140031117712e+00,1.506547705803261916e+00,1.509951404484457971e+00
3.376741498110690909e+00,1.507767282144184762e+00,1.546676813925727423e+00
3.387852856190264106e+00,1.508977519758579522e+00,1.514762526247780627e+00
3.398964214269837747e+00,1.510178519468793557e+00,1.507548313371479543e+00
3.410075572349410944e+00,1.511370380703948246e+00,1.504064009681624903e+00
3.421186930428984141e+00,1.512553201519994062e+00,1.486612779036686316e+00
3.432298288508557338e+00,1.513727078619576449e+00,1.519099228095372789e+00
3.443409646588130535e+00,1.514892107371709429e+00,1.527691484207743811e+00
3.454521004667703732e+00,1.516048381831253344e+00,1.520487284001451611e+00
3.465632362747276929e+00,1.517195994758188338e+00,1.505850827084562082e+00
3.476743720826850126e+00,1.518335037636683094e+00,1.519043020292299540e+00
3.487855078906423323e+00,1.519465600693958196e+00,1.511017403190881625e+00
3.498966436985996520e+00,1.520587772918932767e+00,1.544405493071271174e+00
3.510077795065570161e+00,1.521701642080661721e+00,1.512660773938642844e+00
3.521189153145143358e+00,1.522807294746553408e+00,1.540796183279699916e+00
3.532300511224716555e+00,1.523904816300370335e+00,1.512089239671909890e+00
3.543411869304289752e+00,1.524994290960010934e+00,1.507182216748358394e+00
3.554523227383862949e+00,1.526075801795068188e+00,1.526166105988578492e+00
3.565634585463436146e+00,1.527149430744168424e+00,1.528534099891976528e+00
3.576745943543009343e+00,1.528215258632086959e+00,1.517524532695405437e+00
3.587857301622582540e+00,1.529273365186638811e+00,1.548441784153183676e+00
3.598968659702155737e+00,1.530323829055348916e+00,1.502051742400334344e+00
3.610080017781728934e+00,1.531366727821896756e+00,1.527379574103172821e+00
3.621191375861302131e+00,1.532402138022339155e+00,1.532667809884461496e+00
3.632302733940875772e+00,1.533430135161109931e+00,1.518012795914483348e+00
3.643414092020448969e+00,1.534450793726795492e+00,1.539831530988467145e+00
3.654525450100022166e+00,1.535464187207693287e+00,1.506688150427729633e+00
3.665636808179595363e+00,1.536470388107145313e+00,1.507099658262406550e+00
3.676748166259168560e+00,1.537469467958654468e+00,1.541276527543796959e+00
3.687859524338741757e+00,1.538461497340781747e+00,1.541453698533114203e+00
3.698970882418314954e+00,1.539446545891826723e+00,1.561831597911540914e+00
3.710082240497888151e+00,1.540424682324291972e+00,1.548497743756631628e+00
3.721193598577461348e+00,1.541395974439134342e+00,1.544024516715084117e+00
3.732304956657034545e+00,1.542360489139801949e+00,1.546512741752953390e+00
3.743416314736608186e+00,1.543318292446061779e+00,1.552470311937963254e+00
3.754527672816181383e+00,1.544269449507618130e+00,1.518311392781862557e+00
3.765639030895754580e+00,1.545214024617524107e+00,1.555625543682579659e+00
3.776750388975327777e+00,1.546152081225386166e+00,1.543048785082550500e+00
3.787861747054900974e+00,1.547083681950367939e+00,1.557958311622512637e+00
3.798973105134474171e+00,1.548008888593991106e+00,1.518884433538149947e+00
3.810084463214047368e+00,1.548927762152738419e+00,1.568566866934082205e+00
3.821195821293620565e+00,1.549840362830458673e+00,1.576209408972104820e+00
3.832307179373193762e+00,1.550746750050577383e+00,1.558766644445557903e+00
3.843418537452766959e+00,1.551646982468116498e+00,1.597792595114713166e+00
3.854529895532340156e+00,1.552541117981521612e+00,1.523275343748468513e+00
3.865641253611913797e+00,1.553429213744301762e+00,1.541782971360736276e+00
3.876752611691486994e+00,1.554311326176484709e+00,1.553517252746518418e+00
3.887863969771060191e+00,1.555187510975888365e+00,1.567416381173229123e+00
3.898975327850633388e+00,1.556057823129212370e+00,1.558242021118558585e+00
3.910086685930206585e+00,1.556922316922946692e+00,1.564465750269200539e+00
3.921198044009779782e+00,1.557781045954111043e+00,1.570259739911877617e+00
3.932309402089352979e+00,1.558634063140814874e+00,1.547321052871950986e+00
3.943420760168926176e+00,1.559481420732647283e+00,1.584726983791110211e+00
3.954532118248499373e+00,1.560323170320900399e+00,1.585682576208304440e+00
3.965643476328072570e+00,1.561159362848621113e+00,1.550762499250155413e+00
3.976754834407645767e+00,1.561990048620504501e+00,1.545771953684033306e+00
3.987866192487219408e+00,1.562815277312620044e+00,1.552402345889322799e+00
3.998977550566792605e+00,1.563635097981981303e+00,1.545024436180227889e+00
4.010088908646365802e+00,1.564449559075957730e+00,1.567559052841962952e+00
4.021200266725938555e+00,1.565258708441530366e+00,1.563486168361957196e+00
4.032311624805512196e+00,1.566062593334397013e+00,1.576484409685478649e+00
4.043422982885085837e+00,1.566861260427925284e+00,1.541948498484346786e+00
4.054534340964658590e+00,1.567654755821958901e+00,1.566184054896692768e+00
4.065645699044232231e+00,1.568443125051478759e+00,1.568484809409660841e+00
4.076757057123804984e+00,1.569226413095117678e+00,1.576107505572764245e+00
4.087868415203378625e+00,1.570004664383538362e+00,1.577591422846522429e+00
4.098979773282951378e+00,1.570777922807669036e+00,1.578335223210741267e+00
4.110091131362525019e+00,1.571546231726803189e+00,1.572193287861249233e+00
4.121202489442097772e+00,1.572309633976566090e+00,1.548099153842115827e+00
4.132313847521671413e+00,1.573068171876747856e+00,1.569098167983170811e+00
4.143425205601244166e+00,1.573821887239005068e+00,1.607477341576900587e+00
4.154536563680817807e+00,1.574570821374436935e+00,1.593557113055988905e+00
4.165647921760391448e+00,1.575315015101033778e+00,1.589193730785395831e+00
4.176759279839964201e+00,1.576054508751001837e+00,1.544062711557378398e+00
4.187870637919537842e+00,1.576789342177966180e+00,1.588428094357809739e+00
4.198981995999110595e+00,1.577519554764053700e+00,1.594965573929849167e+00
4.210093354078684236e+00,1.578245185426858432e+00,1.575835725109505425e+00
4.221204712158256989e+00,1.578966272626291190e+00,1.547514878971720798e+00
4.232316070237830630e+00,1.579682854371314171e+00,1.605576946926109638e+00
4.243427428317403383e+00,1.580394968226564334e+00,1.566474469751243381e+00
4.254538786396977024e+00,1.581102651318867736e+00,1.583849659340710536e+00
4.265650144476549777e+00,1.581805940343642636e+00,1.597645035859904583e+00
4.276761502556123418e+00,1.582504871571198901e+00,1.601531357360054919e+00
4.287872860635697059e+00,1.583199480852931718e+00,1.596837052615299735e+00
4.298984218715269812e+00,1.583889803627411386e+00,1.537445029750058145e+00
4.310095576794843453e+00,1.584575874926375416e+00,1.580130793231457664e+00
