t,a,c_productive,maturation_intermediate,c_cleaved_product,da_dt
6.701340268053611327e-02,1.174612093412510418e-02,7.325047288192165773e-03,1.046699030906463900e-05,2.074758035871913518e-04,1.807949797447555920e-02
6.801360272054410294e-02,1.176412726360115575e-02,7.385776339130156395e-03,1.088660466900516434e-05,2.124164359542894806e-04,1.792641665839686191e-02
6.901380276055210650e-02,1.178198186557431054e-02,7.445555968827432744e-03,1.131577465925796030e-05,2.173829858076162160e-04,1.777610316046286665e-02
7.001400280056011005e-02,1.179968748719536706e-02,7.504401614954820526e-03,1.175453467672981785e-05,2.223745847786173574e-04,1.762851420733469940e-02
7.101420284056811361e-02,1.181724683363640643e-02,7.562328478573347723e-03,1.220291730160873681e-05,2.273903802370367926e-04,1.748360718721722953e-02
7.201440288057611716e-02,1.183466256809079589e-02,7.619351524134253262e-03,1.266095329736391572e-05,2.324295352909164984e-04,1.734134014968349152e-02
7.301460292058412072e-02,1.185193731177318008e-02,7.675485479478980945e-03,1.312867161074575016e-05,2.374912287865966218e-04,1.720167180550340874e-02
7.401480296059212427e-02,1.186907364435119128e-02,7.730744838336701605e-03,1.360609939510027227e-05,2.425746551401774718e-04,1.706456151952363484e-02
7.501500300060011395e-02,1.188607410639034266e-02,7.785143875090700868e-03,1.409326213133038878e-05,2.476790234133222773e-04,1.692996926891227397e-02
7.601520304060811750e-02,1.190294119286914969e-02,7.838696607776916500e-03,1.459018327003832502e-05,2.528035598675185689e-04,1.679785574561850833e-02
7.701540308061612106e-02,1.191967736058280325e-02,7.891416839694414750e-03,1.509688465478538659e-05,2.579475050113775128e-04,1.666818224133097270e-02
7.801560312062412461e-02,1.193628502991935826e-02,7.943318169539928530e-03,1.561338662064206415e-05,2.631101129001419737e-04,1.654091061922932301e-02
7.901580316063212817e-02,1.195276658485973365e-02,7.994413991407867820e-03,1.613970799418802164e-05,2.682906511356868942e-04,1.641600331384426500e-02
8.001600320064013172e-02,1.196912437297770887e-02,8.044717494790314463e-03,1.667586609351208945e-05,2.734884008665188610e-04,1.629342333092100373e-02
8.101620324064813528e-02,1.198536070543992221e-02,8.094241664577018699e-03,1.722187672821227290e-05,2.787026567877763216e-04,1.617313424728610699e-02
8.201640328065612495e-02,1.200147785700588117e-02,8.142999281055409572e-03,1.777775419939574888e-05,2.839327271412294762e-04,1.605510021071747742e-02
8.301660332066412851e-02,1.201747806617256553e-02,8.191002920739371210e-03,1.834351130745444190e-05,2.891779336587349059e-04,1.593928593751609696e-02
8.401680336067213206e-02,1.203336353800009591e-02,8.238264972955313889e-03,1.891915949624255433e-05,2.944376104777949297e-04,1.582565666601262744e-02
8.501700340068013562e-02,1.204913643783560133e-02,8.284797604478536664e-03,1.950470850503617639e-05,2.997111066247827647e-04,1.571417825417993630e-02
8.601720344068813917e-02,1.206479889686442805e-02,8.330612790409249596e-03,2.010016668732284346e-05,3.049977837926101274e-04,1.560481709452109407e-02
8.701740348069614273e-02,1.208035301482686397e-02,8.375722329571099953e-03,2.070554116042219131e-05,3.102970152692807000e-04,1.549754007133377631e-02
8.801760352070414628e-02,1.209580086001813860e-02,8.420137844511168743e-03,2.132083780548594946e-05,3.156081859378898589e-04,1.539231456060424774e-02
8.901780356071213596e-02,1.211114446928843180e-02,8.463870781499979387e-03,2.194606126749793089e-05,3.209306922766248923e-04,1.528910842990391025e-02
9.001800360072013951e-02,1.212638584804286331e-02,8.506932410531490782e-03,2.258121495527406941e-05,3.262639423587651620e-04,1.518789003828832293e-02
9.101820364072814307e-02,1.214152697024150143e-02,8.549333825323099031e-03,2.322630104146236875e-05,3.316073558526816704e-04,1.508862823619872354e-02
9.201840368073614662e-02,1.215656977839935614e-02,8.591085943315635715e-03,2.388132046254292637e-05,3.369603640218373311e-04,1.499129236536591442e-02
9.301860372074415018e-02,1.217151618505920609e-02,8.632199514131929860e-03,2.454627299543675085e-05,3.423224091535896369e-04,1.489585223520771898e-02
9.401880376075215373e-02,1.218636807169361583e-02,8.672685114011154106e-03,2.522115718442729650e-05,3.476929450258336063e-04,1.480227813761842218e-02
9.501900380076015729e-02,1.220112728623012725e-02,8.712553131351486596e-03,2.590597021998914082e-05,3.530714378495302275e-04,1.471054088726334724e-02
9.601920384076814696e-02,1.221579564935141270e-02,8.751813802116394786e-03,2.660070828453876642e-05,3.584573637803765500e-04,1.462061172371172460e-02
9.701940388077615052e-02,1.223037495469916740e-02,8.790477210990124343e-03,2.730536656339294818e-05,3.638502088388434973e-04,1.453246230815737408e-02
9.801960392078415407e-02,1.224486696887411991e-02,8.828553291377700882e-03,2.801993924476869899e-05,3.692494689101753790e-04,1.444606472334038737e-02
9.901980396079215763e-02,1.225927343143601994e-02,8.866051825404923023e-03,2.874441951978330706e-05,3.746546497443900537e-04,1.436139147347073770e-02
1.000200040008001612e-01,1.227359605490364707e-02,8.902982443918374539e-03,2.947879958245432910e-05,3.800652669562790912e-04,1.427841548415365903e-02
1.010202040408081647e-01,1.228783652475480721e-02,8.939354626485410474e-03,3.022307062969958359e-05,3.854808460254076103e-04,1.419711010231692119e-02
1.020204040808161683e-01,1.230199649942633269e-02,8.975177701394169288e-03,3.097722286133715753e-05,3.909009222961143328e-04,1.411744909613983114e-02
1.030206041208241718e-01,1.231607761253620398e-02,9.010460858379251009e-03,3.174124559253341780e-05,3.963250401203061634e-04,1.403940661963395953e-02
1.040208041608321615e-01,1.233008146899967558e-02,9.045213127172739218e-03,3.251512703796537564e-05,4.017527544031654374e-04,1.396295727151848284e-02
1.050210042008401651e-01,1.234400964637764712e-02,9.079443384610353524e-03,3.329885439785505632e-05,4.071836300414761653e-04,1.388807607592127541e-02
1.060212042408481686e-01,1.235786369908466187e-02,9.113160378242012721e-03,3.409241408374174702e-05,4.126172402695655250e-04,1.381473841712775943e-02
1.070214042808561722e-01,1.237164515838919988e-02,9.146372726333578188e-03,3.489579171849811756e-05,4.180531666591844899e-04,1.374292003951683994e-02
1.080216043208641757e-01,1.238535553241368846e-02,9.179088917866850411e-03,3.570897213633023395e-05,4.234909991195078298e-04,1.367259704750317141e-02
1.090218043608721793e-01,1.239899630613449516e-02,9.211317312539567259e-03,3.653193938277753128e-05,4.289303358971340019e-04,1.360374590548076024e-02
1.100220044008801829e-01,1.241256894138192957e-02,9.243066140765407446e-03,3.736467671471283404e-05,4.343707835760852597e-04,1.353634343776793751e-02
1.110222044408881725e-01,1.242607487684024500e-02,9.274343503673987063e-03,3.820716660034233583e-05,4.398119570778074900e-04,1.347036682855368671e-02
1.120224044808961761e-01,1.243951552804764028e-02,9.305157373110866520e-03,3.905939071920563318e-05,4.452534796611706466e-04,1.340579362184520472e-02
1.130226045209041796e-01,1.245289228915392489e-02,9.335515601628272334e-03,3.992133004952097710e-05,4.506949822456807523e-04,1.334260169371489536e-02
1.140228045609121832e-01,1.246620653034910021e-02,9.365425908450056638e-03,4.079296472382392991e-05,4.561361044404940658e-04,1.328076929068612751e-02
1.150230046009201867e-01,1.247945959742717201e-02,9.394895876647766861e-03,4.167427401973746413e-05,4.615764946849654085e-04,1.322027503780915172e-02
1.160232046409281903e-01,1.249265281643707759e-02,9.423932979128843423e-03,4.256523660498971365e-05,4.670158084259929104e-04,1.316109786693100102e-02
1.170234046809361939e-01,1.250578749371349455e-02,9.452544578809795456e-03,4.346583053900150321e-05,4.724537081060277096e-04,1.310321701617332864e-02
1.180236047209441835e-01,1.251886491587682511e-02,9.480737928616197324e-03,4.437603327288634162e-05,4.778898631630738446e-04,1.304661202988981195e-02
1.190238047609521871e-01,1.253188634983321004e-02,9.508520171482693836e-03,4.529582164945048276e-05,4.833239500306885247e-04,1.299126275862460753e-02
1.200240048009601906e-01,1.254485304277452168e-02,9.535898340352989833e-03,4.622517190319285103e-05,4.887556521379818591e-04,1.293714935907181417e-02
1.210242048409681942e-01,1.255776622217836397e-02,9.562879358179860595e-03,4.716405966030506847e-05,4.941846599096168030e-04,1.288425229403585524e-02
1.220244048809761978e-01,1.257062709580807416e-02,9.589470037925146642e-03,4.811245993867147507e-05,4.996106707658094824e-04,1.283255233239286378e-02
1.230246049209842013e-01,1.258343685221336057e-02,9.615677085377432112e-03,4.907034717251611381e-05,5.050333889294105968e-04,1.278203054126028637e-02
1.240248049609922049e-01,1.259619666201644214e-02,9.641507106652916215e-03,5.003769526657233076e-05,5.104525249506549917e-04,1.273266826499052512e-02
1.250250050010001945e-01,1.260890767290889780e-02,9.666966580167002041e-03,5.101447734701968943e-05,5.158677976422348542e-04,1.268444720254661290e-02
1.260252050410081981e-01,1.262157101499332412e-02,9.692061886257659353e-03,5.200066604147946637e-05,5.212789319839950973e-04,1.263734932592389462e-02
1.270254050810162016e-01,1.263418780166992127e-02,9.716799312138377567e-03,5.299623352403247368e-05,5.266856587782907514e-04,1.259135686645179025e-02
1.280256051210242052e-01,1.264675912963648778e-02,9.741185051898167482e-03,5.400115151521909287e-05,5.320877146499879400e-04,1.254645231476242753e-02
1.290258051610322088e-01,1.265928607888842754e-02,9.765225206501559549e-03,5.501539128203928165e-05,5.374848420464635543e-04,1.250261842076007615e-02
1.300260052010402123e-01,1.267176971271874279e-02,9.788925783788600399e-03,5.603892363795257394e-05,5.428767892376051450e-04,1.245983819359129663e-02
1.310262052410482159e-01,1.268421107771803939e-02,9.812292698474861519e-03,5.707171894287806627e-05,5.482633103158111388e-04,1.241809490161577961e-02
1.320264052810562194e-01,1.269661120377452157e-02,9.835331772151434046e-03,5.811374710319444495e-05,5.536441651959906219e-04,1.237737207237785825e-02
1.330266053210642230e-01,1.270897110407399888e-02,9.858048733284925300e-03,5.916497757173993859e-05,5.590191196155637737e-04,1.233765349257879423e-02
1.340268053610722265e-01,1.272129177603289682e-02,9.880449222458249220e-03,6.022537939177109191e-05,5.643879447780295348e-04,1.229892319355687519e-02
1.350270054010802301e-01,1.273357420103628235e-02,9.902538791185988912e-03,6.129492117262523912e-05,5.697504174786595507e-04,1.226116545428354229e-02
1.360272054410882059e-01,1.274581934121237110e-02,9.924322883767043232e-03,6.237357094114530745e-05,5.751063213304910028e-04,1.222436485155558618e-02
1.370274054810962094e-01,1.275802814433938878e-02,9.945806864506696876e-03,6.346129638850028483e-05,5.804554448570926894e-04,1.218850618499748781e-02
1.380276055211042130e-01,1.277020154412549131e-02,9.966996019277633845e-03,6.455806488387817840e-05,5.857975813845641777e-04,1.215357447273176551e-02
1.390278055611122165e-01,1.278234046020876834e-02,9.987895555519925306e-03,6.566384347448612287e-05,5.911325290415373216e-04,1.211955495135651900e-02
1.400280056011202201e-01,1.279444579815723800e-02,1.000851060224104173e-02,6.677859888555040763e-05,5.964600907591756113e-04,1.208643307592342439e-02
1.410282056411282237e-01,1.280651844946885214e-02,1.002884621001583904e-02,6.790229752031638191e-05,6.017800742711742817e-04,1.205419451991637109e-02
1.420284056811362272e-01,1.281855929157149458e-02,1.004890735098657069e-02,6.903490546004853608e-05,6.070922921137605292e-04,1.202282517523044908e-02
1.430286057211442308e-01,1.283056918782297766e-02,1.006869891886288601e-02,7.017638846403046100e-05,6.123965616256930779e-04,1.199231115215151910e-02
1.440288057611522343e-01,1.284254898751104913e-02,1.008822572892181975e-02,7.132671196956486155e-05,6.176927049482623970e-04,1.196263877933629455e-02
1.450290058011602379e-01,1.285449952638221746e-02,1.010749252096427263e-02,7.248584111601975139e-05,6.229805488244463674e-04,1.193379459562461317e-02
1.460292058411682414e-01,1.286642162746778027e-02,1.012650396411616388e-02,7.365374077283742013e-05,6.282599243047280691e-04,1.190576533658638941e-02
1.470294058811762450e-01,1.287831609682797002e-02,1.014526463309786686e-02,7.483037534463665165e-05,6.335306683669722147e-04,1.187853800001518155e-02
1.480296059211842485e-01,1.289018372813239416e-02,1.016377903354879347e-02,7.601570899581424365e-05,6.387926221440447293e-04,1.185209977621110022e-02
1.490298059611922521e-01,1.290202530327100132e-02,1.018205160542346235e-02,7.720970567941518373e-05,6.440456306895720644e-04,1.182643803859992522e-02
1.500300060012002279e-01,1.291384159235407780e-02,1.020008672299149710e-02,7.841232913713258167e-05,6.492895429779411975e-04,1.180154034371701417e-02
1.510302060412082314e-01,1.292563335371225454e-02,1.021788869483763323e-02,7.962354289930784559e-05,6.545242119043004998e-04,1.177739443119154954e-02
1.520304060812162350e-01,1.293740133389649841e-02,1.023546176386170951e-02,8.084331028493041090e-05,6.597494942845583263e-04,1.175398822373113945e-02
1.530306061212242386e-01,1.294914626767812091e-02,1.025281010727867488e-02,8.207159440163795715e-05,6.649652508553839918e-04,1.173130982710684014e-02
1.540308061612322421e-01,1.296086887804877123e-02,1.026993783661858672e-02,8.330835814571631315e-05,6.701713462742076629e-04,1.170934753013837780e-02
1.550310062012402457e-01,1.297256987622043972e-02,1.028684899772660394e-02,8.455356420209948407e-05,6.753676491192197066e-04,1.168808980467990651e-02
1.560312062412482492e-01,1.298424996162545787e-02,1.030354757076300080e-02,8.580717504436962437e-05,6.805540318893718837e-04,1.166752530560590147e-02
1.570314062812562528e-01,1.299590982341268172e-02,1.032003747857217039e-02,8.706915299744853471e-05,6.857303704451496625e-04,1.164764284765392247e-02
1.580316063212642563e-01,1.300755013780019974e-02,1.033632257213945409e-02,8.833946010989295755e-05,6.908965450312918883e-04,1.162843144537341333e-02
1.590318063612722599e-01,1.301917156818057156e-02,1.035240663100358421e-02,8.961805817214350215e-05,6.960524402109013239e-04,1.160988031215191320e-02
1.600320064012802634e-01,1.303077476814718492e-02,1.036829338001597593e-02,9.090490885501748594e-05,7.011979437114525997e-04,1.159197881402364988e-02
1.610322064412882670e-01,1.304236038149719085e-02,1.038398648935706312e-02,9.219997370983901163e-05,7.063329464236814490e-04,1.157471646961292719e-02
1.620324064812962706e-01,1.305392904223150533e-02,1.039948957453628274e-02,9.350321416843895372e-05,7.114573424015847077e-04,1.155808295012287004e-02
1.630326065213042741e-01,1.306548137455481109e-02,1.041480619639208009e-02,9.481459154315489068e-05,7.165710288624196640e-04,1.154206807932440376e-02
1.640328065613122499e-01,1.307701799287554895e-02,1.042993986109191223e-02,9.613406702683117272e-05,7.216739061867050338e-04,1.152666183354543808e-02
1.650330066013202535e-01,1.308853950180593161e-02,1.044489402013224627e-02,9.746160169281896249e-05,7.267658779182206361e-04,1.151185434166034256e-02
1.660332066413282570e-01,1.310004649616192812e-02,1.045967207033855415e-02,9.879715649497612662e-05,7.318468507640066333e-04,1.149763588507963716e-02
1.670334066813362606e-01,1.311153956096327948e-02,1.047427735386532131e-02,1.001406922676672628e-04,7.369167345943646160e-04,1.148399689773995508e-02
1.680336067213442641e-01,1.312301927143348299e-02,1.048871315819603807e-02,1.014921697257637541e-04,7.419754424428569523e-04,1.147092796609413060e-02
1.690338067613522677e-01,1.313448619445077396e-02,1.050298272424087138e-02,1.028515495210260766e-04,7.470228899709923731e-04,1.145841980670672493e-02
1.700340068013602712e-01,1.314594088583380740e-02,1.051708923140950297e-02,1.042187921189864760e-04,7.520589965034988602e-04,1.144646330730017189e-02
1.710342068413682748e-01,1.315738389069426306e-02,1.053103579942335673e-02,1.055938578277237753e-04,7.570836848699984698e-04,1.143504952190327328e-02
1.720344068813762783e-01,1.316881574605619810e-02,1.054482550280379932e-02,1.069767069109419066e-04,7.620968804171891070e-04,1.142416963091113027e-02
1.730346069213842819e-01,1.318023698085622926e-02,1.055846137087310121e-02,1.083672995879772028e-04,7.670985110087797992e-04,1.141381494107447832e-02
1.740348069613922855e-01,1.319164811594352935e-02,1.057194638775443840e-02,1.097655960337982754e-04,7.720885070254903705e-04,1.140397688549174039e-02
1.750350070014002890e-01,1.320304966407982381e-02,1.058528349237189067e-02,1.111715563790061637e-04,7.770668013650515503e-04,1.139464702360129533e-02
1.760352070414082926e-01,1.321444212993939590e-02,1.059847557845044162e-02,1.125851407098341994e-04,7.820333294422048649e-04,1.138581704117396821e-02
1.770354070814162961e-01,1.322582601010908673e-02,1.061152549451598211e-02,1.140063090681480741e-04,7.869880291887029625e-04,1.137747875030555370e-02
1.780356071214242719e-01,1.323720179308828654e-02,1.062443604389530505e-02,1.154350214514458258e-04,7.919308410533090715e-04,1.136962408940964814e-02
1.790358071614322755e-01,1.324856995928894859e-02,1.063720998471610890e-02,1.168712378128579203e-04,7.968617080017976508e-04,1.136224512321055286e-02
1.800360072014402790e-01,1.325993098103557706e-02,1.064985002990699592e-02,1.183149180611470886e-04,8.017805755169540643e-04,1.135533404273633869e-02
1.810362072414482826e-01,1.327128532306883282e-02,1.066235884999619868e-02,1.197660220791968335e-04,8.066873914143493337e-04,1.134888315757690870e-02
1.820364072814562861e-01,1.328263344291310058e-02,1.067473907525977490e-02,1.212245097266241264e-04,8.115821057281714804e-04,1.134288488982237303e-02
1.830366073214642897e-01,1.329397578761245743e-02,1.068699327760091848e-02,1.226903407197937207e-04,8.164646719059245970e-04,1.133733182412435120e-02
1.840368073614722932e-01,1.330531279722414924e-02,1.069912398981677157e-02,1.241634747767716052e-04,8.213350454996074142e-04,1.133221665461042402e-02
1.850370074014802968e-01,1.331664490518201863e-02,1.071113370760998912e-02,1.256438716315602937e-04,8.261931840311093848e-04,1.132753217932814561e-02
1.860372074414883004e-01,1.332797253829649808e-02,1.072302488958873368e-02,1.271314910340989879e-04,8.310390469922112255e-04,1.132327130023952529e-02
1.870374074814963039e-01,1.333929611675462035e-02,1.073479995726668232e-02,1.286262927502634414e-04,8.358725958445844834e-04,1.131942702321560822e-02
1.880376075215043075e-01,1.335061605412001320e-02,1.074646129506301971e-02,1.301282365618659873e-04,8.406937940197917528e-04,1.131599245803119672e-02
1.890378075615123110e-01,1.336193275733289776e-02,1.075801125030244679e-02,1.316372822666556195e-04,8.455026069192866749e-04,1.131296081835957666e-02
1.900380076015203146e-01,1.337324662671009363e-02,1.076945213321517034e-02,1.331533896783178837e-04,8.502990019144137214e-04,1.131032542176755792e-02
1.910382076415283181e-01,1.338455805594501204e-02,1.078078621693691515e-02,1.346765186264749323e-04,8.550829483464084113e-04,1.130807968971036040e-02
1.920384076815362939e-01,1.339586743210766095e-02,1.079201573750891013e-02,1.362066289566854970e-04,8.598544175263973105e-04,1.130621714752686087e-02
