t,N,P_agg,dN_dt,dN_dt_noisy
6.161232246449289685e-01,8.905830433524687351e+02,1.007756190588062761e+00,-1.680849473844552904e+02,-1.700376741062319184e+02
6.201240248049609827e-01,8.899108051832463389e+02,1.007850356199106789e+00,-1.679669367301436580e+02,-1.598304354570283294e+02
6.241248249649929969e-01,8.892390389514285971e+02,1.007945005088363377e+00,-1.678490254923309521e+02,-1.737267050169348579e+02
6.281256251250250111e-01,8.885677442594439981e+02,1.008040135817880767e+00,-1.677312135446443051e+02,-1.669308340819725913e+02
6.321264252850570253e-01,8.878969207102350083e+02,1.008135746953044531e+00,-1.676135007609305774e+02,-1.783026225513834788e+02
6.361272254450890395e-01,8.872265679072588682e+02,1.008231837062578240e+00,-1.674958870152561303e+02,-1.675037216809821246e+02
6.401280256051210538e-01,8.865566854544871376e+02,1.008328404718543458e+00,-1.673783721819068546e+02,-1.628805400945268218e+02
6.441288257651530680e-01,8.858872729564059227e+02,1.008425448496339527e+00,-1.672609561353880849e+02,-1.684442727456953719e+02
6.481296259251850822e-01,8.852183300180157630e+02,1.008522966974703783e+00,-1.671436387504245715e+02,-1.702904133698412750e+02
6.521304260852170964e-01,8.845498562448315170e+02,1.008620958735711337e+00,-1.670264199019604803e+02,-1.658688645816677933e+02
6.561312262452489996e-01,8.838818512428827034e+02,1.008719422364775298e+00,-1.669092994651592221e+02,-1.634085407094059690e+02
6.601320264052810138e-01,8.832143146187130469e+02,1.008818356450645881e+00,-1.667922773154034815e+02,-1.634739894603164601e+02
6.641328265653130281e-01,8.825472459793810458e+02,1.008917759585412410e+00,-1.666753533282953299e+02,-1.568129840586463786e+02
6.681336267253450423e-01,8.818806449324595178e+02,1.009017630364501317e+00,-1.665585273796557999e+02,-1.655126900179744212e+02
6.721344268853770565e-01,8.812145110860354862e+02,1.009117967386676806e+00,-1.664417993455251406e+02,-1.694038498442897946e+02
6.761352270454090707e-01,8.805488440487107482e+02,1.009218769254041304e+00,-1.663251691021627892e+02,-1.669550650520959891e+02
6.801360272054410849e-01,8.798836434280830190e+02,1.009320034559914037e+00,-1.662086365253784663e+02,-1.665711292534775225e+02
6.841368273654730991e-01,8.792189088320266137e+02,1.009421761899410575e+00,-1.660922014911080566e+02,-1.655485145737174548e+02
6.881376275255051134e-01,8.785546398710476979e+02,1.009523949888103012e+00,-1.659758638764459135e+02,-1.661260029425930895e+02
6.921384276855371276e-01,8.778908361561229867e+02,1.009626597144541060e+00,-1.658596235586855414e+02,-1.649897938642045290e+02
6.961392278455691418e-01,8.772274972986892863e+02,1.009729702290171893e+00,-1.657434804153151049e+02,-1.740977307183906646e+02
7.001400280056011560e-01,8.765646229106439478e+02,1.009833263949340143e+00,-1.656274343240173721e+02,-1.614792895438171456e+02
7.041408281656331702e-01,8.759022126043444132e+02,1.009937280749288568e+00,-1.655114851626697714e+02,-1.683851815072749218e+02
7.081416283256651845e-01,8.752402659926085562e+02,1.010041751320157166e+00,-1.653956328093443631e+02,-1.712614262915794825e+02
7.121424284856970877e-01,8.745787826887147958e+02,1.010146674294983615e+00,-1.652798771423076971e+02,-1.620911213441005145e+02
7.161432286457291019e-01,8.739177623064015279e+02,1.010252048309703721e+00,-1.651642180400209270e+02,-1.585775880030905114e+02
7.201440288057611161e-01,8.732572044598676939e+02,1.010357872003150081e+00,-1.650486553811394401e+02,-1.625835146336422383e+02
7.241448289657931303e-01,8.725971087637724395e+02,1.010464144017053423e+00,-1.649331890445132842e+02,-1.641273924752856885e+02
7.281456291258251445e-01,8.719374748332352283e+02,1.010570862996042374e+00,-1.648178189091867978e+02,-1.694789204360465646e+02
7.321464292858571588e-01,8.712783022838360694e+02,1.010678027587642358e+00,-1.647025448543986386e+02,-1.503447081653311557e+02
7.361472294458891730e-01,8.706195907316149487e+02,1.010785636442277591e+00,-1.645873667595818119e+02,-1.601860736562742602e+02
7.401480296059211872e-01,8.699613397930725114e+02,1.010893688213268859e+00,-1.644722845043636426e+02,-1.701687578560785141e+02
7.441488297659532014e-01,8.693035490851694931e+02,1.011002181556835078e+00,-1.643572979685655469e+02,-1.682554875497642684e+02
7.481496299259852156e-01,8.686462182253271749e+02,1.011111115132092619e+00,-1.642424070322032037e+02,-1.638075107893436950e+02
7.521504300860172298e-01,8.679893468314268148e+02,1.011220487601055984e+00,-1.641276115754864975e+02,-1.719012672354664346e+02
7.561512302460492441e-01,8.673329345218104436e+02,1.011330297628636687e+00,-1.640129114788193192e+02,-1.631697594437667362e+02
7.601520304060812583e-01,8.666769809152800690e+02,1.011440543882644150e+00,-1.638983066227997369e+02,-1.661936644013635203e+02
7.641528305661132725e-01,8.660214856310981304e+02,1.011551225033785473e+00,-1.637837968882198254e+02,-1.576524438866387356e+02
7.681536307261451757e-01,8.653664482889873852e+02,1.011662339755665441e+00,-1.636693821560654669e+02,-1.588586088379242369e+02
7.721544308861771899e-01,8.647118685091310226e+02,1.011773886724785854e+00,-1.635550623075168062e+02,-1.771114894946906588e+02
7.761552310462092041e-01,8.640577459121725497e+02,1.011885864620547304e+00,-1.634408372239477103e+02,-1.632323242938111605e+02
7.801560312062412184e-01,8.634040801192154504e+02,1.011998272125246956e+00,-1.633267067869258540e+02,-1.714140442845443033e+02
7.841568313662732326e-01,8.627508707518240954e+02,1.012111107924080322e+00,-1.632126708782129185e+02,-1.576644808819702916e+02
7.881576315263052468e-01,8.620981174320227183e+02,1.012224370705139931e+00,-1.630987293797643076e+02,-1.622582000341251955e+02
7.921584316863372610e-01,8.614458197822960983e+02,1.012338059159416437e+00,-1.629848821737291189e+02,-1.602428549127941437e+02
7.961592318463692752e-01,8.607939774255893326e+02,1.012452171980797955e+00,-1.628711291424502292e+02,-1.681967527864667318e+02
8.001600320064012895e-01,8.601425899853077226e+02,1.012566707866070281e+00,-1.627574701684641241e+02,-1.536153189784866129e+02
8.041608321664333037e-01,8.594916570853170015e+02,1.012681665514916896e+00,-1.626439051345010114e+02,-1.525435382987487856e+02
8.081616323264653179e-01,8.588411783499433341e+02,1.012797043629918736e+00,-1.625304339234846793e+02,-1.678542891366157335e+02
8.121624324864973321e-01,8.581911534039729759e+02,1.012912840916554424e+00,-1.624170564185322974e+02,-1.605529808092007045e+02
8.161632326465293463e-01,8.575415818726525004e+02,1.013029056083200263e+00,-1.623037725029547289e+02,-1.656702846449056494e+02
8.201640328065613605e-01,8.568924633816891401e+02,1.013145687841130460e+00,-1.621905820602562471e+02,-1.623084317445598970e+02
8.241648329665933748e-01,8.562437975572501045e+02,1.013262734904516238e+00,-1.620774849741345065e+02,-1.684056698702573271e+02
8.281656331266252780e-01,8.555955840259631486e+02,1.013380195990426946e+00,-1.619644811284806849e+02,-1.526287535555775889e+02
8.321664332866572922e-01,8.549478224149161179e+02,1.013498069818829617e+00,-1.618515704073791142e+02,-1.666974679627924445e+02
8.361672334466893064e-01,8.543005123516575168e+02,1.013616355112588518e+00,-1.617387526951075927e+02,-1.632191717700950733e+02
8.401680336067213206e-01,8.536536534641957132e+02,1.013735050597465825e+00,-1.616260278761370444e+02,-1.591186132205844217e+02
8.441688337667533348e-01,8.530072453809999615e+02,1.013854155002121393e+00,-1.615133958351317744e+02,-1.647511992272124246e+02
8.481696339267853491e-01,8.523612877309994929e+02,1.013973667058112538e+00,-1.614008564569491568e+02,-1.625974186056106703e+02
8.521704340868173633e-01,8.517157801435838564e+02,1.014093585499894257e+00,-1.612884096266396909e+02,-1.641066088587745071e+02
8.561712342468493775e-01,8.510707222486029195e+02,1.014213909064819452e+00,-1.611760552294470585e+02,-1.618433590036285352e+02
8.601720344068813917e-01,8.504261136763670947e+02,1.014334636493138264e+00,-1.610637931508080101e+02,-1.669165063263095306e+02
8.641728345669134059e-01,8.497819540576469990e+02,1.014455766527998515e+00,-1.609516232763521373e+02,-1.631415636543636367e+02
8.681736347269454201e-01,8.491382430236734535e+02,1.014577297915446152e+00,-1.608395454919022427e+02,-1.618740101154634772e+02
8.721744348869774344e-01,8.484949802061377113e+02,1.014699229404423919e+00,-1.607275596834739133e+02,-1.623961897024945813e+02
8.761752350470094486e-01,8.478521652371914570e+02,1.014821559746773127e+00,-1.606156657372756627e+02,-1.603322159628066856e+02
8.801760352070414628e-01,8.472097977494464658e+02,1.014944287697231884e+00,-1.605038635397088456e+02,-1.619693746364924607e+02
8.841768353670733660e-01,8.465678773759750584e+02,1.015067412013436643e+00,-1.603921529773677150e+02,-1.566260959351708095e+02
8.881776355271053802e-01,8.459264037503096461e+02,1.015190931455920875e+00,-1.602805339370391096e+02,-1.618965135659682630e+02
8.921784356871373944e-01,8.452853765064432991e+02,1.015314844788116178e+00,-1.601690063057027942e+02,-1.608522542871822054e+02
8.961792358471694087e-01,8.446447952788290650e+02,1.015439150776351607e+00,-1.600575699705310626e+02,-1.633814766505103364e+02
