t,T,T_core,dT_dt,dT_dt_noisy
1.320264052810562028e+01,9.918097241045062447e+02,9.986394279648771999e+02,-5.999452104235110106e-01,-5.870045722795289578e-01
1.380276055211042063e+01,9.914502213763737473e+02,9.985757308331855029e+02,-5.981585147941786973e-01,-5.880912716411207386e-01
1.440288057611522277e+01,9.910917884302863285e+02,9.985118780847743665e+02,-5.963802408601461824e-01,-6.234918656498058542e-01
1.500300060012002312e+01,9.907344202252444347e+02,9.984478703891963960e+02,-5.946103403259579423e-01,-6.135004727856346873e-01
1.560312062412482348e+01,9.903781117474366056e+02,9.983837084130602761e+02,-5.928487652248481954e-01,-5.945964861453998385e-01
1.620324064812962561e+01,9.900228580102389060e+02,9.983193928200314531e+02,-5.910954679170924431e-01,-5.953173720328559515e-01
1.680336067213442419e+01,9.896686540542158355e+02,9.982549242708315660e+02,-5.893504010883853228e-01,-5.872139711133992357e-01
1.740348069613922632e+01,9.893154949471195323e+02,9.981903034232390155e+02,-5.876135177482160188e-01,-5.854402984379903918e-01
1.800360072014402846e+01,9.889633757838901147e+02,9.981255309320887363e+02,-5.858847712282676534e-01,-5.647063836777571622e-01
1.860372074414882704e+01,9.886122916866557944e+02,9.980606074492717426e+02,-5.841641151808272259e-01,-5.952843228077500104e-01
1.920384076815362917e+01,9.882622378047325356e+02,9.979955336237361507e+02,-5.824515035772007687e-01,-5.862275536484707894e-01
1.980396079215843130e+01,9.879132093146242823e+02,9.979303101014860431e+02,-5.807468907061518193e-01,-5.603191746312284893e-01
2.040408081616322988e+01,9.875652014200229587e+02,9.978649375255823770e+02,-5.790502311723435547e-01,-5.725832012103251323e-01
2.100420084016803202e+01,9.872182093518085821e+02,9.977994165361423029e+02,-5.773614798947985793e-01,-5.707308461710359770e-01
2.160432086417283415e+01,9.868722283680488090e+02,9.977337477703396189e+02,-5.756805921053647079e-01,-5.808206558222392957e-01
2.220444088817763273e+01,9.865272537539995028e+02,9.976679318624046573e+02,-5.740075233471997329e-01,-5.904882750557562954e-01
2.280456091218243486e+01,9.861832808221042797e+02,9.976019694436242844e+02,-5.723422294732609661e-01,-5.706675820310335157e-01
2.340468093618723699e+01,9.858403049119948491e+02,9.975358611423416733e+02,-5.706846666448146532e-01,-5.695945257665991912e-01
2.400480096019203557e+01,9.854983213904907871e+02,9.974696075839565310e+02,-5.690347913299481641e-01,-5.813083118723939569e-01
2.460492098419683771e+01,9.851573256515996491e+02,9.974032093909252126e+02,-5.673925603020999464e-01,-5.742248269199056177e-01
2.520504100820163984e+01,9.848173131165167433e+02,9.973366671827604932e+02,-5.657579306385969176e-01,-5.664783674358692123e-01
2.580516103220643842e+01,9.844782792336255852e+02,9.972699815760315687e+02,-5.641308597192080665e-01,-5.735783759498158663e-01
2.640528105621124055e+01,9.841402194784976700e+02,9.972031531843641687e+02,-5.625113052247046053e-01,-5.634940049032267639e-01
2.700540108021604269e+01,9.838031293538920181e+02,9.971361826184406709e+02,-5.608992251354298908e-01,-5.599443948607353283e-01
2.760552110422084127e+01,9.834670043897560845e+02,9.970690704859997595e+02,-5.592945777298898857e-01,-5.589387153593350366e-01
2.820564112822564340e+01,9.831318401432249630e+02,9.970018173918367665e+02,-5.576973215833411768e-01,-5.627602381664843501e-01
2.880576115223044553e+01,9.827976321986217272e+02,9.969344239378032171e+02,-5.561074155664014196e-01,-5.501699348485431518e-01
2.940588117623524411e+01,9.824643761674575444e+02,9.968668907228075113e+02,-5.545248188436633363e-01,-5.456131493008400390e-01
3.000600120024004624e+01,9.821320676884314480e+02,9.967992183428143562e+02,-5.529494908723221469e-01,-5.497410078266564692e-01
3.060612122424484483e+01,9.818007024274302239e+02,9.967314073908449927e+02,-5.513813914008121042e-01,-5.595636936747151458e-01
3.120624124824964696e+01,9.814702760775289789e+02,9.966634584569770823e+02,-5.498204804674572399e-01,-5.425039576296027954e-01
3.180636127225444909e+01,9.811407843546055574e+02,9.965953721287208964e+02,-5.482667183733815897e-01,-5.532811185580520652e-01
3.240648129625925122e+01,9.808122228649838235e+02,9.965271490021002592e+02,-5.467200649058598927e-01,-5.379284587229800074e-01
3.300660132026405336e+01,9.804845873167345189e+02,9.964587896630722526e+02,-5.451804805805758880e-01,-5.558983547493503430e-01
3.360672134426884838e+01,9.801578735077016518e+02,9.963902946891862484e+02,-5.436479265659633908e-01,-5.345032545346756203e-01
3.420684136827365052e+01,9.798320772558749923e+02,9.963216646556764999e+02,-5.421223642724730674e-01,-5.423229988186278883e-01
3.480696139227845265e+01,9.795071943993901868e+02,9.962529001354628235e+02,-5.406037553514355665e-01,-5.530912442547797347e-01
3.540708141628325478e+01,9.791832207965286443e+02,9.961840016991499169e+02,-5.390920616939398613e-01,-5.422310564136083588e-01
3.600720144028805692e+01,9.788601523257177632e+02,9.961149699150281549e+02,-5.375872454297134784e-01,-5.370462226419980833e-01
3.660732146429285905e+01,9.785379848855307046e+02,9.960458053490726797e+02,-5.360892689260161603e-01,-5.333613555343715840e-01
3.720744148829765408e+01,9.782167143946865053e+02,9.959765085649441971e+02,-5.345980947865380806e-01,-5.444199760359478280e-01
3.780756151230245621e+01,9.778963367920498513e+02,9.959070801239885213e+02,-5.331136858503067177e-01,-5.441874163219586613e-01
3.840768153630725834e+01,9.775768480366316453e+02,9.958375205852369163e+02,-5.316360051906047213e-01,-5.296401598621338636e-01
3.900780156031206047e+01,9.772582441075882116e+02,9.957678305054054135e+02,-5.301650161138915518e-01,-5.348325122826895761e-01
3.960792158431686261e+01,9.769405210042220915e+02,9.956980104388957216e+02,-5.287006821587365568e-01,-5.263456260414343113e-01
4.020804160832165763e+01,9.766236747459814751e+02,9.956280609377946575e+02,-5.272429670947558211e-01,-5.196477718699720194e-01
4.080816163232645977e+01,9.763077013724603148e+02,9.955579825518743746e+02,-5.257918349215595644e-01,-5.422797085850690202e-01
4.140828165633126190e+01,9.759925969433986666e+02,9.954877758285917935e+02,-5.243472498677115290e-01,-5.218033687025354084e-01
4.200840168033606403e+01,9.756783575386821212e+02,9.954174413130898529e+02,-5.229091763896819289e-01,-5.106627067143245657e-01
4.260852170434086617e+01,9.753649792583423732e+02,9.953469795481960318e+02,-5.214775791708274877e-01,-5.244528476145322582e-01
4.320864172834566830e+01,9.750524582225568793e+02,9.952763910744233726e+02,-5.200524231203617065e-01,-5.281605689527374414e-01
4.380876175235046333e+01,9.747407905716488585e+02,9.952056764299701399e+02,-5.186336733723413417e-01,-5.111112351005454579e-01
4.440888177635526546e+01,9.744299724660874062e+02,9.951348361507197069e+02,-5.172212952846604317e-01,-5.146868301225789866e-01
4.500900180036006759e+01,9.741200000864876074e+02,9.950638707702410102e+02,-5.158152544380472104e-01,-5.068564237302716213e-01
4.560912182436486972e+01,9.738108696336100820e+02,9.949927808197877539e+02,-5.144155166350716790e-01,-5.178676737355845106e-01
4.620924184836967186e+01,9.735025773283616672e+02,9.949215668282992056e+02,-5.130220478991613930e-01,-5.278402306363835228e-01
4.680936187237447399e+01,9.731951194117947352e+02,9.948502293223998549e+02,-5.116348144736184711e-01,-5.127349221207310181e-01
4.740948189637926902e+01,9.728884921451076480e+02,9.947787688263991868e+02,-5.102537828206520354e-01,-5.147120643507643312e-01
4.800960192038407115e+01,9.725826918096445297e+02,9.947071858622923628e+02,-5.088789196204086540e-01,-5.011256813999329651e-01
4.860972194438887328e+01,9.722777147068956083e+02,9.946354809497593124e+02,-5.075101917700207688e-01,-5.055738632862492032e-01
4.920984196839367542e+01,9.719735571584965328e+02,9.945636546061654144e+02,-5.061475663826485727e-01,-5.224560587069996265e-01
4.980996199239847755e+01,9.716702155062290558e+02,9.944917073465613839e+02,-5.047910107865398732e-01,-5.167426415875718826e-01
5.041008201640327968e+01,9.713676861120208059e+02,9.944196396836829308e+02,-5.034404925240940631e-01,-4.946026021582214938e-01
5.101020204040807471e+01,9.710659653579450605e+02,9.943474521279513283e+02,-5.020959793509256475e-01,-4.952983291767472096e-01
5.161032206441287684e+01,9.707650496462212004e+02,9.942751451874727309e+02,-5.007574392349484205e-01,-5.071598728940333034e-01
5.221044208841767897e+01,9.704649353992141414e+02,9.942027193680388564e+02,-4.994248403554497617e-01,-4.994353283211225847e-01
5.281056211242248111e+01,9.701656190594349027e+02,9.941301751731264176e+02,-4.980981511021865815e-01,-4.936424155644247302e-01
5.341068213642728324e+01,9.698670970895402661e+02,9.940575131038974632e+02,-4.967773400744778800e-01,-4.920932967160051019e-01
5.401080216043208537e+01,9.695693659723327755e+02,9.939847336591992644e+02,-4.954623760803068544e-01,-4.866999541191633361e-01
5.461092218443688040e+01,9.692724222107609648e+02,9.939118373355643143e+02,-4.941532281354305001e-01,-4.915883718632148569e-01
5.521104220844168253e+01,9.689762623279191303e+02,9.938388246272104425e+02,-4.928498654624947073e-01,-4.937981488521797080e-01
5.581116223244648467e+01,9.686808828670472167e+02,9.937656960260405867e+02,-4.915522574901535213e-01,-4.941407381380319985e-01
5.641128225645128680e+01,9.683862803915314998e+02,9.936924520216430210e+02,-4.902603738522012811e-01,-4.797029458468687890e-01
5.701140228045608893e+01,9.680924514849035631e+02,9.936190931012912415e+02,-4.889741843867002613e-01,-5.114827271374856599e-01
5.761152230446089106e+01,9.677993927508412071e+02,9.935456197499438531e+02,-4.876936591351267447e-01,-4.890802123860401029e-01
5.821164232846568609e+01,9.675071008131677672e+02,9.934720324502449103e+02,-4.864187683415111541e-01,-4.860887673016705546e-01
5.881176235247048822e+01,9.672155722877067774e+02,9.933983316851752079e+02,-4.851494822908034021e-01,-4.994029718995052769e-01
5.941188237647529036e+01,9.669248037143867123e+02,9.933245179440797301e+02,-4.838857709224321790e-01,-4.805576347910517354e-01
6.001200240048009249e+01,9.666347917652876731e+02,9.932505917029438933e+02,-4.826276050187345845e-01,-4.891404151431685277e-01
6.061212242448489462e+01,9.663455331431838431e+02,9.931765534344264097e+02,-4.813749556216346259e-01,-4.727505076584771482e-01
6.121224244848968965e+01,9.660570245658993827e+02,9.931024036093599534e+02,-4.801277939423794772e-01,-4.813837147827227381e-01
6.181236247249449178e+01,9.657692627663091116e+02,9.930281426967511607e+02,-4.788860913608264935e-01,-4.721945589529319420e-01
6.241248249649929392e+01,9.654822444923379408e+02,9.929537711637806296e+02,-4.776498194247251750e-01,-4.654613833730129602e-01
6.301260252050409605e+01,9.651959665069609855e+02,9.928792894758029206e+02,-4.764189498490096764e-01,-4.725896540218749720e-01
6.361272254450889818e+01,9.649104255882036796e+02,9.928046980963465558e+02,-4.751934545150964806e-01,-4.839506659493249541e-01
6.421284256851369321e+01,9.646256185291418888e+02,9.927299974871142467e+02,-4.739733054701843473e-01,-4.891164917872307116e-01
6.481296259251850245e+01,9.643415421379015697e+02,9.926551881079824398e+02,-4.727584749265609232e-01,-4.552246337513972119e-01
6.541308261652329747e+01,9.640581932376589975e+02,9.925802704170017705e+02,-4.715489352609115725e-01,-4.726618571927867496e-01
6.601320264052810671e+01,9.637755686666406518e+02,9.925052448703966093e+02,-4.703446590136374783e-01,-4.772303084899807146e-01
6.661332266453290174e+01,9.634936652781234443e+02,9.924301119225655157e+02,-4.691456188881739098e-01,-4.677030480075656804e-01
6.721344268853769677e+01,9.632124799404344913e+02,9.923548720260810114e+02,-4.679517877503148737e-01,-4.698659010551413662e-01
6.781356271254250601e+01,9.629320095369511137e+02,9.922795256316895802e+02,-4.667631386275418737e-01,-4.582417159854150213e-01
6.841368273654730103e+01,9.626522509661009508e+02,9.922040731883116678e+02,-4.655796447083582201e-01,-4.652403628839872352e-01
6.901380276055211027e+01,9.623732011413619603e+02,9.921285151430416818e+02,-4.644012793416279483e-01,-4.642637835054437279e-01
6.961392278455690530e+01,9.620948569912623043e+02,9.920528519411479920e+02,-4.632280160359170673e-01,-4.703738132462467192e-01
7.021404280856170033e+01,9.618172154593804635e+02,9.919770840260732712e+02,-4.620598284588398608e-01,-4.573641474713649457e-01
7.081416283256650956e+01,9.615402735043451230e+02,9.919012118394335857e+02,-4.608966904364144579e-01,-4.712353576599642713e-01
7.141428285657130459e+01,9.612640280998352864e+02,9.918252358210195325e+02,-4.597385759524135196e-01,-4.530796815547738499e-01
7.201440288057611383e+01,9.609884762345803892e+02,9.917491564087954430e+02,-4.585854591477289133e-01,-4.433460840178276019e-01
7.261452290458090886e+01,9.607136149123598443e+02,9.916729740388996106e+02,-4.574373143197325020e-01,-4.726841747007240468e-01
7.321464292858571810e+01,9.604394411520033827e+02,9.915966891456445182e+02,-4.562941159216464260e-01,-4.809564082351596159e-01
7.381476295259051312e+01,9.601659519873913951e+02,9.915203021615162697e+02,-4.551558385619198788e-01,-4.489870510103766699e-01
7.441488297659530815e+01,9.598931444674540217e+02,9.914438135171752720e+02,-4.540224570035983342e-01,-4.285434788487670899e-01
7.501500300060011739e+01,9.596210156561718350e+02,9.913672236414558938e+02,-4.528939461637114805e-01,-4.629031946524304053e-01
7.561512302460491242e+01,9.593495626325760668e+02,9.912905329613662389e+02,-4.517702811126583784e-01,-4.642772387006782742e-01
7.621524304860972165e+01,9.590787824907475851e+02,9.912137419020888274e+02,-4.506514370735918429e-01,-4.447617477357870830e-01
7.681536307261451668e+01,9.588086723398180311e+02,9.911368508869796869e+02,-4.495373894218193667e-01,-4.579446053224024427e-01
7.741548309661931171e+01,9.585392293039691367e+02,9.910598603375690345e+02,-4.484281136841961612e-01,-4.534883685235635009e-01
7.801560312062412095e+01,9.582704505224328386e+02,9.909827706735612765e+02,-4.473235855385271353e-01,-4.508047602053649183e-01
7.861572314462891597e+01,9.580023331494913919e+02,9.909055823128344400e+02,-4.462237808129752570e-01,-4.409037599500572613e-01
7.921584316863372521e+01,9.577348743544774834e+02,9.908282956714407419e+02,-4.451286754854700822e-01,-4.491816990994012548e-01
7.981596319263852024e+01,9.574680713217738912e+02,9.907509111636064745e+02,-4.440382456831200031e-01,-4.412594172823183780e-01
8.041608321664331527e+01,9.572019212508135979e+02,9.906734292017316648e+02,-4.429524676816312123e-01,-4.447178002705669542e-01
8.101620324064812451e+01,9.569364213560800181e+02,9.905958501963904155e+02,-4.418713179047303319e-01,-4.503180289412463400e-01
8.161632326465291953e+01,9.566715688671068847e+02,9.905181745563310187e+02,-4.407947729235867085e-01,-4.439930355010189289e-01
8.221644328865772877e+01,9.564073610284780216e+02,9.904404026884755012e+02,-4.397228094562443124e-01,-4.492268061079234820e-01
8.281656331266252380e+01,9.561437950998276847e+02,9.903625349979198518e+02,-4.386554043670533587e-01,-4.385902545083558701e-01
8.341668333666733304e+01,9.558808683558403345e+02,9.902845718879343622e+02,-4.375925346661064808e-01,-4.488311969417628222e-01
8.401680336067212806e+01,9.556185780862506363e+02,9.902065137599629452e+02,-4.365341775086796217e-01,-4.474631212016320636e-01
8.461692338467692309e+01,9.553569215958436871e+02,9.901283610136235893e+02,-4.354803101946773669e-01,-4.209106920416247899e-01
8.521704340868173233e+01,9.550958962044546752e+02,9.900501140467084724e+02,-4.344309101680770002e-01,-4.349627523711304122e-01
8.581716343268652736e+01,9.548354992469691069e+02,9.899717732551836207e+02,-4.333859550163831065e-01,-4.339249752711035191e-01
8.641728345669133660e+01,9.545757280733230346e+02,9.898933390331890223e+02,-4.323454224700833404e-01,-4.272300582709071537e-01
8.701740348069613162e+01,9.543165800338551890e+02,9.898148117745121226e+02,-4.313092903206303119e-01,-4.355178603461190012e-01
8.761752350470092665e+01,9.540580524056804279e+02,9.897361918797287217e+02,-4.302775360119161507e-01,-4.325628896866977047e-01
8.821764352870573589e+01,9.538001425668220463e+02,9.896574797385038664e+02,-4.292501376093387222e-01,-4.249986502560196278e-01
8.881776355271053092e+01,9.535428479276392864e+02,9.895786757369070301e+02,-4.282270734154471348e-01,-4.254029149930031450e-01
8.941788357671534015e+01,9.532861659097554821e+02,9.894997802595694338e+02,-4.272083218520523751e-01,-4.388012891213766697e-01
9.001800360072013518e+01,9.530300939460566951e+02,9.894207936896840465e+02,-4.261938614597623465e-01,-4.178604354930657294e-01
9.061812362472494442e+01,9.527746294806927381e+02,9.893417164090054712e+02,-4.251836708975314516e-01,-4.310880203304218727e-01
9.121824364872973945e+01,9.525197699690768331e+02,9.892625487978503998e+02,-4.241777289422052899e-01,-4.347385184453471663e-01
9.181836367273453448e+01,9.522655128778852713e+02,9.891832912350968172e+02,-4.231760144880717389e-01,-4.321807651880622547e-01
9.241848369673934371e+01,9.520118556850579807e+02,9.891039440981847974e+02,-4.221785065464136455e-01,-4.260839599899668984e-01
9.301860372074413874e+01,9.517587958797982992e+02,9.890245077631159347e+02,-4.211851842450667904e-01,-4.049121816988361378e-01
9.361872374474894798e+01,9.515063309625727470e+02,9.889449826044536849e+02,-4.201960268279745780e-01,-4.319513858771824033e-01
9.421884376875374301e+01,9.512544584451112542e+02,9.888653689953231378e+02,-4.192110136547537169e-01,-4.176102547294103240e-01
9.481896379275853803e+01,9.510031758504073878e+02,9.887856673074112450e+02,-4.182301242002567365e-01,-4.396083677811625234e-01
9.541908381676334727e+01,9.507524807127176700e+02,9.887058779109665920e+02,-4.172533380541369463e-01,-4.172690073855889192e-01
9.601920384076814230e+01,9.505023705775622602e+02,9.886260011747997396e+02,-4.162806349204214440e-01,-4.072849707456613899e-01
9.661932386477295154e+01,9.502528430017248411e+02,9.885460374662826553e+02,-4.153119946170839571e-01,-4.176786278376984907e-01
9.721944388877774657e+01,9.500038955532521641e+02,9.884659871513492817e+02,-4.143473970756158531e-01,-4.206409463144492600e-01
9.781956391278254159e+01,9.497555258114543904e+02,9.883858505944951958e+02,-4.133868223406066411e-01,-4.110717117000212695e-01
9.841968393678735083e+01,9.495077313669053183e+02,9.883056281587777221e+02,-4.124302505693261400e-01,-4.054287330578196236e-01
9.901980396079214586e+01,9.492605098214418149e+02,9.882253202058160468e+02,-4.114776620313028710e-01,-4.048410863211288069e-01
9.961992398479695510e+01,9.490138587881643844e+02,9.881449270957909903e+02,-4.105290371079142187e-01,-3.908042985686163151e-01
1.002200440088017501e+02,9.487677758914367132e+02,9.880644491874451205e+02,-4.095843562919722070e-01,-4.074926815686094606e-01
1.008201640328065594e+02,9.485222587668858978e+02,9.879838868380827535e+02,-4.086436001873147705e-01,-4.145677011848440952e-01
1.014202840568113544e+02,9.482773050614026715e+02,9.879032404035698391e+02,-4.077067495084011894e-01,-4.089665414082676032e-01
1.020204040808161494e+02,9.480329124331406092e+02,9.878225102383344165e+02,-4.067737850799016397e-01,-4.074987705360997858e-01
1.026205241048209587e+02,9.477890785515172638e+02,9.877416966953658175e+02,-4.058446878363053401e-01,-4.047573140015241488e-01
1.032206441288257537e+02,9.475458010972132570e+02,9.876608001262154630e+02,-4.049194388215132667e-01,-4.052197169538075960e-01
1.038207641528305629e+02,9.473030777621723928e+02,9.875798208809964081e+02,-4.039980191884433580e-01,-4.022583597994813243e-01
1.044208841768353579e+02,9.470609062496023398e+02,9.874987593083833417e+02,-4.030804101986408261e-01,-4.197889108047919704e-01
1.050210042008401530e+02,9.468192842739737216e+02,9.874176157556127009e+02,-4.021665932218808637e-01,-3.938703036614804587e-01
1.056211242248449622e+02,9.465782095610206852e+02,9.873363905684830115e+02,-4.012565497357807320e-01,-4.070039424249910498e-01
1.062212442488497572e+02,9.463376798477407874e+02,9.872550840913539787e+02,-4.003502613254162901e-01,-4.120818482898865320e-01
1.068213642728545665e+02,9.460976928823951084e+02,9.871736966671476239e+02,-3.994477096829334162e-01,-3.930701980865190515e-01
1.074214842968593615e+02,9.458582464245076835e+02,9.870922286373472616e+02,-3.985488766071668687e-01,-3.853756165333060424e-01
1.080216043208641707e+02,9.456193382448664124e+02,9.870106803419980679e+02,-3.976537440032629211e-01,-3.927234625082685060e-01
1.086217243448689658e+02,9.453809661255221499e+02,9.869290521197071939e+02,-3.967622938822976675e-01,-3.951507007438424535e-01
1.092218443688737608e+02,9.451431278597893879e+02,9.868473443076431977e+02,-3.958745083609060411e-01,-4.051967114146255433e-01
1.098219643928785700e+02,9.449058212522460281e+02,9.867655572415366123e+02,-3.949903696609073367e-01,-3.662746962827723718e-01
1.104220844168833651e+02,9.446690441187330407e+02,9.866836912556796051e+02,-3.941098601089329523e-01,-3.853072739023178928e-01
1.110222044408881743e+02,9.444327942863551471e+02,9.866017466829260911e+02,-3.932329621360620697e-01,-4.046259088394918435e-01
1.116223244648929693e+02,9.441970695934802507e+02,9.865197238546917333e+02,-3.923596582774524499e-01,-4.001560374398498987e-01
1.122224444888977644e+02,9.439618678897396649e+02,9.864376231009540561e+02,-3.914899311719766128e-01,-3.906201386862575564e-01
1.128225645129025736e+02,9.437271870360279991e+02,9.863554447502522180e+02,-3.906237635618626802e-01,-4.061710748818225247e-01
1.134226845369073686e+02,9.434930249045033861e+02,9.862731891296870117e+02,-3.897611382923336087e-01,-3.880748342222284930e-01
1.140228045609121779e+02,9.432593793785872549e+02,9.861908565649212051e+02,-3.889020383112495871e-01,-3.934927538683771764e-01
1.146229245849169729e+02,9.430262483529644442e+02,9.861084473801790864e+02,-3.880464466687548741e-01,-3.757837406655927248e-01
1.152230446089217821e+02,9.427936297335830886e+02,9.860259618982468055e+02,-3.871943465169224718e-01,-3.775727998806400199e-01
1.158231646329265772e+02,9.425615214376548465e+02,9.859434004404722600e+02,-3.863457211094052379e-01,-4.134585754837529770e-01
1.164232846569313722e+02,9.423299213936545584e+02,9.858607633267649817e+02,-3.855005538010873867e-01,-3.850835279408142409e-01
1.170234046809361814e+02,9.420988275017626847e+02,9.857780508798042547e+02,-3.846588278333303856e-01,-4.008335028285672785e-01
1.176235247049409764e+02,9.418682376417295927e+02,9.856952634238472228e+02,-3.838205263782024645e-01,-3.727241463857172143e-01
1.182236447289457857e+02,9.416381497769203861e+02,9.856124012737444673e+02,-3.829856331015906168e-01,-3.813045744103123469e-01
1.188237647529505807e+02,9.414085618808502431e+02,9.855294647430306441e+02,-3.821541317631800272e-01,-3.766700772413100751e-01
1.194238847769553757e+02,9.411794719354737708e+02,9.854464541441101346e+02,-3.813260062068678513e-01,-3.919772534949008680e-01
1.200240048009601850e+02,9.409508779311840954e+02,9.853633697882567049e+02,-3.805012403604678406e-01,-3.622169379805128542e-01
1.206241248249649800e+02,9.407227778668138853e+02,9.852802119856137324e+02,-3.796798182354229056e-01,-3.594790845639184718e-01
1.212242448489697892e+02,9.404951697496343286e+02,9.851969810451943204e+02,-3.788617239265107406e-01,-3.895094343527728542e-01
1.218243648729745843e+02,9.402680515953558142e+02,9.851136772748808426e+02,-3.780469416115611048e-01,-3.743187903928979487e-01
1.224244848969793793e+02,9.400414214281278191e+02,9.850303009814255120e+02,-3.772354555511661101e-01,-3.839684798350679884e-01
1.230246049209841885e+02,9.398152772805386803e+02,9.849468524704499259e+02,-3.764272500883985573e-01,-3.766629494570059022e-01
1.236247249449889836e+02,9.395896171936157089e+02,9.848633320464452936e+02,-3.756223096485268864e-01,-3.882786794407725450e-01
1.242248449689937928e+02,9.393644392168253034e+02,9.847797400127722085e+02,-3.748206187387373434e-01,-3.561491635929311395e-01
1.248249649929985878e+02,9.391397414080728367e+02,9.846960766716613307e+02,-3.740221619478495407e-01,-3.837139570586762249e-01
1.254250850170033971e+02,9.389155218337026554e+02,9.846123423242122499e+02,-3.732269239460452304e-01,-3.761877620960201729e-01
1.260252050410081921e+02,9.386917785684980799e+02,9.845285372703943949e+02,-3.724348894845863622e-01,-3.674200601734811666e-01
1.266253250650129871e+02,9.384685096956815187e+02,9.844446618090469201e+02,-3.716460433955435239e-01,-3.781216501797047824e-01
1.272254450890177964e+02,9.382457133069143538e+02,9.843607162378782505e+02,-3.708603705915224924e-01,-3.732534948888455162e-01
1.278255651130225914e+02,9.380233875022968277e+02,9.842767008534665365e+02,-3.700778560653925076e-01,-3.757142545296621727e-01
1.284256851370273864e+02,9.378015303903682707e+02,9.841926159512594268e+02,-3.692984848900166539e-01,-3.706330924383796077e-01
1.290258051610321957e+02,9.375801400881071004e+02,9.841084618255740679e+02,-3.685222422179844637e-01,-3.802276685689874869e-01
1.296259251850370049e+02,9.373592147209305949e+02,9.840242387695973321e+02,-3.677491132813428543e-01,-3.721289940373658789e-01
1.302260452090417857e+02,9.371387524226951200e+02,9.839399470753853620e+02,-3.669790833913344485e-01,-3.690480126384568793e-01
1.308261652330465949e+02,9.369187513356960153e+02,9.838555870338643672e+02,-3.662121379381299002e-01,-3.695493979761712566e-01
1.314262852570514042e+02,9.366992096106675945e+02,9.837711589348294865e+02,-3.654482623905700445e-01,-3.648813628416320842e-01
1.320264052810562134e+02,9.364801254067831451e+02,9.836866630669459255e+02,-3.646874422959014428e-01,-3.676184644894686659e-01
1.326265253050609942e+02,9.362614968916550424e+02,9.836020997177480467e+02,-3.639296632795209208e-01,-3.563975491951271168e-01
1.332266453290658035e+02,9.360433222413345220e+02,9.835174691736401655e+02,-3.631749110447134998e-01,-3.664068703025717966e-01
1.338267653530706127e+02,9.358255996403119070e+02,9.834327717198958680e+02,-3.624231713724009318e-01,-3.637896673353597787e-01
1.344268853770753935e+02,9.356083272815166083e+02,9.833480076406583521e+02,-3.616744301208848489e-01,-3.683222434808433587e-01
