t,A,S,dA_dt,dA_dt_noisy
1.920384076815362939e-01,5.967665927252170481e-03,5.507033072178333119e-06,5.508995923990010410e-03,-2.160262886566967355e-02
2.000400080016003224e-01,6.011913906706202113e-03,5.771549057703143334e-06,5.550841351857861358e-03,-1.333929110781886633e-02
2.080416083216643230e-01,6.056498039038622598e-03,6.039273438334326794e-06,5.593019067978286483e-03,3.845298147426666827e-03
2.160432086417283515e-01,6.101420995413809299e-03,6.310257739899188654e-06,5.635531916816038066e-03,1.413627801052502742e-03
2.240448089617923522e-01,6.146685470319756921e-03,6.584554289041308226e-06,5.678382770421176555e-03,7.814812745407287084e-03
2.320464092818563806e-01,6.192294181568078378e-03,6.862216213220550830e-06,5.721574528518647354e-03,7.894793838744283004e-03
2.400480096019203813e-01,6.238249870294003060e-03,7.143297440713052556e-06,5.765110118598854201e-03,2.694349766910933766e-02
2.480496099219844097e-01,6.284555300956380305e-03,7.427852700611236350e-06,5.808992496009212671e-03,-5.311215130913601347e-03
2.560512102420484104e-01,6.331213261337677659e-03,7.715937522823800159e-06,5.853224644046696803e-03,2.077174572776716022e-03
2.640528105621124388e-01,6.378226562543977407e-03,8.007608238075722862e-06,5.897809574051382335e-03,2.632552564897468542e-02
2.720544108821764118e-01,6.425598039004982651e-03,8.302921977908259184e-06,5.942750325500991727e-03,1.240978028751946183e-02
2.800560112022404402e-01,6.473330548474015567e-03,8.601936674678949016e-06,5.988049966106460953e-03,1.261868368986907712e-02
2.880576115223044686e-01,6.521426973252878768e-03,8.904711133973988041e-06,6.033711593071152714e-03,8.936478761965242074e-04
2.960592118423684971e-01,6.569890231334927881e-03,9.211305720356679439e-06,6.079738343771338982e-03,-1.040101336478518879e-02
3.040608121624324700e-01,6.618723253948803793e-03,9.521781059182309493e-06,6.126133374544985057e-03,7.800780816772396459e-03
3.120624124824964984e-01,6.667928995261727249e-03,9.836198562038170294e-06,6.172899869994879010e-03,7.263040748210354905e-03
3.200640128025605269e-01,6.717510436885620884e-03,1.015462068699846467e-05,6.220041047372337761e-03,-6.053479495073404645e-03
3.280656131226244998e-01,6.767470587877117902e-03,1.047711093862431463e-05,6.267560156686363682e-03,-5.647064611192589845e-04
3.360672134426885282e-01,6.817812484737559471e-03,1.080373386796376481e-05,6.315460480813985152e-03,5.595023683541710396e-03
3.440688137627525567e-01,6.868539191412992122e-03,1.113455507255176717e-05,6.363745335611832241e-03,-3.083770894995941508e-03
3.520704140828165851e-01,6.919653799294172083e-03,1.146964119641019962e-05,6.412418070028893732e-03,5.429718391506721184e-03
3.600720144028805580e-01,6.971159427216562683e-03,1.180905993004785425e-05,6.461482066220517080e-03,7.416312340915060496e-03
3.680736147229445865e-01,7.023059221460335212e-03,1.215288001046044568e-05,6.510940739663631342e-03,6.866803110218488299e-03
3.760752150430086149e-01,7.075356355750368059e-03,1.250117122113060099e-05,6.560797539273193098e-03,1.497880956130044974e-03
3.840768153630725879e-01,7.128054031256246710e-03,1.285400439202786138e-05,6.611055947519894373e-03,1.254853666537812315e-02
3.920784156831366163e-01,7.181155476592267217e-03,1.321145139960869910e-05,6.661719480549102221e-03,1.557338902337238561e-02
4.000800160032006447e-01,7.234663947817430128e-03,1.357358516681649203e-05,6.712791688301054244e-03,9.921274733966692003e-03
4.080816163232646732e-01,7.288582728435443955e-03,1.394047966308153730e-05,6.764276154632324796e-03,-1.418026119270746239e-03
4.160832166433286461e-01,7.342915129394726910e-03,1.431220990432105290e-05,6.816176497438544528e-03,1.413269933529295169e-02
4.240848169633926745e-01,7.397664492988541458e-03,1.468885220680220938e-05,6.868496372504567099e-03,1.854096187834043848e-03
4.320864172834567030e-01,7.452834200423953670e-03,1.507048472594136651e-05,6.921239480871234362e-03,1.571284566375108840e-02
4.400880176035207314e-01,7.508427647150974112e-03,1.545718586443541260e-05,6.974409545394820442e-03,-3.743464623379620659e-03
4.480896179235847043e-01,7.564448258966790378e-03,1.584903526383257146e-05,7.028010326254428321e-03,1.617268235754223960e-02
4.560912182436487328e-01,7.620899493978277976e-03,1.624611392928002507e-05,7.082045622965035814e-03,6.881411076810231391e-03
4.640928185637127612e-01,7.677784842602002058e-03,1.664850422952386099e-05,7.136519274517811283e-03,-5.350969628826343118e-03
4.720944188837767341e-01,7.735107827564211350e-03,1.705628989690910802e-05,7.191435159521911667e-03,4.052440439853434093e-03
4.800960192038407626e-01,7.792872003900845959e-03,1.746955602737973614e-05,7.246797196347827021e-03,7.787819984063266282e-03
4.880976195239047910e-01,7.851080958957533038e-03,1.788838908047863958e-05,7.302609343272216044e-03,1.003052273491675424e-02
4.960992198439688194e-01,7.909738312389587647e-03,1.831287687934764024e-05,7.358875598624288125e-03,-2.463005650785488748e-03
5.041008201640327924e-01,7.968847716162011027e-03,1.874310861072749442e-05,7.415600000933716268e-03,-3.658130470718213428e-03
5.121024204840968208e-01,8.028412854549494063e-03,1.917917482495790644e-05,7.472786629080086125e-03,9.468631957550894401e-03
5.201040208041608492e-01,8.088437444136413815e-03,1.962116743597749126e-05,7.530439602443899337e-03,2.862943433645878492e-03
5.281056211242248777e-01,8.148925233816835256e-03,2.006917972132380172e-05,7.588563081059138994e-03,9.943619198361390576e-03
5.361072214442889061e-01,8.209880004794514741e-03,2.052330632213333520e-05,7.647161265767383337e-03,1.524235649055117464e-02
5.441088217643528235e-01,8.271305570582889594e-03,2.098364324314149642e-05,7.706238398373499790e-03,-8.781635265135983789e-03
5.521104220844168520e-01,8.333205777388233426e-03,2.145028787962144354e-05,7.765798762171450056e-03,1.030967992734762272e-02
5.601120224044808804e-01,8.395584519014565039e-03,2.192334009489309776e-05,7.825846696447149101e-03,2.007231637180447240e-02
5.681136227245449088e-01,8.458445713541103139e-03,2.240290063742200529e-05,7.886386574217600989e-03,4.911118130512868649e-03
5.761152230446089373e-01,8.521793307506249360e-03,2.288907136754401956e-05,7.947422806406329726e-03,-1.607230259693705199e-04
5.841168233646729657e-01,8.585631285504519150e-03,2.338195591777470395e-05,8.008959851246876330e-03,1.553139812304280346e-02
5.921184236847369942e-01,8.649963670186538306e-03,2.388165969280933520e-05,8.071002214460889015e-03,1.060546737654230465e-02
6.001200240048009116e-01,8.714794522259041235e-03,2.438828986952291697e-05,8.133554449438090347e-03,1.709238515721369506e-02
6.081216243248649400e-01,8.780127940484877894e-03,2.490195539697016969e-05,8.196621157418138709e-03,4.744464056905341870e-03
6.161232246449289685e-01,8.845968061683010322e-03,2.542276699638552711e-05,8.260206987674309498e-03,-6.557975749547802907e-03
6.241248249649929969e-01,8.912319060728505701e-03,2.595083716118313976e-05,8.324316637699124416e-03,7.224208990586614663e-03
6.321264252850570253e-01,8.979185150552548497e-03,2.648628015695687492e-05,8.388954853391835179e-03,3.930673323279513381e-03
6.401280256051210538e-01,9.046570582142433523e-03,2.702921202148031660e-05,8.454126429247813684e-03,1.620736464972355462e-02
6.481296259251850822e-01,9.114479644541564202e-03,2.757975056470677574e-05,8.519836208549860790e-03,1.045616469232139856e-02
6.561312262452489996e-01,9.182916664849457775e-03,2.813801536876925293e-05,8.586089083561404198e-03,-7.722403240789607951e-03
6.641328265653130281e-01,9.251886008221743563e-03,2.870412778798050953e-05,8.652889995721639235e-03,-3.298740805310359722e-03
6.721344268853770565e-01,9.321392077870159498e-03,2.927821094883299317e-05,8.720243935842551808e-03,1.755813430171510731e-02
6.801360272054410849e-01,9.391439315141851540e-03,2.986038975605803035e-05,8.788155944384770657e-03,1.558580611856323628e-02
6.881376275255051134e-01,9.462032215208212790e-03,3.045079212110530611e-05,8.856631126870299214e-03,2.454197467785411944e-03
6.961392278455691418e-01,9.533175306522779016e-03,3.104954746794292143e-05,8.925674634195208262e-03,8.915186668522400923e-03
7.041408281656331702e-01,9.604873148569979119e-03,3.165678648427434336e-05,8.995291660638945336e-03,1.345102719840080702e-02
7.121424284856970877e-01,9.677130345684334389e-03,3.227264215586485166e-05,9.065487457473759073e-03,1.374953081594653889e-02
7.201440288057611161e-01,9.749951547050455039e-03,3.289724976654156936e-05,9.136267333190244491e-03,1.789868929433374722e-02
7.281456291258251445e-01,9.823341446703043670e-03,3.353074689819343895e-05,9.207636653725221471e-03,1.177249292594084035e-02
7.361472294458891730e-01,9.897304783526886598e-03,3.417327343077123601e-05,9.279600842691866636e-03,8.331317453006885018e-03
7.441488297659532014e-01,9.971846341256867738e-03,3.482497154228754883e-05,9.352165381612181916e-03,6.763684733733726397e-03
7.521504300860172298e-01,1.004697094847795819e-02,3.548598570881681232e-05,9.425335810151699162e-03,1.998276381548421202e-02
7.601520304060812583e-01,1.012268347862521622e-02,3.615646270449528090e-05,9.499117726356554395e-03,-1.300942502442882336e-02
7.681536307261451757e-01,1.019898884998379079e-02,3.683655160152103528e-05,9.573516786892824135e-03,8.186963535979450285e-03
7.761552310462092041e-01,1.027589202568892843e-02,3.752640377015399598e-05,9.648538707288219218e-03,9.978539747128820428e-03
7.841568313662732326e-01,1.035339801372595590e-02,3.822617287871589626e-05,9.724189262176040696e-03,-4.529300346525835796e-03
7.921584316863372610e-01,1.043151186693029239e-02,3.893601489359031602e-05,9.800474285541489750e-03,1.312861041692195592e-02
8.001600320064012895e-01,1.051023868298745292e-02,3.965608807922264107e-05,9.877399670970312545e-03,3.364589546536372877e-03
8.081616323264653179e-01,1.058958360575407848e-02,4.038655310841780691e-05,9.954971373190582562e-03,1.857941933634804990e-02
8.161632326465293463e-01,1.066955184464932031e-02,4.112757473311744243e-05,1.003319542728731487e-02,8.777274586944043555e-03
8.241648329665933748e-01,1.075014863985734870e-02,4.187931895034891676e-05,1.011207791497382297e-02,1.680361032286835019e-02
8.321664332866572922e-01,1.083137927521160039e-02,4.264195397607102464e-05,1.019162497742378062e-02,2.238006102913601275e-02
8.401680336067213206e-01,1.091324908743399567e-02,4.341565100061593968e-05,1.027184282457660122e-02,1.410113865171132470e-02
8.481696339267853491e-01,1.099576346613493315e-02,4.420058418868910596e-05,1.035273773542223427e-02,1.595526301193779875e-03
8.561712342468493775e-01,1.107892785381329494e-02,4.499693067936933290e-05,1.043431605828879297e-02,-4.708870258757592159e-03
8.641728345669134059e-01,1.116274774585644322e-02,4.580487058610874782e-05,1.051658421113287230e-02,2.805042538629660270e-02
8.721744348869774344e-01,1.124722869054022370e-02,4.662458699673279594e-05,1.059954868183269130e-02,9.486626749957496885e-03
8.801760352070414628e-01,1.133237628902895866e-02,4.745626597344026749e-05,1.068321602848392761e-02,3.797566552140711239e-03
8.881776355271053802e-01,1.141819619537545738e-02,4.830009655280325705e-05,1.076759287969837435e-02,1.221016376030662452e-02
8.961792358471694087e-01,1.150469411652100746e-02,4.915627074576723129e-05,1.085268593490531716e-02,8.938572630078824716e-03
9.041808361672334371e-01,1.159187581229538001e-02,5.002498353765094771e-05,1.093850196465569712e-02,1.945992460678257208e-02
9.121824364872974655e-01,1.167974709541682449e-02,5.090643288814650203e-05,1.102504781092900413e-02,1.136432963530000645e-02
9.201840368073614940e-01,1.176831383149207211e-02,5.180081973131930786e-05,1.111233038744295284e-02,1.124982622362714728e-02
9.281856371274255224e-01,1.185758193901633936e-02,5.270834797560814414e-05,1.120035667996589941e-02,4.054559469636258816e-03
9.361872374474895508e-01,1.194755740076228548e-02,5.362922554855719829e-05,1.128913375786162569e-02,1.598481474533655980e-02
9.441888377675534683e-01,1.203824626410839212e-02,5.456366455024528320e-05,1.137866877476344241e-02,1.040001551213616884e-03
9.521904380876174967e-01,1.212965461068419952e-02,5.551187844949056891e-05,1.146896893896415075e-02,1.812786333660382221e-02
9.601920384076815251e-01,1.222178858364506709e-02,5.647408447994839523e-05,1.156004154062763127e-02,2.679941667052895132e-02
9.681936387277455536e-01,1.231465438854978042e-02,5.745050371886903894e-05,1.165189395300856613e-02,-3.594966427982952684e-03
9.761952390478095820e-01,1.240825829336053218e-02,5.844136108709770019e-05,1.174453363281062132e-02,-1.291775868070255823e-02
9.841968393678736104e-01,1.250260662844293082e-02,5.944688534907451613e-05,1.183796812054784681e-02,1.800675567209104183e-02
9.921984396879376389e-01,1.259770578656599881e-02,6.046730911283450661e-05,1.193220504090938654e-02,3.741118319574064655e-02
1.000200040008001556e+00,1.269356222290217440e-02,6.150286883000764880e-05,1.202725210312739247e-02,2.018003614408455521e-03
1.008201640328065585e+00,1.279018245502731160e-02,6.255380479581882291e-05,1.212311710134819816e-02,-3.838404866716837310e-04
1.016203240648129613e+00,1.288757306292067327e-02,6.362036114908786646e-05,1.221980791500671369e-02,1.810949725281145103e-02
1.024204840968193642e+00,1.298574068896493974e-02,6.470278587222946581e-05,1.231733250920404726e-02,3.910116608620969533e-03
1.032206441288257670e+00,1.308469203794620714e-02,6.580133079125330528e-05,1.241569893508835849e-02,7.355444095720994543e-03
1.040208041608321698e+00,1.318443387705398213e-02,6.691625157576394515e-05,1.251491533023884120e-02,9.033740663401061688e-03
1.048209641928385727e+00,1.328497303588118718e-02,6.804780773896087587e-05,1.261498991905300217e-02,1.793501078197098919e-02
1.056211242248449755e+00,1.338631641351662079e-02,6.919626334041552025e-05,1.271593102019533301e-02,8.662907406264146529e-03
1.064212842568513784e+00,1.348847099418787332e-02,7.036188865129856991e-05,1.281774706259024982e-02,1.559657546339185061e-02
1.072214442888577812e+00,1.359144380095924677e-02,7.154495560520463134e-05,1.292044653975298919e-02,1.115511395081723520e-02
1.080216043208641841e+00,1.369524192654621511e-02,7.274574070616341944e-05,1.302403804084175006e-02,4.577327004325717694e-03
1.088217643528705647e+00,1.379987253733129526e-02,7.396452541840307948e-05,1.312853025509200071e-02,9.930267677659790695e-03
1.096219243848769676e+00,1.390534287336406098e-02,7.520159616635030907e-05,1.323393197226054377e-02,3.729935320581356795e-03
1.104220844168833704e+00,1.401166024836112724e-02,7.645724433463018201e-05,1.334025208307331421e-02,1.340540194177080278e-02
1.112222444488897732e+00,1.411883204970615889e-02,7.773176626806625668e-05,1.344749957967691055e-02,2.208837304020544803e-03
1.120224044808961761e+00,1.422686573844987069e-02,7.902546327168057604e-05,1.355568355609388688e-02,2.626739863141455342e-03
1.128225645129025789e+00,1.433576884931002035e-02,8.033864161069365409e-05,1.366481320868168439e-02,2.823443136173423712e-02
1.136227245449089818e+00,1.444554899067141893e-02,8.167161251052442166e-05,1.377489783659529080e-02,1.324305563354187705e-02
1.144228845769153846e+00,1.455621384458592391e-02,8.302469215679033482e-05,1.388594684225352011e-02,1.334692658753309016e-02
1.152230446089217875e+00,1.466777116677243746e-02,8.439820169530726647e-05,1.399796973180894404e-02,1.911333393098513245e-02
1.160232046409281903e+00,1.478022878661691686e-02,8.579246723208958764e-05,1.411097611562137956e-02,9.902406090132667704e-03
1.168233646729345931e+00,1.489359460717236058e-02,8.720781983335012687e-05,1.422497570873497603e-02,1.193962203395339608e-02
1.176235247049409960e+00,1.500787661522122798e-02,8.864459660916457835e-05,1.433997834147402936e-02,1.859146569479312033e-02
1.184236847369473988e+00,1.512308289445499568e-02,9.010314228414568897e-05,1.445599397321874896e-02,1.728015239566276298e-02
1.192238447689538017e+00,1.523922157607433131e-02,9.158380390139560017e-05,1.457303264324645402e-02,2.980065373922157618e-03
1.200240048009601823e+00,1.535630087507423858e-02,9.308693456016380410e-05,1.469110450768574411e-02,2.302453047438236117e-02
1.208241648329665852e+00,1.547432909344589359e-02,9.461289375371262128e-05,1.481021984327585139e-02,8.905870410385421584e-03
1.216243248649729880e+00,1.559331462017662061e-02,9.616204736931699740e-05,1.493038904791375507e-02,4.369599544771896049e-03
1.224244848969793908e+00,1.571326593124991108e-02,9.773476768826459815e-05,1.505162264120544179e-02,6.046871941214924245e-03
1.232246449289857937e+00,1.583419158964541329e-02,9.933143338585582278e-05,1.517393126502134502e-02,1.126847782146811645e-02
1.240248049609921965e+00,1.595610024533894097e-02,1.009524295314037499e-04,1.529732568405586281e-02,3.157032823028653457e-02
1.248249649929985994e+00,1.607900063530245602e-02,1.025981475882342187e-04,1.542181678639093466e-02,3.666457737183128479e-03
1.256251250250050022e+00,1.620290158350409793e-02,1.042689854136857343e-04,1.554741558406361017e-02,1.714817450940701871e-02
1.264252850570114051e+00,1.632781200090815607e-02,1.059653472591095354e-04,1.567413321363759701e-02,-5.704110367268176024e-03
1.272254450890178079e+00,1.645374088547508010e-02,1.076876437698695804e-04,1.580198093677866525e-02,1.578631160532669581e-02
1.280256051210242108e+00,1.658069732216148340e-02,1.094362919853425074e-04,1.593097014083391313e-02,2.492663431559398457e-02
1.288257651530306136e+00,1.670869048292013964e-02,1.112117153389177151e-04,1.606111233941483890e-02,1.369447911880028804e-02
1.296259251850370164e+00,1.683772965284987752e-02,1.130143467376832289e-04,1.619241919955847347e-02,9.898869960725054443e-03
1.304260852170434193e+00,1.696782420490284063e-02,1.148446258493043880e-04,1.632490251669212189e-02,1.864001315727750047e-02
1.312262452490497999e+00,1.709898358241914926e-02,1.167029969072191914e-04,1.645857419745794595e-02,2.346009170896445201e-02
1.320264052810562028e+00,1.723121733148764642e-02,1.185899123785204306e-04,1.659344629321075210e-02,2.323002200338481968e-02
1.328265653130626056e+00,1.736453510095321146e-02,1.205058329648017740e-04,1.672953100068932941e-02,3.645426953998724684e-02
1.336267253450690085e+00,1.749894664241676348e-02,1.224512276021578615e-04,1.686684066268481774e-02,1.895851538604758496e-02
1.344268853770754113e+00,1.763446181023525794e-02,1.244265734611843185e-04,1.700538776871340918e-02,1.108128677118408456e-02
1.352270454090818141e+00,1.777109056152170394e-02,1.264323559469776744e-04,1.714518495569346962e-02,1.588539305582704203e-02
1.360272054410882170e+00,1.790884295614514343e-02,1.284690686991354978e-04,1.728624500862672997e-02,1.656125955242860812e-02
1.368273654730946198e+00,1.804772915673066164e-02,1.305372135917562751e-04,1.742858086128375866e-02,1.851595469606494640e-02
1.376275255051010227e+00,1.818775942865939049e-02,1.326373007334394371e-04,1.757220559689341710e-02,1.727192746459906697e-02
1.384276855371074255e+00,1.832894414006849132e-02,1.347698484672853864e-04,1.771713244883623556e-02,1.945679183779826932e-02
1.392278455691138284e+00,1.847129376185118257e-02,1.369353833708954974e-04,1.786337480134172345e-02,1.154874195190596503e-03
1.400280056011202312e+00,1.861481886765671209e-02,1.391344402563721161e-04,1.801094619018933987e-02,2.630723575058976915e-02
1.408281656331266340e+00,1.875953014450560535e-02,1.413675635176935713e-04,1.815986031431924067e-02,1.241246762510891596e-02
1.416283256651330369e+00,1.890543841603228511e-02,1.436353102851944594e-04,1.831013106048048553e-02,6.578544096010238360e-03
1.424284856971394175e+00,1.905255457527393545e-02,1.459382419611260460e-04,1.846177243491906386e-02,2.483928403133342164e-02
1.432286457291458204e+00,1.920088963077321020e-02,1.482769298146495386e-04,1.861479861144046261e-02,3.178805868530128198e-02
1.440288057611522232e+00,1.935045471243565171e-02,1.506519557110989828e-04,1.876922393822113080e-02,2.369950543321555636e-02
1.448289657931586261e+00,1.950126107152971508e-02,1.530639121119816413e-04,1.892506293861107719e-02,2.053665607706628080e-02
1.456291258251650289e+00,1.965332008068674391e-02,1.555134020749778315e-04,1.908233031194070048e-02,9.760127258221179200e-03
1.464292858571714318e+00,1.980664323390099457e-02,1.580010392539410338e-04,1.924104093433179688e-02,4.795671431246678607e-02
1.472294458891778346e+00,1.996124214652960846e-02,1.605274478988977834e-04,1.940120985951251237e-02,2.820379606612759271e-02
1.480296059211842374e+00,2.011712855529263974e-02,1.630932628560477244e-04,1.956285231963615645e-02,8.169905616206398283e-03
1.488297659531906403e+00,2.027431431827303801e-02,1.656991295677635824e-04,1.972598372610370396e-02,1.192960456370625866e-02
1.496299259851970431e+00,2.043281141491665176e-02,1.683457040725911649e-04,1.989061967038981138e-02,2.076041215610885393e-02
1.504300860172034460e+00,2.059263194603223185e-02,1.710336530052494698e-04,2.005677592487217428e-02,4.509464604912312435e-03
1.512302460492098488e+00,2.075378813379142803e-02,1.737636535966304951e-04,2.022446844366412519e-02,2.191077251376926868e-02
1.520304060812162517e+00,2.091629232858355225e-02,1.765363946184509314e-04,2.039371337057531083e-02,1.580299781344771809e-02
1.528305661132226545e+00,2.108015704641248364e-02,1.793525817415270206e-04,2.056452707888321157e-02,3.282723308204538171e-02
1.536307261452290351e+00,2.124539488932002118e-02,1.822129267270237974e-04,2.073692608951289637e-02,3.035847272579536571e-02
1.544308861772354380e+00,2.141201859036802671e-02,1.851181533025752092e-04,2.091092711860687015e-02,-6.201927255740855016e-03
1.552310462092418408e+00,2.158004102590194845e-02,1.880689988212091209e-04,2.108654709120932891e-02,2.150357295148245390e-02
1.560312062412482437e+00,2.174947521555082794e-02,1.910662142613475320e-04,2.126380314221725659e-02,5.089128146980374107e-03
1.568313662732546465e+00,2.192033432222731740e-02,1.941105642268065490e-04,2.144271261733510583e-02,3.253909260982033869e-02
1.576315263052610494e+00,2.209263165212764501e-02,1.972028269467963858e-04,2.162329307403251799e-02,2.330435176531076014e-02
1.584316863372674522e+00,2.226638065473165312e-02,2.003437942759213905e-04,2.180556228250519341e-02,2.728961680437516635e-02
1.592318463692738550e+00,2.244159492280276696e-02,2.035342716941799103e-04,2.198953822663842969e-02,1.133829093860543903e-02
1.600320064012802579e+00,2.261828819238801899e-02,2.067750783069645078e-04,2.217523910497318576e-02,4.045954148492818953e-02
1.608321664332866607e+00,2.279647434281802457e-02,2.100670468450617447e-04,2.236268333167436284e-02,4.256341700317881060e-02
1.616323264652930636e+00,2.297616739670700972e-02,2.134110236646523709e-04,2.255188953750107694e-02,1.190417911123895119e-02
1.624324864972994664e+00,2.315738151995278687e-02,2.168078687473111628e-04,2.274287657077860708e-02,2.647102778944177004e-02
1.632326465293058693e+00,2.334013103365959602e-02,2.202584574974953769e-04,2.293566351091906944e-02,1.620263922701720150e-02
1.640328065613122721e+00,2.352443044823646426e-02,2.237636861739270369e-04,2.313026970536563587e-02,2.289457033675831518e-02
1.648329665933186750e+00,2.371029437588302244e-02,2.273244588220443168e-04,2.332671467852154290e-02,1.067034488627590337e-02
1.656331266253250556e+00,2.389773758877683854e-02,2.309416956567028395e-04,2.352501819393935933e-02,4.219647333974554937e-02
1.664332866573314584e+00,2.408677502812649196e-02,2.346163344016473687e-04,2.372520026494457160e-02,1.403340515411789086e-02
1.672334466893378613e+00,2.427742180417153534e-02,2.383493302895111320e-04,2.392728115574181691e-02,2.096644300576687089e-02
1.680336067213442641e+00,2.446969319618251884e-02,2.421416560618163349e-04,2.413128138252275401e-02,2.914611069362797735e-02
1.688337667533506670e+00,2.466360465246097977e-02,2.459943019689739448e-04,2.433722171457478045e-02,1.786161493041349413e-02
1.696339267853570698e+00,2.485917179033944602e-02,2.499082757702837448e-04,2.454512317539061031e-02,2.215199887806758999e-02
1.704340868173634727e+00,2.505641039618144300e-02,2.538846027339343339e-04,2.475500704377802536e-02,1.911860857950838100e-02
1.712342468493698755e+00,2.525533642538147980e-02,2.579243256370031268e-04,2.496689485496958807e-02,2.363228730660664814e-02
1.720344068813762783e+00,2.545596600236505955e-02,2.620285047654564081e-04,2.518080840173182039e-02,1.347538205072879199e-02
1.728345669133826812e+00,2.565831542058866904e-02,2.661982179141492242e-04,2.539676973547337624e-02,2.101688897945036896e-02
1.736347269453890840e+00,2.586240114253979261e-02,2.704345603868253288e-04,2.561480116735187149e-02,2.354587192022943032e-02
1.744348869773954869e+00,2.606823983579992232e-02,2.747386509940524042e-04,2.583492530782910759e-02,2.249766526978775813e-02
1.752350470094018897e+00,2.627584835332806221e-02,2.791116293184865552e-04,2.605716504690668359e-02,2.662406459584463342e-02
1.760352070414082926e+00,2.648524368505813728e-02,2.835546474579632090e-04,2.628154350361010597e-02,2.335052131004289322e-02
1.768353670734146732e+00,2.669644301957115398e-02,2.880688799121686205e-04,2.650808409287728692e-02,3.404019817727109432e-02
1.776355271054210760e+00,2.690946374460063961e-02,2.926555236650614641e-04,2.673681052735121799e-02,2.350485126949291778e-02
1.784356871374274789e+00,2.712432344703260417e-02,2.973157981848723454e-04,2.696774681863213161e-02,2.560125085567328818e-02
1.792358471694338817e+00,2.734103991290555771e-02,3.020509454241041805e-04,2.720091727852702590e-02,2.055310391856850216e-02
1.800360072014402846e+00,2.755963112741052420e-02,3.068622298195320883e-04,2.743634652029603924e-02,2.217119811914367022e-02
1.808361672334466874e+00,2.778011527489102073e-02,3.117509382922033895e-04,2.767405945989492161e-02,1.502913155169779795e-02
1.816363272654530903e+00,2.800251073884306788e-02,3.167183802474375534e-04,2.791408131721315189e-02,3.310193052599279262e-02
1.824364872974594931e+00,2.822683610191519324e-02,3.217658875748264681e-04,2.815643761730695846e-02,1.673125744078203525e-02
1.832366473294658960e+00,2.845311014590841750e-02,3.268948146482340616e-04,2.840115419162662219e-02,2.094259020974337249e-02
1.840368073614722988e+00,2.868135185177627181e-02,3.321065383257964642e-04,2.864825717923737830e-02,3.224070369934942115e-02
1.848369673934787016e+00,2.891158041207945659e-02,3.374024602100524593e-04,2.889777304148216999e-02,3.292350670092749482e-02
