t,S,E,I,R,dI_dt,dI_dt_noisy
4.800960192038407071e-01,9.987514470706635166e+02,1.185965940440844441e-01,1.078105003769010972e+00,5.185133152331856954e-02,1.801017319525466398e-01,1.841728222117184066e-01
5.041008201640327924e-01,9.987385114386244140e+02,1.244840507777093541e-01,1.082449629649867573e+00,5.455488094791431652e-02,1.818788961523511438e-01,4.407744350266593059e-02
5.281056211242247667e-01,9.987255237517788373e+02,1.303694405448306559e-01,1.086836979875773102e+00,5.726982780052956856e-02,1.836613923550358130e-01,8.306932995541393971e-01
5.521104220844168520e-01,9.987124835009477692e+02,1.362530285227354088e-01,1.091267183206067193e+00,5.999628732339534753e-02,1.854492851754494520e-01,6.888114428283466095e-01
5.761152230446089373e-01,9.986993901753801310e+02,1.421350794381238958e-01,1.095740369956988758e+00,6.273437522474489825e-02,1.872426392791056715e-01,-1.168338600203878475e+00
6.001200240048009116e-01,9.986862432627523276e+02,1.480158575671095544e-01,1.100256672001676872e+00,6.548420767881363291e-02,1.890415193812234884e-01,-7.554651036026128752e-01
6.241248249649929969e-01,9.986730422491687023e+02,1.538956267352191154e-01,1.104816222770170109e+00,6.824590132583929769e-02,1.908459902457581570e-01,1.034599442181771828e-01
6.481296259251849712e-01,9.986597866191610819e+02,1.597746503173924637e-01,1.109419157249406762e+00,7.101957327206176451e-02,1.926561166844217854e-01,-1.843908910375499643e-02
6.721344268853770565e-01,9.986464758556890047e+02,1.656531912379827498e-01,1.114065611983225068e+00,7.380534108972319762e-02,1.944719635556943216e-01,3.012934623049998706e-01
6.961392278455690308e-01,9.986331094401397195e+02,1.715315119707562785e-01,1.118755725072363427e+00,7.660332281706791480e-02,1.962935957638253792e-01,3.049545612751071721e-01
7.201440288057611161e-01,9.986196868523257990e+02,1.774098745404001642e-01,1.123489636174697992e+00,7.941363695910494402e-02,1.981210782581562801e-01,1.257040455783680510e+00
7.441488297659530904e-01,9.986062075702815264e+02,1.832885406424407115e-01,1.128267486523195196e+00,8.223640255281870759e-02,1.999544760583719105e-01,-3.560559052877687591e-01
7.681536307261451757e-01,9.985926710706312406e+02,1.891677714186700276e-01,1.133089418886284561e+00,8.507173906379417172e-02,2.017938542034131144e-01,1.299135063991407879e-02
7.921584316863372610e-01,9.985790768284425667e+02,1.950478275521020100e-01,1.137955577582816513e+00,8.791976642244331286e-02,2.036392777713624813e-01,1.225025081517527648e+00
8.161632326465292353e-01,9.985654243170145037e+02,2.009289693961756607e-01,1.142866108502854194e+00,9.078060508640224679e-02,2.054908119069036032e-01,5.288423100078269989e-01
8.401680336067213206e-01,9.985517130078769696e+02,2.068114569747552534e-01,1.147821159107673017e+00,9.365437604053128418e-02,2.073485218202533731e-01,5.388802080083842094e-01
8.641728345669132949e-01,9.985379423707911428e+02,2.126955499821301943e-01,1.152820878429761331e+00,9.654120079691480560e-02,2.092124727860829869e-01,-4.779071305764845401e-02
8.881776355271053802e-01,9.985241118737492343e+02,2.185815077830149944e-01,1.157865417072819536e+00,9.944120139486140042e-02,2.110827301424282876e-01,-6.129548552853980592e-01
9.121824364872973545e-01,9.985102209829747153e+02,2.244695894125493252e-01,1.162954927211760081e+00,1.023545004009037557e-01,2.129593592895899778e-01,2.966917314009605566e-01
9.361872374474894398e-01,9.984962691629222036e+02,2.303600535762981294e-01,1.168089562592708575e+00,1.052812209087987116e-01,2.148424256890227313e-01,2.693494695997964983e-01
9.601920384076814141e-01,9.984822558762772360e+02,2.362531586502513714e-01,1.173269478533002452e+00,1.082214865395272341e-01,2.167319948622133119e-01,-3.969440322600737980e-01
9.841968393678734994e-01,9.984681805839566096e+02,2.421491626808242037e-01,1.178494831921191865e+00,1.111754214412944697e-01,2.186281323895484241e-01,-1.229851985007326953e-01
1.008201640328065585e+00,9.984540427449276194e+02,2.480483234862107256e-01,1.183765781236896464e+00,1.141431503492691818e-01,2.205309039320047793e-01,1.845090640683910710e-01
1.032206441288257670e+00,9.984398418164093982e+02,2.539508985353672310e-01,1.189082486521161997e+00,1.171247985340645864e-01,2.224403752018795366e-01,-2.499354363285091751e-01
1.056211242248449533e+00,9.984255772540384442e+02,2.598571448620711766e-01,1.194445109358159396e+00,1.201204917412981021e-01,2.243566119420757898e-01,1.752216280159671624e-01
1.080216043208641619e+00,9.984112485114729907e+02,2.657673192930298245e-01,1.199853812922318630e+00,1.231303563116128291e-01,2.262796799766667033e-01,2.740211937113938845e-01
1.104220844168833704e+00,9.983968550403902782e+02,2.716816784495124093e-01,1.205308761978659549e+00,1.261545191815776623e-01,2.282096452100660366e-01,2.460027637378088827e-01
1.128225645129025789e+00,9.983823962904862128e+02,2.776004787473503876e-01,1.210810122882793660e+00,1.291931078836874580e-01,2.301465736258185291e-01,-2.299925553133885803e-02
1.152230446089217875e+00,9.983678717094758213e+02,2.835239763969371607e-01,1.216358063580922799e+00,1.322462505463629368e-01,2.320905312853777103e-01,5.289645671782891023e-01
1.176235247049409738e+00,9.983532807430930234e+02,2.894524274032282962e-01,1.221952753609839792e+00,1.353140758939506416e-01,2.340415843268726925e-01,6.796250614680369173e-01
1.200240048009601823e+00,9.983386228350906322e+02,2.953860875657415286e-01,1.227594364096928015e+00,1.383967132467231742e-01,2.359997989638630000e-01,3.964239512471448568e-01
1.224244848969793908e+00,9.983238974272403539e+02,3.013252124785565367e-01,1.233283067760162499e+00,1.414942925208788893e-01,2.379652414840818797e-01,-1.711498722110716408e-01
1.248249649929985994e+00,9.983091039593330152e+02,3.072700575303151660e-01,1.239019038908107939e+00,1.446069442285420892e-01,2.399379782481674828e-01,6.057641201408878739e-01
1.272254450890177857e+00,9.982942418691781086e+02,3.132208779042213731e-01,1.244802453439920908e+00,1.477347994777628848e-01,2.419180756883823613e-01,-8.801933545143802995e-03
1.296259251850369942e+00,9.982793105923693702e+02,3.191779287019528843e-01,1.250633488874782095e+00,1.508779900539328200e-01,2.439056003359127978e-01,6.834859094799055068e-01
1.320264052810562028e+00,9.982643095625835485e+02,3.251414647765330512e-01,1.256512324303405315e+00,1.540366483365938899e-01,2.459006187797458942e-01,-2.899930896589761886e-01
1.344268853770754113e+00,9.982492382117251282e+02,3.311117406639796368e-01,1.262439140371416579e+00,1.572109072395386498e-01,2.479031976495535139e-01,7.051367992139441210e-01
1.368273654730946198e+00,9.982340959694922731e+02,3.370890108198070223e-01,1.268414119339231538e+00,1.604009003487187890e-01,2.499134036694612704e-01,2.398816763617210579e-01
1.392278455691138062e+00,9.982188822633754626e+02,3.430735296196774642e-01,1.274437445082215792e+00,1.636067619226443393e-01,2.519313036568455733e-01,-3.724431415103621745e-01
1.416283256651330147e+00,9.982035965186576050e+02,3.490655513594014270e-01,1.280509303090686446e+00,1.668286268923837579e-01,2.539569645209659443e-01,9.700722853754206731e-02
1.440288057611522232e+00,9.981882381584135828e+02,3.550653302549370838e-01,1.286629880469911003e+00,1.700666308615637889e-01,2.559904532615851491e-01,2.830415926473570654e-01
1.464292858571714318e+00,9.981728066035111624e+02,3.610731204423907048e-01,1.292799365940108025e+00,1.733209101063695190e-01,2.580318369675761447e-01,3.944275065498030197e-01
1.488297659531906181e+00,9.981573012726100842e+02,3.670891759780162134e-01,1.299017949836446695e+00,1.765916015755443491e-01,2.600811828155164540e-01,-2.310128796549724139e-01
1.512302460492098266e+00,9.981417215821624040e+02,3.731137508382159629e-01,1.305285824109046811e+00,1.798788428903901337e-01,2.621385580682699112e-01,-2.915479655143266013e-01
1.536307261452290351e+00,9.981260669464127204e+02,3.791470989195398489e-01,1.311603182322979677e+00,1.831827723447670420e-01,2.642040300735545300e-01,3.639962964970949733e-01
1.560312062412482437e+00,9.981103367773979471e+02,3.851894740386859750e-01,1.317970219658266107e+00,1.865035289050935019e-01,2.662776662624986024e-01,3.290285782259758096e-02
1.584316863372674522e+00,9.980945304849112745e+02,3.912411299506655671e-01,1.324387132915085363e+00,1.898412522230708277e-01,2.683595341524906974e-01,3.861123400176033060e-01
1.608321664332866385e+00,9.980786474761675890e+02,3.973023205120737589e-01,1.330854120555738929e+00,1.931960827646709844e-01,2.704497013837429131e-01,6.502094626229324437e-01
1.632326465293058471e+00,9.980626871565984857e+02,4.033732992778664705e-01,1.337371382580253121e+00,1.965681615434159424e-01,2.725482356209434354e-01,-5.518454475545307991e-01
1.656331266253250556e+00,9.980466489293783070e+02,4.094543197516933297e-01,1.343939120603651727e+00,1.999576302664323457e-01,2.746552046119336010e-01,4.018492628707422409e-01
1.680336067213442641e+00,9.980305321952332633e+02,4.155456354832502974e-01,1.350557537884846004e+00,2.033646313987140519e-01,2.767706762094109263e-01,8.890941599772770321e-01
1.704340868173634505e+00,9.980143363524420010e+02,4.216475000682798902e-01,1.357226839326634904e+00,2.067893081631220487e-01,2.788947183693888388e-01,1.301312961841522287e-01
1.728345669133826590e+00,9.979980607968353752e+02,4.277601671485709578e-01,1.363947231475705069e+00,2.102318045403847313e-01,2.810273991496408108e-01,-1.243798924691441599e-01
1.752350470094018675e+00,9.979817049217963358e+02,4.338838904119588502e-01,1.370718922522630390e+00,2.136922652690974866e-01,2.831687867081319476e-01,6.592907002979283559e-01
1.776355271054210760e+00,9.979652681182601555e+02,4.400189235923253062e-01,1.377542122301873118e+00,2.171708358457230259e-01,2.853189493014358646e-01,4.120422074055065664e-01
1.800360072014402846e+00,9.979487497747140878e+02,4.461655204695983423e-01,1.384417042291782307e+00,2.206676625245911905e-01,2.874779552831366880e-01,7.354194906719169200e-01
1.824364872974594709e+00,9.979321492771978228e+02,4.523239348697524753e-01,1.391343895614594706e+00,2.241828923178990907e-01,2.896458731022183430e-01,1.170380180765784872e-01
1.848369673934786794e+00,9.979154660093031453e+02,4.584944206648088327e-01,1.398322897036435419e+00,2.277166729957110780e-01,2.918227713014387437e-01,-4.490863655596668558e-01
1.872374474894978880e+00,9.978986993521739350e+02,4.646772317728346535e-01,1.405354262967316581e+00,2.312691530859585509e-01,2.940087185156895488e-01,2.390033361600640560e-01
1.896379275855170965e+00,9.978818486845004827e+02,4.708726221608396934e-01,1.412438211462083926e+00,2.348404818766822721e-01,2.962037834710428141e-01,7.328970696542672081e-02
1.920384076815362828e+00,9.978649133821124906e+02,4.770808460344341806e-01,1.419574962277573293e+00,2.384308095756234591e-01,2.984080350283327965e-01,6.860699460521197945e-01
1.944388877775554914e+00,9.978478928187222436e+02,4.833021574779339247e-01,1.426764736741578332e+00,2.420402870582879784e-01,3.006215420924392978e-01,3.974379662810161862e-01
1.968393678735746999e+00,9.978307863657199732e+02,4.895368105642792789e-01,1.434007757796390781e+00,2.456690659194314119e-01,3.028443736383117368e-01,-5.125802425792388428e-01
1.992398479695939084e+00,9.978135933917947114e+02,4.957850595378372471e-01,1.441304250060944536e+00,2.493172986066325980e-01,3.050765987538524016e-01,-2.925049412977475116e-01
2.016403280656131169e+00,9.977963132629345182e+02,5.020471588144015396e-01,1.448654439830817875e+00,2.529851384202935205e-01,3.073182866381690692e-01,7.492128049317967609e-01
2.040408081616323255e+00,9.977789453424270505e+02,5.083233629811925169e-01,1.456058555078231231e+00,2.566727395136395029e-01,3.095695065998118611e-01,6.494520153087350867e-01
2.064412882576515340e+00,9.977614889908584246e+02,5.146139267968568021e-01,1.463516825452049197e+00,2.603802568927189864e-01,3.118303280549941103e-01,-8.291354899250258370e-03
2.088417683536706981e+00,9.977439435661144671e+02,5.209191051914681125e-01,1.471029482277778744e+00,2.641078464164035577e-01,3.141008205257993513e-01,3.135764222421590364e-01
2.112422484496899067e+00,9.977263084233795780e+02,5.272391532665264835e-01,1.478596758557570556e+00,2.678556647963882820e-01,3.163810536383712124e-01,5.391678305264642201e-01
2.136427285457091152e+00,9.977085829151377538e+02,5.335743262949586008e-01,1.486218888970218810e+00,2.716238695971913142e-01,3.186710971210883203e-01,5.528732650447272245e-01
2.160432086417283237e+00,9.976907663911716782e+02,5.399248797211176898e-01,1.493896109871160061e+00,2.754126192361538994e-01,3.209710208027235501e-01,7.590921188598985792e-01
2.184436887377475323e+00,9.976728581985634037e+02,5.462910691607838487e-01,1.501628659292474577e+00,2.792220729834405946e-01,3.232808946105872883e-01,4.515237082213682807e-01
2.208441688337667408e+00,9.976548576816940113e+02,5.526731504011632712e-01,1.509416776942885896e+00,2.830523909620393241e-01,3.256007885686548198e-01,2.781866190844057285e-01
2.232446489297859493e+00,9.976367641821765346e+02,5.590713794308915796e-01,1.517260704218233558e+00,2.869037341744274383e-01,3.279307728030157465e-01,1.985067404090929688e-01
2.256451290258051579e+00,9.976185770384621492e+02,5.654860126099203743e-01,1.525160684249117882e+00,2.907762646788875083e-01,3.302709175798886898e-01,8.581423178465142909e-01
2.280456091218243664e+00,9.976002955868899562e+02,5.719173061974931471e-01,1.533116961721746607e+00,2.946701451907899338e-01,3.326212931862893574e-01,-7.928058443529795163e-01
2.304460892178435749e+00,9.975819191610272583e+02,5.783655166603413056e-01,1.541129783001633724e+00,2.985855393107525457e-01,3.349819700057315996e-01,2.656543074600629106e-01
2.328465693138627390e+00,9.975634470914749272e+02,5.848309007608167853e-01,1.549199396166355935e+00,3.025226115979767760e-01,3.373530185380850810e-01,3.538530705301151102e-01
2.352470494098819476e+00,9.975448787058672906e+02,5.913137155568926051e-01,1.557326051005550882e+00,3.064815275702478803e-01,3.397345093975827623e-01,-3.729399710375110866e-01
2.376475295059011561e+00,9.975262133288730411e+02,5.978142184021618677e-01,1.565509999020918697e+00,3.104624537039344379e-01,3.421265133108114531e-01,5.085333198798347443e-01
2.400480096019203646e+00,9.975074502821939859e+02,6.043326669458382039e-01,1.573751493426220893e+00,3.144655574339889070e-01,3.445291011146847104e-01,1.888859489298772010e-02
2.424484896979395732e+00,9.974885888845660702e+02,6.108693191327562166e-01,1.582050789147280367e+00,3.184910071539472365e-01,3.469423437544000288e-01,7.781647419122734721e-01
2.448489697939587817e+00,9.974696284517586946e+02,6.174244332033708149e-01,1.590408142821982729e+00,3.225389722159290318e-01,3.493663122813774891e-01,2.865702702642138888e-01
2.472494498899779902e+00,9.974505682965753977e+02,6.239982676937576578e-01,1.598823812800274302e+00,3.266096229306375553e-01,3.518010778511823089e-01,6.863776982459086629e-01
2.496499299859971988e+00,9.974314077288529461e+02,6.305910814356127103e-01,1.607298059144163904e+00,3.307031305673597266e-01,3.542467117214289640e-01,9.636685143070405912e-01
2.520504100820164073e+00,9.974121460554621308e+02,6.372031335562529097e-01,1.615831143627721955e+00,3.348196673539660662e-01,3.567032852496693218e-01,5.481680766064055410e-01
2.544508901780355714e+00,9.973927825803074256e+02,6.438346834786153883e-01,1.624423329737080257e+00,3.389594064769105852e-01,3.591708698912614572e-01,-7.868970182016127302e-02
2.568513702740547799e+00,9.973733166043108440e+02,6.504859909281361929e-01,1.633074882672995054e+00,3.431225220880381177e-01,3.616495371989215113e-01,-3.955097786533977033e-01
2.592518503700739885e+00,9.973537474248923900e+02,6.571573161481742975e-01,1.641786069419786998e+00,3.473091895397189544e-01,3.641393588722011687e-01,1.240831417630387623e+00
2.616523304660931970e+00,9.973340743370007431e+02,6.638489194574587193e-01,1.650557158556153814e+00,3.515195849857446486e-01,3.666404066426691699e-01,3.109943100489094281e-01
2.640528105621124055e+00,9.973142966327477552e+02,6.705610614183444840e-01,1.659388420339393155e+00,3.557538854945920814e-01,3.691527523162750346e-01,2.487027849911421784e-02
2.664532906581316141e+00,9.972944136010022476e+02,6.772940030112084564e-01,1.668280126775341099e+00,3.600122692112031619e-01,3.716764678148695156e-01,4.438050118452819826e-01
2.688537707541508226e+00,9.972744245273902379e+02,6.840480056344497850e-01,1.677232551618371703e+00,3.642949153569849940e-01,3.742116251739429078e-01,2.785059599326182855e-01
2.712542508501700311e+00,9.972543286942943723e+02,6.908233311044893465e-01,1.686245970371397673e+00,3.686020042298098764e-01,3.767582965403420414e-01,8.028294286466859386e-01
2.736547309461892397e+00,9.972341253808543797e+02,6.976202416557701902e-01,1.695320660285870140e+00,3.729337172040150250e-01,3.793165541699716758e-01,3.962806453885218128e-01
2.760552110422084038e+00,9.972138138629670721e+02,7.044389999407572045e-01,1.704456900361777771e+00,3.772902367304028504e-01,3.818864704254750775e-01,3.887612622346848235e-01
2.784556911382276123e+00,9.971933934132862305e+02,7.112798690299377835e-01,1.713654971347648770e+00,3.816717463362411800e-01,3.844681177738964450e-01,2.717825725741440657e-02
2.808561712342468208e+00,9.971728633012223781e+02,7.181431124118207165e-01,1.722915155740548432e+00,3.860784306252625919e-01,3.870615687843238506e-01,6.218456181580704900e-01
2.832566513302660294e+00,9.971522227929433484e+02,7.250289939929370764e-01,1.732237737786081144e+00,3.905104752776649701e-01,3.896668961255150831e-01,-1.272664650519761409e-01
2.856571314262852379e+00,9.971314711513737166e+02,7.319377780978401082e-01,1.741623003478389053e+00,3.949680670501113378e-01,3.922841725635015098e-01,7.252288924454850516e-01
2.880576115223044464e+00,9.971106076361950272e+02,7.388697294691048967e-01,1.751071240560153175e+00,3.994513937757298017e-01,3.949134709591750614e-01,1.156882227454240963e+00
2.904580916183236550e+00,9.970896315038460216e+02,7.458251132673283657e-01,1.760582738522592505e+00,4.039606443641135525e-01,3.975548642658551790e-01,-3.647881547837207306e-01
2.928585717143428635e+00,9.970685420073748446e+02,7.528041951297561596e-01,1.770157788626304018e+00,4.084960088692136670e-01,4.002084255411241243e-01,-8.329061901345348184e-01
2.952590518103620720e+00,9.970473383961201534e+02,7.598072412894469885e-01,1.779796683914881328e+00,4.130576786755750796e-01,4.028742279694781381e-01,7.113136055466378060e-01
2.976595319063812362e+00,9.970260199169445059e+02,7.668345180842321973e-01,1.789499719023073032e+00,4.176458459482326191e-01,4.055523447378417412e-01,1.679501252479404849e+00
3.000600120024004447e+00,9.970045858133171350e+02,7.738862923346905287e-01,1.799267190347376921e+00,4.222607040008267698e-01,4.082428491301429707e-01,-9.221957530580382478e-02
3.024604920984196532e+00,9.969830353251775250e+02,7.809628313994044779e-01,1.809099396068254650e+00,4.269024473549175025e-01,4.109458145385749273e-01,-2.144020648624191949e-01
3.048609721944388617e+00,9.969613676889349563e+02,7.880644031749611811e-01,1.818996636150130852e+00,4.315712717399846077e-01,4.136613144610175041e-01,7.081457813512543886e-01
3.072614522904580703e+00,9.969395821374693014e+02,7.951912760959521931e-01,1.828959212341394913e+00,4.362673740934275290e-01,4.163894224984380776e-01,-3.971372530715833182e-03
3.096619323864772788e+00,9.969176779001301156e+02,8.023437191349735986e-01,1.838987428174399197e+00,4.409909525605653635e-01,4.191302123522708811e-01,1.661174703839026767e-01
3.120624124824964873e+00,9.968956542027373189e+02,8.095220018026256792e-01,1.849081588965460599e+00,4.457422064946370277e-01,4.218837578217777828e-01,2.478250244798888557e-01
3.144628925785156959e+00,9.968735102675808548e+02,8.167263941475133571e-01,1.859242001814858991e+00,4.505213364568009804e-01,4.246501328013866372e-01,6.906511759472859779e-01
3.168633726745349044e+00,9.968512453134208045e+02,8.239571667562458623e-01,1.869468975606838779e+00,4.553285442161354446e-01,4.274294112780099852e-01,2.247782305814506609e-01
3.192638527705540685e+00,9.968288585554873862e+02,8.312145907534367328e-01,1.879762821009607565e+00,4.601640327496382410e-01,4.302216673283421056e-01,5.691630873684221381e-01
3.216643328665732771e+00,9.968063492054808421e+02,8.384989378017042583e-01,1.890123850475337264e+00,4.650280062422271210e-01,4.330269751161355263e-01,3.447603456693478785e-01
3.240648129625924856e+00,9.967837164715714380e+02,8.458104801016710361e-01,1.900552378240162987e+00,4.699206700867393227e-01,4.358454088894567757e-01,1.350985706365515071e-02
3.264652930586116941e+00,9.967609595584000317e+02,8.531494903919637496e-01,1.911048720324184158e+00,4.748422308839316819e-01,4.386770429779209834e-01,2.787639141063104620e-01
3.288657731546309027e+00,9.967380776669431270e+02,8.605162419996107426e-01,1.921613194548242420e+00,4.797928965090287878e-01,4.415219518019837253e-01,-3.367788078197558876e-02
3.312662532506501112e+00,9.967150699941055336e+02,8.679110089866772793e-01,1.932246120546076584e+00,4.847728763617786263e-01,4.443802099003357209e-01,4.476377028352101495e-01
3.336667333466693197e+00,9.966919357341027990e+02,8.753340656271298981e-01,1.942947819564309508e+00,4.897823807057797296e-01,4.472518917982499231e-01,-1.146812219845683711e-01
3.360672134426885282e+00,9.966686740775063527e+02,8.827856867807517549e-01,1.953718614637973472e+00,4.948216210749803445e-01,4.501370721012663001e-01,-9.631011254635524210e-02
3.384676935387077368e+00,9.966452842110622896e+02,8.902661479621742924e-01,1.964558830617769258e+00,4.998908103578367235e-01,4.530358255094152353e-01,1.181516733162042865e+00
3.408681736347269009e+00,9.966217653176917111e+02,8.977757253408773508e-01,1.975468794170066156e+00,5.049901627973129026e-01,4.559482268142941441e-01,4.293561166616234326e-01
3.432686537307461094e+00,9.965981165764910656e+02,9.053146957411898343e-01,1.986448833776902179e+00,5.101198939908812013e-01,4.588743508961226070e-01,4.319233381601011446e-01
3.456691338267653180e+00,9.965743371627312399e+02,9.128833366422884898e-01,1.997499279735983624e+00,5.152802208905216119e-01,4.618142727207734666e-01,7.175824826795829114e-01
3.480696139227845265e+00,9.965504262478583541e+02,9.204819261781989059e-01,2.008620464160685515e+00,5.204713618027224653e-01,4.647680673367831083e-01,2.543395660623475329e-01
3.504700940188037350e+00,9.965263829994936486e+02,9.281107431377949579e-01,2.019812720980050713e+00,5.256935363884797097e-01,4.677358098723383151e-01,3.534681261332592861e-01
3.528705741148229436e+00,9.965022065814331427e+02,9.357700669647990299e-01,2.031076385938791251e+00,5.309469656632973544e-01,4.707175755322414723e-01,6.832919431981958613e-01
3.552710542108421521e+00,9.964778961536477482e+02,9.434601777577820148e-01,2.042411796597287665e+00,5.362318719971874703e-01,4.737134395948517929e-01,6.149213607170525009e-01
3.576715343068613606e+00,9.964534508722836108e+02,9.511813562701634250e-01,2.053819292331588997e+00,5.415484791146701893e-01,4.767234774090045590e-01,-1.029248860572102853e-01
3.600720144028805692e+00,9.964288698896616552e+02,9.589338839102110601e-01,2.065299214333411459e+00,5.468970120947733715e-01,4.797477643909078271e-01,8.964190627257386801e-01
3.624724944988997333e+00,9.964041523542778123e+02,9.667180427410411170e-01,2.076851905610141547e+00,5.522776973710329385e-01,4.827863760210154842e-01,1.875689043764939834e-01
3.648729745949189418e+00,9.963792974107994951e+02,9.745341154819100460e-01,2.088477710985242819e+00,5.576907627333858031e-01,4.858393878411838562e-01,-4.220008731590907392e-02
3.672734546909381503e+00,9.963543041994452096e+02,9.823823857271511972e-01,2.100176977143523693e+00,5.631364376841545560e-01,4.889068755000558486e-01,3.866934050053000282e-02
3.696739347869573589e+00,9.963291718570842477e+02,9.902631375428774252e-01,2.111950052440585868e+00,5.686149529323704099e-01,4.919889146461762786e-01,2.967162424685148014e-01
3.720744148829765674e+00,9.963038995171276611e+02,9.981766555195696888e-01,2.123797286978354126e+00,5.741265403745042795e-01,4.950855809451144562e-01,1.308735708256647978e+00
3.744748949789957759e+00,9.962784863088606926e+02,1.006123225015381095e+00,2.135719032699120667e+00,5.796714334248922462e-01,4.981969501360017372e-01,-8.957100232438852672e-02
3.768753750750149845e+00,9.962529313574426624e+02,1.014103132156137121e+00,2.147715643385542439e+00,5.852498670157366689e-01,5.013230980282346039e-01,5.813610442954050272e-01
3.792758551710341930e+00,9.962272337839069678e+02,1.022116663835336059e+00,2.159787474660642026e+00,5.908620775971052952e-01,5.044641004981584853e-01,-5.644480785471301942e-01
3.816763352670534015e+00,9.962013927051611972e+02,1.030164107714148125e+00,2.171934883987807652e+00,5.965083031369314837e-01,5.076200334857245977e-01,5.068365669131261741e-01
3.840768153630725656e+00,9.961754072339867889e+02,1.038245752221415907e+00,2.184158230670792733e+00,6.021887831210145370e-01,5.107909729911226382e-01,9.605741817291262308e-01
3.864772954590917742e+00,9.961492764790397132e+02,1.046361886553654807e+00,2.196457875853717212e+00,6.079037585530193688e-01,5.139769950713921620e-01,3.956453340406645980e-01
3.888777755551109827e+00,9.961229995448494492e+02,1.054512800675052375e+00,2.208834182521065781e+00,6.136534719544766148e-01,5.171781758370049831e-01,2.025007138953340280e-01
3.912782556511301912e+00,9.960965755318201218e+02,1.062698785317468753e+00,2.221287515497689213e+00,6.194381673647825215e-01,5.203945914484277013e-01,6.361501234776965052e-01
3.936787357471493998e+00,9.960700035362295921e+02,1.070920131980435785e+00,2.233818241448802588e+00,6.252580903411990576e-01,5.236263181126563637e-01,8.737021936879816320e-01
