D,T,s,A,P,P_noisy
9.073709118987758337e-01,2.078950959266414600e+01,1.377817842859274444e+00,7.719138427738565156e+01,1.182964144083265001e-02,-9.606106896716232191e-03
8.566747045441994501e+00,1.142449198459165594e+01,1.105865413695964028e+00,3.789026843960785840e+01,7.546732675454645989e-01,7.729626116080402509e-01
8.626706612158917764e+00,2.347491100122497443e+01,1.006729536381518741e+00,4.673630554301419693e+01,8.932467392541968421e-01,8.928454701618872003e-01
8.777717254524146639e+00,9.087963278649734633e+00,1.899834292434559480e+00,4.766421811868082870e+01,8.968355013088311622e-01,8.718605235021428257e-01
4.771906221652023383e+00,1.306018882499655831e+01,1.295508088848026151e+00,4.694964795012336367e+01,5.986200668385317503e-01,5.923420773991947552e-01
2.813079047275810929e+00,2.483136395149489317e+01,9.128140341517442247e-01,6.967785949283992863e+01,1.426230690360976716e-01,1.437051146115285449e-01
1.702091031713459934e-01,3.543435403681695561e+01,1.485839574728271550e+00,7.524352866077077806e+01,9.518769744742971994e-05,5.551014480736505240e-03
6.492636866191983103e+00,2.842395263818251649e+01,6.374898538839085527e-01,7.025205075952754896e+01,4.062033300241904010e-01,3.865595675253708507e-01
7.227102896736060877e+00,2.608588358154696607e+01,1.525532817449923195e+00,2.772700429121322685e+01,9.838646514937074983e-01,9.617171905504036111e-01
8.372135243352714085e+00,3.011923834579575043e+01,9.086175275386577654e-01,7.356874282997802084e+01,8.103838535415377464e-01,8.143755441984793508e-01
2.890590490908967247e+00,1.575665544464347256e+01,1.541171540933631956e+00,6.120845105442028000e+01,3.694977368699728926e-01,3.601627445323768439e-01
2.230659854913438878e+00,3.925814434795105967e+01,1.222891639437593714e+00,7.617554815110591449e+01,1.113380395598682071e-01,1.160481517944727120e-01
6.429380662659220036e+00,2.483914702030942223e+01,1.791775334574699619e+00,4.357170542344181285e+01,9.823896379219082542e-01,9.975800283714758576e-01
8.070042848135596358e+00,1.104488974495262532e+01,1.634932073673911246e+00,3.834093684895061926e+01,8.859449945020925199e-01,8.529692471750736082e-01
9.640341641165210973e+00,2.402644666144323260e+00,1.974890734687655414e+00,4.038203778995819704e+01,4.974804291815021484e-01,5.025681915118545007e-01
1.590195821169657187e+00,5.358467826539793144e+00,1.371008129417970123e+00,4.291231128631234526e+01,3.726559442131804900e-02,6.175853377203269212e-02
4.873902643173431137e+00,8.741856912976835758e+00,1.739321927010719193e+00,7.301266543719583524e+01,6.225381477273990161e-01,6.165876108399895861e-01
8.957687035742116777e+00,2.964053292139680096e+01,1.488070688824431498e+00,4.907819560115845547e+01,9.924100435003804233e-01,9.761937518356290644e-01
4.284897378759828790e+00,3.276632541443196089e+01,1.605104280410874606e+00,3.728518407842581439e+01,9.119432004531662361e-01,9.269880769967581147e-01
5.936070414632076186e+00,3.709266095690223608e+01,1.843159989130166210e+00,6.625132380121496567e+01,9.862912044878973106e-01,9.913601348120600898e-01
3.424577071842956899e-01,2.607349917192519939e+01,9.693901114924821094e-01,2.293207864986962008e+01,2.565795939421522398e-03,2.048345735497272835e-02
6.767252882814094761e+00,1.259380260904491600e+01,1.694261395700952022e+00,4.084811929652495621e+01,8.864838700180283082e-01,8.795795558170027562e-01
9.198977334374841774e+00,3.371589448439605263e+01,1.890256830733922921e+00,6.747937055612447921e+01,9.989397312963218534e-01,9.693033658218775939e-01
8.285570762611538242e+00,3.818533662546823848e+01,1.983521667746267481e+00,5.650642208509127329e+01,9.996186229747373586e-01,9.974184076805123755e-01
8.866650640428472840e+00,2.817924976146574423e+01,7.187270732072745805e-01,4.176094496766503283e+01,7.942244051928977200e-01,7.853078421326731284e-01
6.637518267153180496e+00,3.821963558861465771e+00,9.218422727285018325e-01,3.652408336359454211e+01,2.471483620031265094e-01,2.626548384440779982e-01
2.530967445707458019e+00,1.702829709449680351e+01,1.137018309973231833e+00,2.550350235591936254e+01,2.309519992660044041e-01,2.348246562335474796e-01
7.708318289072917828e+00,1.070880156252362525e+01,1.071273755905415515e+00,2.146444299274691758e+01,6.932948017230839977e-01,6.606778170743820011e-01
2.195579951814354391e+00,3.763115996355286796e+01,1.906203704189629811e+00,3.204531178643892986e+01,5.728682963717048882e-01,5.489650347696408694e-01
8.329620863178165635e+00,3.263381225391678697e+01,5.376930260863755917e-01,4.932680886260435216e+01,5.663857903128595161e-01,5.840615710446046549e-01
7.209074334506057058e-01,3.727157373078297198e+00,1.844731974719103107e+00,4.743307231149689329e+01,5.923314120652944936e-03,1.951861446900987618e-02
8.272329352596202057e+00,2.476784528255258522e+01,6.272945538980330138e-01,5.175657241284353205e+01,6.053913954606359171e-01,5.925865281424661513e-01
1.728621938093602983e+00,3.942075574156993412e+01,1.906317546774806804e+00,2.149610598742568612e+01,4.161539779283446316e-01,4.161330019969990412e-01
3.813955265316754328e+00,2.142843895377220775e+01,1.881943987447856959e+00,4.630637275428651378e+01,8.186781179353634919e-01,8.275895890108871944e-01
3.235707848913946805e+00,3.568821242640058955e+01,1.223416728860498681e+00,6.422114105315264965e+01,4.047746015429707356e-01,4.141426882599162917e-01
6.944236649249638127e+00,3.268089641129213874e+01,7.613013694729945380e-01,6.499207481772748451e+01,6.308530621795762627e-01,6.483779061018632994e-01
1.867861593926282149e+00,1.938995855577399396e+01,7.872180727580391224e-01,5.347651609449803090e+01,4.854455297845905459e-02,5.367426552289029235e-02
4.022936005948166027e+00,1.823832745929637511e+01,8.891184550251871599e-01,6.228021830831640671e+01,3.037634075684146895e-01,3.018668407890447436e-01
1.576634915690113825e-01,7.304396322323208679e+00,1.773376011900033911e+00,2.056829414113400745e+01,3.604209126442103894e-04,-4.816540383112700649e-03
2.698697656226005215e+00,1.482431323442040316e+01,1.311123785836207034e+00,4.018346578113299472e+01,2.749682204639577465e-01,2.960830764746227861e-01
4.269769260866657312e+00,8.463300350661334903e+00,1.812236914008626076e+00,5.073528644503736729e+01,5.807896420543248173e-01,5.357725565527540201e-01
1.148620243402512120e+00,3.398259577021932643e+01,1.631977974885962412e+00,7.525257304532846092e+01,2.965339401214761583e-02,2.688028751032086813e-02
6.368283465761922280e+00,2.453272757653563119e+01,1.951555821246036437e+00,3.544470370251271163e+01,9.900228087745177596e-01,9.906828108541989586e-01
3.866200271876670147e+00,3.751344858259026438e+01,1.492065404191216915e+00,3.754957400930393874e+01,8.527224238124584410e-01,8.242154445950546915e-01
7.280409986954764712e+00,1.700381448347986790e+01,7.550665635145239474e-01,4.643088413276581861e+01,5.802847478914299195e-01,5.869410201541908068e-01
6.573273509577104434e+00,2.836666351426278609e+01,1.320408487067080694e+00,6.108717328057597484e+01,9.220524535200167460e-01,9.090268332711488597e-01
4.369144812896321284e+00,3.349285725514224765e+01,1.608925772438134505e+00,5.471339909587644001e+01,8.823339694021139490e-01,8.995828653284289045e-01
8.686473005857772378e+00,1.502213933884987140e+00,1.036856646622569933e+00,6.505392382055072176e+01,1.641610232385969370e-01,1.616491815579103875e-01
6.358137663251653748e+00,1.359130379806359201e+01,1.999666202670193904e+00,3.658024743893565756e+01,9.357919871372099019e-01,9.491750519529990049e-01
8.121716085852360933e+00,1.801296187837828811e+01,8.258941455389631203e-01,6.813475168863340059e+01,6.531167624667082450e-01,6.774936345701326745e-01
3.483767767007118987e+00,3.721553431695868142e+01,1.889945603093344806e+00,7.461315480788553600e+01,7.513125965064930689e-01,7.589711881607624777e-01
5.482325967717710746e+00,3.494906541494548691e+01,1.234900687241360373e+00,5.238319269686559920e+01,8.792808733071506566e-01,8.617664504386937097e-01
2.043339162636058859e+00,4.295821467202502575e+00,1.767162219399502243e+00,3.618113621834839932e+01,8.939937515192153406e-02,5.911300251782876380e-02
9.961797782174416582e+00,3.826290556362467044e+01,1.299278053659288723e+00,7.071632896180713601e+01,9.884823868404659652e-01,1.023550069190793499e+00
2.507833096632638537e+00,2.544924854780821377e+01,1.325919471160582175e+00,5.748742349360563253e+01,2.731315211914788765e-01,2.709056773277284669e-01
2.642987925548317296e+00,3.805409388941280557e+00,1.560760252495997591e+00,7.178786866083409279e+01,1.097856095788176667e-01,9.601431062613123568e-02
8.245817166705631251e-01,2.791476770427810550e+01,1.286107589702048415e+00,4.531466143619911691e+01,1.831512757470477037e-02,2.120026933592127072e-02
2.652250878067692330e+00,3.435914257126190563e+01,1.172705334055248683e+00,5.968174433184969985e+01,2.562210652585646953e-01,2.523928386489117104e-01
7.654972472186126531e+00,1.109535604504902651e+01,6.781264615539193130e-01,2.195411282722833946e+01,4.457580615682464886e-01,4.628009068525002490e-01
7.009146349762505501e+00,1.358380073219702844e+01,1.509088579055108958e+00,3.527205320862272231e+01,8.778553159976444364e-01,8.785338796463864064e-01
1.373864801939977509e+00,1.183001490880673501e+01,1.940065121373989232e+00,3.837302852903439998e+01,9.286507777952324183e-02,9.314006945189162723e-02
3.824761164138132941e+00,2.839778850458426618e+01,1.913938814209303230e+00,7.535362443577506042e+01,8.011030461726827978e-01,7.868114517520234941e-01
4.267121806712882659e+00,2.901288766806473873e+01,5.704609899771438952e-01,6.120573721732413475e+01,1.751549142991143393e-01,1.845462762740641971e-01
6.683344038983411117e+00,3.119961999501716932e+01,1.155068239673321395e+00,2.276676380310897585e+01,9.525707551351269009e-01,9.318934206880272741e-01
4.613696734133113431e+00,3.692060412502284805e+01,1.393585230165496069e+00,5.348769073621135561e+01,8.576905462931037061e-01,8.710083350883830455e-01
5.906531435572760280e+00,8.091301694969546432e+00,6.481208286688699971e-01,4.609313519650298474e+01,2.253364314155462678e-01,2.558151816753488905e-01
8.412877575728529678e+00,2.862166933846289396e+01,1.565949419248927388e+00,6.571939036221201036e+01,9.870118402840878380e-01,9.565181195221047483e-01
7.292088742092467157e+00,2.618241658321847254e+01,1.150044504980867188e+00,3.281326870779569305e+01,9.338918281691579448e-01,8.845672435421315649e-01
3.713571908734733640e+00,1.124222221036424685e+01,6.947423944899795423e-01,4.002689510666095174e+01,1.505856476790928822e-01,1.629232227821792722e-01
4.539123462510394447e+00,3.903703077951126232e+01,8.189717086460326367e-01,3.022250911046469213e+01,6.166735398912415178e-01,6.676314962009040066e-01
3.740225739931065885e+00,1.960144878157532844e+01,5.275144959552688917e-01,6.614265166422163134e+01,9.654826634068469637e-02,7.652976936324681900e-02
1.186373173666297909e+00,3.800427155199650997e+01,8.451608136379423764e-01,4.676668182508925042e+01,2.253817807240920956e-02,-2.475737103630554214e-03
2.112091286465226148e+00,3.889917793104282850e+01,1.550789219242603600e+00,3.301418719076192332e+01,4.005419092538533565e-01,4.123212879294628208e-01
2.909684240546897893e+00,3.610187573770659242e+01,1.240078614717562644e+00,4.598258099222443462e+01,4.400063292054882114e-01,4.231918974043220594e-01
3.209925566462791924e+00,1.891992903922363567e+01,8.506764469401272288e-01,4.898125147459148820e+01,2.079445071897740860e-01,1.978239975110393511e-01
3.199173802317383242e+00,1.191129481575335802e+01,8.791291695825819152e-01,7.333322035377995007e+01,1.352730814695584094e-01,1.283107321358828434e-01
5.809327190904224558e+00,2.384471563485903545e+01,1.209983305886112692e+00,3.461796167595529283e+01,8.635548298598167971e-01,8.741948715856527885e-01
9.719730758635570567e+00,1.853189748515291058e+01,1.599944090134980623e+00,2.408407938691964034e+01,9.829498024833920322e-01,9.748437552555296870e-01
7.769174935744946886e+00,1.925986169193831188e+01,1.967560989560038998e+00,3.488410368307607712e+01,9.890074968078310658e-01,9.945651536094343159e-01
7.932226086910771912e+00,1.051917240437523127e+01,1.248101405344739900e+00,2.337127024158241895e+01,7.710599316760647914e-01,7.675292664981933077e-01
7.616758155341841530e+00,3.384786994068905130e+01,1.164910132328689674e+00,2.253279582152534033e+01,9.791736911847054303e-01,9.622802691116734142e-01
6.010178532185188160e+00,2.949823963625397027e+01,1.068726545015224350e+00,4.058730656358797972e+01,8.542818123772436545e-01,8.478852872223792136e-01
9.185153345992036478e+00,3.474707431731506091e+01,1.732310884414218766e+00,6.416565128608060320e+01,9.982096919065964746e-01,9.792016986032381354e-01
6.927338538926101741e+00,2.173001421082258133e+01,1.364223258009809259e+00,6.594615545569887161e+01,9.018481005762853941e-01,9.019784002936803713e-01
5.053528664295022566e+00,4.613885534002253763e+00,1.873714388145600873e+00,7.284138308556440222e+01,4.766954186161975748e-01,4.542180940648848364e-01
8.631297041553336324e-01,3.463004864150027373e+01,1.322319171555189410e+00,7.018897909811613545e+01,9.039650968921564278e-03,-1.281823641698329880e-02
4.935647348146686042e+00,3.700796862735880044e+00,7.983788759581338379e-01,7.394112005011228916e+01,1.180793988790623805e-01,1.472186351851674790e-01
2.207026853869310301e+00,7.026124369721298280e+00,6.576729449943239381e-01,3.171466806895321966e+01,3.273350962659915542e-02,3.166982522049232446e-02
1.413693345713193938e+00,3.782068507097442733e+01,1.307062520152665552e+00,3.080058255771811559e+01,1.182231521197202317e-01,1.171451116102793788e-01
5.110042733040792484e+00,2.289868619612959222e+01,7.859973824397428199e-01,2.118979448420360256e+01,5.521166135406919695e-01,5.623473419390443429e-01
7.872344396709894276e+00,2.732489900428924301e+01,1.547799041003406817e+00,4.447283191549846038e+01,9.877105709946252254e-01,9.792934309436478468e-01
3.020563783774643074e+00,3.301871402032510616e+01,1.674508917904026006e+00,4.828757400145941858e+01,6.654516748912641111e-01,6.608809675417010032e-01
7.710840423100747465e+00,2.691772829171967985e+01,1.666101592054284986e+00,3.036889484896627778e+01,9.934042496965175273e-01,1.001907224403155716e+00
5.303732279306315078e+00,1.831488023542154409e+01,1.109359050468160968e+00,7.850894445806454769e+01,5.750882252433238140e-01,5.807365420882117935e-01
1.575575431370054291e+00,2.217697729988653776e+01,1.326268647306290349e+00,4.302884690423142899e+01,9.904997117535130347e-02,7.586403663670271413e-02
9.653180665399384353e+00,1.654086795321849479e+01,8.399983409837238346e-01,4.301703003510615986e+01,7.633740246939983987e-01,7.800408766273916328e-01
4.076198616496323091e+00,2.351042657385297829e+01,1.278390221832273799e+00,4.358505222181724292e+01,6.615341086346300248e-01,6.497254097688491825e-01
3.022819131060688669e+00,1.086074197688915444e+00,1.725886217308505444e+00,3.003767261656884813e+01,5.702431929194051730e-02,3.590274028565679926e-02
8.485283869273922974e+00,2.082237775206294828e+01,1.458816206456189146e+00,5.556724973291375846e+01,9.622702174348322091e-01,9.442607160348511774e-01
1.332157291903250496e+00,1.929049521233941134e+00,1.500741088807575396e+00,2.706382815388564467e+01,1.101444115752225894e-02,3.203534270415800932e-03
7.362545564629663808e+00,5.277206004135051920e+00,1.934207553438605398e+00,7.683737270013287457e+01,6.877476224199129407e-01,7.202936275123742460e-01
1.959464951398136590e+00,3.400836270969767838e+01,9.301456105978700428e-01,4.836326936790626263e+01,9.558826682156840171e-02,7.207754872315279282e-02
3.985668582524566350e+00,2.671605857491243796e+01,1.474356109875542220e+00,5.569537879091495824e+01,7.285981038410188626e-01,7.317996216917056485e-01
2.395808796775170890e+00,8.104546962316767633e+00,1.826981797169308974e+00,4.155065411440934753e+01,2.304815937855546615e-01,1.877251066237431154e-01
8.428157127654630543e+00,3.014089848482135636e+01,9.982856928444652223e-01,4.014292203058730024e+01,9.360203462753982073e-01,9.359890076124942615e-01
3.961738064204631371e+00,1.955554751392586255e+01,5.756740204147076101e-01,7.911699238664087375e+01,1.039356355897942397e-01,1.219269639393143756e-01
9.749458847534663519e+00,6.259004762952027789e+00,9.422236818467886188e-01,2.671268202288531413e+01,5.128196307983361457e-01,5.080863643571070787e-01
6.290088695709556532e+00,3.725774211057824914e+01,9.347523124715888532e-01,2.828757693658619843e+01,8.891752463917942384e-01,8.765881479141274246e-01
6.966866063558859956e+00,5.399398840930664356e+00,9.308635564316876110e-01,5.180458815971522313e+01,3.410341015248670171e-01,3.456643228060377604e-01
5.263098709110933804e+00,1.769971462713388455e+00,1.288079607161450424e+00,3.151106605819546402e+01,1.506675235556929060e-01,1.646705585787059112e-01
3.158785170848352308e+00,1.100746740980720517e+01,1.343552916687076326e+00,2.039550264582288008e+01,3.358893875017707753e-01,3.491625389221189035e-01
4.016008568419044522e+00,4.387536370045106437e+00,1.077722363844343612e+00,5.697203227439872109e+01,1.617321679554161173e-01,2.011816450340119522e-01
9.415248457852827713e+00,1.652136884681192353e+00,9.829963785254308695e-01,2.019309596957923603e+01,1.807266800617488567e-01,1.849100295084744050e-01
2.091911687174178081e+00,2.647643318210462127e+01,1.285412443583459075e+00,5.800041849519043780e+01,1.653244501220657581e-01,1.534762481270071088e-01
9.883367122080102263e+00,6.146523420660376935e+00,1.595092856447579699e+00,3.841932810885359117e+01,7.479426863153817440e-01,7.454231025156489165e-01
7.607228033837802883e+00,2.299131391841752858e+01,5.487348287113593681e-01,5.697227141191547872e+01,4.311839384698122890e-01,4.297339675574160522e-01
3.661890572276841560e+00,1.046100333767238233e+01,1.738602661232219848e+00,5.462652222113096911e+01,5.192954653117604069e-01,5.214702129813227893e-01
6.450984536105472955e+00,3.768535529493288294e+01,6.986514360702068549e-01,7.558645176776229846e+01,4.422791806966085426e-01,4.416786244320198285e-01
3.871717239001566835e+00,9.418383543497430566e+00,1.859603532763228539e+00,3.472360541505824472e+01,5.842292442925514084e-01,5.877085630704754760e-01
3.876780033135208470e+00,2.130553432732129338e+01,1.239010209805958551e+00,7.544053354677049583e+01,4.571038807197660425e-01,4.236868795074638094e-01
5.087649206925842549e+00,2.966450306089459943e+01,1.346382860593594577e+00,5.203100523031169189e+01,8.606033795860693614e-01,8.771959587068701714e-01
2.655559341902331560e-01,1.313406682654954771e+01,1.971236176479721269e+00,2.000095070111649065e+01,2.180873299041818925e-03,-9.313912079378828743e-03
4.986358443439621979e+00,3.343783621206679868e+01,1.845827405806208965e+00,4.391551536082936025e+01,9.774977740198302900e-01,9.540346000908898061e-01
9.718824293124191271e+00,1.324517913312495665e+01,1.167631176479994259e+00,2.346759714817361342e+01,8.634794318683470804e-01,8.762344550611758098e-01
2.926105764977227075e+00,1.612654248719000094e+01,8.034249880563364421e-01,6.176109404462322772e+01,1.219705323483172288e-01,1.483170524960388814e-01
7.507357794858459776e+00,1.778514301858179536e+01,1.393624911918054821e+00,6.286515411608310444e+01,9.005491776496884482e-01,9.104097406396772785e-01
4.483610011697900966e+00,1.733687075534040289e+01,5.602769181499603901e-01,3.804885795953858008e+01,2.056926517614177108e-01,2.089158380383281111e-01
2.171882321916076108e+00,2.470980252200616789e+01,6.006095680546285065e-01,3.433048207269585816e+01,6.877535836555581650e-02,5.013095225811677047e-02
9.059525451099482041e+00,9.823578852393401561e+00,8.394413259104174241e-01,4.607366784323640729e+01,5.689202026919335520e-01,6.263515494482034818e-01
2.665901183341086722e-01,1.383935030727556637e+01,1.126625272196653649e+00,5.650998171141124260e+01,6.661795425164651618e-04,1.827135195574662932e-02
3.104738373335155899e+00,9.929909221383079299e+00,1.540557677641186229e+00,2.785200126970683243e+01,3.585849937837432000e-01,3.357991003768837079e-01
9.990356235006981223e+00,1.180086469215877365e+01,6.483688644887057873e-01,3.458093808833042004e+01,5.313251708040817034e-01,5.157324124792868059e-01
2.695253282280896112e+00,3.074851072039621158e+01,1.782280717644406431e+00,7.042139346020380231e+01,4.722654812714139894e-01,4.740050662428521022e-01
8.505540766406793907e+00,2.554140339905286794e+01,1.174666542406561653e+00,4.978852531171631313e+01,9.464538935190842661e-01,9.153592708791645771e-01
6.096263171691472138e+00,3.854878279453734535e+01,7.908767635891928993e-01,3.751504818496655957e+01,7.547950588718562726e-01,7.581676670120665040e-01
8.079753504518524920e+00,3.805507158445488614e+01,1.796673789648260078e+00,2.162408772075338348e+01,9.997257398680829965e-01,9.905443087538278180e-01
6.340145778890434514e+00,8.998332429405726529e+00,1.536318338469919054e+00,3.527545442848413160e+01,7.299944013036605561e-01,7.545198133099848548e-01
3.690698884872698926e+00,9.187895402484677732e+00,1.789763028396701205e+00,5.809009706279908158e+01,4.978172415073033319e-01,5.170603347798682359e-01
