t,x,v,Fh,Fh2,dx_dt
9.201840368073614662e-02,9.955458295309493888e-01,-9.686142192645295912e-02,9.134572489135646400e-02,1.967455418213253857e-02,-9.686142192645295912e-02
9.601920384076814696e-02,9.951498766715811684e-01,-1.010753329103951659e-01,9.508026519577872371e-02,2.058129318552914810e-02,-1.010753329103951659e-01
1.000200040008001612e-01,9.947370658088359185e-01,-1.052887235359416807e-01,9.879523993138139559e-02,2.149177208216944412e-02,-1.052887235359416807e-01
1.040208041608321615e-01,9.943073992009826556e-01,-1.095015059815525882e-01,1.024906702773419054e-01,2.240592800298421908e-02,-1.095015059815525882e-01
1.080216043208641757e-01,9.938608794568188909e-01,-1.137135924755371397e-01,1.061665772876625169e-01,2.332369831262299381e-02,-1.137135924755371397e-01
1.120224044808961761e-01,9.933975095356711860e-01,-1.179248952960537111e-01,1.098229818911703459e-01,2.424502060945399676e-02,-1.179248952960537111e-01
1.160232046409281903e-01,9.929172927473948196e-01,-1.221353267711098173e-01,1.134599048915174435e-01,2.516983272556420556e-02,-1.221353267711098173e-01
1.200240048009601906e-01,9.924202327523741207e-01,-1.263447992785620699e-01,1.170773669671806155e-01,2.609807272675929157e-02,-1.263447992785620699e-01
1.240248049609922049e-01,9.919063335615220245e-01,-1.305532252461162612e-01,1.206753886714616170e-01,2.702967891256366495e-02,-1.305532252461162612e-01
1.280256051210242052e-01,9.913755995362804052e-01,-1.347605171513272804e-01,1.242539904324869993e-01,2.796458981622045037e-02,-1.347605171513272804e-01
1.320264052810562194e-01,9.908280353886201874e-01,-1.389665875215991830e-01,1.278131925532082214e-01,2.890274420469150091e-02,-1.389665875215991830e-01
1.360272054410882059e-01,9.902636461810406798e-01,-1.431713489341850942e-01,1.313530152114015803e-01,2.984408107865738069e-02,-1.431713489341850942e-01
1.400280056011202201e-01,9.896824373265704633e-01,-1.473747140161873748e-01,1.348734784596682668e-01,3.078853967251739612e-02,-1.473747140161873748e-01
1.440288057611522343e-01,9.890844145887669470e-01,-1.515765954445574548e-01,1.383746022254342956e-01,3.173605945438955772e-02,-1.515765954445574548e-01
1.480296059211842485e-01,9.884695840799050393e-01,-1.557769059633031805e-01,1.418564063269894537e-01,3.268658012284741260e-02,-1.557769059633031805e-01
1.520304060812162350e-01,9.878379522524410872e-01,-1.599755584539647724e-01,1.453189105384577462e-01,3.364004159455531717e-02,-1.599755584539647724e-01
1.560312062412482492e-01,9.871895259170498926e-01,-1.641724657595217685e-01,1.487621344256546407e-01,3.459638403807384355e-02,-1.641724657595217685e-01
1.600320064012802634e-01,9.865243122332013614e-01,-1.683675407918921452e-01,1.521860974477818595e-01,3.555554785176157778e-02,-1.683675407918921452e-01
1.640328065613122499e-01,9.858423187068385829e-01,-1.725606965554477013e-01,1.555908189794579510e-01,3.651747365917808880e-02,-1.725606965554477013e-01
1.680336067213442641e-01,9.851435531903779408e-01,-1.767518461470140023e-01,1.589763183107184286e-01,3.748210230908395613e-02,-1.767518461470140023e-01
1.720344068813762783e-01,9.844280238827086693e-01,-1.809409027558703253e-01,1.623426146470155762e-01,3.844937487544071442e-02,-1.809409027558703253e-01
1.760352070414082926e-01,9.836957393291934082e-01,-1.851277796637497142e-01,1.656897271092185042e-01,3.941923265741086729e-02,-1.851277796637497142e-01
1.800360072014402790e-01,9.829467084216676476e-01,-1.893123902448389795e-01,1.690176747336131768e-01,4.039161717935790819e-02,-1.893123902448389795e-01
1.840368073614722932e-01,9.821809403984403941e-01,-1.934946479657786989e-01,1.723264764719024955e-01,4.136647019084632726e-02,-1.934946479657786989e-01
1.880376075215043075e-01,9.813984448442933939e-01,-1.976744663856631889e-01,1.756161511912061046e-01,4.234373366664155591e-02,-1.976744663856631889e-01
1.920384076815362939e-01,9.805992316904819095e-01,-2.018517591560404500e-01,1.788867176740605025e-01,4.332334980671002922e-02,-2.018517591560404500e-01
1.960392078415683081e-01,9.797833112147339429e-01,-2.060264400209123603e-01,1.821381946184191247e-01,4.430526103621916512e-02,-2.060264400209123603e-01
2.000400080016003224e-01,9.789506940412509017e-01,-2.101984228167345092e-01,1.853706006376521498e-01,4.528941000553733665e-02,-2.101984228167345092e-01
2.040408081616323366e-01,9.781013911407073769e-01,-2.143676214724161699e-01,1.885839542605466379e-01,4.627573959023391359e-02,-2.143676214724161699e-01
2.080416083216643230e-01,9.772354138277576929e-01,-2.185339500236343213e-01,1.917782739434881201e-01,4.726419288871131635e-02,-2.185339500236343213e-01
2.120424084816963373e-01,9.763527737421940911e-01,-2.226973227130520372e-01,1.949535781545801705e-01,4.825471320655231461e-02,-2.226973227130520372e-01
2.160432086417283515e-01,9.754534828859640072e-01,-2.268576537720651820e-01,1.981098851872913902e-01,4.924724409323581742e-02,-2.268576537720651820e-01
2.200440088017603657e-01,9.745375536067845124e-01,-2.310148575301838592e-01,2.012472132560418070e-01,5.024172932219780202e-02,-2.310148575301838592e-01
2.240448089617923522e-01,9.736049985916714888e-01,-2.351688484538250468e-01,2.043655805294736783e-01,5.123811288421891569e-02,-2.351688484538250468e-01
2.280456091218243664e-01,9.726558308669390751e-01,-2.393195411463125977e-01,2.074650051304517684e-01,5.223633898742453818e-02,-2.393195411463125977e-01
2.320464092818563806e-01,9.716900637982001099e-01,-2.434668503478771839e-01,2.105455051360629604e-01,5.323635205728472625e-02,-2.434668503478771839e-01
2.360472094418883671e-01,9.707077110903657990e-01,-2.476106909356563246e-01,2.136070985776165609e-01,5.423809673661422054e-02,-2.476106909356563246e-01
2.400480096019203813e-01,9.697087867876459377e-01,-2.517509779236944967e-01,2.166498034406441897e-01,5.524151788557248727e-02,-2.517509779236944967e-01
2.440488097619523955e-01,9.686933052735489103e-01,-2.558876264629428299e-01,2.196736376648997235e-01,5.624656058166366268e-02,-2.558876264629428299e-01
2.480496099219844097e-01,9.676612812708816902e-01,-2.600205518412594397e-01,2.226786191443593799e-01,5.725317011973658776e-02,-2.600205518412594397e-01
2.520504100820163962e-01,9.666127298417495073e-01,-2.641496694834092329e-01,2.256647657272216612e-01,5.826129201198479435e-02,-2.641496694834092329e-01
2.560512102420484104e-01,9.655476663875565135e-01,-2.682748949510641023e-01,2.286320952159074660e-01,5.927087198794653289e-02,-2.682748949510641023e-01
2.600520104020804246e-01,9.644661066490050061e-01,-2.723961439428025932e-01,2.315806253670599224e-01,6.028185599450472387e-02,-2.723961439428025932e-01
2.640528105621124388e-01,9.633680667060959824e-01,-2.765133322941102367e-01,2.345103738915444713e-01,6.129419019588699946e-02,-2.765133322941102367e-01
2.680536107221444531e-01,9.622535629781290289e-01,-2.806263759773793276e-01,2.374213584544489219e-01,6.230782097366566880e-02,-2.806263759773793276e-01
2.720544108821764118e-01,9.611226122235481117e-01,-2.847351911025109428e-01,2.403135966755599873e-01,6.332269492666801891e-02,-2.847351911025109428e-01
2.760552110422084260e-01,9.599752315090055443e-01,-2.888396940332655927e-01,2.431871062205626932e-01,6.433875885414816476e-02,-2.888396940332655927e-01
2.800560112022404402e-01,9.588114382480379394e-01,-2.929398012262345863e-01,2.460419046715625058e-01,6.535595978087628544e-02,-2.929398012262345863e-01
2.840568113622724544e-01,9.576312502086289369e-01,-2.970354292146866748e-01,2.488780095173815932e-01,6.637424495787649925e-02,-2.970354292146866748e-01
2.880576115223044686e-01,9.564346854873247983e-01,-3.011264947130852798e-01,2.516954382370896193e-01,6.739356184643245651e-02,-3.011264947130852798e-01
2.920584116823364829e-01,9.552217625092350728e-01,-3.052129146170885488e-01,2.544942083000036326e-01,6.841385811808739503e-02,-3.052129146170885488e-01
2.960592118423684971e-01,9.539925000280318201e-01,-3.092946060035494660e-01,2.572743371656881495e-01,6.943508165464412629e-02,-3.092946060035494660e-01
3.000600120024004558e-01,9.527469171259500547e-01,-3.133714861305155752e-01,2.600358422839550987e-01,7.045718054816499376e-02,-3.133714861305155752e-01
3.040608121624324700e-01,9.514850332137876343e-01,-3.174434724372294236e-01,2.627787410948639879e-01,7.148010310097201170e-02,-3.174434724372294236e-01
3.080616123224644842e-01,9.502068680309054827e-01,-3.215104825441280623e-01,2.655030510287215706e-01,7.250379782564665698e-02,-3.215104825441280623e-01
3.120624124824964984e-01,9.489124416452271449e-01,-3.255724342528432680e-01,2.682087895060821792e-01,7.352821344503002177e-02,-3.255724342528432680e-01
3.160632126425285127e-01,9.476017744532391207e-01,-3.296292455462017656e-01,2.708959739377475029e-01,7.455329889222275797e-02,-3.296292455462017656e-01
3.200640128025605269e-01,9.462748871799908645e-01,-3.336808345882247284e-01,2.735646217247667544e-01,7.557900331058511889e-02,-3.336808345882247284e-01
3.240648129625925411e-01,9.449318008790945633e-01,-3.377271197241282774e-01,2.762147502584365033e-01,7.660527605373688986e-02,-3.377271197241282774e-01
3.280656131226244998e-01,9.435725369327252476e-01,-3.417680194803232041e-01,2.788463769203008980e-01,7.763206668555742984e-02,-3.417680194803232041e-01
3.320664132826565140e-01,9.421971170516210137e-01,-3.458034525644149704e-01,2.814595190821513881e-01,7.865932498018569918e-02,-3.458034525644149704e-01
3.360672134426885282e-01,9.408055632750826902e-01,-3.498333378652039860e-01,2.840541941060269471e-01,7.968700092202021801e-02,-3.498333378652039860e-01
3.400680136027205425e-01,9.393978979709738386e-01,-3.538575944526850536e-01,2.866304193442139603e-01,8.071504470571903844e-02,-3.538575944526850536e-01
3.440688137627525567e-01,9.379741438197367609e-01,-3.578761416209201851e-01,2.891882121712756604e-01,8.174340673033225757e-02,-3.578761416209201851e-01
3.480696139227845709e-01,9.365343237860750403e-01,-3.618888989543146417e-01,2.917275900313592296e-01,8.277203759109187653e-02,-3.618888989543146417e-01
3.520704140828165851e-01,9.350784612134925844e-01,-3.658957860732885981e-01,2.942485702483373378e-01,8.380088811410220384e-02,-3.658957860732885981e-01
3.560712142428485438e-01,9.336065797660576537e-01,-3.698967228031241894e-01,2.967511701550778480e-01,8.482990933196893346e-02,-3.698967228031241894e-01
3.600720144028805580e-01,9.321187034218375578e-01,-3.738916291921582924e-01,2.992354071071754440e-01,8.585905248125329237e-02,-3.738916291921582924e-01
3.640728145629125723e-01,9.306148564728987660e-01,-3.778804255117821365e-01,3.017012984829520184e-01,8.688826900247192953e-02,-3.778804255117821365e-01
3.680736147229445865e-01,9.290950635253071299e-01,-3.818630322564416923e-01,3.041488616834562841e-01,8.791751054009697142e-02,-3.818630322564416923e-01
3.720744148829766007e-01,9.275593494991275501e-01,-3.858393701436375611e-01,3.065781141324641079e-01,8.894672894255603590e-02,-3.858393701436375611e-01
3.760752150430086149e-01,9.260077396284243090e-01,-3.898093601139248077e-01,3.089890732764782877e-01,8.997587626223221835e-02,-3.898093601139248077e-01
3.800760152030406291e-01,9.244402594612607382e-01,-3.937729233309132937e-01,3.113817565847287194e-01,9.100490475546406388e-02,-3.937729233309132937e-01
3.840768153630725879e-01,9.228569348596994404e-01,-3.977299811812671781e-01,3.137561815491721751e-01,9.203376688254560900e-02,-3.977299811812671781e-01
3.880776155231046021e-01,9.212577919998022891e-01,-4.016804552747056944e-01,3.161123656844926355e-01,9.306241530772638160e-02,-4.016804552747056944e-01
3.920784156831366163e-01,9.196428573716303179e-01,-4.056242674440022067e-01,3.184503265281009576e-01,9.409080289921135931e-02,-4.056242674440022067e-01
3.960792158431686305e-01,9.180121577792438314e-01,-4.095613397449849313e-01,3.207700816401350408e-01,9.511888272916099729e-02,-4.095613397449849313e-01
4.000800160032006447e-01,9.163657203407020724e-01,-4.134915944565366597e-01,3.230716486034597712e-01,9.614660807369121431e-02,-4.134915944565366597e-01
4.040808161632326589e-01,9.147035724880638874e-01,-4.174149540805947023e-01,3.253550450236671887e-01,9.717393241287342054e-02,-4.174149540805947023e-01
4.080816163232646732e-01,9.130257419673871722e-01,-4.213313413421511111e-01,3.276202885290761535e-01,9.820080943073450364e-02,-4.213313413421511111e-01
4.120824164832966874e-01,9.113322568387288714e-01,-4.252406791892523463e-01,3.298673967707326238e-01,9.922719301525681490e-02,-4.252406791892523463e-01
4.160832166433286461e-01,9.096231454757343071e-01,-4.291428907937852588e-01,3.320963874229871382e-01,1.002530372582701029e-01,-4.291428907937852588e-01
4.200840168033606603e-01,9.078984364990612121e-01,-4.330378996741550135e-01,3.343072782728497283e-01,1.012782964387691914e-01,-4.330378996741550135e-01
4.240848169633926745e-01,9.061581588636220541e-01,-4.369256295181299654e-01,3.365000870881585393e-01,1.023029250475662594e-01,-4.369256295181299654e-01
4.280856171234246887e-01,9.044023418739801645e-01,-4.408060041667606344e-01,3.386748316086136690e-01,1.033268777887073608e-01,-4.408060041667606344e-01
4.320864172834567030e-01,9.026310151302624485e-01,-4.446789477212019781e-01,3.408315296249806448e-01,1.043501095646061777e-01,-4.446789477212019781e-01
4.360872174434887172e-01,9.008442085281593847e-01,-4.485443845427132259e-01,3.429701989790900352e-01,1.053725754760439920e-01,-4.485443845427132259e-01
4.400880176035207314e-01,8.990419522589246926e-01,-4.524022392526578784e-01,3.450908575638378384e-01,1.063942308221696859e-01,-4.524022392526578784e-01
4.440888177635526901e-01,8.972242768093757759e-01,-4.562524367325036523e-01,3.471935233231851492e-01,1.074150311004997554e-01,-4.562524367325036523e-01
4.480896179235847043e-01,8.953912129618933902e-01,-4.600949021238228132e-01,3.492782142521585476e-01,1.084349320069183248e-01,-4.600949021238228132e-01
4.520904180836167185e-01,8.935427917944220866e-01,-4.639295608282917871e-01,3.513449483968496545e-01,1.094538894356771042e-01,-4.639295608282917871e-01
4.560912182436487328e-01,8.916790446804695458e-01,-4.677563385076912716e-01,3.533937438544154652e-01,1.104718594793954317e-01,-4.677563385076912716e-01
4.600920184036807470e-01,8.898000032891072442e-01,-4.715751610839062913e-01,3.554246187730781825e-01,1.114887984290602041e-01,-4.715751610839062913e-01
4.640928185637127612e-01,8.879056995849701206e-01,-4.753859547389263085e-01,3.574375913521252723e-01,1.125046627740259875e-01,-4.753859547389263085e-01
4.680936187237447754e-01,8.859961658282564656e-01,-4.791886459148448907e-01,3.594326798419094637e-01,1.135194092020149342e-01,-4.791886459148448907e-01
4.720944188837767341e-01,8.840714345747281433e-01,-4.829831613138600432e-01,3.614099025438486934e-01,1.145329945991167830e-01,-4.829831613138600432e-01
4.760952190438087483e-01,8.821315386757105914e-01,-4.867694278982740430e-01,3.633692778104262722e-01,1.155453760497889143e-01,-4.867694278982740430e-01
4.800960192038407626e-01,8.801765112780927103e-01,-4.905473728904936048e-01,3.653108240451907185e-01,1.165565108368563085e-01,-4.905473728904936048e-01
4.840968193638727768e-01,8.782063858243268628e-01,-4.943169237730294374e-01,3.672345597027557584e-01,1.175663564415115325e-01,-4.943169237730294374e-01
4.880976195239047910e-01,8.762211960524288745e-01,-4.980780082884967985e-01,3.691405032888003812e-01,1.185748705433147948e-01,-4.980780082884967985e-01
4.920984196839368052e-01,8.742209759959782556e-01,-5.018305544396153284e-01,3.710286733600688946e-01,1.195820110201938902e-01,-5.018305544396153284e-01
4.960992198439688194e-01,8.722057599615015144e-01,-5.055744905177760318e-01,3.728990885458866589e-01,1.205877359440923474e-01,-5.055744905177760318e-01
5.001000200040007782e-01,8.701755824609531675e-01,-5.093097451781166685e-01,3.747517676042935175e-01,1.215920035691853279e-01,-5.093097451781166685e-01
5.041008201640327924e-01,8.681304783971199868e-01,-5.130362472018541453e-01,3.765867292434980085e-01,1.225947723676999862e-01,-5.130362472018541453e-01
5.081016203240648066e-01,8.660704829638400382e-01,-5.167539256371050937e-01,3.784039922290242108e-01,1.235960010087453209e-01,-5.167539256371050937e-01
5.121024204840968208e-01,8.639956316284207460e-01,-5.204627098220566683e-01,3.802035754012215163e-01,1.245956483548063543e-01,-5.204627098220566683e-01
5.161032206441288350e-01,8.619059601316386710e-01,-5.241625293849662137e-01,3.819854976752643516e-01,1.255936734617441597e-01,-5.241625293849662137e-01
5.201040208041608492e-01,8.598015044877400648e-01,-5.278533142441615977e-01,3.837497780411525672e-01,1.265900355787958620e-01,-5.278533142441615977e-01
5.241048209641928635e-01,8.576823009844400936e-01,-5.315349946080408783e-01,3.854964355637111040e-01,1.275846941485745956e-01,-5.315349946080408783e-01
5.281056211242248777e-01,8.555483861829235037e-01,-5.352075009750725254e-01,3.872254893825900490e-01,1.285776088070695600e-01,-5.352075009750725254e-01
5.321064212842568919e-01,8.533997969178441778e-01,-5.388707641337954213e-01,3.889369587122648575e-01,1.295687393836459367e-01,-5.388707641337954213e-01
5.361072214442889061e-01,8.512365702973252457e-01,-5.425247151628186382e-01,3.906308628420360196e-01,1.305580459010449723e-01,-5.425247151628186382e-01
5.401080216043209203e-01,8.490587437029594176e-01,-5.461692854308218825e-01,3.923072211360293382e-01,1.315454885753839509e-01,-5.461692854308218825e-01
5.441088217643528235e-01,8.468663547898085397e-01,-5.498044065965548288e-01,3.939660530331957622e-01,1.325310278161561661e-01,-5.498044065965548288e-01
5.481096219243848378e-01,8.446594414864035949e-01,-5.534300106088378968e-01,3.956073780473114976e-01,1.335146242262310601e-01,-5.534300106088378968e-01
5.521104220844168520e-01,8.424380419947452570e-01,-5.570460297065616961e-01,3.972312157669778965e-01,1.344962386018539180e-01,-5.570460297065616961e-01
5.561112222444488662e-01,8.402021947903031140e-01,-5.606523964186870268e-01,3.988375858556215681e-01,1.354758319326461735e-01,-5.606523964186870268e-01
5.601120224044808804e-01,8.379519386220162236e-01,-5.642490435642452118e-01,4.004265080514942676e-01,1.364533654016053255e-01,-5.642490435642452118e-01
5.641128225645128946e-01,8.356873125122931123e-01,-5.678359042523379863e-01,4.019980021676730630e-01,1.374288003851047990e-01,-5.678359042523379863e-01
5.681136227245449088e-01,8.334083557570114431e-01,-5.714129118821373865e-01,4.035520880920601128e-01,1.384020984528941678e-01,-5.714129118821373865e-01
5.721144228845769231e-01,8.311151079255181262e-01,-5.749800001428855278e-01,4.050887857873827214e-01,1.393732213680989596e-01,-5.749800001428855278e-01
5.761152230446089373e-01,8.288076088604898750e-01,-5.785371030140050719e-01,4.066081152912863761e-01,1.403421310871988403e-01,-5.785371030140050719e-01
5.801160232046409515e-01,8.264858985753329446e-01,-5.820841548404048771e-01,4.081100967808804492e-01,1.413087897442923124e-01,-5.820841548404048771e-01
5.841168233646729657e-01,8.241500173772010607e-01,-5.856210902213089264e-01,4.095947504820470209e-01,1.422731596712430435e-01,-5.856210902213089264e-01
5.881176235247049799e-01,8.218000059190585516e-01,-5.891478439854354043e-01,4.110620966463321979e-01,1.432352034044405975e-01,-5.891478439854354043e-01
5.921184236847369942e-01,8.194359051020709828e-01,-5.926643512725755514e-01,4.125121556190189942e-01,1.441948836690992164e-01,-5.926643512725755514e-01
5.961192238447690084e-01,8.170577560756046021e-01,-5.961705475335937754e-01,4.139449478391274417e-01,1.451521633792579313e-01,-5.961705475335937754e-01
6.001200240048009116e-01,8.146656002372268945e-01,-5.996663685304273184e-01,4.153604938394145907e-01,1.461070056377804238e-01,-5.996663685304273184e-01
6.041208241648329258e-01,8.122594792327058055e-01,-6.031517503360864785e-01,4.167588142463747314e-01,1.470593737363552478e-01,-6.031517503360864785e-01
6.081216243248649400e-01,8.098394349560107397e-01,-6.066266293346548322e-01,4.181399297802389503e-01,1.480092311554956075e-01,-6.066266293346548322e-01
6.121224244848969542e-01,8.074055095493117840e-01,-6.100909422212884570e-01,4.195038612549754631e-01,1.489565415645394686e-01,-6.100909422212884570e-01
6.161232246449289685e-01,8.049577454029798185e-01,-6.135446260022169307e-01,4.208506295782895590e-01,1.499012688216495026e-01,-6.135446260022169307e-01
6.201240248049609827e-01,8.024961851555869607e-01,-6.169876179947424433e-01,4.221802557516234344e-01,1.508433769738131980e-01,-6.169876179947424433e-01
6.241248249649929969e-01,8.000208716939060105e-01,-6.204198558272406849e-01,4.234927608701564705e-01,1.517828302568427212e-01,-6.204198558272406849e-01
6.281256251250250111e-01,7.975318481529108938e-01,-6.238412774391599580e-01,4.247881661228050110e-01,1.527195930953749725e-01,-6.238412774391599580e-01
6.321264252850570253e-01,7.950291579157764410e-01,-6.272518210810217321e-01,4.260664927922224177e-01,1.536536301028716689e-01,-6.272518210810217321e-01
6.361272254450890395e-01,7.925128446138781646e-01,-6.306514253144205329e-01,4.273277622547991816e-01,1.545849060816191778e-01,-6.306514253144205329e-01
6.401280256051210538e-01,7.899829521267929255e-01,-6.340400290120238314e-01,4.285719959806627011e-01,1.555133860227286280e-01,-6.340400290120238314e-01
6.441288257651530680e-01,7.874395245822982670e-01,-6.374175713575720437e-01,4.297992155336774478e-01,1.564390351061359374e-01,-6.374175713575720437e-01
6.481296259251850822e-01,7.848826063563725253e-01,-6.407839918458789752e-01,4.310094425714450228e-01,1.573618187006017299e-01,-6.407839918458789752e-01
6.521304260852170964e-01,7.823122420731952742e-01,-6.441392302828308214e-01,4.322026988453039342e-01,1.582817023637113352e-01,-6.441392302828308214e-01
6.561312262452489996e-01,7.797284766051469918e-01,-6.474832267853873891e-01,4.333790062003297638e-01,1.591986518418748719e-01,-6.474832267853873891e-01
6.601320264052810138e-01,7.771313550728088382e-01,-6.508159217815812081e-01,4.345383865753352226e-01,1.601126330703271927e-01,-6.508159217815812081e-01
6.641328265653130281e-01,7.745209227972733590e-01,-6.541372560262803670e-01,4.356808620226193529e-01,1.610236121666430709e-01,-6.541372560262803670e-01
6.681336267253450423e-01,7.718972252364402209e-01,-6.574471706054637599e-01,4.368064547259544739e-01,1.619315554224713127e-01,-6.574471706054637599e-01
6.721344268853770565e-01,7.692603082427945660e-01,-6.607456068491333046e-01,4.379151868938546133e-01,1.628364293383542105e-01,-6.607456068491333046e-01
6.761352270454090707e-01,7.666102179044935738e-01,-6.640325064034059421e-01,4.390070808358469412e-01,1.637382006014622138e-01,-6.640325064034059421e-01
6.801360272054410849e-01,7.639470005301961519e-01,-6.673078112363283187e-01,4.400821589691724101e-01,1.646368360835070155e-01,-6.673078112363283187e-01
6.841368273654730991e-01,7.612707026490623807e-01,-6.705714636378778959e-01,4.411404438187856991e-01,1.655323028407416353e-01,-6.705714636378778959e-01
6.881376275255051134e-01,7.585813710107544017e-01,-6.738234062199620622e-01,4.421819580173553255e-01,1.664245681139603361e-01,-6.738234062199620622e-01
6.921384276855371276e-01,7.558790525854355291e-01,-6.770635819164183555e-01,4.432067243052635885e-01,1.673135993284987078e-01,-6.770635819164183555e-01
6.961392278455691418e-01,7.531637945637710274e-01,-6.802919339830147960e-01,4.442147655306065146e-01,1.681993640942336943e-01,-6.802919339830147960e-01
7.001400280056011560e-01,7.504356443569275559e-01,-6.835084059974495529e-01,4.452061046491940233e-01,1.690818302055833999e-01,-6.835084059974495529e-01
7.041408281656331702e-01,7.476946495965731687e-01,-6.867129418593508339e-01,4.461807647245497610e-01,1.699609656415073389e-01,-6.867129418593508339e-01
7.081416283256651845e-01,7.449408581348779812e-01,-6.899054857902774396e-01,4.471387689279111011e-01,1.708367385655062687e-01,-6.899054857902774396e-01
7.121424284856970877e-01,7.421743180445132815e-01,-6.930859823337180980e-01,4.480801405382293656e-01,1.717091173256222181e-01,-6.930859823337180980e-01
7.161432286457291019e-01,7.393950776186520857e-01,-6.962543763550919085e-01,4.490049029421694926e-01,1.725780704544385702e-01,-6.962543763550919085e-01
7.201440288057611161e-01,7.366031853709689159e-01,-6.994106130417483413e-01,4.499130796341103689e-01,1.734435666690799516e-01,-6.994106130417483413e-01
7.241448289657931303e-01,7.337986900356401332e-01,-7.025546379029667943e-01,4.508046942161444970e-01,1.743055748712123432e-01,-7.025546379029667943e-01
7.281456291258251445e-01,7.309816405673433826e-01,-7.056863967699570361e-01,4.516797703980783285e-01,1.751640641470429138e-01,-7.056863967699570361e-01
7.321464292858571588e-01,7.281520861412580370e-01,-7.088058357958590960e-01,4.525383319974319862e-01,1.760190037673202146e-01,-7.088058357958590960e-01
7.361472294458891730e-01,7.253100761530649754e-01,-7.119129014557432633e-01,4.533804029394393753e-01,1.768703631873340398e-01,-7.119129014557432633e-01
7.401480296059211872e-01,7.224556602189468046e-01,-7.150075405466100875e-01,4.542060072570483498e-01,1.777181120469155662e-01,-7.150075405466100875e-01
7.441488297659532014e-01,7.195888881755876376e-01,-7.180897001873902674e-01,4.550151690909203794e-01,1.785622201704371304e-01,-7.180897001873902674e-01
7.481496299259852156e-01,7.167098100801729821e-01,-7.211593278189446510e-01,4.558079126894307720e-01,1.794026575668124512e-01,-7.211593278189446510e-01
