t,v,w,q,dv_dt,dv_dt_noisy
1.100220044008801829e-01,1.029115463663492713e+00,1.000028315685919100e-01,9.809388552761936220e-01,8.879570260781614266e+00,8.858134512444065578e+00
1.120224044808961761e-01,1.046860581430582471e+00,1.016418387766476056e-01,9.970111808276761467e-01,8.862000996078537085e+00,8.880290340141112182e+00
1.140228045609121832e-01,1.064570550440103958e+00,1.032747298021443327e-01,1.013023185516483515e+00,8.844426720483824056e+00,8.844025451391514636e+00
1.160232046409281903e-01,1.082245361285421925e+00,1.049015213486343273e-01,1.028975023527800570e+00,8.826847913397040557e+00,8.801872935590353109e+00
1.180236047209441835e-01,1.099885005252511316e+00,1.065222301299841023e-01,1.044866849082162430e+00,8.809265028107443385e+00,8.802987038668106834e+00
1.200240048009601906e-01,1.117489474319958154e+00,1.081368728703744064e-01,1.060698816435453384e+00,8.791678492488665952e+00,8.792760538064097631e+00
1.220244048809761978e-01,1.135058761158958429e+00,1.097454663043001960e-01,1.076471079878907888e+00,8.774088709696789223e+00,8.779544536480077710e+00
1.240248049609922049e-01,1.152592859133318770e+00,1.113480271765706769e-01,1.092183793739109232e+00,8.756496058870672172e+00,8.736852296371852233e+00
1.260252050410081981e-01,1.170091762299455995e+00,1.129445722423092768e-01,1.107837112377990652e+00,8.738900895833459970e+00,8.716753434890156527e+00
1.280256051210242052e-01,1.187555465406397781e+00,1.145351182669537005e-01,1.123431190192835771e+00,8.721303553794273355e+00,8.725295244451215737e+00
1.300260052010402123e-01,1.204983963895781773e+00,1.161196820262558188e-01,1.138966181616276607e+00,8.703704344049102204e+00,8.694369351711506155e+00
1.320264052810562194e-01,1.222377253901856919e+00,1.176982803062817939e-01,1.154442241116295342e+00,8.686103556679963589e+00,8.690813668914568524e+00
1.340268053610722265e-01,1.239735332251481470e+00,1.192709299034120096e-01,1.169859523196223883e+00,8.668501461251411300e+00,8.683691851700979569e+00
1.360272054410882059e-01,1.257058196464124977e+00,1.208376476243410297e-01,1.185218182394743414e+00,8.650898307503609885e+00,8.617922560176591418e+00
1.380276055211042130e-01,1.274345844751867407e+00,1.223984502860777646e-01,1.200518373285885509e+00,8.633294326041140110e+00,8.638382088371493239e+00
1.400280056011202201e-01,1.291598276019398694e+00,1.239533547159452631e-01,1.215760250479030580e+00,8.615689729016748899e+00,8.640182668367463847e+00
1.420284056811362272e-01,1.308815489864019854e+00,1.255023777515808514e-01,1.230943968618908535e+00,8.598084710809404285e+00,8.592134173921994744e+00
1.440288057611522343e-01,1.325997486575641648e+00,1.270455362409360356e-01,1.246069682385599897e+00,8.580479448695927047e+00,8.564263157031176021e+00
1.460292058411682414e-01,1.343144267136785697e+00,1.285828470422766268e-01,1.261137546494533579e+00,8.562874103515600410e+00,8.577918980059191512e+00
1.480296059211842485e-01,1.360255831784650482e+00,1.301143268689647081e-01,1.276147714281089751e+00,8.545268821825073857e+00,8.550337752149236081e+00
1.500300060012002279e-01,1.377332177997008911e+00,1.316399920703411608e-01,1.291100335669026933e+00,8.527663738671545701e+00,8.545581400087096213e+00
1.520304060812162350e-01,1.394373306773564858e+00,1.331598593099700134e-01,1.305995563354064748e+00,8.510058971700253494e+00,8.503154657499228719e+00
1.540308061612322421e-01,1.411379219397065343e+00,1.346739452179410990e-01,1.320833549667846940e+00,8.492454625144159053e+00,8.462818259669715459e+00
1.560312062412482492e-01,1.428349917177066164e+00,1.361822663632692165e-01,1.335614446327329619e+00,8.474850790719406390e+00,8.472650575425181074e+00
1.580316063212642563e-01,1.445285401449931451e+00,1.376848392538939647e-01,1.350338404434782591e+00,8.457247548244721358e+00,8.448330985184496100e+00
1.600320064012802634e-01,1.462185673578834333e+00,1.391816803366798527e-01,1.365005574477788253e+00,8.439644966250607894e+00,8.455151442691558827e+00
1.620324064812962706e-01,1.479050734953756052e+00,1.406728059974161893e-01,1.379616106329242253e+00,8.422043102578003371e+00,8.425915759545546280e+00
1.640328065613122499e-01,1.495880586991486627e+00,1.421582325608171660e-01,1.394170149247353052e+00,8.404442004966142576e+00,8.371825020317441357e+00
1.660332066413282570e-01,1.512675231135625076e+00,1.436379762905219126e-01,1.408667851875642807e+00,8.386841711629376306e+00,8.362938450027312953e+00
1.680336067213442641e-01,1.529434668856578750e+00,1.451120533890942477e-01,1.423109362242946263e+00,8.369242251822747392e+00,8.386918032554492086e+00
1.700340068013602712e-01,1.546158901651563111e+00,1.465804799980230388e-01,1.437494827763411198e+00,8.351643646396102127e+00,8.365238946744458559e+00
1.720344068813762783e-01,1.562847931044602845e+00,1.480432721977218702e-01,1.451824395236498422e+00,8.334045908336650044e+00,8.321241041018479834e+00
1.740348069613922855e-01,1.579501758586530968e+00,1.495004460075292363e-01,1.466098210846981775e+00,8.316449043299769528e+00,8.316428067368423882e+00
1.760352070414082926e-01,1.596120385854989054e+00,1.509520173857085146e-01,1.480316420164948576e+00,8.298853050128013109e+00,8.307764521203536034e+00
1.780356071214242719e-01,1.612703814454427231e+00,1.523980022294479097e-01,1.494479168145798509e+00,8.281257921358209373e+00,8.290626008075154374e+00
1.800360072014402790e-01,1.629252046016104627e+00,1.538384163748605094e-01,1.508586599130245176e+00,8.263663643716601115e+00,8.281188487638887707e+00
1.820364072814562861e-01,1.645765082198088480e+00,1.552732755969842282e-01,1.522638856844314326e+00,8.246070198602028611e+00,8.251199911146459343e+00
1.840368073614722932e-01,1.662242924685255030e+00,1.567025956097818917e-01,1.536636084399345625e+00,8.228477562557078073e+00,8.226580995777707628e+00
1.860372074414883004e-01,1.678685575189288404e+00,1.581263920661410971e-01,1.550578424291991109e+00,8.210885707727291205e+00,8.205708746431534806e+00
1.880376075215043075e-01,1.695093035448681951e+00,1.595446805578744076e-01,1.564466018404216063e+00,8.193294602308380803e+00,8.214409458319046564e+00
1.900380076015203146e-01,1.711465307228737576e+00,1.609574766157191861e-01,1.578299008003299031e+00,8.175704210981555420e+00,8.130687125479985511e+00
1.920384076815362939e-01,1.727802392321565517e+00,1.623647957093376226e-01,1.592077533741831363e+00,8.158114495337008165e+00,8.155341388835180894e+00
1.940388077615523010e-01,1.744104292417665958e+00,1.637666532302677336e-01,1.605801735539439168e+00,8.140525414425889394e+00,8.141185416505571482e+00
1.960392078415683081e-01,1.760371008314083108e+00,1.651630643947567534e-01,1.619471751823533090e+00,8.122936926031272264e+00,8.094429946813868071e+00
1.980396079215843153e-01,1.776602540937653130e+00,1.665540443838880724e-01,1.633087720457126357e+00,8.105348985946401186e+00,8.112005258209162406e+00
2.000400080016003224e-01,1.792798891228853497e+00,1.679396083168933906e-01,1.646649778675491449e+00,8.087761548474949436e+00,8.074735928226081327e+00
2.020404080816163295e-01,1.808960060052668739e+00,1.693197712384795772e-01,1.660158063007279861e+00,8.070174566895083501e+00,8.087423462821398346e+00
2.040408081616323366e-01,1.825086048198590882e+00,1.706945481188286984e-01,1.673612709274521659e+00,8.052587993815473411e+00,8.050076152134787222e+00
2.060412082416483437e-01,1.841176856380619675e+00,1.720639538535979618e-01,1.687013852592626151e+00,8.035001781520342945e+00,8.048384846336132270e+00
2.080416083216643230e-01,1.857232485237263031e+00,1.734280032639197722e-01,1.700361627370380990e+00,8.017415882303668084e+00,8.041792754407092403e+00
2.100420084016803302e-01,1.873252935331535918e+00,1.747867110964017590e-01,1.713656167309953515e+00,7.999830248792738630e+00,8.007488840447008371e+00
2.120424084816963373e-01,1.889238207150961246e+00,1.761400920231266654e-01,1.726897605406888969e+00,7.982244834261241984e+00,7.964730411392785037e+00
2.140428085617123444e-01,1.905188301107569204e+00,1.774881606416524593e-01,1.740086073950112056e+00,7.964659592932044063e+00,7.934373220297951335e+00
2.160432086417283515e-01,1.921103217537897923e+00,1.788309314750122225e-01,1.753221704521925606e+00,7.947074480269891161e+00,7.982142162620218251e+00
2.180436087217443586e-01,1.936982956702993253e+00,1.801684189717143170e-01,1.766304627998012355e+00,7.929489453264192633e+00,7.927263609400442057e+00
2.200440088017603657e-01,1.952827518788408323e+00,1.815006375057421628e-01,1.779334974547432946e+00,7.911904470702120662e+00,7.898133171749433856e+00
2.220444088817763451e-01,1.968636903904203983e+00,1.828276013765544328e-01,1.792312873632627035e+00,7.894319493432200296e+00,7.897204635193416422e+00
2.240448089617923522e-01,1.984411112084949247e+00,1.841493248090850243e-01,1.805238454009413518e+00,7.876734484618634013e+00,7.872906258008980807e+00
2.260452090418083593e-01,2.000150143289720184e+00,1.854658219537428931e-01,1.818111843726990084e+00,7.859149409986536661e+00,7.876192255270790810e+00
2.280456091218243664e-01,2.015853997402100362e+00,1.867771068864123030e-01,1.830933170127932552e+00,7.841564238058325920e+00,7.842242801707067557e+00
2.300460092018403735e-01,2.031522674230181735e+00,1.880831936084525480e-01,1.843702559848196199e+00,7.823978940381463687e+00,7.824253932053832017e+00
2.320464092818563806e-01,2.047156173506563093e+00,1.893840960466982581e-01,1.856420138817115317e+00,7.806393491747785518e+00,7.792101897327126103e+00
2.340468093618723877e-01,2.062754494888351164e+00,1.906798280534591217e-01,1.869086032257402330e+00,7.788807870404603761e+00,7.798199232379553258e+00
2.360472094418883671e-01,2.078317637957160624e+00,1.919704034065200238e-01,1.881700364685148896e+00,7.771222058257848175e+00,7.750544723810748771e+00
2.380476095219043742e-01,2.093845602219113200e+00,1.932558358091411299e-01,1.894263259909825914e+00,7.753636041067425211e+00,7.766953829862704772e+00
2.400480096019203813e-01,2.109338387104839008e+00,1.945361388900576638e-01,1.906774841034282408e+00,7.736049808635028668e+00,7.766528558894830958e+00
2.420484096819363884e-01,2.124795992001848877e+00,1.958113262058356618e-01,1.919235230482504662e+00,7.718463354947621369e+00,7.687969634185638057e+00
2.440488097619523955e-01,2.140218417524767602e+00,1.970814113312286120e-01,1.931644551084549244e+00,7.700876676895759054e+00,7.651552092268732785e+00
2.460492098419684026e-01,2.155605663377244685e+00,1.983464076997785153e-01,1.944002924235997742e+00,7.683289776878778454e+00,7.695627351981864983e+00
2.480496099219844097e-01,2.170957728579843149e+00,1.996063286253828839e-01,1.956310470104171362e+00,7.665702662711957771e+00,7.716660619021620704e+00
2.500500100020003891e-01,2.186274612290694197e+00,2.008611873630528621e-01,1.968567308333976085e+00,7.648115346840827833e+00,7.628096849863389650e+00
2.520504100820163962e-01,2.201556313805495879e+00,2.021109971089131430e-01,1.980773558047904670e+00,7.630527846485204435e+00,7.605513931309165088e+00
2.540508101620324033e-01,2.216802832557513536e+00,2.033557710002019125e-01,1.992929337846033988e+00,7.612940183777137548e+00,7.624719562452747290e+00
2.560512102420484104e-01,2.232014168117580244e+00,2.045955221152709891e-01,2.005034765806027242e+00,7.595352385892939040e+00,7.578537954091772555e+00
2.580516103220644175e-01,2.247190320194095037e+00,2.058302634735857117e-01,2.017089959483132855e+00,7.577764485179521614e+00,7.567643975500787157e+00
2.600520104020804246e-01,2.262331288633025128e+00,2.070600080357249684e-01,2.029095035910184475e+00,7.560176519275244367e+00,7.553214169941568912e+00
2.620524104820964317e-01,2.277437073417904578e+00,2.082847687033812512e-01,2.041050111597602079e+00,7.542588531225432824e+00,7.553228572951268482e+00
2.640528105621124388e-01,2.292507674669835183e+00,2.095045583193606009e-01,2.052955302533389759e+00,7.525000569592800836e+00,7.516894522364938602e+00
2.660532106421284460e-01,2.307543092647485583e+00,2.107193896675825517e-01,2.064810724183138824e+00,7.507412688562930647e+00,7.512970345364533564e+00
2.680536107221444531e-01,2.322543327747091269e+00,2.119292754730802975e-01,2.076616491490024252e+00,7.489824948045004760e+00,7.486294282867133276e+00
2.700540108021604602e-01,2.337508380502455463e+00,2.131342284020005251e-01,2.088372718874808243e+00,7.472237413767976122e+00,7.455343991694943995e+00
2.720544108821764118e-01,2.352438251584948237e+00,2.143342610616034705e-01,2.100079520235836661e+00,7.454650157372331165e+00,7.448253632217467057e+00
2.740548109621924189e-01,2.367332941803507396e+00,2.155293860002630013e-01,2.111737008949043037e+00,7.437063256497635777e+00,7.418055263194277771e+00
2.760552110422084260e-01,2.382192452104638036e+00,2.167196157074664786e-01,2.123345297867944126e+00,7.419476794866014302e+00,7.419607094583409612e+00
2.780556111222244331e-01,2.397016783572411658e+00,2.179049626138148399e-01,2.134904499323644345e+00,7.401890862361730328e+00,7.379413537810417978e+00
2.800560112022404402e-01,2.411805937428467050e+00,2.190854390910225991e-01,2.146414725124831335e+00,7.384305555107022023e+00,7.362447667721117028e+00
2.820564112822564473e-01,2.426559915032011183e+00,2.202610574519177911e-01,2.157876086557779960e+00,7.366720975534335913e+00,7.395860211840441067e+00
2.840568113622724544e-01,2.441278717879817428e+00,2.214318299504420551e-01,2.169288694386350080e+00,7.349137232455123403e+00,7.348073548049016246e+00
2.860572114422884615e-01,2.455962347606226448e+00,2.225977687816505513e-01,2.180652658851987002e+00,7.331554441125318178e+00,7.330476400615877353e+00
2.880576115223044686e-01,2.470610805983146196e+00,2.237588860817120440e-01,2.191968089673721032e+00,7.313972723307649915e+00,7.324203451706002177e+00
2.900580116023204758e-01,2.485224094920052362e+00,2.249151939279088186e-01,2.203235096048169250e+00,7.296392207330914204e+00,7.287975067279936603e+00
2.920584116823364829e-01,2.499802216463987037e+00,2.260667043386367092e-01,2.214453786649532407e+00,7.278813028146323916e+00,7.274242320796760808e+00
2.940588117623524900e-01,2.514345173729417127e+00,2.272134293344908462e-01,2.225624270288708573e+00,7.261235326263618006e+00,7.269738300970256084e+00
2.960592118423684971e-01,2.528852971653047454e+00,2.283553809885198460e-01,2.236746656465648631e+00,7.243659246876977598e+00,7.249307563721865577e+00
2.980596119223845042e-01,2.543325613018194264e+00,2.294925711651580047e-01,2.247821052552419818e+00,7.226084944689459277e+00,7.202899010150810355e+00
3.000600120024004558e-01,2.557763100917326948e+00,2.306250116813840512e-01,2.258847565521755474e+00,7.208512581013325260e+00,7.225179432946718272e+00
3.020604120824164629e-01,2.572165438915437363e+00,2.317527143174349102e-01,2.269826302062350809e+00,7.190942323612771858e+00,7.179133624746991238e+00
3.040608121624324700e-01,2.586532631050037612e+00,2.328756908168053696e-01,2.280757368578862909e+00,7.173374346740184038e+00,7.152252767733900285e+00
3.060612122424484771e-01,2.600864681831162706e+00,2.339939528862484130e-01,2.291640871191910289e+00,7.155808831170193507e+00,7.137799329770212253e+00
3.080616123224644842e-01,2.615161596241369235e+00,2.351075121957749148e-01,2.302476915738072893e+00,7.138245964231655805e+00,7.130435057344548966e+00
3.100620124024804913e-01,2.629423379735735367e+00,2.362163803786539729e-01,2.313265607769892096e+00,7.120685939837622769e+00,7.153231944930084296e+00
3.120624124824964984e-01,2.643650038241861289e+00,2.373205690314125760e-01,2.324007052555872477e+00,7.103128958513377000e+00,7.079618240414961683e+00
3.140628125625125056e-01,2.657841578159869211e+00,2.384200897138358255e-01,2.334701355080478269e+00,7.085575227422629574e+00,7.088776745273316138e+00
3.160632126425285127e-01,2.671998006362402922e+00,2.395149539489668800e-01,2.345348620044136911e+00,7.068024960391919187e+00,7.025268473230108057e+00
3.180636127225445198e-01,2.686119330194628674e+00,2.406051732231069551e-01,2.355948951863236385e+00,7.050478377933306895e+00,7.050447039270403060e+00
3.200640128025605269e-01,2.700205557474232965e+00,2.416907589858152405e-01,2.366502454670127431e+00,7.032935707265404623e+00,7.050927035614924954e+00
3.220644128825765340e-01,2.714256696491426091e+00,2.427717226499090386e-01,2.377009232313121334e+00,7.015397182332796966e+00,7.010663915891568010e+00
3.240648129625925411e-01,2.728272756008938593e+00,2.438480755914636811e-01,2.387469388356491695e+00,6.997863043823918439e+00,6.985275945346251625e+00
3.260652130426085482e-01,2.742253745262024367e+00,2.449198291498125291e-01,2.397883026080473989e+00,6.980333539187400405e+00,6.984963760468571259e+00
3.280656131226244998e-01,2.756199673958457108e+00,2.459869946275469732e-01,2.408250248481264677e+00,6.962808922646967602e+00,6.976811957669980302e+00
3.300660132026405069e-01,2.770110552278534310e+00,2.470495832905165723e-01,2.418571158271022092e+00,6.945289455214879837e+00,6.958562606635227965e+00
3.320664132826565140e-01,2.783986390875075045e+00,2.481076063678287480e-01,2.428845857877867331e+00,6.927775404703972129e+00,6.967224881782567714e+00
3.340668133626725211e-01,2.797827200873419073e+00,2.491610750518490902e-01,2.439074449445881587e+00,6.910267045738315517e+00,6.914450395185040676e+00
3.360672134426885282e-01,2.811632993871428177e+00,2.502100004982011905e-01,2.449257034835107927e+00,6.892764659762500301e+00,6.880916457767441763e+00
3.380676135227045354e-01,2.825403781939487491e+00,2.512543938257667531e-01,2.459393715621552623e+00,6.875268535049580798e+00,6.872748951249848304e+00
3.400680136027205425e-01,2.839139577620502397e+00,2.522942661166853728e-01,2.469484593097181158e+00,6.857778966707674506e+00,6.856328995795278658e+00
3.420684136827365496e-01,2.852840393929900298e+00,2.533296284163548684e-01,2.479529768269923107e+00,6.840296256685230780e+00,6.842471004354792719e+00
3.440688137627525567e-01,2.866506244355631061e+00,2.543604917334310045e-01,2.489529341863668144e+00,6.822820713774957468e+00,6.822220157510368921e+00
3.460692138427685638e-01,2.880137143108519204e+00,2.553868670517377981e-01,2.499483414442984053e+00,6.805352653302762178e+00,6.808831972080686690e+00
3.480696139227845709e-01,2.893733107648842395e+00,2.564087654517098191e-01,2.509392087687541739e+00,6.787892393951002745e+00,6.754475392738700457e+00
3.500700140028005780e-01,2.907294153961404337e+00,2.574261978869477607e-01,2.519255462055192130e+00,6.770440263663532576e+00,6.787032842784333830e+00
3.520704140828165851e-01,2.920820297960116552e+00,2.584391752487619209e-01,2.529073637452630141e+00,6.752996597903756282e+00,6.741501812525335424e+00
3.540708141628325922e-01,2.934311556381788755e+00,2.594477084084019225e-01,2.538846713676939260e+00,6.735561738530090103e+00,6.712098564601149953e+00
3.560712142428485438e-01,2.947767946786129745e+00,2.604518082170564353e-01,2.548574790415590652e+00,6.718136033786865191e+00,6.730891056979693587e+00
3.580716143228645509e-01,2.961189487555747402e+00,2.614514855058536202e-01,2.558257967246443609e+00,6.700719838293859532e+00,6.727066358441581073e+00
3.600720144028805580e-01,2.974576197896148244e+00,2.624467510858605190e-01,2.567896343637744661e+00,6.683313513034429221e+00,6.693174076024417829e+00
3.620724144828965652e-01,2.987928097835737873e+00,2.634376157480837199e-01,2.577490018948128903e+00,6.665917425342185787e+00,6.669140611619096326e+00
3.640728145629125723e-01,3.001245208225820527e+00,2.644240902634686918e-01,2.587039092426618225e+00,6.648531948886218679e+00,6.629887542778779341e+00
3.660732146429285794e-01,3.014527550740598638e+00,2.654061853829003947e-01,2.596543663212623976e+00,6.631157463654814954e+00,6.688588810411085106e+00
3.680736147229445865e-01,3.027775147877174611e+00,2.663839118372028358e-01,2.606003830335943849e+00,6.613794355937592684e+00,6.631399528350822692e+00
3.700740148029605936e-01,3.040988022955549486e+00,2.673572803371392359e-01,2.615419692716763667e+00,6.596443018306073824e+00,6.573657124899214388e+00
3.720744148829766007e-01,3.054166200118622498e+00,2.683263015734121959e-01,2.624791349165657817e+00,6.579103849592582876e+00,6.563511091267788089e+00
3.740748149629926078e-01,3.067309704332191966e+00,2.692909862166633639e-01,2.634118898383587926e+00,6.561777254867452669e+00,6.563516839838890782e+00
3.760752150430086149e-01,3.080418561384955289e+00,2.702513449174736571e-01,2.643402438961903300e+00,6.544463645414460906e+00,6.513369022774541328e+00
3.780756151230246220e-01,3.093492797888508949e+00,2.712073883063631508e-01,2.652642069382342260e+00,6.527163438704453924e+00,6.530536046844663822e+00
3.800760152030406291e-01,3.106532441277347623e+00,2.721591269937911894e-01,2.661837888017029030e+00,6.509877058367084857e+00,6.500695627252829567e+00
3.820764152830566363e-01,3.119537519808865067e+00,2.731065715701563867e-01,2.670989993128477291e+00,6.492604934160589814e+00,6.517130346166914556e+00
3.840768153630725879e-01,3.132508062563353679e+00,2.740497326057964034e-01,2.680098482869587961e+00,6.475347501939550554e+00,6.494590595212115680e+00
