t,N,T,dN_dt,dN_dt_noisy
1.800360072014402790e-01,1.130569359442393340e+00,1.833488561316086105e-02,7.707642601276877281e-01,5.006441770229784538e+00
1.860372074414882726e-01,1.135204368874207281e+00,1.895880127125897097e-02,7.739320253176045217e-01,-1.450109500066958157e+00
1.920384076815362939e-01,1.139858427986904621e+00,1.958363071956438495e-02,7.771128718186799400e-01,2.190285756468379752e-02
1.980396079215843153e-01,1.144531615402075042e+00,2.020938265434109662e-02,7.803068541005133696e-01,4.865850069085174034e+00
2.040408081616323088e-01,1.149224010081266956e+00,2.083606579420551469e-02,7.835140268717095680e-01,2.076920019275403373e+00
2.100420084016803302e-01,1.153935691325988167e+00,2.146368888012647677e-02,7.867344450799341748e-01,2.112861189832457409e+00
2.160432086417283237e-01,1.158666738777705207e+00,2.209226067542522515e-02,7.899681639119674470e-01,-2.380445794629583167e-01
2.220444088817763451e-01,1.163417232417844005e+00,2.272178996577542756e-02,7.932152387937601024e-01,-2.502935102917545507e+00
2.280456091218243386e-01,1.168187252567789436e+00,2.335228555920315641e-02,7.964757253904876100e-01,1.131405213835969814e+00
2.340468093618723600e-01,1.172976879888885549e+00,2.398375628608691648e-02,7.997496796066061453e-01,1.017777855249701213e+00
2.400480096019203535e-01,1.177786195382435563e+00,2.461621099915761376e-02,8.030371575859081013e-01,-1.651666950903240227e+00
2.460492098419683749e-01,1.182615280389701873e+00,2.524965857349858317e-02,8.063382157115779325e-01,-5.601151078495465452e-01
2.520504100820163962e-01,1.187464216591905153e+00,2.588410790654556426e-02,8.096529106062487768e-01,6.655655511517939438e-01
2.580516103220644175e-01,1.192333086010226584e+00,2.651956791808672553e-02,8.129812991320590765e-01,-1.076521946989495770e+00
2.640528105621123833e-01,1.197221971005804964e+00,2.715604755026262973e-02,8.163234383907089775e-01,6.197835026862744678e-01
2.700540108021604047e-01,1.202130954279739372e+00,2.779355576756629975e-02,8.196793857235182834e-01,1.010645440662427008e+00
2.760552110422084260e-01,1.207060118873087173e+00,2.843210155684312845e-02,8.230491987114832986e-01,8.942216728224546829e-01
2.820564112822564473e-01,1.212009548166865347e+00,2.907169392729094456e-02,8.264329351753346709e-01,-1.861503814532948775e-01
2.880576115223044686e-01,1.216979325882049601e+00,2.971234191045999534e-02,8.298306531755959004e-01,2.017326796747241247e+00
2.940588117623524345e-01,1.221969536112894605e+00,3.035405456337667354e-02,8.332424110354214042e-01,2.615576319600078303e+00
3.000600120024004558e-01,1.226980263383850467e+00,3.099684097376071562e-02,8.366682673795735603e-01,1.478364876512701098e+00
3.060612122424484771e-01,1.232011592427555202e+00,3.164071023918711700e-02,8.401082809826937448e-01,-7.963521737979203374e-01
3.120624124824964984e-01,1.237063608328293984e+00,3.228567148069050319e-02,8.435625108674431605e-01,2.306867078438324725e+00
3.180636127225444643e-01,1.242136396539400556e+00,3.293173384440473139e-02,8.470310163164599393e-01,-1.558490206176447179e-01
3.240648129625924856e-01,1.247230042883258561e+00,3.357890650156294260e-02,8.505138568724229797e-01,2.608835093448393483e+00
3.300660132026405069e-01,1.252344633551301101e+00,3.422719864849750604e-02,8.540110923381132313e-01,-1.289563741416775100e+00
3.360672134426885282e-01,1.257480255104010292e+00,3.487661950664006083e-02,8.575227827764762001e-01,2.686457189034038517e+00
3.420684136827365496e-01,1.262636994470918150e+00,3.552717832252148822e-02,8.610489885106855645e-01,8.209220792797247146e-01
3.480696139227845154e-01,1.267814938950605486e+00,3.617888436777192546e-02,8.645897701242056810e-01,-1.632908010544625199e+00
3.540708141628325367e-01,1.273014176210703230e+00,3.683174693912075887e-02,8.681451884608553105e-01,2.403462445271598025e-01
3.600720144028805580e-01,1.278234794287891329e+00,3.748577535839664465e-02,8.717153046248714565e-01,9.799198621679592325e-01
3.660732146429285794e-01,1.283476881587898966e+00,3.814097897252746033e-02,8.753001799809739802e-01,1.420882858309881591e+00
3.720744148829765452e-01,1.288740526885504778e+00,3.879736715354036719e-02,8.788998761544284388e-01,-1.085476373727527033e+00
3.780756151230245665e-01,1.294025819324537530e+00,3.945494929856176863e-02,8.825144550311140312e-01,-1.332231639299271908e+00
3.840768153630725879e-01,1.299332848417874553e+00,4.011373482981731714e-02,8.861439787575849936e-01,1.285313044451746656e+00
3.900780156031206092e-01,1.304661704047442639e+00,4.077373319463192120e-02,8.897885097411385447e-01,-4.371072401846554101e-02
3.960792158431686305e-01,1.310012476464218700e+00,4.143495386542974529e-02,8.934481106498803893e-01,1.364459334110330824e+00
4.020804160832165963e-01,1.315385256288228000e+00,4.209740633973418911e-02,8.971228444127893331e-01,2.416161889369547566e+00
4.080816163232646177e-01,1.320780134508546366e+00,4.276110014016794303e-02,9.008127742197856724e-01,-2.396761958482111154e+00
4.140828165633126390e-01,1.326197202543985210e+00,4.342604482002947186e-02,9.045179635633056048e-01,1.413294196598540164e+00
4.200840168033606603e-01,1.331636552262662310e+00,4.409224996493287668e-02,9.082384762517605736e-01,3.357532411323225219e+00
4.260852170434086261e-01,1.337098275745217668e+00,4.475972517106589776e-02,9.119743762476431037e-01,3.169206875066966633e-01
4.320864172834566475e-01,1.342582465464698060e+00,4.542848006188360960e-02,9.157257277906324378e-01,-7.059034386845074449e-01
4.380876175235046688e-01,1.348089214296422256e+00,4.609852428901919930e-02,9.194925954044110838e-01,2.423980249763596717e+00
4.440888177635526901e-01,1.353618615517981461e+00,4.676986753228398047e-02,9.232750438967376461e-01,1.430168076313020453e+00
4.500900180036007114e-01,1.359170762809239319e+00,4.744251949966740017e-02,9.270731383595162134e-01,2.718839279914636808e+00
4.560912182436486773e-01,1.364745750252331247e+00,4.811648992733703889e-02,9.308869441688694124e-01,2.404555240663099891e-01
4.620924184836966986e-01,1.370343672331665097e+00,4.879178857963861055e-02,9.347165269852097946e-01,-2.028920020459212381e+00
4.680936187237447199e-01,1.375964623933920494e+00,4.946842524909594863e-02,9.385619527533123341e-01,7.185404233308103628e-01
4.740948189637927412e-01,1.381608700348050167e+00,5.014640975641103393e-02,9.424232877023872579e-01,5.076698167992288457e-02
4.800960192038407071e-01,1.387275997265277949e+00,5.082575195046393907e-02,9.463005983461522108e-01,2.496948242441300536e+00
4.860972194438887284e-01,1.392966610779100556e+00,5.150646170831292558e-02,9.501939514829066402e-01,1.337459648237214305e+00
4.920984196839367497e-01,1.398680637385286696e+00,5.218854893519433297e-02,9.541034141956052927e-01,-2.307595050674597026e+00
4.980996199239847710e-01,1.404418173981877294e+00,5.287202356452266189e-02,9.580290538519322663e-01,-1.432297106354467386e+00
5.041008201640327924e-01,1.410179317869185489e+00,5.355689555789052564e-02,9.619709381043756169e-01,2.729549011278886272e+00
5.101020204040808137e-01,1.415964166749796638e+00,5.424317490506867789e-02,9.659291348903014107e-01,2.325459169725994535e+00
5.161032206441288350e-01,1.421772818728567866e+00,5.493087162400599188e-02,9.699037124320302183e-01,-3.105830193849472565e-01
5.221044208841767453e-01,1.427605372312629184e+00,5.561999576082948121e-02,9.738947392369108336e-01,9.717971461023494628e-01
5.281056211242247667e-01,1.433461926411382370e+00,5.631055738984429293e-02,9.779022840973989883e-01,1.869049391649771241e+00
5.341068213642727880e-01,1.439342580336867794e+00,5.700256661356686849e-02,9.819264160913804274e-01,1.918735087785936155e+00
5.401080216043208093e-01,1.445247433952810301e+00,5.769603357616546330e-02,9.859672046842469229e-01,2.738451596912947039e+00
5.461092218443688306e-01,1.451176587466917578e+00,5.839096844448414536e-02,9.900247195868447925e-01,1.502995974029968762e+00
5.521104220844168520e-01,1.457130141380825750e+00,5.908738140369489827e-02,9.940990307212924648e-01,8.044423527842960997e-01
5.581116223244648733e-01,1.463108196636032865e+00,5.978528267057160034e-02,9.981902083209230891e-01,4.804940787452319784e-01
5.641128225645128946e-01,1.469110854613897343e+00,6.048468249349009396e-02,1.002298322930363472e+00,3.113783923996865877e+00
5.701140228045609160e-01,1.475138217135639307e+00,6.118559115242813706e-02,1.006423445405617789e+00,-3.495285104751457261e+00
5.761152230446089373e-01,1.481190386462339692e+00,6.188801895896541005e-02,1.010565646914147075e+00,7.332549967314724304e-01
5.821164232846568476e-01,1.487267465294940472e+00,6.259197625628352968e-02,1.014724998934954714e+00,1.080725206903074831e+00
5.881176235247048689e-01,1.493369556774245099e+00,6.329747341916605596e-02,1.018901573258665927e+00,-1.831796348481709469e+00
5.941188237647528902e-01,1.499496764480917843e+00,6.400452085399849222e-02,1.023095441987612597e+00,1.688722668263705984e+00
6.001200240048009116e-01,1.505649192435484451e+00,6.471312899876821567e-02,1.027306677535916313e+00,-2.752553473508716486e-01
6.061212242448489329e-01,1.511826945098331487e+00,6.542330832306458843e-02,1.031535352629571856e+00,2.756424945261065407e+00
6.121224244848969542e-01,1.518030127369706550e+00,6.613506932807888816e-02,1.035781540306531801e+00,7.845973722378773996e-01
6.181236247249449756e-01,1.524258844589718942e+00,6.684842254660430805e-02,1.040045313916791114e+00,2.378351795495696752e+00
6.241248249649929969e-01,1.530513202538338335e+00,6.756337854303598456e-02,1.044326747122471533e+00,3.482013957464918263e+00
6.301260252050410182e-01,1.536793307435396327e+00,6.827994791337098357e-02,1.048625913897908379e+00,1.814485079324853256e+00
6.361272254450889285e-01,1.543099265940584885e+00,6.899814128520828649e-02,1.052942888529733612e+00,-6.984993983159573094e-01
6.421284256851369499e-01,1.549431185153457680e+00,6.971796931774887351e-02,1.057277745616964637e+00,-1.971359517792312221e+00
6.481296259251849712e-01,1.555789172613429194e+00,7.043944270179555711e-02,1.061630560071090468e+00,4.568398795103835397e+00
6.541308261652329925e-01,1.562173336299775395e+00,7.116257215975313466e-02,1.066001407116156319e+00,8.434170207411174625e-01
6.601320264052810138e-01,1.568583784631632616e+00,7.188736844562833295e-02,1.070390362288853536e+00,-3.067395329797897308e-01
6.661332266453290352e-01,1.575020626566917548e+00,7.261384235382704888e-02,1.074797501506334463e+00,1.363311677627984331e+00
6.721344268853770565e-01,1.581483971595197158e+00,7.334200471832377777e-02,1.079222901061426931e+00,6.964002400961284422e-01
6.781356271254250778e-01,1.587973929433239562e+00,7.407186638562769654e-02,1.083666637414269385e+00,2.787951165839644752e+00
6.841368273654730991e-01,1.594490610271086517e+00,7.480343823684902638e-02,1.088128787360875815e+00,1.155985152235076363e+00
6.901380276055210095e-01,1.601034124780918777e+00,7.553673118849063561e-02,1.092609428039298614e+00,1.120108595276137597e+00
6.961392278455690308e-01,1.607604584117057422e+00,7.627175619244819238e-02,1.097108636929721381e+00,-3.320508051362067725e-01
7.021404280856170521e-01,1.614202099915962085e+00,7.700852423601001195e-02,1.101626491854554413e+00,2.040762689349540970e+00
7.081416283256650734e-01,1.620826784296232503e+00,7.774704634185716778e-02,1.106163070978527507e+00,-9.615703737314373889e-01
7.141428285657130948e-01,1.627478749858607854e+00,7.848733356806346373e-02,1.110718452808785006e+00,2.442497332336719396e+00
7.201440288057611161e-01,1.634158109685966309e+00,7.922939700809540631e-02,1.115292716194980605e+00,4.163167742175244435e+00
7.261452290458091374e-01,1.640864977343325926e+00,7.997324779081223245e-02,1.119885940329373497e+00,-1.929486135868930141e+00
7.321464292858571588e-01,1.647599466877844421e+00,8.071889708046589562e-02,1.124498204746923857e+00,-3.807960257955711914e+00
7.381476295259051801e-01,1.654361692818818508e+00,8.146635607670110746e-02,1.129129589325389205e+00,2.362887099634027877e+00
7.441488297659530904e-01,1.661151770177684339e+00,8.221563601455521286e-02,1.133780174285420106e+00,6.229575805251672094e+00
7.501500300060011117e-01,1.667969814448018395e+00,8.296674816445839817e-02,1.138450040190659651e+00,-8.633996575531275308e-01
7.561512302460491330e-01,1.674815941605535929e+00,8.371970383223348300e-02,1.143139267947839155e+00,-1.358252249656137334e+00
7.621524304860971544e-01,1.681690268108091635e+00,8.447451435909604511e-02,1.147847938806876078e+00,2.325785806367823394e+00
7.681536307261451757e-01,1.688592910895679866e+00,8.523119112165436495e-02,1.152576134360973281e+00,-5.288670457556423621e-01
7.741548309661931970e-01,1.695523987390434639e+00,8.598974553190948111e-02,1.157323936546717613e+00,1.452729686732447956e-01
7.801560312062412184e-01,1.702483615496629188e+00,8.675018903725512098e-02,1.162091427644178943e+00,4.658564942766232342e-01
7.861572314462892397e-01,1.709471913600676407e+00,8.751253312047772848e-02,1.166878690277008968e+00,2.230882862860606330e+00
7.921584316863372610e-01,1.716489000571553625e+00,8.827678929979393407e-02,1.171685807412835345e+00,3.610810846265980478e-01
7.981596319263851713e-01,1.723534995963129424e+00,8.904296914658305084e-02,1.176512862501969625e+00,1.732278542662289977e+00
8.041608321664331926e-01,1.730610019737489180e+00,8.981108426086351071e-02,1.181359939287978778e+00,8.282934215008280754e-01
8.101620324064812140e-01,1.737714192187657325e+00,9.058114626470180342e-02,1.186227121754833691e+00,-5.031150855483728090e-01
8.161632326465292353e-01,1.744847634136165393e+00,9.135316681974448016e-02,1.191114494263044277e+00,5.514619787766021908e-01
8.221644328865772566e-01,1.752010466935052246e+00,9.212715762721811197e-02,1.196022141549765605e+00,-7.047771887860716511e-01
8.281656331266252780e-01,1.759202812465864074e+00,9.290313042792934517e-02,1.200950148728906708e+00,1.213980120468404422e+00
8.341668333666732993e-01,1.766424793139654614e+00,9.368109700226480430e-02,1.205898601291236272e+00,-1.041833853840036905e+00
8.401680336067213206e-01,1.773676531896984931e+00,9.446106917019120308e-02,1.210867585104491662e+00,-9.749211534859945072e-01
8.461692338467693419e-01,1.780958152207923417e+00,9.524305879125524732e-02,1.215857186413487945e+00,4.129780817023998907e+00
8.521704340868172523e-01,1.788269778072045568e+00,9.602707776458366262e-02,1.220867491840224694e+00,1.114499051229541848e+00
8.581716343268652736e-01,1.795611534018435096e+00,9.681313802888330544e-02,1.225898588383997456e+00,1.118094537439911607e+00
8.641728345669132949e-01,1.802983545105682150e+00,9.760125156244095490e-02,1.230950563421506105e+00,2.254023403256744107e+00
8.701740348069613162e-01,1.810385936921884653e+00,9.839143038312349321e-02,1.236023504706965648e+00,3.943094996092232352e-01
8.761752350470093376e-01,1.817818835584647630e+00,9.918368654837780851e-02,1.241117500372216798e+00,7.840467654159006816e-01
8.821764352870573589e-01,1.825282367741083878e+00,9.997803215523082265e-02,1.246232638926836556e+00,2.096530109590654334e+00
8.881776355271053802e-01,1.832776660567813298e+00,1.007744793402894912e-01,1.251369009258250564e+00,1.816200693747053618e+00
8.941788357671534015e-01,1.840301841770963120e+00,1.015730402797408310e-01,1.256526700631844573e+00,-1.062066753233014804e+00
9.001800360072014229e-01,1.847858039586168344e+00,1.023737271893518652e-01,1.261705802691076572e+00,2.928390996030400206e+00
9.061812362472493332e-01,1.855445382778570407e+00,1.031765523244696503e-01,1.266906405457589591e+00,8.603651887950358734e-02
9.121824364872973545e-01,1.863064000642819407e+00,1.039815279800213044e-01,1.272128599331326271e+00,-8.400293012970454498e-01
9.181836367273453758e-01,1.870714023003071658e+00,1.047886664905139653e-01,1.277372475090640336e+00,-5.235776649074630473e-01
9.241848369673933972e-01,1.878395580212991689e+00,1.055979802300347908e-01,1.282638123892413162e+00,5.015474351817673648e-01
9.301860372074414185e-01,1.886108803356876251e+00,1.064094816296772411e-01,1.287925637410042290e+00,4.542526146656176600e+00
9.361872374474894398e-01,1.893853824033111755e+00,1.072231831585132994e-01,1.293235107685128726e+00,-1.057836702156432329e+00
9.421884376875374612e-01,1.901630774155317560e+00,1.080390973065078059e-01,1.298566626991260797e+00,1.618718412059942269e+00
9.481896379275854825e-01,1.909439786219290669e+00,1.088572366078030956e-01,1.303920288017121454e+00,-2.971728428164033264e+00
9.541908381676335038e-01,1.917280993303265291e+00,1.096776136407416335e-01,1.309296183866788033e+00,1.306162317576394116e+00
9.601920384076814141e-01,1.925154529067913733e+00,1.105002410278659586e-01,1.314694408059855713e+00,3.113827243011869861e+00
9.661932386477294354e-01,1.933060527756345959e+00,1.113251314359187255e-01,1.320115054531558973e+00,8.467884104086487174e-01
9.721944388877774568e-01,1.940999124194109138e+00,1.121522975758426771e-01,1.325558217632894387e+00,6.684836986621056631e-02
9.781956391278254781e-01,1.948970453789188317e+00,1.129817522027806581e-01,1.331023992130745848e+00,1.794046120247821285e+00
9.841968393678734994e-01,1.956974652532006198e+00,1.138135081160756013e-01,1.336512473208007590e+00,2.736815975509308441e+00
9.901980396079215208e-01,1.965011856995422912e+00,1.146475781592705551e-01,1.342023756463708084e+00,2.669338898498521573e+00
9.961992398479695421e-01,1.973082204334736023e+00,1.154839752201086422e-01,1.347557937913135717e+00,5.292505645772719092e+00
1.002200440088017563e+00,1.981185832287681192e+00,1.163227122305331013e-01,1.353115113987964691e+00,1.771450058660518190e+00
1.008201640328065585e+00,1.989322879174431291e+00,1.171638021666872587e-01,1.358695381536379809e+00,1.738751820305146634e-01
1.014202840568113606e+00,1.997493483897597066e+00,1.180072580489145706e-01,1.364298837823203714e+00,1.112340457849918307e+00
1.020204040808161627e+00,2.005697785942226474e+00,1.188530929417585397e-01,1.369925580530022557e+00,1.224928489290398437e+00
1.026205241048209649e+00,2.013935925375805791e+00,1.197013199539627981e-01,1.375575707755315680e+00,1.593050474711553033e+00
1.032206441288257670e+00,2.022208042848258280e+00,1.205519522384710662e-01,1.381249318014579508e+00,1.321193691555709648e+00
1.038207641528305691e+00,2.030514279591944860e+00,1.214050029924271662e-01,1.386946510240458563e+00,1.734878388032865315e+00
1.044208841768353491e+00,2.038854777421664100e+00,1.222604854571749944e-01,1.392667383782873136e+00,-1.949032737447352170e+00
1.050210042008401512e+00,2.047229678734652669e+00,1.231184129182586462e-01,1.398412038409148961e+00,3.057669950489234623e+00
1.056211242248449533e+00,2.055639126510584003e+00,1.239787987054221663e-01,1.404180574304144669e+00,2.547020364620800059e-01
1.062212442488497555e+00,2.064083264407337470e+00,1.248416562008311942e-01,1.409973092136080242e+00,-9.363443007579690391e-01
1.068213642728545576e+00,2.072562236900799881e+00,1.257069988508883462e-01,1.415789693152583295e+00,2.691292012435454684e+00
1.074214842968593597e+00,2.081076188704558572e+00,1.265748401163870052e-01,1.421630478782732743e+00,4.056282493554896895e+00
1.080216043208641619e+00,2.089625265134379628e+00,1.274451935040319395e-01,1.427495550887206255e+00,2.413551849886091727e+00
1.086217243448689640e+00,2.098209612147505787e+00,1.283180725698234714e-01,1.433385011785375696e+00,1.755703639476416278e+00
1.092218443688737661e+00,2.106829376342653770e+00,1.291934909190574632e-01,1.439298964255444124e+00,-4.251416464884600899e-01
1.098219643928785683e+00,2.115484704960016060e+00,1.300714622063253723e-01,1.445237511534585462e+00,7.188372187161583327e+00
1.104220844168833704e+00,2.124175745881260902e+00,1.309520001355141405e-01,1.451200757319085488e+00,3.211717998642101612e+00
1.110222044408881725e+00,2.132902647629530080e+00,1.318351184598062775e-01,1.457188805764477957e+00,-8.214005349214736906e-01
1.116223244648929747e+00,2.141665559369443361e+00,1.327208309816798881e-01,1.463201761485690477e+00,-9.607407099379861037e-02
1.122224444888977768e+00,2.150464630907093166e+00,1.336091515529085338e-01,1.469239729557180851e+00,1.643198226700989473e+00
1.128225645129025789e+00,2.159300012690048565e+00,1.345000940745613993e-01,1.475302815513080068e+00,-1.634159448478892385e+00
1.134226845369073811e+00,2.168171855807353499e+00,1.353936724970031535e-01,1.481391125347335302e+00,1.818651939368363779e+00
1.140228045609121832e+00,2.177080311989527228e+00,1.362899008198940887e-01,1.487504765513850469e+00,5.693616540883322807e-01
1.146229245849169853e+00,2.186025533608564775e+00,1.371887930921899812e-01,1.493643842926629661e+00,3.946185043559064631e+00
1.152230446089217875e+00,2.195007673677935145e+00,1.380903634121421475e-01,1.499808464959921261e+00,3.424117792216414990e+00
1.158231646329265674e+00,2.204026885852583995e+00,1.389946259272974993e-01,1.505998739448359824e+00,-3.916572135421185319e+00
1.164232846569313695e+00,2.213083324428931409e+00,1.399015948344985161e-01,1.512214774687111962e+00,1.595619946741737127e+00
1.170234046809361717e+00,2.222177144344873234e+00,1.408112843798831337e-01,1.518456679432018896e+00,-1.716478319615357462e+00
1.176235247049409738e+00,2.231308501179780190e+00,1.417237088588849114e-01,1.524724562899743008e+00,3.744000561396789273e+00
1.182236447289457759e+00,2.240477551154497871e+00,1.426388826162328927e-01,1.531018534767912387e+00,1.867230273023561038e+00
1.188237647529505780e+00,2.249684451131348517e+00,1.435568200459517163e-01,1.537338705175267606e+00,2.634149609549262028e+00
1.194238847769553802e+00,2.258929358615295424e+00,1.444775355914610371e-01,1.543685184722608295e+00,-5.865642728839897124e-01
1.200240048009601823e+00,2.268212432059375505e+00,1.454010437715167747e-01,1.550058084682623960e+00,5.206918560673624796e+00
1.206241248249649844e+00,2.277533830435156226e+00,1.463273591434117726e-01,1.556457516705180177e+00,5.596604251006070285e+00
1.212242448489697866e+00,2.286893713141515239e+00,1.472564962954387435e-01,1.562883592754817697e+00,-5.666584924976072468e-01
1.218243648729745887e+00,2.296292240284568020e+00,1.481884698708058334e-01,1.569336425303074378e+00,2.314966669035706914e+00
1.224244848969793908e+00,2.305729572677669648e+00,1.491232945676364829e-01,1.575816127328642846e+00,2.292112705482691748e-01
1.230246049209841930e+00,2.315205871841414353e+00,1.500609851389696492e-01,1.582322812317524807e+00,1.535182938596060698e+00
1.236247249449889951e+00,2.324721300003635083e+00,1.510015563927596116e-01,1.588856594263188704e+00,-9.424173641859390216e-01
1.242248449689937972e+00,2.334276020099403492e+00,1.519450231918760552e-01,1.595417587666727588e+00,5.329708616827964818e+00
1.248249649929985994e+00,2.343870195771030840e+00,1.528914004541040983e-01,1.602005907537017215e+00,-3.363531146283187390e-01
1.254250850170034015e+00,2.353503991368067538e+00,1.538407031521441815e-01,1.608621669390874587e+00,1.016454039395885411e+00
1.260252050410082036e+00,2.363177571947302269e+00,1.547929463136122341e-01,1.615264989253214489e+00,2.618230851474259158e+00
1.266253250650129836e+00,2.372891103272762869e+00,1.557481450210395080e-01,1.621935983657211366e+00,3.268146268249543240e-01
1.272254450890177857e+00,2.382644751815717221e+00,1.567063144118727158e-01,1.628634769644459412e+00,1.150009910179855099e+00
1.278255651130225878e+00,2.392438684754671030e+00,1.576674696784739205e-01,1.635361464765128670e+00,5.080817719111996311e-01
1.284256851370273900e+00,2.402273069975369157e+00,1.586316260681205903e-01,1.642116187078130007e+00,1.375194677405541910e+00
1.290258051610321921e+00,2.412148076070796510e+00,1.595987988830055715e-01,1.648899055151273441e+00,-6.921862150493320875e-01
1.296259251850369942e+00,2.422063872341175816e+00,1.605690034802371435e-01,1.655710188061429333e+00,7.797340368568280722e-01
1.302260452090417964e+00,2.432020628793968964e+00,1.615422552718389637e-01,1.662549705394692712e+00,1.248763855970204117e+00
1.308261652330465985e+00,2.442018516143877882e+00,1.625185697247500949e-01,1.669417727246540917e+00,1.001965719638271191e+00
1.314262852570514006e+00,2.452057705812842325e+00,1.634979623608249777e-01,1.676314374222001025e+00,1.789694284009591074e+00
1.320264052810562028e+00,2.462138369930041648e+00,1.644804487568334861e-01,1.683239767435807943e+00,1.097035328722365533e+00
1.326265253050610049e+00,2.472260681331894361e+00,1.654660445444608441e-01,1.690194028512571611e+00,3.196616845391333506e+00
1.332266453290658070e+00,2.482424813601290747e+00,1.664547654136206978e-01,1.697177279613893530e+00,1.050785428042233738e+00
1.338267653530706092e+00,2.492630941425924895e+00,1.674466271425749941e-01,1.704189643684744127e+00,1.430890451092975857e+00
1.344268853770754113e+00,2.502879239828080138e+00,1.684416455327552020e-01,1.711231243924448586e+00,3.816685719327437276e-01
1.350270054010802134e+00,2.513169884461509795e+00,1.694398364340967411e-01,1.718302203990805133e+00,6.652725237603311914e-01
1.356271254250850156e+00,2.523503051760390026e+00,1.704412157576501441e-01,1.725402648102595027e+00,-8.035829335368296356e-01
1.362272454490898177e+00,2.533878918939322045e+00,1.714457994755811676e-01,1.732532701039759981e+00,2.770102542795688016e+00
1.368273654730946198e+00,2.544297663993329017e+00,1.724536036211708478e-01,1.739692488143572024e+00,-5.453435471614120900e-01
1.374274854970993998e+00,2.554759465697859167e+00,1.734646442888153062e-01,1.746882135316815132e+00,2.551693389401652468e-01
1.380276055211042019e+00,2.565264503608783997e+00,1.744789376340259990e-01,1.754101769023956647e+00,2.472591073046365828e+00
