c,r,N_eq,N_eq_noisy
6.343511722536727682e+00,2.959231517780475773e+00,8.441923445681686644e+01,8.440177114631023869e+01
4.050300011828090518e+00,5.450206319533195121e-01,6.102422257472079536e+01,6.093679019245617212e+01
9.929292431392179097e+00,9.416730721300158313e-01,6.832073784669667305e+01,6.879370443273157321e+01
7.703205989121988395e+00,4.823278564639655874e-01,5.760643657202062684e+01,5.747061539570685795e+01
1.515390119889117870e-01,2.949378883754161240e+00,9.719292649435091391e+01,9.715791993330236664e+01
3.369572002877745831e+00,2.891125084442639714e+00,8.520841005158600012e+01,8.446652435231045786e+01
2.987581140289355397e-01,2.307852391874003928e+00,9.412034537229017417e+01,9.419342314579564857e+01
8.437443285900451784e+00,1.744614520215989506e+00,7.754241157077700564e+01,7.707303407807314954e+01
1.193206602364695668e+00,1.463632822183522197e+00,8.214728738785034068e+01,8.309008960237562746e+01
3.704589673110473491e+00,2.105332537292519568e+00,8.130733785843133887e+01,8.138165017128642376e+01
7.965937326931296525e+00,6.273977378356910828e-01,6.202470738896150237e+01,6.211664413277161856e+01
3.899091786896947465e+00,4.196721240157373356e-01,5.672602148872316263e+01,5.677535799981583864e+01
3.634227996444224784e-01,2.814521409865709423e+00,9.422643639497087520e+01,9.364093147669966299e+01
2.684914198539283703e+00,2.942798351303249405e+00,8.598833794652450990e+01,8.577064407051747708e+01
3.397694876325481950e+00,2.778725318439988712e+00,8.475859080226467768e+01,8.481404032613743027e+01
5.703467998894446112e+00,2.611737426586318023e+00,8.312962099355802081e+01,8.358547268958865573e+01
7.689443941211442812e+00,1.359228358425728755e+00,7.414307926483232336e+01,7.425291158170338690e+01
5.529697563189702514e+00,2.438434212777302434e+00,8.235999419804156219e+01,8.169895697743550045e+01
2.644819002800181673e-01,2.524388653099082447e+00,9.500049563745115222e+01,9.489336530029112282e+01
8.489985594749981601e+00,3.762642870820809282e-01,5.308939210790549623e+01,5.302031118267153431e+01
4.161161218432039455e+00,2.960180664549009855e+00,8.503097594220258770e+01,8.418858186594411563e+01
7.607846195607319117e+00,1.426620521648644724e+00,7.485278979118831444e+01,7.512256607358068550e+01
2.385672058580762478e+00,1.439978496336005165e-01,4.053202890691350291e+01,4.091391309355013561e+01
4.632435252012760962e-01,8.277865788084262655e-02,5.913481757459754107e+01,5.867860288700023830e+01
3.634772369908615630e+00,2.211357948819668184e+00,8.195641283480827610e+01,8.304907892913431056e+01
8.100355588242717175e+00,1.457917219819805155e+00,7.508820070564902949e+01,7.525061936609486679e+01
9.655661645187207043e+00,4.493800740918523218e-01,5.607305998731127517e+01,5.577882040299803634e+01
5.563644860668168768e+00,2.919995218362983813e+00,8.443345546258287015e+01,8.540637779395245843e+01
7.901055333025862382e+00,1.687611681406588238e+00,7.716268208297960030e+01,7.686835569219614683e+01
7.448796178071419583e+00,2.053872935255772081e+00,7.984380774419756222e+01,7.991857149579438158e+01
4.223782344275107681e-01,7.530619413717358768e-01,8.417884915617949559e+01,8.327259686792095295e+01
2.635009313130733055e+00,2.978143952618092616e+00,8.616612090787734246e+01,8.561720944781389164e+01
1.283903470411851933e+00,1.007689182327131672e+00,7.703016351017953411e+01,7.790528906656798824e+01
7.192260735174921926e+00,1.072545683999337252e+00,7.070930257988359813e+01,7.020848668023226935e+01
1.203665429830613975e+00,2.564640063328071040e+00,8.787873934143965471e+01,8.745780664450420261e+01
3.690741202747413130e+00,2.987061148638451069e+00,8.535925282009731063e+01,8.522906819030305314e+01
2.155769344195096249e+00,9.839700764282567347e-01,7.308407432584982644e+01,7.267170655362714626e+01
8.935541843324362077e+00,7.497622097428526811e-01,6.480998975370901860e+01,6.418397420175081436e+01
8.012541877770122056e+00,1.567011807381340827e+00,7.611973935287832660e+01,7.560870013017257918e+01
6.086495686469522326e+00,1.594061745540902297e+00,7.671203804728750697e+01,7.662702254252668865e+01
2.262315110669538498e+00,3.721919027011117986e-01,5.759644018135594479e+01,5.835300565821065533e+01
6.378027319346092128e+00,1.908435282383089682e+00,7.907927876566276382e+01,7.946411554068336613e+01
4.950362158427661363e+00,2.369678217880382132e+00,8.218356580772386621e+01,8.331555088568251222e+01
5.471515038945993226e+00,2.188899294683882779e+00,8.105375475328781931e+01,8.061884971170549363e+01
8.751217648648770719e+00,9.312355083587369187e-01,6.828699898261309897e+01,6.837358842149740212e+01
6.159168901437679366e+00,1.333129207660866955e-01,3.443257762026819080e+01,3.456101021420906960e+01
2.899306205010749427e+00,1.443477222465105125e+00,7.710432199506269058e+01,7.735816028721039572e+01
5.915305029588608932e-01,1.415933120188101579e+00,8.690577259322799364e+01,8.726668193608573176e+01
3.401129839325714777e+00,1.345845401899430804e+00,7.558365617354419896e+01,7.471907470929438944e+01
1.846772059433029023e+00,1.028401459034991028e+00,7.466173289662273760e+01,7.539972109092128960e+01
2.364590063506565532e+00,1.369235251026223121e+00,7.723951654314143411e+01,7.723289622067815685e+01
2.365677475818127373e+00,1.171058957213176460e-01,3.686379606391524533e+01,3.661519273849434342e+01
2.597220751651977189e+00,1.977265427183053648e+00,8.160097448046838053e+01,8.172773270471941487e+01
4.495419145512205006e+00,2.573184773473286668e+00,8.332107648333037275e+01,8.302748663273872864e+01
2.903990994329002095e+00,1.355588755763203368e+00,7.622993517749779357e+01,7.560033997625896518e+01
8.131966693822461067e+00,6.559551421166192053e-01,6.273652582459504856e+01,6.254946343073071802e+01
5.739601054255245138e+00,1.151914029348489965e+00,7.211704634673034775e+01,7.114626816683794175e+01
2.868724182771697606e+00,1.359710307645615623e+00,7.631877893561103576e+01,7.575489385045173663e+01
6.130610399154021728e+00,9.594142129971265920e-01,6.922767909424931077e+01,6.958950328013399655e+01
1.146111624097122528e+00,1.133598780073652668e+00,7.941408285612155282e+01,7.965190524535309180e+01
9.799220859090537417e+00,2.763001148752369129e+00,8.320148742798787111e+01,8.262593876234379309e+01
7.910073164906189724e+00,5.042393745479797351e-01,5.833539479628507962e+01,5.721265729995896265e+01
5.893766430989508365e+00,1.015583742822021796e+00,7.016712477427864769e+01,7.025463505855698543e+01
6.217149150723033202e+00,2.102979545477570600e+00,8.036941750490903758e+01,8.055433107575738916e+01
3.031879758537496805e-01,1.211520147623875054e+00,9.050099475250743808e+01,9.047109075970004710e+01
3.621038487844524756e+00,1.978007534416609481e+00,8.058132588232527382e+01,8.008051500526492816e+01
1.477169795273582054e+00,1.811839079487503668e+00,8.323866637660775325e+01,8.326808757112121384e+01
6.817657811150545477e+00,8.855619154072998933e-01,6.781846052971226868e+01,6.763535971738892272e+01
6.365260759181833095e+00,2.170633861145696564e+00,8.073942745602016657e+01,8.083063809043501635e+01
9.076942436718214324e+00,7.550606719369762354e-01,6.490576489157993478e+01,6.518880981358670113e+01
8.893964860516238247e+00,2.924239329397008147e-01,4.842380215236440222e+01,4.840047192530304443e+01
9.564697859938117830e+00,2.409578538573714734e+00,8.159176980146226299e+01,8.148557672654511919e+01
2.716390421740102923e+00,2.256339859735911002e+00,8.302431564775172035e+01,8.328983536311366720e+01
2.746943876190962808e+00,1.484303604821100464e+00,7.768958938249201651e+01,7.781968463588991369e+01
6.745607503438770358e+00,1.773867402314409869e+00,7.803240804524142504e+01,7.759360509979151743e+01
7.075928792224626562e+00,1.489756346609741211e+00,7.555949459759592912e+01,7.550816830018487735e+01
6.873276504793879305e+00,2.916282065867651596e+00,8.416552879230025042e+01,8.449651431235849941e+01
6.410232002734871593e+00,1.584804330708138531e+00,7.655797223998189338e+01,7.684131057295985556e+01
2.552013531965428239e+00,5.678602726336962059e-01,6.370454985706982853e+01,6.354207616281956916e+01
8.095027894548067593e+00,1.905405347614856471e+00,7.877023543970362596e+01,7.868785655810451374e+01
1.299524910636655761e+00,7.294085776548403510e-01,7.259272768750490457e+01,7.206540564947775351e+01
4.637461269813998754e+00,1.799640465568461467e+00,7.880982727601484328e+01,7.892031832598725316e+01
3.908020710359077388e+00,2.657324416783782617e+00,8.395452935901286651e+01,8.448875831097068101e+01
6.091880329003283023e+00,8.969332434632241169e-01,6.818845684042365463e+01,6.839201391523582174e+01
1.577347202825542638e+00,1.665052513032791337e+00,8.188432378145711255e+01,8.165052719676187110e+01
6.897745810340233596e+00,1.138447622140530635e+00,7.166694887536067426e+01,7.197906891673417817e+01
5.233198546116969441e-01,1.731628104956306702e+00,8.939019738276782334e+01,8.938774399335689225e+01
9.032254772231780748e+00,2.521889810580406177e+00,8.219833204801284410e+01,8.251390308637597570e+01
7.007069816755527647e+00,2.156640052721342293e+00,8.053888035365881137e+01,7.991531064702614628e+01
8.767051493289612196e+00,3.504471929458638502e-01,5.176151802480085706e+01,5.155314787020721923e+01
7.977917225820068126e+00,1.452836695530454358e+00,7.505619816341128114e+01,7.543883380093117808e+01
8.581154169350361016e+00,1.105437992457428686e+00,7.094977798258375401e+01,7.150270464757075217e+01
8.938250393852349873e+00,2.042878310441870848e+00,7.957725235162959621e+01,7.918719991880318787e+01
2.201488209539046448e+00,2.379095181100315148e+00,8.438272927283061620e+01,8.413173200486228609e+01
1.062951757132097885e+00,4.226341318183672868e-01,6.706644661318145495e+01,6.799104554217254304e+01
2.212301368398406964e+00,4.381940565265396437e-01,6.044561493392884444e+01,6.062812473281460512e+01
3.608461097904585912e+00,3.813469154557919127e-01,5.536696468349972378e+01,5.529040407738759910e+01
2.388314983987581464e+00,1.082486878433426725e+00,7.390373878408067299e+01,7.414821746588786766e+01
1.581140005589113606e+00,1.483718086400682146e-01,4.542413653638158166e+01,4.514912345384893655e+01
1.842636561212173785e+00,1.224416106025857820e+00,7.706809733516566041e+01,7.623570393315000615e+01
1.786530523352749977e+00,2.067515051359044786e+00,8.372583263014605848e+01,8.373890420186651795e+01
1.650054837407453956e+00,2.181037895918569447e+00,8.470040782609018493e+01,8.452565638555444139e+01
6.224573921379696451e+00,2.679577415698608966e+00,8.331558812565026528e+01,8.301007698242244714e+01
8.779132494254213270e+00,9.976669987012581897e-01,6.935426477848854177e+01,6.935816035559544446e+01
7.774746930862481697e+00,1.522362714605024259e+00,7.574918642278456105e+01,7.530926426686941966e+01
9.478284244854339180e-01,5.064975185552307302e-01,7.088646554291278790e+01,7.063968491096076718e+01
1.342973688138500377e+00,2.294668119178123078e+00,8.626598222748495459e+01,8.533308754346602143e+01
4.711483599106628617e+00,3.500942735462344579e-01,5.296248810179351096e+01,5.355865953229746168e+01
1.726684333073779776e+00,2.369486559856336161e+00,8.536721193729133006e+01,8.607922782310470211e+01
3.428278253042972956e+00,2.286189143884085340e+00,8.250186019277961691e+01,8.193151695111697563e+01
9.632794174827772338e+00,1.352508241828080715e+00,7.381752736405624660e+01,7.301944285586826311e+01
4.443918520094284119e+00,1.454013326251984317e+00,7.597962826181816354e+01,7.617355100516117261e+01
4.509340501396361667e+00,2.701553925086348062e+00,8.387488829519413969e+01,8.426960042399112183e+01
7.166418350879223631e+00,2.336981989013019234e+00,8.151449446171044144e+01,8.128492335008034786e+01
7.821699997880667610e+00,8.379190970975409769e-01,6.675846930025292636e+01,6.620062394479815282e+01
1.819755907751781976e+00,2.894795823190178474e+00,8.716143864598419100e+01,8.807761726869138386e+01
9.055905256939409398e+00,2.825763818853886278e+00,8.353155678225502356e+01,8.318859464590487107e+01
2.540812782224656008e+00,1.880927390763351026e+00,8.106764613427066024e+01,8.125244162125984815e+01
9.948971397693675556e+00,1.506993363423870358e+00,7.533657223064874131e+01,7.548066875259507924e+01
1.311470694801562642e+00,1.633476235323580550e+00,8.277850865228651855e+01,8.293337928964291450e+01
8.570370498681226579e+00,6.497907504477830054e-01,6.251379942604167184e+01,6.314710263349207509e+01
5.306995579844508093e+00,9.251045229374580403e-01,6.890925341936552684e+01,6.959871244083150543e+01
8.983834177514635755e+00,1.724236379539029640e+00,7.731510136384601140e+01,7.657814185361561954e+01
2.440431862448878331e+00,2.029222219555300466e+00,8.214953345896418568e+01,8.208672310338614864e+01
5.990325173134547043e+00,1.362749687299343648e+00,7.451830227941607632e+01,7.506398504261389348e+01
1.303905735727328929e+00,2.094819039158099638e+00,8.550341109513841786e+01,8.559028968954790173e+01
1.408153764210575920e+00,8.802597797884730291e-01,7.448727686494842715e+01,7.416170788269823788e+01
8.709534714945563749e+00,1.010303317915350663e+00,6.955761541800390546e+01,6.994537506114316727e+01
9.069387728927544856e+00,1.020070718073608829e+00,6.965969035488960515e+01,6.939808223138560095e+01
4.493595636762242052e+00,1.035695619822569524e+00,7.098789794785693630e+01,7.089340746304705476e+01
9.098397275970336651e+00,2.142359619191741560e-01,4.255834449543196030e+01,4.297087504489436327e+01
5.348833039157136149e+00,3.500571234449738056e-01,5.263367065687270241e+01,5.291641842653417172e+01
6.555302241996029622e+00,2.357908486983833818e+00,8.172926647007746226e+01,8.266965516454993690e+01
5.782218644019370579e+00,5.522221365989259390e-01,6.038556659593997722e+01,6.072935337211969653e+01
7.421888303472433002e+00,1.557039599644708838e+00,7.612138631215709950e+01,7.612337155738249805e+01
4.672632698949481522e+00,2.121671500717808190e+00,8.092112645768784773e+01,8.143772963056797209e+01
6.004047691118182151e+00,1.441052248028338978e+00,7.531497791522011198e+01,7.529270521750075318e+01
2.579452466113842046e+00,2.933373897285162180e+00,8.607407245855362987e+01,8.610833294396313420e+01
3.483234538000198999e+00,1.943942593637520533e+00,8.046153029811510748e+01,8.053120128586117232e+01
2.603214648665883590e+00,3.869112422875656820e-01,5.728512244986638535e+01,5.707888240804254565e+01
1.563546065516705053e+00,2.608384227606208583e+00,8.679191904653097822e+01,8.692427829790347005e+01
7.617606908855992565e+00,1.465649558594611879e+00,7.523629711793286390e+01,7.531961387279424969e+01
2.810586485880549823e+00,1.303198855921983368e+00,7.580580728113319822e+01,7.589144450931988217e+01
5.381907009371422745e+00,2.068034177468673462e+00,8.036221477584079764e+01,7.988438750302304925e+01
9.019001430193272384e+00,2.167054614639576382e+00,8.032531627182591194e+01,8.061194050820557777e+01
4.005868176394823621e+00,1.352634071576180652e+00,7.519618386751153594e+01,7.524689275517991405e+01
8.246724659989137507e+00,5.396505779195245323e-01,5.944088655337218796e+01,5.936391870470143317e+01
1.763095207066515568e+00,2.490568303818458507e+00,8.579236985760225309e+01,8.571804307241801268e+01
6.346877044960720582e+00,1.644702804597454548e+00,7.708453660093968551e+01,7.674990042122288969e+01
7.622935223717011155e+00,2.289804359200837247e+00,8.119331567963340035e+01,8.084363480449282235e+01
4.008947062705996878e+00,1.481275346602258791e+00,7.647537495120074880e+01,7.740655043434347249e+01
1.619749828422739624e+00,1.968055209770525282e+00,8.366548366203900855e+01,8.375385656264295164e+01
4.657537876503382579e-01,8.221417403026052284e-01,8.402099108459212573e+01,8.439003648175757633e+01
1.311173171455785713e+00,1.447625219367054461e+00,8.137923900180108205e+01,8.171923343103919990e+01
9.175255079717524964e+00,1.993430235957616592e+00,7.923191365832175848e+01,7.885503892254412506e+01
3.065536370513220810e+00,7.716783970450642460e-01,6.765325671780335881e+01,6.757879628617024537e+01
3.145621547323173672e+00,1.351295766884012650e+00,7.589676989222840575e+01,7.562593446636968508e+01
5.369972228204860087e-01,2.814874372221347620e+00,9.254208801576342580e+01,9.280100034186018831e+01
5.152860768242754297e+00,1.397711902746352042e+00,7.512983218785096540e+01,7.530737829044456078e+01
4.480641755412535510e+00,2.910399228229378910e+00,8.471782722562923595e+01,8.423429297123891502e+01
7.947962225347968257e+00,1.985237505096556054e+00,7.932977530558886770e+01,7.979588740458203233e+01
6.464963649062227091e+00,1.776605218886440518e+00,7.810891535800983831e+01,7.856045621262862255e+01
7.070420675720589188e+00,1.288473095160960202e-01,3.348596125469032359e+01,3.279076372870773781e+01
3.091092040062766610e+00,1.857880263763507012e+00,8.022995815237214856e+01,8.041031487315967752e+01
6.932821962750850275e+00,6.397981197367160755e-01,6.254394136759419354e+01,6.267351486781608116e+01
3.661862487342806727e+00,8.904476530496407971e-01,6.922638419485674888e+01,6.835833088170696215e+01
6.541997813497331116e+00,1.777796437849223476e+00,7.810218767212666080e+01,7.752216950767049752e+01
3.107331952126128338e-01,9.029508183905865515e-01,8.835480697672466022e+01,8.862135355938103487e+01
2.388310245880991722e+00,1.953792712117293995e+00,8.177692398179914335e+01,8.117141905554120740e+01
2.013361204735870658e+00,2.713017074887775326e+00,8.612394971897700202e+01,8.514699210484300806e+01
5.363625352441220961e+00,1.784685483696206498e+00,7.844340733137353538e+01,7.846267489138016060e+01
2.449622300073122094e+00,4.673515129918235367e-01,6.080118013402555732e+01,5.981842671391707000e+01
7.296777695515927142e+00,7.764959174316281576e-01,6.563256442292558290e+01,6.552916535471553061e+01
6.341529016512304828e+00,5.184480185746848102e-01,5.915095112193204585e+01,5.919816599002150781e+01
3.663131414219915172e+00,1.029637057017489310e+00,7.144038310680232939e+01,7.138769010299375850e+01
2.989838616438496466e+00,8.145560569559997521e-01,6.859964601068776346e+01,6.888337010909408775e+01
3.905786907717599732e+00,2.210955138419964161e+00,8.178881064425763725e+01,8.174796529631126418e+01
7.591157323664931234e+00,2.601105658305502111e+00,8.274170137124002622e+01,8.259995582509196765e+01
3.397086216249794344e+00,1.966117153712823251e+00,8.067277793089134263e+01,8.010109123936405240e+01
3.919469268500141101e+00,2.186225763412581014e+00,8.164328875455521484e+01,8.221118008318819648e+01
3.863687350589632974e-01,1.415543368532135471e+00,8.990518299476674713e+01,8.931963730692930881e+01
5.030430555083547972e+00,1.188155974381273294e+00,7.281098801924085251e+01,7.298323953776024098e+01
9.646492976807463648e+00,2.956976515828080743e+00,8.399082181886323895e+01,8.394255365712288608e+01
4.405782251835561603e+00,8.990467940597635099e-01,6.886140352423372235e+01,6.864837444991630377e+01
8.144863929097452271e+00,1.824110379269502147e+00,7.818279781209140822e+01,7.752513699585566087e+01
3.886349839576237919e+00,8.496181226703596323e-01,6.831596125688527366e+01,6.746763280434508658e+01
6.507576582744641236e+00,2.076149779768829085e+00,8.014608616364074578e+01,8.009982898138761698e+01
8.203415644308565957e-01,1.513456440639914247e-01,5.598898942447781479e+01,5.632186112732139094e+01
3.183710790576865346e+00,1.651149862094968723e+00,7.859916710356090164e+01,7.862643895648322712e+01
3.106897034044605821e+00,2.835985938540263707e+00,8.519925511359342352e+01,8.461697426855714355e+01
7.578717902765377268e+00,9.579661898239313356e-01,6.890392800424685049e+01,6.938050958821301606e+01
5.768028340571237145e+00,2.731965969569018160e+00,8.363518623538605823e+01,8.233258895968977242e+01
3.857451697122024736e+00,2.961247708583336191e+00,8.517736076568498049e+01,8.511208072916610945e+01
3.102373225276457092e+00,5.918050036066284658e-01,6.337613859364450519e+01,6.383387208455926753e+01
9.378730086378160857e-01,6.765606506489938443e-01,7.476696125456898301e+01,7.528433802760122262e+01
3.799377420286343288e+00,9.883439469554144985e-01,7.071220988114586703e+01,7.063906055031412734e+01
2.690868412372550367e+00,3.835822660586871158e-01,5.693581084530411829e+01,5.754059495626494680e+01
3.303203151728916875e+00,2.686663026418185662e+00,8.445465473072475504e+01,8.531883574021294692e+01
7.114207195372705961e+00,2.165621971057518635e+00,8.057348688663074654e+01,8.043678597200646152e+01
2.067837760383741674e-01,1.607700707184228639e+00,9.415443280966357520e+01,9.470673172781064864e+01
9.695818033479620013e+00,2.281338489292987770e+00,8.090266880841505781e+01,8.093455318323505310e+01
6.091253950450663091e+00,2.513826338793577087e+00,8.259319074646006698e+01,8.313460924369675809e+01
4.003764946497172517e+00,1.933908920656658648e+00,8.005434488691514616e+01,7.946209679958373329e+01
8.020098712541761543e+00,1.998509888112089072e+00,7.940667146431239587e+01,7.977997192350889577e+01
8.815291047863480500e+00,1.694824249832745489e+00,7.709978596487282232e+01,7.772797221515291710e+01
1.946527834518117617e+00,1.612631608370799441e+00,8.034107916319153730e+01,8.090985645328993314e+01
4.446807615594908114e+00,1.461139536651861359e+00,7.604698639627642365e+01,7.609684580095239426e+01
7.334288315025291105e+00,4.287895079381691121e-01,5.562787301201840506e+01,5.463669014318461592e+01
6.109117019269365123e+00,2.256832814737256276e-01,4.428811309395903351e+01,4.443120833330506514e+01
1.090556479908535215e+00,1.742981379199400882e+00,8.465964901376958096e+01,8.350051969143567021e+01
8.811274054227501651e+00,1.782781145739098960e+00,7.778908340061759930e+01,7.785972474650732522e+01
3.735615278172408793e+00,1.184917478926591716e+00,7.346910136675337810e+01,7.356977675667415895e+01
6.500883145430828236e+00,1.902963155742941836e+00,7.901630890108702943e+01,7.933995597468607741e+01
3.757214272385483333e+00,1.686444047827493797e+00,7.840976010146735575e+01,7.811228453023323937e+01
8.337282991083467820e+00,9.411336678435449077e-01,6.850935868291446695e+01,6.885320970172477928e+01
3.701380396388655125e+00,1.627345542383279886e+00,7.796884865497803219e+01,7.780097255381066645e+01
7.857647185037656357e+00,1.677584127748218856e+00,7.708729017979182174e+01,7.651436183471327013e+01
5.469130054178580558e+00,9.228012968595319387e-01,6.881524130143628781e+01,6.890198622460843580e+01
7.903513069058003992e+00,2.459206047998008238e+00,8.202875548610813894e+01,8.316024283539850614e+01
1.962821784320608609e+00,2.913845296306639465e+00,8.693420216398484968e+01,8.711030209682368763e+01
2.745167054145274399e-01,1.654170286603584783e+00,9.288786987570568954e+01,9.312445332282827337e+01
4.525381891985186478e+00,2.093870438087749308e-01,4.373726796800904282e+01,4.455771326872810079e+01
2.680984206248592905e+00,2.370326400318606197e+00,8.363703286463045572e+01,8.418933911192154085e+01
7.520025024784209755e+00,1.707311694015769321e+00,7.737928587570314676e+01,7.793037824363976540e+01
3.802151005629439862e+00,2.806154076608856851e+00,8.461994694697850150e+01,8.389952197507614073e+01
1.648576270552610135e+00,2.261415002121631712e-01,5.218510932352624820e+01,5.178952389913531817e+01
9.224884174866584630e+00,1.758687205233484319e+00,7.755687207348609036e+01,7.867476602467090174e+01
6.001330200339817900e+00,1.071386693746532837e+00,7.095386980472960659e+01,7.106509911812004532e+01
4.549796835558559849e+00,2.092233964451557959e+00,8.079421923941758621e+01,8.038019791312235895e+01
7.004301830720638833e+00,9.386193218057071741e-01,6.869151634586454236e+01,6.932214287032928723e+01
1.112271485115794656e+00,1.594852675828078992e+00,8.358314232678471001e+01,8.377937627453833613e+01
4.780827171679506993e-01,1.995650475907632782e+00,9.094915457625593547e+01,8.998449492385321946e+01
8.593432648195578949e+00,2.144995677473153339e+00,8.024423373843268337e+01,7.991283668328914302e+01
3.095256579721574752e-01,1.569050966725899166e+00,9.193759934393141009e+01,9.136956685582383386e+01
9.888561920537695116e+00,2.445802069584682492e+00,8.174323602986775938e+01,8.114282159767131475e+01
2.513360777749814368e+00,2.036471371579966938e+00,8.208069861158415392e+01,8.171382780487458319e+01
3.171432570802328321e+00,3.390973583413476322e-01,5.391459132184177605e+01,5.323761031040435654e+01
3.590121559477349233e+00,1.456992997538692824e+00,7.653586659866515163e+01,7.631040826541293143e+01
7.963596646279649249e+00,1.895493013125773452e+00,7.871939246572314630e+01,7.883783874204419817e+01
4.431255708512436442e+00,2.576076427513795508e+00,8.335945195735247637e+01,8.325590081609094284e+01
9.887739183063581905e+00,2.430548840432435131e+00,8.166702363122053043e+01,8.156191114739807801e+01
4.100948913889604697e+00,2.297480692707639438e+00,8.215207435437972094e+01,8.262455922815074416e+01
5.628941921318619812e+00,1.980299449787530142e+00,7.973741451165656713e+01,7.958868017413730911e+01
4.051169928984480251e+00,1.669566139319738518e+00,7.809127999623046890e+01,7.815612126010583438e+01
4.137874689487066604e+00,2.383091704297954916e+00,8.257307203859876665e+01,8.213455201420714502e+01
2.717439194725185025e+00,2.155132435586034845e+00,8.248157465435713220e+01,8.188845520084245777e+01
5.341699185212652523e+00,1.791436495009216534e-01,4.031273109756897099e+01,4.056823155678085868e+01
8.086294151070489988e+00,2.542130353603183845e+00,8.240349898636098658e+01,8.191709987518262892e+01
3.671444288447458959e+00,3.800335812429441185e-01,5.523789370687178746e+01,5.530456888727592002e+01
6.843083208959867214e+00,1.218260884487161855e+00,7.268879364899535744e+01,7.313795515703699834e+01
1.422206872823963408e+00,1.146256172140573515e+00,7.792107364239511469e+01,7.767516456567085470e+01
9.209753487228461211e+00,2.555109916253583524e+00,8.233670797447152268e+01,8.339565617099658823e+01
6.622447177157466669e-01,1.493538065758966304e+00,8.656261273126740718e+01,8.714007922602593226e+01
3.828970831618981885e-01,4.775397607687573154e-01,8.121005445709319304e+01,8.082258363236822163e+01
6.471379328641491124e-01,2.215967138579387541e+00,8.998805203110481443e+01,9.105420484725010510e+01
8.666772806713631816e-01,2.068819245908455340e+00,8.773735873858450418e+01,8.799365908892603727e+01
1.424244653484295409e+00,2.420820230613003332e+00,8.649957939217003400e+01,8.704172132926461813e+01
2.513802329869226693e+00,2.249557764981273689e+00,8.325521323175330224e+01,8.301964118139255788e+01
8.757611470596536662e+00,2.013129512300446233e+00,7.940772061470951826e+01,7.958725925542913160e+01
9.260215347717842604e+00,1.034855418936410754e+00,6.985765526918494572e+01,6.973980078193130794e+01
2.799922352961368599e+00,1.099087188640218038e+00,7.338392371711547923e+01,7.354786270185492469e+01
1.143539880465744840e+00,2.287631617835583331e+00,8.708659682616627151e+01,8.675119422458135432e+01
7.206185064229480908e+00,1.724450175822848319e+00,7.756691454489765647e+01,7.732331534347866864e+01
3.628849435598906936e+00,1.258862150795645674e+00,7.443312260785464218e+01,7.406247063619046855e+01
1.093391209683301613e+00,9.872244483699591511e-01,7.809318239092345948e+01,7.698816913824606445e+01
2.933602376070494788e+00,7.893238218039411169e-01,6.819489868385835507e+01,6.776326041599119776e+01
1.956784755177081170e+00,1.357824039902640667e+00,7.809784551823436516e+01,7.823291266228532947e+01
8.989449310502587664e+00,1.829034119784841872e+00,7.811300078046717488e+01,7.748796391630932590e+01
5.515978411103689361e+00,2.985717816998135987e+00,8.469066189255806876e+01,8.416897702924379132e+01
