T,n_imp,B_field,rho,rho_noisy
9.826634798211148336e+01,2.678035632257775300e-01,7.468023221778504528e+00,3.653548321999204518e+02,3.658581943575733249e+02
9.654914742974081321e+01,6.736695276597409743e-01,9.300982367774892623e+00,4.741663818244402933e+02,4.728108005849572919e+02
7.523109466961803093e+01,8.807834071086076966e-01,4.853347898285487183e-01,6.771918702773130860e+01,6.677468040474747113e+01
5.871041699926907853e+01,1.541182263447881395e-01,5.400496856978991289e+00,1.045402044249620843e+02,1.044528183789345093e+02
3.492020836408337203e+01,6.174462155181642542e-01,9.533246164483588636e-01,1.779091608667911828e+01,1.757982088089094219e+01
2.445868078976141646e+01,2.039428621286600574e-01,8.865156602394201002e+00,6.386222705430386526e+01,6.396904855305317028e+01
9.729328718945193089e+01,2.652089101776088365e-01,9.533325234805205994e+00,4.961179510001751396e+02,4.962266119656864021e+02
5.644617269930908066e+01,4.232766255241866560e-01,5.589044345729765606e-01,3.687733553791905194e+01,3.793625491544457873e+01
2.042790512236932798e+01,6.010022970927308972e-01,9.922378127122000180e-01,9.317904315059788445e+00,8.761893933713647442e+00
6.611407799837503774e+01,5.873154662472354071e-01,4.576591043922899615e+00,1.095300625744177268e+02,1.093412600708542328e+02
7.990148029080681624e+01,5.535870262916006146e-01,7.749318789855694334e+00,2.627064787823143774e+02,2.637278645860605479e+02
6.517029709477364463e+01,9.615342817168497369e-01,6.160283165220826973e+00,1.450247091405382491e+02,1.453480606386391685e+02
9.255679343118123370e+01,5.584069836494389705e-01,3.317203004936748467e+00,1.550745770263227712e+02,1.554061087125108997e+02
1.356335889977825815e+01,7.597865237623283585e-01,5.968411572858581593e+00,3.765161672136982673e+01,3.739461353552609779e+01
5.757303369340194621e+01,4.008697935301432924e-01,7.979624097354037993e+00,1.575115485879376820e+02,1.566875110025098650e+02
5.134022945968633422e+01,7.699003046872313627e-01,9.214987279388177299e+00,1.596039125154495366e+02,1.596876448875609071e+02
1.561146212348880447e+01,7.731015610546010386e-01,1.383242641156550157e+00,1.005397032291093495e+01,1.010847736682170961e+01
6.771953522254375457e+01,7.026088364662753660e-01,8.430204164376615239e+00,2.205117881511414168e+02,2.198981121240191214e+02
8.673695546325910755e+01,7.788661740988926940e-01,6.479103365018516136e+00,2.471415675402980980e+02,2.467999542094078151e+02
6.336469162938556110e+01,6.151210262954366348e-01,5.363038565895492660e+00,1.190937731005232649e+02,1.190577512606596571e+02
3.340877029635008455e+01,8.700756177304453942e-01,4.407769653415281041e+00,4.622977501546805001e+01,4.575739920393765914e+01
8.558933689282679325e+01,8.492805412719157676e-01,5.108045103476182014e+00,1.892554318999544876e+02,1.892062969160283785e+02
5.585462933693584375e+01,1.867507965092103650e-01,4.587250212310025610e+00,8.303187088421405804e+01,8.307961239794877883e+01
5.597999960198796998e+01,5.035202086205283756e-01,6.706906974740515004e+00,1.241978711508887443e+02,1.242156642694164930e+02
7.777271869319601194e+01,2.086048579589648289e-01,9.120314068636638183e+00,3.078874229087231242e+02,3.076342770795659476e+02
2.331298322064608897e+01,9.554851353625363197e-01,2.368822677307229618e+00,2.056278712240168716e+01,2.085966115829459966e+01
8.376640472073492560e+01,4.914020766511348892e-01,2.064382564101685524e-02,8.165880705012956753e+01,8.210439052727073772e+01
7.149582154029315006e+01,2.980704862907050390e-01,2.575804712995344303e-01,5.763284322111074687e+01,5.779326737339403053e+01
8.083872473993208985e+01,8.538656875503112254e-01,9.116966263267343606e+00,3.330321303314402144e+02,3.326230152177450350e+02
2.724546331181216985e+01,1.784945436366060789e-01,9.288326994811617610e+00,7.284879418319229671e+01,7.321462032508502205e+01
8.221277450210770610e+01,2.386782537812997262e-01,8.751490008791080299e+00,3.219021746133136617e+02,3.216514546040801292e+02
2.721915334514802609e+01,7.109469430745831708e-01,5.824731224109926941e+00,4.992289851073480378e+01,5.036247881987879538e+01
1.733973556271614314e+01,5.566809905999419161e-01,5.852118952395163554e+00,3.888674714447927272e+01,3.835085343604055197e+01
8.697042768583631300e+01,3.405651996444228891e-01,4.039102757973092928e+00,1.569884661491195743e+02,1.574456997506839571e+02
8.751551465599015955e+01,6.186517923359609039e-01,3.378196909210124943e+00,1.411066869328285236e+02,1.410966552055207899e+02
8.888833867749224282e+01,2.866453064303784992e-01,9.332228616230395346e+00,4.060705335657106616e+02,4.054461591205434274e+02
5.247187474229112070e+01,3.783120498076129046e-01,5.303387258986841601e+00,8.829829263787061677e+01,8.814134290188719945e+01
3.466435497523464448e+01,6.499545527268052458e-01,2.752093561011628164e+00,3.082858014583863948e+01,3.085563128522441190e+01
1.063826457428496397e+01,8.946389393111605637e-01,6.572263831521810928e+00,3.918074246075746458e+01,3.931713813033969274e+01
6.811488060174531256e+01,7.328604454965196302e-01,9.165990258927236844e-01,5.711011350238499773e+01,5.661901943991450992e+01
7.479184451578237258e+01,6.789050057280069383e-01,6.836885449666154635e+00,2.021588196640505544e+02,2.016051331404679559e+02
8.520122948502466897e+01,7.719824233645173894e-01,2.724116850257718436e+00,1.190582775368085180e+02,1.191580698032320527e+02
3.536900446280878896e+01,4.405382025686955805e-01,6.941143606224212448e+00,7.209208478746728588e+01,7.185870997902738111e+01
2.936963504466762487e+01,9.828802541834859019e-01,4.819277596250625351e+00,4.566365026458572629e+01,4.578140307045083546e+01
6.753982420599291459e+01,6.501341620071404703e-01,8.611835563831331086e+00,2.253446452458099145e+02,2.257244050070491141e+02
8.245493498305087599e+01,3.318051479604452458e-01,7.566213824492741047e+00,2.686071070917919883e+02,2.677827134086165302e+02
9.673037855604738411e+01,1.323687230648690205e-01,9.832604897917702758e+00,5.121674063376174217e+02,5.122946003958762731e+02
2.354723473790597410e+01,2.005800267663029324e-01,5.806720862786467485e+00,4.284895780724701098e+01,4.346128129101487758e+01
5.339911493794028985e+01,2.786582364533116141e-01,8.262146180071461288e+00,1.458843384129962146e+02,1.457355749908109885e+02
9.052442759765561675e+01,7.609353751091568752e-01,6.587137925496210578e+00,2.720714116696735232e+02,2.716660043780547653e+02
4.804452162508935942e+01,8.330690480253529762e-01,7.367361869405830710e+00,1.125215266488430643e+02,1.128976485624328632e+02
6.305518558756433123e+01,9.329075605438977847e-01,8.954399927534442583e+00,2.128056965155897160e+02,2.129324197736937947e+02
1.220416097440268821e+01,6.786192116598122048e-01,3.129267409949880729e+00,1.957529660815910688e+01,2.002323814354788567e+01
7.061138984376449912e+01,3.675492909779596307e-01,7.961742638006347406e+00,2.185090492591585587e+02,2.183364414041329269e+02
9.271797576704402388e+01,8.549821804091397581e-01,9.268378871559486143e+00,4.379903493621174562e+02,4.372494402252563646e+02
8.441427966010489570e+01,9.581231528954209375e-01,9.890144451641782908e+00,4.038378552896724614e+02,4.037828499073168587e+02
8.969682400389521604e+01,7.272134560338249232e-01,1.458180488048497203e+00,1.067705404392730060e+02,1.065476263627673887e+02
6.943198424684709380e+01,1.651222359737261336e-01,2.812281818190012217e+00,8.051260231594395123e+01,8.090026422696773523e+01
3.209970405188597908e+01,4.698837791037724365e-01,4.246788733154879480e+00,4.130065769833047540e+01,4.139747412251904990e+01
7.916652990066289419e+01,3.240492668274682631e-01,3.808491706036103430e+00,1.261909484343155867e+02,1.253755238180980314e+02
2.905072683467594530e+01,9.453344606973739239e-01,9.374691361264199330e+00,8.180594186488590935e+01,8.120836032483430245e+01
8.481473511980151159e+01,8.300110520134642567e-01,2.512868405758372781e-01,8.580377947995644661e+01,8.624567399825006930e+01
1.564461303136914339e+01,1.629344009171914687e-01,8.964879831460688564e+00,4.932844559585364408e+01,4.966832810456256908e+01
8.429390320542002257e+01,6.484887372896750435e-01,8.486303593202204620e-01,8.698124245431202439e+01,8.666112077135778691e+01
2.480565398266911714e+01,9.866328248054601069e-01,9.375450311832045358e+00,7.161131799902697992e+01,7.161079360074333522e+01
4.376322968469776953e+01,5.714255143178201823e-01,9.212959916319046982e+00,1.263700340917811928e+02,1.265928208686692926e+02
3.850643499012679172e+01,9.004972098400135794e-01,4.822778192403323949e+00,5.755844966107664362e+01,5.779265182900028464e+01
7.222033317499671057e+01,8.310976094913570256e-01,1.742009129819963587e+00,7.291396370320089204e+01,7.335208480125807284e+01
2.607146903569347174e+01,5.243836589793998693e-01,1.914787151720260816e+00,1.695678648197240435e+01,1.708502929558318684e+01
4.566305459952877754e+01,4.978075567529933743e-01,2.594123033501247733e+00,4.040226119680127681e+01,4.035484702731702811e+01
1.052421355971828554e+01,2.454860689766894533e-01,8.489173412666893626e+00,4.272022152336420930e+01,4.259079749097028866e+01
3.362452414750913476e+01,4.190226131020092781e-01,5.407491905574714153e+00,5.388212730396514871e+01,5.440999870423177498e+01
4.790699328060597395e+01,2.722300080921846721e-01,8.748246093390841693e+00,1.332683989858072096e+02,1.321429718482679334e+02
1.953291130365920125e+01,8.611368254665998645e-01,7.546519832573083342e+00,5.154599260802841343e+01,5.147666494548274585e+01
6.698439514329020028e+01,6.430629440738991898e-01,9.677038808306910767e+00,2.592595498741394522e+02,2.592760499261314635e+02
4.423818428978790962e+01,9.426180442136213866e-01,6.613769361274779435e+00,9.094578689586342080e+01,9.023311241542832306e+01
7.527645442686150545e+01,4.693187957726123738e-01,1.700443756763493353e+00,7.660097350001110783e+01,7.676738030658013656e+01
6.884794099615550067e+01,7.315383887906796723e-01,5.469389913780537960e+00,1.390486232887388667e+02,1.387229827825171640e+02
4.881040738996655648e+01,8.498351674263596722e-01,7.392838482920895515e+00,1.154449266979176798e+02,1.158761490960755509e+02
8.805884550779792619e+01,1.115895523204227802e-01,3.579044310817133479e+00,1.458326479603616121e+02,1.457698519183444432e+02
6.689216057501502632e+01,3.905685491860829694e-01,9.997774684467959361e+00,2.692521709797479730e+02,2.695867476001427008e+02
8.292469168956691306e+01,4.926068125779605733e-01,2.172627636926420802e+00,1.008186443090776550e+02,1.014280661116632700e+02
4.076152515461016890e+01,9.357430996221234309e-01,9.266304020622298410e+00,1.175020018486042375e+02,1.176934666399609739e+02
5.893023607016100840e+01,8.834399711141265321e-01,4.899337914942401895e+00,9.908113629708540770e+01,9.864327572537398225e+01
2.766671966032780716e+01,1.760574184739038817e-01,8.447748129330015843e+00,6.756926837387234741e+01,6.681210905802002742e+01
9.965270711067651632e+01,9.599132053144154852e-01,5.328520357728592671e+00,2.618963088467197053e+02,2.627730009054778861e+02
3.188939178756944060e+01,6.642134280263434221e-01,5.506129807737214499e+00,5.344464177245234282e+01,5.338899567585858108e+01
3.311807205043924540e+01,1.647402166678756941e-01,7.071735016639983940e+00,6.733165811919576527e+01,6.698737564537860578e+01
1.658710651518693879e+01,7.211100239448793303e-01,5.240717264680323950e+00,3.558544975831862445e+01,3.565757830234903736e+01
3.320228070970629375e+01,8.698263670291208616e-01,4.484702227034991218e+00,4.670705215264837307e+01,4.661134648740704733e+01
7.868156792896479601e+01,3.329697548857467604e-01,1.187509743692795050e+00,7.673533408956025426e+01,7.716140522166659821e+01
7.281042136147732435e+01,3.903954015122391707e-01,6.727257193700726390e+00,1.882626013245237573e+02,1.882795654157422973e+02
2.158058910854524726e+01,3.499234209724630951e-01,9.600434142493261547e+00,6.302066967313309931e+01,6.302754446494230933e+01
4.386146512852847934e+01,7.322566577980984537e-01,9.426258761395354568e+00,1.309718152482945470e+02,1.306145253877780590e+02
4.788292551557166377e+01,7.464512538784170426e-01,4.697399331809593015e-01,2.824692473842368301e+01,2.848170878779743020e+01
6.984858217257647084e+01,7.969143075773192919e-01,4.367121597822142043e+00,1.158820308182577321e+02,1.153650974570802390e+02
5.103360667393739902e+01,9.289370182697580525e-01,5.957234867769973796e+00,9.813295860208299359e+01,9.846590332196497286e+01
6.278664941429782687e+01,2.636454237300664971e-01,9.874721911257999807e-01,4.699537284623292521e+01,4.775734160272799045e+01
8.557161432480481267e+01,7.374231385799129290e-01,7.106329461659514735e+00,2.680704726469920161e+02,2.673081296279424350e+02
7.538262492811334425e+01,6.811326903819647782e-01,4.333630033205782439e+00,1.302110946566104701e+02,1.289779800409348240e+02
4.285065371577030646e+01,3.363589740853287768e-01,1.298282629933197319e+00,2.511638849296477360e+01,2.542482787054193238e+01
5.035566784100358717e+01,9.777776333733367853e-01,2.126478057640217578e+00,4.353929969284065749e+01,4.481324860058222015e+01
4.309296127210059524e+01,5.292642026517383469e-01,1.834299730351263147e-01,2.198895069038642092e+01,2.148848826595047257e+01
1.987611976060270536e+01,9.539447281229963549e-01,2.301072090919615842e+00,1.823773772939449955e+01,1.761238984999350521e+01
2.829173896786569387e+01,9.745964137932960902e-01,7.005261461617356744e+00,6.173007375108759476e+01,6.202455821797783386e+01
3.554258400497180048e+01,9.100432862547674917e-01,4.933857431450418218e+00,5.437323640295267069e+01,5.395287560792351655e+01
3.827205060420719462e+01,5.135368239820838898e-01,2.337842979600848192e+00,2.983712402908867034e+01,2.958411128712030091e+01
3.817430729379439214e+01,3.517991111327698484e-01,2.527527797217212768e+00,3.068618649415483901e+01,3.051212776081295175e+01
6.190297446276568394e+01,6.271857454198239701e-01,4.733222039240752466e+00,1.020902928052694136e+02,1.023562938484153193e+02
9.745209780577792458e+01,5.045822496573748595e-01,7.332960600899872006e+00,3.528015982908362389e+02,3.525989471101397044e+02
7.971977214313588433e+01,5.213814236601148622e-01,9.783739930400258800e+00,3.565132605782500832e+02,3.566522019982901384e+02
8.120205533555247257e+01,3.196732093317361523e-01,4.987342702298266595e+00,1.660347869827341469e+02,1.659465203532873545e+02
7.833416504856219831e+01,8.580277678620550352e-01,4.432734215524597232e+00,1.426503958087669162e+02,1.422280602569411201e+02
6.372889574713807548e+01,7.576516839135530867e-01,3.791510300101496256e+00,8.895906652900934830e+01,8.879915340013774028e+01
9.259230314538214657e+01,8.787786380918860552e-01,8.215405896094791771e+00,3.716104750259899561e+02,3.711352751934060166e+02
7.206671399023727531e+01,5.783849433266750051e-01,5.761488386732062317e+00,1.572045965124234215e+02,1.572078540053582856e+02
5.503207876631838502e+01,1.833973584769750809e-01,9.158095920970673376e+00,1.730121926021223544e+02,1.724502594883395261e+02
1.693754276504848733e+01,8.760780455730832195e-01,5.482127810367929399e+00,3.796216203147075419e+01,3.741571484682313553e+01
5.396043043769714842e+01,1.623260814477510972e-01,1.989192506387559289e+00,4.293098198127803045e+01,4.365946288893065486e+01
2.915478958063009074e+01,2.390644085320299816e-01,1.051152966628826624e+00,1.237943880602191626e+01,1.235284669586924622e+01
2.194266677921085318e+01,9.497081170224868085e-01,5.380416801017769757e+00,4.192568170997988375e+01,4.189873069724386312e+01
5.554584302764356352e+01,6.053542968337597419e-01,1.906649216264951763e+00,4.646119323867636552e+01,4.671696144863517475e+01
8.065767633372631451e+01,7.074976693297517771e-01,6.985326940022710929e+00,2.363234974109900577e+02,2.361130689097156221e+02
3.655057985249675312e+01,8.388934004690409285e-01,7.830059452693507893e+00,8.612401911779129193e+01,8.600975143405221957e+01
7.918945839182498503e+01,6.981014221166079725e-01,7.774010613695232053e+00,2.603012330772587006e+02,2.605138074449246801e+02
5.730665708460286822e+01,4.995741592789587626e-01,4.062393669787739192e+00,7.888966836670363136e+01,7.903087628782583351e+01
2.341432210336412822e+01,5.886994761512277519e-01,5.508457648708602328e+00,4.259921178220903215e+01,4.201956341874281975e+01
9.684709695817620911e+01,4.586354143050422882e-01,2.266655606558158897e+00,1.403647374381101258e+02,1.407814087364449449e+02
4.614726014996657710e+01,6.194713824735301744e-01,5.189268145548490807e+00,7.411651503216441483e+01,7.382129756051989489e+01
3.657108300964262071e+01,1.019863276389749718e-01,8.172574782056702958e+00,8.635066732649394794e+01,8.582262785133686123e+01
8.622985335703566534e+01,5.574394865860680115e-01,6.392108043041259791e+00,2.398512348059997805e+02,2.394009972710002501e+02
2.120142992639318535e+01,1.214396043361678779e-01,6.671607258717169309e+00,4.519615232157343598e+01,4.500087964939577745e+01
7.602314149663330056e+01,1.987047539415781050e-01,9.561383689590702062e+00,3.154725334871220070e+02,3.162861836144335257e+02
2.690422683089214928e+01,8.617314471468695558e-01,2.867637403985799693e+00,2.635705595262410839e+01,2.576928800016371923e+01
4.532425984113242379e+01,6.934475055749024230e-01,6.495707399170280283e+00,9.085917282426476049e+01,9.093921077053192903e+01
3.087098906159246070e+01,2.639510837457715864e-01,8.846545314462058940e+00,7.880750057080572901e+01,7.773858839176044455e+01
8.571051934231482505e+01,7.724822727266466016e-01,3.321904618963102074e+00,1.349170446932749883e+02,1.349162612267024031e+02
4.510670967458755598e+01,5.282049426290583716e-01,5.044934694313840673e-01,2.450201746089276611e+01,2.495180066963077081e+01
9.772235315940604039e+01,2.213616483758160391e-01,2.948157878978591384e+00,1.598043689838580121e+02,1.596860373228272749e+02
6.627353359735960225e+01,9.367171256287287751e-01,2.898348749810591762e+00,7.931055134721694344e+01,7.899587388527527310e+01
7.242605512326235839e+01,2.015245886368615125e-01,2.872423709544583481e+00,8.817898252072204457e+01,8.829473805275131326e+01
5.693726099191757584e+01,1.177685722164628079e-01,5.253864047743003418e+00,9.694989768593477208e+01,9.729997356151010024e+01
3.780713791680319957e+01,3.309415556109355228e-01,5.623686111247176100e+00,6.239477066997413601e+01,6.272659945548284099e+01
4.560007789471858786e+01,1.781739162318101699e-01,3.851482425628956818e+00,5.346773132078304513e+01,5.445396824774793743e+01
9.468407688957115909e+01,1.150493127234121365e-01,3.219975856836205796e+00,1.570230186630148523e+02,1.571276023991829902e+02
2.810828806521980283e+01,6.879176888177989113e-01,5.236082957223060497e+00,4.629548551748704455e+01,4.599928046761057487e+01
9.893970110981911148e+01,2.187659250921625553e-01,7.300619042983864659e+00,3.597328431651283154e+02,3.596698535701349897e+02
7.824752758034365741e+01,6.074918596557891126e-01,3.248988580757294908e-01,7.155389161417863875e+01,7.151764234136872744e+01
4.238082338433492424e+01,3.183308462539780614e-01,8.257351074881466246e+00,1.057752687530755082e+02,1.058296374448145656e+02
6.773622305550429701e+01,9.465851221907588542e-01,1.324342907134712366e+00,6.079539964694735232e+01,6.078038574033263330e+01
4.428833853637787854e+01,2.942703894653253549e-01,9.064023551754857522e+00,1.246379186668559953e+02,1.247249016363040965e+02
4.433436393759279781e+01,5.685892537074144215e-01,4.926734732039723674e+00,6.696059155814029396e+01,6.612516652783273230e+01
5.534226551750766276e+01,7.614885321744907509e-01,5.642552403957297180e+00,1.031238496689873045e+02,1.035386641470073243e+02
1.150505394718393681e+01,3.800169267665280959e-01,9.808241176531476313e+00,4.808458383308768447e+01,4.779721419862716658e+01
5.442144039490565888e+01,8.485654510476953183e-01,8.972182705374725842e+00,1.689091225848784461e+02,1.683225432366549228e+02
9.744385721021991742e+01,3.825810569182682697e-01,4.450874509866629580e+00,2.111239107271523778e+02,2.114427863069730904e+02
3.569187059070205947e+01,4.490740573966923721e-01,2.022833253708910206e+00,2.446468404013796061e+01,2.512334704383100004e+01
7.733961631689508920e+01,4.873494542749644554e-01,5.957499412787033322e+00,1.830284884436638890e+02,1.832750025184136007e+02
4.985100010634455714e+01,4.770047097386247437e-01,4.018461209997359340e-01,2.889023677397649692e+01,2.897081643089925862e+01
2.883529383560069093e+01,6.471492889693730710e-01,6.707304536975233766e-01,1.274571572300928324e+01,1.227960557032330691e+01
9.145023137363165233e+01,3.036210504398477728e-01,2.262942172736116753e+00,1.237552180526353709e+02,1.251910017215421220e+02
1.151445562121917021e+01,3.962926993986669588e-01,4.177501814644357658e+00,2.486804483379070874e+01,2.530817414412146249e+01
3.731580339395596013e+01,3.060748281857633701e-01,6.937051184274575455e+00,7.558276257225043082e+01,7.501311523707894935e+01
9.991232940915438121e+01,3.492507236652024893e-01,9.891257632580385817e-01,1.261448863898456949e+02,1.257550674317258199e+02
3.359321165709905443e+01,7.865040935476048656e-01,8.548538117629377098e+00,8.568018601480058294e+01,8.572367563908653665e+01
8.641400696733448683e+01,6.663400784396815713e-01,4.497776949377076505e+00,1.710232963929938705e+02,1.702459308269958740e+02
6.451148337901338436e+01,9.665103721816310500e-01,1.939178423927953032e+00,6.224750627065136399e+01,6.233182147415661944e+01
8.254321367744113047e+01,9.551170365643434357e-01,8.644491930988401407e+00,3.223820252664565373e+02,3.221524894886001675e+02
6.672859798991304103e+01,2.845769022170552276e-01,6.908788923132793691e+00,1.673912005837949266e+02,1.680043358839530470e+02
4.264271713520635387e+01,2.889514323650310690e-01,8.598420189311340778e+00,1.114313725359093894e+02,1.119124498677235096e+02
7.847099061251343244e+01,9.168831651032253172e-01,9.651467067207214257e+00,3.418047782002184931e+02,3.404491354815011164e+02
1.238360940135751065e+01,2.250638427326282498e-01,8.196025908826417350e+00,4.328665338703396515e+01,4.330750468004762155e+01
5.021316565610067073e+01,7.850665422969973495e-01,3.430080176602212649e+00,5.813399367638425019e+01,5.732525992662240810e+01
4.346691128830953943e+01,2.725837867512536095e-01,9.868286929631274518e+00,1.343467939743463830e+02,1.349016129739706571e+02
5.293666050736145223e+01,2.287329972247089394e-01,7.530296833725808270e+00,1.288927926306773202e+02,1.289768455652412342e+02
2.148586178464626428e+01,4.953195003582431255e-01,8.190319224099248174e+00,5.601071083805472028e+01,5.628491356414821922e+01
3.002561793516451871e+01,7.156537094604141780e-01,3.648230483626258902e+00,3.492756421715184700e+01,3.439500185275019817e+01
6.058464310897384308e+01,8.597518161511414903e-01,5.967258278582006525e+00,1.250241080289072073e+02,1.259383231479049527e+02
4.489922040903585554e+01,2.873359408440941953e-01,6.223327961962504595e+00,8.400935749915326767e+01,8.501939418272849025e+01
8.124905850313065514e+01,1.897335468681886628e-01,2.771735988953218932e+00,1.069610989373422001e+02,1.064287134160290975e+02
6.446229303497629815e+01,8.134416279460952026e-01,4.790329640990080406e+00,1.107583236833503122e+02,1.109447312442834743e+02
8.751400163082946904e+01,5.059155025978189224e-01,2.715919615888797711e+00,1.239152934842281439e+02,1.235786422700330576e+02
7.591247535930440904e+01,6.486127015816839370e-01,2.879491351548449707e+00,9.845690749519660301e+01,9.844512252676624087e+01
6.416411029827085599e+01,6.257813563057424977e-01,6.542566932459525475e+00,1.494273933054245731e+02,1.487945748158122967e+02
3.588540419763961609e+01,7.847357468106062051e-01,1.991382192434809628e-01,1.719110972808368487e+01,1.812468248537399518e+01
8.044844211335517059e+01,9.906030220320614088e-01,7.581902360968832966e+00,2.608168844211737110e+02,2.603322946656323893e+02
3.261408203539735950e+01,6.832823402201065877e-01,4.850400406814712184e+00,4.853452170225796181e+01,4.838647979475921801e+01
1.676900006329639936e+01,4.286903837487482383e-01,1.256509126971867563e+00,8.191615366429026324e+00,8.442356831984287879e+00
9.665781205989050306e+01,2.574008429235732365e-01,4.830119973975336656e+00,2.223762481721173856e+02,2.220524678329093149e+02
5.860100845868222308e+01,1.925909370604885762e-01,3.754371658067581219e+00,7.485098946528501074e+01,7.473133325041885655e+01
7.965048677948301759e+01,7.223987425141992214e-01,8.739739799613378324e+00,3.058607876890752095e+02,3.055789677658617052e+02
5.763005268673241233e+01,3.295932475401733841e-01,6.729341697396780120e+00,1.292748127162004721e+02,1.292080823387823330e+02
6.504217573346392101e+01,3.498410256974421317e-01,2.245828540733691980e+00,6.425413199942629205e+01,6.366886068187614001e+01
1.305030254648556109e+01,4.990121883534870406e-01,9.156609896586616060e+00,4.850068411825466796e+01,4.828169008045351518e+01
2.681143114184276754e+01,5.748386845012227742e-01,8.657761712665525522e+00,6.925755387106663363e+01,6.915410740871051587e+01
7.072204558912997641e+01,4.745332181414175787e-01,5.432907891386358656e+00,1.430666456655843319e+02,1.428997826636822595e+02
6.135081381572484105e+01,9.601339147630119086e-01,7.605258246825530311e-01,4.687945809460418900e+01,4.690780307205108812e+01
2.426995305880414122e+01,3.682819967314707732e-01,6.632202844242573114e+00,5.011142784490436242e+01,4.996487673522599948e+01
9.568263418535663334e+01,6.418167644606036504e-01,4.230433151250005963e+00,1.967935931232783560e+02,1.971701988274980408e+02
2.389182692926638651e+01,1.146208824929753622e-01,6.269789777956487953e+00,4.591355733854800292e+01,4.575195937565509041e+01
5.592729247648168212e+01,1.573946574943942411e-01,9.821214836006686433e-01,3.692229519037516638e+01,3.685397039222722526e+01
2.296025875173319264e+01,2.790521931412602297e-01,1.149585568197929453e+00,9.574002054588554245e+00,9.241611386590628641e+00
7.456345534956112431e+01,3.532085863633721567e-01,1.498859191673459490e+00,7.211683323613233654e+01,7.185357581607472355e+01
3.486817126856374216e+01,5.196909873924956402e-01,5.487250974414852323e+00,5.704645987041894983e+01,5.641421347500909178e+01
2.207205776096049377e+01,6.167866617362255388e-01,7.214705424161728331e+00,5.196469851403020357e+01,5.222409097446918480e+01
1.413884626034640846e+01,2.493289977913841771e-01,3.473129135986562588e+00,2.055794405912035216e+01,1.998668505029410625e+01
2.573519841078612558e+01,6.207847814025867494e-01,9.330190627397294545e-01,1.176312288316484711e+01,1.139019468407068381e+01
2.726188450512097816e+01,1.736407359070684109e-01,1.648457077397044168e+00,1.415939263060867503e+01,1.433901495661427816e+01
5.832748716146133461e+01,4.530472444087962902e-01,3.191403335091276272e+00,6.675606528057078037e+01,6.695735196354304719e+01
