t,N1,N2,R,dN1_dt
5.601120224044808804e-01,1.316339141060243811e+01,1.659565029966315208e+01,7.054879230735717499e+01,6.265156419241586505e+00
5.701140228045609160e-01,1.322616667670798840e+01,1.662185202671988904e+01,7.081877568435041326e+01,6.287387713523589383e+00
5.801160232046409515e-01,1.328916435694497444e+01,1.664795537573617423e+01,7.108598375569515326e+01,6.309630398383195171e+00
5.901180236047209871e-01,1.335238456569698684e+01,1.667395939917143721e+01,7.135044420177162294e+01,6.331884511982339703e+00
6.001200240048010226e-01,1.341582741761225961e+01,1.669986314857030507e+01,7.161218443548102641e+01,6.354150088161386378e+00
6.101220244048810581e-01,1.347949302752632228e+01,1.672566567460791376e+01,7.187123160774902431e+01,6.376427156660231965e+00
6.201240248049609827e-01,1.354338151046199989e+01,1.675136602708991518e+01,7.212761260752569115e+01,6.398715743325155358e+00
6.301260252050410182e-01,1.360749298162941834e+01,1.677696325495248075e+01,7.238135406178554376e+01,6.421015870307951623e+00
6.401280256051210538e-01,1.367182755642599368e+01,1.680245640626228365e+01,7.263248233552752708e+01,6.443327556257713695e+00
6.501300260052010893e-01,1.373638535043644104e+01,1.682784452821652366e+01,7.288102353177498571e+01,6.465650816505556620e+00
6.601320264052811249e-01,1.380116647943277464e+01,1.685312666714291296e+01,7.312700349157573498e+01,6.487985663242593404e+00
6.701340268053610494e-01,1.386617105937430239e+01,1.687830186849967617e+01,7.337044779400197569e+01,6.510332105691441384e+00
6.801360272054410849e-01,1.393139920640762774e+01,1.690336917687554674e+01,7.361138175615036516e+01,6.532690150271537988e+00
6.901380276055211205e-01,1.399685103678644538e+01,1.692832763609916924e+01,7.384983044119285012e+01,6.555059800773396006e+00
7.001400280056011560e-01,1.406252666640015647e+01,1.695317628987435299e+01,7.408581868035086870e+01,6.577441058395134377e+00
7.101420284056811916e-01,1.412842621141851573e+01,1.697791418087501114e+01,7.431937099355792498e+01,6.599833921656966140e+00
7.201440288057612271e-01,1.419454978798788325e+01,1.700254035115129270e+01,7.455051165849725692e+01,6.622238386916201591e+00
7.301460292058411516e-01,1.426089751214501256e+01,1.702705384224716312e+01,7.477926472240415023e+01,6.644654448548003245e+00
7.401480296059211872e-01,1.432746949981705242e+01,1.705145369520039011e+01,7.500565400206592415e+01,6.667082099079891577e+00
7.501500300060012227e-01,1.439426586682154152e+01,1.707573895054254010e+01,7.522970308382190296e+01,6.689521329321755694e+00
7.601520304060812583e-01,1.446128672886642086e+01,1.709990864829899238e+01,7.545143532356345872e+01,6.711972128491555445e+00
7.701540308061612938e-01,1.452853220155001601e+01,1.712396182798892852e+01,7.567087384673396855e+01,6.734434484336899729e+00
7.801560312062413294e-01,1.459600240036105312e+01,1.714789752862533589e+01,7.588804154832885729e+01,6.756908383252645756e+00
7.901580316063212539e-01,1.466369744067865177e+01,1.717171478871500057e+01,7.610296109289554067e+01,6.779393810394691577e+00
8.001600320064012895e-01,1.473161743777232324e+01,1.719541264625852506e+01,7.631565491453351058e+01,6.801890749790086232e+00
8.101620324064813250e-01,1.479976250680197580e+01,1.721899013875030704e+01,7.652614521689424976e+01,6.824399184443647570e+00
8.201640328065613605e-01,1.486813276271598916e+01,1.724244630367051911e+01,7.673445399877223849e+01,6.846919096520203141e+00
8.301660332066413961e-01,1.493672832015874619e+01,1.726578017848476776e+01,7.694060301865565066e+01,6.869450467118562997e+00
8.401680336067214316e-01,1.500554929363322820e+01,1.728899079997135502e+01,7.714461377833991662e+01,6.891993276421331416e+00
8.501700340068013562e-01,1.507459579743439271e+01,1.731207720479951107e+01,7.734650757732093496e+01,6.914547504101594910e+00
8.601720344068813917e-01,1.514386794564861738e+01,1.733503842953282259e+01,7.754630551303849018e+01,6.937113129415548585e+00
8.701740348069614273e-01,1.521336585215369652e+01,1.735787351062920791e+01,7.774402848087611062e+01,6.959690131291324633e+00
8.801760352070414628e-01,1.528308963061884640e+01,1.738058148444094542e+01,7.793969717416115373e+01,6.982278488415190054e+00
8.901780356071214984e-01,1.535303939450470700e+01,1.740316138721464156e+01,7.813333208416479181e+01,7.004878179315291220e+00
9.001800360072015339e-01,1.542321525706333141e+01,1.742561225509126643e+01,7.832495350010202628e+01,7.027489182442957727e+00
9.101820364072814584e-01,1.549361733133819818e+01,1.744793312410611819e+01,7.851458150913161660e+01,7.050111476251727183e+00
9.201840368073614940e-01,1.556424573016420609e+01,1.747012303018885859e+01,7.870223599635619394e+01,7.072745039274133561e+00
9.301860372074415295e-01,1.563510056616767052e+01,1.749218100916347751e+01,7.888793664482216172e+01,7.095389850196352377e+00
9.401880376075215651e-01,1.570618195176632881e+01,1.751410609674831775e+01,7.907170293551975249e+01,7.118045887930788851e+00
9.501900380076016006e-01,1.577748999925370299e+01,1.753589732916721644e+01,7.925355417349958032e+01,7.140713131813683390e+00
9.601920384076816362e-01,1.584902482061700368e+01,1.755755374300953875e+01,7.943350944797028035e+01,7.163391561301964749e+00
9.701940388077615607e-01,1.592078652750957879e+01,1.757907437454913691e+01,7.961158762284411239e+01,7.186081156085522892e+00
9.801960392078415962e-01,1.599277523143104673e+01,1.760045826038731676e+01,7.978780738542276652e+01,7.208781896495752406e+00
9.901980396079216318e-01,1.606499104372753450e+01,1.762170443745408832e+01,7.996218724647087583e+01,7.231493763569266875e+00
1.000200040008001556e+00,1.613743407559170251e+01,1.764281194300816580e+01,8.013474554021603069e+01,7.254216739109576650e+00
1.010202040408081592e+00,1.621010443806272150e+01,1.766377981463698532e+01,8.030550042434879288e+01,7.276950805747217643e+00
1.020204040808161627e+00,1.628300224202629209e+01,1.768460709025668365e+01,8.047446988002266721e+01,7.299695946998438600e+00
1.030206041208241663e+00,1.635612759821463058e+01,1.770529280811210882e+01,8.064167171185408733e+01,7.322452147322429994e+00
1.040208041608321698e+00,1.642948061720647601e+01,1.772583600677682369e+01,8.080712354792248675e+01,7.345219392177231299e+00
1.050210042008401734e+00,1.650306140942708666e+01,1.774623572515309178e+01,8.097084283977024199e+01,7.367997668074284690e+00
1.060212042408481770e+00,1.657687008514825067e+01,1.776649100247189139e+01,8.113284686240267263e+01,7.390786962631743506e+00
1.070214042808561805e+00,1.665090675448826474e+01,1.778660087829291570e+01,8.129315271428806966e+01,7.413587264626543494e+00
1.080216043208641841e+00,1.672517152751272462e+01,1.780656439274782343e+01,8.145177732716179264e+01,7.436398564113241960e+00
1.090218043608721876e+00,1.679966451442042086e+01,1.782638058735174980e+01,8.160873747686410695e+01,7.459220852460950013e+00
1.100220044008801912e+00,1.687438582487186522e+01,1.784604850352159389e+01,8.176404971838449853e+01,7.482054121921832390e+00
1.110222044408881725e+00,1.694933556849370149e+01,1.786556718334398397e+01,8.191773044639978707e+01,7.504898366209331151e+00
1.120224044808961761e+00,1.702451385494088854e+01,1.788493566969944126e+01,8.206979590192682394e+01,7.527753580596440841e+00
1.130226045209041796e+00,1.709992079389667552e+01,1.790415300626241546e+01,8.222026217232237855e+01,7.550619761960541965e+00
1.140228045609121832e+00,1.717555649507262672e+01,1.792321823750124921e+01,8.236914519128329459e+01,7.573496908827388019e+00
1.150230046009201867e+00,1.725142106820860022e+01,1.794213040867820297e+01,8.251646073884631960e+01,7.596385021414179484e+00
1.160232046409281903e+00,1.732751462307276569e+01,1.796088856584945148e+01,8.266222444138826120e+01,7.619284101671833120e+00
1.170234046809361939e+00,1.740383726946160081e+01,1.797949175586507309e+01,8.280645177162585924e+01,7.642194153326424377e+00
1.180236047209441974e+00,1.748038911719987709e+01,1.799793902636906040e+01,8.294915804861587105e+01,7.665115181919890830e+00
1.190238047609522010e+00,1.755717027614067760e+01,1.801622942579930609e+01,8.309035843775505725e+01,7.688047194849972676e+00
1.200240048009602045e+00,1.763418085616538633e+01,1.803436200338762418e+01,8.323006795078011066e+01,7.710990201409443578e+00
1.210242048409682081e+00,1.771142096718369530e+01,1.805233580915973945e+01,8.336830144576778423e+01,7.733944212824693132e+00
1.220244048809762116e+00,1.778889071942755251e+01,1.807014989443531761e+01,8.350507364314026404e+01,7.756909242422269202e+00
1.230246049209841930e+00,1.786659022347512504e+01,1.808780331226096294e+01,8.364039911481239642e+01,7.779885305483031033e+00
1.240248049609921965e+00,1.794451958942543612e+01,1.810529511596397967e+01,8.377429224344547265e+01,7.802872418961309009e+00
1.250250050010002001e+00,1.802267892766908730e+01,1.812262436011782896e+01,8.390676727673115920e+01,7.825870602040575719e+00
1.260252050410082036e+00,1.810106834891637462e+01,1.813979010058341856e+01,8.403783832914521668e+01,7.848879876183152859e+00
1.270254050810162072e+00,1.817968796419727084e+01,1.815679139450907797e+01,8.416751938194749982e+01,7.871900265163688459e+00
1.280256051210242108e+00,1.825853788486145746e+01,1.817362730033056906e+01,8.429582428318198595e+01,7.894931795102174021e+00
1.290258051610322143e+00,1.833761822257828911e+01,1.819029687777108251e+01,8.442276674767670386e+01,7.917974494496471394e+00
1.300260052010402179e+00,1.841692908933681494e+01,1.820679918784124496e+01,8.454836035704383335e+01,7.941028394254400880e+00
1.310262052410482214e+00,1.849647059744577859e+01,1.822313329283911187e+01,8.467261855967961992e+01,7.964093527725429666e+00
1.320264052810562250e+00,1.857624285953361465e+01,1.823929825635016755e+01,8.479555467076441744e+01,7.987169930731930378e+00
1.330266053210642285e+00,1.865624598854843441e+01,1.825529314324733221e+01,8.491718187226267389e+01,8.010257641600073697e+00
1.340268053610722099e+00,1.873648009775805434e+01,1.827111701969095492e+01,8.503751321292293142e+01,8.033356701190369265e+00
1.350270054010802134e+00,1.881694530074997118e+01,1.828676895312881001e+01,8.515656160827784049e+01,8.056467152927849540e+00
1.360272054410882170e+00,1.889764171162742556e+01,1.830224801255258171e+01,8.527433984809296419e+01,8.079589042902663110e+00
1.370274054810962205e+00,1.897856944562236947e+01,1.831755326957061314e+01,8.539086061002663541e+01,8.102722419970477929e+00
1.380276055211042241e+00,1.905972861751681080e+01,1.833268379647684299e+01,8.550613639684434020e+01,8.125867335153436954e+00
1.390278055611122277e+00,1.914111934263278769e+01,1.834763866717582204e+01,8.562017958884712243e+01,8.149023842243217075e+00
1.400280056011202312e+00,1.922274173700258260e+01,1.836241695737956192e+01,8.573300245132537611e+01,8.172191997903745175e+00
1.410282056411282348e+00,1.930459591736872227e+01,1.837701774460754933e+01,8.584461713455887377e+01,8.195371861697401172e+00
1.420284056811362383e+00,1.938668200118397422e+01,1.839144010818672825e+01,8.595503567381669541e+01,8.218563496110988353e+00
1.430286057211442419e+00,1.946900010661135383e+01,1.840568312925150707e+01,8.606426998935735639e+01,8.241766966581511866e+00
1.440288057611522454e+00,1.955155035252411722e+01,1.841974589074376922e+01,8.617233188642867958e+01,8.264982341521772469e+00
1.450290058011602490e+00,1.963433285850575771e+01,1.843362747741285546e+01,8.627923305526786635e+01,8.288209692345779089e+00
1.460292058411682303e+00,1.971734774485002717e+01,1.844732697581557090e+01,8.638498507110148239e+01,8.311449093494037044e+00
1.470294058811762339e+00,1.980059513256090753e+01,1.846084347431618866e+01,8.648959939414544351e+01,8.334700622458649732e+00
1.480296059211842374e+00,1.988407514335262860e+01,1.847417606308645333e+01,8.659308736960501562e+01,8.357964359808347510e+00
1.490298059611922410e+00,1.996778789964966450e+01,1.848732383410556324e+01,8.669546022767485738e+01,8.381240389213374442e+00
1.500300060012002445e+00,2.005173352458673364e+01,1.850028588116019179e+01,8.679672908353896332e+01,8.404528797470302237e+00
1.510302060412082481e+00,2.013591214263373530e+01,1.851306130056558175e+01,8.689690495361418243e+01,8.427829674693395390e+00
1.520304060812162517e+00,2.022032387948529930e+01,1.852564919141746103e+01,8.699599873922853988e+01,8.451143114090275077e+00
1.530306061212242552e+00,2.030496886069688500e+01,1.853804865392936208e+01,8.709402119641208628e+01,8.474469211690188075e+00
1.540308061612322588e+00,2.038984721298939462e+01,1.855025879063856920e+01,8.719098298146109016e+01,8.497808066895427004e+00
1.550310062012402623e+00,2.047495906427774415e+01,1.856227870643572686e+01,8.728689465180987384e+01,8.521159782512349068e+00
1.560312062412482659e+00,2.056030454367089888e+01,1.857410750856481840e+01,8.738176666603088449e+01,8.544524464772752737e+00
1.570314062812562694e+00,2.064588378147184500e+01,1.858574430662319799e+01,8.747560938383465157e+01,8.567902223355215341e+00
1.580316063212642508e+00,2.073169690917759667e+01,1.859718821256155508e+01,8.756843306606974409e+01,8.591293171406448437e+00
1.590318063612722543e+00,2.081774405947921025e+01,1.860843834068393932e+01,8.766024787472289859e+01,8.614697425562662048e+00
1.600320064012802579e+00,2.090402536626177010e+01,1.861949380764775697e+01,8.775106387291887700e+01,8.638115105970941343e+00
1.610322064412882614e+00,2.099054096460438146e+01,1.863035373246375315e+01,8.784089102492056611e+01,8.661546336310685490e+00
1.620324064812962650e+00,2.107729099078019885e+01,1.864101723649603670e+01,8.792973919612892075e+01,8.684991243815090911e+00
1.630326065213042686e+00,2.116427558225639061e+01,1.865148344346206599e+01,8.801761815308297798e+01,8.708449959292687836e+00
1.640328065613122721e+00,2.125149487769416723e+01,1.866175147943264889e+01,8.810453756345989973e+01,8.731922617148960342e+00
1.650330066013202757e+00,2.133894901694876722e+01,1.867182047283194990e+01,8.819050699607488752e+01,8.755409355408083627e+00
1.660332066413282792e+00,2.142663814156593460e+01,1.868168955493566585e+01,8.827553593079088046e+01,8.778910315846392365e+00
1.670334066813362828e+00,2.151456239542308779e+01,1.869135786082050998e+01,8.835963376059365260e+01,8.802425643974711278e+00
1.680336067213442863e+00,2.160272192233625432e+01,1.870082452700569675e+01,8.844280974389930350e+01,8.825955488508311575e+00
1.690338067613522677e+00,2.169111686774480674e+01,1.871008869280439058e+01,8.852507305113707048e+01,8.849500001977258279e+00
1.700340068013602712e+00,2.177974737885660872e+01,1.871914950045601245e+01,8.860643276813881641e+01,8.873059340785591331e+00
1.710342068413682748e+00,2.186861360464797599e+01,1.872800609512623282e+01,8.868689789613895869e+01,8.896633665229769505e+00
1.720344068813762783e+00,2.195771569586370120e+01,1.873665762490697162e+01,8.876647735177449761e+01,8.920223139517272415e+00
1.730346069213842819e+00,2.204705380501704681e+01,1.874510324081639823e+01,8.884517996708498799e+01,8.943827931785371277e+00
1.740348069613922855e+00,2.213662808638974866e+01,1.875334209679893505e+01,8.892301448951258180e+01,8.967448214120040006e+00
1.750350070014002890e+00,2.222643869603200528e+01,1.876137334972525039e+01,8.899998958190199971e+01,8.991084162575083027e+00
1.760352070414082926e+00,2.231648579176248859e+01,1.876919615939226560e+01,8.907611382250054533e+01,9.014735957191444271e+00
1.770354070814162961e+00,2.240676953316834030e+01,1.877680968852315502e+01,8.915139570495804833e+01,9.038403782016729338e+00
1.780356071214242997e+00,2.249729008160517196e+01,1.878421310276733536e+01,8.922584363832699239e+01,9.062087825124931939e+00
1.790358071614323032e+00,2.258804760019706848e+01,1.879140557070047990e+01,8.929946594706237306e+01,9.085788278636416138e+00
1.800360072014403068e+00,2.267904225383657391e+01,1.879838626382451139e+01,8.937227087102178302e+01,9.109505338738120628e+00
1.810362072414482881e+00,2.277027420918471634e+01,1.880515435656760204e+01,8.944426656546538368e+01,9.133239205704034802e+00
1.820364072814562917e+00,2.286174363605567450e+01,1.881170902758603702e+01,8.951546112079580553e+01,9.156990084139582819e+00
1.830366073214642952e+00,2.295345070609457494e+01,1.881804945895803627e+01,8.958586252929482896e+01,9.180758182522293254e+00
1.840368073614722988e+00,2.304539559177460006e+01,1.882417483501264854e+01,8.965547868009686283e+01,9.204543713212643752e+00
1.850370074014803023e+00,2.313757846800268680e+01,1.883008434360887762e+01,8.972431739027986453e+01,9.228346892875922691e+00
1.860372074414883059e+00,2.322999951211966518e+01,1.883577717613581726e+01,8.979238640486771317e+01,9.252167942499223585e+00
1.870374074814963095e+00,2.332265890390025476e+01,1.884125252751265478e+01,8.985969339683016699e+01,9.276007087408620677e+00
1.880376075215043130e+00,2.341555682555306461e+01,1.884650959618864263e+01,8.992624596708293438e+01,9.299864557286724676e+00
1.890378075615123166e+00,2.350869346172060403e+01,1.885154758414313036e+01,8.999205164448765970e+01,9.323740586190488955e+00
1.900380076015203201e+00,2.360206899947926829e+01,1.885636569688555042e+01,9.005711788585185218e+01,9.347635412569367475e+00
1.910382076415283237e+00,2.369568362833934216e+01,1.886096314345541813e+01,9.012145207592898544e+01,9.371549279283810208e+00
1.920384076815363272e+00,2.378953754024501066e+01,1.886533913642232818e+01,9.018506152741842641e+01,9.395482433624101404e+00
1.930386077215443086e+00,2.388363092957433764e+01,1.886949289188596168e+01,9.024795348096549219e+01,9.419435127329554902e+00
1.940388077615523121e+00,2.397796399313929783e+01,1.887342362947609331e+01,9.031013510516137899e+01,9.443407616608082478e+00
1.950390078015603157e+00,2.407253693018573770e+01,1.887713057235256287e+01,9.037161349654321896e+01,9.467400162156152987e+00
1.960392078415683192e+00,2.416734994239341106e+01,1.888061294720531436e+01,9.043239567959406600e+01,9.491413029179156524e+00
1.970394078815763228e+00,2.426240323387595410e+01,1.888386998425436403e+01,9.049248860674290995e+01,9.515446487412145160e+00
1.980396079215843264e+00,2.435769701231487261e+01,1.888690091822725847e+01,9.055189917115032472e+01,9.539500811285307691e+00
1.990398079615923299e+00,2.445323148891824161e+01,1.888970498868115300e+01,9.061063419491949844e+01,9.563576279715892525e+00
2.000400080016003113e+00,2.454900687561346473e+01,1.889228143751024191e+01,9.066870040108102557e+01,9.587673175828005157e+00
2.010402080416083148e+00,2.464502338745733567e+01,1.889462951073005925e+01,9.072610445073200935e+01,9.611791787465961079e+00
2.020404080816163184e+00,2.474128124270033524e+01,1.889674845852894336e+01,9.078285294389189630e+01,9.635932407221964979e+00
2.030406081216243219e+00,2.483778066278663488e+01,1.889863753526805468e+01,9.083895241950249044e+01,9.660095332453479955e+00
2.040408081616323255e+00,2.493452187235410733e+01,1.890029599948136863e+01,9.089440935542796751e+01,9.684280865301079899e+00
2.050410082016403290e+00,2.503150509923430889e+01,1.890172311387567561e+01,9.094923016845480390e+01,9.708489312706717556e+00
2.060412082416483326e+00,2.512873057445249358e+01,1.890291814533058457e+01,9.100342121429187614e+01,9.732720986432518373e+00
2.070414082816563361e+00,2.522619853222760256e+01,1.890388036489851586e+01,9.105698878757038983e+01,9.756976203080018450e+00
2.080416083216643397e+00,2.532390920997227468e+01,1.890460904780471552e+01,9.110993912184389387e+01,9.781255284109933612e+00
2.090418083616723433e+00,2.542186284829283949e+01,1.890510347344723741e+01,9.116227838958830887e+01,9.805558555862418757e+00
2.100420084016803468e+00,2.552005969098931715e+01,1.890536292539695395e+01,9.121401270220188451e+01,9.829886349577856564e+00
2.110422084416883504e+00,2.561849998505542203e+01,1.890538669139755257e+01,9.126514811000524219e+01,9.854239001418211075e+00
2.120424084816963539e+00,2.571718398067856626e+01,1.890517406336554274e+01,9.131569060224133239e+01,9.878616852488896427e+00
2.130426085217043575e+00,2.581611193123984194e+01,1.890472433739024183e+01,9.136564610707546308e+01,9.903020248861235331e+00
2.140428085617123610e+00,2.591528409333286476e+01,1.890403681374855438e+01,9.141502049177907452e+01,9.927449541597528793e+00
2.150430086017203646e+00,2.601470072915351395e+01,1.890311079890629742e+01,9.146381958214917063e+01,9.951905086949308199e+00
2.160432086417283681e+00,2.611436210341626918e+01,1.890194560339973506e+01,9.151204912371008504e+01,9.976387245858635566e+00
2.170434086817363717e+00,2.621426848302648693e+01,1.890054054125590355e+01,9.155971478949980735e+01,1.000089638416284643e+01
2.180436087217443752e+00,2.631442013894452714e+01,1.889889493136993792e+01,9.160682220103360862e+01,1.002543287287026352e+01
2.190438087617523788e+00,2.641481734618575672e+01,1.889700809750507915e+01,9.165337692830401295e+01,1.004999708817903681e+01
2.200440088017603824e+00,2.651546038382055315e+01,1.889487936829266346e+01,9.169938448978081169e+01,1.007458941149659815e+01
2.210442088417683859e+00,2.661634953497429024e+01,1.889250807723212944e+01,9.174485035241109188e+01,1.009921022945972169e+01
2.220444088817763451e+00,2.671748508682735235e+01,1.888989356269101805e+01,9.178977993161915094e+01,1.012385993395522732e+01
2.230446089217843486e+00,2.681886733061513439e+01,1.888703516790497972e+01,9.183417859130659622e+01,1.014853892214132181e+01
2.240448089617923522e+00,2.692049656162802407e+01,1.888393224097774947e+01,9.187805164385227386e+01,1.017324759646960430e+01
2.250450090018003557e+00,2.702237307921142673e+01,1.888058413488118248e+01,9.192140435011232569e+01,1.019798636470774156e+01
2.260452090418083593e+00,2.712449718676574406e+01,1.887699020745522205e+01,9.196424191942013238e+01,1.022275563996285008e+01
2.270454090818163628e+00,2.722686919174638831e+01,1.887314982140791741e+01,9.200656950958634184e+01,1.024755584070555514e+01
2.280456091218243664e+00,2.732948940566377161e+01,1.886906234431541662e+01,9.204839222689889766e+01,1.027238739079479046e+01
2.290458091618323699e+00,2.743235814408332018e+01,1.886472714862197719e+01,9.208971512612295385e+01,1.029725071950334581e+01
2.300460092018403735e+00,2.753547572662546017e+01,1.886014361163994835e+01,9.213054321050098849e+01,1.032214626154411974e+01
2.310462092418483770e+00,2.763884247696562113e+01,1.885531111554978878e+01,9.217088143175271853e+01,1.034707445709720020e+01
