t,S,X,I,active_first_fraction,dX_dt
2.800560112022404624e+00,3.586106715769136200e-01,7.697368864869966743e-01,7.165244193608935608e-02,9.992785239654907725e-01,1.025409274768473156e-01
2.880576115223044908e+00,3.514837475592340610e-01,7.777758042506902614e-01,7.074044819007535567e-02,9.993024262220496778e-01,9.842040443827500262e-02
2.960592118423684749e+00,3.446485273658320692e-01,7.854917715946677648e-01,6.985970103949987187e-02,9.993260501656104910e-01,9.446751082659389509e-02
3.040608121624325033e+00,3.380918263319885320e-01,7.928979036706409467e-01,6.901026999737028267e-02,9.993493072649191067e-01,9.067486389750387121e-02
3.120624124824965318e+00,3.318012113952866216e-01,8.000067390212475260e-01,6.819204958346554435e-02,9.993721229812825291e-01,8.703547320227621176e-02
3.200640128025605158e+00,3.257649410608804974e-01,8.068302759060388407e-01,6.740478303308039543e-02,9.993944354248108786e-01,8.354271224231592241e-02
3.280656131226245442e+00,3.199719268530250571e-01,8.133799903896711259e-01,6.664808275730356446e-02,9.994161942272523635e-01,8.019030151021021291e-02
3.360672134426885727e+00,3.144116727795382982e-01,8.196668740514565510e-01,6.592145316900493990e-02,9.994373590729301871e-01,7.697227863603868514e-02
3.440688137627525567e+00,3.090742426763244954e-01,8.257014525552923701e-01,6.522430476838290969e-02,9.994578988114999341e-01,7.388298328893048994e-02
3.520704140828165851e+00,3.039502207773139841e-01,8.314938059174318274e-01,6.455597330525392197e-02,9.994777903404172825e-01,7.091703818836431195e-02
3.600720144028806136e+00,2.990306660477343725e-01,8.370536008054024757e-01,6.391573314686291307e-02,9.994970174656858664e-01,6.806932572234902779e-02
3.680736147229445976e+00,2.943070905881617905e-01,8.423901009965270026e-01,6.330280841531094049e-02,9.995155702775313511e-01,6.533497788279800378e-02
3.760752150430086260e+00,2.897714239926611479e-01,8.475121880250424677e-01,6.271638798229614564e-02,9.995334441868806152e-01,6.270935815222312970e-02
3.840768153630726545e+00,2.854159815531835398e-01,8.524283863922039739e-01,6.215563205461224761e-02,9.995506391236494981e-01,6.018804475301905987e-02
3.920784156831366385e+00,2.812334466390735699e-01,8.571468716140681066e-01,6.161968174685802935e-02,9.995671590642012383e-01,5.776682205755206273e-02
4.000800160032006225e+00,2.772168419005178741e-01,8.616754887131874430e-01,6.110766938629436790e-02,9.995830112934620537e-01,5.544166544903424837e-02
4.080816163232646510e+00,2.733595072899477896e-01,8.660217716357531126e-01,6.061872107429875506e-02,9.995982058683421378e-01,5.320872943652679710e-02
4.160832166433286794e+00,2.696550846100680410e-01,8.701929504308322239e-01,6.015196495909943403e-02,9.996127552481302025e-01,5.106433978873855389e-02
4.240848169633927078e+00,2.660974951181480086e-01,8.741959678966730873e-01,5.970653698517855434e-02,9.996266737665490121e-01,4.900498140052449159e-02
4.320864172834567363e+00,2.626809246318758673e-01,8.780374938692565578e-01,5.928158149886724598e-02,9.996399772994426502e-01,4.702729007097535691e-02
4.400880176035207647e+00,2.593998095709411644e-01,8.817239319898465544e-01,5.887625843921202168e-02,9.996526829694328820e-01,4.512804516459750087e-02
4.480896179235847043e+00,2.562488200535922300e-01,8.852614349863728860e-01,5.848974496003454121e-02,9.996648087941556460e-01,4.330416017408981327e-02
4.560912182436487328e+00,2.532228496022421727e-01,8.886559146905605999e-01,5.812123570719687077e-02,9.996763734910842913e-01,4.155267696860456828e-02
4.640928185637127612e+00,2.503170026184975971e-01,8.919130487872560797e-01,5.776994859424602891e-02,9.996873962449994711e-01,3.987075904200904075e-02
4.720944188837767896e+00,2.475265820268151562e-01,8.950382946026738118e-01,5.743512337051076555e-02,9.996978964979760240e-01,3.825568441031153288e-02
4.800960192038408181e+00,2.448470814426673414e-01,8.980368960083049412e-01,5.711602254902744397e-02,9.997078938297631057e-01,3.670484123019131933e-02
4.880976195239048465e+00,2.422741745661754764e-01,9.009138902957952721e-01,5.681193513802902662e-02,9.997174077899717570e-01,3.521572195234642932e-02
4.960992198439687861e+00,2.398037059798547310e-01,9.036741202893836533e-01,5.652217373076126594e-02,9.997264577876947556e-01,3.378591790879024309e-02
5.041008201640328146e+00,2.374316848147631775e-01,9.063222390656396898e-01,5.624607611959680370e-02,9.997350630124239856e-01,3.241311578516116454e-02
5.121024204840968430e+00,2.351542758739123828e-01,9.088627172121939157e-01,5.598300691389337252e-02,9.997432423249098532e-01,3.109509261675480821e-02
5.201040208041608714e+00,2.329677927698838302e-01,9.112998528842159995e-01,5.573235434589981357e-02,9.997510142124861332e-01,2.982971169339774381e-02
5.281056211242248999e+00,2.308686924680776742e-01,9.136377753496688348e-01,5.549353218225314133e-02,9.997583967314468412e-01,2.861491952798281627e-02
5.361072214442888395e+00,2.288535679395291567e-01,9.158804523372696682e-01,5.526597972320077684e-02,9.997654074479037645e-01,2.744874163562100247e-02
5.441088217643528679e+00,2.269191428388633580e-01,9.180316982992146047e-01,5.504915886192177782e-02,9.997720634305033993e-01,2.632927933645289043e-02
5.521104220844168964e+00,2.250622667770841856e-01,9.200951772930930916e-01,5.484255592982244243e-02,9.997783812081304511e-01,2.525470712906309825e-02
5.601120224044809248e+00,2.232799091964770000e-01,9.220744100186816228e-01,5.464568078484104141e-02,9.997843767471066290e-01,2.422326912635313842e-02
5.681136227245449533e+00,2.215691549688706408e-01,9.239727808545856735e-01,5.445806417654337067e-02,9.997900654643084861e-01,2.323327640639633734e-02
5.761152230446089817e+00,2.199272004240852840e-01,9.257935402449877227e-01,5.427925933092671990e-02,9.997954621976647971e-01,2.228310480335680618e-02
5.841168233646729213e+00,2.183513481492814490e-01,9.275398110624473169e-01,5.410884078827098154e-02,9.998005812048971208e-01,2.137119186601543763e-02
5.921184236847369498e+00,2.168390030615856001e-01,9.292145950299710577e-01,5.394640190844311040e-02,9.998054361894279651e-01,2.049603449341979439e-02
6.001200240048009782e+00,2.153876692143309457e-01,9.308207746866962173e-01,5.379155609897254969e-02,9.998100402816750831e-01,1.965618715555576129e-02
6.081216243248650066e+00,2.139949453746974872e-01,9.323611186799738437e-01,5.364393594532843035e-02,9.998144060458011850e-01,1.885025931555516995e-02
6.161232246449290351e+00,2.126585211922178142e-01,9.338382881376234845e-01,5.350319067015835151e-02,9.998185455159960267e-01,1.807691312407193676e-02
6.241248249649930635e+00,2.113761747391720847e-01,9.352548383741992044e-01,5.336898688662841672e-02,9.998224701878104526e-01,1.733486204176995504e-02
6.321264252850570031e+00,2.101457689148867880e-01,9.366132226457795085e-01,5.324100843933336075e-02,9.998261910212713488e-01,1.662286876907312708e-02
6.401280256051210316e+00,2.089652473985068315e-01,9.379157988567458082e-01,5.311895374474703141e-02,9.998297184864893827e-01,1.593974281642380683e-02
6.481296259251850600e+00,2.078326327799426276e-01,9.391648312986540237e-01,5.300253592140306835e-02,9.998330625657095849e-01,1.528433944134251557e-02
6.561312262452490884e+00,2.067460238228186475e-01,9.403624927227849373e-01,5.289148345439610016e-02,9.998362327466265853e-01,1.465555810625040513e-02
6.641328265653131169e+00,2.057035913242523939e-01,9.415108710111496082e-01,5.278553766459768287e-02,9.998392380715557248e-01,1.405234000409848541e-02
6.721344268853771453e+00,2.047035763674504849e-01,9.426119714693702578e-01,5.268445216317886592e-02,9.998420871511632946e-01,1.347366703936531823e-02
6.801360272054410849e+00,2.037442882432119462e-01,9.436677180063649528e-01,5.258799375042275820e-02,9.998447881552151584e-01,1.291856067390969968e-02
6.881376275255051134e+00,2.028241011647975711e-01,9.446799579253201129e-01,5.249594090988197320e-02,9.998473488458169411e-01,1.238607998610049415e-02
6.961392278455691418e+00,2.019414515096379925e-01,9.456504660571859455e-01,5.240808243317571918e-02,9.998497766092521166e-01,1.187532003957368631e-02
7.041408281656331702e+00,2.010948364814014733e-01,9.465809457134252147e-01,5.232421780517292065e-02,9.998520784542885842e-01,1.138541113512919409e-02
7.121424284856971987e+00,2.002828122222960749e-01,9.474730304332503739e-01,5.224415734445314596e-02,9.998542610150499277e-01,1.091551773615004849e-02
7.201440288057612271e+00,1.995039899708783704e-01,9.483282897888767327e-01,5.216772024024445009e-02,9.998563305979250027e-01,1.046483619282707542e-02
7.281456291258251667e+00,1.987570349557487015e-01,9.491482307754952608e-01,5.209473426875559088e-02,9.998582931906546678e-01,1.003259410207955199e-02
7.361472294458891952e+00,1.980406650543479197e-01,9.499342985394818584e-01,5.202503640616980285e-02,9.998601544566424471e-01,9.618049564534152107e-03
7.441488297659532236e+00,1.973536484270315694e-01,9.506878795966601237e-01,5.195847197630792252e-02,9.998619197578140216e-01,9.220489798358988409e-03
7.521504300860172521e+00,1.966948005079574013e-01,9.514103060907171949e-01,5.189489340132494993e-02,9.998635941880275047e-01,8.839229369688705526e-03
7.601520304060812805e+00,1.960629833423798984e-01,9.521028564265655580e-01,5.183416023105408277e-02,9.998651825752289390e-01,8.473609818196213908e-03
7.681536307261453089e+00,1.954571045161372644e-01,9.527667558152458360e-01,5.177613966861643879e-02,9.998666894760961377e-01,8.122999065073296249e-03
7.761552310462092485e+00,1.948761143842869803e-01,9.534031802253366550e-01,5.172070539037591091e-02,9.998681192072218504e-01,7.786789782173298043e-03
7.841568313662732770e+00,1.943190039219931664e-01,9.540132592446018966e-01,5.166773683340452478e-02,9.998694758662626247e-01,7.464398135939616027e-03
7.921584316863373054e+00,1.937848041538032251e-01,9.545980765693934389e-01,5.161711927680283363e-02,9.998707633327494904e-01,7.155263466682510592e-03
8.001600320064012450e+00,1.932725854098866769e-01,9.551586703376047094e-01,5.156874425250818073e-02,9.998719852634236904e-01,6.858847879178393663e-03
8.081616323264652735e+00,1.927814545144874714e-01,9.556960370372163949e-01,5.152250844829564524e-02,9.998731451225123523e-01,6.574634591506887081e-03
8.161632326465293019e+00,1.923105530205989067e-01,9.562111337667855704e-01,5.147831321261506915e-02,9.998742461975095308e-01,6.302126906643147619e-03
8.241648329665933304e+00,1.918590567809664860e-01,9.567048786141829630e-01,5.143606460485010412e-02,9.998752915998846413e-01,6.040847971206336937e-03
8.321664332866573588e+00,1.914261754188106568e-01,9.571781508202440447e-01,5.139567376094491408e-02,9.998762842603471368e-01,5.790340486816604113e-03
8.401680336067213872e+00,1.910111499646518773e-01,9.576317939813004942e-01,5.135705605404727869e-02,9.998772269527528289e-01,5.550165325299456776e-03
8.481696339267854157e+00,1.906132509296387390e-01,9.580666184646752237e-01,5.132013060568562518e-02,9.998781223101890214e-01,5.319900406968229752e-03
8.561712342468494441e+00,1.902317780718761064e-01,9.584834016356790221e-01,5.128482029244450097e-02,9.998789728256732845e-01,5.099140569431133592e-03
8.641728345669134725e+00,1.898660599200915344e-01,9.588828880381189412e-01,5.125105204178915380e-02,9.998797808483487204e-01,4.887497306153212352e-03
8.721744348869775010e+00,1.895154524134463891e-01,9.592657911809779891e-01,5.121875640557525811e-02,9.998805485960824413e-01,4.684597972094116554e-03
8.801760352070415294e+00,1.891793364078218076e-01,9.596327966436429824e-01,5.118786694853481173e-02,9.998812781754687906e-01,4.490084330982360532e-03
8.881776355271053802e+00,1.888571175146755432e-01,9.599845622594571637e-01,5.115832022586695726e-02,9.998819715827971244e-01,4.303612464198134854e-03
8.961792358471694087e+00,1.885482255643248506e-01,9.603217185325022553e-01,5.113005590317259291e-02,9.998826307034908156e-01,4.124852468024016276e-03
9.041808361672334371e+00,1.882521144900788646e-01,9.606448686823708671e-01,5.110301682754995328e-02,9.998832573111934297e-01,3.953488391241263139e-03
9.121824364872974655e+00,1.879682595491827812e-01,9.609545921130013824e-01,5.107714833781548669e-02,9.998838530896898558e-01,3.789216615076245777e-03
9.201840368073614940e+00,1.876961566697200601e-01,9.612514451806439819e-01,5.105239814963567768e-02,9.998844196371550197e-01,3.631745475376598788e-03
9.281856371274255224e+00,1.874353222558531318e-01,9.615359613836748087e-01,5.102871636047178611e-02,9.998849584666046342e-01,3.480795152343068351e-03
9.361872374474895508e+00,1.871852930085699807e-01,9.618086513443472318e-01,5.100605564708245859e-02,9.998854710025840697e-01,3.336097575270602095e-03
9.441888377675535793e+00,1.869456248891461225e-01,9.620700041383336565e-01,5.098437097251994066e-02,9.998859585899373403e-01,3.197395817856734171e-03
9.521904380876176077e+00,1.867158910338218847e-01,9.623204897763166787e-01,5.096361918986114931e-02,9.998864225074449719e-01,3.064442886463051088e-03
9.601920384076816362e+00,1.864956816617697466e-01,9.625605593077456446e-01,5.094375903048436321e-02,9.998868639683119452e-01,2.937001668015020751e-03
9.681936387277456646e+00,1.862846037742688365e-01,9.627906451031889024e-01,5.092475112254200853e-02,9.998872841205240780e-01,2.814844758582582106e-03
9.761952390478096930e+00,1.860822813026380140e-01,9.630111605428540722e-01,5.090655815450760568e-02,9.998876840432519009e-01,2.697754554820696454e-03
9.841968393678735438e+00,1.858883534907972146e-01,9.632225020116852443e-01,5.088914449751726077e-02,9.998880647585821624e-01,2.585522311796186780e-03
9.921984396879375723e+00,1.857024735742381638e-01,9.634250504256729464e-01,5.087247600008862336e-02,9.998884272389096939e-01,2.477947376891062072e-03
1.000200040008001601e+01,1.855243087745842845e-01,9.636191712378133767e-01,5.085651998760211401e-02,9.998887724069613903e-01,2.374837187516376860e-03
1.008201640328065629e+01,1.853535400070073225e-01,9.638052147143815196e-01,5.084124527861089843e-02,9.998891011360455661e-01,2.276007103974455811e-03
1.016203240648129658e+01,1.851898621614120055e-01,9.639835155242816311e-01,5.082662231430614547e-02,9.998894142468199853e-01,2.181280576166594754e-03
1.024204840968193686e+01,1.850329825262602979e-01,9.641543946360400241e-01,5.081262283769940463e-02,9.998897125174412981e-01,2.090488226679193800e-03
1.032206441288257714e+01,1.848826197304851426e-01,9.643181605224370179e-01,5.079921974707759386e-02,9.998899966888417090e-01,2.003467237603120434e-03
1.040208041608321743e+01,1.847385037428407595e-01,9.644751091612115967e-01,5.078638709594741896e-02,9.998902674647320854e-01,1.920061350744676392e-03
1.048209641928385771e+01,1.846003756735915269e-01,9.646255242301552402e-01,5.077410009625298037e-02,9.998905255118516466e-01,1.840120754079706874e-03
1.056211242248449800e+01,1.844679879841401304e-01,9.647696767880434843e-01,5.076233522781613272e-02,9.998907714572387029e-01,1.763502206377838555e-03
1.064212842568513828e+01,1.843411035075063209e-01,9.649078264560839724e-01,5.075107003640945413e-02,9.998910058944781021e-01,1.690068467343321459e-03
1.072214442888577679e+01,1.842194941944321485e-01,9.650402228376445679e-01,5.074028296792304493e-02,9.998912293894794967e-01,1.619687570849266808e-03
1.080216043208641707e+01,1.841029410967152391e-01,9.651671055364635654e-01,5.072995336682098455e-02,9.998914424805391832e-01,1.552232815687308023e-03
1.088217643528705736e+01,1.839912342977285398e-01,9.652887042289219899e-01,5.072006147334921083e-02,9.998916456784907592e-01,1.487582725836221953e-03
1.096219243848769764e+01,1.838841728443012247e-01,9.654052386752851600e-01,5.071058848041337663e-02,9.998918394654556785e-01,1.425621013327948083e-03
1.104220844168833793e+01,1.837815647641819206e-01,9.655169187278161980e-01,5.070151650800159421e-02,9.998920242955442461e-01,1.366236587834126050e-03
1.112222444488897821e+01,1.836832254811577303e-01,9.656239461304710892e-01,5.069282838837092797e-02,9.998922006019496100e-01,1.309322637608118347e-03
1.120224044808961850e+01,1.835889776452015176e-01,9.657265147064655331e-01,5.068450764833266203e-02,9.998923687975781460e-01,1.254776531385024506e-03
1.128225645129025878e+01,1.834986511324721292e-01,9.658248103582753874e-01,5.067653850925229325e-02,9.998925292750487914e-01,1.202499818626731392e-03
1.136227245449089907e+01,1.834120828790475610e-01,9.659190112341645706e-01,5.066890588678763657e-02,9.998926824068359309e-01,1.152398133979980763e-03
1.144228845769153935e+01,1.833291171987796453e-01,9.660092873365510036e-01,5.066159546466918878e-02,9.998928285431829543e-01,1.104381382811865740e-03
1.152230446089217963e+01,1.832496049828743478e-01,9.660958014562764928e-01,5.065459356084899695e-02,9.998929680162454980e-01,1.058363276316273346e-03
1.160232046409281992e+01,1.831734028006795356e-01,9.661787101725679561e-01,5.064788702675233206e-02,9.998931011433973559e-01,1.014260810707493226e-03
1.168233646729345843e+01,1.831003728938073172e-01,9.662581638594075484e-01,5.064146324678493044e-02,9.998932282272486871e-01,9.719942639817724271e-04
1.176235247049409871e+01,1.830303831754980515e-01,9.663343066862168929e-01,5.063531013828489330e-02,9.998933495556467932e-01,9.314871957004486249e-04
1.184236847369473900e+01,1.829633070534004979e-01,9.664072767936935371e-01,5.062941615290583730e-02,9.998934654017133106e-01,8.926663450910882680e-04
1.192238447689537928e+01,1.828990238700186621e-01,9.664772057914392533e-01,5.062377033854189440e-02,9.998935760220207802e-01,8.554618867549476429e-04
1.200240048009601956e+01,1.828374179117331633e-01,9.665442198835778598e-01,5.061836220468882847e-02,9.998936816607374434e-01,8.198068559036627949e-04
1.208241648329665985e+01,1.827783778630496514e-01,9.666084404705451716e-01,5.061318166640498689e-02,9.998937825513877220e-01,7.856368324123553376e-04
1.216243248649730013e+01,1.827217968065985576e-01,9.666699841490900003e-01,5.060821904431131446e-02,9.998938789168515529e-01,7.528899409181561819e-04
1.224244848969794042e+01,1.826675722231352605e-01,9.667289627122731543e-01,5.060346506459135335e-02,9.998939709693648314e-01,7.215068509125119062e-04
1.232246449289858070e+01,1.826156058585938491e-01,9.667854832848512547e-01,5.059891085655472687e-02,9.998940589105920207e-01,6.914307001679017781e-04
1.240248049609922099e+01,1.825658040839535090e-01,9.668396479111004416e-01,5.059454800494594950e-02,9.998941429301122508e-01,6.626073036914215727e-04
1.248249649929986127e+01,1.825180772559015507e-01,9.668915542822636988e-01,5.059036846183468522e-02,9.998942232080724191e-01,6.349847828643269713e-04
1.256251250250050155e+01,1.824723390975725446e-01,9.669412964174429748e-01,5.058636448498430443e-02,9.998942999170149504e-01,6.085132069278953709e-04
1.264252850570114006e+01,1.824285066972410330e-01,9.669889646650111636e-01,5.058252863774766184e-02,9.998943732218809055e-01,5.831445922868362880e-04
1.272254450890178035e+01,1.823865005083213642e-01,9.670346457026114395e-01,5.057885378906708945e-02,9.998944432800097593e-01,5.588329025651449017e-04
1.280256051210242063e+01,1.823462443000364308e-01,9.670784225892911090e-01,5.057533311067236720e-02,9.998945102412093444e-01,5.355340201541883760e-04
1.288257651530306092e+01,1.823076652201788272e-01,9.671203746799400536e-01,5.057196009988106089e-02,9.998945742470590758e-01,5.132057830947646827e-04
1.296259251850370120e+01,1.822706939069217991e-01,9.671605775144407335e-01,5.056872857863736748e-02,9.998946354310265239e-01,4.918080495120022910e-04
1.304260852170434148e+01,1.822352636131991666e-01,9.671991037834789529e-01,5.056563260332180842e-02,9.998946939210172635e-01,4.713021905270206417e-04
1.312262452490498177e+01,1.822013101296408033e-01,9.672360234124036671e-01,5.056266645795539499e-02,9.998947498395619471e-01,4.516510456935839699e-04
1.320264052810562205e+01,1.821687717845725252e-01,9.672714035612277605e-01,5.055982465419961436e-02,9.998948033038160821e-01,4.328189230312003166e-04
1.328265653130626234e+01,1.821375894440160348e-01,9.673053086246273802e-01,5.055710193135645042e-02,9.998948544255596982e-01,4.147715990565737460e-04
1.336267253450690262e+01,1.821077064350568320e-01,9.673378003121835267e-01,5.055449325275963163e-02,9.998949033112609630e-01,3.974762745539963055e-04
1.344268853770754291e+01,1.820790687798981844e-01,9.673689373824773119e-01,5.055199383762443849e-02,9.998949500611676866e-01,3.809017103901045473e-04
1.352270454090818141e+01,1.820516249804215447e-01,9.673987758907983681e-01,5.054959912878001504e-02,9.998949947702854280e-01,3.650181024666972304e-04
1.360272054410882170e+01,1.820253254330245207e-01,9.674273698296723678e-01,5.054730473730305318e-02,9.998950375298361060e-01,3.497967429728833402e-04
1.368273654730946198e+01,1.820001224175569754e-01,9.674547711408375550e-01,5.054510644160538357e-02,9.998950784272806480e-01,3.352100140035774428e-04
1.376275255051010227e+01,1.819759700973208605e-01,9.674810297152450778e-01,5.054300018743397571e-02,9.998951175463188790e-01,3.212313875778423800e-04
1.384276855371074255e+01,1.819528245190703275e-01,9.675061933930587665e-01,5.054098208787092400e-02,9.998951549668898542e-01,3.078354256566097412e-04
1.392278455691138284e+01,1.819306435596551585e-01,9.675303080201135275e-01,5.053904842023122096e-02,9.998951907652232629e-01,2.949977493239594570e-04
1.400280056011202312e+01,1.819093870864958995e-01,9.675534172653925680e-01,5.053719564811139792e-02,9.998952250132038255e-01,2.826951319087667495e-04
1.408281656331266340e+01,1.818890169193298489e-01,9.675755626706546986e-01,5.053542041001538726e-02,9.998952577787779683e-01,2.709054766281392959e-04
1.416283256651330369e+01,1.818694962732645692e-01,9.675967842593293788e-01,5.053371946740597975e-02,9.998952891272486765e-01,2.596074941788416974e-04
1.424284856971394397e+01,1.818507897368406567e-01,9.676171205602881464e-01,5.053208970287111079e-02,9.998953191213176828e-01,2.487806900545906576e-04
1.432286457291458426e+01,1.818328632720317695e-01,9.676366086078442841e-01,5.053052812012383960e-02,9.998953478210859114e-01,2.384053645562666764e-04
1.440288057611522454e+01,1.818156842142447105e-01,9.676552839417528196e-01,5.052903184400236308e-02,9.998953752840531450e-01,2.284626128017803711e-04
1.448289657931586305e+01,1.817992212675359209e-01,9.676731806123588520e-01,5.052759812010517576e-02,9.998954015651256855e-01,2.189343219675972787e-04
1.456291258251650333e+01,1.817834444508330816e-01,9.676903312350886299e-01,5.052622431407831349e-02,9.998954267165551801e-01,2.098031402872650372e-04
1.464292858571714362e+01,1.817683254189371433e-01,9.677067666409185920e-01,5.052490794014422720e-02,9.998954507872956921e-01,2.010526628536078437e-04
1.472294458891778390e+01,1.817538369781702690e-01,9.677225164083630427e-01,5.052364661346660929e-02,9.998954738241915274e-01,1.926671511553763188e-04
1.480296059211842419e+01,1.817399529168587380e-01,9.677376090478048143e-01,5.052243803533638944e-02,9.998954958723120789e-01,1.846314349750134069e-04
1.488297659531906447e+01,1.817266480053328082e-01,9.677520720014954891e-01,5.052127999317166523e-02,9.998955169749516037e-01,1.769309123939774293e-04
1.496299259851970476e+01,1.817138979959268819e-01,9.677659316435552883e-01,5.052017036051776461e-02,9.998955371736295561e-01,1.695515497983029031e-04
1.504300860172034504e+01,1.817016796229793674e-01,9.677792132799734048e-01,5.051910709704720420e-02,9.998955565080904773e-01,1.624798818831886679e-04
1.512302460492098533e+01,1.816899705970515810e-01,9.677919411548333573e-01,5.051808824811501730e-02,9.998955750163120992e-01,1.557030083133444619e-04
1.520304060812162561e+01,1.816787495731362612e-01,9.678041384820563753e-01,5.051711194480737466e-02,9.998955927344344019e-01,1.492085754075270037e-04
1.528305661132226589e+01,1.816679964271395165e-01,9.678158271451181571e-01,5.051617642774237915e-02,9.998956096962650086e-01,1.429849361498613776e-04
1.536307261452290618e+01,1.816576918451362765e-01,9.678270281466855307e-01,5.051528000817823855e-02,9.998956259341930108e-01,1.370209123862121134e-04
