t,v,I,T_c,dv_dt,dv_dt_noisy
2.400480096019203674e-02,9.437981614930485819e+00,8.521814167614470747e+00,9.889121759211146057e-03,-2.791317803160552558e+01,-2.803591323702998395e+01
2.460492098419684096e-02,9.421218431896845047e+00,8.556974312747897216e+00,1.032672114504587166e-02,-2.795188429964707666e+01,-2.802020696582513182e+01
2.520504100820164170e-02,9.404433854089306877e+00,8.589101991610306186e+00,1.076777229879062256e-02,-2.798454159481471493e+01,-2.799174596278743721e+01
2.580516103220644245e-02,9.387631399670057775e+00,8.618379213462356248e+00,1.121198506603051509e-02,-2.801152075653183360e+01,-2.810599591883791248e+01
2.640528105621124319e-02,9.370814371251841024e+00,8.644977159336045602e+00,1.165908426638340677e-02,-2.803317051671809423e+01,-2.804299751350331604e+01
2.700540108021604394e-02,9.353985866133280425e+00,8.669056697046721993e+00,1.210880939649815538e-02,-2.804981855247556410e+01,-2.804027024972861781e+01
2.760552110422084468e-02,9.337148794208648184e+00,8.690769278445095836e+00,1.256091357923629082e-02,-2.806177331740938996e+01,-2.805821469370384236e+01
2.820564112822564543e-02,9.320305883081093867e+00,8.710257197608433088e+00,1.301516346296732220e-02,-2.806932457063647135e+01,-2.811995373646790242e+01
2.880576115223044617e-02,9.303459692582915608e+00,8.727654319104541258e+00,1.347133839632044978e-02,-2.807274486336058317e+01,-2.801337005618200138e+01
2.940588117623524692e-02,9.286612625488970707e+00,8.743086614950101421e+00,1.392922975926075627e-02,-2.807229063548931691e+01,-2.798317394006108572e+01
3.000600120024004766e-02,9.269766932179019037e+00,8.756672400280498536e+00,1.438864082418569307e-02,-2.806820269825296066e+01,-2.803611786779630322e+01
3.060612122424484841e-02,9.252924725463525846e+00,8.768523075880088058e+00,1.484938574203909477e-02,-2.806070774926960354e+01,-2.814253077200863373e+01
3.120624124824964915e-02,9.236087986063731492e+00,8.778743403508100229e+00,1.531128921448558777e-02,-2.805001893564728022e+01,-2.797685370726873444e+01
3.180636127225445337e-02,9.219258568291611056e+00,8.787431791996942465e+00,1.577418618995734059e-02,-2.803633643889571658e+01,-2.808648044074242023e+01
3.240648129625925411e-02,9.202438212843967236e+00,8.794680937644130836e+00,1.623792091736364629e-02,-2.801984878140935109e+01,-2.793193271958055135e+01
3.300660132026405486e-02,9.185628549661277731e+00,8.800577968464837753e+00,1.670234678601804912e-02,-2.800073312216490962e+01,-2.810791186385265306e+01
3.360672134426885560e-02,9.168831103958389406e+00,8.805204747358512662e+00,1.716732592756167741e-02,-2.797915587600850529e+01,-2.788770915569562803e+01
3.420684136827365635e-02,9.152047306766952772e+00,8.808638399595356105e+00,1.763272839751099663e-02,-2.795527378972073507e+01,-2.795728013518228394e+01
3.480696139227845709e-02,9.135278496756615851e+00,8.810951405056059116e+00,1.809843206966176357e-02,-2.792923413144249878e+01,-2.805410902047594135e+01
3.540708141628325784e-02,9.118525925392489739e+00,8.812211857421576866e+00,1.856432226505492708e-02,-2.790117522004864981e+01,-2.793256516724533611e+01
3.600720144028805858e-02,9.101790766111095721e+00,8.812483923127848229e+00,1.903029101417741398e-02,-2.787122736126221767e+01,-2.786581713338506461e+01
3.660732146429285933e-02,9.085074115815599427e+00,8.811827917041592073e+00,1.949623695527355483e-02,-2.783951300306944177e+01,-2.781223386915299756e+01
3.720744148829766007e-02,9.068376998251174825e+00,8.810300472434608565e+00,1.996206508408692945e-02,-2.780614708311031791e+01,-2.790436589560441405e+01
3.780756151230246082e-02,9.051700372533408867e+00,8.807954967416224079e+00,2.042768605007095131e-02,-2.777123789824459266e+01,-2.788197520296111165e+01
3.840768153630726156e-02,9.035045134836794389e+00,8.804841609891083110e+00,2.089301602285499951e-02,-2.773488727863596992e+01,-2.771492882535126157e+01
3.900780156031206231e-02,9.018412119762031054e+00,8.801007507169636312e+00,2.135797659399652285e-02,-2.769719073052634073e+01,-2.774386569221432097e+01
3.960792158431686305e-02,9.001802107975386491e+00,8.796497047879528353e+00,2.182249413461537918e-02,-2.765823821487406775e+01,-2.763468765370104663e+01
4.020804160832166380e-02,8.985215828691771378e+00,8.791352026282696741e+00,2.228649958680049142e-02,-2.761811440138271223e+01,-2.754216244913487444e+01
4.080816163232646454e-02,8.968653959983186041e+00,8.785611658827457759e+00,2.274992844264461106e-02,-2.757689870304712443e+01,-2.774177743968222032e+01
4.140828165633126529e-02,8.952117133776356539e+00,8.779312834187647852e+00,2.321272031908905298e-02,-2.753466578606051485e+01,-2.750922697440875453e+01
4.200840168033606603e-02,8.935605940163139138e+00,8.772490328680250471e+00,2.367481858880832873e-02,-2.749148600914837814e+01,-2.736902131239480340e+01
4.260852170434086678e-02,8.919120927795471943e+00,8.765176826604403004e+00,2.413617034480762882e-02,-2.744742546567272257e+01,-2.747717815010976850e+01
4.320864172834566752e-02,8.902662605116104189e+00,8.757402982523224466e+00,2.459672629311426828e-02,-2.740254611109971705e+01,-2.748362756942347573e+01
4.380876175235046827e-02,8.886231446073825424e+00,8.749197706729789914e+00,2.505644025837569511e-02,-2.735690634477871086e+01,-2.728168196206075180e+01
4.440888177635526901e-02,8.869827891322888291e+00,8.740588225283849155e+00,2.551526907912141443e-02,-2.731056113273664110e+01,-2.728521648111582820e+01
4.500900180036006976e-02,8.853452348224850610e+00,8.731600080941216646e+00,2.597317260144386269e-02,-2.726356201011124725e+01,-2.717397370303349291e+01
4.560912182436487050e-02,8.837105193596887176e+00,8.722257270683986263e+00,2.643011343786942288e-02,-2.721595736163768109e+01,-2.725047893264281029e+01
4.620924184836967125e-02,8.820786777571957060e+00,8.712582438493759796e+00,2.688605663056624698e-02,-2.716779281452634720e+01,-2.731597464189856694e+01
4.680936187237447199e-02,8.804497423963290714e+00,8.702596893728729910e+00,2.734096961741392523e-02,-2.711911127631508123e+01,-2.713011235278620603e+01
4.740948189637927274e-02,8.788237430141807138e+00,8.692320605806028055e+00,2.779482223351955814e-02,-2.706995292446660528e+01,-2.711453573976772802e+01
4.800960192038407348e-02,8.772007070174190346e+00,8.681772360904583152e+00,2.824758643618681397e-02,-2.702035552572776567e+01,-2.694282314352300745e+01
4.860972194438888117e-02,8.755806597338009922e+00,8.670969887571374102e+00,2.869923608395595974e-02,-2.697035469214153025e+01,-2.695099140730381393e+01
4.920984196839368191e-02,8.739636244307723345e+00,8.659929866173376567e+00,2.914974691774386770e-02,-2.691998390062847335e+01,-2.708306882387198300e+01
4.980996199239848266e-02,8.723496222930821276e+00,8.648667918426564682e+00,2.959909657011317377e-02,-2.686927447200196184e+01,-2.698879078001228038e+01
5.041008201640328340e-02,8.707386726912362818e+00,8.637198741361716614e+00,3.004726433008687164e-02,-2.681825584392439055e+01,-2.672987694026566530e+01
5.101020204040808415e-02,8.691307933875595637e+00,8.625536210216841582e+00,3.049423096148859078e-02,-2.676695578057857006e+01,-2.669897927883678435e+01
5.161032206441288489e-02,8.675260005486633119e+00,8.613693384751558213e+00,3.093997869040321022e-02,-2.671540038578270781e+01,-2.677942472237355531e+01
5.221044208841768564e-02,8.659243087206830225e+00,8.601682497498888580e+00,3.138449121641443545e-02,-2.666361407933170469e+01,-2.666371895898843292e+01
5.281056211242248638e-02,8.643257309915640008e+00,8.589515034776679769e+00,3.182775356969649166e-02,-2.661161976209437441e+01,-2.656706240671675445e+01
5.341068213642728713e-02,8.627302792155180811e+00,8.577201848710071630e+00,3.226975191361933920e-02,-2.655943904417300061e+01,-2.651259861058827383e+01
5.401080216043208787e-02,8.611379640241176858e+00,8.564753162791904018e+00,3.271047353457347956e-02,-2.650709225641983480e+01,-2.641946803680840006e+01
5.461092218443688862e-02,8.595487948249326493e+00,8.552178571617362834e+00,3.314990683540727096e-02,-2.645459845008466715e+01,-2.642894988736250994e+01
5.521104220844168936e-02,8.579627798144262130e+00,8.539487047559305211e+00,3.358804131956994593e-02,-2.640197541058758546e+01,-2.641145824448443591e+01
5.581116223244649011e-02,8.563799262287597358e+00,8.526687065841590751e+00,3.402486737248149734e-02,-2.634923991215894290e+01,-2.637512471863772845e+01
5.641128225645129085e-02,8.548002403834180640e+00,8.513786624341078024e+00,3.446037622622410979e-02,-2.629640775827764898e+01,-2.619083347822432373e+01
5.701140228045609160e-02,8.532237276810493043e+00,8.500793247595698432e+00,3.489455995083729639e-02,-2.624349378997085225e+01,-2.646857921747870535e+01
5.761152230446089234e-02,8.516503925768255101e+00,8.487713970010343445e+00,3.532741147513737690e-02,-2.619051185178329888e+01,-2.620437738429243169e+01
5.821164232846569309e-02,8.500802386948471678e+00,8.474555393855023766e+00,3.575892448641022903e-02,-2.613747490990493105e+01,-2.613417489950652595e+01
5.881176235247049383e-02,8.485132689761506697e+00,8.461323763134021902e+00,3.618909330068173502e-02,-2.608439520255397781e+01,-2.622693009864099523e+01
5.941188237647529458e-02,8.469494856824226758e+00,8.448024965446160550e+00,3.661791285934486162e-02,-2.603128424386952489e+01,-2.599800288255572056e+01
6.001200240048009532e-02,8.453888904030447904e+00,8.434664535661724472e+00,3.704537871999098730e-02,-2.597815283149236265e+01,-2.604328093273670319e+01
6.061212242448489607e-02,8.438314840125363148e+00,8.421247635083421557e+00,3.747148708576327619e-02,-2.592501100427483607e+01,-2.583876652464326185e+01
6.121224244848969681e-02,8.422772668045752198e+00,8.407779118172921784e+00,3.789623469144848961e-02,-2.587186817810369988e+01,-2.588442738650713437e+01
6.181236247249449756e-02,8.407262385818086159e+00,8.394263577409267540e+00,3.831961872461650542e-02,-2.581873323721769609e+01,-2.575181791313875124e+01
6.241248249649929830e-02,8.391783986561378583e+00,8.380705343431733567e+00,3.874163682535784747e-02,-2.576561453457426509e+01,-2.564373017405714350e+01
6.301260252050409905e-02,8.376337458540046299e+00,8.367108487803688988e+00,3.916228707951244919e-02,-2.571251989754149037e+01,-2.567422693927014166e+01
6.361272254450890673e-02,8.360922784759436510e+00,8.353476803207939838e+00,3.958156804658501809e-02,-2.565945658768682947e+01,-2.574702870202911242e+01
6.421284256851370054e-02,8.345539943887839485e+00,8.339813849310099059e+00,3.999947868264562556e-02,-2.560643139412294289e+01,-2.575786325729340831e+01
6.481296259251850822e-02,8.330188911129955187e+00,8.326122996393715781e+00,4.041601826426582944e-02,-2.555345072229867753e+01,-2.537811231054703853e+01
6.541308261652330203e-02,8.314869658235561900e+00,8.312407425795148797e+00,4.083118638772675890e-02,-2.550052059493493317e+01,-2.551164981425368339e+01
6.601320264052810971e-02,8.299582153525962624e+00,8.298670131257050997e+00,4.124498296624978105e-02,-2.544764665482676946e+01,-2.551650314959019994e+01
6.661332266453290352e-02,8.284326361697930352e+00,8.284913909508050622e+00,4.165740824078361521e-02,-2.539483414572842790e+01,-2.538040843692234461e+01
6.721344268853771120e-02,8.269102243882962000e+00,8.271141363181923722e+00,4.206846277517968524e-02,-2.534208791834286956e+01,-2.536122905139113470e+01
6.781356271254250501e-02,8.253909758758332771e+00,8.257354956266455659e+00,4.247814736159739868e-02,-2.528941254310551301e+01,-2.520419831668424493e+01
6.841368273654731269e-02,8.238748862646893656e+00,8.243557019107360162e+00,4.288646301165562752e-02,-2.523681232039126954e+01,-2.523341950214755869e+01
6.901380276055210650e-02,8.223619509517069659e+00,8.229749748408286436e+00,4.329341095643264581e-02,-2.518429128054754784e+01,-2.518291632218570442e+01
6.961392278455691418e-02,8.208521651008412690e+00,8.215935208619743690e+00,4.369899264278411660e-02,-2.513185318674687352e+01,-2.520331115885016970e+01
7.021404280856170799e-02,8.193455236071308434e+00,8.202115314282874436e+00,4.410320975884324951e-02,-2.507950149911618354e+01,-2.503254468924143339e+01
7.081416283256651567e-02,8.178420211476808532e+00,8.188291855317835655e+00,4.450606419313043322e-02,-2.502723942618490938e+01,-2.513062609842040729e+01
7.141428285657130948e-02,8.163416522450972934e+00,8.174466528772295959e+00,4.490755798024415740e-02,-2.497506998944714596e+01,-2.490848104547075081e+01
7.201440288057611716e-02,8.148444112684002150e+00,8.160640939282219009e+00,4.530769330003384804e-02,-2.492299602431789651e+01,-2.477060227301888418e+01
7.261452290458091097e-02,8.133502924330242578e+00,8.146816599071870613e+00,4.570647247759973553e-02,-2.487102018015260185e+01,-2.502348878396251664e+01
7.321464292858571865e-02,8.118592898022860993e+00,8.132994928799416101e+00,4.610389798084095492e-02,-2.481914492198155742e+01,-2.506576784511668876e+01
7.381476295259051246e-02,8.103713972542513133e+00,8.119177241327227179e+00,4.649997244404641128e-02,-2.476737249753253067e+01,-2.470568462201709892e+01
7.441488297659532014e-02,8.088866085189401645e+00,8.105364760123089596e+00,4.689469863886260720e-02,-2.471570497465891236e+01,-2.446091519311060125e+01
7.501500300060011395e-02,8.074049172315154621e+00,8.091558645930074789e+00,4.728807942924168062e-02,-2.466414429555645427e+01,-2.476423678044364252e+01
7.561512302460492163e-02,8.059263169331781995e+00,8.077759997220676169e+00,4.768011777063465434e-02,-2.461269227769612655e+01,-2.473776185357632684e+01
7.621524304860971544e-02,8.044508010711684420e+00,8.063969850196816225e+00,4.807081670999138051e-02,-2.456135061383407958e+01,-2.450245372045603176e+01
7.681536307261452312e-02,8.029783629995741023e+00,8.050189179219653823e+00,4.846017938489050048e-02,-2.451012087289406693e+01,-2.459419303189989847e+01
7.741548309661933081e-02,8.015089959645720796e+00,8.036418889786254738e+00,4.884820903241326312e-02,-2.445900448569387464e+01,-2.450960703408754782e+01
7.801560312062412461e-02,8.000426930908176359e+00,8.022659811615657333e+00,4.923490900075407767e-02,-2.440800273091139871e+01,-2.444281447757977688e+01
7.861572314462893230e-02,7.985794474436231027e+00,8.008912729775758521e+00,4.962028269832782085e-02,-2.435711679834514243e+01,-2.430391658971596414e+01
7.921584316863372610e-02,7.971192520367377021e+00,7.995178388620787224e+00,5.000433358705298065e-02,-2.430634779691765601e+01,-2.434687803305696718e+01
7.981596319263853379e-02,7.956620998323465699e+00,7.981457491791297265e+00,5.038706518235178122e-02,-2.425569675467878739e+01,-2.422790847067077280e+01
8.041608321664332759e-02,7.942079837410714660e+00,7.967750702214176250e+00,5.076848105315007881e-02,-2.420516461880893644e+01,-2.422281794469829563e+01
8.101620324064813528e-02,7.927568966223947022e+00,7.954058642384708833e+00,5.114858482110624244e-02,-2.415475225619312027e+01,-2.423921936655828091e+01
8.161632326465292908e-02,7.913088312621294307e+00,7.940381883468555557e+00,5.152738017607666476e-02,-2.410446043127148386e+01,-2.413644305704580617e+01
8.221644328865773677e-02,7.898637803774124500e+00,7.926720947558122177e+00,5.190487087334279270e-02,-2.405428981063721494e+01,-2.414932977715400853e+01
8.281656331266253057e-02,7.884217366607591870e+00,7.913076329860977864e+00,5.228106069763287234e-02,-2.400424100811363104e+01,-2.400358950952665538e+01
8.341668333666733826e-02,7.869826927824353113e+00,7.899448499915122213e+00,5.265595346105918922e-02,-2.395431458722117313e+01,-2.406670120997773665e+01
8.401680336067213206e-02,7.855466413904562906e+00,7.885837901588987009e+00,5.302955300311795045e-02,-2.390451106117623681e+01,-2.401380049810576267e+01
8.461692338467693975e-02,7.841135751105875684e+00,7.872244953081436236e+00,5.340186319068936788e-02,-2.385483089288994307e+01,-2.370913471135941819e+01
8.521704340868173355e-02,7.826834865465649216e+00,7.858670047056972585e+00,5.377288791775895055e-02,-2.380527449524081618e+01,-2.381059291727135019e+01
8.581716343268654124e-02,7.812563682665746079e+00,7.845113544276502537e+00,5.414263111416312696e-02,-2.375584221812378161e+01,-2.376123242067098573e+01
8.641728345669133504e-02,7.798322127894357969e+00,7.831575766472051114e+00,5.451109675698433826e-02,-2.370653433398478072e+01,-2.365538069199302029e+01
8.701740348069614273e-02,7.784110126256834405e+00,7.818057017014758081e+00,5.487828883805577485e-02,-2.365735107979893570e+01,-2.369943678005382282e+01
8.761752350470093653e-02,7.769927602832039426e+00,7.804557583821689626e+00,5.524421135920882381e-02,-2.360829266296850548e+01,-2.363114619971632280e+01
8.821764352870574422e-02,7.755774482672348036e+00,7.791077739355833920e+00,5.560886833227313836e-02,-2.355935926131882141e+01,-2.351684438778563191e+01
8.881776355271053802e-02,7.741650690803653312e+00,7.777617740626106446e+00,5.597226377907656841e-02,-2.351055102309428335e+01,-2.348230943886984434e+01
8.941788357671534571e-02,7.727556152225356634e+00,7.764177829187345559e+00,5.633440173144525082e-02,-2.346186806695428828e+01,-2.357779773964753289e+01
9.001800360072013951e-02,7.713490791901959298e+00,7.750758230826446216e+00,5.669528623153595459e-02,-2.341331048132852644e+01,-2.332997622166156049e+01
9.061812362472494720e-02,7.699454534542498507e+00,7.737359144906167607e+00,5.705492134743992555e-02,-2.336487830276104205e+01,-2.342392179708994604e+01
9.121824364872974100e-02,7.685447304678925562e+00,7.723980747910859534e+00,5.741331116809470642e-02,-2.331657152312137526e+01,-2.342217941815279403e+01
9.181836367273454869e-02,7.671469026933012358e+00,7.710623207090328890e+00,5.777045978211865079e-02,-2.326839011729991213e+01,-2.335843762429981751e+01
9.241848369673934249e-02,7.657519626025849568e+00,7.697286680969470218e+00,5.812637127699056550e-02,-2.322033404423604708e+01,-2.325938857867157949e+01
9.301860372074415018e-02,7.643599026777844863e+00,7.683971319348261275e+00,5.848104973904978687e-02,-2.317240324691244524e+01,-2.300967322145013938e+01
9.361872374474894398e-02,7.629707154108724687e+00,7.670677263301763027e+00,5.883449925349609755e-02,-2.312459765234931552e+01,-2.324215124284139478e+01
9.421884376875375167e-02,7.615843933037532487e+00,7.657404645180117875e+00,5.918672390438979580e-02,-2.307691717159869782e+01,-2.306090958234526411e+01
9.481896379275854547e-02,7.602009288678924115e+00,7.644153588481098716e+00,5.953772777482312095e-02,-2.302936169947826528e+01,-2.324314413528732359e+01
9.541908381676335316e-02,7.588203146070036098e+00,7.630924199650861439e+00,5.988751495895543175e-02,-2.298193109790444311e+01,-2.298208779121896228e+01
9.601920384076814696e-02,7.574425430142190940e+00,7.617716566232657804e+00,6.023608956474890003e-02,-2.293462519214378759e+01,-2.284466855039618594e+01
9.661932386477295465e-02,7.560676065983411576e+00,7.604530770281566987e+00,6.058345569381529822e-02,-2.288744379803657480e+01,-2.291111013024271870e+01
9.721944388877776233e-02,7.546954978857609575e+00,7.591366889414769226e+00,6.092961743982051870e-02,-2.284038672411990589e+01,-2.290332221650823996e+01
9.781956391278255614e-02,7.533262094204591364e+00,7.578224996811535163e+00,6.127457888848458767e-02,-2.279345377162104569e+01,-2.277030266521519053e+01
9.841968393678736382e-02,7.519597337640051116e+00,7.565105161213231177e+00,6.161834411758169289e-02,-2.274664473445079693e+01,-2.267662955933573343e+01
9.901980396079215763e-02,7.505960634955576971e+00,7.552007446923321154e+00,6.196091719694012123e-02,-2.269995939919691352e+01,-2.263359364209517111e+01
9.961992398479696531e-02,7.492351912118646595e+00,7.538931913807359386e+00,6.230230218844232809e-02,-2.265339754511751380e+01,-2.245615015972453321e+01
1.002200440088017591e-01,7.478771095239713951e+00,7.525878615861582688e+00,6.264250314819859444e-02,-2.260695894122246941e+01,-2.258604219398884183e+01
1.008201640328065668e-01,7.465218110352116021e+00,7.512847590475495885e+00,6.298152414230773211e-02,-2.256064332446391418e+01,-2.261988433443920599e+01
1.014202840568113606e-01,7.451692883575619319e+00,7.499838866161270268e+00,6.331936923524000838e-02,-2.251445041543569658e+01,-2.252704833443436172e+01
1.020204040808161683e-01,7.438195341248295733e+00,7.486852469569447166e+00,6.365604247968985330e-02,-2.246837993259568123e+01,-2.247562978715766135e+01
1.026205241048209621e-01,7.424725409927340536e+00,7.473888425546041603e+00,6.399154791649813712e-02,-2.242243159237415284e+01,-2.241155785402634137e+01
1.032206441288257698e-01,7.411283016389068834e+00,7.460946757132542295e+00,6.432588957465221191e-02,-2.237660510916679257e+01,-2.237960789048973709e+01
1.038207641528305636e-01,7.397868087628917344e+00,7.448027485565914318e+00,6.465907147128586996e-02,-2.233090019532766135e+01,-2.231350360143803968e+01
1.044208841768353713e-01,7.384480550861441728e+00,7.435130630278597330e+00,6.499109761167937149e-02,-2.228531656116228632e+01,-2.245240156722379865e+01
1.050210042008401651e-01,7.371120333520321033e+00,7.422256208898506458e+00,6.532197198925941695e-02,-2.223985391492068686e+01,-2.215689101931668148e+01
1.056211242248449728e-01,7.357787363233222244e+00,7.409404236165534563e+00,6.565169858729963392e-02,-2.219451196058652087e+01,-2.225198588747862516e+01
1.062212442488497666e-01,7.344481567611665263e+00,7.396574713809183521e+00,6.598028139377080936e-02,-2.214929037731711858e+01,-2.226660624696182111e+01
1.068213642728545743e-01,7.331202874373717648e+00,7.383767636095214471e+00,6.630772439275928187e-02,-2.210418883071297458e+01,-2.204041371474882993e+01
1.074214842968593681e-01,7.317951211476943385e+00,7.370982996943436838e+00,6.663403155456260052e-02,-2.205920698724256113e+01,-2.192747438650395253e+01
1.080216043208641757e-01,7.304726507119528200e+00,7.358220790023245250e+00,6.695920683558323483e-02,-2.201434451442795748e+01,-2.196504169947801444e+01
1.086217243448689695e-01,7.291528689740288449e+00,7.345481008753616869e+00,6.728325417832860256e-02,-2.196960108083780838e+01,-2.195348514945325746e+01
1.092218443688737772e-01,7.278357688018664007e+00,7.332763646303114058e+00,6.760617751141101417e-02,-2.192497635608026840e+01,-2.201819838661746331e+01
1.098219643928785710e-01,7.265213430874720046e+00,7.320068695589886154e+00,6.792798074954772836e-02,-2.188047001079601728e+01,-2.159331327701466563e+01
1.104220844168833787e-01,7.252095847469147927e+00,7.307396149281663256e+00,6.824866779356092428e-02,-2.183608171665125042e+01,-2.174805585458510038e+01
1.110222044408881725e-01,7.239004867202348592e+00,7.294745999761461874e+00,6.856824253043891648e-02,-2.179181114626085503e+01,-2.190574061329515132e+01
1.116223244648929802e-01,7.225940419590760833e+00,7.282118233486537306e+00,6.888670884190913057e-02,-2.174765796172062338e+01,-2.182562175334459909e+01
1.122224444888977740e-01,7.212902434167859589e+00,7.269512825606226691e+00,6.920407061151308270e-02,-2.170362180369491867e+01,-2.169492387883772722e+01
