t,theta,omega,psi,chi,dtheta_dt
2.120424084816963373e-01,1.712740925806305992e+00,-2.686195051169872450e+00,1.647295925036737774e-01,-1.101897045138788417e-01,-2.686195051169872450e+00
2.160432086417283515e-01,1.701896998592161703e+00,-2.734658565171754319e+00,1.641590521043131412e-01,-1.748145532922315837e-01,-2.734658565171754319e+00
2.200440088017603657e-01,1.690859488700866331e+00,-2.782966301268892106e+00,1.633326233126809746e-01,-2.380696645499396635e-01,-2.782966301268892106e+00
2.240448089617923522e-01,1.679629028143189373e+00,-2.831113870459313731e+00,1.622562449980822219e-01,-2.997269411583871057e-01,-2.831113870459313731e+00
2.280456091218243664e-01,1.668206266525268155e+00,-2.879096864565314995e+00,1.609367526747102484e-01,-3.595664338666222926e-01,-2.879096864565314995e+00
2.320464092818563806e-01,1.656591871139561745e+00,-2.926910849116857172e+00,1.593818439611875692e-01,-4.173772979985835851e-01,-2.926910849116857172e+00
2.360472094418883671e-01,1.644786527087164218e+00,-2.974551355290647514e+00,1.576000400091494558e-01,-4.729587207256487624e-01,-2.974551355290647514e+00
2.400480096019203813e-01,1.632790937429251077e+00,-3.022013871155917020e+00,1.556006441655565231e-01,-5.261207870421303889e-01,-3.022013871155917020e+00
2.440488097619523955e-01,1.620605823380530719e+00,-3.069293832088081153e+00,1.533936964310251561e-01,-5.766853176081017107e-01,-3.069293832088081153e+00
2.480496099219844097e-01,1.608231924544082370e+00,-3.116386610378061750e+00,1.509899242556958232e-01,-6.244866439730366592e-01,-3.116386610378061750e+00
2.520504100820163962e-01,1.595669999174299303e+00,-3.163287504671399741e+00,1.484006928497455247e-01,-6.693722826468689879e-01,-3.163287504671399741e+00
2.560512102420484104e-01,1.582920824509657987e+00,-3.209991728350117590e+00,1.456379486884342156e-01,-7.112035972300713160e-01,-3.209991728350117590e+00
2.600520104020804246e-01,1.569985197122177434e+00,-3.256494398012091729e+00,1.427141653890788009e-01,-7.498563066722743198e-01,-3.256494398012091729e+00
2.640528105621124388e-01,1.556863933336455785e+00,-3.302790521427485526e+00,1.396422838674606648e-01,-7.852209723400329633e-01,-3.302790521427485526e+00
2.680536107221444531e-01,1.543557869693772622e+00,-3.348874985028159390e+00,1.364356521321479776e-01,-8.172033559189330054e-01,-3.348874985028159390e+00
2.720544108821764118e-01,1.530067863444182885e+00,-3.394742541989033580e+00,1.331079655726035149e-01,-8.457247042983695451e-01,-3.394742541989033580e+00
2.760552110422084260e-01,1.516394793136326413e+00,-3.440387799096041199e+00,1.296732014036967029e-01,-8.707219460000262812e-01,-3.440387799096041199e+00
2.800560112022404402e-01,1.502539559184045581e+00,-3.485805205123437389e+00,1.261455600707987734e-01,-8.921477885690916043e-01,-3.485805205123437389e+00
2.840568113622724544e-01,1.488503084577315283e+00,-3.530989037601590663e+00,1.225393968600661798e-01,-9.099707389803326496e-01,-3.530989037601590663e+00
2.880576115223044686e-01,1.474286315530130009e+00,-3.575933391588814292e+00,1.188691644124515029e-01,-9.241750392449794571e-01,-3.575933391588814292e+00
2.920584116823364829e-01,1.459890222301168938e+00,-3.620632166799979679e+00,1.151493443623837071e-01,-9.347605120271939017e-01,-3.620632166799979679e+00
2.960592118423684971e-01,1.445315799929301370e+00,-3.665079056883000952e+00,1.113943908655287696e-01,-9.417423579751348361e-01,-3.665079056883000952e+00
3.000600120024004558e-01,1.430564069151180728e+00,-3.709267537274882454e+00,1.076186645510938539e-01,-9.451508459569977205e-01,-3.709267537274882454e+00
3.040608121624324700e-01,1.415636077225396861e+00,-3.753190855122025216e+00,1.038363776256944759e-01,-9.450309909283746146e-01,-3.753190855122025216e+00
3.080616123224644842e-01,1.400532898937836501e+00,-3.796842018139497288e+00,1.000615312120598094e-01,-9.414421178641987353e-01,-3.796842018139497288e+00
3.120624124824964984e-01,1.385255637508059356e+00,-3.840213785332629470e+00,9.630786337479414760e-02,-9.344574396550342499e-01,-3.840213785332629470e+00
3.160632126425285127e-01,1.369805425675364674e+00,-3.883298657105182183e+00,9.258879007050871413e-02,-9.241635219021281378e-01,-3.883298657105182183e+00
3.200640128025605269e-01,1.354183426679231861e+00,-3.926088866907342378e+00,8.891735746193119017e-02,-9.106597833418879073e-01,-3.926088866907342378e+00
3.240648129625925411e-01,1.338390835413501234e+00,-3.968576372875233460e+00,8.530618674017279024e-02,-8.940578834758599047e-01,-3.968576372875233460e+00
3.280656131226244998e-01,1.322428879478569685e+00,-4.010752850501247302e+00,8.176743135589907563e-02,-8.744811653727641021e-01,-4.010752850501247302e+00
3.320664132826565140e-01,1.306298820380885406e+00,-4.052609686096563024e+00,7.831272656703583412e-02,-8.520639862944595633e-01,-4.052609686096563024e+00
3.360672134426885282e-01,1.290001954659999894e+00,-4.094137970674345262e+00,7.495315127464652338e-02,-8.269511131903248824e-01,-4.094137970674345262e+00
3.400680136027205425e-01,1.273539615105431455e+00,-4.135328495396229265e+00,7.169918377683398569e-02,-7.992970188815701205e-01,-4.135328495396229265e+00
3.440688137627525567e-01,1.256913171958332631e+00,-4.176171747131554923e+00,6.856066719059386583e-02,-7.692652257515871783e-01,-4.176171747131554923e+00
3.480696139227845709e-01,1.240124034121774299e+00,-4.216657905836284748e+00,6.554677305126987985e-02,-7.370275948103753860e-01,-4.216657905836284748e+00
3.520704140828165851e-01,1.223173650422307634e+00,-4.256776842490011425e+00,6.266596960582770937e-02,-7.027636028826683701e-01,-4.256776842490011425e+00
3.560712142428485438e-01,1.206063510811864914e+00,-4.296518118349458071e+00,5.992599368440582747e-02,-6.666596393489738759e-01,-4.296518118349458071e+00
3.600720144028805580e-01,1.188795147636989347e+00,-4.335870985865010852e+00,5.733382297501788544e-02,-6.289082242608901030e-01,-4.335870985865010852e+00
3.640728145629125723e-01,1.171370136854943178e+00,-4.374824390203347235e+00,5.489565468896039080e-02,-5.897072892656920473e-01,-4.374824390203347235e+00
3.680736147229445865e-01,1.153790099253634516e+00,-4.413366973161270579e+00,5.261688415987650358e-02,-5.492593755818941936e-01,-4.413366973161270579e+00
3.720744148829766007e-01,1.136056701672812030e+00,-4.451487078045620827e+00,5.050208858426543518e-02,-5.077708535222527075e-01,-4.451487078045620827e+00
3.760752150430086149e-01,1.118171658164843096e+00,-4.489172756335512382e+00,4.855501334265585611e-02,-4.654511322617818636e-01,-4.489172756335512382e+00
3.800760152030406291e-01,1.100136731158367409e+00,-4.526411776669788445e+00,4.677856105773872675e-02,-4.225118139650284044e-01,-4.526411776669788445e+00
3.840768153630725879e-01,1.081953732570583249e+00,-4.563191634957699527e+00,4.517478495401784644e-02,-3.791658876452289606e-01,-4.563191634957699527e+00
3.880776155231046021e-01,1.063624524862514464e+00,-4.599499567102471431e+00,4.374488468033380095e-02,-3.356268726212697229e-01,-4.599499567102471431e+00
3.920784156831366163e-01,1.045151022060755608e+00,-4.635322563855155842e+00,4.248920603000347351e-02,-2.921079516197759851e-01,-4.635322563855155842e+00
3.960792158431686305e-01,1.026535190705935463e+00,-4.670647387355267632e+00,4.140724401157939993e-02,-2.488211222094069142e-01,-4.670647387355267632e+00
4.000800160032006447e-01,1.007779050720968961e+00,-4.705460590454489278e+00,4.049764925477784133e-02,-2.059763128195996607e-01,-4.705460590454489278e+00
4.040808161632326589e-01,9.888846762120073741e-01,-4.739748538342219319e+00,3.975823820388321023e-02,-1.637805013160959222e-01,-4.739748538342219319e+00
4.080816163232646732e-01,9.698541961748800011e-01,-4.773497432172983501e+00,3.918600652013492364e-02,-1.224368491128602632e-01,-4.773497432172983501e+00
4.120824164832966874e-01,9.506897950946889830e-01,-4.806693335399222278e+00,3.877714612481673873e-02,-8.214382462857752754e-02,-4.806693335399222278e+00
4.160832166433286461e-01,9.313937134408101226e-01,-4.839322202471077361e+00,3.852706577919995379e-02,-4.309433922751201851e-02,-4.839322202471077361e+00
4.200840168033606603e-01,9.119682480435521432e-01,-4.871369909792998776e+00,3.843041499617003143e-02,-5.474902182372176629e-03,-4.871369909792998776e+00
4.240848169633926745e-01,8.924157523407075798e-01,-4.902822288914938653e+00,3.848111124055478283e-02,3.053520405879144722e-02,-4.902822288914938653e+00
4.280856171234246887e-01,8.727386364857495638e-01,-4.933665162045349106e+00,3.867237051787408147e-02,6.476472591309054283e-02,-4.933665162045349106e+00
4.320864172834567030e-01,8.529393673108303098e-01,-4.963884379545516090e+00,3.899674103480341852e-02,9.705120629290706069e-02,-4.963884379545516090e+00
4.360872174434887172e-01,8.330204681362171071e-01,-4.993465859360841641e+00,3.944613987330201216e-02,1.272417152150241149e-01,-4.993465859360841641e+00
4.400880176035207314e-01,8.129845184194051111e-01,-5.022395628119056710e+00,4.001189244668257317e-02,1.551935364278050900e-01,-5.022395628119056710e+00
4.440888177635526901e-01,7.928341532357574550e-01,-5.050659863691209672e+00,4.068477461893161423e-02,1.807748065337335119e-01,-5.050659863691209672e+00
4.480896179235847043e-01,7.725720625762889648e-01,-5.078244939265893265e+00,4.145505768052670098e-02,2.038651048100136864e-01,-5.078244939265893265e+00
4.520904180836167185e-01,7.522009904930798685e-01,-5.105137467953988484e+00,4.231255469902989175e-02,2.243559769983478336e-01,-5.105137467953988484e+00
4.560912182436487328e-01,7.317237340482225516e-01,-5.131324348032830329e+00,4.324666928496306850e-02,2.421514047941099868e-01,-5.131324348032830329e+00
4.600920184036807470e-01,7.111431420475425869e-01,-5.156792809327787275e+00,4.424644730241142354e-02,2.571682177819298309e-01,-5.156792809327787275e+00
4.640928185637127612e-01,6.904621136800912495e-01,-5.181530458264504091e+00,4.530062721034873452e-02,2.693364215191862421e-01,-5.181530458264504091e+00
4.680936187237447754e-01,6.696835968749098589e-01,-5.205525323284871497e+00,4.639769470434794429e-02,2.785994784551060754e-01,-5.205525323284871497e+00
4.720944188837767341e-01,6.488105865243309900e-01,-5.228765899889054047e+00,4.752593690633501872e-02,2.849145081964802872e-01,-5.228765899889054047e+00
4.760952190438087483e-01,6.278461225855567207e-01,-5.251241192810429226e+00,4.867349578038854957e-02,2.882524219537594412e-01,-5.251241192810429226e+00
4.800960192038407626e-01,6.067932878520981843e-01,-5.272940759000482203e+00,4.982842634229608242e-02,2.885979928872076661e-01,-5.272940759000482203e+00
4.840968193638727768e-01,5.856552057950192847e-01,-5.293854746333388483e+00,5.097874858731543668e-02,2.859498550814957296e-01,-5.293854746333388483e+00
4.880976195239047910e-01,5.644350380026275094e-01,-5.313973931548054530e+00,5.211250621804975475e-02,2.803204387406356135e-01,-5.313973931548054530e+00
4.920984196839368052e-01,5.431359816729178780e-01,-5.333289754932138749e+00,5.321781918880954393e-02,2.717358427812736066e-01,-5.333289754932138749e+00
4.960992198439688194e-01,5.217612668798470299e-01,-5.351794351596796062e+00,5.428293889548090750e-02,2.602356468434268155e-01,-5.351794351596796062e+00
5.001000200040007782e-01,5.003141536877725448e-01,-5.369480580278073845e+00,5.529630238093717620e-02,2.458726561159171875e-01,-5.369480580278073845e+00
5.041008201640327924e-01,4.787979292828641320e-01,-5.386342047692289192e+00,5.624658296104257521e-02,2.287126059913167364e-01,-5.386342047692289192e+00
5.081016203240648066e-01,4.572159048771829437e-01,-5.402373129300563903e+00,5.712274284046145456e-02,2.088337937936558530e-01,-5.402373129300563903e+00
5.121024204840968208e-01,4.355714126142639087e-01,-5.417568986109994711e+00,5.791408188072373620e-02,1.863266705290364811e-01,-5.417568986109994711e+00
5.161032206441288350e-01,4.138678024222774421e-01,-5.431925576983704929e+00,5.861028503925311967e-02,1.612933850901655253e-01,-5.431925576983704929e+00
5.201040208041608492e-01,3.921084387775972679e-01,-5.445439666548987034e+00,5.920146878231110493e-02,1.338472712907994855e-01,-5.445439666548987034e+00
5.241048209641928635e-01,3.702966974773093667e-01,-5.458108828716024874e+00,5.967822449795547046e-02,1.041122979731351483e-01,-5.458108828716024874e+00
5.281056211242248777e-01,3.484359624141963874e-01,-5.469931445663204883e+00,6.003165968359119864e-02,7.222247863649544630e-02,-5.469931445663204883e+00
5.321064212842568919e-01,3.265296223457445635e-01,-5.480906702178825363e+00,6.025343707663822351e-02,3.832123477329117678e-02,-5.480906702178825363e+00
5.361072214442889061e-01,3.045810676974892717e-01,-5.491034575576067667e+00,6.033581098594662656e-02,2.560722307738993661e-03,-5.491034575576067667e+00
5.401080216043209203e-01,2.825936874253342501e-01,-5.500315821295527208e+00,6.027166072007515696e-02,-3.489887532328440900e-02,-5.500315821295527208e+00
5.441088217643528235e-01,2.605708659367821367e-01,-5.508751954194458733e+00,6.005452127726825656e-02,-7.389009153060518975e-02,-5.508751954194458733e+00
5.481096219243848378e-01,2.385159800967204813e-01,-5.516345225808937158e+00,5.967861093677285372e-02,-1.142389525097265712e-01,-5.516345225808937158e+00
5.521104220844168520e-01,2.164323963320788635e-01,-5.523098597776125551e+00,5.913885568980317697e-02,-1.557657836118593042e-01,-5.523098597776125551e+00
5.561112222444488662e-01,1.943234678508042046e-01,-5.529015711693859636e+00,5.843091038101125290e-02,-1.982860432048777211e-01,-5.529015711693859636e+00
5.601120224044808804e-01,1.721925319868694571e-01,-5.534100855664928709e+00,5.755117648185619633e-02,-2.416111824652399653e-01,-5.534100855664928709e+00
5.641128225645128946e-01,1.500429076828136421e-01,-5.538358927795335340e+00,5.649681638003860307e-02,-2.855495288729288927e-01,-5.538358927795335340e+00
5.681136227245449088e-01,1.278778931300894872e-01,-5.541795397247315513e+00,5.526576403622749517e-02,-3.299071833550794031e-01,-5.541795397247315513e+00
5.721144228845769231e-01,1.057007635679204499e-01,-5.544416262940550233e+00,5.385673208019039343e-02,-3.744889346571630417e-01,-5.544416262940550233e+00
5.761152230446089373e-01,8.351476924702315452e-02,-5.546228010173513745e+00,5.226921525634490445e-02,-4.190991888052172931e-01,-5.546228010173513745e+00
5.801160232046409515e-01,6.132313356858801884e-02,-5.547237565710368301e+00,5.050349002810704951e-02,-4.635429028481815594e-01,-5.547237565710368301e+00
5.841168233646729657e-01,3.912905141757905270e-02,-5.547452252335030920e+00,4.856061054456960874e-02,-5.076265055145775529e-01,-5.547452252335030920e+00
5.881176235247049799e-01,1.693568767064404859e-02,-5.546879741890506921e+00,4.644240094470170749e-02,-5.511588333984106525e-01,-5.546879741890506921e+00
5.921184236847369942e-01,-5.253824114817437496e-03,-5.545528007894355405e+00,4.415144368558688442e-02,-5.939520528267189237e-01,-5.545528007894355405e+00
5.961192238447690084e-01,-2.743638280502490659e-02,-5.543405279483752501e+00,4.169106475979438703e-02,-6.358225372408958798e-01,-5.543405279483752501e+00
6.001200240048009116e-01,-4.960892061884748794e-02,-5.540519993821114042e+00,3.906531477895048426e-02,-6.765917670622816349e-01,-5.540519993821114042e+00
6.041208241648329258e-01,-7.176840387596213067e-02,-5.536880750524256101e+00,3.627894686753992126e-02,-7.160871632800953623e-01,-5.536880750524256101e+00
6.081216243248649400e-01,-9.391183355012708289e-02,-5.532496267484769525e+00,3.333739179155283811e-02,-7.541428869994741824e-01,-5.532496267484769525e+00
6.121224244848969542e-01,-1.160362456495471345e-01,-5.527375335921859367e+00,3.024672831281363314e-02,-7.906006367576781102e-01,-5.527375335921859367e+00
6.161232246449289685e-01,-1.381387114472057975e-01,-5.521526780388724021e+00,2.701365303691989281e-02,-8.253103274144862889e-01,-5.521526780388724021e+00
6.201240248049609827e-01,-1.602163375033977266e-01,-5.514959417423445309e+00,2.364544487252925875e-02,-8.581307919741816281e-01,-5.514959417423445309e+00
6.241248249649929969e-01,-1.822662655839311363e-01,-5.507682018622107378e+00,2.014992882784375980e-02,-8.889303659955862802e-01,-5.507682018622107378e+00
6.281256251250250111e-01,-2.042856724000440272e-01,-5.499703275411233605e+00,1.653543711971317345e-02,-9.175874369990648649e-01,-5.499703275411233605e+00
6.321264252850570253e-01,-2.262717692047354900e-01,-5.491031765469053028e+00,1.281076676470932485e-02,-9.439909344512058542e-01,-5.491031765469053028e+00
6.361272254450890395e-01,-2.482218013138785817e-01,-5.481675923750895407e+00,8.985138323026891846e-03,-9.680407197990696933e-01,-5.481675923750895407e+00
6.401280256051210538e-01,-2.701330474378803026e-01,-5.471644014314598792e+00,5.068149838933845228e-03,-9.896479455160803740e-01,-5.471644014314598792e+00
6.441288257651530680e-01,-2.920028189754602099e-01,-5.460944106445405843e+00,1.069731972084069036e-03,-1.008735311299326920e+00,-5.460944106445405843e+00
6.481296259251850822e-01,-3.138284591884525354e-01,-5.449584053271543382e+00,-2.999898530166246382e-03,-1.025237264204293952e+00,-5.449584053271543382e+00
6.521304260852170964e-01,-3.356073422839577769e-01,-5.437571473192204685e+00,-7.130286744403415214e-03,-1.039100127021075570e+00,-5.437571473192204685e+00
6.561312262452489996e-01,-3.573368724563487642e-01,-5.424913734694736256e+00,-1.131078675893297872e-02,-1.050282152140064040e+00,-5.424913734694736256e+00
6.601320264052810138e-01,-3.790144828625470197e-01,-5.411617943980067125e+00,-1.553060937830530105e-02,-1.058753512211029202e+00,-5.411617943980067125e+00
6.641328265653130281e-01,-4.006376345509400916e-01,-5.397690935553091762e+00,-1.977886971261962057e-02,-1.064496227241078730e+00,-5.397690935553091762e+00
6.681336267253450423e-01,-4.222038153444777064e-01,-5.383139265715381150e+00,-2.404463491291048902e-02,-1.067504027603147998e+00,-5.383139265715381150e+00
6.721344268853770565e-01,-4.437105387502046083e-01,-5.367969208966656858e+00,-2.831696963188786928e-02,-1.067782162737495266e+00,-5.367969208966656858e+00
6.761352270454090707e-01,-4.651553428095731024e-01,-5.352186756991771155e+00,-3.258498220554552349e-02,-1.065347158646166248e+00,-5.352186756991771155e+00
6.801360272054410849e-01,-4.865357889540489755e-01,-5.335797620443820222e+00,-3.683786980585092297e-02,-1.060226518270390272e+00,-5.335797620443820222e+00
6.841368273654730991e-01,-5.078494609403642057e-01,-5.318807232929321671e+00,-4.106495993159617330e-02,-1.052458394058603419e+00,-5.318807232929321671e+00
6.881376275255051134e-01,-5.290939636822914460e-01,-5.301220757775134018e+00,-4.525575460876350709e-02,-1.042091200160858211e+00,-5.301220757775134018e+00
6.921384276855371276e-01,-5.502669222542501126e-01,-5.283043096513368120e+00,-4.939996850574006337e-02,-1.029183209368909946e+00,-5.283043096513368120e+00
6.961392278455691418e-01,-5.713659808234072823e-01,-5.264278899706425818e+00,-5.348756869499488725e-02,-1.013802109338515445e+00,-5.264278899706425818e+00
7.001400280056011560e-01,-5.923888016716173377e-01,-5.244932579883430535e+00,-5.750881152648794348e-02,-9.960245233147988486e-01,-5.244932579883430535e+00
7.041408281656331702e-01,-6.133330643103857005e-01,-5.225008325250240837e+00,-6.145427595691870665e-02,-9.759355399699257694e-01,-5.225008325250240837e+00
7.081416283256651845e-01,-6.341964645428670444e-01,-5.204510116690007848e+00,-6.531489887980021503e-02,-9.536281687789793793e-01,-5.204510116690007848e+00
7.121424284856970877e-01,-6.549767137630581049e-01,-5.183441743702394078e+00,-6.908200259852644021e-02,-9.292028533991304462e-01,-5.183441743702394078e+00
7.161432286457291019e-01,-6.756715381208105997e-01,-5.161806824543605288e+00,-7.274732698250427343e-02,-9.027668833129091075e-01,-5.161806824543605288e+00
7.201440288057611161e-01,-6.962786779828108452e-01,-5.139608824101135731e+00,-7.630305226746868230e-02,-8.744338902773816091e-01,-5.139608824101135731e+00
7.241448289657931303e-01,-7.167958872606822185e-01,-5.116851075970759055e+00,-7.974182648167875420e-02,-8.443232404125728952e-01,-5.116851075970759055e+00
7.281456291258251445e-01,-7.372209330105582437e-01,-5.093536802214217118e+00,-8.305678465474096439e-02,-8.125595056832700669e-01,-5.093536802214217118e+00
7.321464292858571588e-01,-7.575515949688428341e-01,-5.069669135968342566e+00,-8.624157033687990248e-02,-7.792718634581287107e-01,-5.069669135968342566e+00
7.361472294458891730e-01,-7.777856652778264435e-01,-5.045251143164553476e+00,-8.929035188127752709e-02,-7.445935297237052941e-01,-5.045251143164553476e+00
7.401480296059211872e-01,-7.979209482466012027e-01,-5.020285844432422984e+00,-9.219783762847105768e-02,-7.086611877812936111e-01,-5.020285844432422984e+00
