t,S,I,R,dI_dt,dI_dt_noisy
1.440288057611522454e+00,7.409870382101144681e-01,1.324132622927539360e-01,7.632257075500659127e-02,5.025919862387860648e-02,4.863756945740346782e-02
1.460292058411682303e+00,7.380107524218191273e-01,1.334101373626820353e-01,7.688976684222142977e-02,4.940441447136440650e-02,5.090890212572359019e-02
1.480296059211842374e+00,7.350252332718828496e-01,1.343896706574710942e-01,7.746100991210246034e-02,4.852547922426372895e-02,4.903237225668001520e-02
1.500300060012002445e+00,7.320311824300701486e-01,1.353513869451031526e-01,7.803618389350820694e-02,4.762310058897233078e-02,4.941486673052745277e-02
1.520304060812162517e+00,7.290293063137895935e-01,1.362948247528369128e-01,7.861517026461679880e-02,4.669801834585660810e-02,4.600758692575404596e-02
1.540308061612322588e+00,7.260203160364794295e-01,1.372195364066130241e-01,7.919784806012421241e-02,4.575100319124542070e-02,4.278736664380099891e-02
1.560312062412482659e+00,7.230049236904435572e-01,1.381250911597069198e-01,7.978409436067729343e-02,4.478285422819574396e-02,4.456283269877324427e-02
1.580316063212642508e+00,7.199838442041935904e-01,1.390110743510072355e-01,8.037378397687332254e-02,4.379439817375888749e-02,4.290274186773642556e-02
1.600320064012802579e+00,7.169577938253998139e-01,1.398770878002372209e-01,8.096678973753089481e-02,4.278648748580549804e-02,4.433713512990064554e-02
1.620324064812962650e+00,7.139274878921084699e-01,1.407227513370066796e-01,8.156298281778942560e-02,4.175999807834150646e-02,4.214726377509581123e-02
1.640328065613122721e+00,7.108936408327414247e-01,1.415477028008122196e-01,8.216223273910921998e-02,4.071582775919661140e-02,3.745412929432640620e-02
1.660332066413282792e+00,7.078569661660962797e-01,1.423515980410371140e-01,8.276440736927144493e-02,3.965489466035137384e-02,3.726456850014497196e-02
1.680336067213442863e+00,7.048181765013463718e-01,1.431341109169513293e-01,8.336937292237812935e-02,3.857813566258735255e-02,4.034571373576186643e-02
1.700340068013602712e+00,7.017779828177743706e-01,1.438949336190805395e-01,8.397699408210648753e-02,3.748650453352718459e-02,3.884603456836287910e-02
1.720344068813762783e+00,6.987370912495258768e-01,1.446337785729719383e-01,8.458713450450065785e-02,3.638096895218633636e-02,3.510048222036935700e-02
1.740348069613922855e+00,6.956962057499974650e-01,1.453503773244753661e-01,8.519965635515965030e-02,3.526250981842102283e-02,3.526041222528646102e-02
1.760352070414082926e+00,6.926560248049847823e-01,1.460444812919148294e-01,8.581442094437675971e-02,3.413211836202137417e-02,3.502326546957374581e-02
1.780356071214242997e+00,6.896172409723608787e-01,1.467158619290357124e-01,8.643128881021866494e-02,3.299079421660459921e-02,3.392760288829915760e-02
1.800360072014403068e+00,6.865805408820760958e-01,1.473643107250046103e-01,8.705011971852553987e-02,3.183954367462152324e-02,3.359202806685022275e-02
1.820364072814562917e+00,6.835466052361578448e-01,1.479896392044094955e-01,8.767077266291091464e-02,3.067937795448445748e-02,3.119234920892758126e-02
1.840368073614722988e+00,6.805161087545908982e-01,1.485916789255872505e-01,8.829310587670174959e-02,2.951131146357272722e-02,2.932165478563572916e-02
1.860372074414883059e+00,6.774897176122569586e-01,1.491702817316007401e-01,8.891697736463423374e-02,2.833635915226894245e-02,2.781866302269325048e-02
1.880376075215043130e+00,6.744680903617676915e-01,1.497253203902150220e-01,8.954224463708687631e-02,2.715553493821206213e-02,2.926702053927856401e-02
1.900380076015203201e+00,6.714518768397746973e-01,1.502566877838558967e-01,9.016876503126791675e-02,2.596984981088095931e-02,2.146814126072388307e-02
1.920384076815363272e+00,6.684417169580775253e-01,1.507642967103140497e-01,9.079639599453635801e-02,2.478030978727942604e-02,2.450299913709675162e-02
1.940388077615523121e+00,6.654382407036236735e-01,1.512480798827453288e-01,9.142499508440195266e-02,2.358791425787613513e-02,2.365391446584425364e-02
1.960392078415683192e+00,6.624420681385084775e-01,1.517079899296704948e-01,9.205441996852525843e-02,2.239365435973684690e-02,1.954295643799647264e-02
1.980396079215843264e+00,6.594538093999754436e-01,1.521439993949753600e-01,9.268452842471749942e-02,2.119851137847189593e-02,2.186413860474798951e-02
2.000400080016003113e+00,6.564740637153797520e-01,1.525561001621909829e-01,9.331517861713244100e-02,2.000345501379791058e-02,1.870089298891112334e-02
2.020404080816163184e+00,6.535034181983715440e-01,1.529443036711923554e-01,9.394622933875565463e-02,1.880944135861217087e-02,2.053433095124366364e-02
2.040408081616323255e+00,6.505424487309742210e-01,1.533086409383184190e-01,9.457753981573074897e-02,1.761741170714499830e-02,1.736622753907634403e-02
2.060412082416483326e+00,6.475917185406248056e-01,1.536491609287459759e-01,9.520897018877166884e-02,1.642829115241228183e-02,1.776659763399118797e-02
2.080416083216643397e+00,6.446517781755465304e-01,1.539659305356824437e-01,9.584038152073159900e-02,1.524298722974121167e-02,1.768067444008365741e-02
2.100420084016803468e+00,6.417231655047487271e-01,1.542590345803658836e-01,9.647163579660299193e-02,1.406238859879121658e-02,1.482824776421816197e-02
2.120424084816963539e+00,6.388064057180264932e-01,1.545285758120650277e-01,9.710259592351749847e-02,1.288736376298975361e-02,1.113592147614406169e-02
2.140428085617123610e+00,6.359020111870321568e-01,1.547746745826179271e-01,9.773312579624633678e-02,1.171875990421683555e-02,8.690122640807557836e-03
2.160432086417283681e+00,6.330104801474408793e-01,1.549974670771240848e-01,9.836309077938770740e-02,1.055740191858012614e-02,1.406417015361287152e-02
2.180436087217443752e+00,6.301322972292170421e-01,1.551971074253516714e-01,9.899235736570154154e-02,9.404090669258194368e-03,9.181506282883155137e-03
2.200440088017603824e+00,6.272679331020843962e-01,1.553737647897677487e-01,9.962079356307108891e-02,8.259602953194708497e-03,6.882473057926065049e-03
2.220444088817763451e+00,6.244178443260821609e-01,1.555276228296673668e-01,1.002482689845765190e-01,7.124690721290942268e-03,7.413204897412591782e-03
2.240448089617923522e+00,6.215824733515650236e-01,1.556588797011735359e-01,1.008746548484950184e-01,6.000080185824378971e-03,5.617257524859080309e-03
2.260452090418083593e+00,6.187622485192032507e-01,1.557677480572372541e-01,1.014998239783007211e-01,4.886470966454362248e-03,6.590755494879738108e-03
2.280456091218243664e+00,6.159575840599824659e-01,1.558544550476374801e-01,1.021236508026646950e-01,3.784535275446636315e-03,3.852391640320836867e-03
2.300460092018403735e+00,6.131688799922978550e-01,1.559192407578586237e-01,1.027460115497467186e-01,2.694917832152328614e-03,2.722416999389167414e-03
2.320464092818563806e+00,6.103965213520549105e-01,1.559623576832213365e-01,1.033667844813816183e-01,1.618235150589825318e-03,1.890757085238972419e-04
2.340468093618723877e+00,6.076408785506732801e-01,1.559840718854391128e-01,1.039858496841761792e-01,5.550745044530487962e-04,1.494210701948035444e-03
2.360472094418883948e+00,6.049023077489308342e-01,1.559846596119295048e-01,1.046030893531729594e-01,-4.940048875910580881e-04,-2.561738332301023106e-03
2.380476095219044019e+00,6.021811508588024164e-01,1.559644072419667515e-01,1.052183877973144749e-01,-1.528472276261235580e-03,-1.966933967333013306e-04
2.400480096019204090e+00,5.994777355434599553e-01,1.559236112866818624e-01,1.058316314394431440e-01,-2.547825788303439976e-03,5.000492376768237747e-04
2.420484096819364161e+00,5.967923752172723528e-01,1.558625783890625616e-01,1.064427088163012736e-01,-3.551592799850479369e-03,-6.600964876048782959e-03
2.440488097619524233e+00,5.941253690458057068e-01,1.557816253239532600e-01,1.070515105785310866e-01,-4.539330276338973680e-03,-9.471788739041609242e-03
2.460492098419683860e+00,5.914770023411002331e-01,1.556810770423515400e-01,1.076579296222459486e-01,-5.510623887016570521e-03,-4.276866376707931169e-03
2.480496099219843931e+00,5.888475459105484422e-01,1.555612660538558678e-01,1.082618613131196006e-01,-6.465088123431923448e-03,-1.369292492465670925e-03
2.500500100020004002e+00,5.862372559226760593e-01,1.554225343086149680e-01,1.088632033011518174e-01,-7.402367527678992490e-03,-9.404217225422780574e-03
2.520504100820164073e+00,5.836463753155972656e-01,1.552652292023361802e-01,1.094618556477024579e-01,-8.322134123458283655e-03,-1.082352564106225934e-02
2.540508101620324144e+00,5.810751338153428147e-01,1.550897035121739376e-01,1.100577208285393044e-01,-9.224087385244057746e-03,-8.046149517683110625e-03
2.560512102420484215e+00,5.785237479358601442e-01,1.548963153967298778e-01,1.106507037338379795e-01,-1.010795422520242501e-02,-1.178939740531904055e-02
2.580516103220644286e+00,5.759924209790130423e-01,1.546854283960527876e-01,1.112407116681819880e-01,-1.097348895731222948e-02,-1.198553992518570227e-02
2.600520104020804357e+00,5.734813430345824248e-01,1.544574114316385749e-01,1.118276543505627024e-01,-1.182047323881889496e-02,-1.251670817218645052e-02
2.620524104820964428e+00,5.709906910472697383e-01,1.542126386696213158e-01,1.124114439150089850e-01,-1.264871588276323192e-02,-1.158471171017963486e-02
2.640528105621124499e+00,5.685206303350245349e-01,1.539514855907515023e-01,1.129919950265737827e-01,-1.345804982630265795e-02,-1.426865454908889455e-02
2.660532106421284571e+00,5.660713119347381417e-01,1.536743328627256100e-01,1.135692250451186547e-01,-1.424833523526233478e-02,-1.369256955510201462e-02
2.680536107221444198e+00,5.636428745288920572e-01,1.533815640312168882e-01,1.141430538430785180e-01,-1.501945720794018932e-02,-1.537252372572734012e-02
2.700540108021604269e+00,5.612354455910937290e-01,1.530735635077903334e-01,1.147134037760514230e-01,-1.577132386095567856e-02,-1.746066606825888434e-02
2.720544108821764340e+00,5.588491413860778856e-01,1.527507165699028002e-01,1.152801996827985814e-01,-1.650386601870459935e-02,-1.714351853419104205e-02
2.740548109621924411e+00,5.564840669697057596e-01,1.524134093609027518e-01,1.158433688852443383e-01,-1.721703689230175485e-02,-1.911783622263759155e-02
2.760552110422084482e+00,5.541403161889649764e-01,1.520620288900305650e-01,1.164028411884762138e-01,-1.791081174823469860e-02,-1.789778177649519950e-02
2.780556111222244553e+00,5.518179716819699987e-01,1.516969630324182527e-01,1.169585488807448614e-01,-1.858518756697110155e-02,-2.083292002210237331e-02
2.800560112022404624e+00,5.495171048779621259e-01,1.513186005290896863e-01,1.175104267334640823e-01,-1.924018269178159185e-02,-2.142597143037207677e-02
2.820564112822564695e+00,5.472377770496263949e-01,1.509273293165228069e-01,1.180584119673655508e-01,-1.987583498213746011e-02,-1.696191135152694957e-02
2.840568113622724766e+00,5.449800394259092240e-01,1.505235350258786187e-01,1.186024444226477931e-01,-2.049220038465152105e-02,-2.059856882526220345e-02
2.860572114422884837e+00,5.427439317006065300e-01,1.501076038672313762e-01,1.191424665338619016e-01,-2.108935494829350041e-02,-2.119715899923758570e-02
2.880576115223044908e+00,5.405294847524345636e-01,1.496799195261724336e-01,1.196784230801070242e-01,-2.166739133650337837e-02,-2.064431849666813895e-02
2.900580116023204980e+00,5.383367207091579454e-01,1.492408630778889189e-01,1.202102611808569671e-01,-2.222641828405402462e-02,-2.306813228915176664e-02
2.920584116823364607e+00,5.361656529475902211e-01,1.487908129871635399e-01,1.207379302959602635e-01,-2.276656013387022559e-02,-2.322363086882654054e-02
2.940588117623524678e+00,5.340162860935930844e-01,1.483301451083746669e-01,1.212613822256401741e-01,-2.328795637409715458e-02,-2.243765890343333777e-02
2.960592118423684749e+00,5.318886160220771542e-01,1.478592326854963335e-01,1.217805711104946176e-01,-2.379076117561060993e-02,-2.322592949112180574e-02
2.980596119223844820e+00,5.297826298570016412e-01,1.473784463520982080e-01,1.222954534314961983e-01,-2.427514293017077329e-02,-2.659373638403563292e-02
3.000600120024004891e+00,5.276983065355420610e-01,1.468881535411867556e-01,1.228059879585086528e-01,-2.474128316825017354e-02,-2.307459797491084874e-02
3.020604120824164962e+00,5.256356178978178750e-01,1.463887167150129121e-01,1.233121357397031770e-01,-2.518937445132806568e-02,-2.637024433790615199e-02
3.040608121624325033e+00,5.235945268532283814e-01,1.458804953695969908e-01,1.238138602512352943e-01,-2.561962196669183289e-02,-2.773177986732020331e-02
3.060612122424485104e+00,5.215749897047253780e-01,1.453638444497603321e-01,1.243111270619847303e-01,-2.603224107601863346e-02,-2.783319121601673593e-02
3.080616123224645175e+00,5.195769563349017517e-01,1.448391141875677302e-01,1.248039038118071986e-01,-2.642745665486888676e-02,-2.720854734357953247e-02
3.100620124024805246e+00,5.176003702059919220e-01,1.443066501023273773e-01,1.252921602115343036e-01,-2.680550262051814570e-02,-2.355090211127201100e-02
3.120624124824965318e+00,5.156451683598710645e-01,1.437667930005910033e-01,1.257758680429736375e-01,-2.716662146654964458e-02,-2.951769327639120616e-02
3.140628125625125389e+00,5.137112814180558873e-01,1.432198789761536251e-01,1.262550011589086418e-01,-2.751106380429103881e-02,-2.719091201922235745e-02
3.160632126425285016e+00,5.117986335931251629e-01,1.426662394040837945e-01,1.267295354813216257e-01,-2.783908790261929375e-02,-3.211473661880044628e-02
3.180636127225445087e+00,5.099071439327996780e-01,1.421062001160077748e-01,1.271994488348368868e-01,-2.815095818429997482e-02,-2.815409205059036732e-02
3.200640128025605158e+00,5.080367253493208723e-01,1.415400815210046681e-01,1.276647211551729666e-01,-2.844694523366141786e-02,-2.664781239870940219e-02
3.220644128825765229e+00,5.061872853120016336e-01,1.409681987133022119e-01,1.281253343047406290e-01,-2.872732517839565736e-02,-2.920065182251856822e-02
3.240648129625925300e+00,5.043587268566295245e-01,1.403908610617544128e-01,1.285812718969605029e-01,-2.899237859192138958e-02,-3.025108843968807304e-02
3.260652130426085371e+00,5.025509485854657843e-01,1.398083722098417414e-01,1.290325192962629985e-01,-2.924239007864976730e-02,-2.877936795053269090e-02
3.280656131226245442e+00,5.007638446672464383e-01,1.392210300756709651e-01,1.294790636180884191e-01,-2.947764786895559069e-02,-2.807734436665429087e-02
3.300660132026405513e+00,4.989973048371815212e-01,1.386291268519752318e-01,1.299208937288868770e-01,-2.969844342383989866e-02,-2.837112828180508514e-02
3.320664132826565584e+00,4.972512143969550769e-01,1.380329490061139863e-01,1.303580002461183496e-01,-2.990507104926586057e-02,-2.596012334140627639e-02
3.340668133626725655e+00,4.955254548492664668e-01,1.374327771322982894e-01,1.307903754199746527e-01,-3.009782717834525931e-02,-2.967949223367270448e-02
3.360672134426885727e+00,4.938199039844757277e-01,1.368288856570987755e-01,1.312180131632357805e-01,-3.027700975767740749e-02,-3.146182995718327380e-02
3.380676135227045354e+00,4.921344355219880451e-01,1.362215430824710860e-01,1.316409090866114129e-01,-3.044291820212167987e-02,-3.069487658209496539e-02
3.400680136027205425e+00,4.904689203653801455e-01,1.356110119207309672e-01,1.320590602245258205e-01,-3.059585254501789170e-02,-3.074084963625751607e-02
3.420684136827365496e+00,4.888232266162361173e-01,1.349975486927260659e-01,1.324724650322957054e-01,-3.073611310346684167e-02,-3.051863833651060481e-02
3.440688137627525567e+00,4.871972195741473555e-01,1.343814039278359296e-01,1.328811233861303676e-01,-3.086400016036941474e-02,-3.092405578682828546e-02
3.460692138427685638e+00,4.855907617367126172e-01,1.337628221639719506e-01,1.332850365831316775e-01,-3.097981365669888812e-02,-3.063188177890648067e-02
3.480696139227845709e+00,4.840037127995379107e-01,1.331420419475774497e-01,1.336842073412940202e-01,-3.108385289391529457e-02,-3.442555301514552135e-02
3.500700140028005780e+00,4.824359300202719636e-01,1.325192958921468656e-01,1.340786397139922814e-01,-3.117641616068249355e-02,-2.951715824860240769e-02
3.520704140828165851e+00,4.808872685802441094e-01,1.318948105954208805e-01,1.344683390326519012e-01,-3.125780026731021788e-02,-3.240727880515228282e-02
3.540708141628325922e+00,4.793575810013238070e-01,1.312688065690805761e-01,1.348533120344343195e-01,-3.132830043628802991e-02,-3.367461782918208107e-02
3.560712142428485993e+00,4.778467182552996184e-01,1.306414985560750142e-01,1.352335665716743740e-01,-3.138820989428455638e-02,-3.011270757500168413e-02
3.580716143228646065e+00,4.763545298081438006e-01,1.300130955408020372e-01,1.356091116008422970e-01,-3.143781962656422291e-02,-2.880316761179205903e-02
3.600720144028806136e+00,4.748808636200120281e-01,1.293838007491082409e-01,1.359799571825436038e-01,-3.147741814910234165e-02,-3.049136185010345446e-02
3.620724144828965763e+00,4.734255661452438924e-01,1.287538116482890294e-01,1.363461144815191484e-01,-3.150729129007612261e-02,-3.118497266238508259e-02
3.640728145629125834e+00,4.719884823323624023e-01,1.281233199470885598e-01,1.367075957666450958e-01,-3.152772198059967251e-02,-3.339216259134357434e-02
3.660732146429285905e+00,4.705694558064938415e-01,1.274925117014821252e-01,1.370644143583922836e-01,-3.153899007214214234e-02,-2.579585539651514658e-02
3.680736147229445976e+00,4.691683293398776211e-01,1.268615675303585433e-01,1.374165845083938908e-01,-3.154137214969449099e-02,-2.978085490837147423e-02
3.700740148029606047e+00,4.677849442088224952e-01,1.262306622099090836e-01,1.377641215870966385e-01,-3.153514126609632817e-02,-3.381373060678227738e-02
3.720744148829766118e+00,4.664191410889866329e-01,1.255999652495647656e-01,1.381070418062756988e-01,-3.152056690292705243e-02,-3.307984273540653941e-02
3.740748149629926189e+00,4.650707601427868099e-01,1.249696409458203178e-01,1.384453621928860290e-01,-3.149791482503747075e-02,-3.132395632789366363e-02
3.760752150430086260e+00,4.637396410193983520e-01,1.243398483822342332e-01,1.387791005890623985e-01,-3.146744693240134672e-02,-3.457690919639332117e-02
3.780756151230246331e+00,4.624256228547551917e-01,1.237107414294286584e-01,1.391082756521193897e-01,-3.142942111978649228e-02,-3.109216030576546219e-02
3.800760152030406402e+00,4.611285442715499228e-01,1.230824687450894211e-01,1.394329068545514527e-01,-3.138409114410042888e-02,-3.230223425552594674e-02
