t,A,A_amb,dA_dt,dA_dt_noisy
4.200840168033606603e-01,2.163226778913469062e+01,6.826383142686182071e-01,-6.817027132825841385e+00,-6.783873964207028706e+00
4.320864172834566475e-01,2.155078099253824320e+01,6.874102051982831085e-01,-6.761538326368937923e+00,-6.787238644953310640e+00
4.440888177635526901e-01,2.146995514484894230e+01,6.921597576796429951e-01,-6.706892158076231958e+00,-6.789295916619014548e+00
4.560912182436486773e-01,2.138978022485606800e+01,6.968871427024012633e-01,-6.653069559673384425e+00,-6.644696322462247728e+00
4.680936187237447199e-01,2.131024643676485653e+01,7.015925287838754576e-01,-6.600052021311125117e+00,-6.594601316920047474e+00
4.800960192038407071e-01,2.123134421019652152e+01,7.062760819689972713e-01,-6.547821575935216742e+00,-6.609189178647445040e+00
4.920984196839367497e-01,2.115306420018823275e+01,7.109379658303125460e-01,-6.496360784171183234e+00,-6.530522117260211701e+00
5.041008201640327924e-01,2.107539728719313388e+01,7.155783414679812715e-01,-6.445652719705400990e+00,-6.449254903691762131e+00
5.161032206441288350e-01,2.099833457646298385e+01,7.201973675151095433e-01,-6.395680954738446999e+00,-6.442918535891485554e+00
5.281056211242247667e-01,2.092186729392829392e+01,7.247952010225573449e-01,-6.346429478224943743e+00,-6.351342976617554648e+00
5.401080216043208093e-01,2.084598687884475865e+01,7.293719966240874708e-01,-6.297882745085265910e+00,-6.293108593711792764e+00
5.521104220844168520e-01,2.077068500307377619e+01,7.339279064084557325e-01,-6.250025676046673695e+00,-6.248246364193899005e+00
5.641128225645128946e-01,2.069595349616683677e+01,7.384630805767607997e-01,-6.202843597000395448e+00,-6.228158179916110981e+00
5.761152230446089373e-01,2.062178434536553340e+01,7.429776674424444227e-01,-6.156322228351693404e+00,-6.126634824762402509e+00
5.881176235247048689e-01,2.054816969560156892e+01,7.474718134312912099e-01,-6.110447674698471943e+00,-6.065889326984355456e+00
6.001200240048009116e-01,2.047510184949674539e+01,7.519456630814288500e-01,-6.065206414827485126e+00,-6.049163999599157293e+00
6.121224244848969542e-01,2.040257326736296761e+01,7.563993590433278902e-01,-6.020585292017609724e+00,-6.061496803387124821e+00
6.241248249649929969e-01,2.033057656720225026e+01,7.608330420798020688e-01,-5.976571504640025623e+00,-5.939988890450753622e+00
6.361272254450889285e-01,2.025910452470670720e+01,7.652468510660076495e-01,-5.933152597045417309e+00,-5.958224597968770020e+00
6.481296259251849712e-01,2.018815007325855504e+01,7.696409229894445314e-01,-5.890316450728812825e+00,-5.846358419814413843e+00
6.601320264052810138e-01,2.011770630393011672e+01,7.740153929499549168e-01,-5.848051275762859547e+00,-5.901640646606732155e+00
6.721344268853770565e-01,2.004776646545935037e+01,7.783703941599549037e-01,-5.806345602475945000e+00,-5.760622242319506370e+00
6.841368273654730991e-01,1.997832388666191505e+01,7.827060586643018736e-01,-5.765188226678077399e+00,-5.766191399408851836e+00
6.961392278455690308e-01,1.990937203340105910e+01,7.870225167721153214e-01,-5.724568237335322607e+00,-5.787005681852043004e+00
7.081416283256650734e-01,1.984090455308359324e+01,7.913198966693234526e-01,-5.684475035800561571e+00,-5.700170009398903836e+00
7.201440288057611161e-01,1.977291520336467201e+01,7.955983251003497791e-01,-5.644898285832973706e+00,-5.642193171894396286e+00
7.321464292858571588e-01,1.970539785214781503e+01,7.998579273681120094e-01,-5.605827907253709164e+00,-5.592188340295486171e+00
7.441488297659530904e-01,1.963834647758489282e+01,8.040988273340231585e-01,-5.567254069782684667e+00,-5.616363476029733626e+00
7.561512302460491330e-01,1.957175516807612325e+01,8.083211474179907707e-01,-5.529167187050955334e+00,-5.584535839409214830e+00
7.681536307261451757e-01,1.950561812227008218e+01,8.125250085984171422e-01,-5.491557910783306795e+00,-5.481578684140952618e+00
7.801560312062412184e-01,1.943992964906369991e+01,8.167105304121994314e-01,-5.454417125145839762e+00,-5.477754605989829884e+00
7.921584316863372610e-01,1.937468416760225765e+01,8.208778309547294372e-01,-5.417735941253514653e+00,-5.405960660667003204e+00
8.041608321664331926e-01,1.930987620727939102e+01,8.250270268798939322e-01,-5.381505691832809468e+00,-5.343529715708890571e+00
8.161632326465292353e-01,1.924550040773709370e+01,8.291582334000744403e-01,-5.345717926034768475e+00,-5.428157294352315532e+00
8.281656331266252780e-01,1.918155151886570309e+01,8.332715642861471261e-01,-5.310364404393852489e+00,-5.297644998567971442e+00
8.401680336067213206e-01,1.911802440080392174e+01,8.373671318674830166e-01,-5.275437093928271537e+00,-5.214204745551485054e+00
8.521704340868172523e-01,1.905491398376674184e+01,8.414450474389555401e-01,-5.240928141052713762e+00,-5.255804483271237615e+00
8.641728345669132949e-01,1.899221525569139501e+01,8.455054213576307376e-01,-5.206829860714719871e+00,-5.247370589876598324e+00
8.761752350470093376e-01,1.892992335988980201e+01,8.495483620607372499e-01,-5.173134786343188907e+00,-5.135522594984209377e+00
8.881776355271053802e-01,1.886803351884597646e+01,8.535739768618287870e-01,-5.139835623112483987e+00,-5.127163297302076650e+00
9.001800360072014229e-01,1.880654103208042827e+01,8.575823719727407868e-01,-5.106925242956398492e+00,-5.062131089417520435e+00
9.121824364872973545e-01,1.874544127615016720e+01,8.615736525035905258e-01,-5.074396680875490340e+00,-5.091657466378054053e+00
9.241848369673933972e-01,1.868472970464870286e+01,8.655479224627770085e-01,-5.042243131341717977e+00,-5.116334045027828736e+00
9.361872374474894398e-01,1.862440184820604117e+01,8.695052847569808563e-01,-5.010457944797651386e+00,-5.015958483033213788e+00
9.481896379275854825e-01,1.856445331448869140e+01,8.734458411911643072e-01,-4.979034624247577590e+00,-5.001326031898138957e+00
9.601920384076814141e-01,1.850487978819965917e+01,8.773696924685714382e-01,-4.947966821937940907e+00,-4.909200630835561796e+00
9.721944388877774568e-01,1.844567703107844991e+01,8.812769381907281652e-01,-4.917248336124580455e+00,-4.907566693705723182e+00
9.841968393678734994e-01,1.838684088190107246e+01,8.851676768574416876e-01,-4.886873107924365911e+00,-4.968415569546120736e+00
9.961992398479695421e-01,1.832836725648002840e+01,8.890420058668012659e-01,-4.856835218248838792e+00,-4.916593372253998950e+00
1.008201640328065585e+00,1.827025214766431560e+01,8.929000215151777775e-01,-4.827128884817599719e+00,-4.782939432988237094e+00
1.020204040808161627e+00,1.821249162533944599e+01,8.967418189972238274e-01,-4.797748459249219444e+00,-4.763760208378327476e+00
1.032206441288257670e+00,1.815508182891879940e+01,9.005674924890240129e-01,-4.768688420364069813e+00,-4.800700588659494450e+00
1.044208841768353491e+00,1.809801890547968028e+01,9.043771358180811015e-01,-4.739943339835982705e+00,-4.739995779664346820e+00
1.056211242248449533e+00,1.804129911541173215e+01,9.081708412799437413e-01,-4.711507934185429569e+00,-4.689229256496620479e+00
1.068213642728545576e+00,1.798491879135426430e+01,9.119487001193327114e-01,-4.683377040876835373e+00,-4.659956824084471094e+00
1.080216043208641619e+00,1.792887431973971601e+01,9.157108027374699644e-01,-4.655545606494618127e+00,-4.611733496688900757e+00
1.092218443688737661e+00,1.787316214079365295e+01,9.194572386920791818e-01,-4.628008684516971449e+00,-4.615184403155893733e+00
1.104220844168833704e+00,1.781777874853476362e+01,9.231880966973853297e-01,-4.600761433143880197e+00,-4.605502850092305422e+00
1.116223244648929747e+00,1.776272069077487714e+01,9.269034646241146591e-01,-4.573799113177932085e+00,-4.586741516417323972e+00
1.128225645129025789e+00,1.770798456911893837e+01,9.306034294994948164e-01,-4.547117085956573490e+00,-4.494329945929910863e+00
1.140228045609121832e+00,1.765356703896502566e+01,9.342880775072550659e-01,-4.520710811334483381e+00,-4.633253525088409930e+00
1.152230446089217875e+00,1.759946480950434733e+01,9.379574939876258455e-01,-4.494575845714749107e+00,-4.501508611969316398e+00
1.164232846569313695e+00,1.754567464372123453e+01,9.416117634373389889e-01,-4.468707840127607689e+00,-4.467057834928404247e+00
1.176235247049409738e+00,1.749219335839314837e+01,9.452509695096278364e-01,-4.443102538355504727e+00,-4.514369986399014323e+00
1.188237647529505780e+00,1.743901782409068346e+01,9.488751950142270131e-01,-4.417755775103309190e+00,-4.401115094446407028e+00
1.200240048009601823e+00,1.738614496517755015e+01,9.524845219173727617e-01,-4.392663474212471719e+00,-4.425227524834641102e+00
1.212242448489697866e+00,1.733357175981059939e+01,9.560790313418022768e-01,-4.367821646918074840e+00,-4.324699407102287729e+00
1.224244848969793908e+00,1.728129523993980499e+01,9.596588035667545924e-01,-4.343226390147600924e+00,-4.349505994349317284e+00
1.236247249449889951e+00,1.722931247221934470e+01,9.632239182561485036e-01,-4.318873875770211868e+00,-4.285416213730739443e+00
1.248249649929985994e+00,1.717762053264501887e+01,9.667744547424269586e-01,-4.294760337138635364e+00,-4.233818156880074568e+00
1.260252050410082036e+00,1.712621659011514907e+01,9.703104910269710892e-01,-4.270882107402151462e+00,-4.251735628266477995e+00
1.272254450890177857e+00,1.707509785509288136e+01,9.738321044145004102e-01,-4.247235593425378042e+00,-4.291021650596520409e+00
1.284256851370273900e+00,1.702426157557403741e+01,9.773393715619633770e-01,-4.223817272506041220e+00,-4.299533204091273042e+00
1.296259251850369942e+00,1.697370503708713230e+01,9.808323684785366092e-01,-4.200623691051430519e+00,-4.112954485175611907e+00
1.308261652330465985e+00,1.692342556269335674e+01,9.843111705256260002e-01,-4.177651463284574263e+00,-4.183216072943950259e+00
1.320264052810562028e+00,1.687342051298657708e+01,9.877758524168656074e-01,-4.154897269979453078e+00,-4.189325517361169204e+00
1.332266453290658070e+00,1.682368728609334596e+01,9.912264882181184289e-01,-4.132357857224551623e+00,-4.125145002821509976e+00
1.344268853770754113e+00,1.677422331767289876e+01,9.946631513474759601e-01,-4.110030035214063737e+00,-4.119600601738196310e+00
1.356271254250850156e+00,1.672502608091715004e+01,9.980859145752586370e-01,-4.087910677066111553e+00,-4.045303563855477513e+00
1.368273654730946198e+00,1.667609308655069711e+01,1.001494850024015060e+00,-4.065996717667329285e+00,-4.064300308545473861e+00
1.380276055211042019e+00,1.662742188283081290e+01,1.004890029168523213e+00,-4.044285152543180217e+00,-4.043597673362259393e+00
1.392278455691138062e+00,1.657901005554745311e+01,1.008271522835788803e+00,-4.022773036753411802e+00,-4.058502022805059894e+00
1.404280856171234104e+00,1.653085522802325968e+01,1.011639401205047362e+00,-4.001457483812052018e+00,-3.977979078874677388e+00
1.416283256651330147e+00,1.648295506111355380e+01,1.014993733807761922e+00,-3.980335664631353687e+00,-4.032029000749102643e+00
1.428285657131426190e+00,1.643530725320633579e+01,1.018334589527624789e+00,-3.959404806489125850e+00,-3.926110334500927390e+00
1.440288057611522232e+00,1.638790954022228874e+01,1.021662036600557322e+00,-3.938662192018915764e+00,-3.862465316369409152e+00
1.452290458091618275e+00,1.634075968236719589e+01,1.024976142786157896e+00,-3.918105152352653775e+00,-3.994339454257611166e+00
1.464292858571714318e+00,1.629385543886044374e+01,1.028276975678289684e+00,-3.897731055105636777e+00,-4.021042516673202449e+00
1.476295259051810360e+00,1.624719464002676261e+01,1.031564601769275225e+00,-3.877537335449688705e+00,-3.846693397691972827e+00
1.488297659531906181e+00,1.620077514679775277e+01,1.034839086993338375e+00,-3.857521477166280910e+00,-3.730126586392124466e+00
1.500300060012002223e+00,1.615459484627545805e+01,1.038100496784866600e+00,-3.837681009858281200e+00,-3.887727252301875769e+00
1.512302460492098266e+00,1.610865165173235525e+01,1.041348896078409414e+00,-3.818013508151630209e+00,-3.880548296091729465e+00
1.524304860972194309e+00,1.606294350261136472e+01,1.044584349308679716e+00,-3.798516590913604496e+00,-3.769068144224581030e+00
1.536307261452290351e+00,1.601746836452583267e+01,1.047806920410553566e+00,-3.779187920487281360e+00,-3.821223999990196685e+00
1.548309661932386394e+00,1.597222422925955776e+01,1.051016672819069520e+00,-3.760025201941889161e+00,-3.785326476138726193e+00
1.560312062412482437e+00,1.592720911476676271e+01,1.054213669469429515e+00,-3.741026182338644812e+00,-3.758432055672833894e+00
1.572314462892578479e+00,1.588242106517211383e+01,1.057397972796997765e+00,-3.722188650011797773e+00,-3.695588545697207739e+00
1.584316863372674522e+00,1.583785815077071568e+01,1.060569644737301864e+00,-3.703510433864503959e+00,-3.723775551934159989e+00
1.596319263852770343e+00,1.579351846802810755e+01,1.063728746726032348e+00,-3.684989402679232029e+00,-3.671095260675223848e+00
1.608321664332866385e+00,1.574940013958026874e+01,1.066875339699042691e+00,-3.666623464442371638e+00,-3.675450127387050347e+00
1.620324064812962428e+00,1.570550131423361151e+01,1.070009484092349084e+00,-3.648410565682748352e+00,-3.690644120865328670e+00
1.632326465293058471e+00,1.566182016696498813e+01,1.073131239842130880e+00,-3.630348690823725022e+00,-3.646340003710886180e+00
1.644328865773154513e+00,1.561835489892169271e+01,1.076240666384729927e+00,-3.612435861548615179e+00,-3.659955844807011083e+00
1.656331266253250556e+00,1.557510373742144871e+01,1.079337822656651680e+00,-3.594670136179084707e+00,-3.594344386885597320e+00
1.668333666733346599e+00,1.553206493595242144e+01,1.082422767094563865e+00,-3.577049609066307756e+00,-3.633242920444589519e+00
1.680336067213442641e+00,1.548923677329848125e+01,1.085495557647627507e+00,-3.559572409631956980e+00,-3.614217128096719023e+00
1.692338467693538684e+00,1.544661752010712341e+01,1.088556252240655109e+00,-3.542236687975421461e+00,-3.469388597210158576e+00
1.704340868173634505e+00,1.540420548447248272e+01,1.091604908116829087e+00,-3.525040633301205872e+00,-3.527699844316472877e+00
1.716343268653730547e+00,1.536199901055892703e+01,1.094641581875968273e+00,-3.507982472716566491e+00,-3.510677573990168554e+00
1.728345669133826590e+00,1.531999646078246435e+01,1.097666329729570345e+00,-3.491060463323250040e+00,-3.465483642327368941e+00
1.740348069613922632e+00,1.527819621581074472e+01,1.100679207500813384e+00,-3.474272891728802382e+00,-3.495315741856245939e+00
1.752350470094018675e+00,1.523659667456305655e+01,1.103680270624554316e+00,-3.457618073567314987e+00,-3.469044841941222757e+00
1.764352870574114718e+00,1.519519625421032494e+01,1.106669574147329804e+00,-3.441094353029414687e+00,-3.419836916262819049e+00
1.776355271054210760e+00,1.515399339017511515e+01,1.109647172727355802e+00,-3.424700102401321278e+00,-3.410579310289101329e+00
1.788357671534306803e+00,1.511298653613163623e+01,1.112613120634527997e+00,-3.408433721612774470e+00,-3.466398557959395887e+00
1.800360072014402846e+00,1.507217416400573029e+01,1.115567471750421813e+00,-3.392293637793675209e+00,-3.350626507960192235e+00
1.812362472494498666e+00,1.503155476397488322e+01,1.118510279568291521e+00,-3.376278304839239741e+00,-3.405800052003691736e+00
1.824364872974594709e+00,1.499112684446821575e+01,1.121441597193071349e+00,-3.360386202983521642e+00,-3.413190150499231024e+00
1.836367273454690752e+00,1.495088893216649595e+01,1.124361477341375259e+00,-3.344615838381120199e+00,-3.389639591881072889e+00
1.848369673934786794e+00,1.491083957200212140e+01,1.127269972341496285e+00,-3.328965742696899710e+00,-3.348493009914665919e+00
1.860372074414882837e+00,1.487097732715913523e+01,1.130167134133406748e+00,-3.313434472703592260e+00,-3.232069459972438885e+00
1.872374474894978880e+00,1.483130077907321898e+01,1.133053014268759373e+00,-3.298020609887086341e+00,-3.356797405133125523e+00
1.884376875375074922e+00,1.479180852743169261e+01,1.135927663910885510e+00,-3.282722760059274769e+00,-3.274718965432557916e+00
1.896379275855170965e+00,1.475249919017351630e+01,1.138791133834796465e+00,-3.267539552978294903e+00,-3.374430770882823616e+00
1.908381676335267008e+00,1.471337140348928685e+01,1.141643474427183058e+00,-3.252469641976021286e+00,-3.252547988633281317e+00
1.920384076815362828e+00,1.467442382182124483e+01,1.144484735686415178e+00,-3.237511703592651724e+00,-3.192533382718851342e+00
1.932386477295458871e+00,1.463565511609342629e+01,1.147314967249566164e+00,-3.222664436530206178e+00,-3.234497602633279012e+00
1.944388877775554914e+00,1.459706394664461548e+01,1.150134218796655450e+00,-3.207926550816493361e+00,-3.239394297010660395e+00
1.956391278255650956e+00,1.455864900711510224e+01,1.152942539368769781e+00,-3.193296784581270753e+00,-3.181721231378344061e+00
1.968393678735746999e+00,1.452040901459851163e+01,1.155739977536559104e+00,-3.178773899839288486e+00,-3.143766312281755848e+00
1.980396079215843042e+00,1.448234269894604154e+01,1.158526581566297731e+00,-3.164356678017480995e+00,-3.131173799466610674e+00
1.992398479695939084e+00,1.444444880276646082e+01,1.161302399419885001e+00,-3.150043919657342428e+00,-3.051420226960853022e+00
2.004400880176035127e+00,1.440672608142611821e+01,1.164067478754844176e+00,-3.135834444122713727e+00,-3.125376070505899939e+00
2.016403280656131169e+00,1.436917330304893525e+01,1.166821866924323770e+00,-3.121727089312843262e+00,-3.151347594300490051e+00
2.028405681136227212e+00,1.433178924851640446e+01,1.169565610977096437e+00,-3.107720711380677958e+00,-3.114019670880010082e+00
2.040408081616323255e+00,1.429457271146759822e+01,1.172298757657559420e+00,-3.093814184456234795e+00,-3.097439111737225304e+00
2.052410482096419297e+00,1.425752249829916174e+01,1.175021353405734992e+00,-3.080006400374995845e+00,-3.074569531201090111e+00
2.064412882576515340e+00,1.422063742816531118e+01,1.177733444357269343e+00,-3.066296268411212278e+00,-3.067797659072684091e+00
2.076415283056611383e+00,1.418391633297784260e+01,1.180435076343433920e+00,-3.052682715016036052e+00,-3.043984418071225662e+00
2.088417683536706981e+00,1.414735805740612484e+01,1.183126294891124086e+00,-3.039164683560385605e+00,-3.122707186591141326e+00
2.100420084016803024e+00,1.411096145887709774e+01,1.185807145222860681e+00,-3.025741134082458483e+00,-2.984259686280456236e+00
2.112422484496899067e+00,1.407472540757527923e+01,1.188477672256788242e+00,-3.012411043039796343e+00,-3.041148006485848043e+00
2.124424884976995109e+00,1.403864878644276004e+01,1.191137920606676337e+00,-2.999173403065835242e+00,-3.057831337888186507e+00
2.136427285457091152e+00,1.400273049117920898e+01,1.193787934581919119e+00,-2.986027222730835540e+00,-2.954139664748763661e+00
2.148429685937187195e+00,1.396696943024186588e+01,1.196427758187535106e+00,-2.972971526307117696e+00,-2.907105225937813398e+00
2.160432086417283237e+00,1.393136452484554511e+01,1.199057435124167625e+00,-2.960005353538534667e+00,-2.935353946063562702e+00
2.172434486897379280e+00,1.389591470896263736e+01,1.201677008788084366e+00,-2.947127759414076564e+00,-2.939069793721800661e+00
2.184436887377475323e+00,1.386061892932310435e+01,1.204286522271178050e+00,-2.934337813945550266e+00,-2.980948829214147722e+00
2.196439287857571365e+00,1.382547614541448766e+01,1.206886018360965318e+00,-2.921634601949252730e+00,-2.778056235058577794e+00
2.208441688337667408e+00,1.379048531511640263e+01,1.209475539777453035e+00,-2.909017217577446690e+00,-2.865004286544371226e+00
2.220444088817763451e+00,1.375564540236548439e+01,1.212055129028025924e+00,-2.896484766966961555e+00,-2.953449500484110146e+00
2.232446489297859493e+00,1.372095539904793426e+01,1.214624828054186478e+00,-2.884036376029896154e+00,-2.923018271841883564e+00
2.244448889777955536e+00,1.368641430611416965e+01,1.217184678554733335e+00,-2.871671183326324428e+00,-2.867322220897729146e+00
2.256451290258051579e+00,1.365202113348374091e+01,1.219734721987358439e+00,-2.859388339846172578e+00,-2.937124896445971967e+00
2.268453690738147621e+00,1.361777490004533142e+01,1.222274999568648157e+00,-2.847187008829120458e+00,-2.838755488478594824e+00
2.280456091218243664e+00,1.358367463365675043e+01,1.224805552274081943e+00,-2.835066365587624482e+00,-2.858019943373262262e+00
2.292458491698339706e+00,1.354971937114494729e+01,1.227326420838032783e+00,-2.823025597333006953e+00,-2.761712067317195984e+00
2.304460892178435749e+00,1.351590815830599546e+01,1.229837645753768083e+00,-2.811063903004549669e+00,-2.762956169823137298e+00
2.316463292658531348e+00,1.348224004990510494e+01,1.232339267273447669e+00,-2.799180493101552702e+00,-2.934744764973291176e+00
2.328465693138627390e+00,1.344871410967661518e+01,1.234831325408126457e+00,-2.787374589518293533e+00,-2.785289460216927804e+00
2.340468093618723433e+00,1.341532941032399506e+01,1.237313859927752002e+00,-2.775645425381842557e+00,-2.856518800358026855e+00
2.352470494098819476e+00,1.338208503351985001e+01,1.239786910361165617e+00,-2.763992244892680805e+00,-2.708510344930254554e+00
2.364472894578915518e+00,1.334898006990591313e+01,1.242250515996102589e+00,-2.752414303168075005e+00,-2.744009009711683600e+00
2.376475295059011561e+00,1.331601361909305226e+01,1.244704715879191514e+00,-2.740910866088154929e+00,-2.713490593478804946e+00
2.388477695539107604e+00,1.328318478966126115e+01,1.247149548815954967e+00,-2.729481210144649506e+00,-2.782737446584814478e+00
2.400480096019203646e+00,1.325049269915967187e+01,1.249585053370809051e+00,-2.718124622292233283e+00,-2.626703110392458296e+00
2.412482496499299689e+00,1.321793647410654593e+01,1.252011267867063182e+00,-2.706840399802435737e+00,-2.605836731444913568e+00
2.424484896979395732e+00,1.318551524998927249e+01,1.254428230386920751e+00,-2.695627850120064561e+00,-2.748866402251375352e+00
2.436487297459491774e+00,1.315322817126437549e+01,1.256835978771479123e+00,-2.684486290722108759e+00,-2.665845534628792812e+00
2.448489697939587817e+00,1.312107439135751363e+01,1.259234550620728532e+00,-2.673415048979063346e+00,-2.707080170398572516e+00
2.460492098419683860e+00,1.308905307266346973e+01,1.261623983293553408e+00,-2.662413462018633048e+00,-2.663591958861669440e+00
2.472494498899779902e+00,1.305716338654616493e+01,1.264004313907731492e+00,-2.651480876591793656e+00,-2.714762725553022005e+00
2.484496899379875945e+00,1.302540451328203908e+01,1.266375579340982993e+00,-2.640616648921513043e+00,-2.547259373192482190e+00
2.496499299859971988e+00,1.299377562747976711e+01,1.268737816495448811e+00,-2.629820139530776757e+00,-2.678279115084910345e+00
2.508501700340068030e+00,1.296227591438626092e+01,1.271091061981682424e+00,-2.619090718795939132e+00,-2.633894909545813956e+00
2.520504100820164073e+00,1.293090457692358797e+01,1.273435352003504661e+00,-2.608427769239180627e+00,-2.583353622683654649e+00
2.532506501300259671e+00,1.289966082438725081e+01,1.275770722571575533e+00,-2.597830681489940119e+00,-2.630208715410746745e+00
2.544508901780355714e+00,1.286854387244617293e+01,1.278097209503394671e+00,-2.587298854173468055e+00,-2.599264475660083118e+00
2.556511302260451757e+00,1.283755294314271111e+01,1.280414848423301333e+00,-2.576831693801261647e+00,-2.605013686122609862e+00
2.568513702740547799e+00,1.280668726489265197e+01,1.282723674762474175e+00,-2.566428614663339935e+00,-2.573101652405154649e+00
2.580516103220643842e+00,1.277594607248520830e+01,1.285023723758931036e+00,-2.556089038722328954e+00,-2.614616170477344070e+00
2.592518503700739885e+00,1.274532860708302273e+01,1.287315030457529597e+00,-2.545812395509326365e+00,-2.567711799289441377e+00
2.604520904180835927e+00,1.271483411622216408e+01,1.289597629709966942e+00,-2.535598122021511802e+00,-2.545942768257123845e+00
2.616523304660931970e+00,1.268446185381213454e+01,1.291871556174779778e+00,-2.525445662621491394e+00,-2.542131962811698287e+00
2.628525705141028013e+00,1.265421108013585894e+01,1.294136844317343993e+00,-2.515354468938310717e+00,-2.512519971193620805e+00
2.640528105621124055e+00,1.262408106184969547e+01,1.296393528409875318e+00,-2.505323999770147303e+00,-2.519979110737983419e+00
2.652530506101220098e+00,1.259407107198343034e+01,1.298641642531428886e+00,-2.495353720988628954e+00,-2.457693150566659934e+00
2.664532906581316141e+00,1.256418038994027775e+01,1.300881220567899010e+00,-2.485443105444752110e+00,-2.501602901734043538e+00
2.676535307061412183e+00,1.253440830149687812e+01,1.303112296212020071e+00,-2.475591632876381620e+00,-2.482424112691175910e+00
2.688537707541508226e+00,1.250475409880330524e+01,1.305334902963365407e+00,-2.465798789817303494e+00,-2.499037856617096320e+00
