t,I,M,dI_dt
2.400480096019203848e-03,2.400071687163455036e-01,2.021687407132973045e-03,8.237871519647480056e+01
2.500500100020004116e-03,2.481830752119731920e-01,2.181996902799158197e-03,8.111030331228600687e+01
2.600520104020804385e-03,2.562331861935235322e-01,2.347516214066298554e-03,7.986325007814937749e+01
2.700540108021604220e-03,2.641596223644199770e-01,2.518155187686515854e-03,7.863724220490372829e+01
2.800560112022404489e-03,2.719644724861682294e-01,2.693825223095776614e-03,7.743196689149556278e+01
2.900580116023204758e-03,2.796497944425421212e-01,2.874439192884140418e-03,7.624711199300766395e+01
3.000600120024004593e-03,2.872176153108575991e-01,3.059911433819982769e-03,7.508236633920499514e+01
3.100620124024804861e-03,2.946699313722579427e-01,3.250157743739061269e-03,7.393742004394300693e+01
3.200640128025605130e-03,3.020087076237719659e-01,3.445095373393444651e-03,7.281196487358397462e+01
3.300660132026405399e-03,3.092358776098920181e-01,3.644643028929715322e-03,7.170569454860482494e+01
3.400680136027205668e-03,3.163533447988302050e-01,3.848720788040163859e-03,7.061830476685305769e+01
3.500700140028005503e-03,3.233629827187695649e-01,4.057250089163204690e-03,6.954949342162878168e+01
3.600720144028805771e-03,3.302666349693402781e-01,4.270153730526447984e-03,6.849896082615920534e+01
3.700740148029606040e-03,3.370661152040062558e-01,4.487355851970528144e-03,6.746640992484361732e+01
3.800760152030405875e-03,3.437632065600994546e-01,4.708781953678979094e-03,6.645154658504935696e+01
3.900780156031206144e-03,3.503596632610140316e-01,4.934358813158449229e-03,6.545407951324791895e+01
4.000800160032006413e-03,3.568572110209645154e-01,5.164014460647514682e-03,6.447372035994042960e+01
4.100820164032806248e-03,3.632575470449863064e-01,5.397678179116683662e-03,6.351018388174641416e+01
4.200840168033606950e-03,3.695623401883728065e-01,5.635280491671316831e-03,6.256318806499557184e+01
4.300860172034406785e-03,3.757732305850334797e-01,5.876753163491233757e-03,6.163245432537389235e+01
4.400880176035206620e-03,3.818918303667279135e-01,6.122029171030426119e-03,6.071770751975842728e+01
4.500900180036007323e-03,3.879197249480551002e-01,6.371042635658526188e-03,5.981867585366551054e+01
4.600920184036807158e-03,3.938584730501232811e-01,6.623728822300192949e-03,5.893509099134288931e+01
4.700940188037607860e-03,3.997096067144762510e-01,6.880024138689403920e-03,5.806668815929726435e+01
4.800960192038407695e-03,4.054746316670355122e-01,7.139866110712315972e-03,5.721320618265426816e+01
4.900980196039207530e-03,4.111550266924104413e-01,7.403193406938821802e-03,5.637438767878642665e+01
5.001000200040008233e-03,4.167522453256033432e-01,7.669945761630037745e-03,5.554997886171543087e+01
5.101020204040808068e-03,4.222677164601513766e-01,7.940063944954596151e-03,5.473972951972598366e+01
5.201040208041608770e-03,4.277028443481269981e-01,8.213489762988664469e-03,5.394339308799260380e+01
5.301060212042408605e-03,4.330590086580705100e-01,8.490166054867267359e-03,5.316072670586086701e+01
5.401080216043208440e-03,4.383375649019715103e-01,8.770036667856771773e-03,5.239149120702292350e+01
5.501100220044009143e-03,4.435398438492051953e-01,9.053046482781944987e-03,5.163545127226449694e+01
5.601120224044808978e-03,4.486671533987013905e-01,9.339141330772668392e-03,5.089237517381992149e+01
5.701140228045608813e-03,4.537207789773705646e-01,9.628267974794858797e-03,5.016203475818969082e+01
5.801160232046409515e-03,4.587019835401039414e-01,9.920374109650458017e-03,4.944420549043373114e+01
5.901180236047209350e-03,4.636120076110299415e-01,1.021540836009719039e-02,4.873866648771097232e+01
6.001200240048009185e-03,4.684520698490903801e-01,1.051332025320932118e-02,4.804520046294364732e+01
6.101220244048809888e-03,4.732233663177821681e-01,1.081406024938293825e-02,4.736359387723052095e+01
6.201240248049609723e-03,4.779270722788697134e-01,1.111757966503860301e-02,4.669363667730832645e+01
6.301260252050410425e-03,4.825643427166568800e-01,1.142383064942751984e-02,4.603512223794358249e+01
6.401280256051210260e-03,4.871363123379867099e-01,1.173276618463151184e-02,4.538784738721891898e+01
6.501300260052010095e-03,4.916440955722418682e-01,1.204434008556304510e-02,4.475161242908136927e+01
6.601320264052810798e-03,4.960887870798724175e-01,1.235850697756035385e-02,4.412622108070596738e+01
6.701340268053610633e-03,5.004714613420895297e-01,1.267522231257812819e-02,4.351148055668254955e+01
6.801360272054411335e-03,5.047931735038018175e-01,1.299444233417461521e-02,4.290720144811459846e+01
6.901380276055211170e-03,5.090549605811257594e-01,1.331612402589785193e-02,4.231319754118352705e+01
7.001400280056011005e-03,5.132578414631970842e-01,1.364022511120747440e-02,4.172928582966704880e+01
7.101420284056811708e-03,5.174028169121707155e-01,1.396670405347469508e-02,4.115528652589682679e+01
7.201440288057611543e-03,5.214908696682487577e-01,1.429552005157375301e-02,4.059102305305295033e+01
7.301460292058411378e-03,5.255229650450535805e-01,1.462663301472454970e-02,4.003632195693609219e+01
7.401480296059212080e-03,5.295000501203720455e-01,1.496000359637520739e-02,3.949101304274912394e+01
7.501500300060011915e-03,5.334230555609368318e-01,1.529559311795548882e-02,3.895492908643797847e+01
7.601520304060811750e-03,5.372928959632659041e-01,1.563336355460528612e-02,3.842790578456150286e+01
7.701540308061612453e-03,5.411104698536624014e-01,1.597327753517461743e-02,3.790978175790067439e+01
7.801560312062412288e-03,5.448766596882145263e-01,1.631529834222361294e-02,3.740039855391214729e+01
7.901580316063212123e-03,5.485923320744013898e-01,1.665938990296524091e-02,3.689960061265877300e+01
8.001600320064012825e-03,5.522583381506528388e-01,1.700551677426467845e-02,3.640723520678231040e+01
8.101620324064813528e-03,5.558755130008259382e-01,1.735364416656942632e-02,3.592315253486985682e+01
8.201640328065612495e-03,5.594446774153937207e-01,1.770373787115219269e-02,3.544720543893320297e+01
8.301660332066413198e-03,5.629666380441886719e-01,1.805576425382791894e-02,3.497924937908662457e+01
8.401680336067213900e-03,5.664421873964026188e-01,1.840969025495374153e-02,3.451914243192952370e+01
8.501700340068012868e-03,5.698721038405860639e-01,1.876548338942901628e-02,3.406674528822753700e+01
8.601720344068813570e-03,5.732571517701149366e-01,1.912311174004714676e-02,3.362192122366116109e+01
8.701740348069614273e-03,5.765980821150525903e-01,1.948254393780863430e-02,3.318453601430107369e+01
8.801760352070413240e-03,5.798956315054273336e-01,1.984374919578963878e-02,3.275445806567976348e+01
8.901780356071213943e-03,5.831505239879161140e-01,2.020669723867568601e-02,3.233155813578261473e+01
9.001800360072014645e-03,5.863634712504819380e-01,2.057135829362696441e-02,3.191570929541975232e+01
9.101820364072815348e-03,5.895351726223743150e-01,2.093770309027836660e-02,3.150678692388493118e+01
9.201840368073614315e-03,5.926663150741288133e-01,2.130570286073946856e-02,3.110466870420369290e+01
9.301860372074415018e-03,5.957575732299041915e-01,2.167532933910110843e-02,3.070923461605797655e+01
9.401880376075215720e-03,5.988096100736439720e-01,2.204655473381778377e-02,3.032036681905093900e+01
9.501900380076014688e-03,6.018230760261390477e-01,2.241935176589482034e-02,2.993794979309457815e+01
9.601920384076815390e-03,6.047986100352034100e-01,2.279369362363200743e-02,2.956187016021208080e+01
9.701940388077616093e-03,6.077368403139824515e-01,2.316955393271254854e-02,2.919201656253373400e+01
9.801960392078415060e-03,6.106383843409534107e-01,2.354690675620307178e-02,2.882827965676773019e+01
9.901980396079215763e-03,6.135038488599254825e-01,2.392572659455365416e-02,2.847055210844341033e+01
1.000200040008001647e-02,6.163338298800393744e-01,2.430598838559778346e-02,2.811872858594962210e+01
1.010202040408081543e-02,6.191289128197191571e-01,2.468766749886718015e-02,2.777270573182445901e+01
1.020204040808161614e-02,6.218896730301600728e-01,2.507073971614818403e-02,2.743238207477227064e+01
1.030206041208241684e-02,6.246166748178941797e-01,2.545518127058480490e-02,2.709765817668795762e+01
1.040208041608321754e-02,6.273104729820259129e-01,2.584096878383605397e-02,2.676843638507936873e+01
1.050210042008401651e-02,6.299716130506951561e-01,2.622807925656462855e-02,2.644462079013147005e+01
1.060212042408481721e-02,6.326006312810777965e-01,2.661649006843692586e-02,2.612611721878439752e+01
1.070214042808561791e-02,6.351980546593848365e-01,2.700617897812300147e-02,2.581283322871104957e+01
1.080216043208641688e-02,6.377644009008629489e-01,2.739712412329660396e-02,2.550467810220858667e+01
1.090218043608721758e-02,6.403001786092151759e-01,2.778930401436071132e-02,2.520156281518444885e+01
1.100220044008801829e-02,6.428058877311261243e-01,2.818269751790613772e-02,2.490339996051165627e+01
1.110222044408881725e-02,6.452820186002461433e-01,2.857728389474473163e-02,2.461010389085667427e+01
1.120224044808961796e-02,6.477290533906603365e-01,2.897304274050057846e-02,2.432159048583571348e+01
1.130226045209041866e-02,6.501474663120849762e-01,2.936995397777034805e-02,2.403777711593619415e+01
1.140228045609121763e-02,6.525377236098675038e-01,2.976799785612331550e-02,2.375858263685726612e+01
1.150230046009201833e-02,6.549002835649866405e-01,3.016715495210137155e-02,2.348392738382145950e+01
1.160232046409281903e-02,6.572355964940522766e-01,3.056740616921899481e-02,2.321373316586576863e+01
1.170234046809361800e-02,6.595441047811534396e-01,3.096873273670047028e-02,2.294792325518599796e+01
1.180236047209441870e-02,6.618262435200770177e-01,3.137111618488136466e-02,2.268642228216819490e+01
1.190238047609521940e-02,6.640824394652559137e-01,3.177453838808941972e-02,2.242915639255256721e+01
1.200240048009601837e-02,6.663131120667585838e-01,3.217898152157018521e-02,2.217605308112625906e+01
1.210242048409681907e-02,6.685186739669729539e-01,3.258442804143353577e-02,2.192704110956736230e+01
1.220244048809761978e-02,6.706995310006059752e-01,3.299086068465365701e-02,2.168205050135798118e+01
1.230246049209842048e-02,6.728560821946836246e-01,3.339826246906904550e-02,2.144101253670593010e+01
1.240248049609921945e-02,6.749887197685511264e-01,3.380661669338248104e-02,2.120385974747936331e+01
1.250250050010002015e-02,6.770978291338728416e-01,3.421590693716109605e-02,2.097052591215994966e+01
1.260252050410082085e-02,6.791837891021353935e-01,3.462611705266702838e-02,2.074094601887928491e+01
1.270254050810161982e-02,6.812469721263335609e-01,3.503723115682873257e-02,2.051505622362601144e+01
1.280256051210242052e-02,6.832877434994801824e-01,3.544923366281073351e-02,2.029279396870311558e+01
1.290258051610322122e-02,6.853064626186281538e-01,3.586210922821644886e-02,2.007409778305827786e+01
1.300260052010402019e-02,6.873034830897030156e-01,3.627584275086740556e-02,1.985890726171776421e+01
1.310262052410482089e-02,6.892791527275029528e-01,3.669041936880330229e-02,1.964716306141022883e+01
1.320264052810562160e-02,6.912338135556987950e-01,3.710582446028191927e-02,1.943880689621895641e+01
1.330266053210642056e-02,6.931678018068337943e-01,3.752204364377917378e-02,1.923378153326572360e+01
1.340268053610722127e-02,6.950814479223241804e-01,3.793906277798914095e-02,1.903203078842848228e+01
1.350270054010802197e-02,6.969750767754988585e-01,3.835686795301299079e-02,1.883349948795540740e+01
1.360272054410882267e-02,6.988490078155106255e-01,3.877544548615025760e-02,1.863813344262021943e+01
1.370274054810962164e-02,7.007035543517134979e-01,3.919478195003106569e-02,1.844587955309915372e+01
1.380276055211042234e-02,7.025390247137061062e-01,3.961486412492922632e-02,1.825668562809433126e+01
1.390278055611122304e-02,7.043557223276315504e-01,4.003567899567905125e-02,1.807050036895333278e+01
1.400280056011202201e-02,7.061539457161769562e-01,4.045721375167537354e-02,1.788727336602136120e+01
1.410282056411282271e-02,7.079339884985735853e-01,4.087945578687355447e-02,1.770695509502877130e+01
1.420284056811362342e-02,7.096961393905971693e-01,4.130239269978944888e-02,1.752949691351505024e+01
1.430286057211442238e-02,7.114406822045672429e-01,4.172601229349943291e-02,1.735485105729090094e+01
1.440288057611522309e-02,7.131678959099814197e-01,4.215030257321123602e-02,1.718297062770078654e+01
1.450290058011602379e-02,7.148780551184016341e-01,4.257525172770883909e-02,1.701380951451691104e+01
1.460292058411682276e-02,7.165714290699665145e-01,4.300084817078358990e-02,1.684732254714354838e+01
1.470294058811762346e-02,7.182482825880048827e-01,4.342708050124619024e-02,1.668346534551687910e+01
1.480296059211842416e-02,7.199088763630803189e-01,4.385393749132896618e-02,1.652219427375330341e+01
1.490298059611922313e-02,7.215534669529919398e-01,4.428140808668584033e-02,1.636346643717313754e+01
1.500300060012002383e-02,7.231823067827738427e-01,4.470948140639236651e-02,1.620723967935921550e+01
1.510302060412082453e-02,7.247956441446952169e-01,4.513814674294570894e-02,1.605347257925071602e+01
1.520304060812162350e-02,7.263937231982601217e-01,4.556739356226462839e-02,1.590212444827296068e+01
1.530306061212242420e-02,7.279767839702082632e-01,4.599721150368953071e-02,1.575315532750316549e+01
1.540308061612322491e-02,7.295450625476577189e-01,4.642759037225041574e-02,1.560652595560799938e+01
1.550310062012402561e-02,7.310987911880489909e-01,4.685852013548924555e-02,1.546219774973547345e+01
1.560312062412482458e-02,7.326381976236630011e-01,4.728999095123262442e-02,1.532013290816589546e+01
1.570314062812562528e-02,7.341635060522833101e-01,4.772199312640951901e-02,1.518029425731663551e+01
1.580316063212642425e-02,7.356749372045813251e-01,4.815451711429595549e-02,1.504264523912427265e+01
1.590318063612722668e-02,7.371727083441175221e-01,4.858755351451508886e-02,1.490714990868392320e+01
1.600320064012802565e-02,7.386570332673402239e-01,4.902109307303710584e-02,1.477377293192001062e+01
1.610322064412882462e-02,7.401281223035863777e-01,4.945512668217934282e-02,1.464247958328829924e+01
1.620324064812962706e-02,7.415861823150813326e-01,4.988964538060622345e-02,1.451323574350933399e+01
1.630326065213042602e-02,7.430314166969388401e-01,5.032464035332921692e-02,1.438600789733346375e+01
1.640328065613122499e-02,7.444640255170634768e-01,5.076010292605121627e-02,1.426076311023608767e+01
1.650330066013202743e-02,7.458842057186028107e-01,5.119602455796135737e-02,1.413746899595604845e+01
1.660332066413282640e-02,7.472921503351258599e-01,5.163239687363271185e-02,1.401609383276921861e+01
1.670334066813362536e-02,7.486880494084279247e-01,5.206921162453592711e-02,1.389660642273062408e+01
1.680336067213442780e-02,7.500720900853706796e-01,5.250646068504784963e-02,1.377897607517310163e+01
1.690338067613522677e-02,7.514444566178812845e-01,5.294413605245146953e-02,1.366317260486011875e+01
1.700340068013602574e-02,7.528053303629534954e-01,5.338222984693602458e-02,1.354916633016392424e+01
1.710342068413682817e-02,7.541548897826465536e-01,5.382073431159695165e-02,1.343692807127052191e+01
1.720344068813762714e-02,7.554933104440858527e-01,5.425964181243581735e-02,1.332642914841022375e+01
1.730346069213842611e-02,7.568207650194631597e-01,5.469894483836044985e-02,1.321764138011428003e+01
1.740348069613922855e-02,7.581374232889535048e-01,5.513863600106475721e-02,1.311053708105889726e+01
1.750350070014002751e-02,7.594434525446975837e-01,5.557870801877875383e-02,1.300508899976842159e+01
1.760352070414082648e-02,7.607390169134664593e-01,5.601915374504647799e-02,1.290127041893553539e+01
1.770354070814162892e-02,7.620242776482187841e-01,5.645996615567171889e-02,1.279905510974330696e+01
1.780356071214242789e-02,7.632993935965858290e-01,5.690113832915496411e-02,1.269841725993414272e+01
1.790358071614323032e-02,7.645645212008720382e-01,5.734266344669343429e-02,1.259933147237733309e+01
1.800360072014402929e-02,7.658198144980550293e-01,5.778453479218101374e-02,1.250177276365787904e+01
1.810362072414482826e-02,7.670654251197850382e-01,5.822674575220834065e-02,1.240571656268626199e+01
1.820364072814563070e-02,7.683015022923856963e-01,5.866928981606275156e-02,1.231113870932862397e+01
1.830366073214642966e-02,7.695281928368531421e-01,5.911216057572825366e-02,1.221801545305764236e+01
1.840368073614722863e-02,7.707456411688571318e-01,5.955535172588560799e-02,1.212632345162388603e+01
1.850370074014803107e-02,7.719539893084403914e-01,5.999885706351039405e-02,1.203603976829631605e+01
1.860372074414883004e-02,7.731533772656939973e-01,6.044267047227586120e-02,1.194714181297444000e+01
1.870374074814962900e-02,7.743439423104274688e-01,6.088678595352291223e-02,1.185960745033687758e+01
1.880376075215043144e-02,7.755258193686481727e-01,6.133119760887714711e-02,1.177341493907361425e+01
1.890378075615123041e-02,7.766991413781589859e-01,6.177589962531165185e-02,1.168854287752784771e+01
1.900380076015202938e-02,7.778640392885577404e-01,6.222088627514710257e-02,1.160497020261026080e+01
1.910382076415283181e-02,7.790206420612377780e-01,6.266615191605172386e-02,1.152267618872956589e+01
1.920384076815363078e-02,7.801690766693877288e-01,6.311169099104123326e-02,1.144164044673877001e+01
1.930386077215442975e-02,7.813094680979912887e-01,6.355749802847894536e-02,1.136184292289783571e+01
1.940388077615523219e-02,7.824419393438276638e-01,6.400356764207572324e-02,1.128326389785176076e+01
1.950390078015603115e-02,7.835666114154712369e-01,6.444989453088988129e-02,1.120588398562411214e+01
1.960392078415683012e-02,7.846836033332915683e-01,6.489647347932739341e-02,1.112968413262645839e+01
1.970394078815763256e-02,7.857930323205880585e-01,6.534329934925316163e-02,1.105464558823104682e+01
1.980396079215843153e-02,7.868950137027830305e-01,6.579036708497638941e-02,1.098074991901524911e+01
1.990398079615923049e-02,7.879896604988431141e-01,6.623767172987778118e-02,1.090797906856961319e+01
2.000400080016003293e-02,7.890770840733020153e-01,6.668520839869963857e-02,1.083631525938390183e+01
2.010402080416083190e-02,7.901573941563155845e-01,6.713297227670377010e-02,1.076574098903966714e+01
2.020404080816163087e-02,7.912306988436619282e-01,6.758095861967157447e-02,1.069623902940428195e+01
2.030406081216243330e-02,7.922971045967416304e-01,6.802916275390409606e-02,1.062779242583681949e+01
2.040408081616323227e-02,7.933567162425771979e-01,6.847758007622183063e-02,1.056038449640618992e+01
2.050410082016403124e-02,7.944096369738137264e-01,6.892620605396494737e-02,1.049399883112048570e+01
2.060412082416483368e-02,7.954559683487184563e-01,6.937503622499316402e-02,1.042861929116872588e+01
2.070414082816563264e-02,7.964958102911809945e-01,6.982406619768574685e-02,1.036423000817329410e+01
2.080416083216643508e-02,7.975292610907129820e-01,7.027329165094158003e-02,1.030081538345420711e+01
2.090418083616723405e-02,7.985564176367484501e-01,7.072270832445289035e-02,1.023836005257116710e+01
2.100420084016803302e-02,7.995773751298024257e-01,7.117231203151545837e-02,1.017684892762401816e+01
2.110422084416883545e-02,8.005922269208438635e-01,7.162209866525666435e-02,1.011626722024960401e+01
2.120424084816963442e-02,8.016010650223531764e-01,7.207206417683223454e-02,1.005660036508521316e+01
2.130426085217043339e-02,8.026039801112414551e-01,7.252220457530313136e-02,9.997834018730227257e+00
2.140428085617123583e-02,8.036010615288495806e-01,7.297251592763548400e-02,9.939954059150490906e+00
2.150430086017203479e-02,8.045923972809486679e-01,7.342299435870058844e-02,9.882946585090994773e+00
2.160432086417283376e-02,8.055780740377401772e-01,7.387363605127493515e-02,9.826797915497156310e+00
2.170434086817363620e-02,8.065581771338554695e-01,7.432443724604023694e-02,9.771494588945035531e+00
2.180436087217443517e-02,8.075327905683563623e-01,7.477539424158333170e-02,9.717023363079526632e+00
2.190438087617523413e-02,8.085019970047344628e-01,7.522650339439630740e-02,9.663371214061307057e+00
2.200440088017603657e-02,8.094658777709119457e-01,7.567776111887641877e-02,9.610525336021247256e+00
2.210442088417683554e-02,8.104245129371875356e-01,7.612916388404238066e-02,9.558473129007225566e+00
2.220444088817763451e-02,8.113779814677435365e-01,7.658070820757773012e-02,9.507202176173770169e+00
2.230446089217843694e-02,8.123263606057840036e-01,7.703239068188286187e-02,9.456700334128029795e+00
2.240448089617923591e-02,8.132697264328901943e-01,7.748420794988089555e-02,9.406955649645105666e+00
2.250450090018003488e-02,8.142081539462494577e-01,7.793615670172203413e-02,9.357956347800620023e+00
2.260452090418083732e-02,8.151417170586556793e-01,7.838823367478345294e-02,9.309690831531014510e+00
2.270454090818163628e-02,8.160704885985092805e-01,7.884043565366929962e-02,9.262147681200403326e+00
2.280456091218243525e-02,8.169945403098167747e-01,7.929275947021076354e-02,9.215315654173750204e+00
2.290458091618323769e-02,8.179139428521913224e-01,7.974520200346603416e-02,9.169183684395765255e+00
2.300460092018403666e-02,8.188287658008522873e-01,8.019776017972027327e-02,9.123740881976107886e+00
2.310462092418483562e-02,8.197390776466256801e-01,8.065043097248567050e-02,9.078976532780256292e+00
2.320464092818563806e-02,8.206449457959438254e-01,8.110321140250141558e-02,9.034880098026398798e+00
2.330466093218643703e-02,8.215464365708452510e-01,8.155609853773367057e-02,8.991441213887743089e+00
2.340468093618723600e-02,8.224436152989165194e-01,8.200908948956320277e-02,8.948649677862849927e+00
2.350470094018803843e-02,8.233365463944994911e-01,8.246218140973646249e-02,8.906495436532040344e+00
2.360472094418883740e-02,8.242252928364097730e-01,8.291537151256665739e-02,8.864968662050696224e+00
2.370474094818963637e-02,8.251099166795240469e-01,8.336865705273298344e-02,8.824059676372009164e+00
2.380476095219043881e-02,8.259904791044195838e-01,8.382203532315066208e-02,8.783758943610688874e+00
2.390478095619123777e-02,8.268670404173737998e-01,8.427550365497098184e-02,8.744057069723876197e+00
2.400480096019203674e-02,8.277396600503647006e-01,8.472905941758127057e-02,8.704944802196799003e+00
2.410482096419283918e-02,8.286083965610705482e-01,8.518270001860497875e-02,8.666413029732424889e+00
2.420484096819363815e-02,8.294733076328699717e-01,8.563642290390155454e-02,8.628452781945377126e+00
2.430486097219444058e-02,8.303344500748420787e-01,8.609022555756654094e-02,8.591055229059918474e+00
2.440488097619523955e-02,8.311918798217660109e-01,8.654410550193150642e-02,8.554211681612304830e+00
2.450490098019603852e-02,8.320456519341217216e-01,8.699806029756414205e-02,8.517913590156691583e+00
2.460492098419684096e-02,8.328958205980894203e-01,8.745208754326816436e-02,8.482152544975232189e+00
2.470494098819763992e-02,8.337424391273262625e-01,8.790618487600701525e-02,8.446920275531564215e+00
2.480496099219843889e-02,8.345855601957918868e-01,8.836034996104336070e-02,8.412208616064571487e+00
2.490498099619924133e-02,8.354252354012103865e-01,8.881458051101212559e-02,8.378009569428250813e+00
2.500500100020004030e-02,8.362615153786711053e-01,8.926887428065892471e-02,8.344315290052062295e+00
2.510502100420083926e-02,8.370944500637519381e-01,8.972322905543916871e-02,8.311118045072642957e+00
2.520504100820164170e-02,8.379240886925192200e-01,9.017764265151800851e-02,8.278410214102756015e+00
2.530506101220244067e-02,8.387504798015279484e-01,9.063211291577027984e-02,8.246184289002744805e+00
2.540508101620323964e-02,8.395736712278217828e-01,9.108663772578066975e-02,8.214432873655344025e+00
2.550510102020404207e-02,8.403937101089328232e-01,9.154121498984356398e-02,8.183148683743084462e+00
2.560512102420484104e-02,8.412106428828818316e-01,9.199584264696304692e-02,8.152324546528522120e+00
2.570514102820564001e-02,8.420245152881780104e-01,9.245051866685302655e-02,8.121953400637380582e+00
2.580516103220644245e-02,8.428353723638194461e-01,9.290524104993715115e-02,8.092028295844375663e+00
2.590518103620724141e-02,8.436432584492924436e-01,9.336000782734876768e-02,8.062542392861562490e+00
2.600520104020804038e-02,8.444482171845719698e-01,9.381481706093100503e-02,8.033488963129578053e+00
2.610522104420884282e-02,8.452502915101218761e-01,9.426966684323674628e-02,8.004861388611175244e+00
2.620524104820964179e-02,8.460495238345191460e-01,9.472455529036145905e-02,7.976653137103451030e+00
2.630526105221044075e-02,8.468459557945559046e-01,9.517948055261447882e-02,7.948857797175978845e+00
2.640528105621124319e-02,8.476396281472884375e-01,9.563444081891170345e-02,7.921469093675934658e+00
2.650530106021204216e-02,8.484305810938719272e-01,9.608943430265953767e-02,7.894480840185025272e+00
2.660532106421284113e-02,8.492188542805079177e-01,9.654445924171405069e-02,7.867886938715269451e+00
2.670534106821364356e-02,8.500044867984439811e-01,9.699951389838093463e-02,7.841681379545466513e+00
2.680536107221444253e-02,8.507875171839740513e-01,9.745459655941537958e-02,7.815858241059441269e+00
2.690538107621524150e-02,8.515679834184386454e-01,9.790970553602229565e-02,7.790411689586136390e+00
2.700540108021604394e-02,8.523459229282241978e-01,9.836483916385614645e-02,7.765335979241889675e+00
2.710542108421684290e-02,8.531213725847633933e-01,9.881999580302097685e-02,7.740625451774114651e+00
2.720544108821764534e-02,8.538943687045356112e-01,9.927517383807046847e-02,7.716274536407166096e+00
2.730546109221844431e-02,8.546649470490660372e-01,9.973037167800787028e-02,7.692277749689591104e+00
2.740548109621924328e-02,8.554331428249263292e-01,1.001855877562860819e-01,7.668629695343582853e+00
2.750550110022004571e-02,8.561989906837345066e-01,1.006408205308075843e-01,7.645325064115677804e+00
2.760552110422084468e-02,8.569625247244804234e-01,1.010960684838234785e-01,7.622358633290655661e+00
2.770554110822164365e-02,8.577237786856937163e-01,1.015513301136909408e-01,7.599725238584245091e+00
2.780556111222244609e-02,8.584827855671451902e-01,1.020066039515127587e-01,7.577419829141405216e+00
2.790558111622324505e-02,8.592395777326220507e-01,1.024618885564098636e-01,7.555437452354514249e+00
2.800560112022404402e-02,8.599941871097313006e-01,1.029171825067824037e-01,7.533773224625885945e+00
2.810562112422484646e-02,8.607466451898996285e-01,1.033724844003096749e-01,7.512422331250636631e+00
2.820564112822564543e-02,8.614969830283732977e-01,1.038277928539500933e-01,7.491380026300333839e+00
2.830566113222644439e-02,8.622452312442185907e-01,1.042831065039413058e-01,7.470641632508385754e+00
2.840568113622724683e-02,8.629914200203213648e-01,1.047384240058000793e-01,7.450202541156212277e+00
2.850570114022804580e-02,8.637355791033872743e-01,1.051937440343223285e-01,7.430058211960872683e+00
2.860572114422884477e-02,8.644777378039416593e-01,1.056490652835831850e-01,7.410204172963865688e+00
2.870574114822964720e-02,8.652179249963297680e-01,1.061043864669369147e-01,7.390636020420942032e+00
2.880576115223044617e-02,8.659561691187163124e-01,1.065597063170169168e-01,7.371349418693196043e+00
2.890578115623124514e-02,8.666924981730861344e-01,1.070150235857358079e-01,7.352340100139098666e+00
2.900580116023204758e-02,8.674269397252434288e-01,1.074703370442853662e-01,7.333603865007845002e+00
