t,V,P_pol,dV_dt,dV_dt_noisy
4.200840168033606603e-02,9.364748157681273000e+00,7.886164234657194738e-01,-1.463963122004973627e+01,-1.457839887167294890e+01
4.260852170434086678e-02,9.355966648757096493e+00,7.972212938005645011e-01,-1.462621331222654497e+01,-1.464108965444506794e+01
4.320864172834566752e-02,9.347193187777948609e+00,8.057651801835681304e-01,-1.461281009951039422e+01,-1.465335082867227356e+01
4.380876175235046827e-02,9.338427765933783320e+00,8.142485695755153907e-01,-1.459942155098560335e+01,-1.456180935962662382e+01
4.440888177635526901e-02,9.329670374433058910e+00,8.226719444436556561e-01,-1.458604763588184383e+01,-1.457337531007143738e+01
4.500900180036006976e-02,9.320921004502743301e+00,8.310357827617026460e-01,-1.457268832357518562e+01,-1.452789417003630845e+01
4.560912182436487050e-02,9.312179647388305170e+00,8.393405580098343144e-01,-1.455934358358915759e+01,-1.457660436909172219e+01
4.620924184836967125e-02,9.303446294353722834e+00,8.475867391746928492e-01,-1.454601338559580626e+01,-1.462010429928191613e+01
4.680936187237447199e-02,9.294720936681482470e+00,8.557747907493850059e-01,-1.453269769941675804e+01,-1.453819823765232044e+01
4.740948189637927274e-02,9.286003565670965187e+00,8.639051736013380056e-01,-1.451939649498289953e+01,-1.454168790263346089e+01
4.800960192038407348e-02,9.277294172639289016e+00,8.719783448141055215e-01,-1.450610974234352746e+01,-1.446734355124114835e+01
4.860972194438888117e-02,9.268592748924277203e+00,8.799947559908465333e-01,-1.449283741174808782e+01,-1.448315576932922966e+01
4.920984196839368191e-02,9.259899285881077802e+00,8.879548548550337816e-01,-1.447957947357029873e+01,-1.456112193519205356e+01
4.980996199239848266e-02,9.251213774882105056e+00,8.958590852778408609e-01,-1.446633589830771527e+01,-1.452609405231287454e+01
5.041008201640328340e-02,9.242536207317041175e+00,9.037078872781417749e-01,-1.445310665658260696e+01,-1.440891720475324433e+01
5.101020204040808415e-02,9.233866574592841658e+00,9.115016970225111592e-01,-1.443989171914287262e+01,-1.440590346827197976e+01
5.161032206441288489e-02,9.225204868133724645e+00,9.192409468252239479e-01,-1.442669105686289654e+01,-1.445870322515832029e+01
5.221044208841768564e-02,9.216551079381179790e+00,9.269260651482557067e-01,-1.441350464074447224e+01,-1.441355708057283636e+01
5.281056211242248638e-02,9.207905199793966489e+00,9.345574766012824108e-01,-1.440033244191769413e+01,-1.437805376422888415e+01
5.341068213642728713e-02,9.199267220848110327e+00,9.421356019416805561e-01,-1.438717443164186349e+01,-1.436375421484950010e+01
5.401080216043208787e-02,9.190637134036904854e+00,9.496608580745271588e-01,-1.437403058130638911e+01,-1.433021847150067174e+01
5.461092218443688862e-02,9.182014930870918690e+00,9.571336580525997562e-01,-1.436090086243172692e+01,-1.434807658107064832e+01
5.521104220844168936e-02,9.173400602877977761e+00,9.645544110763761836e-01,-1.434778524667026289e+01,-1.435252666361868812e+01
5.581116223244649011e-02,9.164794141603188393e+00,9.719235224940351303e-01,-1.433468370580727225e+01,-1.434762610904666502e+01
5.641128225645129085e-02,9.156195538608766782e+00,9.792413938748042446e-01,-1.432159621175821229e+01,-1.426880907173154966e+01
5.701140228045609160e-02,9.147604785471200373e+00,9.865084245350134173e-01,-1.430852273649523809e+01,-1.442106545024916464e+01
5.761152230446089234e-02,9.139021873786472128e+00,9.937250091567607635e-01,-1.429546325216503888e+01,-1.430239601841960528e+01
5.821164232846569309e-02,9.130446795168261076e+00,1.000891538406239345e+00,-1.428241773105885670e+01,-1.428076772585965415e+01
5.881176235247049383e-02,9.121879541246343592e+00,1.008008399672489119e+00,-1.426938614557697349e+01,-1.434065359362048220e+01
5.941188237647529458e-02,9.113320103666595173e+00,1.015075977067396940e+00,-1.425636846822946424e+01,-1.423972778757256208e+01
6.001200240048009532e-02,9.104768474090983332e+00,1.022094651425696332e+00,-1.424336467163695552e+01,-1.427592872225912579e+01
6.061212242448489607e-02,9.096224644197576481e+00,1.029064800304967831e+00,-1.423037472853140173e+01,-1.418725248871561462e+01
6.121224244848969681e-02,9.087688605680538600e+00,1.035986797985638530e+00,-1.421739861175682762e+01,-1.422367821595854309e+01
6.181236247249449756e-02,9.079160350250129241e+00,1.042861015470982311e+00,-1.420443629427012056e+01,-1.417097863223064813e+01
6.241248249649929830e-02,9.070639869632707075e+00,1.049687820487120060e+00,-1.419148774914180144e+01,-1.413054556888324065e+01
6.301260252050409905e-02,9.062127155570726345e+00,1.056467577483019671e+00,-1.417855294955679035e+01,-1.415940647042111600e+01
6.361272254450890673e-02,9.053622199822738636e+00,1.063200647630495377e+00,-1.416563186881520053e+01,-1.420941792598634201e+01
6.421284256851370054e-02,9.045124994163394661e+00,1.069887388824208418e+00,-1.415272448033312536e+01,-1.422844041191835807e+01
6.481296259251850822e-02,9.036635530383435366e+00,1.076528155681666821e+00,-1.413983075764340569e+01,-1.405216155176758619e+01
6.541308261652330203e-02,9.028153800289706155e+00,1.083123299543225393e+00,-1.412695067439645946e+01,-1.413251528405583457e+01
6.601320264052810971e-02,9.019679795705146219e+00,1.089673168472085951e+00,-1.411408420436104194e+01,-1.414851245174275718e+01
6.661332266453290352e-02,9.011213508467777800e+00,1.096178107734707252e+00,-1.410123132140094526e+01,-1.409401846699790362e+01
6.721344268853771120e-02,9.002754930429343716e+00,1.102638460659520980e+00,-1.408839199943313325e+01,-1.409796256595726582e+01
6.781356271254250501e-02,8.994304053460972170e+00,1.109054565980906348e+00,-1.407556621256188834e+01,-1.403295909935125430e+01
6.841368273654731269e-02,8.985860869449185273e+00,1.115426759489126285e+00,-1.406275393499614523e+01,-1.406105752587428981e+01
6.901380276055210650e-02,8.977425370295499363e+00,1.121755374207484834e+00,-1.404995514104120247e+01,-1.404926766186028075e+01
6.961392278455691418e-02,8.968997547916421453e+00,1.128040740392329599e+00,-1.403716980509937429e+01,-1.407289879115102238e+01
7.021404280856170799e-02,8.960577394243458116e+00,1.134283185533049298e+00,-1.402439790167064260e+01,-1.400091949673326752e+01
7.081416283256651567e-02,8.952164901223108373e+00,1.140483034352076430e+00,-1.401163940535329999e+01,-1.406333274147104895e+01
7.141428285657130948e-02,8.943760060816865476e+00,1.146640608804884387e+00,-1.399889429084461412e+01,-1.396559981885641655e+01
7.201440288057611716e-02,8.935362865001215127e+00,1.152756228079989897e+00,-1.398616253294146361e+01,-1.390996565729195744e+01
7.261452290458091097e-02,8.926973305767644362e+00,1.158830208598951472e+00,-1.397344410654103442e+01,-1.404967840844599181e+01
7.321464292858571865e-02,8.918591375122625564e+00,1.164862864016370514e+00,-1.396073898664144686e+01,-1.408405044820901253e+01
7.381476295259051246e-02,8.910217065087632449e+00,1.170854505219890207e+00,-1.394804714834244841e+01,-1.391720321058473253e+01
7.441488297659532014e-02,8.901850367699132960e+00,1.176805440330196628e+00,-1.393536856684607272e+01,-1.380797367607191717e+01
7.501500300060011395e-02,8.893491275008583941e+00,1.182715974701017414e+00,-1.392270321745730932e+01,-1.397274945990090345e+01
7.561512302460492163e-02,8.885139779082441791e+00,1.188586410919123759e+00,-1.391005107558479104e+01,-1.397258586352489118e+01
7.621524304860971544e-02,8.876795872002157139e+00,1.194417048804327974e+00,-1.389741211674146371e+01,-1.386796367005243980e+01
7.681536307261452312e-02,8.868459545864174842e+00,1.200208185409485484e+00,-1.388478631654528428e+01,-1.392682239604820005e+01
7.741548309661933081e-02,8.860130792777432873e+00,1.205960116156045148e+00,-1.387217365066131691e+01,-1.389747492485815350e+01
7.801560312062412461e-02,8.851809604866026859e+00,1.211673133919417777e+00,-1.385957409485025948e+01,-1.387697996818444857e+01
7.861572314462893230e-02,8.843495974271384341e+00,1.217347527888003489e+00,-1.384698762502752345e+01,-1.382038752071293430e+01
7.921584316863372610e-02,8.835189893148900353e+00,1.222983584930045886e+00,-1.383441421719297182e+01,-1.385467933526262740e+01
7.981596319263853379e-02,8.826891353667928541e+00,1.228581589594908374e+00,-1.382185384743137391e+01,-1.380795970542736661e+01
8.041608321664332759e-02,8.818600348011791823e+00,1.234141824113073937e+00,-1.380930649191297910e+01,-1.381813315485765870e+01
8.101620324064813528e-02,8.810316868377768174e+00,1.239664568396145583e+00,-1.379677212689403376e+01,-1.383900568207661408e+01
8.161632326465292908e-02,8.802040906977101287e+00,1.245150100036845675e+00,-1.378425072871735324e+01,-1.380024204160451440e+01
8.221644328865773677e-02,8.793772456034997020e+00,1.250598694309016601e+00,-1.377174227381287608e+01,-1.381926225707127287e+01
8.281656331266253057e-02,8.785511507790619845e+00,1.256010624167620549e+00,-1.375924673869820580e+01,-1.375892098940471797e+01
8.341668333666733826e-02,8.777258054497103501e+00,1.261386160248739285e+00,-1.374676409997919535e+01,-1.380295741135747711e+01
8.401680336067213206e-02,8.769012088421535012e+00,1.266725570869574380e+00,-1.373429433435047997e+01,-1.378893905281524290e+01
8.461692338467693975e-02,8.760773601844972447e+00,1.272029122028447423e+00,-1.372183741859607053e+01,-1.364898932783080809e+01
8.521704340868173355e-02,8.752542587062428936e+00,1.277297077404799142e+00,-1.370939332958989887e+01,-1.371205254060516587e+01
8.581716343268654124e-02,8.744319036382885102e+00,1.282529698359190728e+00,-1.369696204429640218e+01,-1.369965714557000425e+01
8.641728345669133504e-02,8.736102942129280180e+00,1.287727243933302512e+00,-1.368454353977108795e+01,-1.365896671877520774e+01
8.701740348069614273e-02,8.727894296638517346e+00,1.292889970849935066e+00,-1.367213779316111655e+01,-1.369318064328856011e+01
8.761752350470093653e-02,8.719693092261461942e+00,1.298018133513008321e+00,-1.365974478170587503e+01,-1.367117155007978369e+01
8.821764352870574422e-02,8.711499321362781600e+00,1.303111984071245955e+00,-1.364736448273416869e+01,-1.362610704596757394e+01
8.881776355271053802e-02,8.703312976317558736e+00,1.308171773897886192e+00,-1.363499687358632073e+01,-1.362087608147410123e+01
8.941788357671534571e-02,8.695134049517424302e+00,1.313197751260263280e+00,-1.362264193173913895e+01,-1.368060676808576126e+01
9.001800360072013951e-02,8.686962533368927097e+00,1.318190161764108970e+00,-1.361029963478223159e+01,-1.356863250494874862e+01
9.061812362472494720e-02,8.678798420291604643e+00,1.323149249086156942e+00,-1.359796996037935912e+01,-1.362749170754381112e+01
9.121824364872974100e-02,8.670641702718000943e+00,1.328075254974139696e+00,-1.358565288626891565e+01,-1.363845683378462503e+01
9.181836367273454869e-02,8.662492373093654052e+00,1.332968419246791214e+00,-1.357334839026438189e+01,-1.361837214376433458e+01
9.241848369673934249e-02,8.654350423877104959e+00,1.337828979793845185e+00,-1.356105645025477813e+01,-1.358058371747254434e+01
9.301860372074415018e-02,8.646215847539888699e+00,1.342657172576036340e+00,-1.354877704420513140e+01,-1.346741203147397847e+01
9.361872374474894398e-02,8.638088636566545020e+00,1.347453231625098891e+00,-1.353651015015695691e+01,-1.359528694540299654e+01
9.421884376875375167e-02,8.629968783454605941e+00,1.352217389043768314e+00,-1.352425574622869675e+01,-1.351625195160197990e+01
9.481896379275854547e-02,8.621856280714609966e+00,1.356949875005779571e+00,-1.351201381061622087e+01,-1.361890502852075002e+01
9.541908381676335316e-02,8.613751120870087874e+00,1.361650917755869106e+00,-1.349978432159328179e+01,-1.349986266825054138e+01
9.601920384076814696e-02,8.605653296457573376e+00,1.366320743609772403e+00,-1.348756725751199426e+01,-1.344258893663819343e+01
9.661932386477295465e-02,8.597562800026596008e+00,1.370959576954226655e+00,-1.347536259680330772e+01,-1.348719576290637967e+01
9.721944388877776233e-02,8.589479624139688241e+00,1.375567640246968315e+00,-1.346317031797750552e+01,-1.349463806417167255e+01
9.781956391278255614e-02,8.581403761372380146e+00,1.380145154016734654e+00,-1.345099039962466136e+01,-1.343941484642173378e+01
9.841968393678736382e-02,8.573335204313195845e+00,1.384692336863263540e+00,-1.343882282041513498e+01,-1.340381523285760323e+01
9.901980396079215763e-02,8.565273945563665947e+00,1.389209405457292767e+00,-1.342666755910006415e+01,-1.339348468054919294e+01
9.961992398479696531e-02,8.557219977738315109e+00,1.393696574540561173e+00,-1.341452459451184076e+01,-1.331590090181535047e+01
1.002200440088017591e-01,8.549173293464262358e+00,1.398154057078973445e+00,-1.340239390555620602e+01,-1.339193553193939223e+01
1.008201640328065668e-01,8.541133885377895751e+00,1.402582065638421582e+00,-1.339027547113753869e+01,-1.341989597612518459e+01
1.014202840568113606e-01,8.533101746132093268e+00,1.406980809771146479e+00,-1.337816927030307568e+01,-1.338446822980240825e+01
1.020204040808161683e-01,8.525076868393176355e+00,1.411350496955913192e+00,-1.336607528219118635e+01,-1.336970020947217641e+01
1.026205241048209621e-01,8.517059244839568777e+00,1.415691333078743286e+00,-1.335399348600527603e+01,-1.334855661683137029e+01
1.032206441288257698e-01,8.509048868161794843e+00,1.420003522432916387e+00,-1.334192386101417682e+01,-1.334342525167564908e+01
1.038207641528305636e-01,8.501045731062484734e+00,1.424287267718968852e+00,-1.332986638655253131e+01,-1.332116808960772047e+01
1.044208841768353713e-01,8.493049826256369172e+00,1.428542770044693988e+00,-1.331782104202118333e+01,-1.340136354505193950e+01
1.050210042008401651e-01,8.485061146470277649e+00,1.432770228925142719e+00,-1.330578780688754570e+01,-1.326430635908554301e+01
1.056211242248449728e-01,8.477079684443150853e+00,1.436969842282622700e+00,-1.329376666068601409e+01,-1.332250362413206624e+01
1.062212442488497666e-01,8.469105432926021138e+00,1.441141806446699203e+00,-1.328175758301833298e+01,-1.334041551784068425e+01
1.068213642728545743e-01,8.461138384682032054e+00,1.445286316154194228e+00,-1.326976055355401662e+01,-1.323787299557194430e+01
1.074214842968593681e-01,8.453178532486424146e+00,1.449403564549186951e+00,-1.325777555203071856e+01,-1.319190925166141426e+01
1.080216043208641757e-01,8.445225869126542051e+00,1.453493743183014386e+00,-1.324580255825463482e+01,-1.322115115077966330e+01
1.086217243448689695e-01,8.437280387401834503e+00,1.457557042014269610e+00,-1.323384155210092139e+01,-1.322578358640864593e+01
1.092218443688737772e-01,8.429342080123847225e+00,1.461593649408803763e+00,-1.322189251351406014e+01,-1.326850352878265760e+01
1.098219643928785710e-01,8.421410940116235366e+00,1.465603752139724936e+00,-1.320995542250829402e+01,-1.306637705561761820e+01
1.104220844168833787e-01,8.413486960214751065e+00,1.469587535387397947e+00,-1.319803025916801076e+01,-1.315401732813493574e+01
1.110222044408881725e-01,8.405570133267250554e+00,1.473545182739445236e+00,-1.318611700364815320e+01,-1.324308173716530135e+01
1.116223244648929802e-01,8.397660452133692388e+00,1.477476876190746413e+00,-1.317421563617464031e+01,-1.321319753198662816e+01
1.122224444888977740e-01,8.389757909686137438e+00,1.481382796143438041e+00,-1.316232613704475263e+01,-1.315797717461615690e+01
1.128225645129025817e-01,8.381862498808446915e+00,1.485263121511892992e+00,-1.315044848662160959e+01,-1.322818504322140853e+01
1.134226845369073755e-01,8.373974212392628402e+00,1.489118031086288152e+00,-1.313858266525745933e+01,-1.313015114490693414e+01
1.140228045609121832e-01,8.366093043346161551e+00,1.492947701118044757e+00,-1.312672865343148132e+01,-1.314968223121711866e+01
1.146229245849169770e-01,8.358218984589452560e+00,1.496752306006285504e+00,-1.311488643171060353e+01,-1.305357290169479256e+01
1.152230446089217847e-01,8.350352029054182168e+00,1.500532018844928261e+00,-1.310305598071870214e+01,-1.305494824753728977e+01
1.158231646329265924e-01,8.342492169683294989e+00,1.504287011422684506e+00,-1.309123728113689111e+01,-1.322680155300862914e+01
1.164232846569313862e-01,8.334639399431006623e+00,1.508017454223060883e+00,-1.307943031370386322e+01,-1.307734518440249794e+01
1.170234046809361939e-01,8.326793711262803654e+00,1.511723516424358538e+00,-1.306763505921619029e+01,-1.314850843419237414e+01
1.176235247049409877e-01,8.318955098155438321e+00,1.515405365899672896e+00,-1.305585149852866067e+01,-1.300036959856623398e+01
1.182236447289457953e-01,8.311123553096935623e+00,1.519063169216893883e+00,-1.304407961255459014e+01,-1.303567431909819874e+01
1.188237647529505892e-01,8.303299069086587991e+00,1.522697091638705924e+00,-1.303231938226614872e+01,-1.300489910965679918e+01
1.194238847769553968e-01,8.295481639134955287e+00,1.526307297122588169e+00,-1.302057078869468398e+01,-1.307382702513484851e+01
1.200240048009601906e-01,8.287671256263866582e+00,1.529893948320813823e+00,-1.300883381293104435e+01,-1.291741230103126981e+01
1.206241248249649983e-01,8.279867913506425481e+00,1.533457206580451260e+00,-1.299710843612593081e+01,-1.289610476776840819e+01
1.212242448489697921e-01,8.272071603906997694e+00,1.536997231943362685e+00,-1.298539463949019179e+01,-1.303863319162150169e+01
1.218243648729745998e-01,8.264282320521221692e+00,1.540514183146205252e+00,-1.297369240429517845e+01,-1.295505164820186295e+01
1.224244848969793936e-01,8.256500056416003375e+00,1.544008217620430390e+00,-1.296200171187307504e+01,-1.299566683329258510e+01
1.230246049209842013e-01,8.248724804669519628e+00,1.547479491492284032e+00,-1.295032254361722401e+01,-1.295150104046026129e+01
1.236247249449889951e-01,8.240956558371216545e+00,1.550928159582806609e+00,-1.293865488098247596e+01,-1.300193672994370431e+01
1.242248449689938028e-01,8.233195310621807650e+00,1.554354375407833500e+00,-1.292699870548551644e+01,-1.283364142975648470e+01
1.248249649929985966e-01,8.225441054533275675e+00,1.557758291177993915e+00,-1.291535399870520529e+01,-1.296381297425933887e+01
1.254250850170033904e-01,8.217693783228872562e+00,1.561140057798711789e+00,-1.290372074228292831e+01,-1.291852493303280269e+01
1.260252050410081981e-01,8.209953489843119456e+00,1.564499824870205780e+00,-1.289209891792293128e+01,-1.286702477136740441e+01
1.266253250650130058e-01,8.202220167518650129e+00,1.567837741719763978e+00,-1.288048850733206407e+01,-1.291286654125287114e+01
1.272254450890178135e-01,8.194493809409802765e+00,1.571153956441414978e+00,-1.286888949227716239e+01,-1.288085511376377745e+01
1.278255651130225934e-01,8.186774408685170812e+00,1.574448614951795999e+00,-1.285730185464043984e+01,-1.288548384696178850e+01
1.284256851370274011e-01,8.179061958523842435e+00,1.577721862106067130e+00,-1.284572557635387469e+01,-1.285239861409568896e+01
1.290258051610322088e-01,8.171356452115404068e+00,1.580973841698001259e+00,-1.283416063939948515e+01,-1.289268777115450071e+01
1.296259251850370164e-01,8.163657882659933307e+00,1.584204696459984074e+00,-1.282260702580956746e+01,-1.284450642958968203e+01
1.302260452090417964e-01,8.155966243368007795e+00,1.587414568063015174e+00,-1.281106471766697652e+01,-1.282140936390258901e+01
1.308261652330466041e-01,8.148281527460694562e+00,1.590603597116706958e+00,-1.279953369710537281e+01,-1.281621999729557970e+01
1.314262852570514117e-01,8.140603728169562459e+00,1.593771923169285509e+00,-1.278801394630950661e+01,-1.278517944856481670e+01
1.320264052810562194e-01,8.132932838736669723e+00,1.596919684707589937e+00,-1.277650544751546136e+01,-1.279116055848329658e+01
1.326265253050609993e-01,8.125268852414574638e+00,1.600047019157071926e+00,-1.276500818301094142e+01,-1.272734761258897151e+01
1.332266453290658070e-01,8.117611762466324876e+00,1.603154062881797959e+00,-1.275352213513552613e+01,-1.276968193142481844e+01
1.338267653530706147e-01,8.109961562165469928e+00,1.606240951184445986e+00,-1.274204728628094685e+01,-1.274887976609574025e+01
1.344268853770754224e-01,8.102318244796048674e+00,1.609307818306308535e+00,-1.273058361889135170e+01,-1.276382268569114409e+01
