C,Na,R,R_noisy
6.727058092199699502e+01,1.466027147797258294e+02,2.918131661481578654e+00,2.908304664696356845e+00
4.100492258095999887e+01,8.771118191192981328e+01,4.653210309589737470e+00,4.662758612336682873e+00
4.111566631508937775e+01,1.158684629884914159e+02,4.654286001759303737e+00,4.657844625464852228e+00
6.036590151232314128e+01,8.965376515190799012e+01,3.276342345885074891e+00,3.225713180053643381e+00
1.225980184490404667e+01,1.560431231433365724e+02,8.751305595355177047e+00,8.810680402533758837e+00
6.566032416998251620e+01,1.147912957023230973e+02,3.010061700756481606e+00,3.099178396184714579e+00
5.482130902725894117e+01,9.760626544806267191e+01,3.573533389039285524e+00,3.605618219495942078e+00
6.307420685360668244e+01,1.470102833378054470e+02,3.099786745129579302e+00,3.017963722390548664e+00
1.573349259210075068e+01,8.697729276769831586e+01,7.908434708164104876e+00,7.981599936542648877e+00
6.428795081019512736e+01,9.232695589167109063e+01,3.091839440390996341e+00,3.041695438544290919e+00
1.571025212154742157e+01,1.343063949399629564e+02,8.273648629580604208e+00,8.361564691409402172e+00
6.983433080399260362e+00,1.205938658311059442e+02,8.132479204247694327e+00,8.025300462559949111e+00
6.849054445582207507e+01,1.013835733017264715e+02,2.911023228304598476e+00,3.002469948617476625e+00
6.897203794612464378e+01,1.261023815409743065e+02,2.867783650761460024e+00,2.865777305299912037e+00
7.018469916511814688e+01,9.659069390492253149e+01,2.854490019902416797e+00,2.729615130868975115e+00
3.801682268902382589e+01,1.047388488717878090e+02,4.978433994474118052e+00,4.947044047277433521e+00
2.228684689479060310e+01,1.288848491312715794e+02,7.248783661834134584e+00,7.254193889711288534e+00
1.063800373951717670e+00,1.506345723832142767e+02,3.645972175022394346e+00,3.673251308938839887e+00
5.183481119820834948e+01,1.362542618219128485e+02,3.747011558081235094e+00,3.648792745587137176e+00
5.773279598894109910e+01,1.314582227313783847e+02,3.382064502900885117e+00,3.271327198184365681e+00
6.692775271177180230e+01,1.397317709657348814e+02,2.936951754590823249e+00,2.956910207875531160e+00
2.290928727548110189e+01,1.102700624505507108e+02,7.084496003345940984e+00,7.037821041657960741e+00
1.760984428945640090e+01,1.584782448163098536e+02,8.100730298844485588e+00,8.124280860017508488e+00
5.132684471529373127e+01,1.289008144006347152e+02,3.785447192430174468e+00,3.861399144678012263e+00
6.450185923502827734e+01,1.006049020409284651e+02,3.073498034353320918e+00,2.908619297718225916e+00
7.711183439117517935e+01,8.287721982798835541e+01,2.653993347802260594e+00,2.679432159454022244e+00
1.246672401848361034e+01,8.894044682367136545e+01,8.148285993642847558e+00,8.270750690396420524e+00
3.883588486184725497e+01,9.588073212918325794e+01,4.882077275538886596e+00,4.852324591101838891e+00
7.162991104459578651e+01,1.387498111208139449e+02,2.760606538686038114e+00,2.679525080362281209e+00
3.410599410216226346e+01,1.451616931578091680e+02,5.480314683072553095e+00,5.555539065790512154e+00
4.736541393568182201e+01,1.540362276039020344e+02,4.079742222455907452e+00,4.105086874076721237e+00
2.447008860722374557e+00,1.314328188142055183e+02,5.546287532772128159e+00,5.635875839849884272e+00
5.404006102865864136e+01,1.037821591980408584e+02,3.617730134768527783e+00,3.583208563763399912e+00
7.356754526088889179e+01,1.471095271474790707e+02,2.688520339048809937e+00,2.540338511676588862e+00
6.623261369975932666e+01,1.562776135907040782e+02,2.954431827657394205e+00,2.943430751186268957e+00
7.089886120344077369e+01,1.357523072030066658e+02,2.788809204342919568e+00,2.744226389041796388e+00
5.299825275138160663e+01,8.578864319766454116e+01,3.694485746697207418e+00,3.772018128901964751e+00
2.002140524583261794e+01,1.128785581425575515e+02,7.546020587362954224e+00,7.565383872200669657e+00
6.159710141225222202e+01,9.991549038466385468e+01,3.206363788673852078e+00,3.043278865430341984e+00
1.732814203729708424e+01,1.551408409508777027e+02,8.133203332014353748e+00,8.013687024004033432e+00
6.658634935582466596e+01,1.448898712900856935e+02,2.947234354523316835e+00,3.035613258182042529e+00
5.486074844376076065e+00,8.559416897041701588e+01,6.912917914406150999e+00,6.980894416147935821e+00
6.612628116478768447e+01,1.287545544257488928e+02,2.978447946782495137e+00,2.914423610191646308e+00
1.357832768469105389e+01,1.588118066493742333e+02,8.647077727365712008e+00,8.646972847708983778e+00
3.032418622148302845e+01,1.219044901615840217e+02,5.978836180193580319e+00,6.023393535571198498e+00
2.568068424127866223e+01,1.511553075413345368e+02,6.740641267175865536e+00,6.787481700760593206e+00
5.546129430458042719e+01,1.449864541770095059e+02,3.507276300770842070e+00,3.594900520382277254e+00
1.469646431486256866e+01,1.177229919092799832e+02,8.289604171805114774e+00,8.315252734527270206e+00
3.200236489625042680e+01,1.153606717113771793e+02,5.734237996413810379e+00,5.724755162516960816e+00
9.630553110844851661e-01,9.293209502015017165e+01,2.429804443254754087e+00,2.403919636775969426e+00
2.136832966363306952e+01,1.083575656090674926e+02,7.317131820209377580e+00,7.422706100262702833e+00
3.398451073120194366e+01,9.530933405263863278e+01,5.444584010823123599e+00,5.219498583315269613e+00
8.920738318232293906e+00,1.476566067081421920e+02,8.727883849178319053e+00,8.714018316669184472e+00
5.083621570990634098e+01,1.282722616954577006e+02,3.820504626946894522e+00,3.823804637345300517e+00
3.074372945597932016e+01,1.548993817078774669e+02,5.955483495900504742e+00,5.812948599813485551e+00
5.816086807706098938e+01,1.128283374020099927e+02,3.370858031746340799e+00,3.404139393060145569e+00
5.248234787993735040e+01,1.361367456702826360e+02,3.702717451154096562e+00,3.637589349909757352e+00
3.478252652780378895e+01,1.466520148823430816e+02,5.393045165196185486e+00,5.479289644827760597e+00
6.945198019855483551e+01,8.103018242848202135e+01,2.902365022989003229e+00,2.889805814585570509e+00
5.075474184126328225e+01,1.058283154832073762e+02,3.835388082530351461e+00,3.902303406609296754e+00
6.491681099245077746e+01,1.148983833402631660e+02,3.041587857354342894e+00,3.163472217871465375e+00
2.767268055323898324e+01,1.542882755219665114e+02,6.423812182691938766e+00,6.462105140963285699e+00
4.372170852864222468e+01,1.496391085434779029e+02,4.401654968904955112e+00,4.314082854562670377e+00
1.610560236662289668e+01,8.676065941990256647e+01,7.868782965543665853e+00,7.717351102373202210e+00
7.969322461443091754e+01,1.564367293612813796e+02,2.498516441265199006e+00,2.673854853016836230e+00
1.983562941235300769e+01,1.301523047134527360e+02,7.649274405072045369e+00,7.638145185753293376e+00
2.092096364455466784e+01,8.575468592603340312e+01,7.250298509922326495e+00,7.181442015158894243e+00
6.318610755081794927e+00,1.352097799062115087e+02,8.142756400057880484e+00,8.157182108863963776e+00
2.099534796024055794e+01,1.484290104025885171e+02,7.518084557926095535e+00,7.498943424877830388e+00
6.116871833725222984e+01,1.007084226565108196e+02,3.226249163183368296e+00,3.311463389604637264e+00
5.598253886930496748e+01,1.058129245788657045e+02,3.498792366392121878e+00,3.502185184635831838e+00
1.072952037921496959e+01,1.022154151975522751e+02,8.333912644663973524e+00,8.335287603025815173e+00
3.041096086353349293e+01,1.362005918042754047e+02,5.985337510510468917e+00,5.913879538407172731e+00
3.396325087208830240e+01,1.374623336780815066e+02,5.493941624132580692e+00,5.540898434007329953e+00
5.336624758577588068e+01,1.419479384513172704e+02,3.641271984285722851e+00,3.537885312050224496e+00
3.674635256197803557e+01,1.536832905128673872e+02,5.150453064661419944e+00,5.217042008637816863e+00
4.712820698262974872e+01,9.454625988711701723e+01,4.111175465708932109e+00,4.263569217007945333e+00
6.725492598691091928e+01,1.366598345404366910e+02,2.926030644217522347e+00,2.773562040407607121e+00
5.825465201983345054e+01,1.316562391450635232e+02,3.353078548513821033e+00,3.106455625378689245e+00
2.951807744893043761e+01,1.010096865853625587e+02,6.053930600038027521e+00,6.115618475553459277e+00
3.614750659288650070e+01,1.580246785220743959e+02,5.225384992465306411e+00,5.480174774013619299e+00
2.973211579035552532e+01,1.181568180134878503e+02,6.058379091578210307e+00,5.958286606691021170e+00
9.223905788532389849e+00,1.559061980553774447e+02,8.811268129596914633e+00,8.686198553716716120e+00
1.665770275494802988e+01,1.577419034482929874e+02,8.243620728487236704e+00,8.302517621865284525e+00
2.306261587105841926e+01,1.520038476670904402e+02,7.178516602492983623e+00,7.094444443487152974e+00
2.547364470038302642e+01,1.167588287984074498e+02,6.701548800134508710e+00,6.650946251740834647e+00
2.538730477618504722e+01,1.023821432118017611e+02,6.669846156455973230e+00,6.635034409787595067e+00
4.634762744210968322e+01,1.268609551484287863e+02,4.170077025020160200e+00,4.223277233649340268e+00
7.774935306177049199e+01,1.159628666362111034e+02,2.589837621068141083e+00,2.549307384928829023e+00
6.208579872643669262e+01,1.174561265475657592e+02,3.167526411984789014e+00,3.195314695992804932e+00
6.339514887973801649e+01,9.952650749615432346e+01,3.123423153027523824e+00,3.105769827138166406e+00
6.086184579289660945e+01,1.473802460321826686e+02,3.206636949198179209e+00,3.122169838833019018e+00
4.796052457663863322e+01,1.384579274589825104e+02,4.035027876303308503e+00,4.003045250528986188e+00
7.345653444508755570e+01,1.492247678303898510e+02,2.690563383412014176e+00,2.595523416895222368e+00
5.532559735804293410e+01,1.225231060734822108e+02,3.527385698844102357e+00,3.528037197431077132e+00
4.027833624358124354e+01,8.741309853128667839e+01,4.725295016701672957e+00,4.612908393945109431e+00
6.628162775792830530e+00,1.489847151620518275e+02,8.388724412173713674e+00,8.279434975244189587e+00
3.933171355329914576e+01,8.554009612868898671e+01,4.820357015026010217e+00,4.966053196556535987e+00
1.742006412955657879e+01,9.236128075840267115e+01,7.774366763044691098e+00,7.769048341014157089e+00
1.104935565496958638e+01,1.555296104019988377e+02,8.814334943694509761e+00,8.808944741147305635e+00
4.073216134108515263e+01,1.249203819407786398e+02,4.695573759476207698e+00,4.746727401467969898e+00
6.291428076145824377e+01,1.339997928293112750e+02,3.115937271311647550e+00,3.073851571056760434e+00
2.395301220303879575e+01,1.456794133750258595e+02,7.016250984195183449e+00,6.993397447447367909e+00
6.161735491277873678e+01,1.331645708548095968e+02,3.178294747706433832e+00,3.220809621239624665e+00
4.228754709139919754e+01,1.155177030470185571e+02,4.538113966775476626e+00,4.566355550999916524e+00
1.234931785797164672e+01,1.234399534356646910e+02,8.525098922655788058e+00,8.409169249962545223e+00
7.721493564638899443e+01,1.118787034937815292e+02,2.609846042105580466e+00,2.693180301772546859e+00
3.243007979913713967e+01,1.261752339976471262e+02,5.689226682043723393e+00,5.630183187714819404e+00
2.397112332518431543e+01,8.017656245679776816e+01,6.773030882395234542e+00,6.667422987363815778e+00
6.783637046538150628e+01,1.206612876965393752e+02,2.916381020569825733e+00,2.826333513569920353e+00
1.039459643498064700e+01,8.190574260765936287e+01,8.000313678686996610e+00,7.961259144251464193e+00
5.882044165535941715e+01,8.877375590591805121e+01,3.355680183170596020e+00,3.518410208632902769e+00
1.543206703395473234e+01,1.477094619686106398e+02,8.375008316606841419e+00,8.257454726114763943e+00
3.170309619300030590e+01,1.327508893844357658e+02,5.796775056187381203e+00,5.812782645440814910e+00
1.893604033774000683e+01,9.457342966629080649e+01,7.593819713203334487e+00,7.380037277394277062e+00
6.737762541904476166e+01,1.397762020201463713e+02,2.918746883663968283e+00,2.918590190349448665e+00
3.151092687921900648e+01,1.180626615670274191e+02,5.805601136619889857e+00,5.895557778367490620e+00
7.798807862414199121e+01,9.078770207785031232e+01,2.616511857014016673e+00,2.592845524807871005e+00
5.020828801100098815e+01,1.543748556114425696e+02,3.857239539210897128e+00,3.794304046822563059e+00
5.564301535888175465e+01,8.902440787883213602e+01,3.530788205931149726e+00,3.553939312337003553e+00
4.196124720952719400e+01,8.157942864146336603e+01,4.556893052131623989e+00,4.626908227246689265e+00
2.506297182650949651e+01,1.005281382765275993e+02,6.712529919584654614e+00,6.778895676686395255e+00
3.194673547366808464e+01,8.694879255393868789e+01,5.687492632586929275e+00,5.884740017979908089e+00
7.530426791912118745e+01,8.133771668652552478e+01,2.709295263432134782e+00,2.730212010665762357e+00
1.649565445761082572e+01,1.322593501171376715e+02,8.158812531423295766e+00,8.099571521448002187e+00
7.906340264700688181e+01,9.055697111930334131e+01,2.587486787462657034e+00,2.574888868463992786e+00
6.078531602930356570e+01,1.251103875249590374e+02,3.225024866311565930e+00,3.217775011749584912e+00
2.910306065616251558e+01,9.940718633368693702e+01,6.109065417244539553e+00,6.119939155592351021e+00
5.150033036569546141e+01,1.552520108614007768e+02,3.763335859686384843e+00,3.760333078363441217e+00
3.078803237380045843e+01,9.726847906358446494e+01,5.867683440219794377e+00,5.885080034109415159e+00
3.082868814487364162e+01,1.216523781073257311e+02,5.906397542795744471e+00,5.739312536734233028e+00
4.055233454046510388e+01,1.387989806377325124e+02,4.716763259974984024e+00,4.799726155578988518e+00
1.829464320012478051e+00,1.048903934903580506e+02,4.175571239784275690e+00,4.118097312892172290e+00
3.973893901549999441e+01,1.465391512042396016e+02,4.804886636112469134e+00,4.687570766467766603e+00
7.774207386902759254e+01,1.051183161705127276e+02,2.603131509428586732e+00,2.666906625392730490e+00
2.319448568845348646e+01,1.110288051019282136e+02,7.042502748657307521e+00,7.174235349395916117e+00
5.998332774659066757e+01,1.144310626022190718e+02,3.273561367317266324e+00,3.322864182267210698e+00
3.570171676060435573e+01,1.135115297545444122e+02,5.255087894632469059e+00,5.271203826017020866e+00
1.713784288811394418e+01,1.286354923528331540e+02,8.051259260666308037e+00,7.958037230129113127e+00
7.244770438004130142e+01,9.809964892798646474e+01,2.774573024638490537e+00,3.061729758419840408e+00
1.837769132076933154e+00,1.063371288354370563e+02,4.220364573425587906e+00,4.308390435491738835e+00
2.462895966466109954e+01,9.831776250540119122e+01,6.769894171965161078e+00,6.655964704930863896e+00
7.992255764475302726e+01,1.021556198813513276e+02,2.547523159649727198e+00,2.469559368025752821e+00
2.134067029710416463e+01,1.410225860931204238e+02,7.440260848735859689e+00,7.448958773593050253e+00
6.799903948781212648e+01,1.303413403057494691e+02,2.901565042049566667e+00,2.746091928849967889e+00
4.865181031812849000e+01,1.570231441939227466e+02,3.975424512484972084e+00,3.992287553186023352e+00
6.457983874840633121e+01,1.560104032501638471e+02,3.025834330887031687e+00,2.979927175315755683e+00
5.061026155775651603e+01,9.640683575262713134e+01,3.849507325439644578e+00,3.972134385471266516e+00
2.933440013609894592e+01,9.679568287689164663e+01,6.069131567778958569e+00,6.165347034141783311e+00
6.098270837438685987e+01,1.526118368980644675e+02,3.197548229001327513e+00,2.926419685257850123e+00
2.605521637865801043e+00,9.111678602067806310e+01,4.837522182829333772e+00,4.841692441432065230e+00
3.602162966288892676e+01,1.408948037597330938e+02,5.233883336581825141e+00,5.072136586629456545e+00
3.006243830467342804e+01,9.534078104455586811e+01,5.963097438272462192e+00,6.074061238197314694e+00
3.842738344816928020e+01,9.144293308664079234e+01,4.922017785836373172e+00,4.938828372749155982e+00
1.064584457643753446e+01,1.151395111429549445e+02,8.485882386310908743e+00,8.540722931529607820e+00
1.818929584272865796e+01,1.347247741742590392e+02,7.924172915799644557e+00,7.817660442919314612e+00
4.518310141292689508e+01,1.475334947689903515e+02,4.267975676571183818e+00,4.450818700370733794e+00
3.132764469464833823e+01,9.665208363058614793e+01,5.792876247150972269e+00,5.994883583866016608e+00
6.343666834443207136e+01,8.797631527717231847e+01,3.134207173560125348e+00,3.027730069297504212e+00
4.860835884756239977e+01,1.434170335952084656e+02,3.982434195408920186e+00,4.019715707595551635e+00
6.897070144056603169e+01,1.160813780086950118e+02,2.877198635657421288e+00,2.809868392818402505e+00
5.872268656738555848e+01,1.287655734739274749e+02,3.329486475911092480e+00,3.327129482225019252e+00
4.834496409680591711e+01,1.267361205605104431e+02,4.007662724969399903e+00,3.881099027046943650e+00
2.336544037458165590e+01,1.408653997164983309e+02,7.103328291185720289e+00,7.290042842643781995e+00
6.272945720013039761e+01,1.591647130695165515e+02,3.108748811672796819e+00,3.011830860564530088e+00
2.047577246460100397e+01,1.318473191306761407e+02,7.552925356572781190e+00,7.523316975073031543e+00
6.479283389245152236e+00,1.092169229998887374e+02,7.811400641997079397e+00,7.861548935108131353e+00
7.704773398623660796e+01,9.399118603765094804e+01,2.638209432837512303e+00,2.573453364995899495e+00
4.343089080516929812e+01,8.823030551648787423e+01,4.424754113601558458e+00,4.400822870628328332e+00
6.202459665520999721e+01,1.353243326679288145e+02,3.157109788401742279e+00,3.100745803759045849e+00
4.257321320661363018e+01,1.004082886702376243e+02,4.507720238679503666e+00,4.494374163195874239e+00
4.912058856455980305e+01,1.022080911731059700e+02,3.955535305044200811e+00,3.838481041534170579e+00
3.194433916062246137e+00,1.154677500758655100e+02,6.020877592874061435e+00,5.977078785313831411e+00
1.535009750862777800e+01,1.222078830667753522e+02,8.247811747201239996e+00,8.227122454730015022e+00
5.413780693706480918e+01,1.132918416125704510e+02,3.606002649185847453e+00,3.572630048805434111e+00
4.585988553722361161e+01,1.564563479789343887e+02,4.206998970882644073e+00,4.212667966372023898e+00
1.310512520194365749e+01,1.038472885983529466e+02,8.301004630415516061e+00,8.271694408479843830e+00
7.618632686373169349e+01,1.281614901742758832e+02,2.622706352972263844e+00,2.698027493816201883e+00
1.277111378751864201e+01,8.129963399937558677e+01,8.025972854923759670e+00,7.993653262345176813e+00
4.106910835422548445e+01,8.510174733283504622e+01,4.645037907025468371e+00,4.631372947395879791e+00
1.194822856403098577e+01,9.591575050144535908e+01,8.254037459890950501e+00,8.187559326291365736e+00
5.753105222544565578e+01,1.025074298989664072e+02,3.413165057328574115e+00,3.360513573317050362e+00
2.246688462056464175e+01,1.173058655459996089e+02,7.181071564392242479e+00,7.054622285310271579e+00
1.116365102218176908e+01,1.259365921543311515e+02,8.590369095052883708e+00,8.642247587140680309e+00
4.155980863305995143e+00,9.327368869256747530e+01,6.308535678021542914e+00,6.194283876256293730e+00
1.439942526286107771e+01,1.262919805691188202e+02,8.379730199540638580e+00,8.305144559721805209e+00
1.574799797952352876e+01,8.654584319173940798e+01,7.902174229226689661e+00,7.938098694427810464e+00
4.318928032595751176e+01,1.113819772807818822e+02,4.451697739523685193e+00,4.491955076118138379e+00
3.635759145062559838e+01,1.438477664805333234e+02,5.194021973461427244e+00,5.154010498360920067e+00
7.660490219665621225e+01,1.179993615281744326e+02,2.620690439537760597e+00,2.418763858488880203e+00
7.635503128089807490e+01,1.332854684080743652e+02,2.612834042931658995e+00,2.654885371661216631e+00
6.382541578224021350e+01,9.788567126353007097e+01,3.105961063977632719e+00,3.131917409866838753e+00
5.389121690146590993e+01,1.366019779917433254e+02,3.609576414776006992e+00,3.468338293228829361e+00
6.767933577968354086e+01,1.587443553299490588e+02,2.893708746282032784e+00,2.970740954561482461e+00
7.513077036415081977e+01,1.320759257461204470e+02,2.651231064900619216e+00,2.581121084857276760e+00
2.298109446516718890e+00,1.584415429292361353e+02,5.819594583565303125e+00,5.706975771949973186e+00
9.889365558493265596e+00,1.467099608726519477e+02,8.762856231964416764e+00,8.772429303060842898e+00
2.914097883234962794e+01,1.414570953789190924e+02,6.180369766676622412e+00,6.162522723536700830e+00
7.940154816886678013e+00,1.183355392889117184e+02,8.301149691561835908e+00,8.321412091660951305e+00
4.816219560773553354e+01,1.259261060008779936e+02,4.022250883754532325e+00,3.861676077922088446e+00
2.119895567667463609e+01,9.977136064908526691e+01,7.299497381814695984e+00,7.480720393441933069e+00
2.151500846601987860e+01,1.499648363456119569e+02,7.434857992248375069e+00,7.374592130794002109e+00
2.342207509750531358e+01,8.107371036659229446e+01,6.858096006699673453e+00,6.704130075850032178e+00
8.268394777959009900e+00,1.437920412043553426e+02,8.632799305742132390e+00,8.694683524598847413e+00
5.940508403243363489e+01,1.552031746770250322e+02,3.277587321557051681e+00,3.242106908546933841e+00
5.222845815317218410e+01,1.065472259854040260e+02,3.733609796050997964e+00,3.766095644628288497e+00
4.871739320598036471e+01,1.439960321341577867e+02,3.973750784150780646e+00,3.939789941088276848e+00
3.206623791083146990e+00,1.143422239835637839e+02,6.008946786093953385e+00,6.002972750045961092e+00
3.464239949879075908e+01,1.485556448019258369e+02,5.412193119001742048e+00,5.436770403375605021e+00
5.497368539703749235e+01,1.303216644719704789e+02,3.544579656184061456e+00,3.469914367785771780e+00
1.292955866733511705e+01,8.446129563902564996e+01,8.069591057443085802e+00,8.137465017029041903e+00
3.115979865027529172e+01,1.100531229520093603e+02,5.841865731970885101e+00,5.794875722062930556e+00
2.076814564859982948e+00,8.153943614451978306e+01,3.929605985862933082e+00,3.842637271445886071e+00
7.007710767640744187e+00,1.399454928943647474e+02,8.381379936012546494e+00,8.389083178194796986e+00
1.770805960992478489e+01,1.496675611928445733e+02,8.055485010931063172e+00,8.099989138780166797e+00
3.346468781072926646e+01,1.596886678604925862e+02,5.574486610967917422e+00,5.551578676806053103e+00
3.732758288484669862e+01,1.221076548323339495e+02,5.067921219453726422e+00,4.981669240745770111e+00
7.081946176363997836e+01,1.113034060919853516e+02,2.814733448905013091e+00,2.876712005535876582e+00
2.567434615283405464e+01,1.219648511124222239e+02,6.683484381570537813e+00,6.507451502358260420e+00
2.206378164036713940e+00,1.154797238922383542e+02,4.930407536838181670e+00,4.827321123234628253e+00
6.618475606830763525e+01,1.034511763048876816e+02,2.999596883278582204e+00,3.003549172331920758e+00
5.416831362199035382e+00,1.528206787686978601e+02,8.037980888004554458e+00,7.901874948174048008e+00
7.892863416647154295e+00,1.115346821025174648e+02,8.198295222709615970e+00,8.201094649134532233e+00
7.707294648080892330e+01,1.516529744652897875e+02,2.576166874552733965e+00,2.570680562750887521e+00
6.039255074120449507e+01,1.253200408644085257e+02,3.244630789996823417e+00,3.334504768882640136e+00
2.735940912095077593e+01,1.477532374306520069e+02,6.464787732292483824e+00,6.373308697111154331e+00
1.100821790872605632e+01,1.332486599493563517e+02,8.655578583865194631e+00,8.592987931501030019e+00
3.124508056716299365e+01,1.175394267408421882e+02,5.841841715251822720e+00,5.875159883721922327e+00
2.746599397602379966e+01,1.373049588577963505e+02,6.432249555111213546e+00,6.186493196090633084e+00
7.001807551467661028e+01,1.380371951097318970e+02,2.818797418146163025e+00,3.128801648037621508e+00
3.379086487646618053e+01,1.495500025532655286e+02,5.524763048746445193e+00,5.454897975700268020e+00
7.022577978241951513e+00,1.168642667426980779e+02,8.088650113404680653e+00,8.015666608132125504e+00
7.418101358750760710e+01,1.223697546935580647e+02,2.690403400423465818e+00,2.776516151513837016e+00
4.997391241536318063e+01,1.411390350799158000e+02,3.878864316215004493e+00,3.874881132071436252e+00
9.778433614089674819e+00,1.211812675566765307e+02,8.525624750219549242e+00,8.347681888349189450e+00
9.497345723690575170e+00,1.296288826058950576e+02,8.598671487979963501e+00,8.661364225989224508e+00
3.754169267255900877e+01,9.883650474165648347e+01,5.026692093072279377e+00,5.112229876472199841e+00
7.821072772284735741e+00,1.580879150700028219e+02,8.704147846981697967e+00,8.659153219634104559e+00
5.072429928011929690e+01,1.308777467374162882e+02,3.827546369109963376e+00,3.799386333280760919e+00
4.950251139204536344e+01,1.320437896062531422e+02,3.917115495977852024e+00,3.965713955703791260e+00
3.050467215143219502e+00,1.396151433026595043e+02,6.332453682286098839e+00,6.241575657294653467e+00
6.469011109278291372e+01,1.430174415697594270e+02,3.029289727762720652e+00,3.073128584183411505e+00
6.305018349469013117e+01,8.767199298987580391e+01,3.151837869094094025e+00,3.171767720138543911e+00
7.326700735491702687e+01,1.096047240945873682e+02,2.733560075304736436e+00,2.666066813727144602e+00
5.378937841570892431e+01,1.278912153717215858e+02,3.620344814449635074e+00,3.481134627068450449e+00
5.558254747065024759e+01,1.595354626331227905e+02,3.493236425777169529e+00,3.470675842701060887e+00
1.351746152902684805e+01,1.213178409340364112e+02,8.427136240634579778e+00,8.339594014808563216e+00
