t,E,M,L,dM_dt,dM_dt_noisy
1.800360072014403068e-01,2.992327758688268204e+02,2.516329580221703210e+01,5.779371237806583572e+00,2.812434823202092460e+01,2.796796653954955758e+01
1.900380076015203146e-01,2.991886907975286931e+02,2.544429506277502284e+01,5.827184343205018102e+00,2.806430695919707574e+01,2.801286851107330023e+01
2.000400080016003224e-01,2.991444367147934145e+02,2.572469488263395476e+01,5.875458881896459040e+00,2.800448590639762259e+01,2.800611434250129150e+01
2.100420084016803579e-01,2.991000116755578233e+02,2.600449744457265311e+01,5.924192887671390295e+00,2.794487992878275051e+01,2.788975934772287602e+01
2.200440088017603657e-01,2.990554137956600584e+02,2.628370488101788993e+01,5.973384412132976884e+00,2.788548395602938612e+01,2.814429671890902895e+01
2.300460092018403735e-01,2.990106412518396723e+02,2.656231927404436988e+01,6.023031524697063155e+00,2.782629299320222316e+01,2.802763785626338233e+01
2.400480096019204090e-01,2.989656922817376881e+02,2.684034265537474795e+01,6.073132312592172788e+00,2.776730212155814570e+01,2.722506962576495226e+01
2.500500100020003891e-01,2.989205651838964286e+02,2.711777700637962241e+01,6.123684880859511459e+00,2.770850649928563314e+01,2.733070385009209957e+01
2.600520104020804246e-01,2.988752583177596875e+02,2.739462425807751700e+01,6.174687352352962399e+00,2.764990136218100147e+01,2.761494694376996861e+01
2.700540108021604602e-01,2.988297701036725584e+02,2.767088629113491294e+01,6.226137867739091725e+00,2.759148202426290197e+01,2.750704394194763225e+01
2.800560112022404402e-01,2.987840990228815485e+02,2.794656493586623114e+01,6.278034585497142217e+00,2.753324387832703124e+01,2.757597247782675254e+01
2.900580116023204758e-01,2.987382436175345788e+02,2.822166197223382511e+01,6.330375681919038655e+00,2.747518239644262295e+01,2.751864678264713504e+01
3.000600120024005113e-01,2.986922024906809838e+02,2.849617912984799517e+01,6.383159351109386925e+00,2.741729313039238036e+01,2.784086088140259108e+01
3.100620124024804913e-01,2.986459742732040468e+02,2.877011812394611923e+01,6.436383786830814913e+00,2.735957168941752826e+01,2.713716753687907257e+01
3.200640128025605269e-01,2.985995576330326458e+02,2.904348064660231898e+01,6.490047183372900541e+00,2.730201374487528199e+01,2.722649274344988157e+01
3.300660132026405624e-01,2.985529513466928506e+02,2.931626828858219014e+01,6.544147775898304431e+00,2.724461508010877608e+01,2.765316940160724357e+01
3.400680136027205425e-01,2.985061542388828002e+02,2.958848260418443488e+01,6.598683810375341352e+00,2.718737155092492586e+01,2.731671215016529430e+01
3.500700140028005780e-01,2.984591651814004081e+02,2.986012511239902167e+01,6.653653543017314043e+00,2.713027908519303111e+01,2.726289175966828182e+01
3.600720144028806136e-01,2.984119830931435899e+02,3.013119729690718529e+01,6.709055240282512322e+00,2.707333368311507016e+01,2.697053240877757929e+01
3.700740148029605936e-01,2.983646069401099794e+02,3.040170060608143388e+01,6.764887178874213980e+00,2.701653141744884579e+01,2.668691638327771543e+01
3.800760152030406291e-01,2.983170357353973827e+02,3.067163645298553831e+01,6.821147645740683885e+00,2.695986843368554275e+01,2.699336138253008954e+01
3.900780156031206647e-01,2.982692685392032672e+02,3.094100621537454288e+01,6.877834938075173987e+00,2.690334095018301852e+01,2.692514376774732909e+01
4.000800160032006447e-01,2.982213044588251023e+02,3.120981123569475812e+01,6.934947363315924207e+00,2.684694525825679534e+01,2.660147484740788215e+01
4.100820164032806803e-01,2.981731426486603596e+02,3.147805282108376801e+01,6.992483239146163321e+00,2.679067772222987642e+01,2.665403238987376255e+01
4.200840168033607158e-01,2.981247823102062284e+02,3.174573224337041211e+01,7.050440893494105410e+00,2.673453477944313050e+01,2.672012604349768594e+01
4.300860172034406959e-01,2.980762226920599574e+02,3.201285073907480694e+01,7.108818664532951637e+00,2.667851294022772990e+01,2.648956261561557568e+01
4.400880176035207314e-01,2.980274630899186263e+02,3.227940950940834597e+01,7.167614900680892909e+00,2.662260878784104889e+01,2.660295479427060528e+01
4.500900180036007669e-01,2.979785028465792038e+02,3.254540972027367474e+01,7.226827960601106327e+00,2.656681897836755724e+01,2.658591558386144982e+01
4.600920184036807470e-01,2.979293413519386604e+02,3.281085250226472283e+01,7.286456213201756071e+00,2.651114024058601615e+01,2.651825748799711491e+01
4.700940188037607825e-01,2.978799780429937414e+02,3.307573895066666836e+01,7.346498037635995182e+00,2.645556937580467505e+01,2.635431104414181291e+01
4.800960192038408181e-01,2.978304124038411373e+02,3.334007012545598059e+01,7.406951823301962001e+00,2.640010325766543176e+01,2.651885287202259534e+01
4.900980196039207981e-01,2.977806439656775410e+02,3.360384705130037730e+01,7.467815969842784618e+00,2.634473883191879295e+01,2.652297222277525890e+01
5.001000200040007782e-01,2.977306723067994199e+02,3.386707071755886034e+01,7.529088887146577314e+00,2.628947311617052307e+01,2.635364277708383440e+01
5.101020204040808137e-01,2.976804970526032434e+02,3.412974207828169426e+01,7.590768995346442338e+00,2.623430319960172241e+01,2.607065715412366202e+01
5.201040208041608492e-01,2.976301178290732423e+02,3.439186209700646657e+01,7.652854712057496123e+00,2.617922621937939454e+01,2.632555667613648254e+01
5.301060212042408848e-01,2.975795342782257649e+02,3.465343173265131327e+01,7.715344454437534694e+00,2.612423936717603823e+01,2.602395136348262739e+01
5.401080216043209203e-01,2.975287461523431602e+02,3.491445184854320161e+01,7.778236665667559890e+00,2.606933993629610313e+01,2.624517205995369906e+01
5.501100220044009559e-01,2.974777532366794617e+02,3.517492328631805520e+01,7.841529795287385696e+00,2.601452528330612779e+01,2.580016779993063736e+01
5.601120224044808804e-01,2.974265553483707549e+02,3.543484686696624664e+01,7.905222298907538914e+00,2.595979282716053405e+01,2.614268626778628857e+01
5.701140228045609160e-01,2.973751523364352352e+02,3.569422339083261875e+01,7.969312638209265387e+00,2.590514004884731136e+01,2.590112735792421361e+01
5.801160232046409515e-01,2.973235440817731501e+02,3.595305363761647044e+01,8.033799280944521115e+00,2.585056449101358211e+01,2.560081471294670052e+01
5.901180236047209871e-01,2.972717304971670274e+02,3.621133836637158510e+01,8.098680700935981136e+00,2.579606375757216696e+01,2.573328386317879790e+01
6.001200240048010226e-01,2.972197115272811629e+02,3.646907831550618795e+01,8.163955378077032421e+00,2.574163551329022681e+01,2.575245596904453649e+01
6.101220244048810581e-01,2.971674871486622465e+02,3.672627420278298160e+01,8.229621798331777427e+00,2.568727748336107553e+01,2.574183575119396750e+01
6.201240248049609827e-01,2.971150573697389063e+02,3.698292672531913183e+01,8.295678453735032321e+00,2.563298745295991665e+01,2.543654982797172082e+01
6.301260252050410182e-01,2.970624222308218236e+02,3.723903655958626757e+01,8.362123842392334083e+00,2.557876326678487189e+01,2.535728865735183390e+01
6.401280256051210538e-01,2.970095818041039593e+02,3.749460436141048802e+01,8.428956468479928077e+00,2.552460282858388751e+01,2.556451973515330423e+01
6.501300260052010893e-01,2.969565361936601562e+02,3.774963076597234846e+01,8.496174842244775149e+00,2.547050410066863790e+01,2.537715417729267742e+01
6.601320264052811249e-01,2.969032855354474236e+02,3.800411638780686729e+01,8.563777480004555187e+00,2.541646510341627874e+01,2.546356622576232454e+01
6.701340268053610494e-01,2.968498299973049939e+02,3.825806182080354034e+01,8.631762904147658233e+00,2.536248391475991326e+01,2.551438781925558885e+01
6.801360272054410849e-01,2.967961697789539812e+02,3.851146763820632657e+01,8.700129643133193369e+00,2.530855866966857448e+01,2.497880119639838625e+01
6.901380276055211205e-01,2.967423051119977231e+02,3.876433439261362679e+01,8.768876231490981610e+00,2.525468755961765410e+01,2.530556518292117829e+01
7.001400280056011560e-01,2.966882362599216663e+02,3.901666261597834051e+01,8.838001209821557680e+00,2.520086883205039641e+01,2.544579822555754234e+01
7.101420284056811916e-01,2.966339635180931964e+02,3.926845281960780909e+01,8.907503124796177119e+00,2.514710078983134522e+01,2.508759542095724981e+01
7.201440288057612271e-01,2.965794872137619222e+02,3.951970549416383705e+01,8.977380529156803846e+00,2.509338179069249719e+01,2.493121887404498338e+01
7.301460292058411516e-01,2.965248077060595620e+02,3.977042110966271338e+01,9.047631981716119043e+00,2.503971024667276168e+01,2.519015901210867980e+01
7.401480296059211872e-01,2.964699253859998294e+02,4.002060011547516893e+01,9.118256047357521155e+00,2.498608462355148063e+01,2.503677392679310998e+01
7.501500300060012227e-01,2.964148406500069086e+02,4.027024296320514907e+01,9.189251293520841912e+00,2.493250342944973497e+01,2.511168004360524719e+01
7.601520304060812583e-01,2.963595538501235751e+02,4.051935015009497221e+01,9.260616282850586245e+00,2.487896519359965808e+01,2.480992205158940322e+01
7.701540308061612938e-01,2.963040654506620513e+02,4.076792208372032889e+01,9.332349593820010725e+00,2.482546852978452279e+01,2.452910487504007975e+01
7.801560312062413294e-01,2.962483759438259767e+02,4.101595915447850871e+01,9.404449810396027232e+00,2.477201210160769307e+01,2.475000994866544346e+01
7.901580316063212539e-01,2.961924858398694482e+02,4.126346174407360934e+01,9.476915520772950075e+00,2.471859461791545343e+01,2.462942898731320795e+01
8.001600320064012895e-01,2.961363956670966786e+02,4.151043022551652939e+01,9.549745317372510200e+00,2.466521483222582845e+01,2.482027959663534489e+01
8.101620324064813250e-01,2.960801059718622810e+02,4.175686496312497553e+01,9.622937796843846314e+00,2.461187154215492967e+01,2.465059811183035876e+01
8.201640328065613605e-01,2.960236173185710413e+02,4.200276631252347670e+01,9.696491560063506654e+00,2.455856358884117441e+01,2.423239374235415511e+01
8.301660332066413961e-01,2.959669302896782028e+02,4.224813462064335567e+01,9.770405212135448991e+00,2.450528985636801949e+01,2.426625724034737885e+01
8.401680336067214316e-01,2.959100454856891247e+02,4.249297022572275750e+01,9.844677362391040631e+00,2.445204927118553684e+01,2.462880707850298734e+01
8.501700340068013562e-01,2.958529635251595664e+02,4.273727345730662108e+01,9.919306624389060190e+00,2.439884080153138157e+01,2.453479380501494944e+01
8.601720344068813917e-01,2.957956850446955741e+02,4.298104463624670046e+01,9.994291615915695814e+00,2.434566345685165345e+01,2.421761478366995490e+01
8.701740348069614273e-01,2.957382106989534236e+02,4.322428407470157197e+01,1.006963095898454341e+01,2.429251628722179746e+01,2.429230652790834100e+01
8.801760352070414628e-01,2.956805411606397342e+02,4.346699207613660576e+01,1.014532327983661020e+01,2.423939838276833569e+01,2.432851309352357205e+01
8.901780356071214984e-01,2.956226771205113550e+02,4.370916893532398007e+01,1.022136720894031470e+01,2.418630887309146260e+01,2.427998974026091972e+01
9.001800360072015339e-01,2.955646192873755354e+02,4.395081493834268827e+01,1.029776138099148142e+01,2.413324692668900795e+01,2.430849536591187743e+01
9.101820364072814584e-01,2.955063683880897543e+02,4.419193036257853180e+01,1.037450443491334795e+01,2.408021175038219042e+01,2.413150887582650128e+01
9.201840368073614940e-01,2.954479251675617206e+02,4.443251547672412016e+01,1.045159501385655965e+01,2.402720258874332870e+01,2.400823692094962780e+01
9.301860372074415295e-01,2.953892903887494867e+02,4.467257054077887801e+01,1.052903176519917672e+01,2.397421872352592231e+01,2.392244911056835477e+01
9.401880376075215651e-01,2.953304648326613915e+02,4.491209580604903095e+01,1.060681334054666003e+01,2.392125947309738976e+01,2.413240803320404027e+01
9.501900380076016006e-01,2.952714492983561172e+02,4.515109151514761265e+01,1.068493839573189064e+01,2.386832419187475907e+01,2.341815333685905287e+01
9.601920384076816362e-01,2.952122446029425760e+02,4.538955790199446483e+01,1.076340559081514847e+01,2.381541226976342784e+01,2.378768120474515868e+01
9.701940388077615607e-01,2.951528515815799665e+02,4.562749519181625146e+01,1.084221359008413188e+01,2.376252313159954710e+01,2.376912315239636087e+01
9.801960392078415962e-01,2.950932710874777740e+02,4.586490360114643039e+01,1.092136106205394697e+01,2.370965623659590094e+01,2.342458644442186255e+01
9.901980396079216318e-01,2.950335039918958273e+02,4.610178333782527460e+01,1.100084667946710759e+01,2.365681107779186476e+01,2.372337380041947341e+01
1.000200040008001556e+00,2.949735511841441848e+02,4.633813460099986514e+01,1.108066911929353893e+01,2.360398718150733544e+01,2.347373097901865791e+01
1.010202040408081592e+00,2.949134135114288142e+02,4.657395762682095608e+01,1.116082705970226385e+01,2.355118408562631771e+01,2.372367304488946615e+01
1.020204040808161627e+00,2.948530918253571258e+02,4.680925265342097674e+01,1.124131918219864623e+01,2.349840135529604979e+01,2.347328293848918435e+01
1.030206041208241663e+00,2.947925870530323209e+02,4.704401986675383540e+01,1.132214417530276585e+01,2.344563860748841932e+01,2.357946925564630902e+01
1.040208041608321698e+00,2.947319001290296683e+02,4.727825945209561809e+01,1.140330073123978671e+01,2.339289548660434548e+01,2.363666420763858866e+01
1.050210042008401734e+00,2.946710319953288604e+02,4.751197159409598925e+01,1.148478754593660511e+01,2.334017166392765574e+01,2.341675758047034961e+01
1.060212042408481770e+00,2.946099836013138997e+02,4.774515647677819175e+01,1.156660331902184780e+01,2.328746683710743071e+01,2.311232260842286124e+01
1.070214042808561805e+00,2.945487559037732694e+02,4.797781428353904687e+01,1.164874675382587910e+01,2.323478072964575247e+01,2.293191700330482519e+01
1.080216043208641841e+00,2.944873498668997627e+02,4.820994519714896143e+01,1.173121655738078495e+01,2.318211309039036649e+01,2.353278991389364094e+01
1.090218043608721876e+00,2.944257664622905963e+02,4.844154939975192065e+01,1.181401144042039242e+01,2.312946369303272576e+01,2.310720525439522177e+01
1.100220044008801912e+00,2.943640066689473542e+02,4.867262707286549528e+01,1.189713011738025372e+01,2.307683233561157721e+01,2.293911934608471270e+01
1.110222044408881725e+00,2.943020714732760439e+02,4.890317839738081318e+01,1.198057130639765333e+01,2.302421884002191277e+01,2.305307025763407935e+01
1.120224044808961761e+00,2.942399618690870398e+02,4.913320355356261615e+01,1.206433372931161330e+01,2.297162305152964734e+01,2.293334078543311705e+01
1.130226045209041796e+00,2.941776788575950832e+02,4.936270272104921020e+01,1.214841611166287905e+01,2.291904483829188521e+01,2.308947329113442137e+01
1.140228045609121832e+00,2.941152234474192255e+02,4.959167607885247975e+01,1.223281718269393181e+01,2.286648409088303424e+01,2.287326972737045594e+01
1.150230046009201867e+00,2.940525966545831125e+02,4.982012380535788765e+01,1.231753567534898508e+01,2.281394072182677135e+01,2.281669063855045465e+01
1.160232046409281903e+00,2.939897995025145860e+02,5.004804607832448937e+01,1.240257032627398104e+01,2.276141466513376699e+01,2.261849872092717462e+01
1.170234046809361939e+00,2.939268330220459120e+02,5.027544307488490460e+01,1.248791987581659413e+01,2.270890587584554510e+01,2.280281949559504540e+01
1.180236047209441974e+00,2.938636982514138367e+02,5.050231497154534566e+01,1.257358306802623282e+01,2.265641432958415891e+01,2.244964098511316308e+01
1.190238047609522010e+00,2.938003962362593029e+02,5.072866194418559616e+01,1.265955865065403252e+01,2.260394002210799158e+01,2.273711791006078542e+01
1.200240048009602045e+00,2.937369280296278475e+02,5.095448416805903236e+01,1.274584537515286442e+01,2.255148296887362847e+01,2.285627047147165314e+01
1.210242048409682081e+00,2.936732946919692608e+02,5.117978181779260183e+01,1.283244199667733199e+01,2.249904320460376184e+01,2.219410599698393227e+01
1.220244048809762116e+00,2.936094972911377567e+02,5.140455506738683056e+01,1.291934727408376560e+01,2.244662078286120632e+01,2.195337493659094363e+01
1.230246049209841930e+00,2.935455369023919729e+02,5.162880409021583006e+01,1.300655996993022612e+01,2.239421577562911025e+01,2.251759152665997377e+01
1.240248049609921965e+00,2.934814146083948572e+02,5.185252905902729736e+01,1.309407885047651554e+01,2.234182827289719953e+01,2.285140783599382530e+01
1.250250050010002001e+00,2.934171314992137241e+02,5.207573014594249372e+01,1.318190268568415924e+01,2.228945838225421738e+01,2.208927341247983733e+01
1.260252050410082036e+00,2.933526886723203688e+02,5.229840752245627300e+01,1.327003024921641483e+01,2.223710622848655660e+01,2.198696707672615958e+01
1.270254050810162072e+00,2.932880872325909536e+02,5.252056135943707460e+01,1.335846031843827220e+01,2.218477195318288508e+01,2.230256573993898073e+01
1.280256051210242108e+00,2.932233282923059505e+02,5.274219182712690213e+01,1.344719167441645524e+01,2.213245571434501002e+01,2.196431139633334695e+01
1.290258051610322143e+00,2.931584129492302964e+02,5.296329910864718471e+01,1.353622310185607525e+01,2.208015767938152507e+01,2.197895258259417872e+01
1.300260052010402179e+00,2.930933422540649076e+02,5.318388342014080195e+01,1.362555338931229620e+01,2.202787801491936293e+01,2.195825452158260660e+01
1.310262052410482214e+00,2.930281173244723618e+02,5.340394494051601981e+01,1.371518132956897595e+01,2.197561692088990526e+01,2.208201733814826540e+01
1.320264052810562250e+00,2.929627392843893858e+02,5.362348384873463658e+01,1.380510571913309192e+01,2.192337461179873870e+01,2.184231413952011636e+01
1.330266053210642285e+00,2.928972092582232563e+02,5.384250032738381009e+01,1.389532535820516301e+01,2.187115131460916118e+01,2.192672788262519390e+01
1.340268053610722099e+00,2.928315283708517995e+02,5.406099456267602221e+01,1.398583905067924960e+01,2.181894726838608634e+01,2.178364061660737150e+01
1.350270054010802134e+00,2.927656977476236193e+02,5.427896674444914282e+01,1.407664560414295707e+01,2.176676272394610834e+01,2.159782850321578707e+01
1.360272054410882170e+00,2.926997185143576985e+02,5.449641706616635162e+01,1.416774382987743230e+01,2.171459794351330075e+01,2.165063269196465612e+01
1.370274054810962205e+00,2.926335917973436835e+02,5.471334572491621628e+01,1.425913254285736365e+01,2.166245320038104083e+01,2.147237326734745722e+01
1.380276055211042241e+00,2.925673187233419412e+02,5.492975292141261434e+01,1.435081056175098269e+01,2.161032877857969581e+01,2.161163177575364713e+01
1.390278055611122277e+00,2.925009004195833313e+02,5.514563885999480419e+01,1.444277670892006249e+01,2.155822497255007519e+01,2.133345172703694814e+01
1.400280056011202312e+00,2.924343380137692634e+02,5.536100374862738249e+01,1.453502981041991760e+01,2.150614208682265627e+01,2.128756321296360809e+01
1.410282056411282348e+00,2.923676326340719243e+02,5.557584779890029836e+01,1.462756869599941112e+01,2.145408043570262535e+01,2.174547279876367512e+01
1.420284056811362383e+00,2.923007854091339368e+02,5.579017122602884626e+01,1.472039219910093877e+01,2.140204034296050040e+01,2.139140349889943238e+01
1.430286057211442419e+00,2.922337974680686443e+02,5.600397424885366604e+01,1.481349915686044838e+01,2.135002214152844857e+01,2.133924173643404032e+01
1.440288057611522454e+00,2.921666699404598262e+02,5.621725708984075709e+01,1.490688841010742394e+01,2.129802617320212832e+01,2.140033345718565272e+01
1.450290058011602490e+00,2.920994039563620390e+02,5.643001997508147838e+01,1.500055880336489267e+01,2.124605278834818378e+01,2.116188138783840955e+01
1.460292058411682303e+00,2.920320006463003892e+02,5.664226313429249871e+01,1.509450918484942683e+01,2.119410234561705408e+01,2.114839527212142301e+01
1.470294058811762339e+00,2.919644611412705331e+02,5.685398680081588907e+01,1.518873840647113838e+01,2.114217521166128222e+01,2.122720495872766477e+01
1.480296059211842374e+00,2.918967865727387903e+02,5.706519121161904451e+01,1.528324532383368606e+01,2.109027176085922051e+01,2.114675492930810208e+01
1.490298059611922410e+00,2.918289780726419735e+02,5.727587660729469121e+01,1.537802879623426477e+01,2.103839237504395854e+01,2.080653302965747287e+01
1.500300060012002445e+00,2.917610367733876728e+02,5.748604323206092914e+01,1.547308768666361622e+01,2.098653744323759440e+01,2.115320596257152630e+01
1.510302060412082481e+00,2.916929638078539142e+02,5.769569133376121783e+01,1.556842086180602358e+01,2.093470736139054367e+01,2.081662037273273569e+01
1.520304060812162517e+00,2.916247603093893872e+02,5.790482116386433376e+01,1.566402719203931149e+01,2.088290253212617387e+01,2.067168674206333634e+01
1.530306061212242552e+00,2.915564274118133881e+02,5.811343297746442715e+01,1.575990555143484784e+01,2.083112336449030266e+01,2.065102835049049190e+01
1.540308061612322588e+00,2.914879662494158765e+02,5.832152703328098653e+01,1.585605481775754200e+01,2.077937027370587941e+01,2.070126120483481458e+01
1.550310062012402623e+00,2.914193779569573053e+02,5.852910359365886706e+01,1.595247387246584836e+01,2.072764368093239185e+01,2.105310373185700712e+01
1.560312062412482659e+00,2.913506636696687337e+02,5.873616292456824794e+01,1.604916160071176279e+01,2.067594401303040641e+01,2.044083683204625146e+01
1.570314062812562694e+00,2.912818245232518848e+02,5.894270529560468219e+01,1.614611689134081729e+01,2.062427170233068452e+01,2.065628688083755193e+01
1.580316063212642508e+00,2.912128616538790880e+02,5.914873097998905394e+01,1.624333863689209778e+01,2.057262718640821575e+01,2.014506231479009912e+01
1.590318063612722543e+00,2.911437761981932226e+02,5.935424025456761399e+01,1.634082573359822632e+01,2.052101090786079851e+01,2.052069752123176016e+01
1.600320064012802579e+00,2.910745692846504653e+02,5.955923340295503721e+01,1.643857708140521723e+01,2.046942331207561949e+01,2.064933659557081924e+01
1.610322064412882614e+00,2.910052420010735545e+02,5.976371072735245349e+01,1.653659158458891554e+01,2.041786483952422060e+01,2.037053217511192926e+01
1.620324064812962650e+00,2.909357954709258252e+02,5.996767252086748101e+01,1.663486815185169121e+01,2.036633594335337349e+01,2.024046495857670536e+01
1.630326065213042686e+00,2.908662308215802454e+02,6.017111907897648848e+01,1.673340569564532032e+01,2.031483708169495372e+01,2.036113929450666049e+01
1.640328065613122721e+00,2.907965491772139330e+02,6.037405070210026992e+01,1.683220313213404751e+01,2.026336871580370058e+01,2.040339906603383113e+01
1.650330066013202757e+00,2.907267516588080980e+02,6.057646769560405176e+01,1.693125938119459661e+01,2.021193130986122810e+01,2.034466282406470938e+01
1.660332066413282792e+00,2.906568393841483271e+02,6.077837036979749286e+01,1.703057336641617070e+01,2.016052533078428866e+01,2.055502010157024628e+01
1.670334066813362828e+00,2.905868134678241859e+02,6.097975903993469160e+01,1.713014401510045204e+01,2.010915124803702270e+01,2.015098474250427785e+01
1.680336067213442863e+00,2.905166750212296165e+02,6.118063402621417168e+01,1.722997025826159856e+01,2.005780953344762807e+01,1.993932751349704091e+01
1.690338067613522677e+00,2.904464251525625400e+02,6.138099565377889633e+01,1.733005103062625096e+01,2.000650066102886981e+01,1.998130482303153954e+01
1.700340068013602712e+00,2.903760649668252540e+02,6.158084425271626117e+01,1.743038527063352205e+01,1.995522510680259742e+01,1.994072539767863361e+01
1.710342068413682748e+00,2.903055955658242056e+02,6.178018015805808716e+01,1.753097192043501096e+01,1.990398334862828733e+01,1.992573082532391027e+01
1.720344068813762783e+00,2.902350180481698203e+02,6.197900370978064188e+01,1.763180992589478535e+01,1.985277586603537969e+01,1.984677030338949422e+01
1.730346069213842819e+00,2.901643335092770144e+02,6.217731525280461824e+01,1.773289823658939568e+01,1.980160314005942013e+01,1.983639632783865991e+01
1.740348069613922855e+00,2.900935430413646827e+02,6.237511513699514154e+01,1.783423580580787515e+01,1.975046565308196023e+01,1.941629564095893912e+01
1.750350070014002890e+00,2.900226477334559831e+02,6.257240371716176952e+01,1.793582159055172909e+01,1.969936388867412091e+01,1.986528967988212813e+01
1.760352070414082926e+00,2.899516486713781660e+02,6.276918135305849233e+01,1.803765455153494202e+01,1.964829833144374049e+01,1.953335047765953547e+01
1.770354070814162961e+00,2.898805469377628583e+02,6.296544840938373966e+01,1.813973365318397413e+01,1.959726946688623173e+01,1.936263772759682666e+01
1.780356071214242997e+00,2.898093436120456659e+02,6.316120525578037359e+01,1.824205786363777193e+01,1.954627778123862214e+01,1.967382801316690788e+01
1.790358071614323032e+00,2.897380397704664574e+02,6.335645226683568154e+01,1.834462615474775760e+01,1.949532376133736378e+01,1.975878896281458097e+01
1.800360072014403068e+00,2.896666364860693648e+02,6.355118982208139755e+01,1.844743750207782185e+01,1.944440789447934037e+01,1.954301352437923001e+01
1.810362072414482881e+00,2.895951348287026121e+02,6.374541830599365966e+01,1.855049088490434173e+01,1.939353066828616790e+01,1.942576253105527329e+01
1.820364072814562917e+00,2.895235358650185731e+02,6.393913810799308806e+01,1.865378528621618059e+01,1.934269257057181335e+01,1.915624850949742353e+01
1.830366073214642952e+00,2.894518406584738841e+02,6.413234962244467852e+01,1.875731969271466326e+01,1.929189408921346427e+01,1.986620755677616401e+01
1.840368073614722988e+00,2.893800502693293879e+02,6.432505324865792318e+01,1.886109309481360441e+01,1.924113571202537543e+01,1.941718743615767551e+01
1.850370074014803023e+00,2.893081657546500196e+02,6.451724939088667554e+01,1.896510448663929083e+01,1.919041792663594492e+01,1.896255899256734878e+01
1.860372074414883059e+00,2.892361881683049774e+02,6.470893845832929969e+01,1.906935286603049207e+01,1.913974122036775327e+01,1.898381363711980541e+01
1.870374074814963095e+00,2.891641185609676086e+02,6.490012086512851397e+01,1.917383723453844979e+01,1.908910608012060450e+01,1.910650192983498386e+01
1.880376075215043130e+00,2.890919579801154100e+02,6.509079703037153308e+01,1.927855659742689554e+01,1.903851299225742011e+01,1.872756676585822433e+01
1.890378075615123166e+00,2.890197074700301414e+02,6.528096737808998284e+01,1.938350996367202228e+01,1.898796244249309240e+01,1.902168852389519671e+01
1.900380076015203201e+00,2.889473680717976549e+02,6.547063233725990017e+01,1.948869634596251643e+01,1.893745491578604856e+01,1.884564060464349566e+01
1.910382076415283237e+00,2.888749408233081226e+02,6.565979234180178992e+01,1.959411476069953295e+01,1.888699089623264982e+01,1.913224501629589369e+01
1.920384076815363272e+00,2.888024267592557521e+02,6.584844783058058226e+01,1.969976422799670956e+01,1.883657086696420180e+01,1.902900179968985128e+01
