T,Td,C,C_noisy
4.961652489691657024e+02,3.437727721287444638e+02,2.893496486001690116e+01,2.890295269172147741e+01
1.028818235520902675e+02,4.940590332468711381e+02,5.937642115276980270e+00,5.937589675448616156e+00
2.282124629155019022e+02,3.095224508079201087e+02,2.470788839443691387e+01,2.473016707212572385e+01
1.934592091013937534e+02,4.557765377066726842e+02,1.836436539394282619e+01,1.838778561073518958e+01
4.163455359902560531e+02,4.249322708850475578e+02,2.667535399450766320e+01,2.671916610431338057e+01
1.112502675137512966e+02,2.886149595463999731e+02,1.694358461285821704e+01,1.695640889421929387e+01
2.407724165191069403e+02,2.768033585568858825e+02,2.592888750173986168e+01,2.592414608479143823e+01
8.465634089248663230e+00,1.646604751007508582e+02,4.280571935371884962e+00,4.267629532132493075e+00
1.611843540863103783e+02,2.417878280453374771e+02,2.387772919487431977e+01,2.393051633490098240e+01
2.556073444662283691e+02,1.765466702631931639e+02,2.896753040365706866e+01,2.885498768990314034e+01
6.802313584085804621e+01,4.382830335407110169e+02,2.649441568007989023e+00,2.642508801753422176e+00
3.817301678917518757e+02,3.413613084772885031e+02,2.745992176231561999e+01,2.746157176751482254e+01
2.313524405824867358e+02,4.744969085393873343e+02,2.034008403029767109e+01,2.026881658225416061e+01
4.365498931553621560e+02,2.641416870100499068e+02,2.981792687179612145e+01,2.983456755245302361e+01
3.940502765856946326e+02,3.806837283514132082e+02,2.700818619690273792e+01,2.697562214628056765e+01
2.615799155225566892e+02,4.332600744117153795e+02,2.286090552627559802e+01,2.290402776609138513e+01
5.210557008571084907e+02,1.051509121424101210e+02,6.385845439765983400e+01,6.385217479345811853e+01
3.811203949125994086e+02,2.291415774160368528e+02,2.986427912252955608e+01,2.989773678456903028e+01
4.871132395032479394e+02,2.744919167013157448e+02,3.034178445244123878e+01,3.040272663269979958e+01
2.083678607443672490e+02,4.714413776098326707e+02,1.896670571390321314e+01,1.898585219303888749e+01
3.284832273527310917e+02,4.481955427173895714e+02,2.463934852996010960e+01,2.459556247278896635e+01
1.217966466432782795e+02,1.338032970995128323e+02,2.632107839518254977e+01,2.624536246359731706e+01
5.977040081205835804e+02,4.821836468064068413e+02,2.804231949942076696e+01,2.812998870529658646e+01
1.497132012622646471e+02,3.507615235672637368e+02,1.849095169866846078e+01,1.848538708900908389e+01
1.578361430001261283e+02,1.287734296301669872e+02,2.803232554186289960e+01,2.799789729448118436e+01
4.854809307262475926e+01,3.760488995310574865e+02,1.962401445988768423e+00,1.969614300391809625e+00
1.583928558030582678e+02,4.421450520129426422e+02,1.559268435763659966e+01,1.558311379111246708e+01
4.590614768637116754e+02,2.035421132825541122e+02,3.267153152914729475e+01,3.271413864235793056e+01
4.202466745564333905e+02,2.290646228943284939e+02,3.060825691716636143e+01,3.060995332628821686e+01
8.156056132871582065e+01,2.110770759877613614e+02,1.714457918919858415e+01,1.714526666837950586e+01
2.288619083497160602e+02,3.810029590213770803e+02,2.281745451924230039e+01,2.278172553319065230e+01
2.554482297973904394e+02,3.873116683904075330e+02,2.373119399638223470e+01,2.375467240131960978e+01
4.006656265853666241e+02,4.097396922565863520e+02,2.666395876190100012e+01,2.661226542578324938e+01
2.762777330110305911e+02,4.684164525643369075e+02,2.261178426323759538e+01,2.264507873522579473e+01
3.539784044611911895e+02,1.727312994355851004e+02,3.161127086811415765e+01,3.168746774376366560e+01
5.046123391473207107e+02,3.832991727021835686e+02,2.838971702158529453e+01,2.831348271968033714e+01
4.372517981358604402e+02,3.582811957253176729e+02,2.795692140122102032e+01,2.783360993965345287e+01
2.221793217875925848e+02,2.050484329268127794e+02,2.729899153000123846e+01,2.732983546775895434e+01
2.717958040599681340e+02,4.901233926103719227e+02,2.192865573615295105e+01,2.205605062692710661e+01
2.237812439655539265e+02,2.907840900674392515e+02,2.504867005312912553e+01,2.499862381068552963e+01
7.029212508398455839e+01,4.795309902768872803e+02,2.169102981383276951e+00,2.106568193443177694e+00
1.259287187320009735e+02,4.887095172414649369e+02,9.547525356230879723e+00,9.576973802919903633e+00
1.738648609217579803e+02,4.600192383354522008e+02,1.650080726007939091e+01,1.645877118057647692e+01
1.919096678833698206e+02,2.837941439920372773e+02,2.398425267378706138e+01,2.395895139959022302e+01
1.912634759978629120e+02,2.119107160590087915e+02,2.619331057849944244e+01,2.617590470516525514e+01
3.481363311705064802e+02,3.343047757421439883e+02,2.704693907903396521e+01,2.707353918334855436e+01
5.831555354937540869e+02,2.798143331810555310e+02,3.178034949453924796e+01,3.176008437646959237e+01
4.659251602796205134e+02,2.872806327378287961e+02,2.968660987285018038e+01,2.970050401485418945e+01
4.757246991628191495e+02,1.976325374807715889e+02,3.353017139551258197e+01,3.352134473256790415e+01
4.567647578210500683e+02,4.369012301609133146e+02,2.706446166117490293e+01,2.702222810599232261e+01
3.602076996616350471e+02,3.922896372949124952e+02,2.626991173441868099e+01,2.625392042153152161e+01
5.510268930166930659e+02,4.461238391519493689e+02,2.802256277512847049e+01,2.797504279187007370e+01
4.153299424910131847e+02,3.126155303674111110e+02,2.844513875483418630e+01,2.844546450412767413e+01
3.027120762884382543e+02,1.370654926564333778e+02,3.242237634110819755e+01,3.236618302972991756e+01
5.086486605782055648e+01,4.449235758102591944e+02,1.463784182670910150e+00,1.409139464206147885e+00
2.956272901158866944e+02,1.277004806434449335e+02,3.300224885953245746e+01,3.307509695029771990e+01
1.316344422274989370e+02,1.618064037920133273e+02,2.553644118818969133e+01,2.553378197717442433e+01
8.395429704033841745e+01,4.776480520099941600e+02,3.725193514259767191e+00,3.722498412986165128e+00
3.061086289049769107e+02,3.246019097038932841e+02,2.644553084074167160e+01,2.647110766173755181e+01
4.721257490951905993e+02,3.699989641465563182e+02,2.821048748166171549e+01,2.818944463153427193e+01
1.805288334692840806e+02,4.283970668751293260e+02,1.826199685715374699e+01,1.825057008877983833e+01
4.624191971459540582e+02,3.658228542740479838e+02,2.815674551844502105e+01,2.817800295521161758e+01
3.177495662815412061e+02,2.775885152350927569e+02,2.759856862719478343e+01,2.761268941930700294e+01
9.368357390557396513e+01,3.171997671783234409e+02,1.223197931785485615e+01,1.217401448150823384e+01
5.791558076679427813e+02,2.593935174689077030e+02,3.254877437636441329e+01,3.259044150619789804e+01
2.439735532136679126e+02,3.308761699882356879e+02,2.470369280257381561e+01,2.467417105540936362e+01
1.806643821193039798e+02,1.008828122839888692e+02,3.043511153187980511e+01,3.038230758436409573e+01
5.089640305270690988e+02,3.033064384826968762e+02,2.992446993174547032e+01,2.987944617824551941e+01
7.905389784671049824e+01,1.095287130382968286e+02,2.481422106116011150e+01,2.479469379394234707e+01
4.414863243388535352e+02,1.438687795295902561e+02,3.822698738629796367e+01,3.830835239902911837e+01
1.167557218264536516e+02,4.385473098430531422e+02,1.018105395031508564e+01,1.012227715506904602e+01
2.385326067274865522e+02,3.637544469221788859e+02,2.368206249936019603e+01,2.369006629398691288e+01
1.429804276849723692e+02,1.728671483314540183e+02,2.563840870091095070e+01,2.553151748300642154e+01
5.055306556519702212e+02,3.988810101007318281e+02,2.817070692409091492e+01,2.817062857743365356e+01
2.370943584042177292e+02,2.903133078351370386e+02,2.548846542177617280e+01,2.553344374264997185e+01
5.849422236649620572e+02,1.539385103892515758e+02,4.569648244957949146e+01,4.568464928347641774e+01
3.770305832269885400e+02,4.718742780572127913e+02,2.530771332271004681e+01,2.527624557651587978e+01
4.177055866482345436e+02,1.451220393941606517e+02,3.669843452235387105e+01,3.671001007555679507e+01
3.153074476687884271e+02,1.078971432073168017e+02,3.703599345427340950e+01,3.707100104183093947e+01
1.888360784499767249e+02,2.026406913826380105e+02,2.640075420862947908e+01,2.643393708718035029e+01
2.403560705261950829e+02,1.347439627696934110e+02,3.039296207641414327e+01,3.049158576911063179e+01
5.648558416588315367e+02,1.066885834326276097e+02,7.095947049243699212e+01,7.096992886605380590e+01
1.247159044311753604e+02,3.612967505856884145e+02,1.499278529294211104e+01,1.496316478795446514e+01
5.929902462260263292e+02,1.527848555965167066e+02,4.670219547256942150e+01,4.669589651307008893e+01
4.561919878922719818e+02,3.255519376247951868e+02,2.875759035194235835e+01,2.875396542466136651e+01
2.190732212631030791e+02,1.970359316684346993e+02,2.744874079644594644e+01,2.745417766561985218e+01
3.867005857558339699e+02,4.762600543070039407e+02,2.542522252964072749e+01,2.542372113897925701e+01
2.316840158793870899e+02,1.863423953179223531e+02,2.808208975429123910e+01,2.809078805123604994e+01
2.319882949207523950e+02,3.082618905366286413e+02,2.487106121814609949e+01,2.478751871511534333e+01
3.047627553657450790e+02,3.939949031886625903e+02,2.507013862231215029e+01,2.511162007011415298e+01
1.495007887304936389e+01,2.244519674517902388e+02,5.264252625687685594e+00,5.235515662241634338e+00
2.986750781663207590e+02,4.326957560211978944e+02,2.413463407200773858e+01,2.407597613718538909e+01
5.831010560008983248e+02,2.255915808525636521e+02,3.462997151070624824e+01,3.466185906868832234e+01
1.748518111274191824e+02,2.551440255096410681e+02,2.411474451350408899e+01,2.418061081387339328e+01
4.501896856505842379e+02,2.721553130110953589e+02,2.982379736871554243e+01,2.984844877619051573e+01
2.684593895919445572e+02,2.675576487727220751e+02,2.683403974009336679e+01,2.684209770578564402e+01
1.295222203575823414e+02,3.431774617641658551e+02,1.653952918129209593e+01,1.649291816602349670e+01
5.434765296367870633e+02,1.904982446399323237e+02,3.650707256560708203e+01,3.665065093249775430e+01
1.501223438472673166e+01,2.316856441771852815e+02,5.252914526675982465e+00,5.296927457709057485e+00
1.855878113267088452e+02,1.915888125270059277e+02,2.664518091325746951e+01,2.658821617974032137e+01
5.994203999827428788e+02,2.107780994067566667e+02,3.643917742222380696e+01,3.640019552641182088e+01
1.609773437330437389e+02,4.051129304656021759e+02,1.734641188649149868e+01,1.735076084892009263e+01
5.101814905062668686e+02,3.517067015287473168e+02,2.896551487266041036e+01,2.888777831606061142e+01
3.653814734501440284e+02,4.851157209696137897e+02,2.485576053562157739e+01,2.486419205597210436e+01
4.845912459786385398e+02,4.800520162508193494e+02,2.685435261255432948e+01,2.683139903476869037e+01
3.800390644888695419e+02,1.820341787631356567e+02,3.180046031287272612e+01,3.186177384288853531e+01
2.208046299494197910e+02,1.839784143844582331e+02,2.788409802722157238e+01,2.793220576040298297e+01
4.576693268271720854e+02,4.630591844903223659e+02,2.672702317659210891e+01,2.659145890472036911e+01
2.075830659786354104e+01,1.555839301033903439e+02,4.988136964841229037e+00,4.990222094142594322e+00
2.708537062819988819e+02,4.044740187986654973e+02,2.386777405916506822e+01,2.378690068418888259e+01
2.262534690727130737e+02,1.767039052227793832e+02,2.825103566189672222e+01,2.830651756185914891e+01
2.888590333542229587e+02,1.572146654332039759e+02,3.062530682531464521e+01,3.063371211877103661e+01
8.093430846516142196e+01,2.756975557147746940e+02,1.221009708193330745e+01,1.223751735454265699e+01
1.373915852380320928e+02,3.736238708712951961e+02,1.607888048671367898e+01,1.602562425027351267e+01
3.394206961093270820e+02,4.376674738449518145e+02,2.508593835966779295e+01,2.517735987156756750e+01
2.357226238152925930e+02,1.832604181529307539e+02,2.827504973905478991e+01,2.837605340741231075e+01
4.760354423262526211e+02,1.398815763858616208e+02,4.130964814296428500e+01,4.125640959083297332e+01
3.650562706201210972e+02,4.170851679760422712e+02,2.595309224879179766e+01,2.597173300488511316e+01
5.174536774482614874e+02,2.804068900434750731e+02,3.065490379780327501e+01,3.062123867638376495e+01
4.407546982087346805e+02,3.438278673696372607e+02,2.823781671462177911e+01,2.823663821777874361e+01
3.630849514163462004e+02,3.336806028025522437e+02,2.730317504982846444e+01,2.723989320086723609e+01
1.761312833066174335e+02,4.043269985824916262e+02,1.877156738017879434e+01,1.886492465590782430e+01
4.707424784160702416e+02,4.958235653475828144e+02,2.647733256988740180e+01,2.642887359433326822e+01
1.545042090117936766e+02,3.592365956533807321e+02,1.860096441388493815e+01,1.858616022313506377e+01
4.975061152957063371e+01,2.460846149994436587e+02,6.213659756078982355e+00,6.238733902634508333e+00
5.779044241737205994e+02,1.699559301882547686e+02,4.128288966659734172e+01,4.125051163267653465e+01
3.263066670323991616e+02,1.411515275824393711e+02,3.298351658964078581e+01,3.297155096815416897e+01
4.654671070421377408e+02,3.766216633396441011e+02,2.802794515316059432e+01,2.799976316083924743e+01
3.198875705400642460e+02,2.020414433511881498e+02,2.952944123205366012e+01,2.952276819431184407e+01
3.688899395712337537e+02,2.110404558655298501e+02,3.022831025976103447e+01,3.016978312800602069e+01
2.516588905732121262e+01,2.773387503793275641e+02,3.274402870271290844e+00,3.252503466491175832e+00
1.161422392155160708e+02,3.110394153338767751e+02,1.639148867617254623e+01,1.638114402993693375e+01
4.064401902836925728e+02,2.664592080628522126e+02,2.928234417839844639e+01,2.926565787820824127e+01
3.444859357817364867e+02,4.822817398946720004e+02,2.442377111435295944e+01,2.442660561209764936e+01
9.934024522209404040e+01,2.192364429917647612e+02,1.950870062452172959e+01,1.949404551355389259e+01
5.714574148920798962e+02,3.408074508713793875e+02,2.991827663294767348e+01,2.995593720336964338e+01
9.684041136570556318e+01,1.064981699968779338e+02,2.638571363331605468e+01,2.636955383702676414e+01
3.086304335945177968e+02,1.255087366641752169e+02,3.384100191854327022e+01,3.383416943872847327e+01
9.068171063645831964e+01,1.795787525072267670e+02,2.102770694397182893e+01,2.099446787717203478e+01
4.318361770332096512e+02,2.125371494948320503e+02,3.152468907370361961e+01,3.149836333169785618e+01
1.694062433866158699e+02,2.865293277299980446e+02,2.268401594424919665e+01,2.262079130470820942e+01
8.480971519746104548e+01,3.296829607716557575e+02,9.701862419601152254e+00,9.727801665645049667e+00
3.236237249895681600e+01,1.663684434628374049e+02,6.745357657623366698e+00,6.688231756740742107e+00
1.090271450490860587e+02,3.314599028455941152e+02,1.416565471500223516e+01,1.412836189509281937e+01
1.191202364505220146e+02,1.327292159586970683e+02,2.623467889051164548e+01,2.625264112311220543e+01
3.244983873452165994e+02,2.569098864039094678e+02,2.815908626660050018e+01,2.817921493489772544e+01
2.733681372719777869e+02,4.192388324026666169e+02,2.362027760439343282e+01,2.360027186684317968e+01
5.745901485158547075e+02,2.899968076408721913e+02,3.128132450336999781e+01,3.118036121284555762e+01
5.727200454356521959e+02,3.664273420403717978e+02,2.943711730927929437e+01,2.945814297364407253e+01
4.789449357287160751e+02,1.894283563176503549e+02,3.426907141357228426e+01,3.428204958651688372e+01
4.045946422185184588e+02,3.830098899587165988e+02,2.712771683344467277e+01,2.705709777267108507e+01
5.077887394831661254e+02,4.937217766497453226e+02,2.696575708788370207e+01,2.700427319202342602e+01
5.635573379455313443e+02,3.603796287306021782e+02,2.944060154925862349e+01,2.940554655923695293e+01
1.845754868776663926e+01,4.922077146461806478e+02,4.539804910268745886e+00,4.483495504461080472e+00
7.527261015476092609e+01,4.335498043632598524e+02,3.668543504538280153e+00,3.673330040086492776e+00
2.193570113867676525e+02,4.072854768945954902e+02,2.160227672237366647e+01,2.159335320080370479e+01
6.068417756034683919e+01,2.916776964445585918e+02,6.350739599207165575e+00,6.360870799256723274e+00
3.617170614666999313e+02,3.296305300043899820e+02,2.735217597422267133e+01,2.727188857130644806e+01
1.599167122971246329e+02,1.988568032454263630e+02,2.541667941908638895e+01,2.550729092490000838e+01
1.622821388337336828e+02,4.498241817280597843e+02,1.571147461902311804e+01,1.568134168829593200e+01
1.765551532454800281e+02,1.053685518329615007e+02,2.994113180902483506e+01,2.986414884360001309e+01
6.314081626271207881e+01,4.189602060217767416e+02,2.493293956763466657e+00,2.524236066191824168e+00
4.458619496767045689e+02,4.760158733851251895e+02,2.639262391832939159e+01,2.637488371182433156e+01
3.921500956117918122e+02,2.327361299270201869e+02,2.995640154125688071e+01,2.997264446554552464e+01
3.658723139315511617e+02,4.199801606707889050e+02,2.592133678212160319e+01,2.590435636059035218e+01
2.525712145527638341e+01,2.717111199178189054e+02,3.274514041312077683e+00,3.271527023288081537e+00
2.605311660601321364e+02,4.427782240096291844e+02,2.258965658472040161e+01,2.260194522690733265e+01
4.126961359904063897e+02,3.516083223598524228e+02,2.773562604586690838e+01,2.769829340166776177e+01
9.802625669263389341e+01,1.223064781951282782e+02,2.551684908103575466e+01,2.555078606082873094e+01
2.344664175712427436e+02,2.502656147600467875e+02,2.641727375875467132e+01,2.639377875380069582e+01
1.680131655461245188e+01,1.076971807225989011e+02,6.889285990483938527e+00,6.845801633275415021e+00
5.370550826095902863e+01,3.997274644718236800e+02,1.977203833613713435e+00,1.981055454704838681e+00
1.337898800994370845e+02,4.483378059642229232e+02,1.228627518852366407e+01,1.230852725244821677e+01
2.517168458790429497e+02,4.984433393024629027e+02,2.079403887041898003e+01,2.078258490333804787e+01
2.806278215909910045e+02,3.105382741616697331e+02,2.617501126024666291e+01,2.613188527089268476e+01
5.312903113127772485e+02,2.565170304599267865e+02,3.171656861655534954e+01,3.174755789487078061e+01
1.934117730935379029e+02,3.098242555621110910e+02,2.322610039332270659e+01,2.313808395371656701e+01
1.777100638492886731e+01,2.773986194611917995e+02,4.701699032577200121e+00,4.650155825775423857e+00
4.966028913288432705e+02,2.172558815244383936e+02,3.283800235001262280e+01,3.283997849453929518e+01
4.179892654727580492e+01,4.641033938434892434e+02,1.547644849805472456e+00,1.479591879890219008e+00
6.033023563402586831e+01,2.576734105125873384e+02,8.321901217126235650e+00,8.323300930338694670e+00
5.780931214601423562e+02,4.582648723264490513e+02,2.814274666892699273e+01,2.814000351302606973e+01
4.532524237863732992e+02,3.266002043220426572e+02,2.870000361287845081e+01,2.874494060232136050e+01
2.060232506536567598e+02,4.387661871532600344e+02,1.983725756045201294e+01,1.979151804286134819e+01
8.364641076342142867e+01,3.662432997467818154e+02,7.577772394432954250e+00,7.546477068250871945e+00
2.351046910372576235e+02,2.876971337042109553e+02,2.549355848568607641e+01,2.551021756992112799e+01
2.068209612042032575e+02,3.865247942889818091e+02,2.152985819105374077e+01,2.140698001154344965e+01
5.252925148582714883e+02,3.901859755486594281e+02,2.851941924221424784e+01,2.867442135715997864e+01
2.541580453018538037e+02,4.477500127663276430e+02,2.219774484019538363e+01,2.216281230367229682e+01
5.381677857929511077e+01,2.843213337134903895e+02,5.142910004718347139e+00,5.106418252082069564e+00
5.564490954033587968e+02,3.118487734677902949e+02,3.038376078101295263e+01,3.042681715655813690e+01
3.752764514105797957e+02,4.056951753995789431e+02,2.631639421548676694e+01,2.631440262341498126e+01
7.444236478469630924e+01,3.059063377833826394e+02,8.786825253016184334e+00,8.697853822081004438e+00
7.233862522762129288e+01,3.481444130294752881e+02,6.140062201252546537e+00,6.171408570257177040e+00
2.822302784927372272e+02,1.941825237082824174e+02,2.898785305648537047e+01,2.903062194818533115e+01
5.979293458502412761e+01,4.904395753500140813e+02,1.404022029826201834e+00,1.381524716152404686e+00
3.808925543606412703e+02,3.543887336870814124e+02,2.723030697724078664e+01,2.721622695932618541e+01
3.717483557014716098e+02,3.602189480312657111e+02,2.699163688470457956e+01,2.701593611456754829e+01
2.408840242780145502e+01,3.980757165132975501e+02,3.386924149525670558e+00,3.341485137029947872e+00
4.854165547195702288e+02,4.150872078487971066e+02,2.771222213403024170e+01,2.773414156224058758e+01
4.731428827590016226e+02,1.383599649493790480e+02,4.147580901877488913e+01,4.148577394429711518e+01
5.496084198261085021e+02,2.480236204729368126e+02,3.245918785083414804e+01,3.242544122004535012e+01
4.038324548093938802e+02,3.394560768586079007e+02,2.781275040881831018e+01,2.774314531512771964e+01
4.172530282394578194e+02,4.976773131656140094e+02,2.565315800695292126e+01,2.564187771541486782e+01
1.024262843996349091e+02,3.065892046701820846e+02,1.447597898919904402e+01,1.443220787628603574e+01
