t,omega1,omega2,omega3,domega1_dt
6.421284256851369499e-01,-7.477117575333076804e-02,3.851672860691243372e+00,8.915265395221023959e-02,-2.837722921630615458e-01
6.481296259251849712e-01,-7.647973040743218098e-02,3.850277442163660080e+00,8.970732299809963672e-02,-2.856398127497748463e-01
6.541308261652329925e-01,-7.819963231217326449e-02,3.848881505524188285e+00,9.027481143562525456e-02,-2.875539707947169510e-01
6.601320264052810138e-01,-7.993116197870911432e-02,3.847485026009081821e+00,9.085519408488058890e-02,-2.895149693709608840e-01
6.661332266453290352e-01,-8.167460119962177689e-02,3.846087978107615601e+00,9.144854781143982314e-02,-2.915230187254667649e-01
6.721344268853770565e-01,-8.343023283038629445e-02,3.844690335625108535e+00,9.205495148341268086e-02,-2.935783361203342379e-01
6.781356271254250778e-01,-8.519834111763247009e-02,3.843292071601766224e+00,9.267448602425210069e-02,-2.956811459762567207e-01
6.841368273654730991e-01,-8.697921177138751014e-02,3.841893158291064925e+00,9.330723442477736884e-02,-2.978316798888163142e-01
6.901380276055210095e-01,-8.877313196507599646e-02,3.840493567159751986e+00,9.395328174317400804e-02,-3.000301766071448162e-01
6.961392278455690308e-01,-9.058039033551995578e-02,3.839093268887845412e+00,9.461271510499386084e-02,-3.022768820123508671e-01
7.021404280856170521e-01,-9.240127698293877645e-02,3.837692233368635186e+00,9.528562370315499241e-02,-3.045720490957056215e-01
7.081416283256650734e-01,-9.423608357713257611e-02,3.836290429656412648e+00,9.597209882016566329e-02,-3.069159380071381782e-01
7.141428285657130948e-01,-9.608510325341233782e-02,3.834887825970407338e+00,9.667223380031930713e-02,-3.093088159369346002e-01
7.201440288057611161e-01,-9.794863066702995391e-02,3.833484389703195827e+00,9.738612405686543350e-02,-3.117509571155754333e-01
7.261452290458091374e-01,-9.982696225906401155e-02,3.832080087327404350e+00,9.811386712884354044e-02,-3.142426429742777305e-01
7.321464292858571588e-01,-1.017203962576882920e-01,3.830674884395201651e+00,9.885556268135542446e-02,-3.167841621218883130e-01
7.381476295259051801e-01,-1.036292326781717704e-01,3.829268745538297214e+00,9.961131250556522210e-02,-3.193758103205985854e-01
7.441488297659530904e-01,-1.055537733228786162e-01,3.827861634467942586e+00,1.003812205186993822e-01,-3.220178904613517634e-01
7.501500300060011117e-01,-1.074943217944818868e-01,3.826453513967982722e+00,1.011653927674646819e-01,-3.247107125501210168e-01
7.561512302460491330e-01,-1.094511836422506490e-01,3.825044345790510558e+00,1.019639374640677332e-01,-3.274545937971974352e-01
7.621524304860971544e-01,-1.114246660908803921e-01,3.823634090765617888e+00,1.027769649091934828e-01,-3.302498583329550597e-01
7.681536307261451757e-01,-1.134150783749828528e-01,3.822222708683800985e+00,1.036045875767989538e-01,-3.330968374625755124e-01
7.741548309661931970e-01,-1.154227318472652031e-01,3.820810158247666344e+00,1.044469201422146554e-01,-3.359958697313611409e-01
7.801560312062412184e-01,-1.174479399785300082e-01,3.819396397071930682e+00,1.053040794821446802e-01,-3.389473008969158818e-01
7.861572314462892397e-01,-1.194910183576752549e-01,3.817981381683421827e+00,1.061761846746666627e-01,-3.419514839009321627e-01
7.921584316863372610e-01,-1.215522846916943234e-01,3.816565067521077381e+00,1.070633569992317791e-01,-3.450087788405759581e-01
7.981596319263851713e-01,-1.236320588501144402e-01,3.815147408906153892e+00,1.079657199499187564e-01,-3.481195529829547719e-01
8.041608321664331926e-01,-1.257306629505278162e-01,3.813728358932850782e+00,1.088833992576248300e-01,-3.512841808019684930e-01
8.101620324064812140e-01,-1.278484211250842106e-01,3.812307869611408773e+00,1.098165228138189564e-01,-3.545030436931670415e-01
8.161632326465292353e-01,-1.299856599171520521e-01,3.810885891681767834e+00,1.107652207891297313e-01,-3.577765303387420714e-01
8.221644328865772566e-01,-1.321427083265531710e-01,3.809462374588378886e+00,1.117296256469706844e-01,-3.611050367203984535e-01
8.281656331266252780e-01,-1.343198978095627438e-01,3.808037266480204242e+00,1.127098721435403350e-01,-3.644889660864624736e-01
8.341668333666732993e-01,-1.365175622789094323e-01,3.806610514210718943e+00,1.137060973278221643e-01,-3.679287289184715593e-01
8.401680336067213206e-01,-1.387360381037753276e-01,3.805182063337908538e+00,1.147184405415846153e-01,-3.714247428972359821e-01
8.461692338467693419e-01,-1.409756641806392541e-01,3.803751858065198554e+00,1.157470434430022260e-01,-3.749774329455107802e-01
8.521704340868172523e-01,-1.432367819536765063e-01,3.802319841143561252e+00,1.167920500088357044e-01,-3.785872311895829290e-01
8.581716343268652736e-01,-1.455197352471730710e-01,3.800885954021568036e+00,1.178536064729463623e-01,-3.822545767202786826e-01
8.641728345669132949e-01,-1.478248706644574584e-01,3.799450136612194218e+00,1.189318614608624730e-01,-3.859799160051909928e-01
8.701740348069613162e-01,-1.501525376105501408e-01,3.798012327277361155e+00,1.200269659974329273e-01,-3.897637028751705923e-01
8.761752350470093376e-01,-1.525030882921634412e-01,3.796572462827936256e+00,1.211390735068272190e-01,-3.936063984847534836e-01
8.821764352870573589e-01,-1.548768777177015610e-01,3.795130478523732531e+00,1.222683398125354315e-01,-3.975084712719070268e-01
8.881776355271053802e-01,-1.572742636972605801e-01,3.793686308073508151e+00,1.234149231373682792e-01,-4.014703969170805853e-01
8.941788357671534015e-01,-1.596956069261942224e-01,3.792239883549881174e+00,1.245789841338915821e-01,-4.054926583998310075e-01
9.001800360072014229e-01,-1.621412709719216028e-01,3.790791135290890512e+00,1.257606858740982769e-01,-4.095757459079023555e-01
9.061812362472493332e-01,-1.646116221355065079e-01,3.789339992068306184e+00,1.269601937942775316e-01,-4.137201566154771193e-01
9.121824364872973545e-01,-1.671070298538560595e-01,3.787886380803679121e+00,1.281776758439900354e-01,-4.179263951329249549e-01
9.181836367273453758e-01,-1.696278667164026754e-01,3.786430226554583278e+00,1.294133024922392017e-01,-4.221949734796776044e-01
9.241848369673933972e-01,-1.721745084651043756e-01,3.784971452514617418e+00,1.306672467274713201e-01,-4.265264110358913396e-01
9.301860372074414185e-01,-1.747473339944447257e-01,3.783509980013405105e+00,1.319396840575754459e-01,-4.309212344932092931e-01
9.361872374474894398e-01,-1.773467253514326991e-01,3.782045728516593375e+00,1.332307925098834833e-01,-4.353799778046059110e-01
9.421884376875374612e-01,-1.799730678166982789e-01,3.780578615526188901e+00,1.345407526628479289e-01,-4.399031822337447495e-01
9.481896379275854825e-01,-1.826267498965263580e-01,3.779108556447374312e+00,1.358697476369323254e-01,-4.444913962535670393e-01
9.541908381676335038e-01,-1.853081631623400838e-01,3.777635464812218569e+00,1.372179630275094375e-01,-4.491451752797869790e-01
9.601920384076814141e-01,-1.880177026722260891e-01,3.776159251926823668e+00,1.385855870729651440e-01,-4.538650821683359871e-01
9.661932386477294354e-01,-1.907557669907664899e-01,3.774679826851762954e+00,1.399728106625795498e-01,-4.586516871823465014e-01
9.721944388877774568e-01,-1.935227581890384130e-01,3.773197096402082007e+00,1.413798273365269031e-01,-4.635055679323316635e-01
9.781956391278254781e-01,-1.963190818446142183e-01,3.771710965147298200e+00,1.428068332858756506e-01,-4.684273093151823386e-01
9.841968393678734994e-01,-1.991451470415614988e-01,3.770221335411399810e+00,1.442540273525884376e-01,-4.734175034519509939e-01
9.901980396079215208e-01,-2.020013664364164740e-01,3.768728107175469688e+00,1.457216110567571832e-01,-4.784767497084726484e-01
9.961992398479695421e-01,-2.048881562869154238e-01,3.767231177863723079e+00,1.472097886023734370e-01,-4.836056546222776142e-01
1.002200440088017563e+00,-2.078059362281349243e-01,3.765730442669069422e+00,1.487187667800412283e-01,-4.888048315310454250e-01
1.008201640328065585e+00,-2.107551297219419917e-01,3.764225794113617241e+00,1.502487551570760305e-01,-4.940749011200755159e-01
1.014202840568113606e+00,-2.137361640896805748e-01,3.762717122010265314e+00,1.517999660912514315e-01,-4.994164913928650362e-01
1.020204040808161627e+00,-2.167494705121716381e-01,3.761204313462704008e+00,1.533726147307992727e-01,-5.048302375962793187e-01
1.026205241048209649e+00,-2.197954840297130230e-01,3.759687252865415275e+00,1.549669190144094821e-01,-5.103167821441593199e-01
1.032206441288257670e+00,-2.228746435420795868e-01,3.758165821903670878e+00,1.565830996712302137e-01,-5.158767745393340043e-01
1.038207641528305691e+00,-2.259873918516776825e-01,3.756639899476879485e+00,1.582213802394627777e-01,-5.215108713492047077e-01
1.044208841768353491e+00,-2.291341757441548999e-01,3.755109361361522513e+00,1.598819870952482292e-01,-5.272197361783865777e-01
1.050210042008401512e+00,-2.323154456853663841e-01,3.753574080668674373e+00,1.615651493158513086e-01,-5.330040391620121110e-01
1.056211242248449533e+00,-2.355316562855448437e-01,3.752033927323392248e+00,1.632710988854856882e-01,-5.388644575346070997e-01
1.062212442488497555e+00,-2.387832663599467886e-01,3.750488767979630822e+00,1.650000707219765606e-01,-5.448016756204437927e-01
1.068213642728545576e+00,-2.420707389288522249e-01,3.748938466020243609e+00,1.667523026767604444e-01,-5.508163847391125412e-01
1.074214842968593597e+00,-2.453945412175647933e-01,3.747382881556980294e+00,1.685280355348854064e-01,-5.569092831090362017e-01
1.080216043208641619e+00,-2.487551446564116864e-01,3.745821871430488503e+00,1.703275130150108674e-01,-5.630810757488849960e-01
1.086217243448689640e+00,-2.521530249000739077e-01,3.744255289168553880e+00,1.721509817780063623e-01,-5.693324744009206073e-01
1.092218443688737661e+00,-2.555886619517818148e-01,3.742682984512790245e+00,1.739986914769037496e-01,-5.756641975314151782e-01
1.098219643928785683e+00,-2.590625398041579985e-01,3.741104803977172377e+00,1.758708945885893993e-01,-5.820769697116463526e-01
1.104220844168833704e+00,-2.625751468709256464e-01,3.739520590315658755e+00,1.777678466128787826e-01,-5.885715221305770628e-01
1.110222044408881725e+00,-2.661269760992910349e-01,3.737930182331941520e+00,1.796898061236235633e-01,-5.951485926298030193e-01
1.116223244648929747e+00,-2.697185249699434184e-01,3.736333414879446480e+00,1.816370347687115694e-01,-6.018089255835747942e-01
1.122224444888977768e+00,-2.733502954970550847e-01,3.734730118861331327e+00,1.836097972700667935e-01,-6.085532717761176214e-01
1.128225645129025789e+00,-2.770227942282812439e-01,3.733120121230489197e+00,1.856083614236493928e-01,-6.153823882761918496e-01
1.134226845369073811e+00,-2.807365322474906777e-01,3.731503244982203427e+00,1.876329981006960579e-01,-6.222970383119970084e-01
1.140228045609121832e+00,-2.844920253038493163e-01,3.729879308608039512e+00,1.896839813019162990e-01,-6.292979912392357988e-01
1.146229245849169853e+00,-2.882897934720133892e-01,3.728248126577351940e+00,1.917615879913639465e-01,-6.363860218965040616e-01
1.152230446089217875e+00,-2.921303614594079057e-01,3.726609509003839804e+00,1.938660982437956093e-01,-6.435619109297748830e-01
1.158231646329265674e+00,-2.960142588042736778e-01,3.724963261232086875e+00,1.959977953369173853e-01,-6.508264449004761421e-01
1.164232846569313695e+00,-2.999420198756678202e-01,3.723309183837565595e+00,1.981569657513850835e-01,-6.581804161322701852e-01
1.170234046809361717e+00,-3.039141838734628065e-01,3.721647072626633523e+00,2.003438991708037797e-01,-6.656246225542896688e-01
1.176235247049409738e+00,-3.079312948283471352e-01,3.719976718636536450e+00,2.025588884817281499e-01,-6.731598675407629573e-01
1.182236447289457759e+00,-3.119939016018252742e-01,3.718297908135405727e+00,2.048022297736623587e-01,-6.807869597469473621e-01
1.188237647529505780e+00,-3.161025579595015400e-01,3.716610422195664842e+00,2.070742223693025907e-01,-6.885067129689335097e-01
1.194238847769553802e+00,-3.202578223611994845e-01,3.714914036684992649e+00,2.093751687125859351e-01,-6.963199455709699892e-01
1.200240048009601823e+00,-3.244602580293527994e-01,3.713208522551698643e+00,2.117053744071267785e-01,-7.042274804941485167e-01
1.206241248249649844e+00,-3.287104332609477320e-01,3.711493644998934638e+00,2.140651483636078212e-01,-7.122301454350300487e-01
1.212242448489697866e+00,-3.330089214299782885e-01,3.709769163476110521e+00,2.164548028009035952e-01,-7.203287726516701683e-01
1.218243648729745887e+00,-3.373563009874460672e-01,3.708034831678894694e+00,2.188746532460807137e-01,-7.285241987626311921e-01
1.224244848969793908e+00,-3.417531554613603695e-01,3.706290397549214521e+00,2.213250185343977328e-01,-7.368172645412721655e-01
1.230246049209841930e+00,-3.462000734567381999e-01,3.704535603275255884e+00,2.238062208093051786e-01,-7.452088147052253753e-01
1.236247249449889951e+00,-3.506976486792116599e-01,3.702770185058847918e+00,2.263185855311319605e-01,-7.536996976842126328e-01
1.242248449689937972e+00,-3.552464798231530496e-01,3.700993872495697001e+00,2.288624414057851553e-01,-7.622907650189144624e-01
1.248249649929985994e+00,-3.598471704473779065e-01,3.699206389528916450e+00,2.314381203316188129e-01,-7.709828711367388010e-01
1.254250850170034015e+00,-3.645003293298036406e-01,3.697407453290745494e+00,2.340459575687879601e-01,-7.797768734725148976e-01
1.260252050410082036e+00,-3.692065704922806724e-01,3.695596773979269667e+00,2.366862917504426733e-01,-7.886736322309088054e-01
1.266253250650129836e+00,-3.739665132005919324e-01,3.693774054858423028e+00,2.393594648827280513e-01,-7.976740101282440154e-01
1.272254450890177857e+00,-3.787807819644538054e-01,3.691938992257985497e+00,2.420658223447844926e-01,-8.067788721281831110e-01
1.278255651130225878e+00,-3.836500065375150204e-01,3.690091275573585961e+00,2.448057128887472789e-01,-8.159890851711483206e-01
1.284256851370273900e+00,-3.885748219189979480e-01,3.688230587213475076e+00,2.475794886398450800e-01,-8.253055178858099694e-01
1.290258051610321921e+00,-3.935558682626653093e-01,3.686356601566746605e+00,2.503875050310968575e-01,-8.347290398431953529e-01
1.296259251850369942e+00,-3.985937906642832984e-01,3.684468986154112002e+00,2.532301207025922096e-01,-8.442605211631186712e-01
1.302260452090417964e+00,-4.036892394524823069e-01,3.682567400671642233e+00,2.561076976441141739e-01,-8.539008324957773066e-01
1.308261652330465985e+00,-4.088428702483705712e-01,3.680651496471189166e+00,2.590206012197637797e-01,-8.636508446692801044e-01
1.314262852570514006e+00,-4.140553439655346168e-01,3.678720916560385579e+00,2.619692001679603810e-01,-8.735114283578514494e-01
1.320264052810562028e+00,-4.193273268100389251e-01,3.676775295602645155e+00,2.649538666014411570e-01,-8.834834537420919176e-01
1.326265253050610049e+00,-4.246594902804260441e-01,3.674814259917163817e+00,2.679749760072616671e-01,-8.935677901611480678e-01
1.332266453290658070e+00,-4.300525111677167001e-01,3.672837427478917061e+00,2.710329072467954625e-01,-9.037653057566183978e-01
1.338267653530706092e+00,-4.355070714590474346e-01,3.670844407184417513e+00,2.741280424929408155e-01,-9.140768667065981568e-01
1.344268853770754113e+00,-4.410238580478240689e-01,3.668834798810010067e+00,2.772607670683165937e-01,-9.245033362680314948e-01
1.350270054010802134e+00,-4.466035629577251309e-01,3.666808193598863230e+00,2.804314695745906971e-01,-9.350455749842173647e-01
