t,N,P_mate,Q_env,dN_dt,dN_dt_noisy
1.460292058411682303e+00,9.119384730481633028e+01,2.349694941541486770e+01,3.695256341355260599e+00,3.073056033267526743e+00,3.449177946857322929e+00
1.480296059211842374e+00,9.124658552521745492e+01,2.408835699068411174e+01,3.779020433922345656e+00,2.222591611865205152e+00,2.349314869969275854e+00
1.500300060012002445e+00,9.128362134203821654e+01,2.467782174442013599e+01,3.862661764788626328e+00,1.500082918060584802e+00,1.948024453449364923e+00
1.520304060812162517e+00,9.130734035794327497e+01,2.526521578603501084e+01,3.946166113693720501e+00,8.885231918511493632e-01,7.159153368255095629e-01
1.540308061612322588e+00,9.131980833029501810e+01,2.585043251736365022e+01,4.029521506078265425e+00,3.728664182469429988e-01,-3.680427186141626006e-01
1.560312062412482659e+00,9.132280889889283060e+01,2.643338372980395334e+01,4.112717907423079744e+00,-6.012338231491298757e-02,-1.151287646705384804e-01
1.580316063212642508e+00,9.131787655683666571e+01,2.701399717382071586e+01,4.195746967439536235e+00,-4.220232746828571635e-01,-6.449373511884732846e-01
1.600320064012802579e+00,9.130633092447378374e+01,2.759221412053113909e+01,4.278601763518224743e+00,-7.229378079861703554e-01,-3.352758969623833019e-01
1.620324064812962650e+00,9.128930118812726846e+01,2.816798766286966682e+01,4.361276622001543757e+00,-9.716332718624585141e-01,-8.748168476738815702e-01
1.640328065613122721e+00,9.126775499229464117e+01,2.874128075573803898e+01,4.443766912063960461e+00,-1.175717992391824396e+00,-1.991142608609374864e+00
1.660332066413282792e+00,9.124251659792641078e+01,2.931206500875934040e+01,4.526068918726871004e+00,-1.341754788982285618e+00,-1.939336329033885420e+00
1.680336067213442863e+00,9.121428965815634626e+01,2.988031919034874306e+01,4.608179685543903226e+00,-1.475413937428172062e+00,-1.033519419134544481e+00
1.700340068013602712e+00,9.118367155374433253e+01,3.044602830294834206e+01,4.690096917336528115e+00,-1.581569873300836093e+00,-1.241687364591912868e+00
1.720344068813762783e+00,9.115116934255711101e+01,3.100918256513526572e+01,4.771818873126308702e+00,-1.664412996509241793e+00,-1.984534679463486162e+00
1.740348069613922855e+00,9.111721309044206407e+01,3.156977656195441639e+01,4.853344276775053423e+00,-1.727544763430842067e+00,-1.728069161714482327e+00
1.760352070414082926e+00,9.108216455471686857e+01,3.212780871352730117e+01,4.934672261046681996e+00,-1.774040621418080832e+00,-1.551253844529987713e+00
1.780356071214242997e+00,9.104633032322109898e+01,3.268328044367295604e+01,5.015802280157931392e+00,-1.806546132318757714e+00,-1.572343964395118698e+00
1.800360072014403068e+00,9.100996660075328748e+01,3.323619589755870152e+01,5.096734080029781566e+00,-1.827313183902646188e+00,-1.389192085845471158e+00
1.820364072814562917e+00,9.097328834577774614e+01,3.378656137983856667e+01,5.177467639138703781e+00,-1.838267977790522423e+00,-1.710025164179741486e+00
1.840368073614722988e+00,9.093647551300865928e+01,3.433438496913676374e+01,5.258003127931456078e+00,-1.841058160399555277e+00,-1.888472329883804424e+00
1.860372074414883059e+00,9.089967647624051494e+01,3.487967632351726621e+01,5.338340888298231945e+00,-1.837079609653031298e+00,-1.966503642046954159e+00
1.880376075215043130e+00,9.086301456176128966e+01,3.542244628380186100e+01,5.418481391776010625e+00,-1.827525582800461734e+00,-1.299654182533836133e+00
1.900380076015203201e+00,9.082659112910388899e+01,3.596270669021525634e+01,5.498425220212457276e+00,-1.813410813206544958e+00,-2.938837950745813998e+00
1.920384076815363272e+00,9.079048822012313735e+01,3.650047023095824272e+01,5.578173049776585124e+00,-1.795592378796882826e+00,-1.864920041342551515e+00
1.940388077615523121e+00,9.075477257443007773e+01,3.703575020396252881e+01,5.657725625818954995e+00,-1.774800238417640230e+00,-1.758300186425610256e+00
1.960392078415683192e+00,9.071949773902832703e+01,3.756856040256706564e+01,5.737083750755606282e+00,-1.751653889849734469e+00,-2.464328370284828207e+00
1.980396079215843264e+00,9.068470475117401008e+01,3.809891507795763488e+01,5.816248280089221900e+00,-1.726668655079535597e+00,-1.560261848510512195e+00
2.000400080016003113e+00,9.065042598529007023e+01,3.862682870824809811e+01,5.895220098041971113e+00,-1.700284525422176785e+00,-2.025925031643873719e+00
2.020404080816163184e+00,9.061668628262538050e+01,3.915231594292990280e+01,5.974000111624406806e+00,-1.672875357299403731e+00,-1.241652959141530399e+00
2.040408081616323255e+00,9.058350292674799675e+01,3.967539162227389227e+01,6.052589252592643021e+00,-1.644749714927058903e+00,-1.707545756944222504e+00
2.060412082416483326e+00,9.055088648331818035e+01,4.019607072753763788e+01,6.130988472184414562e+00,-1.616157817526413965e+00,-1.281581197131687500e+00
2.080416083216643397e+00,9.051884463170918593e+01,4.071436814320180275e+01,6.209198716040620347e+00,-1.587319734822528972e+00,-9.778979322369173444e-01
2.100420084016803468e+00,9.048738120698881460e+01,4.123029873675752555e+01,6.287220932504893334e+00,-1.558419259068344331e+00,-1.366954467711608112e+00
2.120424084816963539e+00,9.045649562670433852e+01,4.174387740970339422e+01,6.365056077916626975e+00,-1.529600503508916631e+00,-1.967461075220339417e+00
2.140428085617123610e+00,9.042618390900109659e+01,4.225511903451030804e+01,6.442705109955316978e+00,-1.500975791818916605e+00,-2.258135107671235708e+00
2.160432086417283681e+00,9.039644195433571383e+01,4.276403824780651775e+01,6.520168965825151375e+00,-1.472649556452836350e+00,-5.959574976946500069e-01
2.180436087217443752e+00,9.036726358260143854e+01,4.327064959508774677e+01,6.597448577385660151e+00,-1.444704844095781482e+00,-1.500350940689541224e+00
2.200440088017603824e+00,9.033863998465912459e+01,4.377496757595363874e+01,6.674544875856262216e+00,-1.417199890631664516e+00,-1.761482364448825333e+00
2.220444088817763451e+00,9.031056106494519042e+01,4.427700655924486028e+01,6.751458782859730334e+00,-1.390178087642311766e+00,-1.318049543611899299e+00
2.240448089617923522e+00,9.028301764883805447e+01,4.477678064343908204e+01,6.828191195687470127e+00,-1.363684000333449831e+00,-1.459389665574774453e+00
2.260452090418083593e+00,9.025599926082649915e+01,4.527430381814289007e+01,6.904743004194899392e+00,-1.337747938753267363e+00,-9.116768066469235210e-01
2.280456091218243664e+00,9.022949381278276348e+01,4.576958998971028336e+01,6.981115093463571064e+00,-1.312384086353887369e+00,-1.295419995135337121e+00
2.300460092018403735e+00,9.020348932884402871e+01,4.626265287037495710e+01,7.057308332105305837e+00,-1.287603009328293524e+00,-1.280728217519083723e+00
2.320464092818563806e+00,9.017797493619860916e+01,4.675350591811559298e+01,7.133323565889884144e+00,-1.263418907423826454e+00,-1.620708767940308492e+00
2.340468093618723877e+00,9.015293881388956265e+01,4.724216248527224593e+01,7.209161633294160154e+00,-1.239835351340289549e+00,-1.005051301966542798e+00
2.360472094418883948e+00,9.012836813439767525e+01,4.772863582497218005e+01,7.284823366158998503e+00,-1.216845117545943822e+00,-1.733778478723435157e+00
2.380476095219044019e+00,9.010425101608967680e+01,4.821293896408906221e+01,7.360309576291357736e+00,-1.194444179957528718e+00,-8.614994600755452314e-01
2.400480096019204090e+00,9.008057651629044926e+01,4.869508470944806078e+01,7.435621056069622092e+00,-1.172631832204075408e+00,-4.106630757090095063e-01
2.420484096819364161e+00,9.005733294873633099e+01,4.917508576976182155e+01,7.510758591199176770e+00,-1.151399007241082018e+00,-1.913742026290657927e+00
2.440488097619524233e+00,9.003450798913691244e+01,4.965295475005072490e+01,7.585722960112439850e+00,-1.130729206821214916e+00,-2.363843822496873859e+00
2.460492098419683860e+00,9.001209064206177857e+01,5.012870402254188207e+01,7.660514920355712576e+00,-1.110612498763686062e+00,-8.021731211865263944e-01
2.480496099219843931e+00,8.999007066171628821e+01,5.060234577098999864e+01,7.735135213204736182e+00,-1.091041567596548134e+00,1.829073401450149738e-01
2.500500100020004002e+00,8.996843719498754410e+01,5.107389208918514356e+01,7.809584573966423804e+00,-1.072002313984313560e+00,-1.572464738420260355e+00
2.520504100820164073e+00,8.994717894014941351e+01,5.154335497130816890e+01,7.883863730954027815e+00,-1.053475112435208416e+00,-1.678822991836202538e+00
2.540508101620324144e+00,8.992628600381590331e+01,5.201074618921006021e+01,7.957973392547711633e+00,-1.035447962652355613e+00,-7.409634957621187290e-01
2.560512102420484215e+00,8.990574917072834182e+01,5.247607734633427157e+01,8.031914252823794342e+00,-1.017911459568551891e+00,-1.438272254597705802e+00
2.580516103220644286e+00,8.988555870903157086e+01,5.293935996445289760e+01,8.105687000623667871e+00,-1.000850523552315963e+00,-1.253863265520684056e+00
2.600520104020804357e+00,8.986570449129031601e+01,5.340060547625458298e+01,8.179292318765842396e+00,-9.842453605764802660e-01,-1.158304093918369304e+00
2.620524104820964428e+00,8.984617767250716724e+01,5.385982511386118432e+01,8.252730872291177633e+00,-9.680833034827855954e-01,-7.020822603368863657e-01
2.640528105621124499e+00,8.982697017075770418e+01,5.431702994755609382e+01,8.326003312501034870e+00,-9.523552473870324775e-01,-1.155006428083591885e+00
2.660532106421284571e+00,8.980807345401220232e+01,5.477223097357893522e+01,8.399110286137686288e+00,-9.370472461310441759e-01,-7.981058260909641433e-01
2.680536107221444198e+00,8.978947857650082653e+01,5.522543911226247104e+01,8.472052435181646857e+00,-9.221408562253969876e-01,-1.010407485672184746e+00
2.700540108021604269e+00,8.977117755778294850e+01,5.567666511615149716e+01,8.544830387161388430e+00,-9.076228459431803230e-01,-1.329958397768981948e+00
2.720544108821764340e+00,8.975316341692210642e+01,5.612591956990920750e+01,8.617444755118015109e+00,-8.934854883134590864e-01,-1.053398617185069552e+00
2.740548109621924411e+00,8.973542879824907459e+01,5.657321298920597030e+01,8.689896147949706773e+00,-8.797170318861446958e-01,-1.354916864470103954e+00
2.760552110422084482e+00,8.971796591854391067e+01,5.701855582499873520e+01,8.762185170854200678e+00,-8.663014046605184149e-01,-8.630439117256439863e-01
2.780556111222244553e+00,8.970076745039989419e+01,5.746195840478388561e+01,8.834312419127984484e+00,-8.532244355023976823e-01,-1.415157549285215977e+00
2.800560112022404624e+00,8.968382736531552268e+01,5.790343087620242102e+01,8.906278472217950437e+00,-8.404797730939321809e-01,-1.386926957741553723e+00
2.820564112822564695e+00,8.966713941495979157e+01,5.834298331561834061e+01,8.978083905085997074e+00,-8.280583529153489053e-01,-9.957744526272116481e-02
2.840568113622724766e+00,8.965069694455107197e+01,5.878062574220913206e+01,9.049729289675020993e+00,-8.159471560173159332e-01,-8.425392661699866448e-01
2.860572114422884837e+00,8.963449321305918716e+01,5.921636809678032876e+01,9.121215192669753336e+00,-8.041314913261601305e-01,-8.310825040621816484e-01
2.880576115223044908e+00,8.961852281681338184e+01,5.965022014551427532e+01,9.192542165352417527e+00,-7.926049349104857811e-01,-5.368367249516763362e-01
2.900580116023204980e+00,8.960278052975684204e+01,6.008219156234410008e+01,9.263710752230863932e+00,-7.813612997204586463e-01,-9.917898009948942217e-01
2.920584116823364607e+00,8.958726074077097223e+01,6.051229197031378959e+01,9.334721495352610532e+00,-7.703907704141244039e-01,-8.846584541532034329e-01
2.940588117623524678e+00,8.957195748913851219e+01,6.094053093932059539e+01,9.405574934064723891e+00,-7.596801961038579520e-01,-5.471058284379035630e-01
2.960592118423684749e+00,8.955686553435110397e+01,6.136691791398027362e+01,9.476271597404052116e+00,-7.492205534744016404e-01,-6.080126323522008214e-01
2.980596119223844820e+00,8.954198051999001962e+01,6.179146220327737637e+01,9.546812002995338275e+00,-7.390081082888713127e-01,-1.318656471755086157e+00
3.000600120024004891e+00,8.952729778781070991e+01,6.221417306582122109e+01,9.617196665966451619e+00,-7.290362205697249465e-01,-3.123649222348940380e-01
3.020604120824164962e+00,8.951281231479724454e+01,6.263505971475308343e+01,9.687426099456189377e+00,-7.192949466773370659e-01,-1.014512418321858567e+00
3.040608121624325033e+00,8.949851897359610575e+01,6.305413130038368053e+01,9.757500812778181043e+00,-7.097728794150697240e-01,-1.237812354572162654e+00
3.060612122424485104e+00,8.948441379625479897e+01,6.347139682403892635e+01,9.827421302341768694e+00,-7.004659247815112622e-01,-1.150703459781037052e+00
3.080616123224645175e+00,8.947049299244898179e+01,6.388686520768877841e+01,9.897188058946856160e+00,-6.913705232121571953e-01,-8.866431953898186169e-01
3.100620124024805246e+00,8.945675242492933421e+01,6.430054533247790971e+01,9.966801571799862813e+00,-6.824800481547583786e-01,1.311700791567752544e-01
3.120624124824965318e+00,8.944318761221565239e+01,6.471244603859570077e+01,1.003626232849912547e+01,-6.737848558659891296e-01,-1.261552808326379393e+00
3.140628125625125389e+00,8.942979434365280156e+01,6.512257608378726559e+01,1.010557081065228680e+01,-6.652765645523714966e-01,-5.852386182852010732e-01
3.160632126425285016e+00,8.941656944347111846e+01,6.553094409084211236e+01,1.017472748834713059e+01,-6.569533510134277776e-01,-1.725865530058716457e+00
3.180636127225445087e+00,8.940350958095751821e+01,6.593755863260273031e+01,1.024373282904724469e+01,-6.488117461445739309e-01,-6.495952127171723545e-01
3.200640128025605158e+00,8.939061109709356856e+01,6.634242824502328517e+01,1.031258729894716808e+01,-6.408454628416819787e-01,-1.910622541036784416e-01
3.220644128825765229e+00,8.937787002572557071e+01,6.674556142578842355e+01,1.038129136282546305e+01,-6.330455672790407107e-01,-7.513772283097682747e-01
3.240648129625925300e+00,8.936528293581373816e+01,6.714696657697882642e+01,1.044984547799353258e+01,-6.254063105663760780e-01,-9.400837725080470886e-01
3.260652130426085371e+00,8.935284716789178106e+01,6.754665198892060118e+01,1.051825009259279398e+01,-6.179267706793609705e-01,-5.021712386500921665e-01
3.280656131226245442e+00,8.934055981517963119e+01,6.794462591346868408e+01,1.058650565325394410e+01,-6.106038409135976508e-01,-2.605279653382724381e-01
3.300660132026405513e+00,8.932841766016456120e+01,6.834089656892888343e+01,1.065461260560478784e+01,-6.034318138761562977e-01,-2.716030283674529811e-01
3.320664132826565584e+00,8.931641721204063344e+01,6.873547213758287455e+01,1.072257139400728043e+01,-5.964026599169756082e-01,3.898342670479202354e-01
3.340668133626725655e+00,8.930455559682914668e+01,6.912836070477912642e+01,1.079038245513095085e+01,-5.895121731057741954e-01,-4.849284369376358206e-01
3.360672134426885727e+00,8.929283056008297592e+01,6.951957025896356868e+01,1.085804621795241864e+01,-5.827599975906281315e-01,-8.789650474670944735e-01
3.380676135227045354e+00,8.928123958822197892e+01,6.990910875511858080e+01,1.092556311038007344e+01,-5.761435918272610479e-01,-6.391331868205823996e-01
3.400680136027205425e+00,8.926977987410636217e+01,7.029698411750783293e+01,1.099293355953555285e+01,-5.696580092436960285e-01,-6.059072820536020032e-01
3.420684136827365496e+00,8.925844834668048122e+01,7.068320423771378103e+01,1.106015799154501522e+01,-5.632961190226097870e-01,-5.089274272835504487e-01
3.440688137627525567e+00,8.924724248567797247e+01,7.106777691876015979e+01,1.112723682564202576e+01,-5.570542199808130590e-01,-5.720681265955305239e-01
3.460692138427685638e+00,8.923616038368895431e+01,7.145070987085381375e+01,1.119417047371902996e+01,-5.509324728926827675e-01,-4.639495034445810795e-01
3.480696139227845709e+00,8.922519989425931897e+01,7.183201077288846648e+01,1.126095934674886223e+01,-5.449290563732631654e-01,-1.380354086680819492e+00
3.500700140028005780e+00,8.921435859406760471e+01,7.221168727544355193e+01,1.132760385509205747e+01,-5.390399215987287107e-01,-1.242254435787072953e-01
3.520704140828165851e+00,8.920363379139787696e+01,7.258974700023026116e+01,1.139410440843765926e+01,-5.332588646042353275e-01,-8.206284990647514377e-01
3.540708141628325922e+00,8.919302314977808521e+01,7.296619749735582161e+01,1.146046141128861251e+01,-5.275818178366904476e-01,-1.114161166060202657e+00
3.560712142428485993e+00,8.918252505106180195e+01,7.334104621986291761e+01,1.152667526028716161e+01,-5.220093461469588192e-01,-2.031337663262409721e-01
3.580716143228646065e+00,8.917213769346004426e+01,7.371430058859344570e+01,1.159274635099219353e+01,-5.165404658175418717e-01,1.421225378754991109e-01
3.600720144028806136e+00,8.916185901443554940e+01,7.408596799812504230e+01,1.165867507849027263e+01,-5.111721277019114495e-01,-2.646580529521901370e-01
3.620724144828965763e+00,8.915168669070274632e+01,7.445605581677106954e+01,1.172446183739562464e+01,-5.058992290830559568e-01,-4.253195721602958113e-01
3.640728145629125834e+00,8.914161846101016806e+01,7.482457136454819135e+01,1.179010701951825446e+01,-5.007168358777107642e-01,-9.668269885636868732e-01
3.660732146429285905e+00,8.913165288933836905e+01,7.519152185987621806e+01,1.185561100825569625e+01,-4.956254157847013175e-01,9.401582531220480377e-01
3.680736147229445976e+00,8.912178849886181808e+01,7.555691448131008769e+01,1.192097418505700190e+01,-4.906249101224204878e-01,-5.049559979166640122e-02
3.700740148029606047e+00,8.911202356741138431e+01,7.592075638290043571e+01,1.198619693101091421e+01,-4.857133426355062511e-01,-1.055360677806994163e+00
3.720744148829766118e+00,8.910235612753649548e+01,7.628305469418985751e+01,1.205127962684545295e+01,-4.808868299288491244e-01,-8.707057880487214518e-01
3.740748149629926189e+00,8.909278404473147361e+01,7.664381651491815717e+01,1.211622265236562335e+01,-4.761401261117441663e-01,-4.326505018257920110e-01
3.760752150430086260e+00,8.908330583926367296e+01,7.700304885796451515e+01,1.218102638043643715e+01,-4.714722500185928311e-01,-1.248837816016585833e+00
3.780756151230246331e+00,8.907392033714144475e+01,7.736075867391276972e+01,1.224569117956490238e+01,-4.668840998535159770e-01,-3.825688963482588578e-01
