t,v,brake_temperature,cart_position,dv_dt
1.140228045609121693e-01,1.981401467011559703e+01,1.355237427638581904e+00,2.269885953234633824e+00,-1.645311952321420579e+00
1.200240048009601768e-01,1.980413711863426940e+01,1.425844449777226464e+00,2.388764186614823704e+00,-1.646541204260147495e+00
1.260252050410081981e-01,1.979425231346768754e+01,1.496379471495918434e+00,2.507583121338504029e+00,-1.647729010138947459e+00
1.320264052810561917e-01,1.978436050439661997e+01,1.566842514663837171e+00,2.626342714745137474e+00,-1.648874889695017387e+00
1.380276055211042130e-01,1.977446194419452041e+01,1.637233601863992805e+00,2.745042925625847730e+00,-1.649978371329251070e+00
1.440288057611522343e-01,1.976455688862754911e+01,1.707552756393224902e+00,2.863683714223415055e+00,-1.651038992232729097e+00
1.500300060012002279e-01,1.975464559645454443e+01,1.777800002262203360e+00,2.982265042232280727e+00,-1.652056298510686583e+00
1.560312062412482492e-01,1.974472832942705480e+01,1.847975364195428627e+00,3.100786872798545701e+00,-1.653029845303919831e+00
1.620324064812962428e-01,1.973480535228931743e+01,1.918078867631231033e+00,3.219249170519969283e+00,-1.653959196907549112e+00
1.680336067213442641e-01,1.972487693277825471e+01,1.988110538721771237e+00,3.337651901445971347e+00,-1.654843926887125560e+00
1.740348069613922577e-01,1.971494333822315070e+01,2.058070404657482477e+00,3.455995033778428649e+00,-1.655683617665275387e+00
1.800360072014402790e-01,1.970500483336887143e+01,2.127958494016498392e+00,3.574278538607712274e+00,-1.656477860297574267e+00
1.860372074414882726e-01,1.969506169522693995e+01,2.197774835368642599e+00,3.692502386895302191e+00,-1.657226256881526805e+00
1.920384076815362939e-01,1.968511420309390303e+01,2.267519458093752327e+00,3.810666551259523693e+00,-1.657928419112330909e+00
1.980396079215843153e-01,1.967516263789395836e+01,2.337192392440190503e+00,3.928771006102502739e+00,-1.658583968281772902e+00
2.040408081616323088e-01,1.966520728217892611e+01,2.406793669524848411e+00,4.046815727610168167e+00,-1.659192535376106781e+00
2.100420084016803302e-01,1.965524842012827378e+01,2.476323321333143923e+00,4.164800693752250815e+00,-1.659753761170988717e+00
2.160432086417283237e-01,1.964528633754909848e+01,2.545781380719021936e+00,4.282725884282282180e+00,-1.660267296323428177e+00
2.220444088817763451e-01,1.963532132187614110e+01,2.615167881404955263e+00,4.400591280737600641e+00,-1.660732801460727881e+00
2.280456091218243386e-01,1.962535366217177568e+01,2.684482857981942860e+00,4.518396866439339910e+00,-1.661149947266364890e+00
2.340468093618723600e-01,1.961538364912601295e+01,2.753726345909511153e+00,4.636142626492441465e+00,-1.661518414562795476e+00
2.400480096019203535e-01,1.960541157505650744e+01,2.822898381515714483e+00,4.753828547785646563e+00,-1.661837894391145598e+00
2.460492098419683749e-01,1.959543773390853971e+01,2.891999001997133334e+00,4.871454618991498897e+00,-1.662108088087766777e+00
2.520504100820163962e-01,1.958546242125503412e+01,2.961028245418875215e+00,4.989020830566343712e+00,-1.662328707357613844e+00
2.580516103220644175e-01,1.957548593429655526e+01,3.029986150714575999e+00,5.106527174750330467e+00,-1.662499474344446782e+00
2.640528105621123833e-01,1.956550857186130088e+01,3.098872757686397250e+00,5.223973645567406621e+00,-1.662620121697798048e+00
2.700540108021604047e-01,1.955553063440510186e+01,3.167688107005028897e+00,5.341360238825328288e+00,-1.662690392636720249e+00
2.760552110422084260e-01,1.954555242401143289e+01,3.236432240209687450e+00,5.458686952115648694e+00,-1.662710041010262874e+00
2.820564112822564473e-01,1.953557424439140178e+01,3.305105199708116004e+00,5.575953784813723502e+00,-1.662678831354681641e+00
2.880576115223044686e-01,1.952559640088375659e+01,3.373707028776586458e+00,5.693160738078711702e+00,-1.662596538947346492e+00
2.940588117623524345e-01,1.951561920045487852e+01,3.442237771559894632e+00,5.810307814853574726e+00,-1.662462949857345773e+00
3.000600120024004558e-01,1.950564295169879259e+01,3.510697473071368258e+00,5.927395019865077330e+00,-1.662277860992770639e+00
3.060612122424484771e-01,1.949566796483715336e+01,3.579086179192858097e+00,6.044422359623782270e+00,-1.662041080144653238e+00
3.120624124824964984e-01,1.948569455171925568e+01,3.647403936674743719e+00,6.161389842424058294e+00,-1.661752426027571783e+00
3.180636127225444643e-01,1.947572302582203108e+01,3.715650793135930385e+00,6.278297478344073923e+00,-1.661411728316898762e+00
3.240648129625924856e-01,1.946575370225005130e+01,3.783826797063853498e+00,6.395145279245802783e+00,-1.661018827682680277e+00
3.300660132026405069e-01,1.945578689773552128e+01,3.851931997814474151e+00,6.511933258775020050e+00,-1.660573575820157632e+00
3.360672134426885282e-01,1.944582292631000442e+01,3.919966445650926445e+00,6.628661432505620787e+00,-1.660075834783185433e+00
3.420684136827365496e-01,1.943586208314550845e+01,3.987930192073770197e+00,6.745329818856042436e+00,-1.659525474420160851e+00
3.480696139227845154e-01,1.942590468707198070e+01,4.055823289555894107e+00,6.861938437905104493e+00,-1.658922379209825104e+00
3.540708141628325367e-01,1.941595106095140721e+01,4.123645791460583077e+00,6.978487311524963488e+00,-1.658266445129157995e+00
3.600720144028805580e-01,1.940600152724951855e+01,4.191397752061043036e+00,7.094976463488166019e+00,-1.657557578956632360e+00
3.660732146429285794e-01,1.939605640803576136e+01,4.259079226540404939e+00,7.211405919467655856e+00,-1.656795698282189422e+00
3.720744148829765452e-01,1.938611602498331266e+01,4.326690270991724319e+00,7.327775707036769504e+00,-1.655980731513938098e+00
3.780756151230245665e-01,1.937618069936907972e+01,4.394230942417982178e+00,7.444085855669238860e+00,-1.655112617881596471e+00
3.840768153630725879e-01,1.936625075207368951e+01,4.461701298732079657e+00,7.560336396739190334e+00,-1.654191307436671865e+00
3.900780156031206092e-01,1.935632650358150997e+01,4.529101398756845143e+00,7.676527363521144842e+00,-1.653216761049407957e+00
3.960792158431686305e-01,1.934640827398062513e+01,4.596431302225030713e+00,7.792658791190016032e+00,-1.652188950402484480e+00
4.020804160832165963e-01,1.933649638296285289e+01,4.663691069779312137e+00,7.908730716821112949e+00,-1.651107857981514826e+00
4.080816163232646177e-01,1.932659114982373083e+01,4.730880762972288878e+00,8.024743179390140924e+00,-1.649973477062327110e+00
4.140828165633126390e-01,1.931669289346253393e+01,4.798000444266485864e+00,8.140696219773198905e+00,-1.648785811695067549e+00
4.200840168033606603e-01,1.930680193238226039e+01,4.865050177034350831e+00,8.256589880746776799e+00,-1.647544876685128390e+00
4.260852170434086261e-01,1.929691858468963161e+01,4.932030025558255204e+00,8.372424206987762574e+00,-1.646250697570924570e+00
4.320864172834566475e-01,1.928704316809510289e+01,4.998940055030497653e+00,8.488199245073440480e+00,-1.644903310598545998e+00
4.380876175235046688e-01,1.927717599991285624e+01,5.065780331553296989e+00,8.603915043481483949e+00,-1.643502762693295427e+00
4.440888177635526901e-01,1.926731739706079694e+01,5.132550922138798377e+00,8.719571652589962696e+00,-1.642049111428139474e+00
4.500900180036007114e-01,1.925746767606056054e+01,5.199251894709069788e+00,8.835169124677342722e+00,-1.640542424989105852e+00
4.560912182436486773e-01,1.924762715303751293e+01,5.265883318096104659e+00,8.950707513922482761e+00,-1.638982782137630378e+00
4.620924184836966986e-01,1.923779614372074320e+01,5.332445262041821898e+00,9.066186876404637829e+00,-1.637370272169909491e+00
4.680936187237447199e-01,1.922797496344307078e+01,5.398937797198059663e+00,9.181607270103455676e+00,-1.635704994873259155e+00
4.740948189637927412e-01,1.921816392714103827e+01,5.465360995126585131e+00,9.296968754898976783e+00,-1.633987060479523912e+00
4.800960192038407071e-01,1.920836334935492218e+01,5.531714928299085621e+00,9.412271392571639694e+00,-1.632216589615567148e+00
4.860972194438887284e-01,1.919857354422871865e+01,5.597999670097176583e+00,9.527515246802277460e+00,-1.630393713250861243e+00
4.920984196839367497e-01,1.918879482551016125e+01,5.664215294812395385e+00,9.642700383172112311e+00,-1.628518572642229323e+00
4.980996199239847710e-01,1.917902750655070321e+01,5.730361877646203084e+00,9.757826869162768091e+00,-1.626591319275749070e+00
5.041008201640327924e-01,1.916927190030552808e+01,5.796439494709986207e+00,9.872894774156256048e+00,-1.624612114805872753e+00
5.101020204040808137e-01,1.915952831933354616e+01,5.862448223025054084e+00,9.987904169434989043e+00,-1.622581130991791243e+00
5.161032206441288350e-01,1.914979707579739809e+01,5.928388140522640626e+00,1.010285512818176734e+01,-1.620498549631075980e+00
5.221044208841767453e-01,1.914007848146344770e+01,5.994259326043904323e+00,1.021774772547978927e+01,-1.618364562490637759e+00
5.281056211242247667e-01,1.913037284770178914e+01,6.060061859339927359e+00,1.033258203831264943e+01,-1.616179371235049178e+00
5.341068213642727880e-01,1.912068048548623977e+01,6.125795821071717384e+00,1.044735814556433340e+01,-1.613943187352253616e+00
5.401080216043208093e-01,1.911100170539435439e+01,6.191461292810203076e+00,1.056207612801922302e+01,-1.611656232076721373e+00
5.461092218443688306e-01,1.910133681619266000e+01,6.257058356917309716e+00,1.067673606814980758e+01,-1.609318736086187362e+00
5.521104220844168520e-01,1.909168609720241250e+01,6.322587094412053688e+00,1.079133804635291227e+01,-1.606930935049265097e+00
5.581116223244648733e-01,1.908204984373449165e+01,6.388047589063236664e+00,1.090588214832086322e+01,-1.604493076734712087e+00
5.641128225645128946e-01,1.907242836083715076e+01,6.453439926462644749e+00,1.102036846329156461e+01,-1.602005419930599528e+00
5.701140228045609160e-01,1.906282195116142120e+01,6.518764192937950952e+00,1.113479708209205477e+01,-1.599468232435784287e+00
5.761152230446089373e-01,1.905323091496111232e+01,6.584020475552716967e+00,1.124916809713849908e+01,-1.596881790970424486e+00
5.821164232846568476e-01,1.904365555009281508e+01,6.649208862106391393e+00,1.136348160243619176e+01,-1.594246381084311714e+00
5.881176235247048689e-01,1.903409615201590555e+01,6.714329441134315957e+00,1.147773769357956475e+01,-1.591562297063076503e+00
5.941188237647528902e-01,1.902455301379253427e+01,6.779382301907716624e+00,1.159193646775217701e+01,-1.588829841832302359e+00
6.001200240048009116e-01,1.901502642608762983e+01,6.844367534433709821e+00,1.170607802372671458e+01,-1.586049326859598541e+00
6.061212242448489329e-01,1.900551667716891302e+01,6.909285229455299771e+00,1.182016246186500297e+01,-1.583221072054681544e+00
6.121224244848969542e-01,1.899602405290686846e+01,6.974135478451378489e+00,1.193418988411799120e+01,-1.580345405667500369e+00
6.181236247249449756e-01,1.898654883677477301e+01,7.038918373636727566e+00,1.204816039402576244e+01,-1.577422664184469969e+00
6.241248249649929969e-01,1.897709130984868153e+01,7.103634007962018160e+00,1.216207409671752870e+01,-1.574453192222846187e+00
6.301260252050410182e-01,1.896765175080742694e+01,7.168282475113808339e+00,1.227593109891163436e+01,-1.571437342423301020e+00
6.361272254450889285e-01,1.895823043593262014e+01,7.232863869514543076e+00,1.238973150891555441e+01,-1.568375475340735292e+00
6.421284256851369499e-01,1.894882763910866075e+01,7.297378286322561358e+00,1.250347543662589800e+01,-1.565267959333395353e+00
6.481296259251849712e-01,1.893944363182271573e+01,7.361825821432084638e+00,1.261716299352839776e+01,-1.562115170450321111e+00
6.541308261652329925e-01,1.893007868316474784e+01,7.426206571473227491e+00,1.273079429269792406e+01,-1.558917492317202891e+00
6.601320264052810138e-01,1.892073305982748721e+01,7.490520633811989626e+00,1.284436944879847431e+01,-1.555675316020665111e+00
6.661332266453290352e-01,1.891140702610645263e+01,7.554768106550262097e+00,1.295788857808317829e+01,-1.552389039991058040e+00
6.721344268853770565e-01,1.890210084389993739e+01,7.618949088525821089e+00,1.307135179839429640e+01,-1.549059069883784945e+00
6.781356271254250778e-01,1.889281477270901277e+01,7.683063679312334138e+00,1.318475922916321963e+01,-1.545685818459230143e+00
6.841368273654730991e-01,1.888354906963754232e+01,7.747111979219358346e+00,1.329811099141046782e+01,-1.542269705461338569e+00
6.901380276055210095e-01,1.887430398939216047e+01,7.811094089292333287e+00,1.341140720774569317e+01,-1.538811157494880621e+00
6.961392278455690308e-01,1.886507978428227972e+01,7.875010111312594319e+00,1.352464800236768561e+01,-1.535310607901483548e+00
7.021404280856170521e-01,1.885587670422009765e+01,7.938860147797363709e+00,1.363783350106435677e+01,-1.531768496634452914e+00
7.081416283256650734e-01,1.884669499672059700e+01,8.002644301999747967e+00,1.375096383121274890e+01,-1.528185270132455198e+00
7.141428285657130948e-01,1.883753490690152788e+01,8.066362677908745837e+00,1.386403912177904196e+01,-1.524561381192100606e+00
7.201440288057611161e-01,1.882839667748342904e+01,8.130015380249243861e+00,1.397705950331854297e+01,-1.520897288839488048e+00
7.261452290458091374e-01,1.881928054878962442e+01,8.193602514482016375e+00,1.409002510797568775e+01,-1.517193458200761569e+00
7.321464292858571588e-01,1.881018675874620172e+01,8.257124186803729060e+00,1.420293606948404630e+01,-1.513450360371717540e+00
7.381476295259051801e-01,1.880111554288204800e+01,8.320580504146930068e+00,1.431579252316631923e+01,-1.509668472286542329e+00
7.441488297659530904e-01,1.879206713432881770e+01,8.383971574180060671e+00,1.442859460593433596e+01,-1.505848276585700196e+00
7.501500300060011117e-01,1.878304176382094681e+01,8.447297505307453491e+00,1.454134245628905830e+01,-1.501990261483049816e+00
7.561512302460491330e-01,1.877403965969566002e+01,8.510558406669323617e+00,1.465403621432058046e+01,-1.498094920632224714e+00
7.621524304860971544e-01,1.876506104789295648e+01,8.573754388141777483e+00,1.476667602170812366e+01,-1.494162752992334031e+00
7.681536307261451757e-01,1.875610615195560982e+01,8.636885560336811096e+00,1.487926202172004153e+01,-1.490194262693039118e+00
7.741548309661931970e-01,1.874717519151131739e+01,8.699952034116746447e+00,1.499179435828012963e+01,-1.486189958687412327e+00
7.801560312062412184e-01,1.873826836605174506e+01,8.762953915748857625e+00,1.510427316667660591e+01,-1.482150352347661570e+00
7.861572314462892397e-01,1.872938588295541606e+01,8.825891316230894290e+00,1.521669859152180848e+01,-1.478075961230778113e+00
7.921584316863372610e-01,1.872052795127058999e+01,8.888764348665338488e+00,1.532907078165412429e+01,-1.473967308089980888e+00
7.981596319263851713e-01,1.871169477658620295e+01,8.951573126537756053e+00,1.544138988682118274e+01,-1.469824920026223225e+00
8.041608321664331926e-01,1.870288656103186398e+01,9.014317763716789500e+00,1.555365605767985926e+01,-1.465649328352907288e+00
8.101620324064812140e-01,1.869410350327785864e+01,9.076998374454161578e+00,1.566586944579626284e+01,-1.461441068460331616e+00
8.161632326465292353e-01,1.868534579853513122e+01,9.139615073384671717e+00,1.577803020364573960e+01,-1.457200679679894195e+00
8.221644328865772566e-01,1.867661363855530965e+01,9.202167975526203136e+00,1.589013848461288525e+01,-1.452928705148118116e+00
8.281656331266252780e-01,1.866790721163069477e+01,9.264657196279715734e+00,1.600219444299152372e+01,-1.448625691670529569e+00
8.341668333666732993e-01,1.865922670259425331e+01,9.327082851429251420e+00,1.611419823398473383e+01,-1.444292189585451247e+00
8.401680336067213206e-01,1.865057229281962847e+01,9.389445057141928785e+00,1.622615001370481735e+01,-1.439928752627745556e+00
8.461692338467693419e-01,1.864194416022113288e+01,9.451743929967946656e+00,1.633804993917333093e+01,-1.435535937792558947e+00
8.521704340868172523e-01,1.863334247925375209e+01,9.513979586840584091e+00,1.644989816832105944e+01,-1.431114305199111536e+00
8.581716343268652736e-01,1.862476742091314463e+01,9.576152145076200384e+00,1.656169485998803736e+01,-1.426664417954578878e+00
8.641728345669132949e-01,1.861621915273564198e+01,9.638261722374233287e+00,1.667344017392353805e+01,-1.422186842018112740e+00
8.701740348069613162e-01,1.860769783879824857e+01,9.700308436817200786e+00,1.678513427078606668e+01,-1.417682146065031290e+00
8.761752350470093376e-01,1.859920363971863821e+01,9.762292406870699324e+00,1.689677731214337442e+01,-1.413150901351250877e+00
8.821764352870573589e-01,1.859073671265515770e+01,9.824213751383403803e+00,1.700836946047245490e+01,-1.408593681577968049e+00
8.881776355271053802e-01,1.858229721130682677e+01,9.886072589587074688e+00,1.711991087915953713e+01,-1.404011062756668204e+00
8.941788357671534015e-01,1.857388528591333454e+01,9.947869041096542020e+00,1.723140173250009255e+01,-1.399403623074477521e+00
9.001800360072014229e-01,1.856550108325504667e+01,1.000960322590972496e+01,1.734284218569883151e+01,-1.394771942759916561e+00
9.061812362472493332e-01,1.855714474665300173e+01,1.007127526440761578e+01,1.745423240486970329e+01,-1.390116603949089535e+00
9.121824364872973545e-01,1.854881641596890418e+01,1.013288527735429057e+01,1.756557255703590315e+01,-1.385438190552351623e+00
9.181836367273453758e-01,1.854051622760513851e+01,1.019443338589690207e+01,1.767686281012985816e+01,-1.380737288121500317e+00
9.241848369673933972e-01,1.853224431450475507e+01,1.025591971156568327e+01,1.778810333299324142e+01,-1.376014483717518555e+00
9.301860372074414185e-01,1.852400080615147715e+01,1.031734437627394563e+01,1.789929429537696137e+01,-1.371270365778926470e+00
9.361872374474894398e-01,1.851578582856970456e+01,1.037870750231808437e+01,1.801043586794117246e+01,-1.366505523990760640e+00
9.421884376875374612e-01,1.850759950432450651e+01,1.044000921237756785e+01,1.812152822225526450e+01,-1.361720549154239235e+00
9.481896379275854825e-01,1.849944195252162160e+01,1.050124962951495000e+01,1.823257153079786619e+01,-1.356916033057135706e+00
9.541908381676335038e-01,1.849131328880746850e+01,1.056242887717586143e+01,1.834356596695685226e+01,-1.352092568344907431e+00
9.601920384076814141e-01,1.848321362536912815e+01,1.062354707918900942e+01,1.845451170502933280e+01,-1.347250748392605724e+00
9.661932386477294354e-01,1.847514307093436514e+01,1.068460435976618506e+01,1.856540892022165679e+01,-1.342391167177618971e+00
9.721944388877774568e-01,1.846710173077160277e+01,1.074560084350225964e+01,1.867625778864941921e+01,-1.337514419153266632e+00
9.781956391278254781e-01,1.845908970668994797e+01,1.080653665537518116e+01,1.878705848733745043e+01,-1.332621099123292741e+00
9.841968393678734994e-01,1.845110709703917351e+01,1.086741192074597784e+01,1.889781119421981970e+01,-1.327711802117284901e+00
9.901980396079215208e-01,1.844315399670972511e+01,1.092822676535875814e+01,1.900851608813983873e+01,-1.322787123267053166e+00
9.961992398479695421e-01,1.843523049713272854e+01,1.098898131534070544e+01,1.911917334885006170e+01,-1.317847657684009688e+00
1.002200440088017563e+00,1.842733668639465705e+01,1.104967569628784574e+01,1.922978315520460413e+01,-1.312894000416751528e+00
1.008201640328065585e+00,1.841947264896315772e+01,1.111031002793069078e+01,1.934034567463632825e+01,-1.307926746658401251e+00
1.014202840568113606e+00,1.841163846357514089e+01,1.117088443545159571e+01,1.945086108555130266e+01,-1.302946490549992120e+00
1.020204040808161627e+00,1.840383420524205604e+01,1.123139904546565582e+01,1.956132956934287392e+01,-1.297953825625671520e+00
1.026205241048209649e+00,1.839605994557371460e+01,1.129185398457014422e+01,1.967175130751988377e+01,-1.292949344842001747e+00
1.032206441288257670e+00,1.838831575277830410e+01,1.135224937934451894e+01,1.978212648170665489e+01,-1.287933640462479712e+00
1.038207641528305691e+00,1.838060169166236690e+01,1.141258535635042115e+01,1.989245527364300870e+01,-1.282907303943187971e+00
1.044208841768353491e+00,1.837291782363081794e+01,1.147286204213166627e+01,2.000273786518424757e+01,-1.277870925819624581e+00
1.050210042008401512e+00,1.836526420668692694e+01,1.153307956321426175e+01,2.011297443830118326e+01,-1.272825095594710465e+00
1.056211242248449533e+00,1.835764089543234334e+01,1.159323804610638931e+01,2.022316517508010136e+01,-1.267770401628030896e+00
1.062212442488497555e+00,1.835004794106706782e+01,1.165333761729841022e+01,2.033331025772277911e+01,-1.262707431026304894e+00
1.068213642728545576e+00,1.834248539138947720e+01,1.171337840326287427e+01,2.044340986854649245e+01,-1.257636769535137811e+00
1.074214842968593597e+00,1.833495329079629954e+01,1.177336053045450726e+01,2.055346418998400182e+01,-1.252559001432050456e+00
1.080216043208641619e+00,1.832745168028264615e+01,1.183328412531021989e+01,2.066347340458355930e+01,-1.247474709420840044e+00
1.086217243448689640e+00,1.831998059744197604e+01,1.189314931424910071e+01,2.077343769500891213e+01,-1.242384474527259641e+00
1.092218443688737661e+00,1.831254007646612436e+01,1.195295622367242139e+01,2.088335724403929561e+01,-1.237288875996074511e+00
1.098219643928785683e+00,1.830513014814528816e+01,1.201270497996363673e+01,2.099323223456943310e+01,-1.232188491189488033e+00
1.104220844168833704e+00,1.829775083986802997e+01,1.207239570948838292e+01,2.110306284960953960e+01,-1.227083895486970500e+00
1.110222044408881725e+00,1.829040217562127069e+01,1.213202853859447217e+01,2.121284927228532169e+01,-1.221975662186509437e+00
1.116223244648929747e+00,1.828308417599031088e+01,1.219160359361190693e+01,2.132259168583798115e+01,-1.216864362407301892e+00
1.122224444888977768e+00,1.827579685815879884e+01,1.225112100085286215e+01,2.143229027362420069e+01,-1.211750564993895996e+00
1.128225645129025789e+00,1.826854023590876253e+01,1.231058088661170302e+01,2.154194521911616533e+01,-1.206634836421818457e+00
1.134226845369073811e+00,1.826131431962058826e+01,1.236998337716496721e+01,2.165155670590153747e+01,-1.201517740704686643e+00
1.140228045609121832e+00,1.825411911627302430e+01,1.242932859877138263e+01,2.176112491768348534e+01,-1.196399839302832113e+00
1.146229245849169853e+00,1.824695462944319146e+01,1.248861667767185146e+01,2.187065003828065457e+01,-1.191281691033448720e+00
1.152230446089217875e+00,1.823982085930656893e+01,1.254784774008946080e+01,2.198013225162718598e+01,-1.186163851982279471e+00
1.158231646329265674e+00,1.823271780263700848e+01,1.260702191222947732e+01,2.208957174177271199e+01,-1.181046875416853048e+00
1.164232846569313695e+00,1.822564545280671666e+01,1.266613932027935441e+01,2.219896869288236019e+01,-1.175931311701290394e+00
1.170234046809361717e+00,1.821860379978627265e+01,1.272520009040872146e+01,2.230832328923674623e+01,-1.170817708212691821e+00
1.176235247049409738e+00,1.821159283014462105e+01,1.278420434876938927e+01,2.241763571523196674e+01,-1.165706609259111737e+00
1.182236447289457759e+00,1.820461252704906485e+01,1.284315222149535529e+01,2.252690615537962415e+01,-1.160598555999133863e+00
1.188237647529505780e+00,1.819766287026527962e+01,1.290204383470278948e+01,2.263613479430680187e+01,-1.155494086363068718e+00
1.194238847769553802e+00,1.819074383615730284e+01,1.296087931449005204e+01,2.274532181675607134e+01,-1.150393734975764692e+00
1.200240048009601823e+00,1.818385539768753389e+01,1.301965878693768275e+01,2.285446740758550987e+01,-1.145298033081055822e+00
1.206241248249649844e+00,1.817699752441674477e+01,1.307838237810839743e+01,2.296357175176866861e+01,-1.140207508467850461e+00
1.212242448489697866e+00,1.817017018250406579e+01,1.313705021404710038e+01,2.307263503439459384e+01,-1.135122685397868647e+00
1.218243648729745887e+00,1.816337333470699278e+01,1.319566242078087370e+01,2.318165744066783418e+01,-1.130044084535032800e+00
1.224244848969793908e+00,1.815660694038138701e+01,1.325421912431898086e+01,2.329063915590841205e+01,-1.124972222876528205e+00
1.230246049209841930e+00,1.814987096158415980e+01,1.331272044817919564e+01,2.339958036054131441e+01,-1.119907614697600362e+00
1.236247249449889951e+00,1.814316536458800755e+01,1.337116651214679131e+01,2.350848122762528547e+01,-1.114850771774435589e+00
1.242248449689937972e+00,1.813649009822902158e+01,1.342955744110027183e+01,2.361734194072594661e+01,-1.109802199726891647e+00
1.248249649929985994e+00,1.812984510815874373e+01,1.348789335979997617e+01,2.372616268332133416e+01,-1.104762400285505430e+00
1.254250850170034015e+00,1.812323033748054613e+01,1.354617439264193024e+01,2.383494363830250506e+01,-1.099731871334372890e+00
1.260252050410082036e+00,1.811664572674963125e+01,1.360440066365785583e+01,2.394368498797354761e+01,-1.094711106850822402e+00
1.266253250650129836e+00,1.811009121397304611e+01,1.366257229651516347e+01,2.405238691405156004e+01,-1.089700596846728820e+00
1.272254450890177857e+00,1.810356673460966803e+01,1.372068941451695601e+01,2.416104959766668614e+01,-1.084700827311459115e+00
1.278255651130225878e+00,1.809707222157020823e+01,1.377875214060202680e+01,2.426967321936207611e+01,-1.079712280156467141e+00
1.284256851370273900e+00,1.809060760521721534e+01,1.383676059734485619e+01,2.437825795909391147e+01,-1.074735433161532194e+00
1.290258051610321921e+00,1.808417281336506477e+01,1.389471490695561862e+01,2.448680399623139792e+01,-1.069770759922636483e+00
1.296259251850369942e+00,1.807776777127998358e+01,1.395261519128017902e+01,2.459531150955676182e+01,-1.064818729801499053e+00
1.302260452090417964e+00,1.807139240168001848e+01,1.401046157180009288e+01,2.470378067726525728e+01,-1.059879807876740410e+00
1.308261652330465985e+00,1.806504662473505718e+01,1.406825416963260800e+01,2.481221167696516261e+01,-1.054954454896702698e+00
1.314262852570514006e+00,1.805873035806682125e+01,1.412599310553065912e+01,2.492060468567777676e+01,-1.050043127233905471e+00
1.320264052810562028e+00,1.805244351674886971e+01,1.418367849988287333e+01,2.502895987983742643e+01,-1.045146276841145916e+00
1.326265253050610049e+00,1.804618601330659189e+01,1.424131047271357176e+01,2.513727743529146252e+01,-1.040264351209233773e+00
1.332266453290658070e+00,1.803995775771721810e+01,1.429888914368276076e+01,2.524555752730026015e+01,-1.035397793326360727e+00
1.338267653530706092e+00,1.803375865740980899e+01,1.435641463208614432e+01,2.535380033053721149e+01,-1.030547041639102046e+00
1.344268853770754113e+00,1.802758861726525907e+01,1.441388705685510985e+01,2.546200601908874717e+01,-1.025712530015043367e+00
1.350270054010802134e+00,1.802144753961630741e+01,1.447130653655673882e+01,2.557017476645430776e+01,-1.020894687707028181e+00
1.356271254250850156e+00,1.801533532424751272e+01,1.452867318939380326e+01,2.567830674554636872e+01,-1.016093939319019146e+00
1.362272454490898177e+00,1.800925186839528180e+01,1.458598713320476925e+01,2.578640212869042259e+01,-1.011310704773571878e+00
