t,v_x,v_y,y_position,dv_x_dt
9.401880376075215703e-11,-3.284479007658016781e+04,-3.236318020969269128e+03,-1.200971458225628171e-07,-3.460719286473371875e+14
9.601920384076815954e-11,-3.353686768920972099e+04,-3.353094174965475759e+03,-1.266874637303990914e-07,-3.458665433191085625e+14
9.801960392078416206e-11,-3.422853017239746259e+04,-3.472304513606576620e+03,-1.335138123195875890e-07,-3.456568769286088125e+14
1.000200040008001646e-10,-3.491976896100969316e+04,-3.593947557140369554e+03,-1.405810617084946368e-07,-3.454429320916640000e+14
1.020204040808161671e-10,-3.561057549617852783e+04,-3.718021795901030600e+03,-1.478940784596769511e-07,-3.452247114771337500e+14
1.040208041608321696e-10,-3.630094122530187451e+04,-3.844525690309113088e+03,-1.554577255798817962e-07,-3.450022178068665000e+14
1.060212042408481721e-10,-3.699085760204345570e+04,-3.973457670871545815e+03,-1.632768625200467993e-07,-3.447754538556207500e+14
1.080216043208641746e-10,-3.768031608633280848e+04,-4.104816138181638053e+03,-1.713563451753001356e-07,-3.445444224509366875e+14
1.100220044008801772e-10,-3.836930814436527726e+04,-4.238599462919073630e+03,-1.797010258849603962e-07,-3.443091264729298125e+14
1.120224044808961926e-10,-3.905782524860202102e+04,-4.374805985849914578e+03,-1.883157534325366674e-07,-3.440695688539643750e+14
1.140228045609121951e-10,-3.974585887776998425e+04,-4.513434017826599302e+03,-1.972053730457283983e-07,-3.438257525781451250e+14
1.160232046409281976e-10,-4.043340051686194056e+04,-4.654481839787945319e+03,-2.063747263964256125e-07,-3.435776806805325625e+14
1.180236047209441872e-10,-4.112044165713647089e+04,-4.797947702759143795e+03,-2.158286516007086701e-07,-3.433253562459431250e+14
1.200240048009602027e-10,-4.180697379611797805e+04,-4.943829827851770460e+03,-2.255719832188487176e-07,-3.430687824071277500e+14
1.220244048809761922e-10,-4.249298843759664305e+04,-5.092126406263768331e+03,-2.356095522553068406e-07,-3.428079623420257500e+14
1.240248049609922077e-10,-4.317847709162847605e+04,-5.242835599279466805e+03,-2.459461861587350701e-07,-3.425428992696516250e+14
1.260252050410081973e-10,-4.386343127453528723e+04,-5.395955538269565295e+03,-2.565867088219755086e-07,-3.422735964439703750e+14
1.280256051210242127e-10,-4.454784250890472322e+04,-5.551484324691145957e+03,-2.675359405820610980e-07,-3.420000571448290000e+14
1.300260052010402282e-10,-4.523170232359018701e+04,-5.709420030087665509e+03,-2.787986982202149843e-07,-3.417222846646048750e+14
1.320264052810562178e-10,-4.591500225371093984e+04,-5.869760696088955228e+03,-2.903797949618506760e-07,-3.414402822886481875e+14
1.340268053610722332e-10,-4.659773383920402557e+04,-6.032504345499462943e+03,-3.022840404431769768e-07,-3.411540532472804375e+14
1.360272054410882228e-10,-4.727988862731024710e+04,-6.197648974166062544e+03,-3.145162400561746485e-07,-3.408636006887713125e+14
1.380276055211042382e-10,-4.796145817337371409e+04,-6.365192544921223089e+03,-3.270811948149630934e-07,-3.405689276303576875e+14
1.400280056011202278e-10,-4.864243403714430315e+04,-6.535133010425093744e+03,-3.399837015656320680e-07,-3.402700368324161250e+14
1.420284056811362433e-10,-4.932280778275542252e+04,-6.707468313312373539e+03,-3.532285529871191559e-07,-3.399669306757462500e+14
1.440288057611522328e-10,-5.000257097872395389e+04,-6.882196386192294085e+03,-3.668205375912083914e-07,-3.396596109872740625e+14
1.460292058411682483e-10,-5.068171519795032509e+04,-7.059315151648637766e+03,-3.807644397225315300e-07,-3.393480787930556250e+14
1.480296059211842379e-10,-5.136023201020256965e+04,-7.238822565276936075e+03,-3.950650397775671996e-07,-3.390323338940698125e+14
1.500300060012002533e-10,-5.203811298618540604e+04,-7.420716596676751578e+03,-4.097271139802437143e-07,-3.387123744099663125e+14
1.520304060812162429e-10,-5.271534971076242073e+04,-7.604995155572296426e+03,-4.247554338775269306e-07,-3.383881962238355625e+14
1.540308061612322584e-10,-5.339193373732281907e+04,-7.791656349727111774e+03,-4.401547677053643193e-07,-3.380597915738280625e+14
1.560312062412482479e-10,-5.406785658564988989e+04,-7.980698497029345162e+03,-4.559298804527928126e-07,-3.377271477069267500e+14
1.580316063212642634e-10,-5.474310974192109279e+04,-8.172120125491771432e+03,-4.720855338619400749e-07,-3.373902450477774375e+14
1.600320064012802530e-10,-5.541768465870793443e+04,-8.365919973251775446e+03,-4.886264864280232317e-07,-3.370490546784732500e+14
1.620324064812962684e-10,-5.609157273486156919e+04,-8.562097096017281729e+03,-5.055574940577235456e-07,-3.367035346958310000e+14
1.640328065613122839e-10,-5.676476523899431049e+04,-8.760651293742419512e+03,-5.228833123329547065e-07,-3.363536247488046875e+14
1.660332066413282734e-10,-5.743725337946808577e+04,-8.961582743466018655e+03,-5.406086940809817980e-07,-3.359992402860878125e+14
1.680336067213442889e-10,-5.810902806652965955e+04,-9.164893239589653604e+03,-5.587383975227470130e-07,-3.356402617305483750e+14
1.700340068013602785e-10,-5.878007988142178510e+04,-9.370586356528778197e+03,-5.772771873132909165e-07,-3.352765225828970625e+14
1.720344068813762939e-10,-5.945039907638325531e+04,-9.578667448712736586e+03,-5.962298345417539278e-07,-3.349077939307897500e+14
1.740348069613922835e-10,-6.011997539426328876e+04,-9.789144562175702958e+03,-6.156011227610054492e-07,-3.345337623371656250e+14
1.760352070414082990e-10,-6.078879791320223740e+04,-1.000202928874378085e+04,-6.353958526264856582e-07,-3.341540014482706250e+14
1.780356071214242885e-10,-6.145685468895940721e+04,-1.021733850168944264e+04,-6.556188547166076767e-07,-3.337679341064810625e+14
1.800360072014403040e-10,-6.212413215667721670e+04,-1.043509729858105129e+04,-6.762750103135115328e-07,-3.333747827507108750e+14
1.820364072814562936e-10,-6.279061512248842337e+04,-1.065533904295312459e+04,-6.973692516905029922e-07,-3.329735139180683750e+14
1.840368073614723090e-10,-6.345628612686646375e+04,-1.087810839377277443e+04,-7.189065849543737993e-07,-3.325627657967949375e+14
1.860372074414882986e-10,-6.412112475603890198e+04,-1.110346474963212495e+04,-7.408921133727193263e-07,-3.321407644818463125e+14
1.880376075215043141e-10,-6.478510617483493843e+04,-1.133148883660002139e+04,-7.633310963366764311e-07,-3.317052287207166250e+14
1.900380076015203036e-10,-6.544820022111943399e+04,-1.156228682910913085e+04,-7.862289844335917059e-07,-3.312532841011789375e+14
1.920384076815363191e-10,-6.611037095470348140e+04,-1.179599213000699274e+04,-8.095914444154045805e-07,-3.307814081290056875e+14
1.940388077615523345e-10,-6.677157441769079014e+04,-1.203277559689872760e+04,-8.334244456564654483e-07,-3.302854246219602500e+14
1.960392078415683241e-10,-6.743175771352267475e+04,-1.227284788007877250e+04,-8.577343519501642368e-07,-3.297606361391057500e+14
1.980396079215843396e-10,-6.809085837171299499e+04,-1.251646002634654178e+04,-8.825280113565942930e-07,-3.292021687524078750e+14
2.000400080016003291e-10,-6.874880456348134612e+04,-1.276390195000559470e+04,-9.078127693333673526e-07,-3.286056338742875000e+14
2.020404080816163446e-10,-6.940551654038131528e+04,-1.301549083576750127e+04,-9.335966020388918395e-07,-3.279682116454029375e+14
2.040408081616323342e-10,-7.006091241533384891e+04,-1.327153956644170648e+04,-9.598881238812580763e-07,-3.272901803422963125e+14
2.060412082416483496e-10,-7.071491548192019400e+04,-1.353231908531526096e+04,-9.866965313808525130e-07,-3.265766555480201250e+14
2.080416083216643392e-10,-7.136746422959447955e+04,-1.379800805376049902e+04,-1.014031508431988179e-06,-3.258389625967641875e+14
2.100420084016803547e-10,-7.201852733484287455e+04,-1.406862314598633384e+04,-1.041902902711438931e-06,-3.250946301769459375e+14
2.120424084816963442e-10,-7.266811228825213038e+04,-1.434398285963919989e+04,-1.070320422121948300e-06,-3.243647457813940625e+14
2.140428085617123597e-10,-7.331626856984884944e+04,-1.462370210843469067e+04,-1.099293217493578660e-06,-3.236683337725033125e+14
2.160432086417283493e-10,-7.396307417115315911e+04,-1.490727112566852338e+04,-1.128829500351310478e-06,-3.230154348662959375e+14
2.180436087217443647e-10,-7.460861594220330880e+04,-1.519415794825309240e+04,-1.158936438521478663e-06,-3.224031200120040625e+14
2.200440088017603543e-10,-7.525296282733736734e+04,-1.548394151817293277e+04,-1.189620214435326511e-06,-3.218181045985703125e+14
2.220444088817763697e-10,-7.589615373132794048e+04,-1.577636460574606463e+04,-1.220886350610038704e-06,-3.212448669802276250e+14
2.240448089617923852e-10,-7.653820015436143149e+04,-1.607131450429147117e+04,-1.252739982675368665e-06,-3.206727413995861875e+14
2.260452090418083748e-10,-7.717909872468397953e+04,-1.636875486949662081e+04,-1.285186126477028692e-06,-3.200971675205131250e+14
2.280456091218243902e-10,-7.781884170967550017e+04,-1.666867178987050283e+04,-1.318229750955723433e-06,-3.195169866120684375e+14
2.300460092018403798e-10,-7.845741924349564943e+04,-1.697106228132641627e+04,-1.351875802420733360e-06,-3.189320354431710625e+14
2.320464092818563953e-10,-7.909482186592150538e+04,-1.727592129264110190e+04,-1.386129225639564488e-06,-3.183423118102978125e+14
2.340468093618723848e-10,-7.973104003881663084e+04,-1.758324423977039987e+04,-1.420994954058892657e-06,-3.177478242879755000e+14
2.360472094418883744e-10,-8.036606424191266706e+04,-1.789302650412714138e+04,-1.456477911726002920e-06,-3.171485818871610625e+14
2.380476095219044157e-10,-8.099988498106172483e+04,-1.820526343414610528e+04,-1.492583009237414651e-06,-3.165445936879906250e+14
2.400480096019204053e-10,-8.163249277104958310e+04,-1.851995033657917156e+04,-1.529315152670552814e-06,-3.159358688525280625e+14
2.420484096819363949e-10,-8.226387814084744605e+04,-1.883708247965547343e+04,-1.566679240826145373e-06,-3.153224166186415625e+14
2.440488097619523845e-10,-8.289403163927969581e+04,-1.915665509536313766e+04,-1.604680162339658199e-06,-3.147042462955908125e+14
2.460492098419684258e-10,-8.352294383502389246e+04,-1.947866337944931365e+04,-1.643322795681298035e-06,-3.140813672640323125e+14
2.480496099219844154e-10,-8.415060531661073037e+04,-1.980310249142011889e+04,-1.682612009156007626e-06,-3.134537889760255000e+14
2.500500100020004050e-10,-8.477700669242412550e+04,-2.012996755454070808e+04,-1.722552660903472702e-06,-3.128215209550384375e+14
2.520504100820163946e-10,-8.540213859070114268e+04,-2.045925365583523671e+04,-1.763149598898116902e-06,-3.121845727959530000e+14
2.540508101620324359e-10,-8.602599165953205375e+04,-2.079095584608686113e+04,-1.804407660949104101e-06,-3.115429541650701250e+14
2.560512102420484254e-10,-8.664855656686023576e+04,-2.112506913983772756e+04,-1.846331674700334809e-06,-3.108966748001159375e+14
2.580516103220644150e-10,-8.726982400048233103e+04,-2.146158851538901217e+04,-1.888926457630452102e-06,-3.102457445102460000e+14
2.600520104020804563e-10,-8.788978466804810159e+04,-2.180050891480089194e+04,-1.932196817052838443e-06,-3.095901731760509375e+14
2.620524104820964459e-10,-8.850842929706047289e+04,-2.214182524389253012e+04,-1.976147550115612298e-06,-3.089299707495610000e+14
2.640528105621124355e-10,-8.912574863487559196e+04,-2.248553237224210898e+04,-2.020783443801634485e-06,-3.082651472542515625e+14
2.660532106421284251e-10,-8.974173344870274013e+04,-2.283162513318681522e+04,-2.066109274928504788e-06,-3.075957127850471875e+14
2.680536107221444664e-10,-9.035637452560442034e+04,-2.318009832382285458e+04,-2.112129810148562803e-06,-3.069216775083265000e+14
2.700540108021604560e-10,-9.096966267249622615e+04,-2.353094670500540087e+04,-2.158849805948884972e-06,-3.062430516619270000e+14
2.720544108821764456e-10,-9.158158871614701638e+04,-2.388416500134866510e+04,-2.206274008651289671e-06,-3.055598455551492500e+14
2.740548109621924352e-10,-9.219214350974417175e+04,-2.423974790518567170e+04,-2.254407151078386299e-06,-3.048720695610936875e+14
2.760552110422084765e-10,-9.280131792932897224e+04,-2.459769007500396401e+04,-2.303253954391471183e-06,-3.041797341196948750e+14
2.780556111222244660e-10,-9.340910285774884687e+04,-2.495798612560629772e+04,-2.352819136235537109e-06,-3.034828497567768750e+14
2.800560112022404556e-10,-9.401548920013493625e+04,-2.532063063695738674e+04,-2.403107402858616416e-06,-3.027814270669273125e+14
2.820564112822564452e-10,-9.462046788426216517e+04,-2.568561815439510247e+04,-2.454123448928587684e-06,-3.020754767130913750e+14
2.840568113622724865e-10,-9.522402986054924258e+04,-2.605294318863051376e+04,-2.505871957533180807e-06,-3.013650094265757500e+14
2.860572114422884761e-10,-9.582616610205866164e+04,-2.642260021574783605e+04,-2.558357600179969378e-06,-3.006500360070520625e+14
2.880576115223044657e-10,-9.642686760449680150e+04,-2.679458367720449314e+04,-2.611585036796379153e-06,-2.999305673225605000e+14
2.900580116023205070e-10,-9.702612538621379645e+04,-2.716888797983108816e+04,-2.665558915729685091e-06,-2.992066143095120000e+14
2.920584116823364966e-10,-9.762393048820356489e+04,-2.754550749583137076e+04,-2.720283873747005845e-06,-2.984781879726928750e+14
2.940588117623524862e-10,-9.822027397410388221e+04,-2.792443656278230628e+04,-2.775764536035313080e-06,-2.977452993852665625e+14
2.960592118423684758e-10,-9.881514693019629340e+04,-2.830566948363402480e+04,-2.832005516201425122e-06,-2.970079596887771250e+14
2.980596119223845171e-10,-9.940854046540621493e+04,-2.868920052670984296e+04,-2.889011416272010769e-06,-2.962661800931517500e+14
3.000600120024005066e-10,-1.000004457113027602e+05,-2.907502392570623124e+04,-2.946786826693582089e-06,-2.955199718767037500e+14
3.020604120824164962e-10,-1.005908538220989576e+05,-2.946313387969286487e+04,-3.005336326332505010e-06,-2.947693463861346250e+14
3.040608121624324858e-10,-1.011797559746515617e+05,-2.985352455311259473e+04,-3.064664482474990852e-06,-2.940143150365370000e+14
3.060612122424485271e-10,-1.017671433684612275e+05,-3.024619007578145829e+04,-3.124775850827103519e-06,-2.932548893113963125e+14
3.080616123224645167e-10,-1.023530072256722924e+05,-3.064112454288863228e+04,-3.185674975514747228e-06,-2.924910807625937500e+14
3.100620124024805063e-10,-1.029373387910730089e+05,-3.103832201499652001e+04,-3.247366389083682591e-06,-2.917229010104075625e+14
3.120624124824964959e-10,-1.035201293320953846e+05,-3.143777651804067864e+04,-3.309854612499515191e-06,-2.909503617435154375e+14
3.140628125625125372e-10,-1.041013701388152549e+05,-3.183948204332986643e+04,-3.373144155147701502e-06,-2.901734747189961875e+14
3.160632126425285268e-10,-1.046810525326550851e+05,-3.224343255437550397e+04,-3.437239510437191247e-06,-2.893922517491081875e+14
3.180636127225445164e-10,-1.052591678566540359e+05,-3.264962198035319307e+04,-3.502145160762916880e-06,-2.886067047139526250e+14
3.200640128025605060e-10,-1.058357074656555487e+05,-3.305804420778183703e+04,-3.567865582441707406e-06,-2.878168455775846875e+14
3.220644128825765472e-10,-1.064106627399400313e+05,-3.346869309050431184e+04,-3.634405238796933524e-06,-2.870226863686900000e+14
3.240648129625925368e-10,-1.069840250852643803e+05,-3.388156244971732667e+04,-3.701768580138460053e-06,-2.862242391805265000e+14
3.260652130426085264e-10,-1.075557859328620834e+05,-3.429664607397151849e+04,-3.769960043762654821e-06,-2.854215161709263125e+14
3.280656131226245677e-10,-1.081259367394431174e+05,-3.471393771917139384e+04,-3.838984053952384014e-06,-2.846145295622961250e+14
3.300660132026405573e-10,-1.086944689871939772e+05,-3.513343110857532156e+04,-3.908845021977007933e-06,-2.838032916416175625e+14
3.320664132826565469e-10,-1.092613741837777197e+05,-3.555511993279557646e+04,-3.979547346092390315e-06,-2.829878147604485625e+14
3.340668133626725365e-10,-1.098266438623339345e+05,-3.597899784979829565e+04,-4.051095411540891981e-06,-2.821681113349226875e+14
3.360672134426885778e-10,-1.103902695814787439e+05,-3.640505848490351491e+04,-4.123493590551373801e-06,-2.813441938457505938e+14
3.380676135227045674e-10,-1.109522429253047594e+05,-3.683329543078512506e+04,-4.196746242339189912e-06,-2.805160748382192812e+14
3.400680136027205570e-10,-1.115125555033811397e+05,-3.726370224747091561e+04,-4.270857713106198739e-06,-2.796837669221927812e+14
3.420684136827365466e-10,-1.120711989507536055e+05,-3.769627246234255290e+04,-4.345832336040754515e-06,-2.788472827721114375e+14
3.440688137627525878e-10,-1.126281649279444100e+05,-3.813099957013560197e+04,-4.421674431317713218e-06,-2.780066351269922812e+14
3.460692138427685774e-10,-1.131834451209522667e+05,-3.856787703293946106e+04,-4.498388306098423248e-06,-2.771618367904284688e+14
3.480696139227845670e-10,-1.137370312412524654e+05,-3.900689828019746346e+04,-4.575978254530737289e-06,-2.763129006305888125e+14
3.500700140028005566e-10,-1.142889150257968722e+05,-3.944805670870678296e+04,-4.654448557749003837e-06,-2.754598395802175625e+14
3.520704140828165979e-10,-1.148390882370138279e+05,-3.989134568261850654e+04,-4.733803483874073977e-06,-2.746026666366330000e+14
3.540708141628325875e-10,-1.153875426628081768e+05,-4.033675853343756171e+04,-4.814047288013289524e-06,-2.737413948617274375e+14
3.560712142428485771e-10,-1.159342701165613689e+05,-4.078428856002279645e+04,-4.895184212260497422e-06,-2.728760373819654062e+14
3.580716143228646184e-10,-1.164792624389072880e+05,-4.123392903022669634e+04,-4.977218484799244297e-06,-2.720066073852083750e+14
3.600720144028806080e-10,-1.170225115077008231e+05,-4.168567319078317814e+04,-5.060154314896198482e-06,-2.711331181015692812e+14
3.620724144828965976e-10,-1.175640092119966430e+05,-4.213951424374030466e+04,-5.143995906063407592e-06,-2.702555828490441875e+14
3.640728145629125872e-10,-1.181037474650135991e+05,-4.259544535717908730e+04,-5.228747449465918178e-06,-2.693740150127541562e+14
3.660732146429286284e-10,-1.186417182081780193e+05,-4.305345966882137145e+04,-5.314413121875289065e-06,-2.684884280379582812e+14
3.680736147229446180e-10,-1.191779134111236926e+05,-4.351355028602981474e+04,-5.400997085669591354e-06,-2.675988354300509062e+14
3.700740148029606076e-10,-1.197123250716918992e+05,-4.397571028580791608e+04,-5.488503488833413504e-06,-2.667052507545602188e+14
3.720744148829765972e-10,-1.202449452159313951e+05,-4.443993271480000840e+04,-5.576936464957856250e-06,-2.658076876371460000e+14
3.740748149629926385e-10,-1.207757658980984270e+05,-4.490621058929124410e+04,-5.666300133240538533e-06,-2.649061597635971875e+14
3.760752150430086281e-10,-1.213047792006566888e+05,-4.537453689520758053e+04,-5.756598598485585639e-06,-2.640006808798292812e+14
3.780756151230246177e-10,-1.218319772342773795e+05,-4.584490458811583812e+04,-5.847835951103642755e-06,-2.630912647918828125e+14
3.800760152030406073e-10,-1.223573521378391451e+05,-4.631730659322364227e+04,-5.940016267111869037e-06,-2.621779253659192500e+14
3.820764152830566486e-10,-1.228808960784281662e+05,-4.679173580537946691e+04,-6.033143608133939304e-06,-2.612606765282195000e+14
3.840768153630726382e-10,-1.234026012513380265e+05,-4.726818508907257637e+04,-6.127222021400034724e-06,-2.603395322651802500e+14
3.860772154430886278e-10,-1.239224598800698441e+05,-4.774664727843309083e+04,-6.222255539746858904e-06,-2.594145066233113125e+14
3.880776155231046690e-10,-1.244404642163321842e+05,-4.822711517723197176e+04,-6.318248181617628572e-06,-2.584856137092320938e+14
3.900780156031206586e-10,-1.249566065400410880e+05,-4.870958155888094916e+04,-6.415203951062068501e-06,-2.575528676896686562e+14
3.920784156831366482e-10,-1.254708791593201022e+05,-4.919403916643264529e+04,-6.513126837736423359e-06,-2.566162827914502500e+14
3.940788157631526378e-10,-1.259832744105002057e+05,-4.968048071258047275e+04,-6.612020816903450939e-06,-2.556758733015056875e+14
3.960792158431686791e-10,-1.264937846581199265e+05,-5.016889887965869275e+04,-6.711889849432424698e-06,-2.547316535668595312e+14
3.980796159231846687e-10,-1.270024022949251666e+05,-5.065928631964235683e+04,-6.812737881799126133e-06,-2.537836379946288125e+14
4.000800160032006583e-10,-1.275091197418694064e+05,-5.115163565414738696e+04,-6.914568846085857489e-06,-2.528318410520183750e+14
4.020804160832166479e-10,-1.280139294492166810e+05,-5.164593947564873815e+04,-7.017386659424725114e-06,-2.518762772639587500e+14
4.040808161632326892e-10,-1.285168239074881858e+05,-5.214219036028812843e+04,-7.121195218499352093e-06,-2.509169611883052500e+14
4.060812162432486788e-10,-1.290177956224679219e+05,-5.264038084098517720e+04,-7.225998412187718273e-06,-2.499539074678966875e+14
4.080816163232646684e-10,-1.295168371254476224e+05,-5.314050341725148610e+04,-7.331800116342662776e-06,-2.489871308115460938e+14
4.100820164032806579e-10,-1.300139409785108874e+05,-5.364255056083005184e+04,-7.438604191118445574e-06,-2.480166459831169375e+14
4.120824164832966992e-10,-1.305090997745332716e+05,-5.414651471569525893e+04,-7.546414480970750030e-06,-2.470424678015182812e+14
4.140828165633126888e-10,-1.310023061371822405e+05,-5.465238829805284331e+04,-7.655234814656670199e-06,-2.460646111406997188e+14
4.160832166433286784e-10,-1.314935527209171851e+05,-5.516016369633995782e+04,-7.765069005234731146e-06,-2.450830909296466875e+14
4.180836167233447197e-10,-1.319828322109894652e+05,-5.566983327122515038e+04,-7.875920850064877944e-06,-2.440979221523744688e+14
4.200840168033607093e-10,-1.324701373234422645e+05,-5.618138935560831305e+04,-7.987794130808467200e-06,-2.431091198479234062e+14
4.220844168833766989e-10,-1.329554608051107789e+05,-5.669482425462076208e+04,-8.100692613428287382e-06,-2.421166991103532500e+14
4.240848169633926885e-10,-1.334387954336221155e+05,-5.721013024562518694e+04,-8.214620048188540186e-06,-2.411206750887375312e+14
4.260852170434087298e-10,-1.339201340173952922e+05,-5.772729957821566495e+04,-8.329580169654855786e-06,-2.401210629871575312e+14
4.280856171234247194e-10,-1.343994693956412084e+05,-5.824632447421765391e+04,-8.445576696694274193e-06,-2.391178780646971562e+14
4.300860172034407090e-10,-1.348767944383627328e+05,-5.876719712768799945e+04,-8.562613332475263892e-06,-2.381111356354358750e+14
4.320864172834566985e-10,-1.353521020463547029e+05,-5.928990970491492772e+04,-8.680693764467713376e-06,-2.371008510684437812e+14
4.340868173634727398e-10,-1.358253851512038091e+05,-5.981445434441808902e+04,-8.799821664442934526e-06,-2.360870397877741250e+14
