t,h,v,m,dv_dt
1.920384076815362939e-01,2.803894794107223420e-01,2.921679166745743572e+00,9.980796159231847469e+02,1.523810197618951712e+01
2.040408081616323088e-01,3.165542975031045980e-01,3.104591047234015022e+00,9.979595919183838078e+02,1.524111449647209504e+01
2.160432086417283237e-01,3.549147142332327309e-01,3.287539089545641335e+00,9.978395679135827550e+02,1.524412774146986571e+01
2.280456091218243386e-01,3.954711636820787968e-01,3.470523302380506880e+00,9.977195439087818158e+02,1.524714171144437991e+01
2.400480096019203535e-01,4.382240800353832677e-01,3.653543694441647727e+00,9.975995199039808767e+02,1.525015640665730565e+01
2.520504100820163962e-01,4.831738975836552541e-01,3.836600274435256530e+00,9.974794958991799376e+02,1.525317182737044597e+01
2.640528105621123833e-01,5.303210507221720604e-01,4.019693051070678536e+00,9.973594718943789985e+02,1.525618797384571756e+01
2.760552110422084260e-01,5.796659739509802955e-01,4.202822033060416018e+00,9.972394478895779457e+02,1.525920484634517926e+01
2.880576115223044686e-01,6.312091018748943183e-01,4.385987229120122066e+00,9.971194238847770066e+02,1.526222244513100001e+01
3.000600120024004558e-01,6.849508692034966817e-01,4.569188647968607242e+00,9.969993998799760675e+02,1.526524077046548733e+01
3.120624124824964984e-01,7.408917107511402422e-01,4.752426298327833365e+00,9.968793758751751284e+02,1.526825982261106596e+01
3.240648129625924856e-01,7.990320614369444963e-01,4.935700188922920617e+00,9.967593518703741893e+02,1.527127960183029209e+01
3.360672134426885282e-01,8.593723562847985775e-01,5.119010328482140437e+00,9.966393278655732502e+02,1.527430010838584984e+01
3.480696139227845154e-01,9.219130304233591477e-01,5.302356725736915521e+00,9.965193038607721974e+02,1.527732134254054763e+01
3.600720144028805580e-01,9.866545190860531722e-01,5.485739389421833145e+00,9.963992798559712583e+02,1.528034330455731471e+01
3.720744148829765452e-01,1.053597257611074145e+00,5.669158328274626513e+00,9.962792558511703191e+02,1.528336599469921886e+01
3.840768153630725879e-01,1.122741681441385753e+00,5.852613551036183637e+00,9.961592318463693800e+02,1.528638941322944511e+01
3.960792158431686305e-01,1.194088226124718988e+00,6.036105066450549117e+00,9.960392078415684409e+02,1.528941356041130639e+01
4.080816163232646177e-01,1.267637327313573259e+00,6.219632883264919698e+00,9.959191838367673881e+02,1.529243843650825418e+01
4.200840168033606603e-01,1.343389420765218611e+00,6.403197010229653152e+00,9.957991598319664490e+02,1.529546404178384655e+01
4.320864172834566475e-01,1.421344942341691064e+00,6.586797456098252290e+00,9.956791358271655099e+02,1.529849037650178722e+01
4.440888177635526901e-01,1.501504328009796163e+00,6.770434229627379175e+00,9.955591118223645708e+02,1.530151744092589361e+01
4.560912182436486773e-01,1.583868013841108313e+00,6.954107339576848901e+00,9.954390878175636317e+02,1.530454523532012168e+01
4.680936187237447199e-01,1.668436436011970780e+00,7.137816794709632262e+00,9.953190638127626926e+02,1.530757375994854463e+01
4.800960192038407071e-01,1.755210030803493471e+00,7.321562603791853974e+00,9.951990398079616398e+02,1.531060301507537424e+01
4.920984196839367497e-01,1.844189234601558036e+00,7.505344775592792672e+00,9.950790158031607007e+02,1.531363300096493951e+01
5.041008201640327924e-01,1.935374483896811215e+00,7.689163318884882692e+00,9.949589917983597616e+02,1.531666371788169734e+01
5.161032206441288350e-01,2.028766215284670604e+00,7.873018242443707848e+00,9.948389677935588224e+02,1.531969516609023962e+01
5.281056211242247667e-01,2.124364865465320218e+00,8.056909555048010319e+00,9.947189437887578833e+02,1.532272734585528262e+01
5.401080216043208093e-01,2.222170871243715595e+00,8.240837265479690643e+00,9.945989197839568305e+02,1.532576025744167048e+01
5.521104220844168520e-01,2.322184669529579359e+00,8.424801382523796178e+00,9.944788957791558914e+02,1.532879390111437168e+01
5.641128225645128946e-01,2.424406697337400995e+00,8.608801914968532643e+00,9.943588717743549523e+02,1.533182827713848617e+01
5.761152230446089373e-01,2.528837391786441291e+00,8.792838871605258788e+00,9.942388477695540132e+02,1.533486338577924180e+01
5.881176235247048689e-01,2.635477190157165861e+00,8.976912261231138501e+00,9.941188237647530741e+02,1.533789922730199429e+01
6.001200240048009116e-01,2.744326529947310966e+00,9.161022092651782245e+00,9.939987997599521350e+02,1.534093580197222373e+01
6.121224244848969542e-01,2.855385848582988384e+00,9.345168374667654376e+00,9.938787757551511959e+02,1.534397311005554521e+01
6.241248249649929969e-01,2.968655583583878155e+00,9.529351116081835826e+00,9.937587517503501431e+02,1.534701115181770525e+01
6.361272254450889285e-01,3.084136172576999346e+00,9.713570325700661812e+00,9.936387277455492040e+02,1.535004992752455699e+01
6.481296259251849712e-01,3.201828053296713605e+00,9.897826012333734269e+00,9.935187037407482649e+02,1.535308943744210985e+01
6.601320264052810138e-01,3.321731663584721606e+00,1.008211818479390764e+01,9.933986797359473258e+02,1.535612968183648341e+01
6.721344268853770565e-01,3.443847441390063491e+00,1.026644685189729955e+01,9.932786557311463866e+02,1.535917066097393580e+01
6.841368273654730991e-01,3.568175824769121096e+00,1.045081202246328544e+01,9.931586317263453338e+02,1.536221237512084947e+01
6.961392278455690308e-01,3.694717251885614395e+00,1.063521370531450039e+01,9.930386077215443947e+02,1.536525482454373126e+01
7.081416283256650734e-01,3.823472161010608605e+00,1.081965190927684084e+01,9.929185837167434556e+02,1.536829800950922298e+01
7.201440288057611161e-01,3.954440990522503974e+00,1.100412664317946110e+01,9.927985597119425165e+02,1.537134193028409790e+01
7.321464292858571588e-01,4.087624178907042882e+00,1.118863791585477152e+01,9.926785357071415774e+02,1.537438658713525363e+01
7.441488297659530904e-01,4.223022164757307628e+00,1.137318573613844919e+01,9.925585117023405246e+02,1.537743198032971570e+01
7.561512302460491330e-01,4.360635386773723532e+00,1.155777011286942368e+01,9.924384876975395855e+02,1.538047811013464106e+01
7.681536307261451757e-01,4.500464283764053164e+00,1.174239105488989132e+01,9.923184636927386464e+02,1.538352497681731812e+01
7.801560312062412184e-01,4.642509294643399897e+00,1.192704857104530092e+01,9.921984396879377073e+02,1.538657258064515609e+01
7.921584316863372610e-01,4.786770858434207909e+00,1.211174267018436268e+01,9.920784156831367682e+02,1.538962092188570630e+01
8.041608321664331926e-01,4.933249414266261290e+00,1.229647336115904466e+01,9.919583916783358291e+02,1.539267000080664083e+01
8.161632326465292353e-01,5.081945401376687599e+00,1.248124065282458162e+01,9.918383676735347763e+02,1.539571981767576681e+01
8.281656331266252780e-01,5.232859259109948979e+00,1.266604455403946261e+01,9.917183436687338371e+02,1.539877037276101213e+01
8.401680336067213206e-01,5.385991426917851044e+00,1.285088507366543276e+01,9.915983196639328980e+02,1.540182166633043970e+01
8.521704340868172523e-01,5.541342344359540206e+00,1.303576222056750211e+01,9.914782956591319589e+02,1.540487369865224387e+01
8.641728345669132949e-01,5.698912451101503684e+00,1.322067600361393502e+01,9.913582716543310198e+02,1.540792646999475046e+01
8.761752350470093376e-01,5.858702186917566834e+00,1.340562643167626433e+01,9.912382476495299670e+02,1.541097998062640961e+01
8.881776355271053802e-01,6.020711991688896703e+00,1.359061351362927361e+01,9.911182236447290279e+02,1.541403423081580648e+01
9.001800360072014229e-01,6.184942305404000251e+00,1.377563725835100605e+01,9.909981996399280888e+02,1.541708922083164701e+01
9.121824364872973545e-01,6.351393568158722580e+00,1.396069767472276979e+01,9.908781756351271497e+02,1.542014495094278281e+01
9.241848369673933972e-01,6.520066220156254921e+00,1.414579477162912724e+01,9.907581516303262106e+02,1.542320142141818273e+01
9.361872374474894398e-01,6.690960701707123093e+00,1.433092855795790577e+01,9.906381276255252715e+02,1.542625863252695417e+01
9.481896379275854825e-01,6.864077453229197268e+00,1.451609904260018524e+01,9.905181036207242187e+02,1.542931658453832888e+01
9.601920384076814141e-01,7.039416915247682205e+00,1.470130623445031048e+01,9.903980796159232796e+02,1.543237527772167006e+01
9.721944388877774568e-01,7.216979528395131460e+00,1.488655014240588237e+01,9.902780556111223405e+02,1.543543471234647235e+01
9.841968393678734994e-01,7.396765733411433175e+00,1.507183077536776494e+01,9.901580316063214013e+02,1.543849488868236541e+01
9.961992398479695421e-01,7.578775971143815404e+00,1.525714814224007831e+01,9.900380076015204622e+02,1.544155580699910679e+01
1.008201640328065585e+00,7.763010682546847008e+00,1.544250225193020398e+01,9.899179835967194094e+02,1.544461746756658194e+01
1.020204040808161627e+00,7.949470308682442088e+00,1.562789311334877951e+01,9.897979595919184703e+02,1.544767987065480774e+01
1.032206441288257670e+00,8.138155290719847557e+00,1.581332073540970562e+01,9.896779355871175312e+02,1.545074301653393256e+01
1.044208841768353491e+00,8.329066069935652905e+00,1.599878512703013911e+01,9.895579115823165921e+02,1.545380690547424329e+01
1.056211242248449533e+00,8.522203087713794645e+00,1.618428629713050526e+01,9.894378875775156530e+02,1.545687153774614409e+01
1.068213642728545576e+00,8.717566785545542984e+00,1.636982425463447299e+01,9.893178635727146002e+02,1.545993691362018474e+01
1.080216043208641619e+00,8.915157605029508048e+00,1.655539900846898860e+01,9.891978395679136611e+02,1.546300303336703585e+01
1.092218443688737661e+00,9.114975987871641649e+00,1.674101056756423844e+01,9.890778155631127220e+02,1.546606989725749948e+01
1.104220844168833704e+00,9.317022375885237295e+00,1.692665894085368805e+01,9.889577915583117829e+02,1.546913750556251976e+01
1.116223244648929747e+00,9.521297210990926629e+00,1.711234413727405013e+01,9.888377675535108438e+02,1.547220585855315811e+01
1.128225645129025789e+00,9.727800935216684763e+00,1.729806616576529166e+01,9.887177435487099046e+02,1.547527495650062157e+01
1.140228045609121832e+00,9.936533990697824947e+00,1.748382503527065879e+01,9.885977195439088518e+02,1.547834479967624155e+01
1.152230446089217875e+00,1.014749681967699857e+01,1.766962075473664129e+01,9.884776955391079127e+02,1.548141538835147735e+01
1.164232846569313695e+00,1.036068986450419516e+01,1.785545333311298322e+01,9.883576715343069736e+02,1.548448672279792326e+01
1.176235247049409738e+00,1.057611356763676014e+01,1.804132277935271134e+01,9.882376475295060345e+02,1.548755880328731216e+01
1.188237647529505780e+00,1.079376837163936287e+01,1.822722910241208893e+01,9.881176235247050954e+02,1.549063163009150124e+01
1.200240048009601823e+00,1.101365471918401795e+01,1.841317231125064779e+01,9.879975995199040426e+02,1.549370520348248270e+01
1.212242448489697866e+00,1.123577305305007812e+01,1.859915241483118820e+01,9.878775755151031035e+02,1.549677952373238021e+01
1.224244848969793908e+00,1.146012381612424846e+01,1.878516942211974694e+01,9.877575515103021644e+02,1.549985459111344888e+01
1.236247249449889951e+00,1.168670745140055445e+01,1.897122334208563998e+01,9.876375275055012253e+02,1.550293040589807525e+01
1.248249649929985994e+00,1.191552440198037388e+01,1.915731418370144112e+01,9.875175035007002862e+02,1.550600696835878445e+01
1.260252050410082036e+00,1.214657511107242627e+01,1.934344195594297133e+01,9.873974794958993471e+02,1.550908427876822948e+01
1.272254450890177857e+00,1.237986002199276570e+01,1.952960666778931653e+01,9.872774554910982943e+02,1.551216233739919481e+01
1.284256851370273900e+00,1.261537957816479505e+01,1.971580832822283469e+01,9.871574314862973551e+02,1.551524114452459635e+01
1.296259251850369942e+00,1.285313422311925180e+01,1.990204694622913095e+01,9.870374074814964160e+02,1.551832070041749212e+01
1.308261652330465985e+00,1.309312440049420800e+01,2.008832253079706476e+01,9.869173834766954769e+02,1.552140100535105738e+01
1.320264052810562028e+00,1.333535055403508451e+01,2.027463509091876404e+01,9.867973594718945378e+02,1.552448205959861660e+01
1.332266453290658070e+00,1.357981312759463322e+01,2.046098463558961100e+01,9.866773354670934850e+02,1.552756386343361861e+01
1.344268853770754113e+00,1.382651256513296900e+01,2.064737117380825993e+01,9.865573114622925459e+02,1.553064641712964722e+01
1.356271254250850156e+00,1.407544931071751648e+01,2.083379471457661225e+01,9.864372874574916068e+02,1.553372972096041060e+01
1.368273654730946198e+00,1.432662380852305972e+01,2.102025526689982371e+01,9.863172634526906677e+02,1.553681377519976969e+01
1.380276055211042019e+00,1.458003650283171027e+01,2.120675283978631853e+01,9.861972394478897286e+02,1.553989858012169911e+01
1.392278455691138062e+00,1.483568783803294622e+01,2.139328744224778944e+01,9.860772154430886758e+02,1.554298413600032269e+01
1.404280856171234104e+00,1.509357825862355895e+01,2.157985908329916924e+01,9.859571914382877367e+02,1.554607044310988151e+01
1.416283256651330147e+00,1.535370820920768153e+01,2.176646777195865923e+01,9.858371674334867976e+02,1.554915750172476585e+01
1.428285657131426190e+00,1.561607813449680648e+01,2.195311351724772564e+01,9.857171434286858585e+02,1.555224531211948680e+01
1.440288057611522232e+00,1.588068847930975380e+01,2.213979632819108190e+01,9.855971194238849193e+02,1.555533387456869754e+01
1.452290458091618275e+00,1.614753968857267807e+01,2.232651621381670992e+01,9.854770954190839802e+02,1.555842318934718627e+01
1.464292858571714318e+00,1.641663220731908623e+01,2.251327318315585302e+01,9.853570714142829274e+02,1.556151325672986907e+01
1.476295259051810360e+00,1.668796648068981625e+01,2.270006724524299813e+01,9.852370474094819883e+02,1.556460407699179349e+01
1.488297659531906181e+00,1.696154295393305134e+01,2.288689840911591489e+01,9.851170234046810492e+02,1.556769565040815273e+01
1.500300060012002223e+00,1.723736207240432350e+01,2.307376668381561302e+01,9.849969993998801101e+02,1.557078797725426078e+01
1.512302460492098266e+00,1.751542428156649223e+01,2.326067207838637785e+01,9.848769753950791710e+02,1.557388105780557730e+01
1.524304860972194309e+00,1.779573002698975159e+01,2.344761460187573832e+01,9.847569513902781182e+02,1.557697489233769339e+01
1.536307261452290351e+00,1.807827975435165868e+01,2.363459426333448832e+01,9.846369273854771791e+02,1.558006948112632450e+01
1.548309661932386394e+00,1.836307390943708029e+01,2.382161107181668669e+01,9.845169033806762400e+02,1.558316482444733175e+01
1.560312062412482437e+00,1.865011293813826398e+01,2.400866503637964655e+01,9.843968793758753009e+02,1.558626092257670770e+01
1.572314462892578479e+00,1.893939728645475640e+01,2.419575616608394597e+01,9.842768553710743618e+02,1.558935777579058346e+01
1.584316863372674522e+00,1.923092740049347071e+01,2.438288446999340664e+01,9.841568313662733090e+02,1.559245538436521450e+01
1.596319263852770343e+00,1.952470372646864760e+01,2.457004995717512941e+01,9.840368073614723698e+02,1.559555374857700194e+01
1.608321664332866385e+00,1.982072671070187653e+01,2.475725263669946941e+01,9.839167833566714307e+02,1.559865286870247481e+01
1.620324064812962428e+00,2.011899679962208509e+01,2.494449251764003250e+01,9.837967593518704916e+02,1.560175274501829712e+01
1.632326465293058471e+00,2.041951443976553549e+01,2.513176960907369306e+01,9.836767353470695525e+02,1.560485337780127146e+01
1.644328865773154513e+00,2.072228007777583869e+01,2.531908392008057973e+01,9.835567113422686134e+02,1.560795476732833897e+01
1.656331266253250556e+00,2.102729416040394383e+01,2.550643545974408255e+01,9.834366873374675606e+02,1.561105691387656869e+01
1.668333666733346599e+00,2.133455713450813107e+01,2.569382423715084585e+01,9.833166633326666215e+02,1.561415981772316464e+01
1.680336067213442641e+00,2.164406944705402580e+01,2.588125026139078955e+01,9.831966393278656824e+02,1.561726347914546942e+01
1.692338467693538684e+00,2.195583154513696300e+01,2.606871354155806131e+01,9.830766153230647433e+02,1.562036789842096418e+01
1.704340868173634505e+00,2.226984387667945242e+01,2.625621408678265922e+01,9.829565913182638042e+02,1.562347307582725797e+01
1.716343268653730547e+00,2.258610688930241039e+01,2.644375190617909865e+01,9.828365673134628651e+02,1.562657901164210195e+01
1.728345669133826590e+00,2.290462103036713870e+01,2.663132700884851545e+01,9.827165433086619259e+02,1.562968570614338226e+01
1.740348069613922632e+00,2.322538674734696329e+01,2.681893940389549869e+01,9.825965193038608732e+02,1.563279315960911653e+01
1.752350470094018675e+00,2.354840448782723428e+01,2.700658910042809069e+01,9.824764952990599340e+02,1.563590137231746091e+01
1.764352870574114718e+00,2.387367469950530818e+01,2.719427610755778346e+01,9.823564712942589949e+02,1.563901034454671013e+01
1.776355271054210760e+00,2.420119783019057280e+01,2.738200043439951870e+01,9.822364472894580558e+02,1.564212007657528680e+01
1.788357671534306803e+00,2.453097432780442944e+01,2.756976209007169842e+01,9.821164232846571167e+02,1.564523056868176276e+01
1.800360072014402846e+00,2.486300464038030000e+01,2.775756108369616726e+01,9.819963992798561776e+02,1.564834182114483063e+01
1.812362472494498666e+00,2.519728921606360927e+01,2.794539742439822305e+01,9.818763752750551248e+02,1.565145383424333581e+01
1.824364872974594709e+00,2.553382850311183461e+01,2.813327112130662044e+01,9.817563512702541857e+02,1.565456660825624091e+01
1.836367273454690752e+00,2.587262294989444200e+01,2.832118218355356021e+01,9.816363272654532466e+02,1.565768014346266135e+01
1.848369673934786794e+00,2.621367300489292163e+01,2.850913062027469991e+01,9.815163032606523075e+02,1.566079444014184396e+01
1.860372074414882837e+00,2.655697911670079137e+01,2.869711644060914324e+01,9.813962792558513684e+02,1.566390949857317061e+01
1.872374474894978880e+00,2.690254173402357907e+01,2.888513965369944714e+01,9.812762552510503156e+02,1.566702531903616169e+01
1.884376875375074922e+00,2.725036130567884030e+01,2.907320026869162533e+01,9.811562312462493765e+02,1.567014190181046907e+01
1.896379275855170965e+00,2.760043828059613347e+01,2.926129829473513411e+01,9.810362072414484373e+02,1.567325924717588670e+01
1.908381676335267008e+00,2.795277310781705538e+01,2.944943374098289013e+01,9.809161832366474982e+02,1.567637735541234356e+01
1.920384076815362828e+00,2.830736623649519501e+01,2.963760661659124906e+01,9.807961592318465591e+02,1.567949622679991428e+01
1.932386477295458871e+00,2.866421811589619750e+01,2.982581693072004114e+01,9.806761352270456200e+02,1.568261586161879428e+01
1.944388877775554914e+00,2.902332919539769307e+01,3.001406469253252851e+01,9.805561112222445672e+02,1.568573626014932820e+01
1.956391278255650956e+00,2.938469992448934676e+01,3.020234991119543011e+01,9.804360872174436281e+02,1.568885742267199568e+01
1.968393678735746999e+00,2.974833075277283712e+01,3.039067259587891456e+01,9.803160632126426890e+02,1.569197934946740780e+01
1.980396079215843042e+00,3.011422212996185621e+01,3.057903275575661084e+01,9.801960392078417499e+02,1.569510204081632132e+01
1.992398479695939084e+00,3.048237450588212738e+01,3.076743040000558693e+01,9.800760152030408108e+02,1.569822549699962799e+01
2.004400880176035127e+00,3.085278833047138392e+01,3.095586553780637473e+01,9.799559911982397580e+02,1.570134971829835457e+01
2.016403280656131169e+00,3.122546405377937617e+01,3.114433817834294871e+01,9.798359671934388189e+02,1.570447470499366638e+01
2.028405681136227212e+00,3.160040212596788223e+01,3.133284833080273657e+01,9.797159431886378798e+02,1.570760045736687083e+01
2.040408081616323255e+00,3.197760299731068656e+01,3.152139600437662637e+01,9.795959191838369406e+02,1.571072697569940324e+01
2.052410482096419297e+00,3.235706711819360493e+01,3.170998120825894517e+01,9.794758951790360015e+02,1.571385426027284815e+01
2.064412882576515340e+00,3.273879493911445593e+01,3.189860395164747686e+01,9.793558711742349487e+02,1.571698231136892510e+01
2.076415283056611383e+00,3.312278691068308945e+01,3.208726424374346209e+01,9.792358471694340096e+02,1.572011112926948506e+01
2.088417683536706981e+00,3.350904348362136176e+01,3.227596209375158054e+01,9.791158231646330705e+02,1.572324071425652470e+01
2.100420084016803024e+00,3.389756510876318174e+01,3.246469751087998645e+01,9.789957991598321314e+02,1.572637106661217210e+01
2.112422484496899067e+00,3.428835223705443269e+01,3.265347050434026244e+01,9.788757751550311923e+02,1.572950218661870458e+01
2.124424884976995109e+00,3.468140531955303629e+01,3.284228108334745144e+01,9.787557511502302532e+02,1.573263407455852736e+01
2.136427285457091152e+00,3.507672480742893839e+01,3.303112925712004966e+01,9.786357271454292004e+02,1.573576673071419485e+01
2.148429685937187195e+00,3.547431115196408768e+01,3.322001503487999230e+01,9.785157031406282613e+02,1.573890015536838227e+01
2.160432086417283237e+00,3.587416480455246415e+01,3.340893842585269624e+01,9.783956791358273222e+02,1.574203434880392116e+01
2.172434486897379280e+00,3.627628621670006481e+01,3.359789943926700317e+01,9.782756551310263831e+02,1.574516931130377451e+01
2.184436887377475323e+00,3.668067584002489667e+01,3.378689808435521513e+01,9.781556311262254439e+02,1.574830504315104385e+01
2.196439287857571365e+00,3.708733412625699799e+01,3.397593437035307318e+01,9.780356071214243912e+02,1.575144154462897639e+01
2.208441688337667408e+00,3.749626152723840988e+01,3.416500830649980003e+01,9.779155831166234520e+02,1.575457881602094368e+01
2.220444088817763451e+00,3.790745849492321184e+01,3.435411990203804322e+01,9.777955591118225129e+02,1.575771685761047003e+01
2.232446489297859493e+00,3.832092548137747912e+01,3.454326916621390353e+01,9.776755351070215738e+02,1.576085566968121476e+01
2.244448889777955536e+00,3.873666293877933242e+01,3.473245610827695629e+01,9.775555111022206347e+02,1.576399525251697931e+01
2.256451290258051579e+00,3.915467131941888113e+01,3.492168073748020163e+01,9.774354870974195819e+02,1.576713560640170009e+01
2.268453690738147621e+00,3.957495107569828008e+01,3.511094306308010005e+01,9.773154630926186428e+02,1.577027673161944854e+01
2.280456091218243664e+00,3.999750266013167277e+01,3.530024309433657947e+01,9.771954390878177037e+02,1.577341862845444886e+01
2.292458491698339706e+00,4.042232652534526949e+01,3.548958084051299267e+01,9.770754150830167646e+02,1.577656129719105316e+01
2.304460892178435749e+00,4.084942312407724074e+01,3.567895631087616692e+01,9.769553910782158255e+02,1.577970473811375918e+01
2.316463292658531348e+00,4.127879290917779542e+01,3.586836951469636148e+01,9.768353670734148864e+02,1.578284895150720324e+01
2.328465693138627390e+00,4.171043633360920921e+01,3.605782046124731011e+01,9.767153430686138336e+02,1.578599393765616377e+01
2.340468093618723433e+00,4.214435385044571092e+01,3.624730915980617851e+01,9.765953190638128945e+02,1.578913969684555063e+01
2.352470494098819476e+00,4.258054591287357482e+01,3.643683561965359274e+01,9.764752950590119553e+02,1.579228622936042647e+01
2.364472894578915518e+00,4.301901297419109937e+01,3.662639985007362498e+01,9.763552710542110162e+02,1.579543353548598184e+01
2.376475295059011561e+00,4.345975548780859299e+01,3.681600186035381483e+01,9.762352470494100771e+02,1.579858161550755646e+01
2.388477695539107604e+00,4.390277390724836692e+01,3.700564165978512676e+01,9.761152230446090243e+02,1.580173046971062867e+01
2.400480096019203646e+00,4.434806868614478503e+01,3.719531925766200686e+01,9.759951990398080852e+02,1.580488009838081176e+01
2.412482496499299689e+00,4.479564027824421402e+01,3.738503466328232605e+01,9.758751750350071461e+02,1.580803050180386471e+01
2.424484896979395732e+00,4.524548913740503053e+01,3.757478788594742269e+01,9.757551510302062070e+02,1.581118168026568860e+01
2.436487297459491774e+00,4.569761571759762830e+01,3.776457893496208840e+01,9.756351270254052679e+02,1.581433363405231951e+01
2.448489697939587817e+00,4.615202047290445364e+01,3.795440781963455379e+01,9.755151030206043288e+02,1.581748636344993919e+01
2.460492098419683860e+00,4.660870385751991307e+01,3.814427454927650984e+01,9.753950790158032760e+02,1.582063986874486794e+01
2.472494498899779902e+00,4.706766632575050124e+01,3.833417913320309367e+01,9.752750550110023369e+02,1.582379415022356817e+01
2.484496899379875945e+00,4.752890833201466592e+01,3.852412158073290982e+01,9.751550310062013978e+02,1.582694920817263728e+01
2.496499299859971988e+00,4.799243033084290744e+01,3.871410190118800188e+01,9.750350070014004586e+02,1.583010504287882547e+01
2.508501700340068030e+00,4.845823277687775033e+01,3.890412010389385244e+01,9.749149829965995195e+02,1.583326165462901436e+01
2.520504100820164073e+00,4.892631612487372195e+01,3.909417619817941869e+01,9.747949589917984667e+02,1.583641904371023834e+01
2.532506501300259671e+00,4.939668082969734542e+01,3.928427019337709680e+01,9.746749349869975276e+02,1.583957721040964906e+01
2.544508901780355714e+00,4.986932734632723907e+01,3.947440209882274331e+01,9.745549109821965885e+02,1.584273615501456867e+01
2.556511302260451757e+00,5.034425612985396725e+01,3.966457192385566088e+01,9.744348869773956494e+02,1.584589587781244369e+01
2.568513702740547799e+00,5.082146763548013269e+01,3.985477967781859832e+01,9.743148629725947103e+02,1.584905637909086629e+01
2.580516103220643842e+00,5.130096231852036937e+01,4.004502537005777185e+01,9.741948389677937712e+02,1.585221765913757075e+01
2.592518503700739885e+00,5.178274063440132124e+01,4.023530900992282966e+01,9.740748149629927184e+02,1.585537971824043701e+01
2.604520904180835927e+00,5.226680303866162802e+01,4.042563060676688025e+01,9.739547909581917793e+02,1.585854255668747648e+01
2.616523304660931970e+00,5.275314998695199620e+01,4.061599016994649247e+01,9.738347669533908402e+02,1.586170617476684974e+01
2.628525705141028013e+00,5.324178193503512091e+01,4.080638770882167421e+01,9.737147429485899011e+02,1.586487057276686308e+01
2.640528105621124055e+00,5.373269933878570725e+01,4.099682323275589368e+01,9.735947189437889620e+02,1.586803575097595420e+01
2.652530506101220098e+00,5.422590265419049160e+01,4.118729675111606525e+01,9.734746949389879092e+02,1.587120170968271715e+01
2.664532906581316141e+00,5.472139233734823449e+01,4.137780827327256361e+01,9.733546709341869700e+02,1.587436844917587742e+01
2.676535307061412183e+00,5.521916884446972063e+01,4.156835780859918827e+01,9.732346469293860309e+02,1.587753596974430259e+01
2.688537707541508226e+00,5.571923263187773046e+01,4.175894536647322752e+01,9.731146229245850918e+02,1.588070427167700949e+01
2.700540108021604269e+00,5.622158415600706860e+01,4.194957095627540866e+01,9.729945989197841527e+02,1.588387335526315347e+01
2.712542508501700311e+00,5.672622387340456385e+01,4.214023458738989092e+01,9.728745749149830999e+02,1.588704322079203557e+01
2.724544908981796354e+00,5.723315224072908336e+01,4.233093626920430808e+01,9.727545509101821608e+02,1.589021386855309181e+01
2.736547309461892397e+00,5.774236971475147584e+01,4.252167601110974005e+01,9.726345269053812217e+02,1.589338529883591455e+01
2.748549709941987995e+00,5.825387675235459994e+01,4.271245382250070577e+01,9.725145029005802826e+02,1.589655751193022404e+01
2.760552110422084038e+00,5.876767381053342376e+01,4.290326971277519874e+01,9.723944788957793435e+02,1.589973050812589328e+01
2.772554510902180080e+00,5.928376134639481165e+01,4.309412369133465859e+01,9.722744548909784044e+02,1.590290428771294096e+01
