t,N,P_pred,dN_dt
1.020204040808161627e+00,1.813263605814026960e+02,1.951297468191621309e+00,1.658765993210207910e+02
1.030206041208241663e+00,1.829250571863593393e+02,1.951280290892112079e+00,1.538631822384099621e+02
1.040208041608321698e+00,1.844056567651443288e+02,1.951265892442143102e+00,1.422741935639161852e+02
1.050210042008401734e+00,1.857727387638832965e+02,1.951254029920686861e+00,1.311731795523318169e+02
1.060212042408481770e+00,1.870314339091510760e+02,1.951244477384796783e+00,1.206081597049273881e+02
1.070214042808561805e+00,1.881872843972568603e+02,1.951237025391635793e+00,1.106126202123736846e+02
1.080216043208641841e+00,1.892460970179384390e+02,1.951231480430982712e+00,1.012069773397871160e+02
1.090218043608721876e+00,1.902138260229079378e+02,1.951227664301126152e+00,9.240010463424819420e+01
1.100220044008801912e+00,1.910964628793533109e+02,1.951225413275686549e+00,8.419102178959188620e+01
1.110222044408881725e+00,1.918999462614524987e+02,1.951224577430863638e+00,7.657054785176418932e+01
1.120224044808961761e+00,1.926300905040806981e+02,1.951225019664956761e+00,6.952286085317251718e+01
1.130226045209041796e+00,1.932925217841002734e+02,1.951226615030687395e+00,6.302701161260152674e+01
1.140228045609121832e+00,1.938926402502431472e+02,1.951229249714941494e+00,5.705817419616712982e+01
1.150230046009201867e+00,1.944355792062615933e+02,1.951232820401537227e+00,5.158888346450188322e+01
1.160232046409281903e+00,1.949261924805135209e+02,1.951237233290576079e+00,4.658993365046857349e+01
1.170234046809361939e+00,1.953690323187761635e+02,1.951242403506732392e+00,4.203130102509038579e+01
1.180236047209441974e+00,1.957683536857613831e+02,1.951248254202651689e+00,3.788272389906525461e+01
1.190238047609522010e+00,1.961281058185216182e+02,1.951254716026709746e+00,3.411433784475536868e+01
1.200240048009602045e+00,1.964519471431282227e+02,1.951261726323781698e+00,3.069699724487649206e+01
1.210242048409682081e+00,1.967432453705413025e+02,1.951269228678660150e+00,2.760268416179985707e+01
1.220244048809762116e+00,1.970050987963726641e+02,1.951277172205862165e+00,2.480463320225414492e+01
1.230246049209841930e+00,1.972403405950339845e+02,1.951285511181291676e+00,2.227758183643358691e+01
1.240248049609921965e+00,1.974515635769707274e+02,1.951294204408971833e+00,1.999775473954365168e+01
1.250250050010002001e+00,1.976411259945224685e+02,1.951303214937678776e+00,1.794300947084509801e+01
1.260252050410082036e+00,1.978111769596075931e+02,1.951312509505622961e+00,1.609273526378817820e+01
1.270254050810162072e+00,1.979636633932593668e+02,1.951322058314568952e+00,1.442792094513779055e+01
1.280256051210242108e+00,1.981003525253557882e+02,1.951331834577092250e+00,1.293102845114643706e+01
1.290258051610322143e+00,1.982228420046254200e+02,1.951341814292383292e+00,1.158597947187666932e+01
1.300260052010402179e+00,1.983325752082547808e+02,1.951351975942430927e+00,1.037806755363517119e+01
1.310262052410482214e+00,1.984308572217595952e+02,1.951362300208905998e+00,9.293847528363524901e+00
1.320264052810562250e+00,1.985188609889536053e+02,1.951372769836450471e+00,8.321120925596142470e+00
1.330266053210642285e+00,1.985976471694386873e+02,1.951383369307490678e+00,7.448760008114673425e+00
1.340268053610722099e+00,1.986681673217867683e+02,1.951394084771124859e+00,6.666707525147330671e+00
1.350270054010802134e+00,1.987312781275029465e+02,1.951404903810812996e+00,5.965847676512805009e+00
1.360272054410882170e+00,1.987877512949396248e+02,1.951415815287085964e+00,5.337919105221814675e+00
1.370274054810962205e+00,1.988382764414371877e+02,1.951426809280324193e+00,4.775501493154576949e+00
1.380276055211042241e+00,1.988834758043315105e+02,1.951437876867571308e+00,4.271866952141355256e+00
1.390278055611122277e+00,1.989239069369991171e+02,1.951449010076945045e+00,3.820961994013011065e+00
1.400280056011202312e+00,1.989600679819761524e+02,1.951460201803395522e+00,3.417358556172317208e+00
1.410282056411282348e+00,1.989924085486579486e+02,1.951471445648326419e+00,3.056140466672859546e+00
1.420284056811362383e+00,1.990213300400285732e+02,1.951482735911191257e+00,2.732906045687746754e+00
1.430286057211442419e+00,1.990471909981224314e+02,1.951494067508889652e+00,2.443713495812742664e+00
1.440288057611522454e+00,1.990703151089557537e+02,1.951505435859749005e+00,2.184995455634002326e+00
1.450290058011602490e+00,1.990909910121667963e+02,1.951516836884349182e+00,1.953564359233729064e+00
1.460292058411682303e+00,1.991094757833090796e+02,1.951528266953840296e+00,1.746576116538292922e+00
1.470294058811762339e+00,1.991260017288699373e+02,1.951539722792615894e+00,1.561456127562351526e+00
1.480296059211842374e+00,1.991407765764774922e+02,1.951551201474875485e+00,1.395898805293809275e+00
1.490298059611922410e+00,1.991539841327243323e+02,1.951562700414070317e+00,1.247861571465831432e+00
1.500300060012002445e+00,1.991657904490065789e+02,1.951574217275256817e+00,1.115496838424467896e+00
1.510302060412082481e+00,1.991763449566137751e+02,1.951585749958854699e+00,9.971401253599712078e-01
1.520304060812162517e+00,1.991857796085122629e+02,1.951597296612118004e+00,8.913203765893626951e-01
1.530306061212242552e+00,1.991942123273329912e+02,1.951608855580212021e+00,7.967218548424170876e-01
1.540308061612322588e+00,1.992017499480080289e+02,1.951620425364646749e+00,7.121515654900765213e-01
1.550310062012402623e+00,1.992084881098894869e+02,1.951632004624678007e+00,6.365408126290468260e-01
1.560312062412482659e+00,1.992145106677619992e+02,1.951643592185274612e+00,5.689520978545115071e-01
1.570314062812562694e+00,1.992198931875868197e+02,1.951655186987919288e+00,5.085401177106980697e-01
1.580316063212642508e+00,1.992247041699233989e+02,1.951666788073386893e+00,4.545382058185172269e-01
1.590318063612722543e+00,1.992290048817714592e+02,1.951678394584054788e+00,4.062603621625626715e-01
1.600320064012802579e+00,1.992328487171928373e+02,1.951690005772731107e+00,3.631085507056983630e-01
1.610322064412882614e+00,1.992362837913641442e+02,1.951701620966254547e+00,3.245436682960747277e-01
1.620324064812962650e+00,1.992393538737085521e+02,1.951713239552394619e+00,2.900751373117866905e-01
1.630326065213042686e+00,1.992420983597728252e+02,1.951724860980240672e+00,2.592612784513264046e-01
1.640328065613122721e+00,1.992445515562630760e+02,1.951736484770160152e+00,2.317173885189962590e-01
1.650330066013202757e+00,1.992467437929993821e+02,1.951748110498204181e+00,2.071032916238078059e-01
1.660332066413282792e+00,1.992487028146439911e+02,1.951759737776616044e+00,1.851077371477103384e-01
1.670334066813362828e+00,1.992504538201980324e+02,1.951771366253277185e+00,1.654479786843694455e-01
1.680336067213442863e+00,1.992520193411783112e+02,1.951782995613406069e+00,1.478711613459875451e-01
1.690338067613522677e+00,1.992534186381158179e+02,1.951794625587981891e+00,1.321611172383931887e-01
1.700340068013602712e+00,1.992546689796172075e+02,1.951806255935844447e+00,1.181240101657525798e-01
1.710342068413682748e+00,1.992557862282566248e+02,1.951817886435499361e+00,1.055817630782023286e-01
1.720344068813762783e+00,1.992567848412872991e+02,1.951829516885105420e+00,9.437205734792719625e-02
1.730346069213842819e+00,1.992576778185819251e+02,1.951841147103204666e+00,8.434892373606039939e-02
1.740348069613922855e+00,1.992584761662972426e+02,1.951852776936214617e+00,7.538877325615089831e-02
1.750350070014002890e+00,1.992591895492973890e+02,1.951864406249303130e+00,6.738307171062807299e-02
1.760352070414082926e+00,1.992598269034770340e+02,1.951876034917827241e+00,6.023146329094863916e-02
1.770354070814162961e+00,1.992603964447265810e+02,1.951887662827207048e+00,5.384167213278523434e-02
1.780356071214242997e+00,1.992609056689322244e+02,1.951899289872927490e+00,4.812950423150219592e-02
1.790358071614323032e+00,1.992613612251836059e+02,1.951910915962309145e+00,4.302027364689742228e-02
1.800360072014403068e+00,1.992617685410113211e+02,1.951922541019746715e+00,3.845301465878314673e-02
1.810362072414482881e+00,1.992621324870317210e+02,1.951934164977417341e+00,3.437301517527480144e-02
1.820364072814562917e+00,1.992624575996088936e+02,1.951945787772167540e+00,3.072931569281855957e-02
1.830366073214642952e+00,1.992627480808595521e+02,1.951957409345514316e+00,2.747470981724831063e-02
1.840368073614722988e+00,1.992630077986530637e+02,1.951969029643645603e+00,2.456574475087336396e-02
1.850370074014803023e+00,1.992632402652807571e+02,1.951980648617716918e+00,2.196296137687880901e-02
1.860372074414883059e+00,1.992634483255323232e+02,1.951992266228213424e+00,1.963439944511513602e-02
1.870374074814963095e+00,1.992636343367560983e+02,1.952003882442431060e+00,1.755357472366902982e-02
1.880376075215043130e+00,1.992638005114027351e+02,1.952015497229690144e+00,1.569563031995535596e-02
1.890378075615123166e+00,1.992639489271731748e+02,1.952027110561193268e+00,1.403722279646935078e-02
1.900380076015203201e+00,1.992640815270186181e+02,1.952038722410024851e+00,1.255652228754655653e-02
1.910382076415283237e+00,1.992642001191404972e+02,1.952050332751152251e+00,1.123321259853504728e-02
1.920384076815363272e+00,1.992643063734098803e+02,1.952061941561475278e+00,1.004853152351081746e-02
1.930386077215443086e+00,1.992644016396917550e+02,1.952073548822365279e+00,8.987312303629479970e-03
1.940388077615523121e+00,1.992644869220298744e+02,1.952085154520027288e+00,8.038273774209514499e-03
1.950390078015603157e+00,1.992645631622221742e+02,1.952096758641534535e+00,7.190834040635252222e-03
1.960392078415683192e+00,1.992646312591523099e+02,1.952108361174560658e+00,6.434893285543807906e-03
1.970394078815763228e+00,1.992646920687897989e+02,1.952119962107377704e+00,5.760833789908659242e-03
1.980396079215843264e+00,1.992647464041899639e+02,1.952131561428857687e+00,5.159519952574243007e-03
1.990398079615923299e+00,1.992647950354938757e+02,1.952143159128471472e+00,4.622298305873684399e-03
2.000400080016003113e+00,1.992648386899284390e+02,1.952154755196289670e+00,4.140997529773926544e-03
2.010402080416083148e+00,1.992648779811688939e+02,1.952166349623969621e+00,3.708722183882073864e-03
2.020404080816163184e+00,1.992649132782003960e+02,1.952177942406588151e+00,3.321326265581348025e-03
2.030406081216243219e+00,1.992649449154690728e+02,1.952189533539705035e+00,2.975051847903031899e-03
2.040408081616323255e+00,1.992649732200907238e+02,1.952201123018981743e+00,2.666223351905472327e-03
2.050410082016403290e+00,1.992649985116797495e+02,1.952212710840184995e+00,2.391249471532574944e-03
2.060412082416483326e+00,1.992650211023492375e+02,1.952224296999185871e+00,2.146623176459527826e-03
2.070414082816563361e+00,1.992650412967108764e+02,1.952235881491959812e+00,1.928921712890385720e-03
2.080416083216643397e+00,1.992650593918749280e+02,1.952247464314587511e+00,1.734806608585159893e-03
2.090418083616723433e+00,1.992650756774503122e+02,1.952259045463254017e+00,1.561023672069339341e-03
2.100420084016803468e+00,1.992650904341957698e+02,1.952270624934267840e+00,1.404418150412922728e-03
2.110422084416883504e+00,1.992651038368698266e+02,1.952282202725418969e+00,1.263026368162556423e-03
2.120424084816963539e+00,1.992651159615245433e+02,1.952293778835877402e+00,1.135993770626342325e-03
2.130426085217043575e+00,1.992651268950585859e+02,1.952305353264661036e+00,1.022343923173352209e-03
2.140428085617123610e+00,1.992651367266221882e+02,1.952316926010756459e+00,9.210750883941187794e-04
2.150430086017203646e+00,1.992651455476171236e+02,1.952328497073118507e+00,8.311602280777208307e-04
2.160432086417283681e+00,1.992651534516967047e+02,1.952340066450670708e+00,7.515470023768955343e-04
2.170434086817363717e+00,1.992651605347657267e+02,1.952351634142304837e+00,6.811577715311045722e-04
2.180436087217443752e+00,1.992651668949805526e+02,1.952363200146881139e+00,6.188895942607075540e-04
2.190438087617523788e+00,1.992651726327491133e+02,1.952374764463228551e+00,5.636142281879585880e-04
2.200440088017603824e+00,1.992651778507308791e+02,1.952386327090144036e+00,5.141781309720983018e-04
2.210442088417683859e+00,1.992651826538367743e+02,1.952397888026393247e+00,4.694024601814561493e-04
2.220444088817763451e+00,1.992651871358568485e+02,1.952409447270897269e+00,4.282333339116206616e-04
2.230446089217843486e+00,1.992651912959494496e+02,1.952421004823899908e+00,3.906802113018414957e-04
2.240448089617923522e+00,1.992651951354843618e+02,1.952432560685614105e+00,3.567277011580216595e-04
2.250450090018003557e+00,1.992651986647244371e+02,1.952444114856128676e+00,3.262604849325612122e-04
2.260452090418083593e+00,1.992652018967192191e+02,1.952455667335492695e+00,2.991319308147666334e-04
2.270454090818163628e+00,1.992652048473051138e+02,1.952467218123717041e+00,2.751640917484365900e-04
2.280456091218243664e+00,1.992652075351052474e+02,1.952478767220773292e+00,2.541477079098797276e-04
2.290458091618323699e+00,1.992652099815295514e+02,1.952490314626593948e+00,2.358422039865359920e-04
2.300460092018403735e+00,1.992652122107747346e+02,1.952501860341072648e+00,2.199756913885408949e-04
2.310462092418483770e+00,1.992652142498242824e+02,1.952513404364063954e+00,2.062449673037036746e-04
2.320464092818563806e+00,1.992652161284484293e+02,1.952524946695383123e+00,1.943155151664655023e-04
2.330466093218643842e+00,1.992652178792042150e+02,1.952536487334807225e+00,1.838215039207113932e-04
2.340468093618723877e+00,1.992652195374354562e+02,1.952548026282073579e+00,1.743657885331373336e-04
2.350470094018803913e+00,1.992652211412727468e+02,1.952559563536880649e+00,1.655199099932502804e-04
2.360472094418883948e+00,1.992652227293782516e+02,1.952571099098920016e+00,1.568494358608063521e-04
2.370474094818963984e+00,1.992652242863368031e+02,1.952582632968637988e+00,1.485275812900255232e-04
2.380476095219044019e+00,1.992652257923696766e+02,1.952594165146543270e+00,1.407765923620019066e-04
2.390478095619124055e+00,1.992652272420192219e+02,1.952605695632943617e+00,1.336577950166173423e-04
2.400480096019204090e+00,1.992652286312730041e+02,1.952617224428126574e+00,1.272162760006523285e-04
2.410482096419284126e+00,1.992652299575637187e+02,1.952628751532359486e+00,1.214808831573321868e-04
2.420484096819364161e+00,1.992652312197693334e+02,1.952640276945889486e+00,1.164642248951963666e-04
2.430486097219444197e+00,1.992652324182129178e+02,1.952651800668943727e+00,1.121626709448264592e-04
2.440488097619524233e+00,1.992652335546627853e+02,1.952663322701728932e+00,1.085563518561372121e-04
2.450490098019603824e+00,1.992652346323324934e+02,1.952674843044431174e+00,1.056091582487539426e-04
2.460492098419683860e+00,1.992652356558807298e+02,1.952686361697216988e+00,1.032687425581713114e-04
2.470494098819763895e+00,1.992652366314113408e+02,1.952697878660232034e+00,1.014665180267826372e-04
2.480496099219843931e+00,1.992652375664734734e+02,1.952709393933602433e+00,1.001176579720208792e-04
2.490498099619923966e+00,1.992652384700614050e+02,1.952720907517433657e+00,9.912109726073481397e-05
2.500500100020004002e+00,1.992652393526146000e+02,1.952732419411810527e+00,9.835953182601997469e-05
2.510502100420084037e+00,1.992652402260177382e+02,1.952743929616798768e+00,9.769941766890610779e-05
2.520504100820164073e+00,1.992652411036006868e+02,1.952755438132442567e+00,9.699097257964695018e-05
2.530506101220244108e+00,1.992652420001384996e+02,1.952766944958766571e+00,9.606817442708859289e-05
2.540508101620324144e+00,1.992652429315999711e+02,1.952778450095778995e+00,9.475158823946117082e-05
2.550510102020404180e+00,1.992652438857992365e+02,1.952789953543881074e+00,9.317814218867681575e-05
2.560512102420484215e+00,1.992652448439891373e+02,1.952801455303565970e+00,9.155849120645598305e-05
2.570514102820564251e+00,1.992652458013273247e+02,1.952812955375132331e+00,8.994704744580417355e-05
2.580516103220644286e+00,1.992652467535460517e+02,1.952824453758871037e+00,8.839176617314592477e-05
2.590518103620724322e+00,1.992652476969524571e+02,1.952835950455064751e+00,8.693414274851818391e-05
2.600520104020804357e+00,1.992652486284283953e+02,1.952847445463988141e+00,8.560921515332609033e-05
2.610522104420884393e+00,1.992652495454305210e+02,1.952858938785907439e+00,8.444556220510435196e-05
2.620524104820964428e+00,1.992652504459902332e+02,1.952870430421081549e+00,8.346530434977239565e-05
2.630526105221044464e+00,1.992652513287137026e+02,1.952881920369760271e+00,8.268410386413904689e-05
2.640528105621124499e+00,1.992652521927819009e+02,1.952893408632186523e+00,8.211116414535979402e-05
2.650530106021204535e+00,1.992652530379505151e+02,1.952904895208593894e+00,8.174923068438033624e-05
2.660532106421284571e+00,1.992652538645500329e+02,1.952916380099209315e+00,8.159458982603950972e-05
2.670534106821364606e+00,1.992652546734856855e+02,1.952927863304250389e+00,8.163707026120903265e-05
2.680536107221444198e+00,1.992652554662375337e+02,1.952939344823927392e+00,8.186004129839830057e-05
2.690538107621524233e+00,1.992652562448603248e+02,1.952950824658442164e+00,8.224041431859063778e-05
2.700540108021604269e+00,1.992652570119836355e+02,1.952962302807988770e+00,8.274864258339675871e-05
2.710542108421684304e+00,1.992652577708117576e+02,1.952973779272753063e+00,8.334872017989880533e-05
2.720544108821764340e+00,1.992652585251238122e+02,1.952985254052912678e+00,8.399818305271367080e-05
2.730546109221844375e+00,1.992652592792736357e+02,1.952996727148637701e+00,8.464810900044028585e-05
2.740548109621924411e+00,1.992652600381898651e+02,1.953008198560089337e+00,8.524311639668269436e-05
2.750550110022004446e+00,1.992652608073759097e+02,1.953019668287421684e+00,8.572136624351855971e-05
2.760552110422084482e+00,1.992652615929099227e+02,1.953031136330779738e+00,8.601456011625430165e-05
2.770554110822164517e+00,1.992652624014448293e+02,1.953042602690301388e+00,8.604794194155829246e-05
2.780556111222244553e+00,1.992652632402083270e+02,1.953054067366115865e+00,8.574029673980021471e-05
2.790558111622324589e+00,1.992652641094560693e+02,1.953065530358450097e+00,8.508875215262889924e-05
2.800560112022404624e+00,1.992652649996735192e+02,1.953076991667667350e+00,8.420021963040369428e-05
2.810562112422484660e+00,1.992652659050505406e+02,1.953088451294079597e+00,8.313998595710359041e-05
2.820564112822564695e+00,1.992652668202269126e+02,1.953099909237991927e+00,8.196828196993521942e-05
2.830566113222644731e+00,1.992652677402886070e+02,1.953111365499703656e+00,8.074032525762220303e-05
2.840568113622724766e+00,1.992652686607677879e+02,1.953122820079507660e+00,7.950631936104457509e-05
2.850570114022804802e+00,1.992652695776426981e+02,1.953134272977690378e+00,7.831145557091190312e-05
2.860572114422884837e+00,1.992652704873377445e+02,1.953145724194532029e+00,7.719591163812822288e-05
2.870574114822964873e+00,1.992652713867235263e+02,1.953157173730306839e+00,7.619485205800913263e-05
2.880576115223044908e+00,1.992652722731166932e+02,1.953168621585282372e+00,7.533842829232639815e-05
2.890578115623124944e+00,1.992652731442801439e+02,1.953180067759720417e+00,7.465177852772342248e-05
2.900580116023204980e+00,1.992652739984228276e+02,1.953191512253876105e+00,7.415502843066690275e-05
