t,w,Omega_th,dw_dt,dw_dt_noisy
2.000400080016003224e-01,4.357368017788251890e+00,4.551601070829758983e-02,-2.908563104635975005e+00,-2.908155995610057776e+00
2.100420084016803579e-01,4.328415281594457653e+00,4.757149269977151845e-02,-2.880883570808420835e+00,-2.894663716073389459e+00
2.200440088017603657e-01,4.299737670575741966e+00,4.960744902420564234e-02,-2.853548506466180967e+00,-2.788845315746270703e+00
2.300460092018403735e-01,4.271331766830811283e+00,5.162406500795040792e-02,-2.826552366427562024e+00,-2.776216150662272231e+00
2.400480096019204090e-01,4.243194206352871589e+00,5.362152385784588193e-02,-2.799889716426055664e+00,-2.935447840374354023e+00
2.500500100020003891e-01,4.215321679029634616e+00,5.560000666122175139e-02,-2.773555231446312330e+00,-2.868005893744696166e+00
2.600520104020804246e-01,4.187710928643312513e+00,5.755969238589733056e-02,-2.747543694092920763e+00,-2.756282298695678978e+00
2.700540108021604602e-01,4.160358751715637737e+00,5.950075791391830349e-02,-2.721849991921481138e+00,-2.742959512500299013e+00
2.800560112022404402e-01,4.133261993096907005e+00,6.142337814808042362e-02,-2.696469111818774689e+00,-2.685786961943843920e+00
2.900580116023204758e-01,4.106417551188426884e+00,6.332772585307168411e-02,-2.671396143351623564e+00,-2.660530046800495541e+00
3.000600120024005113e-01,4.079822371356557120e+00,6.521397188073235762e-02,-2.646626271206274250e+00,-2.540734333453722016e+00
3.100620124024804913e-01,4.053473445043477064e+00,6.708228519811133828e-02,-2.622154772986013516e+00,-2.677755811120627438e+00
3.200640128025605269e-01,4.027367809767187445e+00,6.893283288746605841e-02,-2.597977017861896609e+00,-2.616857268218246713e+00
3.300660132026405624e-01,4.001502549121507712e+00,7.076578014626248858e-02,-2.574088465249376068e+00,-2.471949884874759640e+00
3.400680136027205425e-01,3.975874792776078248e+00,7.258129028717515141e-02,-2.550484663510327987e+00,-2.518149513700235431e+00
3.500700140028005780e-01,3.950481715744877942e+00,7.437952476045091299e-02,-2.527161248017377737e+00,-2.494008079398564615e+00
3.600720144028806136e-01,3.925320533429230707e+00,7.616064328564671471e-02,-2.504113935442184857e+00,-2.529814254026558018e+00
3.700740148029605936e-01,3.900388507683515193e+00,7.792480365291774846e-02,-2.481338528069389593e+00,-2.563742286612172183e+00
3.800760152030406291e-01,3.875682940937944299e+00,7.967216193696197157e-02,-2.458830907299647706e+00,-2.450457670088510564e+00
3.900780156031206647e-01,3.851201174785922721e+00,8.140287254350309087e-02,-2.436587031270714743e+00,-2.431136326879637544e+00
4.000800160032006447e-01,3.826940589984047403e+00,8.311708820929061825e-02,-2.414602933783096983e+00,-2.475970536495325725e+00
4.100820164032806803e-01,3.802898606452107089e+00,8.481496000209991226e-02,-2.392874723245748125e+00,-2.427036056334776148e+00
4.200840168033607158e-01,3.779072683273084543e+00,8.649663732073209488e-02,-2.371398581641445347e+00,-2.375000765627806931e+00
4.300860172034406959e-01,3.755460318693152999e+00,8.816226789501410699e-02,-2.350170763511454375e+00,-2.397408344664493374e+00
4.400880176035207314e-01,3.732059047792353645e+00,8.981199785784248213e-02,-2.329187592899643722e+00,-2.334101091292254626e+00
4.500900180036007669e-01,3.708866440670526288e+00,9.144597177232521856e-02,-2.308445460810248484e+00,-2.303671309436775783e+00
4.600920184036807470e-01,3.685880106816753710e+00,9.306433250574595861e-02,-2.287940828136060034e+00,-2.286161516283285788e+00
4.700940188037607825e-01,3.663097689072575047e+00,9.466722144524256088e-02,-2.267670219408723931e+00,-2.292984802324439464e+00
4.800960192038408181e-01,3.640516863416904503e+00,9.625477850499115917e-02,-2.247630221750735569e+00,-2.217942818161444229e+00
4.900980196039207981e-01,3.618135338966030456e+00,9.782714212620628735e-02,-2.227817484033797868e+00,-2.183259136319681382e+00
5.001000200040007782e-01,3.595950857973615911e+00,9.938444927714082389e-02,-2.208228716052429874e+00,-2.192186300824101597e+00
5.101020204040808137e-01,3.573961195830696713e+00,1.009268354530859779e-01,-2.188860687712560704e+00,-2.229772199082076245e+00
5.201040208041608492e-01,3.552164161065684667e+00,1.024544346763713171e-01,-2.169710228234821070e+00,-2.133127614045549070e+00
5.301060212042408848e-01,3.530557594033891800e+00,1.039673795392064282e-01,-2.150774224239377030e+00,-2.175846225162729741e+00
5.401080216043209203e-01,3.509139363375606724e+00,1.054658012958309271e-01,-2.132049615944425547e+00,-2.088091585030026121e+00
5.501100220044009559e-01,3.487907372167144082e+00,1.069498296578057089e-01,-2.113533401755820940e+00,-2.167122772599693104e+00
5.601120224044808804e-01,3.466859552093692898e+00,1.084195930166216570e-01,-2.095222632502179660e+00,-2.049499272345740586e+00
5.701140228045609160e-01,3.445993862781373096e+00,1.098752184672001780e-01,-2.077114410182190340e+00,-2.078117582912964334e+00
5.801160232046409515e-01,3.425308291797235505e+00,1.113168318078931046e-01,-2.059205887303136251e+00,-2.121643331819857092e+00
5.901180236047209871e-01,3.404800854649260966e+00,1.127445575404827649e-01,-2.041494266231061783e+00,-2.057189239829404048e+00
6.001200240048010226e-01,3.384469594786361668e+00,1.141585188701819964e-01,-2.023976798552368006e+00,-2.021271684613791031e+00
6.101220244048810581e-01,3.364312583598379813e+00,1.155588377056340488e-01,-2.006650784446637470e+00,-1.993011217488414699e+00
6.201240248049609827e-01,3.344327920416088951e+00,1.169456346589127227e-01,-1.989513572070488845e+00,-2.038622978317537804e+00
6.301260252050410182e-01,3.324513729578242316e+00,1.183190291431982649e-01,-1.972562554477081287e+00,-2.027931206835341005e+00
6.401280256051210538e-01,3.304868161021786488e+00,1.196791393216514038e-01,-1.955795169556738378e+00,-1.945815942914384422e+00
6.501300260052010893e-01,3.285389392948443898e+00,1.210260820364010420e-01,-1.939208901709980060e+00,-1.962546382553970181e+00
6.601320264052811249e-01,3.266075627089903843e+00,1.223599729894514904e-01,-1.922801277294932998e+00,-1.911025996708421770e+00
6.701340268053610494e-01,3.246925088675283622e+00,1.236809267438505472e-01,-1.906569864078221155e+00,-1.868593887954302257e+00
6.801360272054410849e-01,3.227936026431130312e+00,1.249890567236895123e-01,-1.890512270722311428e+00,-1.972951639039858929e+00
6.901380276055211205e-01,3.209106712581420773e+00,1.262844752141031313e-01,-1.874626146281613392e+00,-1.861906740455732567e+00
7.001400280056011560e-01,3.190435442847561198e+00,1.275672933612696236e-01,-1.858909179707173287e+00,-1.797676831330386582e+00
7.101420284056811916e-01,3.171920536448386674e+00,1.288376211724107101e-01,-1.843359099359818787e+00,-1.858235441578342417e+00
7.201440288057612271e-01,3.153560336100162065e+00,1.300955675157915714e-01,-1.827973672531602034e+00,-1.868514401693480487e+00
7.301460292058411516e-01,3.135353206246816349e+00,1.313412401831581811e-01,-1.812750703514788508e+00,-1.775138512155808979e+00
7.401480296059211872e-01,3.117297531413484535e+00,1.325747459221980618e-01,-1.797688031807580078e+00,-1.785015705997172963e+00
7.501500300060012227e-01,3.099391721111623532e+00,1.337961902682960336e-01,-1.782783535719415280e+00,-1.737989382180537223e+00
7.601520304060812583e-01,3.081634204826369849e+00,1.350056777484342774e-01,-1.768035127792408012e+00,-1.785295913294971948e+00
7.701540308061612938e-01,3.064023431766047967e+00,1.362033118906936791e-01,-1.753440754188246409e+00,-1.827531667874356947e+00
7.801560312062413294e-01,3.046557870862173001e+00,1.373891952242539405e-01,-1.738998394289205107e+00,-1.744498932524767731e+00
7.901580316063212539e-01,3.029236010769450260e+00,1.385634292793935241e-01,-1.724706060305760236e+00,-1.746997467956321826e+00
8.001600320064012895e-01,3.012056359865773469e+00,1.397261145874896526e-01,-1.710561796890694986e+00,-1.671795605788316319e+00
8.101620324064813250e-01,2.995017446252226989e+00,1.408773506810183374e-01,-1.696563680759588966e+00,-1.686882038340731249e+00
8.201640328065613605e-01,2.978117817753084484e+00,1.420172360935543499e-01,-1.682709820317572991e+00,-1.764252281939328038e+00
8.301660332066413961e-01,2.961356041898188796e+00,1.431458683604535376e-01,-1.668998355278001888e+00,-1.728756509283161824e+00
8.401680336067214316e-01,2.944730702454432247e+00,1.442633441434349184e-01,-1.655427453506026048e+00,-1.611238001676663201e+00
8.501700340068013562e-01,2.928240402757185556e+00,1.453697590778528781e-01,-1.641995313382531352e+00,-1.608007062511638940e+00
8.601720344068813917e-01,2.911883765579008188e+00,1.464652078044282324e-01,-1.628700163342305718e+00,-1.660712331637730133e+00
8.701740348069614273e-01,2.895659430226922737e+00,1.475497840888962409e-01,-1.615540259203032569e+00,-1.615592699031396684e+00
8.801760352070414628e-01,2.879566052542414045e+00,1.486235808220066068e-01,-1.602513883853504906e+00,-1.580235206164695594e+00
8.901780356071214984e-01,2.863602304901430973e+00,1.496866900195235051e-01,-1.589619346946852030e+00,-1.566199130154488195e+00
9.001800360072015339e-01,2.847766876214383291e+00,1.507392028222255542e-01,-1.576854984598674347e+00,-1.533042874792956756e+00
9.101820364072814584e-01,2.832058471926144794e+00,1.517812094959057889e-01,-1.564219159090025180e+00,-1.551394877728947019e+00
9.201840368073614940e-01,2.816475814016051515e+00,1.528127994313717708e-01,-1.551710258575138113e+00,-1.556451675523563116e+00
9.301860372074415295e-01,2.801017640997901736e+00,1.538340611444454775e-01,-1.539326696793835936e+00,-1.552269100033228266e+00
9.401880376075215651e-01,2.785682707919958201e+00,1.548450822759633028e-01,-1.527066912788533903e+00,-1.474279772761871277e+00
9.501900380076016006e-01,2.770469783844664136e+00,1.558459496876838102e-01,-1.514929368638340268e+00,-1.627472082392267261e+00
9.601920384076816362e-01,2.755377653215680844e+00,1.568367493818741965e-01,-1.502912550289415616e+00,-1.509845316543982463e+00
9.701940388077615607e-01,2.740405117758486941e+00,1.578175664461983763e-01,-1.491014968781608774e+00,-1.489364963582405776e+00
9.801960392078415962e-01,2.725550993057336502e+00,1.587884852023130067e-01,-1.479235157288038227e+00,-1.550502605331547601e+00
9.901980396079216318e-01,2.710814108548166068e+00,1.597495892061575329e-01,-1.467571670868717426e+00,-1.450930990211815041e+00
1.000200040008001556e+00,2.696193307518595539e+00,1.607009612479540772e-01,-1.456023086233531938e+00,-1.488587136855701543e+00
1.010202040408081592e+00,2.681687447107927724e+00,1.616426833522075501e-01,-1.444588001508895658e+00,-1.401465761693108325e+00
1.020204040808161627e+00,2.667295398307148346e+00,1.625748367777055392e-01,-1.433265036008028126e+00,-1.439544640209744486e+00
1.030206041208241663e+00,2.653016045958925595e+00,1.634975020175183924e-01,-1.422052830004789659e+00,-1.388595167965317012e+00
1.040208041608321698e+00,2.638848288757611016e+00,1.644107587989992181e-01,-1.410950044511019907e+00,-1.350007864252458667e+00
1.050210042008401734e+00,2.624791039249239510e+00,1.653146860837838017e-01,-1.399955361057314995e+00,-1.380808881921641307e+00
1.060212042408481770e+00,2.610843223497054222e+00,1.662093620817109985e-01,-1.389067481218676736e+00,-1.432853538389819104e+00
1.070214042808561805e+00,2.597003778010290365e+00,1.670948643650136678e-01,-1.378285124039448251e+00,-1.454001055624680294e+00
1.080216043208641841e+00,2.583271654723229727e+00,1.679712696484714773e-01,-1.367607029686548348e+00,-1.279937823810729736e+00
1.090218043608721876e+00,2.569645818270353654e+00,1.688386539284809085e-01,-1.357031957129663624e+00,-1.362596566789039620e+00
1.100220044008801912e+00,2.556125244887948789e+00,1.696970925318271317e-01,-1.346558683102960563e+00,-1.380986930484676689e+00
1.110222044408881725e+00,2.542708922414106620e+00,1.705466601156840900e-01,-1.336186001921122246e+00,-1.328973147518081044e+00
1.120224044808961761e+00,2.529395850288723047e+00,1.713874306676144432e-01,-1.325912725298151740e+00,-1.335483291822284091e+00
1.130226045209041796e+00,2.516185039553499703e+00,1.722194775055696236e-01,-1.315737682168892864e+00,-1.273130568958258380e+00
1.140228045609121832e+00,2.503075512851943074e+00,1.730428732778898360e-01,-1.305659718513230372e+00,-1.303963309391375391e+00
1.150230046009201867e+00,2.490066304429364052e+00,1.738576899633039741e-01,-1.295677697182919585e+00,-1.294990218001998539e+00
1.160232046409281903e+00,2.477156460132878379e+00,1.746639988709297597e-01,-1.285790497731008397e+00,-1.321519483782656490e+00
1.170234046809361939e+00,2.464345037411407535e+00,1.754618706402735484e-01,-1.275997016243803461e+00,-1.252518611306428831e+00
1.180236047209441974e+00,2.451631105078931672e+00,1.762513752515904031e-01,-1.266296164996229212e+00,-1.317989501113978390e+00
1.190238047609522010e+00,2.439013740507445682e+00,1.770325821368415042e-01,-1.256686870174221982e+00,-1.223392398186023522e+00
1.200240048009602045e+00,2.426492034064592573e+00,1.778055599724990277e-01,-1.247168075084095218e+00,-1.170971199434588605e+00
1.210242048409682081e+00,2.414065086961812323e+00,1.785703767973872147e-01,-1.237738738357942125e+00,-1.313973040262899739e+00
1.220244048809762116e+00,2.401732010129932871e+00,1.793271000650887015e-01,-1.228397832957016655e+00,-1.351709294524582550e+00
1.230246049209841930e+00,2.389491924219170116e+00,1.800757966439443247e-01,-1.219144346030434534e+00,-1.188300408272718656e+00
1.240248049609921965e+00,2.377343959599128365e+00,1.808165328170533714e-01,-1.209977278775924869e+00,-1.082582388001768647e+00
1.250250050010002001e+00,2.365287256358799883e+00,1.815493742822733014e-01,-1.200895646302607922e+00,-1.250941888746202491e+00
1.260252050410082036e+00,2.353320964306564900e+00,1.822743861522198860e-01,-1.191898477495750397e+00,-1.254433265435849876e+00
1.270254050810162072e+00,2.341444242970192047e+00,1.829916329542672637e-01,-1.182984814883486724e+00,-1.153536368194463035e+00
1.280256051210242108e+00,2.329656261596837918e+00,1.837011786305478012e-01,-1.174153714505458357e+00,-1.216189794008373681e+00
1.290258051610322143e+00,2.317956199153047070e+00,1.844030865379522321e-01,-1.165404245783346893e+00,-1.190705519980183702e+00
1.300260052010402179e+00,2.306343244324752462e+00,1.850974194481295465e-01,-1.156735491393271253e+00,-1.174141364727460113e+00
1.310262052410482214e+00,2.294816594112441877e+00,1.857842396097306170e-01,-1.148146546100950127e+00,-1.121546441786360093e+00
1.320264052810562250e+00,2.283375453859222581e+00,1.864636087267247389e-01,-1.139636516673856237e+00,-1.159901634743512266e+00
1.330266053210642285e+00,2.272019039958843578e+00,1.871355878458313415e-01,-1.131204523761363712e+00,-1.117310381757355753e+00
1.340268053610722099e+00,2.260746577010569691e+00,1.878002374997175816e-01,-1.122849699666697232e+00,-1.131676362611375941e+00
1.350270054010802134e+00,2.249557297760540031e+00,1.884576177097767313e-01,-1.114571188194368290e+00,-1.156804743376948386e+00
1.360272054410882170e+00,2.238450443101769327e+00,1.891077879861279565e-01,-1.106368144542648313e+00,-1.122359457429809471e+00
1.370274054810962205e+00,2.227425262074147039e+00,1.897508073276165108e-01,-1.098239735197544809e+00,-1.145759718455940712e+00
1.380276055211042241e+00,2.216481011864437356e+00,1.903867342218135694e-01,-1.090185137828262540e+00,-1.089859388534775153e+00
1.390278055611122277e+00,2.205616957806280531e+00,1.910156266450163398e-01,-1.082203541184123097e+00,-1.138396852562404860e+00
1.400280056011202312e+00,2.194832373380190660e+00,1.916375420622480064e-01,-1.074294144992919309e+00,-1.128938863457681574e+00
1.410282056411282348e+00,2.184126540213557011e+00,1.922525374272577858e-01,-1.066456159860683428e+00,-9.936080690954206540e-01
1.420284056811362383e+00,2.173498748080644472e+00,1.928606691825208719e-01,-1.058688807172845969e+00,-1.061348018188112974e+00
1.430286057211442419e+00,2.162948294902592661e+00,1.934619932592384073e-01,-1.050991318996761903e+00,-1.053686420270363966e+00
1.440288057611522454e+00,2.152474485281139049e+00,1.940565651452100526e-01,-1.043362936923478479e+00,-1.017786115927597601e+00
1.450290058011602490e+00,2.142076631135459763e+00,1.946444398352754068e-01,-1.035802912448620772e+00,-1.056845762576064329e+00
1.460292058411682303e+00,2.131754053600716237e+00,1.952256717531705710e-01,-1.028310508251301547e+00,-1.039737276625209539e+00
1.470294058811762339e+00,2.121506080664381955e+00,1.958003148752621436e-01,-1.020884996387089183e+00,-9.996275596204937663e-01
1.480296059211842374e+00,2.111332047148296365e+00,1.963684227314346220e-01,-1.013525658191560819e+00,-9.994048660793407590e-01
1.490298059611922410e+00,2.101231294708667541e+00,1.969300484050901801e-01,-1.006231784198024837e+00,-1.064196620544646255e+00
1.500300060012002445e+00,2.091203171836069519e+00,1.974852445331488349e-01,-9.990026740563499041e-01,-9.573355442228668188e-01
1.510302060412082481e+00,2.081247033855443629e+00,1.980340633060484190e-01,-9.918376364528868061e-01,-1.021359383617338912e+00
1.520304060812162517e+00,2.071362242926098052e+00,1.985765564677445527e-01,-9.847359890314679731e-01,-1.037539936547177355e+00
1.530306061212242552e+00,2.061548168041708262e+00,1.991127753157106162e-01,-9.776970583154643846e-01,-1.022720811815416964e+00
1.540308061612322588e+00,2.051804185030317917e+00,1.996427707009378327e-01,-9.707201796308843056e-01,-9.902474468486504033e-01
1.550310062012402623e+00,2.042129676554335749e+00,2.001665930279351857e-01,-9.638046970304949834e-01,-8.824396842993416090e-01
1.560312062412482659e+00,2.032524032110538670e+00,2.006842922547294739e-01,-9.569499632189580884e-01,-1.015726758464997159e+00
1.570314062812562694e+00,2.022986647571787699e+00,2.011959179156856403e-01,-9.501553391532957527e-01,-9.421515445265786770e-01
1.580316063212642508e+00,2.013516923690966909e+00,2.017015191838279486e-01,-9.434201929150587418e-01,-1.050311410819587676e+00
1.590318063612722543e+00,2.004114269530939740e+00,2.022011446956236413e-01,-9.367439020803707272e-01,-9.368222487376305363e-01
1.600320064012802579e+00,1.994778100264169129e+00,2.026948426781679247e-01,-9.301258520786400696e-01,-8.851475312048396882e-01
1.610322064412882614e+00,1.985507836802222537e+00,2.031826609687997498e-01,-9.235654358643770045e-01,-9.353986019674497276e-01
1.620324064812962650e+00,1.976302905795773945e+00,2.036646470151016464e-01,-9.170620538539114852e-01,-9.485298000480786307e-01
1.630326065213042686e+00,1.967162739634603197e+00,2.041408478748998334e-01,-9.106151138629332564e-01,-8.990395606600063427e-01
1.640328065613122721e+00,1.958086776447595323e+00,2.046113102162643027e-01,-9.042240310448391716e-01,-8.692164434873066448e-01
1.650330066013202757e+00,1.949074460102741879e+00,2.050760803175085967e-01,-8.978882278298750963e-01,-8.647053492790047757e-01
1.660332066413282792e+00,1.940125240207139834e+00,2.055352040671900582e-01,-8.916071338650640721e-01,-7.929834411685744433e-01
1.670334066813362828e+00,1.931238572106992235e+00,2.059887269641095808e-01,-8.853801859549017550e-01,-8.749218123380879675e-01
1.680336067213442863e+00,1.922413916887607543e+00,2.064366941173118031e-01,-8.792068280028135785e-01,-9.088273329904602571e-01
1.690338067613522677e+00,1.913650741373400743e+00,2.068791502460850806e-01,-8.730865109533577639e-01,-8.793854704526898880e-01
1.700340068013602712e+00,1.904948518127891566e+00,2.073161396799613754e-01,-8.670186927351622996e-01,-8.706436200161529193e-01
1.710342068413682748e+00,1.896306724694892809e+00,2.077477063978397098e-01,-8.610028376763401159e-01,-8.555659685024341599e-01
1.720344068813762783e+00,1.887724843106898254e+00,2.081738940393806636e-01,-8.550384161157028595e-01,-8.565398067771745616e-01
1.730346069213842819e+00,1.879202362417226713e+00,2.085947457763076274e-01,-8.491249061111726393e-01,-8.404266091663624705e-01
1.740348069613922855e+00,1.870738776611946319e+00,2.090103044343223637e-01,-8.432617919270068985e-01,-9.268042949577625089e-01
1.750350070014002890e+00,1.862333584501923323e+00,2.094206124990239670e-01,-8.374485639095190503e-01,-7.959671161075169143e-01
1.760352070414082926e+00,1.853986289722823644e+00,2.098257121159087524e-01,-8.316847184387869962e-01,-8.604216818848385850e-01
1.770354070814162961e+00,1.845696400735111098e+00,2.102256450903703666e-01,-8.259697578809612750e-01,-8.846276927033125403e-01
1.780356071214242997e+00,1.837463430824049171e+00,2.106204528876996496e-01,-8.203031905411636293e-01,-7.884156325590918613e-01
1.790358071614323032e+00,1.829286898099699243e+00,2.110101766330848283e-01,-8.146845306169657741e-01,-7.488182302476616981e-01
1.800360072014403068e+00,1.821166325496921923e+00,2.113948571116113229e-01,-8.091132981524429280e-01,-7.844618906774707412e-01
1.810362072414482881e+00,1.813101240775377043e+00,2.117745347682618573e-01,-8.035890189927882288e-01,-7.955310533005122142e-01
1.820364072814562917e+00,1.805091176519522334e+00,2.121492497079164596e-01,-7.981112247394825943e-01,-8.447222400080801608e-01
1.830366073214642952e+00,1.797135670138614971e+00,2.125190416953524064e-01,-7.926794527060105899e-01,-6.491010858153356544e-01
1.840368073614722988e+00,1.789234263866710473e+00,2.128839501552442781e-01,-7.872932458741135342e-01,-7.432803148410380700e-01
1.850370074014803023e+00,1.781386504451721864e+00,2.132440141892192054e-01,-7.819521526381679744e-01,-8.389168861553167877e-01
1.860372074414883059e+00,1.773591941903181368e+00,2.135992726350488258e-01,-7.766557259130151269e-01,-8.156376217250023153e-01
1.870374074814963095e+00,1.765850132278851126e+00,2.139497639092064751e-01,-7.714035249990330856e-01,-7.670545625704379145e-01
1.880376075215043130e+00,1.758160636039336699e+00,2.142955261116545329e-01,-7.661951144104266476e-01,-8.439316710102259256e-01
1.890378075615123166e+00,1.750523017706129281e+00,2.146365970457155548e-01,-7.610300636034260657e-01,-7.525985432529003205e-01
1.900380076015203201e+00,1.742936845861604800e+00,2.149730142180723280e-01,-7.559079469392333550e-01,-7.788615247248713569e-01
1.910382076415283237e+00,1.735401693149023483e+00,2.153048148387677052e-01,-7.508283436474068040e-01,-6.895148136315959464e-01
1.920384076815363272e+00,1.727917136272531407e+00,2.156320358212047428e-01,-7.457908377896789176e-01,-6.976831046082665466e-01
1.930386077215443086e+00,1.720482755997158941e+00,2.159547137821467011e-01,-7.407950182241981318e-01,-8.763592900959367160e-01
1.940388077615523121e+00,1.713098137148820976e+00,2.162728850417169335e-01,-7.358404785701924133e-01,-7.337553492688267953e-01
1.950390078015603157e+00,1.705762868614318473e+00,2.165865856233989972e-01,-7.309268171730441965e-01,-8.118001921492286055e-01
1.960392078415683192e+00,1.698476543341336020e+00,2.168958512540365979e-01,-7.260536370697702191e-01,-6.705717371073440791e-01
1.970394078815763228e+00,1.691238758338444059e+00,2.172007173638336452e-01,-7.212205459549044795e-01,-7.128152524985132965e-01
1.980396079215843264e+00,1.684049114675097547e+00,2.175012190863541417e-01,-7.164271561467731031e-01,-6.890068835374232314e-01
1.990398079615923299e+00,1.676907217481636181e+00,2.177973912585223215e-01,-7.116730845541560102e-01,-7.649293209943209826e-01
2.000400080016003113e+00,1.669812675187720474e+00,2.180892684634691270e-01,-7.069579521336385453e-01,-6.155364402338635577e-01
2.010402080416083148e+00,1.662765099604353924e+00,2.183768850132871975e-01,-7.022813839196589969e-01,-6.012777155621367164e-01
2.020404080816163184e+00,1.655764107564376975e+00,2.186602748608134361e-01,-6.976430100889422503e-01,-7.508815622202529294e-01
2.030406081216243219e+00,1.648809319356953740e+00,2.189394716982338007e-01,-6.930424648772032237e-01,-6.744017087838873881e-01
2.040408081616323255e+00,1.641900358693045847e+00,2.192145089591433227e-01,-6.884793865273899360e-01,-7.221445079468993278e-01
2.050410082016403290e+00,1.635036852705413546e+00,2.194854198185459682e-01,-6.839534172614263330e-01,-6.851319141044629468e-01
2.060412082416483326e+00,1.628218431948615041e+00,2.197522371928548046e-01,-6.794642032522738573e-01,-7.427460522135020948e-01
2.070414082816563361e+00,1.621444730399007383e+00,2.200149937398918898e-01,-6.750113945963037709e-01,-5.816541188672728069e-01
2.080416083216643397e+00,1.614715385454744911e+00,2.202737218588882440e-01,-6.705946452859770091e-01,-7.190536208401103746e-01
2.090418083616723433e+00,1.608030037935781253e+00,2.205284536904840165e-01,-6.662136131828296781e-01,-6.810178039327043908e-01
2.100420084016803468e+00,1.601388332083867327e+00,2.207792211167282637e-01,-6.618679599907518751e-01,-6.367938134352257862e-01
2.110422084416883504e+00,1.594789915562552896e+00,2.210260557610791987e-01,-6.575573512295660450e-01,-6.899353851503724488e-01
2.120424084816963539e+00,1.588234439457185454e+00,2.212689889884038863e-01,-6.532814562088895549e-01,-6.652470776955046183e-01
2.130426085217043575e+00,1.581721558274911565e+00,2.215080519049785479e-01,-6.490399480022848167e-01,-6.772219403236330315e-01
2.140428085617123610e+00,1.575250929944675082e+00,2.217432753584883676e-01,-6.448325034216884077e-01,-6.515055411635031213e-01
2.150430086017203646e+00,1.568822215297243305e+00,2.219746899688145036e-01,-6.406588026506325750e-01,-6.991859344056476910e-01
2.160432086417283681e+00,1.562435077739993350e+00,2.222023261371166847e-01,-6.365185290116989192e-01,-6.584179327918139313e-01
2.170434086817363717e+00,1.556089185091564575e+00,2.224262139383090808e-01,-6.324113701467394266e-01,-6.427560163823516914e-01
2.180436087217443752e+00,1.549784208134874941e+00,2.226463832171445001e-01,-6.283370170379857234e-01,-6.450233172281925054e-01
2.190438087617523788e+00,1.543519820539109633e+00,2.228628635931001467e-01,-6.242951639347437132e-01,-6.214606661900539120e-01
2.200440088017603824e+00,1.537295698859721504e+00,2.230756844603777878e-01,-6.202855083317120322e-01,-6.349406192995481479e-01
2.210442088417683859e+00,1.531111522538431524e+00,2.232848749879037531e-01,-6.163077509475323179e-01,-5.786471805255632983e-01
2.220444088817763451e+00,1.524966973903228107e+00,2.234904641193287411e-01,-6.123615957035627444e-01,-6.285213919928542836e-01
2.230446089217843486e+00,1.518861738168367115e+00,2.236924805730280685e-01,-6.084467497028753780e-01,-6.152792295176695569e-01
