n1,n2,sv,R,R_noisy
1.150243619343058077e+00,2.639098938140126194e+00,9.933985376147507207e-01,1.929934865199560257e+00,1.882697284046521480e+00
2.599703802578521739e+00,2.581334836866432614e+00,1.119448118625712807e+00,1.994162515451407325e+00,1.989249017058796420e+00
1.773739703803773438e+00,7.409744347478065540e-01,1.025705038215804610e+00,1.214164280724259859e+00,1.218938432097732560e+00
1.777222211166332499e+00,1.620889468390356747e+00,1.407243255453292763e+00,2.192818739684566420e+00,2.194598051537340666e+00
2.382575519255444974e+00,8.016801609971244691e-01,1.841656532354595033e+00,2.175780752739225665e+00,2.150466169823510132e+00
8.698050894623914342e-01,2.876347598229267444e+00,6.263880819153013757e-01,1.265642652285364100e+00,1.295330055874655217e+00
2.549066797798192674e+00,1.587227990697596791e+00,2.037158886153830339e-01,6.875747073431924816e-01,7.321330550573088569e-01
2.208217265008142860e+00,1.050195795251958497e+00,2.463644848339162086e-01,5.129813199368377097e-01,5.290237351651658759e-01
2.467742353887002693e+00,2.594071354306420218e+00,1.841053927388121902e+00,1.407473923392110748e+00,1.366562412022595430e+00
9.790406475503381500e-01,7.180403989905723705e-01,1.871898859066091214e+00,1.284905812429412375e+00,1.321488426618684375e+00
2.505910402836325268e+00,8.852173716147213600e-01,1.775268201582394401e+00,2.232783637360692630e+00,2.207711636437339919e+00
9.783098151430007494e-01,2.197074841873842388e+00,1.248451620339786849e+00,1.884108902808593555e+00,1.928066933722992760e+00
7.038815434087817291e-01,1.768558307222060755e+00,1.253381411431129466e+00,1.376708600157426687e+00,1.323119229313554523e+00
2.638067435717675657e+00,1.168236665678952235e+00,9.270384964351567891e-01,1.871542662693356229e+00,1.917266022849795304e+00
2.653208740444171099e+00,1.940699423155447079e+00,8.080754436578225786e-01,2.067459367581261365e+00,2.066456194850487371e+00
2.691342741041451436e+00,1.018459184528829109e+00,1.879801150921471153e+00,2.307052414016181441e+00,2.244614969499460599e+00
1.679774298396975674e+00,1.273089027243369031e+00,1.154609706617631515e+00,1.794704546622888586e+00,1.779009573024546098e+00
1.185120971534295631e+00,2.027651535352236856e+00,6.953768409820930696e-01,1.340970785361831341e+00,1.343675899300408538e+00
5.177295715079156535e-01,2.707330386975446146e+00,1.383007489673925949e+00,1.597489627755002584e+00,1.611129194713225354e+00
2.114302238937369793e+00,2.257945681934776516e+00,3.649878246606902410e-01,1.273939142571798078e+00,1.224829736324749119e+00
2.299773458771732670e+00,2.108069460355574520e+00,1.430639380939907834e+00,2.119598405419398368e+00,2.064229753061138872e+00
2.588923041250685397e+00,2.366617842679215045e+00,6.903410330463892741e-01,2.033141613674287917e+00,2.043120840316642095e+00
1.204694568411355249e+00,1.445939451579709711e+00,1.449405849120358303e+00,1.861662904913675254e+00,1.838325424069685132e+00
1.038045417907433876e+00,2.952445150509682925e+00,1.067469967325112457e+00,2.007517715497433741e+00,2.019292996083945191e+00
2.098328450166469850e+00,2.028150450019834850e+00,1.750130401489639498e+00,2.096473392803090974e+00,2.134449368927009871e+00
2.512637082862524185e+00,1.143903188779014535e+00,1.561918488408693406e+00,2.252262399908282919e+00,2.169823031590735418e+00
2.909177182112427040e+00,5.899131196246361064e-01,1.969868881625186585e+00,2.165017142244373360e+00,2.177736548070254408e+00
8.763120760529437003e-01,7.793889632397303924e-01,1.245209755301564192e+00,8.826072272521953144e-01,9.438395756289819083e-01
1.705530970498341237e+00,9.962728790369765886e-01,1.687186312412862987e+00,2.003117918459080382e+00,1.988241576240556752e+00
2.736789655490433848e+00,2.335931597525435777e+00,1.385684826589317797e+00,1.841980020896225145e+00,1.801439291734346693e+00
1.556792267363593218e+00,2.536302911181536057e+00,1.526125136493049483e+00,2.221703119049901254e+00,2.259315310408880784e+00
1.973755155210120238e+00,2.813632112621938575e+00,1.811791986956199585e+00,1.691002199434831210e+00,1.703674525245238325e+00
5.612266937334080552e-01,2.107275587943922890e+00,7.632681337909785757e-01,8.579896345709451255e-01,9.027837881098231820e-01
2.183649717882347296e+00,1.243192474938776604e+00,1.633113674841142560e+00,2.257944645907937087e+00,2.240683860405372929e+00
2.797721549084556170e+00,2.597172723358721402e+00,1.868308196880707595e+00,1.137081118463251661e+00,1.062990204777141123e+00
2.567063323891802806e+00,2.883675424709502444e+00,1.980226001295521066e+00,9.947181779207491248e-01,9.892176396851866116e-01
2.713800666774866865e+00,2.242259600093958305e+00,4.624724878487295188e-01,1.706462346812920305e+00,1.684170939162358716e+00
2.150888451301308457e+00,6.808950999270170223e-01,7.062107272742021991e-01,9.471784833837291195e-01,9.859446744861077860e-01
1.113880668107944061e+00,1.527454941954923484e+00,9.644219719678783775e-01,1.382319824986416812e+00,1.392001467405274528e+00
2.421292497240635999e+00,1.122359074520745237e+00,8.855285070864986618e-01,1.715206870541766015e+00,1.633664408920010969e+00
1.029186856518776283e+00,2.848151279714927764e+00,1.887444445027555817e+00,2.298645845120433684e+00,2.238887691115273526e+00
2.578187086661152705e+00,2.527808477815178367e+00,2.452316313036507212e-01,1.155157460453014595e+00,1.199346912282377442e+00
6.567948064269206743e-01,6.748177803255318574e-01,1.813678369662923950e+00,8.842389354913451349e-01,9.182271863622374353e-01
2.563719533483889368e+00,2.023579825804652899e+00,3.527534646776396832e-01,1.309546128561007050e+00,1.277533960265582635e+00
9.112681661852533033e-01,2.962868957792944791e+00,1.887581056129768120e+00,2.310417886821742872e+00,2.310365446993378757e+00
1.437867491241604512e+00,1.809515317549500679e+00,1.858332784937428483e+00,2.300245627189554387e+00,2.322524304878363477e+00
1.291845416392410684e+00,2.723603360666704276e+00,1.068100074632598373e+00,2.092531583408184126e+00,2.115951800200547961e+00
2.228342588194353269e+00,2.530826693031547059e+00,5.135616433675934678e-01,1.749625366734129717e+00,1.793437476539847308e+00
9.464296954359298075e-01,1.678843497164999699e+00,5.446616873096470357e-01,7.982789755725983039e-01,8.111032569336763531e-01
1.490640405542466240e+00,1.605020990980536855e+00,6.669421460302246141e-01,1.294408470653710896e+00,1.289667053705285893e+00
5.145614877699523637e-01,9.041279693796928640e-01,1.728051214280040604e+00,8.762310972562159517e-01,8.632886940168236212e-01
1.156236781875253694e+00,1.386173925283359143e+00,1.173348543003448485e+00,1.544479495486518861e+00,1.597266635513181487e+00
1.552972035572388165e+00,9.784166891449572745e-01,1.774684296810351336e+00,1.959951461969302366e+00,1.847408748215375596e+00
7.648030917683110719e-01,2.614268959629443945e+00,1.558373569863154895e+00,2.055185338296178887e+00,2.048252572041612041e+00
2.082899865091394354e+00,2.008508177983053145e+00,1.941866985495243947e+00,2.017931304390217839e+00,2.019581309589420837e+00
1.451060674716330823e+00,2.840605678371170839e+00,1.390478485029460254e+00,2.220328406240255514e+00,2.149060958196745919e+00
2.313234845190597078e+00,1.525885543812812051e+00,5.060798762174287813e-01,1.345271415370799417e+00,1.361912096027701802e+00
2.134665027670985982e+00,2.254273302196332374e+00,1.184490184480496922e+00,2.181953532131065021e+00,2.149389481508895194e+00
1.578066871943515359e+00,2.582875465073221299e+00,1.530710926925761273e+00,2.205669822383757861e+00,2.248792062199545416e+00
2.668301264105497950e+00,5.321932008900632782e-01,8.442279759470840972e-01,1.082351614382455196e+00,1.076072010180738836e+00
2.080337793750417497e+00,1.307134858850230286e+00,1.999599443204232774e+00,2.309992418200657038e+00,2.343450080240129463e+00
2.525685880265747585e+00,1.590574479383223716e+00,5.910729746467557888e-01,1.619613491118822690e+00,1.680555671377383931e+00
1.354486809850282469e+00,2.821508610061453926e+00,1.867934723712013856e+00,2.152202612047580121e+00,2.171349091183253588e+00
1.859173224171139172e+00,2.676222141983684910e+00,1.081880824689632314e+00,2.172743821372527417e+00,2.128957764201385050e+00
9.907422127868834583e-01,7.112706068719552022e-01,1.720594663279402692e+00,1.200623705231632199e+00,1.124907773646400155e+00
2.990352975296569848e+00,2.888647792540043113e+00,1.159133664391146734e+00,1.623734001499347102e+00,1.711403207375165714e+00
1.108038660765817696e+00,2.067259522295398444e+00,1.191103365392698565e+00,1.888570610875925704e+00,1.883006001216549707e+00
1.142168668067756965e+00,6.798339351885436255e-01,1.472912302995197154e+00,1.128645532345239344e+00,1.094217284963523218e+00
6.829751809774149418e-01,2.225305622069109202e+00,1.143329107642458320e+00,1.460658658742910232e+00,1.467871513145951434e+00
1.144507797491841394e+00,2.638406575080891603e+00,1.007246400866298464e+00,1.939710928018698599e+00,1.930140361494566026e+00
2.407821331360133321e+00,1.147138208015963112e+00,4.137517538647030868e-01,9.577484097415746023e-01,1.000355522952208975e+00
2.244733926707703553e+00,1.306653893089553042e+00,1.410906294866130839e+00,2.202368711193232631e+00,2.204065120315087611e+00
8.216830307929235966e-01,1.194231724923508597e+00,1.928078145648786990e+00,1.636046489103616164e+00,1.636733968284537211e+00
1.440596253570235685e+00,2.256268493883606840e+00,1.896726577051163876e+00,2.256190493686458520e+00,2.220461507634810427e+00
1.552303486543657352e+00,2.295697927440047081e+00,2.845531879725726743e-01,8.383170792211231959e-01,8.617954841584978265e-01
2.162460615904901573e+00,2.435873076603664700e+00,9.860818876079855411e-01,2.152817741554843955e+00,2.101124405437095000e+00
1.639822407609372146e+00,2.802602828527105849e+00,1.272302276198595372e+00,2.192266461955420631e+00,2.225560933943619091e+00
1.966295817063828499e+00,9.545706214724067884e-01,3.777449944026439743e-01,6.462377723469427959e-01,7.224346479964494083e-01
2.599211509022355759e+00,2.270619829388647037e+00,1.479139303098712777e+00,1.874640073573943688e+00,1.798405771668986075e+00
2.316184025780926081e+00,2.114257473283235544e+00,9.800534059770407147e-01,2.149763118977564780e+00,2.026451657409999108e+00
1.412518158771397303e+00,1.156552705792579960e+00,4.336908733879755173e-01,6.591376855413850766e-01,6.899816232991010656e-01
1.620990773361210557e+00,2.938271203814824428e+00,5.827660503752392085e-01,1.744711581791954513e+00,1.872106472566110735e+00
1.419248924225016584e+00,1.692400562921495322e+00,2.330173951463227477e-01,5.028442281775783451e-01,4.527979857339836656e-01
7.743366600167418401e-01,2.872068689230545147e+00,6.141929763655309404e-01,1.145899194147117717e+00,1.083364406207018238e+00
1.008103860218491521e+00,2.929434482759155856e+00,1.460947063091124321e+00,2.227924862832828090e+00,2.257373309521851557e+00
1.209516222360327742e+00,2.750120239596576255e+00,1.088094337661075217e+00,2.076310150601188287e+00,2.034274071098272962e+00
1.285334739005755456e+00,1.648713399950233027e+00,6.208117363281526746e-01,1.120776628205953473e+00,1.095475354009116664e+00
1.282619647049844325e+00,1.199441975368805036e+00,6.549550034990982983e-01,9.244397334394651722e-01,9.070338601052763128e-01
1.941749290632380109e+00,1.964404848388399794e+00,1.051979967063335408e+00,2.118897513340092686e+00,2.145497617654682720e+00
2.929224939049386744e+00,1.623839582381596980e+00,1.519932908161976792e+00,2.098770992978256977e+00,2.078505874908600948e+00
2.436660337309330071e+00,1.670503954611430197e+00,1.961073187472046619e+00,2.041786142103337198e+00,2.055680284107345379e+00
2.477834870432013226e+00,1.110203359254822608e+00,1.097721686413688058e+00,1.953658525737491880e+00,1.944831862792813171e+00
2.398171251348950150e+00,2.605632688505708394e+00,9.978921587944276084e-01,2.104796349962013036e+00,2.062562794779432718e+00
1.992469326309391109e+00,2.326810233093203450e+00,8.824718540182692195e-01,2.083097527054961873e+00,2.067106214167800715e+00
2.794230642927281849e+00,2.663273994699683289e+00,1.678773061297062608e+00,1.285293148485000980e+00,1.237773165226605077e+00
2.224075388617702487e+00,1.828847064796319311e+00,1.237067909611771155e+00,2.210128421967795020e+00,2.210454171261282408e+00
1.750891076842177485e+00,7.316593291027085888e-01,1.848457265774721137e+00,1.845223559986563844e+00,1.789030248608282081e+00
6.927095212513468825e-01,2.655772348814120054e+00,1.186783005866227425e+00,1.684564525973195392e+00,1.629919807508433127e+00
1.721123067713809629e+00,6.731280040215308347e-01,5.580546511497607165e-01,6.277172483147005488e-01,7.005653390799633229e-01
1.032077488350835903e+00,8.862900237000832515e-01,3.892075339931888034e-01,3.598344469693363634e-01,3.571752359540693034e-01
8.317407438669681685e-01,2.860300325062463678e+00,1.168475024183198707e+00,1.901028807975501334e+00,1.898333706701899271e+00
1.765162306323432517e+00,1.903761935649332715e+00,5.431968589276913173e-01,1.376196625359213943e+00,1.401773446355094821e+00
2.462713231492397625e+00,2.187493525915977344e+00,1.457358849204088092e+00,2.004383497706597073e+00,1.983340647579153515e+00
1.237516107013798550e+00,2.552481667969558110e+00,1.609410701484831341e+00,2.272858891007174531e+00,2.261432122633266761e+00
2.421929399772916103e+00,2.161392839212799899e+00,1.599321910465141938e+00,1.945012047495753071e+00,1.966269484262348488e+00
1.814073807905635327e+00,1.609928220219329686e+00,9.312308605617931612e-01,1.832025229511303088e+00,1.846146021623523259e+00
8.726200584267813642e-01,1.857498544864521595e+00,1.191522376767548463e+00,1.570329860020863944e+00,1.512365023674242526e+00
2.912419359949339537e+00,1.496209484180672789e+00,6.079980091804686460e-01,1.716799708395668533e+00,1.758466838229151730e+00
1.504090559721293685e+00,1.942976062426472916e+00,1.134068266198728470e+00,2.028985700258916669e+00,1.999463953094464452e+00
1.238085639156739415e+00,5.055175767749304772e-01,1.671063460770206621e+00,1.066618820273403712e+00,1.013814872757694330e+00
2.617495926584323840e+00,1.770665240516855476e+00,1.350579447747426887e+00,2.175557717293165272e+00,2.130533963793212582e+00
8.111508312886995808e-01,5.595544564893552009e-01,1.400889306569090387e+00,7.074879748897325848e-01,6.879607076719664871e-01
2.333976152684258398e+00,7.741798720599392114e-01,1.921049064126326478e+00,2.175247612678993914e+00,2.256612625410147288e+00
9.695618564136707640e-01,2.615920686519082050e+00,7.161747327174439182e-01,1.419242073055646758e+00,1.360465277809607798e+00
1.481229440031456068e+00,2.148465293263617681e+00,1.369227331850650486e+00,2.212719120736725387e+00,2.220722915363442240e+00
1.079749696155346106e+00,9.554196770715877030e-01,1.792378156603170680e+00,1.602590011604059894e+00,1.495698793699530960e+00
2.603069981730967264e+00,2.368006313129574103e+00,7.979428314133583111e-01,2.099214967959167399e+00,2.099136621301907368e+00
1.475186379849654283e+00,1.689458173969606625e+00,2.908088244976491654e-01,6.404728236471264324e-01,6.854511445209268139e-01
2.936732032205723097e+00,8.371156899328222600e-01,7.306684182161464758e-01,1.412394851817454278e+00,1.400561685714381444e+00
2.063153711037767124e+00,2.824214237857579857e+00,7.217027749659066238e-01,2.042669952086486607e+00,2.011202205892319572e+00
2.234057086757287980e+00,7.820127462135041396e-01,7.170362677180250888e-01,1.098361101571368570e+00,1.109936654774295484e+00
1.803812805331043823e+00,5.493571450457299665e-01,1.145695528593740686e+00,1.082111730224811330e+00,1.117119317782343746e+00
1.272420497688977914e+00,1.141504321141487477e+00,1.212263500024491680e+00,1.488421633288645740e+00,1.521604511839516061e+00
1.488891052631071688e+00,7.171497673105837745e-01,8.932668366132123783e-01,9.206630307405682112e-01,1.019286723437057729e+00
2.852335469154754222e+00,5.418036464539226493e-01,7.795956542305171322e-01,1.075386906254587327e+00,1.085845279871401114e+00
1.003008001811661165e+00,2.133104691160552679e+00,1.142494932300150978e+00,1.782578957152803678e+00,1.752958452165157111e+00
2.970547253050530578e+00,8.299053474782293049e-01,1.514111427737095728e+00,2.172589622083784366e+00,2.166290662584452242e+00
2.395764655009545940e+00,1.909699610154969696e+00,2.584817944536313417e-01,9.349632278551907039e-01,9.313383005742000842e-01
1.399467316231525649e+00,1.106474572927716782e+00,1.686323193478663773e+00,1.921907052372008318e+00,1.927343921545914274e+00
2.103783973764008053e+00,2.851625339418774718e+00,4.383817232842482370e-01,1.643963753673422845e+00,1.642462363011951032e+00
1.452453848232718947e+00,1.039639970737014751e+00,1.831524239315874381e+00,1.988617465636870474e+00,1.997315762581680643e+00
1.453732331599800087e+00,1.801636815853929097e+00,1.086812251767150350e+00,1.904167724204186340e+00,1.820625221173430619e+00
1.759507375486323966e+00,2.337468144929141012e+00,1.215659432712313581e+00,2.206008275530896068e+00,2.247489723332898315e+00
5.418070540884427633e-01,1.277824796573689081e+00,1.965483411775665656e+00,1.316479486813219912e+00,1.287742523367168213e+00
1.733928899858490524e+00,2.579348475132487106e+00,1.814992886967450758e+00,2.007902381265145753e+00,1.949244446442794487e+00
2.928996033617219830e+00,1.284947380328522737e+00,1.001157411775993378e+00,2.078553148615524204e+00,2.110440706597596083e+00
1.213663071963946072e+00,1.469650159435256676e+00,5.641099856676038415e-01,9.049622356131944434e-01,9.708285359824985195e-01
2.370544897691530650e+00,1.575970706319345771e+00,1.272349894301666007e+00,2.213783271653403606e+00,2.238434679128375571e+00
1.606972225176237501e+00,1.547235304829512881e+00,2.723323017799524903e-01,6.008815002889961177e-01,6.089394659812721322e-01
1.023202606544463711e+00,2.019859136026036062e+00,3.207314816655542078e-01,5.992859065387089457e-01,5.526748912701113792e-01
2.762506427045323676e+00,1.065614028999577023e+00,6.073295910925009533e-01,1.376128966207432747e+00,1.519707333098107682e+00
5.420682117005324319e-01,1.323035276107408009e+00,9.519503266359843341e-01,7.076720995953222904e-01,7.516850306283977545e-01
1.258772316498776744e+00,1.072430078293787226e+00,1.448669213169423431e+00,1.620291785506751348e+00,1.563327051989602534e+00
2.997564705809844021e+00,1.192363121292228989e+00,3.780426373864469447e-01,1.072769587318640694e+00,1.033787691506653506e+00
1.155366990474973710e+00,2.406955815410013688e+00,1.738736861173287629e+00,2.287838128574981589e+00,2.292187091003576871e+00
2.622611304648180042e+00,2.073166884554670908e+00,1.009599850887873851e+00,2.151815283083157837e+00,2.074078726483358448e+00
2.014207871639260627e+00,2.906973256060086275e+00,5.490521163070315458e-01,1.837991852799628623e+00,1.846423373150154257e+00
2.515089268817809032e+00,2.875325101567620667e+00,1.756008547577912138e+00,1.259346787227958009e+00,1.236393209442320007e+00
2.075794388608695584e+00,1.012713617269597854e+00,1.443582006163902864e+00,2.017590193767650142e+00,2.078903723783461110e+00
1.406742142644620941e+00,1.024865089902863957e+00,1.747715634076041358e+00,1.895957651148783230e+00,1.944065384330195601e+00
2.401971961458706062e+00,2.769119903064514610e+00,1.937264072097298451e+00,1.242042140899743297e+00,1.106477869028004601e+00
5.662113722599309007e-01,8.473995631461895828e-01,1.675284663588755052e+00,8.743997032980557194e-01,8.764848325994213374e-01
1.617032379336129644e+00,2.402962617491659181e+00,8.174144317883982325e-01,1.922170780603490448e+00,1.841297405627305928e+00
1.429636424675265083e+00,9.793994076423711004e-01,1.976291647333629387e+00,2.003208024672238796e+00,2.058689924634665047e+00
1.692685014093373574e+00,8.575916589575247606e-01,1.555453430070645515e+00,1.769503310508866223e+00,1.777908603965257406e+00
8.190517162401740325e-01,1.598109723217342015e+00,1.674257460337864600e+00,1.754223137985040371e+00,1.781643410594390131e+00
1.056267164865681174e+00,2.210149192945594976e+00,8.566814870527266201e-01,1.540668840070807288e+00,1.487412603630642316e+00
1.905128975249273493e+00,2.610421711530948485e+00,1.274106490144761183e+00,2.155277970184290570e+00,2.246699482084065558e+00
1.469422789139884777e+00,1.020377613455817123e+00,1.320199033153250934e+00,1.614425729105035456e+00,1.715429397462557626e+00
2.479140513975851334e+00,7.492598524116351744e-01,6.989124780115794078e-01,1.123070205754960416e+00,1.069831653623649848e+00
2.012841473193786257e+00,2.481782299850264550e+00,1.062259335378214598e+00,2.169681505503481045e+00,2.188322261596796992e+00
2.653166711967485103e+00,1.627543062771719118e+00,6.888655308599835880e-01,1.834718615749452608e+00,1.801053494329943216e+00
2.330902093314011214e+00,2.023924171060233146e+00,7.183084432787210094e-01,1.934501751530337543e+00,1.933323254687300929e+00
2.004558619396412666e+00,1.960503767515951346e+00,1.377662047842714621e+00,2.229532933179400711e+00,2.166251084218172362e+00
1.219039005489989336e+00,2.402043741140572841e+00,2.358448794638265955e-01,6.007320642684528256e-01,6.940893399974837896e-01
2.456901169815421504e+00,2.973897283422392679e+00,1.564742424974389978e+00,1.442747586014371919e+00,1.394288610460238553e+00
1.128168945427704628e+00,2.120228722833629398e+00,1.073072073226648326e+00,1.813187873462272393e+00,1.798383682712397569e+00
6.880277795360110193e-01,1.413028843746522822e+00,4.261716428549361391e-01,4.139316255377530340e-01,4.390057720932791785e-01
2.907161446108069480e+00,9.372245636765923482e-01,1.069421595315560580e+00,1.920365993779936442e+00,1.887987959859130038e+00
1.850028012741173011e+00,7.571970473902460697e-01,8.757868984521646194e-01,1.111026855778627809e+00,1.099061234292012745e+00
2.434735743874528069e+00,2.228885395872775455e+00,1.773153163930407894e+00,1.760605500537602675e+00,1.732423508216254460e+00
1.823057019075900342e+00,1.137759020944925981e+00,1.411281505531420510e+00,1.983968235554539605e+00,1.977295197812724892e+00
2.028949325929553460e+00,1.194002849159561563e+00,6.042491373320646453e-01,1.203980833164702835e+00,1.145453701409687719e+00
5.847306262912655983e-01,1.608367189870797187e+00,1.848189781385590980e+00,1.540324278812435166e+00,1.518424875032320154e+00
9.669841983845213207e-01,1.818996345836729756e+00,1.758397108279794674e+00,2.073171801098778300e+00,2.062827154863166257e+00
2.186723488586943542e+00,1.540370050392826595e+00,1.177923420449544567e+00,2.141762258472098335e+00,2.125075958281891442e+00
1.926411494881245634e+00,2.889260874341699648e+00,3.368946484428595456e-01,1.323009624887491409e+00,1.325844122632181099e+00
8.963875849667817253e-01,1.245227768698529802e+00,1.393796511963663054e+00,1.395284700965852220e+00,1.380629589998016105e+00
2.880073171815461741e+00,2.005046567946121350e+00,9.614779672250011178e-01,2.137567519348644751e+00,2.175228089770613771e+00
8.858840813685107118e-01,5.406135624804870865e-01,1.328562160032167760e+00,7.021351211193443964e-01,6.859753248300528572e-01
1.775758124346713318e+00,6.594296041510950834e-01,3.767818670481203336e-01,4.286334641114860622e-01,4.218009842966918277e-01
8.600071875481442030e-01,9.973672031701672491e-01,4.069254022756273459e-01,3.557453631525450133e-01,3.225062963527524085e-01
2.293429315265586688e+00,1.203357184342700226e+00,4.697946545012227082e-01,1.069060282717793298e+00,1.042734540712031421e+00
1.190782535237881801e+00,1.665808298312487779e+00,1.187705175394673462e+00,1.757801074199109248e+00,1.694576434658123576e+00
8.353349378044581108e-01,1.935518504822848485e+00,1.498646976349111037e+00,1.828525169460532895e+00,1.854464415504431196e+00
6.149679516762891485e-01,9.148027716427338252e-01,8.251632444775811592e-01,5.041417916958469414e-01,4.470158908132223496e-01
9.370888447440590685e-01,1.946624392784963131e+00,3.679434312931513240e-01,6.152070662564211867e-01,5.779142463470049451e-01
9.794967918089160230e-01,7.045575997418567216e-01,4.967222739314679503e-01,3.596694572932083167e-01,3.776316898937685518e-01
1.842430198929481566e+00,1.480686790024434041e+00,7.744526003164298178e-01,1.571716503914136753e+00,1.591845172211363346e+00
