t,v,T_local,dv_dt,dv_dt_noisy
1.008201640328065668e-01,6.529628477896855243e-02,4.251055306155071566e-04,6.283177219410881476e-01,6.275972851438158528e-01
1.032206441288257698e-01,6.680342683341063126e-02,4.554301597670018151e-04,6.273826414390608619e-01,6.179351252084530621e-01
1.056211242248449728e-01,6.830832312832127440e-02,4.871257379753997385e-04,6.264466389179409456e-01,6.254639392394187869e-01
1.080216043208641757e-01,6.981097145805406634e-02,5.202191070857887373e-04,6.255097200469632579e-01,6.264645503216578204e-01
1.104220844168833787e-01,7.131136963195129630e-02,5.547368819399425268e-04,6.245718903958004109e-01,6.249277527663552601e-01
1.128225645129025817e-01,7.280951547434383331e-02,5.907054503763207272e-04,6.236331554359023643e-01,6.185702388527591911e-01
1.152230446089217847e-01,7.430540682455125112e-02,6.281509732300683208e-04,6.226935205418369090e-01,6.286310012596951768e-01
1.176235247049409877e-01,7.579904153668626243e-02,6.670993845114102242e-04,6.217529909927402842e-01,6.306646605355635815e-01
1.200240048009601906e-01,7.729041745967996091e-02,7.075764106243640633e-04,6.208115719852478342e-01,6.240200550309135119e-01
1.224244848969793936e-01,7.877953245824380335e-02,7.496075533144268364e-04,6.198692686225366621e-01,6.116869663486336206e-01
1.248249649929985966e-01,8.026638441970962434e-02,7.932180807308239837e-04,6.189260859117919900e-01,6.262426087496464344e-01
1.272254450890178135e-01,8.175097124189437126e-02,8.384330378561538405e-04,6.179820287726474071e-01,6.129676285879769315e-01
1.296259251850370164e-01,8.323329083310004872e-02,8.852772465063856854e-04,6.170371020385282401e-01,6.258287082214081254e-01
1.320264052810562194e-01,8.471334111211387130e-02,9.337753053308619090e-04,6.160913104579941457e-01,6.053734362892196907e-01
1.344268853770754224e-01,8.619112000820811081e-02,9.839515898122967123e-04,6.151446586960795937e-01,6.242893307273673642e-01
1.368273654730946254e-01,8.766662546114016574e-02,1.035830252266776649e-03,6.141971513356333512e-01,6.139965167894785303e-01
1.392278455691138284e-01,8.913985542115254734e-02,1.089435221843760519e-03,6.132487928786550802e-01,6.007613039753109119e-01
1.416283256651330313e-01,9.061080784897289353e-02,1.144790204526078712e-03,6.122995877476310467e-01,6.091605930279625492e-01
1.440288057611522343e-01,9.207948071581398275e-02,1.201918683129934301e-03,6.113495402868673878e-01,6.118905630745827828e-01
1.464292858571714373e-01,9.354587200337362296e-02,1.260843917304902816e-03,6.103986547638221571e-01,6.131265681554667335e-01
1.488297659531906403e-01,9.500997970383484592e-02,1.321588943533930950e-03,6.094469353704342618e-01,5.996250541210245144e-01
1.512302460492098433e-01,9.647180181986575453e-02,1.384176575133338506e-03,6.084943862244518442e-01,5.974206557527999006e-01
1.536307261452290462e-01,9.793133636461952285e-02,1.448629402252816882e-03,6.075410113707577775e-01,6.095368566992286352e-01
1.560312062412482492e-01,9.938858136173452096e-02,1.514969791875429937e-03,6.065868147826927181e-01,6.019193186138946938e-01
1.584316863372674522e-01,1.008435348453341762e-01,1.583219887817613556e-03,6.056318003633772706e-01,6.079868564806795161e-01
1.608321664332866552e-01,1.022961948600270704e-01,1.653401610729176088e-03,6.046759719470309324e-01,6.122711671718147342e-01
1.632326465293058582e-01,1.037465594590141760e-01,1.725536659311045599e-03,6.037193333014465590e-01,5.872314596379371032e-01
1.656331266253250611e-01,1.051946266941257979e-01,1.799646518940582795e-03,6.027618881352567737e-01,6.053057693004328943e-01
1.680336067213442641e-01,1.066403946349323145e-01,1.875752450811216327e-03,6.018036400874603453e-01,6.140501097628177085e-01
1.704340868173634671e-01,1.080838613609079735e-01,1.953875493638700979e-03,6.008445927337418002e-01,5.978693242900370297e-01
1.728345669133826701e-01,1.095250249591181169e-01,2.034036464864497074e-03,5.998847495892217774e-01,5.917766037568460424e-01
1.752350470094018731e-01,1.109638835242190563e-01,2.116255960655768955e-03,5.989241141097761956e-01,6.064465523815720793e-01
1.776355271054210760e-01,1.124004351584581146e-01,2.200554355905386290e-03,5.979626896933496472e-01,6.004971548554310923e-01
1.800360072014402790e-01,1.138346779716736812e-01,2.286951804231922986e-03,5.970004796812681258e-01,6.059593103890437149e-01
1.824364872974594820e-01,1.152666100812951566e-01,2.375468237979658052e-03,5.960374873595477574e-01,5.925853302590349259e-01
1.848369673934786850e-01,1.166962296123429249e-01,2.466123368218576042e-03,5.950737159602039750e-01,5.802555332229818452e-01
1.872374474894978880e-01,1.181235346974284228e-01,2.558936684744364878e-03,5.941091686625539214e-01,5.930090610154413744e-01
1.896379275855170909e-01,1.195485234767541260e-01,2.653927456078419324e-03,5.931438485945202954e-01,5.886855670644079996e-01
1.920384076815362939e-01,1.209711940981134798e-01,2.751114729467835779e-03,5.921777588339293130e-01,5.999309970544050019e-01
1.944388877775555247e-01,1.223915447168910098e-01,2.850517330885420086e-03,5.912109024098076704e-01,5.931472308935792359e-01
1.968393678735747276e-01,1.238095734960621974e-01,2.952153865029677124e-03,5.902432823036767306e-01,5.739347899793256769e-01
1.992398479695939306e-01,1.252252786061936185e-01,3.056042715324820344e-03,5.892749014508432692e-01,5.773232706498112599e-01
2.016403280656131336e-01,1.266386582254428184e-01,3.162202043920768306e-03,5.883057627416881097e-01,5.971436531075606791e-01
2.040408081616323366e-01,1.280497105395583812e-01,3.270649791693142940e-03,5.873358690229508738e-01,5.941335191971293117e-01
2.064412882576515396e-01,1.294584337418799025e-01,3.381403678243272148e-03,5.863652230990137326e-01,5.799627894399288497e-01
2.088417683536707425e-01,1.308648260298553301e-01,3.494481203941448167e-03,5.853938277353812891e-01,5.853833397697084662e-01
2.112422484496899455e-01,1.322688856040881988e-01,3.609899653834935593e-03,5.844216856602735266e-01,5.888774211980354334e-01
2.136427285457091485e-01,1.336706106767425739e-01,3.727676091659285710e-03,5.834487995606734145e-01,5.881328429191462481e-01
2.160432086417283515e-01,1.350699994659920466e-01,3.847827360363727852e-03,5.824751720873415639e-01,5.912375940484850823e-01
2.184436887377475545e-01,1.364670501958874516e-01,3.970370082159631504e-03,5.815008058561814686e-01,5.840656621283970562e-01
2.208441688337667574e-01,1.378617610963570328e-01,4.095320658520505003e-03,5.805257034495122648e-01,5.795774200598272641e-01
2.232446489297859604e-01,1.392541304032063332e-01,4.222695270182000304e-03,5.795498674173411580e-01,5.769613867694627363e-01
2.256451290258051634e-01,1.406441563581183052e-01,4.352509877141905181e-03,5.785733002786305201e-01,5.891307282839630677e-01
2.280456091218243664e-01,1.420318372086531722e-01,4.484780218660151460e-03,5.775960045225636552e-01,5.550874617717782566e-01
2.304460892178435694e-01,1.434171712082485395e-01,4.619521813258808951e-03,5.766179826098055683e-01,5.752314293588921545e-01
2.328465693138627723e-01,1.448001566162194498e-01,4.756749958722088917e-03,5.756392369737619585e-01,5.759692380136025580e-01
2.352470494098819753e-01,1.461807916977581334e-01,4.896479732096342338e-03,5.746597700218342153e-01,5.604062804131323405e-01
2.376475295059011783e-01,1.475590747239342582e-01,5.038725989690060782e-03,5.736795841366709725e-01,5.770077202680514716e-01
2.400480096019203813e-01,1.489350039716948737e-01,5.183503367073876399e-03,5.726986816774163325e-01,5.661858715529823893e-01
2.424484896979395843e-01,1.503085777238643006e-01,5.330826279080560191e-03,5.717170649809559801e-01,5.803415129441134024e-01
2.448489697939587872e-01,1.516797942691442691e-01,5.480708919805026350e-03,5.707347363631571913e-01,5.694788155228138748e-01
2.472494498899779902e-01,1.530486519021138081e-01,5.633165262604324444e-03,5.697516981201081743e-01,5.764432305280027258e-01
2.496499299859971932e-01,1.544151489230380647e-01,5.788209060115075133e-03,5.687679525294858651e-01,5.809563885811981354e-01
2.520504100820163962e-01,1.557792836353049937e-01,5.945853846305814566e-03,5.677835018533907707e-01,5.716127976805255306e-01
2.544508901780356269e-01,1.571410543488842015e-01,6.106112938158628385e-03,5.667983483369419817e-01,5.580411369027135082e-01
2.568513702740548021e-01,1.585004593796907613e-01,6.268999432160885128e-03,5.658124942103123223e-01,5.506693078932659580e-01
2.592518503700740329e-01,1.598574970488317037e-01,6.434526203894912547e-03,5.648259416905306862e-01,5.823597828656944531e-01
2.616523304660932081e-01,1.612121656826058791e-01,6.602705908037967246e-03,5.638386929827038374e-01,5.627257710508286603e-01
2.640528105621124388e-01,1.625644636125040676e-01,6.773550978362271983e-03,5.628507502812361007e-01,5.559651008048929199e-01
2.664532906581316141e-01,1.639143891752088966e-01,6.947073627734974902e-03,5.618621157710441683e-01,5.633046866516524531e-01
2.688537707541508448e-01,1.652619407125949236e-01,7.123285848118189427e-03,5.608727916287681303e-01,5.589586783239416379e-01
2.712542508501700200e-01,1.666071165717285807e-01,7.302199410568957841e-03,5.598827800239799535e-01,5.684042026661068059e-01
2.736547309461892508e-01,1.679499151048682304e-01,7.483825865239284239e-03,5.588920831203864070e-01,5.592313649447574475e-01
2.760552110422084260e-01,1.692903346694639710e-01,7.668176541376104174e-03,5.579007030770299913e-01,5.580381989132141562e-01
2.784556911382276567e-01,1.706283736281580254e-01,7.855262547321313280e-03,5.569086420494844258e-01,5.497628448391548295e-01
2.808561712342468319e-01,1.719640303487842969e-01,8.045094770511738644e-03,5.559159021910471399e-01,5.606115831785221104e-01
2.832566513302660627e-01,1.732973032043687300e-01,8.237683877479170039e-03,5.549224856539282102e-01,5.445838184303783969e-01
2.856571314262852379e-01,1.746281905731290329e-01,8.433040313850325223e-03,5.539283945904337481e-01,5.605872889880734178e-01
2.880576115223044686e-01,1.759566908384749273e-01,8.631174304346884638e-03,5.529336311541471760e-01,5.681730062840485429e-01
2.904580916183236439e-01,1.772828023890583304e-01,8.832095852866893304e-03,5.519381975010583252e-01,5.366913371200667804e-01
2.928585717143428746e-01,1.786065236188993377e-01,9.035814744964117823e-03,5.509420957903395921e-01,5.262798034768264577e-01
2.952590518103620498e-01,1.799278529266714333e-01,9.242340548277669723e-03,5.499453281859739695e-01,5.561141157375171229e-01
2.976595319063812806e-01,1.812467887162796387e-01,9.451682609669239885e-03,5.489478968578389573e-01,5.744268750126702017e-01
3.000600120024004558e-01,1.825633293969763093e-01,9.663850055049130056e-03,5.479498039828017975e-01,5.379405554940828171e-01
3.024604920984196865e-01,1.838774733833614394e-01,9.878851789376291020e-03,5.469510517458746612e-01,5.344440941578547655e-01
3.048609721944388617e-01,1.851892190953824402e-01,1.009669649665827749e-02,5.459516423413661723e-01,5.518413316791709322e-01
3.072614522904580925e-01,1.864985649583343341e-01,1.031739263995129843e-02,5.449515779740277122e-01,5.365443620734445807e-01
3.096619323864773232e-01,1.878055094028594774e-01,1.054094846136017539e-02,5.439508608601961726e-01,5.388906060208288329e-01
3.120624124824964984e-01,1.891100508649478651e-01,1.076737198203835642e-02,5.429494932289327114e-01,5.394683185620949839e-01
3.144628925785157292e-01,1.904121877859369372e-01,1.099667100218793513e-02,5.419474773231557352e-01,5.472674981860736754e-01
3.168633726745349044e-01,1.917119186125116614e-01,1.122885310105961598e-02,5.409448154007723275e-01,5.368917917868410994e-01
3.192638527705541351e-01,1.930092417967045337e-01,1.146392563695274730e-02,5.399415097358024607e-01,5.427203381366040302e-01
3.216643328665733104e-01,1.943041557958954391e-01,1.170189574721528999e-02,5.389375626195004321e-01,5.371722300305646902e-01
3.240648129625925411e-01,1.955966590728119014e-01,1.194277034824385228e-02,5.379329763614714155e-01,5.294862653249553519e-01
3.264652930586117163e-01,1.968867500955288341e-01,1.218655613548365498e-02,5.369277532907843486e-01,5.337294907133521837e-01
3.288657731546309471e-01,1.981744273374687615e-01,1.243325958342856100e-02,5.359218957570791586e-01,5.264178991053999335e-01
3.312662532506501223e-01,1.994596892788494946e-01,1.268288694790263224e-02,5.349154061302606733e-01,5.349805559889581064e-01
3.336667333466693530e-01,2.007425344062835071e-01,1.293544426867818467e-02,5.339082868015208039e-01,5.226696245258644069e-01
3.360672134426885282e-01,2.020229612101739347e-01,1.319093736410212152e-02,5.329005401871276248e-01,5.219715964941752384e-01
3.384676935387077590e-01,2.033009681871149887e-01,1.344937183246389459e-02,5.318921687275103283e-01,5.464617868805629053e-01
3.408681736347269342e-01,2.045765538399224037e-01,1.371075305202830788e-02,5.308831748883062751e-01,5.303513326852528076e-01
3.432686537307461649e-01,2.058497166776335763e-01,1.397508618103555575e-02,5.298735611614313612e-01,5.293345409067109486e-01
3.456691338267653402e-01,2.071204552155073431e-01,1.424237615770117607e-02,5.288633300661461645e-01,5.339786942653224067e-01
3.480696139227845709e-01,2.083887679750242583e-01,1.451262770021610228e-02,5.278524841501163190e-01,5.236439141246276296e-01
3.504700940188037461e-01,2.096546534838863718e-01,1.478584530674661307e-02,5.268410259904702242e-01,5.245556723156886703e-01
3.528705741148229769e-01,2.109181102760173676e-01,1.506203325543438096e-02,5.258289581948498714e-01,5.300804455481689104e-01
3.552710542108421521e-01,2.121791368915624254e-01,1.534119560439642371e-02,5.248162834024585610e-01,5.276404418249025507e-01
3.576715343068613828e-01,2.134377318768884424e-01,1.562333619172515120e-02,5.238030042851030688e-01,5.122100370157787186e-01
3.600720144028805580e-01,2.146938937845837003e-01,1.590845863548831854e-02,5.227891235482320376e-01,5.311225495149286546e-01
3.624724944988997888e-01,2.159476211734582818e-01,1.619656633372907814e-02,5.217746439319677076e-01,5.158702944990772865e-01
3.648729745949189640e-01,2.171989126085436261e-01,1.648766246446592074e-02,5.207595682121353153e-01,5.101987787089934390e-01
3.672734546909381947e-01,2.184477666610929458e-01,1.678174998569274129e-02,5.197438992012857195e-01,5.107391485012952037e-01
3.696739347869573700e-01,2.196941819093937431e-01,1.707883163704747645e-02,5.187276397488275181e-01,5.148221863052743208e-01
3.720744148829766007e-01,2.209381569422816660e-01,1.737890994886163998e-02,5.177107927379026586e-01,5.339837952841333113e-01
3.744748949789957759e-01,2.221796903519679400e-01,1.768198722830011116e-02,5.166933610940566135e-01,5.049380020448488438e-01
3.768753750750150067e-01,2.234187807375656587e-01,1.798806556381973148e-02,5.156753477828233123e-01,5.172761067081667052e-01
3.792758551710341819e-01,2.246554267058972210e-01,1.829714682661827754e-02,5.146567558098552597e-01,4.932785122289494728e-01
3.816763352670534126e-01,2.258896268714944977e-01,1.860923267063452000e-02,5.136375882218938704e-01,5.136219188904419530e-01
3.840768153630725879e-01,2.271213798565988318e-01,1.892432453254816807e-02,5.126178481077366955e-01,5.216135122824967496e-01
3.864772954590918186e-01,2.283506842911610102e-01,1.924242363177992507e-02,5.115975385991990976e-01,5.092309053785845085e-01
3.888777755551110493e-01,2.295775388128411532e-01,1.956353097049144327e-02,5.105766628720702638e-01,5.042831136332368569e-01
3.912782556511302245e-01,2.308019420670089361e-01,1.988764733358533779e-02,5.095552241470652222e-01,5.118703347876506493e-01
3.936787357471494553e-01,2.320238927067433954e-01,2.021477328870520743e-02,5.085332256907719728e-01,5.155347432022784337e-01
3.960792158431686305e-01,2.332433893928330115e-01,2.054490918623559648e-02,5.075106708165920688e-01,5.141472465267661329e-01
3.984796959391878612e-01,2.344604307937757370e-01,2.087805515930203984e-02,5.064875628856781997e-01,5.262123014249761033e-01
4.008801760352070365e-01,2.356750155857789131e-01,2.121421112377101098e-02,5.054639053078652244e-01,5.075555800312280263e-01
4.032806561312262672e-01,2.368871424527594083e-01,2.155337677824997744e-02,5.044397015425969855e-01,4.985156005450676608e-01
4.056811362272454424e-01,2.380968100863433412e-01,2.189555160408734533e-02,5.034149550998472389e-01,5.021551631999807697e-01
4.080816163232646732e-01,2.393040171861149645e-01,2.224073486607588968e-02,5.023896695407205071e-01,5.016646840845223609e-01
4.104820964192838484e-01,2.405087624652689215e-01,2.258892562942813736e-02,5.013638484709893595e-01,5.024512223057705507e-01
4.128825765153030791e-01,2.417110446428393511e-01,2.294012273917853117e-02,5.003374955515859090e-01,5.000372174192915242e-01
4.152830566113222543e-01,2.429108624450853349e-01,2.329432482189431122e-02,4.993106144981235839e-01,5.010502738870856732e-01
4.176835367073414851e-01,2.441082146079699422e-01,2.365153029231638684e-02,4.982832090786756263e-01,4.815747084725244820e-01
4.200840168033606603e-01,2.453030998771602578e-01,2.401173735335927067e-02,4.972552831146279106e-01,5.055515726750283712e-01
4.224844968993798910e-01,2.464955170080273539e-01,2.437494399611113416e-02,4.962268404815277645e-01,4.904794477923174467e-01
4.248849769953990663e-01,2.476854647656462627e-01,2.474114799983375204e-02,4.951978851099261281e-01,4.834662981454558861e-01
4.272854570914182970e-01,2.488729419247961427e-01,2.511034693196255788e-02,4.941684209862159394e-01,5.005459325826302486e-01
4.296859371874374722e-01,2.500579472699599459e-01,2.548253814810659199e-02,4.931384521534643572e-01,5.063117122273251836e-01
4.320864172834567030e-01,2.512404795953249170e-01,2.585771879204856044e-02,4.921079827122405437e-01,4.970382642072349588e-01
4.344868973794758782e-01,2.524205377047819554e-01,2.623588579574475874e-02,4.910770168214373399e-01,4.926886099598925539e-01
4.368873774754951089e-01,2.535981204119263088e-01,2.661703587932515505e-02,4.900455586990891677e-01,4.807233556453696655e-01
4.392878575715142841e-01,2.547732265400568519e-01,2.700116555109331740e-02,4.890136126231832692e-01,5.177292860013182896e-01
4.416883376675335149e-01,2.559458549221768076e-01,2.738827110752647259e-02,4.879811829324660066e-01,4.967837691390810662e-01
4.440888177635526901e-01,2.571160044009931922e-01,2.777834863327545423e-02,4.869482740272446653e-01,4.755553273238148915e-01
4.464892978595719208e-01,2.582836738289298051e-01,2.817139400121312920e-02,4.859148903701639433e-01,4.781185112077664945e-01
4.488897779555910961e-01,2.594488620739344165e-01,2.856740289481066869e-02,4.848810364781692139e-01,4.857508289638882704e-01
4.512902580516103268e-01,2.606115680144117652e-01,2.896637078990930980e-02,4.838467169306490123e-01,4.682994056106891678e-01
4.536907381476295020e-01,2.617717905362776376e-01,2.936829294235188126e-02,4.828119363748805126e-01,4.844982404449856284e-01
4.560912182436487328e-01,2.629295285375353175e-01,2.977316440497611988e-02,4.817766995199533331e-01,4.771859839628257438e-01
4.584916983396679080e-01,2.640847809282760306e-01,3.018098002761460119e-02,4.807410111374837980e-01,4.930037171406459473e-01
4.608921784356871387e-01,2.652375466306786667e-01,3.059173445709480882e-02,4.797048760623263686e-01,4.893264226986088206e-01
4.632926585317063695e-01,2.663878245790097243e-01,3.100542213723906163e-02,4.786682991932796893e-01,4.515554448189319503e-01
4.656931386277255447e-01,2.675356137196235884e-01,3.142203730886455881e-02,4.776312854937866392e-01,4.780483113540597850e-01
4.680936187237447754e-01,2.686809130109624189e-01,3.184157400978339381e-02,4.765938399926291091e-01,4.604191649973922162e-01
4.704940988197639506e-01,2.698237214235558734e-01,3.226402607480249179e-02,4.755559677846196154e-01,4.866523477771048656e-01
4.728945789157831814e-01,2.709640379400216070e-01,3.268938713572368954e-02,4.745176740312845309e-01,4.761987327225628008e-01
4.752950590118023566e-01,2.721018615550648279e-01,3.311765062134366250e-02,4.734789639615440415e-01,4.789630184834139937e-01
4.776955391078215873e-01,2.732371912754786303e-01,3.354880975745398730e-02,4.724398428723869392e-01,4.617885955843539225e-01
4.800960192038407626e-01,2.743700261201436619e-01,3.398285756684107928e-02,4.714003161295391986e-01,4.896846185094941850e-01
4.824964992998599933e-01,2.755003651200284565e-01,3.441978686928625492e-02,4.703603891681275018e-01,4.905611228396319357e-01
4.848969793958791685e-01,2.766282073181892120e-01,3.485959028156566941e-02,4.693200674933382666e-01,4.586723570670761529e-01
4.872974594918983993e-01,2.777535517745993165e-01,3.530226024117402023e-02,4.682793566723868484e-01,4.720075078910500044e-01
4.896979395879175745e-01,2.788763975651707416e-01,3.574778900125671899e-02,4.672382623368513954e-01,4.605052380529495171e-01
4.920984196839368052e-01,2.799967437741037735e-01,3.619616859295683720e-02,4.661967901970632822e-01,4.659610908284559372e-01
4.944988997799559804e-01,2.811145895002799544e-01,3.664739085692128584e-02,4.651549460312311424e-01,4.524985762389854838e-01
4.968993798759752112e-01,2.822299338573114325e-01,3.710144744354344076e-02,4.641127356859148789e-01,4.827841908317210828e-01
4.992998599719943864e-01,2.833427759735407947e-01,3.755832981296305939e-02,4.630701650765823296e-01,4.533783699657556454e-01
5.017003400680135616e-01,2.844531149920412894e-01,3.801802923506631543e-02,4.620272401881608815e-01,4.590664020381859389e-01
5.041008201640327924e-01,2.855609500706167703e-01,3.848053678948581968e-02,4.609839670755849217e-01,4.659987963866901728e-01
5.065013002600520231e-01,2.866662803818015304e-01,3.894584336560056453e-02,4.599403518643368494e-01,4.534647450801755908e-01
5.089017803560712538e-01,2.877691051128606348e-01,3.941393966253595865e-02,4.588964007509843124e-01,4.565032764536612886e-01
5.113022604520903736e-01,2.888694234657893656e-01,3.988481618916381310e-02,4.578521200037109495e-01,4.522157215394412844e-01
5.137027405481096043e-01,2.899672346573140547e-01,4.035846326410240381e-02,4.568075159628431914e-01,4.554729084144802376e-01
5.161032206441288350e-01,2.910625379188911399e-01,4.083487101571636746e-02,4.557625950413716209e-01,4.440571686903685977e-01
5.185037007401480658e-01,2.921553324967079424e-01,4.131402938211676396e-02,4.547173637254667278e-01,4.503374829694437032e-01
5.209041808361671855e-01,2.932456176516821111e-01,4.179592811116104173e-02,4.536718285749901103e-01,4.516028993278676795e-01
5.233046609321864162e-01,2.943333926594621230e-01,4.228055676045313488e-02,4.526259962240001267e-01,4.492887361859587703e-01
5.257051410282056469e-01,2.954186568142920799e-01,4.276790472123040421e-02,4.515798733729650127e-01,4.521467729219029730e-01
5.281056211242248777e-01,2.965014094312229398e-01,4.325796123004692351e-02,4.505334667847926133e-01,4.476024445912253902e-01
5.305061012202439974e-01,2.975816498354807993e-01,4.375071530331238467e-02,4.494867833080165020e-01,4.570188973924103060e-01
5.329065813162632281e-01,2.986593773695365717e-01,4.424615578260947951e-02,4.484398298618019196e-01,4.452078706039436229e-01
5.353070614122824589e-01,2.997345913933525674e-01,4.474427133624563069e-02,4.473926134358078843e-01,4.460261174728490374e-01
5.377075415083016896e-01,3.008072912843829383e-01,4.524505045925305419e-02,4.463451410905767691e-01,4.396973277306182593e-01
5.401080216043209203e-01,3.018774764375733444e-01,4.574848147338877319e-02,4.452974199579194381e-01,4.400322715567670517e-01
5.425085017003400401e-01,3.029451462653610094e-01,4.625455252713456256e-02,4.442494572412964970e-01,4.316045293330993959e-01
5.449089817963592708e-01,3.040103001976749431e-01,4.676325159569703904e-02,4.432012602161928827e-01,4.483891094249725096e-01
5.473094618923785015e-01,3.050729376819355521e-01,4.727456648100757108e-02,4.421528362304900650e-01,4.307276560539651244e-01
5.497099419883977323e-01,3.061330581830550845e-01,4.778848481172230656e-02,4.411041927048308664e-01,4.336456287229475959e-01
5.521104220844168520e-01,3.071906611834371303e-01,4.830499404322216583e-02,4.400553371329821162e-01,4.436477836530941521e-01
5.545109021804360827e-01,3.082457461829772316e-01,4.882408145761293200e-02,4.390062770821901439e-01,4.430320107416354514e-01
