E_T,substrate_bound_fraction,v_dim
4.458490388310101693e+00,5.149440041411027513e-01,2.708592472712237353e-01
4.676813228185623394e+00,6.387803656878314751e-01,3.972934224982448970e-01
1.853196463874444255e+00,7.209649137345917058e-01,1.376345434150511027e-01
2.900496170575828980e+00,4.132747510522870038e-01,1.224264531337541650e-01
1.677160016272116527e+00,6.117757611031152676e-01,9.628065550949807538e-02
3.012070147978514356e+00,6.175646046494602803e-01,2.206743107039627061e-01
1.755765004984953137e+00,2.008262535821992156e-01,2.813777089946658747e-02
2.018933102587990192e+00,3.615559032813098206e-01,6.581711520473330912e-02
4.462344324823482644e+00,1.245810308165801739e-01,4.820698560345675066e-02
1.213072208313560774e+00,7.312630815694707298e-01,7.153581729339088258e-02
3.153617008961608015e+00,5.660039732813758606e-01,2.066375314090468096e-01
5.116751835536856863e-01,3.923394465874142645e-01,8.309181768407253310e-03
4.179956323501649251e+00,7.775927800018947456e-02,2.731043032326932116e-02
3.956781706694548983e+00,5.485021423290076248e-01,2.594263601734901337e-01
1.272910270665465582e+00,5.377130461442800602e-01,5.408365319821022837e-02
4.394772730972449359e+00,4.628093121866949100e-01,2.290426984058400728e-01
3.869833705454523431e-01,7.950590282652943985e-01,1.031849934437940007e-02
1.746973596673735862e+00,6.218882890945178626e-02,8.127947244439933522e-03
8.363693877847114821e-01,8.801740222279726966e-01,4.652093443590658156e-02
2.306662896581506139e+00,9.263423215815894673e-01,2.662436538607914627e-01
4.001988924407742232e+00,1.844882159399666710e-01,6.669726972585417191e-02
1.230146824069362488e+00,8.335898220384591051e-01,8.508131584003239545e-02
3.549043752156070819e-01,6.032687518784025649e-01,6.623190897014931237e-03
2.082304015125488128e+00,8.693413939640250998e-01,2.093983391416560369e-01
1.072713918095351104e+00,7.223934363979694906e-01,5.750615124855110866e-02
5.446899235336973844e-01,6.481098581780699863e-01,1.567329699683287295e-02
2.943628691335568259e+00,7.538970294508476888e-01,2.862840891804255272e-01
1.563611050812720782e+00,3.033981904385744666e-01,3.801485559509266282e-02
3.392774901986161051e+00,4.980756764762279687e-01,1.889823688493217635e-01
1.077625675444245257e+00,4.903722781759706772e-01,3.740273932102516907e-02
4.716354241481839793e+00,1.930631614822143627e-01,8.290250917622241089e-02
1.889039824399660006e+00,2.562942223465515257e-01,4.056468104060810542e-02
6.169268698941247075e-01,6.444600531858038495e-02,1.812848955456015888e-03
3.182629942544575652e+00,8.451222953383505931e-01,3.787509842420970219e-01
4.643057310032550511e+00,9.183476079095062583e-02,3.611499109356308690e-02
2.257848058107341682e+00,1.340830811218738927e-01,2.490336929154150780e-02
4.777493419084613002e+00,6.782905274267451157e-01,4.492171590904469047e-01
2.549489487069470428e+00,8.285788341933867374e-01,2.669787027103567301e-01
2.183620261760470083e+00,6.771794913052793241e-01,1.616413887620835876e-01
3.139045914875351340e+00,6.914393423789673143e-01,2.746466551240790421e-01
4.975972875653088323e+00,3.863455807749593407e-01,2.042317885026498081e-01
4.749824007195050157e+00,7.553643458051819692e-01,5.355869189895873239e-01
2.354221182614570917e+00,7.457966836496721097e-01,2.053769809905479637e-01
3.812871342010628162e+00,3.737811342473259524e-01,1.474200859200397451e-01
2.537371207889333125e+00,8.798322979633493857e-01,2.879092514549531079e-01
2.693629584964175372e+00,4.614245862616672689e-01,1.288298816319235485e-01
3.950349933497657062e+00,6.553799702926709214e-01,3.387706392407279776e-01
2.131813661842786978e+00,4.110355888053981999e-01,8.250495508562641356e-02
3.698969501764774126e+00,5.662713909677936641e-01,2.511015142492080687e-01
3.584600102149774425e+00,1.274919350627966574e-01,3.955461079634620819e-02
4.667092464405553365e+00,4.285930538817996349e-01,2.197296208363133385e-01
6.631699030764355296e-01,7.365622665472525421e-01,2.552461137389236759e-02
3.672174073673916350e+00,8.050016136700974823e-01,4.280279457223117312e-01
4.644377250260343537e+00,3.568069439302334334e-01,1.713764838135004298e-01
4.842838330630767629e+00,9.936931562745056346e-02,4.092226336193476727e-02
1.720608943303095217e-01,2.018945529562997110e-01,5.558542040045735908e-04
4.331836442203321091e+00,3.046963776790773126e-01,1.306130834772552818e-01
4.907855696325087003e+00,4.953515210722211348e-01,2.841935370363238289e-01
4.790329880093722181e+00,2.868411760720485648e-01,1.344151088269545102e-01
8.289436599392397964e-01,3.833396266620929249e-01,1.862745958317923653e-02
4.865881187732479241e+00,6.545248499068502535e-02,2.644538514967405968e-02
4.460684223030551010e+00,4.227371477798694266e-01,2.055222518085793593e-01
4.129631754961045509e+00,6.767789585926627938e-01,3.761799936731373140e-01
2.451940826658377759e+00,4.540137339815968343e-01,1.120091965151649022e-01
1.238627306232588987e+00,2.246178215599068662e-01,1.959362738507541141e-02
4.029214835719709065e+00,8.872941989996279144e-01,5.685199166581879071e-01
4.625297782939001401e+00,2.158040997886797874e-01,9.243863169048140149e-02
1.404038334232233787e+00,8.314941599277924089e-01,1.056265659209473379e-01
2.740778597348715984e+00,2.215930797230331872e-01,5.432904306735076433e-02
2.269488861975204497e+00,1.858117106911318650e-01,3.570525704835973702e-02
4.661984848307660023e+00,4.889815423081496082e-01,2.639374277492419485e-01
2.985024848233297501e-01,6.442766444116259095e-01,5.116458440294846532e-03
3.686830358717148037e+00,4.576794533917841190e-01,1.854564590505254351e-01
3.110428910050083928e+00,5.073371567744563437e-01,1.745638603509250542e-01
2.389902890562531912e-01,6.111191498848058679e-01,3.179516308231483158e-03
3.624176886851028012e+00,4.849948878040872269e-01,1.968351336237440796e-01
1.783594746655026708e-01,9.111691439252102009e-01,2.707731173023723500e-03
3.813959911546497938e+00,1.861887394692062769e-01,6.411089503065395268e-02
2.612517743984182683e+00,4.022045953837962151e-01,1.041250821028167212e-01
4.652610681905330559e+00,1.649533162163364930e-01,6.845932916031910453e-02
4.238042339479662357e-01,2.278014515183457434e-01,3.394361511145311660e-03
4.222454670100677987e+00,6.080350361077214716e-01,3.265148441203588603e-01
4.267810429587969301e-01,8.298956057118370699e-01,1.293558201369161484e-02
1.787118896140213575e+00,3.692954931592133949e-01,5.728967440524798671e-02
2.208463786544383467e+00,8.192839963109587176e-01,2.121195822173998491e-01
4.833704195841944440e+00,3.921277411650739286e-01,2.021697022514928888e-01
2.854936026919439485e+00,6.883680707568494705e-01,2.403855987784238035e-01
1.368436506537568098e+00,1.498321760877263376e-01,1.466965316271647349e-02
1.284210999062290304e+00,5.465266784795166366e-01,5.588181546991707188e-02
4.451779771229981364e+00,8.477481824776084141e-02,3.183968120434738786e-02
1.206760199244889531e+00,1.786391784045364417e-01,1.477243445446397609e-02
7.103180585928892121e-01,3.238824491739772937e-01,1.203145106869027252e-02
1.512820709337130420e+00,9.413370436793742912e-02,1.034056069494491970e-02
2.972003017582391049e+00,8.351680642552776757e-01,3.375112829644736911e-01
2.815043460649012452e+00,7.891764923179293012e-01,2.875470491744764323e-01
4.067582801972610795e+00,8.886413437244831126e-01,5.774271226160205828e-01
2.846332164830310596e+00,2.522561851033527924e-01,6.583818892979713400e-02
1.513263950712931516e+00,4.515223827176934601e-01,5.731354519905899197e-02
2.123192079136374311e+00,7.780826754313929783e-01,1.866554084303779226e-01
4.108792757757461445e+00,2.985704522931684202e-01,1.205342215357282226e-01
3.169881665856792541e+00,6.326027784597056947e-01,2.439803254612335215e-01
4.799480449217467637e+00,3.607324983606930990e-01,1.798207446542958998e-01
1.910081614349236512e+00,3.892050864426300216e-01,6.672589008099431840e-02
2.807796401554307320e+00,6.578352753364321570e-01,2.202340748516216085e-01
3.010228587904524744e+00,8.954073113405535134e-01,3.804505086642056555e-01
4.256626920547794235e+00,7.789712880427738240e-01,4.921903743002835063e-01
8.128203371140055866e-01,3.632409784714183965e-01,1.702085335564713225e-02
2.091900650065820599e+00,1.122944494495010381e-01,1.880696501475236093e-02
4.558798912145255677e+00,9.220900939921102824e-01,7.180537022792291557e-01
3.110277539842004613e-01,3.562014639065985144e-01,3.028617322586867316e-03
4.131260772889359778e+00,6.974098790300541362e-01,3.949645379857129046e-01
2.135381783119000954e+00,1.016374915228563658e-01,1.735726437386157089e-02
4.166039527862703373e+00,6.060558356921528361e-02,2.097495720116078141e-02
1.487773479557306100e-01,6.274335337136751622e-01,1.309904321974309817e-03
1.888726173015526255e+00,8.277581381644459890e-01,1.689906639430044655e-01
4.852871821116354067e-01,4.393511100431030658e-01,8.495292913533691176e-03
3.297811424049528650e+00,6.236227450141224038e-01,2.512505028993302081e-01
1.441860583137830387e+00,6.826414110125981205e-01,8.719914819934607153e-02
3.542995146232953196e+00,8.145917033684108022e-01,4.155033188137032263e-01
4.724626992016244920e+00,1.318264242099031758e-01,5.423452982457157429e-02
7.214038010801140377e-01,5.310804351811364565e-01,2.088540011713135858e-02
4.337413647463793431e+00,4.480643895352768857e-01,2.158913155185875621e-01
3.913743428416585068e-01,3.562318371831099117e-01,4.633619678746516736e-03
1.965775490723358443e+00,3.836243666722901069e-01,6.816825161948951439e-02
2.205892899775025562e+00,4.239026689736415943e-01,8.961809771617819387e-02
2.495362779483975224e+00,2.048291857867748922e-01,4.456044780239207942e-02
4.884665377486618887e+00,8.273285520899286150e-01,6.511215886245853568e-01
3.900886821698959395e+00,3.099083671882434388e-01,1.194089776462004260e-01
1.613401077324378985e+00,4.097500714747032147e-01,5.610482982963724274e-02
1.422200248953920720e+00,5.763292514842424108e-01,6.969702341125547096e-02
4.329289000527657194e+00,6.676212237954336493e-01,3.896057816391551021e-01
4.418405146414680296e+00,4.914785780751620980e-01,2.507615374639128869e-01
2.602461877163861903e+00,4.483719313736355683e-01,1.189033157105432725e-01
1.787049081715393894e+00,3.799766233550224137e-01,5.923728680987347395e-02
4.975095005988497299e+00,5.037097355686130928e-01,2.954778302354165165e-01
1.648123372301731004e+00,2.599693745806984091e-01,3.437609809329734284e-02
9.952906567401560434e-01,6.823343848612276052e-02,4.105364178035236095e-03
4.412480794389941785e+00,8.736416435184228835e-01,6.270243864321681793e-01
4.080443450745145029e+00,2.196758605297196298e-01,8.307437353898784738e-02
3.372658087299621243e+00,4.104723862842476478e-01,1.449402098189870314e-01
4.796226795711964641e+00,5.347031232124039857e-01,3.102321267491347512e-01
4.636001428350652098e+00,3.522962345161055886e-01,1.682728157619218790e-01
3.766417666178595081e+00,4.351296465527685897e-01,1.774916840812847396e-01
4.317436906783621353e+00,4.030035382181653691e-01,1.861361718086594896e-01
1.311019027578326668e+00,4.577738648381910469e-01,4.699656578349503677e-02
7.921081288150548794e-01,7.417515256426179260e-01,3.519985929661408053e-02
3.383303061643186282e+00,5.213533303289284992e-01,2.006501906746287756e-01
3.601630829608288398e+00,8.326046537073911180e-01,4.398840876338017125e-01
9.185593510331337974e-01,6.567325945212084681e-01,3.979595583515965068e-02
2.038230638213892387e+00,5.144249835201697429e-01,1.026146838695530389e-01
4.560253254458668692e+00,3.494006682297481903e-01,1.636767157265541783e-01
2.850863760996092733e+00,1.196026507373809250e-01,2.883624410960709469e-02
2.933845983138736457e+00,3.315930608858805861e-01,9.432219594113301631e-02
1.051235887164888583e+00,6.096358474328317234e-01,4.590664758684118857e-02
2.677509018227588466e+00,4.948592161550293134e-01,1.401002335118738396e-01
2.664830164235107990e+00,1.683817711721382060e-01,3.871586381838253155e-02
5.357846372067327501e-01,5.637840527688720016e-01,1.315436885737788705e-02
4.911519196320861091e+00,3.131039158045738624e-01,1.536662932273207272e-01
2.899838442233294789e+00,2.917317169677710043e-01,7.977258368838752167e-02
1.314035250551198186e-01,3.279442776074636967e-01,5.366460460042764497e-04
3.885981086004404617e+00,6.683095069522905218e-01,3.423178020955627843e-01
4.893501997816714244e+00,6.476033209412928038e-01,4.279150721138801905e-01
2.990363138772657692e+00,1.260297693450452561e-01,3.215974183121055041e-02
1.666440017785058680e+00,2.371084413431888416e-01,3.150638413787658354e-02
1.018787807066146023e+00,5.888990963390555722e-01,4.192737130648357263e-02
3.395380506192659631e+00,1.283285875792128383e-01,3.762085065423775160e-02
1.056026252438344804e+00,7.361909718716854734e-01,5.721678256527190642e-02
2.930670673337510301e+00,7.183832238973375528e-01,2.650479167656981105e-01
3.050971964260166480e+00,2.112665419374196718e-01,5.813007035975149839e-02
4.815873156309467440e+00,9.377134684286062560e-01,7.964073198636273387e-01
4.540998010963962495e-01,7.782284943569823810e-01,1.358544031348199455e-02
2.549866835927230735e+00,1.550249868098662054e-01,3.361429188953501956e-02
3.746077648484976486e+00,8.519342849189748268e-01,4.815702547802174771e-01
9.684110283258282603e-01,3.106651473847434342e-01,1.911165709903790352e-02
2.001526985744144227e+00,4.763446630267628712e-01,9.089846635471696135e-02
4.081879424293595737e-01,1.752483268922871984e-01,2.430592997653227040e-03
3.656816232501306274e+00,4.522869766598270336e-01,1.808111929706989196e-01
5.300626451214851542e-01,7.877954580471498991e-01,1.827564986991539464e-02
2.035949370954041271e+00,5.590119538549074285e-01,1.138693051848164300e-01
4.380260892491588010e+00,1.167455657494894661e-01,4.411034757997329969e-02
2.414271650075056286e+00,3.379374412317212029e-01,7.631985575183204695e-02
4.571847474840339487e+00,5.392405320831754612e-01,2.980240999954259506e-01
3.852993876920475014e+00,4.518012632923818495e-01,1.915615726411450670e-01
4.585087404547652845e+00,4.847140236310409356e-01,2.559963340772493101e-01
7.242747443396411189e-01,9.441112111287223163e-01,3.878257013064007053e-02
4.604582361200970086e-01,4.948972504348628232e-01,8.736080171177773579e-03
4.445986424891685829e-01,9.331854312056210299e-01,1.572915492651349306e-02
4.357386042301865103e+00,1.026166433703958325e-01,3.819757478223076430e-02
3.206942898802472186e+00,8.480453468960976737e-01,3.848579891002396614e-01
2.533201299614380009e+00,4.247696665007733019e-01,1.073053172487941492e-01
9.013627393627533513e-01,8.230906122574442874e-01,4.934529367131956085e-02
3.401293844863641169e+00,8.778611293458502551e-01,4.408845484478861043e-01
1.658285200444410412e+00,5.364986143377271643e-01,8.056610401001870758e-02
3.583311330003130291e+00,1.424665167280912692e-01,4.461992122314104026e-02
2.355741111449891623e+00,3.798507271527578055e-01,8.524277517987596808e-02
2.586602316668183299e+00,1.141737044343039270e-01,2.458805850842378515e-02
3.969362089053364961e+00,7.861837106877846981e-01,4.566706122342453766e-01
5.544528300645656937e-01,9.313353840731476430e-01,2.357917114002780479e-02
2.935916666285162790e+00,6.616305929587220636e-01,2.356592609841578756e-01
1.066451241749756029e+00,3.933109176760173353e-01,2.877624127723564518e-02
4.059870083886484515e+00,7.187836505544902277e-01,4.058908782465160958e-01
2.495345577033373896e+00,9.472230071548192187e-01,3.094019759612093856e-01
4.944607133502317176e+00,4.744812812124548640e-01,2.692442551874447143e-01
9.964222909110218573e-01,1.364257663254309361e-01,8.379492184329397769e-03
4.818793786608909890e+00,5.827954206527572456e-01,3.555234091210918157e-01
4.024493479382184269e+00,8.205192244657156797e-01,4.990456316649189428e-01
2.458176433218816292e+00,6.727468336326989373e-01,1.894924445690623072e-01
4.086316914480214280e+00,7.640972882884450312e-01,4.523699474473147908e-01
3.053959635681470441e+00,4.737089686505908115e-01,1.556538312430669480e-01
3.310093213557763647e+00,7.471988758727237112e-01,3.313547683414989620e-01
4.577084737266205572e+00,6.084624585799748298e-01,3.587964048862672395e-01
4.198250404153278104e-01,2.079112487502457196e-01,3.041080895652081839e-03
4.191442199396163026e+00,7.987951598473715942e-01,5.033435179873338994e-01
1.970892421834570252e+00,3.607723139648531530e-01,6.359145759703661860e-02
1.695173518893451803e+00,6.571871872769502465e-01,1.069538283121444916e-01
4.970731178928923022e+00,4.361168656017756495e-01,2.404695460205705515e-01
3.927833460174253499e+00,8.783631948813364065e-01,5.399418356578330469e-01
2.479122180019980082e+00,3.876880655727920066e-01,9.320226537078186990e-02
2.170879142481428214e+00,1.817353101793863779e-01,3.301149766875575292e-02
4.399891638771801006e+00,3.937980200501493000e-01,1.842024344185586304e-01
5.253928738529813902e-01,2.134196680036597182e-01,4.651578344397305775e-03
3.571251908877943748e+00,8.324005387461828054e-01,4.346278363406620993e-01
3.966857656155215572e+00,4.342804929705788575e-01,1.875807837397815980e-01
4.016062260608962653e+00,5.009359151924063225e-01,2.316229380575027530e-01
1.679204951225175879e+00,7.879504126286989152e-01,1.321108907635022700e-01
4.003531995455667847e+00,8.535521440053853715e-01,5.289358093972617025e-01
1.204109365190759284e+00,6.573804315411739818e-01,6.248729216646840140e-02
1.875308957374388630e+00,5.722581779551249026e-01,1.043700281794845280e-01
2.145495749801461294e+00,6.306797408820009609e-01,1.434155447205680278e-01
2.752908919787806497e+00,7.875967584899707941e-01,2.777469932988628765e-01
6.518069611487302684e-01,3.623796406527887703e-01,1.169381522873754256e-02
2.094044223132600191e+00,8.079841147089895648e-01,1.921017260238793989e-01
1.014733815239222542e-01,9.420394357911611172e-01,9.324537440680174573e-04
3.747465559102255650e+00,3.999222750009533422e-01,1.578598370137147544e-01
4.274191969947858993e+00,7.678033597296124446e-01,4.829019153882013748e-01
7.807652276889680554e-01,7.912882609360492037e-01,3.678668042934075955e-02
3.548550269407309443e+00,4.723602264505532555e-01,1.852595422921033408e-01
4.123405133133729805e+00,7.652572012197121909e-01,4.587770304782152198e-01
4.910958782071789486e+00,9.948320301491171691e-02,4.152790213870555247e-02
4.234573755606761303e+00,1.399330573492207075e-01,5.194336652541124699e-02
2.178121778675663034e+00,8.277395200155356070e-02,1.433653354247435389e-02
4.900474671697317319e+00,8.235687098060100464e-01,6.484972136566694578e-01
4.872523583776541045e+00,4.059770011551658841e-01,2.135664091761230732e-01
2.568017198082837016e+00,7.105515136807335486e-01,2.173822406595788681e-01
3.791888039061135807e+00,3.162938681895879345e-01,1.187686070928367088e-01
4.577804571598498740e+00,8.208031133046481687e-01,5.909337511331307358e-01
2.433120652646890036e+00,3.257386065274545106e-01,7.374687129585519307e-02
4.332552581375716194e+00,6.700210229494770742e-01,3.922167233851186485e-01
3.537685973703176945e+00,8.663314713434784320e-01,4.566882724509201963e-01
1.540228854275332404e+00,4.248008352624165762e-01,5.474999539615252320e-02
3.861496122919021001e+00,8.129985167289484060e-01,4.652252326380745262e-01
2.896355450711545654e+00,6.779411159078249094e-01,2.397376034416366375e-01
5.598412518232006585e-01,1.438857798919490616e-01,3.471985854120413200e-03
2.017764088892854524e+00,4.207969382853427032e-01,7.891408729190570182e-02
4.613309656492490252e-01,7.714695193007233831e-01,1.386236294737073875e-02
2.433218119763278509e+00,9.075806011381555294e-01,2.815787104059995216e-01
2.199844079900326932e+00,2.671180727213824935e-01,5.163091712714310694e-02
2.176313470555192087e+00,2.910908532147340466e-01,5.623648760016776438e-02
2.972871732594843497e+00,5.142165674305196332e-02,1.246881212404607822e-02
7.011842348627599364e-01,6.734187109490519241e-01,2.561801511364018846e-02
4.675467658788529768e+00,5.648650925215524810e-01,3.276434059158162548e-01
3.451847195567661952e+00,7.109877729565056148e-01,3.244359935812751727e-01
4.136528656124581538e+00,7.452688545631257211e-02,2.584824480585487180e-02
4.494326038092423481e+00,6.479633315262990356e-01,3.881392919417551712e-01
2.958268229925032244e+00,6.798997316885676545e-01,2.476481574197980651e-01
2.970692824325434356e-01,8.771463735135762718e-01,6.929995515798746154e-03
3.586285438177014395e+00,8.746833255715777411e-02,2.645691774940880231e-02
2.888226685890455059e+00,6.102906349584766854e-01,2.055003153373919089e-01
4.147190388634956371e+00,9.033246851103758912e-01,6.091523774245145573e-01
2.707586320024286675e+00,6.096719656544542509e-01,1.885277056260458994e-01
4.084896067284542909e+00,2.611640644123364163e-01,1.019078261841086797e-01
4.985350436055210110e+00,4.179210483006812749e-01,2.274771707241660668e-01
1.817718575702651940e+00,7.212352579998719815e-01,1.337104968502879909e-01
9.380050561013031363e-01,8.371597990575239123e-01,5.385985601487888741e-02
2.019206517324124039e+00,5.145079022132327262e-01,1.013131328894213007e-01
3.789944950341814778e+00,6.065058248449406442e-01,2.861453592252061751e-01
2.252221766105702017e+00,9.197523988122469074e-01,2.542163136969223802e-01
2.983062536203152870e+00,6.387505707547782574e-01,2.287327556320130073e-01
7.240565124161881805e-01,4.638411045974313307e-01,1.818690483654341467e-02
3.658005203576503828e+00,1.441788616206553797e-01,4.619546520824813207e-02
1.472403769145847585e+00,7.339834028939365984e-01,9.836479479052727404e-02
1.034026045979689279e+00,8.657548027085771869e-01,6.610062849641831773e-02
4.328454993057653688e+00,4.182684910355362051e-01,1.961593467903455790e-01
2.865622823490911131e+00,3.412762054227078679e-01,9.503000243992341944e-02
2.474044817496626969e+00,1.627031841964766967e-01,3.420811401509258470e-02
4.504236449717573976e+00,4.398923758448088361e-01,2.192505541913379319e-01
5.214609366989129136e-01,9.286184833984888476e-01,2.100920759176288025e-02
3.511156806670374664e+00,5.867342077444240855e-01,2.483634688416639646e-01
1.707113219846552621e+00,4.490785264194579463e-01,6.776404668869491499e-02
9.595077749268973166e-01,5.302863845959135403e-02,3.007181040647147370e-03
3.406513384839666703e+00,5.001211285553540664e-01,1.909646779950165130e-01
1.877827559228387067e+00,3.187160118794696850e-01,5.159690060253859650e-02
1.716489579220285666e+00,2.448211596874911578e-01,3.396474081659990596e-02
4.724021049623020829e+00,3.572137236797397475e-01,1.746738060447266261e-01
1.076561869329482279e+00,7.635566257565922221e-01,6.157942093714004889e-02
2.609650923404902123e+00,5.870319079958207231e-01,1.704268101156579673e-01
2.176646832896114159e-01,3.327436905190259142e-01,1.440825945909495224e-03
9.005036465710852811e-01,8.028817573464480661e-01,4.795195797292751971e-02
4.428751794804453468e+00,5.460402420239198751e-01,2.930479078977416552e-01
3.967312986438114031e+00,6.413908258210722080e-01,3.292973517885569024e-01
2.828493901264552246e+00,4.007681536798499145e-01,1.142265067071332463e-01
1.190021640357665333e+00,7.928919896340973494e-01,7.603419397808115765e-02
2.832963154844401643e+00,5.144001914472966508e-01,1.584121387129948932e-01
1.595179779567015288e-01,4.153318895882962547e-01,9.908292836154218748e-04
3.593668791595811651e+00,3.546932612928469508e-01,1.291785730842816560e-01
3.612078334762268028e+00,6.543129706346216823e-01,3.026142727976955382e-01
3.265620615475139044e+00,8.729257825492366951e-01,4.124786071536578058e-01
3.095559552948486282e+00,9.159974039437195348e-01,4.095069140526315654e-01
4.612105198602339251e-01,3.171902177486021213e-01,5.542317372720526915e-03
1.307389248349780431e+00,5.929878365504072102e-01,6.321928247562942638e-02
2.914452435679866671e+00,2.413597942962797671e-01,6.428290928488789024e-02
2.031515153541598284e+00,8.501124139503872801e-01,1.958307412133750702e-01
4.960913820049080769e+00,8.934142912316930252e-01,7.621734811813341004e-01
4.626352251138388105e+00,5.995964680859778850e-01,3.549590348615143665e-01
8.448387223604315599e-01,8.049729200137690777e-01,4.303056259831204711e-02
2.990806903982700771e+00,1.218622104109217397e-01,3.102260343272042822e-02
3.511454019906937507e+00,6.632737980437201086e-01,2.981784698209361539e-01
7.690627300743420047e-01,7.364157926659575804e-01,3.316643575286465362e-02
1.631718670795739401e+00,8.629313905972028076e-01,1.409654529744497620e-01
3.607997449934922329e+00,8.144176651096568520e-01,4.257682640578689393e-01
4.515429657771899308e+00,6.124779048287378735e-01,3.569220378117320958e-01
1.774538986010062880e+00,1.898256072652508286e-01,2.683257496342440415e-02
1.270824187287274976e+00,8.019683685883316482e-01,8.592992588435791057e-02
4.126780813378052137e+00,2.592894139934260878e-01,1.021167123300243673e-01
2.966415133105824165e+00,6.380707466566867270e-01,2.267186168946346003e-01
2.435283266358275078e+00,1.018386332294841240e-01,2.031984608448401605e-02
1.355135104996672446e+00,3.093865646107448741e-01,3.169145722669798604e-02
4.560259083767728705e-01,5.074545373122849590e-01,8.808565742096733861e-03
1.876679623951788001e-01,7.818540386630536965e-01,2.561838769334392075e-03
2.941853884764064730e+00,6.790948618788966717e-02,1.643876946469264091e-02
1.036440339954366685e+00,1.785316089640714698e-01,1.177809516521138855e-02
4.880111594291419941e+00,7.508721364613142324e-01,5.478226981953651098e-01
6.266384190921215902e-01,1.527404556808809322e-01,4.471150948082406977e-03
2.315235062802831312e+00,1.909814847836555363e-01,3.769981527489411899e-02
2.033833005647704084e+00,7.556348377388739657e-01,1.683417023860558914e-01
1.238326228899101933e+00,2.463442361074364984e-01,2.163937423708127070e-02
3.768903052519282149e+00,5.578579393824352195e-01,2.511990415021994050e-01
3.254153334193520930e+00,3.501709625004777449e-01,1.136857776624182470e-01
3.656212656754162627e+00,1.223466765015117363e-01,3.861984025474833604e-02
5.057620218928241540e-01,8.373256684102403646e-01,1.786119074866495890e-02
1.828442736912385236e+00,3.266280211989607829e-01,5.122409758091599902e-02
2.647182064237735943e+00,4.316341162588580582e-01,1.157058311692867741e-01
2.190933604278181512e+00,7.457818186101037305e-01,1.848495716012433787e-01
2.990260531764516450e-01,7.929282092839753382e-01,6.335956476478447202e-03
1.050734529013886753e+00,1.697978203866022939e-01,1.140751983245755392e-02
4.730620776692670226e+00,3.220309508614431215e-01,1.532408518159106559e-01
8.965916512912592840e-01,7.766345477831184674e-01,4.589991923490628623e-02
4.275056429067598529e+00,6.318550616289494437e-01,3.516760616912165127e-01
4.128472079415757001e+00,2.337195348200843403e-01,9.037476064915678231e-02
2.017339409682729290e+00,8.428851524840782483e-01,1.916076525024192345e-01
