T,C_S,k
3.729015117076309593e+02,8.469461477628806856e-01,4.202453180263979959e+00
3.927423928624559721e+02,3.738517741485797297e-01,5.623302578665606433e+01
3.967926189924646678e+02,1.021120553845311502e-01,4.421776416745011602e+02
3.014706304965369554e+02,2.103331392316497017e-01,2.209631919491520102e-01
3.863640090245575607e+02,3.188461764390260189e-01,5.157627033308386189e+01
3.981195040066344291e+02,5.200932722429001398e-01,4.267779980269722984e+01
3.957210179610963792e+02,2.999990191871623746e-01,9.439963347153651796e+01
3.148764012232497862e+02,4.018584948099869769e-01,2.421303626704904843e-01
3.972628813822955181e+02,6.631095637905641549e-02,7.011400167850359821e+02
3.889935555720520597e+02,4.434447671009733027e-01,3.430648912731918188e+01
3.822373827543070206e+02,7.116000118478107428e-01,1.010500390415190886e+01
3.479987923807832431e+02,4.764589414250189336e-01,2.341325816575023921e+00
3.232372919639303745e+02,2.343188116465683701e-01,1.228959529648923743e+00
3.801880578718307788e+02,9.338105433884961171e-01,5.432310609494373388e+00
3.923530159783469458e+02,2.250154386658286820e-01,1.235012462716593120e+02
3.266130272292292602e+02,8.749105021460031884e-01,1.539403997636265842e-01
3.538934407622186882e+02,2.311260285965350547e-01,1.200148331137916102e+01
3.442752828974531667e+02,1.933568057295280973e-01,8.227689334561985035e+00
3.931017315981155207e+02,5.133694057697134605e-01,3.335274913400596120e+01
3.040510711188434811e+02,6.772920135456051982e-01,3.564184700479115786e-02
3.732006195656560976e+02,4.803283119135499102e-01,1.194921588935347501e+01
3.614373246948996439e+02,5.327447765952595393e-01,4.750549814562348594e+00
3.028365365113521079e+02,6.422924359895173518e-01,3.513977973397060250e-02
3.719219772826740495e+02,5.091612704598699191e-01,9.972818253687886880e+00
3.015991729523572076e+02,9.590118741432774874e-01,1.474552143754595881e-02
3.757951002356427921e+02,1.937547805508288423e-01,6.179514771936047168e+01
3.512758723262078320e+02,4.217715173495626968e-01,3.647610770447043738e+00
3.929104220797005951e+02,1.713396115616885318e-01,1.888288730225158645e+02
3.066082496724074531e+02,2.376793099360316186e-01,2.892806958490602431e-01
3.841317279612383118e+02,6.390369825581504459e-01,1.369795240873232878e+01
3.066690008767101290e+02,8.732231393624947380e-01,2.814139307836543633e-02
3.344309978804125194e+02,3.870341316680585564e-01,1.256427352525584906e+00
3.430298731947833062e+02,8.620219961060120450e-01,5.539615976643091910e-01
3.966062080784070076e+02,4.111348378964669315e-01,5.894415804173559081e+01
3.562231842228457026e+02,7.238329635766744818e-01,1.927094860097298579e+00
3.258864593170932267e+02,1.553784080926000344e-01,2.923430346092141363e+00
3.241675714094345153e+02,5.741114939506009041e-01,2.764305726801596363e-01
3.888118320659179972e+02,8.670675259485866038e-02,3.579089052382204841e+02
3.225869428417324229e+02,1.857857994270107060e-01,1.698380462542636193e+00
3.124554705835283244e+02,3.390981407947538107e-01,2.648032831822648148e-01
3.288330757007577745e+02,9.658557683282284478e-02,7.327376463006001650e+00
3.586123064812732650e+02,8.787885122694597539e-01,1.576715161941504073e+00
3.554090502173268078e+02,8.302418530022587229e-01,1.414561819160733203e+00
3.809710775912777763e+02,9.352325294869544559e-01,5.672463679357504951e+00
3.560475952006185594e+02,2.634926398313168772e-01,1.119896596934999344e+01
3.288421214431210728e+02,4.738291817575653320e-01,5.691558503214789733e-01
3.412896342680892872e+02,8.185317129553593141e-01,5.375286190485756288e-01
3.818120970970910548e+02,3.123799218650111231e-01,4.127101888577534083e+01
3.626506462419753234e+02,6.649695994852450331e-01,3.440372633214856091e+00
3.959077642697442343e+02,3.779954149362871330e-01,6.539240786910177405e+01
3.369404411091680913e+02,4.080498134672205790e-01,1.383239363528567356e+00
3.552611510521286959e+02,6.916039017440117620e-01,1.964266457036293545e+00
3.593924201613168066e+02,9.423743841928065024e-01,1.456785773640590920e+00
3.848291208275060171e+02,8.194696929340390401e-01,9.064206123030967177e+00
3.145473538186531641e+02,3.806432550531638759e-01,2.591130128341616601e-01
3.406510336748126520e+02,1.157552521966955517e-01,1.363859442014672574e+01
3.909958961662296701e+02,9.705395436583387214e-01,9.395762238883470729e+00
3.043066888568204149e+02,3.732126563458539881e-01,1.078126366828499466e-01
3.822706280181502052e+02,7.333770945317239498e-01,9.583026957616134212e+00
3.415384037371224508e+02,1.045062410519039531e-01,1.672266631750030541e+01
3.829803985278102800e+02,6.119478265639391457e-02,3.798259274428114622e+02
3.009954560807291841e+02,6.595131744755461378e-01,2.815180128289417397e-02
3.365046157758270624e+02,8.709669236180264118e-01,3.351447309625421034e-01
3.078630037165639806e+02,4.609817272677199096e-01,1.021834199305600988e-01
3.652614576336638379e+02,6.554906752926847879e-01,4.176497258962806214e+00
3.273849098599557124e+02,7.177881560688537110e-01,2.371452254704248808e-01
3.702652070659786432e+02,8.570690202222114307e-01,3.493262244801713212e+00
3.943801426942090984e+02,1.363723366660089253e-01,2.764931750726174187e+02
3.126817102261247783e+02,5.578071260245329732e-01,1.107664839942542750e-01
3.864778295400774368e+02,4.701790778427922812e-01,2.694327155001831287e+01
3.059464151600338369e+02,3.732447170266159908e-01,1.252587228075471570e-01
3.380770508310889682e+02,4.021590537096395579e-01,1.544667599072164332e+00
3.429774061178576403e+02,4.446750394721772914e-01,1.851799553469412718e+00
3.488849546833464501e+02,2.134308072193734918e-01,9.706209702875799650e+00
3.976462321936044759e+02,8.705134716504802084e-01,1.652995868466495466e+01
3.775691188101828288e+02,3.243477209209236767e-01,3.035312979062025818e+01
3.308857362719260777e+02,4.297361865566312056e-01,7.952797286057449178e-01
3.269836785500800147e+02,6.055697654555892706e-01,3.144677457392320297e-01
3.863120204189317519e+02,7.019335140062911149e-01,1.309254155682812559e+01
3.881307172737689939e+02,5.160051657460045238e-01,2.513103456461415064e+01
3.510706505543645335e+02,4.705037053388375634e-01,2.964316377791508916e+00
3.344295730962325024e+02,3.983086579858570175e-01,1.194438715296193720e+00
3.994917348160917641e+02,5.289158319890916449e-01,4.455678361309016111e+01
3.315943545367700267e+02,2.716343398351816485e-01,1.858637746216145414e+00
3.182712378926562451e+02,6.924640729090734970e-02,4.939024297538984420e+00
3.880098121304069991e+02,9.193995126027798559e-01,8.785327756394027077e+00
3.812335398111254108e+02,2.291022972258151824e-01,6.541776217927844073e+01
3.667889405571351062e+02,4.304986299667059035e-01,9.746572607894588458e+00
3.958413631777951878e+02,5.616310745019820194e-01,3.303718141348892345e+01
3.925714577214419023e+02,3.690904697670003842e-01,5.691973704725789673e+01
3.748248503301754226e+02,4.565257380279224009e-01,1.440742131221910860e+01
3.860701409547677940e+02,4.226148458969523070e-01,3.164859330132801318e+01
3.247146740322107235e+02,4.804279684403128248e-01,3.993743543701265275e-01
3.141246556901031681e+02,7.801821659560966848e-01,6.742631447774273534e-02
3.670061849314935785e+02,5.475396264583134442e-01,6.458041917775834584e+00
3.714618536654752461e+02,8.760826900244684801e-01,3.611913673961132165e+00
3.167052928782272261e+02,6.904399608834979052e-01,1.057243873640738852e-01
3.395557273104876117e+02,5.402263714935124916e-01,1.017148568660120489e+00
3.910255766216054667e+02,3.660340386869564422e-01,5.307484436011275619e+01
3.561400767550222781e+02,1.234694646672354207e-01,3.556326199966538582e+01
3.578335914926272494e+02,3.472371198239850298e-01,7.941062898972208295e+00
3.194129772890793788e+02,6.407267278457668969e-01,1.526273787821758876e-01
3.526022248617875334e+02,5.195736170525310227e-01,2.757817504336075753e+00
3.523434727394919719e+02,1.749585362372569897e-01,1.671293462791627604e+01
3.088935640246272101e+02,5.923276112560316164e-01,7.096607671661027406e-02
3.981942693126705990e+02,3.277208000159391177e-01,9.320689147376448602e+01
3.571395600455774684e+02,3.051612567993138847e-01,9.437882694129148931e+00
3.006408882664310340e+02,3.433856263634339490e-01,8.872838695797945208e-02
3.772649201225388538e+02,7.026600351163067026e-01,7.715384138336560227e+00
3.978265713840145850e+02,6.808035054380313644e-01,2.609077753106013375e+01
3.589870028320950723e+02,1.302536454197699978e-01,3.960320672041122947e+01
3.319681636282664954e+02,2.475033547511437948e-01,2.233722478709748938e+00
3.187507715727784898e+02,6.188379350245586386e-01,1.539467968081945914e-01
3.672526633916869514e+02,1.326801757780579905e-01,6.428762663499090024e+01
3.195107398456805186e+02,7.743126925312235898e-01,1.081974710510664461e-01
3.577687892517859041e+02,7.555156252249674020e-01,1.974416621517431247e+00
3.602239176379625860e+02,2.202257942672763147e-01,1.961461429278571345e+01
3.962423093124381239e+02,9.870308833413066196e-01,1.215069785658813117e+01
3.072265265529876501e+02,8.186856329323702886e-01,3.342808886871325574e-02
3.499972823658618495e+02,1.608597082993032112e-01,1.619797363014342650e+01
3.744097479282648351e+02,8.964861896366957961e-01,4.146060279856347286e+00
3.177226740474658868e+02,3.251465444616736256e-01,4.474162282634704391e-01
3.388066731784519448e+02,5.000304776393608153e-01,1.106489412503380398e+00
3.062895498454971062e+02,1.822065672751920495e-01,4.344073234290604657e-01
3.725880863775776675e+02,4.746362531409285546e-01,1.175662301742578819e+01
3.087767886759486942e+02,8.287840946053248725e-01,3.756521367720180860e-02
3.395091708357967377e+02,5.872903957357356042e-01,8.707899217755658006e-01
3.873522631120732171e+02,1.204536527355722086e-01,2.257012002488733344e+02
3.472300336750011525e+02,3.539339657445945697e-01,3.737484779287813641e+00
3.912621933640885459e+02,5.664205616433518609e-01,2.537064147517462587e+01
3.765917117738872548e+02,4.741235556975141874e-01,1.498673348681084150e+01
3.915323960111765587e+02,5.088648027216543523e-01,3.108817884238605345e+01
3.127403009048906597e+02,9.937840561914291770e-01,3.785877137198738474e-02
3.073562905330632020e+02,5.196137643479108448e-01,7.856413121476857331e-02
3.070326253569218125e+02,9.822512884948222389e-01,2.327679287014200113e-02
3.868854294347319183e+02,1.055397902243067065e-01,2.590800264314215724e+02
3.634069979347443109e+02,8.923811995014364618e-01,2.097541590245304732e+00
3.496571693798853175e+02,4.455902035285940754e-01,2.960741030708901711e+00
3.163543416196480393e+02,8.660400907161912576e-01,6.713303462826634982e-02
3.673733437727273667e+02,9.238534143095086248e-01,2.533514699189644670e+00
3.318017387845798112e+02,5.635263151342675414e-01,5.239727485620866432e-01
3.710879863265944891e+02,1.476035454352074561e-01,6.964735709782500805e+01
3.460355328867324829e+02,3.981757675501332860e-01,2.799895209039710675e+00
3.507469860544526910e+02,1.177389102362097068e-01,2.667922025080342863e+01
3.789665732459870355e+02,8.270828057259950183e-01,6.329365314973622425e+00
3.092745475523380492e+02,9.802984609661002935e-01,2.859503458887936375e-02
3.578758503323502396e+02,6.956100703453177436e-01,2.315754265328442862e+00
3.197234947295868324e+02,4.123837464357961169e-01,3.485230132519912538e-01
3.808136751813568139e+02,7.559382978075175341e-01,8.327248241618530500e+00
3.488846036129260142e+02,9.970687297745314259e-01,6.400293578995071009e-01
3.988695333367819558e+02,4.980635746131468200e-01,4.786541815783665044e+01
3.182943324675718486e+02,1.412271977879548945e-01,1.828227160910586457e+00
3.963019140124267210e+02,6.123951662445771271e-01,2.905578010245217158e+01
3.800917036608609010e+02,8.633258480471444063e-01,6.248935485496882158e+00
3.481260496575268348e+02,7.073438799456266413e-01,1.152295050997663717e+00
3.813534064179635266e+02,8.037693598600252898e-01,7.678893405426011398e+00
3.602848905241116313e+02,4.972483557978458757e-01,4.984549581001084917e+00
3.655121063991380197e+02,7.859321467545417050e-01,3.040651959290877837e+00
3.913690762707389013e+02,6.394881507233067808e-01,2.056027921758640531e+01
3.065270416411291308e+02,2.166840959030371661e-01,3.348138254868891495e-01
3.834988203958400845e+02,8.403948909500034148e-01,8.013916020175800625e+00
3.381814779966238689e+02,3.780374425184561127e-01,1.735045445825525112e+00
3.325545616100704365e+02,6.909198087923363873e-01,3.818477607294397669e-01
3.994026771209984190e+02,4.575678025796521275e-01,5.695134670597185789e+01
3.781190502076378266e+02,9.243833723747439945e-01,4.896584655749729897e+00
3.485535138779587783e+02,4.064485136601693749e-01,3.223755957614810708e+00
3.422628396424781272e+02,1.890539385226856217e-01,7.387776715997710575e+00
3.877528905871795928e+02,4.128979100529354129e-01,3.618205738435567298e+01
3.086814872214894194e+02,2.224985384483074979e-01,3.888135955796103715e-01
3.708418756913865764e+02,8.758672353431929958e-01,3.477496382060850877e+00
3.789154623705146037e+02,4.556294092467221279e-01,1.842850635074393395e+01
3.799196379716114507e+02,5.259879104808733441e-01,1.519135575776304847e+01
3.322286724739831811e+02,8.289476577747378894e-01,2.651784564735423233e-01
3.796639182746054644e+02,8.981939297834623526e-01,5.661716209111664178e+00
3.225328441875665249e+02,6.911237888490170400e-01,1.718192099963384289e-01
3.362307950484569119e+02,6.012725211748540799e-01,6.529707510218627498e-01
3.417448112204380095e+02,6.629397264865566353e-01,8.218396385488955236e-01
3.541409983630164788e+02,8.285743561838581073e-01,1.302860710140768985e+00
3.112613665540557122e+02,3.797340651334992767e-01,1.955000031009936634e-01
3.406947800639306365e+02,8.500943433039334085e-01,4.793643511061859153e-01
3.000300690106922730e+02,9.915971822240033928e-01,1.193064756343154703e-02
3.744380726347399104e+02,4.193624013898951675e-01,1.631383602411222711e+01
3.851875912234256703e+02,8.076813241590353742e-01,9.502431291726130880e+00
3.138931679120197487e+02,8.324709420991630582e-01,5.850751879748352507e-02
3.703785769266797843e+02,4.958246834755840049e-01,9.507505359313974225e+00
3.821103088394638689e+02,8.049937123985850818e-01,8.003365971299722048e+00
3.981828322871793944e+02,1.022322698490734788e-01,4.720941461681160831e+02
3.843790562368726569e+02,1.449293383130663138e-01,1.513220068642348508e+02
3.424106485444012833e+02,8.459472711275098367e-02,2.347980180532749017e+01
3.979688708509656294e+02,8.665447492396772811e-01,1.696046318654823537e+01
3.973984404852355397e+02,4.257535012193418011e-01,5.794147043922932738e+01
3.503676979200578785e+02,7.472488199963298605e-01,1.217767230023177882e+00
3.753446538583905294e+02,3.310879719778984098e-01,2.572728150083672460e+01
3.913837667673162741e+02,8.636255084882398236e-01,1.191497406604355369e+01
3.476147071968753153e+02,3.410574180012019840e-01,4.092220232485856535e+00
3.863786241097084826e+02,7.044666353355591992e-01,1.305653323318570180e+01
3.701568566061872616e+02,9.116832197514495029e-01,3.092774040378870826e+00
3.293924255974557695e+02,4.456231038881063866e-01,6.634013802204409282e-01
3.767652269983473730e+02,8.553873232138899940e-01,5.215514434939764854e+00
3.570684785859498902e+02,7.128267334582596426e-01,2.097836796414886518e+00
3.093845153433306336e+02,1.491016565526128990e-01,7.851489392861521477e-01
3.391380426304664297e+02,4.413967681900839990e-01,1.417354904051663755e+00
3.073741013397805659e+02,8.115511592618748216e-01,3.444011851937704705e-02
3.476166963216995782e+02,9.552239678680530810e-01,6.345834875921302354e-01
3.428539608142924067e+02,2.791801878725704289e-01,4.099297436617948875e+00
3.423737442970447091e+02,3.044847895044415220e-01,3.421937441445197514e+00
3.586300353590784198e+02,5.150063767322151514e-02,1.175590565811511254e+02
3.122690660176073720e+02,7.080530837795547816e-01,6.875903803271835035e-02
3.933768909956842776e+02,5.934687087727498200e-01,2.622627931786077582e+01
3.684050448075033160e+02,7.477093158985337329e-01,4.003237848742215554e+00
3.823781358392771494e+02,7.588949020388549571e-02,2.971779099753519517e+02
3.896801232263759971e+02,6.811835166110934425e-01,1.670968197764260310e+01
3.583320046923475957e+02,7.148941612268214785e-01,2.269890059841087382e+00
3.040218220904600912e+02,9.230989498198861609e-01,1.987243504453474821e-02
3.711486824117757806e+02,8.954990658811097515e-02,1.338179249998781586e+02
3.569025854263358042e+02,6.414178924561698691e-01,2.518009747537678589e+00
3.825957222170399064e+02,9.507316120609523580e-01,6.049938251540369905e+00
3.532160473474344258e+02,6.407648526352572871e-01,1.966615366348843041e+00
3.813244095364192390e+02,2.728954013241329246e-01,4.995775746897834324e+01
3.997010293072492004e+02,4.383611065396080253e-01,6.222883813347738879e+01
3.350554811367887851e+02,7.585261056665315582e-01,3.888952034602215502e-01
3.171021440020674049e+02,8.808908990051641519e-01,6.929504615395232214e-02
3.391674799453902551e+02,5.403138967806345727e-01,9.880668568681317820e-01
3.753049989865676253e+02,6.374228151141040355e-01,8.188407426902935882e+00
3.439228931858306737e+02,9.680719765240384245e-01,4.751392863429647062e-01
3.588380109429214713e+02,6.714589357967104544e-01,2.633729489000955493e+00
3.127358471921671139e+02,4.868322770750663775e-01,1.425936954615134034e-01
3.726123510933980469e+02,1.494110205995806961e-01,7.487340007738822578e+01
3.280082401866499708e+02,7.719824808324886600e-01,2.175914183431220117e-01
3.190617560404018036e+02,9.110745139701648121e-01,7.674127186486368046e-02
3.862949998583194429e+02,4.387278516486216029e-01,3.005771947140823386e+01
3.564412821120594117e+02,3.574582168350805000e-01,6.891795792866368231e+00
3.484498942346250487e+02,1.689644722073920802e-01,1.353887434076231067e+01
3.898823765248484392e+02,4.615530633917426795e-01,3.363371329266324494e+01
3.086012436061002404e+02,9.774306213650716391e-01,2.707036139862900939e-02
3.696154450340892481e+02,6.165527748413365261e-01,6.139837900843382990e+00
3.327982289764602797e+02,4.712495556649833883e-01,7.819680119339919022e-01
3.175409749985080907e+02,5.319689615179087200e-02,6.433071048044408435e+00
3.674798649967278834e+02,5.251278579195405305e-01,7.169200591182828930e+00
3.362821950862935978e+02,3.336446792061069089e-01,1.870314776863356121e+00
3.329895832493936041e+02,2.556445574479073168e-01,2.288874370703289696e+00
3.943677765229188026e+02,3.742811527730586230e-01,6.124437029693092427e+01
3.199298340679486046e+02,8.031986605208474295e-01,1.046258392643248797e-01
3.512173657837735163e+02,6.168670139955885201e-01,1.837758112190997606e+00
3.024013200671349182e+02,3.484516733256384780e-01,1.019939110209247268e-01
3.163368091136956082e+02,8.447085216434729871e-01,7.025624096781515893e-02
3.883418733633561715e+02,5.735980332474710508e-01,2.109706636302247063e+01
3.789247548252676552e+02,6.742458717000207047e-01,9.179139180169377354e+00
3.556835490053990156e+02,4.202552733287304720e-01,4.949199300933982748e+00
3.222453395991360026e+02,8.341637668359916935e-01,1.180859639162083891e-01
3.557747582621306606e+02,5.402002020832575857e-01,3.187885537121061041e+00
3.012146526113612595e+02,4.356281056765349824e-01,6.136671035036828092e-02
3.712993630937920670e+02,3.716206646980050876e-01,1.660169629906724609e+01
3.716750680563728224e+02,6.878859134476562609e-01,5.715503381133982153e+00
3.646045023566354644e+02,9.186438815797498547e-01,2.146227292772926454e+00
3.611338684275200990e+02,9.641083708294817534e-01,1.565274494921407467e+00
3.073716432624537447e+02,3.320341187346356193e-01,1.750375966421510165e-01
3.246405969050975386e+02,6.231538274698743551e-01,2.471051219529027676e-01
3.574378048097931924e+02,2.519908939794064384e-01,1.319824101149273865e+01
3.394186766028897750e+02,8.945631036142976944e-01,3.964048221432551200e-01
3.992023228581444982e+02,9.402706407445650116e-01,1.558791313155697189e+01
3.923745357375181015e+02,6.301296052018655613e-01,2.231144186928228734e+01
3.152007902522536824e+02,8.469158600145340055e-01,6.342151584312206991e-02
3.589960592649530895e+02,1.258545554337507366e-01,4.155933203586486258e+01
3.696215106103456378e+02,6.973445646017045751e-01,4.909179793867942898e+00
3.136543414300886070e+02,7.745500033696218756e-01,6.561468235955593420e-02
3.312595647101171039e+02,9.080942456303807697e-01,2.072030970385713433e-01
3.715917846925494246e+02,8.568853131713044524e-01,3.794084471146240478e+00
3.901108093422836873e+02,6.437266773192232838e-01,1.895024926342568250e+01
3.341742650206135181e+02,1.975936965577647642e-01,3.807213971638271577e+00
3.238943711691280782e+02,8.437443890654612311e-01,1.322963780243698040e-01
3.821792002730214790e+02,2.709166036597275840e-01,5.305587600951218263e+01
3.584982680225678564e+02,6.707413436931694006e-01,2.580209664259541125e+00
3.476588421705770315e+02,1.047185572977887974e-01,2.543700527760193353e+01
3.256150021427892511e+02,3.237969293113418523e-01,8.617554655477950298e-01
3.072658348648320725e+02,5.328686782740785777e-01,7.442319377483683218e-02
3.017891420896975205e+02,8.225125963665567141e-01,2.006764545827774068e-02
3.579970180564095017e+02,6.890445764277243479e-02,8.318049762968696825e+01
3.191110273460074609e+02,1.856722539065198962e-01,1.278511757964108986e+00
3.975532978426820137e+02,7.898094773758317366e-01,1.965258356140570228e+01
3.107477228386147203e+02,1.584482587742632176e-01,8.053321255212537721e-01
3.452088788327108659e+02,1.988137894938586392e-01,8.410907968393416922e+00
3.394659797070959826e+02,7.948367731688114057e-01,4.963963074059761782e-01
3.232311475285530946e+02,2.572522492245163384e-01,1.051656237269914973e+00
3.748755725003935027e+02,5.860722693481260626e-01,9.283589936996147429e+00
3.643704762080310502e+02,3.668471270838376541e-01,1.103076219959015347e+01
3.725757685051869998e+02,1.263659363071512887e-01,9.401344122836607653e+01
3.082808575896494858e+02,8.810659833219204318e-01,3.201434547022920241e-02
3.352743415696405123e+02,3.419962445989030431e-01,1.661389979018981444e+00
3.519833074334231924e+02,4.528360116065724417e-01,3.377857588839506597e+00
3.426721143730241010e+02,7.844363640884428612e-01,6.437813002155682307e-01
3.040617561872745114e+02,8.342019986886406446e-01,2.415103573847117088e-02
3.194027454900793259e+02,1.764532548525246380e-01,1.419986945535292922e+00
3.945024648304626567e+02,3.371437814648566289e-01,7.329577547716120023e+01
3.162569724753318496e+02,8.170031337710694785e-01,7.429403657380982684e-02
3.852052332462775439e+02,6.641803428305577128e-01,1.358678600065764996e+01
3.822137159064440084e+02,2.439261756434223660e-01,6.273335148124275662e+01
3.391293757078108229e+02,8.869343276220826855e-01,3.942750460869714479e-01
3.466783519844263424e+02,5.627625414041634855e-01,1.581135198950253340e+00
