t,p,q,dp_dt,dp_dt_noisy
2.900580116023204758e-01,5.774238207977011594e-02,6.851281009766348185e-03,2.832426566978394483e-02,3.049748498000958222e-02
3.000600120024005113e-01,5.802625707848226011e-02,7.086775813522907912e-03,2.843941961593304812e-02,4.961780716644353245e-02
3.100620124024804913e-01,5.831128507605207872e-02,7.322258786219946677e-03,2.855481819161643370e-02,1.743461056469362142e-02
3.200640128025605269e-01,5.859746850909358651e-02,7.557733488838124132e-03,2.867045954804513241e-02,2.489440947677515337e-02
3.300660132026405624e-01,5.888480979497906498e-02,7.793203460513679556e-03,2.878634180719198687e-02,4.921405788211528909e-02
3.400680136027205425e-01,5.917331133183909020e-02,8.028672218538436198e-03,2.890246306176976615e-02,3.536949302378823712e-02
3.500700140028005780e-01,5.946297549856254666e-02,8.264143258359805608e-03,2.901882137521059196e-02,3.564945509897320813e-02
3.600720144028806136e-01,5.975380465479658565e-02,8.499620053580781570e-03,2.913541478164592691e-02,2.399535106477129753e-02
3.700740148029605936e-01,6.004580114094665994e-02,8.735106055959942703e-03,2.925224128588777700e-02,1.277148957733124923e-02
3.800760152030406291e-01,6.033896727817651684e-02,8.970604695411454194e-03,2.936929886341081708e-02,3.104394630563822935e-02
3.900780156031206647e-01,6.063330536840819129e-02,9.206119380005060859e-03,2.948658546033534195e-02,3.057672633855081784e-02
4.000800160032006447e-01,6.092881769432200584e-02,9.441653495966099291e-03,2.960409899341153589e-02,1.733057845096579175e-02
4.100820164032806803e-01,6.122550651935658450e-02,9.677210407675482240e-03,2.972183735000444998e-02,2.288957073219882732e-02
4.200840168033607158e-01,6.152337408432071580e-02,9.912793456944370835e-03,2.983979838668236739e-02,2.911936158941009350e-02
4.300860172034406959e-01,6.182242259556614689e-02,1.014840595938220486e-02,2.995797992438133800e-02,2.051046369377356599e-02
4.400880176035207314e-01,6.212265425104743222e-02,1.038405120950556398e-02,3.007637975917918510e-02,2.909368008065701255e-02
4.500900180036007669e-01,6.242407122691213950e-02,1.061973247937974922e-02,3.019499565669739663e-02,3.114982593139194178e-02
4.600920184036807470e-01,6.272667567499060071e-02,1.085545301818179043e-02,3.031382535107252432e-02,3.066968772162738041e-02
4.700940188037607825e-01,6.303046972279592597e-02,1.109121605220045846e-02,3.043286654496931559e-02,2.536994996182616660e-02
4.800960192038408181e-01,6.333545547352392724e-02,1.132702478483625305e-02,3.055211690959554888e-02,3.648959762745377505e-02
4.900980196039207981e-01,6.364163500605324320e-02,1.156288239660140278e-02,3.067157408471802085e-02,3.958324362754130077e-02
5.001000200040007782e-01,6.394901037494521434e-02,1.179879204511987724e-02,3.079123567867995265e-02,3.399971872434558867e-02
5.101020204040808137e-01,6.425758361044398015e-02,1.203475686512737314e-02,3.091109926841993649e-02,2.272879699451686719e-02
5.201040208041608492e-01,6.456735671847640967e-02,1.227077996847132646e-02,3.103116239949221811e-02,3.834768523734662787e-02
5.301060212042408848e-01,6.487833168065215705e-02,1.250686444411089338e-02,3.115142258608847789e-02,2.613702240141795377e-02
5.401080216043209203e-01,6.519051045426360602e-02,1.274301335811697800e-02,3.127187731106095131e-02,4.006348349394080188e-02
5.501100220044009559e-01,6.550389497228591151e-02,1.297922975367220635e-02,3.139252402594730484e-02,2.067464985717286374e-02
5.601120224044808804e-01,6.581848714337698580e-02,1.321551665107094028e-02,3.151336015099666377e-02,4.065803218228447591e-02
5.701140228045609160e-01,6.613428885187751238e-02,1.345187704771928089e-02,3.163438307519730874e-02,3.143374852904250172e-02
5.801160232046409515e-01,6.645130195781093208e-02,1.368831391813505466e-02,3.175559015630609327e-02,1.926810125296193887e-02
5.901180236047209871e-01,6.676952829408806800e-02,1.392483021330507241e-02,3.187697871976803710e-02,2.873798400009956039e-02
6.001200240048010226e-01,6.708896964967352161e-02,1.416142885580725340e-02,3.199854605211903402e-02,3.253956883983447068e-02
6.101220244048810581e-01,6.740962780183590297e-02,1.439811274649585408e-02,3.212028941389090397e-02,3.484820280553543870e-02
6.201240248049609827e-01,6.773150450240458809e-02,1.463488476295835353e-02,3.224220603411501879e-02,2.242032478470524365e-02
6.301260252050410182e-01,6.805460147324610132e-02,1.487174775862815448e-02,3.236429310857847491e-02,2.129056263692654521e-02
6.401280256051210538e-01,6.837892040626394885e-02,1.510870456278456085e-02,3.248654779988873614e-02,3.448239312835954529e-02
6.501300260052010893e-01,6.870446296339872971e-02,1.534575798055279328e-02,3.260896723754030946e-02,2.794147106874228861e-02
6.601320264052811249e-01,6.903123077662809415e-02,1.558291079290398222e-02,3.273154851798338455e-02,3.508660463528563700e-02
6.701340268053610494e-01,6.935922544796674361e-02,1.582016575665516969e-02,3.285428870469443707e-02,4.044948392947823185e-02
6.801360272054410849e-01,6.968844854946644463e-02,1.605752560446931446e-02,3.297718482824855968e-02,1.648931116473907610e-02
6.901380276055211205e-01,7.001890162321602884e-02,1.629499304485528682e-02,3.310023388639433961e-02,3.564411505157051574e-02
7.001400280056011560e-01,7.035058618134136521e-02,1.653257076216785998e-02,3.322343284413017267e-02,4.546990251948749423e-02
7.101420284056811916e-01,7.068350370600538779e-02,1.677026141660773254e-02,3.334677863378290863e-02,3.037151019007817629e-02
7.201440288057612271e-01,7.101765564940809572e-02,1.700806764422150424e-02,3.347026815508855058e-02,2.536212232271285033e-02
7.301460292058411516e-01,7.135304343378652547e-02,1.724599205690169335e-02,3.359389827527474448e-02,4.111633654707066987e-02
7.401480296059211872e-01,7.168966845141480637e-02,1.748403724238672963e-02,3.371766582914588473e-02,3.625213099122730209e-02
7.501500300060012227e-01,7.202753206460409119e-02,1.772220576426095096e-02,3.384156761916953804e-02,4.280039832694514101e-02
7.601520304060812583e-01,7.236663560570259779e-02,1.796050016195461368e-02,3.396560041556575399e-02,3.051344331505295715e-02
7.701540308061612938e-01,7.270698037264235192e-02,1.819892294966326055e-02,3.408976095470435397e-02,1.927157821748224156e-02
7.801560312062413294e-01,7.304856761112586694e-02,1.843747661087568462e-02,3.421404593250306631e-02,3.311393828539055395e-02
7.901580316063212539e-01,7.339139855335641283e-02,1.867616360719807217e-02,3.433845201930577767e-02,2.988017048919345414e-02
8.001600320064012895e-01,7.373547439956236460e-02,1.891498637552234754e-02,3.446297585287153714e-02,4.221621407334727460e-02
8.101620324064813250e-01,7.408079631393836573e-02,1.915394732716234338e-02,3.458761403695240905e-02,3.652394252072394681e-02
8.201640328065613605e-01,7.442736542464534200e-02,1.939304884785380059e-02,3.471236314142561730e-02,1.840387081707460515e-02
8.301660332066413961e-01,7.477518282381048764e-02,1.963229329775436835e-02,3.483721970242787541e-02,2.288558890139587645e-02
8.401680336067214316e-01,7.512424956752730698e-02,1.987168301144359370e-02,3.496218022249280438e-02,4.380007058836535988e-02
8.501700340068013562e-01,7.547456667585558665e-02,2.011122029792293195e-02,3.508724117069035586e-02,4.188489134486882148e-02
8.601720344068813917e-01,7.582613513282136786e-02,2.035090744061575363e-02,3.521239898276934399e-02,2.880996532368445759e-02
8.701740348069614273e-01,7.617895588641701576e-02,2.059074669736733060e-02,3.533765006130219766e-02,3.532716209562938858e-02
8.801760352070414628e-01,7.653302984860115010e-02,2.083074030044483604e-02,3.546299077583256465e-02,3.991872631359442980e-02
8.901780356071214984e-01,7.688835789529867293e-02,2.107089045653735143e-02,3.558841746302548320e-02,4.027246082149826129e-02
9.001800360072015339e-01,7.724494086640079638e-02,2.131119934675586650e-02,3.571392642682010010e-02,4.447634838796360457e-02
9.101820364072814584e-01,7.760277956576498715e-02,2.155166912663327231e-02,3.583951393858517132e-02,3.840437021080079366e-02
9.201840368073614940e-01,7.796187476121500814e-02,2.179230192612437861e-02,3.596517623727735896e-02,3.501689284759237908e-02
9.301860372074415295e-01,7.832222718454090460e-02,2.203309984960589302e-02,3.609090952960178345e-02,3.350242888172332706e-02
9.401880376075215651e-01,7.868383753149901794e-02,2.227406497587641754e-02,3.621670999017580911e-02,4.677413799550832196e-02
9.501900380076016006e-01,7.904670646181195803e-02,2.251519935815648327e-02,3.634257376169505727e-02,1.383403101090967952e-02
9.601920384076816362e-01,7.941083458811969142e-02,2.275650502131614655e-02,3.646849695111389900e-02,3.508194370020052688e-02
9.701940388077615607e-01,7.977622246962928765e-02,2.299798395867349091e-02,3.659447562765015538e-02,3.692447666749075486e-02
9.801960392078415962e-01,8.014287064866504329e-02,2.323963814134924477e-02,3.672050583616390251e-02,2.246701622746202776e-02
9.901980396079216318e-01,8.051077962638790442e-02,2.348146951365902985e-02,3.684658358848966198e-02,4.017471971987012641e-02
1.000200040008001556e+00,8.087994986168471623e-02,2.372347999286549686e-02,3.697270486324634453e-02,3.045989473881240486e-02
1.010202040408081592e+00,8.125038177116833404e-02,2.396567146917833596e-02,3.709886560605323014e-02,4.572331356921069401e-02
1.020204040808161627e+00,8.162207572917752618e-02,2.420804580575425941e-02,3.722506172974924393e-02,3.596914088940596915e-02
1.030206041208241663e+00,8.199503206777698783e-02,2.445060483869700846e-02,3.735128911461564616e-02,4.404282152251017685e-02
1.040208041608321698e+00,8.236925107675742430e-02,2.469335037705735342e-02,3.747754360860132417e-02,4.966597966031355282e-02
1.050210042008401734e+00,8.274473300363544004e-02,2.493628420283310401e-02,3.760382102755191469e-02,4.143311685468663991e-02
1.060212042408481770e+00,8.312147805365362185e-02,2.517940807096908859e-02,3.773011715544163230e-02,2.897290572121317964e-02
1.070214042808561805e+00,8.349948638978046955e-02,2.542272370935717146e-02,3.785642774460860893e-02,2.271324142756222381e-02
1.080216043208641841e+00,8.387875813271046532e-02,2.566623281883624597e-02,3.798274851599330731e-02,5.551658969115703945e-02
1.090218043608721876e+00,8.425929336086403210e-02,2.590993707319223446e-02,3.810907515938016105e-02,3.699615322750496316e-02
1.100220044008801912e+00,8.464109211038753355e-02,2.615383811915808834e-02,3.823540333364247590e-02,3.134975385729926040e-02
1.110222044408881725e+00,8.502415437515328800e-02,2.639793757641378108e-02,3.836172866699065487e-02,3.980429954759890504e-02
1.120224044808961761e+00,8.540848010675958224e-02,2.664223703758633599e-02,3.848804675722345553e-02,3.657393345239696308e-02
1.130226045209041796e+00,8.579406921453061607e-02,2.688673806824979501e-02,3.861435317198272377e-02,4.713577581410960393e-02
1.140228045609121832e+00,8.618092156551657168e-02,2.713144220692522215e-02,3.874064344901122919e-02,3.907992527338223498e-02
1.150230046009201867e+00,8.656903698394816105e-02,2.737635096495806206e-02,3.886691309622754276e-02,3.900440893241173546e-02
1.160232046409281903e+00,8.695841522619464359e-02,2.762146582012118060e-02,3.899315758349670979e-02,3.184736037316707180e-02
1.170234046809361939e+00,8.734905601364680028e-02,2.786678822254786206e-02,3.911937235426534570e-02,4.381505334174028155e-02
1.180236047209441974e+00,8.774095903333153923e-02,2.811231959669257402e-02,3.924555282592577521e-02,2.890688560237594795e-02
1.190238047609522010e+00,8.813412392399211370e-02,2.835806133859200898e-02,3.937169438533653226e-02,4.603058878297620199e-02
1.200240048009602045e+00,8.852855027608806660e-02,2.860401481586509823e-02,3.949779238913414536e-02,5.473716751903546368e-02
1.210242048409682081e+00,8.892423763179525820e-02,2.885018136771300493e-02,3.962384216404852416e-02,2.437698178305700708e-02
1.220244048809762116e+00,8.932118548500590782e-02,2.909656230491911716e-02,3.974983900722216940e-02,1.508754669370898985e-02
1.230246049209841930e+00,8.971939328132852443e-02,2.934315890984906181e-02,3.987577818653300493e-02,4.604456573807619996e-02
1.240248049609921965e+00,9.011886041808797598e-02,2.958997243645070108e-02,4.000165494092061680e-02,6.548063309575187507e-02
1.250250050010002001e+00,9.051958624432540623e-02,2.983700411025412905e-02,4.012746448071663474e-02,3.011821599199769606e-02
1.260252050410082036e+00,9.092157006079833181e-02,3.008425512837166124e-02,4.025320198797824323e-02,2.774624439995836134e-02
1.270254050810162072e+00,9.132481111998054513e-02,3.033172665949785546e-02,4.037886261682568922e-02,4.626855195463042830e-02
1.280256051210242108e+00,9.172930862606218372e-02,3.057941984390949788e-02,4.050444149378348846e-02,3.209722559320041246e-02
1.290258051610322143e+00,9.213506173494973028e-02,3.082733579346561004e-02,4.062993371812496229e-02,3.556967887875760181e-02
1.300260052010402179e+00,9.254206955426595715e-02,3.107547559160744530e-02,4.075533436222075756e-02,3.727415969538298152e-02
1.310262052410482214e+00,9.295033114334996793e-02,3.132384029335848197e-02,4.088063847189092603e-02,4.620065933480891479e-02
1.320264052810562250e+00,9.335984551325721137e-02,3.157243092532444756e-02,4.100584106676057050e-02,3.695281745282938402e-02
1.330266053210642285e+00,9.377061162675941197e-02,3.182124848569328063e-02,4.113093714061927253e-02,4.390976554142087679e-02
1.340268053610722099e+00,9.418262839834465328e-02,3.207029394423516200e-02,4.125592166178405906e-02,3.949058907284830333e-02
1.350270054010802134e+00,9.459589469421736396e-02,3.231956824230251824e-02,4.138078957346612297e-02,3.293407853695008713e-02
1.360272054410882170e+00,9.501040932312659892e-02,3.256907229088953915e-02,4.150553579122276404e-02,3.830727321379055056e-02
1.370274054810962205e+00,9.542617102514337757e-02,3.281880696652767632e-02,4.163015519990783536e-02,3.212615854822864492e-02
1.380276055211042241e+00,9.584317851170520708e-02,3.306877311969831645e-02,4.175464266682206438e-02,4.181979252551955295e-02
1.390278055611122277e+00,9.626143044251057879e-02,3.331897157174604912e-02,4.187899303462706835e-02,3.064033075897070260e-02
1.400280056011202312e+00,9.668092542377167142e-02,3.356940311456602793e-02,4.200320112120057431e-02,3.107425742824814277e-02
1.410282056411282348e+00,9.710166200821439275e-02,3.382006851060399832e-02,4.212726172005713809e-02,5.669687987310969429e-02
1.420284056811362383e+00,9.752363869507836569e-02,3.407096849285628365e-02,4.225116960077189565e-02,4.171932739771848364e-02
1.430286057211442419e+00,9.794685393011692831e-02,3.432210376486978520e-02,4.237491950940878993e-02,4.183589925468836346e-02
1.440288057611522454e+00,9.837130610559713384e-02,3.457347500074199609e-02,4.249850616895230193e-02,4.761387036812848861e-02
1.450290058011602490e+00,9.879699356029976454e-02,3.482508284512096652e-02,4.262192427974344222e-02,3.841335425425473210e-02
1.460292058411682303e+00,9.922391457951930394e-02,3.507692791320535936e-02,4.274516851991909394e-02,4.045981484513751225e-02
1.470294058811762339e+00,9.965206739506396461e-02,3.532901079074439454e-02,4.286823354585575507e-02,4.711972089917484258e-02
1.480296059211842374e+00,1.000814501852556881e-01,3.558133203403789080e-02,4.299111399261673627e-02,4.581527241506075376e-02
1.490298059611922410e+00,1.005120610749301036e-01,3.583389216993623783e-02,4.311380447440327224e-02,3.152083720507897757e-02
1.500300060012002445e+00,1.009438981354365827e-01,3.608669169584041020e-02,4.323629958500951886e-02,5.156972555170613592e-02
1.510302060412082481e+00,1.013769593846381989e-01,3.633973107970195349e-02,4.335859389828131127e-02,3.745424446539088320e-02
1.520304060812162517e+00,1.018112427869117542e-01,3.659301076002301201e-02,4.348068196857855783e-02,3.291989246543669534e-02
1.530306061212242552e+00,1.022467462531477661e-01,3.684653114585630801e-02,4.360255833124171421e-02,3.459780763125119840e-02
1.540308061612322588e+00,1.026834676407504671e-01,3.710029261680512780e-02,4.372421750306160204e-02,3.981876405950837000e-02
1.550310062012402623e+00,1.031214047536378048e-01,3.735429552302334949e-02,4.384565398275323822e-02,6.011865652898391171e-02
1.560312062412482659e+00,1.035605553422414421e-01,3.760854018521544995e-02,4.396686225143334181e-02,3.221150320222553737e-02
1.570314062812562694e+00,1.040009171023687090e-01,3.786302689451238879e-02,4.408783677276274793e-02,4.568859569810615473e-02
1.580316063212642508e+00,1.044424876561294430e-01,3.811775590918410617e-02,4.420857198784783337e-02,2.283032840694206034e-02
1.590318063612722543e+00,1.048852645800282118e-01,3.837272745608501928e-02,4.432906232422702264e-02,4.431339299277505667e-02
1.600320064012802579e+00,1.053292454004843143e-01,3.862794173259914005e-02,4.444930219487761708e-02,5.344496636963769198e-02
1.610322064412882614e+00,1.057744275868043732e-01,3.888339890625067130e-02,4.456928599661587331e-02,4.220265277600131898e-02
1.620324064812962650e+00,1.062208085511822386e-01,3.913909911470401376e-02,4.468900811061964767e-02,3.839545887178622691e-02
1.630326065213042686e+00,1.066683856486990295e-01,3.939504246576378682e-02,4.480846290295471823e-02,4.712357354354009681e-02
1.640328065613122721e+00,1.071171561773231473e-01,3.965122903737478693e-02,4.492764472510489548e-02,5.192916223661139807e-02
1.650330066013202757e+00,1.075671173779102346e-01,3.990765887762202230e-02,4.504654791450571349e-02,5.168312362467977761e-02
1.660332066413282792e+00,1.080182664342032167e-01,4.016433200473069898e-02,4.516516679508190968e-02,6.488990533437982711e-02
1.670334066813362828e+00,1.084706004728322598e-01,4.042124840706622091e-02,4.528349567778845730e-02,4.737517040115122452e-02
1.680336067213442863e+00,1.089241165633148267e-01,4.067840804313418990e-02,4.540152886115546293e-02,3.947742786362613832e-02
1.690338067613522677e+00,1.093788117180556074e-01,4.093581084158040562e-02,4.551926063183611704e-02,4.425946873196968945e-02
1.700340068013602712e+00,1.098346828923466023e-01,4.119345670119087949e-02,4.563668526515893969e-02,4.491169980896082131e-02
1.710342068413682748e+00,1.102917269843670112e-01,4.145134549089181386e-02,4.575379702568300316e-02,4.684117086046418743e-02
1.720344068813762783e+00,1.107499408351833720e-01,4.170947704974961590e-02,4.587059016775667936e-02,4.557031203546232923e-02
1.730346069213842819e+00,1.112093212287494082e-01,4.196785118697087674e-02,4.598705893608022455e-02,4.772671832504225831e-02
1.740348069613922855e+00,1.116698648919061815e-01,4.222646768190239236e-02,4.610319756627148657e-02,2.939469696012035962e-02
1.750350070014002890e+00,1.121315684943819668e-01,4.248532628403118433e-02,4.621900028543494271e-02,5.451528984583536852e-02
1.760352070414082926e+00,1.125944286487923079e-01,4.274442671298443741e-02,4.633446131273452617e-02,4.058706862352420147e-02
1.770354070814162961e+00,1.130584419106400451e-01,4.300376865852954811e-02,4.644957485996918656e-02,3.471798789549893766e-02
1.780356071214242997e+00,1.135236047783152458e-01,4.326335178057412467e-02,4.656433513215226666e-02,5.294184672856662444e-02
1.790358071614323032e+00,1.139899136930952600e-01,4.352317570916596629e-02,4.667873632809380058e-02,5.985199640195461995e-02
1.800360072014403068e+00,1.144573650355756311e-01,4.378324004600432640e-02,4.679277263992537295e-02,5.172305413491980197e-02
1.810362072414482881e+00,1.149259551227675702e-01,4.404354436097437930e-02,4.690643825311091586e-02,4.851803139156611600e-02
1.820364072814562917e+00,1.153956802170661433e-01,4.430408818959113287e-02,4.701972734965867429e-02,3.769752429593915127e-02
1.830366073214642952e+00,1.158665365227366517e-01,4.456487103799539745e-02,4.713263410747761673e-02,7.584830748561260938e-02
1.840368073614722988e+00,1.163385201858253698e-01,4.482589238302300827e-02,4.724515270095431402e-02,5.604773890756939436e-02
1.850370074014803023e+00,1.168116272941595590e-01,4.508715167220482545e-02,4.735727730156089055e-02,3.596433059813113065e-02
1.860372074414883059e+00,1.172858538773473985e-01,4.534864832376672011e-02,4.746900207846630609e-02,3.967262291606886426e-02
1.870374074814963095e+00,1.177611959067780961e-01,4.561038172662959522e-02,4.758032119915017732e-02,4.845011368486921988e-02
1.880376075215043130e+00,1.182376492956217912e-01,4.587235124040936474e-02,4.769122883002015895e-02,3.214391751006029363e-02
1.890378075615123166e+00,1.187152098988296101e-01,4.613455619541696751e-02,4.780171913703155223e-02,4.948802320713669572e-02
1.900380076015203201e+00,1.191938735131336247e-01,4.639699589265835339e-02,4.791178628631020953e-02,4.332107072918262025e-02
1.910382076415283237e+00,1.196736358770469216e-01,4.665966960383450407e-02,4.802142444477805472e-02,6.028413044794023179e-02
1.920384076815363272e+00,1.201544926708634914e-01,4.692257657134141224e-02,4.813062778078125437e-02,5.775217441706372024e-02
1.930386077215443086e+00,1.206364395166583531e-01,4.718571600827009549e-02,4.823939046472140724e-02,2.112653609037368208e-02
1.940388077615523121e+00,1.211194719782874574e-01,4.744908709840659627e-02,4.834770666968894737e-02,4.876473252996207236e-02
1.950390078015603157e+00,1.216035855613877698e-01,4.771268899623196807e-02,4.845557057209953083e-02,3.228089557686264488e-02
1.960392078415683192e+00,1.220887757133771456e-01,4.797652082692228231e-02,4.856297635233278176e-02,5.965935634481801114e-02
1.970394078815763228e+00,1.225750378234544968e-01,4.824058168634864224e-02,4.866991819537350161e-02,5.035097688665174376e-02
1.980396079215843264e+00,1.230623672225996529e-01,4.850487064107715518e-02,4.877639029145535571e-02,5.426044481332532865e-02
1.990398079615923299e+00,1.235507591835734165e-01,4.876938672836896721e-02,4.888238683670709239e-02,3.823113954867410347e-02
2.000400080016003113e+00,1.240402089209175496e-01,4.903412895618022155e-02,4.898790203380093411e-02,6.727220441375593440e-02
2.010402080416083148e+00,1.245307115909548290e-01,4.929909630316210711e-02,4.909293009260319585e-02,6.929366376410764361e-02
2.020404080816163184e+00,1.250222622917889770e-01,4.956428771866080996e-02,4.919746523082735301e-02,3.854975480456522552e-02
2.030406081216243219e+00,1.255148560643487010e-01,4.982970212349643185e-02,4.930150167489578267e-02,5.302965289355894563e-02
2.040408081616323255e+00,1.260084879059962526e-01,5.009533842004655624e-02,4.940503366326548518e-02,4.267200937936361377e-02
2.050410082016403290e+00,1.265031527403533418e-01,5.036119546967189609e-02,4.950805544109843082e-02,4.927235607249110666e-02
2.060412082416483326e+00,1.269988454280117085e-01,5.062727210087647478e-02,4.961056126310320336e-02,3.695419147085756556e-02
2.070414082816563361e+00,1.274955607737937868e-01,5.089356711474785078e-02,4.971254539562658392e-02,6.838400054143277396e-02
2.080416083216643397e+00,1.279932935267525940e-01,5.116007928495711760e-02,4.981400211729915262e-02,4.012220700647246840e-02
2.090418083616723433e+00,1.284920383801717858e-01,5.142680735775888301e-02,4.991492571968325631e-02,4.695408756970831377e-02
2.100420084016803468e+00,1.289917899715656846e-01,5.169375005199127598e-02,5.001531050792203115e-02,5.503013981902725449e-02
2.110422084416883504e+00,1.294925428826791403e-01,5.196090605907598137e-02,5.011515080139056222e-02,4.363954401722927590e-02
2.120424084816963539e+00,1.299942916394876968e-01,5.222827404301818438e-02,5.021444093434813960e-02,4.782131663702511581e-02
2.130426085217043575e+00,1.304970307121975093e-01,5.249585264040660532e-02,5.031317525659226297e-02,4.467677679232261861e-02
2.140428085617123610e+00,1.310007545152453712e-01,5.276364046041349259e-02,5.041134813411368709e-02,4.907674058575074716e-02
2.150430086017203646e+00,1.315054574072986870e-01,5.303163608479462970e-02,5.050895394975329911e-02,3.880352759875026897e-02
2.160432086417283681e+00,1.320111336912554445e-01,5.329983806788931439e-02,5.060598710385996735e-02,4.622610634783696354e-02
2.170434086817363717e+00,1.325177776142443253e-01,5.356824493662037251e-02,5.070244201494952113e-02,4.863351276782707650e-02
2.180436087217443752e+00,1.330253833676245945e-01,5.383685519049417195e-02,5.079831312036523633e-02,4.746105308232388686e-02
2.190438087617523788e+00,1.335339450869861555e-01,5.410566730160058790e-02,5.089359487693904949e-02,5.146049442587700279e-02
2.200440088017603824e+00,1.340434568521495229e-01,5.437467971461303756e-02,5.098828176165400711e-02,4.805725956808679783e-02
2.210442088417683859e+00,1.345539126871658497e-01,5.464389084678845931e-02,5.108236827230765165e-02,5.861448235670146251e-02
2.220444088817763451e+00,1.350653065603169001e-01,5.491329908796731274e-02,5.117584892817628184e-02,4.794388967031798510e-02
2.230446089217843486e+00,1.355776323841150766e-01,5.518290280057361330e-02,5.126871827067995546e-02,4.990222230772111550e-02
2.240448089617923522e+00,1.360908840153033927e-01,5.545270031961486296e-02,5.136097086404847745e-02,4.471315750408995371e-02
2.250450090018003557e+00,1.366050552548555008e-01,5.572268995268211955e-02,5.145260129598783205e-02,4.618745289483545957e-02
2.260452090418083593e+00,1.371201398479756917e-01,5.599286997994994824e-02,5.154360417834764896e-02,3.889867627015052703e-02
2.270454090818163628e+00,1.376361314840987837e-01,5.626323865417646314e-02,5.163397414778841954e-02,5.682182335656806027e-02
2.280456091218243664e+00,1.381530238053723103e-01,5.653379420498882979e-02,5.172370586792638530e-02,4.029852569140146556e-02
2.290458091618323699e+00,1.386708104439323130e-01,5.680453485698130217e-02,5.181279403641166764e-02,4.435423005452841794e-02
2.300460092018403735e+00,1.391894849275914503e-01,5.707545878160814184e-02,5.190123336915329622e-02,5.549367988926533907e-02
2.310462092418483770e+00,1.397090407239798548e-01,5.734656412062035663e-02,5.198901860876858905e-02,5.601475226821391040e-02
