theta,a
1.215643128625725211e-01,-4.190791616516815754e-01
1.217043408681736383e-01,-4.188942355630468350e-01
1.218443688737747554e-01,-4.187092547161355705e-01
1.219843968793758865e-01,-4.185242190960455355e-01
1.221244248849770037e-01,-4.183391286878739290e-01
1.222644528905781208e-01,-4.181539834767168951e-01
1.224044808961792380e-01,-4.179687834476695230e-01
1.225445089017803690e-01,-4.177835285858256809e-01
1.226845369073814862e-01,-4.175982188762786818e-01
1.228245649129826034e-01,-4.174128543041197292e-01
1.229645929185837205e-01,-4.172274348544402489e-01
1.231046209241848377e-01,-4.170419605123296680e-01
1.232446489297859687e-01,-4.168564312628770807e-01
1.233846769353870859e-01,-4.166708470911693607e-01
1.235247049409882031e-01,-4.164852079822937703e-01
1.236647329465893203e-01,-4.162995139213354068e-01
1.238047609521904513e-01,-4.161137648933791455e-01
1.239447889577915685e-01,-4.159279608835080855e-01
1.240848169633926856e-01,-4.157421018768043819e-01
1.242248449689938028e-01,-4.155561878583498570e-01
1.243648729745949200e-01,-4.153702188132242235e-01
1.245049009801960371e-01,-4.151841947265069166e-01
1.246449289857971682e-01,-4.149981155832754842e-01
1.247849569913982853e-01,-4.148119813686074742e-01
1.249249849969994025e-01,-4.146257920675788800e-01
1.250650130026005336e-01,-4.144395476652639188e-01
1.252050410082016507e-01,-4.142532481467373628e-01
1.253450690138027679e-01,-4.140668934970709869e-01
1.254850970194038851e-01,-4.138804837013372873e-01
1.256251250250050022e-01,-4.136940187446062067e-01
1.257651530306061194e-01,-4.135074986119475771e-01
1.259051810362072366e-01,-4.133209232884302309e-01
1.260452090418083815e-01,-4.131342927591208913e-01
1.261852370474094986e-01,-4.129476070090860040e-01
1.263252650530106158e-01,-4.127608660233916815e-01
1.264652930586117330e-01,-4.125740697871010387e-01
1.266053210642128501e-01,-4.123872182852779122e-01
1.267453490698139673e-01,-4.122003115029838072e-01
1.268853770754150845e-01,-4.120133494252802842e-01
1.270254050810162016e-01,-4.118263320372266834e-01
1.271654330866173188e-01,-4.116392593238820674e-01
1.273054610922184637e-01,-4.114521312703046108e-01
1.274454890978195809e-01,-4.112649478615505449e-01
1.275855171034206981e-01,-4.110777090826756019e-01
1.277255451090218152e-01,-4.108904149187342925e-01
1.278655731146229324e-01,-4.107030653547801835e-01
1.280056011202240496e-01,-4.105156603758653988e-01
1.281456291258251667e-01,-4.103281999670420621e-01
1.282856571314262839e-01,-4.101406841133594661e-01
1.284256851370274011e-01,-4.099531127998672919e-01
1.285657131426285460e-01,-4.097654860116134445e-01
1.287057411482296632e-01,-4.095778037336449406e-01
1.288457691538307803e-01,-4.093900659510079088e-01
1.289857971594318975e-01,-4.092022726487470896e-01
1.291258251650330147e-01,-4.090144238119065023e-01
1.292658531706341318e-01,-4.088265194255283896e-01
1.294058811762352490e-01,-4.086385594746551608e-01
1.295459091818363662e-01,-4.084505439443262831e-01
1.296859371874374833e-01,-4.082624728195821673e-01
1.298259651930386283e-01,-4.080743460854607263e-01
1.299659931986397454e-01,-4.078861637269994289e-01
1.301060212042408626e-01,-4.076979257292345227e-01
1.302460492098419798e-01,-4.075096320772012004e-01
1.303860772154430969e-01,-4.073212827559333782e-01
1.305261052210442141e-01,-4.071328777504641949e-01
1.306661332266453313e-01,-4.069444170458255683e-01
1.308061612322464484e-01,-4.067559006270484168e-01
1.309461892378475656e-01,-4.065673284791622710e-01
1.310862172434487105e-01,-4.063787005871958291e-01
1.312262452490498277e-01,-4.061900169361768453e-01
1.313662732546509448e-01,-4.060012775111319083e-01
1.315063012602520620e-01,-4.058124822970858858e-01
1.316463292658531792e-01,-4.056236312790636456e-01
1.317863572714542963e-01,-4.054347244420885565e-01
1.319263852770554135e-01,-4.052457617711820448e-01
1.320664132826565307e-01,-4.050567432513655919e-01
1.322064412882576478e-01,-4.048676688676596247e-01
1.323464692938587928e-01,-4.046785386050826272e-01
1.324864972994598822e-01,-4.044893524486521952e-01
1.326265253050610271e-01,-4.043001103833854248e-01
1.327665533106621443e-01,-4.041108123942979691e-01
1.329065813162632614e-01,-4.039214584664041485e-01
1.330466093218643786e-01,-4.037320485847175067e-01
1.331866373274654958e-01,-4.035425827342508098e-01
1.333266653330666129e-01,-4.033530609000151035e-01
1.334666933386677301e-01,-4.031634830670203784e-01
1.336067213442688750e-01,-4.029738492202758482e-01
1.337467493498699644e-01,-4.027841593447898383e-01
1.338867773554711094e-01,-4.025944134255690088e-01
1.340268053610722265e-01,-4.024046114476189651e-01
1.341668333666733437e-01,-4.022147533959452570e-01
1.343068613722744609e-01,-4.020248392555508810e-01
1.344468893778755780e-01,-4.018348690114386668e-01
1.345869173834766952e-01,-4.016448426486102785e-01
1.347269453890778124e-01,-4.014547601520657150e-01
1.348669733946789573e-01,-4.012646215068041977e-01
1.350070014002800467e-01,-4.010744266978247818e-01
1.351470294058811916e-01,-4.008841757101238024e-01
1.352870574114823088e-01,-4.006938685286972612e-01
1.354270854170834260e-01,-4.005035051385406608e-01
1.355671134226845431e-01,-4.003130855246477271e-01
1.357071414282856603e-01,-4.001226096720106873e-01
1.358471694338867775e-01,-3.999320775656217131e-01
1.359871974394878946e-01,-3.997414891904711443e-01
1.361272254450890395e-01,-3.995508445315485435e-01
1.362672534506901290e-01,-3.993601435738421968e-01
1.364072814562912739e-01,-3.991693863023396127e-01
1.365473094618923910e-01,-3.989785727020269124e-01
1.366873374674935082e-01,-3.987877027578887734e-01
1.368273654730946254e-01,-3.985967764549096515e-01
1.369673934786957425e-01,-3.984057937780725589e-01
1.371074214842968597e-01,-3.982147547123586762e-01
1.372474494898979769e-01,-3.980236592427494058e-01
1.373874774954991218e-01,-3.978325073542239299e-01
1.375275055011002112e-01,-3.976412990317608753e-01
1.376675335067013561e-01,-3.974500342603374814e-01
1.378075615123024733e-01,-3.972587130249305987e-01
1.379475895179035905e-01,-3.970673353105149128e-01
1.380876175235047076e-01,-3.968759011020647209e-01
1.382276455291058248e-01,-3.966844103845532099e-01
1.383676735347069420e-01,-3.964928631429517902e-01
1.385077015403080591e-01,-3.963012593622319280e-01
1.386477295459092041e-01,-3.961095990273629797e-01
1.387877575515102935e-01,-3.959178821233137469e-01
1.389277855571114384e-01,-3.957261086350518098e-01
1.390678135627125556e-01,-3.955342785475432499e-01
1.392078415683136727e-01,-3.953423918457537045e-01
1.393478695739147899e-01,-3.951504485146473122e-01
1.394878975795159071e-01,-3.949584485391874344e-01
1.396279255851170242e-01,-3.947663919043355452e-01
1.397679535907181414e-01,-3.945742785950531184e-01
1.399079815963192863e-01,-3.943821085962995743e-01
1.400480096019203757e-01,-3.941898818930340553e-01
1.401880376075215207e-01,-3.939975984702137057e-01
1.403280656131226378e-01,-3.938052583127953921e-01
1.404680936187237550e-01,-3.936128614057343156e-01
1.406081216243248722e-01,-3.934204077339851779e-01
1.407481496299259893e-01,-3.932278972825007379e-01
1.408881776355271065e-01,-3.930353300362333657e-01
1.410282056411282237e-01,-3.928427059801339327e-01
1.411682336467293686e-01,-3.926500250991522001e-01
1.413082616523304580e-01,-3.924572873782374294e-01
1.414482896579316029e-01,-3.922644928023369948e-01
1.415883176635327201e-01,-3.920716413563973268e-01
1.417283456691338372e-01,-3.918787330253643564e-01
1.418683736747349544e-01,-3.916857677941822380e-01
1.420084016803360716e-01,-3.914927456477940715e-01
1.421484296859371887e-01,-3.912996665711424016e-01
1.422884576915383059e-01,-3.911065305491680522e-01
1.424284856971394508e-01,-3.909133375668110144e-01
1.425685137027405402e-01,-3.907200876090098363e-01
1.427085417083416852e-01,-3.905267806607028991e-01
1.428485697139428023e-01,-3.903334167068263638e-01
1.429885977195439195e-01,-3.901399957323160028e-01
1.431286257251450367e-01,-3.899465177221063672e-01
1.432686537307461538e-01,-3.897529826611303982e-01
1.434086817363472710e-01,-3.895593905343207042e-01
1.435487097419483882e-01,-3.893657413266078393e-01
1.436887377475495331e-01,-3.891720350229223579e-01
1.438287657531506225e-01,-3.889782716081929825e-01
1.439687937587517674e-01,-3.887844510673475473e-01
1.441088217643528846e-01,-3.885905733853123878e-01
1.442488497699540018e-01,-3.883966385470135063e-01
1.443888777755551189e-01,-3.882026465373750179e-01
1.445289057811562361e-01,-3.880085973413209821e-01
1.446689337867573533e-01,-3.878144909437727939e-01
1.448089617923584704e-01,-3.876203273296519036e-01
1.449489897979596154e-01,-3.874261064838782631e-01
1.450890178035607048e-01,-3.872318283913711578e-01
1.452290458091618497e-01,-3.870374930370479860e-01
1.453690738147629669e-01,-3.868431004058257572e-01
1.455091018203640840e-01,-3.866486504826197046e-01
1.456491298259652012e-01,-3.864541432523446174e-01
1.457891578315663184e-01,-3.862595786999138969e-01
1.459291858371674355e-01,-3.860649568102395013e-01
1.460692138427685527e-01,-3.858702775682328889e-01
1.462092418483696976e-01,-3.856755409588036865e-01
1.463492698539707870e-01,-3.854807469668616871e-01
1.464892978595719319e-01,-3.852858955773133531e-01
1.466293258651730491e-01,-3.850909867750667015e-01
1.467693538707741663e-01,-3.848960205450264738e-01
1.469093818763752834e-01,-3.847009968720975781e-01
1.470494098819764006e-01,-3.845059157411836459e-01
1.471894378875775178e-01,-3.843107771371861991e-01
1.473294658931786349e-01,-3.841155810450066488e-01
1.474694938987797799e-01,-3.839203274495453511e-01
1.476095219043808693e-01,-3.837250163357012189e-01
1.477495499099820142e-01,-3.835296476883715555e-01
1.478895779155831314e-01,-3.833342214924538305e-01
1.480296059211842485e-01,-3.831387377328429600e-01
1.481696339267853657e-01,-3.829431963944336381e-01
1.483096619323864829e-01,-3.827475974621191712e-01
1.484496899379876000e-01,-3.825519409207922550e-01
1.485897179435887172e-01,-3.823562267553432537e-01
1.487297459491898621e-01,-3.821604549506626980e-01
1.488697739547909515e-01,-3.819646254916397310e-01
1.490098019603920965e-01,-3.817687383631614417e-01
1.491498299659932136e-01,-3.815727935501151968e-01
1.492898579715943308e-01,-3.813767910373861980e-01
1.494298859771954480e-01,-3.811807308098591474e-01
1.495699139827965651e-01,-3.809846128524174147e-01
1.497099419883976823e-01,-3.807884371499426490e-01
1.498499699939987995e-01,-3.805922036873168324e-01
1.499899979995999444e-01,-3.803959124494188937e-01
1.501300260052010338e-01,-3.801995634211288166e-01
1.502700540108021787e-01,-3.800031565873238093e-01
1.504100820164032959e-01,-3.798066919328808022e-01
1.505501100220044131e-01,-3.796101694426748940e-01
1.506901380276055302e-01,-3.794135891015807949e-01
1.508301660332066474e-01,-3.792169508944717715e-01
1.509701940388077646e-01,-3.790202548062204801e-01
1.511102220444088817e-01,-3.788235008216974675e-01
1.512502500500100266e-01,-3.786266889257725587e-01
1.513902780556111161e-01,-3.784298191033150793e-01
1.515303060612122610e-01,-3.782328913391925784e-01
1.516703340668133781e-01,-3.780359056182717170e-01
1.518103620724144953e-01,-3.778388619254180458e-01
1.519503900780156125e-01,-3.776417602454956723e-01
1.520904180836167296e-01,-3.774446005633682599e-01
1.522304460892178468e-01,-3.772473828638978066e-01
1.523704740948189640e-01,-3.770501071319452002e-01
1.525105021004201089e-01,-3.768527733523705514e-01
1.526505301060211983e-01,-3.766553815100326386e-01
1.527905581116223432e-01,-3.764579315897894629e-01
1.529305861172234604e-01,-3.762604235764972493e-01
1.530706141228245776e-01,-3.760628574550113346e-01
1.532106421284256947e-01,-3.758652332101863891e-01
1.533506701340268119e-01,-3.756675508268753072e-01
1.534906981396279291e-01,-3.754698102899308720e-01
1.536307261452290462e-01,-3.752720115842030912e-01
1.537707541508301912e-01,-3.750741546945427496e-01
1.539107821564312806e-01,-3.748762396057984114e-01
1.540508101620324255e-01,-3.746782663028173088e-01
1.541908381676335427e-01,-3.744802347704461187e-01
1.543308661732346598e-01,-3.742821449935304079e-01
1.544708941788357770e-01,-3.740839969569147438e-01
1.546109221844368942e-01,-3.738857906454418067e-01
1.547509501900380113e-01,-3.736875260439537216e-01
1.548909781956391285e-01,-3.734892031372917254e-01
1.550310062012402457e-01,-3.732908219102955005e-01
1.551710342068413628e-01,-3.730923823478040635e-01
1.553110622124425078e-01,-3.728938844346544323e-01
1.554510902180436249e-01,-3.726953281556834030e-01
1.555911182236447421e-01,-3.724967134957262171e-01
1.557311462292458593e-01,-3.722980404396171172e-01
1.558711742348469764e-01,-3.720993089721893465e-01
1.560112022404480936e-01,-3.719005190782752601e-01
1.561512302460492108e-01,-3.717016707427052147e-01
1.562912582516503279e-01,-3.715027639503087897e-01
1.564312862572514451e-01,-3.713037986859153428e-01
1.565713142628525900e-01,-3.711047749343517888e-01
1.567113422684537072e-01,-3.709056926804449317e-01
1.568513702740548243e-01,-3.707065519090200212e-01
1.569913982796559415e-01,-3.705073526049013077e-01
1.571314262852570587e-01,-3.703080947529115985e-01
1.572714542908581759e-01,-3.701087783378729235e-01
1.574114822964592930e-01,-3.699094033446060914e-01
1.575515103020604102e-01,-3.697099697579312449e-01
1.576915383076615274e-01,-3.695104775626663063e-01
1.578315663132626723e-01,-3.693109267436290866e-01
1.579715943188637894e-01,-3.691113172856359537e-01
1.581116223244649066e-01,-3.689116491735022763e-01
1.582516503300660238e-01,-3.687119223920420907e-01
1.583916783356671409e-01,-3.685121369260679902e-01
1.585317063412682581e-01,-3.683122927603924568e-01
1.586717343468693753e-01,-3.681123898798259741e-01
1.588117623524704924e-01,-3.679124282691782488e-01
1.589517903580716096e-01,-3.677124079132576551e-01
1.590918183636727545e-01,-3.675123287968720120e-01
1.592318463692738717e-01,-3.673121909048273626e-01
1.593718743748749889e-01,-3.671119942219287502e-01
1.595119023804761060e-01,-3.669117387329804414e-01
1.596519303860772232e-01,-3.667114244227852593e-01
1.597919583916783404e-01,-3.665110512761449169e-01
1.599319863972794575e-01,-3.663106192778604608e-01
1.600720144028805747e-01,-3.661101284127311617e-01
1.602120424084816919e-01,-3.659095786655557347e-01
1.603520704140828368e-01,-3.657089700211315630e-01
1.604920984196839540e-01,-3.655083024642545864e-01
1.606321264252850711e-01,-3.653075759797198563e-01
1.607721544308861883e-01,-3.651067905523219803e-01
1.609121824364873055e-01,-3.649059461668531235e-01
1.610522104420884226e-01,-3.647050428081057838e-01
1.611922384476895398e-01,-3.645040804608699059e-01
1.613322664532906570e-01,-3.643030591099354343e-01
1.614722944588917741e-01,-3.641019787400904262e-01
1.616123224644929190e-01,-3.639008393361223836e-01
1.617523504700940362e-01,-3.636996408828176985e-01
1.618923784756951534e-01,-3.634983833649615415e-01
1.620324064812962706e-01,-3.632970667673369736e-01
1.621724344868973877e-01,-3.630956910747275002e-01
1.623124624924985049e-01,-3.628942562719147391e-01
1.624524904980996221e-01,-3.626927623436790871e-01
1.625925185037007670e-01,-3.624912092748003856e-01
1.627325465093018564e-01,-3.622895970500565888e-01
1.628725745149030013e-01,-3.620879256542250957e-01
1.630126025205040907e-01,-3.618861950720820841e-01
1.631526305261052356e-01,-3.616844052884026217e-01
1.632926585317063528e-01,-3.614825562879598886e-01
1.634326865373074700e-01,-3.612806480555278421e-01
1.635727145429085871e-01,-3.610786805758771090e-01
1.637127425485097043e-01,-3.608766538337787599e-01
1.638527705541108492e-01,-3.606745678140017564e-01
1.639927985597119386e-01,-3.604724225013148375e-01
1.641328265653130836e-01,-3.602702178804852995e-01
1.642728545709141730e-01,-3.600679539362783288e-01
1.644128825765153179e-01,-3.598656306534597782e-01
1.645529105821164351e-01,-3.596632480167929469e-01
1.646929385877175522e-01,-3.594608060110405789e-01
1.648329665933186694e-01,-3.592583046209649744e-01
1.649729945989197866e-01,-3.590557438313256577e-01
1.651130226045209315e-01,-3.588531236268823754e-01
1.652530506101220209e-01,-3.586504439923934306e-01
1.653930786157231658e-01,-3.584477049126154613e-01
1.655331066213242552e-01,-3.582449063723056604e-01
1.656731346269254002e-01,-3.580420483562174461e-01
1.658131626325265173e-01,-3.578391308491057909e-01
1.659531906381276345e-01,-3.576361538357227809e-01
1.660932186437287517e-01,-3.574331173008196139e-01
1.662332466493298688e-01,-3.572300212291473764e-01
1.663732746549310137e-01,-3.570268656054548240e-01
1.665133026605321032e-01,-3.568236504144906007e-01
1.666533306661332481e-01,-3.566203756410016856e-01
1.667933586717343375e-01,-3.564170412697340584e-01
1.669333866773354824e-01,-3.562136472854323666e-01
1.670734146829365996e-01,-3.560101936728403693e-01
1.672134426885377168e-01,-3.558066804167007158e-01
1.673534706941388339e-01,-3.556031075017550558e-01
1.674934986997399511e-01,-3.553994749127438180e-01
1.676335267053410960e-01,-3.551957826344057656e-01
1.677735547109421854e-01,-3.549920306514794399e-01
1.679135827165433303e-01,-3.547882189487019389e-01
1.680536107221444198e-01,-3.545843475108091392e-01
1.681936387277455647e-01,-3.543804163225356962e-01
1.683336667333466818e-01,-3.541764253686153774e-01
1.684736947389477990e-01,-3.539723746337807286e-01
1.686137227445489162e-01,-3.537682641027634078e-01
1.687537507501500333e-01,-3.535640937602931855e-01
1.688937787557511783e-01,-3.533598635910997210e-01
1.690338067613522677e-01,-3.531555735799115636e-01
1.691738347669534126e-01,-3.529512237114548201e-01
1.693138627725545020e-01,-3.527468139704561523e-01
1.694538907781556469e-01,-3.525423443416395575e-01
1.695939187837567641e-01,-3.523378148097296991e-01
1.697339467893578813e-01,-3.521332253594482431e-01
1.698739747949589984e-01,-3.519285759755171883e-01
1.700140028005601156e-01,-3.517238666426563132e-01
1.701540308061612605e-01,-3.515190973455852852e-01
1.702940588117623499e-01,-3.513142680690219954e-01
1.704340868173634949e-01,-3.511093787976833358e-01
1.705741148229645843e-01,-3.509044295162855320e-01
1.707141428285657292e-01,-3.506994202095430335e-01
1.708541708341668464e-01,-3.504943508621695125e-01
1.709941988397679635e-01,-3.502892214588777531e-01
1.711342268453690807e-01,-3.500840319843786519e-01
1.712742548509701979e-01,-3.498787824233829946e-01
1.714142828565713428e-01,-3.496734727605993465e-01
1.715543108621724322e-01,-3.494681029807368278e-01
1.716943388677735771e-01,-3.492626730685017833e-01
1.718343668733746665e-01,-3.490571830086000027e-01
1.719743948789758115e-01,-3.488516327857363875e-01
1.721144228845769286e-01,-3.486460223846143958e-01
1.722544508901780458e-01,-3.484403517899363756e-01
1.723944788957791630e-01,-3.482346209864045639e-01
1.725345069013802801e-01,-3.480288299587186440e-01
1.726745349069814250e-01,-3.478229786915775223e-01
1.728145629125825145e-01,-3.476170671696799941e-01
1.729545909181836594e-01,-3.474110953777223010e-01
1.730946189237847488e-01,-3.472050633004010178e-01
1.732346469293858937e-01,-3.469989709224103880e-01
1.733746749349870109e-01,-3.467928182284442107e-01
1.735147029405881280e-01,-3.465866052031948419e-01
1.736547309461892452e-01,-3.463803318313541935e-01
1.737947589517903624e-01,-3.461739980976120679e-01
1.739347869573915073e-01,-3.459676039866576014e-01
1.740748149629925967e-01,-3.457611494831794863e-01
1.742148429685937416e-01,-3.455546345718638612e-01
1.743548709741948310e-01,-3.453480592373973090e-01
1.744948989797959760e-01,-3.451414234644644141e-01
1.746349269853970931e-01,-3.449347272377482065e-01
1.747749549909982103e-01,-3.447279705419323825e-01
1.749149829965993275e-01,-3.445211533616976407e-01
1.750550110022004446e-01,-3.443142756817244576e-01
1.751950390078015896e-01,-3.441073374866920886e-01
1.753350670134026790e-01,-3.439003387612782348e-01
1.754750950190038239e-01,-3.436932794901603749e-01
1.756151230246049133e-01,-3.434861596580142118e-01
1.757551510302060582e-01,-3.432789792495148928e-01
1.758951790358071754e-01,-3.430717382493351231e-01
1.760352070414082926e-01,-3.428644366421488288e-01
1.761752350470094097e-01,-3.426570744126266055e-01
1.763152630526105269e-01,-3.424496515454389378e-01
1.764552910582116718e-01,-3.422421680252549780e-01
1.765953190638127612e-01,-3.420346238367434344e-01
1.767353470694139062e-01,-3.418270189645704615e-01
1.768753750750149956e-01,-3.416193533934027693e-01
1.770154030806161405e-01,-3.414116271079049580e-01
1.771554310862172577e-01,-3.412038400927406290e-01
1.772954590918183748e-01,-3.409959923325724951e-01
1.774354870974194920e-01,-3.407880838120618261e-01
1.775755151030206092e-01,-3.405801145158695586e-01
1.777155431086217263e-01,-3.403720844286547420e-01
1.778555711142228435e-01,-3.401639935350752042e-01
1.779955991198239884e-01,-3.399558418197884402e-01
1.781356271254250778e-01,-3.397476292674508347e-01
