d,I1,I2,theta_tilt,F
2.659945657135245195e-02,5.040137339815969142e+01,1.895291622300652890e+01,2.033050767016815197e-01,4.155005312295631872e-03
1.545678138376867412e-02,2.746178215599068650e+01,4.930837452087747863e+01,4.887931978317538451e-01,1.233166136386298732e-02
4.108462604232385879e-02,9.372941989996279233e+01,6.218577199292412416e+01,1.738428645071506407e-01,1.252016795237772054e-02
4.655885719025613240e-02,2.658040997886797996e+01,3.428866066806382662e+01,4.352025013210574222e-01,1.405787172053726223e-03
1.697586225315316638e-02,8.814941599277925377e+01,1.394201883441730061e+01,4.555014894709112916e-01,9.341794924671339984e-03
2.925204834299841364e-02,2.715930797230332061e+01,8.539273707949308800e+01,1.427255069295921275e-01,9.350698442249763889e-03
2.492387730385391825e-02,2.358117106911318928e+01,7.759885497193920401e+01,5.080711114553060348e-02,9.614425692441540966e-03
4.689577921915197983e-02,5.389815423081496704e+01,9.516046292998652234e+01,3.791384986381093336e-01,8.220082644043971015e-03
6.822982003479558660e-03,6.942766444116260516e+01,2.383612397553295636e+01,3.909876656529188699e-01,4.387039921941746079e-02
3.794027880454523688e-02,5.076794533917841079e+01,1.300115991856343811e+01,2.705342512395214616e-02,1.631197442015819375e-03
3.264679611270485116e-02,5.573371567744564459e+01,7.649727045501228417e+01,2.899262499013047223e-01,1.361283642936822122e-02
6.276441430108447780e-03,6.611191498848059211e+01,8.797053269985453028e+01,1.710453812535062124e-01,4.247371961453858535e-01
3.736488977720332089e-02,5.349948878040872557e+01,2.999173406227988181e+01,3.901313130063243650e-01,3.784333911841348923e-03
5.719627828560738814e-03,9.611691439252102498e+01,4.396130867971148604e+01,3.218947543746029094e-01,1.897208127600436833e-01
3.910779510603926840e-02,2.361887394692062614e+01,8.627342383300590711e+01,1.186179243966125618e-01,4.920687506010287468e-03
2.807414254679351656e-02,4.522045953837962884e+01,1.103333310482262775e+01,5.944582781978391406e-02,2.028782350746774314e-03
4.680968993586528265e-02,2.149533162163364963e+01,3.403719026365995148e+01,8.037916694637048387e-03,1.231474835902218300e-03
7.973712352583364402e-03,2.778014515183457434e+01,2.167883322116772860e+01,4.061990989709430289e-01,1.272770049138691878e-02
4.285927758255724668e-02,6.580350361077215382e+01,9.530639832215632623e+01,4.269248839568461906e-01,1.175785950492518571e-02
8.001050394519563722e-03,8.798956057118371632e+01,1.398843848545518220e+01,2.369141087878181007e-01,2.651593834135249420e-02
2.049394904618563606e-02,4.192954931592134216e+01,5.794670546017252377e+01,4.077778742114306909e-01,1.540803283066516025e-02
2.436344293765249983e-02,8.692839963109588552e+01,7.317291323427900807e+01,2.256128910928806297e-01,3.357599183499655748e-02
4.847279363528316648e-02,4.421277411650739708e+01,5.276489419719091956e+01,3.946515427589758485e-01,3.403618541292601201e-03
3.030043290028056752e-02,7.383680707568494483e+01,3.364952537581125114e+01,2.830366280581274596e-01,8.684612686128665576e-03
1.664890669269195392e-02,1.998321760877263387e+01,3.977708831370524933e+01,2.008945292103995195e-01,7.038260896347391452e-03
1.587540713424552552e-02,5.965266784795166899e+01,3.009568720851527601e+01,2.254908555275259019e-02,1.700069768124102404e-02
4.496532442966309773e-02,1.347748182477608481e+01,8.692520439931404042e+01,1.523736114311438072e-01,2.159186168636634175e-03
1.516412427877959768e-02,2.286391784045364517e+01,1.025507245599832373e+01,4.297276470538018978e-01,2.092476085178305613e-03
1.060496176258775812e-02,3.738824491739772782e+01,2.132659572461047048e+01,2.874242747500625472e-01,1.214912576706394902e-02
1.797488406534099303e-02,1.441337043679374297e+01,8.799798124608258831e+01,3.201917800315351448e-01,1.117744892383137900e-02
3.137553791657297919e-02,8.851680642552777556e+01,9.829667736028908109e+01,2.113521310030662126e-01,3.125902628756585533e-02
2.993407259779705398e-02,8.391764923179293589e+01,4.984750871789622551e+01,1.716653413421605490e-01,1.548601658778455889e-02
4.143698491607500367e-02,9.386413437244831925e+01,7.961390262291834574e+01,4.478941555730117652e-01,1.462193451818695825e-02
3.022141784027836467e-02,3.022561851033528413e+01,8.966208240225027737e+01,3.994004552584540235e-01,9.674442199974372242e-03
1.797895464940447302e-02,5.015223827176934890e+01,8.394560026093598992e+01,2.192924434558482516e-01,3.758568507808384557e-02
2.358033542064017288e-02,8.280826754313930849e+01,4.784574229996450612e+01,2.255194396719298888e-01,2.114929910349780048e-02
4.181544369369097347e-02,3.485704522931684579e+01,8.915137212511343989e+01,3.993568566667895503e-01,6.152825447030395994e-03
3.319279080888891398e-02,6.826027784597057746e+01,5.128469049413008207e+01,1.542096429905013277e-01,1.094607383208890360e-02
4.815849392138490254e-02,4.107324983606930857e+01,7.236050902664902651e+01,1.356566959612252599e-01,4.754130646389561309e-03
2.162319849912563985e-02,4.392050864426300194e+01,9.866190662520106969e+01,4.922177953584246923e-01,2.679534771536710991e-02
2.986751797345792853e-02,7.078352753364322325e+01,4.141778787866735456e+01,1.975567192706901842e-01,1.076738274373360317e-02
3.172658907259257727e-02,9.454073113405536333e+01,4.399135290653311614e+01,5.695554970453248211e-02,1.410504957394787678e-02
4.317310437237770193e-02,8.289712880427738639e+01,7.634924062774538811e+01,4.365302672287653674e-01,1.149118050454618102e-02
1.154630921839392907e-02,4.132409784714184298e+01,7.807355578921337269e+01,3.622683707745820714e-01,5.708000607879413352e-02
2.329296515366570050e-02,1.622944494495010304e+01,1.769616870579730161e+01,2.232957594490425079e-01,1.518973018483770138e-03
4.594815327480336609e-02,9.720900939921104111e+01,2.920329092566339213e+01,2.032894424892006668e-02,4.946713676345874423e-03
6.938009985569188083e-03,4.062014639065985477e+01,4.655755899911277140e+01,1.794040321710068109e-01,6.483129917130696362e-02
4.202178260816759325e-02,7.474098790300541850e+01,4.717090478148385557e+01,4.602352680966463883e-01,6.556570716332543909e-03
2.369228168170511156e-02,1.516374915228563758e+01,2.157303563892241982e+01,4.967914141335956213e-01,1.524203155436960194e-03
4.234117933751462698e-02,1.106055835692152911e+01,2.338856996266859056e+01,3.291469461462072643e-01,4.972963369211622379e-04
5.447955236328138467e-03,6.774335337136753310e+01,3.626368227939976663e+01,2.020832836080825867e-01,1.109285460123984324e-01
2.142707709912218192e-02,8.777581381644461089e+01,7.866429287048055130e+01,2.845424799763872081e-01,4.474028082028584652e-02
8.538351672453795352e-03,4.893511100431030769e+01,5.517670503730157350e+01,2.391133451819138500e-01,7.005397505798049984e-02
3.436765593514873318e-02,6.736227450141224438e+01,3.159102112196990220e+01,4.997663818779555234e-01,5.507867872864080985e-03
1.732320943698007626e-02,7.326414110125982404e+01,2.778634113780042014e+01,1.262600607975611910e-01,1.688413957592910936e-02
3.661934317969038621e-02,8.645917033684109754e+01,1.583109928676883627e+01,2.281712108512787829e-01,3.508633384373575654e-03
4.747106421239408874e-02,1.818264242099031947e+01,5.102019731057671947e+01,1.729943501697066566e-01,1.504277718188169353e-03
1.070676960175614978e-02,5.810804351811364654e+01,9.875149013741602744e+01,1.041550736714945691e-01,1.458872496136162933e-01
4.391502329303483693e-02,4.980643895352768880e+01,3.456489278886215999e+01,2.032245432027359189e-01,3.208027543963230810e-03
7.675886822015231745e-03,4.062318371831099029e+01,6.668380813088317893e+01,2.567740144073124564e-01,9.549895580484780988e-02
2.213467287399002725e-02,4.336243666722901224e+01,5.168815564173186772e+01,1.173642899546308294e-01,1.350933287203532132e-02
2.433983275303595178e-02,4.739026689736416387e+01,5.937812167011704645e+01,2.865797063455005622e-02,1.490627327146249598e-02
2.699822960750589487e-02,2.548291857867748789e+01,3.020018904332472331e+01,3.612409625562438831e-01,3.143371823037427546e-03
4.894080448712200687e-02,8.773285520899287349e+01,7.954223325604952777e+01,2.813804784213396748e-01,1.051630869949998770e-02
3.990610346458228069e-02,3.599083671882434743e+01,7.684967490272194368e+01,2.419279564399728910e-02,6.427581334495192748e-03
1.889858132236674551e-02,4.597500714747032191e+01,7.853509511221928108e+01,1.409912227565004450e-01,2.958824577025630578e-02
1.714265534753600662e-02,6.263292514842424907e+01,6.154819020192214651e+01,1.937279526427376219e-01,3.467126036508545034e-02
4.384040918851930813e-02,7.176212237954337070e+01,1.774963822758429899e+01,1.430196027507723566e-01,2.397647743713186667e-03
4.465882277319604965e-02,5.414785780751621758e+01,8.378489957886971240e+01,1.312579171743658568e-01,8.481914876555678856e-03
2.798179274946404130e-02,4.983719313736356327e+01,1.127932025994094190e+01,4.309879261111909110e-01,2.091284747583695147e-03
2.049330789330463740e-02,4.299766233550224825e+01,3.176432465278701756e+01,1.971664358886533464e-01,8.863467513670085507e-03
4.977128066724130495e-02,5.537097355686131550e+01,4.676788211425038355e+01,1.233570303901436738e-01,3.844967296517643688e-03
1.921745954154651173e-02,3.099693745806984069e+01,3.756258458310236392e+01,2.919667477599123262e-01,8.165016973523901017e-03
1.322205705169531183e-02,1.182334384861227505e+01,5.492467284248993309e+01,1.207473864083772330e-01,8.567557596795526142e-03
4.460441545868314150e-02,9.236416435184230522e+01,4.332069717530040975e+01,1.035143544926482861e-01,7.371812596394787011e-03
4.155509291500643354e-02,2.696758605297196354e+01,3.986742639970670155e+01,1.144304393655692920e-02,2.271601865810623979e-03
3.505502325071081088e-02,4.604723862842477189e+01,3.369995575915513797e+01,4.457866423967288827e-01,3.995014545228368387e-03
4.812861343000784248e-02,5.847031232124039946e+01,1.648160619402211324e+01,3.194604113357628616e-01,1.454012000439037664e-03
4.665715597464884651e-02,4.022962345161056419e+01,4.908638703593023678e+01,2.564406204288835478e-01,3.250488610110633617e-03
3.867118264857893895e-02,4.851296465527686053e+01,1.281589420732871965e+01,1.710202578867588974e-01,1.464350602684719735e-03
4.373156342964550081e-02,4.530035382181653603e+01,1.764965076458526028e+01,3.192976158623569427e-01,1.450416240046029656e-03
1.612160331449483813e-02,5.077738648381910735e+01,2.612182400900552537e+01,4.322647068353660527e-01,1.109315283543008124e-02
1.135609506054642386e-02,7.917515256426179349e+01,3.881785817320939458e+01,3.724694937852692789e-01,4.426883219913024803e-02
3.515278321917212484e-02,5.713533303289285215e+01,9.794522725804172580e+01,6.131412640913158629e-03,1.675468784657910618e-02
3.715783414946387947e-02,8.826046537073912646e+01,8.156984164489331590e+01,7.630472640115198990e-02,1.909869858538339529e-02
1.251738179520224883e-02,7.067325945212085969e+01,1.188848902731774970e+01,3.142348331879770140e-01,1.007523221017944497e-02
2.280007728971942052e-02,5.644249835201697607e+01,7.603286955123154200e+01,3.052631601348016477e-01,2.482868158294199504e-02
4.596150947972246770e-02,3.994006682297482058e+01,2.513043152285518644e+01,1.697292552841570545e-01,1.721809041145447219e-03
3.026303453976003643e-02,1.696026507373809267e+01,2.456851655745165885e+01,3.785715880595799110e-01,1.405826283966854365e-03
3.102511617168227445e-02,3.815930608858806039e+01,7.918629514120951285e+01,4.958530337068867144e-02,1.101707755571402700e-02
1.373583978008571273e-02,6.596358474328317811e+01,2.799229175401298164e+01,1.697965945689646206e-01,2.091264761010539278e-02
2.867100118780438467e-02,5.448592161550293866e+01,4.841518746881494906e+01,3.626249575155690019e-01,9.929810826016478159e-03
2.855456273277139773e-02,2.183817711721382082e+01,6.196156001365031329e+01,1.421671621394838270e-01,5.506286842328169881e-03
9.002103811082240448e-03,6.137840527688720726e+01,7.651535892583507348e+01,2.184414715385539218e-01,1.359054184575564372e-01
4.918742119070178276e-02,3.631039158045739157e+01,7.427488712013166605e+01,2.027443657130503230e-01,4.091240338157107678e-03
3.071280202050985161e-02,3.417317169677710353e+01,4.420534094719370444e+01,8.803813181044772840e-02,5.395306036867937409e-03
5.288399719893957865e-03,3.779442776074637322e+01,5.628155465867126139e+01,1.588379492061083309e-01,1.410799983333065610e-01
3.976921405514249191e-02,7.183095069522904907e+01,3.729618371959389123e+01,4.537963736218080246e-01,5.508145382527300515e-03
4.902195712280656148e-02,6.976033209412929637e+01,7.069354855474219335e+01,2.992671992968745087e-01,7.335496750052180465e-03
3.154415127444277350e-02,1.760297693450452527e+01,4.796867599677151617e+01,5.015205494484420434e-03,2.904408679905348852e-03
1.938567363271992763e-02,2.871084413431888649e+01,8.204025715399502872e+01,1.662574128629748516e-01,1.864302592288861679e-02
1.343784720775032145e-02,6.388990963390556033e+01,9.997669611830143310e+01,4.080190140721837166e-01,9.676582835056669885e-02
3.526369852625912266e-02,1.783285875792128294e+01,4.317085711701366790e+01,2.235321093450319818e-01,2.130103839832045431e-03
1.377983293055622810e-02,7.861909718716854911e+01,4.601900983587476901e+01,8.286076983867601831e-02,4.349772873735190809e-02
3.099595516330366785e-02,7.683832238973376150e+01,8.275211373880449628e+01,1.304055389746393012e-01,2.315724326431838759e-02
3.210076293708316597e-02,2.612665419374196674e+01,3.748606544710580835e+01,9.483804532187423142e-02,3.234611069965990550e-03
4.830903919059715418e-02,9.877134684286063759e+01,3.833244143018976757e+01,4.194708912867194384e-01,5.477416551090619028e-03
8.251936948844455777e-03,8.282284943569824520e+01,5.857028416991915520e+01,1.672688725354813388e-01,1.399326966198447542e-01
2.749877706463783530e-02,2.050249868098661921e+01,4.333511470814261202e+01,7.322066562402196332e-03,3.807308512189679691e-03
3.848438656771917266e-02,9.019342849189749245e+01,2.000318933522521192e+01,2.288066041030358266e-01,4.241411552727614165e-03
1.297520332135964662e-02,3.606651473847434630e+01,3.654576291456690029e+01,1.909558176442005539e-03,1.676680577291996335e-02
2.246300293030336834e-02,5.263446630267628734e+01,9.980218748923078920e+01,4.820008854822255273e-02,3.458554743822576938e-02
7.830297430473710449e-03,2.252483268922872384e+01,4.981311070614216874e+01,4.191381655545004525e-01,3.011331795988006488e-02
3.766463886990995685e-02,5.022869766598270758e+01,8.635322229092909652e+01,1.445838228149293192e-01,1.118962761612780563e-02
8.949554904176905412e-03,8.377954580471498502e+01,2.150815654838442725e+01,3.361557075581337317e-01,3.366869346435394372e-02
2.277912687610854359e-02,6.090119538549074463e+01,4.979403542368679325e+01,2.718354630149815154e-01,1.691686883620019399e-02
4.430851840043294881e-02,1.667455657494894794e+01,2.016728176012202312e+01,4.248372130722565809e-01,5.713400769818327346e-04
2.625351515375052083e-02,3.879374412317211807e+01,7.525245468621190525e+01,3.366418157547361734e-01,1.325189536732796804e-02
4.606798701383985756e-02,5.892405320831755233e+01,3.964827494001470143e+01,3.344315896302320068e-01,3.837278244026785714e-03
3.946627029824926330e-02,5.018012632923819183e+01,9.101055981102093995e+01,4.136550083293514257e-01,1.003999288777182759e-02
4.618957820502946759e-02,5.347140236310409733e+01,4.201314503954289847e+01,4.341961548053571152e-01,3.528343052616666857e-03
1.073313540720078653e-02,9.941112111287223740e+01,9.966366567293300704e+01,5.576719126553969508e-02,2.534874564334222424e-01
8.310330739878442688e-03,5.448972504348628831e+01,5.585038365915885805e+01,3.356876161702623262e-01,8.087862675192430961e-02
8.164681410614813006e-03,9.831854312056211143e+01,9.790780313205046070e+01,3.690518638180232402e-01,4.076975897675433336e-01
4.409844324562937207e-02,1.526166433703958347e+01,4.830168374717369772e+01,1.063555012845260883e-01,1.390104399640867136e-03
3.353314907063494749e-02,8.980453468960978114e+01,3.793117174643702327e+01,4.098866789875957872e-01,9.634780312545497202e-03
2.734572622094838881e-02,4.747696665007732975e+01,8.103560384257889382e+01,2.336327410037600250e-01,1.697781769588414119e-02
1.235945372884161321e-02,8.730906122574444339e+01,4.344444974527120706e+01,6.922051690634251075e-02,5.289332982670696265e-02
3.531800469772732043e-02,9.278611293458503440e+01,4.015142249180905765e+01,2.848578974807094433e-01,1.010185295762586026e-02
1.931078245306091373e-02,5.864986143377272043e+01,8.975678037638294882e+01,3.896832258946575922e-01,4.030765883624033707e-02
3.698959384696752506e-02,1.924665167280912570e+01,6.656848762856371593e+01,3.438352004168090947e-01,3.195356129976682519e-03
2.571598979902961837e-02,4.298507271527578411e+01,5.194645924192265340e+01,4.632330525755247730e-01,9.606732079193103235e-03
