t,N,reproductive_adult_abundance,dN_dt
1.264252850570113940e-01,1.123748219881808836e+02,9.675238609943303913e+01,1.100721140634967270e+02
1.280256051210242052e-01,1.125513827603316059e+02,9.672780962849755326e+01,1.105848628715727955e+02
1.296259251850370164e-01,1.127287738741235046e+02,9.670367814821177888e+01,1.111106899640641359e+02
1.312262452490497999e-01,1.129070160985194917e+02,9.667999289893663217e+01,1.116495994654355570e+02
1.328265653130626112e-01,1.130861303413901311e+02,9.665675513329331636e+01,1.122015615853403858e+02
1.344268853770754224e-01,1.132661376495136665e+02,9.663396611616333587e+01,1.127665112254950657e+02
1.360272054410882059e-01,1.134470592085759790e+02,9.661162712468856739e+01,1.133443466242527649e+02
1.376275255051010171e-01,1.136289163431706868e+02,9.658973944827117464e+01,1.139349280451573350e+02
1.392278455691138284e-01,1.138117286555362000e+02,9.656830436926119887e+01,1.145380789980320344e+02
1.408281656331266118e-01,1.139955145070718885e+02,9.654732319265613683e+01,1.151535844707673846e+02
1.424284856971394231e-01,1.141802948393888215e+02,9.652679727802770060e+01,1.157811846766323782e+02
1.440288057611522343e-01,1.143660897183067107e+02,9.650672798469194902e+01,1.164205785482868123e+02
1.456291258251650456e-01,1.145529182739537504e+02,9.648711667092136679e+01,1.170714228400112944e+02
1.472294458891778290e-01,1.147407987007666179e+02,9.646796469394494977e+01,1.177333312347983565e+02
1.488297659531906403e-01,1.149297482574904450e+02,9.644927340994807707e+01,1.184058735422247537e+02
1.504300860172034515e-01,1.151197832671788035e+02,9.643104417407262474e+01,1.190885749935786748e+02
1.520304060812162350e-01,1.153109191171937766e+02,9.641327834041692313e+01,1.197809156405963620e+02
1.536307261452290462e-01,1.155031702592058878e+02,9.639597726203572847e+01,1.204823298640081362e+02
1.552310462092418575e-01,1.156965502091941147e+02,9.637914229094026553e+01,1.211922059979015103e+02
1.568313662732546410e-01,1.158910715474459323e+02,9.636277477809819914e+01,1.219098860756804754e+02
1.584316863372674522e-01,1.160867459185572415e+02,9.634687607343366267e+01,1.226346657031338054e+02
1.600320064012802634e-01,1.162835840314324400e+02,9.633144752582724379e+01,1.233657940638213262e+02
1.616323264652930469e-01,1.164815956592843662e+02,9.631649048311595607e+01,1.241024740616472002e+02
1.632326465293058582e-01,1.166807896396343551e+02,9.630200629209329577e+01,1.248438626051071765e+02
1.648329665933186694e-01,1.168811738743121822e+02,9.628799629850918507e+01,1.255890710372859758e+02
1.664332866573314806e-01,1.170827543701750670e+02,9.627446180693274869e+01,1.263371669770529735e+02
1.680336067213442641e-01,1.172855329706516727e+02,9.626140400962114541e+01,1.270871781112754775e+02
1.696339267853570754e-01,1.174895125221016343e+02,9.624882420481046097e+01,1.278380863099005182e+02
1.712342468493698866e-01,1.176946941821292114e+02,9.623672365412845409e+01,1.285888321370984215e+02
1.728345669133826701e-01,1.179010770917759316e+02,9.622510356754723659e+01,1.293383164968291226e+02
1.744348869773954813e-01,1.181086583755207755e+02,9.621396510338338715e+01,1.300854020103479911e+02
1.760352070414082926e-01,1.183174331412800058e+02,9.620330936829783752e+01,1.308289145528537460e+02
1.776355271054210760e-01,1.185273944804072528e+02,9.619313741729595790e+01,1.315676449486689705e+02
1.792358471694338873e-01,1.187385334676935287e+02,9.618345025372755686e+01,1.323003508236535311e+02
1.808361672334466985e-01,1.189508391613671989e+02,9.617424882928679608e+01,1.330257586128585672e+02
1.824364872974594820e-01,1.191642986030939397e+02,9.616553404401230409e+01,1.337425657207095924e+02
1.840368073614722932e-01,1.193788968179768375e+02,9.615730674628707675e+01,1.344494428302935489e+02
1.856371274254851045e-01,1.195946168145563036e+02,9.614956773283853408e+01,1.351450363575943641e+02
1.872374474894978880e-01,1.198114395848101026e+02,9.614231774873853453e+01,1.358279710457995293e+02
1.888377675535106992e-01,1.200293441041533811e+02,9.613555748740330387e+01,1.364968526940770346e+02
1.904380876175235104e-01,1.202483073304838115e+02,9.612928759021434644e+01,1.371502710149697464e+02
1.920384076815362939e-01,1.204683035820737302e+02,9.612350849558436039e+01,1.377868031508091917e+02
1.936387277455491052e-01,1.206893042472256639e+02,9.611822057812167941e+01,1.384050175377396386e+02
1.952390478095619164e-01,1.209112786039237051e+02,9.611342421303851324e+01,1.390034760693031615e+02
1.968393678735747276e-01,1.211341937058550400e+02,9.610911965417489000e+01,1.395807372548080707e+02
1.984396879375875111e-01,1.213580143824099196e+02,9.610530703399871300e+01,1.401353595964704084e+02
2.000400080016003224e-01,1.215827032386817734e+02,9.610198636360578917e+01,1.406659050425834039e+02
2.016403280656131336e-01,1.218082206554670535e+02,9.609915753271972960e+01,1.411709425059733007e+02
2.032406481296259171e-01,1.220345247892653617e+02,9.609682030969203481e+01,1.416490514365031004e+02
2.048409681936387283e-01,1.222615715722793794e+02,9.609497434150210893e+01,1.420988254359322411e+02
2.064412882576515396e-01,1.224893147124148811e+02,9.609361915375714602e+01,1.425188759030323524e+02
2.080416083216643230e-01,1.227177056932807773e+02,9.609275415069227222e+01,1.429078356965107162e+02
2.096419283856771343e-01,1.229466937741890433e+02,9.609237861517044621e+01,1.432643628029900356e+02
2.112422484496899455e-01,1.231762259901547623e+02,9.609249170868248768e+01,1.435871439970537153e+02
2.128425685137027290e-01,1.234062471518961388e+02,9.609309247134710574e+01,1.438748984801863458e+02
2.144428885777155402e-01,1.236366998458344426e+02,9.609417982191084207e+01,1.441263814853171823e+02
2.160432086417283515e-01,1.238675250359912781e+02,9.609575252847658078e+01,1.443403868591817627e+02
2.176435287057411627e-01,1.240986637278776783e+02,9.609780907522710436e+01,1.445157477248322948e+02
2.192438487697539462e-01,1.243300519113129639e+02,9.610034788392506755e+01,1.446513480276769599e+02
2.208441688337667574e-01,1.245616238948618530e+02,9.610336722495934225e+01,1.447461206656169566e+02
2.224444888977795687e-01,1.247933128568404300e+02,9.610686519564815455e+01,1.447990498424325381e+02
2.240448089617923522e-01,1.250250508453162013e+02,9.611083972023909894e+01,1.448091741899865212e+02
2.256451290258051634e-01,1.252567687781080537e+02,9.611528854990913828e+01,1.447755897687936795e+02
2.272454490898179746e-01,1.254883964427862537e+02,9.612020926276463229e+01,1.446974529351931267e+02
2.288457691538307581e-01,1.257198624966724481e+02,9.612559926384130904e+01,1.445739830638002843e+02
2.304460892178435694e-01,1.259510944668397485e+02,9.613145578510425082e+01,1.444044651144197928e+02
2.320464092818563806e-01,1.261820187501125758e+02,9.613777588544793673e+01,1.441882520331539865e+02
2.336467293458691641e-01,1.264125606130667876e+02,9.614455645069621426e+01,1.439247669780549472e+02
2.352470494098819753e-01,1.266426441920296213e+02,9.615179419360231350e+01,1.436135053603335905e+02
2.368473694738947866e-01,1.268721924930797371e+02,9.615948565384880453e+01,1.432540366928456308e+02
2.384476895379075700e-01,1.271011273920471467e+02,9.616762719804768267e+01,1.428460062383375089e+02
2.400480096019203813e-01,1.273293696345132844e+02,9.617621501974026899e+01,1.423891364507232709e+02
2.416483296659331925e-01,1.275568405691666527e+02,9.618524513984527857e+01,1.418832256348651129e+02
2.432486497299459760e-01,1.277834646545824029e+02,9.619471336627199776e+01,1.413281451643606772e+02
2.448489697939587872e-01,1.280091614458581262e+02,9.620461529051659966e+01,1.407238521618274660e+02
2.464492898579715985e-01,1.282338508358242848e+02,9.621494633610653580e+01,1.400703824173669432e+02
2.480496099219844097e-01,1.284574535038110810e+02,9.622570176044675350e+01,1.393678500960236306e+02
2.496499299859971932e-01,1.286798909156486275e+02,9.623687665481971010e+01,1.386164478837290517e+02
2.512502500500100044e-01,1.289010853236667060e+02,9.624846594438537295e+01,1.378164469096255687e+02
2.528505701140227879e-01,1.291209597666949662e+02,9.626046438818123363e+01,1.369681964451385170e+02
2.544508901780356269e-01,1.293394380700629256e+02,9.627286657912227952e+01,1.360721233810712079e+02
2.560512102420484104e-01,1.295564448455997990e+02,9.628566694400100801e+01,1.351287314848982817e+02
2.576515303060611939e-01,1.297719054916346408e+02,9.629885974348742650e+01,1.341386004413144519e+02
2.592518503700740329e-01,1.299857461929963165e+02,9.631243907212906663e+01,1.331023846799683383e+02
2.608521704340868164e-01,1.301978939210135024e+02,9.632639885835094162e+01,1.320208119951566914e+02
2.624524904980995998e-01,1.304082764335146862e+02,9.634073286445560313e+01,1.308946819630758114e+02
2.640528105621124388e-01,1.306168222748281096e+02,9.635543468662309863e+01,1.297248641630174006e+02
2.656531306261252223e-01,1.308234607757818537e+02,9.637049775491098558e+01,1.285122962096528454e+02
2.672534506901380058e-01,1.310281240188774348e+02,9.638591540913535027e+01,1.272579789985359753e+02
2.688537707541508448e-01,1.312307480805231705e+02,9.640168090517295241e+01,1.259629726928878029e+02
2.704540908181636283e-01,1.314312678738189391e+02,9.641778722993772988e+01,1.246284011468593746e+02
2.720544108821764118e-01,1.316296204709132951e+02,9.643422726762551633e+01,1.232554449610489371e+02
2.736547309461892508e-01,1.318257452117767343e+02,9.645099380444506210e+01,1.218453386006720365e+02
2.752550510102020342e-01,1.320195837042015228e+02,9.646807952861809099e+01,1.203993675270339736e+02
2.768553710742148177e-01,1.322110798238018674e+02,9.648547703037928613e+01,1.189188652097306544e+02
2.784556911382276567e-01,1.324001797140139445e+02,9.650317880197630416e+01,1.174052100308274191e+02
2.800560112022404402e-01,1.325868317860956438e+02,9.652117723766976098e+01,1.158598220925569251e+02
2.816563312662532237e-01,1.327709867191268813e+02,9.653946463373323184e+01,1.142841599403185739e+02
2.832566513302660627e-01,1.329525974600094003e+02,9.655803318845325123e+01,1.126797172129454907e+02
2.848569713942788462e-01,1.331316192234668563e+02,9.657687500212934140e+01,1.110480192323271638e+02
2.864572914582916852e-01,1.333080094920447891e+02,9.659598207707395545e+01,1.093906195445427727e+02
2.880576115223044686e-01,1.334817280161105941e+02,9.661534631761254843e+01,1.077090964246725662e+02
2.896579315863172521e-01,1.336527368218647212e+02,9.663495953252795800e+01,1.060050493520616470e+02
2.912582516503300911e-01,1.338210011425841799e+02,9.665481363925751168e+01,1.042800946868979253e+02
2.928585717143428746e-01,1.339864892459314945e+02,9.667490043623959650e+01,1.025358618941171756e+02
2.944588917783556581e-01,1.341491717203020357e+02,9.669521158560318952e+01,1.007739909496913810e+02
2.960592118423684971e-01,1.343090217490857299e+02,9.671573874572661111e+01,9.899612876970158482e+01
2.976595319063812806e-01,1.344660151106670298e+02,9.673647357123751078e+01,9.720392574931646834e+01
2.992598519703940640e-01,1.346201301784250290e+02,9.675740771301295240e+01,9.539903234616437544e+01
3.008601720344069030e-01,1.347713479207333194e+02,9.677853281817932896e+01,9.358309571844897334e+01
3.024604920984196865e-01,1.349196519009600479e+02,9.679984053011237677e+01,9.175775642773183449e+01
3.040608121624324700e-01,1.350650282774679454e+02,9.682132248843720390e+01,8.992464521584044235e+01
3.056611322264453090e-01,1.352074658036143262e+02,9.684297032902829017e+01,8.808537986486540206e+01
3.072614522904580925e-01,1.353469558277510600e+02,9.686477568400945870e+01,8.624156214868364145e+01
3.088617723544708760e-01,1.354834922932245433e+02,9.688673018175390439e+01,8.439477488389047721e+01
3.104620924184837150e-01,1.356170717383757278e+02,9.690882544688413702e+01,8.254657908745321038e+01
3.120624124824964984e-01,1.357476932965402057e+02,9.693105310027208077e+01,8.069851124780204543e+01
3.136627325465092819e-01,1.358753586960480391e+02,9.695340475903898891e+01,7.885208071546681197e+01
3.152630526105221209e-01,1.360000706599107048e+02,9.697587220854296675e+01,7.700876946551176161e+01
3.168633726745349044e-01,1.361218348368883539e+02,9.699844731100162676e+01,7.517002718120315308e+01
3.184636927385476879e-01,1.362406609617242452e+02,9.702112182679449859e+01,7.333726733595247538e+01
3.200640128025605269e-01,1.363565605584471996e+02,9.704388759753751970e+01,7.151186822209950833e+01
3.216643328665733104e-01,1.364695469386897457e+02,9.706673654623735104e+01,6.969517097196288091e+01
3.232646529305860938e-01,1.365796352016881485e+02,9.708966067729123495e+01,6.788847772027091310e+01
3.248649729945989328e-01,1.366868422342823521e+02,9.711265207648712305e+01,6.609304991220210468e+01
3.264652930586117163e-01,1.367911867109160653e+02,9.713570291100357679e+01,6.431010675831404910e+01
3.280656131226244998e-01,1.368926890936366760e+02,9.715880542940983844e+01,6.254082383703168091e+01
3.296659331866373388e-01,1.369913716320952801e+02,9.718195196166580274e+01,6.078633184477635609e+01
3.312662532506501223e-01,1.370872583635467095e+02,9.720513491912200266e+01,5.904771549324392055e+01
3.328665733146629613e-01,1.371803751128495605e+02,9.722834679451963780e+01,5.732601255278709118e+01
3.344668933786757448e-01,1.372707494924660239e+02,9.725158016199053179e+01,5.562221304033308655e+01
3.360672134426885282e-01,1.373584109024621114e+02,9.727482767705720335e+01,5.393725854976071332e+01
3.376675335067013672e-01,1.374433905305075427e+02,9.729808207663279518e+01,5.227204172218640110e+01
3.392678535707141507e-01,1.375257213518756600e+02,9.732133617902111666e+01,5.062740585316265651e+01
3.408681736347269342e-01,1.376054381294436553e+02,9.734458288391662961e+01,4.900414463337061477e+01
3.424684936987397732e-01,1.376825751433141534e+02,9.736781525022398398e+01,4.740300459664138089e+01
3.440688137627525567e-01,1.377571659453901987e+02,9.739102655660603602e+01,4.582468538741998998e+01
3.456691338267653402e-01,1.378292491485695450e+02,9.741421009029537004e+01,4.426983327785934108e+01
3.472694538907781792e-01,1.378988639393851372e+02,9.743735925713701818e+01,4.273904645409058389e+01
3.488697739547909626e-01,1.379660499541607237e+02,9.746046758525238829e+01,4.123287545803596288e+01
3.504700940188037461e-01,1.380308472790109136e+02,9.748352872503919286e+01,3.975182359688800204e+01
3.520704140828165851e-01,1.380932964498412048e+02,9.750653644917154850e+01,3.829634745551413744e+01
3.536707341468293686e-01,1.381534384523478707e+02,9.752948465259989064e+01,3.686685750623195190e+01
3.552710542108421521e-01,1.382113147220181020e+02,9.755236735255101621e+01,3.546371881024797545e+01
3.568713742748549911e-01,1.382669671441298362e+02,9.757517868852808363e+01,3.408725180494383977e+01
3.584716943388677746e-01,1.383204380537519569e+02,9.759791292231059856e+01,3.273773317110101289e+01
3.600720144028805580e-01,1.383717702357441226e+02,9.762056443795444238e+01,3.141539677410595033e+01
3.616723344668933970e-01,1.384210069247568811e+02,9.764312774179180110e+01,3.012043467314776990e+01
3.632726545309061805e-01,1.384681918052315837e+02,9.766559746243125062e+01,2.885299819242368713e+01
3.648729745949189640e-01,1.385133690114004423e+02,9.768796835075772833e+01,2.761319904839422179e+01
3.664732946589318030e-01,1.385565831272865580e+02,9.771023527993250468e+01,2.640111052718426521e+01
3.680736147229445865e-01,1.385978791867038069e+02,9.773239324539321160e+01,2.521676870630289713e+01
3.696739347869573700e-01,1.386373026732569258e+02,9.775443736485381407e+01,2.406017371495079971e+01
3.712742548509702090e-01,1.386748990592218149e+02,9.777636287669791670e+01,2.293129147896985742e+01
3.728745749149829924e-01,1.387107104461994709e+02,9.779816514812981154e+01,2.183005832981973882e+01
3.744748949789957759e-01,1.387447811096356816e+02,9.781983970754480140e+01,2.075637689655536988e+01
3.760752150430086149e-01,1.387771556617134365e+02,9.784138220289852939e+01,1.971011924036317353e+01
3.776755351070213984e-01,1.388078782406779794e+02,9.786278839545720132e+01,1.869112900353215778e+01
3.792758551710341819e-01,1.388369925108366942e+02,9.788405415979758573e+01,1.769922277352468853e+01
3.808761752350470209e-01,1.388645416625592475e+02,9.790517548380699964e+01,1.673419145124671559e+01
3.824764952990598044e-01,1.388905684122774176e+02,9.792614846868333700e+01,1.579580161914162062e+01
3.840768153630725879e-01,1.389151150024852370e+02,9.794696932893506869e+01,1.488379690495556673e+01
3.856771354270854268e-01,1.389382232017389356e+02,9.796763439238121407e+01,1.399789933724713009e+01
3.872774554910982103e-01,1.389599343046569402e+02,9.798814010015134102e+01,1.313781068894779835e+01
3.888777755551110493e-01,1.389802891319198466e+02,9.800848300668560853e+01,1.230321380551482235e+01
3.904780956191238328e-01,1.389993280302705330e+02,9.802865977973472411e+01,1.149377391445708696e+01
3.920784156831366163e-01,1.390170908725139611e+02,9.804866720035994376e+01,1.070913991325416958e+01
3.936787357471494553e-01,1.390336170575173753e+02,9.806850216293312883e+01,9.948945632925946470e+00
3.952790558111622388e-01,1.390489455102102170e+02,9.808816167513666073e+01,9.212811074751963147e+00
3.968793758751750222e-01,1.390631146815840964e+02,9.810764285796349782e+01,8.500343617869665636e+00
3.984796959391878612e-01,1.390761625486928494e+02,9.812694294571716114e+01,7.811139195717274220e+00
4.000800160032006447e-01,1.390881264753745938e+02,9.814605926970810401e+01,7.144783551173244263e+00
4.016803360672134282e-01,1.390990421073626919e+02,9.816498916218749571e+01,6.500854260957234843e+00
4.032806561312262672e-01,1.391089448704633185e+02,9.818373015613994426e+01,5.878920624835496156e+00
4.048809761952390507e-01,1.391178696615298236e+02,9.820227989458699369e+01,5.278544895569540429e+00
4.064812962592518342e-01,1.391258506461481375e+02,9.822063610164191516e+01,4.699283432845142272e+00
4.080816163232646732e-01,1.391329212586368271e+02,9.823879658250963587e+01,4.140687661271510223e+00
4.096819363872774566e-01,1.391391142020470113e+02,9.825675922348679592e+01,3.602304989148443326e+00
4.112822564512902401e-01,1.391444614481624171e+02,9.827452199196171989e+01,3.083679687585894058e+00
4.128825765153030791e-01,1.391489942374993518e+02,9.829208293641443106e+01,2.584353729727881799e+00
4.144828965793158626e-01,1.391527430793067595e+02,9.830944018641660875e+01,2.103867589989299347e+00
4.160832166433286461e-01,1.391557377515660789e+02,9.832659195263164520e+01,1.641761003365886040e+00
4.176835367073414851e-01,1.391580073009914429e+02,9.834353652681463132e+01,1.197573685013663791e+00
4.192838567713542686e-01,1.391595800430295071e+02,9.836027228181232829e+01,7.708460104264514001e-01
4.208841768353670520e-01,1.391604835618595359e+02,9.837679767156318178e+01,3.611196566582588474e-01
4.224844968993798910e-01,1.391607447103934305e+02,9.839311123109735036e+01,-3.206179485070048685e-02
4.240848169633926745e-01,1.391603896102755868e+02,9.840921157653664864e+01,-4.091522931863398327e-01
4.256851370274054580e-01,1.391594436518830946e+02,9.842509740509460414e+01,-7.706027898597502812e-01
4.272854570914182970e-01,1.391579314943255952e+02,9.844076749507644308e+01,-1.116860746860426801e+00
4.288857771554310805e-01,1.391558770654452815e+02,9.845622070587903352e+01,-1.448369679956540423e+00
4.304860972194438640e-01,1.391533035693188083e+02,9.847145597643647363e+01,-1.765568744255778810e+00
4.320864172834567030e-01,1.391502340453346847e+02,9.848647219016311283e+01,-2.068892955840099468e+00
4.336867373474694864e-01,1.391466903845011700e+02,9.850126833616150179e+01,-2.358771823165390913e+00
4.352870574114823254e-01,1.391426934209102626e+02,9.851584353812764050e+01,-2.635629079441106803e+00
4.368873774754951089e-01,1.391382634072057556e+02,9.853019696763421109e+01,-2.899882881650254873e+00
4.384876975395078924e-01,1.391334200145832654e+02,9.854432784413053525e+01,-3.151945541860455613e+00
4.400880176035207314e-01,1.391281823327902600e+02,9.855823543494265948e+01,-3.392223286238626123e+00
4.416883376675335149e-01,1.391225688701258889e+02,9.857191905527328402e+01,-3.621116040544872128e+00
4.432886577315462984e-01,1.391165975534412667e+02,9.858537806820180549e+01,-3.839017240873069170e+00
4.448889777955591374e-01,1.391102857281391891e+02,9.859861188468427429e+01,-4.046313668404099673e+00
4.464892978595719208e-01,1.391036501581743323e+02,9.861161996355345138e+01,-4.243385306941241275e+00
4.480896179235847043e-01,1.390967070260531386e+02,9.862440181151875151e+01,-4.430605222005860711e+00
4.496899379875975433e-01,1.390894719328339022e+02,9.863695698316628580e+01,-4.608339460282945943e+00
4.512902580516103268e-01,1.390819598981267120e+02,9.864928508095881909e+01,-4.776946968223546364e+00
4.528905781156231103e-01,1.390741853600934235e+02,9.866138575523581267e+01,-4.936779528630778735e+00
4.544908981796359493e-01,1.390661621754477437e+02,9.867325870421342415e+01,-5.088181714079453855e+00
4.560912182436487328e-01,1.390579036194552032e+02,9.868490367398445073e+01,-5.231490856045319049e+00
4.576915383076615162e-01,1.390494223859330987e+02,9.869632045851840019e+01,-5.367037028649527031e+00
4.592918583716743552e-01,1.390407305872505219e+02,9.870750889966144825e+01,-5.495143045953373218e+00
4.608921784356871387e-01,1.390318397543284448e+02,9.871846888713645285e+01,-5.616124471773250804e+00
4.624924984996999222e-01,1.390227608366396055e+02,9.872920035854295406e+01,-5.730289641017840552e+00
