s1,s2,p_eq,p_eq_noisy
6.991231067831748559e-03,9.078817473604031130e-02,3.510096525093303055e-01,3.531807868913280357e-01
6.884633619827715267e-02,3.531005935049196659e-02,2.434869951405324862e-01,2.398249866838439992e-01
2.058323290006155645e-02,3.948380122963797423e-02,2.532694744120928543e-01,2.512180258344666184e-01
6.397874984470129645e-02,5.288612228228666695e-02,2.764265050280709235e-01,2.724415073909468576e-01
1.967800864106880945e-02,2.441018101868805412e-02,2.277811202915659416e-01,2.298077379264714393e-01
3.357301482020094707e-02,1.856978452181990563e-02,2.105375483586975627e-01,2.117582374028779413e-01
6.623138247108847909e-02,3.427453780644798553e-02,2.413524162531981432e-01,2.426168330350554903e-01
6.285653823703124532e-02,2.001095504637952216e-02,2.075225650392634180e-01,2.029412874931601773e-01
7.744075158984782548e-02,6.733731612907863096e-02,2.987587701898711812e-01,2.979923935776530586e-01
6.156584001779194515e-02,3.149181537031713052e-02,2.354038516841630568e-01,2.299280336363028199e-01
2.437414016444965775e-02,6.453338533818912988e-03,2.015841869815698517e-01,1.995883982258998546e-01
8.986949237126268253e-02,9.433338366153214832e-03,1.679613056322812326e-01,1.689014940413090526e-01
2.948703541292998359e-02,2.948355797359855299e-02,2.330188280479789653e-01,2.335654558285527316e-01
6.236410868708439775e-02,2.357714535079047380e-02,2.167187792765082610e-01,2.241917764526429879e-01
3.001788946709087885e-02,1.679016814674059305e-02,2.089070896438644798e-01,2.096979291804774437e-01
2.368786615223762021e-02,6.206384075534615574e-02,2.926286402413117993e-01,2.912986702707274778e-01
7.013122306559964325e-02,4.467679990608525858e-02,2.622595920467422625e-01,2.583051190140178144e-01
4.541111479733569295e-02,9.164175852888985230e-02,3.324912075551015866e-01,3.349459693100204638e-01
2.086276826397660822e-02,8.037997880757931368e-02,3.244914720115908979e-01,3.220266476286525736e-01
4.836590922889344446e-02,9.648667166454785726e-02,3.380859929639237205e-01,3.444539736923271089e-01
7.484954869740498284e-02,2.739734888621602263e-02,2.246247853601365252e-01,2.137041314127026970e-01
1.150985762951862654e-02,9.512782375679368352e-02,3.551644444026901826e-01,3.515446045585548518e-01
8.522715798895186268e-02,6.089849599312359418e-02,2.895916497934770129e-01,2.830734336428117892e-01
7.481114013762533987e-02,8.140090330601575108e-02,3.165003440501503729e-01,3.099318000277906382e-01
2.944113587821207620e-02,2.381033798761472350e-02,2.222302753121780106e-01,2.216121747986487533e-01
8.251297063582078983e-02,8.857820361893310734e-02,3.246358028697767240e-01,3.217848606373829856e-01
7.861605633428118967e-02,9.188339805111839231e-02,3.282602437169742093e-01,3.264368462188536046e-01
8.610517262353875600e-02,7.719881620781096632e-02,3.116796749573825798e-01,3.148816907706248891e-01
8.489527785760737910e-02,1.248537835527482702e-02,1.798461663119235721e-01,1.864801868540401364e-01
1.308529200429634984e-02,9.423503550927052330e-02,3.524711371109250369e-01,3.451320143396539031e-01
7.642682613167627037e-02,5.634967768551119027e-02,2.825068156251841489e-01,2.824069873815739373e-01
6.696371576623405542e-02,1.722837103623967719e-02,1.992097382173041442e-01,1.971082325639753607e-01
7.092141971323440153e-02,1.555246061044009837e-02,1.935015531337386518e-01,1.898428113133970307e-01
1.924883104345483098e-02,3.026000709643255140e-02,2.374952752516268639e-01,2.395977139937564837e-01
2.727217367345391094e-02,9.357624220948160265e-02,3.425609816834241927e-01,3.370771392072690054e-01
9.257070462896989024e-03,4.639917281030948859e-02,2.692905592148472915e-01,2.649963077319368310e-01
8.027147594980027501e-02,2.809827066022718006e-02,2.254533582056693075e-01,2.204098291723888547e-01
7.093377154222323122e-02,5.162260452543208922e-02,2.746221501014836641e-01,2.776077427011679477e-01
8.090089565903187119e-02,6.635478996399143958e-02,2.974951142846618546e-01,2.987328835564102558e-01
9.101559499901210049e-02,5.529010489034612980e-02,2.803434812388921893e-01,2.776228977897539640e-01
3.475472836482637606e-02,8.715893220507545114e-02,3.295208449764084335e-01,3.323482431918777236e-01
1.428107647703088026e-02,2.379932446440297111e-02,2.310339228748425622e-01,2.272743477636584575e-01
4.641198583192527455e-02,9.757688711916376323e-02,3.401486582819361337e-01,3.357457377098114204e-01
8.789397984469032865e-02,7.105317446675257775e-02,3.039352309289321541e-01,3.107060714184373684e-01
6.828953523063636954e-02,7.518182162648691380e-02,3.087897519532704083e-01,3.116441359640095832e-01
7.766172207855882859e-02,1.914398547504618867e-02,2.021237735078479369e-01,2.030688723234173043e-01
7.258231163185036028e-02,4.701211306090014030e-02,2.665749364389422005e-01,2.750732478056036601e-01
6.414072278648638714e-03,1.466937437121903359e-02,2.420131561584185076e-01,2.434675520139218119e-01
7.946825919120105441e-02,4.432531515325611321e-02,2.613617690108193670e-01,2.599806050184957362e-01
5.051684568857610358e-02,6.395428513409660842e-02,2.930341187105918732e-01,2.855080918386675992e-01
8.735279450359384468e-02,7.396263892732576894e-02,3.076873383961315489e-01,3.004463291643499900e-01
7.298011046117077252e-03,7.811115892959576493e-03,2.532545461896235639e-01,2.522760362333576478e-01
4.005470974646159477e-02,6.006503881302861086e-02,2.871777213566525933e-01,2.902559139255656007e-01
6.848005233972571937e-02,7.624898264606921883e-02,3.101460341713341839e-01,3.120916050764903638e-01
2.976645783700592601e-02,1.716946684641693088e-02,2.097405963383334182e-01,2.101061741392415694e-01
6.662904043325341974e-02,7.672122977597396754e-02,3.107262402278324065e-01,3.093647872062930126e-01
3.200376792017611133e-02,4.310486539220213797e-02,2.583295667421378616e-01,2.571461603271010810e-01
9.395203185297265613e-02,8.159794449737252375e-02,3.169317280626622324e-01,3.213274961038120603e-01
6.993092153836447111e-02,5.194718439630336554e-02,2.751369961148478205e-01,2.801302775096002895e-01
4.231190749975363014e-02,4.171224439347274299e-02,2.556715981174486063e-01,2.567237979976755846e-01
3.076588851408674358e-02,3.653159885988248312e-02,2.462264581860769963e-01,2.465730969084947433e-01
1.123193108124730978e-02,1.380961176788223291e-02,2.298686795780922887e-01,2.334221799912150896e-01
5.617149139017120485e-02,4.479458772845761050e-02,2.619764638404341039e-01,2.645532019799010648e-01
4.771443562001865396e-02,4.189577078446944658e-02,2.562027942905542588e-01,2.589457288229061738e-01
1.320727877102668979e-02,8.895562395936472064e-03,2.279972792063583720e-01,2.300175372163167642e-01
7.264897539033979279e-02,4.770093180657444809e-02,2.678197645421628303e-01,2.653788134557342193e-01
5.687662779319270501e-02,2.465000886221706961e-02,2.198909006292217860e-01,2.266247393991781267e-01
2.662778185871302050e-02,1.377600248646991543e-02,2.064431923675431046e-01,1.993618042151217573e-01
1.729594030265915391e-02,8.726134225732919136e-02,3.378857064124388132e-01,3.377571297732314126e-01
9.306450692181753026e-02,7.471083681953477607e-02,3.086265114935002885e-01,3.108275484639200781e-01
3.743799588187640692e-02,7.656909034999538621e-02,3.129718489696937667e-01,3.214744083364999838e-01
2.850460960888040116e-02,5.336528762327121672e-02,2.768209579154624622e-01,2.845057557784245184e-01
6.283797616370423444e-02,8.613799587642813338e-02,3.224795302190094914e-01,3.176117704169111322e-01
2.633065817038052897e-02,8.813741673233395357e-02,3.345171437946571347e-01,3.388513443435287043e-01
4.289056383668916200e-02,7.666680624172106384e-02,3.121248002846240821e-01,3.104657834421848395e-01
5.643533220682869778e-02,3.950662602030903525e-02,2.520321420814439217e-01,2.489065076600001369e-01
3.593082113855047832e-02,4.818002709468763994e-02,2.672982896030018374e-01,2.726923218616874034e-01
5.825494022634333108e-02,3.195583733274701826e-02,2.365014672327012124e-01,2.401562821926579161e-01
9.371976614204735601e-02,7.266049610708194550e-02,3.059850417261125721e-01,3.017101617737917296e-01
2.075936203569482552e-02,2.059978469374574780e-02,2.213343198460582528e-01,2.183915474735437234e-01
2.699995891475226797e-02,2.403580505784954149e-02,2.235249670945368972e-01,2.192824728903123022e-01
5.293010774363427623e-02,8.804323943562052113e-02,3.260453320742477956e-01,3.257721816758071265e-01
9.289136994319469043e-02,3.778699031461195401e-02,2.458612737104060031e-01,2.417195138747721406e-01
1.726234731494053626e-02,9.715307351121309221e-02,3.544082114701554986e-01,3.541633160336747910e-01
6.455279127857267707e-02,2.953319368351881025e-02,2.308287611537174489e-01,2.310128562278856990e-01
7.685768599589398731e-02,1.219196882027452980e-02,1.816547867278695827e-01,1.811139622726387066e-01
3.745598146708447457e-02,2.880183477314538984e-02,2.305217626266160835e-01,2.314680971263652631e-01
8.353724172597813691e-02,4.589794074635052817e-02,2.640972243716614432e-01,2.682368143242882530e-01
8.948494408871900119e-02,8.401498412635505925e-03,1.646335586386942496e-01,1.624193427173467319e-01
9.217644586905889004e-02,2.646095560748480333e-02,2.182994361479083933e-01,2.166545179288119627e-01
9.313050591482592566e-02,8.395022796118317698e-02,3.196043260014106435e-01,3.183653911592589925e-01
4.238204084736941352e-02,2.839912192814079278e-02,2.292837496663607810e-01,2.288286280692516383e-01
2.408006497535951362e-02,1.693736677653645897e-02,2.133474682176216275e-01,2.171615748116214883e-01
6.670639288305513226e-02,6.295084774326077659e-02,2.921271359644110333e-01,2.932115577407859441e-01
1.111485055186479942e-02,9.066659645388419619e-02,3.477352522908763177e-01,3.525213352232688391e-01
5.401908318801978276e-02,1.231602551268837567e-02,1.889129890823264823e-01,1.922540313014374780e-01
5.047008018978544480e-02,9.778497671501473754e-02,3.391460928332193925e-01,3.449747328818310033e-01
3.371906850002934219e-02,8.484385498200668063e-02,3.264206936664755254e-01,3.302540682142817152e-01
2.348776144543451849e-02,9.858815993622423168e-02,3.526003628186273331e-01,3.478159914452922385e-01
8.182994928997207318e-02,2.965060243917061120e-02,2.290104160578329551e-01,2.410679950499514113e-01
9.479865753481872548e-02,3.487386441269896276e-02,2.386826341255031403e-01,2.375855684994641059e-01
7.525061118663109450e-02,2.018876896079326022e-02,2.056289900038750229e-01,2.095449893580127176e-01
9.588561867598006938e-02,1.895028698171432463e-02,1.958031578433014896e-01,1.989729880784463223e-01
9.661003077141565309e-02,1.296380897371000526e-02,1.768608434274661356e-01,1.813786394710878436e-01
2.180009861583843966e-02,5.978328854482439780e-02,2.891424643717424026e-01,2.863189867478243000e-01
2.686962062088274136e-02,7.773917086008123867e-02,3.177331530866837062e-01,3.172445531874938385e-01
8.258637119883564803e-02,2.597119573718567956e-02,2.195392152468821356e-01,2.244699189253871463e-01
1.775368964332125002e-02,6.126076689595404828e-02,2.928617023832321142e-01,2.954752847908944657e-01
9.542674393633233942e-02,5.514770588890668263e-02,2.796446242012227135e-01,2.754721702435294906e-01
3.295921369483956892e-02,8.895087875124347426e-03,1.926853542361359473e-01,1.920209734938209400e-01
7.417392460244746910e-02,8.917270109636159237e-02,3.254261279763396297e-01,3.314009456553373978e-01
1.898152190015578791e-02,5.821483287571469628e-02,2.871218860630567193e-01,2.810830661531418251e-01
3.448074827185459990e-02,1.879201149261206308e-02,2.106255200072755240e-01,1.967747391242844757e-01
9.494333809505844934e-02,3.736810997937402290e-02,2.444307264177706385e-01,2.404114748623940589e-01
2.528656751135269568e-02,7.910826010469194924e-02,3.205272473135688527e-01,3.213505558380974070e-01
2.631413182715600096e-02,7.827927147839372490e-02,3.188014416282327623e-01,3.185959371334206036e-01
6.694623750708693366e-02,9.536022410567647489e-02,3.329047237394170411e-01,3.251362893780310737e-01
6.115548906550808544e-03,5.293948056174222622e-02,2.824211351697754058e-01,2.820886891272956776e-01
6.202735976235603660e-02,7.513497313683037415e-02,3.086848550019213322e-01,3.122665501443535607e-01
2.920206843733292451e-02,5.487050637037031026e-02,2.793428058715772822e-01,2.846477770039351207e-01
9.884702888238093565e-02,7.315002597100400683e-02,3.064462882199820992e-01,2.990991811145091162e-01
2.806821023014321320e-02,8.255235183504330831e-02,3.249558489908161985e-01,3.213393535694504810e-01
6.195223865698608334e-02,4.131005164156723725e-02,2.557140134780600538e-01,2.486669301463717008e-01
1.054524986798451892e-02,1.807048721558065368e-02,2.312167717113647603e-01,2.323740663185714650e-01
9.812344057056583690e-02,3.844875034362694316e-02,2.460621262077735960e-01,2.484324264095376933e-01
5.419182559987201220e-02,3.191796983083099171e-02,2.364634370067130453e-01,2.379287273242630951e-01
9.419312445962636782e-02,3.753597383817700722e-02,2.449938602837419543e-01,2.474352078149303913e-01
9.168060273205942690e-02,5.839761568186674356e-02,2.854119663897528025e-01,2.793922733147676252e-01
1.025417435034766539e-02,8.100767627363864021e-02,3.313066103176570687e-01,3.319136535185949199e-01
2.513047667412300276e-02,4.403806777068716011e-02,2.606665756580645033e-01,2.576536806194900664e-01
1.793435434673418261e-02,6.516146250942646267e-02,2.996597735362783732e-01,2.997898502627387995e-01
1.347376217362094425e-02,5.689336519577875562e-02,2.864950223837299248e-01,2.813909539734740783e-01
7.662938068871799624e-02,3.163119604939687579e-02,2.345824972037243994e-01,2.291177070563381046e-01
5.944063978940427456e-02,5.887367269731465583e-03,1.684736499707993607e-01,1.704636577813002651e-01
4.630552872905414202e-02,2.592877489748624323e-02,2.236627424645876716e-01,2.214510315331448265e-01
5.924543449158544556e-02,3.921546484677953387e-02,2.515533046215408519e-01,2.500049518879614574e-01
6.961076226231627251e-02,7.374757260520399538e-02,3.069809836904786038e-01,3.048357378503689374e-01
1.293154745117542498e-02,5.953692104206854269e-02,2.914600819377092811e-01,2.929378309152104176e-01
3.681072245696376949e-02,2.099297898869947887e-02,2.144284007290516991e-01,2.233618948194039389e-01
8.061562595805193965e-02,4.093720509693048876e-02,2.545374267396997570e-01,2.503118021922621783e-01
6.130003584471036687e-02,5.794715113642263243e-02,2.843439816562820521e-01,2.760650668243666561e-01
2.231137259179818977e-02,4.342307620248386096e-02,2.600087172843889016e-01,2.540725314570168036e-01
1.501910431023941936e-02,6.570066230967111509e-02,3.016888351564312454e-01,3.019214756784724951e-01
1.342229308456254280e-02,1.806460482748739604e-02,2.265600714761127066e-01,2.239283260457254898e-01
4.124451908777496817e-02,1.094127533047472428e-02,1.907140171117424343e-01,1.821665861909014528e-01
5.574188558692015627e-02,5.813647582158210786e-02,2.843395591035480785e-01,2.809405768838197925e-01
1.652476969176342250e-02,3.076110459432601640e-02,2.395761497135140694e-01,2.374203715494996869e-01
1.311186855422284692e-02,9.614798063406843065e-02,3.557105165590914719e-01,3.625984885267898306e-01
5.608584677777285477e-02,8.110018191723561420e-02,3.166760501503748659e-01,3.154276688811199492e-01
7.616332055958018044e-02,7.613076648395547541e-02,3.101551160220213377e-01,3.117892209558482675e-01
1.841957773047949928e-02,5.914109820664546074e-02,2.889168041229090433e-01,2.924139391381574415e-01
6.635258620764808435e-02,7.287395203971402946e-02,3.057709430910707238e-01,3.037301723114168572e-01
3.342540763248550567e-02,1.858028040609887785e-02,2.106192508838885813e-01,2.143735560731507839e-01
8.082984192333704521e-02,1.458675706268907843e-02,1.877840566853449522e-01,1.848999113537333205e-01
7.219533832084955305e-02,1.979159182478064383e-02,2.051982558107731947e-01,2.018299005369332266e-01
8.678722017833631966e-03,9.030686079420507939e-02,3.488771434411829242e-01,3.537811753732165165e-01
1.184402557921022253e-02,2.124144650387489036e-02,2.310563294144061808e-01,2.353929701435243937e-01
1.548400122794737002e-02,5.253573079985698197e-02,2.779962539105510499e-01,2.724580954742079619e-01
3.974871745635797510e-02,6.276699819141919046e-02,2.914920720416129818e-01,2.916729751694906447e-01
5.914246001010486226e-02,1.849616998084199770e-02,2.041799475018176713e-01,2.064836836726187674e-01
1.815470484119501363e-02,8.137549445249434021e-02,3.274785734527969061e-01,3.300859649608825497e-01
7.816498345758672583e-02,6.450327230377451981e-02,2.948232227536487504e-01,2.945518371258163404e-01
4.383688548554906528e-02,5.530406977881537067e-02,2.794162947369102645e-01,2.792451147912268783e-01
6.541981117032823201e-02,1.363389336403788080e-02,1.893662686476358936e-01,1.919259195601609735e-01
5.260184281099728777e-03,6.049886888107095656e-02,2.966897713815372928e-01,3.036173170748228123e-01
1.078640396314041461e-02,2.784983519404220231e-02,2.391652419268136542e-01,2.384281171669648536e-01
3.470916505010201297e-02,5.160426899045812005e-02,2.733004773558784795e-01,2.754119367822696063e-01
5.558576282821487552e-02,2.676378426859088444e-02,2.249505603152141264e-01,2.211094893909206494e-01
6.920677136258752624e-03,3.918316156752449375e-02,2.582891771673597736e-01,2.572094979401534642e-01
5.168917024315727859e-02,7.350128594646553049e-02,3.067570932621087043e-01,3.061443784124067147e-01
8.983271189396324630e-02,3.647632896877421593e-02,2.435615311994397680e-01,2.440849370660373163e-01
8.913941917086605493e-02,1.826644197476197384e-02,1.961847347148099607e-01,1.959855314761355938e-01
3.031684826477321765e-02,1.668458681295598503e-02,2.085389304850154557e-01,2.102352992485902461e-01
8.831337321132377849e-02,4.158571588072033920e-02,2.549403208284299893e-01,2.556387785619927966e-01
1.899230482350795432e-02,6.311901618272552916e-03,2.135818241015549901e-01,2.073912824816782630e-01
1.824463383034486200e-02,8.037037166596168458e-02,3.257306619186267627e-01,3.198675001952485664e-01
4.937088370795130604e-02,1.017670763308088991e-02,1.849448764806682077e-01,1.877569279603446273e-01
5.248815633814645637e-02,3.312251258047923391e-02,2.390193547569421650e-01,2.454460042830850230e-01
3.500763587664455084e-02,5.144553926655955067e-02,2.730148831472868354e-01,2.718412299991166403e-01
3.571901196123214439e-02,7.260547740290315688e-02,3.072905285410991727e-01,3.124502452735338220e-01
8.196369427875728475e-02,1.237370571231995002e-02,1.805209991311541584e-01,1.796572021770029004e-01
9.653590313101037546e-02,1.521302168603392083e-02,1.840783230239236845e-01,1.795346720298209853e-01
7.821139549893901810e-02,8.685008937346393176e-02,3.227574079990837563e-01,3.183253371871195836e-01
1.291150414855655321e-02,4.901729430441584268e-02,2.725142676409841314e-01,2.646027502092059835e-01
5.975299771601889909e-03,5.029747843354644143e-02,2.777419743413820918e-01,2.802133240037275042e-01
4.600112176212081683e-02,6.125110402578576307e-02,2.889149167591541500e-01,2.894915832913992904e-01
4.902805135776724249e-02,5.351283993490454916e-03,1.725036818948011974e-01,1.785534505617488443e-01
7.527107037811572865e-02,2.702695459361985700e-02,2.236368054590384402e-01,2.248699697059238500e-01
3.167414111884682415e-02,5.542745503602299756e-02,2.800427526958906843e-01,2.786167659329996105e-01
6.208907964791625551e-03,1.938976939227055746e-02,2.396939637919498767e-01,2.381903154908864007e-01
3.876608059285861774e-02,4.622348442388601875e-02,2.638138522836148137e-01,2.446396589599245663e-01
7.745690654173240097e-02,4.417826742944111484e-02,2.611822144305966931e-01,2.650684438690287248e-01
4.427561992930793833e-02,9.981737811768941204e-02,3.439187212870676302e-01,3.360874332431383338e-01
8.298919457557300816e-02,7.086223555199458457e-02,3.036297617996023823e-01,3.083845237213191370e-01
8.810697682176173162e-02,6.623813794316371628e-02,2.973693996407687501e-01,2.975749842931708633e-01
9.888415694822581814e-02,2.551282673910261825e-02,2.134991075919757952e-01,2.132432708387233256e-01
1.617542313354188369e-02,8.279184422352689476e-03,2.200436264713651613e-01,2.179393815972013593e-01
5.091156685532393505e-02,2.631580334931379536e-02,2.242071670972783093e-01,2.168429272318006529e-01
6.413089462594162571e-02,1.611063582746407805e-02,1.967221297673916458e-01,1.972758506698452374e-01
8.002848252012058350e-02,9.674034759092990654e-02,3.333299104624723452e-01,3.359030336136388795e-01
9.726433079493528033e-02,6.191699903764976559e-02,2.905094205993026257e-01,2.910361495354856776e-01
9.724000426721922385e-02,5.019225747112016772e-02,2.704811653037849095e-01,2.688832167245306937e-01
4.095609716831686425e-02,7.638195512705972523e-02,3.120247375601928885e-01,3.120219189190738263e-01
2.913885806078597013e-02,8.675031410361401518e-02,3.310864907700945547e-01,3.325010116986167885e-01
5.736533227936909535e-02,5.016756352878752601e-02,2.714932043661239525e-01,2.743504581015807631e-01
2.857534622308919095e-02,5.372919322267469093e-03,1.933840611806173782e-01,1.894825736852353282e-01
3.078354856548076030e-02,2.918660136083107981e-02,2.322032162879379691e-01,2.400273478619067147e-01
5.991185808912204841e-02,3.784002463009539241e-02,2.488288767877087915e-01,2.467252455532232269e-01
8.966125319466801413e-02,7.231595667850328202e-02,3.055854195537104911e-01,3.078765822591948420e-01
6.856218557985710449e-03,8.922243086350556407e-02,3.483163063684852623e-01,3.569940809664347570e-01
7.626145070248736835e-02,4.056869340010484104e-02,2.541096400654581089e-01,2.483814880618059606e-01
8.258973500438200610e-02,5.041805622398302933e-02,2.724739466496914897e-01,2.779844570678509097e-01
4.466167569476939270e-02,3.379728932899123128e-02,2.403787395311018926e-01,2.348434300359610039e-01
3.640058357230194913e-02,4.823522811163865470e-02,2.673870654721072215e-01,2.679210853869467002e-01
1.308727147114931155e-02,5.947937143965306012e-02,2.912971858442631179e-01,2.929655893950647849e-01
3.200407780311360223e-02,5.967494803308760754e-02,2.871552588298809661e-01,2.846303872930393553e-01
2.093334484911590909e-02,9.312274842509606076e-02,3.454138706251892454e-01,3.497456747265580423e-01
5.988455634724274002e-02,1.346179648249315117e-02,1.903607349289443695e-01,1.940316475124143902e-01
9.261809439417588441e-02,2.386677820519525137e-02,2.111149202868627672e-01,2.160783633097663192e-01
2.574975973578296287e-02,7.204729368196807759e-02,3.088408768244050862e-01,3.036732229400277983e-01
2.437017960639184175e-02,5.221231440371763843e-02,2.753737339920194205e-01,2.718637603126912161e-01
5.372536013950122979e-02,6.721194378443694217e-02,2.978243215656505849e-01,3.013367450835017225e-01
8.615030082355243368e-03,2.304677033511942294e-02,2.367353811567428912e-01,2.353013454468570742e-01
4.333622499814412943e-02,4.698002769034089615e-02,2.652440359983062046e-01,2.690686726059307587e-01
5.883257687946465142e-02,4.895383922016850048e-02,2.695006798428046801e-01,2.597183264246433199e-01
4.470954895199539397e-02,3.635283836048676387e-02,2.454799480567492476e-01,2.547249040534750320e-01
5.052998651326665036e-02,4.098187302245336061e-02,2.546131810528509121e-01,2.494317859092398948e-01
7.222955507367591343e-02,1.715775462283013197e-02,1.978021206151571176e-01,1.985015490793219095e-01
1.035836304727073658e-02,7.840252534286583364e-02,3.265972510199669498e-01,3.212929926357697141e-01
5.193792450633961943e-02,8.834087923391335806e-02,3.266049963966346503e-01,3.166618537591615046e-01
6.703581173942665949e-02,5.170259651963751701e-02,2.746120442329749722e-01,2.781629117980404797e-01
4.717061931523789525e-02,6.051336274497382678e-02,2.877681865490380742e-01,2.788659691449024702e-01
6.305931661987262959e-02,8.462286775738314670e-02,3.206195592168064601e-01,3.289225206872775087e-01
6.363828254341398483e-02,6.838215972846899138e-02,2.996658591224469759e-01,2.944986377981991810e-01
6.172406903598553346e-02,8.566090696272964100e-02,3.219824611531698633e-01,3.257282288424483419e-01
2.992997459522712608e-02,9.482635488458346362e-02,3.431146870165619478e-01,3.371912135600984017e-01
5.153597874345836050e-02,9.505520215224633196e-02,3.353503077033490043e-01,3.356393090070045049e-01
2.697551439826123901e-02,2.933385753151022957e-02,2.332969105038264768e-01,2.322509872796300889e-01
3.605421440982066461e-02,8.392821666902861022e-02,3.242960957229095720e-01,3.224719798656196512e-01
1.475807142902524349e-02,8.445465209719914268e-02,3.346073665568271016e-01,3.305148626162348613e-01
6.332019696766405525e-02,4.350738795536675946e-02,2.599304594646738575e-01,2.557561285783180316e-01
3.210841193023210305e-02,7.264840364272959206e-02,3.081139659136117870e-01,3.119328928461570505e-01
5.916832364662874544e-02,5.894866906420721808e-02,2.857688248093891992e-01,2.878095024365815990e-01
3.775336004156694403e-02,9.890273963473260321e-02,3.453749964980296627e-01,3.540406967731291599e-01
1.732602952669825419e-02,3.895814175017577041e-02,2.532229890547893492e-01,2.460464823833557191e-01
4.316298679274354483e-02,9.891799778527184117e-02,3.431281749668099734e-01,3.429563712482272542e-01
5.952268811687533301e-02,1.755599850182019972e-02,2.016255951403198021e-01,2.075664303630347374e-01
