s,P_fix,P_fix_noisy
5.235047009401880835e-01,2.249069420627751725e-01,2.198440254796320270e-01
5.240048009601920853e-01,2.250688939684203638e-01,2.310063746862786038e-01
5.245049009801960871e-01,2.252307614689142423e-01,2.341424310117375396e-01
5.250050010002000889e-01,2.253925445868542321e-01,2.286010276325198820e-01
5.255051010202040906e-01,2.255542433448174955e-01,2.173719410709144262e-01
5.260052010402080924e-01,2.257158577653616827e-01,2.330323806032160994e-01
5.265053010602120942e-01,2.258773878710240712e-01,2.208629876863535402e-01
5.270054010802160960e-01,2.260388336843222878e-01,2.348304398672021454e-01
5.275055011002200978e-01,2.262001952277543637e-01,2.154823210589799087e-01
5.280056011202240995e-01,2.263614725238004277e-01,2.355061445550882260e-01
5.285057011402281013e-01,2.265226655949204582e-01,2.263220310487656650e-01
5.290058011602321031e-01,2.266837744635558649e-01,2.141962855602116966e-01
5.295059011802359938e-01,2.268447991521304330e-01,2.237058044324619632e-01
5.300060012002399956e-01,2.270057396830481300e-01,2.275467624707635805e-01
5.305061012202439974e-01,2.271665960786957428e-01,2.298945094703402914e-01
5.310062012402479992e-01,2.273273683614429885e-01,2.175054871120332134e-01
5.315063012602520010e-01,2.274880565536408772e-01,2.164143260819889614e-01
5.320064012802560027e-01,2.276486606776231825e-01,2.296445060060939847e-01
5.325065013002600045e-01,2.278091807557067749e-01,2.231416845869087506e-01
5.330066013202640063e-01,2.279696168101910947e-01,2.303246729274933402e-01
5.335067013402680081e-01,2.281299688633597333e-01,2.357251640881435351e-01
5.340068013602720098e-01,2.282902369374780471e-01,2.118023632739685636e-01
5.345069013802760116e-01,2.284504210547977088e-01,2.309943022199738849e-01
5.350070014002800134e-01,2.286105212375520723e-01,2.408569909129094078e-01
5.355071014202840152e-01,2.287705375079590597e-01,2.257952690642543170e-01
5.360072014402880169e-01,2.289304698882213829e-01,2.208223240558456757e-01
5.365073014602920187e-01,2.290903184005263771e-01,2.366127566723223163e-01
5.370074014802960205e-01,2.292500830670454737e-01,2.317845482291268910e-01
5.375075015003000223e-01,2.294097639099348385e-01,2.383685946177104276e-01
5.380076015203040241e-01,2.295693609513373978e-01,2.261172038508245941e-01
5.385077015403080258e-01,2.297288742133798134e-01,2.149106914761577114e-01
5.390078015603120276e-01,2.298883037181748690e-01,2.287881960710623497e-01
5.395079015803160294e-01,2.300476494878213041e-01,2.255893679577089805e-01
5.400080016003200312e-01,2.302069115444033975e-01,2.379601497648791419e-01
5.405081016203240329e-01,2.303660899099924941e-01,2.323024183937640319e-01
5.410082016403280347e-01,2.305251846066452837e-01,2.142166922822942854e-01
5.415083016603320365e-01,2.306841956564056884e-01,2.187325648553736790e-01
5.420084016803360383e-01,2.308431230813043633e-01,2.396810134471769049e-01
5.425085017003400401e-01,2.310019669033587519e-01,2.377996170775372176e-01
5.430086017203440418e-01,2.311607271445738632e-01,2.247582934854889802e-01
5.435087017403480436e-01,2.313194038269420216e-01,2.313089158612692264e-01
5.440088017603520454e-01,2.314779969724430342e-01,2.359337325102048855e-01
5.445089017803560472e-01,2.316365066030441622e-01,2.363205499615169403e-01
5.450090018003600489e-01,2.317949327407016480e-01,2.405573547018451386e-01
5.455091018203640507e-01,2.319532754073594938e-01,2.345181316795751092e-01
5.460092018403680525e-01,2.321115346249492117e-01,2.311632512352642388e-01
5.465093018603720543e-01,2.322697104153925718e-01,2.296812297675141223e-01
5.470094018803760560e-01,2.324278028005991592e-01,2.429852308059316790e-01
5.475095019003800578e-01,2.325858118024670962e-01,2.100772690516817254e-01
5.480096019203840596e-01,2.327437374428851513e-01,2.313571841919717653e-01
5.485097019403880614e-01,2.329015797437304913e-01,2.332315807835710908e-01
5.490098019603920632e-01,2.330593387268699579e-01,2.188058491181680831e-01
5.495099019803960649e-01,2.332170144141600954e-01,2.365451505455405667e-01
5.500100020004000667e-01,2.333746068274474561e-01,2.268617967030135130e-01
5.505101020204040685e-01,2.335321159885693221e-01,2.421565639517267998e-01
5.510102020404080703e-01,2.336895419193529000e-01,2.324336210790096391e-01
5.515103020604120720e-01,2.338468846416157654e-01,2.405384170495102891e-01
5.520104020804160738e-01,2.340041441771668063e-01,2.461925802288790488e-01
5.525105021004200756e-01,2.341613205478048632e-01,2.379906163749395953e-01
5.530106021204240774e-01,2.343184137753210328e-01,2.255612023410925870e-01
5.535107021404280792e-01,2.344754238814967251e-01,2.193322375644503330e-01
5.540108021604320809e-01,2.346323508881054398e-01,2.521661920632691789e-01
5.545109021804360827e-01,2.347891948169122112e-01,2.336762728850370063e-01
5.550110022004400845e-01,2.349459556896740520e-01,2.280603062133308434e-01
5.555111022204440863e-01,2.351026335281394264e-01,2.365452044087476835e-01
5.560112022404480880e-01,2.352592283540503038e-01,2.333451150492238113e-01
5.565113022604520898e-01,2.354157401891396328e-01,2.439371628312665130e-01
5.570114022804560916e-01,2.355721690551338676e-01,2.359114508795048804e-01
5.575115023004600934e-01,2.357285149737516627e-01,2.358660108099358554e-01
5.580116023204640952e-01,2.358847779667048727e-01,2.287389807563752209e-01
5.585117023404680969e-01,2.360409580556993570e-01,2.407366390431742997e-01
5.590118023604720987e-01,2.361970552624326758e-01,2.258583880388828624e-01
5.595119023804761005e-01,2.363530696085964777e-01,2.430119640062361475e-01
5.600120024004801023e-01,2.365090011158771655e-01,2.517483762457785046e-01
5.605121024204841040e-01,2.366648498059535921e-01,2.214179894249620750e-01
5.610122024404881058e-01,2.368206157004996704e-01,2.121583233869864804e-01
5.615123024604921076e-01,2.369762988211824295e-01,2.431450863727256384e-01
5.620124024804961094e-01,2.371318991896645967e-01,2.626108773444958411e-01
5.625125025005001111e-01,2.372874168276020435e-01,2.272781683388831186e-01
5.630126025205041129e-01,2.374428517566468666e-01,2.249358941686269708e-01
5.635127025405081147e-01,2.375982039984446681e-01,2.434878933362494002e-01
5.640128025605121165e-01,2.377534735746371086e-01,2.293462576740540326e-01
5.645129025805161183e-01,2.379086605068606863e-01,2.328484056674933189e-01
5.650130026005201200e-01,2.380637648167474030e-01,2.345825901499096200e-01
5.655131026205241218e-01,2.382187865259252357e-01,2.435388073888432314e-01
5.660132026405281236e-01,2.383737256560173046e-01,2.343207020420861042e-01
5.665133026605321254e-01,2.385285822286428437e-01,2.413074106294444410e-01
5.670134026805361271e-01,2.386833562654173957e-01,2.369180236764816538e-01
5.675135027005401289e-01,2.388380477879528674e-01,2.303913367514368316e-01
5.680136027205441307e-01,2.389926568178568356e-01,2.357943942404246152e-01
5.685137027405481325e-01,2.391471833767350175e-01,2.296431867250558201e-01
5.690138027605521343e-01,2.393016274861884118e-01,2.393667773448859004e-01
5.695139027805561360e-01,2.394559891678153529e-01,2.282173268921589837e-01
5.700140028005601378e-01,2.396102684432117047e-01,2.286813247502592628e-01
5.705141028205641396e-01,2.397644653339701393e-01,2.543340834870226885e-01
5.710142028405681414e-01,2.399185798616814691e-01,2.393867376586280571e-01
5.715143028605721431e-01,2.400726120479330650e-01,2.395335917932126246e-01
5.720144028805761449e-01,2.402265619143111874e-01,2.453419261134873741e-01
5.725145029005801467e-01,2.403804294823991827e-01,2.361718594569104657e-01
5.730146029205841485e-01,2.405342147737784264e-01,2.382488610989968447e-01
5.735147029405881502e-01,2.406879178100295724e-01,2.449394051633486669e-01
5.740148029605921520e-01,2.408415386127299995e-01,2.436656970351740170e-01
5.745149029805961538e-01,2.409950772034576971e-01,2.294021099341334025e-01
5.750150030006001556e-01,2.411485336037878235e-01,2.494819595704844406e-01
5.755151030206041574e-01,2.413019078352945934e-01,2.353975584024041723e-01
5.760152030406081591e-01,2.414551999195521104e-01,2.308944104164102618e-01
5.765153030606121609e-01,2.416084098781326461e-01,2.326036591781421303e-01
5.770154030806161627e-01,2.417615377326086390e-01,2.378560842890554139e-01
5.775155031006201645e-01,2.419145835045519444e-01,2.581875860507826248e-01
5.780156031206241662e-01,2.420675472155333074e-01,2.303121881663255099e-01
5.785157031406281680e-01,2.422204288871239730e-01,2.438211878124673937e-01
5.790158031606321698e-01,2.423732285408951026e-01,2.209949849599893157e-01
5.795159031806361716e-01,2.425259461984178577e-01,2.425102768669658848e-01
5.800160032006401734e-01,2.426785818812637607e-01,2.516742460560238426e-01
5.805161032206441751e-01,2.428311356110043340e-01,2.404645023903897727e-01
5.810162032406481769e-01,2.429836074092121267e-01,2.366900581703787199e-01
5.815163032606521787e-01,2.431359972974608263e-01,2.454511079380461980e-01
5.820164032806560694e-01,2.432883052973240645e-01,2.502898228088305532e-01
5.825165033006600712e-01,2.434405314303765000e-01,2.500771071405505919e-01
5.830166033206640730e-01,2.435926757181949287e-01,2.633174142574928323e-01
5.835167033406680748e-01,2.437447381823570902e-01,2.458364129057198644e-01
5.840168033606720766e-01,2.438967188444411405e-01,2.379726178469118159e-01
5.845169033806760783e-01,2.440486177260283163e-01,2.427888258261619026e-01
5.850170034006800801e-01,2.442004348487008258e-01,2.434754493925027075e-01
5.855171034206840819e-01,2.443521702340429036e-01,2.454395440688240948e-01
5.860172034406880837e-01,2.445038239036409211e-01,2.442035457713465640e-01
5.865173034606920854e-01,2.446553958790829153e-01,2.463950552680449491e-01
5.870174034806960872e-01,2.448068861819603648e-01,2.280983855758092482e-01
5.875175035007000890e-01,2.449582948338660804e-01,2.532545843942665131e-01
5.880176035207040908e-01,2.451096218563962592e-01,2.393622291671859414e-01
5.885177035407080925e-01,2.452608672711492077e-01,2.335292803066789658e-01
5.890178035607120943e-01,2.454120310997266463e-01,2.517895426961410110e-01
5.895179035807160961e-01,2.455631133637330987e-01,2.587363734375939250e-01
5.900180036007200979e-01,2.457141140847758642e-01,2.506443955797703071e-01
5.905181036207240997e-01,2.458650332844667941e-01,2.474766264229220081e-01
5.910182036407281014e-01,2.460158709844199598e-01,2.366936679307004299e-01
5.915183036607321032e-01,2.461666272062531802e-01,2.748823005843881728e-01
5.920184036807361050e-01,2.463173019715885481e-01,2.551198881782036354e-01
5.925185037007401068e-01,2.464678953020513763e-01,2.350749485986216303e-01
5.930186037207441085e-01,2.466184072192716958e-01,2.388220280568742471e-01
5.935187037407481103e-01,2.467688377448827852e-01,2.476386302306018417e-01
5.940188037607521121e-01,2.469191869005227524e-01,2.313718755805628802e-01
5.945189037807561139e-01,2.470694547078340353e-01,2.487557587779391788e-01
5.950190038007601157e-01,2.472196411884638456e-01,2.426289256313362563e-01
5.955191038207641174e-01,2.473697463640635308e-01,2.596324523672257079e-01
5.960192038407681192e-01,2.475197702562887125e-01,2.571413168925711923e-01
5.965193038607721210e-01,2.476697128868017295e-01,2.205568585124539904e-01
5.970194038807761228e-01,2.478195742772679733e-01,2.482366001375410913e-01
5.975195039007801245e-01,2.479693544493593860e-01,2.317946794541224931e-01
5.980196039207841263e-01,2.481190534247527668e-01,2.592154334172380170e-01
5.985197039407881281e-01,2.482686712251301886e-01,2.499497299164084307e-01
5.990198039607921299e-01,2.484182078721791365e-01,2.539022623940491163e-01
5.995199039807961316e-01,2.485676633875935071e-01,2.379164160995605182e-01
6.000200040008001334e-01,2.487170377930722764e-01,2.670013401730272906e-01
6.005201040208041352e-01,2.488663311103202491e-01,2.690670647818246830e-01
6.010202040408081370e-01,2.490155433610496127e-01,2.383678329347874991e-01
6.015203040608121388e-01,2.491646745669764684e-01,2.528928257856396522e-01
6.020204040808161405e-01,2.493137247498258824e-01,2.425807004659240040e-01
6.025205041008201423e-01,2.494626939313273062e-01,2.492269945627199890e-01
6.030206041208241441e-01,2.496115821332175744e-01,2.369552123409719435e-01
6.035207041408281459e-01,2.497603893772395167e-01,2.684318445230456929e-01
6.040208041608321476e-01,2.499091156851442896e-01,2.402173205743176054e-01
6.045209041808361494e-01,2.500577610786882676e-01,2.470969229287133251e-01
6.050210042008401512e-01,2.502063255796355690e-01,2.552211548907408201e-01
6.055211042208441530e-01,2.503548092097582778e-01,2.438792024255969915e-01
6.060212042408481548e-01,2.505032119908339183e-01,2.481100876935108945e-01
6.065213042608521565e-01,2.506515339446487856e-01,2.450151354803791481e-01
6.070214042808561583e-01,2.507997750929964464e-01,2.494651675446334926e-01
6.075215043008601601e-01,2.509479354576781840e-01,2.392425091066751608e-01
6.080216043208641619e-01,2.510960150605024976e-01,2.467161343044795008e-01
6.085217043408681636e-01,2.512440139232859915e-01,2.491750846761635607e-01
6.090218043608721654e-01,2.513919320678534297e-01,2.480546720298120733e-01
6.095219043808761672e-01,2.515397695160375147e-01,2.521066690649754749e-01
6.100220044008801690e-01,2.516875262896792753e-01,2.487565040961120522e-01
6.105221044208841708e-01,2.518352024106280673e-01,2.593673164950218712e-01
6.110222044408881725e-01,2.519827979007409069e-01,2.487508386428826102e-01
6.115223044608921743e-01,2.521303127818849688e-01,2.507638168189261219e-01
6.120224044808961761e-01,2.522777470759342555e-01,2.456299337159757179e-01
6.125225045009001779e-01,2.524251008047728728e-01,2.471599524036205142e-01
6.130226045209041796e-01,2.525723739902931975e-01,2.399274460820960686e-01
6.135227045409081814e-01,2.527195666543964325e-01,2.579074158631760594e-01
6.140228045609121832e-01,2.528666788189937176e-01,2.414414986424688048e-01
6.145229045809161850e-01,2.530137105060042413e-01,2.455551465241209985e-01
6.150230046009201867e-01,2.531606617373569623e-01,2.567531082574689982e-01
6.155231046209241885e-01,2.533075325349909979e-01,2.573332661944363053e-01
6.160232046409281903e-01,2.534543229208541248e-01,2.494531754108034183e-01
6.165233046609321921e-01,2.536010329169033906e-01,2.334083748120153734e-01
6.170234046809361939e-01,2.537476625451067225e-01,2.579527954180624860e-01
6.175235047009401956e-01,2.538942118274409299e-01,2.564898464163615222e-01
6.180236047209441974e-01,2.540406807858933691e-01,2.399168686311756171e-01
6.185237047409481992e-01,2.541870694424610555e-01,2.618902902704060009e-01
6.190238047609522010e-01,2.543333778191512184e-01,2.473223798148169450e-01
6.195239047809562027e-01,2.544796059379816899e-01,2.432177247764486794e-01
6.200240048009602045e-01,2.546257538209800164e-01,2.555830609306226076e-01
6.205241048209642063e-01,2.547718214901850131e-01,2.529871171761928772e-01
6.210242048409682081e-01,2.549178089676448211e-01,2.569440489775562941e-01
6.215243048609722099e-01,2.550637162754195719e-01,2.390062356921751896e-01
6.220244048809762116e-01,2.552095434355792225e-01,2.733318445983029532e-01
6.225245049009802134e-01,2.553552904702051096e-01,2.493287043247678358e-01
6.230246049209842152e-01,2.555009574013894502e-01,2.401043643164253449e-01
6.235247049409882170e-01,2.556465442512350639e-01,2.618349661369065440e-01
6.240248049609922187e-01,2.557920510418562055e-01,2.522440097408444326e-01
6.245249049809962205e-01,2.559374777953787317e-01,2.591860626531077849e-01
6.250250050010002223e-01,2.560828245339391018e-01,2.526867402276887220e-01
6.255251050210042241e-01,2.562280912796859322e-01,2.556306876748867252e-01
6.260252050410082258e-01,2.563732780547788859e-01,2.588310064921652276e-01
6.265253050610122276e-01,2.565183848813894496e-01,2.490518560415604654e-01
6.270254050810162294e-01,2.566634117817005456e-01,2.634508077402961113e-01
6.275255051010202312e-01,2.568083587779070309e-01,2.521093577871115765e-01
6.280256051210242330e-01,2.569532258922163082e-01,2.482563544505115849e-01
6.285257051410282347e-01,2.570980131468466046e-01,2.578683373650716426e-01
6.290258051610322365e-01,2.572427205640294701e-01,2.616931333489398992e-01
6.295259051810362383e-01,2.573873481660071683e-01,2.550965547498207919e-01
6.300260052010402401e-01,2.575318959750355075e-01,2.489066981042398763e-01
6.305261052210442418e-01,2.576763640133823419e-01,2.638742196764686798e-01
6.310262052410482436e-01,2.578207523033277382e-01,2.402174643820999544e-01
6.315263052610522454e-01,2.579650608671641976e-01,2.476564195068088614e-01
6.320264052810562472e-01,2.581092897271972109e-01,2.585045186325310440e-01
6.325265053010602490e-01,2.582534389057445368e-01,2.446428449226938640e-01
6.330266053210642507e-01,2.583975084251370902e-01,2.586774510676287941e-01
6.335267053410682525e-01,2.585414983077186091e-01,2.579928671275339980e-01
6.340268053610722543e-01,2.586854085758455435e-01,2.676728064644272043e-01
6.345269053810762561e-01,2.588292392518879992e-01,2.496813357337550887e-01
6.350270054010802578e-01,2.589729903582284609e-01,2.527139251218120108e-01
6.355271054210842596e-01,2.591166619172631802e-01,2.624484787642731853e-01
6.360272054410882614e-01,2.592602539514011761e-01,2.346846180493430967e-01
6.365273054610922632e-01,2.594037664830655121e-01,2.904041894722113604e-01
6.370274054810962649e-01,2.595471995346922411e-01,2.525606922300745460e-01
6.375275055011002667e-01,2.596905531287311830e-01,2.523922026014756015e-01
6.380276055211042685e-01,2.598338272876457022e-01,2.684451023966828442e-01
6.385277055411082703e-01,2.599770220339129856e-01,2.595787036195561504e-01
6.390278055611122721e-01,2.601201373900238756e-01,2.423258512029879685e-01
6.395279055811162738e-01,2.602631733784830925e-01,2.665324471794092154e-01
6.400280056011202756e-01,2.604061300218096231e-01,2.689599083618017250e-01
6.405281056211242774e-01,2.605490073425358322e-01,2.560495446077764026e-01
6.410282056411282792e-01,2.606918053632087395e-01,2.578758017802885161e-01
6.415283056611322809e-01,2.608345241063893538e-01,2.656943700789832774e-01
6.420284056811362827e-01,2.609771635946535051e-01,2.518893610955090234e-01
6.425285057011402845e-01,2.611197238505900686e-01,2.655036094926591650e-01
6.430286057211442863e-01,2.612622048968035737e-01,2.632551900012485291e-01
6.435287057411482881e-01,2.614046067559124831e-01,2.546552805981532885e-01
6.440288057611522898e-01,2.615469294505501363e-01,2.476259107124317016e-01
6.445289057811562916e-01,2.616891730033640284e-01,2.594331146957531420e-01
6.450290058011602934e-01,2.618313374370166979e-01,2.530771148544150306e-01
6.455291058211642952e-01,2.619734227741855048e-01,2.719875250309871650e-01
6.460292058411682969e-01,2.621154290375626306e-01,2.635562827225618743e-01
6.465293058611722987e-01,2.622573562498553001e-01,2.700782014754542493e-01
6.470294058811763005e-01,2.623992044337851159e-01,2.637454237872297047e-01
6.475295059011803023e-01,2.625409736120897231e-01,2.651699847829400158e-01
6.480296059211843041e-01,2.626826638075215326e-01,2.548526746352177130e-01
6.485297059411883058e-01,2.628242750428473884e-01,2.695047493085688251e-01
6.490298059611923076e-01,2.629658073408507879e-01,2.808127900839210156e-01
6.495299059811961984e-01,2.631072607243296613e-01,2.600103851691542567e-01
6.500300060012002001e-01,2.632486352160975374e-01,2.573208899389560211e-01
6.505301060212042019e-01,2.633899308389836547e-01,2.618115638170801507e-01
6.510302060412082037e-01,2.635311476158325172e-01,2.587183447798212521e-01
6.515303060612122055e-01,2.636722855695046719e-01,2.566574925829692710e-01
6.520304060812162072e-01,2.638133447228757644e-01,2.651952811625574169e-01
6.525305061012202090e-01,2.639543250988377054e-01,2.610451497683368149e-01
6.530306061212242108e-01,2.640952267202982817e-01,2.784839626587248818e-01
6.535307061412282126e-01,2.642360496101806011e-01,2.642380660397318226e-01
6.540308061612322144e-01,2.643767937914242583e-01,2.676159135677385614e-01
6.545309061812362161e-01,2.645174592869846686e-01,2.740376779669826957e-01
6.550310062012402179e-01,2.646580461198334566e-01,2.616504875947880393e-01
6.555311062212442197e-01,2.647985543129578456e-01,2.791659197138472437e-01
6.560312062412482215e-01,2.649389838893624338e-01,2.586120417641613045e-01
6.565313062612522232e-01,2.650793348720666964e-01,2.569960578532054507e-01
6.570314062812562250e-01,2.652196072841078722e-01,2.615569370956053463e-01
6.575315063012602268e-01,2.653598011485377994e-01,2.642126272288664590e-01
6.580316063212642286e-01,2.654999164884269125e-01,2.514867344874364141e-01
6.585317063412682304e-01,2.656399533268602453e-01,2.652890054855717716e-01
6.590318063612722321e-01,2.657799116869405953e-01,2.491050457825463860e-01
6.595319063812762339e-01,2.659197915917871913e-01,2.798411755972421977e-01
6.600320064012802357e-01,2.660595930645350826e-01,2.652496235504581135e-01
6.605321064212842375e-01,2.661993161283374154e-01,2.597797388813776753e-01
6.610322064412882392e-01,2.663389608063634340e-01,2.572555796235276859e-01
6.615323064612922410e-01,2.664785271217989249e-01,2.626342223797169528e-01
6.620324064812962428e-01,2.666180150978472718e-01,2.643872204135430115e-01
6.625325065013002446e-01,2.667574247577285118e-01,2.563123151016148960e-01
6.630326065213042463e-01,2.668967561246796127e-01,2.576988051864512741e-01
6.635327065413082481e-01,2.670360092219550285e-01,2.651642591713396779e-01
6.640328065613122499e-01,2.671751840728257554e-01,2.619673465948693658e-01
6.645329065813162517e-01,2.673142807005805532e-01,2.767064117373637666e-01
6.650330066013202535e-01,2.674532991285248906e-01,2.788320028709801446e-01
6.655331066213242552e-01,2.675922393799821664e-01,2.677524514159810853e-01
6.660332066413282570e-01,2.677311014782928211e-01,2.724670971988381041e-01
6.665333066613322588e-01,2.678698854468142265e-01,2.545180017105630466e-01
6.670334066813362606e-01,2.680085913089220173e-01,2.743827684032481562e-01
6.675335067013402623e-01,2.681472190880090367e-01,2.678413843928764138e-01
6.680336067213442641e-01,2.682857688074855584e-01,2.731324519669939277e-01
6.685337067413482659e-01,2.684242404907796198e-01,2.844278018067162295e-01
6.690338067613522677e-01,2.685626341613367440e-01,2.457540565978930946e-01
6.695339067813562695e-01,2.687009498426203846e-01,2.713104316331546584e-01
6.700340068013602712e-01,2.688391875581115920e-01,2.578479969264329541e-01
6.705341068213642730e-01,2.689773473313093466e-01,2.748993142453542426e-01
6.710342068413682748e-01,2.691154291857302261e-01,2.559822948114455765e-01
6.715343068613722766e-01,2.692534331449090157e-01,2.642994374748690589e-01
6.720344068813762783e-01,2.693913592323982642e-01,2.714186967900020231e-01
6.725345069013802801e-01,2.695292074717686726e-01,2.756643013361224082e-01
6.730346069213842819e-01,2.696669778866090939e-01,2.704149187799748111e-01
6.735347069413882837e-01,2.698046705005258672e-01,2.618763611106477707e-01
6.740348069613922855e-01,2.699422853371443165e-01,2.644069631599902381e-01
6.745349069813962872e-01,2.700798224201069186e-01,2.789248513326006984e-01
6.750350070014002890e-01,2.702172817730754684e-01,2.701622856162100850e-01
6.755351070214042908e-01,2.703546634197292464e-01,2.535165194513187004e-01
6.760352070414082926e-01,2.704919673837660188e-01,2.789285944664629535e-01
6.765353070614122943e-01,2.706291936889022587e-01,2.747916784860370276e-01
6.770354070814162961e-01,2.707663423588725360e-01,2.795004978113920235e-01
6.775355071014202979e-01,2.709034134174297948e-01,2.675371387536629730e-01
6.780356071214242997e-01,2.710404068883454642e-01,2.793219720726115574e-01
6.785357071414283014e-01,2.711773227954096810e-01,2.605666735953929281e-01
6.790358071614323032e-01,2.713141611624311778e-01,2.770141592710857470e-01
6.795359071814363050e-01,2.714509220132366729e-01,2.665471189169560939e-01
6.800360072014403068e-01,2.715876053716723137e-01,2.783311224208737666e-01
6.805361072214443086e-01,2.717242112616025662e-01,2.817806524257664424e-01
6.810362072414483103e-01,2.718607397069107701e-01,2.645008381868254599e-01
6.815363072614523121e-01,2.719971907314988058e-01,2.714848959365113723e-01
6.820364072814563139e-01,2.721335643592872611e-01,2.725231106238472645e-01
6.825365073014603157e-01,2.722698606142159861e-01,2.841665087926222300e-01
6.830366073214643174e-01,2.724060795202430385e-01,2.795116604339408783e-01
6.835367073414683192e-01,2.725422211013464602e-01,2.603494456612418517e-01
6.840368073614723210e-01,2.726782853815220009e-01,2.772543679886075862e-01
6.845369073814763228e-01,2.728142723847851725e-01,2.802651644785765783e-01
6.850370074014803246e-01,2.729501821351703605e-01,2.941882410944477999e-01
6.855371074214843263e-01,2.730860146567307134e-01,2.562945236891888134e-01
6.860372074414883281e-01,2.732217699735384753e-01,2.678582469741985772e-01
6.865373074614923299e-01,2.733574481096854858e-01,2.866911599905588304e-01
6.870374074814963317e-01,2.734930490892824584e-01,2.599423461032155380e-01
6.875375075015003334e-01,2.736285729364590913e-01,2.616339670972118170e-01
6.880376075215043352e-01,2.737640196753644561e-01,2.789348416291674293e-01
6.885377075415083370e-01,2.738993893301671645e-01,2.840834759389549991e-01
6.890378075615123388e-01,2.740346819250544241e-01,2.673478770512988656e-01
6.895379075815163405e-01,2.741698974842332048e-01,2.795711692071538024e-01
6.900380076015203423e-01,2.743050360319300163e-01,2.754745887262294857e-01
6.905381076215243441e-01,2.744400975923903530e-01,2.896275879325777014e-01
6.910382076415283459e-01,2.745750821898791938e-01,2.745598977927918294e-01
6.915383076615323477e-01,2.747099898486806691e-01,2.846124629683613461e-01
6.920384076815362384e-01,2.748448205930991151e-01,2.658136419999564404e-01
6.925385077015402402e-01,2.749795744474581305e-01,2.731307859528379067e-01
6.930386077215442420e-01,2.751142514360999103e-01,2.741472068984817101e-01
6.935387077415482437e-01,2.752488515833874105e-01,2.866399310582396498e-01
