E,sigma,sigma_noisy
6.108021604320864384e+00,-1.880302333394777703e-01,-1.878970485278676494e-01
6.110022004400880391e+00,-1.880758791417017073e-01,-1.803344196715290504e-01
6.112022404480896398e+00,-1.881215611026307022e-01,-2.012817096900982594e-01
6.114022804560912405e+00,-1.881672791687584168e-01,-1.744525845958881938e-01
6.116023204640928412e+00,-1.882130332865536992e-01,-1.917376069455697385e-01
6.118023604720944419e+00,-1.882588234024583917e-01,-1.865646591914221497e-01
6.120024004800960427e+00,-1.883046494628849987e-01,-1.798337664235399036e-01
6.122024404880976434e+00,-1.883505114142154935e-01,-1.817425821969452238e-01
6.124024804960992441e+00,-1.883964092027986814e-01,-1.778040903410437190e-01
6.126025205041008448e+00,-1.884423427749485902e-01,-1.867103646106298143e-01
6.128025605121024455e+00,-1.884883120769426379e-01,-1.886844456106877010e-01
6.130026005201040462e+00,-1.885343170550192737e-01,-1.853695316622232803e-01
6.132026405281056469e+00,-1.885803576553764516e-01,-1.985375115572423077e-01
6.134026805361072476e+00,-1.886264338241696592e-01,-1.764845601343276726e-01
6.136027205441088483e+00,-1.886725455075097257e-01,-1.964264079939199992e-01
6.138027605521104491e+00,-1.887186926514610175e-01,-2.013211314502869331e-01
6.140028005601120498e+00,-1.887648752020398280e-01,-1.682007873926545383e-01
6.142028405681136505e+00,-1.888110931052122132e-01,-1.901755425003407163e-01
6.144028805761152512e+00,-1.888573463068916880e-01,-2.006485950301911680e-01
6.146029205841168519e+00,-1.889036347529382542e-01,-1.703809375518089697e-01
6.148029605921184526e+00,-1.889499583891554590e-01,-1.922470846334064509e-01
6.150030006001200533e+00,-1.889963171612895065e-01,-1.783755592834339043e-01
6.152030406081216540e+00,-1.890427110150266765e-01,-1.973375982485014446e-01
6.154030806161232547e+00,-1.890891398959913539e-01,-1.915769401085376522e-01
6.156031206241248555e+00,-1.891356037497448628e-01,-2.060208972845084530e-01
6.158031606321264562e+00,-1.891821025217826913e-01,-2.082714961101354012e-01
6.160032006401280569e+00,-1.892286361575333808e-01,-1.989929820381607095e-01
6.162032406481296576e+00,-1.892752046023561951e-01,-1.900555947876671481e-01
6.164032806561312583e+00,-1.893218078015393990e-01,-1.813419506996789554e-01
6.166033206641328590e+00,-1.893684457002982879e-01,-1.651062406880900446e-01
6.168033606721344597e+00,-1.894151182437732728e-01,-1.997337481947193683e-01
6.170034006801360604e+00,-1.894618253770282146e-01,-1.793714223793398954e-01
6.172034406881376611e+00,-1.895085670450487869e-01,-1.955519766299077811e-01
6.174034806961392619e+00,-1.895553431927395893e-01,-1.910806362537680880e-01
6.176035207041408626e+00,-1.896021537649235644e-01,-2.044140699478959600e-01
6.178035607121424633e+00,-1.896489987063391114e-01,-2.044388560750433348e-01
6.180036007201440640e+00,-1.896958779616390589e-01,-1.974804839896441289e-01
6.182036407281456647e+00,-1.897427914753881950e-01,-2.016738976983943887e-01
6.184036807361472654e+00,-1.897897391920615462e-01,-1.898252830988264583e-01
6.186037207441488661e+00,-1.898367210560428231e-01,-1.968618656940280265e-01
6.188037607521504668e+00,-1.898837370116220336e-01,-1.773767662741431439e-01
6.190038007601520675e+00,-1.899307870029944001e-01,-1.884005898901794374e-01
6.192038407681536683e+00,-1.899778709742576399e-01,-1.883254890816854765e-01
6.194038807761552690e+00,-1.900249888694106604e-01,-1.786506368824823110e-01
6.196039207841568697e+00,-1.900721406323518381e-01,-1.848910179419849253e-01
6.198039607921584704e+00,-1.901193262068763823e-01,-1.904926560277370728e-01
6.200040008001600711e+00,-1.901665455366755575e-01,-1.910737791533495822e-01
6.202040408081616718e+00,-1.902137985653341301e-01,-1.914232849373508349e-01
6.204040808161632725e+00,-1.902610852363285088e-01,-1.794938656757760209e-01
6.206041208241648732e+00,-1.903084054930254398e-01,-1.824775493261584225e-01
6.208041608321664739e+00,-1.903557592786796482e-01,-1.866965796996178928e-01
6.210042008401680746e+00,-1.904031465364321440e-01,-1.824148532656094113e-01
6.212042408481696754e+00,-1.904505672093083912e-01,-1.958959001978619052e-01
6.214042808561712761e+00,-1.904980212402167805e-01,-1.853877931935401235e-01
6.216043208641728768e+00,-1.905455085719462427e-01,-2.046688452016496296e-01
6.218043608721744775e+00,-1.905930291471646942e-01,-1.771203236246056967e-01
6.220044008801760782e+00,-1.906405829084173442e-01,-1.897401003197683178e-01
6.222044408881776789e+00,-1.906881697981243906e-01,-1.888542397904100223e-01
6.224044808961792796e+00,-1.907357897585797990e-01,-1.847419513006252068e-01
6.226045209041808803e+00,-1.907834427319490822e-01,-1.908805384755591084e-01
6.228045609121824810e+00,-1.908311286602674683e-01,-1.933722075094271020e-01
6.230046009201840818e+00,-1.908788474854382633e-01,-1.789810012646241566e-01
6.232046409281856825e+00,-1.909265991492305192e-01,-1.897690924421315817e-01
6.234046809361872832e+00,-1.909743835932781464e-01,-2.001331003228851435e-01
6.236047209441887951e+00,-1.910222007590768600e-01,-1.866266116012848530e-01
6.238047609521903958e+00,-1.910700505879836530e-01,-2.081212550098586189e-01
6.240048009601919965e+00,-1.911179330212137151e-01,-1.745625086488570843e-01
6.242048409681935972e+00,-1.911658479998394333e-01,-1.928771591218441939e-01
6.244048809761951979e+00,-1.912137954647883387e-01,-1.907549569303233494e-01
6.246049209841967986e+00,-1.912617753568408574e-01,-1.686840707712724541e-01
6.248049609921983993e+00,-1.913097876166293121e-01,-1.697923768254728794e-01
6.250050010002000000e+00,-1.913578321846353125e-01,-1.901997653849618053e-01
6.252050410082016008e+00,-1.914059090011882014e-01,-1.851572454953992475e-01
6.254050810162032015e+00,-1.914540180064633057e-01,-1.805522193534095099e-01
6.256051210242048022e+00,-1.915021591404800494e-01,-1.746819490757647031e-01
6.258051610322064029e+00,-1.915503323430997606e-01,-1.928612613373961449e-01
6.260052010402080036e+00,-1.915985375540245617e-01,-1.902459354147686688e-01
6.262052410482096043e+00,-1.916467747127947596e-01,-1.794004324899788894e-01
6.264052810562112050e+00,-1.916950437587874867e-01,-1.889995407330172794e-01
6.266053210642128057e+00,-1.917433446312145906e-01,-1.841983460583324350e-01
6.268053610722144064e+00,-1.917916772691209693e-01,-1.856930820095995527e-01
6.270054010802160072e+00,-1.918400416113827112e-01,-2.031891610942975490e-01
6.272054410882176079e+00,-1.918884375967049027e-01,-2.004778477148954074e-01
6.274054810962192086e+00,-1.919368651636204626e-01,-2.183502536052506771e-01
6.276055211042208093e+00,-1.919853242504874768e-01,-1.945865312926550739e-01
6.278055611122224100e+00,-1.920338147954880337e-01,-1.786454405121805089e-01
6.280056011202240107e+00,-1.920823367366257806e-01,-2.031744041734165340e-01
6.282056411282256114e+00,-1.921308900117245644e-01,-1.797928542775394933e-01
6.284056811362272121e+00,-1.921794745584264330e-01,-1.821840128286897065e-01
6.286057211442288128e+00,-1.922280903141894148e-01,-1.927765121805866400e-01
6.288057611522304136e+00,-1.922767372162862420e-01,-1.923528536539316769e-01
6.290058011602320143e+00,-1.923254152018017971e-01,-1.914970837932066239e-01
6.292058411682336150e+00,-1.923741242076320301e-01,-2.009849933454223581e-01
6.294058811762352157e+00,-1.924228641704814891e-01,-1.952461682167961898e-01
6.296059211842368164e+00,-1.924716350268615983e-01,-1.929372780926539022e-01
6.298059611922384171e+00,-1.925204367130888827e-01,-1.864010572566939528e-01
6.300060012002400178e+00,-1.925692691652831079e-01,-1.846511407091061818e-01
6.302060412082416185e+00,-1.926181323193650596e-01,-2.000455128342368827e-01
6.304060812162432192e+00,-1.926670261110553506e-01,-1.844098947002210109e-01
6.306061212242448200e+00,-1.927159504758716446e-01,-2.004946558808603785e-01
6.308061612322464207e+00,-1.927649053491275188e-01,-1.944540706789020246e-01
6.310062012402480214e+00,-1.928138906659301877e-01,-1.891188371092242249e-01
6.312062412482496221e+00,-1.928629063611786987e-01,-1.930894403315794317e-01
6.314062812562512228e+00,-1.929119523695622673e-01,-1.941815606739798750e-01
6.316063212642528235e+00,-1.929610286255577511e-01,-1.902666160467195999e-01
6.318063612722544242e+00,-1.930101350634285673e-01,-1.985381255479750640e-01
6.320064012802560249e+00,-1.930592716172218615e-01,-1.995859330587811120e-01
6.322064412882576256e+00,-1.931084382207677308e-01,-1.951495792986807087e-01
6.324064812962592264e+00,-1.931576348076764482e-01,-1.835449226837158054e-01
6.326065213042608271e+00,-1.932068613113364086e-01,-1.942235421149311747e-01
6.328065613122624278e+00,-1.932561176649132684e-01,-1.742109043361008969e-01
6.330066013202640285e+00,-1.933054038013467535e-01,-1.911628710838405298e-01
6.332066413282656292e+00,-1.933547196533499102e-01,-2.230987058347553287e-01
6.334066813362672299e+00,-1.934040651534061073e-01,-1.977996021209812438e-01
6.336067213442688306e+00,-1.934534402337679537e-01,-1.768030991600235968e-01
6.338067613522704313e+00,-1.935028448264548007e-01,-1.934393864766104643e-01
6.340068013602720320e+00,-1.935522788632510482e-01,-1.979306156269420025e-01
6.342068413682736328e+00,-1.936017422757045081e-01,-2.023383396656860955e-01
6.344068813762752335e+00,-1.936512349951237666e-01,-1.804132567127287035e-01
6.346069213842768342e+00,-1.937007569525765471e-01,-1.836725116827174209e-01
6.348069613922784349e+00,-1.937503080788881560e-01,-1.870299595863864628e-01
6.350070014002800356e+00,-1.937998883046389564e-01,-1.895188689012291261e-01
6.352070414082816363e+00,-1.938494975601628423e-01,-1.794404350300283502e-01
6.354070814162832370e+00,-1.938991357755447953e-01,-1.856871187515657384e-01
6.356071214242848377e+00,-1.939488028806193587e-01,-2.062468069128721437e-01
6.358071614322864384e+00,-1.939984988049686665e-01,-1.863140634057929845e-01
6.360072014402880392e+00,-1.940482234779198900e-01,-1.923519601267494050e-01
6.362072414482896399e+00,-1.940979768285441276e-01,-1.952011747656208218e-01
6.364072814562912406e+00,-1.941477587856536569e-01,-1.865138775030985019e-01
6.366073214642928413e+00,-1.941975692778003526e-01,-1.939137042263028576e-01
6.368073614722944420e+00,-1.942474082332738550e-01,-2.235829567732512124e-01
6.370074014802960427e+00,-1.942972755800987938e-01,-1.787233943802183922e-01
6.372074414882976434e+00,-1.943471712460339285e-01,-1.839699712319774194e-01
6.374074814962992441e+00,-1.943970951585689555e-01,-1.956229873672472030e-01
6.376075215043008448e+00,-1.944470472449235654e-01,-1.981710135352320046e-01
6.378075615123024455e+00,-1.944970274320447778e-01,-1.922305431630283445e-01
6.380076015203040463e+00,-1.945470356466048600e-01,-2.073909739141918396e-01
6.382076415283056470e+00,-1.945970718149998002e-01,-1.915330151785989421e-01
6.384076815363072477e+00,-1.946471358633469761e-01,-1.969491064711334782e-01
6.386077215443088484e+00,-1.946972277174829902e-01,-1.982267361411042816e-01
6.388077615523104491e+00,-1.947473473029620317e-01,-2.039785328614503179e-01
6.390078015603120498e+00,-1.947974945450532958e-01,-2.015838565515977454e-01
6.392078415683136505e+00,-1.948476693687397898e-01,-1.837847050191591669e-01
6.394078815763152512e+00,-1.948978716987149751e-01,-1.815476613704311293e-01
6.396079215843168519e+00,-1.949481014593820172e-01,-1.899197207504715601e-01
6.398079615923184527e+00,-1.949983585748511494e-01,-1.954537247599134331e-01
6.400080016003200534e+00,-1.950486429689372581e-01,-2.038276768007222794e-01
6.402080416083216541e+00,-1.950989545651587165e-01,-1.879214177737414948e-01
6.404080816163232548e+00,-1.951492932867341656e-01,-1.790399313407844140e-01
6.406081216243248555e+00,-1.951996590565813761e-01,-2.113446985993993610e-01
6.408081616323264562e+00,-1.952500517973150274e-01,-1.835074587756329867e-01
6.410082016403280569e+00,-1.953004714312437384e-01,-2.169571679660467212e-01
6.412082416483296576e+00,-1.953509178803695123e-01,-1.987510086438535606e-01
6.414082816563312583e+00,-1.954013910663837950e-01,-1.915551449450397514e-01
6.416083216643328591e+00,-1.954518909106670588e-01,-2.091017618573765002e-01
6.418083616723344598e+00,-1.955024173342856941e-01,-2.106723245962928981e-01
6.420084016803360605e+00,-1.955529702579899831e-01,-1.936962325633426463e-01
6.422084416883376612e+00,-1.956035496022123510e-01,-1.868363992927209449e-01
6.424084816963392619e+00,-1.956541552870647571e-01,-2.004086857814603162e-01
6.426085217043408626e+00,-1.957047872323371962e-01,-1.822658671048456303e-01
6.428085617123424633e+00,-1.957554453574946451e-01,-2.035546660204959057e-01
6.430086017203440640e+00,-1.958061295816756753e-01,-1.782626155389846201e-01
6.432086417283456647e+00,-1.958568398236902874e-01,-1.946527897356441217e-01
6.434086817363472655e+00,-1.959075760020168866e-01,-1.935545429439528564e-01
6.436087217443488662e+00,-1.959583380348013937e-01,-1.898089810097755570e-01
6.438087617523504669e+00,-1.960091258398537761e-01,-1.927988572729794903e-01
6.440088017603520676e+00,-1.960599393346468544e-01,-1.776021362846117446e-01
6.442088417683536683e+00,-1.961107784363138040e-01,-1.740459478022304274e-01
6.444088817763552690e+00,-1.961616430616455742e-01,-1.907004650675146462e-01
6.446089217843568697e+00,-1.962125331270891948e-01,-1.978695808749179885e-01
6.448089617923584704e+00,-1.962634485487452507e-01,-2.080244555392869177e-01
6.450090018003600711e+00,-1.963143892423659942e-01,-2.038581365069154494e-01
6.452090418083616719e+00,-1.963653551233527361e-01,-1.962728732332353065e-01
6.454090818163632726e+00,-1.964163461067536809e-01,-1.974297346774121498e-01
6.456091218243648733e+00,-1.964673621072622334e-01,-1.969040980934049778e-01
6.458091618323664740e+00,-1.965184030392137515e-01,-1.964679185289154861e-01
6.460092018403680747e+00,-1.965694688165843806e-01,-1.916140715953813800e-01
6.462092418483696754e+00,-1.966205593529878892e-01,-2.101274314050466663e-01
6.464092818563712761e+00,-1.966716745616740591e-01,-2.069264308417601839e-01
6.466093218643728768e+00,-1.967228143555260211e-01,-1.855036056503690245e-01
6.468093618723744775e+00,-1.967739786470579233e-01,-1.883910532555030937e-01
6.470094018803760783e+00,-1.968251673484131548e-01,-2.021829824382575247e-01
6.472094418883776790e+00,-1.968763803713616811e-01,-1.839230405654142253e-01
6.474094818963792797e+00,-1.969276176272974355e-01,-2.036915302744945755e-01
6.476095219043808804e+00,-1.969788790272367640e-01,-1.994967998684713806e-01
6.478095619123824811e+00,-1.970301644818154008e-01,-2.152848751311774722e-01
6.480096019203840818e+00,-1.970814739012866079e-01,-1.886102512276358334e-01
6.482096419283856825e+00,-1.971328071955186778e-01,-1.972203181083517498e-01
6.484096819363872832e+00,-1.971841642739923794e-01,-1.864863331190466655e-01
6.486097219443888839e+00,-1.972355450457992099e-01,-1.901428984615562146e-01
6.488097619523904847e+00,-1.972869494196382023e-01,-1.962922387313403016e-01
6.490098019603920854e+00,-1.973383773038143718e-01,-1.956783077700820495e-01
6.492098419683936861e+00,-1.973898286062359120e-01,-1.853691318931506293e-01
6.494098819763952868e+00,-1.974413032344116692e-01,-1.989894236199007960e-01
6.496099219843968875e+00,-1.974928010954493107e-01,-1.989155889538564426e-01
6.498099619923984882e+00,-1.975443220960522717e-01,-1.967424468546253025e-01
6.500100020004000889e+00,-1.975958661425180618e-01,-1.894085031029885402e-01
6.502100420084016896e+00,-1.976474331407350460e-01,-1.882655867820578477e-01
6.504100820164032903e+00,-1.976990229961808065e-01,-1.783540508209093822e-01
6.506101220244048911e+00,-1.977506356139190902e-01,-1.983400550090670678e-01
6.508101620324064918e+00,-1.978022708985978095e-01,-1.849176165318943688e-01
6.510102020404080925e+00,-1.978539287544464620e-01,-2.041122529942147046e-01
6.512102420484096932e+00,-1.979056090852734096e-01,-1.915554341895763235e-01
6.514102820564112939e+00,-1.979573117944639082e-01,-1.963606395309064612e-01
6.516103220644128946e+00,-1.980090367849772770e-01,-1.802898473897875109e-01
6.518103620724144953e+00,-1.980607839593445663e-01,-1.915773986833675113e-01
6.520104020804160960e+00,-1.981125532196659211e-01,-2.021870010570550880e-01
6.522104420884176967e+00,-1.981643444676082499e-01,-1.919594511142141136e-01
6.524104820964192974e+00,-1.982161576044027818e-01,-1.943176892470495909e-01
6.526105221044208982e+00,-1.982679925308422353e-01,-2.009904977470794163e-01
6.528105621124224989e+00,-1.983198491472785985e-01,-2.008104112240391148e-01
6.530106021204240996e+00,-1.983717273536204362e-01,-2.073486315475622233e-01
6.532106421284257003e+00,-1.984236270493305310e-01,-1.703803076372938374e-01
6.534106821364273010e+00,-1.984755481334229965e-01,-1.966465347147810239e-01
6.536107221444289017e+00,-1.985274905044611682e-01,-1.883009583724506997e-01
6.538107621524305024e+00,-1.985794540605545222e-01,-2.097493599264488306e-01
6.540108021604321031e+00,-1.986314386993565662e-01,-2.090000901059253513e-01
6.542108421684337038e+00,-1.986834443180618970e-01,-1.997221864120261592e-01
6.544108821764353046e+00,-1.987354708134039805e-01,-1.997281854990744787e-01
6.546109221844369053e+00,-1.987875180816521259e-01,-1.902654878963507823e-01
6.548109621924385060e+00,-1.988395860186090158e-01,-2.083768507454143160e-01
6.550110022004401067e+00,-1.988916745196084024e-01,-1.929908101785567098e-01
6.552110422084417074e+00,-1.989437834795117488e-01,-1.832882489764545153e-01
6.554110822164433081e+00,-1.989959127927063975e-01,-2.076323715249991930e-01
6.556111222244449088e+00,-1.990480623531025450e-01,-1.894434410999881746e-01
6.558111622324465095e+00,-1.991002320541302439e-01,-2.081992519056952706e-01
6.560112022404481102e+00,-1.991524217887375436e-01,-1.951827969239237626e-01
6.562112422484497110e+00,-1.992046314493868542e-01,-1.950627730097848622e-01
6.564112822564513117e+00,-1.992568609280529202e-01,-1.813739817680280475e-01
6.566113222644529124e+00,-1.993091101162199341e-01,-2.057073879230696678e-01
6.568113622724545131e+00,-1.993613789048787055e-01,-1.971691131032130562e-01
6.570114022804561138e+00,-1.994136671845240794e-01,-1.884685080070675756e-01
6.572114422884577145e+00,-1.994659748451520775e-01,-2.106782441160136854e-01
6.574114822964593152e+00,-1.995183017762572064e-01,-1.991015004252137954e-01
6.576115223044609159e+00,-1.995706478668299311e-01,-2.077647475228414919e-01
6.578115623124625166e+00,-1.996230130053531782e-01,-2.061371849150908930e-01
6.580116023204641174e+00,-1.996753970798006983e-01,-1.923510038722923698e-01
6.582116423284657181e+00,-1.997277999776330137e-01,-1.922180858629594924e-01
6.584116823364673188e+00,-1.997802215857957253e-01,-1.734991603923544679e-01
6.586117223444689195e+00,-1.998326617907156821e-01,-1.855581075250954393e-01
6.588117623524705202e+00,-1.998851204782991775e-01,-1.864911639482058070e-01
6.590118023604721209e+00,-1.999375975339284517e-01,-2.011052355539324765e-01
6.592118423684737216e+00,-1.999900928424588054e-01,-2.024992717022544020e-01
6.594118823764753223e+00,-2.000426062882162126e-01,-1.981823139904061171e-01
6.596119223844769230e+00,-2.000951377549940458e-01,-2.223627031528032649e-01
6.598119623924785238e+00,-2.001476871260503831e-01,-1.831000093748377244e-01
6.600120024004801245e+00,-2.002002542841051502e-01,-2.064464615523163848e-01
6.602120424084817252e+00,-2.002528391113368444e-01,-2.104043904916848839e-01
6.604120824164833259e+00,-2.003054414893802870e-01,-2.044526579346238881e-01
6.606121224244849266e+00,-2.003580612993229315e-01,-1.911892271477876881e-01
6.608121624324865273e+00,-2.004106984217027265e-01,-1.875762634067222601e-01
6.610122024404881280e+00,-2.004633527365043966e-01,-2.038466665894322349e-01
6.612122424484897287e+00,-2.005160241231570550e-01,-1.957857223691824300e-01
6.614122824564913294e+00,-2.005687124605309291e-01,-2.007849137149212981e-01
6.616123224644929302e+00,-2.006214176269344174e-01,-2.102429811242991498e-01
6.618123624724945309e+00,-2.006741395001112038e-01,-1.986474133165424538e-01
6.620124024804961316e+00,-2.007268779572371487e-01,-2.001355347965513565e-01
6.622124424884977323e+00,-2.007796328749172077e-01,-2.158511715565532563e-01
6.624124824964993330e+00,-2.008324041291827400e-01,-1.895344849099512008e-01
6.626125225045009337e+00,-2.008851915954878165e-01,-2.163167744141151205e-01
6.628125625125025344e+00,-2.009379951487067772e-01,-1.983252646768404459e-01
6.630126025205041351e+00,-2.009908146631311232e-01,-2.112259587378544912e-01
6.632126425285057358e+00,-2.010436500124656578e-01,-2.089276151069104082e-01
6.634126825365073366e+00,-2.010965010698266275e-01,-2.078706519567365962e-01
6.636127225445089373e+00,-2.011493677077374476e-01,-1.938570334761765823e-01
6.638127625525105380e+00,-2.012022497981263425e-01,-2.135089407036509790e-01
6.640128025605121387e+00,-2.012551472123229324e-01,-2.029321438377635622e-01
6.642128425685137394e+00,-2.013080598210550409e-01,-1.855659438432555319e-01
6.644128825765153401e+00,-2.013609874944455314e-01,-2.081067156603245982e-01
6.646129225845169408e+00,-2.014139301020093087e-01,-2.015258280577678640e-01
6.648129625925185415e+00,-2.014668875126499614e-01,-1.946250762155936620e-01
6.650130026005201422e+00,-2.015198595946566529e-01,-2.071568535856709581e-01
6.652130426085217429e+00,-2.015728462157008738e-01,-1.966356740414877124e-01
6.654130826165233437e+00,-2.016258472428331949e-01,-2.080561134201275586e-01
6.656131226245248556e+00,-2.016788625424799086e-01,-1.945064229676810585e-01
6.658131626325264563e+00,-2.017318919804400590e-01,-2.009376575320800939e-01
6.660132026405280570e+00,-2.017849354218820279e-01,-2.109804271183993718e-01
6.662132426485296577e+00,-2.018379927313402322e-01,-1.875816183965936523e-01
6.664132826565312584e+00,-2.018910637727115154e-01,-2.026768576313097148e-01
6.666133226645328591e+00,-2.019441484092527050e-01,-2.045813684599556426e-01
6.668133626725344598e+00,-2.019972465035763109e-01,-2.110857461838459570e-01
6.670134026805360605e+00,-2.020503579176478048e-01,-2.065924277334474923e-01
6.672134426885376612e+00,-2.021034825127819845e-01,-2.029112173515762729e-01
6.674134826965392620e+00,-2.021566201496397541e-01,-2.002836028059269413e-01
6.676135227045408627e+00,-2.022097706882245716e-01,-1.910759256998246225e-01
6.678135627125424634e+00,-2.022629339878794508e-01,-2.152952946040729287e-01
6.680136027205440641e+00,-2.023161099072828262e-01,-2.056650485295847819e-01
6.682136427285456648e+00,-2.023692983044459992e-01,-1.902646492350500984e-01
6.684136827365472655e+00,-2.024224990367087806e-01,-2.004644780765540701e-01
6.686137227445488662e+00,-2.024757119607369926e-01,-1.982557219103056323e-01
6.688137627525504669e+00,-2.025289369325184163e-01,-1.864623513042630853e-01
6.690138027605520676e+00,-2.025821738073590728e-01,-1.990724532537462843e-01
6.692138427685536683e+00,-2.026354224398804749e-01,-1.978391402428616441e-01
6.694138827765552691e+00,-2.026886826840153533e-01,-2.029658719755679241e-01
6.696139227845568698e+00,-2.027419543930047974e-01,-1.849353784474319362e-01
6.698139627925584705e+00,-2.027952374193942031e-01,-1.921674264490048634e-01
6.700140028005600712e+00,-2.028485316150298590e-01,-2.099374295420004533e-01
6.702140428085616719e+00,-2.029018368310554488e-01,-1.972974861624932907e-01
6.704140828165632726e+00,-2.029551529179084435e-01,-2.143213778549144521e-01
6.706141228245648733e+00,-2.030084797253164097e-01,-1.920252777830780966e-01
6.708141628325664740e+00,-2.030618171022935403e-01,-1.962411403589255365e-01
6.710142028405680747e+00,-2.031151648971367130e-01,-2.046168503148335927e-01
6.712142428485696755e+00,-2.031685229574223261e-01,-2.070976333973724715e-01
6.714142828565712762e+00,-2.032218911300018305e-01,-2.210901195112219275e-01
6.716143228645728769e+00,-2.032752692609991751e-01,-1.955654028512565645e-01
6.718143628725744776e+00,-2.033286571958060340e-01,-2.044333492684484443e-01
6.720144028805760783e+00,-2.033820547790786137e-01,-2.064388031544739932e-01
6.722144428885776790e+00,-2.034354618547339344e-01,-1.961506063477677642e-01
6.724144828965792797e+00,-2.034888782659458051e-01,-2.100913493012748212e-01
6.726145229045808804e+00,-2.035423038551414099e-01,-2.093731638623405888e-01
6.728145629125824811e+00,-2.035957384639969781e-01,-2.105105445567967415e-01
6.730146029205840819e+00,-2.036491819334348141e-01,-2.171611068450892690e-01
6.732146429285856826e+00,-2.037026341036187183e-01,-1.795953059493768655e-01
