t,N,dN_dt
9.601920384076815251e-01,6.215361404475345353e+00,2.545399591803341632e+00
9.681936387277455536e-01,6.235884158391705512e+00,2.584394798968803197e+00
9.761952390478095820e-01,6.256722062498199399e+00,2.624171634171523326e+00
9.841968393678736104e-01,6.277881448863564806e+00,2.664750163329417276e+00
9.921984396879376389e-01,6.299368802059150063e+00,2.706151061335146490e+00
1.000200040008001556e+00,6.321190803728838681e+00,2.748395711261937713e+00
1.008201640328065585e+00,6.343354277498501226e+00,2.791506112038991461e+00
1.016203240648129613e+00,6.365866225910441933e+00,2.835504963689023938e+00
1.024204840968193642e+00,6.388733851466003699e+00,2.880415723680077367e+00
1.032206441288257670e+00,6.411964556625568967e+00,2.926262623225682535e+00
1.040208041608321698e+00,6.435565943808556177e+00,2.973070683988094043e+00
1.048209641928385727e+00,6.459545815393423318e+00,3.020865735190480184e+00
1.056211242248449755e+00,6.483912173717667038e+00,3.069674431143676330e+00
1.064212842568513784e+00,6.508673224393128898e+00,3.119524275884216991e+00
1.072214442888577812e+00,6.533837429320488610e+00,3.170443749264554079e+00
1.080216043208641841e+00,6.559413444418485284e+00,3.222462201727261721e+00
1.088217643528705647e+00,6.585410167577877338e+00,3.275609971599310555e+00
1.096219243848769676e+00,6.611836762657162581e+00,3.329918456538693672e+00
1.104220844168833704e+00,6.638702659482564883e+00,3.385420137378430727e+00
1.112222444488897732e+00,6.666017553848046617e+00,3.442148602562605575e+00
1.120224044808961761e+00,6.693791407515298886e+00,3.500138573181669877e+00
1.128225645129025789e+00,6.722034448213749513e+00,3.559425928613868084e+00
1.136227245449089818e+00,6.750757199679825682e+00,3.620047796351535396e+00
1.144228845769153846e+00,6.779970501892186974e+00,3.682042623679289139e+00
1.152230446089217875e+00,6.809685467453607366e+00,3.745450114846855527e+00
1.160232046409281903e+00,6.839913559348389072e+00,3.810311427025905306e+00
1.168233646729345931e+00,6.870666593279275425e+00,3.876669209371594871e+00
1.176235247049409960e+00,6.901956737667455322e+00,3.944567638014658151e+00
1.184236847369473988e+00,6.933796513652559668e+00,4.014052451911032549e+00
1.192238447689538017e+00,6.966198795092664042e+00,4.085170989556081267e+00
1.200240048009601823e+00,6.999176840902446628e+00,4.157972298164517966e+00
1.208241648329665852e+00,7.032744327912669569e+00,4.232507247402235606e+00
1.216243248649729880e+00,7.066915301047623110e+00,4.308828461459993875e+00
1.224244848969793908e+00,7.101704267770180046e+00,4.386990573293646278e+00
1.232246449289857937e+00,7.137126201710143114e+00,4.467050281572859660e+00
1.240248049609921965e+00,7.173196542664238784e+00,4.549066400841608626e+00
1.248249649929985994e+00,7.209931196596120806e+00,4.633099912882656213e+00
1.256251250250050022e+00,7.247346537348354545e+00,4.719214023241442568e+00
1.264252850570114051e+00,7.285459490001253258e+00,4.807474408761155615e+00
1.272254450890178079e+00,7.324287471050090481e+00,4.897949138902008670e+00
1.280256051210242108e+00,7.363848455803335469e+00,4.990708892478345149e+00
1.288257651530306136e+00,7.404161033279794246e+00,5.085827152100280024e+00
1.296259251850370164e+00,7.445244406208616716e+00,5.183380274292962220e+00
1.304260852170434193e+00,7.487118391029287778e+00,5.283447561253675318e+00
1.312262452490497999e+00,7.529803417891631767e+00,5.386111334239366499e+00
1.320264052810562028e+00,7.573320605359520563e+00,5.491457190001256983e+00
1.328265653130626056e+00,7.617691752439253783e+00,5.599574063866479712e+00
1.336267253450690085e+00,7.662939363494930767e+00,5.710554374799770017e+00
1.344268853770754113e+00,7.709086747258111494e+00,5.824494358244667325e+00
1.352270454090818141e+00,7.756158016864784344e+00,5.941494163859257327e+00
1.360272054410882170e+00,7.804178089855367872e+00,6.061657955300480793e+00
1.368273654730946198e+00,7.853172691184467702e+00,6.185094019716892433e+00
1.376275255051010227e+00,7.903168468264789581e+00,6.311915164768572950e+00
1.384276855371074255e+00,7.954192930116782634e+00,6.442238679006434765e+00
1.392278455691138284e+00,8.006274565090132356e+00,6.576186748944103933e+00
1.400280056011202312e+00,8.059442910672172999e+00,6.713886766460898770e+00
1.408281656331266340e+00,8.113728553487877804e+00,6.855471463598105331e+00
1.416283256651330369e+00,8.169163129299866100e+00,7.001079049928726761e+00
1.424284856971394175e+00,8.225779380567765031e+00,7.150853505197635407e+00
1.432286457291458204e+00,8.283611244055789413e+00,7.304944961252944680e+00
1.440288057611522232e+00,8.342693829224202773e+00,7.463509802413808458e+00
1.448289657931586261e+00,8.403063599778040071e+00,7.626711317053160855e+00
1.456291258251650289e+00,8.464758380123246440e+00,7.794719894663607818e+00
1.464292858571714318e+00,8.527817355366686058e+00,7.967713208718044449e+00
1.472294458891778346e+00,8.592281121659478771e+00,8.145876541736349452e+00
1.480296059211842374e+00,8.658191817378307675e+00,8.329403344828143929e+00
1.488297659531906403e+00,8.725593096586546693e+00,8.518495371839186703e+00
1.496299259851970431e+00,8.794530353094616615e+00,8.713363523432976265e+00
1.504300860172034460e+00,8.865050734367237339e+00,8.914228121230019397e+00
1.512302460492098488e+00,8.937203141523413663e+00,9.121319145915888882e+00
1.520304060812162517e+00,9.011038334298584473e+00,9.334876781796845435e+00
1.528305661132226545e+00,9.086609022666328528e+00,9.555151937597694101e+00
1.536307261452290351e+00,9.163969952917799588e+00,9.782406764276819544e+00
1.544308861772354380e+00,9.243178113627822157e+00,1.001691554150310992e+01
1.552310462092418408e+00,9.324292737208391912e+00,1.025896498060351014e+01
1.560312062412482437e+00,9.407375324387881932e+00,1.050885459658962162e+01
1.568313662732546465e+00,9.492489858492598742e+00,1.076689765985283209e+01
1.576315263052610494e+00,9.579702796347556060e+00,1.103342149104152448e+01
1.584316863372674522e+00,9.669083386033083372e+00,1.130876876207552328e+01
1.592318463692738550e+00,9.760703722920823111e+00,1.159329802359075856e+01
1.600320064012802579e+00,9.854638757020982354e+00,1.188738408199387209e+01
1.608321664332866607e+00,9.950966517685920110e+00,1.219141905854461072e+01
1.616323264652930636e+00,1.004976815186471839e+01,1.250581287724372004e+01
1.624324864972994664e+00,1.015112826582927852e+01,1.283099472387954521e+01
1.632326465293058693e+00,1.025513504411053134e+01,1.316741382031572805e+01
1.640328065613122721e+00,1.036188026212128754e+01,1.351553985187005580e+01
1.648329665933186750e+00,1.047145954311153027e+01,1.387586418174713465e+01
1.656331266253250556e+00,1.058397243650813735e+01,1.424890048648865637e+01
1.664332866573314584e+00,1.069952282885040695e+01,1.463518648983256121e+01
1.672334466893378613e+00,1.081821905245494619e+01,1.503528470525815663e+01
1.680336067213442641e+00,1.094017394304489166e+01,1.544978298013116458e+01
1.688337667533506670e+00,1.106550513875958153e+01,1.587929582999419154e+01
1.696339267853570698e+00,1.119433525235616145e+01,1.632446532486909518e+01
1.704340868173634727e+00,1.132679230860951591e+01,1.678596286439435659e+01
1.712342468493698755e+00,1.146300978192316755e+01,1.726448953873467929e+01
1.720344068813762783e+00,1.160312683026232250e+01,1.776077710207770366e+01
1.728345669133826812e+00,1.174728850499847965e+01,1.827558879342570464e+01
1.736347269453890840e+00,1.189564621762552399e+01,1.880972099879789639e+01
1.744348869773954869e+00,1.204835794446648123e+01,1.936400389763930718e+01
1.752350470094018897e+00,1.220558834550993588e+01,1.993930166506815738e+01
1.760352070414082926e+00,1.236750908352475697e+01,2.053651324682435231e+01
1.768353670734146732e+00,1.253429919302785223e+01,2.115657315813962569e+01
1.776355271054210760e+00,1.270614544532297430e+01,2.180045208192475314e+01
1.784356871374274789e+00,1.288324243596172280e+01,2.246915619096254702e+01
1.792358471694338817e+00,1.306579289647075370e+01,2.316372701212615937e+01
1.800360072014402846e+00,1.325400804768324470e+01,2.388524112749873751e+01
1.808361672334466874e+00,1.344810797940192515e+01,2.463480960694071342e+01
1.816363272654530903e+00,1.364832173930457593e+01,2.541357587731843637e+01
1.824364872974594931e+00,1.385488757877317845e+01,2.622271366189979602e+01
1.832366473294658960e+00,1.406805328185402892e+01,2.706342465042149925e+01
1.840368073614722988e+00,1.428807643408196171e+01,2.793693525613443640e+01
1.848369673934787016e+00,1.451522448216969785e+01,2.884449175160551704e+01
1.856371274254851045e+00,1.474977482861747191e+01,2.978735462001838386e+01
1.864372874574915073e+00,1.499201503232728783e+01,3.076679229467963950e+01
1.872374474894979102e+00,1.524224287899221508e+01,3.178407320421623439e+01
1.880376075215042908e+00,1.550076624133794567e+01,3.284045562372001115e+01
1.888377675535106937e+00,1.576790291180987857e+01,3.393717588858297063e+01
1.896379275855170965e+00,1.604398044824431224e+01,3.507543495779289344e+01
1.904380876175234993e+00,1.632933595294518980e+01,3.625638280449788908e+01
1.912382476495299022e+00,1.662431540982940703e+01,3.748109885511219375e+01
1.920384076815363050e+00,1.692927291544986090e+01,3.875056961801557520e+01
1.928385677135427079e+00,1.724457018321279023e+01,4.006566485796432175e+01
1.936387277455491107e+00,1.757057541295778336e+01,4.142710830171530034e+01
1.944388877775555136e+00,1.790766169327617519e+01,4.283544331354046619e+01
1.952390478095619164e+00,1.825620554294320286e+01,4.429099585910272907e+01
1.960392078415683192e+00,1.861658542663403537e+01,4.579383387772622882e+01
1.968393678735747221e+00,1.898917908072562000e+01,4.734371804259200900e+01
1.976395279055811249e+00,1.937436040093550460e+01,4.894004699427404859e+01
1.984396879375875278e+00,1.977249748700363696e+01,5.058180366489394686e+01
1.992398479695939084e+00,2.018394847782474599e+01,5.226748881213629261e+01
2.000400080016003113e+00,2.060905646034041894e+01,5.399504754011464058e+01
2.008401680336067141e+00,2.104814641432336231e+01,5.576180136310658497e+01
2.016403280656131169e+00,2.150151941212359574e+01,5.756436691211319356e+01
2.024404880976195198e+00,2.196944520199264872e+01,5.939856738523957347e+01
2.032406481296259226e+00,2.245215734386523820e+01,6.125935468395471872e+01
2.040408081616323255e+00,2.294984591039301236e+01,6.314072400043335165e+01
2.048409681936387283e+00,2.346264752331224201e+01,6.503562318071334403e+01
2.056411282256451312e+00,2.399063823007784180e+01,6.693588077789559065e+01
2.064412882576515340e+00,2.453382512645265123e+01,6.883214003170104434e+01
2.072414482896579369e+00,2.509213432778502195e+01,7.071379526791298531e+01
2.080416083216643397e+00,2.566540157641112785e+01,7.256895827710378910e+01
2.088417683536707425e+00,2.625336388772129226e+01,7.438445258898023837e+01
2.096419283856771454e+00,2.685564700567874397e+01,7.614582483752548114e+01
2.104420884176835482e+00,2.747175487151038098e+01,7.783740042170504125e+01
2.112422484496899511e+00,2.810106331774762367e+01,7.944239294031534371e+01
2.120424084816963539e+00,2.874280935659616532e+01,8.094304804949351251e+01
2.128425685137027568e+00,2.939608368865540200e+01,8.232084900265077465e+01
2.136427285457091596e+00,3.005982814994563057e+01,8.355678705466561951e+01
2.144428885777155624e+00,3.073283023628461308e+01,8.463167992442569698e+01
2.152430486097219653e+00,3.141372530086015047e+01,8.552655792846374538e+01
2.160432086417283681e+00,3.210099988133849536e+01,8.622309661440260697e+01
2.168433686737347266e+00,3.279299779937024795e+01,8.670409083108272341e+01
2.176435287057411294e+00,3.348792584990205512e+01,8.695395751684982599e+01
2.184436887377475323e+00,3.418388370326859871e+01,8.695925579942149852e+01
2.192438487697539351e+00,3.487887111255616901e+01,8.670917687747750335e+01
2.200440088017603379e+00,3.557080881695853947e+01,8.619601298820302304e+01
2.208441688337667408e+00,3.625756912797354659e+01,8.541556038560244701e+01
2.216443288657731436e+00,3.693701483411017961e+01,8.436741496043899247e+01
2.224444888977795465e+00,3.760701480121191764e+01,8.305518791160315573e+01
2.232446489297859493e+00,3.826548069969575039e+01,8.148658046642404429e+01
2.240448089617923522e+00,3.891040583539344766e+01,7.967330283969481286e+01
2.248449689937987550e+00,3.953989631320315112e+01,7.763085750232636428e+01
2.256451290258051579e+00,4.015218882828285984e+01,7.537823025551577416e+01
2.264452890578115607e+00,4.074568685718961802e+01,7.293739557297060117e+01
2.272454490898179635e+00,4.131898285772690826e+01,7.033274252228474666e+01
2.280456091218243664e+00,4.187086892504240154e+01,6.759046286264333503e+01
2.288457691538307692e+00,4.240035240721057619e+01,6.473785783414935224e+01
2.296459291858371721e+00,4.290666148930406365e+01,6.180265511272835255e+01
2.304460892178435749e+00,4.338924585202767759e+01,5.881234842716244771e+01
2.312462492498499778e+00,4.384777163301268388e+01,5.579359355014001665e+01
2.320464092818563806e+00,4.428211350621207743e+01,5.277166818766042411e+01
2.328465693138627834e+00,4.469234161197367428e+01,4.977002939833239026e+01
2.336467293458691863e+00,4.507870441137900741e+01,4.680997863155143079e+01
2.344468893778755891e+00,4.544161260278995940e+01,4.391040388504791991e+01
2.352470494098819920e+00,4.578161658486678220e+01,4.108765868828297840e+01
2.360472094418883948e+00,4.609938844304794969e+01,3.835549157258887476e+01
2.368473694738947977e+00,4.639569888635461581e+01,3.572509637246275815e+01
2.376475295059012005e+00,4.667139922081033632e+01,3.320519179292757173e+01
2.384476895379076034e+00,4.692740022682021817e+01,3.080218949478784296e+01
2.392478495699139618e+00,4.716465621119101570e+01,2.852036673032496950e+01
2.400480096019203646e+00,4.738414707147219929e+01,2.636209778893656619e+01
2.408481696339267675e+00,4.758686563859529173e+01,2.432806586222263689e+01
2.416483296659331703e+00,4.777380343971456256e+01,2.241751175956098407e+01
2.424484896979395732e+00,4.794594168923811139e+01,2.062844446151597921e+01
2.432486497299459760e+00,4.810424070307117717e+01,1.895787484422857361e+01
2.440488097619523788e+00,4.824963432531504282e+01,1.740199977168216705e+01
2.448489697939587817e+00,4.838302256923125810e+01,1.595640283824582006e+01
2.456491298259651845e+00,4.850526896932119314e+01,1.461620006908088776e+01
2.464492898579715874e+00,4.861719582980547472e+01,1.337620121576414078e+01
2.472494498899779902e+00,4.871958388429158049e+01,1.223101465242104702e+01
2.480496099219843931e+00,4.881316950644317387e+01,1.117517023963140943e+01
2.488497699539907959e+00,4.889864603404959809e+01,1.020318720302248217e+01
2.496499299859971988e+00,4.897666242271213832e+01,9.309662911877124358e+00
2.504500900180036016e+00,4.904782557089576045e+01,8.489311426079567013e+00
2.512502500500100044e+00,4.911270011690774595e+01,7.737022717089038437e+00
2.520504100820164073e+00,4.917181107335359513e+01,7.047881865870726514e+00
2.528505701140228101e+00,4.922564471789865337e+01,6.417201563965752698e+00
2.536507301460292130e+00,4.927465082824189579e+01,5.840532990671297497e+00
2.544508901780356158e+00,4.931924478866959305e+01,5.313672707892282965e+00
2.552510502100420187e+00,4.935980887320814503e+01,4.832674567037830826e+00
2.560512102420484215e+00,4.939669546492131502e+01,4.393834581348915691e+00
2.568513702740548243e+00,4.943022754741957669e+01,3.993704530326791069e+00
2.576515303060612272e+00,4.946070210925508803e+01,3.629067880334704732e+00
2.584516903380676300e+00,4.948839099888907356e+01,3.296943379437635713e+00
2.592518503700740329e+00,4.951354303173077653e+01,2.994571497230614110e+00
2.600520104020804357e+00,4.953638625437983478e+01,2.719396979286406335e+00
2.608521704340868386e+00,4.955712839269692438e+01,2.469071628764240689e+00
2.616523304660932414e+00,4.957595969589613105e+01,2.241426865026761917e+00
2.624524904980995998e+00,4.959305362110053750e+01,2.034471121355521550e+00
2.632526505301060027e+00,4.960856803203706988e+01,1.846380110700679644e+00
2.640528105621124055e+00,4.962264737799905845e+01,1.675474369759473170e+00
2.648529705941188084e+00,4.963542280176297083e+01,1.520221216312963364e+00
2.656531306261252112e+00,4.964701372122591039e+01,1.379218280565791765e+00
2.664532906581316141e+00,4.965752923586379097e+01,1.251178648922198988e+00
2.672534506901380169e+00,4.966706812017564232e+01,1.134932810794185176e+00
2.680536107221444198e+00,4.967572032036444085e+01,1.029411987807873352e+00
2.688537707541508226e+00,4.968356794986578961e+01,9.336372664670573585e-01
2.696539307861572254e+00,4.969068522141488842e+01,8.467214843940769065e-01
2.704540908181636283e+00,4.969713961834406035e+01,7.678558147321838945e-01
2.712542508501700311e+00,4.970299278360936768e+01,6.962996214988232957e-01
2.720544108821764340e+00,4.970830043085656769e+01,6.313821397690828618e-01
2.728545709141828368e+00,4.971311300672355316e+01,5.724948754672301021e-01
2.736547309461892397e+00,4.971747665312729936e+01,5.190802366075057961e-01
2.744548909781956425e+00,4.972143323038958584e+01,4.706315797415379087e-01
2.752550510102020453e+00,4.972502037953933751e+01,4.266927265045086237e-01
2.760552110422084482e+00,4.972827250234235663e+01,3.868461900254152042e-01
2.768553710742148510e+00,4.973122098145808678e+01,3.507106605288394796e-01
2.776555311062212539e+00,4.973389406722107964e+01,3.179425467703440589e-01
2.784556911382276567e+00,4.973631726897266958e+01,2.882313089187937827e-01
2.792558511702340596e+00,4.973851396595487984e+01,2.612920727002485677e-01
2.800560112022404624e+00,4.974050544010313502e+01,2.368653109105789412e-01
2.808561712342468653e+00,4.974231075318726880e+01,2.147184216458928319e-01
2.816563312662532681e+00,4.974394716485760171e+01,1.946406599102408208e-01
2.824564912982596709e+00,4.974543051344341649e+01,1.764385128108933998e-01
2.832566513302660738e+00,4.974677522536471486e+01,1.599356222344776590e-01
2.840568113622724766e+00,4.974799420144961459e+01,1.449742126546671450e-01
2.848569713942788351e+00,4.974909906612275989e+01,1.314120603333064352e-01
2.856571314262852379e+00,4.975010050994603716e+01,1.191183104641013735e-01
2.864572914582916408e+00,4.975100830320248946e+01,1.079733276698822131e-01
2.872574514902980436e+00,4.975183124854663674e+01,9.786929202898475566e-02
2.880576115223044464e+00,4.975257715205194842e+01,8.871056719843561922e-02
2.888577715543108493e+00,4.975325317966800753e+01,8.040933393227023274e-02
2.896579315863172521e+00,4.975386591872148756e+01,7.288484270056638792e-02
2.904580916183236550e+00,4.975442137884844840e+01,6.606340876825678166e-02
2.912582516503300578e+00,4.975492491409858076e+01,5.987937442416946254e-02
2.920584116823364607e+00,4.975538127939915967e+01,5.427442038080565467e-02
2.928585717143428635e+00,4.975579486541387553e+01,4.919468512868752086e-02
2.936587317463492663e+00,4.975616971525355581e+01,4.459056257128457545e-02
2.944588917783556692e+00,4.975650952512380343e+01,4.041669650626955601e-02
2.952590518103620720e+00,4.975681759520632141e+01,3.663258604570929222e-02
2.960592118423684749e+00,4.975709681092267544e+01,3.320281759544085887e-02
2.968593718743748777e+00,4.975734983473073214e+01,3.009471039067701525e-02
2.976595319063812806e+00,4.975757913116755304e+01,2.727800993851481337e-02
2.984596919383876834e+00,4.975778696684940172e+01,2.472488890901747283e-02
2.992598519703940863e+00,4.975797540706942357e+01,2.240998969277274711e-02
3.000600120024004891e+00,4.975814624542559983e+01,2.031128955696592797e-02
3.008601720344068919e+00,4.975830106727345736e+01,1.840932173812470651e-02
3.016603320664132948e+00,4.975844134964743404e+01,1.668594835536607590e-02
3.024604920984196976e+00,4.975856846406774991e+01,1.512432624614445942e-02
3.032606521304261005e+00,4.975868367654035751e+01,1.370890723843665171e-02
3.040608121624325033e+00,4.975878814687040119e+01,1.242544681796209360e-02
3.048609721944389062e+00,4.975888288381885616e+01,1.126155525222527487e-02
3.056611322264453090e+00,4.975896874834815975e+01,1.020665790327424105e-02
3.064612922584517118e+00,4.975904654282474837e+01,9.250899465030659741e-03
3.072614522904580703e+00,4.975911701794363040e+01,8.385058985065363402e-03
3.080616123224644731e+00,4.975918087272840751e+01,7.600549944686285642e-03
3.088617723544708760e+00,4.975923875453123912e+01,6.889420328051176767e-03
3.096619323864772788e+00,4.975929125745297910e+01,6.244372091310790296e-03
