t,S,I,R,C,dI_dt,dI_dt_noisy
8.641728345669133504e-02,6.016145546122592114e-01,1.421298370658697144e-02,3.840683594282018887e-01,2.046798090231118864e-03,4.944032097890631305e-02,4.789830186384392424e-02
8.881776355271053802e-02,6.016482098627319308e-01,1.433167688519725383e-02,3.839120924523503620e-01,2.112727787995351270e-03,4.945043751070458959e-02,4.450621199813763196e-02
9.121824364872974100e-02,6.016813252840426118e-01,1.445039129989511215e-02,3.837562826106586389e-01,2.179144110820319113e-03,4.945797290414630232e-02,4.996036713681452357e-02
9.361872374474894398e-02,6.017139070270082213e-01,1.456912070620818879e-02,3.836009295474199776e-01,2.246046492476031983e-03,4.946289883340253268e-02,4.978994109686717823e-02
9.601920384076814696e-02,6.017459613419248177e-01,1.468785878042808829e-02,3.834460328890310077e-01,2.313434339062285690e-03,4.946518786383558713e-02,4.578313170110186181e-02
9.841968393678736382e-02,6.017774945785669960e-01,1.480659911961037557e-02,3.832915922439917855e-01,2.381307029008662701e-03,4.946481347158741132e-02,4.741513348624572244e-02
1.008201640328065668e-01,6.018085130911667857e-01,1.492533534719907296e-02,3.831376071960092000e-01,2.449663902041203378e-03,4.946175012961732259e-02,4.924561909043564251e-02
1.032206441288257698e-01,6.018390232637936821e-01,1.504406109101636205e-02,3.829840773007787691e-01,2.518504254478306451e-03,4.945597331007066388e-02,4.662171844088833228e-02
1.056211242248449728e-01,6.018690317375839927e-01,1.516276972927295408e-02,3.828310021036322452e-01,2.587827367356040128e-03,4.944745934300108503e-02,4.915264943944443188e-02
1.080216043208641757e-01,6.018985452156591087e-01,1.528145460253739138e-02,3.826783811293653081e-01,2.657632489800268102e-03,4.943618556978684325e-02,4.972263465219520923e-02
1.104220844168833787e-01,6.019275704587436771e-01,1.540010901855028320e-02,3.825262138819652269e-01,2.727918838586891083e-03,4.942213036293661987e-02,4.952888907410307739e-02
1.128225645129025817e-01,6.019561142851663771e-01,1.551872625222430920e-02,3.823744998446108601e-01,2.798685598141847225e-03,4.940527314244050339e-02,4.788639816749756112e-02
1.152230446089217847e-01,6.019841835708590327e-01,1.563729954564421765e-02,3.822232384796728222e-01,2.869931920541111698e-03,4.938559439172322818e-02,5.116683860708069742e-02
1.176235247049409877e-01,6.020117852493576116e-01,1.575582210806682898e-02,3.820724292287131507e-01,2.941656925510696251e-03,4.936307567319038470e-02,5.203657653603736832e-02
1.200240048009601906e-01,6.020389263118013368e-01,1.587428711592103400e-02,3.819220715124856946e-01,3.013859700426649649e-03,4.933769964335792124e-02,5.030024455705760927e-02
1.224244848969793936e-01,6.020656138069331309e-01,1.599268771280778698e-02,3.817721647309357813e-01,3.086539300315058534e-03,4.930945006755606957e-02,4.685475938538515017e-02
1.248249649929985966e-01,6.020918548410997273e-01,1.611101700950011428e-02,3.816227082632004386e-01,3.159694747852045266e-03,4.927831183419835448e-02,5.147326868555467810e-02
1.272254450890178135e-01,6.021176565782512258e-01,1.622926808394311790e-02,3.814737014676082283e-01,3.233325033363770515e-03,4.924427096860685416e-02,4.773995091320569484e-02
1.296259251850370164e-01,6.021430262399416478e-01,1.634743398125396152e-02,3.813251436816793571e-01,3.307429114826430233e-03,4.920731464638513492e-02,5.184479650124908939e-02
1.320264052810562194e-01,6.021679711053283812e-01,1.646550771372188096e-02,3.811770342221257879e-01,3.382005917866259120e-03,4.916743120633013803e-02,4.595206895569780431e-02
1.344268853770754224e-01,6.021924985111725137e-01,1.658348226080818416e-02,3.810293723848509062e-01,3.457054335759528023e-03,4.912461016287478222e-02,5.186801177226112863e-02
1.368273654730946254e-01,6.022166158518388324e-01,1.670135056914624772e-02,3.808821574449497982e-01,3.532573229432544801e-03,4.907884221805300373e-02,4.901865185420656301e-02
1.392278455691138284e-01,6.022403305792956019e-01,1.681910555254151340e-02,3.807353886567091394e-01,3.608561427461655195e-03,4.903011927297924039e-02,4.528387260197599268e-02
1.416283256651330313e-01,6.022636502031150085e-01,1.693674009197149513e-02,3.805890652536073060e-01,3.685017726073240227e-03,4.897843443883483777e-02,4.803673602293429684e-02
1.440288057611522343e-01,6.022865822904724942e-01,1.705424703558577892e-02,3.804431864483142078e-01,3.761940889143719664e-03,4.892378204735314123e-02,4.908608888366777084e-02
1.464292858571714373e-01,6.023091344661474222e-01,1.717161919870601947e-02,3.802977514326914554e-01,3.839329648199548990e-03,4.886615766079668854e-02,4.968453167829005312e-02
1.488297659531906403e-01,6.023313144100285177e-01,1.728884936632275188e-02,3.801527593778318281e-01,3.917182702472397048e-03,4.880555808266062723e-02,4.585899370783769191e-02
1.512302460492098433e-01,6.023531295413308007e-01,1.740593061124945384e-02,3.800082094374619412e-01,3.995498723389006787e-03,4.874198152251069116e-02,4.541986238101511364e-02
1.536307261452290462e-01,6.023745874489226937e-01,1.752285586819907898e-02,3.798641007372202671e-01,4.074276339089790040e-03,4.867542738708079131e-02,4.927418098562203613e-02
1.560312062412482492e-01,6.023956959579176429e-01,1.763961786193321904e-02,3.797204323777454427e-01,4.153514139321966801e-03,4.860589625758872379e-02,4.720564740694931788e-02
1.584316863372674522e-01,6.024164628842790803e-01,1.775620935154377869e-02,3.795772034396794892e-01,4.233210682554259911e-03,4.853339001780265782e-02,4.923990685299333564e-02
1.608321664332866552e-01,6.024368960348205349e-01,1.787262313045297549e-02,3.794344129836678681e-01,4.313364495976892456e-03,4.845791185823927066e-02,5.073647042567441118e-02
1.632326465293058582e-01,6.024570032072060766e-01,1.798885202641334335e-02,3.792920600503593143e-01,4.393974075501588632e-03,4.837946627974925445e-02,4.343310418069640938e-02
1.656331266253250611e-01,6.024767921899493173e-01,1.810488890150772912e-02,3.791501436604061137e-01,4.475037885761574616e-03,4.829805909648857143e-02,4.906122344604142010e-02
1.680336067213442641e-01,6.024962707624146319e-01,1.822072665214929596e-02,3.790086628144638259e-01,4.556554360111578564e-03,4.821369743827398635e-02,5.188763834088118421e-02
1.704340868173634671e-01,6.025154466948160481e-01,1.833635820908151998e-02,3.788676164931914503e-01,4.638521900627827141e-03,4.812638975232115535e-02,4.723380921920973530e-02
1.728345669133826701e-01,6.025343277482180238e-01,1.845177653737818668e-02,3.787270036572513154e-01,4.720938878108053328e-03,4.803614580436489645e-02,4.560370205465218846e-02
1.752350470094018731e-01,6.025529216745350025e-01,1.856697463644340490e-02,3.785868232473092454e-01,4.803803632071486016e-03,4.794297667916049693e-02,5.019970816069927594e-02
1.776355271054210760e-01,6.025712362165316360e-01,1.868194554001158941e-02,3.784470741840343377e-01,4.887114470758858673e-03,4.784689478036564803e-02,4.860723432899007046e-02
1.800360072014402790e-01,6.025892791078228949e-01,1.879668231614747137e-02,3.783077553680991856e-01,4.970869671132405881e-03,4.774791382980327070e-02,5.043556304213595021e-02
1.824364872974594820e-01,6.026070580728736248e-01,1.891117806724610523e-02,3.781688656801797110e-01,5.055067478875863336e-03,4.764604886610496193e-02,4.661040173595112218e-02
1.848369673934786850e-01,6.026245808269988791e-01,1.902542593003284446e-02,3.780304039809551653e-01,5.139706108394467843e-03,4.754131624273580381e-02,4.309586142156916766e-02
1.872374474894978880e-01,6.026418550763639193e-01,1.913941907556336586e-02,3.778923691111083505e-01,5.224783742814955584e-03,4.743373362540127813e-02,4.710370133126752512e-02
1.896379275855170909e-01,6.026588885179841037e-01,1.925315070922366256e-02,3.777547598913252869e-01,5.310298533985569058e-03,4.732331998883709118e-02,4.598583552980339134e-02
1.920384076815362939e-01,6.026756888397251100e-01,1.936661407073003369e-02,3.776175751222955457e-01,5.396248602476047540e-03,4.721009561298365742e-02,4.953606707912638213e-02
1.944388877775555247e-01,6.026922637203024902e-01,1.947980243412910165e-02,3.774808135847119162e-01,5.482632037577634884e-03,4.709408207854635930e-02,4.767498062367782341e-02
1.968393678735747276e-01,6.027086208292821157e-01,1.959270910779779482e-02,3.773444740392707386e-01,5.569446897303070854e-03,4.697530226194399083e-02,4.208275456463868996e-02
1.992398479695939306e-01,6.027247678270798437e-01,1.970532743444336141e-02,3.772085552266716268e-01,5.656691208386604997e-03,4.685378032964707118e-02,4.326829108933746837e-02
2.016403280656131336e-01,6.027407123649619614e-01,1.981765079110335906e-02,3.770730558676176347e-01,5.744362966283979299e-03,4.672954173190904670e-02,4.938090884167081057e-02
2.040408081616323366e-01,6.027564620850446309e-01,1.992967258914566525e-02,3.769379746628152006e-01,5.832460135172443799e-03,4.660261319589253937e-02,4.864190824814607766e-02
2.064412882576515396e-01,6.027720245905374696e-01,2.004138630217567815e-02,3.768033102949316371e-01,5.920980650987156708e-03,4.647302272659040862e-02,4.455229262886493957e-02
2.088417683536707425e-01,6.027874070646360716e-01,2.015278582582731917e-02,3.766690614518146685e-01,6.009922457375946152e-03,4.634079970287148520e-02,4.633765331316964248e-02
2.112422484496899455e-01,6.028026168874525137e-01,2.026386490167030388e-02,3.765352267839713329e-01,6.099283439656297962e-03,4.620597468887661929e-02,4.754269535020518023e-02
2.136427285457091485e-01,6.028176614913421938e-01,2.037461724798434251e-02,3.764018049179198022e-01,6.189061445630956657e-03,4.606857946845181739e-02,4.747379247599364804e-02
2.160432086417283515e-01,6.028325482280521008e-01,2.048503668369235087e-02,3.762687944654440342e-01,6.279254299958933298e-03,4.592864707072398522e-02,4.855737365906703795e-02
2.184436887377475545e-01,6.028472843687215921e-01,2.059511712836046768e-02,3.761361940235935508e-01,6.369859804155510695e-03,4.578621175677348443e-02,4.655566863843817182e-02
2.208441688337667574e-01,6.028618771038820601e-01,2.070485260219804072e-02,3.760040021746837713e-01,6.460875736592238197e-03,4.564130900571704980e-02,4.535682398881155791e-02
2.232446489297859604e-01,6.028763335434569326e-01,2.081423722605763374e-02,3.758722174862957344e-01,6.552299852496935167e-03,4.549397550021017089e-02,4.471743130584663467e-02
2.256451290258051634e-01,6.028906607167614506e-01,2.092326522143502301e-02,3.757408385112763205e-01,6.644129883953688379e-03,4.534424911137813208e-02,4.851147751297788663e-02
2.280456091218243664e-01,6.029048655725034456e-01,2.103193091046920774e-02,3.756098637877379742e-01,6.736363539902857217e-03,4.519216888318569603e-02,3.843960605795008340e-02
2.304460892178435694e-01,6.029189549787823399e-01,2.114022871594238920e-02,3.754792918390590373e-01,6.828998506141064143e-03,4.503777501625471497e-02,4.462180904098070333e-02
2.328465693138627723e-01,6.029329357230898134e-01,2.124815316127999509e-02,3.753491211738834155e-01,6.922032445321205096e-03,4.488110885114020288e-02,4.498010916309238411e-02
2.352470494098819753e-01,6.029468145123095812e-01,2.135569887055065869e-02,3.752193502861209118e-01,7.015462996952444297e-03,4.472221285107513822e-02,4.044616596846457857e-02
2.376475295059011783e-01,6.029605979727175047e-01,2.146286056846623616e-02,3.750899776549469489e-01,7.109287777400211637e-03,4.456113058419430839e-02,4.555957142360844703e-02
2.400480096019203813e-01,6.029742926499812583e-01,2.156963308038178928e-02,3.749610017448026245e-01,7.203504379886208758e-03,4.439790670524838834e-02,4.244406366791820401e-02
2.424484896979395843e-01,6.029879050091609960e-01,2.167601133229560273e-02,3.748324210053949335e-01,7.298110374488405577e-03,4.423258693681896003e-02,4.681992132576619919e-02
2.448489697939587872e-01,6.030014414347085738e-01,2.178199035084917023e-02,3.747042338716964904e-01,7.393103308141040289e-03,4.406521805004589426e-02,4.368844179794291460e-02
2.472494498899779902e-01,6.030149082304681052e-01,2.188756526332720498e-02,3.745764387639455850e-01,7.488480704634621100e-03,4.389584784487848140e-02,4.590330756724683714e-02
2.496499299859971932e-01,6.030283116196756277e-01,2.199273129765762572e-02,3.744490340876464041e-01,7.584240064615922761e-03,4.372452512986196860e-02,4.738105594537563720e-02
2.520504100820163962e-01,6.030416577449593252e-01,2.209748378241157760e-02,3.743220182335686430e-01,7.680378865587990898e-03,4.355129970147141039e-02,4.470008844961182587e-02
2.544508901780356269e-01,6.030549526683394168e-01,2.220181814680341134e-02,3.741953895777479500e-01,7.776894561910140287e-03,4.337622232300482328e-02,4.074905889273628540e-02
2.568513702740548021e-01,6.030682022759799032e-01,2.230573000012450388e-02,3.740691464955209211e-01,7.873784606889628820e-03,4.319934471159283390e-02,3.865638881647891906e-02
2.592518503700740329e-01,6.030814121715347698e-01,2.240921522459184134e-02,3.739432873742185581e-01,7.971046472656872703e-03,4.302071952227403545e-02,4.828087187482315440e-02
2.616523304660932081e-01,6.030945880689426719e-01,2.251226964768063277e-02,3.738178105553578989e-01,8.068677559162280508e-03,4.284040028859788241e-02,4.250652370903532096e-02
2.640528105621124388e-01,6.031077355635345860e-01,2.261488922898619719e-02,3.736927143714892097e-01,8.166675252272071264e-03,4.265844142154765622e-02,4.059274657864469366e-02
2.664532906581316141e-01,6.031208601162026950e-01,2.271707007330970446e-02,3.735679971486194351e-01,8.265036927585501375e-03,4.247489818598941536e-02,4.290766945017188833e-02
2.688537707541508448e-01,6.031339670534002773e-01,2.281880843065819606e-02,3.734436572062121984e-01,8.363759950434885432e-03,4.228982667525810896e-02,4.171559268381016400e-02
2.712542508501700200e-01,6.031470615671420399e-01,2.292010069624455734e-02,3.733196928571879125e-01,8.462841675885573664e-03,4.210328378540981187e-02,4.465971057804787175e-02
2.736547309461892508e-01,6.031601487150036744e-01,2.302094341048755918e-02,3.731961024079235578e-01,8.562279448735972756e-03,4.191532718915563782e-02,4.201711173646693886e-02
2.760552110422084260e-01,6.031732334201221901e-01,2.312133325901181286e-02,3.730728841582527933e-01,8.662070603517528500e-03,4.172601530949368587e-02,4.176726406034894645e-02
2.784556911382276567e-01,6.031863204711959137e-01,2.322126707264780474e-02,3.729500364014660674e-01,8.762212464494743142e-03,4.153540729305510437e-02,3.939166812995621020e-02
2.808561712342468319e-01,6.031994145224843784e-01,2.332074182743187202e-02,3.728275574243104518e-01,8.862702345665154566e-03,4.134356298318049572e-02,4.275226727942297439e-02
2.832566513302660627e-01,6.032125200938079912e-01,2.341975464460622700e-02,3.727054455069895855e-01,8.963537550759358846e-03,4.115054289274298893e-02,3.804894272567804075e-02
2.856571314262852379e-01,6.032256415705489205e-01,2.351830279061892931e-02,3.725836989231639529e-01,9.064715373240989429e-03,4.095640817673458500e-02,4.295407649602648453e-02
2.880576115223044686e-01,6.032387832036500974e-01,2.361638367712391023e-02,3.724623159399506611e-01,9.166233096306736217e-03,4.076122060463179680e-02,4.533303314360219438e-02
2.904580916183236439e-01,6.032519491096157704e-01,2.371399486098095533e-02,3.723412948179234960e-01,9.268087992886326482e-03,4.056504253255749370e-02,3.599098441826004136e-02
2.928585717143428746e-01,6.032651432705117278e-01,2.381113404425572178e-02,3.722206338111128665e-01,9.370277325642545688e-03,4.036793687525525032e-02,3.296924918120129611e-02
2.952590518103620498e-01,6.032783695339644092e-01,2.390779907421971065e-02,3.721003311670059710e-01,9.472798346971213201e-03,4.016996707789280419e-02,4.202060334335576408e-02
2.976595319063812806e-01,6.032916316131620160e-01,2.400398794335030853e-02,3.719803851265466310e-01,9.575648299001208313e-03,3.997119708771119939e-02,4.761489053416057687e-02
3.000600120024004558e-01,6.033049330868535121e-01,2.409969878933073892e-02,3.718607939241352911e-01,9.678824413594445952e-03,3.977169132553616537e-02,3.676891677892048238e-02
3.024604920984196865e-01,6.033182773993494008e-01,2.419492989505010738e-02,3.717415557876292409e-01,9.782323912345899236e-03,3.957151465716836347e-02,3.581942738076240168e-02
3.048609721944388617e-01,6.033316678596066795e-01,2.428967968915268782e-02,3.716226689386440962e-01,9.886144007060938127e-03,3.937073236461019476e-02,4.113763916595161718e-02
3.072614522904580925e-01,6.033451075162911126e-01,2.438394682429993396e-02,3.715041316312748254e-01,9.990281960955364055e-03,3.916941010868655454e-02,3.664724533851163035e-02
3.096619323864773232e-01,6.033585992730482461e-01,2.447773011538429550e-02,3.713859421082735812e-01,1.009473501926141589e-02,3.896761390564637551e-02,3.744953745383616805e-02
3.120624124824964984e-01,6.033721459455303471e-01,2.457102849673695882e-02,3.712680985888661689e-01,1.019950039005477344e-02,3.876541010196055820e-02,3.772105770190922747e-02
3.144628925785157292e-01,6.033857501858079786e-01,2.466384106532351281e-02,3.711505992954037825e-01,1.030457528643048334e-02,3.856286534006607425e-02,4.015887159894147157e-02
3.168633726745349044e-01,6.033994144823711103e-01,2.475616708074393144e-02,3.710334424533632269e-01,1.040995692650293833e-02,3.836004652868565956e-02,3.714413944450630639e-02
3.192638527705541351e-01,6.034131411601281192e-01,2.484800596523258770e-02,3.709166262913469736e-01,1.051564253340589797e-02,3.815702081315731908e-02,3.899066933339780106e-02
3.216643328665733104e-01,6.034269323804064555e-01,2.493935730365823972e-02,3.708001490410828271e-01,1.062162933529246789e-02,3.795385554579151083e-02,3.742425576911078550e-02
3.240648129625925411e-01,6.034407901409526431e-01,2.503022084352405155e-02,3.706840089374243141e-01,1.072791456533512058e-02,3.775061825627254453e-02,3.521660494531773239e-02
3.264652930586117163e-01,6.034547162759317240e-01,2.512059649496756891e-02,3.705682042183504055e-01,1.083449546172567460e-02,3.754737662212108418e-02,3.658789784889142360e-02
3.288657731546309471e-01,6.034687124559277027e-01,2.521048433076074693e-02,3.704527331249656830e-01,1.094136926767531534e-02,3.734419843923486582e-02,3.449299944373111076e-02
3.312662532506501223e-01,6.034827801879437681e-01,2.529988458630991546e-02,3.703375939015002283e-01,1.104853323141457427e-02,3.714115159252406179e-02,3.716069655013330697e-02
3.336667333466693530e-01,6.034969208154014053e-01,2.538879765965581722e-02,3.702227847953097339e-01,1.115598460619335319e-02,3.693830402665748691e-02,3.356670534396057753e-02
3.360672134426885282e-01,6.035111355181415060e-01,2.547722411147357313e-02,3.701083040568753924e-01,1.126372065028089300e-02,3.673572371693677174e-02,3.345704060905103916e-02
3.384676935387077590e-01,6.035254253124235913e-01,2.556516466507270657e-02,3.699941499398040068e-01,1.137173862696580842e-02,3.653347864031384479e-02,4.090436408622961234e-02
3.408681736347269342e-01,6.035397910509260333e-01,2.565262020639712953e-02,3.698803207008277694e-01,1.148003580455605847e-02,3.633163674656833542e-02,3.617208408565231181e-02
3.432686537307461649e-01,6.035542334227461669e-01,2.573959178402515993e-02,3.697668145998046496e-01,1.158860945637896732e-02,3.613026592966039202e-02,3.596855985324426408e-02
3.456691338267653402e-01,6.035687529534001783e-01,2.582608060916949388e-02,3.696536298997179504e-01,1.169745686078120517e-02,3.592943399927485404e-02,3.746404325902771143e-02
3.480696139227845709e-01,6.035833500048228828e-01,2.591208805567723344e-02,3.695407648666766964e-01,1.180657530112881430e-02,3.572920865257198098e-02,3.446663764492536447e-02
3.504700940188037461e-01,6.035980247753685024e-01,2.599761566002985885e-02,3.694282177699153014e-01,1.191596206580717437e-02,3.552965744616021215e-02,3.484405134372573626e-02
3.528705741148229769e-01,6.036127772996850993e-01,2.608266512042664229e-02,3.693159868826071390e-01,1.202561444950575945e-02,3.533084776837969176e-02,3.660629397437541871e-02
3.552710542108421521e-01,6.036276074332551644e-01,2.616723826194532893e-02,3.692040705213504581e-01,1.213552981558480015e-02,3.513284681369752138e-02,3.598009434043072940e-02
3.576715343068613828e-01,6.036425148418130826e-01,2.625133711170700435e-02,3.690924669961054283e-01,1.224570551694236127e-02,3.493572154732201007e-02,3.145783136652471890e-02
3.600720144028805580e-01,6.036574990242489225e-01,2.633496387860364760e-02,3.689811746076614996e-01,1.235613889205812270e-02,3.473953868161290537e-02,3.723956647162188910e-02
3.624724944988997888e-01,6.036725593141782920e-01,2.641812092376888757e-02,3.688701916693742366e-01,1.246682729934447259e-02,3.454436465248973687e-02,3.277305982262260914e-02
3.648729745949189640e-01,6.036876948799414500e-01,2.650081076057796831e-02,3.687595165071652081e-01,1.257776811714648828e-02,3.435026559336447349e-02,3.118202874242191613e-02
3.672734546909381947e-01,6.037029047246041946e-01,2.658303605464777675e-02,3.686491474595217643e-01,1.268895874374195709e-02,3.415730730938490445e-02,3.145588209938775248e-02
3.696739347869573700e-01,6.037181876859570862e-01,2.666479962383682539e-02,3.685390828774973704e-01,1.280039659734135901e-02,3.396555525200069953e-02,3.279391921893472922e-02
3.720744148829766007e-01,6.037335424365161130e-01,2.674610443824525577e-02,3.684293211247113842e-01,1.291207911608788575e-02,3.377507449386545069e-02,3.865697525773464927e-02
3.744748949789957759e-01,6.037489674835221365e-01,2.682695362021484189e-02,3.683198605773490564e-01,1.302400375805741473e-02,3.358592970408662282e-02,3.005932198932428218e-02
3.768753750750150067e-01,6.037644611689412244e-01,2.690735044432899029e-02,3.682106996241616970e-01,1.313616800125853683e-02,3.339818512383548044e-02,3.387841280143850248e-02
3.792758551710341819e-01,6.037800216694645394e-01,2.698729833741273301e-02,3.681018366664664532e-01,1.324856934363253559e-02,3.321190454232873790e-02,2.679843146805700738e-02
3.816763352670534126e-01,6.037956469965083395e-01,2.706680087853273811e-02,3.679932701181465871e-01,1.336120530305339935e-02,3.302715127319350713e-02,3.302245047375791664e-02
3.840768153630725879e-01,6.038113349962140886e-01,2.714586179899730264e-02,3.678849984056511424e-01,1.347407341732781427e-02,3.284398813122649252e-02,3.554268738365451430e-02
3.864772954590918186e-01,6.038270833494483458e-01,2.722448498235635617e-02,3.677770199679951668e-01,1.358717124419516961e-02,3.266247740955843110e-02,3.195248744337406827e-02
3.888777755551110493e-01,6.038428895718025435e-01,2.730267446440145726e-02,3.676693332567597117e-01,1.370049636132755419e-02,3.248268085723428344e-02,3.059461608558425652e-02
3.912782556511302245e-01,6.038587510135934311e-01,2.738043443316579006e-02,3.675619367360917766e-01,1.381404636632974949e-02,3.230465965721938948e-02,3.299919284939500236e-02
3.936787357471494553e-01,6.038746648598629641e-01,2.745776922892417815e-02,3.674548288827042541e-01,1.392781887673925391e-02,3.212847440484154632e-02,3.422892965829349432e-02
3.960792158431686305e-01,6.038906281303780821e-01,2.753468334419307065e-02,3.673480081858759849e-01,1.404181153002625158e-02,3.195418508667854929e-02,3.394515779973077130e-02
