S,pH,v0
1.286452543265691162e+01,8.257984174112369402e+00,1.632511535870296404e+00
1.910879185241562936e+02,7.099626694274018490e+00,9.466023986436356452e+00
2.573844960272002709e+02,7.925202437918876797e+00,9.524423339270551736e+00
5.466151410072268568e+00,8.473099424897277743e+00,6.828699413434321519e-01
2.281248168854066094e+01,6.421831673681913877e+00,2.474314693633762108e+00
4.299181801200511188e+00,7.745171740687434969e+00,6.616623450533323236e-01
2.656296018287550353e+01,7.783764030996401573e+00,3.416703372413430806e+00
4.785823739122923470e+00,5.005508357214661252e+00,3.985430803176538694e-02
6.852912765596731681e+00,6.077039355208732729e+00,5.839604009377443727e-01
1.920952213642277684e+02,4.497206872110534270e+00,3.311016071014067363e-01
2.282595409843805268e+00,8.541753877129805161e+00,2.889363663648282232e-01
3.222095171525166535e+01,7.440026488542506478e+00,4.071882889208747969e+00
8.767466336518607850e-01,6.282262977249428282e+00,9.680202975401742960e-02
1.306805314877686612e+02,4.185061853334596904e+00,6.642101170966814572e-02
9.638006604868701288e+01,7.323347615526717647e+00,7.749775080366803515e+00
2.476743531839796564e+00,7.251420307628533735e+00,3.919259377988450477e-01
1.751792241467262556e+02,6.752062081244632807e+00,9.074697349274345015e+00
7.396023454487459237e-01,8.967060188435295842e+00,6.762959875898560957e-02
4.728768760254562054e+00,4.081258859396345251e+00,1.100062287947515833e-03
1.365352594504895212e+00,9.534493481519819014e+00,5.374301068129864328e-02
1.014718808529194227e+01,9.842282143877262968e+00,1.965362258666790984e-01
1.025111297518978972e+02,4.896588106266444029e+00,7.429252056798194559e-01
2.336388671737112066e+00,9.223932146923061737e+00,1.492703849731970844e-01
7.079335954841058376e-01,7.688458345856017395e+00,1.165657086974950657e-01
7.471716752564661057e+00,9.462275959760168220e+00,3.035538624666975216e-01
1.884825879210249466e+00,8.482622909319797344e+00,2.484207140404982028e-01
9.171371010445567018e-01,7.987399054520467168e+00,1.453172216944183526e-01
2.419508450137826117e+01,8.692646863005650815e+00,2.267561774355872917e+00
3.682237161868677333e+00,5.689321269590497110e+00,1.766983765938700823e-01
4.465104277887670747e+01,6.987171176508186754e+00,5.063759470972946986e+00
1.897497847767915191e+00,6.935815187839804885e+00,2.885632563541976614e-01
2.716496451503477942e+02,4.953754409881429233e+00,1.905347241325386465e+00
5.740076466773275321e+00,5.375294815643677282e+00,1.380776623286645299e-01
1.012120669576457077e+00,4.096306702123869492e+00,2.486583178592108117e-04
3.352181923272762987e+01,9.300815302255671213e+00,1.473938075847878837e+00
2.458006934289073229e+02,4.278898405273004357e+00,1.782218580157124976e-01
9.493459733869233474e+00,4.560553874145826470e+00,1.654225667920199844e-02
2.952786919017879086e+02,8.188603516178300623e+00,9.143951419189276564e+00
1.413228983236845693e+01,9.190525561289245360e+00,8.262153132810381440e-01
8.579203457304942049e+00,8.181196608701862161e+00,1.158745489379434890e+00
3.158678808026579787e+01,8.276262282526449354e+00,3.538176728765382695e+00
3.871013668191719148e+02,6.242303871833062345e+00,9.737087944833310971e+00
2.843406063891891904e+02,8.702428972034546462e+00,6.987803650011946033e+00
1.082735663202529963e+01,8.638644557664481027e+00,1.153038631440045370e+00
7.919997199169763746e+01,6.158540894982173164e+00,5.551265330814431742e+00
1.390057774004340096e+01,9.532215319755662719e+00,4.714052755610027012e-01
1.720326330896084244e+01,6.742830575077782385e+00,2.172103854525149202e+00
9.553810086553761494e+01,8.035866468617806291e+00,7.228536950408373407e+00
7.993799454638944368e+00,6.406903925369321406e+00,9.068767931418035833e-01
6.780190671550103332e+01,7.441809273118624724e+00,6.619178773991985842e+00
5.800718265149230746e+01,4.516612900418644827e+00,1.097749852700491829e-01
2.539938188439362250e+02,6.523953692545330973e+00,9.566617040787999571e+00
1.078027354893027256e+00,8.577081776981684058e+00,1.367013350470168420e-01
6.536819470627457918e+01,9.033344091133983511e+00,3.267429191800317323e+00
2.462436983440278766e+02,6.045379626201556000e+00,8.262621572414520443e+00
3.228098919480860900e+02,4.329128770849670182e+00,2.772759560870652895e-01
5.516501378342079098e-01,5.012630353041997999e+00,4.683578500328276079e-03
1.607662578010594530e+02,5.697975851193849195e+00,5.448072860613524249e+00
3.527503882595168534e+02,6.969010140481474380e+00,1.047554790183949258e+01
3.004950291506907547e+02,5.578941173813657173e+00,6.225848468760367460e+00
1.351591085425017713e+00,6.222264177747286240e+00,1.402836375964718885e-01
3.331186707079857570e+02,4.103016566604567039e+00,1.154077876398432179e-01
1.916606714173018986e+02,6.484914318532463362e+00,8.915255126159623345e+00
1.220099442383171038e+02,8.178526390617752995e+00,7.582459855701752183e+00
1.237137979780833064e+01,6.693424893210646154e+00,1.573958628924616354e+00
2.363575614306785866e+00,5.164118810399378923e+00,3.193787367018943724e-02
1.063901651813832245e+02,9.581961326664186984e+00,1.735423604112863893e+00
2.399170782583352093e+02,5.105360665257865804e+00,2.549589851215488423e+00
2.961898235860885187e+00,9.209961066185282874e+00,1.909150610238435908e-01
1.834615619828197097e+01,5.143953864820221433e+00,2.537121223144039317e-01
9.645423676575038741e+00,4.905411404607545656e+00,5.920451391136188207e-02
2.522301813134357644e+02,6.926543615387664055e+00,9.937382672013205465e+00
6.555053556697953976e-01,7.961844296077506655e+00,1.048810176404277594e-01
6.668833297139025262e+01,6.717863022611894053e+00,6.221661146447049262e+00
3.037741580462597923e+01,7.048914378496376365e+00,3.808157784133646473e+00
6.043899188861072691e-01,7.740794332565372748e+00,9.938307006655566767e-02
6.122513131614007165e+01,6.899965918693915512e+00,6.108853059424034448e+00
5.564106502054425585e-01,9.741127626168069042e+00,1.513260657160983048e-02
7.931767398604340258e+01,4.907924929794708291e+00,6.058061464230640736e-01
1.540120563622475025e+01,6.348030635891975137e+00,1.629657991507833081e+00
2.490251237590470623e+02,4.766355441442243546e+00,1.042247320103856900e+00
7.777023994544380869e-01,5.185343010122305252e+00,1.119953531726984586e-02
1.384808672418463971e+02,7.720233574051476921e+00,8.567710634445631968e+00
7.808670564577330220e-01,9.199304038078913948e+00,5.326046125376569101e-02
4.994969678477441555e+00,6.128636621061422929e+00,4.553769087287772299e-01
8.874950602399556132e+00,9.128559975406391302e+00,5.902540710335845153e-01
3.188123656592587736e+02,6.280851607767159450e+00,9.509396832167221092e+00
2.143777141638729944e+01,8.255787138378996914e+00,2.576696225774221638e+00
2.821481537296949504e+00,4.665547840584842731e+00,7.103385545158074320e-03
2.515222156280302102e+00,7.310177856530111207e+00,3.995730501368785492e-01
1.893465551730296568e+02,4.231832121651739165e+00,1.154780524892052018e-01
2.263024628156519391e+00,4.857594522696909500e+00,1.142490260073641614e-02
1.149644388085683699e+00,5.825882994493182032e+00,7.126233061683552583e-02
3.435738788229648399e+00,4.294224695786249768e+00,1.968850139228783304e-03
2.515000090032397395e+01,9.234453761701852059e+00,1.289428621956419052e+00
2.030226971578323614e+01,8.927843282119528823e+00,1.575273291042684765e+00
1.121071340521312578e+02,9.590942291496554972e+00,1.737699306507989316e+00
2.118761772137767707e+01,5.348374567355685727e+00,5.145885879689440223e-01
3.437816914097472587e+00,6.676815884784623734e+00,4.702168591343063309e-01
7.900330183947359863e+00,8.853884502875953189e+00,7.257494153059672604e-01
1.185902004963181042e+02,5.657136348621122579e+00,4.410742025384865705e+00
3.294387202287136063e+01,7.884018523064705519e+00,4.017125038068005694e+00
3.042696995144681296e+02,6.071549989071287179e+00,8.803586199965653947e+00
5.907235042733326225e+00,6.261367242950866441e+00,6.087581964874452245e-01
2.010254056838905257e+01,8.052235168909547269e+00,2.576315277447330576e+00
2.649631065911206562e+01,9.636048742270357792e+00,6.871387009527768486e-01
1.450894108234274995e+02,8.859808586951825049e+00,5.329085644387859588e+00
1.322186676191294818e+00,6.088273189809456198e+00,1.188019419911056918e-01
7.570178021509663679e+00,4.415296329663339847e+00,7.297502628495917618e-03
2.191102803393264367e+02,9.813933959947402030e+00,1.340471435171334269e+00
6.668022510824176408e-01,6.041343092710656393e+00,5.694007416503502755e-02
1.222813904959413094e+02,8.316065860200360760e+00,7.239173715044989521e+00
8.032805362335233568e+00,4.344249943485708698e+00,5.806495924278306728e-03
1.282229147989645242e+02,4.070703890461435215e+00,4.023186793256108840e-02
5.344031263111153063e-01,7.849556891424501970e+00,8.708852044303298789e-02
5.737620898112483658e+00,9.185054254429640963e+00,3.669329053101619831e-01
8.457462443250282069e-01,6.595674066954020809e+00,1.158226369568068764e-01
3.922553234365571484e+01,7.824151633427482544e+00,4.614580952892147536e+00
3.118735763039336639e+00,8.217609406750653989e+00,4.486307131244489654e-01
5.480651596973633843e+01,9.097278022456073643e+00,2.741527939819346393e+00
2.747327773643660294e+02,4.545509494732687727e+00,5.391396564141396341e-01
1.167162872259670747e+00,7.207202901207576673e+00,1.882676260758443798e-01
1.619941064623767488e+02,6.653762596901845683e+00,8.778757848601337344e+00
7.440460020140030606e-01,6.041545581220733041e+00,6.350038813389789760e-02
6.373544969052426623e+00,6.224162444481933676e+00,6.334043415199400728e-01
8.843878714628152338e+00,6.492684459824277887e+00,1.050763672068412147e+00
1.312635752057466831e+01,5.032194571911832170e+00,1.248052317270783029e-01
3.417653219103225410e+02,9.182190347266191210e+00,4.273442716441093303e+00
8.930408508547800750e+01,5.732722447921623221e+00,4.069075514811406613e+00
3.941038898795778955e+00,6.398333809831354912e+00,4.599590882609996823e-01
3.036200688726951480e+00,7.508861676561616960e+00,4.812454225363592686e-01
1.602085267304305205e+02,8.117474825302890551e+00,8.314317486703908244e+00
1.809189393398233960e+02,6.943190520501080876e+00,9.289940237098226916e+00
1.519137018742519984e+01,6.655812875824237196e+00,1.880538578163398533e+00
4.994493973773530548e+00,6.199844155700150239e+00,4.897294467737640100e-01
3.866380534580764561e+02,7.024731570457420915e+00,1.061021498836064758e+01
4.132211550710989556e+00,5.399795830537989616e+00,1.054762606760782789e-01
1.695900944676670186e+00,4.121556256574152144e+00,4.649708476661370865e-04
1.794626382138042686e+02,9.490944290122820703e+00,2.361812739642632053e+00
1.140913619969866772e+02,5.131172403531464532e+00,1.584796230672411044e+00
4.344232397539536805e+01,6.403149241894984911e+00,4.258717196813671002e+00
3.029221441159820642e+02,7.231354154749359608e+00,1.029180743711916790e+01
2.434460454624553449e+02,6.015308230107370591e+00,8.116946413558139284e+00
7.433660831129247981e+01,6.567530977018456895e+00,6.368501637355988620e+00
1.576389916425664239e+02,6.353356921454436090e+00,8.161307412420605090e+00
2.608910805287135926e+00,6.718492432254607571e+00,3.670599851492091781e-01
1.285350199733515275e+00,8.611676837617453728e+00,1.587432172111444828e-01
4.407779388598126502e+01,7.142355535526189847e+00,5.089403791728609683e+00
5.937066625914592777e+01,9.217364358049275452e+00,2.437360076030513412e+00
1.527353938659294696e+00,8.044883963474724453e+00,2.364580402010274807e-01
7.035717013028332190e+00,7.096166556801131620e+00,1.027014252626923252e+00
2.195454317515763876e+02,5.996004454864988453e+00,7.796084739145554998e+00
2.131900597455776847e+01,4.464017671582539037e+00,2.812593592542437723e-02
2.387433085331577942e+01,5.877287072572537241e+00,1.582098369255205750e+00
1.830400830621107477e+00,7.730905649552211933e+00,2.940374614427646582e-01
1.682906265169709670e+01,6.965728107700195793e+00,2.240588635401300266e+00
1.654048044861283628e+01,4.789211807814254485e+00,7.171324726961179896e-02
9.060625308142447043e-01,7.425227018459146677e+00,1.491021302482577193e-01
3.545177665106389213e+02,5.754026105363825749e+00,7.662855941166314189e+00
2.279202174788548518e+01,5.611544779785139880e+00,9.844223406900576290e-01
5.218859047109265514e-01,5.852961850716424941e+00,3.398900021392421006e-02
8.750646981076467057e+01,8.122063379681936368e+00,6.840107189322553793e+00
3.459102273793342874e+02,7.984022139608619284e+00,9.821372934740271177e+00
2.578788810883702354e+01,4.506865128966968115e+00,4.174174043658492733e-02
4.236766813846406521e+00,5.247389608954592610e+00,7.263657952620158897e-02
1.751143660942134028e+00,7.592660642260370629e+00,2.836377910550590964e-01
4.481004099631773840e+01,4.522190583861418922e+00,8.434937697826040692e-02
1.842401757272478013e+00,8.574606479144570415e+00,2.305134413017890238e-01
2.377113621710081048e+01,8.455888159315584574e+00,2.590472096448020789e+00
2.801073643337348784e+01,5.075110279582798256e+00,3.356820519541933723e-01
3.111507479129340936e+02,9.918089789524042743e+00,1.147117189898233747e+00
8.105178301509894379e-01,8.854856629046549799e+00,8.307999524526590851e-02
1.413956675018355647e+01,4.700166578732440925e+00,4.349835518066869772e-02
7.230227219451997200e+01,9.346228566126500326e+00,2.218988897438988417e+00
1.634839717237862367e+00,5.737767649231622968e+00,8.663298987885743874e-02
6.692103477322516092e+00,6.842297753511752845e+00,9.315409415668028936e-01
7.613095823147454366e-01,4.834988845948581471e+00,3.549939328897571723e-03
6.401289544078744598e+01,6.681913177732180742e+00,6.036045740385472591e+00
8.990173590445981189e-01,8.918636386980999475e+00,8.630638456207387343e-02
7.013855056599130222e+00,7.393413025699382857e+00,1.049546632067295260e+00
1.717452791229256945e+02,4.444970438329930218e+00,2.452973024909434752e-01
1.175169152097201497e+01,5.919582941544808463e+00,8.145476862659558615e-01
2.230455699160384597e+02,7.261603547221169741e+00,9.782052579255717362e+00
8.365585065766381945e+01,6.678675088615879218e+00,6.925234448134368392e+00
2.271108212791908727e+02,6.898093490873606903e+00,9.730520578182970226e+00
1.171743098468926547e+00,9.960741407524816182e+00,2.021134763540369597e-02
8.175790195635133095e-01,6.965981669565752377e+00,1.276201194357272362e-01
8.000800601065520823e-01,9.887902874704140643e+00,1.615323680450306276e-02
1.664685537253880909e+02,4.350777622469305328e+00,1.649789166610752533e-01
3.465231171416939304e+01,9.320302312640652787e+00,1.466921295351843346e+00
1.382172718083033303e+01,6.498464443338488827e+00,1.606531278095781667e+00
1.491939658098400789e+00,9.153937415049629323e+00,1.067985033464484285e-01
4.517298623895379706e+01,9.519074195639001701e+00,1.271880979896512498e+00
4.189894605656400373e+00,7.243324095584847910e+00,6.448077188591089248e-01
5.790528684784869284e+01,4.616443444853941536e+00,1.602112874904260409e-01
1.084983041251101987e+01,6.199004847685052333e+00,1.033198267691604944e+00
1.486622409728695970e+01,4.427824696228692680e+00,1.601573811664414732e-02
9.804843934433783659e+01,8.907891404585232209e+00,4.488342098665467184e+00
9.294338076728203557e-01,9.875569227154318952e+00,1.919067363787388750e-02
2.394186734767420788e+01,8.077537286391480720e+00,2.982277442795010725e+00
1.868791305593076046e+00,6.288739451173449346e+00,2.049212193304116025e-01
1.109337557564624603e+02,8.458557670363269665e+00,6.581146767495040351e+00
1.312604947884105044e+01,9.981486714365463087e+00,1.864083288824431028e-01
3.708869280325458817e+02,6.829875208083032945e+00,1.048094031613824662e+01
1.698521069084624413e+00,4.576171775502873018e+00,3.031420825037757678e-03
3.123929521848883724e+02,7.551969471018381341e+00,1.022155025983136767e+01
1.057071183278519868e+02,9.136794829771439197e+00,3.519953296250735164e+00
1.247706774382460182e+01,8.151645557551326249e+00,1.640567703671248712e+00
1.150092046635285499e+02,8.760648588589633690e+00,5.443082227554136843e+00
2.812513558819579984e+01,6.824726457670605484e+00,3.445203415908275613e+00
3.988828879247590464e+01,8.647992505818159259e+00,3.476161921071601046e+00
2.246448716988113290e+02,7.723083057199833235e+00,9.564410496433390918e+00
7.734921253628144200e-01,5.052741658334971575e+00,7.459021420596847855e-03
1.327443051422054907e+02,8.991967732315810480e+00,4.524564101426134854e+00
6.418191469199434174e+00,6.071815426432354279e+00,5.447039751430151622e-01
4.406139294973105969e+00,8.047914581846335125e+00,6.487126951769168759e-01
3.843431725022399519e+02,6.574112437345171145e+00,1.031005630418536967e+01
9.264805978397004083e+01,9.522421299208909673e+00,1.835869404441661024e+00
1.283873409052723424e+01,6.251253770485280192e+00,1.272382781988996792e+00
8.431372369122406951e+00,4.878235401195909482e+00,4.681340051900292204e-02
1.764068252995112118e+02,6.291986800334329111e+00,8.287982592151774242e+00
8.933083440488253091e-01,5.089464453357731344e+00,9.655979329049019233e-03
5.696044901190744270e+01,9.216003591641218406e+00,2.386244483474670997e+00
9.771402222177741237e+01,6.561869953137192013e+00,7.237651594186424120e+00
1.044982486568825379e+02,7.006239434616042594e+00,7.912239229540667829e+00
4.311192031489092358e+00,8.919669417524660915e+00,3.889138941794477722e-01
1.027271498897828792e+02,9.357014293369235958e+00,2.522099927248728779e+00
2.254855665732879988e+00,8.049202876941160767e+00,3.440333858616330120e-01
5.633555634774073617e+00,7.481721186367499499e+00,8.589251709914048627e-01
8.144406445958894736e+00,7.871198272546673813e+00,1.177212139654248313e+00
1.865227915808036840e+01,8.917311723266472256e+00,1.477954711823916467e+00
1.061445277526327002e+00,6.082530937685258543e+00,9.498290911461550190e-02
7.592347712714667907e+00,9.053227431393263913e+00,5.634845362107739897e-01
5.010060090062170568e-01,9.946929571941074855e+00,9.016446557460285408e-03
7.243929875642326977e+01,6.332815166673022134e+00,5.783592599214625984e+00
1.486080841483544077e+02,8.785355731530749779e+00,5.742260688229132271e+00
1.265613710319406282e+00,8.941921739573661654e+00,1.176735792620726279e-01
5.522343589223446969e+01,6.815734843003689036e+00,5.676825048289936504e+00
1.209779325987252037e+02,8.768381341464747791e+00,5.495224992431833044e+00
3.542468339028571904e+02,4.329888020099411428e+00,3.015196897988974833e-01
1.407893931782634240e+02,4.599553715661471642e+00,3.635330361832610491e-01
8.515091040350323937e+00,4.218493013343690201e+00,3.649680670682013597e-03
3.492162821236433388e+02,9.157124732040067272e+00,4.434671489239985220e+00
3.361509767749049615e+02,6.373180007701106042e+00,9.798839902905955412e+00
1.449404479918988642e+01,8.403676757871558323e+00,1.715330345866708406e+00
7.696497031974614345e+01,5.775292454597252600e+00,3.878829879927010005e+00
2.248655819109865774e+02,9.138687422030988827e+00,4.259034522506988552e+00
1.205779237207004684e+01,5.838257376849696811e+00,7.433003237578414968e-01
1.609233970239437781e+02,8.133473486329847901e+00,8.288050559051097110e+00
5.441099698546879182e+01,9.442209808956523176e+00,1.631167116199680800e+00
3.566634192934750480e+00,6.498672235082777249e+00,4.458577380291862680e-01
8.463180877065879315e+01,9.086656778192990558e+00,3.450222219230873133e+00
2.268398189015282185e+01,8.186274106052167099e+00,2.766840835568956436e+00
9.362911741991762904e-01,4.625905199279660707e+00,2.023465388038963274e-03
6.841992614341902090e+00,6.471979588568951058e+00,8.151033028256339241e-01
8.185529951543624172e-01,8.809796795338156628e+00,8.747282581155628456e-02
1.205939574629802102e+01,9.717204007587703529e+00,2.940591594546004828e-01
8.771200725168917245e+00,5.447453818142550475e+00,2.531369785131024064e-01
8.494111002706221214e+00,5.607272354764893940e+00,3.464966228496055844e-01
2.517982400179874247e+01,4.009477711620346163e+00,5.088475563037916927e-03
1.135408213029473146e+00,8.156124739660345568e+00,1.724961786249385731e-01
2.569124655408774061e+02,7.432433950143683354e+00,9.988452391222146787e+00
4.839828924687358125e+01,8.406585153043371506e+00,4.551481237717946549e+00
1.231633285339206481e+02,4.163512569708750277e+00,5.722339578239157842e-02
2.006617899995202094e+02,7.986422210175327052e+00,9.005129795695816952e+00
2.468315053030076101e+01,8.199331544590451770e+00,2.963154298276986065e+00
6.542249741971264410e-01,9.514309156757175145e+00,2.707792245889763944e-02
5.814070308476517113e+01,4.249788883714384902e+00,3.753122562155761927e-02
2.243382171708513084e+01,7.735270899723177607e+00,2.971181411222097779e+00
1.249678061477420528e+02,9.688831234069173348e+00,1.497224007527559797e+00
1.753394929633183708e+01,7.731146437696361673e+00,2.390796937621957330e+00
1.147864949053745534e+02,5.407760429415576553e+00,2.923548745900276469e+00
3.920853388002464044e+02,6.452806988671208721e+00,1.017266495695600348e+01
5.207894371342293383e+00,8.474901719999147431e+00,6.523677988062029920e-01
1.568413726146151266e+00,9.247731993716826082e+00,9.820764781746670058e-02
6.855469338755862729e+00,7.096719348088218027e+00,1.002773022233103939e+00
7.676122372357487222e+01,7.710038832299604294e+00,6.924421782427786276e+00
9.420872331284952494e+00,9.798349325414980271e+00,2.006185108988002286e-01
2.553232762523609622e+01,7.925003805031855642e+00,3.244409635767441902e+00
1.171394306766158966e+00,6.758940697316209167e+00,1.711616223136825099e-01
6.411680873874966835e+01,4.627859077471035754e+00,1.862430050282725680e-01
3.251430091365922870e+00,8.559889352626244730e+00,4.002489207314391950e-01
1.787927627631946681e+00,9.438365351390515912e+00,8.246835787258291472e-02
1.600263517900498869e+02,6.455123273570241516e+00,8.425664142596700046e+00
2.175260200403893407e+01,5.941841369484719415e+00,1.564598219813705837e+00
1.275011296404784211e+01,4.751354561309844904e+00,4.674576786206901396e-02
2.033931288800938830e+02,6.599282505632059426e+00,9.227267976546690065e+00
8.885294894899757878e-01,9.857456555989926983e+00,1.904800441502146890e-02
5.247700231367315382e+01,7.578228051629494644e+00,5.713112571795176287e+00
4.478495123519786958e+00,6.660523509463052605e+00,6.004502588167233146e-01
1.615103257781596691e+00,4.020190923063942101e+00,2.853384482388788461e-04
4.549578975534027592e+01,7.000807523702361479e+00,5.137025295896421540e+00
5.652945220098660961e+00,5.791440079196465085e+00,3.238265192527667868e-01
4.536148800533380765e+00,5.298807731249940645e+00,8.942788542034760257e-02
2.745057687003381375e+02,6.048091491198265501e+00,8.508082889263084425e+00
1.894746098980744309e+00,8.757044171710615998e+00,2.074828481317340378e-01
1.534109014953619798e+01,7.580212719972138302e+00,2.139112092806719989e+00
5.870599952996659043e-01,5.884957936793506761e+00,4.020434231849346479e-02
1.490192158950920609e+00,9.019211715642988736e+00,1.264730305115298603e-01
1.834907113245201913e+02,7.306934946826133093e+00,9.392934923419188564e+00
9.777473756066345345e+01,7.942605505473815164e+00,7.425826367782203619e+00
2.067823849051293195e+01,6.338454357865666466e+00,2.147094733247249199e+00
2.211934338823780877e+00,8.952613264227316847e+00,1.996430817983889938e-01
2.080469851430741812e+01,7.096001276315311301e+00,2.763429720762576203e+00
5.422910822126535413e-01,6.435545930588641994e+00,6.785701009733827171e-02
5.872927979994052095e+01,6.031288408618979524e+00,4.174305199678295608e+00
6.022290878638204248e+01,8.028753137564144993e+00,5.853339011438990269e+00
3.754022259089339997e+01,9.486171883661578264e+00,1.184510107821126423e+00
2.976742152046968570e+01,9.773316026291464453e+00,5.806927596989177598e-01
8.184185073665876109e-01,5.781268118324014438e+00,4.712796332338817229e-02
2.596024015924482953e+00,7.619918910336048512e+00,4.137680683157214934e-01
2.325097474964593758e+01,5.275731961975198558e+00,4.754770996975998809e-01
6.971554997511632656e+00,9.334082759669248830e+00,3.517532217610116474e-01
3.792300175048805500e+02,9.622761941544620612e+00,2.099348211982712709e+00
2.402624502886711468e+02,7.663976453906519382e+00,9.734255312360433621e+00
1.381219255176442173e+00,9.033152800091794887e+00,1.155530948678898245e-01
2.580350449717801098e+01,4.479081402739478079e+00,3.742852393003721218e-02
5.249828396480980075e+01,8.088491986958134206e+00,5.337431597343125667e+00
1.245569092655385290e+00,8.576105284439718091e+00,1.575132508844975243e-01
4.040762242532208504e+00,9.419542603981351903e+00,1.849361098003227677e-01
5.988856917124457624e+01,9.096117767397712939e+00,2.886524406254976416e+00
2.065227443839100943e+02,7.749852698858252786e+00,9.386082393044318906e+00
4.909979402818450467e+00,4.932170715101672265e+00,3.216023012779390539e-02
2.469705114977860383e+00,9.013122457255544617e+00,2.072463374685558357e-01
1.215363358535739735e+02,5.395262759956174214e+00,2.972128799833968493e+00
2.495901062163332185e+01,7.920471644377911957e+00,3.184853763335896204e+00
1.209341842070995732e+01,4.345590888196561252e+00,9.082676819371271817e-03
2.770745054342313107e+00,5.729243764071632938e+00,1.437113262504160494e-01
8.126503537958348344e-01,7.049696915415233356e+00,1.290229998930794153e-01
5.635213947514335908e-01,8.879026924420358569e+00,5.671046833044608021e-02
2.413657416074863704e+01,4.119396574585930892e+00,7.782105943454646103e-03
1.793826046142366515e+00,4.856877393093809836e+00,9.030377259212398963e-03
3.396487542073491568e+02,8.672480909742095179e+00,7.319634450373770029e+00
1.025619028731322047e+00,4.684936371205872696e+00,2.771634228679313583e-03
1.026654792849929798e+01,4.939876565224370353e+00,7.101398813279279076e-02
6.993634144606011738e+00,8.704232251592493697e+00,7.386804447339986313e-01
2.362605018340838470e+00,5.308961574049576804e+00,4.784481400152125474e-02
7.458908031043202413e+01,7.385719595882902055e+00,6.941585091007141273e+00
3.695752281774059611e+01,6.001139750003185114e+00,2.789479129217057984e+00
6.396020879246213298e+01,4.482311176676745390e+00,1.066616180874159908e-01
8.697025668499878126e-01,9.248837789401601839e+00,5.513379035239200643e-02
5.284645777028530667e+00,5.844186807993072108e+00,3.302008388222532620e-01
1.614701308981064187e+01,6.544227441725720240e+00,1.902044216251329356e+00
8.665225796339631970e+00,8.638545457400692129e+00,9.422443395332719129e-01
6.559737211151587255e-01,8.952854728559836772e+00,6.102944158603575142e-02
1.829149344954247747e+00,4.798652135910682404e+00,7.498370836716793802e-03
2.769884106303374551e+02,5.813539672409620884e+00,7.458260486941094669e+00
1.482260530659546438e+00,8.844230318554123116e+00,1.514197399216587470e-01
1.487834411492555375e+02,7.879033744192996735e+00,8.564494314807866715e+00
1.218170726110927689e+02,5.224796898800562417e+00,2.091137864267055502e+00
6.838029853067159713e+00,9.285901016560522692e+00,3.722809524102541623e-01
1.132620888486969513e+01,7.238500261499980049e+00,1.613537990772976549e+00
