C,Cin,Vm,J,J_noisy
6.105003085660237971e+00,4.656543423218544753e+00,4.055767764118645147e-03,5.407072288491918677e+00,5.350107554974769641e+00
1.998056635236255474e+01,5.611210445486142007e+00,-8.516311355112943238e-02,7.468408056901354009e+00,7.429426161089367042e+00
5.279828583990290092e+00,1.527936829066370628e+01,2.822807176444064314e-02,2.063165153885377023e+00,2.067514116313972306e+00
1.698843821109247898e+01,1.262240840105517847e+01,-3.253334575934384298e-02,5.001255823202249928e+00,4.923519266602450983e+00
1.213337881568130072e+01,1.925950711823828598e+01,-7.091232364108070174e-02,4.606858308841097482e+00,4.615289829191623561e+00
1.613041236516611576e+01,1.900758780847826301e+01,2.966737896482601888e-02,2.116660046134906104e+00,2.093706468349268324e+00
1.262483922109739076e+01,4.181200393465998033e+00,3.631833846991922021e-03,6.187138836942203568e+00,6.248452366958014537e+00
7.285802298304075109e+00,4.277926115626796033e+00,2.897630283967012055e-02,5.054383887017565691e+00,5.102491620198978062e+00
1.522773625244047757e+01,1.816219442839353704e+01,4.477200600810821163e-02,1.855781096828821086e+00,1.720216824957082391e+00
5.783667506342481390e-01,2.865300522643669190e+00,2.294038863239626636e-02,1.288028565460883179e+00,1.290113694762248908e+00
8.963918387102316032e+00,1.524758243523360868e+01,-4.854879735096680887e-02,4.664268192368867361e+00,4.583394817392682619e+00
7.468498668908614135e+00,3.916019284833273328e+00,4.802430394446913220e-02,4.899098002465029467e+00,4.954579902427455274e+00
9.567626412465122243e+00,2.946429605301897237e+00,1.295445250588712904e-02,6.372393178117097712e+00,6.380798471573489117e+00
2.596032695596588447e+00,8.840953396810041554e+00,2.285478836148874260e-02,2.552489435497727222e+00,2.579909708107077204e+00
4.489011975628135254e+00,1.371278757584693508e+01,-4.527654274560610759e-02,4.339488339712204379e+00,4.286232103272039851e+00
1.126292922248920192e+01,1.689895682378635300e+01,-1.049112582126990323e-02,3.564995355814157385e+00,3.656416867713932373e+00
7.785993857336280577e+00,4.242205803108304529e+00,-6.650080570562419413e-03,6.130083889363638683e+00,6.231087557721161296e+00
1.584354130152729390e+01,2.084108425196615766e+00,-5.842396016570171324e-02,8.638803619048534443e+00,8.585565066917224541e+00
1.212247495608641401e+01,1.587498710680810277e+01,-2.814505538514877614e-02,4.270729779564065076e+00,4.289370535657380579e+00
1.723227036150053237e+01,9.075242779662884729e+00,-5.926120576166803156e-02,6.212164913603289484e+00,6.178499792183780315e+00
1.466059870464581039e+01,1.223043640163945334e+01,-5.680762972677325107e-02,5.470552831767238722e+00,5.469374334924202330e+00
1.205637778278337180e+01,1.172560998942697097e+01,-1.861496013107102887e-03,4.096292940806449678e+00,4.033011091845221330e+00
5.787931263810113691e+00,1.524026817947895829e+01,-9.701292671134778556e-02,4.825161263374212695e+00,4.918518539103243548e+00
1.566607133512706085e+01,1.979222237604224688e+01,1.372853541453250559e-02,2.503992739192979933e+00,2.455533763638846345e+00
5.062788184513081546e+00,1.299702063375569061e+01,-2.724399389777931724e-02,4.137872440146505681e+00,4.123068249396631302e+00
1.550461680697368338e+00,7.367709596222320911e+00,-8.115236309542198101e-02,4.367649663211171429e+00,4.392723809766697407e+00
1.925914833994239572e+01,3.580307526865674550e+00,-2.754820039036995349e-02,7.533903113589077272e+00,7.501525079668271090e+00
1.082322354167455991e+01,2.147288497226358395e+00,-4.368442512898627894e-02,8.204536443865681150e+00,8.192570822379066087e+00
1.548919123611873516e+01,1.386192775114729336e+01,3.109609699420068374e-02,2.773121267454845107e+00,2.744939275133496892e+00
1.060799501222568431e+01,5.176561806721610814e+00,9.401254609517073479e-04,5.739499621002948082e+00,5.732826583261133813e+00
1.225101562091783869e+01,5.624262679310108481e+00,-6.631257188899461474e-02,7.117970138199389396e+00,7.059443006444373836e+00
7.261503978042994634e-01,8.922602831371545307e+00,3.734914844879924645e-02,7.682356149708113868e-02,5.492415771696610577e-02
3.776533903108479695e+00,1.059921091286036798e+01,2.986642568998290614e-02,2.468795476766428187e+00,2.458450830530816145e+00
1.351005343892381028e+01,8.381345601126897193e+00,-1.850638162920462126e-02,5.444951207488162304e+00,5.428264907297955411e+00
1.143276372915233985e+01,1.911851655975993225e+01,-8.859211262976171564e-02,4.715630125048220656e+00,4.718464622792910568e+00
3.213172928034917497e+00,6.032013038840296382e+00,-5.169573363613955141e-04,4.294974880260694405e+00,4.280319769292858290e+00
1.904298391108738642e+01,1.208017068085112555e+01,-3.654350273124991333e-02,5.227998912657378483e+00,5.265659483079347503e+00
3.129354969320715441e+00,4.232839573446771642e-01,-5.953153330652674602e-03,7.083975379005677198e+00,7.067815582716385769e+00
1.023054983228677273e+01,1.369059649042716931e+00,-8.526817774598997868e-02,8.830872615449411711e+00,8.824040135634618309e+00
2.922857356634190662e+00,4.059042937234531578e+00,-8.275621647703106099e-02,6.278870374415780553e+00,6.245631307615988170e+00
1.436156593581938168e+01,5.698723187367893850e+00,-7.751711212489810487e-02,7.259496386706007165e+00,7.233170644700245511e+00
5.562444631198296463e+00,9.379834054567401935e+00,-1.769123538377720406e-02,4.602923025671576518e+00,4.539698386130591068e+00
2.725972803679575840e+00,1.152672729838987387e+01,8.220581362425927185e-03,2.574730908723441125e+00,2.600670154767339426e+00
9.674442543767873826e-01,3.401830062276161026e+00,-4.790306296020156035e-02,3.952367978193588094e+00,3.895242077310963502e+00
3.537968981057590945e+00,1.161513016656830466e+01,-8.600471405890405818e-02,4.845653478523754387e+00,4.808360658614337702e+00
