k,m,level_index,dE,dE_noisy
1.402125091741494245e+00,3.433304637204504850e+00,3.931826710491254318e+00,5.894871559914666159e-01,5.898843770662831609e-01
2.209338959341387465e+00,3.168775404428436637e+00,3.776398886513541164e+00,7.509453865634447833e-01,7.480208190537939172e-01
1.610365722028448854e+00,3.198992194650585930e+00,1.448434722271996655e+00,6.906869629710253866e-01,6.828678783474569913e-01
1.786940021325548411e+00,2.367269508507409803e+00,2.634219461243896276e+00,8.086831567761074702e-01,8.061112343699187166e-01
3.251094017890157950e+00,2.950709784519751189e+00,6.219003768867159110e+00,7.921789465188536772e-01,7.922603683240371231e-01
1.841226273958119775e+00,3.996200709754994307e+00,1.547739523706805009e+00,6.601568584762227410e-01,6.574008294232290828e-01
2.455572923294905063e+00,3.924604349406426884e+00,4.994977224087812750e+00,6.874796315402025293e-01,7.004202696841845821e-01
3.942211599403715905e+00,1.559345210752591804e+00,5.974418577422803800e+00,8.687336372224073733e-01,8.788008803754653320e-01
3.884971580991360085e+00,2.912231758865803322e+00,7.440785894219914098e+00,7.433610635876282124e-01,7.162494387979685406e-01
3.174369822320600942e+00,3.602611357028692396e+00,3.882678318628389746e-01,9.346321409659019697e-01,9.157420085062252246e-01
2.623680566642302647e+00,1.180394087815960447e+00,4.320397485583193031e+00,1.094469279018607910e+00,1.092721558098056267e+00
1.830673612136112460e+00,2.724820718393880625e+00,7.626596931586870909e-01,8.090349661639626433e-01,8.048130620481991349e-01
1.481956026325380593e+00,1.346476207095533617e+00,7.092125281915361512e+00,7.456349940076862914e-01,7.477714239826723785e-01
3.909776239648397933e+00,1.550696367258696196e+00,7.626660187844165328e+00,5.605991270021817297e-01,5.627723463124073566e-01
2.548205756643636022e+00,2.077588751747288853e+00,4.471235476583812485e-01,1.097726876358488424e+00,1.118905263908998915e+00
1.347596837412310844e+00,2.670007656975769805e+00,7.937902501697600144e-01,7.022306797032090708e-01,6.911104720762862863e-01
2.870469266612501347e+00,2.624384887490784468e+00,3.661272835138319692e+00,9.112466460501129628e-01,9.074705959788429421e-01
3.330049343026893816e+00,2.511956754305335160e+00,6.199455031884555822e+00,8.294202597968707291e-01,8.498479758717940591e-01
2.839009903159121606e+00,3.871780939056165938e+00,4.928226532176661401e+00,7.348747188135863473e-01,7.413417487756047697e-01
3.751893114372708116e+00,2.528023278831462939e+00,2.653762403949398774e+00,1.085831293661849273e+00,1.092461927385611986e+00
1.118778629992608575e+00,3.199288412541094750e+00,4.774729258286865452e+00,5.387782476992301062e-01,5.336381839823555184e-01
2.585767789780065051e+00,2.002899311767144308e+00,6.383699277883230216e+00,8.129047937864964934e-01,7.964240420779399310e-01
2.378007648656211170e+00,3.233001015624104468e+00,7.371989823510541662e+00,6.602323777293730434e-01,6.619070251716004938e-01
1.187048737449626801e+00,3.243671870182003314e+00,1.106594112925240125e+00,5.955211544657736944e-01,5.966112953439891564e-01
2.923984507418124767e+00,3.008696121554251590e+00,6.744163331501291658e+00,7.407978680910156655e-01,7.285243475485698728e-01
3.557898515441970222e+00,3.262887246996308832e+00,5.183282692014812731e+00,8.409441642557318186e-01,8.341118976379261474e-01
2.778823054312852037e+00,2.717070087651455523e+00,4.290430852716394128e+00,8.610199123438628810e-01,8.602994755465905863e-01
1.780292343211669515e+00,3.566918725768151166e+00,3.526215722732224833e+00,6.523879222025894542e-01,6.429404059719816544e-01
3.519644563094226353e+00,3.497601804239719225e+00,4.086436082780945611e+00,8.639438901797149573e-01,8.629611905011927986e-01
2.528487644564528125e+00,1.289169321697367865e+00,3.669800169848020488e+00,1.124759833020528177e+00,1.125714663295222628e+00
2.532666653399599177e+00,2.345067362068427919e+00,5.365525579792412181e+00,8.296139796021556601e-01,8.299698419727105092e-01
3.259090623106533524e+00,1.362016193196549541e+00,7.296251254909311257e+00,6.567129387018344477e-01,6.516500221186912745e-01
1.443766107354869543e+00,3.851617117875121288e+00,1.895058141845783695e+00,5.930059938458638324e-01,5.989434745637221003e-01
3.458880157357830942e+00,2.304673588837116149e+00,1.651506051281348419e-02,1.232174337959793808e+00,1.241086007502617106e+00
3.049860718009771432e+00,1.660234954302350019e+00,2.060643770396275443e-01,1.349770345902328250e+00,1.352978828947993817e+00
3.361290824664402876e+00,3.512885625167704085e+00,7.293573010613875418e+00,7.129189874708012908e-01,7.047366851968982493e-01
1.574848777060405602e+00,1.261648478788687022e+00,7.430661595849294088e+00,7.399165171704206179e-01,7.472330400082750623e-01
3.407092483403590055e+00,1.462260845937665810e+00,7.001192007032863707e+00,7.202009401855390403e-01,7.151865400008685647e-01
1.573971778171600722e+00,3.036489810248610421e+00,4.659784979287941553e+00,6.421590472106196712e-01,6.509506533934995565e-01
1.244657852090538253e+00,2.522269968666472906e+00,4.681695161916130665e+00,6.282755275298805842e-01,6.175576533611061292e-01
3.565680922861210522e+00,1.801883998814742815e+00,3.231282206378474520e+00,1.167234139238056301e+00,1.176378811269344071e+00
3.583850488533005141e+00,2.728839307786536494e+00,2.702557527368099954e+00,1.029312890678462100e+00,1.029112256132307390e+00
3.629611289249741635e+00,1.622151021434595108e+00,7.465782892984316632e+00,6.588388874583205324e-01,6.463513985549763641e-01
2.415729158076370453e+00,1.927706832692043015e+00,4.242709807189473104e+00,9.311075744054650993e-01,9.279685796857966018e-01
1.822145165841154935e+00,2.833181842422684227e+00,2.201674848809302532e+00,7.611101716271482243e-01,7.616511944148636193e-01
1.021275485809498784e+00,3.648796464370535286e+00,5.257811065217448565e+00,4.826599406142972337e-01,4.853878540059417546e-01
2.937162686724843486e+00,3.109534818321732175e+00,7.332792207141789476e-01,9.567875062500101890e-01,9.469656250006004417e-01
3.159728150526079027e+00,2.929683352426689869e+00,5.469508359732923708e+00,8.242858710841498571e-01,8.132121406124979135e-01
3.506707649500822477e+00,3.239941411215057965e+00,2.179293480206174749e+00,9.682296510383924248e-01,9.702254963668632826e-01
1.845633482093626432e+00,2.135127341895652009e+00,5.552914884979370136e+00,7.611841756108057577e-01,7.565166794420077334e-01
1.645654501488920785e+00,3.942934180611619599e+00,3.855422077000500103e+00,5.964528483329856190e-01,5.988079044502878645e-01
2.917994140199763553e+00,2.833780540023801642e+00,6.889468451065064336e+00,7.450221095739667510e-01,7.526173047987505527e-01
3.415164499435029200e+00,1.772683826534817264e+00,6.052971059594193015e+00,8.814258000766418411e-01,8.649379264131323852e-01
3.891012618534912537e+00,1.107895743549563328e+00,7.866083918334162206e+00,1.076900291491420525e-01,1.102339103143182286e-01
1.451574491263532440e+00,1.335266755887676293e+00,4.645376690229173988e+00,8.651919399593039905e-01,8.774384096346613537e-01
2.446637164598009839e+00,1.595527454844372084e+00,6.609716944057169030e+00,8.170213139435205107e-01,8.140460454998157402e-01
3.684147586588520262e+00,3.203117917030523287e+00,5.269710340396968284e+00,8.514359898839812812e-01,8.433278440516055463e-01
2.268150720836311862e+00,3.443563493417843624e+00,5.893889495524664568e+00,6.784258305835449976e-01,6.859482688553408813e-01
2.768506186252144285e+00,3.776358535146326023e+00,7.163519942027553711e+00,6.663263773315299954e-01,6.688608424936114405e-01
1.073472032480089489e+00,2.928730705532707645e+00,2.503413927959904584e+00,5.792206108894619732e-01,5.881794415972375623e-01
3.020379661458816756e+00,1.891830969926532102e+00,6.369394110405077747e+00,8.407090310654519172e-01,8.372568739649390857e-01
3.757265858901467581e+00,3.516607268030465860e+00,7.414703097247588914e+00,7.239195266158887643e-01,7.091013438786666345e-01
3.480475988670163279e+00,3.860410509651403199e+00,7.912115561313426859e+00,6.758002359766456246e-01,6.747001283295330776e-01
3.656560800129840416e+00,3.090711520112749522e+00,1.166544390438797762e+00,1.050110724150332464e+00,1.045652442620220057e+00
2.981066141561569793e+00,1.217074119912420427e+00,2.249825454552009774e+00,1.357212913212666239e+00,1.364966151433141928e+00
1.736656801729532740e+00,2.232945930345907826e+00,3.397430986523903407e+00,7.981280242869783770e-01,8.000643527707499425e-01
3.305550996688762844e+00,1.746830889424894284e+00,3.046793364828882744e+00,1.164651130005839530e+00,1.148342637681488476e+00
1.635024227822531540e+00,3.817781535657913228e+00,7.499753089011359286e+00,5.441853684887786313e-01,5.322337376877466220e-01
3.493824503993383512e+00,3.433370173378214041e+00,2.010294724606698225e-01,1.009626183937359700e+00,1.018464074303232270e+00
1.188153767712304631e+00,1.209781336390638229e+00,7.171903865168550496e+00,7.230433864036769354e-01,7.298410365778553732e-01
3.476463440180667330e+00,2.828295790965583478e+00,6.789042874561763696e-01,1.089508756563950964e+00,1.083106322904866081e+00
1.493521799422303786e+00,3.955442749351533394e+00,7.500360249465636286e+00,5.183300763436154979e-01,5.183195883779426749e-01
2.125440989489925769e+00,2.571418381059400460e+00,7.370367933055237408e+00,6.832061205337034426e-01,6.876618560714653494e-01
1.950214499670892998e+00,3.668324032800045487e+00,3.858222553922659337e+00,6.649003904027592782e-01,6.695844337612321118e-01
3.074011105833223567e+00,3.436992031637856826e+00,1.393607303855970869e+00,9.120231016740216745e-01,9.207855236351651929e-01
1.535715634523115769e+00,2.414612196597999638e+00,1.531829721376208653e+00,7.715416178319125518e-01,7.741064741041281394e-01
2.188768486650959133e+00,2.326025189176644581e+00,2.075298426800998186e+00,9.120798364917973577e-01,9.111315531021123570e-01
1.017473785323942836e+00,1.484953563255631437e+00,6.791338730133514190e+00,6.629163225540124493e-01,6.603278419061340276e-01
1.787484138250304611e+00,2.063408710340031149e+00,4.325993524459771145e+00,8.052227846221451379e-01,8.157802126274776855e-01
2.263566442686865798e+00,1.574100026973948907e+00,6.998596874712672999e+00,7.810906945664459755e-01,7.585821518156605769e-01
1.317763710121973464e+00,3.537122751555332734e+00,6.037215866058466496e+00,5.367114824783627558e-01,5.353249292274493421e-01
2.899479838109673580e+00,2.810209813579664040e+00,7.741631046645528258e+00,7.021283759025250815e-01,7.024583769423656809e-01
2.141272809659596987e+00,3.808726814045404918e+00,5.291015489019823548e+00,6.512868654622505638e-01,6.370333758535486890e-01
3.175881814228716848e+00,2.231062652575374283e+00,1.360355005410794682e+00,1.135861608664463951e+00,1.139189744795844339e+00
2.961598033205183000e+00,3.105127962635599204e+00,4.375511931024430368e+00,8.346690519259982732e-01,8.281562418015643301e-01
2.293680246332218786e+00,3.499450558087865204e+00,5.914270786336716768e+00,6.766190459827818859e-01,6.852434939459393082e-01
3.601961516926597717e+00,1.038631841068075934e+00,2.863235448653706605e+00,1.423602593016015883e+00,1.422346672175672566e+00
2.896405352500501351e+00,1.968561830620276343e+00,7.998219747574367489e+00,6.961596105315924765e-01,7.028511429394870280e-01
3.430823056318897279e+00,2.308689375259868282e+00,1.738102109541136642e+00,1.138238142940268149e+00,1.150426578991980309e+00
2.025384171820339141e+00,3.785810332073745066e+00,7.413043216497839261e+00,5.926046544858051268e-01,5.964339503129398867e-01
2.631007869005366651e+00,3.611466570380422070e+00,3.919470331953921693e+00,7.614016084643177029e-01,7.526443970300892294e-01
1.588890655344260328e+00,1.253524728246346420e+00,6.758198503464011964e+00,7.858852187068585682e-01,7.707420323898122039e-01
3.988423570355883463e+00,3.866377351048051469e+00,4.262816286182873782e+00,8.650372279355791338e-01,8.825710691107429007e-01
1.729646392918981368e+00,2.880711426754477777e+00,4.404903846189771599e+00,6.894204092351781110e-01,6.883074873033029339e-01
1.770602401681308224e+00,1.215800722226252351e+00,5.657388013311987152e+00,8.842348847299936754e-01,8.773492352536504946e-01
1.219570217172897930e+00,3.070366746482931397e+00,4.192573811744258805e+00,5.784211810291320921e-01,5.798637519097403770e-01
1.773409356990209851e+00,3.566087890097069835e+00,3.587761781627992974e+00,6.502211206535697396e-01,6.483070073487432472e-01
3.289385597632159541e+00,1.776565849619155868e+00,9.500077949542360400e-01,1.307546307785296902e+00,1.316067730427423754e+00
3.093680712049243997e+00,1.967984671707463828e+00,5.381805754960581112e+00,9.202402683726313981e-01,9.205795501970024386e-01
1.386019636951508316e+00,1.833078069908210317e+00,7.680347313994609237e+00,6.552440794160526716e-01,6.553815752522368365e-01
2.128715504284282467e+00,3.107522192660328031e+00,7.541007009116284188e+00,6.405994112717526834e-01,6.334536140614230870e-01
2.262764183852388644e+00,3.154837512928056587e+00,3.757919465447674412e-01,8.442784972858665693e-01,8.489741782733415398e-01
2.994952739085882332e+00,3.323047691924397640e+00,3.493697278257713812e+00,8.473052616505047929e-01,8.369665944269549795e-01
2.367786889131246575e+00,3.763123394232526842e+00,4.765787894215979037e+00,6.946373238460593624e-01,7.012962182436990322e-01
2.759554980476594199e+00,1.545484745766888324e+00,7.899777529006399845e-01,1.295822957987014412e+00,1.311062333116915779e+00
3.519053810826827000e+00,3.124743795266376800e+00,5.685063569327612143e+00,8.246804468958954804e-01,8.094335865149039355e-01
3.179420830937111475e+00,2.937108967939882298e+00,3.466904026564625596e+00,9.157561417334955101e-01,8.910938494199823756e-01
2.095021790525676941e+00,1.787863246951095775e+00,1.038626103946557855e+00,1.050458995340635804e+00,1.056627782892179068e+00
2.345188928033453024e+00,3.925925444577789136e+00,1.701182446112174063e+00,7.452658791263752081e-01,7.707448572812064524e-01
2.103098709070019723e+00,2.430880675505794564e+00,1.467439784281010517e-01,9.328133549759827226e-01,9.228041064872637422e-01
1.329203992020090208e+00,3.846482427076654442e+00,1.840857672735692674e+00,5.707866741303234681e-01,5.582797165423035723e-01
1.609724632262189647e+00,3.915321379310986671e+00,5.604209169293885573e+00,5.660845475520897008e-01,5.719742368898944607e-01
1.851419466832393113e+00,3.700144287515891861e+00,3.947085945160334397e+00,6.455609716541076404e-01,6.371537557535245089e-01
1.942401686806906724e+00,2.378456079940279633e+00,1.870274383680678554e+00,8.600544842339499230e-01,8.549942293945825833e-01
1.939143576459813056e+00,1.839330370442565865e+00,2.022022237773770215e+00,9.627617118826593545e-01,9.592805372158216271e-01
2.730099148758855954e+00,2.757285818066079752e+00,3.786577631392601617e+00,8.702052527986886554e-01,8.755252736616065956e-01
3.915069926859263916e+00,2.348607498857916198e+00,5.866368480719897249e+00,8.894688919540296723e-01,8.854158683400984442e-01
3.323992404771195730e+00,2.404604745533716059e+00,7.826991944320207395e+00,7.140429871257389927e-01,7.168218155265405622e-01
3.373401844518415515e+00,1.732244031105786952e+00,3.989874161838613098e+00,1.093114004422350405e+00,1.091348671833414663e+00
3.277805501618739736e+00,3.526759226206849895e+00,3.546187372419677963e+00,8.565356381975169908e-01,8.480889271610009272e-01
2.790963191571269153e+00,3.192172279711843697e+00,3.033208240081196827e+00,8.515093632063086559e-01,8.483111006288764910e-01
3.753076771512738219e+00,3.595928793639620036e+00,6.572324716875833417e+00,7.631920442481190392e-01,7.536880475964398141e-01
3.068890466341242629e+00,2.594616477755583350e+00,4.609190709385649676e+00,8.933342870522905654e-01,8.933994369109879985e-01
2.501069292210612804e+00,1.277991194923250307e+00,7.326476736776537990e+00,7.248666269525425587e-01,7.136279646768861618e-01
1.231251425501616259e+00,3.586926818576944065e+00,4.385702248294343519e+00,5.391195164647314408e-01,5.281905727717790544e-01
2.465347681256571555e+00,1.207753604825836824e+00,1.591354005110047432e+00,1.318650406435672551e+00,1.333220024588725128e+00
1.638492986021002906e+00,1.463548028440099902e+00,8.409223733030612991e-01,1.035238533848290121e+00,1.034706691645236765e+00
1.398088892640361625e+00,3.832360390074956324e+00,4.304333440814215983e+00,5.551835357853336372e-01,5.546445155306132246e-01
2.518194767588118665e+00,2.684514322779199436e+00,1.525319373011961410e+00,9.287160245797572156e-01,9.338313887789334578e-01
3.355255877790876973e+00,3.024992231099172368e+00,5.588261552018169098e+00,8.257645581691589465e-01,8.215559881436702572e-01
1.885019328416558393e+00,3.462978001563469910e+00,6.264047562154805959e+00,6.218700753579515794e-01,6.195847216831700255e-01
3.306315279727499501e+00,2.993671407055360056e+00,6.219208490956185997e+00,7.926784658064903732e-01,7.969299531598094122e-01
2.576888569486762037e+00,2.331913864263195801e+00,3.249914935830191531e+00,9.328948863959961590e-01,9.357190448184401488e-01
1.447144070112137637e+00,2.628998253837425914e+00,4.406766118966881862e+00,6.641174827013842652e-01,6.525245154320599150e-01
3.894903231939207178e+00,2.195451381016807701e+00,1.813324485246527118e+00,1.225653176440923975e+00,1.233986602407620703e+00
2.204908671665552600e+00,2.731571274911767322e+00,4.151414516438793001e+00,7.879985480174415136e-01,7.820941985845510924e-01
1.885702766988087475e+00,1.006621092129916573e+00,6.538059825645362366e+00,8.273150927600838589e-01,8.167543032569419825e-01
3.540995111901188874e+00,2.524798288620226927e+00,5.113686434433008188e+00,9.131010818938114504e-01,9.040963311938209346e-01
1.373380997546439497e+00,1.071465347787226241e+00,5.337285806973735447e+00,8.762063390471361846e-01,8.723008856035829872e-01
3.200771383221110433e+00,1.329015846471927054e+00,7.649106951672561827e+00,5.864679814489613952e-01,6.027409839951920478e-01
1.563474227696405094e+00,3.539104823822898815e+00,2.294109923188639932e+00,6.359076040153006648e-01,6.241522449660928951e-01
2.177475328037747460e+00,2.978158351916341484e+00,5.196565919336224582e+00,7.262073852477020086e-01,7.278081441730454015e-01
1.695699635386415327e+00,1.546503612485905066e+00,7.077236251569647862e+00,7.458700917315326251e-01,7.244918481506268382e-01
3.523683978077160717e+00,3.241607575755488746e+00,2.657523695170481481e+00,9.510006772741108616e-01,9.509850079426589442e-01
2.170223655819585318e+00,2.427349808763528127e+00,4.035947755451072538e-01,9.409610293095459488e-01,9.499566934843060029e-01
3.924078438646867895e+00,1.404538827919386890e+00,2.358526303182872930e+00,1.409718268540470110e+00,1.407351635319855632e+00
2.875784453245320282e+00,3.789057085429095917e+00,2.318678999848473588e+00,8.191542028839470246e-01,8.128606536451136177e-01
3.080868504108745576e+00,1.338415295456204968e+00,2.297938967635666963e+00,1.321183914515365210e+00,1.323499025155950637e+00
2.564575366397252587e+00,1.059228574054876137e+00,4.203091238194402557e+00,1.126955260073295495e+00,1.133956777584802067e+00
1.926904597226773319e+00,1.769805185369785150e+00,4.498948888997740703e+00,8.723721574489975428e-01,8.790087331591716069e-01
2.186669263157286380e+00,1.260579720772700529e+00,3.081185940503165632e+00,1.125569832897594047e+00,1.145294571436892062e+00
3.822802562985705421e+00,1.050164375744707002e+00,2.575980685468964637e+00,1.492647578414808329e+00,1.494739253138171131e+00
1.603609602173993398e+00,2.959725629392663038e+00,4.188866365778448397e+00,6.639602809725990706e-01,6.580361799750696905e-01
3.964656703660637049e+00,1.395886416973875166e+00,5.840495234387091728e+00,8.631267166167874150e-01,8.618669247169209457e-01
3.274917586011455217e+00,2.691639532185963635e+00,2.599190864605835927e-01,1.100798113337285722e+00,1.100073127881087576e+00
2.079360779477830601e+00,1.727769487513260316e+00,6.605880859905172819e+00,7.875416851440564248e-01,7.886290589788376160e-01
2.924540768516810108e+00,3.821950407302529662e+00,1.059474325707769893e+00,8.549761368171163722e-01,8.546758586848219874e-01
2.142944617879262381e+00,1.647567964884417702e+00,7.251218841403885840e+00,7.554228961660991448e-01,7.571625555550611786e-01
2.144478797919759927e+00,2.561964179024714738e+00,3.941387785631778939e+00,8.066916101347678669e-01,7.899831095286167226e-01
2.511408850583588759e+00,3.204961773914969392e+00,4.514041923165837744e+00,7.673020665353359471e-01,7.755983560957363521e-01
1.050168464906131138e+00,1.933389755888426764e+00,7.846592941225180695e+00,5.858929471324396676e-01,5.801455544432293499e-01
2.480714679830188452e+00,3.495218170158984172e+00,7.177746164299780851e+00,6.590301648399606860e-01,6.472985778754903885e-01
3.914795240340664062e+00,1.941936856394227418e+00,3.560699607893303309e+00,1.144390429301318068e+00,1.150767940897732489e+00
1.856395686356735464e+00,2.163580191322307833e+00,1.618266602967127987e+00,8.876129039218441097e-01,9.007861639957048805e-01
3.244653877229836336e+00,2.291164847583214925e+00,4.765999530229626302e+00,9.384108931379453455e-01,9.433411746329397607e-01
2.328366670211485356e+00,2.256682365795415812e+00,3.214768967997887472e-01,1.012616584756874216e+00,1.014228177895329486e+00
1.627843127853356275e+00,2.823830963231243718e+00,5.365843629580187013e-01,7.544619977764862595e-01,7.451397947227667018e-01
3.715007712454388766e+00,1.678736834799492428e+00,1.810353738188893225e+00,1.345690870470467315e+00,1.374406543848602391e+00
1.050481854040639096e+00,1.987642331328889789e+00,3.342001451715486127e+00,6.729573442672424077e-01,6.817599304738575228e-01
1.910526779798531916e+00,1.686916093952544493e+00,5.549640947419660186e+00,8.330313299425681217e-01,8.216383832391384034e-01
3.997077646971812559e+00,1.830835745550674964e+00,7.913006106064308653e-01,1.422447880917938612e+00,1.414651501755541219e+00
1.786440388569968452e+00,3.288346978492016071e+00,6.838830494103500968e+00,6.087583078277560844e-01,6.096281003134751408e-01
3.547133565577816228e+00,2.887800261465605089e+00,3.598221559501661559e+00,9.572211334029326890e-01,9.416738220829727890e-01
2.817049445967112931e+00,3.888367907272103352e+00,1.551342739142362426e+00,8.207554543304398376e-01,8.224417584005450088e-01
3.418107122581370838e+00,3.850390121881145156e+00,6.915593544790720415e+00,7.151119090059415706e-01,7.105211934488139258e-01
2.890953266330434701e+00,1.615256340723517425e+00,5.527031138506234953e+00,9.299432984406523772e-01,9.422060044438145265e-01
2.088090571173545129e+00,1.629838107883436749e+00,6.878736151449072800e+00,7.793386602269494201e-01,7.889602068632318721e-01
3.282366353750447718e+00,3.722943883677417798e+00,7.721173653765770695e+00,6.805644772581559421e-01,6.534516228838082030e-01
1.079453646711916903e+00,1.416879475775427499e+00,6.556820727061133169e+00,6.946130011333917498e-01,6.950300269936648956e-01
2.340438855203355928e+00,3.283555140989991461e+00,2.744064141281770119e+00,7.850023005115397412e-01,7.688276255163029038e-01
2.115563709610317922e+00,1.575279289170845143e+00,7.894629543705019792e+00,7.091139320405925872e-01,7.202103120330778374e-01
2.431222016912048645e+00,1.429109990749029890e+00,6.024237466980646438e+00,8.773386032832228842e-01,8.790196619745010986e-01
1.382862059488208839e+00,2.317731667860810418e+00,6.552255379279398717e+00,6.371521488707277969e-01,6.426362033925977491e-01
1.667520597838817231e+00,3.052179031534714149e+00,2.918584386901007299e+00,6.913418415212997381e-01,6.806905942332667214e-01
2.686154770299128192e+00,3.532506053837138449e+00,4.773806622865604865e+00,7.502206509314800487e-01,7.685049533114350906e-01
2.163307346967862088e+00,1.624453136146980725e+00,4.978662369570003854e+00,9.078363869537275921e-01,9.280371206252320260e-01
3.374968616771021779e+00,1.299111822893962209e+00,2.217388791162575146e+00,1.390532274249029587e+00,1.379884563822767474e+00
2.815409767832543153e+00,3.378138759820317194e+00,3.832263712792064680e+00,8.087292469897965352e-01,8.124573982084597468e-01
3.583800054360982479e+00,2.353051675326063297e+00,2.172735692711038169e+00,1.125941842382477631e+00,1.119208818098575753e+00
3.197082511976813812e+00,2.828709005272279420e+00,2.303593081238759943e+00,9.821332497666793726e-01,9.818975503980720276e-01
2.805470343275695111e+00,2.752604521019141437e+00,5.234053545967620735e+00,8.195851128831214139e-01,8.069287430908758108e-01
1.862846806587987070e+00,3.282452489368687054e+00,1.593105753947847703e-01,7.553349312054643550e-01,7.740063863512705034e-01
3.348281403778505361e+00,3.968676740106871215e+00,6.065521888775066373e+00,7.361892404181775706e-01,7.264974453073509419e-01
1.753802734513245420e+00,2.944274467400355366e+00,3.880320325451769747e+00,6.987040701077839033e-01,6.957432319578089608e-01
1.225633335443213401e+00,2.095634612495827387e+00,1.005207301577494050e+00,7.511203892653810499e-01,7.561352185764862455e-01
3.888593735329683554e+00,1.524669476411910640e+00,3.864095979180269147e+00,1.182611283484459541e+00,1.176135676700298172e+00
2.620033615289407258e+00,1.308636456868295106e+00,3.003497326454064975e+00,1.191989017915505489e+00,1.189595893618182521e+00
3.321682892649433949e+00,3.074662475047330812e+00,6.991791839690701948e+00,7.480957800136109892e-01,7.424593815493413240e-01
2.587668422891080233e+00,1.765310825133911354e+00,5.383473357917424096e+00,9.052373109418454522e-01,9.039027033934825539e-01
2.834739191115464241e+00,1.832803418991473698e+00,1.796662832586953584e+00,1.155340370859269550e+00,1.143634944508266527e+00
1.101676751549518718e+00,2.330040627844956802e+00,7.325287917269292848e+00,5.681506932416109379e-01,5.637708124855879133e-01
1.560381038061425585e+00,2.582795615004076062e+00,6.926209370132420773e+00,6.307256648996469872e-01,6.286567356525245565e-01
3.024068186304332606e+00,2.248444060471391559e+00,4.346326313109086570e+00,9.485801008865183404e-01,9.452428408484769840e-01
2.711693793857494761e+00,3.867113049210039843e+00,6.084206597460424248e-01,8.296848884003517055e-01,8.302517879492896657e-01
1.475665101960137893e+00,1.894273322438235763e+00,5.305762275394058314e+00,7.407940394218786029e-01,7.378630172283113797e-01
3.856087806178554178e+00,2.806055881535345797e+00,3.384346521000004770e+00,1.011612802751659768e+00,1.019144916836053572e+00
1.463060897642213032e+00,1.048736274976584504e+00,5.015831822365190540e+00,9.180987442566752588e-01,9.148667849988169065e-01
2.530909749216056159e+00,1.191315524981314100e+00,7.856971868805349146e-01,1.405155436827328241e+00,1.403788940864369339e+00
1.432008625057773044e+00,1.596840643804200877e+00,9.196684545583435622e-01,9.273661852604885292e-01,9.207183719005299638e-01
3.152115178318704025e+00,1.844028621211240448e+00,1.199087353338767592e+00,1.244845656857510363e+00,1.239580508456358032e+00
1.828939042285458338e+00,2.398969957974985689e+00,4.389800779531881858e+00,7.624882796707759258e-01,7.498433517625787692e-01
1.402401925365349911e+00,2.722622205787418537e+00,5.771764339329382487e+00,6.185556536547182072e-01,6.237435028634978895e-01
1.137961542011546978e+00,1.497763325971280590e+00,2.778503308789249893e+00,8.071591472997806660e-01,7.957339671232557254e-01
1.524506613692870882e+00,2.735949271341955757e+00,7.464152501917835636e-01,7.381580539167682531e-01,7.306994899348849826e-01
1.575396150170699228e+00,1.245469119690227888e+00,1.318765661917635335e+00,1.077145877819553732e+00,1.080738324339665768e+00
2.610916238715377702e+00,2.176824148029320671e+00,2.553122668073021018e+00,9.971700315051992281e-01,1.001195765164644591e+00
