w,a,theta_obs,P
9.429887799486892375e-01,2.614554449121275770e-01,2.700767741643880004e+00,6.868850344124484029e-04
6.184302083987248677e-01,3.496781160458290461e-01,1.505003225123868971e+00,2.685453151246777878e-04
9.725900392596058541e-01,3.522509353997601567e-01,9.456135219493102539e-01,6.218770099513677881e-03
6.392845931592732178e-01,1.670338904809774427e-01,5.355979024760847418e-01,1.629058237801163324e-04
7.091047006866095792e-01,2.384692903472488412e-01,1.443729838123253062e+00,2.197009704202621330e-04
1.357356657606230144e+00,1.331471248073689828e-01,1.237806573000904242e+00,1.188394823172251886e-03
4.953048715933936474e-01,4.027835918086537514e-01,2.303031776226230232e+00,1.243890831401404473e-04
1.010143288091855274e+00,3.293350992361671059e-01,1.213083443504136660e+00,3.329726465560260348e-03
3.092199466571002864e-01,2.521508651499619336e-01,1.468317347624117142e+00,8.109426482069149176e-06
1.282437391949417194e+00,1.123374568889731057e-01,1.754592309396409089e+00,4.342001300297025916e-04
1.223227799735288501e+00,3.215565077017812357e-01,1.088199778255599437e+00,1.125246145932239962e-02
5.111802758908378097e-01,3.167613538419022934e-01,1.027096746054303011e+00,1.721547429243406365e-04
1.339429500053914923e+00,2.834708054163088686e-01,1.034931327332123674e+00,1.367351801513518039e-02
2.761384452467526840e-01,4.311373458956864191e-01,2.101158793605791608e+00,1.464787637274451425e-05
6.369521787093584964e-01,1.054172572930896917e-01,1.418925571775877970e+00,2.601024203298723259e-05
3.953633069632908059e-01,4.689662321013212676e-01,1.760109228455248642e+00,6.756495062262675108e-05
7.854411766440730913e-01,4.894854762584842645e-01,2.949363932711267733e+00,9.961904015431250186e-04
1.235221551373482551e+00,1.597725404177629815e-01,7.723773361537988880e-01,2.407072324325364859e-03
4.998348716918716850e-01,4.482621431282041158e-01,2.961043842613576005e-01,9.618502930167494155e-04
2.676276913837324911e-01,3.458972230570678263e-01,7.800961367799766899e-01,1.641955901424011020e-05
7.259173917679866417e-01,4.641517306506778850e-01,2.136138597400609296e+00,6.630180353935492300e-04
4.580669578620319426e-01,3.988415272879864970e-01,2.288945453495821347e+00,9.116960462287694632e-05
3.179789593048584773e-01,3.658266036346978223e-01,6.498894509543096110e-01,4.526228746420830207e-05
9.544321017829059395e-01,4.128431242003767765e-01,1.212697356788294156e+00,4.985737245608109006e-03
5.883049726645993571e-01,2.126214179726997888e-01,1.338064055564308186e+00,8.701709806783386643e-05
1.073593341343267227e+00,2.991447451005457836e-01,1.298339915347310525e+00,2.852516394959385762e-03
4.593700771586773368e-01,2.957210125226536479e-01,2.150302583635246734e+00,5.232047302559709957e-05
1.424747043658447287e+00,1.635836273254286377e-01,2.918623932398427545e+00,1.466058819780607014e-03
6.746432187182771489e-01,1.916863210429118058e-01,7.275915683067130102e-01,2.459029570149783234e-04
3.371438634412983748e-01,1.064204468082579624e-01,1.479964550800627832e+00,1.985698280088396366e-06
1.017840597001621994e+00,4.533876868170447771e-01,1.506015772173493694e+00,4.497108692787256043e-03
1.405300918988227732e+00,1.185932270182002840e-01,6.180725201844126104e-01,2.331415322291556600e-03
7.724903011305191969e-01,1.373702582763884072e-01,1.597364210097321546e+00,8.949662193359778702e-05
1.440967641797958443e+00,3.792402344118867563e-01,7.503867326211797195e-01,2.013232530839311196e-01
8.498645577939411000e-01,4.460350374192830203e-01,1.779611898651374480e+00,1.316704760756370581e-03
7.527972123037982577e-01,3.787464405801241885e-01,9.953004127675704193e-01,1.836645685759433428e-03
1.006277487619991140e+00,3.850841521684299495e-01,1.012072045585376001e+00,8.809176672335973513e-03
1.493625456805921292e+00,2.494869247888708286e-01,1.496110551354658869e+00,5.608129664025776964e-03
1.433626777419094944e+00,4.134952648023031418e-01,2.836115766158517015e+00,7.973483336563247717e-03
7.980586811018248738e-01,4.092429705109654758e-01,2.661576024957933218e+00,7.732847044534451805e-04
1.185047498900778873e+00,2.439027263321449090e-01,2.044181804141155911e+00,1.340175322545382854e-03
8.466495041339047178e-01,4.688143546503775738e-01,2.974870665233160683e+00,1.223352098523609443e-03
8.881058082558015432e-01,2.828553716718521516e-01,1.102523368059926012e+00,1.446265554614491449e-03
1.221521410927949747e+00,3.690577645745204416e-01,2.125948698168150797e-01,1.409936589730431677e-01
7.390526041623720621e-01,2.604602616912881086e-01,1.132938446660429310e+00,4.758876307495911537e-04
1.154828643325348292e+00,3.294539515412416852e-01,1.410777042655638303e+00,4.160515224501255306e-03
1.124485741386674897e+00,1.344408600279096422e-01,1.510334934808645446e+00,4.113064232032122834e-04
1.411677592597391673e+00,2.682635795030220982e-01,2.508868054104620438e+00,3.097577527918100090e-03
3.494124232651767414e-01,4.051387851321122668e-01,1.007652594548911651e+00,5.944771668876772824e-05
1.147719652199202356e+00,4.355562727422656044e-01,1.603963007520010864e+00,5.870068169906861137e-03
1.405651107211927986e+00,2.363586417467704315e-01,2.585474386734996521e+00,2.456196630778637990e-03
1.458304046902040296e+00,1.219419180566446992e-01,6.293858654701206534e-01,2.974632897573975705e-03
2.191181964549800965e-01,1.675086902027999036e-01,2.736546667405218791e+00,1.391036924683256380e-06
1.322732117319248557e+00,2.131983900795899334e-01,4.973849605534730323e-01,1.262679583354011509e-02
1.475553552086247722e+00,2.979340093654316290e-01,2.107172877040128345e+00,4.628997276661444768e-03
1.444373233494252728e+00,2.052627449209104837e-01,2.857151874802003277e+00,2.191525932259292490e-03
3.933932159022472952e-01,2.481509451831524216e-01,1.860544767874156680e+00,1.923380610398636414e-05
1.464417457969841463e+00,1.068677711069711267e-01,2.086397491950160887e+00,6.744174822977596359e-04
1.356916222436676867e+00,2.656609545688308760e-01,2.325793452255877192e+00,2.608830818537688067e-03
1.269085975805991584e+00,3.785684260411835145e-01,7.997468478801222913e-01,6.456620456525581642e-02
8.239843009501818250e-01,2.795616595473763843e-01,3.884828560746547699e-01,2.677830180746226547e-03
5.020847955310949740e-01,1.776079206932919541e-01,1.366603179006052216e+00,3.011691028406428307e-05
1.242444752333800251e+00,4.721307551109457656e-01,1.781541541994221767e+00,8.143811203454963746e-03
1.400589207718510476e+00,1.736907110171910240e-01,8.826346215265011841e-01,4.823025785433986828e-03
5.459693539799803652e-01,4.473307377456856027e-01,2.270206068867797189e-01,1.612747035736544028e-03
9.006147299088430591e-01,1.762635909880147789e-01,2.529321528116999840e+00,2.963208568484828275e-04
7.755786776668909255e-01,1.603607603071697252e-01,2.278185326873596317e+00,1.331772816816149930e-04
1.410322510775501526e+00,2.951029076925109629e-01,2.844059361077343251e+00,3.685530544098742853e-03
2.526639245449650573e-01,3.641229530718337881e-01,5.458306614338396257e-01,1.759868295899392367e-05
1.151608054353528976e+00,2.811908681741263072e-01,1.967040418203774288e-01,2.238749579208646617e-02
9.986852210336957247e-01,3.032609585664250984e-01,2.242689825772618217e+00,1.032683134932675445e-03
2.368749746475773965e-01,3.493862888376915166e-01,2.612383831439756943e+00,6.873926025608477358e-06
1.134985704674762452e+00,2.933310612462610156e-01,7.441780975623517591e-01,1.173248994792081869e-02
2.207892483806435657e-01,4.827418417445379362e-01,1.194308835235147859e+00,9.972418558382239071e-06
1.185336303063356578e+00,1.605283286529805842e-01,2.557699212396856936e+00,6.973887844036357527e-04
8.665863402407014693e-01,2.565353757261316647e-01,1.332962889331735790e-01,3.040217139543465764e-03
1.407835487036108058e+00,1.510903627628162327e-01,8.745316862734874297e-01,3.339343463954485332e-03
2.859072457412971668e-01,1.790228673414870075e-01,4.763179593487378849e-01,6.167503167413712045e-06
1.293712463496098142e+00,3.480155716034318281e-01,2.848761723713925775e+00,3.584820611906725223e-03
2.866970113972318601e-01,4.466202692052609891e-01,2.285163511980003170e-01,6.217522771560316246e-05
6.476029724453628011e-01,2.419091080707615193e-01,1.644949398161114518e+00,1.354171208196006430e-04
7.593883515321833144e-01,4.419039983604261534e-01,2.135571648660101296e+00,7.201678797974629285e-04
1.455880705019291232e+00,2.520567738511440004e-01,1.477979924131707534e+00,5.291407947085323936e-03
9.309013948969941943e-01,3.837191425585997906e-01,8.620402621094735984e-01,8.031038027154629999e-03
5.365239711222119512e-01,1.443698560389894969e-01,1.059483956774947000e+00,3.351949038246394694e-05
5.141784283226484842e-01,3.206785237686741175e-01,7.475276989410477579e-01,2.621507923982180073e-04
1.354553816856933768e+00,1.154554747767825990e-01,2.578701030644563463e+00,6.623157895739256815e-04
4.936302569425217168e-01,1.571729681797939815e-01,1.082190013599459710e-01,5.425950868030175511e-05
3.619211175858685348e-01,2.217255329662121410e-01,4.649680844596706941e-01,2.758305236146788714e-05
5.748299841098508667e-01,1.196149797190833031e-01,2.613268284595994473e+00,2.908340653781552965e-05
9.619599842565527137e-01,4.489635841134567706e-01,2.945115159387092341e+00,1.834941084765277135e-03
9.203176528252482447e-01,4.285228854746352956e-01,1.383975280909989447e+00,3.087375706899217823e-03
1.252624008686611168e+00,4.727294860997703352e-01,2.343114640071813692e+00,6.331140321578858886e-03
9.286187376080415889e-01,1.898916378237123781e-01,2.666889321850286709e+00,3.867714507278315235e-04
5.749475787605736743e-01,2.784543923189748971e-01,2.482691563963493220e+00,1.209469721986445635e-04
7.367652454851605359e-01,4.235923001917302755e-01,1.319473918554411762e+00,1.194214376498580876e-03
1.263557262262183567e+00,2.104757565747415460e-01,2.650433101809210878e+00,1.384335126047065139e-03
1.014458401145679645e+00,3.589345682043136865e-01,1.430284471477524688e+00,2.749242099607920702e-03
1.446800935506674879e+00,2.381033326047524989e-01,2.109394179747579479e+00,2.752314450342866793e-03
6.802257344191852129e-01,2.507578161967244923e-01,2.956883657923145226e+00,2.051863122205572121e-04
9.183949636776733705e-01,3.701490112606365401e-01,1.112350942757059036e+00,3.682047677170571711e-03
9.721014620971187847e-01,4.757365828180238343e-01,1.195276926988289246e+00,9.360509420579565462e-03
1.302778570757578080e+00,4.239872391301217625e-01,2.237919975782906690e+00,5.846702014419817399e-03
3.891155996424913166e-01,2.392182126539637577e-01,2.293481242096875317e+00,2.008647353604705820e-05
7.284634377725646148e-01,1.276864219775560305e-01,3.479876582979130051e-01,1.694462611793782179e-04
1.382946650160986168e+00,4.875955973298268797e-01,7.187727076047093488e-01,9.767345306319331621e-01
2.559869551386654285e-01,2.360895395140437947e-01,1.277965789971411636e+00,3.710665067780094388e-06
1.269518164235952540e+00,3.877377240133574876e-01,1.297729154070035307e+00,1.463567180824718039e-02
7.399992485825920285e-01,1.229499962323806206e-01,4.729089261430557967e-01,1.545135736499067406e-04
1.278745180861533548e+00,1.047135926974290254e-01,5.314094765748768046e-01,1.161169511185007825e-03
2.129409290494795604e-01,3.566371260949667832e-01,9.462742067806592106e-01,5.649986555368705549e-06
6.745600050857518681e-01,4.456702836286427494e-01,2.312516103604373097e+00,4.669389736097985435e-04
3.022190483153318619e-01,2.730449377969347280e-01,1.555693828979717308e+00,8.365956552893204684e-06
1.048398949237629996e+00,3.549434422284988844e-01,7.957106805968079399e-01,1.392013018031855974e-02
5.560038281794243975e-01,3.811739604500437029e-01,6.731154366624579888e-01,6.853971363358172262e-04
1.113447691857722299e+00,4.398185348304048947e-01,2.878909770181069527e-01,1.843736904033822233e-01
1.426941855024718153e+00,1.363672996488458633e-01,1.421761913340805483e+00,1.238483639609798794e-03
3.648622329396221109e-01,3.138135267471717782e-01,2.959770237761182976e+00,3.085307625116021606e-05
1.324211784021006366e+00,2.769175064601230862e-01,8.915354343077807053e-01,1.676074845919871964e-02
2.773033970804399950e-01,2.361030387480488602e-01,1.926478261995124619e+00,4.511037620507692254e-06
6.950016608041562627e-01,2.482774962987956135e-01,1.443285015122471204e+00,2.206045612618399055e-04
7.587062795321496411e-01,2.661789639882851666e-01,1.691072809370438135e+00,3.034347950182297382e-04
8.355044108835035788e-01,1.688129714607888576e-01,7.508949802849077537e-01,4.582392998034742976e-04
1.469401018516858004e+00,4.454793564844127807e-01,2.340805293806039966e+00,1.159661853288488677e-02
1.208398544532376828e+00,2.155148298614415481e-01,2.254045080198817885e+00,1.161449334388249674e-03
6.015145715350392885e-01,2.598889206554236830e-01,2.308353064727065362e+00,1.207683371414476869e-04
5.507878211510401911e-01,3.339241117707744677e-01,1.760997239839713568e+00,1.290313156188009429e-04
1.322056265446113210e+00,3.744983216868594256e-01,3.497105651110495872e-01,2.542683796216159697e-01
1.345699324558996990e+00,2.962127013667387732e-01,2.477513430874690670e+00,3.087016659016300017e-03
8.639184572067388768e-01,2.770541917216158279e-01,1.412225417092081436e-01,3.898917938250609592e-03
6.475844502510228473e-01,2.466562770466766696e-01,8.012949054786927539e-01,3.581666634071208359e-04
1.493392552609193125e+00,3.016487713638280610e-01,1.284742868125845705e+00,1.556895105491018852e-02
6.107266089780102325e-01,1.933197220358659763e-01,9.881277254555206335e-01,1.209282910525272177e-04
4.375260926045311805e-01,1.081037504382767883e-01,1.547572791591342423e+00,5.724599633910541831e-06
1.344127557695290687e+00,4.660629526748547025e-01,1.173666908981902068e+00,7.019550359963085129e-02
1.256036017544630345e+00,1.754114935687642873e-01,1.062394850657216061e+00,2.171804756714796562e-03
1.068256227242756706e+00,2.602099494596656348e-01,8.636652411283323172e-01,4.390565214392181011e-03
1.445937721311337576e+00,3.154236103166240257e-01,3.088517551407125028e-01,1.900415216001925256e-01
1.403428950378744489e+00,2.343538820071580653e-01,1.359450248935530015e+00,4.612341028340952685e-03
1.172723054292280409e+00,2.711687318012305226e-01,1.907343689028143108e-01,2.150852904808758792e-02
1.318911832411981067e+00,2.568904614302957579e-01,3.464887468588583874e-01,3.173807563846527818e-02
5.212907624187397282e-01,2.812328288169738122e-01,6.194809958457335730e-01,2.263282303125829483e-04
3.836205239713411097e-01,4.074451225078302152e-01,1.028575430025636006e+00,8.871753608173451613e-05
1.071080404109416850e+00,3.094903690350793712e-01,2.933790656092455595e+00,1.446947076106847030e-03
1.129004097651178595e+00,4.478242905366183191e-01,2.406139341891006644e+00,3.497756063296070077e-03
4.171688074169538352e-01,3.696589308983149191e-01,1.608513131024608134e-01,2.245587710868422184e-04
7.142244550363388012e-01,3.064111037867421339e-01,2.227725796650794177e+00,2.989174010486567927e-04
1.383332496080871277e+00,2.330669636576658821e-01,5.875361268475560728e-01,2.037503581999404803e-02
9.298209978152898181e-01,1.309345114388359710e-01,5.694299779623311908e-01,4.655582284158128249e-04
9.518366894041545567e-01,2.251524715048358327e-01,2.329336176772306644e+00,5.219179599900076235e-04
4.523687047580317033e-01,3.487270433034808104e-01,6.797516231848627077e-01,1.947252888453823759e-04
8.838289232032378040e-01,2.977152071800130417e-01,1.337822707328481631e+00,1.076642745094147239e-03
8.804651456133959497e-01,1.526141205209503304e-01,1.774316933773176563e+00,1.781387018114732965e-04
3.156163323201535698e-01,3.283484678972765081e-01,2.243272676499130203e+00,1.570051178029683404e-05
1.476525501064718249e+00,2.169350736909217425e-01,2.171079696093131783e+00,2.494591251094875357e-03
9.428142805925068259e-01,2.074363186523426883e-01,1.202172097187352628e+00,7.278431304291383460e-04
2.083315474636032172e-01,2.235307900477616627e-01,1.591294539001629538e+00,1.247628767221737115e-06
1.204443961593005152e+00,3.748042253121291467e-01,9.795436976313587341e-01,2.521133545409202231e-02
1.471745427992189548e+00,3.656014759739079634e-01,2.055681008986137481e+00,7.373899628720474719e-03
9.668310368172357006e-01,1.337910085977978836e-01,1.323435115451526478e+00,2.563927912527145885e-04
6.155861271674645252e-01,1.831593072636394925e-01,2.421297174962062204e+00,7.450326106568396476e-05
4.437600304461203904e-01,3.395107094840247308e-01,2.999249097145268550e+00,7.183656518262187575e-05
1.074284624091930151e+00,1.348127055907612781e-01,1.168838729325996084e+00,4.847701939511679875e-04
4.536396179938465556e-01,4.049737652763046869e-01,1.260612539155964829e+00,1.338253882957562123e-04
9.509942602732170958e-01,3.970592106210389383e-01,2.444234776028145095e+00,1.396202947508741856e-03
9.829109292935135356e-01,1.716740186388532041e-01,9.856621088511869910e-01,7.465709663975441312e-04
1.451150021061695439e+00,4.945393193016028310e-01,1.012934223861670313e+00,4.034619824726654036e-01
2.939448451888398428e-01,4.236571086031033495e-01,1.665042489919617008e+00,1.747081924891319895e-05
8.499646707562040771e-01,1.466777719154961079e-01,1.174131473929039826e+00,2.141730761502081120e-04
1.167326723067442673e+00,4.564152377417666773e-01,4.223249896905901801e-01,2.881418653669371444e-01
4.303947626170564478e-01,2.158511766154415368e-01,9.553634716916001857e-01,3.589030307084170129e-05
7.044867513198750375e-01,2.894865169007835304e-01,2.993626041319658260e+00,2.924069580820226177e-04
2.817641479914627656e-01,1.556659230632387869e-01,1.382866900531247500e+00,2.172398842847931205e-06
1.143645122908509837e+00,2.787942118488120347e-01,2.560270496041048727e+00,1.514202089316211627e-03
3.140982527873328323e-01,4.279090924653999872e-01,4.708183776701648782e-01,7.419237332168130479e-05
7.136192208653578950e-01,3.262275350466255497e-01,1.382252252541018800e+00,4.895495292598171094e-04
1.335579420456951771e+00,1.296646958886620016e-01,4.276124122705985409e-01,2.795320291843068818e-03
8.139904377750150077e-01,2.279721961029872179e-01,2.202579095444605617e+00,2.897700765983350006e-04
1.386408513733151437e+00,3.174402364814113420e-01,1.055333303622695951e+00,2.401690617762798977e-02
1.195692253060534060e+00,2.785783392410586257e-01,2.710340260577341454e+00,1.799072303687931224e-03
1.389921148145295771e+00,2.932062327249071454e-01,1.131534673496382259e+00,1.464727333630258706e-02
3.656239117635782798e-01,4.973827605016544195e-01,2.989162560572285798e+00,6.577030931378270555e-05
2.956317769298216769e-01,2.977321113043835399e-01,1.577401251239562985e+00,9.050872376772911408e-06
2.914241296399834869e-01,4.925268583136093725e-01,2.932584767588292785e+00,2.847291195680840350e-05
1.329510582651515227e+00,1.233851748312870394e-01,1.334165365186708030e+00,8.101641432695953424e-04
1.024290973151676276e+00,4.546868208427101710e-01,1.000004422940748317e+00,1.956028804261291179e-02
8.455432019385089593e-01,2.665642962225659440e-01,2.388925012705319872e+00,4.536906117132715366e-04
4.126064410554243778e-01,4.435958276699752956e-01,1.177654491792072156e+00,1.229071024900749468e-04
1.075853469045455757e+00,4.679382797092668245e-01,1.071545835847180772e+00,2.391560416715383941e-02
6.134226041995374246e-01,3.162216063723232162e-01,2.669940701016783713e+00,1.970405124622568176e-04
1.124143822245728286e+00,1.410962296569294450e-01,1.922762379142608502e+00,3.974420454250779454e-04
7.984619275275222083e-01,2.466003231790034889e-01,1.451608131128618862e+00,3.853376970316256425e-04
8.597108187078853492e-01,1.285216464152461879e-01,2.306966659213214754e+00,1.341104139136912738e-04
1.226565452197831529e+00,4.271927603056821510e-01,9.809979598335096806e-01,5.127064644202351806e-02
3.205691181803949630e-01,4.917046151436212376e-01,5.924576328401516268e-01,1.068078377302266146e-04
9.523860543205533435e-01,3.718358190927654183e-01,2.534832843400477653e+00,1.254023981685947536e-03
4.564054314846291427e-01,2.525826300782299527e-01,8.174056946183126948e-01,7.720987264056663102e-05
1.250577777357638531e+00,3.972371780242179296e-01,6.695020784132778013e-01,1.103959868646170739e-01
8.354998469680379181e-01,4.987657809576975243e-01,1.059809095325686457e+00,6.988385578126794437e-03
1.485303933378165686e+00,2.886583472055355148e-01,4.743294008486867441e-01,1.071773503503207353e-01
4.378263220784343601e-01,1.384114517001915345e-01,2.635664820524772800e+00,1.353710524089246346e-05
1.451924882161547581e+00,3.367979647345588079e-01,1.448543422375718093e+00,1.235934507215427983e-02
1.241192147591191786e+00,4.424529886514292354e-01,5.461792423296506493e-01,2.952770166368186011e-01
8.256386455478491593e-01,3.767763705034217758e-01,1.527071070997075619e+00,1.055520004392974161e-03
1.257594283433526083e+00,4.173765725726422682e-01,1.305370501565472852e+00,1.764156486137195140e-02
9.837035768134513303e-01,2.883150971780403804e-01,1.422131272742622077e+00,1.402741254048097764e-03
1.051657383188794315e+00,4.098661670545439284e-01,1.072813099791061348e-01,8.537911513606501190e-02
1.387797991519605700e+00,3.482055371466555305e-01,1.040132166549451398e+00,3.701503834580187335e-02
2.848515413346788261e-01,1.701827772223314383e-01,2.531020682881093720e+00,3.638902413470601101e-06
1.285484665145920857e+00,4.327978488210540986e-01,1.706274771710363902e+00,8.327618442737291446e-03
6.963592139561104455e-01,2.381210284288236556e-01,2.300575134248413978e+00,1.788162846274755230e-04
6.232093009309157550e-01,3.698609721230890490e-01,1.556146403908371667e+00,2.977241937177234191e-04
1.492234802572979691e+00,2.716074958230114134e-01,5.979906283085492102e-01,6.359287598913120065e-02
1.215547652699291659e+00,4.681614199472606819e-01,3.786301541711724616e-01,5.759648492522037033e-01
8.311956804134641441e-01,2.500835846990187017e-01,7.588129272861060537e-01,1.289417943638729606e-03
7.494169153522156623e-01,1.585490267463939562e-01,2.263428595353676798e+00,1.140254350083374504e-04
1.340787577633334893e+00,2.527991200222886037e-01,1.434729983464931191e+00,3.961928502852194757e-03
3.128593338793623779e-01,1.726309635571821044e-01,8.361547908939669371e-01,6.403278405395424281e-06
1.120944383988025761e+00,4.477335727760812789e-01,7.060672130502662069e-01,8.458108621492846368e-02
1.225901010816689896e+00,2.707913302091461971e-01,2.566821666430064042e+00,1.863232500447494682e-03
1.238955293630949361e+00,3.004159623077362062e-01,2.079943181417432729e+00,2.350610823360290043e-03
6.189727421617813308e-01,4.279779611683107166e-01,1.140957009574727343e-01,2.934365546961581472e-03
1.235630937569871080e+00,4.571342862246157712e-01,2.913426572655712032e+00,5.252035676016688324e-03
4.929269744383646956e-01,3.699468584627440548e-01,2.354696411282720003e+00,1.070082795658610373e-04
6.710003356299398813e-01,3.321147457578333406e-01,2.446194604455896648e+00,2.834035511601334803e-04
7.426825458656938217e-01,3.580798848364449283e-01,3.704884137216004625e-01,3.670364332026926964e-03
9.038329787192139753e-01,4.278207815510981504e-01,1.988447770668643644e+00,1.381549865695649209e-03
3.463977652027243614e-01,2.388353958456839177e-01,1.188348560103658746e+00,1.423245998241508298e-05
7.290321408310980189e-01,4.368818287595509497e-01,1.349418275917938059e+00,1.165895161490534179e-03
2.003908971389997962e-01,4.964619714627382940e-01,1.294660751076011973e+00,6.417850613842800634e-06
1.167694944251618905e+00,2.555210111115348570e-01,1.327472801328166918e+00,2.627758436711149018e-03
1.307438685904534159e+00,4.190237154353833593e-01,2.387557188226201443e-01,6.314714060033729259e-01
3.806111828562568355e-01,4.294614493049108139e-01,4.233051027310434922e-01,1.928737437218694980e-04
1.114921500046837100e+00,2.877156562002459173e-01,2.600751281961881212e+00,1.458335826346662811e-03
1.267434014913030316e+00,4.178920894309832157e-01,2.410328908280159055e-01,4.515999169733149188e-01
1.476376819733332013e+00,1.219925346732941007e-01,2.083231918888165612e+00,8.827279065181662309e-04
1.296927731079344781e+00,1.399702477107647725e-01,2.753984094205301325e+00,8.031807839230499730e-04
7.513384310772167618e-01,1.145662008895793615e-01,1.842771059592710481e+00,5.489466112358056346e-05
1.473595321062553420e+00,4.438083154693378551e-01,1.133673981832233446e+00,1.265086111161406734e-01
1.466179726308061815e+00,2.582120005134070917e-01,4.944729862775698037e-01,5.362073041989007943e-02
8.547800729607526460e-01,3.935784505247705289e-01,2.471570138770761371e+00,9.210805178978491827e-04
1.179480500159076906e+00,2.183528303064835585e-01,1.333640586603139999e+00,1.830781089280101616e-03
1.387988967975111843e+00,4.425791614687326070e-01,1.639169641068810579e+00,1.477529815908674299e-02
8.189911935593789938e-01,2.225504917899797930e-01,1.572977641677590910e+00,3.082509940657260947e-04
1.322922113426210355e+00,3.755648990886565342e-01,2.657468143000323302e+00,4.568289951543948353e-03
1.112039135880434682e+00,4.628139872637682117e-01,2.207470199056837501e+00,3.625126863562797008e-03
5.821015327669248896e-01,2.665781490055185166e-01,1.836482229115881770e+00,1.022646586722657458e-04
1.197947950978515808e+00,4.391104518795326817e-01,2.891823114445504217e+00,4.205412868489453483e-03
9.418902216173489217e-01,3.790849404034777881e-01,2.357773868298967290e+00,1.236069630127056016e-03
3.219986994632981214e-01,1.417270132853107045e-01,1.057604908211011718e+00,3.907062292745207143e-06
7.087945541960635198e-01,2.647986392379301224e-01,1.348086793285162566e+00,3.070436808505142131e-04
