t,theta,omega,wake_drag_angular_acceleration,domega_dt
8.801760352070414628e-02,9.679506732279066217e-01,-7.244936231197196541e-01,-3.486870369946320526e-03,-8.082528655350907698e+00
9.201840368073614662e-02,9.649874835908898163e-01,-7.567920589076070348e-01,-3.961196646588937935e-03,-8.063317317570078302e+00
9.601920384076814696e-02,9.618952303988798080e-01,-7.890119233928656328e-01,-4.474482794100864171e-03,-8.043249420551907392e+00
1.000200040008001612e-01,9.586742349124177665e-01,-8.211497722440148639e-01,-5.027890149224382120e-03,-8.022316332201336664e+00
1.040208041608321615e-01,9.553248321620315675e-01,-8.532021266083799071e-01,-5.622535764494331241e-03,-8.000509228025251218e+00
1.080216043208641757e-01,9.518473711974084761e-01,-8.851654718305701497e-01,-6.259492858617199222e-03,-7.977819100274895270e+00
1.120224044808961761e-01,9.482422152292835360e-01,-9.170362567933336706e-01,-6.939790719945512429e-03,-7.954236768361048426e+00
1.160232046409281903e-01,9.445097417970093057e-01,-9.488108930945338138e-01,-7.664414181997130510e-03,-7.929752890769947271e+00
1.200240048009601906e-01,9.406503427834577158e-01,-9.804857549774678160e-01,-8.434303601706470005e-03,-7.904357976206711101e+00
1.240248049609922049e-01,9.366644246383364347e-01,-1.012057178519816025e+00,-9.250355021309969450e-03,-7.878042396358519994e+00
1.280256051210242052e-01,9.325524085740423130e-01,-1.043521460859508920e+00,-1.011342077600093682e-02,-7.850796398539619858e+00
1.320264052810562194e-01,9.283147307721381081e-01,-1.074874859734948451e+00,-1.102430865291611356e-02,-7.822610120283033375e+00
1.360272054410882059e-01,9.239518424731569812e-01,-1.106113593234359982e+00,-1.198378165631696496e-02,-7.793473603043487685e+00
1.400280056011202201e-01,9.194642099859792195e-01,-1.137233839785232847e+00,-1.299255799792796776e-02,-7.763376805569689232e+00
1.440288057611522343e-01,9.148523150167821028e-01,-1.168231737508004686e+00,-1.405131128684736046e-02,-7.732309619439680759e+00
1.480296059211842485e-01,9.101166548238660559e-01,-1.199103383559617875e+00,-1.516067137663230924e-02,-7.700261883301265264e+00
1.520304060812162350e-01,9.052577424611922829e-01,-1.229844834397755493e+00,-1.632122318819745344e-02,-7.667223400018009727e+00
1.560312062412482492e-01,9.002761068818198043e-01,-1.260452105766401765e+00,-1.753350641733178450e-02,-7.633183952477382128e+00
1.600320064012802634e-01,8.951722929379061222e-01,-1.290921172695842056e+00,-1.879801553469860609e-02,-7.598133318820975646e+00
1.640328065613122499e-01,8.899468614911250075e-01,-1.321247969652718179e+00,-2.011519968741750514e-02,-7.562061288790443037e+00
1.680336067213442641e-01,8.846003899342410604e-01,-1.351428389951138787e+00,-2.148546351942746263e-02,-7.524957682158360583e+00
1.720344068813762783e-01,8.791334721365792193e-01,-1.381458285257395113e+00,-2.290916770019156903e-02,-7.486812364205354342e+00
1.760352070414082926e-01,8.735467188123721138e-01,-1.411333467521948437e+00,-2.438662722438302358e-02,-7.447615266282842761e+00
1.800360072014402790e-01,8.678407575559137221e-01,-1.441049709095337139e+00,-2.591811131438459537e-02,-7.407356403114555121e+00
1.840368073614722932e-01,8.620162328415595931e-01,-1.470602742728177148e+00,-2.750384342028866155e-02,-7.366025890069400894e+00
1.880376075215043075e-01,8.560738060237262914e-01,-1.499988261571161496e+00,-2.914400121989715528e-02,-7.323613960702152426e+00
1.920384076815362939e-01,8.500141556905532747e-01,-1.529201921083997107e+00,-3.083871636479459943e-02,-7.280110987014993817e+00
1.960392078415683081e-01,8.438379782204296076e-01,-1.558239336796580776e+00,-3.258807656737833930e-02,-7.235507499330457115e+00
2.000400080016003224e-01,8.375459875603801230e-01,-1.587096084170107391e+00,-3.439212526387969843e-02,-7.189794203619474189e+00
2.040408081616323366e-01,8.311389156281112633e-01,-1.615767704213184164e+00,-3.625085969370334810e-02,-7.142962004394516562e+00
2.080416083216643230e-01,8.246175123176702204e-01,-1.644249703535191509e+00,-3.816423088455273005e-02,-7.095002023668067537e+00
2.120424084816963373e-01,8.179825454994452683e-01,-1.672537554346284594e+00,-4.013214365243013282e-02,-7.045905620040008088e+00
2.160432086417283515e-01,8.112348010201658743e-01,-1.700626694457392230e+00,-4.215445660163655295e-02,-6.995664407942837393e+00
2.200440088017603657e-01,8.043750827029020334e-01,-1.728512527280217537e+00,-4.423098212477181990e-02,-6.944270277024334526e+00
2.240448089617923522e-01,7.974042125757659916e-01,-1.756190423817174384e+00,-4.636148667274337526e-02,-6.891715412842330579e+00
2.280456091218243664e-01,7.903230320936540654e-01,-1.783655726853691226e+00,-4.854569309248159964e-02,-6.837992322497074227e+00
2.320464092818563806e-01,7.831324013458506039e-01,-1.810903743611250061e+00,-5.078327950300080829e-02,-6.783093850656078061e+00
2.360472094418883671e-01,7.758331992864322402e-01,-1.837929756557695971e+00,-5.307387815473928877e-02,-6.727013201497298311e+00
2.400480096019203813e-01,7.684263238006221464e-01,-1.864729024412278280e+00,-5.541707544255090878e-02,-6.669743959068324735e+00
2.440488097619523955e-01,7.609126917047897010e-01,-1.891296782145651667e+00,-5.781241190570502592e-02,-6.611280107269857709e+00
2.480496099219844097e-01,7.532932387464509327e-01,-1.917628240979874388e+00,-6.025938222788651544e-02,-6.551616049818081322e+00
2.520504100820163962e-01,7.455689196042682987e-01,-1.943718588388409829e+00,-6.275743523719576333e-02,-6.490746630159312858e+00
2.560512102420484104e-01,7.377407080302449405e-01,-1.969562990374226885e+00,-6.530597438582294578e-02,-6.428667151725204754e+00
2.600520104020804246e-01,7.298095978834044928e-01,-1.995156599034938472e+00,-6.790436073746272672e-02,-6.365373401898451355e+00
2.640528105621124388e-01,7.217766025828634691e-01,-2.020494544317618324e+00,-7.055191083319081735e-02,-6.300861670519527280e+00
2.680536107221444531e-01,7.136427549576130902e-01,-2.045571945977231909e+00,-7.324789673305104332e-02,-6.235128767486750156e+00
2.720544108821764118e-01,7.054091072835545484e-01,-2.070383914932553360e+00,-7.599154617460041061e-02,-6.168172042155173784e+00
2.760552110422084260e-01,6.970767312834997842e-01,-2.094925553266169693e+00,-7.878204257290927215e-02,-6.099989402496697188e+00
2.800560112022404402e-01,6.886467181271711535e-01,-2.119191954224477037e+00,-8.161852502056107794e-02,-6.030579334010826464e+00
2.840568113622724544e-01,6.801201784337937983e-01,-2.143178202717523018e+00,-8.450008838489761476e-02,-5.959940918242558006e+00
2.880576115223044686e-01,6.714982426729831921e-01,-2.166879385600460228e+00,-8.742578618754412445e-02,-5.888073850628672723e+00
2.920584116823364829e-01,6.627820615909858493e-01,-2.190290583779334721e+00,-9.039463007655751392e-02,-5.814978463018160681e+00
2.960592118423684971e-01,6.539728054821966063e-01,-2.213406882539252329e+00,-9.340558963979443685e-02,-5.740655735157783823e+00
3.000600120024004558e-01,6.450716640874831764e-01,-2.236223376445666933e+00,-9.645759301793650764e-02,-5.665107310118950856e+00
3.040608121624324700e-01,6.360798465941857049e-01,-2.258735169344380456e+00,-9.954952690449039854e-02,-5.588335511028985181e+00
3.080616123224644842e-01,6.269985816361178799e-01,-2.280937374361542425e+00,-1.026802365457876731e-01,-5.510343357330300229e+00
3.120624124824964984e-01,6.178291172902999895e-01,-2.302825114021052944e+00,-1.058485257682486858e-01,-5.431134580472830820e+00
3.160632126425285127e-01,6.085727210583092850e-01,-2.324393531009758096e+00,-1.090531601536357947e-01,-5.350713635021373982e+00
3.200640128025605269e-01,5.992306806445921730e-01,-2.345637782631706969e+00,-1.122928671088188057e-01,-5.269085720044651033e+00
3.240648129625925411e-01,5.898043030363155914e-01,-2.366553048431935924e+00,-1.155663357177911937e-01,-5.186256785307079120e+00
3.280656131226244998e-01,5.802949141049276172e-01,-2.387134538221312496e+00,-1.188722181588706961e-01,-5.102233539294378950e+00
3.320664132826565140e-01,5.707038586061573548e-01,-2.407377492076538061e+00,-1.222091297046994790e-01,-5.017023461800112827e+00
3.360672134426885282e-01,5.610325001800154920e-01,-2.427277180340145613e+00,-1.255756487222438877e-01,-4.930634815821467676e+00
3.400680136027205425e-01,5.512822213507938551e-01,-2.446828903620501094e+00,-1.289703166727945993e-01,-4.843076658734553952e+00
3.440688137627525567e-01,5.414544232173353899e-01,-2.466028002614383041e+00,-1.323916414819774345e-01,-4.754358845971871972e+00
3.480696139227845709e-01,5.315505262454679469e-01,-2.484869857091525081e+00,-1.358380987398336848e-01,-4.664492046281162985e+00
3.520704140828165851e-01,5.215719694557339192e-01,-2.503349888682647073e+00,-1.393081308177116506e-01,-4.573487744321901971e+00
3.560712142428485438e-01,5.115202095672094496e-01,-2.521463572178214374e+00,-1.428001496043375396e-01,-4.481358237547824253e+00
3.600720144028805580e-01,5.013967209974997674e-01,-2.539206435528510220e+00,-1.463125365058361438e-01,-4.388116643049979615e+00
3.640728145629125723e-01,4.912029958627399662e-01,-2.556574059843633062e+00,-1.498436424457305904e-01,-4.293776903526518751e+00
3.680736147229445865e-01,4.809405439775944480e-01,-2.573562079393497903e+00,-1.533917878649424804e-01,-4.198353792356107839e+00
3.720744148829766007e-01,4.706108923798995591e-01,-2.590166189657671314e+00,-1.569552660566550240e-01,-4.101862909582756345e+00
3.760752150430086149e-01,4.602155858423194745e-01,-2.606382150928267638e+00,-1.605323459535255848e-01,-4.004320686534055262e+00
3.800760152030406291e-01,4.497561863980619190e-01,-2.622205786705613662e+00,-1.641212700693526483e-01,-3.905744385997049317e+00
3.840768153630725879e-01,4.392342719571445397e-01,-2.637632996815932440e+00,-1.677202586851433141e-01,-3.806152085717452227e+00
3.880776155231046021e-01,4.286514362986248994e-01,-2.652659757504006510e+00,-1.713275098829648568e-01,-3.705562678166467006e+00
3.920784156831366163e-01,4.180092890706013642e-01,-2.667282121433178332e+00,-1.749411995459443370e-01,-3.603995869431017685e+00
3.960792158431686305e-01,4.073094557902124380e-01,-2.681496217685348959e+00,-1.785594813582688234e-01,-3.501472177105526828e+00
4.000800160032006447e-01,3.965535772141583482e-01,-2.695298258850975959e+00,-1.821804904417232696e-01,-3.398012917203176553e+00
4.040808161632326589e-01,3.857433096245773130e-01,-2.708684545800283505e+00,-1.858023468359669694e-01,-3.293640198686543563e+00
4.080816163232646732e-01,3.748803244547539437e-01,-2.721651465574407514e+00,-1.894231531645920452e-01,-3.188376917256176668e+00
4.120824164832966874e-01,3.639663065933986252e-01,-2.734195503321408260e+00,-1.930409996390423655e-01,-3.082246727292945021e+00
4.160832166433286461e-01,3.530029543708398387e-01,-2.746313242414673450e+00,-1.966539641138285721e-01,-2.975274033983850597e+00
4.200840168033606603e-01,3.419919795590234401e-01,-2.758001364452916437e+00,-2.002601120865281914e-01,-2.867483984637633210e+00
4.240848169633926745e-01,3.309351073714619229e-01,-2.769256649260504854e+00,-2.038574966979870562e-01,-2.758902459000167617e+00
4.280856171234246887e-01,3.198340754951446985e-01,-2.780075982684595104e+00,-2.074441638484348094e-01,-2.649556043690187934e+00
4.320864172834567030e-01,3.086906346723296557e-01,-2.790456357835131129e+00,-2.110181537321071943e-01,-2.539472024258681238e+00
4.360872174434887172e-01,2.975065476302195533e-01,-2.800394877036971319e+00,-2.145775007117084743e-01,-2.428678362243897215e+00
4.400880176035207314e-01,2.862835876219623210e-01,-2.809888759484809651e+00,-2.181202376480682048e-01,-2.317203662438393152e+00
4.440888177635526901e-01,2.750235384266512262e-01,-2.818935341243180570e+00,-2.216443959001412889e-01,-2.205077157870128701e+00
4.480896179235847043e-01,2.637281943493244851e-01,-2.827532075246455889e+00,-2.251480053250079216e-01,-2.092328693881447155e+00
4.520904180836167185e-01,2.523993601042264778e-01,-2.835676531846071935e+00,-2.286290947446878996e-01,-1.978988709685427061e+00
4.560912182436487328e-01,2.410388495307656531e-01,-2.843366406898005128e+00,-2.320856991345165987e-01,-1.865088200424718234e+00
4.600920184036807470e-01,2.296484866327070662e-01,-2.850599518770822627e+00,-2.355158569796385881e-01,-1.750658711428654701e+00
4.640928185637127612e-01,2.182301032955622222e-01,-2.857373814623966446e+00,-2.389176146133208944e-01,-1.635732291788185577e+00
4.680936187237447754e-01,2.067855386815823648e-01,-2.863687372681912535e+00,-2.422890280491451220e-01,-1.520341465994509589e+00
4.720944188837767341e-01,1.953166392297587262e-01,-2.869538402234170782e+00,-2.456281629810073697e-01,-1.404519212690726215e+00
4.760952190438087483e-01,1.838252586558218882e-01,-2.874925243635285899e+00,-2.489330947831183694e-01,-1.288298942730915497e+00
4.800960192038407626e-01,1.723132571314337502e-01,-2.879846371019856299e+00,-2.522019120261320135e-01,-1.171714464787482868e+00
4.840968193638727768e-01,1.607825010383955866e-01,-2.884300395485708268e+00,-2.554327203365082677e-01,-1.054799955510635989e+00
4.880976195239047910e-01,1.492348623650327499e-01,-2.888286064722821234e+00,-2.586236413586144312e-01,-9.375899307241408742e-01
4.920984196839368052e-01,1.376722169818276331e-01,-2.891802266509825525e+00,-2.617728171802122805e-01,-8.201191991868372888e-01
4.960992198439688194e-01,1.260964446308210363e-01,-2.894848028740963919e+00,-2.648784103673383350e-01,-7.024228373045178220e-01
5.001000200040007782e-01,1.145094289256121806e-01,-2.897422519426094301e+00,-2.679386039643036344e-01,-5.845361635507106968e-01
5.041008201640327924e-01,1.029130568180098571e-01,-2.899525047475400630e+00,-2.709516035470916351e-01,-4.664947050917175875e-01
5.081016203240648066e-01,9.130921784054159274e-02,-2.901155065091214347e+00,-2.739156421320056434e-01,-3.483341588156435020e-01
5.121024204840968208e-01,7.969980387843458858e-02,-2.902312167261810849e+00,-2.768289787949594905e-01,-2.300903637854799788e-01
5.161032206441288350e-01,6.808670736449068395e-02,-2.902996092886471313e+00,-2.796899027048259101e-01,-1.117992522118003151e-01
5.201040208041608492e-01,5.647182122563713241e-02,-2.903206724827121388e+00,-2.824967332804720899e-01,6.503178473096504764e-03
5.241048209641928635e-01,4.485703888292667807e-02,-2.902944089908334746e+00,-2.852478201907595601e-01,1.247808929813740697e-01
5.281056211242248777e-01,3.324425361935984952e-02,-2.902208358939797783e+00,-2.879415460681863936e-01,2.429978546339311429e-01
5.321064212842568919e-01,2.163535786103052208e-02,-2.900999847169975610e+00,-2.905763296104351689e-01,3.611180631675602881e-01
5.361072214442889061e-01,1.003224230293112140e-02,-2.899319013579036763e+00,-2.931506257211394240e-01,4.791055910372084004e-01
5.401080216043209203e-01,-1.563204789708408371e-03,-2.897166460510427033e+00,-2.956629272887201787e-01,5.969246195729465132e-01
5.441088217643528235e-01,-1.314909766938144459e-02,-2.894542933545024788e+00,-2.981117654296667752e-01,7.145394674136346103e-01
5.481096219243848378e-01,-2.472355375076256551e-02,-2.891449320695561820e+00,-3.004957119798736254e-01,8.319146264989112360e-01
5.521104220844168520e-01,-3.628469402635896984e-02,-2.887886651963869067e+00,-3.028133805231407738e-01,9.490147941175626212e-01
5.561112222444488662e-01,-4.783064433756301775e-02,-2.883856097412545338e+00,-3.050634282657171958e-01,1.065804913909995877e+00
5.601120224044808804e-01,-5.935953552692187218e-02,-2.879358966934923103e+00,-3.072445563336784757e-01,1.182250203939973821e+00
5.641128225645128946e-01,-7.086950382540681270e-02,-2.874396709226050728e+00,-3.093555107901024281e-01,1.298316187370214925e+00
5.681136227245449088e-01,-8.235869122846424528e-02,-2.868970910740705094e+00,-3.113950845235342602e-01,1.413968723455463650e+00
5.721144228845769231e-01,-9.382524644813465542e-02,-2.863083293436094134e+00,-3.133621182339241806e-01,1.529174042759777752e+00
5.761152230446089373e-01,-1.052673257504049831e-01,-2.856735712674742800e+00,-3.152555016206338712e-01,1.643898780878929156e+00
5.801160232046409515e-01,-1.166830929715633736e-01,-2.849930157165855071e+00,-3.170741734076505391e-01,1.758110002419267071e+00
5.841168233646729657e-01,-1.280707201947205998e-01,-2.842668746226693965e+00,-3.188171228299587212e-01,1.871775232138035649e+00
5.881176235247049799e-01,-1.394283876226251329e-01,-2.834953729852199622e+00,-3.204833905039131126e-01,1.984862477065060027e+00
5.921184236847369942e-01,-1.507542850364678166e-01,-2.826787483659391143e+00,-3.220720695897412722e-01,2.097340263455769183e+00
5.961192238447690084e-01,-1.620466124027577781e-01,-2.818172506704549107e+00,-3.235823064526330284e-01,2.209177664238350047e+00
6.001200240048009116e-01,-1.733035798733220667e-01,-2.809111421483215132e+00,-3.250133006627405896e-01,2.320344319194250993e+00
6.041208241648329258e-01,-1.845234081850632424e-01,-2.799606971661692256e+00,-3.263643055619235844e-01,2.430810458647651995e+00
6.081216243248649400e-01,-1.957043290600467000e-01,-2.789662018881266192e+00,-3.276346299029519460e-01,2.540546927293939827e+00
6.121224244848969542e-01,-2.068445855329499317e-01,-2.779279541589251501e+00,-3.288236376403977923e-01,2.649525204734128891e+00
6.161232246449289685e-01,-2.179424334127592622e-01,-2.768462627853449209e+00,-3.299307487861975474e-01,2.757717436713560399e+00
6.201240248049609827e-01,-2.289961413196562878e-01,-2.757214475170301160e+00,-3.309554394424773505e-01,2.865096451169047764e+00
6.241248249649929969e-01,-2.400039906850182647e-01,-2.745538390464888678e+00,-3.318972418015531667e-01,2.971635772968163280e+00
6.281256251250250111e-01,-2.509642763770953411e-01,-2.733437785048066004e+00,-3.327557446269208685e-01,3.077309643830609787e+00
6.321264252850570253e-01,-2.618753066517988115e-01,-2.720916173134242388e+00,-3.335305942535165546e-01,3.182093035505367595e+00
6.361272254450890395e-01,-2.727354038501227929e-01,-2.707977168383988165e+00,-3.342214940296511783e-01,3.285961667430148836e+00
6.401280256051210538e-01,-2.835429055585821922e-01,-2.694624476143288039e+00,-3.348282043675631092e-01,3.388892027994295120e+00
6.441288257651530680e-01,-2.942961646110145990e-01,-2.680861893430521281e+00,-3.353505427439968933e-01,3.490861384116874966e+00
6.481296259251850822e-01,-3.049935490885805067e-01,-2.666693308936466167e+00,-3.357883837002033633e-01,3.591847789800579172e+00
6.521304260852170964e-01,-3.156334426738240384e-01,-2.652122699139217055e+00,-3.361416586840594301e-01,3.691830096572499720e+00
6.561312262452489996e-01,-3.262142449850751191e-01,-2.637154121900610271e+00,-3.364103564528627688e-01,3.790787963036674313e+00
6.601320264052810138e-01,-3.367343714529274501e-01,-2.621791719264020326e+00,-3.365945228704709802e-01,3.888701859149851892e+00
6.641328265653130281e-01,-3.471922547897025590e-01,-2.606039704728428941e+00,-3.366942595858362641e-01,3.985553082118955093e+00
6.681336267253450423e-01,-3.575863450447101521e-01,-2.589902362718715878e+00,-3.367097239932053676e-01,4.081323760027224523e+00
6.721344268853770565e-01,-3.679151096042477809e-01,-2.573384048585663386e+00,-3.366411292321196402e-01,4.175996854013426685e+00
6.761352270454090707e-01,-3.781770332073255414e-01,-2.556489188380450805e+00,-3.364887441506030918e-01,4.269556159551619601e+00
6.801360272054410849e-01,-3.883706185849851722e-01,-2.539222267579674952e+00,-3.362528917490315572e-01,4.361986310140999912e+00
6.841368273654730991e-01,-3.984943857950032919e-01,-2.521587836781745029e+00,-3.359339506261985187e-01,4.453272772212748087e+00
6.881376275255051134e-01,-4.085468732739251374e-01,-2.503590502006544760e+00,-3.355323526646448729e-01,4.543401849992169339e+00
6.921384276855371276e-01,-4.185266384125846395e-01,-2.485234917576486069e+00,-3.350485817149854717e-01,4.632360686052263254e+00
6.961392278455691418e-01,-4.284322575561047008e-01,-2.466525786116505525e+00,-3.344831735959089003e-01,4.720137257456078927e+00
7.001400280056011560e-01,-4.382623260038971957e-01,-2.447467858554067455e+00,-3.338367160941777545e-01,4.806720370996895753e+00
7.041408281656331702e-01,-4.480154580311117019e-01,-2.428065933625480621e+00,-3.331098488350168751e-01,4.892099657584969563e+00
7.081416283256651845e-01,-4.576902872886135509e-01,-2.408324844493486161e+00,-3.323032600209750442e-01,4.976265565068699992e+00
7.121424284856970877e-01,-4.672854661302933144e-01,-2.388249467949302041e+00,-3.314176892080966663e-01,5.059209348315119925e+00
7.161432286457291019e-01,-4.767996665463937189e-01,-2.367844712714523681e+00,-3.304539236185997098e-01,5.140923064830025702e+00
7.201440288057611161e-01,-4.862315805342066755e-01,-2.347115512650584268e+00,-3.294127962505236096e-01,5.221399566582705987e+00
7.241448289657931303e-01,-4.955799200980740005e-01,-2.326066826758756534e+00,-3.282951858777291565e-01,5.300632490129808083e+00
7.281456291258251445e-01,-5.048434172493876382e-01,-2.304703639180148755e+00,-3.271020170498983304e-01,5.378616246010333946e+00
7.321464292858571588e-01,-5.140208240065889944e-01,-2.283030959195709197e+00,-3.258342600925346333e-01,5.455346007441151279e+00
7.361472294458891730e-01,-5.231109124795135790e-01,-2.261053812951675290e+00,-3.244929280863192433e-01,5.530817695452036276e+00
7.401480296059211872e-01,-5.321124744881785551e-01,-2.238777240061442075e+00,-3.230790760248247739e-01,5.605027961914134771e+00
7.441488297659532014e-01,-5.410243217614943978e-01,-2.216206298972807520e+00,-3.215938024796130557e-01,5.677974180139253590e+00
7.481496299259852156e-01,-5.498452864576940380e-01,-2.193346051240044225e+00,-3.200382434901786199e-01,5.749654428284204144e+00
7.521504300860172298e-01,-5.585742211688808911e-01,-2.170201561321498662e+00,-3.184135724875668538e-01,5.820067474881388314e+00
7.561512302460492441e-01,-5.672099989210284132e-01,-2.146777896579589839e+00,-3.167210002943740554e-01,5.889212763906042092e+00
7.601520304060812583e-01,-5.757515131739802117e-01,-2.123080127280808416e+00,-3.149617751247472675e-01,5.957090399360471800e+00
7.641528305661132725e-01,-5.841976778214504895e-01,-2.099113326595717144e+00,-3.131371825843844992e-01,6.023701129407237786e+00
7.681536307261451757e-01,-5.925474269477506439e-01,-2.074882559594733777e+00,-3.112485401109084671e-01,6.089046321748438295e+00
7.721544308861771899e-01,-6.007997143800100082e-01,-2.050392886253407543e+00,-3.092971988687002738e-01,6.153127945461736914e+00
7.761552310462092041e-01,-6.089535141136707130e-01,-2.025649362958019672e+00,-3.072845441725278182e-01,6.215948558134624768e+00
7.801560312062412184e-01,-6.170078203456137445e-01,-2.000657029338115844e+00,-3.052119885801453103e-01,6.277511281027861934e+00
7.841568313662732326e-01,-6.249616474741235272e-01,-1.975420908262511599e+00,-3.030809718902348071e-01,6.337819781505737105e+00
7.881576315263052468e-01,-6.328140300988872591e-01,-1.949946005839294116e+00,-3.008929611424062678e-01,6.396878255207210984e+00
7.921584316863372610e-01,-6.405640230209953545e-01,-1.924237311415820662e+00,-2.986494506171973873e-01,6.454691407985784224e+00
7.961592318463692752e-01,-6.482107012429410009e-01,-1.898299797578719694e+00,-2.963519618360737629e-01,6.511264437648142334e+00
8.001600320064012895e-01,-6.557531598317043464e-01,-1.872138418122704984e+00,-2.940020420776222609e-01,6.566603012822430863e+00
8.041608321664333037e-01,-6.631905127811722478e-01,-1.845758095805071664e+00,-2.916012556764218111e-01,6.620713235991276591e+00
8.081616323264653179e-01,-6.705218938582030441e-01,-1.819163736830604172e+00,-2.891511947614660016e-01,6.673601643405092432e+00
8.121624324864973321e-01,-6.777464563161663680e-01,-1.792360218444184028e+00,-2.866534698130097647e-01,6.725275173908043413e+00
8.161632326465293463e-01,-6.848633727532726923e-01,-1.765352386154043884e+00,-2.841097076010997147e-01,6.775741146941356874e+00
8.201640328065613605e-01,-6.918718351125731081e-01,-1.738145053731765088e+00,-2.815215511855737596e-01,6.825007243883646879e+00
8.241648329665933748e-01,-6.987710546819596580e-01,-1.710743003212280122e+00,-2.788906599160614341e-01,6.873081489381947407e+00
8.281656331266252780e-01,-7.055602620941648917e-01,-1.683150984893871716e+00,-2.762187094319837333e-01,6.919972232698594183e+00
8.321664332866572922e-01,-7.122387073267627544e-01,-1.655373717338170625e+00,-2.735073916625528345e-01,6.965688129098428938e+00
8.361672334466893064e-01,-7.188056592506304465e-01,-1.627415884954371839e+00,-2.707584119309515702e-01,7.010238114875967597e+00
8.401680336067213206e-01,-7.252604042625303560e-01,-1.599282132216679475e+00,-2.679734824133425120e-01,7.053631371928686278e+00
8.441688337667533348e-01,-7.316022478166477327e-01,-1.570977070911399931e+00,-2.651543309950416538e-01,7.095877330426521468e+00
8.481696339267853491e-01,-7.378305135400031745e-01,-1.542505272982721110e+00,-2.623026923538702704e-01,7.136985634772573306e+00
8.521704340868173633e-01,-7.439445431390718788e-01,-1.513871269953583676e+00,-2.594203072521402142e-01,7.176966124349785758e+00
8.561712342468493775e-01,-7.499436963997839767e-01,-1.485079552925681945e+00,-2.565089225366539161e-01,7.215828815877326718e+00
8.601720344068813917e-01,-7.558273511875244211e-01,-1.456134572579464548e+00,-2.535702911387044955e-01,7.253583885948351906e+00
8.641728345669134059e-01,-7.615949034471325430e-01,-1.427040739174132877e+00,-2.506061720740755394e-01,7.290241653767274954e+00
8.681736347269454201e-01,-7.672457671123854572e-01,-1.397802422396297706e+00,-2.476183299589743148e-01,7.325812562964570063e+00
8.721744348869774344e-01,-7.727793725789827706e-01,-1.368423949103722004e+00,-2.446085280543266183e-01,7.360307146869422112e+00
8.761752350470094486e-01,-7.781951676581476685e-01,-1.338909605015317306e+00,-2.415785343004022701e-01,7.393736025128276879e+00
8.801760352070414628e-01,-7.834926172167105962e-01,-1.309263633242943037e+00,-2.385301164860315071e-01,7.426109880072667480e+00
