t,X,Y,E,C,dX_dt
2.240448089617923522e-01,1.786374436331645610e+00,6.938689427300586132e-01,1.077344953713384790e+00,1.014317424325340333e+00,3.023558938957766173e+00
2.400480096019203813e-01,1.834087609370814276e+00,7.101060081392729373e-01,1.084417202039165584e+00,1.014023079952077744e+00,2.938889936598739983e+00
2.560512102420484104e-01,1.880421913071247397e+00,7.265866316557531013e-01,1.091600284320153991e+00,1.013596842998420566e+00,2.851247388640114622e+00
2.720544108821764118e-01,1.925330630518978570e+00,7.432986468003144331e-01,1.098882194438618010e+00,1.013045613277933965e+00,2.760755664209182392e+00
2.880576115223044686e-01,1.968769375750269113e+00,7.602301812991423269e-01,1.106251896324994100e+00,1.012376065151702420e+00,2.667577811274627120e+00
3.040608121624324700e-01,2.010696870754917320e+00,7.773696369317225630e-01,1.113699218649153000e+00,1.011594661691815000e+00,2.571913797062444829e+00
3.200640128025605269e-01,2.051075109241334626e+00,7.947056857860246293e-01,1.121214830379625438e+00,1.010707657305400131e+00,2.473997824767672604e+00
3.360672134426885282e-01,2.089870085901873509e+00,8.122272572709126059e-01,1.128790136254114174e+00,1.009721106312185590e+00,2.374094893157837838e+00
3.520704140828165851e-01,2.127052265529105313e+00,8.299235328454991345e-01,1.136417211191291798e+00,1.008640868905331445e+00,2.272496588949371343e+00
3.680736147229445865e-01,2.162597096623462889e+00,8.477839396495996382e-01,1.144088721777319684e+00,1.007472619638607014e+00,2.169516281921918033e+00
3.840768153630725879e-01,2.196485063373968760e+00,8.657981498766739170e-01,1.151797915172788400e+00,1.006221848395817853e+00,2.065483813657320145e+00
4.000800160032006447e-01,2.228702011152257967e+00,8.839560821698284609e-01,1.159538551400247197e+00,1.004893862789024706e+00,1.960739906445567948e+00
4.160832166433286461e-01,2.259239356614485050e+00,9.022479043973331558e-01,1.167304868348197022e+00,1.003493788168968504e+00,1.855630437643288611e+00
4.320864172834567030e-01,2.288093992471326832e+00,9.206640311931854059e-01,1.175091510030706887e+00,1.002026576572045746e+00,1.750500859872202941e+00
4.480896179235847043e-01,2.315268290924277661e+00,9.391951235783950747e-01,1.182893513456642731e+00,1.000497008096684182e+00,1.645690800330891435e+00
4.640928185637127612e-01,2.340770029445235156e+00,9.578320898461407662e-01,1.190706298515920247e+00,9.989096912916477500e-01,1.541529055456174024e+00
4.800960192038407626e-01,2.364612146037774032e+00,9.765660945546954519e-01,1.198525608805959264e+00,9.972690624258118142e-01,1.438329126391555635e+00
4.960992198439688194e-01,2.386812521672918574e+00,9.953885566968492249e-01,1.206347496518209716e+00,9.955793886978473450e-01,1.336385392032865660e+00
5.121024204840968208e-01,2.407393319848797564e+00,1.014291145519363946e+00,1.214168280477818218e+00,9.938447761394502145e-01,1.235970027662475212e+00
5.281056211242248777e-01,2.426380942004662700e+00,1.033265780524909916e+00,1.221984542218335301e+00,9.920691700384507428e-01,1.137330557973195821e+00
5.441088217643528235e-01,2.443805706554735391e+00,1.052304631978063787e+00,1.229793111034462427e+00,9.902563561286766847e-01,1.040688156721746527e+00
5.601120224044808804e-01,2.459701244446691248e+00,1.071400125923932967e+00,1.237591031150572674e+00,9.884099603680309709e-01,9.462366538311262065e-01
5.761152230446089373e-01,2.474104016310509468e+00,1.090544935310920893e+00,1.245375547325107135e+00,9.865334566046005671e-01,8.541422221142487281e-01
5.921184236847369942e-01,2.487052701899739038e+00,1.109731974335657512e+00,1.253144082686413752e+00,9.846301728655214580e-01,7.645436377627125024e-01
6.081216243248649400e-01,2.498588186467469718e+00,1.128954398341571519e+00,1.260894238247699084e+00,9.827032914674238562e-01,6.775529720520587773e-01
6.241248249649929969e-01,2.508752996445650307e+00,1.148205600623194655e+00,1.268623774666079562e+00,9.807558522554951086e-01,5.932567558511724348e-01
6.401280256051210538e-01,2.517590879656936842e+00,1.167479211264764283e+00,1.276330598243135217e+00,9.787907540412839058e-01,5.117174571836813346e-01
6.561312262452489996e-01,2.525146253049185940e+00,1.186769083357354537e+00,1.284012744538412409e+00,9.768107652856210521e-01,4.329752542090536949e-01
6.721344268853770565e-01,2.531463941203979218e+00,1.206069288847219312e+00,1.291668370330489202e+00,9.748185275028318220e-01,3.570499208273841818e-01
6.881376275255051134e-01,2.536589122914568950e+00,1.225374117383662753e+00,1.299295751825353618e+00,9.728165560301140768e-01,2.839427899957899237e-01
7.041408281656331702e-01,2.540566819939237497e+00,1.244678068266716231e+00,1.306893268149997622e+00,9.708072450907413442e-01,2.136388117941847853e-01
7.201440288057611161e-01,2.543441732350926632e+00,1.263975845896580630e+00,1.314459395822141108e+00,9.687928707990934862e-01,1.461085610555605541e-01
7.361472294458891730e-01,2.545257869749913748e+00,1.283262344711645575e+00,1.321992695042638388e+00,9.667756018421830300e-01,8.131023133472009556e-02
7.521504300860172298e-01,2.546058492580943522e+00,1.302532647415853617e+00,1.329491807627710243e+00,9.647575007106713452e-01,1.919148095798312026e-02
7.681536307261451757e-01,2.545886056700601419e+00,1.321782022093630271e+00,1.336955454220839945e+00,9.627405253953240649e-01,-4.030882548299830059e-02
7.841568313662732326e-01,2.544781929984606617e+00,1.341005911522869187e+00,1.344382421817951423e+00,9.607265350648811486e-01,-9.725896579877132964e-02
8.001600320064012895e-01,2.542786358126378321e+00,1.360199928159055549e+00,1.351771561054275095e+00,9.587172934816394765e-01,-1.517328820034815340e-01
8.161632326465293463e-01,2.539938324615402365e+00,1.379359839736300275e+00,1.359121776338239718e+00,9.567144785179633182e-01,-2.038088164354582010e-01
8.321664332866572922e-01,2.536275539135158130e+00,1.398481568422228039e+00,1.366432025169429298e+00,9.547196826889410293e-01,-2.535681312385840158e-01
8.481696339267853491e-01,2.531834429146234910e+00,1.417561188308433362e+00,1.373701316421420682e+00,9.527344145515977969e-01,-3.010942594507275416e-01
8.641728345669134059e-01,2.526650056215739237e+00,1.436594912880928998e+00,1.380928700566284251e+00,9.507601050634714168e-01,-3.464717607090580520e-01
8.801760352070414628e-01,2.520756118291851422e+00,1.455579093147779224e+00,1.388113269062323463e+00,9.487981089116723776e-01,-3.897855339401895547e-01
8.961792358471694087e-01,2.514184970497239657e+00,1.474510202721606378e+00,1.395254146520908511e+00,9.468497140192385642e-01,-4.311201224705824009e-01
9.121824364872974655e-01,2.506967624054434740e+00,1.493384836414339167e+00,1.402350489861398986e+00,9.449161423876893950e-01,-4.705591506704364102e-01
9.281856371274255224e-01,2.499133747622503954e+00,1.512199710014971998e+00,1.409401488194493846e+00,9.429985502197570923e-01,-5.081848562181495721e-01
9.441888377675534683e-01,2.490711721376104748e+00,1.530951648865941150e+00,1.416406356337338357e+00,9.410980338496914843e-01,-5.440776909392462946e-01
9.601920384076815251e-01,2.481728618402021969e+00,1.549637586144350321e+00,1.423364333230525247e+00,9.392156301427001530e-01,-5.783160112410620224e-01
9.761952390478095820e-01,2.472210302938081306e+00,1.568254551949552766e+00,1.430274677700741570e+00,9.373523236431017258e-01,-6.109758316226914232e-01
9.921984396879376389e-01,2.462181473002566623e+00,1.586799667398292257e+00,1.437136665640892152e+00,9.355090500482923233e-01,-6.421306413669377600e-01
1.008201640328065585e+00,2.451665660394221291e+00,1.605270144624703077e+00,1.443949590010099149e+00,9.336866962087458921e-01,-6.718512767080649928e-01
1.024204840968193642e+00,2.440685243460522624e+00,1.623663285535451584e+00,1.450712760259615486e+00,9.318861007847937250e-01,-7.002058336589729315e-01
1.040208041608321698e+00,2.429261567430142765e+00,1.641976468943468825e+00,1.457425496067300097e+00,9.301080606666903838e-01,-7.272596096518593178e-01
1.056211242248449755e+00,2.417414904448097257e+00,1.660207153347811326e+00,1.464087128636890833e+00,9.283533294721920681e-01,-7.530750870858367030e-01
1.072214442888577812e+00,2.405164594464216155e+00,1.678352864978768233e+00,1.470696996056205741e+00,9.266226247641132785e-01,-7.777119383834425470e-01
1.088217643528705647e+00,2.392529075983758968e+00,1.696411194997655025e+00,1.477254442084987129e+00,9.249166296121132946e-01,-8.012270556377272257e-01
1.104220844168833704e+00,2.379525886067416884e+00,1.714379799496815293e+00,1.483758816154900462e+00,9.232359925926957311e-01,-8.236745973045874747e-01
1.120224044808961761e+00,2.366171664655753570e+00,1.732256399143961456e+00,1.490209473218835567e+00,9.215813279720271867e-01,-8.451060472095794918e-01
1.136227245449089818e+00,2.352482287331210564e+00,1.750038767713909538e+00,1.496605768824173621e+00,9.199532214325327750e-01,-8.655702831350665649e-01
1.152230446089217875e+00,2.338472823703495074e+00,1.767724734341055592e+00,1.502947060130970014e+00,9.183522288114720489e-01,-8.851136547905890106e-01
1.168233646729345931e+00,2.324157642367728371e+00,1.785312175740863649e+00,1.509232702992840958e+00,9.167788806957317682e-01,-9.037800701324755215e-01
1.184236847369473988e+00,2.309550470285318458e+00,1.802799011517027150e+00,1.515462050017576612e+00,9.152336849241300420e-01,-9.216110854844232758e-01
1.200240048009601823e+00,2.294664392783960061e+00,1.820183204161470059e+00,1.521634450567139529e+00,9.137171265874163284e-01,-9.386459971336951202e-01
1.216243248649729880e+00,2.279511853557634637e+00,1.837462759054347528e+00,1.527749250757665767e+00,9.122296680282712122e-01,-9.549219331891706242e-01
1.232246449289857937e+00,2.264104679162012079e+00,1.854635722424722966e+00,1.533805792596372397e+00,9.107717498338623319e-01,-9.704739454950945809e-01
1.248249649929985994e+00,2.248454209793712355e+00,1.871700169562001470e+00,1.539803409255562583e+00,9.093437966179411802e-01,-9.853351043566133116e-01
1.264252850570114051e+00,2.232571204650033891e+00,1.888654211949471140e+00,1.545741428416072871e+00,9.079462137890621509e-01,-9.995365862742274787e-01
1.280256051210242108e+00,2.216465977121842013e+00,1.905495987032353566e+00,1.551619167729370030e+00,9.065793926548049164e-01,-1.013107766837382240e+00
1.296259251850370164e+00,2.200148416483337588e+00,1.922223656493622812e+00,1.557435934067955330e+00,9.052437112644707851e-01,-1.026076308125685621e+00
1.312262452490497999e+00,2.183627987892058808e+00,1.938835406254004745e+00,1.563191023525363432e+00,9.039395344090830342e-01,-1.038468242111853845e+00
1.328265653130626056e+00,2.166913732388878966e+00,1.955329446471977928e+00,1.568883721416163723e+00,9.026672136213864661e-01,-1.050308050487850364e+00
1.344268853770754113e+00,2.150014267412443392e+00,1.971704011499051168e+00,1.574513302254450187e+00,9.014270871952348996e-01,-1.061618740827052321e+00
1.360272054410882170e+00,2.132937897287401352e+00,1.987957349586117362e+00,1.580079025201049481e+00,9.002194848871054589e-01,-1.072421925483745486e+00
1.376275255051010227e+00,2.115692566084416804e+00,2.004087724794616499e+00,1.585580136232788817e+00,8.990447279046390738e-01,-1.082737891209196501e+00
1.392278455691138284e+00,2.098285879908527995e+00,2.020093416130746000e+00,1.591015867083661384e+00,8.979031290021838307e-01,-1.092585666638373532e+00
1.408281656331266340e+00,2.080725190213367437e+00,2.035972710712538269e+00,1.596385431718623460e+00,8.967949953123059981e-01,-1.101983090993941428e+00
1.424284856971394175e+00,2.063017593801161009e+00,2.051723903769860691e+00,1.601688026333592640e+00,8.957206283457904705e-01,-1.110946875429396741e+00
1.440288057611522232e+00,2.045169932822727521e+00,2.067345298644414076e+00,1.606922829355448945e+00,8.946803239916407691e-01,-1.119492660812188234e+00
1.456291258251650289e+00,2.027188794777480485e+00,2.082835206789734883e+00,1.612089001442034375e+00,8.936743725170787078e-01,-1.127635072060567900e+00
1.472294458891778346e+00,2.009080512513427230e+00,2.098191947771193888e+00,1.617185685482152691e+00,8.927030585675446162e-01,-1.135387769153440640e+00
1.488297659531906403e+00,1.990851177098496461e+00,2.113413847806949075e+00,1.622212005928151513e+00,8.917666617858898137e-01,-1.142763496045897886e+00
1.504300860172034460e+00,1.972506752354329596e+00,2.128499225180656929e+00,1.627167062949559595e+00,8.908654637723052439e-01,-1.149774137523761119e+00
1.520304060812162517e+00,1.954052969990005995e+00,2.143446400920649531e+00,1.632049937944603402e+00,8.899997442233472666e-01,-1.156430755375726038e+00
1.536307261452290351e+00,1.935495399607195521e+00,2.158253693654339944e+00,1.636859689753395797e+00,8.891697818693869992e-01,-1.162743632937779825e+00
1.552310462092418408e+00,1.916839473170431019e+00,2.172919417118636787e+00,1.641595353372917288e+00,8.883758554002268992e-01,-1.168722316088315116e+00
1.568313662732546465e+00,1.898090485007109196e+00,2.187441880159943342e+00,1.646255939957015579e+00,8.876182434651013198e-01,-1.174375649971575841e+00
1.584316863372674522e+00,1.879253591807490409e+00,2.201819386734158002e+00,1.650840436816407131e+00,8.868972246726758435e-01,-1.179711813347419813e+00
1.600320064012802579e+00,1.860333812624699101e+00,2.216050235906674715e+00,1.655347807418675155e+00,8.862130775910481706e-01,-1.184738350693458120e+00
1.616323264652930636e+00,1.841336028874722697e+00,2.230132721852382094e+00,1.659776991388271394e+00,8.855660807477472307e-01,-1.189462202179606631e+00
1.632326465293058693e+00,1.822265017241031737e+00,2.244065129318149943e+00,1.664126902791293938e+00,8.849565145529231236e-01,-1.193889736201563467e+00
1.648329665933186750e+00,1.803125487495296220e+00,2.257845725250606339e+00,1.668396427533290982e+00,8.843846662705122652e-01,-1.198026784110226561e+00
1.664332866573314584e+00,1.783922027304691627e+00,2.271472767782360069e+00,1.672584426448036288e+00,8.838508256776850258e-01,-1.201878657465775824e+00
1.680336067213442641e+00,1.764659159651212672e+00,2.284944501312999421e+00,1.676689732870979999e+00,8.833552858437052624e-01,-1.205450178005625483e+00
1.696339267853570698e+00,1.745341344516419424e+00,2.298259156316631469e+00,1.680711152559096089e+00,8.828983431939534388e-01,-1.208745701023242747e+00
1.712342468493698755e+00,1.725972978881436193e+00,2.311414949341883407e+00,1.684647463690881253e+00,8.824802975099262925e-01,-1.211769137139456998e+00
1.728345669133826812e+00,1.706558396726951976e+00,2.324410083011900330e+00,1.688497416866354905e+00,8.821014519292368350e-01,-1.214523972756814452e+00
1.744348869773954869e+00,1.687101869033220680e+00,2.337242746024347895e+00,1.692259735107060292e+00,8.817621129456145734e-01,-1.217013289284988975e+00
1.760352070414082926e+00,1.667607604920538611e+00,2.349911113009577335e+00,1.695933113874097176e+00,8.814625904670153611e-01,-1.219239781485355056e+00
1.776355271054210760e+00,1.648079795218868826e+00,2.362413337261703550e+00,1.699516220708003900e+00,8.812032015050029754e-01,-1.221205785645299802e+00
1.792358471694338817e+00,1.628522590869782016e+00,2.374747550813110841e+00,1.703007693195855321e+00,8.809842711608907306e-01,-1.222913292685882336e+00
1.808361672334466874e+00,1.608940110168158855e+00,2.386911868501270906e+00,1.706406141618266092e+00,8.808061290675958110e-01,-1.224363963831284652e+00
1.824364872974594931e+00,1.589336455443449037e+00,2.398904386787060083e+00,1.709710149691562320e+00,8.806691095323033736e-01,-1.225559149839951401e+00
1.840368073614722988e+00,1.569715713059671058e+00,2.410723183754757581e+00,1.712918274567780896e+00,8.805735515364667698e-01,-1.226499906129465023e+00
1.856371274254851045e+00,1.550081953415412883e+00,2.422366319112047695e+00,1.716029046834671501e+00,8.805197987358074352e-01,-1.227187007284126663e+00
1.872374474894979102e+00,1.530439230943830387e+00,2.433831834190018917e+00,1.719040970515693934e+00,8.805081994603146667e-01,-1.227620961008915268e+00
1.888377675535106937e+00,1.510791584750990513e+00,2.445117751946310314e+00,1.721952523262039403e+00,8.805391067119588966e-01,-1.227802021880626704e+00
1.904380876175234993e+00,1.491143062610426950e+00,2.456222074656595478e+00,1.724762161236778057e+00,8.806128797904387850e-01,-1.227730215493813670e+00
1.920384076815363050e+00,1.471497711962995503e+00,2.467142780288311243e+00,1.727468312698090314e+00,8.807298868453853347e-01,-1.227405347639141775e+00
1.936387277455491107e+00,1.451859583820419353e+00,2.477877828678501704e+00,1.730069384741748095e+00,8.808905005098747187e-01,-1.226827018737803421e+00
1.952390478095619164e+00,1.432232741255220709e+00,2.488425162689954728e+00,1.732563766892219137e+00,8.810950970832324147e-01,-1.225994640651977718e+00
1.968393678735747221e+00,1.412621259400722584e+00,2.498782708211206405e+00,1.734949831102666318e+00,8.813440565310333152e-01,-1.224907449595363351e+00
1.984396879375875278e+00,1.393029225451047015e+00,2.508948374156537042e+00,1.737225931754947217e+00,8.816377624851013950e-01,-1.223564518965026382e+00
2.000400080016003113e+00,1.373460738661116176e+00,2.518920052465973392e+00,1.739390405659615446e+00,8.819766022435103769e-01,-1.221964772143747213e+00
2.016403280656131169e+00,1.353919912504901069e+00,2.528695619026229746e+00,1.741441574799919234e+00,8.823609664771797645e-01,-1.220106997744476285e+00
2.032406481296259226e+00,1.334410888790599659e+00,2.538272934002606895e+00,1.743377756040919602e+00,8.827912505875321614e-01,-1.217989875747203410e+00
2.048409681936387283e+00,1.314937829334691610e+00,2.547649837485301383e+00,1.745197248968008763e+00,8.832678562812426026e-01,-1.215611980887903121e+00
2.064412882576515340e+00,1.295504920009841188e+00,2.556824160401718338e+00,1.746898353980971930e+00,8.837911857166942386e-01,-1.212971804844326318e+00
2.080416083216643397e+00,1.276116371927112247e+00,2.565793725595304053e+00,1.748479374614492654e+00,8.843616410119736759e-01,-1.210067771531633474e+00
2.096419283856771454e+00,1.256776421435967350e+00,2.574556347825543323e+00,1.749938617538152830e+00,8.849796242448699779e-01,-1.206898251104818520e+00
2.112422484496899511e+00,1.237489330124268205e+00,2.583109833767962105e+00,1.751274392556431803e+00,8.856455374528755531e-01,-1.203461574296911696e+00
2.128425685137027568e+00,1.218259384814773361e+00,2.591451982053008418e+00,1.752485012685067733e+00,8.863597826188546192e-01,-1.199756047170160267e+00
2.144428885777155624e+00,1.199090898986362452e+00,2.599580591009443609e+00,1.753568812087954676e+00,8.871227595433638369e-01,-1.195779978015752976e+00
2.160432086417283681e+00,1.179988218687856971e+00,2.607493450687819347e+00,1.754524136856915772e+00,8.879348705503009587e-01,-1.191531693148409010e+00
2.176435287057411294e+00,1.160955715790980891e+00,2.615188352058387178e+00,1.755349355052084448e+00,8.887965150436153428e-01,-1.187009552103326815e+00
2.192438487697539351e+00,1.141997785527429254e+00,2.622663096351093959e+00,1.756042872905075658e+00,8.897080855059033011e-01,-1.182211970691450675e+00
2.208441688337667408e+00,1.123118846488871947e+00,2.629915495055581864e+00,1.756603134818986112e+00,8.906699674984069892e-01,-1.177137437465106018e+00
2.224444888977795465e+00,1.104323340626951255e+00,2.636943369921186164e+00,1.757028623368393605e+00,8.916825396610150722e-01,-1.171784530733154694e+00
2.240448089617923522e+00,1.085615733253282533e+00,2.643744552956939220e+00,1.757317859299357243e+00,8.927461737122625030e-01,-1.166151936140748191e+00
2.256451290258051579e+00,1.067000509111181161e+00,2.650316893185010070e+00,1.757469413659874524e+00,8.938612323891201861e-01,-1.160238469846926801e+00
2.272454490898179635e+00,1.048482171747503910e+00,2.656658261985468616e+00,1.757481923912397326e+00,8.950280699670015716e-01,-1.154043108945055573e+00
2.288457691538307692e+00,1.030065245851446987e+00,2.662766547037966891e+00,1.757354079621914478e+00,8.962470330530818430e-01,-1.147565001429541987e+00
2.304460892178435749e+00,1.011754261668513566e+00,2.668639674373116222e+00,1.757084654640657106e+00,8.975184514517313694e-01,-1.140803491952179005e+00
2.320464092818563806e+00,9.935537545267135728e-01,2.674275609098290207e+00,1.756672508273937172e+00,8.988426378981519971e-01,-1.133758140778575285e+00
2.336467293458691863e+00,9.754682648365636810e-01,2.679672355397626937e+00,1.756116585280149689e+00,9.002198880583769380e-01,-1.126428742866708799e+00
2.352470494098819920e+00,9.575023380910878679e-01,2.684827956532027660e+00,1.755415915870771171e+00,9.016504805292702152e-01,-1.118815347421791451e+00
2.368473694738947977e+00,9.396605197286397315e-01,2.689740500562775249e+00,1.754569623701021319e+00,9.031346751207010026e-01,-1.110918279145002963e+00
2.384476895379076034e+00,9.219473422305352051e-01,2.694408135615912858e+00,1.753576953226462676e+00,9.046727103863322350e-01,-1.102738168035198862e+00
2.400480096019203646e+00,9.043673374557550382e-01,2.698829056019426798e+00,1.752437249817222487e+00,9.062648075880892495e-01,-1.094275964985059746e+00
2.416483296659331703e+00,8.869250101577634826e-01,2.703001530511734529e+00,1.751149990521620126e+00,9.079111592120021612e-01,-1.085532957035860724e+00
2.432486497299459760e+00,8.696248357488095548e-01,2.706923904675216264e+00,1.749714787079435618e+00,9.096119281034188431e-01,-1.076510785515324864e+00
2.448489697939587817e+00,8.524712602999249267e-01,2.710594600936212295e+00,1.748131385921909864e+00,9.113672474670042600e-01,-1.067211464115276787e+00
2.464492898579715874e+00,8.354687005409250355e-01,2.714012118565024778e+00,1.746399668171743746e+00,9.131772208667414681e-01,-1.057637396972481936e+00
2.480496099219843931e+00,8.186215364274511685e-01,2.717175040344052217e+00,1.744519655668493208e+00,9.150419204068857004e-01,-1.047791394450179769e+00
2.496499299859971988e+00,8.019340915107155965e-01,2.720082050015057984e+00,1.742491533508362389e+00,9.169613844304634886e-01,-1.037676690791242251e+00
2.512502500500100044e+00,7.854106473025703750e-01,2.722731919300615200e+00,1.740315637208753596e+00,9.189356205811483047e-01,-1.027296962441176298e+00
2.528505701140228101e+00,7.690554120025840934e-01,2.725123536099363086e+00,1.737992468924946188e+00,9.209645946977322861e-01,-1.016656323439158127e+00
2.544508901780356158e+00,7.528725180947537510e-01,2.727255906648577533e+00,1.735522699041396777e+00,9.230482300911323490e-01,-1.005759336754273203e+00
2.560512102420484215e+00,7.368660223475054227e-01,2.729128155524172872e+00,1.732907166171739455e+00,9.251864075443902991e-01,-9.946110259658798025e-01
2.576515303060612272e+00,7.210399058136941486e-01,2.730739525640700105e+00,1.730146877158786012e+00,9.273789653126727206e-01,-9.832168861402824644e-01
2.592518503700740329e+00,7.053980590457737954e-01,2.732089389109387145e+00,1.727243009197349632e+00,9.296256969210215937e-01,-9.715828825594637896e-01
2.608521704340868386e+00,6.899442699915666610e-01,2.733177255065326161e+00,1.724196918614701923e+00,9.319263528127527119e-01,-9.597154562012236712e-01
2.624524904980995998e+00,6.746822269429275654e-01,2.734002768153159568e+00,1.721010134335655417e+00,9.342806378223836861e-01,-9.476215246940096204e-01
2.640528105621124055e+00,6.596154931922221243e-01,2.734565728024368259e+00,1.717684354851504613e+00,9.366882041447791574e-01,-9.353084591052304164e-01
2.656531306261252112e+00,6.447475067596688536e-01,2.734866089542643319e+00,1.714221448221894706e+00,9.391486512763174144e-01,-9.227840845296085837e-01
2.672534506901380169e+00,6.300815803933368375e-01,2.734903962783886922e+00,1.710623452074821138e+00,9.416615260148909483e-01,-9.100566793740234584e-01
2.688537707541508226e+00,6.156208995562817421e-01,2.734679614161418026e+00,1.706892572089409033e+00,9.442263223229249158e-01,-8.971349703438596945e-01
2.704540908181636283e+00,6.013684991878395225e-01,2.734193478302243463e+00,1.703031168045974653e+00,9.468424822724618162e-01,-8.840281010956837493e-01
2.720544108821764340e+00,5.873272724275551138e-01,2.733446152260848638e+00,1.699041762442529357e+00,9.495093982281772593e-01,-8.707456383403849864e-01
2.736547309461892397e+00,5.734999510166867154e-01,2.732438408612822389e+00,1.694927017958847815e+00,9.522264061659627687e-01,-8.572975270821985294e-01
2.752550510102020453e+00,5.598890996488818939e-01,2.731171198854473570e+00,1.690689732364706321e+00,9.549927847079391352e-01,-8.436940696178449883e-01
2.768553710742148510e+00,5.464971159701774717e-01,2.729645653402830163e+00,1.686332838519883026e+00,9.578077551224563058e-01,-8.299459109312439242e-01
2.784556911382276567e+00,5.333262302601846638e-01,2.727863081660396372e+00,1.681859403675323383e+00,9.606704813724205039e-01,-8.160640214529686354e-01
2.800560112022404624e+00,5.203784929609698295e-01,2.725824973380856164e+00,1.677272603776143178e+00,9.635800741519048307e-01,-8.020596552427977644e-01
2.816563312662532681e+00,5.076557748435578388e-01,2.723532996824506558e+00,1.672575725708467687e+00,9.665355938243332945e-01,-7.879443318943424313e-01
2.832566513302660738e+00,4.951597593208745263e-01,2.720989003214125290e+00,1.667772145497548930e+00,9.695360457756860839e-01,-7.737297905283224697e-01
2.848569713942788351e+00,4.828919374300356671e-01,2.718195028291012338e+00,1.662865316468540300e+00,9.725803801402229665e-01,-7.594279529417998775e-01
2.864572914582916408e+00,4.708536078323462548e-01,2.715153292314990807e+00,1.657858769246495223e+00,9.756674918004841768e-01,-7.450508963403142948e-01
2.880576115223044464e+00,4.590458765302301014e-01,2.711866199402321875e+00,1.652756108880246932e+00,9.787962209466245511e-01,-7.306108229138871257e-01
2.896579315863172521e+00,4.474696537189886136e-01,2.708336328576099294e+00,1.647560983546374924e+00,9.819653618528318972e-01,-7.161200153459490458e-01
2.912582516503300578e+00,4.361256540551540772e-01,2.704566433716039331e+00,1.642277086271340947e+00,9.851736629044350879e-01,-7.015908058034898698e-01
2.928585717143428635e+00,4.250143945853394056e-01,2.700559442004235589e+00,1.636908131149380052e+00,9.884198248525587482e-01,-6.870355274351293007e-01
2.944588917783556692e+00,4.141361942168216848e-01,2.696318453000937421e+00,1.631457847749223422e+00,9.917025013224022301e-01,-6.724664772305808391e-01
2.960592118423684749e+00,4.034911737179959768e-01,2.691846738643510761e+00,1.625929981112097744e+00,9.950202988137837323e-01,-6.578958809071946412e-01
2.976595319063812806e+00,3.930792592962898957e-01,2.687147733947466755e+00,1.620328275555752651e+00,9.983717825887652442e-01,-6.433358566922288135e-01
2.992598519703940863e+00,3.829001861204245349e-01,2.682225026044672944e+00,1.614656457922264199e+00,1.001755484913353422e+00,-6.287983797630423144e-01
3.008601720344068919e+00,3.729535001450925980e-01,2.677082353933088132e+00,1.608918230832411256e+00,1.005169901475388983e+00,-6.142952431094570453e-01
3.024604920984196976e+00,3.632385608483885142e-01,2.671723603376362277e+00,1.603117261035611696e+00,1.008613493000616979e+00,-5.998380202749873380e-01
3.040608121624325033e+00,3.537545412318083837e-01,2.666152806903836492e+00,1.597257179409921957e+00,1.012084685252686800e+00,-5.854380294230886461e-01
