n,h0,e,v_wind,h_n
1.963587143674837066e+01,2.678752213491131684e+00,8.039009692286311903e-01,1.022862837202676900e+00,7.126672014400532718e-02
1.402529770513319995e+01,2.868516777498566928e+00,6.771064511518397611e-01,2.926640747662772601e-01,-4.997066025459385302e-02
1.335872624908850881e+01,2.678264216877320081e+00,8.539230758235796248e-01,9.488293696948189027e-01,5.704978976478496805e-02
1.408048788084786196e+01,1.049777533378321248e+00,8.024827662356058822e-01,7.760189606927081485e-01,1.081660695354393076e-02
8.389507055602971164e+00,2.793646451618238657e+00,5.434568122264924472e-01,1.381429742087936896e+00,1.320611506135622726e-01
3.566833595425813019e+00,1.020700081102759782e+00,8.507168406130871663e-01,7.633771836087103191e-01,6.482080816259158662e-03
1.470827846368755232e+01,2.041046985758268040e+00,8.869413006125081989e-01,1.164734621571073658e+00,1.475817212741412920e-01
1.098173212703879109e+01,2.467020529239682958e+00,5.346268471296730107e-01,1.104433431992273507e+00,6.575215923179310307e-02
6.894595635620157204e+00,1.199991944193750992e+00,7.583230718484486044e-01,1.263073723007037685e+00,1.478990398331765377e-01
1.023087181780399213e+01,2.274160072546820732e+00,7.986884877382484094e-01,1.720163708839443029e+00,3.414894161730740452e-01
1.790026885263100453e+01,1.791511122614174223e+00,7.562955031272904360e-01,1.578902020289908226e+00,2.606630221407407744e-01
1.874682680316874439e+01,2.135501015799531999e+00,7.753385022645334912e-01,1.096373512572715425e+00,9.047473599703578784e-02
7.798108737472334795e+00,2.363791427040532689e+00,5.231411908539073119e-01,5.433991563595657048e-01,-2.259712009107877478e-02
1.185906678386545821e+01,1.509096530700797301e+00,8.587265850543283063e-01,1.271073549057267327e+00,1.887947743326515992e-01
7.115518430442900666e+00,2.060488225286431163e+00,6.937935482929474817e-01,1.577722677004203211e+00,2.303756963783915590e-01
1.229170057379423930e+01,2.076568346248500951e+00,6.166363478550772603e-01,1.900702320999666517e+00,3.253259398105794453e-01
7.420313284635532192e+00,9.189618155061090032e-01,5.600824693070461935e-01,1.011010501158770225e+00,5.007640437077545692e-02
8.440761010035062739e+00,1.365433064670305008e+00,6.853420466376900499e-01,1.275511848875982235e+00,1.311988978052680554e-01
1.791521268809105294e+01,7.071695300460560940e-01,6.569388376552971476e-01,1.321116188258157687e+00,1.443851700145478700e-01
5.315994277134215018e+00,2.392397448804085780e+00,8.038664518932732150e-01,5.612557533875950355e-01,-1.870765324872766464e-02
1.284055574903480590e+01,1.933344370226044218e+00,6.535287508281567570e-01,1.823002471633643040e+00,3.108919200133699046e-01
2.596291528065311827e+00,1.450942907187261932e+00,6.887334272584989536e-01,1.136967511275386311e+00,1.101503036174896616e-01
1.682023880541455796e+01,5.771091055560818583e-01,7.282196288822633257e-01,2.350670348427475465e-01,-6.623631999995722996e-02
1.595486784228498323e+01,1.884728173136132501e+00,6.363034176904275308e-01,7.737937163756957171e-01,7.132492453002334254e-03
5.548019416866091014e+00,1.854758461511889056e+00,6.278754132488694184e-01,1.389865216875887821e+00,1.513611872268029179e-01
1.765320038540337322e+01,1.646692533851930484e+00,6.289560451492584026e-01,3.010833192544705716e-01,-4.819215637243526307e-02
2.112792661298692476e+00,2.569608411848040230e+00,7.760219025663160908e-01,1.911298612390649687e+00,4.940722103546051347e-01
7.386224150367547203e+00,5.338578580818105213e-01,6.819207685208107383e-01,1.881051372699500179e+00,3.795118049664127358e-01
3.855309871001942224e+00,2.806038950633257478e+00,7.289805832352067583e-01,1.903344833820303172e+00,3.862524939722246087e-01
9.556447966336452993e+00,2.934284226615526681e+00,8.930157148567265946e-01,1.486242058532187160e+00,2.838980167960237222e-01
1.613016113545858943e+01,8.735783776110185306e-01,5.927417015384550680e-01,1.621145998379635023e+00,2.241913950125247745e-01
5.382201970881201447e+00,2.676638394551275280e+00,5.270488805877734384e-01,4.510348854246818417e-01,-3.111531039071833288e-02
1.988404720223782451e+00,2.036857644106674137e+00,5.938063636937899181e-01,5.281581094739385973e-01,2.246187655002764016e-02
8.686484956609035635e+00,2.775948316566736462e+00,7.808467030897392469e-01,1.177113377384879644e+00,1.131076570268183812e-01
4.771747845675851529e+00,2.367759545549915412e+00,8.019235108270098555e-01,7.083984750725181856e-01,1.302470198143752811e-02
2.724307866763315822e+00,2.161416272716861542e+00,5.758468208212841333e-01,2.226874568131394505e-01,-3.231731285068700082e-02
1.202631533375016204e+01,2.455269526252354950e+00,6.534754974880405687e-01,1.664563008867797400e+00,2.450049003980472040e-01
6.675226523559529390e+00,1.203883862329373500e+00,6.707674559399046110e-01,1.960503538151480152e+00,3.908980294684408219e-01
1.376790268117082761e+01,1.744654656878411148e+00,6.652882641858359758e-01,1.117488887288548671e+00,8.168138409560250779e-02
4.790793435396052402e+00,1.723256328266585369e+00,7.828003563634823303e-01,1.321471761235154307e+00,1.766518037642158256e-01
1.890014909962345868e+01,8.973976707839288469e-01,8.887757148135762009e-01,9.152783595541313932e-01,6.465012293643074281e-02
7.937093196651742844e+00,1.073039506518198571e+00,5.865643542492018359e-01,1.897975625988389536e-01,-5.232769020098899243e-02
3.004410311834361025e+00,5.401277925516121403e-01,6.903399380414658726e-01,9.996400287715246913e-01,4.731433783832726669e-02
1.295305487925447530e+01,2.708673042606529524e+00,6.939332099549646582e-01,1.027145869475382334e+00,5.992870806719612087e-02
1.861593650828947943e+01,6.162076688637516675e-01,5.714582786461258612e-01,1.985464114480288034e+00,3.591856146633057856e-01
9.367165939599896518e+00,7.335641142274275106e-01,7.065329944961823427e-01,8.893249808789447375e-01,3.351712591812532754e-02
1.913721938012400869e+01,2.245251465074292074e+00,5.897085148443006464e-01,4.719136742079833580e-01,-3.164555957665800279e-02
1.049802046006529288e+01,2.662718983870518752e+00,7.316706067105344102e-01,5.323781840848411662e-01,-3.044044220001484655e-02
9.079343872132435322e+00,2.242165253625776344e+00,6.234897121058717850e-01,1.928188044193164252e+00,3.376953696603528510e-01
1.278405558829217803e+01,2.281775951052686935e+00,6.258030407703967235e-01,1.092708682359820438e+00,7.018047310791505899e-02
1.990683359947115960e+01,1.434293279930442644e+00,6.925669726006425941e-01,5.463886443429072370e-01,-2.839828742545582457e-02
1.902992982381753961e+01,2.459345405014394803e+00,8.773952780908299554e-01,1.995516729384468224e+00,5.781410747775636016e-01
9.740857646872825626e+00,2.432768565693534057e+00,8.533208310286805043e-01,1.471521458844361752e-01,-7.952235562218849807e-02
1.539684806085753799e+01,1.399392039575905633e+00,7.681630074677456843e-01,6.025274838638225994e-01,-2.384688273149370569e-02
1.045103121426476100e+01,2.805089716564859614e+00,8.965338848597462773e-01,1.688001173800464327e+00,3.985280152991270697e-01
1.105693104373863811e+01,1.642846072949075698e+00,6.382790852496449396e-01,7.466206419685917917e-01,2.659608947909529453e-03
1.592992831356234262e+01,2.181611028590752621e+00,5.155303268712848608e-01,1.174700832013884755e+00,8.006622788254638690e-02
8.878461137757744481e+00,1.502876635570550734e+00,6.424742685048867585e-01,2.903911353819361718e-01,-5.007129404075284784e-02
1.495518786398585753e+01,1.934087197132760449e+00,6.807968334697431789e-01,4.754078143221446839e-01,-3.563261193860077503e-02
1.451171468180524649e+01,7.152553751744351596e-01,6.945289565253304209e-01,1.325043860823606368e+00,1.557540999375275625e-01
1.870913404565418503e+01,1.551647371893887906e+00,8.322576626351200213e-01,6.521732043122356881e-01,-1.740606627911426424e-02
3.183720032337198802e+00,2.407117407075701543e+00,6.251934613170913035e-01,6.302903942972071238e-01,2.699894075140832350e-04
1.485128722444987837e+01,2.597226704639159944e+00,7.074431734510360226e-01,8.961476398442626001e-01,3.173967935547618996e-02
1.862105464386663911e+01,1.352241510917315148e+00,8.428240533427581171e-01,6.011101742831569394e-01,-2.915939954486140850e-02
1.939059760856828163e+01,6.371369878540293907e-01,5.730187400648442120e-01,4.292930492364749884e-01,-3.681439678173521052e-02
1.279419794342016470e+00,9.219293137674993144e-01,8.636616092972716485e-01,1.344710084633123914e+00,1.981873870048490582e-01
1.740916171466593809e+01,1.207489937997436868e+00,5.548117186970307202e-01,9.009422174424084329e-01,2.805095169243973507e-02
1.964270576126054024e+01,1.737087558533947806e+00,7.768514313158797480e-01,7.218263819627823707e-01,-1.711934538362464009e-03
1.918699341260830593e+01,1.157892155755690489e+00,8.802968103175177195e-01,8.651717495910661304e-01,4.224014853639062456e-02
3.826516232417460195e+00,1.425943407394702600e+00,7.428337610860905604e-01,1.655077150841851585e+00,2.923841966764497147e-01
1.947994746263614374e+01,5.429235694185694516e-01,7.739858609586428573e-01,5.947432771150242825e-01,-2.795947293280796886e-02
1.790877555868989290e+01,1.535380966055192919e+00,8.070059934146037728e-01,1.670657887013710985e+00,3.417793578280736155e-01
1.662510272331833860e+01,2.241052662757396785e+00,5.965168066041548478e-01,6.507031576928886674e-01,-1.128633782465586835e-02
1.011977055234881107e+01,1.622260372171102416e+00,5.397907387689179215e-01,8.725592914663897748e-01,2.234341286755316472e-02
5.415085473146772799e+00,9.850495043330746991e-01,6.747038867594554734e-01,1.957414151760664467e+00,3.960296228103782346e-01
1.623573099564784883e+01,2.825817219443410799e+00,7.319367644129961548e-01,7.606028851271724456e-01,5.476285045586892775e-03
1.854707303588592282e+01,9.605669438574439001e-01,6.079496029691725534e-01,1.753769505020018160e+00,2.766793160357169379e-01
6.056475173553558911e+00,2.670817110910534975e+00,5.175200837085213168e-01,1.830905659989462864e+00,2.649450062251124116e-01
1.123975374482155232e+01,9.766474436750922639e-01,8.350788314644137511e-01,6.423569263324501177e-01,-2.109040799151110784e-02
9.412303750516098688e+00,8.772547519198108379e-01,8.004393554308408820e-01,2.930670223530162932e-01,-7.141225105270261608e-02
1.868932900364194438e+01,1.719393173078193504e+00,8.784909463554956277e-01,1.540726294824815490e+00,3.328329213284947907e-01
1.769703512580258042e+00,2.150768456698961106e+00,5.614938843357020204e-01,1.585753129481091594e+00,2.380054125155912637e-01
1.490811771747465464e+01,1.632442926088289337e+00,5.133384885269486331e-01,2.028030154710181443e-01,-4.695399977161079236e-02
1.267309169203093688e+01,1.770380991040156671e+00,7.955434242444990867e-01,1.201719749624957867e+00,1.317393751329495877e-01
1.538941937156899975e+00,2.058664305235572201e+00,8.465357008882423706e-01,7.499724487633235848e-01,2.571639706592755981e-01
1.466517568370806579e+01,1.708319132789131167e+00,5.888521513879105829e-01,1.582498989424032443e+00,2.035181595937710641e-01
1.303842860947867610e+00,2.892136510903361657e+00,6.509391496876065775e-01,1.323200066623491100e+00,3.364470052164059144e-01
1.540106904477213412e+01,8.783020540811286025e-01,8.389929948133596493e-01,5.507481127071277571e-01,-4.110453204945479361e-02
1.074241574197948346e+01,1.478346098288322974e+00,5.045925915769894354e-01,3.258941457151788845e-01,-4.054025009211897207e-02
1.865298019514311534e+01,8.193147672676013293e-01,6.068319567273775528e-01,1.305440834396207894e-01,-5.649749260326979855e-02
2.255567437757419746e+00,9.938929208842937069e-01,5.519059254274121251e-01,1.643556576089583388e+00,2.174178100633427368e-01
1.698502831263528279e+01,2.050097322521448717e+00,8.791395480984726118e-01,1.722314559036015380e+00,4.255172738783275510e-01
2.267110166574926922e+00,2.666376682532880960e+00,5.177263932686897441e-01,1.000273613393708683e+00,6.580240748325121014e-02
7.541889597278378154e+00,1.386931925442259406e+00,7.130964687118779288e-01,1.649555922003436592e+00,2.749834358890117514e-01
9.175675907008832510e+00,2.636899989752663487e+00,7.807685032634622546e-01,9.573289861529463707e-01,5.130786902453972342e-02
1.935517953489733500e+01,1.450354836569649919e+00,6.900661964319596553e-01,1.599675862484108091e+00,2.437695261257924184e-01
1.168240500234068335e+01,2.273244640991248566e+00,6.051090016702722618e-01,1.175539186620884191e+00,8.793090022090971347e-02
5.918427270247712535e+00,7.773116002436842864e-01,6.323426147275789111e-01,8.633992109995181075e-01,2.414619433990546765e-02
5.591838567792554393e+00,1.879240773554213151e+00,5.893141653711789774e-01,1.856865251004598538e-01,-5.096528253792170782e-02
1.787424809252441804e+01,5.965967173548911706e-01,8.418897973302846838e-01,6.790197234383464897e-01,-1.375290052644057015e-02
5.291519139929163451e+00,8.573310511237124398e-01,5.011336553599925470e-01,1.732965058804447178e+00,2.373594200801684984e-01
3.366539410870386551e+00,1.260784581038825847e+00,5.503404254427132214e-01,1.192212244050237624e+00,9.052084017097332402e-02
6.478284383143974701e+00,6.225936232442705887e-01,8.466576944270337579e-01,1.316728764119833528e+00,2.105623104647013077e-01
1.213633823144192370e+01,2.681022400709104581e+00,8.924296771568404063e-01,9.031380978116515523e-01,4.897442600990666028e-02
1.152771954129208964e+01,2.553268034216470639e+00,6.771000387462053904e-01,7.523282971002100972e-01,3.684231652854072503e-03
1.638450474234277721e+01,2.829559288123564276e+00,8.093951227685259875e-01,1.801997791177444741e+00,3.781788367669656759e-01
1.164904308811752998e+01,1.061822736398202238e+00,8.540536995655567676e-01,1.617721729982125156e+00,3.790048476646830644e-01
6.480003074192999257e+00,1.615339951993592926e+00,8.286471122708266579e-01,9.333112851322232784e-01,5.687699535901768327e-02
8.845030510936961576e+00,2.522451876198314125e+00,6.682032991109533304e-01,9.569738707533335109e-01,4.266042555167567224e-02
1.654429844844729658e+01,1.190473478592134704e+00,8.517838761116153234e-01,1.617556055333800202e+00,3.701622246750008172e-01
1.290362278597531720e+01,2.118341051276960485e+00,6.834875133072447762e-01,6.859966433639049788e-01,-7.250036310086631353e-03
1.922247521125140324e+01,1.363145828779703139e+00,7.771578178962178507e-01,6.154954446526559320e-01,-2.213427847787228370e-02
8.018683810741936924e+00,1.442236351229527980e+00,8.940529183342269537e-01,1.970427622362013853e+00,6.495573768200850751e-01
1.149961869990445607e+01,2.188431320378978473e+00,6.396346127940770732e-01,8.507155332286227001e-01,2.064150405141904759e-02
1.228455983065019730e+01,2.848353642612648784e+00,6.510726795845915849e-01,3.164310888772234320e-01,-4.675865685275912287e-02
1.711753295722613899e+01,2.524920244563261029e+00,7.948855139010906345e-01,1.758815015469308296e+00,3.522781280634470491e-01
3.763997225544103209e+00,1.370113829087273416e+00,8.025491368409483073e-01,1.476619808943411716e+00,2.477919388521397370e-01
8.723696398214405789e+00,6.730401373597251213e-01,5.342051942479879578e-01,9.485238859063614969e-01,3.675591208806633370e-02
1.828922027158364116e+01,2.922472483311417957e+00,5.853479596696150589e-01,1.772499881458962645e-01,-5.013677567096566645e-02
1.818270882795879340e+00,1.350559621962773793e+00,6.624780399960568111e-01,7.817353222498258924e-01,5.587873726546984526e-02
1.663141932344853657e+01,2.298360775083484242e+00,6.652040212510393902e-01,1.848894018767256231e+00,3.226117441437333921e-01
8.892296710053267716e+00,6.434374764523788093e-01,5.514357139507662930e-01,1.987807373707663361e+00,3.505666451178706122e-01
1.676627572028395008e+01,5.294599543589313395e-01,5.595047553896381753e-01,1.350758395355587504e+00,1.345744609538607195e-01
1.189136655338547177e+00,2.103982038093542339e+00,6.167274767973323080e-01,8.679164777107137851e-01,1.860160772177773814e-01
7.935876997407142142e+00,2.660439272679016920e+00,8.051746349799135949e-01,1.181261423910271446e+00,1.215718464570157004e-01
2.493970706147157657e+00,1.581530861230841856e+00,7.007853557213403750e-01,1.008630711691272497e+00,8.945722761194108141e-02
1.339967695039613105e+01,2.093396513928117653e+00,5.959600938754218147e-01,1.999112251136230922e+00,3.567251681741914759e-01
6.203132873391586699e+00,2.257337252812773087e+00,5.790504050568907601e-01,5.797882310307325149e-01,-1.972811173330047199e-02
1.435038934253593901e+01,2.623865842690030092e+00,5.259159968300837207e-01,9.670506012348593083e-01,3.808024031194523484e-02
1.893222711189972429e+01,7.272956228052867012e-01,6.823119880470076559e-01,7.573785306448852506e-01,5.011894494096481856e-03
3.409524942963707339e+00,1.836334542169823614e+00,8.944510672774045323e-01,4.957892799516793736e-01,2.191038402249386938e-02
1.743078761261470788e+01,1.605734415375769331e+00,6.091773012838318513e-01,8.722532641703965028e-01,2.416577286622481613e-02
2.129818880406430637e+00,1.350643992175305286e+00,7.519280361372585597e-01,1.075741254747787368e+00,1.217185326669113360e-01
8.234639657906900112e+00,1.426734351867472661e+00,6.852806917410305676e-01,5.459843018275971627e-01,-2.804340360075072494e-02
9.165707162392955354e+00,1.538618524926782305e+00,7.194583185338535580e-01,2.089002884112902136e-01,-6.162706247611265259e-02
1.028814138983582183e+01,9.300810716299302561e-01,5.897786179703321530e-01,1.472715657713726589e+00,1.738978509799887218e-01
1.955278411678484574e+01,2.659245978027579671e+00,8.090765922491089945e-01,1.169245818001090731e+00,1.172183052040598056e-01
1.573813257393473819e+01,1.221967686634009675e+00,7.971096662343197803e-01,1.919326234471896986e-01,-7.552194387388300179e-02
6.868289891665959601e+00,1.499305754096397880e+00,8.046004227209745396e-01,6.357666464747017132e-01,-1.738180867345844038e-02
6.126898924515202793e+00,1.962025698567340104e+00,7.291030675640984837e-01,8.361662200424029301e-01,2.247175242934335709e-02
1.739928387959703926e+01,2.215614510542871507e+00,5.344428365670412795e-01,6.434744904529349219e-01,-1.147618529949751692e-02
1.774483628201610941e+01,1.726329383542117180e+00,8.279328870171986932e-01,5.987800852625901893e-01,-2.740460166878331411e-02
1.070342360532925952e+01,1.606588698260098980e+00,5.056858678219597891e-01,1.737754119222525429e+00,2.355964847333617551e-01
7.541618888284179256e+00,1.416601731541728970e+00,5.967303317901645476e-01,8.492324563768827161e-01,1.979078367283091527e-02
1.990342961505743702e+01,1.760304821023925381e+00,6.634128093966683570e-01,5.687567154825459159e-01,-2.387642080244454720e-02
7.002927361986303723e+00,1.083248262724162192e+00,6.225003759248993740e-01,1.209473641487666784e+00,1.026695890289880675e-01
4.471535199604686817e+00,5.506484402392298749e-01,6.996652126332886246e-01,5.588400683518334189e-01,-3.132350536858392875e-02
1.772186430477732344e+01,2.787893454217841516e+00,6.480919874457795604e-01,4.933545470720634984e-01,-3.122820591194485490e-02
1.643437256411382563e+01,9.713218348047767403e-01,6.327441173320298429e-01,1.434835669589163420e-01,-5.780591210419338405e-02
1.368989870585567381e+01,1.501312184122910232e+00,6.053331367073562230e-01,1.793989241107569743e+00,2.848509728807151475e-01
1.920985900378108724e+01,1.846397564478900133e+00,5.288071386400983176e-01,1.313949563075898830e+00,1.150238322347364867e-01
1.858857696707395490e+01,1.339711762544737894e+00,6.737172757152455338e-01,1.074474357629757515e+00,7.320233004821810607e-02
1.521672156273332810e+01,1.569804573757690669e+00,5.125150853659053984e-01,7.498769799696838323e-01,2.766321196275400851e-03
1.735332678140587603e+01,1.480565383939348223e+00,5.339984478426011982e-01,1.313330940276956404e+00,1.164572479328282451e-01
5.695788066120042181e+00,1.632705180106086340e+00,5.716525511511356683e-01,1.742605885974390922e+00,2.539871459023382294e-01
3.683684581119600399e+00,2.421532015673938609e+00,6.280793696587083641e-01,1.515384076384023171e+00,1.932216581895486729e-01
1.373117513698378289e+01,1.809314806469245918e+00,8.908676767024076293e-01,1.232993680354700083e-01,-9.615600808098545560e-02
1.457775219644030251e+01,2.673901815853864328e+00,8.180881850884147433e-01,3.899579603243775727e-01,-5.456505420213730168e-02
4.174005646863171215e+00,2.185368318114468078e+00,5.083932845658566402e-01,1.294092366114312664e+00,1.078413639526439316e-01
8.515588188992643026e+00,1.790069398667138323e+00,7.934794202276957975e-01,1.260000008512246250e+00,1.519621009258330380e-01
1.829485955810504194e+01,1.331668522860411707e+00,5.672463623238008790e-01,7.449711700797967406e-01,2.204450223046640345e-03
1.166661458345423519e+01,6.933406964927247840e-01,5.647489624775628991e-01,1.538572034626403573e+00,1.908134038054583037e-01
1.198838238359918051e+01,1.282202946905223850e+00,8.074946450720422719e-01,2.884241528086169404e-01,-6.980909211817803994e-02
4.688465684925078314e+00,2.054544020646754898e+00,5.799657411289466102e-01,7.452270593620655692e-01,3.169395391724519340e-03
1.099442272373962837e+01,1.735720044875081580e+00,6.707341665280663889e-01,1.477974838559162230e+00,1.901151603364609755e-01
1.094525982050347857e+01,8.288382532559395166e-01,7.309402667273346976e-01,6.402352161300385314e-01,-1.675541309820237357e-02
2.689777164679167498e+00,1.927177924357978078e+00,7.956238174481559122e-01,9.300775918465048475e-01,1.114118572476800184e-01
1.965691116940741878e+01,1.230844210568260877e+00,7.856661649783630574e-01,8.704285897095912494e-01,3.315789687805484331e-02
1.185651640865971324e+01,1.171476991577141913e+00,6.520237375430830706e-01,4.345449008797013790e-01,-3.957723538221853687e-02
1.121768770621893285e+00,1.272067437798510392e+00,7.056957984829833608e-01,7.035842069832116685e-01,1.225596143691563972e-01
1.568033482328238293e+01,2.217526408200807264e+00,6.213163720870840123e-01,1.824426219762870449e+00,2.958130597368225367e-01
1.958704856296276731e+01,2.160009224836924702e+00,7.697491046877431575e-01,1.237215357328123044e+00,1.332821228919578715e-01
1.220753053809805877e+01,7.111938037362368625e-01,6.687496710967623104e-01,1.190577808790408004e-01,-6.310504270446382069e-02
7.073951089370634548e+00,1.019745670397746773e+00,8.201789206844224411e-01,7.317781688793043582e-01,-7.827281743651159918e-05
4.562646598827913458e+00,1.996941934275154429e+00,8.998964271924508873e-01,1.650472253474298157e+00,4.125420876554773963e-01
1.377800604442051657e+01,7.175794099422578842e-01,6.474260316311718499e-01,9.494220155111214865e-01,4.312336340059411133e-02
4.707040570679295044e+00,2.406086032976904043e+00,6.600844881594434277e-01,4.148709253869688474e-01,-3.648546326379745880e-02
1.197606995783932504e+01,2.356620066381493128e+00,8.233427277280199741e-01,5.955410481036292891e-01,-2.627993234928193561e-02
1.244254435121288971e+01,9.479626164928324217e-01,6.221602908760257566e-01,4.603845722231220683e-01,-3.571262507327178926e-02
1.928603876936323758e+01,2.965870745635017514e+00,6.259219619119544831e-01,1.693989386889533710e+00,2.438557347308657197e-01
2.373040045067658532e+00,2.522856928769395601e+00,7.158679296440851880e-01,7.356217156348290320e-01,8.063505906379407617e-02
1.049948364951375090e+01,7.917360744718505705e-01,6.481560653695227492e-01,1.278238529371283627e-01,-6.034019811967252650e-02
1.513785210637031753e+01,2.727595235886041358e+00,5.444586192676675873e-01,9.694650955915361523e-01,3.912540513538467768e-02
4.367308069018517536e+00,1.224069853846509570e+00,6.179811685091862739e-01,1.072563210704796238e-01,-5.532997464472400040e-02
8.373267903905865950e+00,1.684290730629896871e+00,8.991208332854702112e-01,2.831603364832456782e-01,-8.359505342138628947e-02
2.195014470644455429e+00,8.479120191452422794e-01,6.769471586939651564e-01,1.692725029107101653e+00,2.592299795767289416e-01
1.479173641173975895e+01,1.617463824055075161e+00,8.393476546263515248e-01,6.494185266967313908e-01,-1.818762537550500796e-02
2.667589848430248711e+00,2.549431827908749781e+00,5.511473624372641433e-01,1.377391688720908114e+00,1.458941782210088911e-01
8.506742458801383577e+00,1.913922094041409672e+00,6.768623796608301824e-01,1.132974759456929714e+00,8.659705064784026241e-02
1.759692999129391211e+01,6.854043493041374058e-01,5.451879189338756371e-01,1.714381409674574863e+00,2.444008975942544015e-01
9.973706398250218541e+00,1.299826225643669897e+00,7.900109097164973448e-01,1.379238899867997414e+00,2.031310180346815875e-01
1.833981673917682542e+01,1.859001478008820873e+00,6.317701108445097358e-01,1.370840040594881515e+00,1.459722259547596990e-01
1.555242523703857493e+01,1.616114620256616341e+00,8.600469324934264526e-01,1.671889031651535351e+00,3.913711698727170840e-01
1.839115524212355268e+01,1.707538954530669395e+00,6.422806446201906327e-01,1.749945388260357060e+00,2.797508802282691054e-01
3.420657171929220475e+00,2.983642253135339928e+00,8.985051807685912051e-01,3.119153268090508191e-01,6.516025321781578061e-02
2.397695201282008526e+00,1.735825695652396972e+00,7.037794829295949128e-01,1.375612941446996862e+00,1.958534088244396898e-01
2.336198817815143158e+00,2.953292864460058453e+00,8.907013472535576515e-01,1.502397082508488246e+00,4.710390404613631343e-01
1.750823159259906703e+01,6.461573426955440347e-01,6.702297055429942141e-01,5.041509048811990690e-01,-3.420066427673221221e-02
1.304732960760142113e+01,2.716792630266938069e+00,6.241385410952756674e-01,1.657569380152863925e+00,2.320232474248140886e-01
1.043486218217820749e+01,1.541026851391037011e+00,8.157137948559062268e-01,9.878044158142880171e-01,6.854529935309730537e-02
4.107324907733125308e+00,2.647473922937345403e+00,6.486419988678719939e-01,3.630379642441015076e-01,-3.689032632888067376e-02
1.380093531681819918e+01,2.799614248182917819e+00,6.340063221858180942e-01,1.182460010426695796e+00,9.151768498731741031e-02
7.042330369070162632e+00,1.851385039827019963e+00,8.544745794505909098e-01,1.580796258399698839e+00,3.274771281034291603e-01
1.450671740205295279e+01,7.568514353558091212e-01,7.514155005713942792e-01,1.406573761583874482e+00,2.067662239987921036e-01
