S,theta
1.435052209623113029e-01,1.000026597714598620e-01
1.437499306071702010e-01,1.000026734012141733e-01
1.439950575386608200e-01,1.000026871008126844e-01
1.442406024683535459e-01,1.000027008706133175e-01
1.444865661090320719e-01,1.000027147109758124e-01
1.447329491746957020e-01,1.000027286222617828e-01
1.449797523805611277e-01,1.000027426048346046e-01
1.452269764430647037e-01,1.000027566590596106e-01
1.454746220798645850e-01,1.000027707853039793e-01
1.457226900098425593e-01,1.000027849839367350e-01
1.459711809531062665e-01,1.000027992553288725e-01
1.462200956309914202e-01,1.000028135998532047e-01
1.464694347660637219e-01,1.000028280178844736e-01
1.467191990821209158e-01,1.000028425097993917e-01
1.469693893041951749e-01,1.000028570759765312e-01
1.472200061585548225e-01,1.000028717167964626e-01
1.474710503727067745e-01,1.000028864326416439e-01
1.477225226753985099e-01,1.000029012238966009e-01
1.479744237966201248e-01,1.000029160909476911e-01
1.482267544676065252e-01,1.000029310341833400e-01
1.484795154208396195e-01,1.000029460539939713e-01
1.487327073900502894e-01,1.000029611507719518e-01
1.489863311102206100e-01,1.000029763249117160e-01
1.492403873175860152e-01,1.000029915768096689e-01
1.494948767496373232e-01,1.000030069068642696e-01
1.497498001451229577e-01,1.000030223154760728e-01
1.500051582440511677e-01,1.000030378030475342e-01
1.502609517876919987e-01,1.000030533699833718e-01
1.505171815185795403e-01,1.000030690166902186e-01
1.507738481805140640e-01,1.000030847435768588e-01
1.510309525185642987e-01,1.000031005510541859e-01
1.512884952790693738e-01,1.000031164395351335e-01
1.515464772096411228e-01,1.000031324094348556e-01
1.518048990591662761e-01,1.000031484611705046e-01
1.520637615778084872e-01,1.000031645951614673e-01
1.523230655170107195e-01,1.000031808118292398e-01
1.525828116294973280e-01,1.000031971115975110e-01
1.528430006692761411e-01,1.000032134948920653e-01
1.531036333916407921e-01,1.000032299621409770e-01
1.533647105531729116e-01,1.000032465137744297e-01
1.536262329117442094e-01,1.000032631502248553e-01
1.538882012265187782e-01,1.000032798719268506e-01
1.541506162579552586e-01,1.000032966793173161e-01
1.544134787678090037e-01,1.000033135728353034e-01
1.546767895191343556e-01,1.000033305529222094e-01
1.549405492762869208e-01,1.000033476200216237e-01
1.552047588049256521e-01,1.000033647745794119e-01
1.554694188720150416e-01,1.000033820170437848e-01
1.557345302458276182e-01,1.000033993478651462e-01
1.560000936959458351e-01,1.000034167674963281e-01
1.562661099932645403e-01,1.000034342763923556e-01
1.565325799099930859e-01,1.000034518750107099e-01
1.567995042196576594e-01,1.000034695638111343e-01
1.570668836971034210e-01,1.000034873432557592e-01
1.573347191184970018e-01,1.000035052138090741e-01
1.576030112613283629e-01,1.000035231759379556e-01
1.578717609044133774e-01,1.000035412301116672e-01
1.581409688278959114e-01,1.000035593768018594e-01
1.584106358132503223e-01,1.000035776164826667e-01
1.586807626432833462e-01,1.000035959496305277e-01
1.589513501021367070e-01,1.000036143767244756e-01
1.592223989752892532e-01,1.000036328982458894e-01
1.594939100495592343e-01,1.000036515146786320e-01
1.597658841131066321e-01,1.000036702265090782e-01
1.600383219554354364e-01,1.000036890342261009e-01
1.603112243673958937e-01,1.000037079383210292e-01
1.605845921411868105e-01,1.000037269392877320e-01
1.608584260703579683e-01,1.000037460376226178e-01
1.611327269498122605e-01,1.000037652338246486e-01
1.614074955758080798e-01,1.000037845283952981e-01
1.616827327459616215e-01,1.000038039218386771e-01
1.619584392592492150e-01,1.000038234146614219e-01
1.622346159160096002e-01,1.000038430073727780e-01
1.625112635179463971e-01,1.000038627004846276e-01
1.627883828681301603e-01,1.000038824945114341e-01
1.630659747710009044e-01,1.000039023899703533e-01
1.633440400323704911e-01,1.000039223873811361e-01
1.636225794594248217e-01,1.000039424872662119e-01
1.639015938607261691e-01,1.000039626901507023e-01
1.641810840462156751e-01,1.000039829965624072e-01
1.644610508272156268e-01,1.000040034070318190e-01
1.647414950164317049e-01,1.000040239220922056e-01
1.650224174279555922e-01,1.000040445422794994e-01
1.653038188772670558e-01,1.000040652681323944e-01
1.655857001812365281e-01,1.000040861001923742e-01
1.658680621581272718e-01,1.000041070390036702e-01
1.661509056275980722e-01,1.000041280851133307e-01
1.664342314107052634e-01,1.000041492390711662e-01
1.667180403299053648e-01,1.000041705014298038e-01
1.670023332090572743e-01,1.000041918727447715e-01
1.672871108734248768e-01,1.000042133535743866e-01
1.675723741496791819e-01,1.000042349444798251e-01
1.678581238659010433e-01,1.000042566460251497e-01
1.681443608515832411e-01,1.000042784587773376e-01
1.684310859376330627e-01,1.000043003833062244e-01
1.687182999563747732e-01,1.000043224201846020e-01
1.690060037415518357e-01,1.000043445699881628e-01
1.692941981283294650e-01,1.000043668332956104e-01
1.695828839532970422e-01,1.000043892106885490e-01
1.698720620544705573e-01,1.000044117027516083e-01
1.701617332712948849e-01,1.000044343100723598e-01
1.704518984446465601e-01,1.000044570332414701e-01
1.707425584168358323e-01,1.000044798728525475e-01
1.710337140316093296e-01,1.000045028295022953e-01
1.713253661341524459e-01,1.000045259037904560e-01
1.716175155710919220e-01,1.000045490963198253e-01
1.719101631904980665e-01,1.000045724076963349e-01
1.722033098418874197e-01,1.000045958385289840e-01
1.724969563762250579e-01,1.000046193894298940e-01
1.727911036459272021e-01,1.000046430610143644e-01
1.730857525048637158e-01,1.000046668539007894e-01
1.733809038083604093e-01,1.000046907687107689e-01
1.736765584132016205e-01,1.000047148060690672e-01
1.739727171776327130e-01,1.000047389666036679e-01
1.742693809613626577e-01,1.000047632509457607e-01
1.745665506255663357e-01,1.000047876597297825e-01
1.748642270328870651e-01,1.000048121935934037e-01
1.751624110474393203e-01,1.000048368531775839e-01
1.754611035348109804e-01,1.000048616391265438e-01
1.757603053620659661e-01,1.000048865520878072e-01
1.760600173977468486e-01,1.000049115927122700e-01
1.763602405118771255e-01,1.000049367616540480e-01
1.766609755759639411e-01,1.000049620595707400e-01
1.769622234630005841e-01,1.000049874871232203e-01
1.772639850474690137e-01,1.000050130449758046e-01
1.775662612053423017e-01,1.000050387337961533e-01
1.778690528140873250e-01,1.000050645542554240e-01
1.781723607526672082e-01,1.000050905070281604e-01
1.784761859015439600e-01,1.000051165927923896e-01
1.787805291426808607e-01,1.000051428122295805e-01
1.790853913595453206e-01,1.000051691660247266e-01
1.793907734371111284e-01,1.000051956548663051e-01
1.796966762618612823e-01,1.000052222794463458e-01
1.800031007217902934e-01,1.000052490404604172e-01
1.803100477064069895e-01,1.000052759386076406e-01
1.806175181067370406e-01,1.000053029745907457e-01
1.809255128153254288e-01,1.000053301491160146e-01
1.812340327262392525e-01,1.000053574628934072e-01
1.815430787350700292e-01,1.000053849166364917e-01
1.818526517389367214e-01,1.000054125110624581e-01
1.821627526364878458e-01,1.000054402468922438e-01
1.824733823279044986e-01,1.000054681248504496e-01
1.827845417149026597e-01,1.000054961456653679e-01
1.830962317007360229e-01,1.000055243100690383e-01
1.834084531901984949e-01,1.000055526187972471e-01
1.837212070896269145e-01,1.000055810725895833e-01
1.840344943069036066e-01,1.000056096721893550e-01
1.843483157514589632e-01,1.000056384183437563e-01
1.846626723342743581e-01,1.000056673118037559e-01
1.849775649678844502e-01,1.000056963533242083e-01
1.852929945663799871e-01,1.000057255436638259e-01
1.856089620454105804e-01,1.000057548835851656e-01
1.859254683221870375e-01,1.000057843738547531e-01
1.862425143154844143e-01,1.000058140152430275e-01
1.865601009456443471e-01,1.000058438085243417e-01
1.868782291345779389e-01,1.000058737544770454e-01
1.871968998057683409e-01,1.000059038538834710e-01
1.875161138842734443e-01,1.000059341075299618e-01
1.878358722967286842e-01,1.000059645162069133e-01
1.881561759713494542e-01,1.000059950807087039e-01
1.884770258379341590e-01,1.000060258018338477e-01
1.887984228278665189e-01,1.000060566803848972e-01
1.891203678741186500e-01,1.000060877171686097e-01
1.894428619112535350e-01,1.000061189129957534e-01
1.897659058754277428e-01,1.000061502686813569e-01
1.900895007043943152e-01,1.000061817850445567e-01
1.904136473375052652e-01,1.000062134629086802e-01
1.907383467157146018e-01,1.000062453031013848e-01
1.910635997815806342e-01,1.000062773064544219e-01
1.913894074792692190e-01,1.000063094738038588e-01
1.917157707545559808e-01,1.000063418059901205e-01
1.920426905548295038e-01,1.000063743038578229e-01
1.923701678290937467e-01,1.000064069682559953e-01
1.926982035279710126e-01,1.000064398000379690e-01
1.930267986037046690e-01,1.000064728000615022e-01
1.933559540101617291e-01,1.000065059691886415e-01
1.936856707028360436e-01,1.000065393082859716e-01
1.940159496388505211e-01,1.000065728182244762e-01
1.943467917769602649e-01,1.000066064998795384e-01
1.946781980775554588e-01,1.000066403541311211e-01
1.950101695026637272e-01,1.000066743818636694e-01
1.953427070159532708e-01,1.000067085839661113e-01
1.956758115827356426e-01,1.000067429613319819e-01
1.960094841699683288e-01,1.000067775148593685e-01
1.963437257462578300e-01,1.000068122454509656e-01
1.966785372818622146e-01,1.000068471540141168e-01
1.970139197486942828e-01,1.000068822414607872e-01
1.973498741203238704e-01,1.000069175087076323e-01
1.976864013719813185e-01,1.000069529566759707e-01
1.980235024805596655e-01,1.000069885862918950e-01
1.983611784246179510e-01,1.000070243984862023e-01
1.986994301843837962e-01,1.000070603941944497e-01
1.990382587417563742e-01,1.000070965743570794e-01
1.993776650803092132e-01,1.000071329399192105e-01
1.997176501852930275e-01,1.000071694918309162e-01
2.000582150436387707e-01,1.000072062310470994e-01
2.003993606439601061e-01,1.000072431585275340e-01
2.007410879765567369e-01,1.000072802752369622e-01
2.010833980334169047e-01,1.000073175821450250e-01
2.014262918082204423e-01,1.000073550802263456e-01
2.017697702963417161e-01,1.000073927704605570e-01
2.021138344948523180e-01,1.000074306538322744e-01
2.024584854025241742e-01,1.000074687313312199e-01
2.028037240198322932e-01,1.000075070039521397e-01
2.031495513489577909e-01,1.000075454726948726e-01
2.034959683937906660e-01,1.000075841385644204e-01
2.038429761599327983e-01,1.000076230025708918e-01
2.041905756547008899e-01,1.000076620657295856e-01
2.045387678871293247e-01,1.000077013290610189e-01
2.048875538679731101e-01,1.000077407935909268e-01
2.052369346097108194e-01,1.000077804603502762e-01
2.055869111265475613e-01,1.000078203303753771e-01
2.059374844344179223e-01,1.000078604047077852e-01
2.062886555509887698e-01,1.000079006843944546e-01
2.066404254956625275e-01,1.000079411704876270e-01
2.069927952895797563e-01,1.000079818640449980e-01
2.073457659556224297e-01,1.000080227661296756e-01
2.076993385184167096e-01,1.000080638778101938e-01
2.080535140043359710e-01,1.000081052001605686e-01
2.084082934415038002e-01,1.000081467342603253e-01
2.087636778597969922e-01,1.000081884811945265e-01
2.091196682908484927e-01,1.000082304420537721e-01
2.094762657680504236e-01,1.000082726179342824e-01
2.098334713265571361e-01,1.000083150099378426e-01
2.101912860032881525e-01,1.000083576191719420e-01
2.105497108369309978e-01,1.000084004467497317e-01
2.109087468679447241e-01,1.000084434937900391e-01
2.112683951385623815e-01,1.000084867614174644e-01
2.116286566927942647e-01,1.000085302507622981e-01
2.119895325764310501e-01,1.000085739629607146e-01
2.123510238370466818e-01,1.000086178991546337e-01
2.127131315240014253e-01,1.000086620604918736e-01
2.130758566884449756e-01,1.000087064481261501e-01
2.134392003833195939e-01,1.000087510632170079e-01
2.138031636633627997e-01,1.000087959069300286e-01
2.141677475851109513e-01,1.000088409804366918e-01
2.145329532069019107e-01,1.000088862849145138e-01
2.148987815888782626e-01,1.000089318215470757e-01
2.152652337929903403e-01,1.000089775915239398e-01
2.156323108829994450e-01,1.000090235960408580e-01
2.160000139244807604e-01,1.000090698362996328e-01
2.163683439848264889e-01,1.000091163135082700e-01
2.167373021332491823e-01,1.000091630288809513e-01
2.171068894407843508e-01,1.000092099836380755e-01
2.174771069802941825e-01,1.000092571790063001e-01
2.178479558264701244e-01,1.000093046162185834e-01
2.182194370558362684e-01,1.000093522965141701e-01
2.185915517467524605e-01,1.000094002211386612e-01
2.189643009794173811e-01,1.000094483913440829e-01
2.193376858358716819e-01,1.000094968083888036e-01
2.197117074000011494e-01,1.000095454735377004e-01
2.200863667575399529e-01,1.000095943880621036e-01
2.204616649960735586e-01,1.000096435532398520e-01
2.208376032050419768e-01,1.000096929703553766e-01
2.212141824757432040e-01,1.000097426406996309e-01
2.215914039013358872e-01,1.000097925655702158e-01
2.219692685768429319e-01,1.000098427462713796e-01
2.223477775991543892e-01,1.000098931841140459e-01
2.227269320670308694e-01,1.000099438804158691e-01
2.231067330811065674e-01,1.000099948365012065e-01
2.234871817438924546e-01,1.000100460537012986e-01
2.238682791597797483e-01,1.000100975333541031e-01
2.242500264350426598e-01,1.000101492768044886e-01
2.246324246778420297e-01,1.000102012854042349e-01
2.250154749982282987e-01,1.000102535605119497e-01
2.253991785081447818e-01,1.000103061034933460e-01
2.257835363214309721e-01,1.000103589157210204e-01
2.261685495538256208e-01,1.000104119985746332e-01
2.265542193229702073e-01,1.000104653534409360e-01
2.269405467484118810e-01,1.000105189817137724e-01
2.273275329516070975e-01,1.000105728847941189e-01
2.277151790559244215e-01,1.000106270640901546e-01
2.281034861866482466e-01,1.000106815210172473e-01
2.284924554709816535e-01,1.000107362569980368e-01
2.288820880380499634e-01,1.000107912734624349e-01
2.292723850189038737e-01,1.000108465718476808e-01
2.296633475465227892e-01,1.000109021535984105e-01
2.300549767558181247e-01,1.000109580201666293e-01
2.304472737836365248e-01,1.000110141730117808e-01
2.308402397687633889e-01,1.000110706136008026e-01
2.312338758519258408e-01,1.000111273434081405e-01
2.316281831757961707e-01,1.000111843639158032e-01
2.320231628849954153e-01,1.000112416766133910e-01
2.324188161260962726e-01,1.000112992829981506e-01
2.328151440476266543e-01,1.000113571845749477e-01
2.332121478000729886e-01,1.000114153828564056e-01
2.336098285358834958e-01,1.000114738793629054e-01
2.340081874094717129e-01,1.000115326756225720e-01
2.344072255772195190e-01,1.000115917731713988e-01
2.348069441974809657e-01,1.000116511735532621e-01
2.352073444305850802e-01,1.000117108783199066e-01
2.356084274388398070e-01,1.000117708890310431e-01
2.360101943865348384e-01,1.000118312072543897e-01
2.364126464399453897e-01,1.000118918345656860e-01
2.368157847673353911e-01,1.000119527725487206e-01
2.372196105389609566e-01,1.000120140227954424e-01
2.376241249270737710e-01,1.000120755869059463e-01
2.380293291059243921e-01,1.000121374664885154e-01
2.384352242517659426e-01,1.000121996631596621e-01
2.388418115428570798e-01,1.000122621785441979e-01
2.392490921594659092e-01,1.000123250142752607e-01
2.396570672838729821e-01,1.000123881719943292e-01
2.400657381003749868e-01,1.000124516533513475e-01
2.404751057952881077e-01,1.000125154600046695e-01
2.408851715569514662e-01,1.000125795936211426e-01
2.412959365757305907e-01,1.000126440558762042e-01
2.417074020440207471e-01,1.000127088484538129e-01
2.421195691562507968e-01,1.000127739730466009e-01
2.425324391088860554e-01,1.000128394313558461e-01
2.429460131004322065e-01,1.000129052250915557e-01
2.433602923314388267e-01,1.000129713559725353e-01
2.437752780045024659e-01,1.000130378257262920e-01
2.441909713242705060e-01,1.000131046360892978e-01
2.446073734974444913e-01,1.000131717888068650e-01
2.450244857327837089e-01,1.000132392856332708e-01
2.454423092411086027e-01,1.000133071283317854e-01
2.458608452353043261e-01,1.000133753186746299e-01
2.462800949303244891e-01,1.000134438584432822e-01
2.467000595431941556e-01,1.000135127494281295e-01
2.471207402930140351e-01,1.000135819934289128e-01
2.475421384009634518e-01,1.000136515922545044e-01
2.479642550903041753e-01,1.000137215477230751e-01
2.483870915863839457e-01,1.000137918616620797e-01
2.488106491166399981e-01,1.000138625359084238e-01
2.492349289106026433e-01,1.000139335723082556e-01
2.496599321998987375e-01,1.000140049727173963e-01
2.500856602182555677e-01,1.000140767390009788e-01
2.505121142015039326e-01,1.000141488730338368e-01
2.509392953875822507e-01,1.000142213767003518e-01
2.513672050165396965e-01,1.000142942518945227e-01
2.517958443305402527e-01,1.000143675005201460e-01
2.522252145738658746e-01,1.000144411244906911e-01
2.526553169929203202e-01,1.000145151257294390e-01
2.530861528362329249e-01,1.000145895061695933e-01
2.535177233544618214e-01,1.000146642677541969e-01
2.539500298003981027e-01,1.000147394124362432e-01
2.543830734289688755e-01,1.000148149421788007e-01
2.548168554972412569e-01,1.000148908589549024e-01
2.552513772644261492e-01,1.000149671647478089e-01
2.556866399918814592e-01,1.000150438615508008e-01
2.561226449431160956e-01,1.000151209513674838e-01
2.565593933837935214e-01,1.000151984362116914e-01
2.569968865817354731e-01,1.000152763181075544e-01
2.574351258069256243e-01,1.000153545990896398e-01
2.578741123315132500e-01,1.000154332812028396e-01
2.583138474298169451e-01,1.000155123665026069e-01
2.587543323783282334e-01,1.000155918570549002e-01
2.591955684557155637e-01,1.000156717549362390e-01
2.596375569428275853e-01,1.000157520622338425e-01
2.600802991226971450e-01,1.000158327810455328e-01
2.605237962805450613e-01,1.000159139134799841e-01
2.609680497037836222e-01,1.000159954616565983e-01
2.614130606820205260e-01,1.000160774277056575e-01
2.618588305070624345e-01,1.000161598137683794e-01
2.623053604729191357e-01,1.000162426219969453e-01
2.627526518758066532e-01,1.000163258545545275e-01
2.632007060141515753e-01,1.000164095136154147e-01
2.636495241885946084e-01,1.000164936013650668e-01
2.640991077019941846e-01,1.000165781200000603e-01
2.645494578594305146e-01,1.000166630717282817e-01
2.650005759682093065e-01,1.000167484587689420e-01
2.654524633378655407e-01,1.000168342833525764e-01
2.659051212801670783e-01,1.000169205477211692e-01
2.663585511091189351e-01,1.000170072541282096e-01
2.668127541409666126e-01,1.000170944048387328e-01
2.672677316942000947e-01,1.000171820021293484e-01
2.677234850895578444e-01,1.000172700482883231e-01
2.681800156500304122e-01,1.000173585456157060e-01
2.686373247008643217e-01,1.000174474964232590e-01
2.690954135695659000e-01,1.000175369030346789e-01
