lr,bsz,D,N,L,L_noisy
1.051423716382634101e-03,2.613742942336947408e+02,1.028186961903351175e+02,5.866927563177329330e-02,1.557798632054128518e+01,1.557809307925245079e+01
3.206715384816915485e-03,7.803580068066915487e+01,5.446207960135731128e+02,1.134495905180565589e-01,1.344334345452122292e+01,1.344182457954627985e+01
1.976259959348830044e-04,1.666443406715496167e+03,5.136257674583698751e+00,5.510653004413089695e-01,1.623004860367298008e+01,1.623182984788833849e+01
4.357660965193764502e-03,2.487091655964295853e+02,1.014362411956507559e+00,3.408434050294090856e+00,1.251549281361670829e+01,1.251816631447955608e+01
2.325807742906688905e-03,1.126026659109293320e+02,1.194742028131386302e+00,3.873016561432496840e-01,1.416537725237440526e+01,1.416633979728810466e+01
3.751404396990124217e-03,1.098755795007985853e+03,5.433627709560281573e+02,4.860330697070092576e+00,6.542737514185306580e+00,6.540282823503135390e+00
2.416754400488918086e-04,6.897560591534542596e+01,6.116431248720165286e+02,6.450994355850435014e+00,6.675105654556619861e+00,6.677300611407976483e+00
4.024651889976835900e-03,8.827272629661794667e+01,4.221307628952699815e+02,7.679389553060493590e-02,1.502495696227421362e+01,1.502345264221881216e+01
2.413503050729641627e-04,6.116405735968878616e+02,5.590097300603082431e+01,2.305731373950409058e+00,8.148573748304903219e+00,8.151211230159766785e+00
1.455811798389251247e-04,3.250069204420746019e+02,5.696861821918388102e+01,7.803477507812797143e+00,6.452395528318200846e+00,6.449180166067568720e+00
5.133977352931824029e-03,1.340269377900813481e+02,1.628286519509761376e+01,2.427005401194031187e-01,1.178818845668021709e+01,1.179093185828960344e+01
5.279186349061586007e-03,4.189910695956997984e+02,1.031475870176347520e+01,5.300546980167749611e-01,1.194113804763939335e+01,1.194107785727554649e+01
5.663360309668941626e-03,1.074511557149538561e+02,6.304760373182800777e+02,5.753161947667766452e-01,9.176280496078755178e+00,9.172534249407751972e+00
8.786571323968191214e-04,1.564530393575221296e+02,3.899565124895521251e+01,5.401351942989401911e-01,9.633920549411801204e+00,9.632978850995900899e+00
3.532618811225512285e-04,4.763495579464275238e+02,6.693111628890353160e+00,4.019210490092619104e+00,9.676166131941032589e+00,9.676328438777346719e+00
1.033198238816933416e-04,1.298614610027968865e+03,9.368696053421911074e+01,6.570326419913489424e+00,7.499926485718580338e+00,7.500744859736073522e+00
1.956328542022872999e-03,6.691196468404850748e+02,1.883561078812036493e+00,4.228255995542808954e+00,1.288663421982340296e+01,1.288368765544858086e+01
2.753079591461841166e-03,5.363638538967943532e+02,1.124774948295158907e+02,9.892464076593353306e-02,1.375199890245824541e+01,1.374867678331674981e+01
4.689628419943547323e-03,7.854951543826457510e+02,6.565004907591660555e+00,5.667063413681478146e+00,1.063057521897008861e+01,1.063117397256863050e+01
3.662314654088012983e-04,2.019066876881963708e+02,1.208768355048462553e+02,1.902543973996420723e+00,7.403943203887614288e+00,7.402542955036975236e+00
2.694240339533710807e-04,1.864471318676547526e+03,2.791150656914762251e+01,7.133954903146340953e+00,9.678284169103848811e+00,9.678990685939039551e+00
1.899602620998455801e-03,4.767003634203064166e+02,3.833104586333176940e+02,4.008267445636852222e-01,9.582339952981188347e+00,9.584618511548622877e+00
4.074831608171772604e-03,1.293000280659225041e+02,1.861504744012752894e+02,2.525539129406804695e-01,1.058806683654769820e+01,1.058312047444864490e+01
8.459442556129660729e-03,5.709373947792595771e+01,8.908025865221281947e+02,3.024345081047023487e-01,1.076592273980936199e+01,1.076668590415891558e+01
2.000090563543525967e-04,7.551081476434120532e+01,5.520981079857699569e+01,3.781539112483014997e-01,1.008455030108441619e+01,1.008822424198702272e+01
9.213502889878502850e-04,1.039904778976870716e+02,3.010536202084124398e+02,5.395506578049866775e+00,6.459952238357233867e+00,6.459059657824122169e+00
6.157887131176124559e-03,7.507218010628856746e+02,9.465452439400125684e+01,6.518284960476602441e-01,1.005833689469963410e+01,1.005590445094992091e+01
7.005414128151690387e-04,1.008978179237222548e+03,1.622589124704461199e+02,2.300728938605132723e-01,1.179763726957723691e+01,1.179989400105877628e+01
1.510094494327849724e-03,1.519151130828910937e+03,4.856461814005370456e+02,2.969828662657400198e+00,7.287729272202580155e+00,7.288489611751204578e+00
1.119389825094231828e-04,5.357359252076254279e+02,8.685207985222799465e+00,6.477638184846493119e-02,1.758036659486227293e+01,1.758305424407460649e+01
2.222899224356627429e-03,1.497013015729158667e+02,2.446373656273767097e+02,3.151416480935338993e-01,1.008021881140576959e+01,1.007918316427561578e+01
6.889333985531076107e-03,1.103795477512408297e+03,6.032726845912977751e+02,3.309997009620804675e+00,7.053057668015745740e+00,7.048612213194578757e+00
4.504542192006694666e-03,1.684559737432284692e+03,9.269223104647701348e+02,1.256057560197780143e+00,8.253564483064097956e+00,8.253234450769964425e+00
5.902561671821934634e-03,6.538103092949913844e+02,2.738130522301383873e+00,3.415962722847173394e-01,1.623470791446668571e+01,1.623337043000765334e+01
2.092718246898814249e-03,6.529680404376367164e+01,6.977254194892205774e+00,2.151180548208741772e-01,1.245871424745036116e+01,1.246104021891650326e+01
3.098164936381682410e-04,2.277129798438766670e+02,1.879475288498533203e+01,8.128905429035691854e-02,1.477205405385654480e+01,1.477263495240167579e+01
3.443768884987693634e-03,1.252542969873247927e+02,1.388505204072060906e+01,5.690260190543861701e-02,1.575602994087206454e+01,1.575113739317475847e+01
2.650632295951021056e-04,1.598533315141153025e+03,6.492431981142751738e+02,1.448484102711435351e-01,1.324938366182545657e+01,1.324579817258514680e+01
4.597795695277898630e-03,9.964105960891099585e+02,1.189559178135633832e+00,6.662968889831651920e-01,1.838184096047848826e+01,1.838449232758825147e+01
1.334860386723395707e-04,6.471387906542895507e+01,4.891746573120679500e+02,5.636922216157008725e-01,9.421671257863929227e+00,9.423710552916181982e+00
4.476881785854750460e-03,4.734962211286865568e+02,1.797169782557389128e+00,8.257535175159271823e-01,1.453486195504023826e+01,1.453294122494251361e+01
2.133116293169134861e-04,1.893370179874621044e+03,6.495836625002718847e+02,5.706192477462136009e-02,2.112172366184695704e+01,2.112172051545725537e+01
5.627221275874181531e-04,3.452540991917680344e+02,5.806146302069005287e+02,5.103082044687681229e-01,9.014897850897130027e+00,9.016234571558458200e+00
4.300077997087904452e-04,1.330173822031556938e+03,2.797908178298552784e+01,2.482406336256616886e+00,1.009277802115836309e+01,1.009418323416590546e+01
2.413648758769399317e-03,1.000858039467526055e+03,3.331215579447158071e+00,2.657287633333182519e+00,1.332307059174788577e+01,1.332569931833622867e+01
2.275850638214264800e-04,2.847090062475212449e+02,3.753497625954641315e+00,9.611941797746593741e-01,1.164881393502194307e+01,1.164958339190360803e+01
6.201722426879102386e-04,2.553253712328807410e+02,6.001183548747063945e+00,2.091401973592874608e+00,9.749433893795229622e+00,9.749149408778324144e+00
1.027186233335120459e-04,9.077053700785755552e+01,3.521697295321044408e+02,5.257319473486456868e-02,1.878360665048779765e+01,1.878283010629343508e+01
3.349572832889558091e-04,1.848636487825818335e+02,4.190323684766967460e+01,2.971775564044136786e-01,1.075113293893814159e+01,1.075430016733974092e+01
6.956289191046530641e-04,1.012863448913342808e+02,4.211859039715831727e+02,7.545423232396195612e-01,8.697778437502980964e+00,8.691025874677745122e+00
1.628705164209004453e-04,1.131994427091888610e+03,1.836352073815605195e+02,6.575576018840965098e+00,6.756080712673453448e+00,6.755664746698179179e+00
1.846374918901141395e-03,4.630823662246449999e+02,8.000398918999924263e+02,1.955609384010636442e-01,1.129355871208886697e+01,1.129365771240081884e+01
5.765653511241160224e-04,1.580834078123240033e+03,9.641193701738470168e+01,2.355076078220960656e-01,1.296450352718204257e+01,1.296022748029943195e+01
2.822200575929289471e-03,2.271862685647867863e+02,3.236928653407048717e+00,5.159500089933306555e-01,1.269892222044495256e+01,1.269992066128436647e+01
2.031103348461588826e-03,6.655036363964647990e+02,4.373377579143558336e+01,1.882277453968372205e+00,8.814000600084181514e+00,8.812046757046850587e+00
7.285401612890225710e-04,1.080753334459386224e+03,1.651397203714209070e+02,1.072126952138568567e+00,8.949224837322258708e+00,8.951812171711205579e+00
5.428014651890212920e-03,5.243245345496892185e+01,1.184986201460013966e+01,2.671840364162800352e+00,8.172750428804844702e+00,8.172373652552741063e+00
1.837681464894262056e-03,1.645134425396275333e+02,9.984639873654040230e+02,2.161876011441451750e-01,1.127664979138227430e+01,1.127865725110464190e+01
4.173964050084230659e-03,2.499403080366479912e+02,4.485266898241438760e+00,3.507210199726005229e+00,9.669375709780926087e+00,9.673032240596439735e+00
4.826023672621779703e-04,1.536909976813506091e+03,6.024086595773155750e+02,6.214580154635687137e+00,6.364125204422510507e+00,6.365273993170650790e+00
1.222752556023522707e-03,1.240353209350780389e+03,2.949859793372830552e+01,8.727334734228989754e-01,1.144446164139428923e+01,1.144183447796402042e+01
2.469413228071135383e-04,6.829002614376639713e+01,3.422350130023234556e+02,2.087010661705144821e-01,1.138683513402753888e+01,1.138229217813242578e+01
9.823864875445826803e-03,1.696964781167115234e+03,3.967857871204687825e+01,4.405209575017106083e+00,1.075234127235872528e+01,1.075760142471127523e+01
3.065003174135792221e-04,5.050187644198690577e+02,4.485790040032898673e+01,1.369718861915960373e+00,8.811857708063424610e+00,8.811523831483862423e+00
3.263885646857990898e-04,6.519464208176900399e+01,1.322880165646367345e+02,4.842399963943990748e+00,6.719572570048640614e+00,6.717506875205737416e+00
1.400812939663554518e-04,6.376571713598525548e+02,3.734351374584712602e+01,4.675197111323093346e-01,1.098069025086248196e+01,1.098112302212666513e+01
3.277979535958546842e-04,1.173038461562031216e+03,2.215188397871050796e+01,1.662588367056491823e+00,1.067866704781803477e+01,1.067809281382658604e+01
3.359364009441983753e-03,1.299187092283015090e+02,2.271187153917995527e+00,5.941706675688170070e-02,1.784965079519268016e+01,1.785220722198531718e+01
2.487637765688693881e-03,1.643967304330970762e+02,1.042742699944133165e+02,1.926020386880128721e-01,1.129960660395226135e+01,1.129970838849957282e+01
1.808616233657895039e-04,1.392676838127748908e+02,7.588051027741194048e+02,2.532706317225701942e-01,1.085786702435952655e+01,1.085790827311038242e+01
5.655578083811703318e-04,6.674657717123660632e+02,6.727870577058926074e+02,6.634514907356106939e+00,5.858920267262413439e+00,5.856776528099314483e+00
6.947727704586489960e-04,7.074509380210369045e+02,1.383317846648463467e+00,1.902088091246731949e+00,1.472236237832578176e+01,1.472377108262202405e+01
2.137806989860874599e-03,8.700093621218987892e+02,2.042379672486299924e+01,6.383763354224404607e-02,1.753465049691452293e+01,1.753154889674745931e+01
8.163152805184874196e-04,1.494628128617658149e+03,6.125907860708140618e+01,9.621431350674534144e-01,1.067191078321103959e+01,1.067390845153033219e+01
1.489486782335906062e-03,9.778444309458413386e+01,1.978070004457170628e+00,5.007890033694808452e-01,1.261958619657517744e+01,1.262415800911414721e+01
4.779354087234386796e-03,6.817508368989861083e+02,1.354873780822529170e+02,2.833553918863617405e+00,7.559934371463556957e+00,7.555360313349259727e+00
2.837574159928503426e-03,5.412836759172279244e+02,1.995671291897198074e+01,1.550119804834931281e-01,1.399229725291001714e+01,1.398489856521596231e+01
5.370497602194461515e-04,1.317360790796838899e+02,2.451798578874436529e+00,2.930970475420496824e-01,1.353611564501971465e+01,1.353796628128517732e+01
7.884835164893628677e-04,1.825881977012618790e+03,4.344536170429842414e+00,1.233128511295333712e-01,2.060700913542722645e+01,2.061465282887367678e+01
5.437498365065072383e-04,2.904617158401483152e+02,1.135086587370482292e+00,2.941465531633384867e+00,1.255237071401058202e+01,1.254936793946396634e+01
1.657560267754520846e-04,1.655955041970206594e+03,4.901416712543334775e+00,5.314784181499122573e-01,1.638299078934422326e+01,1.637923870206781629e+01
2.549664799581748457e-04,1.802228772449411281e+03,1.263509287238679661e+02,1.577867711950819152e-01,1.398620092603494491e+01,1.398796783283628642e+01
3.694987537064276786e-04,1.383251178672561309e+03,3.021045244001222230e+01,4.959238270369491497e-01,1.257718064470815023e+01,1.257465847993797503e+01
4.248814702190415469e-04,2.723285139291882615e+02,5.027509430152123926e+00,6.462722181171489666e-01,1.177296521223431114e+01,1.177144713578250013e+01
4.227617798537561841e-04,1.403424992695500464e+02,5.731368588684125243e+00,5.550417702763089878e+00,8.261881559267912678e+00,8.260837206867861937e+00
1.423637543543189790e-03,4.339061161733069412e+02,2.630065786675651651e+01,1.817925755375773833e-01,1.290314617241878636e+01,1.290474217867766171e+01
8.777684186298581603e-03,2.625145485373027441e+02,1.584485175497618172e+02,7.171276876949547741e-02,1.422426556931935160e+01,1.422304966223517297e+01
3.542650179423176456e-03,2.812270080659743599e+02,8.612356111416951308e+02,1.861156192106313556e-01,1.139744665319093464e+01,1.139828030171117490e+01
3.821799474232224093e-03,1.230277155104364937e+02,3.134749275580777095e+01,6.733795196362551971e-02,1.467007347616524271e+01,1.466954387638856261e+01
3.300175235900819088e-03,1.117660645416659236e+03,2.137077464299783003e+01,6.253224061306447701e-02,1.824530159548539032e+01,1.824276758217443728e+01
1.563059322563955904e-03,7.406854932199456698e+02,1.372312723745500129e+01,3.079665183370208226e-01,1.342091383125151971e+01,1.341995435247829072e+01
6.845174350538765426e-03,1.216880386348892898e+03,2.914887305312243484e+02,2.470272199212576236e+00,7.953224971882383976e+00,7.950373772886880630e+00
2.394750711117095941e-03,3.552442778373977603e+02,5.351142496357436329e+01,2.890866495823460447e+00,7.549375629646811525e+00,7.549395174604420333e+00
1.001642772076892073e-03,7.037572168247839954e+01,5.590218412251837208e+02,5.314512863048381774e+00,6.791039181114382650e+00,6.787667582431685886e+00
1.426157916478209349e-04,1.203484930252420781e+03,4.412028844987382570e+01,4.204771923210286033e+00,8.651841221439100948e+00,8.648562538331214355e+00
9.481967319994897767e-04,6.455272554716829347e+01,3.951461473174029404e+00,5.856510481939441348e+00,8.332206307243183119e+00,8.336577192689098581e+00
2.664783868677084470e-04,8.841255090515657855e+01,2.067025764747500993e+00,1.406803309323224338e-01,1.512500891454433471e+01,1.512484936188341855e+01
1.842436781541698955e-04,1.627447890253473815e+03,4.112681147071056387e+01,1.297710279882308415e-01,1.566150283698163648e+01,1.566134113090522106e+01
1.028323699667308289e-03,3.967658985573116865e+02,3.732456585495582235e+00,5.553914857022537038e-02,1.891554148011864100e+01,1.891707608937839424e+01
3.716811919414625583e-03,6.030542045272516134e+02,1.246229656697338584e+02,4.340255968173705181e-01,1.017166597734757261e+01,1.017040340633992557e+01
3.890566882189686135e-04,1.033354915335435635e+03,2.233663954098465751e+02,6.078726575753927719e-01,9.569170397955844010e+00,9.568484791853409277e+00
3.447811547013565365e-03,5.802703811675834231e+02,2.148835568922471850e+02,1.249172185434762050e-01,1.279530692850556584e+01,1.279658237471156212e+01
1.125275974172089367e-03,2.571808588358322254e+02,1.654695557580387089e+01,8.766319086384168457e+00,7.176315417747646919e+00,7.177162665274380515e+00
1.986534202331255027e-04,3.705848383351809616e+02,4.493009062882434534e+01,3.820654759130697187e-01,1.060749286675859437e+01,1.060401497657779757e+01
8.510116157495993539e-03,2.174527715613229759e+02,4.786264355776728152e+00,3.816670015655460046e-01,1.285442264072996643e+01,1.285692266851997623e+01
6.357296217100856734e-04,4.204009527160359880e+02,3.603963995882891425e+01,4.012994346162734871e-01,1.082640079051211224e+01,1.082462948568224448e+01
3.894650683777483679e-04,5.040873510668617996e+01,2.829908767137100085e+02,1.213164706514624908e-01,1.313713589547083593e+01,1.313396765861989302e+01
4.943069779360769085e-03,3.260189031954992060e+02,8.272416894936773701e+01,1.156090447282668077e+00,8.443175776144743239e+00,8.440474350934746184e+00
1.773865409510226631e-04,5.459261896415105042e+01,1.003418670451347197e+02,9.329778762904132605e-02,1.361290224571787455e+01,1.361173060968480897e+01
2.932114476438063902e-03,7.493264206049505560e+01,7.386098701224583465e+02,7.563305831265359380e+00,6.587427400642750897e+00,6.592309301406619859e+00
2.374922735777916960e-04,1.134756698341819856e+03,7.249219019086927673e+00,6.119494716838598247e-01,1.409251293294646779e+01,1.408898632523170491e+01
6.095138127707199795e-04,5.693064729363164815e+02,8.886120941294994680e+01,1.169245281749497822e+00,8.614912495595149267e+00,8.615392723272751851e+00
2.909375363511320831e-04,9.790702671050689787e+01,4.507789154534178238e+02,3.353114343284540610e-01,1.017223800549096069e+01,1.016582453241668915e+01
4.813444685191521633e-03,7.871060951239238648e+02,9.921364049083251757e+00,2.961154954512874027e-01,1.442713649407074961e+01,1.442713179327131456e+01
6.027664949814938574e-04,2.892033671570635533e+02,1.416928842822778201e+00,9.249882512723345940e+00,1.087786745754294060e+01,1.088056615679536776e+01
8.899910223040010532e-03,8.222461109756129360e+01,7.663856489189486254e+00,9.044919703848083858e-02,1.474413323687211452e+01,1.474342324690593031e+01
1.780422068767171899e-03,1.543058037428543003e+03,7.404651528631372770e+00,1.039447892507936594e-01,1.937135593764357466e+01,1.936946787287192606e+01
2.439190216409050337e-03,7.580372360742180149e+01,7.273226507552288389e+00,8.292621823052773733e-01,1.001787668675497400e+01,1.001857121994714994e+01
1.104206360018355993e-03,5.377733138949035663e+01,3.768419256191449307e+01,1.381736220938700466e-01,1.244864884461578747e+01,1.245074929986923884e+01
4.148932776167203566e-04,1.288431598344396320e+02,4.865257528773121010e+01,5.177710074910085031e-02,1.583301971871274816e+01,1.583501069142580064e+01
6.181769993058379604e-04,6.888501956132014925e+01,1.430357928726076366e+01,1.308777817136130617e+00,8.798980182344267931e+00,8.804897603906058023e+00
7.618480763892281418e-03,5.318127977176460774e+01,9.246827524068139681e+00,5.085988001723305840e-02,1.613708796489764552e+01,1.613771546731465278e+01
2.525843285189038456e-04,5.565480677422372082e+02,3.722415836434510084e+01,1.433194230163431282e+00,9.023524140898731005e+00,9.021746910599471647e+00
9.471915225918144457e-03,8.135444142522111122e+01,1.549479065105959705e+02,2.543082478426398896e-01,1.075245501831242478e+01,1.075207708074246504e+01
3.285577562404472848e-03,4.002573746343872472e+02,1.251611824406924534e+00,1.308805455029979914e+00,1.418565709597666569e+01,1.418543960033980689e+01
5.242927508694664174e-04,1.223526736392383043e+02,3.000580775617242466e+02,1.063933398503682959e+00,8.105054526784060798e+00,8.105380738934494289e+00
1.918788818527961603e-03,1.606748683299446611e+03,2.496335036320321166e+00,6.772331664160887499e+00,1.447642849951925825e+01,1.447633841607956917e+01
5.780469028343965731e-04,1.108623925735959119e+02,5.238501414637887592e+02,1.834964356841765898e-01,1.169987699945714077e+01,1.170039889727383020e+01
5.794098384179936908e-04,3.412637122525333666e+02,3.006217645327990695e+01,6.685627601110676110e+00,7.071785362902468286e+00,7.066772812720622632e+00
1.017667488707616353e-03,7.524258099961422204e+02,4.929078346188704529e+01,8.460091654594902311e-01,9.946289698957961889e+00,9.948778585826081766e+00
1.080054431735110929e-04,1.575501420498659115e+02,8.759359540701486821e+02,5.000419777306636809e-02,2.460438832971285095e+01,2.460266411190608693e+01
9.708298473539811284e-04,1.075143427478153853e+03,4.916486054260764718e+02,4.131825527035347112e-01,9.885959856022404679e+00,9.882440379933063568e+00
8.773983773562534297e-03,1.592146848967340986e+02,2.164025395086195047e+01,6.791318343340199681e-02,1.504486795102858032e+01,1.504678120450750534e+01
3.723320809277160925e-04,2.090956966243392685e+02,4.044361580185182881e+00,1.997693416966083824e+00,1.014073359863681745e+01,1.014468557665897563e+01
3.136432303178783489e-03,2.446120529333406068e+02,6.127027418899165667e+01,2.202267623917331552e+00,7.609039243370678385e+00,7.610518327819177031e+00
7.683830572227398712e-04,2.344571695286986710e+02,1.319938924708289330e+00,2.461233004369094146e-01,1.588589585224448619e+01,1.588637933018602233e+01
2.621573782960446132e-04,4.709038162795516200e+02,1.589348499039514362e+00,1.772356800715912950e-01,1.768578800202131163e+01,1.768299134110519688e+01
6.456618730158350354e-03,1.151937845954999631e+02,4.774002606882955746e+00,4.999288514274482509e-01,1.161390885827351127e+01,1.162252356028695210e+01
1.080574138625875100e-04,1.684188739213277302e+02,1.791639152193883078e+01,1.256452443643869321e+00,8.896854883559770499e+00,8.899495659421754468e+00
4.045925235513566785e-04,1.163581840645270091e+02,1.205356058931506880e+02,1.000226089818588571e-01,1.323699722487309316e+01,1.323357934086206456e+01
9.955240692893161866e-03,1.388842208612889237e+02,1.980330740220818342e+00,1.811991972951968177e-01,1.537564247371308568e+01,1.537330355996436637e+01
3.344210394191072491e-04,8.336678456107814554e+02,3.669115940772296085e+02,4.291959849701145302e+00,6.518964116105815165e+00,6.519225053851530838e+00
4.989867846017946931e-03,5.094400619186886274e+02,2.235285931814152249e+01,6.940245643125992903e-01,1.078589882862952010e+01,1.078123463523353287e+01
1.626920371872613664e-03,1.743477013263722029e+03,3.817275695508527633e+00,2.347906826273752356e-01,1.920279312173297015e+01,1.920329901295400177e+01
4.093279637751438479e-03,1.663931061329929889e+03,3.920555257341235347e+02,5.771046589276893068e-02,1.833885302490589453e+01,1.833747581023875739e+01
1.822365608652172335e-03,1.065440481041987653e+02,1.182052258016273072e+02,1.926598945709240285e-01,1.128906841909724967e+01,1.129274723089819865e+01
5.313659411874631497e-04,1.084716256418489309e+02,3.797747240056350506e+02,1.444588885049899352e+00,7.774782332115611538e+00,7.777668796106496529e+00
