t,x,v,viscoelastic_damping_force,dv_dt
1.320264052810561917e-01,9.279626719617275477e-01,-9.717958653445513129e-01,-7.040102667013140372e-03,-4.469189469037755380e+00
1.380276055211042130e-01,9.220516953904333013e-01,-9.978979140743293730e-01,-7.609225424553493766e-03,-4.231556722408930327e+00
1.440288057611522343e-01,9.159882888745547458e-01,-1.022606588133348593e+00,-8.191862974265393463e-03,-4.004859777516259989e+00
1.500300060012002279e-01,9.097806166282639273e-01,-1.045988027088306627e+00,-8.787159630480090994e-03,-3.789246459444465920e+00
1.560312062412482492e-01,9.034364433952856155e-01,-1.068108842600080211e+00,-9.394302170208795183e-03,-3.584729287535916242e+00
1.620324064812962428e-01,8.969631353943520180e-01,-1.089035386426278951e+00,-1.001251959082841494e-02,-3.391207316048562515e+00
1.680336067213442641e-01,8.903676627295957768e-01,-1.108833081892164341e+00,-1.064108275416905669e-02,-3.208486090622221010e+00
1.740348069613922577e-01,8.836566063790407544e-01,-1.127565989236569255e+00,-1.127930356675699471e-02,-3.036295705132034506e+00
1.800360072014402790e-01,8.768361695165720615e-01,-1.145296332396984695e+00,-1.192653370659452552e-02,-2.874306902211286374e+00
1.860372074414882726e-01,8.699121864910488444e-01,-1.162084228889897597e+00,-1.258216363617392815e-02,-2.722145099950189273e+00
1.920384076815362939e-01,8.628901383299673045e-01,-1.177987451927892115e+00,-1.324562091679721935e-02,-2.579402668072060756e+00
1.980396079215843153e-01,8.557751683485670391e-01,-1.193061238334946150e+00,-1.391636853626075643e-02,-2.445649410263340151e+00
2.040408081616323088e-01,8.485720937747660564e-01,-1.207358208562785196e+00,-1.459390366727947481e-02,-2.320441350532871816e+00
2.100420084016803302e-01,8.412854248560099890e-01,-1.220928295972643962e+00,-1.527775563372430444e-02,-2.203328205408326745e+00
2.160432086417283237e-01,8.339193827065095599e-01,-1.233818728681972621e+00,-1.596748402705523359e-02,-2.093859513437031250e+00
2.220444088817763451e-01,8.264779096167389483e-01,-1.246074040213037026e+00,-1.666267761814052215e-02,-1.991589513547537216e+00
2.280456091218243386e-01,8.189646889851993627e-01,-1.257736106437851165e+00,-1.736295225596841407e-02,-1.896081185750272846e+00
2.340468093618723600e-01,8.113831641479314349e-01,-1.268844235043825597e+00,-1.806794889414619493e-02,-1.806909397648393423e+00
2.400480096019203535e-01,8.037365475658043712e-01,-1.279435214394560205e+00,-1.877733262718393401e-02,-1.723663203869064686e+00
2.460492098419683749e-01,7.960278368289236406e-01,-1.289543402846545339e+00,-1.949079101369369585e-02,-1.645947625090174782e+00
2.520504100820163962e-01,7.882598312911801575e-01,-1.299200834630599211e+00,-2.020803233792958439e-02,-1.573384906055916632e+00
2.580516103220644175e-01,7.804351488654325264e-01,-1.308437373915544155e+00,-2.092878385613302500e-02,-1.505615333140726486e+00
2.640528105621123833e-01,7.725562298320821641e-01,-1.317280748004449276e+00,-2.165279139864979135e-02,-1.442297585919757097e+00
2.700540108021604047e-01,7.646253541208964943e-01,-1.325756685839390991e+00,-2.237981756801470448e-02,-1.383108930306685469e+00
2.760552110422084260e-01,7.566446528413881545e-01,-1.333889017101214325e+00,-2.310964053945877700e-02,-1.327745122240043596e+00
2.820564112822564473e-01,7.486161244058362474e-01,-1.341699863629348677e+00,-2.384205238089808290e-02,-1.275920156464008137e+00
2.880576115223044686e-01,7.405416369716522063e-01,-1.349209665758750676e+00,-2.457685879824331870e-02,-1.227365779507209487e+00
2.940588117623524345e-01,7.324229369265998768e-01,-1.356437270905459513e+00,-2.531387825328059241e-02,-1.181830947657514841e+00
3.000600120024004558e-01,7.242616637843880545e-01,-1.363400064090506181e+00,-2.605294041773589114e-02,-1.139081238145309483e+00
3.060612122424484771e-01,7.160593579577577694e-01,-1.370114086312163026e+00,-2.679388536504617030e-02,-1.098898156729326114e+00
3.120624124824964984e-01,7.078174710420348514e-01,-1.376594168242646576e+00,-2.753656250003658559e-02,-1.061078421590639254e+00
3.180636127225444643e-01,6.995373658563150965e-01,-1.382853930710848500e+00,-2.828083055463574344e-02,-1.025433179857824006e+00
3.240648129625924856e-01,6.912203232296769695e-01,-1.388905864476691843e+00,-2.902655688398471379e-02,-9.917872545726700295e-01
3.300660132026405069e-01,6.828675552508703950e-01,-1.394761462665709661e+00,-2.977361609514754884e-02,-9.599784164475275716e-01
3.360672134426885282e-01,6.744802070019626505e-01,-1.400431268227006587e+00,-3.052188986578124180e-02,-9.298566158292254080e-01
3.420684136827365496e-01,6.660593667207415081e-01,-1.405925020108511836e+00,-3.127126588752943137e-02,-9.012832648482704823e-01
3.480696139227845154e-01,6.576060659525615470e-01,-1.411251655231538171e+00,-3.202163785025284592e-02,-8.741305043901202998e-01
3.540708141628325367e-01,6.491212799649636045e-01,-1.416419314056434953e+00,-3.277290539904407357e-02,-8.482805023369587305e-01
3.600720144028805580e-01,6.406059396601400113e-01,-1.421435487310428236e+00,-3.352497290117065903e-02,-8.236248153756544621e-01
3.660732146429285794e-01,6.320609319161015760e-01,-1.426307004648717847e+00,-3.427774941364689076e-02,-8.000637416833216164e-01
3.720744148829765452e-01,6.234871058995711257e-01,-1.431040152160078405e+00,-3.503114802463318939e-02,-7.775057224774628573e-01
3.780756151230245665e-01,6.148852767100633221e-01,-1.435640726497474651e+00,-3.578508547493306630e-02,-7.558667658238774623e-01
3.840768153630725879e-01,6.062562253798862155e-01,-1.440114034878060334e+00,-3.653948215799308202e-02,-7.350698927194276866e-01
3.900780156031206092e-01,5.976006989051592111e-01,-1.444464895535142901e+00,-3.729426211668498276e-02,-7.150446157671699332e-01
3.960792158431686305e-01,5.889194177368332062e-01,-1.448697738679292746e+00,-3.804935226778267954e-02,-6.957264655385893004e-01
4.020804160832165963e-01,5.802130775158780285e-01,-1.452816613089239484e+00,-3.880468222594214700e-02,-6.770565312842625749e-01
4.080816163232646177e-01,5.714823501753069079e-01,-1.456825226299087950e+00,-3.956018418523396529e-02,-6.589810291219133642e-01
4.140828165633126390e-01,5.627278882440380769e-01,-1.460727013566276433e+00,-4.031579247151249878e-02,-6.414509043986168502e-01
4.200840168033606603e-01,5.539503248468944374e-01,-1.464525137871574678e+00,-4.107144354241593770e-02,-6.244214511287974334e-01
4.260852170434086261e-01,5.451502737046033387e-01,-1.468222489919085882e+00,-4.182707598736627036e-02,-6.078519572633688250e-01
4.320864172834566475e-01,5.363283293357156145e-01,-1.471821691203209825e+00,-4.258263050656902610e-02,-5.917053747428363542e-01
4.380876175235046688e-01,5.274850735848621852e-01,-1.475325185855728805e+00,-4.333804923418004690e-02,-5.759480237967397054e-01
4.440888177635526901e-01,5.186210735687386553e-01,-1.478735199530174960e+00,-4.409327595522080645e-02,-5.605493024509423661e-01
4.500900180036007114e-01,5.097368835229172390e-01,-1.482053785808787438e+00,-4.484825590867312639e-02,-5.454814239846370594e-01
4.560912182436486773e-01,5.008330470032816839e-01,-1.485282862777369539e+00,-4.560293555765559254e-02,-5.307191740554315640e-01
4.620924184836966986e-01,4.919100968860268264e-01,-1.488424213025287379e+00,-4.635726258942356875e-02,-5.162396821828307836e-01
4.680936187237447199e-01,4.829685553676590914e-01,-1.491479483645470117e+00,-4.711118591536914840e-02,-5.020222105585272487e-01
4.740948189637927412e-01,4.740089339649962707e-01,-1.494450186234410838e+00,-4.786465567102120289e-02,-4.880479590878194496e-01
4.800960192038407071e-01,4.650317341508484192e-01,-1.497337706586755246e+00,-4.861762314941456276e-02,-4.742998866037609895e-01
4.860972194438887284e-01,4.560374520877789606e-01,-1.500143371092082178e+00,-4.937004030826128848e-02,-4.607625523987751714e-01
4.920984196839367497e-01,4.470265747192438410e-01,-1.502868385063385048e+00,-5.012186018156881279e-02,-4.474219575093769108e-01
4.980996199239847710e-01,4.379995822936595395e-01,-1.505513881777594154e+00,-5.087303660962722018e-02,-4.342654084958058602e-01
5.041008201640327924e-01,4.289569491135293289e-01,-1.508080934762264569e+00,-5.162352416002208289e-02,-4.212813899229095882e-01
5.101020204040808137e-01,4.198991435354429425e-01,-1.510570557795576807e+00,-5.237327812763447471e-02,-4.084594465297823329e-01
5.161032206441288350e-01,4.108266279700769075e-01,-1.512983704906336602e+00,-5.312225453464092251e-02,-3.957900755029728490e-01
5.221044208841767453e-01,4.017398588821945449e-01,-1.515321270373975127e+00,-5.387041013051345473e-02,-3.832646281384693987e-01
5.281056211242247667e-01,3.926392867906453032e-01,-1.517584088728548775e+00,-5.461770239201961530e-02,-3.708752202192073799e-01
5.341068213642727880e-01,3.835253565958179900e-01,-1.519772939212226115e+00,-5.536408948808989317e-02,-3.586146509203754218e-01
5.401080216043208093e-01,3.743985107866980022e-01,-1.521888588092148442e+00,-5.610952993971288216e-02,-3.464763330489788462e-01
5.461092218443688306e-01,3.652591861737457535e-01,-1.523931743450630316e+00,-5.685398297418663843e-02,-3.344542213027772437e-01
5.521104220844168520e-01,3.561078153523834500e-01,-1.525903078043213235e+00,-5.759740836146313991e-02,-3.225427534790539785e-01
5.581116223244648733e-01,3.469448274026961654e-01,-1.527803239126735768e+00,-5.833976633833792835e-02,-3.107367964630808332e-01
5.641128225645128946e-01,3.377706478894312303e-01,-1.529632848459334449e+00,-5.908101760845010930e-02,-2.990315967003392972e-01
5.701140228045609160e-01,3.285856988619988428e-01,-1.531392502300442660e+00,-5.982112334228235212e-02,-2.874227356764875729e-01
5.761152230446089373e-01,3.193903988544717909e-01,-1.533082771410791967e+00,-6.056004517716088997e-02,-2.759060899915656839e-01
5.821164232846568476e-01,3.101851628855853971e-01,-1.534704201052411010e+00,-6.129774521725549208e-02,-2.644777956412442399e-01
5.881176235247048689e-01,3.009704024587374627e-01,-1.536257310988626168e+00,-6.203418603357955391e-02,-2.531342161428832283e-01
5.941188237647528902e-01,2.917465255619885456e-01,-1.537742595484060892e+00,-6.276933066398997230e-02,-2.418719141678579154e-01
6.001200240048009116e-01,2.825139367387554112e-01,-1.539160523788111190e+00,-6.350314260524501930e-02,-2.306876264517503938e-01
6.061212242448489329e-01,2.732730399298300417e-01,-1.540511561216910019e+00,-6.423558549694299846e-02,-2.195782450044543588e-01
6.121224244848969542e-01,2.640242351832318701e-01,-1.541796149874368860e+00,-6.496662349844407880e-02,-2.085407932979269630e-01
6.181236247249449756e-01,2.547679190543568062e-01,-1.543014707822118359e+00,-6.569622123823579130e-02,-1.975724094895188465e-01
6.241248249649929969e-01,2.455044861077841922e-01,-1.544167638583434865e+00,-6.642434364383931200e-02,-1.866703330788768711e-01
6.301260252050410182e-01,2.362343289172768590e-01,-1.545255331143240207e+00,-6.715095594180950367e-02,-1.758318916059575243e-01
6.361272254450889285e-01,2.269578380657813754e-01,-1.546278159948101472e+00,-6.787602365773481861e-02,-1.650544890639780715e-01
6.421284256851369499e-01,2.176754021454271049e-01,-1.547236484906230558e+00,-6.859951261623742358e-02,-1.543355958400314532e-01
6.481296259251849712e-01,2.083874077575275097e-01,-1.548130651387485068e+00,-6.932138894097308879e-02,-1.436727400111249553e-01
6.541308261652329925e-01,1.990942395125793463e-01,-1.548960990223368084e+00,-7.004161905463125726e-02,-1.330634998376268863e-01
6.601320264052810138e-01,1.897962800302627762e-01,-1.549727817707027722e+00,-7.076016967893498932e-02,-1.225054973095846961e-01
6.661332266453290352e-01,1.804939099394415325e-01,-1.550431435593257135e+00,-7.147700783464104590e-02,-1.119963926141156058e-01
6.721344268853770565e-01,1.711875078781626980e-01,-1.551072131098495621e+00,-7.219210084153979134e-02,-1.015338794041017179e-01
6.781356271254250778e-01,1.618774504936569547e-01,-1.551650176900827072e+00,-7.290541631845527670e-02,-9.111568075977542758e-02
6.841368273654730991e-01,1.525641124423383621e-01,-1.552165831139980856e+00,-7.361692218324518422e-02,-8.073954574546580998e-02
6.901380276055210095e-01,1.432478663898046622e-01,-1.552619337417331824e+00,-7.432658665280081345e-02,-7.040324647382509293e-02
6.961392278455690308e-01,1.339290830108365027e-01,-1.553010924795899861e+00,-7.503437824304719228e-02,-6.010457559927230575e-02
7.021404280856170521e-01,1.246081331608812487e-01,-1.553340811816094069e+00,-7.574026553482225699e-02,-4.984134662792073789e-02
7.081416283256650734e-01,1.152853884436640663e-01,-1.553609208456030455e+00,-7.644421711518004092e-02,-3.961139266992096120e-02
7.141428285657130948e-01,1.059612166943342676e-01,-1.553816307346886916e+00,-7.714620206309831529e-02,-2.941255971984424455e-02
7.201440288057611161e-01,9.663598493470773598e-02,-1.553962288500069011e+00,-7.784618962878478432e-02,-1.924270860830759600e-02
7.261452290458091374e-01,8.731005942333917857e-02,-1.554047319394427085e+00,-7.854414922826344347e-02,-9.099713804653145055e-03
7.321464292858571588e-01,7.798380565552205657e-02,-1.554071554976255598e+00,-7.924005044337466275e-02,1.018537707933822589e-03
7.381476295259051801e-01,6.865758836328866854e-02,-1.554035137659293575e+00,-7.993386302177511726e-02,1.111414745664567050e-02
7.441488297659530904e-01,5.933177151541023375e-02,-1.553938197324724602e+00,-8.062555687693777340e-02,2.118920642630522239e-02
7.501500300060011117e-01,5.000671831739625373e-02,-1.553780851321176382e+00,-8.131510208815199980e-02,3.124579594892514661e-02
7.561512302460491330e-01,4.068279121149560862e-02,-1.553563204464721181e+00,-8.200246890052344251e-02,4.128598855092740355e-02
7.621524304860971544e-01,3.136035187669565516e-02,-1.553285349038876051e+00,-8.268762772497409430e-02,5.131184876996364164e-02
7.681536307261451757e-01,2.203976122872271237e-02,-1.552947364794602159e+00,-8.337054913824223923e-02,6.132543395033462214e-02
7.741548309661931970e-01,1.272137942004178401e-02,-1.552549318950304791e+00,-8.405120388288253586e-02,7.132879502355830847e-02
7.801560312062412184e-01,3.405565839856655730e-03,-1.552091266191834018e+00,-8.472956286726593400e-02,8.132397727864791592e-02
7.861572314462892397e-01,-5.907319954895101644e-03,-1.551573249056558357e+00,-8.540559706801940931e-02,9.131302009653911866e-02
7.921584316863372610e-01,-1.521691692852042421e-02,-1.550995298843484749e+00,-8.607927739481587015e-02,1.012979562597920713e-01
7.981596319263851713e-01,-2.452286600425567301e-02,-1.550357434175358096e+00,-8.675057505084129983e-02,1.112808164990615467e-01
8.041608321664331926e-01,-3.382480796964527220e-02,-1.549659661481213480e+00,-8.741946131126220043e-02,1.212636279211132817e-01
8.101620324064812140e-01,-4.312238333451336864e-02,-1.548901975044272517e+00,-8.808590750828319826e-02,1.312484145913618283e-01
8.161632326465292353e-01,-5.241523233096457429e-02,-1.548084357001945355e+00,-8.874988503114701610e-02,1.412371982701906559e-01
8.221644328865772566e-01,-6.170299491338371994e-02,-1.547206777345829787e+00,-8.941136532613452870e-02,1.512319991493245031e-01
8.281656331266252780e-01,-7.098531075843592109e-02,-1.546269193921711027e+00,-9.007031989656477666e-02,1.612348365930252048e-01
8.341668333666732993e-01,-8.026181926506650854e-02,-1.545271552429562378e+00,-9.072672030279486932e-02,1.712477298908187118e-01
8.401680336067213206e-01,-8.953215955450112562e-02,-1.544213786423544121e+00,-9.138053816222008185e-02,1.812726990308050345e-01
8.461692338467693419e-01,-9.879597047024563095e-02,-1.543095817312005513e+00,-9.203174514927382754e-02,1.913117655053453436e-01
8.521704340868172523e-01,-1.080528905780859250e-01,-1.541917554357482123e+00,-9.268031299542763002e-02,2.013669531640599752e-01
8.581716343268652736e-01,-1.173025581660887967e-01,-1.540678894676698496e+00,-9.332621348919119264e-02,2.114402891325994904e-01
8.641728345669132949e-01,-1.265446112446006188e-01,-1.539379723240565934e+00,-9.396941847611227361e-02,2.215338048195581444e-01
8.701740348069613162e-01,-1.357786869837985799e-01,-1.538019912466438210e+00,-9.460989980221827522e-02,2.316495364034426574e-01
8.761752350470093376e-01,-1.450044197434859905e-01,-1.536599321838287402e+00,-9.524762911752225614e-02,2.417895238595800800e-01
8.821764352870573589e-01,-1.542214447358415674e-01,-1.535117800955876799e+00,-9.588257824515510064e-02,2.519558165196083555e-01
8.881776355271053802e-01,-1.634293961800201977e-01,-1.533575186831194648e+00,-9.651471899384324316e-02,2.621504726549903075e-01
8.941788357671534015e-01,-1.726279069808502875e-01,-1.531971303573348209e+00,-9.714402312547786023e-02,2.723755610322265430e-01
9.001800360072014229e-01,-1.818166087288338173e-01,-1.530305962388563534e+00,-9.777046235511493988e-02,2.826331631505490938e-01
9.061812362472493332e-01,-1.909951317001463145e-01,-1.528578961580185691e+00,-9.839400835097518450e-02,2.929253758605440683e-01
9.121824364872973545e-01,-2.001631048566372972e-01,-1.526790086548678538e+00,-9.901463273444410795e-02,3.032543144304870042e-01
9.181836367273453758e-01,-2.093201558458294420e-01,-1.524939109791625391e+00,-9.963230708007196623e-02,3.136221161343091257e-01
9.241848369673933972e-01,-2.184659110009191385e-01,-1.523025790903727694e+00,-1.002470029155737991e-01,3.240309444426021090e-01
9.301860372074414185e-01,-2.275999953407764620e-01,-1.521049876576806792e+00,-1.008586917218293744e-01,3.344829939058796553e-01
9.361872374474894398e-01,-2.367220325699450068e-01,-1.519011100599802155e+00,-1.014673449328832716e-01,3.449804958274725331e-01
9.421884376875374612e-01,-2.458316450786419971e-01,-1.516909183858773158e+00,-1.020729339359448262e-01,3.555257248319255714e-01
9.481896379275854825e-01,-2.549284539427582597e-01,-1.514743834336897077e+00,-1.026754300713881018e-01,3.661210064435851397e-01
9.541908381676335038e-01,-2.640120777959834575e-01,-1.512514739752434778e+00,-1.032748045226392769e-01,3.767687244369795629e-01
9.601920384076814141e-01,-2.730821314981398684e-01,-1.510221567013001920e+00,-1.038710281891269405e-01,3.874713291540428095e-01
9.661932386477294354e-01,-2.821382307206986573e-01,-1.507863993078194076e+00,-1.044640721349263252e-01,3.982313544014875473e-01
9.721944388877774568e-01,-2.911799887095384287e-01,-1.505441675658309775e+00,-1.050539072701503485e-01,4.090514264910399822e-01
9.781956391278254781e-01,-3.002070160534745513e-01,-1.502954251434496902e+00,-1.056405043282620942e-01,4.199342785755394991e-01
9.841968393678734994e-01,-3.092189206842594906e-01,-1.500401336058752921e+00,-1.062238338660748405e-01,4.308827671566340944e-01
9.901980396079215208e-01,-3.182153078765823651e-01,-1.497782524153924433e+00,-1.068038662637520592e-01,4.418998906711679164e-01
9.961992398479695421e-01,-3.271957802480691124e-01,-1.495097389313707170e+00,-1.073805717248073610e-01,4.529888103525417931e-01
1.002200440088017563e+00,-3.361599377592826565e-01,-1.492345484102646891e+00,-1.079539202761045924e-01,4.641528735750145573e-01
1.008201640328065585e+00,-3.451073777137225185e-01,-1.489526340056138487e+00,-1.085238817678577383e-01,4.753956399009300338e-01
1.014202840568113606e+00,-3.540376947578252054e-01,-1.486639467680425764e+00,-1.090904258736309917e-01,4.867209100632329255e-01
1.020204040808161627e+00,-3.629504808809639327e-01,-1.483684356452602326e+00,-1.096535220903387120e-01,4.981327581283633288e-01
1.026205241048209649e+00,-3.718453254154489573e-01,-1.480660474820611361e+00,-1.102131397382454525e-01,5.096355670977296137e-01
1.032206441288257670e+00,-3.807218150365270226e-01,-1.477567270203244965e+00,-1.107692479609659053e-01,5.212340682194525066e-01
1.038207641528305691e+00,-3.895795337623819687e-01,-1.474404168990144592e+00,-1.113218157254650120e-01,5.329333842959831369e-01
1.044208841768353491e+00,-3.984180601800091925e-01,-1.471170543331352665e+00,-1.118708115583726959e-01,5.447390734689419034e-01
1.050210042008401512e+00,-4.072369670037557232e-01,-1.467865716826332712e+00,-1.124162035102748425e-01,5.566571805966459285e-01
1.056211242248449533e+00,-4.160358266855577747e-01,-1.464489025577470738e+00,-1.129579596857747253e-01,5.686943020127870341e-01
1.062212442488497555e+00,-4.248142063722785688e-01,-1.461039747665075827e+00,-1.134960477585295890e-01,5.808576409146718467e-01
1.068213642728545576e+00,-4.335716677996898083e-01,-1.457517101778132984e+00,-1.140304349611173801e-01,5.931550749937410938e-01
1.074214842968593597e+00,-4.423077672924715653e-01,-1.453920247214300687e+00,-1.145610880850367469e-01,6.055952301799947257e-01
1.080216043208641619e+00,-4.510220557642125594e-01,-1.450248283879913558e+00,-1.150879734807069843e-01,6.181875607403602979e-01
1.086217243448689640e+00,-4.597140787174098797e-01,-1.446500252289979915e+00,-1.156110570574681445e-01,6.309424361311988250e-01
1.092218443688737661e+00,-4.683833762434692072e-01,-1.442675133568183554e+00,-1.161303042835809263e-01,6.438712350213484648e-01
1.098219643928785683e+00,-4.770294830227045368e-01,-1.438771849446882412e+00,-1.166456801862267439e-01,6.569864469187053357e-01
1.104220844168833704e+00,-4.856519283243385665e-01,-1.434789262267110121e+00,-1.171571493515076862e-01,6.703017818503977931e-01
1.110222044408881725e+00,-4.942502337246726940e-01,-1.430726140233123944e+00,-1.176646757050675007e-01,6.838322848531988019e-01
1.116223244648929747e+00,-5.028239095014621629e-01,-1.426581107927359815e+00,-1.181682221713923758e-01,6.975944568282880232e-01
1.122224444888977768e+00,-5.113724626456460642e-01,-1.422352768106316834e+00,-1.186677514432402519e-01,7.116064037349890681e-01
1.128225645129025789e+00,-5.198953893089095502e-01,-1.418039580413434919e+00,-1.191632252482226345e-01,7.258879704235808861e-01
1.134226845369073811e+00,-5.283921742490056417e-01,-1.413639852715220746e+00,-1.196546042952285754e-01,7.404608956498793804e-01
1.140228045609121832e+00,-5.368622908297551177e-01,-1.409151741101247302e+00,-1.201418482744246036e-01,7.553489787823767232e-01
1.146229245849169853e+00,-5.453052010210468481e-01,-1.404573249884154995e+00,-1.206249158572547248e-01,7.705782578290745199e-01
1.152230446089217875e+00,-5.537203553988373494e-01,-1.399902231599649882e+00,-1.211037646964404774e-01,7.861771993056975161e-01
1.158231646329265674e+00,-5.621071931451507853e-01,-1.395136387006505663e+00,-1.215783514259808629e-01,8.021769004753868115e-01
1.164232846569313695e+00,-5.704651413667758408e-01,-1.390273255219396376e+00,-1.220486315953663581e-01,8.186113031091417636e-01
1.170234046809361717e+00,-5.787936053160780414e-01,-1.385310075719810685e+00,-1.225145587292622712e-01,8.355174012864639010e-01
1.176235247049409738e+00,-5.870919786915723693e-01,-1.380243942685216441e+00,-1.229760853264200982e-01,8.529355026039017185e-01
1.182236447289457759e+00,-5.953596357575722253e-01,-1.375071684520297266e+00,-1.234331620903711124e-01,8.709094667925878497e-01
1.188237647529505780e+00,-6.035959276069754464e-01,-1.369789808765099925e+00,-1.238857375673983602e-01,8.894869649696514058e-01
1.194238847769553802e+00,-6.118001821612644164e-01,-1.364394502095034767e+00,-1.243337581465367020e-01,9.087197605227401720e-01
1.200240048009601823e+00,-6.199717041705063991e-01,-1.358881630320874612e+00,-1.247771680595728544e-01,9.286640045017635625e-01
1.206241248249649844e+00,-6.281097752133530943e-01,-1.353246738388756532e+00,-1.252159093810453205e-01,9.493805457286002003e-01
1.212242448489697866e+00,-6.362136534960967094e-01,-1.347485047761411980e+00,-1.256499220088508062e-01,9.709352552212601184e-01
1.218243648729745887e+00,-6.442825611715783385e-01,-1.341591295150873719e+00,-1.260791424435536712e-01,9.933993293095734201e-01
1.224244848969793908e+00,-6.523156911127641067e-01,-1.335559829990230485e+00,-1.265035044482647197e-01,1.016849655961463705e+00
1.230246049209841930e+00,-6.603122006015347267e-01,-1.329384523968951681e+00,-1.269229384312510478e-01,1.041369158096457026e+00
1.236247249449889951e+00,-6.682712037182618747e-01,-1.323058669798980791e+00,-1.273373707096107088e-01,1.067047139386094301e+00
1.242248449689937972e+00,-6.761917713418089670e-01,-1.316574981214734930e+00,-1.277467235092726028e-01,1.093979659874897425e+00
1.248249649929985994e+00,-6.840729311495306053e-01,-1.309925592973103958e+00,-1.281509149649965318e-01,1.122269919960036777e+00
1.254250850170034015e+00,-6.919136676172730205e-01,-1.303102060853452260e+00,-1.285498591203732832e-01,1.152028651110376112e+00
1.260252050410082036e+00,-6.997129117438175561e-01,-1.296095248631152996e+00,-1.289434649406034361e-01,1.183374468407193625e+00
1.266253250650129836e+00,-7.074695336488163733e-01,-1.288895255704553433e+00,-1.293316356062661210e-01,1.216434222721284319e+00
1.272254450890177857e+00,-7.151823443879342657e-01,-1.281491428573116265e+00,-1.297142686809973078e-01,1.251343380571621644e+00
1.278255651130225878e+00,-7.228500827803507889e-01,-1.273872208317619270e+00,-1.300912548409529912e-01,1.288246322280608647e+00
1.284256851370273900e+00,-7.304714153468381266e-01,-1.266025129901344748e+00,-1.304624778688489584e-01,1.327296670506653342e+00
1.290258051610321921e+00,-7.380449363097602022e-01,-1.257936822170080404e+00,-1.308278146539607334e-01,1.368657594301406766e+00
1.296259251850369942e+00,-7.455691608459228403e-01,-1.249592947095898188e+00,-1.311871345456937510e-01,1.412502040440222206e+00
1.302260452090417964e+00,-7.530425083717805501e-01,-1.240978052995540093e+00,-1.315402977542767249e-01,1.459012843651912306e+00
1.308261652330465985e+00,-7.604633041437538488e-01,-1.232075582825334692e+00,-1.318871554998787277e-01,1.508382866656435617e+00
1.314262852570514006e+00,-7.678297656724643039e-01,-1.222867745450153310e+00,-1.322275487069655975e-01,1.560814960139079721e+00
1.320264052810562028e+00,-7.751400022456181871e-01,-1.213335511249892251e+00,-1.325613079585283849e-01,1.616521899386822891e+00
