rho,T,P,P_noisy
2.230659854913438878e+00,4.923912240815493391e+00,8.848405720640803551e+00,8.966158526505916271e+00
6.429380662659220036e+00,3.445040720031735670e+00,5.785813854139867374e+00,6.165573615379057237e+00
8.070042848135596358e+00,2.030245102046423167e+00,-6.429004416699791946e+00,-7.253398099875266070e+00
9.640341641165210973e+00,1.143860991399417770e+00,-1.470492413430999612e+01,-1.457773007605118742e+01
1.590195821169657187e+00,1.447022341183568539e+00,1.190716520809639523e+00,1.803040004577505684e+00
4.873902643173431137e+00,1.794036606459162631e+00,-3.052089084809779251e-01,-4.539723306662145630e-01
8.957687035742116777e+00,3.937490556040697420e+00,4.727843964022540035e+00,4.322436672403755509e+00
4.284897378759828790e+00,4.258084657890457869e+00,1.065368027953778807e+01,1.102980219312758514e+01
5.936070414632076186e+00,4.701811380195101364e+00,1.383049614617920042e+01,1.395721940428327201e+01
3.424577071842956899e-01,3.571640940710276713e+00,1.164672733459146015e+00,1.612614268847926136e+00
6.767252882814094761e+00,2.189107959902042655e+00,-2.140435119071131709e+00,-2.313042974096771509e+00
9.198977334374841774e+00,4.355476357373953888e+00,7.873630123794761460e+00,7.132720986933655638e+00
8.285570762611538242e+00,4.813880679535204266e+00,1.341698568415502990e+01,1.336198030179940410e+01
8.866650640428472840e+00,3.787615360150332844e+00,3.678628145714782249e+00,3.455714069209166350e+00
6.637518267153180496e+00,1.289432159883227236e+00,-5.884628167055667269e+00,-5.496966256031880604e+00
2.530967445707458019e+00,2.643927907127877397e+00,3.893933753343055137e+00,3.990750177531631859e+00
7.708318289072917828e+00,1.995774519233192379e+00,-5.571448859631217942e+00,-6.386873475848768855e+00
2.195579951814354391e+00,4.757042047543883712e+00,8.363178802595424344e+00,7.765597262543824542e+00
8.329620863178165635e+00,4.244493564504285388e+00,8.595596566025015761e+00,9.037491084318643786e+00
7.209074334506057058e-01,1.279708448520850972e+00,6.816284992628638406e-01,1.021511007971787066e+00
8.272329352596202057e+00,3.437727721287444638e+00,2.320371929556745982e+00,2.000250246602501392e+00
1.728621938093602983e+00,4.940590332468711487e+00,7.232737221812448603e+00,7.232212823528808343e+00
3.813955265316754328e+00,3.095224508079200909e+00,5.700545418943525178e+00,5.923332195831617852e+00
3.235707848913946805e+00,4.557765377066727019e+00,1.034077219344021259e+01,1.057497436136385183e+01
6.944236649249638127e+00,4.249322708850475472e+00,1.048509138115824868e+01,1.092321247921542415e+01
1.867861593926282149e+00,2.886149595463999518e+00,3.817856535680107744e+00,3.946099349290888902e+00
4.022936005948166027e+00,2.768033585568859145e+00,4.423812592630318008e+00,4.376398423146069305e+00
1.576634915690113825e-01,1.646604751007508582e+00,2.472832321508167674e-01,1.178591997568939898e-01
2.698697656226005215e+00,2.417878280453374717e+00,3.381135902355302925e+00,3.909007302621928304e+00
4.269769260866657312e+00,1.765466702631931728e+00,4.345333039950243226e-01,-6.908938335442444956e-01
1.148620243402512120e+00,4.382830335407110312e+00,4.428564491419276550e+00,4.359236828873608083e+00
6.368283465761922280e+00,3.413613084772885387e+00,5.673261742624809756e+00,5.689761794616839730e+00
3.866200271876670147e+00,4.744969085393872632e+00,1.216553738302791743e+01,1.145286290259282325e+01
7.280409986954764712e+00,2.641416870100499192e+00,-7.698710676334776792e-01,-6.034642610644543881e-01
6.573273509577104434e+00,3.806837283514131975e+00,7.892128373311663836e+00,7.566487867089966457e+00
4.369144812896321284e+00,4.332600744117153901e+00,1.105767835311526959e+01,1.148890075127314248e+01
8.686473005857772378e+00,1.051509121424101245e+00,-1.207329305630107541e+01,-1.213608909831823901e+01
6.358137663251653748e+00,2.291415774160368457e+00,-7.083986053669146798e-01,-3.738219849721882704e-01
8.121716085852360933e+00,2.744919167013157857e+00,-2.249615534305934972e+00,-1.640193731720323456e+00
3.483767767007118987e+00,4.714413776098326458e+00,1.136290753062952774e+01,1.155437232198626418e+01
5.482325967717710746e+00,4.481955427173895501e+00,1.244439845753377760e+01,1.200653788582235570e+01
2.043339162636058859e+00,1.338032970995128412e+00,9.696843668523924542e-01,2.125250510000732396e-01
9.961797782174416582e+00,4.821836468064068626e+00,1.074225469574997049e+01,1.161894675450815662e+01
2.507833096632638537e+00,3.507615235672637333e+00,6.043529099287971995e+00,5.987883002694212031e+00
2.642987925548317296e+00,1.287734296301669801e+00,5.759648394407952399e-01,2.316823656236344231e-01
8.245817166705631251e-01,3.760488995310574900e+00,2.777209312241000649e+00,2.849337856271413116e+00
2.652250878067692330e+00,4.421450520129425854e+00,8.709006191505357819e+00,8.613300526264033863e+00
7.654972472186126531e+00,2.035421132825541157e+00,-5.215393376603515208e+00,-4.789322244497171255e+00
7.009146349762505501e+00,2.290646228943284957e+00,-2.162260347574809671e+00,-2.145296256356259423e+00
1.373864801939977509e+00,2.110770759877613756e+00,2.034186913942971575e+00,2.041061705752181155e+00
3.824761164138132941e+00,3.810029590213770856e+00,8.432277556468910973e+00,8.074987695952428268e+00
4.267121806712882659e+00,3.873116683904075597e+00,8.967023724095160020e+00,9.201807773468907214e+00
6.683344038983411117e+00,4.097396922565863520e+00,9.687064128371542182e+00,9.170130767194050847e+00
4.613696734133113431e+00,4.684164525643369714e+00,1.292118886043847681e+01,1.325413358032045963e+01
5.906531435572760280e+00,1.727312994355850950e+00,-2.460970217606408106e+00,-1.699001461111342204e+00
8.412877575728529678e+00,3.832991727021835437e+00,5.087711899723373676e+00,4.325368880673797989e+00
7.292088742092467157e+00,3.582811957253176693e+00,5.382262298094616426e+00,4.149147682418957928e+00
3.713571908734733640e+00,2.050484329268127848e+00,1.994678357681466174e+00,2.303117735258625842e+00
4.539123462510394447e+00,4.901233926103719440e+00,1.386024687556771440e+01,1.513419578330927706e+01
3.740225739931065885e+00,2.907840900674392604e+00,5.006268932669939886e+00,4.505806508233993313e+00
1.186373173666297909e+00,4.795309902768872590e+00,5.051707222453536872e+00,4.426359343052542528e+00
2.112091286465226148e+00,4.887095172414649191e+00,8.397421621803923486e+00,8.691906088694160815e+00
2.909684240546897893e+00,4.600192383354522185e+00,9.795154465019184187e+00,9.374793669990030054e+00
3.209925566462791924e+00,2.837941439920372844e+00,4.713820674000618993e+00,4.460807932032250456e+00
3.199173802317383242e+00,2.119107160590087968e+00,2.501424535167564578e+00,2.327365801825675540e+00
5.809327190904224558e+00,3.343047757421439670e+00,5.907914373286603293e+00,6.173915416432502745e+00
9.719730758635570567e+00,2.798143331810555079e+00,-6.830949082404778494e+00,-7.033600263101337902e+00
7.769174935744946886e+00,2.872806327378288227e+00,-4.777213849995014527e-01,-3.387799649594213647e-01
7.932226086910771912e+00,1.976325374807716084e+00,-6.309927299635193165e+00,-6.398193929081981146e+00
7.616758155341841530e+00,4.369012301609133786e+00,1.064018727269791498e+01,1.021785172087211357e+01
6.010178532185188160e+00,3.922896372949125077e+00,9.097844859780476412e+00,8.937931730908866612e+00
9.185153345992036478e+00,4.461238391519493973e+00,8.865509651585220752e+00,8.390309819001261715e+00
6.927338538926101741e+00,3.126155303674110986e+00,3.001573382286601088e+00,3.004830875221475406e+00
5.053528664295022566e+00,1.370654926564333742e+00,-2.224688003543067172e+00,-2.786621117325885244e+00
8.631297041553336324e-01,4.449235758102592087e+00,3.491752990743997920e+00,2.945305806096376600e+00
4.935647348146686042e+00,1.277004806434449247e+00,-2.349005243846000290e+00,-1.620524336193372550e+00
2.207026853869310301e+00,1.618064037920133202e+00,1.490476222936629291e+00,1.463884112783958580e+00
1.413693345713193938e+00,4.776480520099941174e+00,5.859328104394942116e+00,5.832377091658920598e+00
5.110042733040792484e+00,3.246019097038932433e+00,5.979188310396219563e+00,6.234956520355028786e+00
7.872344396709894276e+00,3.699989641465563306e+00,5.163917560141076279e+00,4.953489058866640704e+00
3.020563783774643074e+00,4.283970668751292621e+00,9.055904604820486981e+00,8.941636921081407507e+00
7.710840423100747465e+00,3.658228542740479927e+00,5.165079284511513436e+00,5.377653652177468047e+00
5.303732279306315078e+00,2.775885152350927587e+00,3.481531658712199828e+00,3.622739579834400647e+00
1.575575431370054291e+00,3.171997671783234551e+00,3.862620301861565686e+00,3.282971938395350620e+00
9.653180665399384353e+00,2.593935174689076639e+00,-8.080887839344608636e+00,-7.664216541009778005e+00
4.076198616496323091e+00,3.308761699882356577e+00,6.553933281376409070e+00,6.258715809731887347e+00
3.022819131060688669e+00,1.008828122839888763e+00,-4.430934165667697600e-01,-9.711328917238626346e-01
8.485283869273922974e+00,3.033064384826968940e+00,-1.237788873142552148e+00,-1.688026408142077939e+00
1.332157291903250496e+00,1.095287130382968321e+00,6.854701150100214191e-01,4.901974428323599975e-01
7.362545564629663808e+00,1.438687795295902738e+00,-7.155488131414244890e+00,-6.341838004102711146e+00
1.959464951398136590e+00,4.385473098430531458e+00,6.903487047025112844e+00,6.315719094564722802e+00
3.985668582524566350e+00,3.637544469221788646e+00,7.850952266766618948e+00,7.930990213033789260e+00
2.395808796775170890e+00,1.728671483314540236e+00,1.698762491501927707e+00,6.298503124566390277e-01
8.428157127654630543e+00,3.988810101007318476e+00,6.315876596543944288e+00,6.315093129971345753e+00
3.961738064204631371e+00,2.903133078351370688e+00,4.961541024868457050e+00,5.411324233606460865e+00
9.749458847534663519e+00,1.539385103892515705e+00,-1.407883076999950234e+01,-1.419716243103023068e+01
6.290088695709556532e+00,4.718742780572128481e+00,1.395914237886794496e+01,1.364446491692627461e+01
6.966866063558859956e+00,1.451220393941606623e+00,-6.078209075601676226e+00,-5.962453543572407533e+00
5.263098709110933804e+00,1.078971432073168035e+00,-3.652280680026525506e+00,-3.302204804451200459e+00
3.158785170848352308e+00,2.026406913826380052e+00,2.242327401531006181e+00,2.574156187039709387e+00
4.016008568419044522e+00,1.347439627696934039e+00,-6.615877458740171413e-01,3.246491810908787023e-01
9.415248457852827713e+00,1.066885834326276150e+00,-1.416031292330668023e+01,-1.405572918713854236e+01
2.091911687174178081e+00,3.612967505856884198e+00,5.613549205426276778e+00,5.317344155549810658e+00
9.883367122080102263e+00,1.527848555965166888e+00,-1.457753187259536887e+01,-1.464052146758869100e+01
7.607228033837802883e+00,3.255519376247951513e+00,2.501286476318128393e+00,2.465037203508222419e+00
3.661890572276841560e+00,1.970359316684346940e+00,1.765839152814425717e+00,1.820207844553485055e+00
6.450984536105472955e+00,4.762600543070039549e+00,1.423421889311179456e+01,1.421920498649707731e+01
3.871717239001566835e+00,1.863423953179223602e+00,1.222885813290490287e+00,1.309868782738591975e+00
3.876780033135208470e+00,3.082618905366286466e+00,5.655908136054640600e+00,4.820483105747084274e+00
5.087649206925842549e+00,3.939949031886625708e+00,9.485445594413178583e+00,9.900260072433200165e+00
2.655559341902331560e-01,2.244519674517902352e+00,5.607825575909692883e-01,2.734129231304531227e-01
4.986358443439621979e+00,4.326957560211979192e+00,1.144030817740897277e+01,1.085372882918546011e+01
9.718824293124191271e+00,2.255915808525636557e+00,-1.053701542867644747e+01,-1.021813984885572957e+01
2.926105764977227075e+00,2.551440255096410592e+00,3.792659267693285319e+00,4.451322271386326079e+00
7.507357794858459776e+00,2.721553130110953234e+00,-8.155618062354008657e-01,-5.690477314856795532e-01
4.483610011697900966e+00,2.675576487727220787e+00,3.798665791687838578e+00,3.879245448610598945e+00
2.171882321916076108e+00,3.431774617641658143e+00,5.360041812170098119e+00,4.893931659484121788e+00
9.059525451099482041e+00,1.904982446399323237e+00,-1.019311132805727915e+01,-8.757327659150529797e+00
2.665901183341086722e-01,2.316856441771852904e+00,5.820673035144389162e-01,1.022196613845193003e+00
3.104738373335155899e+00,1.915888125270059472e+00,1.945778368865904495e+00,1.376131033694416583e+00
9.990356235006981223e+00,2.107780994067566471e+00,-1.239566318404040857e+01,-1.278548214216028001e+01
2.695253282280896112e+00,4.051129304656021723e+00,7.782738969298078402e+00,7.826228593584030335e+00
8.505540766406793907e+00,3.517067015287473453e+00,2.369813255547242647e+00,1.592447689549249645e+00
6.096263171691472138e+00,4.851157209696138395e+00,1.478827773757198827e+01,1.487259294107724550e+01
8.079753504518524920e+00,4.800520162508193245e+00,1.353783325690926631e+01,1.330829747905288762e+01
6.340145778890434514e+00,1.820341787631356567e+00,-2.981981227354372876e+00,-2.368845927196264078e+00
3.690698884872698926e+00,1.839784143844582331e+00,1.311698608357446005e+00,1.792775940171569493e+00
7.631808967376477071e+00,4.630591844903223731e+00,1.263732077349100535e+01,1.128167805477361973e+01
3.621970341493261358e-01,1.555839301033903332e+00,4.999216141920222456e-01,5.207729072056784814e-01
4.523448222171073674e+00,4.044740187986654689e+00,9.857851131810953405e+00,9.049117382049109537e+00
3.781360241714049941e+00,1.767039052227793672e+00,9.873268719814278782e-01,1.542145871605689500e+00
4.823032655809759817e+00,1.572146654332039706e+00,-1.081300442098787506e+00,-9.972475075348753437e-01
1.363444796311089391e+00,2.756975557147747224e+00,2.898201083168844949e+00,3.172403809262343444e+00
2.302817972868097307e+00,3.736238708712952050e+00,6.271234059489664503e+00,5.738671695088014779e+00
5.664310741987122810e+00,4.376674738449517932e+00,1.187130522873293081e+01,1.278552034773068158e+01
3.938914244993944269e+00,1.832604181529307485e+00,1.049927355927734229e+00,2.059964039502956812e+00
7.937396435344371781e+00,1.398815763858616279e+00,-8.888519820492042811e+00,-9.420905341805148936e+00
6.090852233847392938e+00,4.170851679760422925e+00,1.055617960277551859e+01,1.074258716370867717e+01
8.626540179391241736e+00,2.804068900434750766e+00,-3.278693989780638418e+00,-3.615345203975731891e+00
7.350372289523484426e+00,3.438278673696372856e+00,4.279152653473481394e+00,4.267367685043115699e+00
6.058052132809793378e+00,3.336806028025522064e+00,5.600641774813949425e+00,4.967823285201667716e+00
2.947394461740357574e+00,4.043269985824916368e+00,8.195010438265814656e+00,9.128583195556123187e+00
7.849328632469068090e+00,4.958235653475828286e+00,1.504193869722045207e+01,1.455734894167911797e+01
2.587549023893710221e+00,3.592365956533807303e+00,6.375444850814723452e+00,6.227402943315976103e+00
8.445900069626038897e-01,2.460846149994436516e+00,1.737373877034355862e+00,1.988115342589616974e+00
9.632359326587955906e+00,1.699559301882547668e+00,-1.308369867194062230e+01,-1.340747901114868590e+01
5.446110930455044574e+00,1.411515275824393623e+00,-2.811544458167586580e+00,-2.931200673033737658e+00
7.761553545743131721e+00,3.766216633396441082e+00,5.867781036163822961e+00,5.585961112950340812e+00
5.339305795540565391e+00,2.020414433511881658e+00,-1.078813311416508824e-01,-1.746117085597979068e-01
6.154639330681032305e+00,2.110404558655298413e+00,-1.205418222449106125e+00,-1.790689539999257507e+00
4.355332801134117471e-01,2.773387503793275588e+00,1.113955537691041053e+00,8.949614998898907103e-01
1.949257425602704652e+00,3.110394153338767786e+00,4.356708007945579553e+00,4.253261545589457349e+00
6.779425014804297156e+00,2.664592080628522375e+00,4.797231832321653400e-01,3.128601813300979084e-01
5.748589519729732977e+00,4.822817398946719791e+00,1.450444226210194643e+01,1.453278723954884377e+01
1.669694836468455623e+00,2.192364429917647684e+00,2.401501116675954783e+00,2.254950006997594070e+00
9.525089760389228388e+00,3.408074508713794248e+00,-1.315913908274147559e+00,-9.393082040544571409e-01
1.628100962219302783e+00,1.064981699968779338e+00,6.072737730457858918e-01,4.456758101528709437e-01
5.152002172412984748e+00,1.255087366641752133e+00,-2.822726409403026882e+00,-2.891051207550968893e+00
1.525628462690651110e+00,1.795787525072267687e+00,1.693642346211682526e+00,1.361251678213756255e+00
7.201980088451723105e+00,2.125371494948320450e+00,-3.534337428469132902e+00,-3.797594848526751221e+00
2.835498839542012206e+00,2.865293277299980623e+00,4.646242455973878194e+00,4.013996060564021917e+00
1.427926353705654572e+00,3.296829607716557753e+00,3.768758660027144103e+00,4.028151120466126223e+00
5.552730886381050945e-01,1.663684434628374120e+00,7.760582719739308466e-01,2.047992631476848180e-01
1.830871825186473956e+00,3.314599028455941010e+00,4.556864553918141603e+00,4.183936354823979187e+00
1.998807295563307607e+00,1.327292159586970666e+00,9.612324054994163536e-01,1.140854731505018593e+00
5.416023587760746771e+00,2.569098864039094376e+00,2.327185877534295955e+00,2.528472560506562328e+00
4.565284973096773058e+00,4.192388324026666169e+00,1.056336885615621846e+01,1.036331148065368346e+01
9.577214235810020071e+00,2.899968076408721895e+00,-5.574446717203130675e+00,-6.584079622447531754e+00
9.546098234979760733e+00,3.664273420403718173e+00,8.219733711948791210e-01,1.032230014842666854e+00
7.985806493637460868e+00,1.894283563176503371e+00,-6.883430530302604211e+00,-6.753648800856574042e+00
6.748717576408962415e+00,3.830098899587166095e+00,7.845154241715604826e+00,7.138963633979717116e+00
8.465728606526630173e+00,4.937217766497452587e+00,1.426392911714169287e+01,1.464909015853894125e+01
9.393643101950857499e+00,3.603796287306021640e+00,7.337016020699493879e-01,3.831517018532362706e-01
3.239155159813272844e-01,4.922077146461806052e+00,1.543117932426360417e+00,9.800238743497101668e-01
1.269241748793501268e+00,4.335498043632598275e+00,4.767986978198882397e+00,4.815852333681010400e+00
3.666612458368067262e+00,4.072854768945955328e+00,9.284408048113602874e+00,9.195172832413994968e+00
1.026509845121737374e+00,2.916776964445585651e+00,2.495727274980785282e+00,2.597039275476359155e+00
6.035292283227443377e+00,3.296305300043899766e+00,5.393827221803393357e+00,4.590953192641173963e+00
2.677605801246275785e+00,1.988568032454263612e+00,2.274467791491068702e+00,3.180582849627255460e+00
2.716963318410022588e+00,4.498241817280598021e+00,9.066563808823994819e+00,8.765234501552130908e+00
2.954447087613869538e+00,1.053685518329614990e+00,-2.580868616270962090e-01,-1.027916515875301640e+00
1.067385010085461605e+00,4.189602060217767487e+00,3.943632226980523736e+00,4.253053321264098408e+00
7.435350087057773116e+00,4.760158733851252322e+00,1.380098009866251374e+01,1.362357803361192587e+01
6.541657053036535885e+00,2.327361299270201744e+00,-9.041767537595344351e-01,-7.417475108730825495e-01
6.104430097348497952e+00,4.199801606707889157e+00,1.072804170099825072e+01,1.055823748568573173e+01
4.370512645499767812e-01,2.717111199178189107e+00,1.092952485089530912e+00,1.063082304849570781e+00
4.351695031924887047e+00,4.427782240096291844e+00,1.146715742253593895e+01,1.159004384440525648e+01
6.883515540008442457e+00,3.516083223598524210e+00,5.593370874828707429e+00,5.220044432837258164e+00
1.647831834045505373e+00,1.223064781951282765e+00,8.474177305520835812e-01,1.186787528481862530e+00
3.918012662109753297e+00,2.502656147600467840e+00,3.466269093526863188e+00,3.231319043987091355e+00
2.963580401523752128e-01,1.076971807225989064e+00,2.774385525067479819e-01,-1.574050195784881812e-01
9.103941710646964447e-01,3.997274644718237013e+00,3.248856884032713666e+00,3.287373094943965235e+00
2.242890441990633921e+00,4.483378059642229019e+00,7.871402183034505562e+00,8.093922822280026352e+00
4.205036595298361490e+00,4.984433393024628955e+00,1.373426912209533768e+01,1.361972945128601786e+01
4.686076359245060274e+00,3.105382741616697473e+00,5.556020103440445723e+00,5.124760209900664165e+00
8.856763163019317986e+00,2.565170304599267759e+00,-5.622572874651524444e+00,-5.312680091497208323e+00
3.234918577522731820e+00,3.098242555621110839e+00,5.550788604016000605e+00,4.670624207954611862e+00
3.124923751441945896e-01,2.773986194611917977e+00,8.179196665709214109e-01,3.024875985531549905e-01
8.279611133034535442e+00,2.172558815244383990e+00,-6.269366704751060837e+00,-6.249605259484368958e+00
7.122846601983704451e-01,4.641033938434892647e+00,3.066502979958631414e+00,2.385973280806097829e+00
1.020620727356060797e+00,2.576734105125873420e+00,2.137463310965255214e+00,2.151460443089839636e+00
9.635498995723375870e+00,4.582648723264490798e+00,9.068932338032354323e+00,9.041500779023122547e+00
7.558317639470748084e+00,3.266002043220426643e+00,2.677764537423009017e+00,3.127134431852093055e+00
3.444756607514625202e+00,4.387661871532600344e+00,1.012728393417015127e+01,9.669888758263505579e+00
1.408570532030037459e+00,3.662432997467818030e+00,4.248491925723552498e+00,3.935538663902731216e+00
3.928632674401429714e+00,2.876971337042109500e+00,4.868032129748219639e+00,5.034622972098719451e+00
3.458029438523718468e+00,3.865247942889817878e+00,8.302321433822950070e+00,7.073539638720045986e+00
8.756967894280483833e+00,3.901859755486594139e+00,4.891164991857507971e+00,6.441186141314799940e+00
4.245654871408995668e+00,4.477500127663276430e+00,1.157489622183514477e+01,1.122557085660426068e+01
9.122455595546581364e-01,2.843213337134903984e+00,2.196972525746248017e+00,1.832054999383469163e+00
9.275371503350003266e+00,3.118487734677902967e+00,-2.905389182215969868e+00,-2.474825426764113434e+00
6.260902300781075347e+00,4.056951753995790000e+00,9.755799269424578313e+00,9.735883348706735774e+00
1.255427582131922071e+00,3.059063377833826536e+00,3.106142756545394512e+00,2.216428447193599105e+00
1.220424184459581340e+00,3.481444130294752970e+00,3.556096478510024195e+00,3.869560168556330115e+00
4.712739087526215620e+00,1.941825237082824174e+00,5.208175222722921660e-01,9.485064392718964843e-01
1.011680760322250183e+00,4.904395753500141453e+00,4.494113068041554193e+00,4.269139931303583602e+00
6.354346702807308844e+00,3.543887336870814142e+00,6.486643989127003351e+00,6.345843809980991068e+00
6.202199531839611701e+00,3.602189480312657288e+00,7.010191927044147064e+00,7.253184225673843244e+00
4.176053513197216516e-01,3.980757165132975395e+00,1.576583284496040349e+00,1.122193159538815710e+00
8.093485532308815067e+00,4.150872078487971351e+00,8.243872638524329943e+00,8.463066920627785095e+00
7.889268133301035490e+00,1.383599649493790551e+00,-8.807668480061147775e+00,-8.708019224838897898e+00
9.161551859291552802e+00,2.480236204729368232e+00,-7.175760956230131882e+00,-7.513227264118090609e+00
