p_0,f,P_rad
4.500292815811933844e-11,2.760629883877156830e+10,1.941812404648533463e+08
2.215868545201700860e-11,7.040120940792014122e+09,2.085764054745573376e+05
7.493395061746734615e-11,1.887614503479590607e+10,1.219946770062144995e+08
5.728188902281532778e-11,2.381743813918032074e+10,1.778427282036933899e+08
3.792176880030600836e-11,9.119906552647512436e+09,1.719717367653388297e+06
5.372518229486101686e-11,2.158025684154312134e+10,1.063359880486465693e+08
9.005390509141002411e-11,1.598152902232442093e+10,9.100657543953447044e+07
9.406391643606247206e-11,1.997181178327457047e+10,2.402601830795437098e+08
4.220156770381631788e-11,2.261998055367017746e+10,7.891114976165263355e+07
6.143768476567848423e-11,1.270551975612924957e+10,1.697766461594953388e+07
3.896824519683479070e-11,1.910166341332260513e+10,3.457898664091713727e+07
6.348700271797270604e-11,1.928819281648260880e+10,9.537840334426537156e+07
4.041201029564199223e-11,5.859957059870863914e+09,3.330325169489659602e+05
4.524571004753451296e-11,1.103902355017553902e+10,5.251956370436245576e+06
9.012469168043130941e-11,3.403166548534250259e+09,1.884160751150856959e+05
3.044418341800417247e-11,2.295181040612739563e+10,4.347489406102522463e+07
6.608684302174382016e-11,1.762679469462211227e+10,7.233781000605207682e+07
1.756138092241463424e-11,1.203093772337223816e+10,1.115680083898922428e+06
8.493797328880579961e-11,1.894465624450549603e+09,1.607092622879461669e+04
8.083884767398150487e-11,1.706284680837913704e+10,9.513070579380260408e+07
3.154324986936569606e-11,1.671519815353791237e+10,1.334689272040439397e+07
8.888358077296333678e-11,1.430163339268239212e+10,5.696974300129694492e+07
1.527112313246748996e-11,2.500745757743726349e+10,1.527782532485812530e+07
4.025053544910943068e-11,1.392751153749001980e+09,1.054205840752318636e+03
2.352515202053551614e-11,2.775005182734578705e+10,5.412682130039414018e+07
5.053054299843582953e-11,2.923769702874010849e+10,3.045809197946941853e+08
8.166918432585647529e-11,5.333509180287815094e+09,9.333905414882540936e+05
3.075779880943726623e-11,2.624900537679479599e+10,7.474397784205165505e+07
1.468191709579686554e-11,1.882754867163741684e+10,4.635733416831211187e+06
4.640966558393753421e-11,2.740100047217414474e+10,2.006957740432562828e+08
2.786617400583297848e-11,2.266601072837902069e+10,3.468105703353022039e+07
1.816777410572096992e-11,2.027242876351559067e+10,9.506912636389698833e+06
6.222991473881655574e-11,2.368112650452731705e+10,2.052494917537654042e+08
3.688265195370303605e-11,9.165052803020734787e+09,1.659196928177582799e+06
7.047953901607233643e-11,1.543799401978956985e+10,4.857304997175038606e+07
2.795638995713919691e-11,1.518977340789239120e+10,7.164813804666946642e+06
9.479017994558480582e-11,5.609812981093574524e+09,1.538905301204860909e+06
4.285991514203456637e-11,7.647258275611104965e+09,1.086312778726891614e+06
1.949457516132065649e-11,1.465482393598701477e+09,3.031365124473986157e+02
6.661973363857383572e-11,2.662060729423574448e+10,3.701466376718220711e+08
9.344390977610806830e-11,2.348008958819519997e+09,4.589797089641498314e+04
4.963394392442055543e-11,3.709343725038158894e+09,8.065744747307932994e+04
9.591314443216635348e-11,2.124491699486178589e+10,3.186712675979257822e+08
5.499062323188823269e-11,2.608754021289801788e+10,2.332988013934629560e+08
4.827057623641679602e-11,2.120911694205900192e+10,8.018084367759700119e+07
6.581921068138400164e-11,2.166860103221117020e+10,1.621810267643158734e+08
9.955868547117916345e-11,1.183780204719313431e+10,3.361356257709567994e+07
9.540493074439887523e-11,2.372840669816697693e+10,4.861865001217793822e+08
5.140406253781864673e-11,2.342011536204499435e+10,1.341216128905411363e+08
7.819559607774623024e-11,1.143294765908050537e+10,1.804518104157308489e+07
5.476804259388570350e-11,2.773904071215237045e+10,2.929162827358096242e+08
5.763809441770933525e-11,1.425701444620928001e+10,2.365981646899785101e+07
8.072071306424267025e-11,2.050668793165272903e+10,1.963720110460696220e+08
4.731902644201036883e-11,1.263336897261838722e+10,9.844831297311522067e+06
7.610352146098564643e-11,1.763541148674002075e+10,9.611406056731404364e+07
7.400285901907747872e-11,3.496962352023447990e+09,1.416311326971487142e+05
9.388537179520404121e-11,1.319910951396909904e+10,4.615893475748788565e+07
2.034393699528146667e-11,2.312256192207814026e+10,1.998407999420607835e+07
7.561136053686784514e-11,2.532782977381425476e+10,3.934708152139281631e+08
9.346815357621039725e-11,1.088600152664085579e+10,2.119694006857445836e+07
9.711335709321816956e-11,2.590789059106740475e+09,7.348181840792384173e+04
1.132356744688323568e-11,5.894380039702991486e+09,2.676741897895560396e+04
8.772760812210181618e-11,9.206883280770269394e+09,9.559442786980751902e+06
9.830755360597098138e-11,1.535021567899379349e+10,9.238146004360841215e+07
9.614891616498672427e-11,8.631549006766010284e+09,8.871699484087871388e+06
2.338876110092481218e-11,1.174094352577855110e+10,1.795234919356879080e+06
9.753659324406594479e-11,1.497913405255406380e+09,8.282670932805176562e+03
9.009420001484686160e-11,1.301041920624023819e+10,4.013308024973051995e+07
8.401364447887633679e-11,2.119621088798580551e+10,2.423067016638605297e+08
5.319891314270489602e-11,1.401822031718478775e+10,1.884318787535522878e+07
3.091356276753734351e-11,6.626574250263666153e+09,3.186581493732129456e+05
8.216925208464771229e-11,2.797947974554356766e+10,6.814267146696916819e+08
9.311771438051225442e-11,6.342576548746349335e+09,2.426642096523909364e+06
3.395172450630633454e-11,2.618147848656220245e+10,9.017327613705901802e+07
5.850409668599682218e-11,6.529110346631070137e+09,1.075627768233931856e+06
4.984775460770783429e-11,5.376155122269804955e+09,3.589820381793198176e+05
9.379155843830394379e-11,1.514496080770704460e+10,7.970045058897653222e+07
1.364596400695911657e-11,2.014891409770795059e+10,5.235699948033164255e+06
7.588055760909046873e-11,1.413633794262415504e+10,3.964034597130168974e+07
6.529359222540969668e-11,1.573641949606581879e+10,4.498871622880060226e+07
1.255288286021689524e-11,1.908050594073263550e+10,3.572512056668422651e+06
7.472977955440663065e-11,1.501650194035392189e+10,4.890894347505950928e+07
1.143925565712147717e-11,2.874878352647899628e+10,1.464304246583228745e+07
7.821559021207852650e-11,5.388303827341091156e+09,8.918446024338563439e+05
5.614828509358702709e-11,1.234881474014454651e+10,1.265653725772277638e+07
9.361937987173054965e-11,4.704051300304176331e+09,7.421956849073310150e+05
1.594742470516672541e-11,6.729157882257807732e+09,9.017611122836674622e+04
8.571855516511449321e-11,1.898112894124880600e+10,1.631791391972948313e+08
1.600210078903912734e-11,2.612996951738142014e+10,1.987974744023237750e+07
4.098789809237126579e-11,1.128841033513020897e+10,4.712339782569559291e+06
4.872688587530499925e-11,2.578803988113089371e+10,1.751931604391313791e+08
9.694558727056631024e-11,1.202411610420793915e+10,3.392305019642428309e+07
6.060086580056113062e-11,2.156963783549848557e+10,1.350337277041822076e+08
3.329781338538390135e-11,4.216814562826737881e+09,6.062738661064174084e+04
3.175081426849104434e-11,1.699919297322887230e+10,1.445918299729407392e+07
8.993064885932618802e-11,2.120521921316738129e+09,2.827989802267829509e+04
3.032824855755919539e-11,5.145040193035063744e+09,1.114669509458475077e+05
2.120992352517551474e-11,9.825101140050380707e+09,7.245420719289078843e+05
3.594976813068198474e-11,2.422086029633539677e+09,7.692071540124805324e+03
6.275107583314595153e-11,2.629985984822561646e+10,3.134344595521517992e+08
5.986814519559409797e-11,2.481790919691105652e+10,2.279785040602814555e+08
8.287396983214999455e-11,2.802288774223334503e+10,6.972766773259437084e+08
6.044283568055672439e-11,7.517143742219146729e+09,2.017144365263096988e+06
3.595790929880894656e-11,1.393794344312567902e+10,8.413821892449760810e+06
4.716067084128033990e-11,2.446044176390044403e+10,1.337184256469596475e+08
8.363088738738192987e-11,9.009492351668762207e+09,7.966433313796585426e+06
6.638558161777781587e-11,1.977275619481274414e+10,1.150291156069891900e+08
9.631698784276979633e-11,1.101249161384455490e+10,2.357202313883941621e+07
4.324639699825127583e-11,1.192994167426252365e+10,6.541882336778228171e+06
5.973503594691584818e-11,2.058580331639614868e+10,1.091838920675112307e+08
6.345317814518514865e-11,2.824090225430672836e+10,4.210219329731250405e+08
8.634620874475539862e-11,2.448907483693382645e+10,4.502902554158177376e+08
2.309261843678785657e-11,1.109332041741237068e+10,1.395165630284797400e+06
4.658593030733139604e-11,3.007265593372811317e+09,3.069675826472136032e+04
9.189630654960673000e-11,2.910068080641244507e+10,9.896187981901479959e+08
1.387601997113837563e-11,1.086649161476817513e+10,4.638345204654941917e+05
8.404356521633516715e-11,2.186098499096841431e+10,2.737649671444475651e+08
4.738456336341021464e-11,2.663874726847594261e+09,1.955343559306617317e+04
8.468235867502924607e-11,1.341735470563603640e+09,4.019215421810450607e+03
1.089591047265627546e-11,1.960619164188508987e+10,2.996921128944172058e+06
4.285415419824436076e-11,2.606109556307659531e+10,1.411309416534878910e+08
1.707670334490758781e-11,1.354575799027776527e+10,1.693483148105775239e+06
6.873531187029745453e-11,1.948339956156616592e+10,1.163393956908480525e+08
3.464641887396014942e-11,2.138511213262816620e+10,4.267130803733186424e+07
7.323868635938076768e-11,2.563684377520435333e+10,3.868948919333907962e+08
9.494212842478817126e-11,3.636629224541325092e+09,2.726543286121971323e+05
2.141353920351229733e-11,1.650148068916995430e+10,5.844321371095056646e+06
8.783004658606967406e-11,1.382651921835892296e+10,4.861734753606609255e+07
1.535177364403046230e-11,1.086747030923354149e+10,5.679454519947322551e+05
4.426934574798004893e-11,1.175011848166268158e+10,6.451606947473447770e+06
4.867966550607189762e-11,1.304797488915067482e+10,1.185220383793059923e+07
5.399645921501178267e-11,5.988940430907191277e+09,6.486587604456392583e+05
9.788160897424400660e-11,2.604725334511992264e+10,7.347651665036250353e+08
7.981220692916455095e-11,9.374825164954511642e+09,8.505165484335202724e+06
3.779716264473349289e-11,1.259194674751821518e+10,6.199576155008514412e+06
3.428531069507200955e-11,1.795949810338114548e+10,2.096815041394767538e+07
8.768081837703859900e-11,2.090112832229730606e+10,2.497548750565517247e+08
8.931764554639208480e-11,1.522542084908855820e+10,7.381944476633773744e+07
5.596358549892807578e-11,1.383642889981714821e+10,1.979506127288596705e+07
4.098661578660927399e-11,1.163258008588405800e+10,5.312612110017705709e+06
9.954256133448260209e-11,1.561953592387753487e+10,1.015068749644487649e+08
3.843491908309301904e-11,7.765679847600281715e+09,9.289506907109674066e+05
2.644411410339062104e-11,1.587521906775066614e+09,7.681141158098927235e+02
8.920883091736627101e-11,2.753956406892696381e+10,7.559986769426909685e+08
8.311018583001286084e-11,6.467333283735410690e+09,2.089702968123737257e+06
7.011004650142161502e-11,1.261522133582575989e+10,2.148846012018210441e+07
9.625722686001567652e-11,1.661821174795524025e+10,1.214482343751802891e+08
9.331431194929768646e-11,1.074065644551895905e+10,2.002249061878102645e+07
7.734236529715786544e-11,1.340973305558921051e+10,3.336752248485985398e+07
8.746312685929099738e-11,1.237455845369643974e+10,3.096724536262067035e+07
3.224320662898967502e-11,1.413938008923060226e+10,7.163502139152039774e+06
2.271219012109284312e-11,2.328977138181768799e+10,2.561874515083985403e+07
7.030556643834422914e-11,1.618805175504325294e+10,5.837477581148610264e+07
7.431566829892774649e-11,2.621726106390482712e+10,4.343113774404416084e+08
2.503476359040449477e-11,2.055027249012783051e+10,1.904718171993491426e+07
4.560015457943883771e-11,1.596480502453880310e+10,2.323761389606789872e+07
9.192301895944493284e-11,1.064735486518077660e+10,1.876419112925529107e+07
6.052606907952006048e-11,3.242752079315607548e+09,7.005462643880466931e+04
6.205023234336454614e-11,1.007355418410059738e+10,6.852062380935911089e+06
2.747167956017142163e-11,1.903271063950235748e+10,1.694136083679626882e+07
5.734200237560876210e-11,1.533435252055094719e+10,3.130178210131591186e+07
5.710912546554278957e-11,4.814523737768898010e+09,3.030558285033900756e+05
1.800420762216447729e-11,1.755526392255254364e+10,5.282951061609409750e+06
9.837484238140355394e-11,9.477792842591825485e+09,1.349822756906238198e+07
6.142560404101970260e-11,8.789133102294845581e+09,3.892535873911970295e+06
1.057679943978791372e-11,9.955982278462720871e+09,1.899611891947993136e+05
7.953842811028496795e-11,2.092330633512936401e+10,2.063821415952199101e+08
9.804391424561311309e-11,2.025610700810832596e+10,2.759927571784065366e+08
6.308830254888554491e-11,3.449848123340346813e+09,9.749791331516795617e+04
3.877134726543984919e-11,7.029049776613862991e+09,6.345493366711465642e+05
2.687569441550064198e-11,1.836452643759179306e+10,1.407506770227305219e+07
7.052739705251823109e-11,3.523921155330191612e+09,1.326534174054285395e+05
2.755966586111245004e-11,2.311059798253208923e+10,3.660021283100531250e+07
6.199191032660732899e-11,2.253679277002532196e+10,1.678360672120636106e+08
6.420152587416632293e-11,6.196366351316856384e+09,1.050801404941111105e+06
9.661807838119429485e-11,2.960410064936620331e+10,1.167216738398844957e+09
1.650387389768891055e-11,2.446514037372499084e+10,1.638805139953689463e+07
5.499755412927566428e-11,4.384138463873466492e+09,1.932516257089895371e+05
7.696877313543834280e-11,2.684010473627807999e+10,5.099220173342626095e+08
2.595040664271929072e-11,9.399210304619510651e+09,9.085367727801860310e+05
4.492600586060673016e-11,1.473777247530680466e+10,1.640530892720234394e+07
1.566059486094741874e-11,5.035779422084810257e+09,2.727598423640203691e+04
7.532927773981991224e-11,1.396258035903887177e+10,3.718691465679332614e+07
1.789910980835380761e-11,2.477340920374149704e+10,2.023672611709828675e+07
4.555825375221708054e-11,1.740149629088035202e+10,3.266631955970345810e+07
8.861703680086588562e-11,3.150690451927993774e+09,1.338301260928716219e+05
5.250703030750103177e-11,1.027798421746657181e+10,5.316678086786864325e+06
9.213597402767970606e-11,1.676441714490232086e+10,1.152124620128774345e+08
7.893254059649851092e-11,1.394692959497674942e+10,4.064739004489661753e+07
9.237915641005892932e-11,1.500745187255576515e+10,7.456003769216103852e+07
2.146627081440157033e-11,2.981025013636994553e+10,5.914442756200888753e+07
1.662066147975688107e-11,1.533557806956780434e+10,2.630620153847607784e+06
1.632936282122962657e-11,2.945819722773667908e+10,3.272432777778711170e+07
8.819688649125874205e-11,2.695425175268310070e+09,7.100842989333513833e+04
6.706629814126988860e-11,2.671479451109648514e+10,3.802542557172689438e+08
5.469145244189676804e-11,1.307591147613603020e+10,1.508860768000908010e+07
2.471890745768322257e-11,2.591069750607320786e+10,4.591935972627550364e+07
7.063600939545463415e-11,2.767552527892184448e+10,4.829882651835165620e+08
3.862156490612182162e-11,1.667606646199343109e+10,1.982358610816176608e+07
7.397918769393503968e-11,3.979476650127385139e+09,2.373679864509334730e+05
5.143197959805923001e-11,1.162852343047775269e+10,8.353826877927699126e+06
5.567228744900744203e-11,3.067819365105349064e+09,4.747810560546508350e+04
8.106991592138833560e-11,2.472147512216195297e+10,4.117740209506227970e+08
1.834709279710426558e-11,2.939858459791253662e+10,4.099607921433642507e+07
6.208826529911523266e-11,2.070809688422549057e+10,1.207409281252852529e+08
2.775114525662816738e-11,1.206224068067167091e+10,2.815077063549726736e+06
8.273230766322112577e-11,2.254969540675579834e+10,2.995980839766626358e+08
5.399614325163339336e-11,2.991051911943306732e+10,3.789831047223899961e+08
9.898258000310376915e-11,1.467773017240132523e+10,7.835067883643075824e+07
2.646489922081468421e-11,3.784830248263886452e+09,2.485563713264637045e+04
9.667172261118405689e-11,1.816785244325551224e+10,1.745021128655411899e+08
8.208253329477480458e-11,2.582784167722861862e+10,5.001130323729158640e+08
5.331344469177416960e-11,2.106628686149807739e+10,9.524303968425172567e+07
8.321806577616719408e-11,2.400980151151656342e+10,3.872995970865654349e+08
6.425640147170047101e-11,1.465284454540792847e+10,3.279606890701625496e+07
6.896089575922421604e-11,2.346529711145443344e+10,2.432074252423308790e+08
9.223216864366499609e-11,1.899490144313252640e+10,1.894637378020893931e+08
1.587433747701622341e-11,6.088251348619029045e+09,5.987497703263698349e+04
8.514893835625604526e-11,2.512784403952642059e+10,4.839075999656906724e+08
4.436333019696149325e-11,1.101377456108971405e+10,5.003126433244614862e+06
3.929910544906340046e-11,2.056492047892395401e+10,4.706830969118802249e+07
9.946240940889858904e-11,1.344154344716832733e+10,5.570725109656521678e+07
8.030714518687403795e-11,2.769170294617639923e+10,6.256950391024067402e+08
5.369816249016289845e-11,1.188105989067885399e+10,9.922043009199464694e+06
4.803655567823030768e-11,5.244804439113561630e+09,3.019649197079401929e+05
8.897760152846164435e-11,1.207793620161592293e+10,2.909007365122377500e+07
1.781333849934047134e-11,6.265744857895702362e+09,8.457879975041169382e+04
7.375768812224794572e-11,2.621068402626589203e+10,4.274005351934236288e+08
8.102391613346314307e-11,1.338237144016309738e+10,3.632260429557020217e+07
8.192767417445033283e-11,1.553015726731087303e+10,6.720783335402339697e+07
3.900580522658485932e-11,2.477840218470252609e+10,9.617796541644395888e+07
8.169752644714491979e-11,2.689223575128464127e+10,5.788004722750872374e+08
3.027955976880986472e-11,2.057114723854894257e+10,2.797567182166818157e+07
4.260771554361121559e-11,1.782831906744291687e+10,3.145541219877565652e+07
4.757033009839418088e-11,1.971079165064225388e+10,5.833764957595445216e+07
5.872689852671480929e-11,2.476700666245461655e+10,2.176285195888552070e+08
2.013522989865014501e-11,1.106556619881208420e+10,1.050137828095793258e+06
4.662530205753755290e-11,2.542393258506744385e+10,1.518265267084175944e+08
1.002706210962306088e-11,2.974349293104852676e+10,1.279610832668861933e+07
7.699426537126591426e-11,1.227527330558627510e+10,2.323818543999844417e+07
8.666883210108311948e-11,2.412921936906529236e+10,4.282789284426124692e+08
2.250385112081777717e-11,2.488595507460603333e+10,3.255590502005461231e+07
7.334071923401179642e-11,1.460938507451782799e+10,4.222205850001402944e+07
8.389927795551748286e-11,2.404717648374628448e+10,3.960579630360770822e+08
9.836454905846143486e-11,2.594458763813821793e+09,7.581551021538382338e+04
8.594115061318540228e-11,3.897842959030445099e+09,2.948483619952752488e+05
4.816958368996115729e-11,2.056049564494503736e+09,7.170857641123339818e+03
9.817198376586909011e-11,2.592610287152699280e+10,7.259535414789749384e+08
9.765859643671196170e-11,1.247037003722201347e+10,3.981486946997679770e+07
5.533092812805210554e-11,2.228443766304586029e+10,1.279349607089640349e+08
7.781018847255146178e-11,9.580580197220056534e+09,8.816737971614453942e+06
9.224539009058465813e-11,2.583698920648311234e+10,6.324845193468725681e+08
5.285323647718777504e-11,9.884910654773534775e+09,4.609603753378551453e+06
8.774076169873764080e-11,2.097845518392759705e+10,2.537588345339980721e+08
7.314117094556854585e-11,2.730401407662319565e+10,4.917535599760482311e+08
3.645318303771018477e-11,1.307691580290008926e+10,6.705238942626197822e+06
7.908870429851262596e-11,2.558550776126611710e+10,4.476879521398329735e+08
6.136163072735492398e-11,2.123365817925214005e+10,1.301592219056712687e+08
1.844606380899756102e-11,4.025208463185025692e+09,1.544757008504738224e+04
4.522423836741977648e-11,1.294790134474993134e+10,9.919818837185865268e+06
1.663669120580253281e-11,2.424735117746775818e+10,1.608379354537371546e+07
5.285502668952960003e-11,2.863315270334056854e+10,3.078652901087986231e+08
4.856856473286313801e-11,7.996026787688992500e+09,1.667311047678943723e+06
4.813636986734026262e-11,8.768483048030319214e+09,2.368077661992988549e+06
6.276703182317058832e-11,1.045808939498340845e+09,8.150032478520823815e+02
2.104215941584660771e-11,2.108793624169167328e+10,1.489689563185796887e+07
9.403920189611584468e-11,1.759009742569446945e+10,1.452654095884779692e+08
7.156454032675296950e-11,2.229849490637629318e+10,2.145470953265034854e+08
8.414032225534945130e-11,1.790310753592293978e+09,1.257800407630828522e+04
9.071211090373838119e-11,2.026770734918074799e+10,2.367923304916723371e+08
6.249880422311284018e-11,2.129676913218718338e+10,1.366135245163360536e+08
1.361963988141406211e-11,2.765249425765968323e+10,1.789918905432443321e+07
7.403381417059821405e-11,2.207312937952861309e+09,2.250130182836579115e+04
6.121232688370223828e-11,1.905380934866202545e+10,8.448101916958075762e+07
8.433614999533593269e-11,2.849601763133433914e+10,7.696446508358699083e+08
5.789444261269097223e-11,1.903387444886574936e+10,7.525869396622097492e+07
8.319196858277731587e-11,7.804175408841952324e+09,4.439064985818377696e+06
9.973092637652425815e-11,1.285523377857750893e+10,4.687836383177880198e+07
4.154993302310992842e-11,2.262869164666254425e+10,7.660843013272313774e+07
2.539192960186066665e-11,2.636403796963132858e+10,5.180513850804962963e+07
4.525073195085125579e-11,1.596747684909305573e+10,2.289808786808663607e+07
7.777449908791088069e-11,1.893185435611475372e+10,1.329605159190565646e+08
4.953060386724758214e-11,2.902535507283906937e+10,2.846785231300411820e+08
6.295420984862933437e-11,1.997085172432063675e+10,1.075976629258719385e+08
2.146226247295039274e-11,1.433488003702834320e+10,3.352520641056857072e+06
7.535111598405822772e-11,4.034652207776673794e+09,2.601974632242255029e+05
3.520741616798495189e-11,2.303946520436017990e+10,5.901615933678735793e+07
2.715558043636163948e-11,2.728543253172082138e+10,6.760972580216585100e+07
8.766549987248750385e-11,1.286642915558950233e+10,3.634786428344793618e+07
6.079715390085347058e-11,1.038556661917614365e+10,7.430950893144257367e+06
5.360490481116253283e-11,4.631547046330916405e+09,2.286716377005600953e+05
9.089413887236360215e-11,1.356319877722161865e+10,4.822513352433869988e+07
1.774111924549023373e-11,2.931104002061797714e+10,3.790294177551480383e+07
7.265390053068035058e-11,1.829476891620922089e+10,1.013212469494105279e+08
3.951840607881422794e-11,1.385919696240475655e+10,9.935550222264887765e+06
2.578687749865729467e-11,1.097589461475721121e+09,1.668953165426120222e+02
7.073187849705510096e-11,1.550390303122807884e+10,4.975815651197373122e+07
4.265397557766424641e-11,9.658627049449579239e+09,2.736773986560862511e+06
3.969062492445422758e-11,7.277570701041381836e+09,7.641324454510469222e+05
9.493099887062690073e-11,1.089910887412494850e+10,2.197100610996989906e+07
2.793685066115375389e-11,2.399238016326797485e+10,4.352502494899985194e+07
5.609562920539615402e-11,1.830436147986533356e+10,6.052610599671342969e+07
1.216118806042143274e-11,1.011063002783528137e+10,2.670934175552556990e+05
2.470312820232605344e-11,2.525952329227444077e+10,4.156245141734889895e+07
8.950768602702057038e-11,1.698351890965964317e+10,1.144889302811371237e+08
8.103227934274085939e-11,2.005592660979010391e+10,1.812823902047150135e+08
6.011519410485912669e-11,1.230252939635071945e+10,1.429221597215442173e+07
3.002080563922242621e-11,2.493763077709869385e+10,5.840569673117624223e+07
6.019728243591758243e-11,1.596400616885733986e+10,4.048799076154835522e+07
1.109318735022512924e-11,1.277180533117843628e+10,5.651195785381202586e+05
7.416942678441286008e-11,1.081789397499173546e+10,1.301683306223583221e+07
7.450756125073553396e-11,2.047230683156003189e+10,1.662025986734008789e+08
6.814405212097192994e-11,2.751649743769762802e+10,4.397126683555992246e+08
6.502048158476810773e-11,2.890436079374207687e+10,4.828700137366744876e+08
1.663447893620837627e-11,9.609462571899402618e+09,4.078299292351484182e+05
3.217653721458779876e-11,1.849627473329090118e+10,2.075426713154835999e+07
6.169402432881387592e-11,7.166037816213459969e+09,1.735618721949890489e+06
4.547680894260078114e-11,2.678140000506803894e+10,1.765230410287935138e+08
9.928209057233004942e-11,2.817668271746566772e+10,1.021816536562787056e+09
9.313708216376631299e-11,1.870921952721484756e+10,1.819532049922950268e+08
2.368071122702833277e-11,2.532690520044367218e+10,3.858926682760883123e+07
6.309645333845775773e-11,3.315560113240811825e+09,8.320218383911195269e+04
7.265935954931109874e-11,2.076104460363098526e+10,1.670271328811582327e+08
2.228890728707974968e-11,2.311784220812530136e+10,2.396874138460435346e+07
3.813360823910541308e-11,2.719445591924320602e+10,1.316279397825036794e+08
7.443260622329448573e-11,2.563123587575561142e+10,3.992740546178541183e+08
9.109972840805529068e-11,1.912428804448155594e+10,1.898707766203797162e+08
4.075683851855217215e-11,5.505491789658082962e+09,2.639237091143879807e+05
3.150493405221525213e-11,2.523009187673513412e+10,6.729665666025505960e+07
8.396128024571931530e-11,7.743770006454841614e+09,4.383206190415808931e+06
6.264844122031104822e-11,1.994894628115990829e+10,1.060943975816084743e+08
5.289295795351933772e-11,2.670355959616710663e+09,2.460177766801980761e+04
3.305350192851031174e-11,9.358011526346225739e+09,1.448313358410131186e+06
1.653925137834888940e-11,1.574020175784029579e+10,2.889412019920784980e+06
1.161022788072777245e-11,2.458196346803173065e+10,8.261825797953193076e+06
6.219731625076853079e-11,1.577083443832000494e+09,4.138574047965907994e+03
2.719992461140673231e-11,5.141574066620080948e+09,8.941619497764803236e+04
9.779796805841383162e-11,2.358365773042012787e+10,4.988351567231255770e+08
1.967295055475325163e-11,4.310525794161719322e+09,2.310784227298723272e+04
5.068799094943975328e-11,5.542736731917790413e+09,4.193722304148781113e+05
4.551938173638639886e-11,2.373712254936371994e+10,1.108347118658451140e+08
3.090803277569778411e-11,7.326647607906288147e+09,4.760020363302780897e+05
7.738801525035414977e-11,1.736431138010069275e+10,9.346006327213035524e+07
6.793342858722793073e-11,1.067217545834872818e+10,1.034401240888122655e+07
7.531819165466828378e-11,3.331170687270934105e+09,1.208049086830370943e+05
1.745277183068452250e-11,2.636938264877441406e+10,2.449341104875017703e+07
4.174690741267646170e-11,9.913569571966514587e+09,2.909339872089189477e+06
5.678497669008085435e-11,1.329709930167431641e+10,1.739171814745623618e+07
4.840490293572169653e-11,2.341963637743667603e+10,1.189180872380687743e+08
1.365558056854707053e-11,2.493879785470587540e+10,1.208675416169406660e+07
2.746247094107138778e-11,4.860151990234962463e+09,7.277407841213457868e+04
9.505221834741638549e-11,9.765441749979833603e+09,1.420159262406260520e+07
2.463127522779863808e-11,2.441377987301159668e+10,3.620608340059027821e+07
8.668470992164977197e-11,1.974866309693281555e+10,1.951884348457249999e+08
8.399234431579960044e-11,6.919851677536051750e+09,2.797226810459548607e+06
4.521643813702971801e-11,2.654852158004252625e+10,1.687450388320551217e+08
5.201051678598371308e-11,1.665275126391657066e+10,3.575116844480493665e+07
