N,f,f_noisy
4.356523671927094443e-01,1.196886165956950188e-01,1.009615534789379682e-01
4.400977995110024188e-01,1.215728231494379585e-01,1.163944758144777603e-01
4.445432318292953378e-01,1.234619797390146545e-01,8.877521772449720183e-02
4.489886641475883122e-01,1.253559177369367728e-01,1.530506048524207519e-01
4.534340964658812867e-01,1.272544711965695463e-01,1.368238436059573127e-01
4.578795287841742057e-01,1.291574768186203592e-01,1.326666794473671251e-01
4.623249611024671801e-01,1.310647739178382176e-01,1.448227389767724194e-01
4.667703934207601546e-01,1.329762043899282986e-01,1.256029132503799495e-01
4.712158257390530736e-01,1.348916126786906255e-01,1.213814739303690216e-01
4.756612580573460480e-01,1.368108457433880598e-01,1.252733695614319243e-01
4.801066903756390225e-01,1.387337530263495766e-01,1.232235907810272368e-01
4.845521226939319415e-01,1.406601864208148478e-01,1.312093144826695645e-01
4.889975550122249159e-01,1.425900002390249888e-01,1.631504251676269279e-01
4.934429873305178349e-01,1.445230511805638551e-01,1.343509063988951591e-01
4.978884196488108094e-01,1.464591983009549681e-01,1.736188363208877594e-01
5.023338519671037838e-01,1.483983029805179543e-01,1.562880655815470365e-01
5.067792842853967583e-01,1.503402288934877207e-01,1.877391237640929078e-01
5.112247166036896218e-01,1.522848419774007755e-01,1.415012938986823787e-01
5.156701489219825962e-01,1.542320104027512240e-01,1.396104467328760645e-01
5.201155812402755707e-01,1.561816045429189337e-01,1.433397105243660874e-01
5.245610135585685452e-01,1.581334969443736749e-01,1.145168489125755473e-01
5.290064458768615197e-01,1.600875622971563439e-01,1.746216693231511796e-01
5.334518781951544941e-01,1.620436774056398244e-01,1.707902689965949961e-01
5.378973105134473576e-01,1.640017211595714286e-01,1.661403169804406832e-01
5.423427428317403320e-01,1.659615745053990010e-01,1.676111665710646736e-01
5.467881751500333065e-01,1.679231204178800174e-01,1.864112239329405729e-01
5.512336074683262810e-01,1.698862438719779822e-01,1.518756151806590626e-01
5.556790397866192555e-01,1.718508318150439307e-01,1.786052531973892077e-01
5.601244721049121189e-01,1.738167731392868676e-01,1.808739999397209197e-01
5.645699044232050934e-01,1.757839586545305310e-01,1.912753956304009129e-01
5.690153367414980679e-01,1.777522810612596482e-01,2.070019912641290760e-01
5.734607690597910423e-01,1.797216349239543209e-01,1.890955014684904956e-01
5.779062013780840168e-01,1.816919166447128753e-01,1.662596682048877450e-01
5.823516336963768802e-01,1.836630244371644238e-01,1.943709636688872033e-01
5.867970660146698547e-01,1.856348583006680597e-01,1.805344528258666370e-01
5.912424983329628292e-01,1.876073199948019021e-01,1.891703622507488469e-01
5.956879306512558037e-01,1.895803130141378301e-01,1.694095510877511868e-01
6.001333629695487781e-01,1.915537425633050406e-01,1.860427435019390840e-01
6.045787952878416416e-01,1.935275155323380181e-01,1.926122568597175844e-01
6.090242276061346161e-01,1.955015404723115247e-01,1.898447884074180025e-01
6.134696599244275905e-01,1.974757275712582250e-01,2.076474832432105289e-01
6.179150922427205650e-01,1.994499886303706115e-01,2.361014845319925892e-01
6.223605245610135395e-01,2.014242370404855376e-01,2.009423606793258321e-01
6.268059568793065139e-01,2.033983877588484146e-01,1.859470257188888254e-01
6.312513891975993774e-01,2.053723572861576308e-01,1.998107102624907816e-01
6.356968215158923519e-01,2.073460636438871629e-01,2.300628018734090785e-01
6.401422538341853263e-01,2.093194263518858567e-01,2.113180028965332136e-01
6.445876861524783008e-01,2.112923664062510698e-01,2.315655891090093732e-01
6.490331184707712753e-01,2.132648062574768744e-01,2.176290091648631075e-01
6.534785507890641387e-01,2.152366697888729030e-01,2.353602426533855374e-01
6.579239831073571132e-01,2.172078822952539789e-01,2.093938324168905796e-01
6.623694154256500877e-01,2.191783704618973927e-01,2.456492046149474362e-01
6.668148477439430621e-01,2.211480623437666049e-01,2.263514104638215951e-01
6.712602800622360366e-01,2.231168873449987100e-01,2.355905073145015405e-01
6.757057123805290111e-01,2.250847761986558559e-01,2.535341355791280171e-01
6.801511446988218745e-01,2.270516609467351232e-01,1.841779111842917482e-01
6.845965770171148490e-01,2.290174749204377247e-01,2.573606310569215849e-01
6.890420093354078235e-01,2.309821527206946667e-01,2.797833043446931178e-01
6.934874416537007979e-01,2.329456301989452083e-01,2.293493401386112462e-01
6.979328739719937724e-01,2.349078444381691166e-01,2.246642127244266596e-01
7.023783062902866359e-01,2.368687337341665033e-01,2.337420641190008364e-01
7.068237386085796103e-01,2.388282375770876542e-01,2.528954990020613192e-01
7.112691709268725848e-01,2.407862966332057209e-01,2.390754966528617909e-01
7.157146032451655593e-01,2.427428527269341052e-01,2.189348847000308074e-01
7.201600355634585338e-01,2.446978488230841520e-01,2.247408571050354686e-01
7.246054678817513972e-01,2.466512290093609838e-01,2.131946669498865077e-01
7.290509002000443717e-01,2.486029384790962582e-01,2.341862943576099865e-01
7.334963325183373462e-01,2.505529235142135991e-01,2.310262360917605950e-01
7.379417648366303206e-01,2.525011314684270092e-01,2.187644612941667122e-01
7.423871971549232951e-01,2.544475107506671829e-01,2.604351761982585667e-01
7.468326294732161585e-01,2.563920108087356375e-01,2.531565516066396349e-01
7.512780617915091330e-01,2.583345821131828313e-01,2.679008749177291260e-01
7.557234941098021075e-01,2.602751761414077158e-01,2.169723512892195172e-01
7.601689264280950820e-01,2.622137453619788339e-01,2.787598891798255818e-01
7.646143587463880564e-01,2.641502432191715766e-01,2.932205575749800563e-01
7.690597910646810309e-01,2.660846241177198257e-01,2.551062590012164732e-01
7.735052233829738944e-01,2.680168434077820905e-01,2.376490594245329602e-01
7.779506557012668688e-01,2.699468573701168661e-01,2.276787430321570160e-01
7.823960880195598433e-01,2.718746232014651598e-01,2.883720327115901760e-01
7.868415203378528178e-01,2.738000990001409618e-01,2.692483738125301396e-01
7.912869526561457922e-01,2.757232437518221113e-01,2.812374237281934364e-01
7.957323849744386557e-01,2.776440173155445001e-01,2.713894074467990136e-01
8.001778172927316302e-01,2.795623804098933962e-01,2.433811310782605930e-01
8.046232496110246046e-01,2.814782945993916652e-01,2.678254055032698866e-01
8.090686819293175791e-01,2.833917222810811709e-01,2.790013688966677119e-01
8.135141142476105536e-01,2.853026266712970771e-01,2.650528343238011675e-01
8.179595465659035280e-01,2.872109717926305539e-01,2.897670608484387289e-01
8.224049788841963915e-01,2.891167224610784459e-01,2.712395277233218827e-01
8.268504112024893660e-01,2.910198442733782920e-01,3.063054609863646305e-01
8.312958435207823404e-01,2.929203035945251443e-01,2.498221694196962883e-01
8.357412758390753149e-01,2.948180675454699085e-01,3.003806566924303034e-01
8.401867081573682894e-01,2.967131039909937651e-01,2.938935918892109922e-01
8.446321404756611528e-01,2.986053815277605050e-01,3.138859102087476760e-01
8.490775727939541273e-01,3.004948694725407821e-01,3.247165610016734538e-01
8.535230051122471018e-01,3.023815378506086726e-01,3.120059311310529604e-01
8.579684374305400762e-01,3.042653573843077108e-01,3.073947129380920074e-01
8.624138697488330507e-01,3.061462994817829020e-01,2.920239329488760194e-01
8.668593020671259142e-01,3.080243362258785478e-01,3.274902845689470210e-01
8.713047343854188886e-01,3.098994403631991079e-01,3.097393449071340621e-01
8.757501667037118631e-01,3.117715852933299336e-01,3.183246938438510365e-01
8.801955990220048376e-01,3.136407450582169854e-01,3.105101069013998516e-01
8.846410313402978121e-01,3.155068943317037022e-01,3.178062944508423526e-01
8.890864636585906755e-01,3.173700084092210272e-01,3.030876540811988096e-01
8.935318959768836500e-01,3.192300631976316416e-01,3.697363779821128960e-01
8.979773282951766245e-01,3.210870352052228038e-01,3.242371518650629669e-01
9.024227606134695989e-01,3.229409015318495668e-01,3.144028052297484499e-01
9.068681929317625734e-01,3.247916398592217702e-01,3.156862084194509421e-01
9.113136252500555479e-01,3.266392284413387470e-01,3.332595840243410268e-01
9.157590575683484113e-01,3.284836460950645853e-01,3.191465413838714404e-01
9.202044898866413858e-01,3.303248721908438879e-01,3.450756409373406663e-01
9.246499222049343603e-01,3.321628866435575311e-01,3.328714403520328657e-01
9.290953545232273347e-01,3.339976699035139274e-01,3.395160292296692250e-01
9.335407868415203092e-01,3.358292029475765106e-01,3.580497753109714854e-01
9.379862191598131727e-01,3.376574672704231173e-01,3.440925449200948338e-01
9.424316514781061471e-01,3.394824448759380942e-01,3.476506918723840101e-01
9.468770837963991216e-01,3.413041182687318043e-01,3.523602295648737837e-01
9.513225161146920961e-01,3.431224704457904173e-01,3.708227072988442008e-01
9.557679484329850705e-01,3.449374848882495459e-01,3.432212709188492972e-01
9.602133807512780450e-01,3.467491455532935030e-01,3.713105370852441967e-01
9.646588130695709085e-01,3.485574368661757405e-01,3.635452493029246446e-01
9.691042453878638829e-01,3.503623437123607465e-01,3.603022876979781741e-01
9.735496777061568574e-01,3.521638514297853462e-01,3.278865923182506248e-01
9.779951100244498319e-01,3.539619458012366882e-01,3.577254927282617625e-01
9.824405423427428063e-01,3.557566130468462484e-01,3.280504721644558197e-01
9.868859746610356698e-01,3.575478398166979654e-01,3.455657971357168345e-01
9.913314069793286443e-01,3.593356131835486744e-01,3.536375409912231316e-01
9.957768392976216187e-01,3.611199206356600078e-01,3.510588572966712451e-01
1.000222271615914593e+00,3.629007500697385424e-01,3.358941751819647936e-01
1.004667703934207568e+00,3.646780897839848046e-01,3.826888453434372783e-01
1.009113136252500542e+00,3.664519284712476899e-01,3.616913165772117633e-01
1.013558568570793517e+00,3.682222552122844661e-01,3.945255470213674398e-01
1.018004000889086491e+00,3.699890594691229717e-01,3.696151648313271698e-01
1.022449433207379244e+00,3.717523310785256774e-01,3.351404818653254125e-01
1.026894865525672218e+00,3.735120602455553329e-01,4.014133846762826807e-01
1.031340297843965192e+00,3.752682375372374257e-01,3.939259493027162939e-01
1.035785730162258167e+00,3.770208538763216155e-01,4.099846520547118511e-01
1.040231162480551141e+00,3.787699005351380932e-01,3.717517841008889934e-01
1.044676594798844116e+00,3.805153691295490304e-01,3.384491241502486369e-01
1.049122027117137090e+00,3.822572516129935649e-01,3.842551568643558513e-01
1.053567459435430065e+00,3.839955402706235477e-01,3.615060596871346732e-01
1.058012891753723039e+00,3.857302277135311597e-01,3.670351832757735577e-01
1.062458324072016014e+00,3.874613068730647925e-01,3.645907476947147230e-01
1.066903756390308988e+00,3.891887709952325802e-01,3.639249216632081119e-01
1.071349188708601741e+00,3.909126136351939174e-01,4.101747825348188714e-01
1.075794621026894715e+00,3.926328286518345756e-01,3.691745467478979581e-01
1.080240053345187690e+00,3.943494102024278081e-01,3.474519592268430213e-01
1.084685485663480664e+00,3.960623527373757780e-01,4.301790102656537496e-01
1.089130917981773639e+00,3.977716509950349755e-01,3.802654490583494695e-01
1.093576350300066613e+00,3.994772999966213489e-01,3.747459987302355633e-01
1.098021782618359588e+00,4.011792950411940395e-01,4.168274392847012288e-01
1.102467214936652562e+00,4.028776317007174423e-01,4.062629469218922429e-01
1.106912647254945536e+00,4.045723058152005946e-01,3.698400768758955404e-01
1.111358079573238511e+00,4.062633134879123364e-01,4.239908855285119404e-01
1.115803511891531263e+00,4.079506510806706343e-01,4.231352259030656260e-01
1.120248944209824238e+00,4.096343152092052353e-01,4.157307713187775033e-01
1.124694376528117212e+00,4.113143027385939843e-01,3.733619049418332447e-01
1.129139808846410187e+00,4.129906107787684189e-01,4.109224490338103108e-01
1.133585241164703161e+00,4.146632366800932501e-01,3.751649534936717378e-01
1.138030673482996136e+00,4.163321780290104579e-01,4.183885822215212547e-01
1.142476105801289110e+00,4.179974326437546073e-01,4.281055847764153044e-01
1.146921538119582085e+00,4.196589985701354442e-01,4.352930685533274446e-01
1.151366970437875059e+00,4.213168740773855503e-01,4.021831441935140861e-01
1.155812402756168034e+00,4.229710576540732792e-01,4.494590981805524632e-01
1.160257835074461008e+00,4.246215480040804180e-01,4.196079543691405567e-01
1.164703267392753760e+00,4.262683440426427994e-01,4.185549009564110690e-01
1.169148699711046735e+00,4.279114448924538627e-01,4.110894545286565283e-01
1.173594132029339709e+00,4.295508498798283337e-01,4.372503332886323868e-01
1.178039564347632684e+00,4.311865585309278548e-01,4.414877745374624629e-01
1.182484996665925658e+00,4.328185705680441253e-01,4.302445897564327049e-01
1.186930428984218633e+00,4.344468859059435473e-01,4.181462370452613819e-01
1.191375861302511607e+00,4.360715046482667723e-01,4.613409161485702015e-01
1.195821293620804582e+00,4.376924270839875897e-01,4.418837449833173947e-01
1.200266725939097556e+00,4.393096536839249389e-01,4.551957454986965135e-01
1.204712158257390531e+00,4.409231850973132638e-01,4.515824910886686028e-01
1.209157590575683283e+00,4.425330221484251592e-01,4.441437498265881079e-01
1.213603022893976258e+00,4.441391658332484171e-01,4.297529755180403699e-01
1.218048455212269232e+00,4.457416173162150330e-01,4.332027213434601620e-01
1.222493887530562207e+00,4.473403779269830571e-01,4.393542557971691909e-01
1.226939319848855181e+00,4.489354491572684069e-01,3.975481476070898967e-01
1.231384752167148156e+00,4.505268326577285820e-01,4.363294249542319925e-01
1.235830184485441130e+00,4.521145302348951733e-01,4.691430926779631139e-01
1.240275616803734104e+00,4.536985438481537236e-01,4.544711710590373932e-01
1.244721049122027079e+00,4.552788756067744913e-01,4.257563888949671971e-01
1.249166481440320053e+00,4.568555277669887893e-01,4.642373900744639625e-01
1.253611913758613028e+00,4.584285027291121195e-01,4.491081131516945768e-01
1.258057346076905780e+00,4.599978030347133262e-01,4.799654442808597987e-01
1.262502778395198755e+00,4.615634313638298791e-01,4.559883995956682812e-01
1.266948210713491729e+00,4.631253905322257891e-01,4.448413733520111268e-01
1.271393643031784704e+00,4.646836834886952650e-01,4.664221399214964481e-01
1.275839075350077678e+00,4.662383133124085588e-01,4.591600100296388542e-01
1.280284507668370653e+00,4.677892832103006104e-01,4.791272409887276096e-01
1.284729939986663627e+00,4.693365965145011587e-01,4.561158165034494560e-01
1.289175372304956602e+00,4.708802566798070410e-01,4.948492616703277780e-01
1.293620804623249576e+00,4.724202672811944059e-01,4.658860424577268011e-01
1.298066236941542551e+00,4.739566320113703379e-01,4.477123557997409464e-01
1.302511669259835525e+00,4.754893546783650060e-01,4.623423069003091412e-01
1.306957101578128277e+00,4.770184392031625586e-01,4.678479052699462959e-01
1.311402533896421252e+00,4.785438896173687118e-01,4.954758291400099268e-01
1.315847966214714226e+00,4.800657100609180827e-01,4.879862786645867145e-01
1.320293398533007201e+00,4.815839047798162187e-01,4.800588810485544866e-01
1.324738830851300175e+00,4.830984781239200387e-01,4.996823551109544348e-01
1.329184263169593150e+00,4.846094345447531371e-01,4.917427089516107075e-01
1.333629695487886124e+00,4.861167785933571683e-01,5.044888005071245241e-01
1.338075127806179099e+00,4.876205149181760401e-01,4.798043554857615578e-01
1.342520560124472073e+00,4.891206482629774643e-01,5.181649076250135488e-01
1.346965992442765048e+00,4.906171834648058172e-01,4.517617944014254983e-01
1.351411424761058022e+00,4.921101254519693047e-01,4.654148143856698394e-01
1.355856857079350775e+00,4.935994792420587141e-01,4.939579499250834616e-01
1.360302289397643749e+00,4.950852499400006934e-01,5.108439818449169723e-01
1.364747721715936724e+00,4.965674427361395638e-01,5.253828339114241519e-01
1.369193154034229698e+00,4.980460629043527154e-01,5.028146130168440475e-01
1.373638586352522672e+00,4.995211158001967022e-01,5.012435166799900088e-01
1.378084018670815647e+00,5.009926068590816461e-01,5.087522461314694100e-01
1.382529450989108621e+00,5.024605415944771725e-01,5.073241675719432076e-01
1.386974883307401596e+00,5.039249255961475438e-01,5.036899061664069643e-01
1.391420315625694570e+00,5.053857645284147715e-01,4.810571449104646957e-01
1.395865747943987545e+00,5.068430641284515925e-01,4.905361496719420344e-01
1.400311180262280297e+00,5.082968302046000364e-01,5.077400431301234418e-01
1.404756612580573272e+00,5.097470686347205238e-01,4.801991836574039940e-01
1.409202044898866246e+00,5.111937853645660557e-01,5.097816796220114854e-01
1.413647477217159221e+00,5.126369864061838255e-01,5.320704857480664796e-01
1.418092909535452195e+00,5.140766778363426992e-01,5.068132720626463694e-01
1.422538341853745170e+00,5.155128657949873405e-01,4.944631967491050495e-01
1.426983774172038144e+00,5.169455564837172057e-01,4.876787095230410429e-01
1.431429206490331119e+00,5.183747561642914059e-01,5.022288059447566066e-01
1.435874638808624093e+00,5.198004711571565517e-01,5.209631373150188649e-01
1.440320071126917068e+00,5.212227078400009095e-01,5.375945573397056254e-01
1.444765503445210042e+00,5.226414726463320948e-01,5.197527537391395391e-01
1.449210935763502794e+00,5.240567720640770810e-01,5.319794481521050722e-01
1.453656368081795769e+00,5.254686126342067443e-01,5.352199409177739176e-01
1.458101800400088743e+00,5.268770009493832784e-01,5.211662392363731744e-01
1.462547232718381718e+00,5.282819436526281498e-01,5.128310754307234820e-01
1.466992665036674692e+00,5.296834474360160305e-01,5.566513806556711019e-01
1.471438097354967667e+00,5.310815190393860519e-01,5.424315121832430364e-01
1.475883529673260641e+00,5.324761652490785924e-01,5.590311953426734259e-01
1.480328961991553616e+00,5.338673928966892746e-01,5.234230744111062483e-01
1.484774394309846590e+00,5.352552088578480527e-01,5.274550842025270692e-01
1.489219826628139565e+00,5.366396200510152870e-01,5.401340770499404309e-01
1.493665258946432317e+00,5.380206334362993559e-01,5.288142684052220543e-01
1.498110691264725292e+00,5.393982560142942528e-01,5.151229854750594139e-01
1.502556123583018266e+00,5.407724948249367225e-01,5.252765172775417657e-01
1.507001555901311241e+00,5.421433569463821600e-01,5.159256614589462497e-01
1.511446988219604215e+00,5.435108494938999391e-01,5.369629460591276437e-01
1.515892420537897189e+00,5.448749796187872807e-01,5.035912938321300825e-01
1.520337852856190164e+00,5.462357545073007747e-01,5.548101696016450868e-01
1.524783285174483138e+00,5.475931813796077741e-01,5.599087048669871836e-01
1.529228717492776113e+00,5.489472674887536652e-01,5.091448885902888355e-01
1.533674149811069087e+00,5.502980201196471244e-01,5.397714957590096230e-01
1.538119582129362062e+00,5.516454465880638036e-01,5.501800011029311932e-01
1.542565014447654814e+00,5.529895542396657815e-01,5.271161308034790771e-01
1.547010446765947789e+00,5.543303504490373346e-01,5.520858913558442937e-01
1.551455879084240763e+00,5.556678426187393605e-01,5.624440335961721216e-01
1.555901311402533738e+00,5.570020381783770125e-01,5.436363852761632032e-01
1.560346743720826712e+00,5.583329445836855420e-01,5.732797903840833875e-01
1.564792176039119687e+00,5.596605693156313510e-01,5.606131835989908163e-01
1.569237608357412661e+00,5.609849198795275882e-01,5.352316100194677295e-01
1.573683040675705636e+00,5.623060038041660658e-01,5.429027234125585188e-01
1.578128472993998610e+00,5.636238286409633869e-01,5.872998154137477611e-01
1.582573905312291584e+00,5.649384019631221721e-01,5.913085374688517026e-01
1.587019337630584559e+00,5.662497313648071628e-01,5.701815080997102436e-01
1.591464769948877311e+00,5.675578244603346478e-01,5.931090480466514325e-01
1.595910202267170286e+00,5.688626888833766548e-01,5.415975840522623264e-01
1.600355634585463260e+00,5.701643322861785768e-01,6.025964419285902984e-01
1.604801066903756235e+00,5.714627623387912303e-01,6.048930056956901558e-01
1.609246499222049209e+00,5.727579867283156823e-01,5.662677893122737283e-01
1.613691931540342184e+00,5.740500131581602883e-01,5.710469198403406166e-01
1.618137363858635158e+00,5.753388493473133858e-01,5.535520255249644084e-01
1.622582796176928133e+00,5.766245030296255347e-01,6.331831365238256293e-01
1.627028228495221107e+00,5.779069819531077457e-01,5.778527210879119691e-01
1.631473660813514082e+00,5.791862938792388116e-01,5.731877119020890587e-01
1.635919093131807056e+00,5.804624465822871837e-01,5.644496667991514283e-01
1.640364525450099809e+00,5.817354478486438385e-01,5.702748194635626211e-01
1.644809957768392783e+00,5.830053054761672460e-01,5.713473789520496782e-01
1.649255390086685757e+00,5.842720272735402176e-01,6.038420966422902714e-01
1.653700822404978732e+00,5.855356210596368571e-01,5.975676595217722653e-01
1.658146254723271706e+00,5.867960946629028340e-01,5.706692550567800115e-01
1.662591687041564681e+00,5.880534559207455381e-01,5.913890618808541610e-01
1.667037119359857655e+00,5.893077126789353359e-01,5.733979964049352729e-01
1.671482551678150630e+00,5.905588727910172642e-01,5.932551417050807574e-01
1.675927983996443604e+00,5.918069441177342682e-01,5.362073982797164184e-01
1.680373416314736579e+00,5.930519345264591013e-01,6.279996750998217969e-01
1.684818848633029331e+00,5.942938518906394352e-01,6.005734274371228310e-01
1.689264280951322306e+00,5.955327040892496315e-01,5.776640903381835557e-01
1.693709713269615280e+00,5.967684990062549488e-01,6.157801012075423408e-01
1.698155145587908255e+00,5.980012445300835200e-01,5.998331275142142482e-01
1.702600577906201229e+00,5.992309485531108759e-01,5.926954564482904697e-01
1.707046010224494204e+00,6.004576189711505751e-01,6.352287537631620129e-01
1.711491442542787178e+00,6.016812636829564909e-01,6.080435978840005307e-01
1.715936874861080152e+00,6.029018905897328695e-01,6.176991959956746880e-01
1.720382307179373127e+00,6.041195075946547144e-01,6.306588539142381489e-01
